PERSONNAGES de la Comedie.	PERSONNAGES de la Comédie.
A-t-elle tant d’appas, qu’il n’ait trouvé qu’elle digne de ſon amour?	A-t-elle tant d'appas, qu'il n'ait trouvé qu'elle digne de son amour?
LITIDAS.	LITIDAS.
Il l’ayme éperduëment, & vous conjure d’honorer ſa ſlâme de vôtre protection.	Il l'aime éperdument, et vous conjure d'honorer sa slâme de votre protection.
Moy?	Moi?
ERIPHILE.	ERIPHILE.
LITIDAS.	LITIDAS.
Non, non, Madame, je voy que la choſe ne vous plaiſt pas Vôtre colere m’a obligé à prendre ce détour, & pour vous dire la verité, c’eſt vous qu’iſagme eperuuemenee	Non, non, Madame, je vois que la chose ne vous plaît pas Votre colère m'a obligé à prendre ce détour, et pour vous dire la vérité, c'est vous qu'isagme eperuuemenee
ERIPHILE.	ERIPHILE.
Vous eſtes un inſolent de venir ainſi ſurprendre mes ſentimens.	Vous êtes un insolent de venir ainsi surprendre mes sentiments.
Allons, ſortez d’icy, vous vous meſlez de vouloir lire dans les ames;	Allons, sortez d'ici, vous vous mêlez de vouloir lire dans les âmes;
de vouloir F 2 penetrer penetrer dans les ſecrets du cœur d’une Princeſſe, Oſtez vous de mes yeux, & que je ne vous voye.	de vouloir F 2 pénétrer pénétrer dans les secrets du cœur d'une Princesse, Ôtez -vous de mes yeux, et que je ne vous voie.
jamais, Clitidas.	jamais, Clitidas.
Madame.	Madame.
CLITIDAS.	CLITIDAS.
ERIFRILE.	ERIFRILE.
Venez icy.	Venez ici.
Je vous pardonne cette affaire là.	Je vous pardonne cette affaire là.
AIIIDAS.	ÀIIIDAS.
Trop de bonté, Madame.	Trop de bonté, Madame.
ERIPHILE.	ERIPHILE.
Mais à condition, prenez bien garde à ce que je vous dy, que vous n’en ouvrirez la bouche à perlonno uu monde lur pemne de la vie.	Mais à condition, prenez bien garde à ce que je vous dis, que vous n'en ouvrirez la bouche à perlonno u monde lur pemne de la vie.
al ſuſfit.	al susfit.
CLITIDAS.	CLITIDAS.
RIPHILE.	RIPHILE.
Soſtrate t’a donc dit qu’il m’aymoit?	Sostrate t'a donc dit qu'il m'aimait?
LITIDAS.	LITIDAS.
Non, Madame, il faut vous dire la verité;	Non, Madame, il faut vous dire la vérité;
j’ay tiré de ſon cœur par ſurpriſe un ſecret qu’il veut cacher à tout le monde, & avec lequel il eſt, dit-il, reſolu de mourir.	j'ai tiré de son cœur par prise un secret qu'il veut cacher à tout le monde, et avec lequel il est, dit-il, résolu de mourir.
Il a eſté au deſeſpoir du vol ſubtil que je luy en ay fait, & bien loin de me charger de vous le découvrir, il m’a conjuré avec toutes les inſtantes prieres qu’on ſçauroitfaire, de ne vous en rien reveler, & c’eſt trahiſon contre luy que ce que je viens de vous dire.	Il a été au désespoir du vol subtil que je lui en ai fait, et bien loin de me charger de vous le découvrir, il m'a conjuré avec toutes les instantes prières qu'on sçauroitfaire, de ne vous en rien réveler, et c'est trahison contre mieux que ce que je viens de vous dire.
ERIPHILE.	ERIPHILE.
Tant mieux, c’eſt par ſon ſeul reſpeſt qu’il peut me plaire, & s’il eſtoit ſi hardy que de me déclarer ſon amour, il perdroit pour jamais, & ma preſence, & mon eſtime.	Tant mieux, c'est par son seul respest qu'il peut me plaire, et s'il était si hardi que de me déclarer son amour, il perdrait pour jamais, et ma présence, et mon estime.
LITIDAS.	LITIDAS.
Ne craignez point, Madame.	Ne craignez point, Madame.
ERIPHILE.	ERIPHILE.
Le voicy;	Le voici;
ſouvenez vous au moins ſi vous eſtes ſage de la défence que je vous ay faite.	souvenez vous au moins si vous êtes sage de la défense que je vous ai faite.
C LI-	Ç LI-
I DAS.	I DAS.
Cela eſt fait, Madame, il ne faut pas eſtre Courtiſan indiſcret.	Cela est fait, Madame, il ne faut pas être Courtisan indiscret.
SCENE III.	SCÈNE III.
SOSTRATE, ERIPHILE.	SOSTRATE, ERIPHILE.
STRATE.	STRATE.
’Ay une excuſe, Madame, pour oſer interpromple vone fontude, d j’ay reçeu de la Princeſſe vôtre Mere une commiſſion qui authoriſe la naidlenle que je prends maintenant.	Ay une excuse, Madame, pour oser interpromple vone fontude, d 'ai reçu de la Princesse votre Mère une commission qui autorise la naidélenle que je prends maintenant.
ERIPHILE.	ERIPHILE.
Quelle commiſſion, Soſtrate?	Quelle commission, Sostrate?
STRATE.	STRATE.
Celle, Madame, de tâcher d’apprendre de vous vers lequel des deux Princes peut incliner vôtre cœur.	Celle, Madame, de tâcher d'apprendre de vous vers lequel des deux Princes peut incliner votre cœur.
ERIPHILE.	ERIPHILE.
La Princeſſe ma Mere montre un eſprit judicieux dans le choix qu’elle a fait de vous pour un pareil employ.	La Princesse ma Mère montre un esprit judicieux dans le choix qu'elle a fait de vous pour un pareil emploi.
Cette commiſſion, Soſtrate, vous a eſté agreable ſans doute, & vous l’avez acceptée avec beaucoup de joye.	Cette commission, Sostrate, vous a été agréable sans doute, et vous l'avez acceptée avec beaucoup de joie.
TRATE.	TRATE.
Je l’ay acceptée, Madame, par laneceſſité que mon devoir m’impoſe d’obeïr, & ſi la Princeſſe avoit voulu recevoir mes excuſes, elle auroit honoré quelqu’autre de cet emploj.	Je l'ai acceptée, Madame, par lanécessité que mon devoir m'impose d'obéir, et si la Princesse avait voulu recevoir mes excuses, elle aurait honoré quelque autre de cet emploj.
ERIPHILE.	ERIPHILE.
Quelle cauſe, Soſtrate, vous obligeoit à le refuſer?	Quelle cause, Sostrate, vous obligeait à le refuser?
TRATE.	TRATE.
La crainte, Madame, de m’en acquiter mal.	La crainte, Madame, de m'en acquititer mal.
3 E R I	3 E RI
ERIPHILE.	ERIPHILE.
Croyez vous que je ne vous eſtime pas aſſez pour vous ouvrir mon cœur, & vous donner toutes les lumieres que vous pourrez deſiror de moy ſur le ſujet de ces deux Princes?	Croyez vous que je ne vous estime pas assez pour vous ouvrir mon cœur, et vous donner toutes les lumières que vous pourrez désiror de moi sur le sujet de ces deux Princes?
STRATE.	STRATE.
Je ne deſire rien pour moy là deſſus, Madame.	Je ne désire rien pour moi là dessus, Madame.
de je ne vous demande que ce que vous croirez de.	de je ne vous demande que ce que vous croirez de.
voir donner aux ordres qui m’amenent.	voir donner aux ordres qui m'amènent.
ERIPHILE.	ERIPHILE.
Juſques icy je me ſuis défenduë de m’expliquer, & la Princeſſe ma Mere a eu la bonté de ſouffrir que j’aye reculé toûjours ce choix qui me doit engager;	Jusqu' ici je me suis défendue de m'expliquer, et la Princesse ma Mère a eu la bonté de souffrir que j'aie reculé toujours ce choix qui me doit engager;
mais je ſeray bien aiſe de témoigner à tout le monde que je veux faire quelque choſe pour l’amour de vous, & ſi vous m’en preſſez je rendray cet arreſt qu’on attend depuis ſi longtemps.	mais je serai bien aise de témoigner à tout le monde que je veux faire quelque chose pour l'amour de vous, et si vous m'en pressez je rendrai cet arrêt qu'on attend depuis si longtemps.
STRATE.	STRATE.
Gent une enole;	Gent une enole;
madane, dont vous ne ſerez point importunée par moy, & je ne ſçaurois me reſoudre à preſſer une Princeſſe qui ſçait trop ce qu’elſe a à faire.	madane, dont vous ne serez point importunée par moi, et je ne saurais me résoudre à presser une Princesse qui sait trop ce qu'else à faire.
RIPHILE.	RIPHILE.
Mais c’eſt ce que la Princene ma mere attend de vous.	Mais c'est ce que la Princène ma mère attend de vous.
TRATE.	TRATE.
Ne luy ay-je pas dit auſſi que je m’acquiterois mal de cette commiſſion?	Ne lui ai-je pas dit aussi que je m'acquiterais mal de cette commission?
ERIPHILE.	ERIPHILE.
O ça, Soſtrate, les gens comme vous, ont toûjours les yeux penetrans, & je penſe qu’il ne doit y avoir gueres de choſes qui echapent aux vôtres.	OÙ ça, Sostrate, les gens comme vous, ont toujours les yeux pénétrant, et je pense qu'il ne doit y avoir guère de choses qui échappent aux vôtres.
N’ont ils pû découvrir, voe jeur, ce dont tout le monde eſt en peine, & ne vous ont ils point donné quelques petites lumieres du panchant de mon cœur?	N'ont ils pu découvrir, voe jeur, ce dont tout le monde est en peine, et ne vous ont ils point donné quelques petites lumières du penchant de mon cœur?
Vous voyez les ſoins qu’on me rend, l’empreſſement qu’on me témoigne;	Vous voyez les soins qu'on me rend, l'empressement qu'on me témoigne;
quel quel eſt celuy de ces deux Princes que vous croyez que je regarde dun ell plus doux:	quel quel est celui de ces deux Princes que vous croyez que je regarde dun él plus doux:
STRATE.	STRATE.
Les doutes que l’on forme ſur ces ſortes de choſes, ne ſont reglez d’ordinaire que par les intereſts qu’on prend.	Les doutes que l'on forme sur ces sortes de choses, ne sont réglez d'ordinaire que par les intérêts qu'on prend.
ERIPHILE.	ERIPHILE.
Pour qui, Soſtrate, pancheriez vous des deux?	Pour qui, Sostrate, pencheriez -vous des deux?
quel ent celuy, dites moy, que vous ſouhaiteriez que j’épouſaſſe?	quel ent celui, dites -moi, que vous souhaiteriez que j'épousasse?
TRATE.	TRATE.
Ah!	Ah!
Madame, ce ne ſeront pas mes ſouhaits, mais vôtre inclination qui décidera de la choſe.	Madame, ce ne seront pas mes souhaits, mais votre inclination qui décidera de la chose.
ERIPHILE.	ERIPHILE.
Mais ſi je me conſeillois à vous pour ce choix.	Mais si je me conseillais à vous pour ce choix.
STRATE.	STRATE.
Si vous vous conſeilliez à moy, je ſerois fort embaraſſé.	Si vous vous conseilliez à moi, je serais fort embarrassé.
ERIPHILE.	ERIPHILE.
Vous ne pourriez pas dire qui des deux vous ſemble plus digne de cette preference?	Vous ne pourriez pas dire qui des deux vous semble plus digne de cette préférence?
STRATE.	STRATE.
Si l’on s’en raporte à mes yeux, il n’y aura perſonne qui ſoit digne de cet honneur.	Si l'on s'en rapporte à mes yeux, il n'y aura personne qui soit digne de cet honneur.
Tous les Princes du monde ſeront trop peu de choſe pour aſpirer à vous;	Tous les Princes du monde seront trop peu de chose pour aspirer à vous;
les Dieux ſeuls y pourront pretendre, & vous ne ſouffrirez des hommes que l’encens, & les Sacrifices.	les Dieux seuls y pourront prétendre, et vous ne souffrirez des hommes que l'encens, et les Sacrifices.
ERIPHILE.	ERIPHILE.
Cela eſt obligeant, & vous eſtes de mes amis.	Cela est obligeant, et vous êtes de mes amis.
Mais je veux que vous me diſiez pour qui des deux vous vous ſentez plus d’inclination, quel eſt celuy que vous mettez le plus au rang de vos amis.	Mais je veux que vous me disiez pour qui des deux vous vous sentez plus d'inclination, quel est celui que vous mettez le plus au rang de vos amis.
RATE.	RATE.
Heſas!	Hésas!
perit garçon que tu es venu à propos.	périt garçon que tu es venu à propos.
SCENE V.	SCÈNE V.
ARISTIONE, IPHICRATE, TIMOCLES, ANAAARES CEITIDAS, SOSTRATE, ERIPHILE.	ARISTIONE, IPHICRATE, TIMOCLES, ANARES CEITIDAS, SOSTRATE, ERIPHILE.
ARISTIONE.	ARISTIONE.
N vous a demandée, ma Fille, & il y a des gens que vôtre abſence chagrine fort.	N vous a demandée, ma Fille, et il y a des gens que votre absence chagrine fort.
E RIAAIHE.	E RIAIHÉ.
Je per ſe, Madame, qu’on m’a demandée par compliment, & on ne s’inquiete pas tant qu’on vous dit.	Je per se, Madame, qu'on m'a demandée par compliment, et on ne s'inquiète pas tant qu'on vous dit.
ARISTIONE.	ARISTIONE.
On enchaîne pour nous icy tant de divertiſſemens les unsuun autres;	On enchaîne pour nous ici tant de divertissements les unsuun autres;
que touteonos neures ſonti retenuës, & lious il'avons aucun moment à perdre, ſi nous voulons les goûter tous.	que touteonos neures sonti retenues, et lious il'avons aucun moment à perdre, si nous voulons les goûter tous.
Entrons viſte dans le Bois, & voyons ce qui nous y attend;	Entrons vite dans le Bois, et voyons ce qui nous y attend;
ce lieu eſt le plus beau du monde, prenons viſte nos places.	ce lieu est le plus beau du monde, prenons vite nos places.
Fin du ſecond Acte.	Fin du second Acte.
TROI	TROY
TROISIE’ME INTERME’DE.	TROISIE'ME INTERME'DE.
E Theatre eſt une Foreſt, où la Princeſſe eſt Linvitée d’aller, une Nymphe luy en fait les honneurs en chantant, & pour la divertir on luy jouë une petite Comedie en Muſique, dont voicy le ſujet:	E Théâtre est une Forêt, où la Princesse est Linvitée d'aller, une Nymphe lui en fait les honneurs en chant, et pour la divertir on avait joue une petite Comédie en Musique, dont voici le sujet:
Un Berger ſe plaint à deux Bergers ſes amis, des froideurs de celle qu’il ayme, les deux amis le conſolent;	Un Berger se plaint à deux Bergers ses amis, des froideurs de celle qu'il aime, les deux amis le consolent;
& comme la Bergere aymée arrive, tous trois ſe retirent pour l’obſerver:	et comme la Bergère aimée arrive, tous trois se retirent pour l'observer:
aprés quelque plainte amoureuſe elle ſe repoſe ſur un gazon, & s’abandonne aux douceurs du ſommeil;	après quelque plainte amoureuse elle se repose sur un gazon, et s'abandonne aux douceurs du sommeil;
l’Amant fait approcher ſes amis pour contempler les graces de ſa Bergere, & invite toutes choſes à contribuër à ſon repos.	l'Amant fait approcher ses amis pour contempler les grâces de sa Bergère, et invite toutes choses à contribuer à son repos.
La Bergere en s’éveillant, voit ſon Berger à ſes pieds, ſe plaint de ſa pourſuite:	La Bergère en s'éveillant, voit son Berger à ses pieds, se plaint de sa poursuite:
Mais conſiderant ſa conſtance elle luy accorde ſa demande, & conſent d’en eſtre aymée en preſence des deux Bergers amis:	Mais considérant sa constance elle lui accorde sa demande, et consent d'en être aimée en présence des deux Bergers amis:
Deux Satyres arrivant ſe plaignent de ſon changement, & eſtant touchez de cette diſgrace, cherchent leur conſolation dans le vin.	Deux Satire arrivant se plaignent de son changement, et étant touchés de cette disgrâce, cherchent leur consolation dans le vin.
LES PERSONNAGES de la Paſtorale.	LES PERSONNAGES de la Pastorale.
La Nymphe de la Vallée de Tempé.	La Nymphe de la Vallée de Tempé.
Tircis.	Tircis.
Lycaſte.	Lycaste.
Menandre.	Ménandre.
Caliſte.	Caliste.
Deux Satyres.	Deux Satire.
PROLOGUE.	PROLOGUE.
LA NYMPHE DE TEMPE'.	LA NYMPHE DE TEMPE.
Venez preſter vos yeux aux innocens ébas Que noſtre deſert vous preſente;	Venez prêter vos yeux aux innocents ébas Que notre désert vous présente;
N’y cherchez point l’éclat des Feſtes de la Cour, On ne ſent icy que l’amour, Ce n’eſt que d’amour qu’on y chante.	N'y cherchez point l'éclat des Fêtes de la Cour, On ne sent ici que l'amour, Ce n'est que d'amour qu'on y chante.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
FIRCIS.	FIRCIS.
& Ous chantez ſous ces feuillages, Doux roſſignols pleins d’amour, Et de vos tendres ramages Vous reveillez tour à tour Les échos de ces bocages:	et Ous chantez sous ces feuillages, Doux rossignols pleins d'amour, Et de vos tendres ramages Vous réveillez tour à tour Les échos de ces bocages:
Helas!	Hélas!
petits oyſeaux, helas!	petits oiseaux, hélas!
Si vous aviez mes maux vous ne chanteriez pat.	Si vous aviez mes maux vous ne chanteriez pat.
SCENE DEUXIEME.	SCÈNE DEUXIÈME.
LICASTE, MENAIDRE, PIRCIS.	LICASTE, MENAIDRE, PIRCIS.
ASTE.	ASTE.
E' quoy toûjours languiſſant, ſombre, & triH de?	E' quoi toujours languissant, sombre, et triH de?
ME	ME
MENANDRE.	MENANDRE.
He quoy toufours aux preurs udandonné?	He quoi toufours aux prurs udandonné?
5.	5.
Toujours adorant Caliſte, Et toujours infortuné.	Toujours adorant Caliste, Et toujours infortuné.
ASTE.	ASTE.
Domte, domte, Berger, l'ennuy qui te poſſede.	Domte, domte, Berger, l'ennui qui te possède.
Eh le moyen, helas!	Eh le moyen, hélas!
RCIS.	RCIS.
MENANDRE.	MENANDRE.
Fais, Fau-toy quelque effort.	Fais, Fau-toi quelque effort.
1 R 1 S.	1 R 1 S.
Eh le mojen, netas:	Eh le mojen, netas:
quunu le mut eſt trop fort?	quunu le mut est trop fort?
ASTE.	ASTE.
Ce mal trouvera ſon remede.	Ce mal trouvera son remède.
Je ne gueriray qu’à ma mort.	Je ne guérirai qu'à ma mort.
LPOAJTES HI MENANDRE.	LPOAJTES HI MENANDRE.
Ah Tireu!	Ah Tireu!
RCIS.	RCIS.
Ah Bergers.	Ah Bergers.
LICASTE, ET MENANPRE.	LICASTE, ET MENANPRE.
Prens ſur toy plus d’empire.	Prends sur toi plus d'empire.
Rien ne me peur ferburir.	Rien ne me peur ferburir.
LICASTE, ET MENANDRE.	LICASTE, ET MENANDRE.
C’eſt trop, c’eſt trop ceder.	C'est trop, c'est trop céder.
IS.	IS.
C’eſt trop, c’eſt trop ſouffrira	C'est trop, c'est trop souffrira
LICASTE, ET MENANDRE.	LICASTE, ET MENANDRE.
Quelle foibleſſe!	Quelle faiblesse!
R CIS.	R CIS.
Quel martyre!	Quel martyre!
LICASTE, ET MENANDRE.	LICASTE, ET MENANDRE.
Il faut prendre courage.	Il faut prendre courage.
IRCIS.	JRCIS.
Il faut plutoſt mourir.	Il faut plutôt mourir.
ICASTE.	ICACSTE.
Il n’eſt point de Bergere Si froide, & ſi ſevere, Dont la preſſante ardeur D'un cœur qui perſevere Ne vainque la froideur.	Il n'est point de Bergère Si froide, et si sévère, Dont la pressante ardeur D'un cœur qui persévère Ne vainque la froideur.
MENANDRE.	MENANDRE.
Il eſt dans les affaires Des amoureux myſteres, Certains petits momens Qui changent les plus fieres, Et font d’heureux Amans.	Il est dans les affaires Des amoureux mystères, Certains petits moments Qui changent les plus fières, Et font d'heureux Amants.
S.	S.
Je la voy, la cruelle, Qui porte icy ſes pas, Gardons d’eſtre veu d’elle, L’Ingrate, helas!	Je la vois, la cruelle, Qui porte ici ses pas, Gardons d'être vu d'elle, L'Ingrate, hélas!
N’y viendroit pas.	N'y viendrait pas.
SCENE TROISIEME.	SCÈNE -TROISIÈME.
A CALISTE.	À CALISTE.
H que ſur nôtre cœur La ſevere Loy de l'honneur Prend un cruel empire!	H que sur notre cœur La sévère Loi de l'honneur Prend un cruel empire!
Je ne fais voir que rigueurs pour Tircis, Et cependant ſenſicle à ſes cuiſans ſoucis, De ſa langueur en ſecret je ſoupire, Et voudrois bien ſoulager ſon martyre, C’eſt à vous ſeuls que je le dis, Arbres, n’allez pas le redire.	Je ne fais voir que rigueurs pour Tircis, Et cependant sensicle à ses cuisants soucis, De sa langueur en secret je soupire, Et voudrais bien soulager son martyre, C'est à vous seuls que je le dis, Arbres, n'allez pas le redire.
Puiſque le Ciel a voulu nous former Avec un cœur qu'Amour peut enflammer, Quelle rigueus mupuijuere.	Puisque le Ciel a voulu nous former Avec un cœur qu'Amour peut enflammer, Quelle rigueus mupuijuere.
Helas!	Hélas!
que vous eſtes heureux Iunocens Animaux de vivre ſans contrainte, Et de pouvoir ſuivre ſans crainte Les doux emportemens de vos cœurs amoureux?	que vous êtes heureux Junocents Animaux de vivre sans contrainte, Et de pouvoir suivre sans crainte Les doux emportements de vos cœurs amoureux?
Helas!	Hélas!
petits oyſeaux que vous eſtes heureux De ne ſentir nulle contrainte, Et de pouvoir ſuivre ſans crainte Les doux emportemens de vos cœurs amoureux.	petits oiseaux que vous êtes heureux De ne sentir nulle contrainte, Et de pouvoir suivre sans crainte Les doux emportements de vos cœurs amoureux.
Mais le ſomeil ſur ma paupiere Verſe de ſes Pavots l’agreable fraiſcheur, Donnons-nous à luy toute entiere, Nous n’avons point de Loy ſevere cr aqende à nos jens u en goarer lu dontenre, Contre des traits ſi doux nous force à nous armer, Et pourquoy ſans eſtre blâmable Ne peut on pas aymer Ce que l’on trouve aymable?	Mais le someil sur ma paupière Verse de ses Pavots l'agréable fraîcheur, Donnons-nous à lui notre entière, Nous n'avons point de Loi sévère cr aqende à nos jens en goarer lu dontenre, Contre des traits si doux nous force nous armer, Et pourquoi sans être blâmable Ne peut on pas aimer Ce que on trouve aimable?
SCENE QUATRIEME.	SCÈNE QUATRIÈME.
TIRCIS, LICASTE, MENANDRE.	TIRCIS, LICASTE, MENANDRE.
TIRCHS.	TIRCHS.
*Ers ma beue ennemie Portons ſans bruit nos pas, Et ne reveillons pas Sa rigueur endormie.	*Ers ma bue ennemie Portons sans bruit nos pas, Et ne réveillons pas Sa rigueur endormie.
TOUSTROIS.	TOUSTROIS.
Dormez, dormez beaux yeux, adorables vainqueurs, Et goutez le repos que vous oſtez aux cœurs, Dormez, dormez beaux yeux.	Dormez, dormez beaux yeux, adorables vainqueurs, Et goûtez le repos que vous ôtez aux cœurs, Dormez, dormez beaux yeux.
1	1
cIS.	cIS.
Silence, petits oyſeaux, Vents n’agitez nulle choſe, Coulez doucement ruiſſeaux, C’eſt Caliſte qui repoſe.	Silence, petits oiseaux, Vents n'agités nulle chose, Coulez doucement ruisseaux, C'est Caliste qui repose.
ous TROIS.	ous TROIS.
Dormez, dormez beaux yeux, adorables vainqueurs, Et goutez le repôs que vous oſtez aux cœurs, Dormez, dormez beaux yeux.	Dormez, dormez beaux yeux, adorables vainqueurs, Et goûtez le repôs que vous ôtez aux cœurs, Dormez, dormez beaux yeux.
LISTE.	LISTE.
Ah quelle peine extréme!	Ah quelle peine extrême!
Suivre par tout mes pas.	Suivre par tout mes pas.
1S.	1S.
Que voulez vous qu'on ſuive, helas!	Que voulez -vous qu'on suive, hélas!
Qie ce qu'on ayme?	Qie ce qu'on aime?
LISTE.	LISTE.
Berger que voulez vous?	Berger que voulez -vous?
S.	S.
Mourir, belle Bergere, Mouin à vo genoux, Et finir ma miſere, Puiſqu’en vain à vos pieds on me voit ſoupirer, n.	Mourir, belle Bergère, Mouin à vo genoux, Et finir ma misère, Puisqu'en vain à vos pieds on me voit soupirer, n.
y Juii deglas	y Jui déglas
STE Ah Tircis, oſtez vous, j’ay peur que dans ce jour La pitié dans mon cœur n’introduiſe l’amour.	SITE Ah Tircis, ôtez -vous, j'ai peur que dans ce jour La pitié dans mon cœur n'introduise l'amour.
LICASTE, Er MENANDRE.	LICASTE, Er MENANDRE.
I’un aprés l’autre.	J'un après l'autre.
Soit amour, ſoît pitié, Il ſied bien d’eſtre tendre;	Soit amour, sout pitié, Il sied bien d'être tendre;
C’eſt par trop vous déſendre Bergere, il faut ſe rendre A ſa longue amitié, Il ſied bien d’eſtre tendre.	C'est par trop vous dèsendre Bergère, il faut se rendre À sa longue amitié, Il sied bien d'être tendre.
L 1 s r E.	L 1 s r E.
C'eſt trop, c’eſt trop de rigueur, J’ay mal-traité vôtre ardeur Cheriſſans Cheriſſant vôtre perſonne, Vangez vous de mon cœur Tircis, je vous le donne.	C'est trop, c'est trop de rigueur, J'ai mal-traité votre ardeur Chérissants Chérissant votre personne, Vengez vous de mon cœur Tircis, je vous le donne.
S.	S.
O Ciel!	Ô Ciel!
Bergers!	Bergers!
Caliſte!	Caliste!
ah je juis nors de moy?	ah je juis nors de moi?
Si l’on meurt de plaiſir je dois perdre la vie.	Si l'on meurt de plaisir je dois perdre la vie.
TE.	TE.
Digne prix de ta foy.	Digne prix de ta foi.
ANDRE.	ANDRÉ.
O ſort digne d'envie!	Ô sort digne d'envie!
SCENE CINQUIEME.	SCÈNE CINQUIÈME.
DEVASATTRES, TIRCIS, LIe CASTE, CALISTE.	DEUASATTTRES, TIRCIS, LIe CASTE, CALISTE.
Premier SATYRE.	Premier SATYRE.
voy tu me fuis ingrate, & je te vois icy De ce heiger à moy qune me prejerence?	vois tu me fuis ingrate, et je te vois ici De ce higer à moi qune me préjérence?
Deuxiéme SATYRE.	Deuxième SATYRE.
Quoy mes ſoins n’ont rien pû ſur ton indifference, Et pour ce langoureux ton cœur s’eſt àdoucy?	Quoi mes soins n'ont rien pu sur ton indifférence, Et pour ce langoureux ton cœur s'est àdouci?
s TE.	s TE.
Le deſtin le veut ainſi, Prenez tous deux patience.	Le destin le veut ainsi, Prenez tous deux patience.
Premier SATYRE.	Premier SATYRE.
Aux amans qu’on pouſſe à bout L’amour fait verſer des larmes:	Aux amants qu'on pousse à bout L'amour fait verser des larmes:
Mais ce n’eſt pas nôtre gouſt, Et la bouteille a des charmes Qui nous conſolent de tout.	Mais ce n'est pas notre goût, Et la bouteille a des charmes Qui nous consolent de tout.
Deuxiéme SATYRE.	Deuxième SATYRE.
Nôtre amour n’a pas toûjours Tout le bon-heur qu’il deſire:	Notre amour n'a pas toujours Tout le bonheur qu'il désire:
Mais nous avons un ſecours, Et le bon vin nous fait rire Quand on rit de nes amours.	Mais nous avons un secours, Et le bon vin nous fait rire Quand on rit de nés amours.
u s.	u s.
Champeſtres Divinitez, Faunes, Driades, ſortez De vos paiſibles retraites;	Champestres Divinités, Faunes, Driades, sortez De vos paisibles retraites;
Meſlez vos pas à nos ſons;	Meslez vos pas à nos sons;
Et tracez jui tes nerbettes L’image de nos chanſons.	Et tracez jui tes nerbettes L'image de nos chansons.
PREMIERE ENTRE’E DE BALLET.	PREMIÈRE ENTRE DE DE BALLET.
N meſme temps ſix Driades & ſix Faunes Dſortent de leurs demeures, & font enſemble une dance agreable, qui s’ouvrant tout d’un coup, laiſſe voir un Berger & une Bergere, qui font en Muſique une petite Scene d’un dépit amoureux.	 Notre temps six Dryades et six Faunes Dsortent de leurs demeures, et font ensemble une dance agréable, qui s'ouvrant tout d'un coup, laisse voir un Berger et une Bergère, qui font en Musique une petite Scène d'un dépit amoureux.
DEPTT AMOUREUX.	DEPT AMOUREUX.
CLIMENE, PHILINTE.	CLIMENE, PHILINTE.
LINTE.	LINTE.
Vand je plaiſois à tes yeux J’eſtois content de ma vie, Et ne voyois Roy ny Dieux Dont le ſort me fit envie.	Vand je plaisais à tes yeux J'étais content de ma vie, Et ne voyais Roy y Dieux Dont le sort me fit envie.
LIMENE.	LIMENE.
Lors qu’à toute autre perſonne Me preferoit ton ardeur, J’aurois quitté la Couronne Pour regner deſſus ton cœur.	Lors qu'à toute autre personne Me préferait ton ardeur, J'aurais quitté la Couronne Pour régner dessus ton cœur.
NILINTE.	NILINTE.
Un autre a guery mon ame Des feux que j’avois pour toy.	Un autre a guéri mon âme Des feux que j'avais pour toi.
CLIMENE.	CLIMENE.
Un autre a vangé ma flâme Des foibleſſes de ta foy.	Un autre a vengé ma flamme Des faiblesses de ta foi.
PAIE.	PAIE.
Cloris qu’on vante ſi fort, Meſme d’une ardeur fidelle;	Cloris qu'on vante si fort, Même d'une ardeur fidèle;
Si ſes yeux vouloient ma mort Je mourrois content pour elle.	Si ses yeux voulaient ma mort Je mourrais content pour elle.
MENE.	MÈNE.
Mirtil ſi digne d’envie, Me cherit plus que le jour, Et moy je perdrois la vie Pour luy montrer mon amour.	Mirtil si digne d'envie, Me chérit plus que le jour, Et moi je perdrais la vie Pour lui notre mon amour.
E.	E.
Mais ſi d’une douce ardeur Mpi renaiſſante trace Chaſſoit Cloris de mon cœur Pour te remettre en ſa place.	Mais si d'une douce ardeur Mpi renaissante trace Chassait Cloris de mon cœur Pour te remettre en sa place.
1 MENE.	1 MÈNE.
Bien qu’avec pleine tendreſſe Mliiiil ine puijje chenir, Avec toy, je le confeſſe, Je voudrois vivre & mourir.	Bien qu'avec pleine tendresse Mliquiil iné puijje chenir, Avec toi, je le confesse, Je voudrais vivre et mourir.
TOUS DEUX ENSEMBLE.	TOUS DEUX ENSEMBLE.
Ah plus que jamais aymons-nous, Et vivons & mourons en des liens ſi doux.	Ah plus que jamais aimons-nous, Et vivons et mourons en des liens si doux.
TOUS LES ACTEURS de la Comedie chantent.	TOUS LES ACTEURS de la Comédie chantent.
Mans que vos querelles Sont aymables & belles, Qu'on y voit ſucceder Querellez vous ſaus ceſſe Pour vous racommoder!	Mais que vos querelles Sont aimables et belles, Qu'on y voit succéder Querellez vous saus se Pour vous racommoder!
DEUX	DEUX
DEUXIEME ENTRE’E DE BALLET.	DEUXIÈME ENTRE DE DE BALLET.
