a ded	a déd
E ij	E ij
ORANTE.	ORANTE.
Eſt naſfez uiſerti pour tuy momtrer ma flame?	Est nasfés uiserti pour tu momtrer ma flamme?
NERINE.	NERINE.
Vn ſecretimportant, l’eſt touſiours dans ſon ame:	Un secrétimportant, l'est toujours dans son âme:
Iſimandre, ſans doute, a beſoin de cela:	Isimandre, sans doute, a besoin de cela:
ORANTE.	ORANTE.
Ie le veux :	Je le veux :
mais Floran.	mais Floran.
VERINE.	VÉRINE.
Madame, le voila.	Madame, le voilà.
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
PLORANGE, ORANTE, NERINE.	PLORANGE, ORANTE, NERINE.
FLORANGE.	FLORANGE.
On abord vous deſplaist;	On abord vous déplaît;
mon reſpect vous offence;	mon respect vous offense;
Mais contre vos rigueurs, Amour prend ma deffence .	Mais contre vos rigueurs, Amour prend ma défense .
Et promet à mon cœur, pour le reconforter, La force de les vaincre, ou de les ſupporter.	Et promet à mon cœur, pour le réconforter, La force de les vaincre, ou de les supporter.
ORANTE.	ORANTE.
Mettez vous en repos, ſans parler dauantage;	Mettez -vous en repos, sans parler davantage;
Ie vous dois dureſpect, à cauſe de voſtre aage.	Je vous dois durespet, à cause de votre âge.
FLORANGE.	FLORANGE.
Mon feu ne peut ſouffrir vn ſi froid compliment:	Mon feu ne peut souffrir un si froid compliment:
Vous me traittez en Pere, & non pas en Amant!	Vous me traitez en Père, et non pas en Amant!
E iij Ha!	E ij à!
veuïllez adoucir mes peines obſtinées;	vuillez adoucir mes peines obstinées;
Et compter mon argent pluſtoſt que mes années;	Et compter mon argent plutôt que mes années;
Pour faire que mon Aſtre, ait vn aspect plus dous, Ooixta jai mion aAinonr qr ſennecomme voms.	Pour faire que mon Être, ait un aspect plus dous, Ooixta jai myon aAinonr qr sennecomme voms.
ORANTE.	ORANTE.
Songez que le Sepulcre eſt prés de voſtre couche, Et qu’Ormin vous deffend d’en ouurir plus la bouche;	Songez que le Sépulcre est près de votre couche, Et qu'Ormin vous défend d'en ouvrir plus la bouche;
FLORANGE.	FLORANGE.
Ormin peut tout ſur moy, mais rien ſur mon amour:	Ormin peut tout sur moi, mais rien sur mon amour:
Il ne peut me l’oſter, qu’en me priuant du iour.	Il ne peut me l'ôter, qu'en me privant du jour.
Sa foy me veut trahir, mais en cette aduanture, Lucina Mon Amour outragé s’adreſſe à la Nature:	Sa foi me veut trahir, mais en cette aventure, Lucina Mon Amour outragé s'adresse à la Nature:
Madame, c’eſt de vous que i’attends auiourd’huy, Ou ma premiere ioye, ou mon dernier ennuy:	Madame, c'est de vous que j'attends aujourd'hui, Ou ma première joie, ou mon dernier ennui:
Ormineſt ſans paro le, Orante me mespriſe;	Orminêt sans paro le, Orante me méprise;
Et ce iour pour mon ame, eſt bien vn iour de criſe.	Et ce jour pour mon âme, est bien un jour de crise.
Prononçant vn arreſt, que i’attends à genous, Vuidez le different, qui s'eſmeut entre nous.	Prononçant un arrêt, que j'attends à genous, Videz le différent, qui s'émut entre nous.
SCENE CINQVIESME.	SCÈNE CINQUIÈME.
LVCINDE, ORANTE, FLORANGE, NERINE,	LUCINDE, ORANTE, FLORANGE, NERINE,
LVCINDE.	LUCINDE.
L A parole tiendra, puis que ie l'ay donnée:	L À parole tiendra, puis que sans l'ai donnée:
POE ORANTE.	POE ORANTE.
Amour eſt bien vn Dieu plus puiſſant qu’Hymenée.	Amour est bien un Dieu plus puissant qu'Hyménée.
Ha, Monſieur!	Ha, Monsieur!
on me force, & les Cieux ennemis, omia Veulent m’oster vn bien que vous m’auez promis.	on me force, et les Cieux ennemis, omia Veulent m'ôter un bien que vous m'avez promis.
SCENE SIXIESME.	SCÈNE SIXIÈME.
ORMIN, FLORANGE, ORANTE, LVCINDE, NERINE.	ORMIN, FLORANGE, ORANTE, LUCINDE, NERINE.
ORMIN.	ORMIN.
Vi vous fait ſi hardy, que de m’eſtre rebelle?	Vi vous fait si hardi, que de m'être rebelle?
TLORANGE.	TLORANGE.
Fermez l’œil pour ma faute, & voyez cette Belle.	Fermez l'œil pour ma faute, et voyez cette Belle.
ORMIN.	ORMIN.
Allez, ſi iamais plus vous procedez ainſi, Ie vous feray bien voir, que ie commande icy.	Allez, si jamais plus vous procédez ainsi, Je vous ferai bien voir, que mon commande ici.
Madame, ce Mary n’est pas bon pour OranLeur âge est ineſgal, leur humeur differente;	Madame, ce Mari n'est pas bon pour OranLeur âge est inégal, leur humeur différente;
Pour agir là deſſus auecque iugement, Souffrez que ie vous meine à voſtre Appartement.	Pour agir là dessus apprendre jugement, Souffrez que je vous mène à votre Appartement.
ORANTE.	ORANTE.
Seruons nous du loiſir qui nous vient ſans l’attendre;	Servons -nous du loisir qui nous vient sans l'attendre;
Depeſchons Lindoman au fidele Iſimandre;	Dépêchons Lindoman au fidèle Isimandre;
Afin que ſon esprit, où regne la raiſon, Tue te miendt ptint, & moncoipsut priſon.	Afin que son esprit, où règne la raison, Tue te miendt putint, et moncoipsut prison.
SCENE SEPTIESME.	SCÈNE SEPTIÈME.
ISIMANDRE.	ISIMANDRE.
Ve l’attente eſt faſcheuſe à l’Amant qui ſouſpire!	Ve l'attente est fâcheuse à l'Amant qui soupire!
Qu vn bien ſemble tardif alors qu’onle deſire!	Qu' un bien semble tardif alors qu'onle désire!
Le cours d’vn Siecle entiera bienmoins de moments, Que la crainte & l’eſpoir ne donnent de tourments.	Le cours d'un Siècle entiera bienmoins de moments, Que la crainte et l'espoir ne donnent de tourments.
Pareſſeux Meſſager, qui fais languir mon ame, Reſouds toy de quitter les beaux yeux de ma Dame:	Paresseux Messager, qui fais languir mon âme, Résouds toi de quitter les beaux yeux de ma Dame:
Voy mes maux, ſonge à moy, regarde ton deuoir;	Vois mes maux, songe à moi, regarde ton devoir;
Et ſois prompt à venir, ſi tu me veux reuoir.	Et sois prompt à venir, si tu me veux revoir.
Penſe que ta longueur, m’aſſaßine, & me tuë;	Pense que ta longueur, m'assassine, et me tue;
Toy ſeul peux releuer ma pauure ame abatuë:	Toi seul peux relever ma pauvre âme abattue:
Souffre que mes deſirs t’arrachent de ce Ciel;	Souffre que mes désirs t'arrachent de ce Ciel;
Voudrois-tu du Nectar, quand ie n’ay que dufiel?	Voudrais-tu du Nectar, quand je n'ai que dufiel?
Ton immortalité me couſteroit la vie:	Ton immortalité me coûterait la vie:
He!	He!
ſois plus pitoyable, en ſuiuant mon enuie:	sois plus pitoyable, en suivant mon envie:
Tu m’as cent fois promis d’aider à mon deſſein;	Tu m'as cent fois promis d'aider à mon dessein;
Ha bons Dieux!	Ha bons Dieux!
le voicy;	le voici;
le cœur me bat au ſein;	le cœur me bat au sein;
Ie tremble en remarquant, qu’il s’eſt peintle viſage De la paſle couleur d’vn funeste preſage;	Je tremble en remarquant, qu'il s'est peintle visage De la pâle couleur d'un este presage;
Latriſteſſe leſuit, & marche ſur ſes pas;	Latristesse lesuit, et marche sur ses pas;
Ie lis dedans ſes yeux cequ’ilne me dit pas;	Je lis dedans ses yeux cequ'ilne me dit pas;
Et dans l’incertitude où me met ſon ſilence, L’excez de mon ſupplice, accroiſt ſa violence:	Et dans l'incertitude où me met son silence, L'excès de mon supplice, accroît sa violence:
Mes pleurs ſuiuent les ſiens, ſans en voir le ſubiet;	Mes pleurs suivent les siens, sans en voir le sujet;
Toy qui fais ma douleur, monſtre luy ſon obiet.	Toi qui fais ma douleur, montre Seigneur son objet.
Ne me le cele point;	Ne me le cèle point;
veut-on forcer Orante?	veut-on forcer Orante?
As tu veu les abois de ſa vertu mourante?	As tu vu les abois de sa vertu mourante?
As tu veu ſon esprit à trauers ſondi ſcours?	As tu vu son esprit à travers sondi scours?
N'implore-t’elle point le pouuoir de mes armes?	N'implore-t-elle point le pouvoir de mes armes?
N’as tu point veu ſes pleurs, comme tu vois mes larmes?	N'as tu point vu ses pleurs, comme tu vois mes larmes?
Ne m’eſcrit-elle pas?	Ne m'écrit-elle pas?
que ſert de le celer?	que sert de le celer?
Enfin, dois-ie mourir?	Enfin, dois-je mourir?
où ſi tu dois parler?	où si tu dois parler?
SCENE HVICTIESME.	SCÈNE HVICTIESME.
CLINDOR, ISIMANDRE.	CLINDOR, ISIMANDRE.
CLINDOR.	CLINDOR.
IIe Vſte Ciel, ie voudrois dans le mal qui me 15 touche, Qu'vn ſilence eternel me vint fermer la bouche:	IIe Ute Ciel, ie voudrais dans le mal qui me 15 touche, Qu'un silence éternel me vint fermer la bouche:
ISIMANDRE.	ISIMANDRE.
N’adiouſte point aux miens, tes regrets ſuperflus;	N'ajoute point aux miens, tes regrets superflus;
Prononce mon arreſt;	Prononce mon arrêt;
CLINDOR.	CLINDOR.
Orante ne vit plus, Elle a voulu mourir, plustoſt qu’aller au change;	Orante ne vit plus, Elle a voulu mourir, plutôt qu'aller au change;
Elle vous adoroit, & n’aimoit point FloranQue le pouuoir d’Ormin luy donnoit pour Eſpous;	Elle vous adorait, et n'aimait point FloranQue le pouvoir d'Ormin lui donnoit pour Espous!
Enfin, que vous diray-ie, elle est morte pour vous.	Enfin, que vous dirai-je, elle est morte pour vous.
Et trouuant vn remede aux rigueurs de ſes peines, Sa generoſité s'eſt fait coupper les veines:	Et trouvant un remède aux rigueurs de ses peines, Sa générosité s'est fait coupper les veines:
Ce tragique Teſmoing vous dira mieux que moy, c’onn Queitt jui jonamont, ſa tonſtance, & ja foy.	Ce tragique Témoing vous dira mieux que moi, c'onn Ut jui jonamont, sa tonstance, et ja foi.
ISIMANDRE.	ISIMANDRE.
Tout ce que tu me dis est remply de menſonge:	Tout ce que tu me dis est rempli de mensonge:
E on cerueau debile a fait vn mauuais ſonge.	E on cerveau débile a fait un mauvais songe.
Orante ne vit plus!	Orante ne vit plus!
Orante eſt au cercueil!	Orante est au cercueil!
Dois-ie croire ta voix?	Dois-je croire ta voix?
dois-te croire mon gil?	dois-te croire mon gil?
C’eſt de toy cher papier que ie le veux apprendre:	C'est de toi cher papier que je le veux apprendre:
BILLET.	BILLET.
Tienne ie meurs, mon Iſimandre.	Tienne ie meurs, mon Isimandre.
Il n’en faut plus douter;	Il n'en faut plus douter;
par la rigueur du ſort, La vertu ne vit plus, & le Soleil est mort.	par la rigueur du sort, La vertu ne vit plus, et le Soleil est mort.
Il n'en fautplus douter;	Il n'en fautplus douter;
ſa plume veritable, Ne m’a que trop bien peint ſa perte lament able:	sa plume véritable, Ne m'a que trop bien peint sa perte lament able:
Il n’en faut plus douter;	Il n'en faut plus douter;
elle abandon ie aux vers, Le plus rare threſor qui fuſt en l’Vniuers.	elle abandon rien aux vers, Le plus rare tor qui fût en l'Univers.
Orante ne vit plus!	Orante ne vit plus!
Orante n’eſt que poudre:	Orante n'est que poudre:
Et moy ie ne meurs pas apres ce coup de foudre!	Et moi ici ne meurs pas après ce coup de foudre!
Apres l’auoir ſouffert, ie reſpire vn moment:	Après l'avoir souffert, Elle respire un moment:
Ha!	Ha!
ie ne me crois plus vn veritable Amant:	Ne ne me crois plus un véritable Amant:
Ie flattois mon esprit, en l’eſtimant fidelle;	Je flattais mon esprit, en l'estimant fidèle;
S’il euſt ſçeu bien aimer, il ſeroit aupres d’elle;	S'il eût su bien aimer, il serait auprès d'elle;
Quand la bleſſure eſt grande onfinit ſans parler;	Quand la blessure est grande onfinit sans parler;
Et celuy qui ſe pleint, taſche à ſe conſoler.	Et celui qui se pleint, tâche à se consoler.
Chere Ombre, ie te ſuis, ſi tume veux attendre:	Chère Ombre, Seigneur te suis, si tume veux attendre:
BILLET.	BILLET.
Tienne ie meurs, mon Iſimandre.	Tienne ie meurs, mon Isimandre.
He n’eſt-ce pas respondre, à mon cœur, à ma voix?	He n'est-ce pas répondre, à mon cœur, à ma voix?
Diſant ce qu’elle a fait, on dit ce que iedois.	Disant ce qu'elle a fait, on dit ce que iedois.
Caracteres ſanglans, entrez dans ma penſée;	Caractères sanglants, entrez dans ma pensée;
Repreſentez y bien mon Orante bleſſée;	Représentez y bien mon Orante blessée;
illieQue le traict de la Mort, la peigne en monesprit, En l’eſtat qu’elle eſtoit, en traçant cét eſcrit;	illieQue le trait de la Mort, la peigne en monesprit, En l'état qu'elle était, en traçant cet écrit;
Ha!	Ha!
ie voyce Phantoſme, & ſa main taſche à mettre, Les derniers traits de l’ame en ceux de cette lettre;	Elle voyce Phantôme, et sa main tâche à mettre, Les derniers traits de l'âme en ceux de cette lettre;
Et l’Amour ſemble dire à mon cœur priſonnier, Tout le ſang eſt ſorty, i’y reſte le dernier.	Et l'Amour semble dire à mon cœur prisonnier, Tout le sang est sorti, j'y reste le dernier.
Suy moy dans les Enfers, où ie m'en vay deſcendre.	Sui moi dans les Enfers, où belle m'en vais descendre.
BILLET.	BILLET.
Tienneie meurs, mon Iſimandre.	Tienneie meurs, mon Isimandre.
F ii.	 Fi.
Il relit.	Il relit.
Attends, O rante, attends, mon ame qui te ſuit;	Attends, Ô rante, attends, mon âme qui te suit;
Ne t’en va point ſans elle en l’eternelle nuit;	Ne t'en va point sans elle en l'éternelle nuit;
Iuge de mon amour, iuge de ta puiſſance;	Juge de mon amour, juge de ta puissance;
Remarque l’vne & l’autre en mon obeïſſance;	Remarque l'une et l'autre en mon obéissance;
Mais ſouffre que ie pouſſe en vn meſme chemin, Et le traistre Florange, & le cruel Ormin:	Mais souffre que Rome pousse en Un même chemin, Et le traître Florange, et le cruel Ormin:
Permets que nous gouſtions ceſte douce allegeance, Que les cœurs irritez trouuent en la vangeance;	Permets que nous goûtions cette douce allégeance, Que les cœurs irrités trouvent en la vengeance;
Mon eſprit au tombeau ne peut eſtre endormy.	Mon esprit au tombeau ne peut être endormi.
S’il ne meſle à mon ſang celuyde l’ennemy:	S'il ne mêle à mon sang celuide l'ennemi:
Ma Deeſſe demande vn pareil ſacrifice:	Ma Déesse demande un pareil sacrifice:
Partons Clindor, allons luy rendre cét office;	Partons Clindor, allons Seigneur rendre cet office;
Et quand i’auray puny ces volleurs de monbien, Ie respandray mon ſang ſur les marques du ſien.	Et quand j'aurai puni ces volleurs de monbien, Je répandrai mon sang sur les marques du sien.
ACTE TROISIESME.	ACTE -TROISIÈME.
FLORANGE, ISIMANDRE, LINDOMAN, CLINDOR, PALINICE, LVCINDE, NERINE, ORMIN.	FLORANGE, ISIMANDRE, LINDOMAN, CLINDOR, PALINICE, LUCINDE, NERINE, ORMIN.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
FLORANGE.	FLORANGE.
A peine que ie ſens leur eſt indifferante:	À peine que ie sens leur est indifférante:
Amour que dois-ie faire?	Amour que dois-je faire?
on me rauit Orante;	on me ravit Orante;
O toy qui le fais naiſtre, aßiſte mon ennuy;	Ô toi qui le fais naître, assiste mon ennui;
Ou ſi tu vis d’espoir, meurs außi bien que luy.	Ou si tu vis d'espoir, meurs aussi bien que Vous.
Monextreme douleur n’a rien qui la conſole;	Monextrême douleur n'a rien qui la console;
Orante eſt ſans amour, Ormin eſt ſans parole;	Orante est sans amour, Ormin est sans parole;
Que dis-ie mal-heureux?	Que dis-je malheureux?
Elle a donne ſa foy;	Elle a donne sa foi;
Elle est bien ſans amour, maisce n’eſt que pour moy.	Elle est bien sans amour, maisce n'est que pour moi.
I’ay ſceu comme Iſimandre occupe ſa belle ame;	J'ai su comme Isimandre occupe sa belle âme;
Son cœur eſt conſommé d'vne ſecrete flame;	Son cœur est consommé d'une secrète flamme;
Mais croyant que mon œil ne le ſçauroit ouurir, L’Amour qu’elle acaché me l’a fait deſcouurir.	Mais croyant que mon œil ne le saurait ouvrir, L'Amour qu'elle acaché me l'a fait découvrir.
Ha qu’on voit clairement, en deſpit dela feinte, Si le cœur eſt ſans playe, ou ſi l’ame eſt atteinte;	Ha qu'on voit clairement, en dépit déla feinte, Si le cœur est sans plaie, ou si l'âme est atteinte;
L’œil d’vn Amant ialoux, voit tout, peut tout percer;	L'œil d'un Amant jaloux, voit tout, peut tout percer;
Et meſme dans l’eſprit il ſurprend vn penſer:	Et même dans l'esprit il surprend un penser:
Vn ſouſris, vne larme, vn ſouspir, vne œillade, Sont indices certains que l’esprit eſt milade, Sur quoy l’homme ſubtil fonde ſon iugement:	Un sousris, une larme, Seigneur soupir, une œillade, Sont indices certains que l'esprit est milleade, Sur quoi l'homme subtil fonde son jugement:
Celuy qui ſouffre vn mal le connoiſt aiſément.	Celui qui souffre un mal le connaît aisément.
Il n’est que trop certain qu’Orante aime Iſimandre:	Il n'est que trop certain qu'Orante aime Isimandre:
Mais puis qu’elle eſt à moy, ie ſçauray la deffendre;	Mais puis qu'elle est à moi, ie sçauray la défendre;
Naples n’eſt pas ſi loing, ny ſon bon-heur ſi pres;	Naples n'est pas si loin, ni son bonheur si pres;
Tel cherche du laurier, qui trouue du Cyprés.	Tel cherche du laurier, qui trouve du Cyprès.
Et bien que ce Riual ait la place occupée, Il faudra qu’il la prenne au bout de moneſpée;	Et bien que ce Rival ait la place occupée, Il faudra qu'il la prenne au bout de monespée;
Ormin, la Mere, Orante, Iſimandre, & le ſort, Ne peuuent me l’oſter, qu'en me donnantla mort.	Ormin, la Mère, Orante, Isimandre, et le sort, Ne peuvent me l'ôter, qu'en me donnantla mort.
SCENE SECONDE.	SCÈNE SECONDE.
ISIMANDRE, LINDOMAN, CLINDOR.	ISIMANDRE, LINDOMAN, CLINDOR.
VUG ISIMANDRE.	VUG ISIMANDRE.
Rante n’eſt pas morte!	Rante n'est pas morte!
Orante vit encore!	Orante vit encore!
Fidele Meſſager, il faut que ie t’adore.	Fidèle Messager, il faut que Ne t'adore.
LINDOMAN.	LINDOMAN.
Quoy Monſieur, doutez vous, d’vn bon-heur aſſeuré?	Quoi Monsieur, doutez -vous, d'un bonheur assuré?
Vos yeux verront bien toſt ce que i’ay tant iuré;	Vos yeux verront bien tôt ce que j'ai tant juré;
Nous approchons de Piſe, & dans l’heure où nous ſommes, Uous vous confeſſerez le plus heureux des hommes.	Nous approchons de Pise, et dans l'heure où nous sommes, Uous vous confesserez le plus heureux des hommes.
Cét habit de Marchand rauira vos eſprits, Dans vn autre deſſein que vous ne l’auiez pris:	Cet habit de Marchand ravira vos esprits, Dans un autre dessein que vous ne l'aviez pris:
Et ſans vous en ſeruir contre voſtre aduerſaire, Pour approcher d’Orante, il vous eſt neceſſaire.	Et sans vous en servir contre votre adversaire, Pour approcher d'Orante, il vous est nécessaire.
ISIMANDRE.	ISIMANDRE.
O rante!	Ô rante!
ce beau nom, me charme, & me rauit;	ce beau nom, me charme, et me ravit;
Mais bien-heureux papier, redis moy qu'elle vit.	Mais bienheureux papier, redis -moi qu'elle vit.
LETTRE.	LETTRE.
L’esperance m’eſtant oſtée, Le trespas me ſembla fort doux;	L'espérance m'étant ôtée, Le trépas me sembla fort doux;
L amour me ſitmoun, e ma reſſaſenée.	L amour me sitmoun, e ma ressasenée.
Mais ie veux que ce ſoit pour vous.	Mais ici veux que ce soit pour vous.
Hſa tropheureux Amant!	Hsa tropheureux Amant!
O trop fidelle Amante!	Ô trop fidèle Amante!
Diemquete caume pupqoru pupuui tourmente, Miracle de nos iours, incomparable foy, Ce re voue dois ie pemrvere Crmeari perrmy	Diemquete caume pupqoru pupui tourmente, Miracle de nos jours, incomparable foi, Ce re voue dois Madame pemrvere Crmeari permi
Mon fanguua qe monconnige;	Mon fangua qe monconnige;
Mais apprenez de ce diſcours;	Mais apprenez de ce discours;
Que pour ſauuer le reste, apres ce grand orage, I’ay beſoin de voſtre ſecours.	Que pour sauver le reste, après ce grand orage, J'ai besoin de votre secours.
Vous l’aurez chere Orante, & pour voir tant de charmes;	Vous l'aurez chère Orante, et pour voir tant de charmes;
Amour ioindra ſa force à celle de mes armes:	Amour joindra sa force à celle de mes armes:
I’auray pour obeïr à ce diuineſcrit, Autant de force aubras, comme vous en l’eſprit.	J'aurai pour obéir à ce divinescrit, Autant de force auras, comme vous en l'esprit.
Soyez diſcret, ſoyez fidelle, Sans eſtre connu dans ce lieu:	Soyez discret, soyez fidèle, Sans être connu dans ce lieu:
Orante vous permet de venir aupres d’elle;	Orante vous permet de venir auprès d'elle;
Vollez s’il eſt poßible;	Vollez s'il est possible;
adieu.	adieu.
Obſeruons de tout point les loix de ma Maiſtreſſe:	Observons de tout point les lois de ma Maîtresse:
Aide par tes aduis au deſir qui me preſſe:	Aide par tes avis au désir qui me presse:
Apprends moy Lindoman, par ton ſage conſeil, Sans eſtre veu d’aucun d’approcher du Soleil.	Apprends moi Lindoman, par ton sage conseil, Sans être vu d'aucun d'approcher du Soleil.
LINDOMAN.	LINDOMAN.
Laruſe d’vn Demon ne verroit pas la noſtre:	Laruse d'un Démon ne verrait pas la vôtre:
Cét habit vous deſguiſe, & vous fait tout vn autre;	Cet habit vous déguise, et vous fait tout un autre;
Ie vous laiſſois paſſer quand vous estes venu, Si Clindor par malheur ne m’euſt pas reconnu.	Je vous laissais passer quand vous êtes venu, Si Clindor par malheur ne m'eût pas reconnu.
Ie vay marcher deuant, afin qu’on ne ſoubçonne;	Je vais marcher devant, afin qu'on ne soubçonne;
Venez droit au Chaſteau ſans parler à perſonne;	Venez droit au Château sans parler à personne;
Clindor vous conduira dans ſon Apartement:	Clindor vous conduira dans son Appartement:
CLINDOR.	CLINDOR.
I'en ſçay bien le chemin, quittez nous ſeulement.	J'en sais bien le chemin, quittez nous seulement.
ISIMANDRE.	ISIMANDRE.
Prepare mon Orante, apprends-luy ma venuë;	Prépare mon Orante, apprends-lui ma venue;
Allons voir le Soleil à trauers cette nuë;	Allons voir le Soleil à travers cette nue;
C’eſt ainſi que ſans crime on peut eſtre trompeur;	C'est ainsi que sans crime on peut être trompeur;
Qu'Argus ſoit ence lieu, ie n'en ay point de peur;	Qu'Argus soit ence lieu, je n'en ai point de peur;
Comme le feu ſe cache en ſa Sphere ſupréme, Le mien plus pur que luy ſe cachera de meſme;	Comme le feu se cache en sa Sphère suprême, Le mien plus pur que Seigneur se cachera de même;
Mon cœur eſt ſon vray centre, où ſon eſclat ne luit, Que pour moy qui le ſens, & pour qui l’a produit.	Mon cœur est son vrai centre, où son éclat ne luit, Que pour moi qui le sens, et pour qui l'a produit.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
PALINICE, LVCINDE, NERINE.	PALINICE, LUCINDE, NERINE.
PALINICE.	PALINICE.
E n’eſtpas ſaus rougir que ie me voy contrainte D'obliger voſtre eſprit à partager ma crainte:	ELLE n'estpas saus rougir que votre me vois contrainte D'obliger votre esprit à partager ma crainte:
I'ay balancé long-temps auant que de parler;	J'ai balancé longtemps avant que de parler;
Et ie ſouffrois vn mal que ie voulois celer.	Et ici souffrais un mal que sans voulais celer.
I’en eſloignois mes pas;	J'en éloignais mes pas;
ien deſtournois ma veuë;	yen détournais ma vue;
I’accuſois ma raiſon d’en eſtre deſpourueuë;	J'accusais ma raison d'en être despourueuë;
Ie chocquois ſes aduis, au lieu d’y conſentir;	Je chocquois ses avis, au lieu d'y consentir;
Et flattois ma douleur, pour ne la pas ſentir.	Et flattais ma douleur, pour ne la pas sentir.
Mais enfin le peril est trop grand pour le taire:	Mais enfin le péril est trop grand pour le taire:
On ne pleint pas vn mal quand il eſt volontaire:	On ne pleins pas un mal quand il est volontaire:
Nos intereſts communs ſe doiuent conſeiller;	Nos intérêts communs se doivent conseiller;
Et puis que vous dormez, ie vo us veux reſueiller.	Et puis que vous dormez, ie vo us veux réveiller.
Ne rema rquez vous point qu’Ormin n’aime qu’Qrante?	Ne rema rquez -vous point qu'Ormin n'aime qu'Qrante?
Mais vous me reſpondrez, c'est qu’elle eſt ſa parente;	Mais vous me répondrez, c'est qu'elle est sa parente;
On diſcerne aiſement l’ardeur & la pitié;	On discerne aisément l'ardeur et la pitié;
Les ſentimens d’amour & ceux de l’amitié.	Les sentiments d'amour et ceux de l'amitié.
Le ſang ne peut donner vneſi haute estime;	Le sang ne peut donner après haute estime;
Croyez moy, ſes deſſeins n’ont rien de legitims;	Croyez -moi, ses desseins n'ont rien de legitims;
Ie connois mieux que vous ſes inclinations;	Je connais mieux que vous ses inclinations;
I’ay leu dedans ſon cœur ſes folles paßions;	J'ai lu dedans son cœur ses folles passions;
Le feu le plus caché iette vn peu de fumée;	Le feu le plus caché jette un peu de fumée;
Orante n’aime point, mais elle eſt trop aimée:	Orante n'aime point, mais elle est trop aimée:
I’eſtime ſon esprit;	J'estime son esprit;
i’adore ſa vertu;	j'adore sa vertu;
Le vice qui l’attaque est touſiours abatu;	Le vice qui l'attaque est toujours abattu;
Iauus fongex que naſoreetiuinechoſe eſtrange;	Jauus fongex que nasoreetivinechose étrange;
Uoyez qu’il a manqué de parole à Florange;	Oùoyez qu'il a manqué de parole à Florange;
Il ſuit l’humeur d’Orante afin de l’obliger;	Il suit l'humeur d'Orante afin de l'obliger;
Croyez que monaduis n'est pas à negliger.	Croyez que monaduis n'est pas à négliger.
LVCINDE.	LUCINDE.
Uos penſers & les miens ont de la ſimpathie:	Uos pensers et les miens ont de la sympathie:
Ie preuoyois le mal dont ie ſuis aduertie;	Je prévoyais le mal dont ici suis avertie;
Et taſchois de trouuer par mon raiſonnement.	Et tâchais de trouver par mon raisonnement.
Dans la fin de ce feu celle de mon tourment:	Dans la fin de ce feu celle de mon tourment:
Mais que peut toute ſeule vne yeufue affligée?	Mais que peut toute seule une yeuve affligée?
Vne femme ſans force, vne Mere outragée, Qui trouue en ſon Azile vn ennemy caché;	Une femme sans force, une Mère outragée, Qui trouve en son Azile un ennemi caché;
Monmal eſt ſans remede, en vain i’en ay cherché;	Monmal est sans remède, en vain j'en ai cherché;
Pour moy le Ciel eſt ſourd;	Pour moi le Ciel est sourd;
ma priere inutile, Eſt vn grain que ie ſeme en vnchamp infertile;	ma prière inutile, Est un grain que ie semme en unchamp infertile;
Elle s’adreſſe au Ciel qui ne la reçoit point;	Elle s'adresse au Ciel qui ne la reçoit point;
Il paſſe;	Il passe;
& mon malheur est touſiours en vn point.	et mon malheur est toujours en un point.
PALINICE.	PALINICE.
Suiurez vous vn moyen que l’eſprit me ſuggere?	Suivrez -vous un moyen que l'esprit me sugère?
LVCINDE.	LUCINDE.
Toute difficulté me paroiſtra legere;	Toute difficulté me paraîtra légère;
Propoſez ſeulement:	Proposez seulement:
PALINICE.	PALINICE.
Oſtez vous de ce lieu, Ne voyez plus Ormin, partez ſans dire adieu;	Ostez -vous de ce lieu, Ne voyez plus Ormin, partez sans dire adieu;
Que Florange vous ſuiue, & qu’apres dans Florence Il reçoiue le fruit de ſa perſeuerance;	Que Florange vous suive, et qu'après dans Florence Il reçoive le fruit de sa persévérance;
Le temps qui change tout, pourra changer Ormin:	Le temps qui change tout, pourra changer Ormin:
LVCINDE.	LUCINDE.
Dans ſix iours au puis tarà le me meis en chemin.	Dans six jours au puis tarà le me meys en chemin.
PALINICE.	PALINICE.
Vous ſerez en repos, & noſtre Amant en peine:	Vous serez en repos, et notre Amant en peine:
LVCINDE.	LUCINDE.
I’aime plus mon honneur que ie ne crains ſa hains.	J'aime plus mon honneur que sans ne crains sa hains.
Elle, eſcouté NERINE.	Elle, écouté NERINE.
Dieux!	Dieux!
on la veut forcer, ie n’y puis conſentir;	on la veut forcer, votre n'y puis consentir;
Mais ce mal eſt preſſant, ie vay l’en aduertir.	Mais ce mal est pressant, ie vay l'en avertir.
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
ORANTE, LINDOMAN.	ORANTE, LINDOMAN.
ORANTE.	ORANTE.
LE ne puis te payer, ie le voy plus i’ypenſe!	LE ne puis te payer, ie le vois plus j'ypense!
2 LINDOMAN.	2 LINDOMAN.
En faiſant mon deuoir, i’ay pris ma recompe:	En faisant mon devoir, j'ai pris ma récompe:
ſe.	se.
ORANTE.	ORANTE.
Ie l’ay deſia pre ſent, ie croy le regarder,	Je l'ai déjà pré sent, tu crois le regarder,
