TRAGI-COMEDIE.	TRAGI-COMÉDIE.
N’implore·t’elle point le pouvoir de mes armes?	N'imploret-elle point le pouvoir de mes armes?
N’as-tu point veu ſes pleurs côme tu vois mes larmes Ne m’eſcrit-elle pas?	N'as-tu point vu ses pleurs côme tu vois mes larmes Ne m'écrit-elle pas?
que ſert de le celer?	que sert de le celer?
Enfin dou-je mourir, ou ſi tu dois parler?	Enfin dou-je mourir, ou si tu dois parler?
SCENE VIII.	SCÈNE VIII.
CLINDOR, ISIMANDRE.	CLINDOR, ISIMANDRE.
GCIIVDON, Vſte Ciil, ie voudrois dans le mal qui me touche A Qu’vn ſilence éternel me vint jeiautrta bouchez	GCIVDON, Vste Ciil, ie voudrais dans le mal qui me touche A Qu'amour silence éternel me vint jeiautrta bouchez
ISIMANDRE.	ISIMANDRE.
N’adiouſte point aux miens tes regrets ſuperfius;	N'ajoute point aux miens tes regrets superfius;
Prononce mon arreſt.	Prononce mon arrêt.
CLINDOR.	CLINDOR.
Orante ne vit plus, Elle a vonlu mourir pluſtoſt qu’aller au change, Elle vous adoroit & n’aimoit point Florange;	Orante ne vit plus, Elle a vonlu mourir plutôt qu'aller au change, Elle vous adorait et n'aimait point Florange;
Que le pouvoir d’Ormin luy donnoit pour Eſpoux, Enfin, que vous diray-je, elle eſt morte pour vous.	Que le pouvoir d'Ormin lui donnait pour Époux, Enfin, que vous dirai-je, elle est morte pour vous.
Et trouuant vn remide aux rigueurs de ſes petnts, Sa gentroſité s’eſt fait coupper les veints,	Et trouvant un remide aux rigueurs de ses petnts, Sa gentrosité s'est fait coupper les veints,
28 Il luy baille le billet d’Orante.	28 Il avait baille le billet d'Orante.
Ce tragique teſmoin vous dira mieux que moy, Quelle fut ſon amour, ſa conſance & ſa foy.	Ce tragique témoin vous dira mieux que moi, Quelle fut son amour, sa consance et sa foi.
ISIMANDRE.	ISIMANDRE.
Tout ce que tu me dis eſt remply de menſonge, Et ton cerueau debile a fait vn mauuais ſonge.	Tout ce que tu me dis est rempli de mensonge, Et ton cerveau débile a fait un mauvais songe.
Orants ne vit plus!	Orants ne vit plus!
Orante eſt au cercueil!	Orante est au cercueil!
Deueſe trauria roix?	Deves trauria roix?
dois-je croire mon œil?	dois-je croire mon œil?
C’eſt de toy cher pappier, que ie le veux apprendre.	C'est de toi cher papier, que ie le veux apprendre.
il lit ce billet.	il lit ce billet.
BILLET.	BILLET.
Tienne ie meurs, mon Iſimandre, Il n’en faut plus douter;	Tienne femme meurs, mon Isimandre, Il n'en faut plus douter;
par la rigueur du ſort La veriu ne vit plus, & le Soleil eſt mort.	par la rigueur du sort La vériv ne vit plus, et le Soleil est mort.
Il n’en faut plus douter ſa plume veritable Ne m’a que trop bien peint ſa perte lamentable;	Il n'en faut plus douter sa plume véritable Ne m'a que trop bien peint sa perte lamentable;
Il n’en faut plus douter;	Il n'en faut plus douter;
elle abandonnt aux vers Le plus rare threſor qui fuſt on l’Vniuers, Orante ne vit plus!	elle abandonnt aux vers Le plus rare tor qui fût on l'Univers, Orante ne vit plus!
Orante n’eſt que poudre:	Orante n'est que poudre:
Et moy ie ne meurs pas aprés ce coup de foudre, Aprés l’auoir ſouffert, ie reſpire vn moment, Ha!	Et moi ici ne meurs pas après ce coup de foudre, Après l'avoir souffert, toujours respire un moment, Ha!
ie ne me crois plus vn veritable amant, Ie flattois mon eſprit en l’eſtimant fidelle.	On ne me crois plus un véritable amant, Je flattais mon esprit en l'estimant fidèle.
S’il euſt ſçeu bien aimer, il ſeroit aupres d’elle, Quand la bliſſure eſt grande on finit ſans parler, Et ciluy qui ſe plaint taſche à ſe conſoler, Chere Ombre, it te ſuy ſi tu me veux attendre.	S'il eût su bien aimer, il serait auprès d'elle, Quand la blissure est grande on finit sans parler, Et cilui qui se plaint tâche à se consoler, Chère Ombre, it te suis si tu me veux attendre.
BILLET.	BILLET.
il lit.	il lit.
Tienne ie meurs mon Iſimandre, He!	Tienne ici meurs mon Isimandre, He!
n’eſt-ce pas répondre à mon cœur, à ma voix Diſant ce qu’elle a fait, on dit ce que is dois.	n'est-ce pas répondre à mon cœur, à ma voix Disant ce qu'elle a fait, on dit ce que is dois.
Caracteres ſanglans, entrez dans ma penſée, Repreſentez-j bien mon Orante bl.	Caractères sanglants, entrez dans ma pensée, Représentez-jà bien mon Orante bl.
ßée, Que le trait de la mort la peigne en mon eſprit, En l’eſtat qu’elle eſtoit, en traçant cét eſcrit, Ha!	ssée, Que le trait de la mort la peigne en mon esprit, En l'état qu'elle était, en traçant cet écrit, Ha!
ie voy ce Fantoſme, & ſa main taſche à mettre Les derniers traits de l’ame en ceux de cette léttre;	ici vois ce Fantôme, et sa main tâche à mettre Les derniers traits de l'âme en ceux de cette lettre;
Et l’Amour ſemble dire à mon cœur priſonnier, Tout le ſang eſt ſorty, i’y reſte le dernier, Suy-moy dans les Enfers où ie m'en vay deſcendre.	Et l'Amour semble dire à mon cœur prisonnier, Tout le sang est sorti, j'y reste le dernier, Sui-moi dans les Enfers où tu m'en vais descendre.
BILLET.	BILLET.
il relit.	il relit.
Tienne, ie meurs mon Iſimandre, Attends, Orante, attends mon ame qui te ſuit, Ne t’en va point ſans elle en l’eternelle nuit, Remarque l’vn & l’autre en mon ob-iſſance, Mais ſouffre que ie pouſſe en vn meſme chemin, Et le traiſire Florange, & le cruel Ormin, Permets que nous gouſtions cette douce allegeance.	Tienne, Seigneur meurs mon Isimandre, Attends, Orante, attends mon âme qui te suit, Ne t'en va point sans elle en l'éternelle nuit, Remarque l'un et l'autre en mon obissance, Mais souffre que Un pousse en un même in, Et le traisire Florange, et le cruel Ormin, Permets que nous goûtions cette douce allégeance.
Que les cœurs irritez trouuent en la vangeance, Mon eſprit au tombtau ne peut eſtre endormy, S’il ne meſle à mon ſang celuy de l’ennemy:	Que les cœurs irrités trouvent en la vengeance, Mon esprit au tombav ne peut être endormi, S'il ne mêle à mon sang celui de l'ennemi:
Ma Deeſſe dimandt vn pareil ſacrifice.	Ma Déesse dimandt un pareil sacrifice.
Partons Clindor, allons luy rendre cét office, Et quand i’auray puny ces volleurs de mon bien, e reſpandray mon ſang ſur les marques du fien.	Partons Clindor, allons Seigneur rendre cet office, Et quand j'aurai puni ces volleurs de mon bien, e répandrai mon sang sur les marques du sien.
D i	D y
A C – II SCENL INERVMICL	À Ç „ II SCENL INERUMICL
FLORANGE.	FLORANGE.
A peine que ie ſens leur eſt indifferenss, LAmour, que dou-je faire, on me rauit Orante O toy qui le fais naiſtre aßiſte mon ennuy, Ou ſi iu vis d’eſpoir, meurs auß-bien que luy, Mon extréme douleut n’a rien qui la conſole, Orante eſt ſans amour.	À peine que ici sens leur est indifférents, LAmour, que dou-je faire, on me ravit Orante ORANTE ois qui le fais naître aussi mon ennui, Ou si ju vis d'espoir, mûrs auss-bien que lui, Mon extrême douleut n'a rien qui la console, Orante est sans amour.
Ormin eſt ſans parole;	Ormin est sans parole;
Que dis-je mal-heureux elle a donné ſa foy.	Que dis-je malheureux elle a donné sa foi.
Elle eſt bien ſans amour mais ce n’eſt que pour moy, I’ay ſçeu comme Iſimandre occupe ſa belle ame, Son cœur eſt conſommé d’vne ſecrette flâme, Mais croyant que mon œil ne le ſçauroit ouurir, L’amour qu’elle a caché me l’a fait deſiouuris, Ha qu’on voit clairement en deſpit de la feinte, Si le cœur eſt ſans playe.	Elle est bien sans amour mais ce n'est que pour moi, J'ai su comme Isimandre occupe sa belle âme, Son cœur est consommé d'une secrète flamme, Mais croyant que mon œil ne le saurait ouvrir, L'amour qu'elle a caché me l'a fait desiouuris, Ha qu'on voit clairement en dépit de la feinte, Si le cœur est sans plaie.
ou ſi l’ame eſt atteinte.	ou si l'âme est atteinte.
L’œil d’vn amant ialoux voit tout peut tout percer, Et meſme dans l’eſprit il ſurprend vn penſez Vn ſouſru vne la-me vn ſouſpir vne œi llade, Sont irdices certai s que l’eſprit eſt malade, Sur quoy l’bomme ſubtil fonde ſon iugement, Celuy qui ſou ffec vn mal le connoiſt aiſement.	L'œil d'un amant jaloux voit tout peut tout percer, Et même dans l'esprit il surprend un pensez Un sousru une la-me un soupir quelque œi ade, Sont irdices certai s que l'esprit est malade, Sur quoi l'âme subtil fonde son jugement, Celui qui sou sec un mal le connaît aisément.
Il n’eſt que trop certain qu’Orante aime Iſimandre, Hais puis qu'elle eſt à moy, ie ſçauray la d ffendre, Naples n’eſt pas ſi loing ny ſon bon-heur ſi prée, Tel cherche du laurie?	Il n'est que trop certain qu'Orante aime Isimandre, Hais puis qu'elle est à moi, té sçauray la ffendre, Naples n'est pas si loin ici son bonheur si prée, Tel cherche du laurie?
qui trouas du Cyprés, Et bien que ce Riual ait la place octupée, Il faudra qu’il la prenne au bont de mon eſpée, Ormin la Mere Orante ſimandrt & li ſort, ne peuuent mt tuper qu'en m' donnant la mort.	qui trouas du Cyprès, Et bien que ce Rival ait la place octupée, Il faudra qu'il la prenne au bont de mon épée, Ormin la Mère Orante simandrt et li sort, ne peuvent mut tuper qu'en m' donnant la mort.
SCENE ISIMANDRE, LINDOMA II.	SCÈNE ISIMANDRE, LINDOMA II.
J.	J.
CLINDOR.	CLINDOR.
IS MANDRE.	IS MANDRE.
Rante n’eſt pas morte!	Rante n'est pas morte!
Orante vit entore!	Orante vit entore!
O Fidelle Meſſagν il faut que ie t’adore.	Ô Fidèle Messag il faut que ie ore.
LINDOMAN.	LINDOMAN.
Quoy.	Quoi.
Monſieur, doutez-vous d’vn bon-heur aſſeusé?	Monsieur, doutez-vous d'un bonheur asseusé?
Vos yeux verront bien-toſt ce que i’ay tant iuré.	Vos yeux verront bientôt ce que j'ai tant juré.
Nous approthens de Piſe, & dans l’heure où nous ſommes.	Nous approthens de Pise, et dans l'heure où nous sommes.
Vous vous con feſſerez le plus heureux des hommes, Cet habit de Mar hand rauira vos eſprits, Dans vne autre deſſain que vous ne l’auisz pris:	Vous vous con fesserez le plus heureux des hommes, Cet habit de Mar hand ravira vos esprits, Dans quelque autre dess que vous ne l'avisz pris:
Et ſans vous en ſetuir contre voſtre aduerſaire, Pour approcher d’Orante il vous eſt necejjaire.	Et sans vous en setuir contre votre adversaire, Pour approcher d'Orante il vous est necejjaire.
ISIMANDRE.	ISIMANDRE.
Orante!	Orante!
Ce beau nom me charme, & me rauis Mais bion-heureux pappier, redix-moy qu'elit er	Ce beau nom me charme, et me ravis Mais bionheureux papier, redix-moi qu'élit er
Mon ſang a marqué mon courage, Mais apprenez de ce diſcours, que pour ſauuer le reſte aprés ce grand orage I’ay beſoin de voſtre ſecours.	Mon sang a marqué mon courage, Mais apprenez de ce discours, que pour sauver le reste après ce grand orage J'ai besoin de votre secours.
Vous l’aurez, chere Orãte, & pour voir tãt de charmes Amour ioindra ſa force à celle de mes armis, I’auray pour obeïr à ce diuin eſcrit, Autant de force au bras, comme vous en l’eſprit.	Vous l'aurez, chère Orance, et pour voir tant de charmes Amour joindra sa force à celle de mes armis, J'aurai pour obéir à ce divin écrit, Autant de force au bras, comme vous en l'esprit.
il it.	il it.
LETTRE.	LETTRE.
L’eſperance m’eſtant oſtée, Le treſpas me ſembla fort doux, Lamnoui me fit mourir, & m’a reſſuſcitée, Mais ie veux que ce foit pour vous,	L'espérance m'étant ôtée, Le trépas me sembla fort doux, Lamouni me fit mourir, et m'a ressuscitée, Mais tu veux que ce soit pour vous,
Ha trop heureux amant!	Ha trop heureux amant!
ô tro?	ô tro?
fidelle Amante!	fidèle Amante!
Dieux que le calme plaiſt lors qu’il ſuit la tourmẽ:	Dieux que le calme plaît lors qu'il suit la tourment:
e Migacle de nos iours:	é Migacle de nos jours:
incomparable foy.	incomparable foi.
Que ue vous dois-je point?	Que ue vous dois-je point?
viure & mourir pour moy.	vivre et mourir pour moi.
il acheue de lire.	il achève de lire.
Soyez diſcret, ſoyez fidelle, Sans eſtre connû dans ce lieu, Orante vous permet de venir auprés d’elle, Vollez s’il eſt poſſible;	Soyez discret, soyez fidèle, Sans être connu dans ce lieu, Orante vous permet de venir auprès d'elle, Vollez s'il est possible;
adieù.	adieù.
Obſeruons de tout point les loix de ma Maiſtreſſe, Aiue par tes adais au deſir qui me preſſe, Apprenás moy, Lindoman, par ton ſage canſeil.	Observons de tout point les lois de ma Maîtresse, Ajue par tes adais au désir qui me presse, Apprens moi, Lindoman, par ton sage canseil.
cuns sſiit ven à autun, à approcher du Soleit.	cuns sit ven à autun, à approcher du Soleit.
LINDOMAN.	LINDOMAN.
La ruſe d’vn Demon ne verroit pas la noſire, Cét habit vous déguiſe, & vous fait tout vn autre, Ie vous laiſſou paſſer quaud vous eſtes venu, Si Clindor par mal-heur ne m’euſt pas reconna.	La ruse d'un Démon ne verrait pas la nosire, Cet habit vous déguise, et vous fait tout un autre, Je vous laisser passer quaud vous êtes venu, Si Clindor par malheur ne m'eût pas reconna.
Ie vau marcher deuant, afin qu’on ne ſoupçonne, vinex unoil aa Chapeau ſans parler à perſoane, Clindor vous conduir a dans ſon Apartement.	Je vau marcher devant, afin qu'on ne soupçonne, vinex unoil à Chapeau sans parler à persoane, Clindor vous conduir a dans son Appartement.
CLINDOR.	CLINDOR.
I'en ſçau bien le chemin, quittez-nous ſeulemint.	J'en sau bien le chemin, quittez-nous seulemint.
ISIMANDRE.	ISIMANDRE.
Prepare mon Orante apprends-luy ma venuë, Allons voir le Soleil à trauers cette nisë C’eſt ainſi que ſans crime on peut eſtre tosmpeur;	Prépare mon Orante apprends-lui ma venue, Allons voir le Soleil à travers cette nisë C'est ainsi que sans crime on peut être tosmpeur;
Qu'Argus ſoit en ce lieu, ie n’en ay point de peur, Comme le feu ſe cache en ſa Sphere ſupréme, Le miin pra par quetayjz tainera de meme, Mon cœur eſt ſon vray centre, où ſon eſclat ne luis, Que pour moy qui le ſens, & pour pura produit.	Qu'Argus soit en ce lieu, on n'en ai point de peur, Comme le feu se cache en sa Sphère suprême, Le yin prise par quetaijà tainera de même, Mon cœur est son vrai centre, où son éclat ne luis, Que pour moi qui le sens, et pour pura produit.
SCENE III.	SCÈNE III.
PALINICE, LVCINDE, NERINE.	PALINICE, LUCINDE, NERINE.
PALINICE.	PALINICE.
E n'eſt pas ſans rougir que it me vois contrainte O D’obliger voſtre eſprit à partagez ma crainte, I’ay balancé long-timps auant que de parler.	ELLE n'est pas sans rougir que it me vois contrainte Ô D'obliger votre esprit à partagez ma crainte, J'ai balancé longtemps avant que de parler.
Et ie ſouffrois vn mal qui ie vouĺois celts,	Et ici souffrais un mal qui ie voudrais cels,
I’en eſloignou mes pas, i'on de tournois ma veuë, I’aucuſou ma raiſon d’in eſtre depourutuë, Ie choquois ſis aduu au lieu dy conſentir, Et flattou ma douleur pour ne la pas ſentir.	J'en éloignou mes pas, j'on de tournois ma vue, J'aucusou ma raison d'in être dépourutue, Je choquais sis avis au lieu dis consentir, Et flattou ma douleur pour ne la pas sentir.
Mau enfin le peril eſt tiop grand pour le taire, On ne plaint pas vn mal quand il eſt volontaire, Vos intereſis communs ſe doiuent conſiiller.	Mau enfin le péril est tiop grand pour le taire, On ne plaint pas un mal quand il est volontaire, Vos interesis communs se doivent consiller.
Et puiſque vous dormez ic vous veux réveiller.	Et puisque vous dormez ic vous veux réveiller.
Ne remarquez-vous point qu'Ormin n’aimt qu’Orante?	Ne remarquez-vous point qu'Ormin n'aimt qu'Orante?
Mau vous me répondrez c’eſt qu’elle eſt ſa parente;	Mau vous me répondrez c'est qu'elle est sa parente;
On diſcerne aiſement l'ardeur & la pitié.	On discerne aisément l'ardeur et la pitié.
Les ſentimens d amour & ceux de l’amnié.	Les sentiments d amour et ceux de l'amnié,
Le ſang ne peur donner vne ſi baute eſtime, Croyez-moy, ſes deſſains n’ont rien de legitime, Ie connou mieux que vous ſes incling ions, I'ay leu dedans ſon tœur ſes folles poßiens, Le feu le plus cache ierte vn peu de fumée, Orante n’amme point mais elle eſt trop aimée, I’eſtime ſon eſprit, i’adore ſa vertu.	Le sang ne peur donner une si baute estime, Croyez-moi, ses sains n'ont rien de légitime, Je connou mieux que vous ses incling jons, J'ai lu dedans son tœur ses folles possiens, Le feu le plus cache jerte un peu de fumée, Orante n'amme point mais elle est trop aimée, J'estime son esprit, j'adore sa vertu.
Le vice qui l'attaque eſt touſious batu, Mais ſungez qui la ferci eſt vne unoſe iſtrange, Voyez qu’il a manqué de parole à Florange, Il ſuit l’humeur d’Orante afin de l’obliger.	Le vice qui l'attaque est toujours battu, Mais sungez qui la sercy est une ose istrange, Voyez qu'il a manqué de parole à Florange, Il suit l'humeur d'Orante afin de l'obliger.
Crojue que mon aduis n'eſt pas à negliger.	Crojue que mon avis n'est pas à négliger.
LVCINDE.	LUCINDE.
Vos penſers & les miens ont de la ſimpaibie, Ie preuoyois le mal dont ie ſuis aduertie.	Vos pensers et les miens ont de la simpaibie, Je prévoyais le mal dont ie suis avertie.
Et taſchous de trouuer par mon raiſonnement, Dans la fin de ce feu cille de mon tourment:	Et tâchous de trouver par mon raisonnement, Dans la fin de ce feu cille de mon tourment:
Mais que peut toutt ſeult vne venfut a fligée?	Mais que peut tout seult une venfut a fligée?
Vne femme ſans force, vne Mere outragee, Qui trouue en ſod Axile vn enn.	Une femme sans force, une Mère outrage, Qui trouve en sod Axile un enn.
my cathe.	mi cathe.
Mon mal eſt ſans remede en vain i’in ay cherché;	Mon mal est sans remède en vain j'in ai cherché;
Pour moy le cidl eſt ſoutá, ma pritre inutile.	Pour moi le cidèl est soutante, ma pritre inutile.
Eſt vn grain que ie ſeme en vn champ inſertile;	Est un grain que ici sème en un champ insertile;
ume s'aureſſe au vier qui ne la reçoit point;	Âme s'auresse au vier qui ne la reçoit point;
Il paſſe;	Il passe;
& mon mal-heur eſt touſiours en vn point.	et mon malheur est toujours en un point.
PALINICE.	PALINICE.
Suiurez vous vn moyen que l eſprit me ſuggere;	Suivrez -vous un moyen que l esprit me sugère;
LVCINDE.	LUCINDE.
Toute diſficulté me paroiſtraligert;	Toute disficulté me paroistraligert;
Propoſiz ſeulement:	Propposis seulement:
PALINICE.	PALINICE.
Oſiez vous de ce luu, Ne voyez plus Ormin, partez ſans dire adisu;	Osiez -vous de ce lu, Ne voyez plus Ormin, partez sans dire avisu;
Que Florange vous ſuiue & qu’apres dans Florince Il reçoiue le fruit de ſa perſiuerance;	Que Florange vous suive et qu'après dans Florince Il reçoive le fruit de sa persiverance;
Le temps qui change tout, pourra changer Ormin:	Le temps qui change tout, pourra changer Ormin:
EYCISDE.	EYCISDE.
Dans ſix iours au plus tard ie me mets en chemin.	Dans six jours au plus tard endre me mets en chemin.
PACINICE 81 Vous ſerez en repos & noſtre Amant en peine:	PACINICE 81 Vous serez en repos et notre Amant en peine:
LVCINDE.	LUCINDE.
I’aimt plus mon honneur que ie ne cralls ſa haine.	J'aimt plus mon honneur que je ne cralls sa haine.
NERINE.	NERINE.
Dieux on la veut forcer, ie n’ypuis conſentir;	Dieux on la veut forcer, ie n'ypuis consentir;
Elle a eſcouté.	Elle a écouté.
Mais ce mal eſt preſſant, ie vay l’en aduertir.	Mais ce mal est pressant, ie vay l'en avertir.
SCENE IV ORANTE, LINDOMAN.	SCÈNE IV ORANTE, LINDOMAN.
ORANTE.	ORANTE.
E ne puis te payer, ie le voy plus i’y penſe.	ET ne puis te payer, ie le vois plus j'y pense.
HTADOMAN.	HTADOMAN.
En faiſant mon deuoir i’ay pris ma récompenſe.	En faisant mon devoir j'ai pris ma récompense.
ORANIE.	ORANIE.
lo vuy deſia preſent ir croy le regarder.	lo vi déjà présent ir crois le regarder.
LINDOMAN.	LINDOMAN.
Aaααmt, uſeuren iunifuiiiuuſpauroit tarder.	Aaααmt, usuren iunifuiiiuuspauroit tarder.
ORANTE.	ORANTE.
Mais s’il eſt reconnu le dangur eſt extréme.	Mais s'il est reconnu le dangur est extrême.
LINDOMAN.	LINDOMAN.
Il eſt ſi fort changé, que ce n’eſt plus luy-meſmi.	Il est si fort changé, que ce n'est plus lui-mesmi.
Sous l’habit d’vn Marchand qui cache ſes appas, rout qui l’auez au cœur ne le connoiſtrez pas	Sous l'habit d'Hommes Marchand qui cache ses appas, rout qui l'avez au cœur ne le connaîtrez pas
ORANTE.	ORANTE.
Souz vn mauudis habit paroiſt ſa bonne mine, Ainſi que l’or eſclate en l’obſcur d’vne mine.	Souz un maudis habit paraît sa bonne mine, Ainsi que l'or éclate en l'obscur d'une mine.
SCENE V.	SCÈNE V.
NERINE, ORANIE, LINDOMAN.	NERINE, ORANIE, LINDOMAN.
NERINE.	NERINE.
Elle luy parle à l’oreille.	Elle avait parle à l'oreille.
A Madame, eſcoutez.	A Madame, écoutez.
ORANTE.	ORANTE.
Ie n’in ay point de peur.	Je n'in ai point de peur.
Mon projet eſt certain, leur eſpoir eſt trompeur, Ie verray leur pratique aujourd huy renuerſee, Si ie ſuis Andromide,Iſimandre eſt Perſée, bon dil ajtaitera le mdastal qume fl.	Mon projet est certain, leur espoir est trompeur, Je verrai leur pratique aujourd' hui renversée, Si jour suis Andromide,Isimandre est Persée, bon dil ajtaitera le mdastal me fl.
LINDOMAN.	LINDOMAN.
Ie l’apperçoy, Madame & Clindor le conduit.	Je l'aperçois, Madame et Clindor le conduit.
ORANTE.	ORANTE.
Mon cœur nage en la ioye, & rien ne l’importune.	Mon cœur nage en la joie, et rien ne l'importune.
Il ne craint plus les traicts que tire la fortune.	Il ne craint plus les traits que tire la fortune.
SCENEVT ISIMANDRE, ORANTE, NERINE, GLINDOR, LINDOMAN.	SCENEUT ISIMANDRE, ORANTE, NERINE, GLINDOR, LINDOMAN.
ISIMANDRE.	ISIMANDRE.
Iſez dedans mes yeux voyez en ma couleur, L Que l’extréme plaiſir reſſimble à la douleur, Ma bouche en eſt muette & mon eſprit ſe paſme, Fermez-la d’vn baiſer, pour retenir mon ams.	Isez dedans mes yeux voyez en ma couleur, L Que 'extrême plaisir réssimble à la douleur, Ma bouche en est muette et mon esprit se pâme, Fermez-la d'un baiser, pour retenir mon ams.
ORANTE.	ORANTE.
Vous me faite pitié, ie veux vbas ſetourir;	Vous me faite pitié, votre veux vbas setourir;
Viuez cher Iſimandre, eù i’ay voulu mourir.	Vivez cher Isimandre, Eù j'ai voulu mourir.
ISIMANDRE.	ISIMANDRE.
Lieux ſacrez à l’amour, pleins d'appas, & de charmes Montréz-moy ce beau ſaug que i’y meſle mts larmes Mau non, ie me repens de ma temerité, Conſeruez-le tout pur à la poſterité.	Lieux sacrés à l'amour, pleins d'appas, et de charmes Montréz-moi ce beau saug que j'y mêle mens larmes Mau non, je me repens de ma témérité, Conservez-le tout pur à la postérité.
Quand on vous couuriroit des richeſſes du Gange, Cét eſmail eſt ſi beau que veus perdriez au change.	Quand on vous couvrirait des richesses du Gange, Cet émail est si beau que ès perdriez au change.
Puiſſe bien-toſt l’Aurore en orner ſes habits, Et le meſler au Ciel auecque ſes rubis, Ce threſor eſt trop grand pour reſter ſur la terre.	Puisse bientôt l'Aurore en orner ses habits, Et le mêler au Ciel avec ses rubis, Ce sor est trop grand pour rester sur la terre.
OANIE.	ÔANIE.
On triomphe en la paix & nous ſommes en guerre, On me veut enleuer quil remede auons-nous?	On triomphe en la paix et nous sommes en guerre, On me veut enlever quil remède avons-nous?
ISIMANDRE.	ISIMANDRE.
On vous veut enleuer!	On vous veut enlever!
y conſentirez vous;	y consentirez -vous;
ORANTE.	ORANTE.
Cherchez noſtre ſecours dedans voſtre induſtrie.	Cherchez notre secours dedans votre industrie.
ISIMANDRE.	ISIMANDRE.
Sur les aiſls d’amour vollons en ma patris:	Sur les ails d'amour vollons en ma patris:
Que Naples vous reuoye en ieune Caualier, Ce remede eſt faſcheux, mais il eſt ſingulier, L’amour s’eſt touſiours pleu dans les metamorphoſes, Le temps en s’enfuyant ameine toutes choſes;	Que Naples vous revoie en jeune Cavalier, Ce remède est fâcheux, mais il est singulier, L'amour s'est toujours pleu dans les métamorphoses, Le temps en s'enfuyant âme toutes choses;
Sous le nem d’vn Amy mon pere vous peut voir.	Sous le nem d'Hô Ami mon père vous peut voir.
ORANTE.	ORANTE.
Il ſe fait vn cembat d’amour & du deuoir.	Il se fait un cémbat d'amour et du devoir.
ISIMANDRE.	ISIMANDRE.
Le deuoir & lamour, obligent ma Maiſtreſſe, A fuir ſagement l’ennimy qui a preſſe,	Le devoir et lamour, obligent ma Maîtresse, A fuir sagement l'ennimi qui a presse,
ORANTE.	ORANTE.
Mais ſe peut il trouuer vn Amoureuu conſtant	Mais se peut il trouver un Amoureu constant
laimlavulen.	Laimlavulen.
Ha!	Ha!
ſi vous en doutez, que ie meure à l’inſtant.	si vous en doutez, que ici meure à l'instant.
OMANIE.	OMANIE.
Où prendre des habits:	Où prendre des habits:
le moyen, l’apparence?	le moyen, l'apparence?
ISIMANDRE.	ISIMANDRE.
Ie feray ſourdement l’equipags à Florence, Et dans trois iours Clindor vous les apportera, dumer preleule juua uls Puoleuna quis anin.	Je ferai sourdement l'équipags à Florence, Et dans trois jours Clindor vous les apportera, dumer preleule ra us Pua quis anin.
ORANTE.	ORANTE.
Ne laiſſons pas Nerine elle eſt de la querelle.	Ne laissons pas Nerine elle est de la querelle.
ISIMANDRE.	ISIMANDRE.
Et biun, i’en feray faire, & pour vous & pour elle Et les ayant viſtus ſopez le iour ſuiuant Dans le Temple de Mars dés le Soliil leuant, nau rono me tronuerie e vbaueit u vne autre ſorte, Les cheuaux ſeront preſts à cent pas de la porte, Et pourueu que le cœurne vous manque au beſoin, Quand on vous cherchera, nous ſerons deſia leing,	Et biun, j'en ferai faire, et pour vous et pour elle Et les ayant vîtus sopez le jour suivant Dans le Temple de Mars dés le Solia levant, nau rono me tronverie eût vu u ne autre sorte, Les chevaux seront prêts à cent pas de la porte, Et pourvu que le cœurne vous manque au besoin, Quand on vous cherchera, nous serons déjà leing,
ORANTE.	ORANTE.
Vous auez deſſus luy la puiſſanct abſoluë.	Vous avez dessus beau la puissanct absolue.
Puis que vous le voulez, m’y voilà reſoluë.	Puis que vous le voulez, m'y voilà résolue.
Et deuſſay-j' trouuer la mort à mon chemin, Ie vous ſuiuray par tout.	Et dûs-j' trouver la mort à mon chemin, Je vous suivrai par tout.
NERINE, Voicy venir Oimin.	NERINE, Voici venir Oimin.
ISIMANDRE prenant vn Tableau.	ISIMANDRE prenant un Tableau.
Ladame, remarquez comme en cette peinture, D’Ait plus diuin qu'humain, imite la Nature, 'oyεz comme Adonis ſemble admirer Venus, Cenme à trauers le creſpe on voit ſes membres nuds;	Ladame, remarquez comme en cette peinture, D'Ait plus divin qu'humain, imite la Nature, 'oyés comme Adonis semble admirer Venus, Cenme à travers le crêpe on voit ses membres nus;
Cét autre eſt rauiſſant, où le Pinteau prophant, Offre aux yeux d'Actoon les beautez de Diane.	Cet autre est ravissant, où le Pinteau prophant, Offre aux yeux d'Actoon les beautés de Diane.
il prend le ſecond.	il prend le second.
Poyez que ce viſage eſt en colere & beau, Et que ce corps plongé ſe fait vn habit d’eau.	Poyez que ce visage est en colère et beau, Et que ce corps plongé se fait un habit d'eau.
ORANTE.	ORANTE.
Ormin arriue.	Ormin arrive.
Ha!	Ha!
Menſieur approchez, venez voir des merueilles, Qui chez les plus grands Rois n’auroient point de pareilles;	Mensieur approchez, venez voir des merveilles, Qui chez les plus grands Rois n'auraient point de pareilles;
Tout ainſi que les miens vos yeux ſeront charmez,	Tout ainsi que les miens vos yeux seront charmés,
SCENE VII.	SCÈNE VII.
ORMIN, ISMANDRE, ORANTE, NERINE, CLINDOR, LINDOMAN.	ORMIN, ISMANDRE, ORANTE, NERINE, CLINDOR, LINDOMAN.
ORMIN LLES vallent beaucoup, ſi vous les eſtimez.	ORMIN LLES valent beaucoup, si vous les estimez.
Pu ISIMANDRE.	Pu ISIMANDRE.
il prend le troiſiéme.	il prend le troisième.
