Suivant la Copie imprimée	Suivant la Copie imprimée
SABINE.	SABINE.
l’autre,	l'autre,
Quand il faut que l’un meure, & par les mains de C’eſt un raiſonnement bien mauvais que le voſtre.	Quand il faut que l'un meure, et par les mains de C'est un raisonnement bien mauvais que le vôtre.
E 7 Quoy Quoy que ce ſoient, ma ſœur, des nœuds bien differens, C’eſt ſans les oublier qu’on quitte ſes parens.	 7 Quoi Quoi que ce soient, ma sœur, des nœuds bien différents, C'est sans les oublier qu'on quitte ses parents.
L’Hymen n’efface point ces profonds caracteres, Pour aimer un mary l’on ne hait pas ſes freres, La nature en tout temps garde ſes premiers droits, Aux dépens de leur vie on ne fait point de choix, Auſſi-bien qu’un époux ils ſont d’autres nous-meſmes, Et tous maux ſõt pareils alors qu’ils ſont extrêmes.	L'Hymen n'efface point ces profonds caractères, Pour aimer un mari l'on ne hait pas ses frères, La nature en tout temps garde ses premiers droits, Aux dépens de leur vie on ne fait point de choix, Aussi-bien qu'un époux ils sont d'autres nous-mêmes, Et tous maux sõt pareils alors qu'ils sont extrêmes.
Mais l’amant qui vous charme, & pour qui vous brûlez, Ne vous eſt aprés tout que ce que vous voulez, Une mauvaiſe-humeur, un peu de jalouſie, En fait aſſez ſouvent paſſer la fantaiſie, Ce que peut le caprice, oſez-le par raiſon, Et laiſſez voſtre ſang hors de comparaiſon.	Mais l'amant qui vous charme, et pour qui vous brûlez, Ne vous est après tout que ce que vous voulez, Une mauvaise-humeur, un peu de jalousie, En fait assez souvent passer la fantaisie, Ce que peut le caprice, osez-le par raison, Et laissez votre sang hors de comparaison.
C’eſt crime qu’oppoſer des liens volontaires A ceux que la naiſſance a rendus neceſſaires.	C'est crime qu'opposer des liens volontaires À ceux que la naissance a rendus nécessaires.
Si donc le Ciel s’obſtine à nous perſecuter, deule jay tour acraiſde d nen a lounaiter, Mais pour vous, le devoir vous donne dans vos plaintes Où porter vos ſouhaits, & terminer vos craintes.	Si donc le Ciel s'obstine à nous persécuter, devle jay tour acraisde d en a lounaiter, Mais pour vous, le devoir vous donne dans vos plaintes Où porter vos souhaits, et terminer vos craintes.
CAMILLE.	CAMILLE.
Je le voy bien, ma ſœur, vous n’aimaſtes jamais, Vous ne connoiſſez point ny l’Amour, ny ſes traits.	Je le vois bien, ma sœur, vous n'aimâtes jamais, Vous ne connaissez point manquer l'Amour, Seigneur ses traits.
On peut luy reſiſter quand il commence à naiſtre, Mais non pas le bannir quand il s’eſt rendu maiſtre, Et que l’adveu d’un pere engageant noſtre foy, A fait de ce Tyran un legitime Roy.	On peut autre résister quand il commence à naître, Mais non pas le bannir quand il s'est rendu maître, Et que l'aveu d'un père engageant notre foi, A fait de ce Tyran un légitime Roi.
Il entre avec douceur, mais il regne par force, Et quand l’ame une fois a goûté ſon amorce, Vouloir ne plus aimer c’eſt ce qu’elle ne peut, Puiſqu’elle ne peut plus vouloir que ce qu’il veut, Ses chaiſnes ſont pour nous auſſi fortes que belles.	Il entre avec douceur, mais il règne par force, Et quand l'âme une fois a goûté son amorce, Vouloir ne plus aimer c'est ce qu'elle ne peut, Puisqu'elle ne peut plus vouloir que ce qu'il veut, Ses chaînes sont pour nous aussi fortes que belles.
SCENE V.	SCÈNE V.
Levieil HORACE, SABINE, CAMILLE.	Levieil HORACE, SABINE, CAMILLE.
Le vieil HORACE.	Le vieil HORACE.
E viens vous apporter de fâcheuſes nouvelles, J Mes filles, mais en vain je voudrois vous celer Ce qu’on ne vous ſçauroit long-temps diſſimuler, Vos freres ſont aux mains, les Dieux ainſi l’ordonnent.	E viens vous apporter de fâcheuses nouvelles, J Es filles, mais en vain je voudrais vous celer Ce qu'on ne vous saurait longtemps dissimuler, Vos frères sont aux mains, les Dieux ainsi l'ordonnent.
SABINE.	SABINE.
Je veux bien l’avoüer, ces nouvelles m’étonnent, Et je m’imaginois dans la divinité Beaucoup moins d’injuſtice, & bien plus de bonté.	Je veux bien l'avouer, ces nouvelles m'étonnent, Et je m'imaginais dans la divinité Beaucoup moins d'injustice, et bien plus de bonté.
Ne nous conſolez point, contre tant d’infortune La pitié parle en vain, la raiſon importune, Nous avons en nos mains la fin de nos douleurs, Et qui veut bien mourir, peut braver les malheurs.	Ne nous consolez point, contre tant d'infortune La pitié parle en vain, la raison importune, Nous avons en nos mains la fin de nos douleurs, Et qui veut bien mourir, peut braver les malheurs.
Nous pourrions aiſément faire en voſtre preſence De noſtre deſeſpoir une fauſſe conſtance;	Nous pourrions aisément faire en votre présence De notre désespoir une fausse constance;
Mais quand on peut ſans honte eſtre ſans fermeté, L’affecter au dehors, c’eſt une lâcheté:	Mais quand on peut sans honte être sans fermeté, L'affecter au dehors, c'est une lâcheté:
L’uſage d’un tel art, nous le laiſſons aux hommes, Et ne voulons paſſer que pour ce que nous ſommes.	L'usage d'un tel art, nous le laissons aux hommes, Et ne voulons passer que pour ce que nous sommes.
Nous ne demandons point qu’un courage ſi fort s abaine a lomle exemple à le plaindre du Sort;	Nous ne demandons point qu'un courage si fort s abaine à lomle exemple à le plaindre du Sort;
Recevez ſans fremir ces mortelles alarmes, voyez couler nos pleurs ſans y meſler vos larmes, Enfin pour toute grace en de tels déplaiſirs, Gardez voſtre conſtance, & ſouffrez nos ſoûpirs.	Recevez sans frémir ces mortelles alarmes, voyez couler nos pleurs sans y mêler vos larmes, Enfin pour toute grâce en de tels déplaisirs, Gardez votre constance, et souffrez nos soupirs.
Le vieil HORACE.	Le vieil HORACE.
Loin de blâmer les pleurs que je vous voy répãdre, Je croy faire beaucoup de m’en pouvoir défendre, Et cederois peut-eſtre à de ſi rudes coups Si je prenois icy meſme intereſt que vous.	Loin de blâmer les pleurs que je vous vois perdre, Je crois faire beaucoup de m'en pouvoir défendre, Et céderais peut-être à de si rudes coups Si je prenais ici même intérêt que vous.
Non qu’Albe par ſon choix m'ait fait hair vos freres, Tous	Non qu'Albe par son choix m'ait fait haïr vos frères, Tous
Tous trois me ſont encor des perſonnes biẽ cheres, Mais enfin l’amitié n’eſt pas du meſine rang, Et n’a point les effets de l’amour, ny du ſang.	Tous trois me sont encor des personnes bien chères, Mais enfin l'amitié n'est pas du mes rang, Et n'a point les effets de l'amour, ni du sang.
Je ne ſens point pour eux la douleur qui tourmente Sabine comme ſœur, Camille comme amante, Je puis les regarder comme nos ennemis, Et donne ſans regrer mes ſouhaits à mes fils.	Je ne sens point pour eux la douleur qui tourmente Sabine comme sœur, Camille comme amante, Je puis les regarder comme nos ennemis, Et donne sans régrer mes souhaits à mes fils.
Ils ſont, graces aux Dieux, dignes de leur patrie, Aucun étonnement n’a leur gloire flétrie, Et j’ay veu leur honneur croiſtre de la moitié, Quand ils ont des deux camps refuſé la pitié.	Ils sont, grâces aux Dieux, dignes de leur patrie, Aucun étonnement n'a leur gloire flétrie, Et j'ai vu leur honneur croître de la moitié, Quand ils ont des deux camps refusé la pitié.
Si par quelque foibleſſe ils l’avoient mandiée, Si leur haute vertu ne l’euſt repudiée, Ma main bien-toſt ſur eux m’euſt vangé hautement De l’affront que m’euſt fait ce mol conſentement.	Si par quelque faiblesse ils l'avaient mandiée, Si leur haute vertu ne l'eût répudiée, Ma main bientôt sur eux m'eût vengé hautement De l'affront que m'eût fait ce mol consentement.
Mais lors qu’en dépit d’eux on en a voulu d’autres, Je ne le cele point, j’ay joint mes vœux aux voſtres, Si le Ciel pitoyable euſt écouté ma voix, Albe ſeroit reduite à faire un autre choix;	Mais lors qu'en dépit d'eux on en a voulu d'autres, Je ne le cèle point, j'ai joint mes vœux aux vôtres, Si le Ciel pitoyable eût écouté ma voix, Albe serait réduite à faire un autre choix;
Nous pourrions voir tantoſt triompher les Horaces, Sans voir leurs bras ſoüillez du ſang des Curiaces, Et de l’evenement d’un combat plus humain Dé pendroit maintenãt l’honneur du nom Romain, La prudence des Dieux autrement en diſpoſe, Sur leur ordre eternel mon eſprit ſe repoſe, Il s’arme en ce beſoin de generoſité, Et du bonheur public fait ſa felicité.	Nous pourrions voir tantôt triompher les Horaces, Sans voir leurs bras soüillez du sang des Curiaces, Et de l'événement d'un combat plus humain Dé pendroit maintenant l'honneur du nom Romain, La prudence des Dieux autrement en dispose, Sur leur ordre éternel mon esprit se repose, Il s'arme en ce besoin de générosité, Et du bonheur public fait sa félicité.
Tâchez d’en faire autant pour ſoulager vos peines, Et ſongez toutes deux que vous eſtes Romaines, Vous l’eſtes devenuë, & vous l’eſtes encor.	Tâchez d'en faire autant pour soulager vos peines, Et songez toutes deux que vous êtes Romaines, Vous l'êtes devenue, et vous l'êtes encor.
On'irglorieux tiltre eſt un digne treſor;	On'irglorieux titre est un digne trésor;
Un jour, un jour viendra que par toute la terre Rome ſe fera craindre à l’égal du Tonnerre, Et que tout l’Univers tremblant deſſous ſes loix, Ce grand nom deviendra l’ambition des Rois.	Un jour, un jour viendra que par toute la terre Rome se fera craindre à l'égal du Tonnerre, Et que tout l'Univers tremblant dessous ses lois, Ce grand nom deviendra l'ambition des Rois.
Les Dieux à noſtre Anée ont promis cette gloire.	Les Dieux à notre Anée ont promis cette gloire.
SCE	SCE
ULIE.	ULIE.
Mais plûtoſt du combat les funeſtes effets.	Mais plutôt du combat les funestes effets.
nto me eſt Sujette d’Albe, & vos fils ſont défaits, Des trois les deux ſont morts, ſon époux ſeul vous Le vieil HORACE.	nto me est Sujette d'Albe, et vos fils sont défaits, Des trois les deux sont morts, son époux seul vous Le vieil HORACE.
reſte.	reste.
O d’un triſte combat effet vraiment funeſte!	Ô d'un triste combat effet vraiment funeste!
Rome eſt Sujette d’Albe, & pour l’en garantir Il n’a pas employé juſqu’au dernier ſoûpir!	Rome est Sujette d'Albe, et pour l'en garantir Il n'a pas employé jusqu'au dernier soupir!
Non non, cela n’eſt point, on vous trompe, Julie, Rome n’eſt point Sujette, ou mon fils eſt ſans vie, Je connoy mieux mon ſang, il ſçait mieux ſon de	Non non, cela n'est point, on vous trompe, Julie, Rome n'est point Sujet, ou mon fils est sans vie, Je connais mieux mon sang, il sait mieux son de
ULIE.	ULIE.
voir.	voir.
Miſie de nos iemparts come moj Pont pa voir.	Misie de nos iemparts come moj Ont pa voir.
Il s’eſt fait admirer tant qu’ont duré ſes freres, Mais comme il s’eſt veu ſeul cõtre trois adverſaires, Prés d’eſtre enfermé d’eux, ſa fuité l’a ſauvé.	Il s'est fait admirer tant qu'ont duré ses frères, Mais comme il s'est vu seul cette trois adversaires, Prés d'être enfermé d'eux, sa fuité l'a sauvé.
HORACE.	HORACE.
Et nos ſoldats trahis ne l’ont pas achevé!	Et nos soldats trahis ne l'ont pas achevé!
Dans leuis langs ace laene no ont donne ſetraite.	Dans levis langs ace laène nô ont donne settraite.
ULIE.	ULIE.
Je n’ay rien voulu voir aprés cette défaite.	Je n'ai rien voulu voir après cette défaite.
O mes freres !	Ô mes frères !
CAMILLE.	CAMILLE.
Le vieil HORACE.	Le vieil HORACE.
Tout-beau, ne les pleurez pas tous, Deux joüiſſent d’un ſort dont leur pere eſt jaloux.	Tout-beau, ne les pleurez pas tous, Deux jouissent d'un sort dont leur père est jaloux.
Que des plus nobles fleurs leur tõbe ſoit couverte, La gloire de leur mort m’a payé de leur perte :	Que des plus nobles fleurs leur tombe soit couverte, La gloire de leur mort m'a payé de leur perte :
Ce bonheur a ſuivy leur courage invaincu Qu’ils ont veu Rome libre autant qu’ils ont veſcu, Et ne l’auront point veuë obeïr qu’à ſon Prince, N Ny d’un Eſtat voiſin devenir la Province.	Ce bonheur a suivi leur courage invaincu Qu'ils ont vu Rome libre autant qu'ils ont vécue, Et ne l'auront point vue obéir qu'à son Prince, N y d'un État voisin devenir la Province.
Pleurez l’autre, pleurez l’irreparable affront Que ſa fuite honteuſe imprime à noſtre front, Pleurez le deshonneur de toute noſtre race, Et l’opprobre eternel qu’il laiſſe au nom d’Horace.	Pleurez l'autre, pleurez l'irréparable affront Que sa fuite honteuse imprime à notre front, Pleurez le déshonneur de toute notre race, Et l'opprobre éternel qu'il laisse au nom d'Horace.
O nIE.	Ô nIE.
Que vouliez-vous qu’il fiſt contre trois?	Que vouliez-vous qu'il fît contre trois?
Le vieil HORACE.	Le vieil HORACE.
Qu’il mouruſt, Ou qu’un beau deſeſpoir alors le ſecouruſt.	Qu'il mourût, Ou qu'un beau désespoir alors le secourût.
N’euſt-il que d’un moment reculé ſa défaite, Rome euſt eſté du moins un peu plus tard Sujette, Il euſt avec honneur laiſſé mes cheveux gris, Et c’eſtoit de ſa vie un aſſez digne prix.	N'eût-il que d'un moment réculé sa défaite, Rome eût été du moins un peu plus tard Sujette, Il eût avec honneur laissé mes cheveux gris, Et c'était de sa vie un assez digne prix.
Il eſt de tout ſon ſang comptable à ſa patrie, Chaque goute épargnée a ſa gloire flétrie, Chaque inſtant de ſa vie apres ce lâche tour Met d’autant plus ma honte avec la ſienne au jour.	Il est de tout son sang comptable à sa patrie, Chaque goute épargnée a sa gloire flétrie, Chaque instant de sa vie après ce lâche tour Met d'autant plus ma honte avec la sienne au jour.
J’en rompray bien le cours, & ma juſte colere, Contre un indigne fils uſant des droits d’un pere, Sçaura bien faite voir dans ſa punition L’éclatant delaveu d’une telle action.	J'en romprai bien le cours, et ma juste colère, Contre un indigne fils usant des droits d'un père, Saura bien fait voir dans sa punition L'éclatant délaveu d'une telle action.
SABINE.	SABINE.
Eſcoutez un peu moins ces ardeurs genereuſes, Et ne nous rendez point tout-à fait malheureuſes.	Écoutez un peu moins ces ardeurs généreuses, Et ne nous rendez point tout-à fait malheureuses.
Le vieil HORACE.	Le vieil HORACE.
Sabine, voſtre cœur ſe conſole aiſément, Nos malheurs juſqu’icy vous touchent foiblement, Vous n’avez point encor de part à nos miſeres, Le Ciel vous a ſauvé voſtre époux & vos freres, Si nous ſommes Sujets, c’eſt de voſtre païs, Vos freres ſont vainqueurs quand nous ſommes trahis, Et voyant le haut point où leur gloire ſe monte, Vous regardez fort peu ce qui nous vient de honte.	Sabine, votre cœur se console aisément, Nos malheurs jusqu'ici vous touchent faiblement, Vous n'avez point encor de part à nos misères, Le Ciel vous a sauvé votre époux et vos frères, Si nous sommes Sujets, c'est de votre pays, Vos frères sont vainqueurs quand nous sommes trahis, Et voyant le haut point où leur gloire se monte, Vous regardez fort peu ce qui nous vient de honte.
Mais voſtre trop d’amour pour cet infame époux Vous donnera bien-toſt à plaindre comme à nous.	Mais votre trop d'amour pour cet infâme époux Vous donnera bientôt à plaindre comme à nous.
Vos pleurs en ſa faveur ſont de foibles défenſes, J’atteſte l'atteſte des grands Dieux les ſuprémes puiſſances Qu’avant ce jour finy, ces mains, ces propres mains Laveront dans ſon ſang la honte des Romains.	Vos pleurs en sa faveur sont de faibles défenses, J'atteste l'atteste des grands Dieux les suprémes puissances Qu'avant ce jour fini, ces mains, ces propres mains Laveront dans son sang la honte des Romains.
SABINE.	SABINE.
Suivons-le promptement, la colere l’emporte.	Suivons-le promptement, la colère l'emporte.
Dieux!	Dieux!
verrons-nous toûjours des malheurs de la ſorte?	verrons-nous toujours des malheurs de la sorte?
Nous faudra-t’il toûjours en craindre de plus grãds, Et toûjours redouter la main de nos parens?	Nous faudra-t-il toujours en craindre de plus grands, Et toujours redouter la main de nos parents?
Fin du troiſieſme Acte.	Fin du troisième Acte.
ACTE	ACTE
40 ACTE IV.	40 ACTE IV.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
Levien fORACE, CAMILLE.	Levien fORACE, CAMILLE.
Le vieil HORACE.	Le vieil HORACE.
E me parlez jamais en faveur d’un infame, N Qu’il me fuye à l’égal des freres de ſa femme, Pour conſerver un ſang qu’il tient ſi precieux Illl a llenlait cncors l n cute mes yeux.	E me parlez jamais en faveur d'un infâme, N Avail me fuie à l'égal des frères de sa femme, Pour conserver un sang qu'il tient si précieux Il a llenlait cncors l ute mes yeux.
Sabine y peut mettre ordre, ou derechef j’atteſte Le ſouverain pouvoir de la troupe celeſte.	Sabine y peut mettre ordre, ou derechef j'atteste Le souverain pouvoir de la troupe céleste.
CAMÏLLE.	CAMLLE.
Ah!	Ah!
mon pere, prenez un plus doux ſentiment, Vous verrez Rome meſme en uſer autrement, Et de quelque malheur que le Ciel l’ait comblée, Excuſer la vertu ſous le nombre accablée.	mon père, prenez un plus doux sentiment, Vous verrez Rome -même en user autrement, Et de quelque malheur que le Ciel l'ait comblée, Excuser la vertu sous le nombre accablée.
Le vieil HORACE.	Le vieil HORACE.
Le jugement de Rome eſt peu pour mon regard, Camille, je ſuis pere, & j’ay mes droits à part, Je ſçay trop comme agit la vertu veritable;	Le jugement de Rome est peu pour mon regard, Camille, je suis père, et j'ai mes droits à part, Je sais trop comme agit la vertu véritable;
C'eſt ſans en triompher que le nombre l’accable, Et ſa maſle vigueur toûjours en meſme point Succombe ſous la force & ne luy cede point.	C'est sans en triompher que le nombre l'accable, Et sa mâle vigueur toujours en même point Succombe sous la force et ne lui cède point.
Taiſez-vous, & ſçachons ce que nous veut Valere.	Taisez-vous, et sachons ce que nous veut Valère.
SCENE II.	SCÈNE II.
Le vieil HORACE, VALERE, CAMILLE.	Le vieil HORACE, VALÈRE, CAMILLE.
VALERE' Nvoyé par le Roy pour conſoler un pere, Et pour luy témoigner.	VALÈRE' Novoyé par le Roi pour consoler un père, Et pour lui témoigner.
Le vieil HORACE.	Le vieil HORACE.
N’en prenez aucun ſoin, C’eſt C’eſt un ſoulagement dont je n’ay pas beſoin, Et j’ayme mieux voir morts que couverts d’infamie Ceux que vient de m’oſter une main ennemie.	N'en prenez aucun soin, C'est C'est un soulagement dont je n'ai pas besoin, Et j'aime mieux voir morts que couverts d'infamie Ceux que vient de m'ôter une main ennemie.
Tous deux pour leur païs ſont morts en gens d’honneur, Il me ſuffit.	Tous deux pour leur pays sont morts en gens d'honneur, Il me suffit.
VALERE.	VALÈRE.
Mais l’autre eſt un rare bonheur, De tous les trois chez vous il doit tenir la place.	Mais l'autre est un rare bonheur, De tous les trois chez vous il doit tenir la place.
Le vieil HORACE.	Le vieil HORACE.
Que n’a-t’on veu perir en luy le nom d’Horace!	Que n'a-t-on vu périr en nô le nom d'Horace!
VALERE.	VALÈRE.
dour vouo le mar trurtenapresce quir a lalt.	dour vouo le mar trurtenaprèsce qui a lalt.
Le vieil HORACE.	Le vieil HORACE.
Ceit a moy leul auin de punir ſon forfait.	Ceit à moi leul auin de punir son forfait.
VALERE.	VALÈRE.
Quel forfait trouvez-vous en ſa bonne conduite?	Quel forfait trouvez-vous en sa bonne conduite?
Le vieil HORHCE.	Le vieil HORHÉCE.
Quel éclat de vertu trouvez-vous en ſa fuite?	Quel éclat de vertu trouvez-vous en sa fuite?
VALERE.	VALÈRE.
La fuite eſt glorieuſe en cette occaſion.	La fuite est glorieuse en cette occasion.
Le vieil HORACE.	Le vieil HORACE.
Vous redoublez ma honte & ma confuſion, Certes l’exemple eſt rare, & digne de memoire, De trouver dans la fuite un chemin à la gloire.	Vous redoublez ma honte et ma confusion, Certes l'exemple est rare, et digne de mémoire, De trouver dans la fuite un chemin à la gloire.
VALERE.	VALÈRE.
Quene comunon, & queſle honte a vous D’avoir produit un fils qui nous conſerve tous, Qui fait triompher Rome, & luy gaigne un Empire?	Quène comunon, et quêle honte à vous D'avoir produit un fils qui nous conserve tous, Qui fait triompher Rome, et lui gagne un Empire?
A quels plus grands honneurs faut-il qu’un pere aſpire?	À quels plus grands honneurs faut-il qu'un père aspire?
Le vieil HORACE.	Le vieil HORACE.
Quels honneurs, quel triomphe, & quel Empire enfin Lors qu’Albe ſous ſes loix range noſtre deſtin?	Quels honneurs, quel triomphe, et quel Empire enfin Lors qu'Albe sous ses lois range notre destin?
VALERE.	VALÈRE.
Que parlez-vous icy d’Aſbe;	Que parlez-vous ici d'Asbe;
& de la victoie;	et de la victoie;
Ignorez-vous encor la moitié de l’hiſtons?	Ignorez-vous encor la moitié de l'histons?
Le vieil HORACE.	Le vieil HORACE.
Je lȩay que par ia iuite n’a frany l’Enat.	Je lȩay que par ja juite n'a frani l'Enat.
VALERE.	VALÈRE.
Oüy, s’il euſt en fuyant terminé le combat;	Oui, s'il eût en fuyant terminé le combat;
me Mais l’on a bien-toſt veu qu’il ne fuyoit qu’en homQui ſçavoit ménager l’avantage de Rome.	Mais Me l'on a bientôt vu qu'il ne fuyait qu'en homQui sçavoit ménager l'avantage de Rome.
At oun lrorne E.	At oun lrorne E.
Quoy, Rome donc triomphe!	Quoi, Rome donc triomphe!
VALERE' Apprenez, apprenez La valeur de ce fils qu’à tort vous condamnez.	VALÈRE' Apprenez, apprenez La valeur de ce fils qu'à tort vous condamnez.
Reſté ſeul contre trois, mais en cette avanture, Tous trois eſtant bleſſez, & luy ſeul ſans bleſſure, Trop foible pour eux tous, trop fort pour chacun d’eux, Il ſçait bien ſe tirer d’un pas ſi hazardeux, Il fuit pour mieux combatre, & cette prompte ruſe Diviſe adroitement trois freres qu’elle abuſe.	Resté seul contre trois, mais en cette aventure, Tous trois étant blessés, et notre seul sans blessure, Trop faible pour eux tous, trop fort pour chacun d'eux, Il sait bien se tirer d'un pas si hasardeux, Il fuit pour mieux combattre, et cette prompte ruse Divise adroitement trois frères qu'elle abuse.
Chacun le ſuit d’un pas, ou plus, ou moins preſſé, Selon qu’il ſe rencontre, ou plus, ou moins bleſſé;	Chacun le suit d'un pas, ou plus, ou moins pressé, Selon qu'il se rencontre, ou plus, ou moins blessé;
Leur ardeur eſt égale à pourſuivre ſa fuite, Mais leurs coups inégaux ſeparent leur pourſuite.	Leur ardeur est égale à poursuivre sa fuite, Mais leurs coups inégaux séparent leur poursuite.
Horace les voyant l’un de l’autre écartez, Se retourne, & déja les croit demy-domptez, Il attend le premier, & c’eſtoit voſtre gendre.	Horace les voyant l'un de l'autre écartés, Se retourne, et déjà les croit demi-domptez, Il attend le premier, et c'était votre gendre.
L’autre tout indigné qu’il ait oſé l’attendre, En vain en l’attaquant fait paroiſtre un grand cœur, Le ſang qu’il a perdu rallentit ſa vigueur.	L'autre tout indigné qu'il ait osé l'attendre, En vain en l'attaquant fait paraître un grand cœur, Le sang qu'il a perdu ralentit sa vigueur.
Albe à ſon tour commence à craindre un ſort contraire, Elle crie au ſecond qu’il ſecoure ſon frere, Il ſe hâte & s’épuiſe en efforts ſuperflus, Il trouve en le joignant que ſon frere n’eſt plus.	Albe à son tour commence à craindre un sort contraire, Elle crie au second qu'il secoure son frère, Il se hâte et s'épuise en efforts superflus, Il trouve en le joignant que son frère n'est plus.
Helas!	Hélas!
CAMILLE.	CAMILLE.
VALERE.	VALÈRE.
Tout hors d’haleme ii prena pourtant ſa place.	Tout hors d'haleme ji prena pourtant sa place.
Et redouble bien-toſt la victoire d’Horace, Son Son courage ſans force eſt un debile appuy, Voulant vanger ſon frere il tombe auprés de luy.	Et redouble bientôt la victoire d'Horace, Son Son courage sans force est un débile appui, Voulant venger son frère il tombe auprès de lui.
L’air reſonne des cris qu’au Ciel chacun envoye, Albe en jette d’angoiſſe, & les Romains de joye.	L'air résonne des cris qu'au Ciel chacun envoie, Albe en jette d'angoisse, et les Romains de joie.
Comme noſtre Heros ſe voit prés d’achever, C’eſt peu pour luy de vaincre, il veut encor braver, J’en viens d’immoler deux aux Manes de mes freres, Rome aura le dernier de mes trois adverſaires, C’eſt à ſes intereſts que je vay l’immoler, Dit-il, & tout dun temps on le voit y voler, La victoire entr’eux-deux n’eſtoit pas incertaine, L’Albain percé de coups ne ſe traiſnoit qu’à peine, Et comme une victime aux marches de l’Autel, Arſemoron pleienter la goige au coup mortel.	Comme notre Héros se voit près d'achever, C'est peu pour lui de vaincre, il veut encor braver, J'en viens d'immoler deux aux Manes de mes frères, Rome aura le dernier de mes trois adversaires, C'est à ses intérêts que je vais l'immoler, Dit-il, et tout dun temps on le voit y voler, La victoire entr'eux-deux n'était pas incertaine, L'Albain percé de coups ne se traînait qu'à peine, Et comme une victime aux marches de l'Autel, Arsemoron pleienter la golâge au coup mortel.
Auſſi le reçoit-il, peu s’en faut, ſans défence, Et ſon trépas de Rome eſtablit la puiſſance.	Aussi le reçoit-il, peu s'en faut, sans défense, Et son trépas de Rome établit la puissance.
Le vieil HORACE.	Le vieil HORACE.
O mon fils, ô ma joye, ô l’honneur de nos jours!	Ô mon fils, ô ma joie, ô l'honneur de nos jours!
O d’un Eſtat panchant l’ineſperé ſecours!	Ô d'un État penchant l'inespéré secours!
Vertu digne de Rome, & ſang digne d’Horace, Appuy de ton païs, & gloire de ta race!	Vertu digne de Rome, et sang digne d'Horace, Apui de ton pays, et gloire de ta race!
quailu poulay-je étouner dans tes embraſſemens L’erreur dont j’ay formé de ſi faux ſentimens?	quailu poulay-je étouner dans tes embrassements L'erreur dont j'ai formé de si faux sentiments?
Quand pourra mon amour baigner avec tendreſſe Ton front victorieux de larmes d’allegreſſe?	Quand pourra mon amour baigner avec tendresse Ton front victorieux de larmes d'allégresse?
VALERE.	VALÈRE.
Vos careſſes bien-toſt pourront ſe déployer, Le Roy dans un moment vous le va renvoyer.	Vos caresses bientôt pourront se déployer, Le Roi dans un moment vous le va renvoyer.
Et remet à demain la pompe qu’il prepare D’un ſacrifice aux Dieux pour un bonheur ſi rare.	Et remet à demain la pompe qu'il prépare D'un sacrifice aux Dieux pour un bonheur si rare.
Aujourd’huy ſeulement on s’acquite vers eux Par des chants de victoire & par de ſimples vœux, C’eſt où le Roy le méne, & tandis il m'entoye Faire office vers vous de douleur & de joye.	Aujourd'hui seulement on s'acquite vers eux Par des chants de victoire et par de simples vœux, C'est où le Roi le mène, et tandis il m'entoie Faire office vers vous de douleur et de joie.
Mais cet office encor n’eſt pas aſſez pour luy, Il y viendra luy-meſme & peut-eſtre aujourd’huy;	Mais cet office encor n'est pas assez pour lui, Il y viendra lui-même et peut-être aujourd'hui;
Il croit mal reconnoiſtre une vertu ſi pure, Si de ſa propre bouche il ne vous en aſſeure, 3’ii le vous dit cuez vous comtoie vous doit l’Eſtat.	Il croit mal reconnaître une vertu si pure, Si de sa propre bouche il ne vous en assure, 3'y le vous dit cuez vous comtoie vous doit l'État.
Le vieil HORACE.	Le vieil HORACE.
De tels remercimens ont pour moy trop d’éclat, Et je me tiens déja trop payé par les voſtres Du ſervice d’un fils & du ſang des deux autres.	De tels remerciments ont pour moi trop d'éclat, Et je me tiens déjà trop payé par les vôtres Du service d'un fils et du sang des deux autres.
VALERE.	VALÈRE.
Il ne ſçait ce que c’eſt d’honorer à demy, Et ſon ſceptre arraché des mains de l’ennemy Fait qu’il eſtime encor l’honneur qu’il vous veut faire Au deſſous du merite & du fils & du pere.	Il ne sait ce que c'est d'honorer à demi, Et son sceptre arraché des mains de l'ennemi Fait qu'il estime encor l'honneur qu'il vous veut faire Au dessous du mérite et du fils et du père.
je vay iuy témoigner quels nobles ſentimens La vertu vous inſpire en tous vos mouvemens, Et combien vous mõtrez d’ardeur pour ſon ſervice.	je vais jui témoigner quels nobles sentiments La vertu vous inspire en tous vos mouvements, Et combien vous montrez d'ardeur pour son service.
Le vieil HORACE.	Le vieil HORACE.
Je vous devray beaucoup pour un ſi bon office.	Je vous devrai beaucoup pour un si bon office.
SCENE III Le vieil HORACE.	SCÈNE III Le vieil HORACE.
CAMILLE.	CAMILLE.
M Le vieil HORACE.	M Le vieil HORACE.
A fille, il n’eſt plus temps de répandre des pleurs, Il ſied mal d’en verſer où l’on voit tant d’honneurs, On pleure injuſtement de pertes domeſtiques Quand on en voit ſortir des victoires publiques.	À fille, il n'est plus temps de répandre des pleurs, Il sied mal d'en verser où l'on voit tant d'honneurs, On pleure injustement de pertes domestiques Quand on en voit sortir des victoires publiques.
Rome triomphe d’Albe, & c’eſt aſſez pour nous, Tous nos maux à ce prix doivent nous eſtre doux.	Rome triomphe d'Albe, et c'est assez pour nous, Tous nos maux à ce prix doivent nous être doux.
