PRIVILEGE DU ROY.	PRIVILÈGE DU ROI.
ILVANDRE.	ILVANDRE.
Suy les loix de Bachus, tu t’en trouveras bien.	Sui les lois de Bachus, tu t'en trouveras bien.
DAMON.	DAMON.
Heureux qui peut aymer une Beauté fidele!	Heureux qui peut aimer une Beauté fidèle!
ORESTAN.	ORÊTAN.
Plus heureux qui peut n’aymer rien.	Plus heureux qui peut n'aimer rien.
SILVANDRE.	SILVANDRE.
Viens avec nous goûter la vie;	Viens avec nous goûter la vie;
Quitte une volage Beaute omme elle t’a quitté:	Quitte une volage Beaute omme elle t'a quitté:
Profite de ſa perfidie, Vien joüir de la liberté.	Profite de sa perfidie, Viens jouir de la liberté.
DAMON.	DAMON.
C’eſt pour ſervir Cloris que je quitte Climene, Et mon cœur ſans aymer ne ſçauroit vivre un jour;	C'est pour servir Cloris que je quitte Climène, Et mon cœur sans aimer ne saurait vivre un jour;
Qui s’engage une fois peut bien chãger de chaîne, Mais il eſt mal-aisé d'échapper à l’Amour.	Qui s'engage une fois peut bien changger de chaîne, Mais il est mal-aisé d'échapper à l'Amour.
LVANDRE.	LVANDRE.
dous v'amomeu.	dous v'amomeu.
e Empire On n’eſt point ſans tourment;	 Empire On n'est point sans tourment;
fe le plains pauvre Amant, Languy, gemy, ſoûpire;	se le plains pauvre Amant, Langui, gémi, soupire;
N ous allons rire.	 Nous allons rire.
SILVANDRE ET FORESTAN.	SILVANDRE ET FORÊTAN.
Fuyons l’Amour, & le chagrin, &c.	Fuyons l'Amour, et le chagrin, etc.
CENE SIXIE’ME.	CÈNE SIXIE'ME.
DAMON, CLIMENE.	DAMON, CLIMENE.
DAMON.	DAMON.
MAvolage s’avance.	MAvolage s'avance.
CLIMENE.	CLIMENE.
Voicy mon infidele Amant.	Voici mon infidèle Amant.
DAMON, ET CLIMENE.	DAMON, ET CLIMENE.
Vengeons-nous de ſon inconſtance.	Vengeons-nous de son inconstance.
O!	Ô!
la douce vengeance Qu'un heureux changement!	la douce vengeance Qu'un heureux changement!
E iij	 Ejà
DAMON.	DAMON.
Quand je plaiſois à tes yeux eſtois content de ma vie, Et ne voyois Roys ny Dieux Dont le ſort me fit envie.	Quand je plaisais à tes yeux étais content de ma vie, Et ne voyais Rois ni Dieux Dont le sort me fit envie.
CLIMENE.	CLIMENE.
Lors qu’à toute autre perſonne Me preferoit ton ardeur, ’aurois quitté la Couronne Pour regner deſſus ton cœur.	Lors qu'à toute autre personne Me préferait ton ardeur, aurais quitté la Couronne Pour régner dessus ton cœur.
DAMON.	DAMON.
Une autre a guery mon ame, Des feux que j’avois pour toy.	Une autre a guéri mon âme, Des feux que j'avais pour toi.
LIMENE.	LIMENE.
Une autre a vengé ma flame Des foibleßes de ta foy.	Une autre a vengé ma flamme Des foiblesses de ta foi.
PAMON.	PAMON.
loris qu’on vante ſi fort M’ayme d’une ardeur fidele, Si ſes yeux vouloient ma mort Je mourrois content pour elle.	loris qu'on vante si fort M'aime d'une ardeur fidèle, Si ses yeux voulaient ma mort Je mourrais content pour elle.
CLIMENE, Mirtil ſi digne d’envie, Me cherit plus que le jour, Et moy je perdrois la vie Pour luy montrer mon amourMais ſi d’une douce ardeur Qeique renuiſfante trace haſſoit Cloris de mon cœur Pour te remettre en ſa place?	CLIMENE, Mirtil si digne d'envie, Me chérit plus que le jour, Et moi je perdrais la vie Pour lui montrer mon amourMais si d'une douce ardeur Qeique renvisfante trace hassait Cloris de mon cœur Pour te remettre en sa place?
CLIMENE.	CLIMENE.
Bien qu'avec pleine tendreſſe Mirtil me puiſſe cherir, Avec toy, je le confeſſe, ſe vouarois orore & mourir.	Bien qu'avec pleine tendresse Mirtil me puisse chérir, Avec toi, je le confesse, se vouarais orore et mourir.
DAMON, ET CLIMENE.	DAMON, ET CLIMENE.
An pius que jamais aymons-nous, Et vivons & mourons en des lieux ſi doux.	An pius que jamais aimons-nous, Et vivons et mourons en des lieux si doux.
SCENE SEPTIE’ME.	SCÈNE SEPTIE'ME.
TROUPE DE BERGERS ET DE BERGERES,	TROUPE DE BERGERS ET DE BERGÈRES,
DAMON.	DAMON.
CLIMENE.	CLIMENE.
Ne Troupe de Bergers & de Bergeres 7 qui voyent Damon & Climene racommodez en témoignent leur joye.	Ne Troupe de Bergers et de Bergères 7 qui voient Damon et Climène racommodés en témoignent leur joie.
TROUPE DE BERGERSET DE BERGERES.	TROUPE DE BERGERSET DE BERGÈRES.
Amants, que vos querelles Sont aymables & belles;	Amants, que vos querelles Sont aimables et belles;
Qu'on y void ſucceder De plaiſirs, de tendreſſe!	Qu'on y voit succéder De plaisirs, de tendresse!
Querellez-vous ſans ceſſe Pour vous racommoder.	Querellez-vous sans cesse Pour vous racommoder.
SCENE TOTTIE'ME.	SCÈNE TOTTIE'ME.
ARCAS, DAMON, CLIMENE, TROUPE DE BERGERS ET DE BERGERES.	ARCAS, DAMON, CLIMENE, TROUPE DE BERGERS ET DE BERGÈRES.
ARCAS.	ARCAS.
Enez, que rien ne vous arreſte, Ne perdez point d’heureux moments;	Énez, que rien ne vous arrête, Ne perdez point d'heureux moments;
Venez, veneZ tous voir la Feſte Que l’on appreſte A l’’honneur du Dieu des Amants;	Venez, venez tous voir la Fête Que l'on apprête A l'honneur du Dieu des Amants;
Les plaiſirs où l’Amour convie Sont les plus charmants de la vie, Il en faut joüir tant qu’on peut, On ne les a pas quand on veut.	Les plaisirs où l'Amour convie Sont les plus charmants de la vie, Il en faut jouir tant qu'on peut, On ne les a pas quand on veut.
Les plaiſirs où l’Amour convie, &c.	Les plaisirs où l'Amour convie, etc.
Les Bergers & les Bergeres vont enſemble au lieu preparé pour la Feſte de l’Amour.	Les Bergers et les Bergères vont ensemble au lieu préparé pour la Fête de l'Amour.
Fin du ſecond Acte.	Fin du second Acte.
ACTE III.	ACTE III.
ACTE TROISIEME.	ACTE -TROISIÈME.
C E Theatre ſe change, & repre-Le Theaſente une grande Allée d’arbres d’une extréme hauteur, leſquels mélent leurs branches les unes forment avec les autres, & forment une maniere de voute de verdure, ou pluſieurs Paſteurs joüants re.	Ç E Théâtre se change, et repre-Le Théasente une grande Allée d'arbres d'une extrême hauteur, lesquels mêlent leurs branches les unes forment avec les autres, et forment une manière de voute de verdure, ou plusieurs Pasteurs joüants re.
de différents Inſtruments ſe trouvent placez;	de différents Instruments se trouvent placés;
Un grand nombre de Bergers & de Bergeres paroiſſent ſous cette voute qui commencent la Feſte de l’Amour, par des Chanſons où les Dances ſe mélent de temps en temps.	Un grand nombre de Bergers et de Bergères paraissent sous cette voute qui commencent la Fête de l'Amour, par des Chansons où les Dances se mêlent de temps en temps.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
TROUPES DE PASTEURS, DE BERCERS ET BERGERES.	TROUPES DE PASTEURS, DE BERCERS ET BERGÈRES.
CALISTE.	CALISTE.
ICy l'ombre des ormeaux Donne un teint frais aux herbettes, Et les bords de ces Ruiſſeaux Brillent de mille fleurettes Qui ſe mirent dans les eaux.	ICi l'ombre des ormeaux Donne un teint frais aux herbettes, Et les bords de ces Ruisseaux Brillent de mille fleurettes Qui se mirent dans les eaux.
Prenez, Bergers, vos Muſettes, Afuſitɇ vos Cuuiameaux, Et meſons nos chanſonnettes Aux chants des petits Oiſeaux.	Prenez, Bergers, vos Musettes, Afusit vos Cuuiameaux, Et mésons nos chansonnettes Aux chants des petits Oiseaux.
CINQVIE'ME ENTRE’E.	CINQUIE'ME ENTRE'E.
QUATRE BERGERS, QUATRE BERGERES.	QUATRE BERGERS, QUATRE BERGÈRES.
CLIMENE.	CLIMENE.
Le Zephire entre ces eaux Fait mille courſes ſecrettes, Et les Roſſignols nouveaux De leurs douces amourettes Parlent aux tendres rameaux.	Le Zéphire entre ces eaux Fait mille courses secrètes, Et les Rossignols nouveaux De leurs douces amourettes Parlent aux tendres rameaux.
Prenez, Bergers, vos Muſettes, &c.	Prenez, Bergers, vos Musettes, etc.
Les Bergers & Bergeres continuënt de méler les Dances aux Chanſons.	Les Bergers et Bergères continuent de mêler les Dances aux Chansons.
LORIS.	LORIS.
Ah!	Ah!
qu’il eſt doux belle Silvie Ab!	qu'il est doux belle Silvie Ab!
qu’il eſt doux de s’enftamer!	qu'il est doux de s'enftamer!
Il faut retrancher de la vie Ce qu'on en paſſe ſans aymer.	Il faut retrancher de la vie Ce qu'on en passe sans aimer.
Ah!	Ah!
qu’il eſt doux, &c.	qu'il est doux, etc.
LVIE.	LVIE.
Ah!	Ah!
les beaux jours qu'Amour nous donne Dois que ja ſiumt uit les Cœurs!	les beaux jours qu'Amour nous donne Dois que ja siumt uit les Cœurs!
Eſt-il ny gloire ny Couronne Qui vaille ſes moindres douceurs?	Est-il ici gloire ni Couronne Qui vaille ses moindres douceurs?
Ah!	Ah!
les beaux jours, &c.	les beaux jours, etc.
IEle afras Qu'avec peu de raiſon on ſe plaint d’un martyre ue ſuivent de ſi doux plaiſirs!	JE affras Qu'avec peu de raison on se plaint d'un martyre ue suivent de si doux plaisirs!
RCISET ARCAS.	RCISET ARCAS.
Un moment de bonheur dans l’amoureux Empire Repare aix ans dt foupirs.	Un moment de bonheur dans l'amoureux Empire Répare aix ans dt soupirs.
OOS ENSEMDLE.	OOS ENSEMDLE.
Chantons tous de l’Amour le pouvoiradorable, Chantons tous dans ces lieux Ses attraits glorieux;	Chantons tous de l'Amour le pouvoiradorable, Chantons tous dans ces lieux Ses attraits glorieux;
Il eſt le plus aymable Et le plus grand des Dieux.	Il est le plus aimable Et le plus grand des Dieux.
A Perſpective s’ouvre, & laiſſe paroî-La PerſpeEtre dans le fond du Theatre une autre maniere de voûte de Treille, ſous laquelle laiſſe vois un Amphi- une multitude de Suivans de Bacchus ſont placez, les uns ſur des Tonneaux, & les autres ſur une eſpece d’Amphitheatre couvert de pampres de vigne, qui tous joüent de differents Inſtruments, tandis que pluſieurs autres Satires, & Silvains s’avancent au milieu du riicatre pourmtorrempvia Feſte de l’Amour, & pour en celebrer une plus ſolemnelle à la gloire de Bacchus.	À Perspective s'ouvre, et laisse paroî-La PerspeEtre dans le fond du Théâtre une autre manière de voûte de Treille, sous laquelle laisse vois un Amphi- une multitude de Suivants de Bacchus sont placés, les uns sur des Tonneaux, et les autres sur une espèce d'Amphitheatre couvert de pampres de vigne, qui tous jouent de différents Instruments, tandis que plusieurs autres Satires, et Silvains du avancent au milieu du riatre pour L' deachyAmour, et pour en ce une plus solemnelle la gloire de L'A
SCENE DEUXIE’ME.	SCÈNE DEUXIE'ME.
TROUPES DE SATIRES, DE BACCHANTES, ET DE SILVAINS, joüants de differents:	TROUPES DE SATIRES, DE BACCHANTES, ET DE SYLVAINS, jouants de différents:
Inſtruments, chantants, & dançants.	Instruments, chantants, et dançants.
TROUTES DE DERGERS LI DE BERGERES.	TROUTES DE DERGERS LI DE BERGÈRES.
LVANDRE.	LVANDRE.
A Rreſtez, c’eſt trop entreprendre, Un autre Dieu dont nous ſuivons les loix S’oppoſe à cet honneur qu'à l’Amour oſe rendre Vos Muſettes & vos voix;	À Rrestez, c'est trop entreprendre, Un autre Dieu dont nous suivons les lois S'oppose à cet honneur qu'à l'Amour ose rendre Vos Musettes et vos voix;
A des titres ſi beaux Bacchus ſeul peut pretendre, Et nous ſommes rey pom uejonais jes droits.	À des titres si beaux Bacchus seul peut prétendre, Et nous sommes re iom uejonais jes droits.
CHOEUR DE BACCHUS.	CHOEUR DE BACCHUS.
Nous ſuivons de Bacchus le pouvoir adorable Nous ſuivons en tous lieux Ses attraits precieux;	Nous suivons de Bacchus le pouvoir adorable Nous suivons en tous lieux Ses attraits précieux;
Les Suivans de Bacchus qui dancent font un combat contre les Danceurs du party de Piimour ;	Les Suivants de Bacchus qui dancent font un combat contre les Danceurs du parti de Piimour ;
tuiidis que les bergers & les Satiles unputent en chantant en raveur du Dieu que chacun veut honorer.	tuiidis que les bergers et les Satiles unputent en chant en raveur du Dieu que chacun veut honorer.
SIXIE'ME ENTRE’E.	SIXIE'ME ENTRE.
UATRE SATIRES, QUATRE BACCHANTES.	OUATRE SATIRES, QUATRE BACCHANTES.
AMINTE.	AMINTE.
C'Est le Printemps qui rend l’ame A nos champs ſemez de fleurs;	C'Est le Printemps qui rend l'âme A nos champs semés de fleurs;
Et c’eſt l’Amour & ſa flame Qui font revivre nos cœurs.	Et c'est l'Amour et sa flamme Qui font revivre nos cœurs.
ESTAN.	ESTAN.
Le Soleil chaſſe les ombres, Dont le Ciel eſt obſcurcy, Et des ames les plus ſombres Bacchus chaſſe le ſoucy.	Le Soleil chasse les ombres, Dont le Ciel est obscurci, Et des âmes les plus sombres Bacchus chasse le souci.
CHOEUR DE BACCHUS.	CHOEUR DE BACCHUS.
Bacchus est reveré ſur la Terre & ſur l’Onde.	Bacchus est révéré sur la Terre et sur l'Onde.
CHOEUR DE L’AMOUR.	CHOEUR DE L'AMOUR.
Et l’Amour eſt un Dieu qu’õ revere en tous lieux.	Et l'Amour est un Dieu qu'on révère en tous lieux.
F iij Bacchus à ſon pouvoir a ſoûmis tout le Monde.	 iij Bacchus à son pouvoir a soumis tout le Monde.
CHOEUR DE L’AMOUR.	CHOEUR DE L'AMOUR.
Et l'Amour a dompté les Hommes & les Dieux.	Et l'Amour a dompté les Hommes et les Dieux.
CIIGESR DE BACCHUS.	CIGESR DE BACCHUS.
Rien peut-il égaler ſa douceur ſans ſeconde?	Rien peut-il égaler sa douceur sans seconde?
CHOEVR DE L’AMOVR.	CHOEUR DE L'AMOUR.
Ren peur megaui fes charmes precieux?	Ren peur mégaui fes charmes précieux?
CHOEVR DE BACCHVS.	CHOEUR DE BACHUS.
Fy de l’Amour & de ſes feux.	Fi de l'Amour et de ses feux.
LE PARTY DE L’AMOVR.	LE PARTY DE L'AMOUR.
An:	An:
quei piutſii u ajmer!	que piutsiutivi âmer!
LE PARTY DE BACCHVS.	LE PARTY DE BACHUS.
Ah!	Ah!
quel plaiſir de boire!	quel plaisir de boire!
LE PARTY DE L’AMOVR.	LE PARTY DE L'AMOUR.
1n qumouquno umom u vie eſt ſans appas.	1n qumouquno umom u vie est sans appas.
LE PARTY DE BACCHVS.	LE PARTY DE BACHUS.
C’eſt mourir que de vivre & de ne boire pas.	C'est mourir que de vivre et de ne boire pas.
LE PARTY DE L’AMOVR.	LE PARTY DE L'AMOUR.
Aymables fers!	Aimables fers!
LE PARTY DE BACCHVS.	LE PARTY DE BACHUS.
Douce Victoire!	Douce Victoire!
LE PARTY DE L’AMOVR.	LE PARTY DE L'AMOUR.
Ah!	Ah!
quel plaiſir d’aymer!	quel plaisir aimer!
LE PARTY DE BACCHVS.	LE PARTY DE BACHUS.
Ah!	Ah!
quel plaiſir de boire!	quel plaisir de boire!
Non, non, c'eſt un ahus L puue grumd unn pr leuas MII	Non, non, c'est un ahus Ligue grumd unn pr leuas MI
LE PARTY DE L’AMOVR.	LE PARTY DE L'AMOUR.
C’eſt l’Amour.	C'est l'Amour.
EDTARIT DE DACCHVS.	EDTARIT DE DACHUS.
C’eſt Bacchus.	C'est Bacchus.
SCENE DERNIERE.	SCÈNE DERNIÈRE.
E Berger Licaſte vient ſe jetter entre les E deux Partis qui diſputent, & les met d’accord.	E Berger Licaste vient se jeter entre les É deux Partis qui disputent, et les met d'accord.
LTCROTE.	LTCROTE.
C’eſt trop, c’eſt trop, Bergers, hé pourquoy ces débats?	C'est trop, c'est trop, Bergers, hé pourquoi ces débats?
Souffrõs qu’en un Party la Raiſon nous aſſemble:	Souffrons qu'en un Parti la Raison nous assemble:
L’Amour à des douceurs, Bacchus a des appas, Ce ſont deux Deitez, qui ſont fort bien enſemble, Ne les ſeparons pas.	L'Amour à des douceurs, Bacchus a des appas, Ce sont deux Dités, qui sont fort bien ensemble, Ne les séparons pas.
LES DEVX CHOEVRS ENSEMBLE.	LES DEUX CHOEURS ENSEMBLE.
Meſlons donc leurs douceurs aymables, Meſlons nos voix dans ces lieux agreables, Et faiſons repeter aux Echos d’alentour, Qu'il n'eſt rien de plus doux que Bacchus & l'Amour.	Mêlons donc leurs douceurs aimables, Mêlons nos voix dans ces lieux agréables, Et faisons répéter aux Échos d'alentour, Qu'il n'est rien de plus doux que Bacchus et l'Amour.
Tandis que les Voix & les Inſtruments des deux Chœurs s’uniſſent, tous les Danceurs des deux Partis forment enſemble la derniere Entrée, & terminent agreablement les Fêtes de l’Amour & de Bacchus.	Tandis que les Voix et les Instruments des deux Chœurs s'unissent, tous les Danceurs des deux Partis forment ensemble la dernière Entrée, et terminent agréablement les Fêtes de l'Amour et de Bacchus.
DERNIERE ENTRE’E.	DERNIÈRE ENTRE'E.
JATRE BERGERS, QUATRE BERGERES, JATRE SATIRES, ET QUATRE BACCHANTES.	JATRE BERGERS, QUATRE BERGÈRES, JATRE SATIRES, ET QUATRE BACCHANTES.
Fin du troiſiéme & dernier Acte.	Fin du troisième et dernier Acte.
Imprime aux dépens de l'Academie Royale de Muſique, par François Muguet Imprimeur du Roy.	Imprime aux dépens de l'Académie Royale de Musique, par Français Muguet Imprimeur du Roi.
