LES CHASTES ET LOYALES AMOVRS DE IEIEIECDAV.	LES CHASTES ET LOYALES AMOURS DE IEIEIECDAV.
La pieté m’oblige à vous ſuiure par tout, Meſurer l’Vniuers de l’vn à l’autre bout, Ne craindre du chemin les traites continuës, La chaleur du Soleil, ny la glace des nuës, En cas que mon defaut vous retarde d'vn pas, Ie prie de bon cœur, qu’on me liure au trépas, Qu’on me laiſſe expoſée aux feres bo cageres, Mon corps ſoit déchiré de leurs dents carnacieres, Que la fin me conſomme en l'horreur des deſers, Siie vous retardois à le tirer des fers, si plus que mon pouuoir i’entrepren temeraire, muus!	La piété m'oblige à vous suivre par tout, Mesurer l'Univers de l'un à l'autre bout, Ne craindre du chemin les traites continues, La chaleur du Soleil, ni la glace des nues, En cas que mon défaut vous retarde d'un pas, Je prie de bon cœur, qu'on me livre au trépas, Qu'on me laisse exposée aux ferez bo cagères, Mon corps soit déchiré de leurs dents carnacières, Que la fin me consomme en l'horreur des désers, Siie elle retardais à le tirer des fers, si plus que mon pouuoir tentrepren téméraire, muus !
i'ay trop d'Amour, trop de cœur, pour le	j'ai trop d'Amour, trop de cœur, pour le
faire.	faire.
CALASIRE.	CALASIRE.
Reſerue toy ma fille à vn plus grand beſoin, Demeure en ton repos, & nous laiſſe ce ſoin, A mon plus grand regret de tant de maux recruë, De tant d’afflictions, de fortune courue, Le ſejour te conuient, tu te dois repoſer, Ne ſuccombant aux fais pour vouloir t’oppoſer;	Réserve toi ma fille à un plus grand besoin, Demeure en ton repos, et nous laisse ce soin, À mon plus grand regret de tant de maux recrue, De tant d'afflictions, de fortune courue, Lé jour te convient, tu te dois reposer, Ne succombant aux fais pour vouloir t'opposer;
Iaçoit que ta vertu le trauail n’apprehende, Tu nous ſeras abſente vne décharge grande, Acauſe dé la peur qui nous tiendroit touſiours D’éforcer ta ieuneſſe en hátant ſon ſecours.	Iaçoit que ta vertu le travail n'appréhende, Tu nous seras absente une décharge grande, Acause dé la peur qui nous tiendrait toujours D'éforcer ta jeunesse en homme son secours.
CARICLEE.	CARICLE.
Ie demeureray donc (ſupréme tyrannie) D'aller pour ton ſujet, Theagene!	Je demeurerai donc (suprême tyrannie) D'aller pour ton sujet, Théagène!
on me nie, Ie vous pren iuſtes Dieux témoins à l’auenir, Qu'ils me font par contrainte oyſiue retenir, Incoupable ie ſuis de toute perfidie, Puis qu’aucun peril n’a mon amour refroidie, Préte à toute ocurrence, à tout ſouffrir pour toy, Et tant que ie viuray immuable de ſoy.	on me nie, Je vous pren justes Dieux témoins à l'avenir, Qu'ils me font par contrainte oisive retenir, Incoupable sans suis de toute perfidie, Puis qu'aucun péril n'a mon amour refroidie, Prête à toute ocurence, à tout souffrir pour toi, Et tant que je vivrai immuable de soi.
NAVSICLE.	NAUSICLE.
Apeine de charger deſſus moy telle offence, Dire que ie vous ay par expreſſe défence, Contrainte ne bouger, qu’il fait hors de priſon:	Apeine de charger dessus moi telle offense, Dire que je vous ai par expresse défense, Contrainte ne bouger, qu'il fait hors de prison:
Or de s’acheminer il eſt plus que ſaiſon, Quelques miens ſeruiteurs prenons à noſtre ſuitte, Quelques miens ſeruiteurs prenons à noſtre fuit Car d’emmener Gnemon ne ſeroit pas licite, Encor au premier choc de l’Hymen empéché, Et de liens icy par le cœur attaché.	Or de s'acheminer il est plus que saison, Quelques miens serviteurs prenons à notre suitte, Quelques miens serviteurs prenons à notre fuit Car d'emmener Gémon ne serait pas licite, Encor au premier choc de l'Hymen empêché, Et de liens ici par le cœur attaché.
SCENE III.	SCÈNE III.
THIAMIS, TROVPE DE BESSAINS, THEAGENE, TROVPE DE GARDES.	THIAMIS, TROUPE DE BESAINS, THÉGENE, TROUPE DE GARDES.
THIAMIS.	THIAMIS.
Eſperance que i’ay ſur vos valeurs aßiſe, LM’anime, compagnõs, à la guerre entrepriſe.	Espérance que j'ai sur vos valeurs assise, LM'anime, compagnions, à la guerre entreprise.
Outre que ma querelle eſt la méme equité, Que mon droit naturel i’ay par force quitté, Que d’vn frere impieux la trame deloyale, Bandant tous les efforts de ſa hayne brutale, De ſon ambition, de ſa vieille rancœur, Braue de ma dépouille, & la porte moqueur, M’vſurpe la Preſtriſe à Memphis ſouueraine, Cependant que le ſort vagabond me promeine, Cependant que ie cours à l’vne & l’autre erreur, Hé!	Outre que ma querelle est la même équité, Que mon droit naturel j'ai par force quitté, Que d'un frère impieux la trame déloyale, Bandant tous les efforts de sa haine brutale, De son ambition, de sa vieille rancœur, Brave de ma dépouille, et la porte moqueur, M'usurpe la Prêtrise à Memphis souveraine, Cependant que le sort vagabond me promène, Cependant que ie cours à l'une et l'autre erreur, Hé!
vous pourroit.	vous pourrait.
il bien ſouuenir ſans horreur, Comment le parricide auoit auec vous méme Auare trafiqué de mon heure ſupréme, Tá̃chè de vous corrompre, & faire traiſtrement Ce qui luy eſt coüard impoßible autrement, Me dérober la vie, affranchy d’vne crainte Que l’outrage commis luy laiſſe au cœur ẽprainte;	il bien souvenir sans horreur, Comment le parricide avait avec vous -même Auvare trafiqué de mon heure suprême, Tá̃chè de vous corrompre, et faire traîtrement Ce qui lui est cours impossible autrement, Me dérober la vie, affranchi d'une crainte Que l'outrage commis est laisse au cœur endre;
Mon droit donc vous émeuue & ma calamité, Secourez l’innocent en ſon extremité, Echangez, échangez le titre de Corſaires En celuy de guerriers aux méchans aduerſaires, Le nombre different ne nous doit éffreyer.	Mon droit donc vous émue et ma calamité, Secourez l'innocent en son extrémité, Échangez, échangez le titre de Corsaires En celui de guerriers aux méchants adversaires, Le nombre différent ne nous doit éffreyer.
Nous ne ſommes que trop nous voulans employer, Memphis à noſtre abord tremblera d’épouuante, De ſa priſe impouruûë aſſûré ie me vante, Dans ta confuſion d’vn vulgaire craintif, A preuoir le futur ie ne ſuis aprentif;	Nous ne sommes que trop nous voulants employer, Memphis à notre abord tremblera d'épouvante, De sa prise impouruûë assuré seulement me vante, Dans ta confusion d'un vulgaire craintif, À prévoir le futur ie ne suis aprentif;
Mais premier iurez moy de vaillamment combatre, Et iuſqu’au dernier point la victoire debatre.	Mais premier jurez -moi de vaillamment combattre, Et jusqu'au dernier point la victoire débattre.
TROVPE DE BESSAINS.	TROUPE DE BESSAINS.
Nous te prommettons tous de mourir à tes piez Ou vainqueurs, ou vaincus à ton deſtin liez, Quiconque du deuoir te manquera pariure, N’épargne point ſa vie, & vange ton injure?	Nous te promettons tous de mourir à tes pieds Ou vainqueurs, ou vaincus à ton destin liez, Quiconque du devoir te manquera parjure, N'épargne point sa vie, et venge ton injure?
D'vn pouuoir abſolu puny ſa làcheté, La mort d’vn traitre en met beaucoup à ſauueté;	D'autre pouvoir absolu puni sa làcheté, La mort d'un outre en met beaucoup à sauveté;
Bien que depuis le jour qui noſtre troupe aſſemble Pour courir tel hazard qu’il peut venir enſemble, Vn tout ſeul ne ſe ſoit perfide ſeparé, Du ſentier de la foy ne ſe ſoit égaré, Comme ie ne croy pas qu'à preſent il commence, Targué de ta valeur, épris de ta clemence.	Bien que depuis le jour qui notre troupe assemble Pour courir tel hasard qu'il peut venir ensemble, Un tout seul ne se soit perfide séparé, Du sentier de la foi ne se soit égaré, Comme ie ne crois pas qu'à présent il commence, Targué de ta valeur, épris de ta clémence.
THIAMIS.	THIAMIS.
Il ſuffit, il ſuffit en vos frons aſſurez La victoire ſe lit, or ſus donques ſerrez Flanc à flanc, en bon ordre, en bataille rangée Soit la confuſion de vos rangs étrangée, Partis en trois ſcadrõs que d’vn mouuement prõt, A tout euenement combattent de plein front.	Il suffit, il suffit en vos frons assurés La victoire se lit, or sus donc serriez Flanc à flanc, en bon ordre, en bataille rangée Soit la confusion de vos rangs étrangée, Partis en trois scadronts que d'un mouvement prompt, A tout événement combattent de plein front.
Les plus legers armès ſe jettent ſur les aisles, Tiennent leurs rangs plus clairs & leurs files plus gréles, De peur que l’ennemy nous vienne enuelopper, Et de nombre inégaux par derriere attraper;	Les plus légers armés se jettent sur les ailes, Tiennent leurs rangs plus clairs et leurs files plus grègles, De peur que l'ennemi nous vienne envelopper, Et de nombre inégaux par derrière attraper;
Vne bonne ordonnance eſt du tout neceſſaire A qui veut s’acquiter du deuoir militaire;	Une bonne ordonnance est du tout nécessaire À qui veut s'acquititer du devoir militaire;
A qui fait en vn camp profeßion de chef, Preſeruer les ſiens de honte & de méchef, Mais ie m'eſtonne fort que nos coureurs ſejournent Plus que l’heure donnée;	À qui fait en un camp profesiion de chef, Preseruer les siens de honte et de mèches, Mais ie m'étonne fort que nos coureurs séjournent Plus que l'heure donnée;
ah!	ah!
voicy qu’ils retournẽs Amenans priſonnier quelqu’vn des ennemis.	voici qu'ils retournents Amenants prisonnier quelqu'un des ennemis.
TROVPE DE GARDES.	TROUPE DE GARDES.
I.	I.
GARDE.	GARDE.
Selon le mandement que tu nous as commis, A faute de rencontres, & de meilleure proye, Ce preſent qu’Orondate au Roy de Perſe enuoye, Nous t’auons emmené, & l’eſcorte défait, Qui n’a que des talons la reſiſtance fait.	Selon le mandement que tu nous as commis, A faute de rencontres, et de meilleure proie, Ce présent qu'Orondate au Roi de Perse envoie, Nous t'avons emméné, et l'escorte défait, Qui n'a que des talons la résistance fait.
THIAMIS.	THIAMIS.
O l'étrange accident:	Ô l'étrange accident:
incroyable auantures Ce captif, compagnons, m'appartient, ie vous iure, Ie le perdis alors que de vous ie fus pris, Ah!	incroyable aventures Ce captif, compagnons, m'appartient, ie vous jure, Je le perdis alors que de vous sans fus pris, Ah!
ſon cruel objet me trouble les espris, Sçais-tu bien que ta Sœur depuis eſt deuenuë.	son cruel objet me trouble les épris, Sais-tu bien que ta Sœur depuis est devenue.
THEAGENE.	THÉGENE.
A Chemmis d'vn vieillard eſclaue retenuë.	À Chemmis d'un vieillard esclave retenue.
THIAMIS.	THIAMIS.
Helas!	Hélas!
vne priſon eternelle la tient, Etmeurs autant de fois que d’elle il me ſouuient.	une prison éternelle la tient, Émeurs autant de fois que d'elle il me souvient.
Allons enfans, tirons d’vne traite à la ville, Pour ietter plus d’effroy en la tourbe ciuile, La prendre dépouruûs, & là pourſuiure ardans, Entrer ſi l’on pouuoit péle-méle dedans, Toy ne bouge d’icy, cheminant ie deſire Quelque choſe eu ſecret d’importance te dire.	Allons enfants, tirons d'une traite à la ville, Pour jeter plus d'effroi en la tourbe civile, La prendre dépouruûs, et là poursuivre ardans, Entrer si l'on pouvait pêle-même dedans, Toi ne bouge d'ici, cheminant ie des Quelque chose eu secret d'importance te dire.
SOLRCE IV.	SOLRCE IV.
GNEMON, CARICLEE,	GNEMON, CARICLE,
GNEMON.	GNEMON.
TOs pleurs ne forceront la courſe du Soleil, V Ie ne la regle point à celle de voſtre œil, Quelle imprudence außi d'atendre en ſi peu d’heure D'vn voyage ſi long vne réponce ſeure, » Iupiter au brandir de ſon foudre flambant, »Luy donne neantmoins ſon eſpace en tombant, » Il ne peut tout puiſſant appaiſer ſa colere, « Auant que l’obtenir de Saturne ſon pere Ainſi le deſeſpoir vous prend mal à propos Et ſans ſuiet ainſi vous perdez le repos, Voulans reduire aux Loix de vôtre impatience La fortune & le tems par vne défiance, Venons à la raiſon, & ne vous deſolez Qu’apres le terme dit quelques iours écoulez D'vn ſterile retour ne forment l’aparence, Iaçoit qu’en tous les deux y ait de l’eſperanee.	TOut pleurs ne forceront la course du Soleil, V Ie ne la règle point à celle de votre œil, Quelle imprudence aussi d'attendre en si peu d'heure D' voyage si long quelque réponse sûre, " Jupiter au brandir de son foudre flambant, »Luy donne néanmoins son espace en tombant, " Il ne peut tout puissant apaiser sa colère, " Avant que l'obtenir de Saturne son père Ainsi le désespoir vous prend mal à propos Et sans sujet ainsi vous perdez le repos, Voulants réduire aux Lois de votre impatience La fortune et le temps par votre défiance, Venons la raison, et ne vous avez avez ave terme dit avez avez Av stérile retour ne forment aparence, Iaçoit en tous les deux y a de espérance.
Que le ſejour arguë vne oportunité, Non ſi toſt paruenuë à ſa maturité;	Que le séjour argue une oportunité, Non si tôt parvenue à sa maturité;
Comme on voit le Veneur d’vne ſuite oſtinée La bete pourchaſſer qu’il ſe ſçait deſtinée, Comme parauanture aßûré de l’auoir, Nonoſtant diligence, entremiſe, ou deuoir, Il conuiendra d’vn grand obtenir la demande.	Comme on voit le Veneur d'une suite ostinée La bête pourchasser qu'il se sait destinée, Comme paraventure assûré de l'avoir, Nonôtant diligence, entremise, ou devoir, Il conviendra d'un grand obtenir la demande.
Difficile d’abord, c’eſt ce que i’aprehende.	Difficile d'abord, c'est ce que j'appréhende.
CARICLEE.	CARICLE.
I’aprehende bien pis?	J'appréhende bien pis?
GNEMON.	GNEMON.
La miſere, & la peur Se ſuiuent comme font la nue & la vapeur.	La misère, et la peur Se suivent comme font la nue et la vapeur.
CARICLEE.	CARICLE.
La miſere ſe ſuit comme l'onde ſuit l'onde, La premiere roulée en tire vneſeconde.	La misère se suit comme l'onde suit l'onde, La première roulée en tire uneseconde.
GNEMON.	GNEMON.
Souuentefois außi noſtre miſere vient, pour ne point rẽdre aux Dieux ce qui leur apartiẽt, Vne ferme fiance, vn eſpoir que leur grace S’en va noſtre tourmente echanger en bonace.	Souvantefois aussi notre misère vient, pour ne point rendre aux Dieux ce qui leur apartiẽt, Dieux ferme fiance, un espoir que leur grâce S'en va notre tourmente échanger en bonace.
CARICLEE.	CARICLE.
Las!	Las!
il y a long-temps que ie prie eſperant, Et qu’eſpoir ny priere aucun fruit ne me rent.	il y a longtemps que ici prie espérant, Et qu'espoir ni prière aucun fruit ne me rent.
NEMON onetesproſperuez ucmous seutet que briéues, Mais nos aduerſitez & longues & griéues.	NEMON onètesprospervez ucmous seutet que briéues, Mais nos adversité et longues et griéues.
CARICLEE.	CARICLE.
Vous parlez ſeulement de l’orage en vn port, Et ne redoutant plus les ſecouſſes du Nort, Non pas comme n’aguere alors que la fortune Maraſtre également déployoit ſa rancune.	Vous parlez seulement de l'orage en un port, Et ne redoutant plus les secousses du Nort, Non pas comme n'aguère alors que la fortune Marâtre également déployait sa rancune.
GNEMON.	GNEMON.
L’eſperance en mes maux iamais ne m’a quité, Puis quel tan de fiance en ma proſperite Deſſus vn rien fondée, où celle des Roys meſme Vacile inceſſamment iuſqu’à l’heure ſupréme.	L'espérance en mes maux jamais ne m'a quité, Puis quel an de fiance en ma prospérité Dessus un rien fondée, où celle des Rois même Vacile incessamment jusqu'à l'heure suprême.
CARICLEE.	CARICLE.
N'imputez donc ma crainte à vne nouueauté, Quiconque n’ayant eu du Ciel que cruauté Demeure iuſqu’icy de ſa grace incredule, Me défiant d’vn bien dont l’aparence eſt nulle, De recouurer mon frere ayſément retiré D'vn barbare ſeruage, où poßible expiré, Expiré de douleur, de ſoucy, & de peine, Ahi ne m'en parlez-plus, à bon droit incertaine, Mes pleurs ie continuë, elles ne ſecheront Qu’aux raiz de leur Soleil, plutoſt ne tariront.	N'imputez donc ma crainte à une nouveauté, Quiconque n'ayant eu du Ciel que cruauté Demeure jusqu'ici de sa grâce incrédule, Me défiant d'un bien dont l'apparence est nulle, De recouvrer mon frère aisément retiré D'un barbare servage, où pouvible expiré, Expiré de douleur, de souci, et de peine, Ah ne m'en parlez-plus, à bon droit incertaine, Mes pleurs un continue, pleurs ne sécheront Qu'aux raiz de leur Soleil, plutôt ne tariront.
SCENEV.	SCENEU.
NAVSICLE, EVPOLEME, d onEholRus	NAUSICLE, EUPOLEME, d onEholRus
NAVSICLE.	NAUSICLE.
NErtes l’homme de ſoy animal ſociable A N’a rien en ſes trauaux de plus remediable.	NErtes l'homme de soi animal sociable À N'a rien en ses travaux de plus remédiable.
De conſolation plus douce, que voyant Vn amy de ſon ſort le hazar eſſayant, Au chemin auancé ſans aucune fatigue Te reconnois ce bien de fortune prodigue, De diſcours en diſcours l’vn à l’autre enchaînez Vu eſpace infiny nous nous ſommes traînez, Exploité du chemin vne longue étenduë, Plus qu’au trauail le corps, l’ame au deuis tenduë, De pole que pounuie tene me jens laſſe Non plus qu’en méme lieu depuis l’heure placé, N’eſtes vous pas ainſi, en amy ie vous prie?	De consolation plus douce, que voyant Un ami de son sort le hasar essayant, Au chemin avancé sans aucune fatigue Te reconnais ce bien de fortune prodigue, De discours en discours l'un à l'autre enchaînés Vu espace infini nous nous sommes traînés, Exploité du chemin une longue étendue, Plus qu'au trauail qu' corps, l'âme au de tendue, De pôle que pounue tier me jens lasse Non plus qu'en méme lieu depuis l'heure placé, N'êtes -vous pas ainsi, en amy ie vous prie?
Fîtes vous onc voyage à moins de faſcherie?	Fîtes vous onc voyage à moins de fâcherie?
CALASIRE.	CALASIRE.
Mon pas vous le demontre égal, continué, Et de courage acrû plus que diminué, Tant fort que marcherez me voila preſt de ſuiure, Mais i'aperçoy quelcun noſtre roure pourſuiure.	Mon pas vous le démontre égal, continué, Et de courage acru plus que diminué, Tant fort que marcherez me voilà prêt de suivre, Mais j'aperçois quelcun notre roure poursuivre.
NAVSICLE:	NAUSICLE:
A la bruſque démarche, à la taille, & au port;	À la brusque démarche, à la taille, et au port;
Ce doit eſtre Eupoleme, ou ie me trompe fort, Natif de noſtre bourg, en haſte il y retourne, Ie veux parler à luy deuant qu’il ſe détourne;	Ce doit être Eupoleme, ou ainsi me trompe fort, Natif de notre bourg, en hâte il y retourne, Je veux parler à lui devant qu'il se détourne;
Eupotéme demeure, etardt vn peu le pas, De quel lieu ta venuë?	Eupotème demeure, etardât un peu le pas, De quel lieu ta venue?
& quoy n’entens tu pas?	et quoi n'entends tu pas?
EVPOLEME.	EUPOLEME.
Pardonnez à l’amour qui tranſporte mon ame, Ie viens obeiſſant au vouloir de Madame, De ma cruelle Iſis au bord du Nil chercher Certain petit preſent qu'elle repute cher, Erquema anigente encor iuyrecommande :	Pardonnez à l'amour qui transporte mon âme, Je viens obéissant au vouloir de Madame, De ma cruelle Isis au bord du Nil chercher Certain petit présent qu'elle répute cher, Erquema anigente encor juirecommande :
Or ne vous offencez de pareille demande;	Or ne vous offensez de pareille demande;
Quel chemin tenez vous?	Quel chemin tenez vous?
quel deſſein vous conduit?	quel dessein vous conduit?
NAVSICLE.	NAUSICLE.
Tu ne ſeras par moy de ce point éconduit, Nous allons de ce pas pour vn ſecret affaire Vers Mitrane.	Tu ne seras par moi de ce point éconduit, Nous allons de ce pas pour un secret affaire Vers Mitrane.
EVPOLEME.	EUPOLEME.
Il n’eſt pas au ſeiour ordinaire;	Il n'est pas au séjour ordinaire;
D’autant qu’vn ieune Grec qu’il enuovoit au Roy, Les Beſſains ont oſté aux ſiens remply d'éjr oy Quelcun s’étonneroit oyant de prime face Cette troupe corſaire vſurper tant d’audace, Mais ils ont de n’aguere vn Capitaine fait, L ij Homme à ce que l’on tient d’entrepriſe & d’e Qui les diſpenſe à tout, Thiamis on l’appelle Adieù iuſ qu'au recoir.	D'autant qu'un jeune Grec qu'il envovait au Roi, Les Bessains ont ôté aux siens rempli d'éjr ois Quelcun s'étonnerait oyant de prime face Cette troupe corsaire usurper tant d'audace, Mais ils ont de n'aguère un Capitaine fait, L ij Homme à ce que l'on tient d'entreprise et d'e Qui les dispense à tout, Thiamis on l'appelle Adie jus qu'au recoir.
CALASIRE.	CALASIRE.
O eſtrange nouuelle!	Ô étrange nouvelle!
Nouuelle qui me plonge en plus de penſemens, M’agite l'eſtomac de plus d’élancemens, Que de flots orgueilleux ſur la Mer enragée, Ne rechoquent la nef à l’extréme rangée, Helas!	Nouvelle qui me plonge en plus de pensements, M'agite l'estomac de plus d'élancements, Que de flots orgueilleux sur la Mer enragée, Ne rechoquent la nef à l'extrême rangée, Hélas!
helas!	hélas!
comment le Ciel à contre-cours Mes deſſeins achemine, & cache ſon ſecours.	comment le Ciel à contre-cours Mes desseins achemine, et cache son secours.
NAVSICLE.	NAUSICLE.
La contemplation qui vous tire profonde, Pour noſtre auancement ne fait choſe du monde, De moy ſuiuant l’auis qu’on nous vient de donner, Ie trouue qu’au logis il conuient retourner, Mitrane ores abſent, & qui plus ne poſſede, Le but de noſtre erreur de vos maux le remede;	La contemplation qui vous tire profonde, Pour notre avancement ne fait chose du monde, De moi suivant l'avis qu'on nous vient de donner, Je trouve qu'au logis il convient retourner, Mitrane ores absent, et qui plus ne possède, Le but de notre erreur de vos maux le remède;
Pourchaſſant ces Beſſains hommes deſeſpereZ uijpouement tomberont en ſeoten, Qui difficilement luy lácheront leur proye.	Pourchassant ces Bessains hommes désespérez uijouement tomberont en seoten, Qui difficilement homme lácheront leur proie.
CALASIRE.	CALASIRE.
Reprenons de Chemmis, ſi m’en croyez, la voye.	Reprenons de Chemmis, si m'en croyez, la voie.
NAVSICLE.	NAUSICLE.
Ainſi qu’il vous plaira retournons ie le veux, D'vne autre ocaſion empoigner les cheueux.	Ainsi qu'il vous plaira retournons ie un veux, D'une autre ocasion empoigner les cheveux.
ACTE IV.	ACTE IV.
CARICLE’E, NAVSICLE, GNEMON, CALASIRE, MESSAGER, CHOEVR DE MEMPHIENS, THIAMIS, TROVPE DE BESSAINS, HERAVT, ARSACE, CANIDE, CLOMDRE.	CARICLÉP'E, NAUSICLE, GNEMON, CALASIRE, MESSAGER, CHOEUR DE MEMPHIENS, THIAMIS, TROUPE DE BESAINS, HÉRAUT, ARSACE, CANIDÉ, CLOMDE.
SCENE I.	SCÈNE I.
CARICLEE, NAVSICLE, GNEMON, CALASIRE.	CARICLE, NAUSICLE, GNEMON, CALASIRE.
CARICLEE.	CARICLE.
Amée de douleur, & de crainte abatuë, I De moment en moment cette atente me tuë, Mon œil à tous objets, mon aureille à tous bruis, Immobile demeure en l’accés où ie ſuis, En l’accés continu d’vne fievre mortelle, Qui me brûle ſoudain, & qui ſoudain me gelle, Miſerable, tu crains où ny a qu’eſperer, Tu te dois, tu te dois d’vne part aſſûrer, Ne te plus deceuoir, demeurant incertaine S’ils te ramencront ton loyal Theagene:	Amée de douleur, et de crainte abattue, I De moment en moment cette atente me tue, Mon œil à tous objets, mon aureille à tous bruis, Immobile demeure en l'accès où je suis, En l'accès continu d'une fièvre mortelle, Qui me brûle soudain, et qui soudain me gelle, Misérable, tu crains où tu crains où espérer, Tu te dois, tu te dois 'une part assurrer, Ne te plus décevoir, demeurant incertaine S'ils te ramencront ton loyal Théagène:
O aueugle entrepriſe!	Ô aveugle entreprise!
ô folst où courez vous?	ô folst où courez -vous?
Le ſort enflé de rage, & le ſort de courous Se moquent des labeurs d’vn voyage inurile, , Pouréteindre vn grãd feu voꝰ verſez vn peu d’huiLes Parques là deſſus leurs fuſeaux ont tourné, (le;	Le sort enflé de rage, et le sort de courous Se moquent des labeurs d'un voyage inurile, , Pouréteindre grãd feu versez peu huiLes Parques dessus leurs fuseaux ont tourné, ;
Leurs fuſeaux diſpoſans de tout ce qui eſt né, Qu’à iamais vagabonde, & de ſes yeux bannie Ma langueur ne ſera que du tombeau finie, Et que la mort par tout cruelle me fuira, Que le iour odieux eternel meluira;	Leurs fuseaux disposs de tout ce qui est né, Qu'à jamais vagabonde, et de ses yeux bannie Ma langueur ne sera que du tombeau finie, Et que la mort par tout cruelle me fuira, Que le jour odieux éternel meluira;
Eternel pour le moins iuſqu’à tant que ces aſtres Seront entierement épuiſez de deſaſtres, Tel i’oſe ſupoſer l’ordre de mon deſtin, Deuant que de tomber Erebique butin.	Éternel pour le moins jusqu'à tant que ces astres Seront entièrement épuisés de désastres, Tel j'ose suposer l'ordre de mon destin, Devant que de tomber Érébique butin.
Telle preſomption du paſſé ſe réueille, Parauant que la mort exorable me veille;	Telle présomption du passé se réveille, Paravant que la mort exorable me veille;
O pauure Cariclée Pô pauure ymais voicy Ce me ſemble quelcun qui s’achemine icy, Ils ſont deux toutefois, ils ſont deux:	Ô pauvre Cariclée Pô pauvre ymais voici Ce me semble quelcun qui s'achemine ici, Ils sont deux toutefois, ils sont deux:
vn troiſiéme Au nombre défaillant eſt mon malheur ſupréme, Que nous aportez-vous à ce triſte retour?	un troisième Au nombre défaillant est mon malheur suprême, Que nous apportez-vous à ce triste retour?
Mon frere deliuré ne paroiſt point au iour, I'eſtime qu’il faloit de plus vaillans Alcides, Pour Taratnertapiques grijjes Penandes.	Mon frère délivré ne paraît point au jour, J'estime qu'il fallait de plus vaillants Alcides, Pour Taratnertapiques grijà Pénandes.
NAVSICLEE.	NAUSICLE.
Iluy a point de loy d’impoßibilité, Qui fait ſelon ſa force eſt aſſez aquité, Voſtre frere rauy d’vn Thiamis corſaire, Deſſus ſon rauiſſeur, accident ordinaire, Noustontnaint reurouſſer urnere, & conſulter Quelque nouueau moyen qui puiſſe reſulter.	Ilui a point de loi d'impossibilité, Qui fait selon sa force est assez aquité, Votre frère ravi d'un Thamis corsaire, Dessus son ravisseur, accident ordinaire, Noûtontnaint reurousser urnere, et consulter Quelque nouueau moyen qui puisse résulter.
CARICLEE.	CARICLE.
Helas!	Hélas!
voila l'éfet de mon ſiniſtre augure, Ie ne te reuerray que dans la nuit obſeure, Nous ne ſerons, mon frere, enſemble reünis, Qu’aux chams Eliſiens de bon heur infinis, Où le flux inconſtant des fortunes humaines En vn ſtable repos moquent les ombres vaines, De ceux que la vertu en ce monde éclaira, Et qu’vn los immortel des neueux ne taira.	voilà l'éfet de mon sinistre augure, Je ne te réverrai que dans la nuit obsure, Nous ne serons, mon frère, ensemble réunis, Qu'aux chams Élisiens de bon heur infinis, Où le flux inconstant des fortunes humaines En un stable repos moquent les ombres vaines, De ceux que la vertu en ce monde éclaira, Et qu'un los immortel des neueux ne taira.
GNEMON.	GNEMON.
Vous auez vne étrange & mauuaiſe coûtume De prendre ſans égar le miel pour amertume, Remettre tout au pis:	Vous avez quelque étrange et mauvaise coutume De prendre sans égar le miel pour amertume, Remettre tout au pis:
à quelle occaſion Faut il deſeſperer voſtre revnion, Connoiſſant Thiamis de ſorte magnanime, Qu’il n’offence iamais ceux que fortune opprime, L’épreuue vous dément qu’idolatre il aima, Et de violenter oncques ne preſuma, De ſorte que capriue & chaſte conſeruée, La moindre intemperance en luy ne s’eſt treuuée.	à quelle occasion Faut -il désespérer votre réunion, Connaissant Thamis de sorte magnanime, Qu'il n'offense jamais ceux que fortune opprime, L'épreuue vous dément qu'idolatre il aima, Et de violenter oncques ne présuma, De sorte que caprive et chaste conservée, La moindre intempérance en avait ne s'est trouvée.
Ne fut ce qu’au respect de voſtre ſouuenir.	Ne fut ce qu'au respect de votre souvenir.
En lieu de ſureté nous le pourrons tenir.	En lieu de fureté nous le pourrons tenir.
CARICLE’E.	CARICLÉLÉ.
Il paroit bien Gnemon que voſtre âge glacée D'vn veritable amour ignare s’eſt paſſée.	Il parait bien Gémon que votre âge glacée D'un véritable amour ignare s'est passée.
„ L’amour touſiours en crainte, & préte à ſoupçonner », Vous vient deſſus vn rien mille alarmes donner , Il n'a point d’aſſurance, & ce qu’õ touche méme , Eſt à peine croyable en vn amour extréme.	„ L'amour toujours en crainte, et préte à soupçonner ", Vous vient dessus un rien mille alarmes donner , Il n'a point d'assurance, et ce qu'on touche même , Est à peine croyable en un amour extrême.
CALASIRE.	CALASIRE.
Laiſſons ce differend à démeler ailleurs, La prudence requiſe à nos preſens malheurs, A ſauuer Theagene, & en toute aſſurance Penetrer où il eſt, accablé de ſouffrance:	Laissons ce différend à démeler ailleurs, La prudence requise à nos présents malheurs, A sauver Théagène, et en toute assurance Pénétrer où il est, accablé de souffrance:
