dMmMlM dHO.	dMmlM dHO.
Ce que pour un ingrat (car vous l’eſtes Seigneur,) Elle a d’un choix conſtant refuſé le bonheur.	Ce que pour un ingrat (car vous l'estes Seigneur,) Elle a d'un choix constant refusé le bonheur.
Quel mépris genereux dans ſon ardeur extrême, Elle a fait de l’éclat, que donne un Dihdeme;	Quel mépris généreux dans son ardeur extrême, Elle a fait de éclat, Quel donne un Me;
Voyez combien d'efforts pour vous elle a bravez, Et rendez à ſon cœur, ce que vous luy devez.	Voyez combien d'efforts pour vous elle a bravés, Et rendez à son cœur, ce que vous lui devez.
D.	D.
SYLVE.	SYLVE.
Ah!	Ah!
Madame, à mes yeux moffrez point ſon merite;	Madame, à mes yeux mouvrez point son mérite;
Il n’eſt que trop preſent à l’ingrat qui la quitte;	Il n'est que trop présent à l'ingrat qui la quitte;
Et ſi n'on çœur vous dit, ce que pour elle il ſent, *ay j'ay peur qu’il ne ſoit pas envers vous innocent.	Et si n'on çœur vous dit, ce que pour elle il sent, *ai j'ai peur qu'il ne soit pas envers vous innocent.
Oüy, ce cœur l’oſe plaindre, & ne ſuit pas ſans peine L’imperieux effort de l’amour qui l’entraiſne.	Oui, ce cœur l'ose plaindre, et ne suit pas sans peine L'impérieux effort de l'amour qui l'entraîne.
Aucun eſpoir pour vous n’a flatté mes deſirs, Qui ne m’ait arraché pour elle des ſoûpirs;	Aucun espoir pour vous n'a flatté mes désirs, Qui ne m'ait arraché pour elle des soupirs;
Qui n’ait dans ſes douceurs fait jetter à mon ame, Quelques triſtes regards vers ſa premiere flame;	Qui n'ait dans ses douceurs fait jeter à mon âme, Quelques tristes regards vers sa première flamme;
Se reprocher l’effet de vos divins attraits, Et meſler des remords à mes plus chers ſouhaits J’ay fait plus que cela, puiſqu’il vous faut tout dire, Oüy, j’ay voulu ſur moy vous oſter voſtre empire, Sortir de voſtre chaiſne, & rejetter mon cœur, Sous le joug innocent de ſon premier vainqueur.	Se reprocher l'effet de vos divins attraits, Et mêler des remords à mes plus chers souhaits J'ai fait plus que cela, puisqu'il vous faut tout dire, Oui, j'ai voulu sur moi vous ôter votre empire, Sortir de votre chaîne, et rejeter mon cœur, Sous le joug innocent de son premier vainqueur.
Mais aprés mes efforts ma conſtance abbatuë Voit un cours neceſſaire à ce mal qui me tuë;	Mais après mes efforts ma constance abattue Voit un cours nécessaire à ce mal qui me tue;
Et deuſt eſtre mon ſort à jamais malheureux, Je ne puis renoncer à l’eſpoir de mes vœux;	Et dût être mon sort à jamais malheureux, Je ne puis renoncer à l'espoir de mes vœux;
Je ne ſçaurois ſouffrir l’épouvantable idée De vous voir par un autre à mes yeux poſſedée;	Je ne saurais souffrir l'épouvantable idée De vous voir par un autre à mes yeux possédée;
Et le flambeau du jour qui m’offre vos appas, Doit avant cet Hymen éclairer mon trépas.	Et le flambeau du jour qui m'offre vos appas, Doit avant cet Hymen éclairer mon trépas.
Je ſj̧ay que je trahis une Princeſſe aimable, Mais, Madame, aprés tout mon cœur eſt-il coupable?	Je sais que je trahis une Princesse aimable, Mais, Madame, après tout mon cœur est-il coupable?
Et le fort aſcendant, que prend voſtre beauté, Laiſſe-t-il aux eſprits aucune liberté?	Et le fort ascendant, que prend votre beauté, Laisse-t-il aux esprits aucune liberté?
Helas!	Hélas!
je ſuis icy bien plus à plaindre qu’elle, sontœur, en me perdant, ne perd qu’un infidelle.	je suis ici bien plus à plaindre qu'elle, sontœur, en me perdant, ne perd qu'un infidèle.
D’un pareil déplaiſir on ſe peut conſoler;	D'un pareil déplaisir on se peut consoler;
Mais moy par un malheur qui ne peut s’egaler, J’ay celuy de quitter une aimable perſonne, Et tous les maux encor que mon amour me donne.	Mais moi par un malheur qui ne peut s'égaler, J'ai celui de quitter une aimable personne, Et tous les maux encor que mon amour me donne.
D.	D.
E LUIRE, Vous n’avez que les maux que vous voulez avoir, Et toûjours noſtre cœur eſt en noſtre pouvoir;	ELLE LUIRE, Vous n'avez que les maux que vous voulez avoir, Et toujours notre cœur est en notre pouvoir;
Il peut bien quelquefois montrer quelque foibleſſe, Mais enfin, ſur nosſens, la raiſon, la maiſtreſſe.	Il peut bien quelquefois montrer quelque faiblesse, Mais enfin, sur nossents, la raison, la maîtresse.
SCENE III.	SCÈNE III.
D.	D.
GARCIE, D.	GARCIE, D.
ELUIRE, D.	ÉLUIRE, D.
SYLVE.	SYLVE.
M D.	M D.
GARCIE.	GARCIE.
Adame, mon abord, comme je connois bien, Aſſez mal-à propos trouble voſtre entretien;	Adame, mon abord, comme je connais bien, Assez mal-à propos trouble votre entretien;
Et mes pas en ce lieu, s’il faut que je le die, Ne croyoient pas trouver ſi bonne compagnie.	Et mes pas en ce lieu, s'il faut que je le die, Ne croyaient pas trouver si bonne compagnie.
Di du anas Cette veuë, en effet, ſurprend au dernier poinct, Et de meſme que vous, je ne l’attendois point.	Dis du anas Cette vue, en effet, surprend au dernier point; Et de même que vous, je ne l'attendais point.
D.	D.
GARCIE.	GARCIE.
Oüy, Madame, je croy, que de cette viſite, Comme vous l’aſſurez, vous n’eſtiez pointinſtruite;	Oui, Madame, je crois, que de cette visite, Comme vous l'assurez, vous n'étiez pointinstruite;
Mais, Seigneur, vous deviez nous faire au moins l’honneur De Mous domer avis de ce faje bomeur;	Mais, Seigneur, vous deviez nous faire au moins l'honneur De Mous domer avis de ce faje bomeur;
Et nous mettre en eſtat, ſans nous vouloir ſurprendre De vous rendre en ces lieux, ce qu’on voudroit vous rendre.	Et nous mettre en état, sans nous vouloir surprendre De vous rendre en ces lieux, ce qu'on voudrait vous rendre.
D.	D.
SYLVE.	SYLVE.
Les heroïques ſoins vous occupent ſi fort, Que de vous en tirer, Seigneur, j’aurois eu tort;	Les héroïques soins vous occupent si fort, Que de vous en tirer, Seigneur, j'aurais eu tort;
Et des grands Conquerans les ſublimes penſées Sont aux civilitez avec peine abaiſſées.	Et des grands Conquérants les sublimes pensées Sont aux civilités avec peine abaissées.
D.	D.
GARCIE.	GARCIE.
Mais les grands Conquerans, dont on vante les ſoins, Loin d’aimer le ſecret, affectent les témoins, Leur ame dés l'enfance à la gloire élevée, Les ſait dans leurs projets aller teſte levée;	Mais les grands Conquérants, dont on vante les soins, Loin d'aimer le secret, affectent les témoins, Leur âme dès l'enfance à la gloire élevée, Les sait dans leurs projets aller tête levée;
Et s’appuyant toûjours ſur des hauts ſentimens, Ne s’abaiſſe jamais à des déguiſemens.	Et s'appuyant toujours sur des hauts sentiments, Ne s'abaisse jamais à des déguisements.
Ne commettez vous point vos vertus heroïques, En paſſant dans ces lieux par des ſourdes pratiques;	Ne commettez vous point vos vertus héroïques, En passant dans ces lieux par des sourdes pratiques;
Et ne craignez vous point, qu’on puiſſe aux yeux de tous Trouver cette action trop indigne de vous?	Et ne craignez -vous point, qu'on puisse aux yeux de tous Trouver cette action trop indigne de vous?
D.	D.
SYLVE.	SYLVE.
Je ne ſçay ſi quelqu’un blâmera ma conduite, Au ſecret que j’ay fait d’une telle viſite;	Je ne sais si quelqu'un blâmera ma conduite, Au secret que j'ai fait d'une telle visite;
Mais je ſçay qu’aux projets qui veulent la clarté, Prince, je n’ay jamais cherché l'obſcurité.	Mais je sais qu'aux projets qui veulent la clarté, Prince, je n'ai jamais cherché l'obscurité.
Et quand j’auray ſur vous à faire une entrepriſe, Vous n’aurez pas ſujet de blâmer la ſurpriſe;	Et quand j'aurai sur vous à faire une entreprise, Vous n'aurez pas sujet de blâmer la surprise;
Il ne tiendra qu’à vous de vous en garantir, Et l’on prendra le ſoin de vous en avertir.	Il ne tiendra qu'à vous de vous en garantir, Et l'on prendra le soin de vous en avertir.
Cependant demeurons aux termes ordinaires, Remettons nos débats aprés d’autres affaires;	Cependant demeurons aux termes ordinaires, Remettons nos débats après d'autres affaires;
Et d’un ſang un peu chaud reprimant les bouillons, N’oublions pas tous deux, devant qui nous parlons.	Et d'un sang un peu chaud réprimant les bouillons, N'oublions pas tous deux, devant qui nous parlons.
D.	D.
ELUIRE.	ÉLUIRE.
Prince, vous avez tort, & ſa viſite eſt telle, Que vous.	Prince, vous avez tort, et sa visite est telle, Que vous.
D.	D.
GARCIE' Ah!	GARCIE' Ah!
c’en eſt trop que prendre ſa querelle, Madame, & voſtre eſprit devroit feindre un peu mieux, Lors qu’il veut ignorer ſa venuë en ces lieux.	c'en est trop que prendre sa querelle, Madame, et votre esprit devrait feindre un peu mieux, Lors qu'il veut ignorer sa venue en ces lieux.
Cette enaieur il piompie, à vouioniauelendre, Perſuade aſiez mal, qu’elle ait pû vous ſurprendre.	Cette enayeur il piompie, à vouionauelendre, Persuade asiez mal, qu'elle ait pu vous surprendre.
D.	D.
E LUIRE.	E LUIRE.
Quoy que vous ſoupçonniez, il m’importe ſi peu, Que j’aurois du regret d’en faire un deſaveu.	Quoi que vous soupçonniez, il m'importe si peu, Que j'aurais du regret d'en faire un désaveu.
D.	D.
GARCIE.	GARCIE.
Pouſſez donc juſqu’au bout cet orgueil heroïque, Et que ſans heſiter tout voſtre cœur s’esplique;	Poussez donc jusqu'au bout cet orgueil héroïque, Et que sans hésiter tout votre cœur s'esplique;
C’eſt au déguiſement donner trop de credit;	C'est au déguisement donner trop de crédit;
Ne deſavouez rien, puiſque vous l’avez dit.	Ne désavouez rien, puisque vous l'avez dit.
Tranchez, tranchez le mot, forcez toute contrainte, Lites que de ſes feux vous reſſentez l’atteinte;	Tranchez, tranchez le mot, forcez toute contrainte, Lites que de ses feux vous ressentez l'atteinte;
Que Que pour vous la prelence à des charmes ſi doux.	Que Que pour vous la prélence à des charmes si doux.
D.	D.
ELUIRE.	ÉLUIRE.
Et ſi je veux l’aimer m’en empeſcherez vous?	Et si je veux l'aimer m'en empêcherez -vous?
Avez vous ſur mon cœur quelque empire à pretendre, (prendre?	Avez -vous sur mon cœur quelque empire à prétendre, (prendre?
Et pour regler mes vœux ai-je voſtre ordre à Sçachez que trop d’orgüeil a pû vous décevoir, Si voſtre cœur ſur moy s’eſt crû quelque pouvoir;	Et pour régler mes vœux ai-je votre ordre à Sçachez que trop y a vous décevoir, Si vôtre cœur sur moi est crû quelque pouvoir;
Et que mes ſentimens ſont d’une ame trop grande Pour vouloir les cacher, lors qu’on me les demande.	Et que mes sentiments sont d'une âme trop grande Pour vouloir les cacher, lors qu'on me les demande.
Je ne vous diray point ſi le Comte eſt aymé, Mais apprenez de moy qu’il eſt fort eſtimé, Que ſes hautes vertus, pour qui je m’intereſſe, Meritent mieux que vous les vœux d’une Princeſſe, Que je garde aux ardeurs, aux ſoins qu’il me fait voir Tout le reſſentiment qu’une ame puiſſe avoir.	Je ne vous dirai point si le Comte est aimé, Mais apprenez de moi qu'il est fort estimé, Que ses hautes vertus, pour qui je m'intéresse, Méritent mieux que vous les vœux d'une Princesse, Que je garde aux ardeurs, aux soins qu'il me fait voir Tout le ressentiment qu'une âme puisse avoir.
Et que ſi des deſtins la fatale puiſſance, M’oſte la liberté d’eſtre ſa recompenſe;	Et que si des destins la fatale puissance, M'ôte la liberté d'être sa récompense;
Au moins eſt il en moy de promettre à ſes vœux, Qu’on ne me verra point le butin de vos feux.	Au moins est il en moi de promettre à ses vœux, Qu'on ne me verra point le butin de vos feux.
Et ſans vous amuſer d’une attente frivole, C’eſt à quoy je m’engage, & je tiendray parole.	Et sans vous amuser d'une attente frivole, C'est à quoi je m'engage, et je tiendrai parole.
Voilà mon cœur ouvert, puiſque vous le voulez, Et mes vrais ſentimens à vos yeux étalez;	Voilà mon cœur ouvert, puisque vous le voulez, Et mes vrais sentiments à vos yeux étalez;
Eſtes vous ſatisfait, & mon ame attaquée, S’eſt-elle à voſtre avis aſſez bien expliquée?	Êtes vous satisfait, et mon âme attaquée, S'est-elle à votre avis assez bien expliquée?
Voyez pour vous oſter tout lieu de ſoupçonner, S’il reſte quelque jour encor à vous donner;	Voyez pour vous ôter tout lieu de soupçonner, S'il reste quelque jour encor à vous donner;
epenuunt Avoy lois s uctaenene a me plaire, Songez que voſtre bras, Comte, m’eſt neceſſaire;	épenuunt Avoi lois s' uctaenene à me plaire, Songez que votre bras, Comte, m'est nécessaire;
Et d’un capricieux, quels que ſoient les tranſports, Qu’à punir nos Tyrans il doit tous ſes efforts.	Et d'un capricieux, quels que soient les transports, Qu'à punir nos Tyrans il doit tous ses efforts.
Fermez l’oreille, enfin, à toute ſa furie, Et pour vous y porter, c’eſt moy qui vous en prie.	Fermez l'oreille, enfin, à toute sa furie, Et pour vous y porter, c'est moi qui vous en prie.
SCE	SCE
SCENE.	SCÈNE.
IV.	IV.
D.	D.
GARCIE, D.	GARCIE, D.
SILVE.	SILVE.
D.	D.
GARCIE.	GARCIE.
Out vous rit, & voſtre ame en cette occaſion Joüit ſurperbement de ma confuſion;	Out vous rit, et votre âme en cette occasion Jouit surperbement de ma confusion;
Il vous eſt doux de voir un aveu plein de gloire, Sur les feux d’un Rival marquer voſtre victoire;	Il vous est doux de voir un aveu plein de gloire, Sur les feux d'un Rival marquer votre victoire;
Mais c’eſt à voſtre joye un ſurcroiſt ſans égal, D’en avoir pour témoins les yeux de ce Rival;	Mais c'est à votre joie un surcroît sans égal, D'en avoir pour témoins les yeux de ce Rival;
Et mes pretentions hautement étouffées, A vos vœux triomphans ſont d’illuſtres trophées;	Et mes prétentions hautement étouffées, À vos vœux triomphants sont d'illustres trophées;
Goûtez à pleins tranſports ce bonheur éclatant, Mais ſçachez qu’on n’eſt pas encor où l’on pretend.	Goûtez à pleins transports ce bonheur éclatant, Mais sachez qu'on n'est pas encor où l'on prétend.
La fureur qui m’anime a de trop juſtes cauſes, Et l’on verra peut-eſtre arriver bien des choſes;	La fureur qui m'anime a de trop justes causes, Et l'on verra peut-être arriver bien des choses;
Un deſeſpoir va loin quand il eſt eſchappé, Et tout eſt pardonnable à qui ſe voit trompé.	Un désespoir va loin quand il est échappé, Et tout est pardonnable à qui se voit trompé.
i Iilgrate a mnes yeux poul llattel voitle flame, A jamais n’eſtre à moy, vient d’engagerſon ame;	j' Allgrate à ménnes yeux poul attel voitê me, À jamais n'être à moi, vient d'engagerson âme;
Je ſçauray bien trouver dans mon juſte courroux Les moyens d’empeſcher qu’elle ne ſoit à vous.	Je saurai bien trouver dans mon juste courroux Les moyens d'empêcher qu'elle ne soit à vous.
SILVE.	SILVE.
Cet obſtacle n’eſt pas ce qui me met en peine, Nous verrons quelle attente en tout cas ſera vaine, Et chacun de ſes feux pourra par ſa valeur, Ou défendre la gloire, ou vanger le malheur.	Cet obstacle n'est pas ce qui me met en peine, Nous verrons quelle attente en tout cas sera vaine, Et chacun de ses feux pourra par sa valeur, Ou défendre la gloire, ou venger le malheur.
Mais comme entre Rivaux, l’ame la plus poſée, A des termes d’aigreur, trouve une pente aiſée, Et que je ne veux point qu’un pareil entretien Puiſſe trop échauffer voſtre eſprit, & le mien;	Mais comme entre Rivaux, l'âme la plus posée, A des termes d'aigreur, trouve une pente aisée, Et que je ne veux point qu'un pareil entretien Puisse trop échauffer votre esprit, et le mien;
Prince, affranchiſſez-vous d’une geſne ſecretd, Et me donnez moyen de faire ma retraite.	Prince, affranchissez-vous d'une gêne secretd, Et me donnez moyen de faire ma retraite.
	
D.	D.
GARCIE.	GARCIE.
Non, non, ne craignez point qu’on pouſſe voſtre eſprit,	Non, non, ne craignez point qu'on pousse votre esprit,
A vioA violer icy l’ordre qu’on vous preſcrit;	À vioA violer ici l'ordre qu'on vous prescrit;
Quelque juſte fureur qui me preſſe, & vous flatte, Je ſçay, Comte, je ſçay, quand il faut qu’elle éclate.	Quelque juste fureur qui me presse, et vous flatte, Je sais, Comte, je sais, quand il faut qu'elle éclate.
Ces lieux vous ſont ouverts, oüy, ſortez-en, ſortez, Glorieux des douceurs que vous en remportez;	Ces lieux vous sont ouverts, oui, sortez-en, sortez, Glorieux des douceurs que vous en remportez;
Mais encor une lois, appreiez que mia teſte Peut ſeule dans vos mains mettre voſtre conqueſte.	Mais encor une lois, appréiez que mia tête Peut seule dans vos mains mettre votre conquête.
YLVE.	YLVE.
Quand nous en ſerons-là, le ſort en noſtre bras, De tous nos intereſts vuidera les debats.	Quand nous en serons-là, le sort en notre bras, De tous nos intérêts videra les débats.
Fin du troiſieme Acte.	Fin du troisième Acte.
ACTE IV, SCENE I.	ACTE IV, SCÈNE I.
D.	D.
ELUIRE, D.	ÉLUIRE, D.
ALVAR	ALVAR
D.	D.
ELUIRE.	ÉLUIRE.
Etournez, D.	Etournez, D.
Alvar, & perdez l’eſperance, De me perſuader l’oubly de cette offence;	Alvar, et perdez l'espérance, De me persuader l'oubli de cette offense;
Cette playe en mon cœur ne ſçauroit ſe guerir, me res fors qu onen prena ne iont rien que l’aigrir.	Cette plaie en mon cœur ne saurait se guérir, me rés fors qu' en a ne jont rien que l'aigrir.
A quelques faux reſpects croit il que je defere?	À quelques faux respects croit -il que je défère?
Non, non, il a pouſſé trop avant ma colere;	Non, non, il a poussé trop avant ma colère;
Et ſon vain repentir qui porte icy vos pas, Sollicite un pardon que vous n’obtiendrez pas.	Et son vain repentir qui porte ici vos pas, Sollicite un pardon que vous n'obtiendrez pas.
D.	D.
ALVAR.	ALVAR.
Madame, il fait pitié, jamais cœur que je penſe, Par un plus vif remors n’expia ſon offence;	Madame, il fait pitié, jamais cœur que je pense, Par un plus vif remors n'expia son offense;
Et ſi dans ſa douleur vous le conſideriez, Il toucheroit voſtre ame, & vous l’excuſeriez.	Et si dans sa douleur vous le considériez, Il toucherait votre âme, et vous l'excuseriez.
On ſçait bien que le Prince eſt dans un âge à ſuivre Les premiers mouvemens ou ion ame le nore, Et Et qu'en un ſang boüillant, toutes les paſſions Ne laiſſent guere place à des reflexions.	On sais bien que le Prince est dans un âge à suivre Les premiers mouvements ou ion âme le nore, Et Et qu'en un sang bouillant, toutes les passions Ne laissent guère place à des réflexions.
Dom Lope prévenu d’une fauſſe lumiere, De l’erreur de ſon Maiſtre, a fourni la matiere;	Dom Lope prévenu d'une fausse lumière, De l'erreur de son Maître, a fourni la matière;
Un bruit aſſez confus, dont le zele indiſcret, A de l’abord du Comte eventé le ſecret, Vous avoit miſe auſſi de cette intelligence, Que dans ces lieux gardez à donné ſa preſence, Le Prince a creu l’avis, & ſon amour ſeduit, Sur une fauſſe allarme a fait tout ce grand bruit;	Un bruit assez confus, dont le zèle indiscret, À de l'abord du Comte éventé le secret, Vous avait mise aussi de cette intelligence, Que dans ces lieux gardez à donné sa présence, Le Prince a cru l'avis, et son amour séduit, Sur une fausse a a fait tout ce grand bruit;
Mais d’une telle erreur ſon ame eſt revenuë, Voſtre innocence, enfin, luy vient d’eſtre connuë, Et D.	Mais d'une telle erreur son âme est revenue, Votre innocence, enfin, notre con dêtre connue, Et D.
Lope, qu’il chaſſe, eſt un viſible effet, Du vif remords qu’il ſent de l’éclat qu’il a fait.	Lope, qu'il chasse, est un visible effet, Du vif remords qu'il sent de l'éclat qu'il a fait.
D.	D.
ELUIRE.	ÉLUIRE.
Ahi!	Ahi!
c’eſt trop promptement qu’il croit mon innocence, Il n’en a pas encor une entiere aſſurance;	c'est trop promptement qu'il croit mon innocence, Il n'en a pas encor une entière assurance;
Dites-luy, dites luy, qu’il doit bien tout peſer, Et ne ſe haſter point, de peur de s’abuſer.	Dites-lui, dites -moi, qu'il doit bien tout peser, Et ne se hâter point, de peur de s'abuser.
D.	D.
ALVAR.	ALVAR.
Madame, il ſçait trop bien.	Madame, il sait trop bien.
D.	D.
ELUIRE.	ÉLUIRE.
Mais, D.	Mais, D.
Alvar, de grace, N’étendons pas plus loin un diſcours qui me laſſe, Il réveille un chagrin qui vient à contre temps, Lirtroubrer danis monedeurd autres pius importans, Oüy, d’un trop grand mal-heur la ſurpriſe me preſſe, Et le bruit du trépas de l’illuſtre Comteſſe, Doit s’emparer ſi bien de tout mon déplaiſir, Qu’aucun autre ſoucy n’a droit de me ſaiſir.	Alvar, de grâce, N'étendons pas plus loin un discours qui me lasse, Il réveille un chagrin qui vient à contre temps, Lirtroubrer danis monedeurd autres pius importants, Oui, d'un trop grand malheur la surprise me presse, Et le bruit du trépas de l'illustre Comtesse, Doit s'emparer si bien de tout mon déplaisir, Qu'aucun autre souci n'a droit de me saisir.
D.	D.
A LVAR.	À LVAR.
Madame, ce peut eſtre une fauſſe nouvelle, Mais mon retour au Prince, en porte une cruelle.	Madame, ce peut être une fausse nouvelle, Mais mon retour au Prince, en porte une cruelle.
D.	D.
ELUIRE.	ÉLUIRE.
De quelque grand ennuy qu’il puiſſe eſtre agité, Il en aura toûjours moins qu’il n’a merité.	De quelque grand ennui qu'il puisse être agité, Il en aura toujours moins qu'il n'a mérité.
SCENE II.	SCÈNE II.
D.	D.
ELUIRE, ELISE	ÉLUIRE, ÉLISE
LISE.	LISE.
’Attendois qu’il ſortiſt, Madame, pour vous dire, ICe qu’il veut maintenant que voſtre ame reſpire, Puiſque voſtre chagrin dans un moment d’icy, Du ſort de Done Ignés peut ſe voir éclaircy.	Çà Attendois qu'il sortît, Madame, pour vous dire, ICe qu'il veut maintenant que votre âme respire, Puisque votre chagrin dans un moment d'ici, Du sort de Done Ignès peut se voir éclairci.
Un inconnu qui vient pour cette confidence, Vous fait par un des ſiens demander audiance.	Un inconnu qui vient pour cette confidence, Vous fait par un des siens demander audience.
D.	D.
ELUIRE.	ÉLUIRE.
Eliſe, il faut le voir, qu’il vienne promptement.	Élise, il faut le voir, qu'il vienne promptement.
ELISE.	ÉLISE.
Mais il veut n’eſtre veu que de vous ſeulement;	Mais il veut n'être vu que de vous seulement;
Et par cet Envoyé, Madame, il ſollicite, Qu’il puiſſe ſans témoins vous rendre ſa viſite.	Et par cet Envoyé, Madame, il sollicite, Qu'il puisse sans témoins vous rendre sa visite.
D.	D.
ELUIRE.	ÉLUIRE.
Hé, bien nous ſerons ſeuls, & je vais l’ordonner, Tandis que tu prendras le ſoin de l’amener.	Hé, bien nous serons seuls, et je vais l'ordonner, Tandis que tu prendras le soin de l'amener.
Que mon impatience en ce moment eſt forte!	Que mon impatience en ce moment est forte!
O deſtins, eſt-ce joye, ou douleur qu’on m’apporte?	Ô destins, est-ce joie, ou douleur qu'on m'apporte?
SCENE III.	SCÈNE III.
D.	D.
PEDRE, ELISE.	PÉDRE, ÉLISE.
OU.	OÙ.
ELISE.	ÉLISE.
D.	D.
PEDRE.	PÉDRE.
Si vous me cherchez, Madame, me voicy.	Si vous me cherchez, Madame, me voici.
ELISE.	ÉLISE.
En quel lieu voſtre Maiſtre.	En quel lieu votre Maître.
D.	D.
PEPRE.	PÉPRE.
Le feray-je venir?	Le ferai-je venir?
Il eſt proche d’icy, E LI	Il est proche d'ici, E LI
ELISE.	ÉLISE.
Dites-luy qu’il s’avance, Aſſuré qu’on l’attend avec impatience, Et qu’il ne ſe verra d’aucuns yeux eſclairé.	Dites-lui qu'il s'avance, Assuré qu'on l'attend avec impatience, Et qu'il ne se verra d'aucuns yeux éclairé.
Je ne ſçay quel ſecret en doit eſtre auguré, cont de precautions qu’il affecte de prendre.	Je ne sais quel secret en doit être auguré, cont de précautions qu'il affecte de prendre.
Mais le voicy desja.	Mais le voici déjà.
SCENE IV.	SCÈNE IV.
D.	D.
IGNES, ELISE.	IGNÉS, ÉLISE.
ELISE.	ÉLISE.
SEigneur, pour vous attendre On a fait.	SEigneur, pour vous attendre On a fait.
Mais que voi-je, ha!	Mais que voi-je, ha!
Madame, mes yeux.	Madame, mes yeux.
D.	D.
IGNES en habit de Cavalier.	IGNÉS en habit de Cavalier.
Ne me deſcouvrez point, Eliſe, dans ces lieux, Et laiſſez reſpirer ma triſte deſtinée, Sous une feinte mort, que je me ſuis donnée.	Ne me découvrez point, Élise, dans ces lieux, Et laissez respirer ma triste destinée, Sous une feinte mort, que je me suis donnée.
C’eſt elle qui m’arrache à tous mes fiers Tyrans;	C'est elle qui m'arrache à tous mes fiers Tyrans;
Car je puis ſous ce nom comprendre mes parens;	Car je puis sous ce nom comprendre mes parents;
j’ay par elle évité cet Hymen redoutable, Pour qui j’aurois ſouffert une mort vefſtasle;	j'ai par elle évité cet Hymen redoutable, Pour qui j'aurais souffert une mort vefstâle;
Et ſous cet équipage, & le bruit de ma moit, Il faut cacher à tous le ſecret de mon ſort, Pour me voir à l’abry de l’injuſte pourſuite, Qui pourroit dans ces lieux perſecuter ma fuite.	Et sous cet équipage, et le bruit de ma moit, Il faut cacher à tous le secret de mon sort, Pour me voir à l'abri de l'injuste poursuite, Qui pourrait dans ces lieux persécuter ma fuite.
ISE.	IZE.
Ma ſurpriſe en public eut trahi vos deſirs, Mais allez là dedans eſtouner des louplis;	Ma surprise en public eût trahi vos désirs, Mais allez là dedans étouner des louplis;
Et des charmans tranſports d’une pleine allegreſſe, Saiſir à voſtre aſpect l'e cœur de la Princeſſe;	Et des charmants transports d'une pleine allégresse, Saisir à votre aspect l'e cœur de la Princesse;
Vous la trouverez ſeule, elle meſme a pris ſoin Que voſtre abord fuſt libre, & n’euſt aucun temoin;	Vous la trouverez seule, elle -même a pris soin Que votre abord fût libre, et n'eût aucun témoin;
Vois-je pas D.	Vois-je pas D.
Alvar?	Alvar?
SCENE V.	SCÈNE V.
D.	D.
ALVAR, ELISE.	ALVAR, ÉLISE.
D.	D.
ALVAR.	ALVAR.
LE Prince me renvoye, Vous prier que pour luy voſtre credit s’employe, De ſes jours, belle Eliſe, on doit n’eſperer rien, S’il n’obtient par vos ſoins un moment d’entretien.	LE Prince me renvoie, Vous prier que pour lui votre crédit s'emploie, De ses jours, belle Élise, on doit n'espérer rien, S'il n'obtient par vos soins un moment d'entretien.
Son ame a des tranſports.	Son âme a des transports.
Mais le voicy luy-même.	Mais le voici autre-même.
SCENE VI.	SCÈNE VI.
D.	D.
GARCIE, D.	GARCIE, D.
ALVAR, ELISE.	ALVAR, ÉLISE.
D.	D.
GARCIE.	GARCIE.
H!	H!
ſois un peu ſenſible à ma diſgrace extrême, Eliſe, & prend pitié d’un cœur infortuné, Qu’aux plus vives douleurs tu vois abandonné.	sois un peu sensible à ma disgrâce extrême, Élise, et prend pitié d'un cœur infortuné, Qu'aux plus vives douleurs tu vois abandonné.
ELISE.	ÉLISE.
Seigneur, que je verrois le tourment qui vous preſſe;	Seigneur, que je verrais le tourment qui vous presse;
Mais nous avons du Ciel, ou du temperament, Que nous jugeons de tout chacun diverſement.	Mais nous avons du Ciel, ou du tempérament, Que nous jugeons de tout chacun diversement.
Et puis qu’elle vous blâme, & que ſa fantaiſie, Luy fait un monſtre affreux de voſtre jalouſie;	Et puis qu'elle vous blâme, et que sa fantaisie, Lui fait un monstre affreux de votre jalousie;
Je ſerois complaiſant & voudrois m’efforcer De cacher à ſes yeux, ce qui peut les bleſſer.	Je serais complaisant et voudrais m'efforcer De cacher à ses yeux, ce qui peut les blesser.
Un Amant ſuit ſans doute une utile methode, S’il fait qu’à noſtre humeur la ſienne s’accommode.	Un Amant suit sans doute une utile méthode, S'il fait qu'à notre humeur la sienne s'accommode.
Et cent devoirs font moins que ces ajuſtemens, Qui font croire en deux cœurs les meſmes ſentimens.	Et cent devoirs font moins que ces ajustements, Qui font croire en deux cœurs les mêmes sentiments.
L’art de ces deux rapports fortement les aſſemble, Et nous n’aimons rien tant, que ce qui nous reſſemble.	L'art de ces deux rapports fortement les assemble, Et nous n'aimons rien tant, que ce qui nous ressemble.
D.	D.
GAR	GAR
D.	D.
GARCIE.	GARCIE.
Je le ſçay, mais helas!	Je le sais, mais hélas!
les deſtins inhumains, S’oppoſent à l’effet de ces juſtes deſſeins;	les destins inhumains, S'opposent à l'effet de ces justes desseins;
Et malgré tous mes ſoins viennent toûjours me tendre Un piege, dont mon cœur ne ſçauroit ſe défendre;	Et malgré tous mes soins viennent toujours me tendre Un piège, dont mon cœur ne saurait se défendre;
