ECPRIVILEGEDU ROY.	ECPRIVILEGEDU ROI.
Un Latin mêle quantité de ſauts perilleux à leurs Dances, cependant que Pſiché qui a paſſe aux Enfers par le commandement de Vénus, repaſſe dans la Barques de emon, avec la Boëte qu’elle a repeuë de Proſerpine pour cette Déeſſe.	Un Latin mêle quantité de sauts périlleux à leurs Dances, cependant que Psiché qui a passe aux Enfers par le commandement de Venus, repasse dans la Barques de émon, avec la Boète qu'elle a repue de Proserpine pour cette Déesse.
ROTL SCENE PREMIERES	ROTL SCÈNE PREMIERES
PSICHE'.	PSICHÉE.
FFROYABLES replis des ondes inferna rles, Noirs Palais où Megére & ſes Sœur font leur Cour, 1 Eternels ennemis du Jour, Parmi vos Ixions, & parmi vos Tantales, Parmi tant de tourmens qui n’ont point d’intervales, Eſt-il dans vôtre affreux ſéjour Quelques peines qui ſoient égales Aux travaux où Vénus condamne mon amour?	FROYABLES replis des ondes inferna règles, Noirs Palais où Megére et ses Sœur font leur Cour, 1 Éternels ennemis du Jour, Parmi vos Ixions, et parmi vos Tantales, Parmi tant de tourments qui n'ont point d'intervales, Est-il dans votre affreux séjour Quelques peines qui soient égales Aux travaux où Vénus condamne mon amour?
Elle n’en peut être aſſouvie;	Elle n'en peut être assouvie;
Et depuis qu’à ſes loix je me trouve aſſervie, Depuis qu’elle me livre à ſes reſſentimens, Il m’a fallu dans ces cruels momens Plus d’une ame, & plus d’une vie, Pour remplir ſes commandemens.	Et depuis qu'à ses lois je me trouve asservie, Depuis qu'elle me livre à ses ressentiments, Il m'a fallu dans ces cruels momens Plus d'une âme, et plus d'une vie, Pour remplir ses commandements.
Je ſouff rirois tout avec joye, Si parmi les rigueurs que ſa haine déploye,	Je sous rirais tout avec joie, Si parmi les rigueurs que sa haine déploie,
STCHE, Mes yeux pouvoient revoir, ne fût-ce qu’un moment, Ce cher, cet adorable Amant:	STCHE, Mes yeux pouvaient revoir, ne fût-ce qu'un moment, Ce cher, cet adorable Amant:
Je n’oſe le nommer 3 ma bouche criminelle D’avoir trop exigé de lui, S’en eſt renduë indigne, & dans ce dur ennui La ſouffrance la plus mortelle 2 Dont m’accable à toute heute un renaiſſant trépas, Eſt celle de ne le voir pas.	Je n'ose le nommer 3 ma bouche criminelle D'avoir trop exigé de lui, S'en est rendue indigne, et dans ce dur ennui La souffrance la plus mortelle 2 Dont m'accable à toute heute un renaissant trépas, Est celle de ne le voir pas.
Si ſon couroux duroit encore, Jamais aucun malheur n’aprocheroit du mien:	Si son courroux durait encore, Jamais aucun malheur n'approcherait du mien:
Mais s’il avoit pitié d’une ame qui l’adore, Quoi qu’il fallut ſouffrir, je ne ſouffrirois rien.	Mais s'il avait pitié d'une âme qui l'adore, Quoi qu'il fallut souffrir, je ne souffrirais rien.
Oüy, Deſtius, s’il calmoit cette juſte colere, Tous mes malheurs ſeroient finis:	Oui, Détius, s'il calmait cette juste colère, Tous mes malheurs seraient finis:
Pour me rendre inſenſible aux fureurs de la Mere, Il ne faut qu’un regard d’un Fils.	Pour me rendre insensible aux fureurs de la Mère, Il ne faut qu'un regard d'un Fils.
Je n’en veux plus douter, il partage ma peine, Il voit ce que je ſouffre, & ſouffre comme moi, Tout ce que j’en dure le geſne.	Je n'en veux plus douter, il partage ma peine, Il voit ce que je souffre, et souffre comme moi, Tout ce que j'en dure le gêne.
Lui même il s’en impoſe une amoureuſe loiEn dépit de Vénus;	Lui même il s'en impose une amoureuse loisEn dépit de Venus;
en dépit de mon ctime, C’eſt lui qui me ſoûtient, c’eſt lui qui me ranime, Au milieu des périls où l’on me fait courir:	en dépit de mon ctime, C'est lui qui me soutient, c'est lui qui me ranime, Au milieu des périls où l'on me fait courir:
Il garde la tendreſſe où ſon feu le convie:	Il garde la tendresse où son feu le convie:
ni prend ſoin de me rendre une nouvelle vie, Chaque fois qu’il me faut mourir.	ni prend soin de me rendre une nouvelle vie, Chaque fois qu'il me faut mourir.
Mais que me veulent ces deux Ombres Qu'à travers le faux jour de ces Demeures ſombres J’entrevoi s’avancer vers moi?	Mais que me veulent ces deux Ombres Qu'à travers le faux jour de ces Demeures sombres J'entrevoi s'avancer vers moi?
SCENE II.	SCÈNE II.
14 AbICHN, CEBOMENE, AGINOR,	14 AbICHN, CEBOMENE, AGINOR,
SICHE’.	SICHÉE.
10F1 2 Leomene, Agenor, eſt-ce vous que je voy 4 C Qui vous a ravy la lumiere ?	10F1 2 Lomène, Agénor, est-ce vous que je vois 4 Ç Qui vous a ravi la lumière ?
CLEOMENE.	CLÉOMENE.
La plus juſte douleur, qui d’un beau deſeſpoir Nous eut pû fournir la matiere, Cette pompe funebre, où du ſort le plus noir Vous attendiez la rigueur la plus fiere, L’injuſtice la plus entiere.	La plus juste douleur, qui d'un beau désespoir Nous eut pu fournir la matière, Cette pompe funèbre, où du sort le plus noir Vous attendiez la rigueur la plus fière, L'injustice la plus entière.
AGENOR.	AGENOR.
Sur ce même Rocher, où le Ciel en couroux Vous promettoit au lieu d’Epoux Un Serpent dont ſoudain vous ſeriez devorée, Nous tenions la main prepatée A repouſſer ſa rage, ou mourir avec vous.	Sur ce même Rocher, où le Ciel en courroux Vous promettait au lieu d'Époux Un Serpent dont soudain vous seriez dévorée, Nous tenions la main prepatée A repousser sa rage, ou mourir avec vous.
Vous le ſçavez, Princeſſe, & lors qu’à nôtre veue Par le milieu des airs vous êtes diſparuë, Du naut de ce Rocler pour fuivle vos prautez, Ou plûtôt pour gouſter cette amoureuſe joye D’offrir pour vous au Monſtre une premiere proye, D’amour & de douleur l'un & l’autre emportez, Nous nous ſommes précipitez.	Vous le savez, Princesse, et lors qu'à notre vue Par le milieu des airs vous êtes disparue, Du naut de ce Rocler pour fuivle vos prautés, Ou plutôt pour goûter cette amoureuse joie D'offrir pour vous au Monstre une première proie, D'amour et de douleur l'un et l'autre emportez, Nous nous sommes précipitez.
CLEOMENE.	CLÉOMENE.
Heureuſement déçeus au ſens de vôrre Oracle, Nous en avons ict reconnu le miracle, D3 Et ſçeu que le Serpent prêt à vous devorer Etoit le Dieu qui fait qu’on aime, Et qui tout D eu qu’il eſt, vous adorant lui même;	Heureusement déçus au sens de vôrre Oracle, Nous en avons ici reconnu le miracle, D3 Et su que le Serpent prêt à vous dévorer Etoit le Dieu qui fait qu'on aime, Et qui tout eu qu'il est, vous adorant lui -même;
Ne pouvoit endurer Qu’un mortel comme nous oſât vous adorer.	Ne pouvait endurer Qu'un mortel comme nous osât vous adorer.
AGENOR.	AGENOR.
Pour prix de vous avoir ſuivie, Nous joüiſſons ici d’un trépas aſſez doux:	Pour prix de vous avoir suivie, Nous jouissons ici d'un trépas assez doux:
Qu’avions-nous affaire de vie, Si nous ne pouvions être à vous?	Qu'avions-nous affaire de vie, Si nous ne pouvions être à vous?
Nous revoyons ici vos charmes, &u aueun des deux la haut l'auroit reveus jamais.	Nous revoyons ici vos charmes, etu aveun des deux la haut l'aurait revus jamais.
Heureux ſi nous voyons la moindre de vos larmes Honorer des malheurs que vous nous avez faits.	Heureux si nous voyons la moindre de vos larmes Honorer des malheurs que vous nous avez faits.
CHE'.	CHÉE.
Puis-je avoir des larmes de reſte Aprés qu’on a porté les miens au dernier point?	Puis-je avoir des larmes de reste Après qu'on a porté les miens au dernier point?
Uniſſons nos ſoûpirs d'ans un ſort ſi funeſte, Les ſoupirs ne s’épuiſent point.	Unissons nos soupirs d'ans un sort si funeste, Les soupirs ne s'épuisent point.
Miais vous ioup reriez, Prinees, pourune Ingrate, Vous n’avez point voulu ſurvivre à mes malheurs, Et quelque douleur qui m’abate, Ce n’eſt point poar vous que je meurs,	Miais -vous joup reriez, Prinées, pourune Ingrate, Vous n'avez point voulu survivre à mes malheurs, Et quelque douleur qui m'abate, Ce n'est point poar vous que je meurs,
CLEOMENE.	CLÉOMENE.
L’avons nous merité, nous dont tout la flâme N’a fait que vous laſſer du recit ne nos maux?	L'avons nous mérité, nous dont tout la flamme N'a fait que vous lasser du récit ne nos maux?
SICHE'.	SICHÉE.
Vous pouviez meriter.	Vous pouviez mériter.
Princes, toute mon ame, Si vous n’euſſiez été Rivaux, Ces qualitez incomparables Qui de l’un & de l’autre accompagnoient les vœux, Vous reudoient tous deux trop aimables, Pour mépriſer aucun des deux.	Princes, toute mon âme, Si vous n'eussiez été Rivaux, Ces qualités incomparables Qui de l'un et de l'autre accompagnaient les vœux, Vous reudaient tous deux trop aimables, Pour mépriser aucun des deux.
AGENOR.	AGENOR.
Vous avez pû ſans être injuſte), ni cruel̂le, Nous refuſer un cœur reſervé pour un Dieu.	Vous avez pu sans être injuste), ni cruelole, Nous refuser un cœur réservé pour un Dieu.
muis fenroyen renus:	muis fenroyen renus:
Le Deſtin nous rappelle, Et nous force a vous dire Adieu.	Le Destin nous rappelle, Et nous force a vous dire Adieu.
IDIPPE.	JDIPE.
Ne vous donne- t-il point le loint de me dire Quel eſt ici vôtre ſéjour;	Ne vous donne- t-il point le loint de me dire Quel est ici votre séjour;
CLEOM ENE.	CLÉOM ENE.
Dans des Bois toûjours verds, où d’amour on reſpice, Auſſi tôt qu’on eſt mort d’amour.	Dans des Bois toujours verds, où d'amour on respice, Aussi tôt qu'on est mort d'amour.
D'amour on y revit, d’amour on y ſoûpire, Sous les plus douces loix de ſon heureux Empire?	D'amour on y revit, d'amour on y soupire, Sous les plus douces lois de son heureux Empire?
Et l’éternelle nuit n’oſe en chaſſer le jour, Que lui meme il attire Sur nos fantômes qu’il inſpire, Et dont aux Enfers même il ſe fait une Cour.	Et l'éternelle nuit n'ose en chasser le jour, Que lui -même il attire Sur nos fantômes qu'il inspire, Et dont aux Enfers même il se fait une Cour.
AGENOR.	AGENOR.
Vos envieuſes Sœurs aprés nous deſcenduës, Pour vous perdre ſe ſont perduës, Et l’une & l’autre tour à tour, Pour le prix d’un conſeil qui leur couſte la vie, A côté d’Ixion, à côte de Tytye, Souffre tantôt la rouë, & tantôt le Vautour.	Vos envieuses Sœurs après nous descendues, Pour vous perdre se sont perdues, Et l'une et l'autre tour à tour, Pour le prix d'un conseil qui leur coûte la vie, À côté d’ Ixion, à côte de Tytye, Souffre tantôt la roue, et tantôt le Vautour.
L’Amour par les Zéphirs s’eſt fait prompte juſtice De leur envenimée & jalouſe malice :	L'Amour par les Zéphirs s'est fait prompte justice De leur envenimée et jalouse malice :
Ces Miniſtres aiflez de ſon juſte couroux, Sous couleur de les rendre encor auprés de vous, Ont plongé l’une & l’autre au fond d’un précipice, Où le ſpectacle affreux de leurs corps déchirez, N’étale que le moindre, & le premier ſuplice De ces conſeils dont l’artifice Fait les maux dont vous ſoûpirez.	Ces Ministres aiflez de son juste courroux, Sous couleur de les rendre encor auprès de vous, Ont plongé l'une et l'autre au fond d'un précipice, Où le spectacle affreux de leurs corps déchirez, N'étale que le moindre, et le premier suplice De ces conseils dont l'artifice Fait les maux dont vous soupirez.
Que je les plains :	Que je les plains :
PSICHE'.	PSICHÉE.
CLEOMENE.	CLÉOMENE.
Vous êtes ſeule à plaindre.	Vous êtes seule à plaindre.
Mais nous demeurons trop à vous entretenir, Adieu, puiſſions nous vivre en vôtre ſouvenir, Puiſſiez-vous, & bientôt, n’avoir plus rien à craindre, Puiſſe, & bientôt, l’Amour vous enlever aux Cieux, Vous y mettre à côté des Dieux, Arillanenl a jamlals i'cerat de vos deuul jeux muagmenter le jour en ces lieux.	Mais nous demeurons trop à vous entretenir, Adieu, puissions nous vivre en votre souvenir, Puissiez-vous, et bientôt, n'avoir plus rien à craindre, Puisse, et bientôt, l'Amour vous enlever aux Cieux, Vous y mettre à cuisse des Dieux, Arillanenl à jamlals j'cérat de vos deuul ju agmenter le jour en ces lieux.
SCENE III.	SCÈNE III.
PSICHE'.	PSICHÉE.
Auvres Amans !	Auvres Amants !
leur amour dure encore, I Tous morts qu’ils ſont l’un & l’autre m’odere Moi dont la dureté reçeut ſi mal leurs vœux:	leur amour dure encore, I Tous morts qu'ils sont l'un et l'autre m'ode Moi dont la dureté reçut si mal leurs vœux:
Tu n’en fais pas ainſi, toi qui ſeul m’as ravie, Amant, que j’aime encor cent fois plus que ma vie, Et qui briſes de ſi beaux nœuds.	Tu n'en fais pas ainsi, toi qui seul m'as ravie, Amant, que j'aime encor cent fois plus que ma vie, Et qui brises de si beaux nœuds.
Ne me fui plus, & ſouffre que j’eſpere Que tu pourras un jour rabaiſſer l’œil ſur moi;	Ne me fui plus, et souffre que j'espère Que tu pourras un jour rabaisser l'œil sur moi;
Qu’à force de ſouffrir j’aurai dequoi te plaire, Dequoi me rengager ta foy.	Qu'à force de souffrir j'aurai dequoi te plaire, Dequoi me rengager ta foi.
Mais ce que j’ai ſouffert m’a trop défigure.	Mais ce que j'ai souffert m'a trop défigure.
Pour rappeller un tel eſpoir:	Pour rappeler un tel espoir:
L’œil abbatu, triſte, deſeſperée, Languiſſante & décolorée, Dequoi puis-je me prévaloir;	L'œil abattu, triste, désespérée, Languissante et décolorée, Dequoi puis-je me prévaloir;
Si par quelque miracle impoſſible à prévoir, Ma beauté qui t’a plû ne ſe voit reparéex Je porte icy dequoi la reparer, Ce treſor de beauté divine, Qu’en mes mains pour Vénus a remis Proſerpine, Enferme des appas dont je puis m’emparer, Et l’éclat en doit être extréme, Puis que Venus la beauté même Les demande pour ſe parer:	Si par quelque miracle impossible à prévoir, Ma eauté qui t'a plu ne se voit reparéex Je porte ici dequoi la réparer, Ce trésor de beauté divine, Qu'en mes mains pour Venus a remis Proserpine, Enferme des appas dont je puis m'emparer, Et l'éclat en doit être extrême, Puis que Venus la beauté même Les demande pour se parer:
En dérober un peu ſeroit-ce un ſi grand crime ?	En dérober un peu serait-ce un si grand crime ?
Pour plaire aux yeux d’un pieu qui s’eſt faitmõ Amãt Pour regagner ſon cœur, & finir mon tourment, Tout n’eſt il pas trop legitime?	Pour plaire aux yeux d'un pieu qui s'est faitmõ Amant Pour regagner son cœur, et finir mon tourment, Tout n'est il pas trop légitime?
Ouvrons.	Ouvrons.
Quelles vapeurs m’offuſquent le ce rveau, Et que vois-je ſortir de cette Boëte ouverte?	Quelles vapeurs m'offusquent le ce rueau, Et que vois-je sortir de cette Boète ouverte?
Amour, ſi ta pitié ne s’oppoſe à ma perte, Pour ne revivre plus, je deſcens au tombeau.	Amour, si ta pitié ne s'oppose à ma perte, Pour ne revivre plus, je descends au tombeau.
Elle s’évanoüit, & l'Amour deſcend aupres d’elle en volant.	Elle s'évanoüit, et l'Amour descend auprès d'elle en volant.
SCENE TV L’AMOUR, PSICHE' évanoüie.	SCÈNE TU L'AMOUR, PSYCHE évanouie.
L'AMOUR.	L'AMOUR.
7 Otre peril, Pſiché, diſſipe ma colere, V Ou plûtôt de mes feux l’ardeur n’a point ceſſé, Et bien qu’au dernier point vous m’ayez ſçeudéplaire Je ne me ſuis intereſſé Que contre celle de ma Mere.	7 Otre péril, Psiché, dissipe ma colère, V Ou plutôt de mes feux l'ardeur n'a point cessé, Et bien qu'au dernier point vous m'ayez sçeudéplaire Je ne me suis intéressé Que contre celle de ma Mère.
J’ai veu tous vos travaux;	J'ai vu tous vos travaux;
j’ai ſuivy vos malheurs, Mos ſoûpirs ont par tout accompagné vos pleurs;	j'ai suivi vos malheurs, Mos soupirs ont par tout accompagné vos pleurs;
Tournez les yeux vers moi, je ſuis encor le même?	Tournez les yeux vers moi, je suis encor le même?
L 3	 3
Quoi!	Quoi!
je dis & redis tout haut que je vous aime, Et vous ne dites point, Pſiché, que vous m’aimez!	je dis et redis tout haut que je vous aime, Et vous ne dites point, Psiché, que vous m'aimez!
Eſt ce que pour jamais vos beaux yeux ſont fermez?	Est -ce que pour jamais vos beaux yeux sont fermés?
Qu’à jamais la clarté leur vient d’êtte ravie?	Qu'à jamais la clarté leur vient d'être ravie?
O mort, devois-tu prendre un dard ſi criminel, Et ſans aucun reſpect pour mon Eſtre éternel Attenter à ma propre vie?	Ô mort, devais-tu prendre un dard si criminel, Et sans aucun respect pour mon Être éternel Attenter à ma propre vie?
Combien de fois, ingrate Deïté, Ai-je groſſy ton noir Empire, Par les mépris & par la cruauté D’une orgueilleuſe ou farouche Beauté?	Combien de fois, ingrate Deïté, Ai-je grossi ton noir Empire, Par les mépris et par la cruauté D'une orgueilleuse ou farouche Beauté?
Combien même, s’il le faut dire, T'ai-je immolé de fidelle Amans A force de raviſſemens?	Combien même, s'il le faut dire, T'ai-je immolé de fidèle Amants À force de ravissements?
Va, je ne bleſſerai plus d’ames, Je ne percerai plus de cœurs, Qu’avec des dards trempez aux divines liqueurs Qui nourriſſent du Ciel les immortelles flâmes, Et n’en lancerai plus que pour faire à tes yeux Autant d’Amans, autant de Dieux.	Va, je ne blesserai plus d'ames, Je ne percerai plus de cœurs, Qu'avec des dards trempez aux divines liqueurs Qui nourrissent du Ciel les immortelles flammes, Et n'en lancerai plus que pour faire à tes yeux Autant d'Amands, autant de Dieux.
Et vous, impitoyable Mere, Qui la forcez à m’arracher Tout ce que j’avois de plus cher, Craignez à vôtre tour l’effet de ma colere.	Et vous, impitoyable Mère, Qui la forcez à m'arracher Tout ce que j'avais de plus cher, Craignez à votre tour l'effet de ma colère.
Vous me voulez faire la loi, Vous qu’on voir ſi ſouvent la recevoir de moi!	Vous me voulez faire la loi, Vous qu'on voir si souvent la recevoir de moi!
Vous qui portez un cœur ſenſible comme un autre, Vous enviez au mien les delices du vôtre!	Vous qui portez un cœur sensible comme un autre, Vous enviez au mien les délices du vôtre!
Mais dans ce même cœur j’enfoncerai des coups, Qui ne ſeront ſujvis que de chagrins jaloux;	Mais dans ce même cœur j'enfoncerai des coups, Qui ne seront sujvis que de chagrins jaloux;
Je vous accablerai de honteuſes ſurpriſes, Et choiſirai par tout à vos vœux les plus doux Des Adonis & des Anchiſes, 10 Qui n’auront que haine pour yous	Je vous accablerai de honteuses surprises, Et choisirai par tout à vos vœux les plus doux Des Adonis et des Anchises, 10 Qui n'auront que haine pour yous
SCENE V.	SCÈNE V.
S, L'AMOUR.	S, L'AMOUR.
3 1e Il L conhoüie.	3 1e Il conhouie.
ENUS.	ENUS.
LA menace eſt reſpectueuſe, Et d’un Enfant qui fait le revolté La colere préſomptueuſe.	LA menace est respectueuse, Et d'un Enfant qui fait le révolté La colère présomptueuse.
L A dod les.	L À dod les.
Je ne ſuis plus Enfant, & je l’ai trop été, Et ma colere eſt juſte autant qu’impetueuſe.	Je ne suis plus Enfant, et je l'ai trop été, Et ma colère est juste autant qu'impétueuse.
ENUS.	ENUS.
L’impetuoſité s’en devroit retenir, Et vous pourriez vous ſouvenir Que vous me devez la naiſſance.	L'impétuosité s'en devrait retenir, Et vous pourriez vous souvenir Que vous me devez la naissance.
L’AMOUR.	L'AMOUR.
Et vous pourriez n’oublier pas Que vous avez un cœur & des appas Qui relevent de ma puiſſance:	Et vous pourriez n'oublier pas Que vous avez un cœur et des appas Qui relèvent de ma puissance:
Que mon Arc de la vôtre eſt l’unique ſoûtien, Que ſans mes traits elle n’eſt rien, Et que ſi les cœurs les plus braves, En triomphe par vous ſe ſont laiſſez traîner, Vous n’avez jamais fait d’Eſclaves Que ceux qu’il m’a plû d’enchaîper.	Que mon Arc de la vôtre est l'unique soutien, Que sans mes traits elle n'est rien, Et que si les cœurs les plus braves, En triomphe par vous se sont laissez traîner, Vous n'avez jamais fait d'Esclaves Que ceux qu'il m'a plu d'enchaîper.
Ne me vantez donc plus ces droits de la naiſſance Qui tyranniſent mes deſirs;	Ne me vantez donc plus ces droits de la naissance Qui tyrannisent mes désirs;
Et ſi vous ne voulez perdre mille ſoûpirs, songez en me voyant à la reconnoiſſance, Vous qui tenez de ma puiſſance.	Et si vous ne voulez perdre mille soupirs, songez en me voyant à la reconnaissance, Vous qui tenez de ma puissance.
Et vonſe gloire, & vos plainrs	Et vonse gloire, et vos plainrs
J S Comment l’avez-vous défenduë;	 Comment l'avez-vous défendue;
Cette gloire dont vous parlez?	Cette gloire dont vous parlez?
Comment me l’avez vous renduë?	Comment me l'avez -vous rendue?
Et quand vous avez eû-mes Autels deſolez, Mes Temples violez, Mes honneurs ravalez, Si vous avez pris part à tant d’ignominie, Comment en a-t-on veu punie Pſiché qui me les a volez?	Et quand vous avez eu-mêmes Autels désolés, Mes Temples violez, Mes honneurs ravalez, Si vous avez pris part à tant d'ignominie, Comment en a-t-on vu punie Psiché qui me les a volés?
Je vous ai commandé de la rendre charmée Du plus vil de tous les Mortels, Qui ne daignât repondre à ſon ame enſſâmée Que par des rebuts éternels, Par les mépris les plus cruels, Et vous-même l’avez aimée!	Je vous ai commandé de la rendre charmée Du plus vil de tous les Mortels, Qui ne daignât répondre à son âme enssâmée Que par des rebuts éternels, Par les mépris les plus cruels, Et vous-même l'avez aimée!
Vous avez contre moi ſéduit des Immortels, C’eſt pour vous qu’à mes yeux les Zephirs l’ont caQu’appollon même ſubornée Par un Oracle adroitement tourné Me l’avoit ſi bien arrachée, Que ſi ſa curioſité Par une aveugle défiance Ne l’eut renduë à ma vangeance, Elle échapoit à mon cœur irrité.	Vous avez contre moi séduit des Immortels, C'est pour vous qu'à mes yeux les Zéphirs l'ont caQu'appollon même subornée Par un Oracle adroitement tourné Me l'avait si bien arrachée, Que si sa curiosité Par une aveugle défiance Ne l'eut rendue à ma vengeance, Elle échappait à mon cœur irrité.
chée, Voyez l’état ou vôtre amour l’a miſe, Vôtre Pſiché ſon ame va partir.	chée, Voyez l'état où votre amour l'a mise, Votre Psiché son âme va partir.
Voyez, & ſi la vôtre en eſt encor épriſe, Recevez ſon dernier ſoûpir.	Voyez, et si la vôtre en est encor éprise, Recevez son dernier soupir.
Menacez bravez.	Menacez bravés.
moi, cependant qu’elle expire:	moi, cependant qu'elle expire:
Tant d’inſolence vous ſied bien, Et je dois endurer, quoi qu’il vous plaiſe dire, Moy qui fans vas traits ne purs fiell	Tant d'insolence vous sied bien, Et je dois endurer, quoi qu'il vous plaise dire, Moi qui fans as traits ne purs fiell
L’AMOUR.	L'AMOUR.
Vous ne pouvez que trop, Déeſſe impitoyable, Le Deſtin l’abandonne à tout vôtre couroux :	Vous ne pouvez que trop, Déesse impitoyable, Le Destin l'abandonne à tout votre courroux :
Mais ſoyez moins inéxorable Aux prieres, aux pleurs d’un Fils à vos genoux, Cerdoit vous être un ſpectacle aſſez doux De voir d’un œ il Pſiché mourante, Et de l’autre ce Fils d’une voix ſupliante Ne vouloir plus tenir ſon bonheur que de vous.	Mais soyez moins inéxorable Aux prières, aux pleurs d'un Fils à vos genoux, Cerdait vous être un spectacle assez doux De voir d'un œ il Psiché mourante, Et de l'autre ce Fils d'une voix suppliante Ne vouloir plus tenir son bonheur que de vous.
Rendez-moi ma Pſiché, rendez-lui tous ſes charmes reeiiuen la;	Rendez-moi ma Psiché, rendez-lui tous ses charmes reeiiuen la;
Deent à mes larmes, Rendez à mon amour, rendez à ma douleur Le charme de mes yeux, & le choix de mon cœur.	Deent à mes larmes, Rendez à mon amour, rendez à ma douleur Le charme de mes yeux, et le choix de mon cœur.
ENUS.	ENUS.
Quelque amour que Pſiché vous donné, De ſes malheurs par moi n’attendez pas la fin:	Quelque amour que Psiché vous donné, De ses malheurs par moi n'attendez pas la fin:
Si le Deſtin me l’abandonne, Je l’abandonne à ſon Deſtin.	Si le Destin me l'abandonne, Je l'abandonne à son Destin.
Ne m’importunez plus, & dans cette infortune Eallica la fans venus trompher ou perir.	Ne m'importunez plus, et dans cette infortune Eallica la fans venus trompher ou périr.
L'AMOUR.	L'AMOUR.
Helas!	Hélas!
ſi je vous importune, Je ne le ferois pas, ſi je pouvois mourir.	si je vous importune, Je ne le ferais pas, si je pouvais mourir.
ENUS.	ENUS.
Coute dourtui n'eſt pas commune, Qui force un Immortel a ſouhaiter la mort.	Coute dourtui n'est pas commune, Qui force un Immortel a souhaiter la mort.
L’AMOUR.	L'AMOUR.
Voyez par ſon excez ſi mon amour eſt fort.	Voyez par son excès si mon amour est fort.
Ne luy ferez-vous grace aucune?	Ne notre ferez-vous grâce aucune?
ENUS.	ENUS.
91 Je vous l'avouë, il me touche le cœur, Vôtre amour, il deſarme, il fléchit ma rigueur;	91 Je vous l'avoue, il me touche le cœur, Votre amour, il désarme, il fléchit ma rigueur;
vôtre Pſiché reverra la lumiere.	votre Psiché reverra la lumière.
L’AMOUR.	L'AMOUR.
Que je vous vai par tout faire donſſer d’encens	Que je vous vais par tout faire donsser d'encens
2 N D S.	2 N D D.
Oüi, vous la reverrez dans ſa beauté premiere:	Oui, vous la reverrez dans sa beauté première:
Mais de vos vœux reconnoiſſans Je veux la déf rence entiere Je veux qu'un vrar ferpece, ame u monamtié Vous choiſit une autre Moitié.	Mais de vos vœux reconnaissants Je veux la déf renée entière Je veux qu'un vrar ferpèce, âme monamtié Vous choisit une autre Moitié.
L'AMOUR.	L'AMOUR.
Et moi, je ne veux plus de grace, Je reprens toute mon audace, Je veux Pſiché, je veux ſa foi:	Et moi, je ne veux plus de grâce, Je reprends toute mon audace, Je veux Psiché, je veux sa foi:
Je veux qu’elle revive & revive pour moi, Et rien indifferent que vôtre haine laſſe, En faveur d’une autre ſe paſſe.	Je veux qu'elle revive et revive pour moi, Et rien indifférent que votre haine lasse, En faveur d'une autre se passe.
Jupiter qui paroit va juger entre nous De lues empor emens ee de votle couroum Aprés quelques éclairs & roulemens de Tonnerre, Jupiter paroit en l’air ſur ſon Aigle.	Jupiter qui parait va juger entre nous De lues empor ements ce de votle couroum Ès quelques éclairs et roulements de Tonnerre, Jupiter parait en l'air sur son Aigle.
SCENDDERRIERE.	SCENDDERIERE.
ITER, VENUS, L'AMOUR, PSICHE'.	ITER, VENUS, L'AMOUR, PSICHÉE'.
L’AMOUR.	L'AMOUR.
V Ous à qui ſeul eſt poſſible, Pere des Dieux, Souverain des Mortels, Fléchichez la rigueur d’une Mere inſſéxibles Qui ſans moi n’auroit point d’Autels.	V Ous à qui seul est possible, Père des Dieux, Souverain des Mortels, Fléchichez la rigueur d'une Mère insséxibles Qui sans moi n'aurait point d'Autels.
J’ai pleuré, j’ai prié, je ſoûpire, menace, Et perds menaces & ſoûpirs;	J'ai pleuré, j'ai prié, je soupire, menace, Et perds menaces et soupirs;
Elle ne veut pas voir que de mes déplaifirs Dépend du monde entier l’heureuſe, ou triſte face, Et que ſi Pſiché perd le jour, Si Pſiché n’eſt à moi, je ne ſuis plus l’Amour.	Elle ne veut pas voir que de mes déplaisirs Dépend du monde entier l'heureuse, ou triste face, Et que si Psiché perd le jour, Si Psiché n'est à moi, je ne suis plus l'Amour.
Oüy, je rompray mon Arc, je briſera y mes fléches, J’éteindrai juſqu’à mon flambeau, Je laiſſerai languir la Nature au tombeau;	Oui, je romprai mon Arc, je brisera y mes flèches, J'éteindrai jusqu'à mon flambeau, Je laisserai languir la Nature au tombeau;
ches, Ou ſi je daigne aux cœurs faire encor quelques bréAvec ces pointes d’or qui me font obeïr Je vous bleſſerai tous la haut pour des Mortelles, Et ne décocheray ſur elles Que des traits émouſſez qui forcent à haĩr.	chez, Ou si je daigne aux cœurs faire encor quelques bréAvec ces pointes d'or qui me font obéir Je vous blesserai tous la haut pour des Mortelles, Et ne décocherai sur elles Que des traits émoussez qui forcent à haĩr.
Et qui ne font que des rebelles, Des ingrates, & des cruelles.	Et qui ne font que des rebelles, Des ingrates, et des cruelles.
Par quelle tyrrannique loi 'I iendrai-je à vous fervil mes ariſes toujoulalpreſtes, Et vous feray-je à tous conquêtes ſur conquêtes, Si vous me defendez d’en faire une pour moi ?	Par quelle tyrrannique loi 'I iendrai-je à vous fervil mes arises toujoulalprêtes, Et vous ferai-je à tous conquêtes sur conquêtes, Si vous me défendez d'en faire une pour moi ?
UPITER.	OÙPITER.
Ma Fille, ſois lui moins ſevere.	Ma Fille, sois lui moins sévère.
