AVERTISSEMENT.	AVERTISSEMENT.
Allez je vous perdonne & ſi je ſuis aſſés foible pour vous rendre maitre de mon cœur, ne divulguez point point ce ſecret, & ne vous vantez poiut de vôtre victoire.	Allez je vous perdonne et si je suis assez faible pour vous rendre maître de mon cœur, ne divulguez point point ce secret, et ne vous vantez poiut de votre victoire.
SCENE VIII.	SCÈNE VIII.
JUNIE, LE CHEVALIER.	JUNIE, LE CHEVALIER.
CHRISTINE, LE COMTE, PYRAME, LISIDOR.	CHRISTINE, LE COMTE, PYRAME, LISIDOR.
INverité ma Niece j’ay une ſenſible obligation à ces Mesſieurs, leur generoſité m’a tirée d’un grand embaras, j’étois un peu ſortie pour prendre l’air & pour faire diverſion à mon inquietude, acompagnée de mon petit laquais ſeulement & m’étant avancée ſans y penſer dans uu lieu un peu écarté, deux bandis ſont venus m’aborder, & m’ont menacée de violence, ſi je ne leur donnois ma bourſe, ou faute d’argent les bijoux que j’ay ſur moy, par un bonheur extréme, ces Mesſieurs ont paru, & ayant d’abord pris galamment mon party, ils ont donné la chaſſe a ces coquins, & m’ont fait la grace de m’eſcorter jusqu’à mon logis;	INvérité ma Nièce j'ai une sensible obligation à ces Messieurs, leur générosité m'a tirée d'un grand embarras, j'étais un peu sortie pour prendre l'air et pour faire diversion à mon inquiétude, acompagnée de mon petit laquais seulement et m'étant avancée sans y penser dans u lieu un peu écarté, deux bandis sont venus m'aborder, et m'ont menacée de violence, si je ne leur donnais ma bourse, ou faute d'argent les bijoux que j'ai sur moi, par un bonheur extrême, ces Messieurs ont paraître, et ayant d'abord pris en mon part, ils ont donné la chasse a ces urs, et ont fait la ont de escorter jusqu’ mon logis;
aſſeurement je ne ſuis que oncore bien revenue de ma frayeur.	assurément je ne suis que oncore bien revenue de ma frayeur.
LE COMTE.	LE COMTE.
C’eſt avec bien du plaiſir Madame que nous vous avons rendu ce petit ſervice, & nous ſerions au deſeſpoir qu’en noſtre preſence, on eut eu raudace d’inſulter une perſonne de voſtre rang & de voſtre merite.	C'est avec bien du plaisir Madame que nous vous avons rendu ce petit service, et nous serions au désespoir qu'en notre présence, on eut eut raudace d'insulter une personne de vôtre rang et de votre mérite.
JUNIE.	JUNIE.
Je prend tant d’intereſt Moſſieurs en tout ce qui regarde ma tante, que le ſervice que vous luy avés ſi genereuſement rendu, m’oblige tout autant qu’elle.	Je prend tant d'intérêt Mossieurs en tout ce qui regarde ma tante, que le service que vous lui avez si généreusement rendu, m'oblige tout autant qu'elle.
LE COMTE.	LE COMTE.
Je ne faurois m’empeſcher dedire Mademoiſelle que je ne ſuis point faché que ce petit malheur ſoit arrivé à Mademoiſelle voſtre tante, puis qu’il me procure quoy que d’une maniere aſſez biſare, la connoiſſance d’une perſonne auſſi charmante que vous, il me ſouvient que ’ay ſouvent paſſé devant vôtre mat ſen, ſon, mais je ne ſavois point qu'elle renfermas un tel bijou, & ſi nous en avions été informez mes amis & moy nous aurions employé le verd & le ſec pour l’aprocher, quoy qu’il en euit du couter a hôtre liberté.	Je ne saurais m'empêcher dédire Mademoiselle que je ne suis point faché que ce petit malheur soit arrivé à Mademoiselle votre tante, puis qu'il me procure quoi que d'une manière assez bisare, la connaissance d'une personne aussi charmante que vous, il me souvient que 'ai souvent passé devant votre mat sen, son, mais je ne savais point qu'elle renfermas un tel bijou, et si nous en avions été informez mes amis et moi nous aurions employé le verdas et le sec pour l’ aprocher, quoi qu'il en eût du coûter à hé liberté.
LISIDOR.	LISIDOR.
Mais peut-être ſommes nous ici des troubles, fête nous, interrompons la converſation de Mouneur & de Mademoiſelle je m’aſſeure qu’ils ne nous attendoient pas.	Mais peut-être sommes nous ici des troubles, fête nous, interrompons la conversation de Mouneur et de Mademoiselle je m'assure qu'ils ne nous attendaient pas.
LE CHEVALIER je vous avoue bien Meſſieurs que non, cependant cette ſurpriſe ne peut que nous être agreable.	LE CHEVALIER je vous avoue bien Messieurs que non, cependant cette surprise ne peut que nous être agréable.
LE COMTE.	LE COMTE.
Ah!	Ah!
ſi vous diſiez ce que vôtre cœur penſe vous nous feriez un aute compliment.	si vous disiez ce que votre cœur pense vous nous feriez un aute compliment.
CHRISTINE.	CHRISTINE.
A ça Meſſieurs nous parlerons de eela une autrefois alons faire un tour de jardin, j’ay envie de vous faire voir ma maiſon.	À ça Messieurs nous parlerons de cela une autrefois alons faire un tour de jardin, j'ai envie de vous faire voir ma maison.
ACTE IV.	ACTE IV.
SCENE I.	SCÈNE I.
LE COMTE, LISIDOR, PY KAME.	LE COMTE, LISIDOR, PY ÂME.
LE COMTE.	LE COMTE.
T bien Meſſieurs vous ne ſaviez L'pas que Namur renfermoit dans ſon ſein une telle merveille.	T bien Messieurs vous ne saviez L'pas que Namur renfermait dans son sein une telle merveille.
PYRAME.	PYRAME.
Aſſeurement c’eſt une grande beauté, & un eſprit auſſi fin & auſſi delicat que j’en connoiſſe.	Assurement c'est une grande beauté, et un esprit aussi fin et aussi délicat que j'en connaisse.
LE COMTE.	LE COMTE.
Vous avez vu que je ſuis aſſez bien avec ſa tante & qu’elle nous a priez de la retourner voir, je vous avouë que je ſuis charmé de ſa Niece & que je forme de grands deſſeins ſur ſon cœur & cette conquêtte me paroît d’autant plus glorieuſe, que e la crois maîtreſſe de ce Cavalier François qui s’eſt promené avec nous, je meurs d’envie de le ſup planter, & je m’en vas ſonger ſerteuſeeuſement, à attaquer la belle dans les formes.	Vous avez vu que je suis assez bien avec sa tante et qu'elle nous a priez de la retourner voir, je vous avoue que je suis charmé de sa Nièce et que je forme de grands desseins sur son cœur et cette conquêtte me paraît d'autant plus glorieuse, que eût ma crois maîtresse de ce Cavalier Français qui s'est promené avec nous, je meurs d'envie de le svp planter, et je m'en vas songer serteuseeusement, à attaquer la belle dans les formes.
LISIDOR.	LISIDOR.
A vous dire le vray je ne crois pas la choſe impoſſible, & joint a ce que le ſexe eſt changeant vous valez pour le mois autant que lay.	À vous dire le vrai -je ne crois pas la chose impossible, et joint a ce que le sexe est changeant vous valez pour le mois autant que lai.
LE COMTE.	LE COMTE.
Retournons y je vous en conjure, je ne ſaurois plus vivre ſans elle.	Retournons y je vous en conjure, je ne saurais plus vivre sans elle.
Ils ſortent.	Ils sortent.
SCENE II.	SCÈNE II.
LECHEVALIER, L’EPINE.	LECHÉVALIÈR, L'ÉPINE.
LE CHEVALIER (L me ſemble que ce Comte Anglois eſt bien échaufé, il ne donnoit point de repos a ma Maîtreſſe dans le jardin, & m’interrompoit à tous momens, juſques-là que j’ay penſé le bruſquer, mais j’ay eu aſſez de prudence pour me retenir.	LE CHEVALIER (L me semble que ce Comte Anglais est bien échauffé, il ne donnait point de repos à ma Maîtresse dans le jardin, et m'interrompait à tous moments, jusque-là que j'ai pensé le brusquer, mais j'ai eu assez de prudence pour me retenir.
L’EPINE.	L'ÉPINE.
Si je ne me trompe il eſt vôtre rival.	Si je ne me trompe il est votre rival.
LE CHEVALIER.	LE CHEVALIER.
Oh!	Oh!
je ne le redoute pas, je viens davoir un tête a tête avec ma Maîtreſſe qui me met fort a repos de ce côté-là, & de plus, je luy ay enſeigné certains ſecrets qui ne ſont connus que des amans rafinez & qui la mettront à l’épreuve des attaques les plus rigoureuſes des amans.	je ne le redoute pas, je viens davoir un tête a tête avec ma Maîtresse qui me met fort a repos de ce côté-là, et de plus, je lui ai enseigné certains secrets qui ne sont connus que des amants rafinés et qui la mettront à l'épreuve des attaques les plus rigoureuses des amants.
L’EPINE.	L'ÉPINE.
Ainſi vous la croyez impraticable à tout autre qu’a vour.	Ainsi vous la croyez impraticable à tout autre qu'a vour.
LE CHEVALIER.	LE CHEVALIER.
Sans doute, & peux tu douter de cette verité, je puis aſſeurer que quoy que l’amour que j’ay donné a cette belle ne ſoit qu’un impromptu de ma bonne mine, il demeurera conſtamment dans ſon cœur, & même je me perſuade qu’il y a déja pris de ſi profondes racines que tous les Comtes de l’univers enſemble ne pourroient l’en arracher.	Sans doute, et peux tu douter de cette vérité, je puis assurer que quoi que l'amour que j'ai donné à cette belle ne soit qu'un impromptu de ma bonne mine, il demeurera constamment dans son cœur, et même je me persuade qu'il y a déjà pris de si profondes racines que tous les Comtes de l'univers ensemble ne pourraient l'en arracher.
L'EPINE.	L'ÉPINE.
Je ſouhaite de tout mon cœur que vous ne vous trompiez point dans vôtre opinion, mais croyez vons vous qu’il n’y ait que les François capables de faire des impromtus, cet Anglois m’a bien la mine d’être un homme a en faire ausſi, mais qui eſt ce qui va tant & vient là bas, il ſemble que cet lomme eſt égaré de ſon chemin, aprochons.	Je souhaite de tout mon cœur que vous ne vous trompiez point dans votre opinion, mais croyez vons vous qu'il n'y ait que les Français capables de faire des impromtus, cet Anglais m'a bien la mine d'être un homme a en faire aussi, mais qui est ce qui va tant et vient là bas, il semble que cet lomme est égaré de son chemin, aprèsochons.
LE COMTE cherchant la maiſon de funie, parle à l’Epine ſans le connoître.	LE COMTE cherchant la maison de funie, parle à l'Épine sans le connaître.
Holà!	Holà!
mon ami dy moy un peu, ol demeure lel Mademonenle Chriſtine, j’ay une mechante memoire, je ne puis retenir les chemins.	mon ami dis moi un peu, ol eure lel Madémonenle Christine, j'ai une méchante mémoire, je ne puis retenir les chemins.
L’EPINE.	L'ÉPINE.
Je ne ſcai Monſieur.	Je ne sais Monsieur.
Je ne la connois pas.	Je ne la connais pas.
LE CHEVALIER Fort bien répondu.	LE CHEVALIER Fort bien répondu.
Le Comte reconnoiſſant le Che	Le Comte reconnaissant le Che
valier.	valier.
A !	À !
Monſieur le Chevalier qui croyoit vous rencontrer dans ce lieu.	Monsieur le Chevalier qui croyait vous rencontrer dans ce lieu.
LE CHEVALIER.	LE CHEVALIER.
Monſieur le Comte je ne vous attendois pas non plus, vous cherchez quelqu’un dans ce quartier a ce qu’il me ſemble.	Monsieur le Comte je ne vous attendais pas non plus, vous cherchez quelqu'un dans ce quartier a ce qu'il me semble.
LE	LE
LE COMTE.	LE COMTE.
Je vous avouë franchement que j’allois voir Mademoiſelle Chriſtine, & à propos je croy que voila lu munons je lie pemroro paven être ſi proches.	Je vous avoue franchement que j'allais voir Mademoiselle Christine, et à propos je crois que voilà lu munons je lie pémoro paven être si proches.
LE CHEVALIER La Niéce a mon avis a plus de pert a cette viſite que la veille tante.	LE CHEVALIER La Nièce a mon avis a plus de pert à cette visite que la veille tante.
LE COMTE.	LE COMTE.
Vous pouvez le penſer car entre nous la tante eſt un mets bien raſſaſiant, quand on l’a vuë une-fois c’eſt aſſez pour toute ſa vie, cependant il faut luy faire la cour malgré qu’on en ait pour avoir accez aupres de la Niéce, & je crois que toute antique qu’elle eſt, elle aime encor la fleurette.	Vous pouvez le penser car entre nous la tante est un mets bien rassasiant, quand on l'a vue une-fois c'est assez pour toute sa vie, cependant il faut lui faire la cour malgré qu'on en ait pour avoir accès auprès de la Nièce, et je crois que toute antique qu'elle est, elle aime encor la fleurette.
LE CHEVALIER Monſieur je ſerois faché de vous tenir ici plus long-tems pouſſez vôtre pointe, adieu.	LE CHEVALIER Monsieur je serais faché de vous tenir ici plus longtemps poussez votre pointe, adieu.
SCENE III.	SCÈNE III.
jONTE, CDHUDINE.	jONTE, CDHUDINE.
CLAUDINE Et bien Mademoiſelle, vous vous étes entretenuë aſſez long tems avec ce Seigneur Anglois le cœur vous en dit-il.	CLAUDINE Et bien Mademoiselle, vous vous êtes entretenue assez long temps avec ce Seigneur Anglais le cœur vous en dit-il.
JVNIE.	JUNIE.
Ie penſe que tu es folle, & què tu t’imagines que je ſuis amoureuſe de tous les hommes que je vois, ne ſais tu pas mon foible pour le Chevalier, & que je l’aime a la folie.	Je pense que tu es folle, et qu' elle t'imagines que je suis amoureuse de tous les hommes que je vois, ne sais tu pas mon faible pour le Chevalier, et que je l'aime a la folie.
CLAUDINE.	CLAUDINE.
Ie le ſais bien, mais je demande ſeulement ſi vous ne le trouvez, pas bien fait, & d’un tout fort galant.	Je le sais bien, mais je demande seulement si vous ne le trouvez, pas bien fait, et d'un tout fort galant.
JUNIE.	JUNIE.
Aſſeurement.	Assurement.
CLAUDINE.	CLAUDINE.
Et que ſi vous, n’aimiez déja le François vous ſeriez aſſez d’humeur de vous donner a l’Anglois n’eſt ce pas.	Et que si vous, n'aimiez déjà le Français vous seriez assez d'humeur de vous donner à l'Anglais n'est ce pas.
JUNIE.	JUNIE.
Je te prie fai moy le plaiſir de te taire & ne me parler plusiur cette matiere, car.	Je te prie fay moi le plaisir de te taire et ne me parler plusivr cette matière, car.
SCENE IV.	SCÈNE IV.
CHRISTINE.	CHRISTINE.
Llez vous en la-bas, entretenir la compagnie que j’y ay laiſſée, & me laiſſez ici ſans repliquer.	Llez -vous en labas, entretenir la compagnie que j'y ai laissée, et me laissez ici sans répliquer.
eller ſortent.	elleler sortent.
Le Comte eſt la bas avec ſes amis, je ſcai que je luy ferai plaiſir de luy envoyer ma Niéce cet Anglois merite bien ſon attachement & j’eſpere par ce moyen-là detourner du Chevalier que je diſtine pour moy, il s’imaginera que ma Niéce aime le Comte, & quand il ne m’aimeroit que pour ſe venger d’elle, je ſerai contente, j’ay envoyé dire au Chevalier de ſa part qu’il vienne ici tout a l’heure, il ne manquera pas de monter tout droits à cette chambre où il ne trouvera pas ce qu’il cherche, mais j’entens monter.	Le Comte est la bas avec ses amis, je sais que je sens ferai plaisir de même envoyer ma Nièce cet Anglais mérite bien son attachement et j'espère par ce moyen-là détourner du Chevalier que je distine pour moi, il s'imaginera que ma Nièce aime le Comte, et quand il ne m'aimerait que pour se venger d'elle, je serai contente, j'ai envoyé dire au Chevalier de sa part qu'il vienne ici tout à l'heure, il ne manquera pas de monter tout droits à cette chambre où il ne trouvera pas ce qu'il cherche, mais j'ents montera
SCENE CHRISTINE.	SCÈNE CHRISTINE.
V.	V.
LE CHEVALIERontram.	LE CHÉVALIÈRontram.
IE ne croyois point eſtre aſſez-tôt Jici Madem.	JE ne croyais point être assez-tôt Jici Madem.
pour.	pour.
mais qu’eſt ceci.	mais qu'est ceci.
CHRISTINE.	CHRISTINE.
Ne vous troublez pas Chevalier, une femme ſeule dans une chambre eſt-elle capable de vous épouvanter, r’aſſeurez vous, vous n’étes pas chez vos ennemis, je vois bien que vous étes ſurpris de ne trouver pas ici ma Niéce & de me ren contrer en face d’une maniere ſi peu attenduë de vous, je veux bien vous aprendre qu’elle ne vous aime point, & qu’a l’heure qu’ileſt, elle eſt en converſation tendre avec le Comte, vous paliſſez ainſi ſuivez mon conſeil abandoner cette volage, &.	Ne vous troublez pas Chevalier, une femme seule dans une chambre est-elle capable de vous épouvanter, rassurez vous, vous n'êtes pas chez vos ennemis, je vois bien que vous êtes surpris de ne trouver pas ici ma Nièce et de me ren contrer en face d'une manière si peu attendue de vous, je veux bien vous apprendre qu'elle ne vous aime point, et qu'a l'heure qu'ilest, elle est en conversation tendre avec le Comte, vous palissez ainsi suivez mon conseil abandoner cette volage, et.
portez vôtre amour chez une per ſonne plus raſſiſe, ce ſeroit bleſſer ma pudeur de vous dire de le porter chez moy vous ſavez qu’il n’eſt pas pas de la modeſtie d’une femme, de tenir de pareils diſcours, mais vous avez de l’Eſprit, vous vous imaginez aſſez ce que cela veut dire.	portez votre amour chez une per sonne plus rassise, ce serait blesser ma pudeur de vous dire de le porter chez moi vous savez qu'il n'est pas pas de la modestie d'une femme, de tenir de pareils discours, mais vous avez de l'Esprit, vous vous imaginez assez ce que cela veut dire.
LE CHEVALIER ſans ſonger qu’il eſt avec Chriſtine.	LE CHEVALIER sans songer qu'il est avec Christine.
Belle Iunie je ne vous ferai point le tort, de croire que vous m’étes infidelle, ce ſont des langues pernicieuſes & diaboliques qui veulent me perſuader que vous ne m’aimez plus, non il n’eſt pas poſſible qu’un objet ſi charmant ait un ſi grand defſaut que celuy de l’infidelité, arriere de moy cette penſée funeſte, & tous ceux qui veulent m’y confirmer.	Belle Junie je ne vous ferai point le tort, de croire que vous m'êtes infidèle, ce sont des langues pernicieuses et diaboliques qui veulent me persuader que vous ne m'aimez plus, non il n'est pas possible qu'un objet si charmant ait un si grand défsaut que celui de l'infidélité, arrière de moi cette pensée funeste, et tous ceux qui veulent m'y confirmer.
CHRISTINE.	CHRISTINE.
Etes vous hors du ſens Chevalier, favez vous que je ſuis auprés de vous, & que je vous fais une faveur que cent autres que vous chercheroient au peril de leur vie, quoi contez vous pour rien, quune femme auſtere comme moy vous donne un pareil rendez-vous, combien croyez vous que j’age combatu ma momodeſtie & ma vertu pour en venir là.	Êtes -vous hors du sens Chevalier, savez -vous que je suis auprès de vous, et que je vous fais une faveur que cent autres que vous chercheraient au péril de leur vie, quoi contez -vous pour rien, quune femme austère comme moi vous donne un pareil rendez-vous, combattu ma moment que j' combatu ma et et ma vertu pour en venir là.
LE CHEVALIER.	LE CHEVALIER.
Ah!	Ah!
Divine Iunie puiſſent perir tous ceux qui me parlent à vôtre deſavantage, la foudre & le tonnerre ne ſuffiſent pas pour leur punition, il faut inventer des ſupliexecrables, je ne veux point d’autres preuves de la ſincerité de vôtre amour que le billet charmant que vous m’avez écrit.	Divine Junie puissent périr tous ceux qui me parlent à votre désavantage, la foudre et le tonnerre ne suffisent pas pour leur punition, il faut inventer des supliexécrables, je ne veux point d'autres preuves de la sincérité de votre amour que le billet charmant que vous m'avez écrit.
CHRISTINE Ah!	CHRISTINE Ah!
c’eſt trop ſouffrir, je ne puis plus entendre ces diſcours paſſionnez puis que je n’en ſuis pas la matiere, & que.	c'est trop souffrir, je ne puis plus entendre ces discours passionnez puis que je n'en suis pas la matière, et que.
LE CHEVALIER.	LE CHEVALIER.
Pourtant tachons de hous éclaircir, & voyons ſi nous pourrons découvrir quelque choſe de convaincant.	Pourtant tachons de hous éclaircir, et voyons si nous pourrons découvrir quelque chose de convaincant.
il ſort.	il sort.
CHRISTINE.	CHRISTINE.
Ah!	Ah!
ingrat, tu ne daignes pas ſeulement me parler, tu ne ſais point jusqu’ou peut aller ma vengeance, & ma rage eſt ſi grande que que je te hais autant que je t’aimay.	ingrat, tu ne daignes pas seulement me parler, tu ne sais point jusqu'ou peut aller ma vengeance, et ma rage est si grande que que je te hais autant que je t'aimai.
due Jariſiprés luy.	due Jarisiprès belle.
SCENEVI.	SCENEVI.
CRIS-IN, L’EPINE.	CRIS-IN, L'ÉPINE.
L’EPINE Ui es tu mon amy?	L'ÉPINE Ui es tu mon ami?
CRISPIN.	CRISPIN.
je fuis:	je fuis:
je luis ie valet de mon Maître & toy comment t’apelles-tu.	je luis ie valet de mon Maître et toi comment t'apelles-tu.
L’EPINE.	L'ÉPINE.
Comme mon Pere, mais tu as de l’eſprit, je vieux bien t’aprendneyque je Me iues nonmié autrefois comme mon Pere, mais preſentement j’ay une Seigneurie, je m’apelle Mr.	Comme mon Père, mais tu as de l'esprit, je vieux bien t'apprendneyque je Me yves nonmié autrefois comme mon Père, mais présentement j'ai une Seigneurie, je m'apelle Mr.
de l’Epine.	de l'Épine.
CRISPIN, Mon amy tu m’a la phiſionnomie d’être quelque valet, touche-la, je croy que nous ne nous en devons point de reſte.	CRISPIN, Mon ami tu m'a la phisionnomie d'être quelque valet, touche-la, je crois que nous ne nous en devons point de reste.
L’EPINE.	L'ÉPINE.
Taupe, mais par parentheſe, tu as l’air bien aveilli, tu as la mine d’être d’être le valet de quelque amoureux, tu m’as bien l’encolure d’un porte poulets.	Taupe, mais par parenthèse, tu as l'air bien aveilli, tu as la mine d'être d'être le valet de quelque amoureux, tu m'as bien l'encolure d'un porte poulets.
CRISPIN.	CRISPIN.
Scais tu tirer l’horoſcope.	Sais tu tirer l'horoscope.
L’EPINE.	L'ÉPINE.
Et qui t’a apris ces gros mots, mais rallerie apart, n’es-tu point du fertieo de quelqu’Anglois.	Et qui t'a appris ces gros mots, mais rallerie appart, n'es-tu point du sertie de quelqu'Anglais.
Pourquoy.	Pourquoi.
CRISPIN.	CRISPIN.
L’EPINE.	L'ÉPINE.
Pour rien, di ſeulement.	Pour rien, di seulement.
CRISPIN.	CRISPIN.
Oui mon Maître, s’apelle le Comte de eehelton, tu voudrois bien que je te diſſe qu’il a une belle Maîtreſſe, qu’il a faite toute fraichement.	Oui mon Maître, s'appelle le Comte de eehelton, tu voudrais bien que je te disse qu'il a une belle Maîtresse, qu'il a faite toute fraîchement.
L’EPINE.	L'ÉPINE.
Et tu voudrois bien que je te diſſe que c’eſt la même a qui mon Maîdie en contre, mais tu n’as qu’a dire à ton Comte que ce n’eſt pas pour luy que le four chaufe, & que mon Maître eſt Maître de ſa Maîtreſſe, entens tu.	Et tu voudrais bien que je te disse que c'est la même à qui mon Maîdie en contre, mais tu n'as qu'à dire à ton Comte que ce n'est pas pour avoir que le four chauffe, et que mon Maître est Maître de sa Maîtresse, entends tu.
CRISPIN.	CRISPIN.
Soit, je t’aſſeure que tout cela m’inm’inquiete fort peu, mais j’entens la voix de mon Maître.	Soit, je t'assure que tout cela m'inm'inquiète fort peu, mais j'entends la voix de mon Maître.
SCENE VII.	SCÈNE VII.
LE COMTE, JUNIE, CLAU.	LE COMTE, JUNIE, CLAU.
DINE, CRISPIN, L’EPINE.	DYNE, CRISPIN, L'ÉPINE.
LE COMTE à Junie qu’il tient par la main.	LE COMTE à Junie qu'il tient par la main.
JE puis vous avouër Mademoiſelle que j’ay preſque mis toute ma rethorique a bout auprés de vous, & que je n’ay jamais vû une Dame plus inébranlable que vous étes, j’ay déja eu une longue converſation avec vous, ou j’ay mis en uſage tout ce qu’un amour violent peut inſpirer, & j’ay rrouvé juſqu’ici une reſiſtance extraordinaire a ma flame.	JE puis vous avouer Mademoiselle que j'ai presque mis toute ma retorique a bout auprès de vous, et que je n'ai jamais vu une Dame plus inébranlable que vous êtes, j'ai déjà eu une longue conversation avec vous, ou j'ai mis en usage tout ce qu'un amour violent peut inspirer, et j'ai rouvé jusqu'ici une résistance extraordinaire à ma flamme.
CLAVDINE.	CLAUDINE.
Si vous n’avez pas encore beaucoup avancé vos affaires, ce n’eſt pas du moins la faute de vos deux amis, ils ont aſſez pris vôtre parti contre le pauvre Chevalier, ils ont aſſez aſſez allegué à ma Maîtreſſe l’inconſtance, la legreté, & la vanité Françoiſe, enfin ſi elle ſe rend a vos pourſuite ils auront bonne part a la gloire de ſa défaite, il faut pourtant vous avouër que vous la ſavez bien attaquer, & je ne puis m’empeſcher d’admirer ſa force & ſon courage.	Si vous n'avez pas encore beaucoup avancé vos affaires, ce n'est pas du moins la faute de vos deux amis, ils ont assez pris votre parti contre le pauvre Chevalier, ils ont assez a allegué à ma Maîtresse l'inconstance, la légreté, et la vanité Française, enfin si elle se rend à vos poursuite ils auront bonne part à la gloire de sa défaite, il faut pourtant vous avouer que vous la savez bien attaquer, et je ne puis m'empêcher d'admirer sa force et son courage.
L’EFINE bas.	L'EFINE bas.
Tout ce galimathias ici, quoyque je ne rentenue guere, ne ille prélage rien de bon pour mon pouvre Maître.	Tout ce galimathias ici, quoique je ne rentenue guère, ne ille prélage rien de bon pour mon pouvre Maître.
CLAUDINE coutinuë.	CLAUDINE coutinue.
Cependant, je croy que les plus grands coups ſont donnez, un vigoureux aſſaut encore, la mettra tout aiac a la rallon.	Cependant, je crois que les plus grands coups sont donnés, un vigoureux assaut encore, la mettra tout aiac à la rallon.
JUNIE.	JUNIE.
Je ne ſcais en quelle école tu as appris toutes ces belles choſes.	Je ne sais en quelle école tu as appris toutes ces belles choses.
au Comte.	au Comte.
Pour vous Monſieur je vous prie de de grace de me laiſſer reſpiref, & de ſuſpendre un peu vos empreſſemens.	Pour vous Monsieur je vous prie de de grâce de me laisser respiref, et de suspendre un peu vos empressements.
CLAUDINE C’eſt une bonne marque Monſr.	CLAUDINE C'est une bonne marque Monsieur.
de de ce qu’elle vous dit cela, elle vous donne finement a connoiſtre, qu’aprés qu’elle & vous ſerez un peu repoſez, vous ne la fâcherez pas ſi vous recommencez, remarquez en paſſant la ruſe & la ſubtilité des femmes, je remarque même déja qu’elle vous regarde tendrement, s’en eſt fait, croyez moy elle eſt a vous c’eſt a ces Meſſieurs ici a faire des impromptus, & non pas a ces Chevaliers à la Françoiie, cela s’apelle laire l’amour fine.	de de ce qu'elle vous dit cela, elle vous donne finement a connaître, qu'après qu'elle et vous serez un peu reposez, vous ne la fâcherez pas si vous recommencez, remarquez en passant la ruse et la subtilité des femmes, je remarque même déjà qu'elle vous regarde tendrement, s'en est fait, croyez moi elle est à vous c'est à ces Messieurs ici à faire des impromptus, et non pas a ces Chevaliers à la Françoiie, cela s'appelle laire l'amour fine.
ment, & atta quer une belle dans les formes.	ment, et atta quer une belle dans les formes.
LE COMTE.	LE COMTE.
Et bien Mademoiſelle fleurcette Françoiſe eſt elle encore de vôtre goût, ne puis je me flater de vous faire pencher de mon côté vous voyez dans mes yeux, ſur mon viſage, dans ma contenance, & dans mes geſtes, les plus vives marques d’amour d’un amant paſſionne puiſſe donner a ſa Maiſtreſſe & a moins que d’être l’inſenſibilité même il ne ſe peut que vôtre cœur n’ait déja reçu quelqu’ateinte, c’eſt ce cœur Mademoiſelle que je m’eforce de toucher, cher, c’eſt ce cœur que je mets au deſſus de tous les Empires du monde, & a la poſſeſſion duquel, j’aſpire avec tant d’ardeur, parlez Mademoiſelle, & ne deſeſperez pas un allant tenure & ndeles comme moy.	Et bien Mademoiselle fleurcette Française est -elle encore de votre goût, ne puis je me flatter de vous faire pencher de mon côté vous voyez dans mes yeux, sur mon visage, dans ma contenance, et dans mes gestes, les plus vives marques d'amour d'un amant passionne puisse donner à sa Maîtresse et à moins que d'être l'insensibilité même il ne se dis que votre cœur n'ait déjà reçu quelquateinte, 'est ce cœur Mademoiselle que je m'efforce de toucher, cher, 'est ce cœur que je mets au dessus de tous les Empires du monde, et à la possession duquel, paspire avec tant d'ardeur, a Mademoiselle, et ne désespérez va un allant tenure et ndeles comme moi'
JUNIE.	JUNIE.
A quels rudes combats me vois- je expoſée, ce dernier eſt encore plus fort que le premier, je vois bien Comte qu’il faut ſe rendre, qui vous a ſi bien découvert les endroits ſenſibles de mon Cœur, je me donne à vous comme au plus fort & aa plus aimable, & puis que.	À quels rudes combats me vois- je exposée, ce dernier est encore plus fort que le premier, je vois bien Comte qu'il faut se rendre, qui vous a si bien découvert les endroits sensibles de mon Cœur, je me donne à vous comme au plus fort et a fin aimable, et puis que.
Pirame entre tout d’un coup.	Pirame entre tout d'un coup.
SCENE VIII.	SCÈNE VIII.
PIRAME, LE COMTE, JUNE, CLAUDINE.	PIRAME, LE COMTE, JUNE, CLAUDINE.
PIRAME.	PIRAME.
E vous ay cherchez par tout & je croyois que vous étiez perdus, uous nous ſommes promenés quelque temps mon camarade & moy tns l’Antichambre, pour vous faciciliter le moyen de mieux entrete.	E vous ai cherchez par tout et je croyais que vous étiez perdus, -vous nous sommes promenez quelque temps mon camarade et moi tenns l'Antichambre, pour vous faciliter le moyen de mieux entrete.
nir Mademoiſelle, je ne ſçai preſentement ou eſt Liſidor, mais je me conſole de vous trouver ici.	nir Mademoiselle, je ne sais présentement ou est Lisidor, mais je me console de vous trouver ici.
CLAUDINE Ah, Monſieur, nous ne nous perdons pas comme cela, nous ſavons trop bien les étres decéans.	CLAUDINE Ah, Monsieur, nous ne nous perdons pas comme cela, nous savons trop bien les êtres decéans.
Je vois bien à voſtre mine que vous voudriez ſavoir ſi Mr le Comte à réüſſi dans ſon deſſein, vous n’avez quia le connderer;	Je vois bien à votre mine que vous voudriez savoir si Mr le Comte à réussi dans son dessein, vous n'avez qui le connérer;
vous luy verrez une phiſionomie contente, qui vous aſſurera de ſon triomphe.	vous me verrez une physionomie contente, qui vous assurera de son triomphe.
