An Iem ay Chez CLAVDE LE VILLAIN, Libraite, & Relieur du ROY, ruë du Bec, à la bonne Renommée.	An Iem ai Chez CLAUDE LE VILLAIN, Libraite, et Relieur du ROY, rue du Bec, à la bonne Renommée.
Parquoy ſans plus me mettre au lendemain, PermetteZ moy que ie baiſe ce ſein, Et que les fruicts de mon amour te cuatis.	Parquoi sans plus me mettre au lendemain, Permettez moi que je baise ce sein, Et que les fruits de mon amour te cuatis.
Ie ne veux plus me contenter des fueilles, Comme ces ſots, qui preſt d’vn bien ſi cher Meurent de faim par faute d’y toucher.	Je ne veux plus me contenter des fueilles, Comme ces sots, qui prêt d'un bien si cher Meurent de faim par faute d'y toucher.
Lycoris.	Lycoris.
Aurois-ie creu que ta perſeuerance Me deuſt vn iour apporter violence?	Aurais-je cru que ta persévérance Me dût un jour apporter violence?
Et me rauir ce qu’vn jour tu pouuois Auoir de gré!	Et me ravir ce qu'un jour tu pouvais Avoir de gré!
Satyre.	Satire.
Ceſte plaintiue voix Ne peut brider ma rage violente, CrieZ, pleureZ faictes de la dolente, Vous perdeZ temps:	Cette plaintive voix Ne peut brider ma rage violente, Criez, pleurez faites de la dolente, Vous perdez temps:
car ſans plus auiourd’huy Ie meriray ſin a mon cruel ennuy.	car sans plus aujourd'hui Je mérirai sin a mon cruel ennui.
Lycoris.	Lycoris.
» Forcer helas, vne fille eſpleurée.	" Forcer hélas, une fille espleurée.
, C’eſt vn plaiſir de bien courte durée!	, C'est un plaisir de bien courte durée!
Satyre amy, ie t’aymeray d’amour Et pour tout terme accorde moy ce iour:	Satire ami, votre t'aimerai d'amour Et pour tout terme accorde moi ce jour:
I’iray trouuer noſtre grande Deeſſe Diane chaſte, à qui des ma ieuneſſe I’ay fait le vœu de ma vrginité:	J'irai trouver notre grande Déesse Diane chaste, à qui des ma jeunesse J'ai fait le vœu de ma vrginité:
Et dans ſon Temple, auec ſolemnité, I’immoleray pour me lauer de crime our ſes Autels vne ſaincte viêtime, Pour obtenir diſpence de mon vœu, Puis cela fait viens appaiſer ton feu.	Et dans son Temple, avec solennité, J'immolerai pour me lauer de crime our ses Autels une sainte vitime, Pour obtenir dispense de mon vœu, Puis cela fait viens apaiser ton feu.
Satyre.	Satire.
Que vous ſert-il de m’alleguer Diane?	Que vous sert-il de m'alléguer Diane?
Qui voudroit croire vne Bende prophane Qui ſuit ſes pas, nous ſerions tous perdus:	Qui voudrait croire une Bende prophane Qui suit ses pas, nous serions tous perdus:
Nature mere, & ſes indiuidus Mancquant alors, la fin que l’on redouble De l'vntuers, arriueroit ſans doute.	Nature mère, et ses induidus Mancquant alors, la fin que l'on redouble De l'Univers, arriverait sans doute.
Bien à propos d’aller la ſupplier!	Bien à propos d'aller la supplier!
Vn mal promis on s’en peut deſlier:	Un mal promis on s'en peut délier:
Laiſſons la la garder ſon pucellage, Laiſſons la la blaſmer le Mariage.	Laissons la la garder son pucellage, Laissons la la blâmer le Mariage.
Que les mortels elle abhorre ſur tout!	Que les mortels elle abhorre sur tout!
Que de ce monde elle cerche le bout:	Que de ce monde elle cherche le bout:
Qu'à la nature elle ait iuré la guerre:	Qu'à la nature elle ait juré la guerre:
Qu'elle banniſſe amour hors de la terre!	Qu'elle bannisse amour hors de la terre!
Mais qu’elle ſouffre au moins aucunesfois Que moy qui ſuis demi-Dieu de ces bois Et ne tiens rien ſous ſon ſceptre en hommage, Paſſe le temps où mon plaiſir m’engage.	Mais qu'elle souffre au moins aucunesfois Que moi qui suis demi-Dieu de ces bois Et ne tiens rien sous son sceptre en hommage, Passe le temps où mon plaisir m'engage.
or laiſſons là chaſſer par les foreſts, mup umuim que Phebus de ſes rais Roſtit ces monts, prenons ſi bon vous ſemble Vn demy-iour de paſſetemps enſemble.	or laissons là chasser par les forêts, mup umuimui que Phebus de ses rais Rostit ces monts, prenons si bon vous semble Un demi-jour de passetemps ensemble.
Lycoris.	Lycoris.
Encore vn coup ie te ſupplie attends Iuſqu’à demain, ce n’eſt pas vn long temps.	Encore un coup ie te supplie attends Jusqu'à demain, ce n'est pas un long temps.
Satyre.	Satire.
Ruſe de femme!	Ruse de femme!
excuſes trop communes!	excuses trop communes!
L’Appaſt eſt vieil, on n’y prend que les ieune.	L'Apat est vieil, on n'y prend que les jeune.
En qui peut-on s'aſſenser dejomnais?	En qui peut-on s'assenser dejomnais?
C’eſt vn bon terme il n’arriue iamais.	C'est un bon terme il n'arrive jamais.
Pour moy ie veux ſans plus longues remiſes Toucher au but, & venir droict aux priſes.	Pour mo ie veux sans plus longues remises Toucher au but, et venir droit aux prises.
Lycoris.	Lycoris.
Tu n’auras pus vn grand contentement:	Tu n'auras pus un grand contentement:
Ie t’ay celé parce qu’honneſtement On ne ſçauroit telles excuſes faire Que ie ne ſuis en eſtat pour te plaire Me trouuant mal.	Je t'ai celé parce qu'honnêtement On ne saurait telles excuses faire Que ie ne suis en état pour te plaire Me trouvant mal.
Satyre.	Satire.
La femme à tout propos, Se dit malade, & n’a iamais repos:	La femme à tout propos, Se dit malade, et n'a jamais repos:
Et luy ſied bien à faire la dolente.	Et Elle sied bien à faire la dolente.
Lycoris.	Lycoris.
Vne autre choſe helas!	Une autre chose hélas!
m’eſt importante!	m'est importante!
Mopſe mon Pere eſt au pas de la mort:	Mopse mon Père est au pas de la mort:
Vne herbe naiſt ſur l’effroyable bord De l’Occean, à ſon mal ſalutaire, Quand tu m’as veuë en ce bois ſolitaire, Ie m’en courois afin d’en amaſſer:	 herbe naît sur effroyable bord De Occean, son mal salutaire, Quand tu as veuë en ce bois solitaire, Ie en Une herbe n'en amasser:
Le ſage Vrgand qui l’eſt venu penſer, Nous a promis auec toute aſſeurance Que par ce ſimple il auroit allegeance, De ſes douleurs:	Le sage Vrgand qui l'est venu penser, Nous a promis Seigneur toute assurance Que par ce simple il aurait allégeance, De ses douleurs:
helas oblige moy Si la pitié demeure encor en toy, De m'aßiſter à cueillir de ceprt mtiot:	hélas oblige moi Si la pitié demeure encor en toi, De m'assister à cueillir de cepr mtiot:
Voicy prochain le grand Rocher ſuperbe Qui la produit:	Voici prochain le grand Rocher superbe Qui la produit:
ayant fait ce deuoir, Ie m’abandonne à faire ton vouloir.	ayant fait ce devoir, Je m'abandonne à faire ton vouloir.
Satyre.	Satire.
Ha ie vous ayme!	Ha ici vous aime!
ouy dea ma chere vie, Ie veux en tout contenter voſtre enuie:	oui dea ma chère vie, Je veux en tout contenter votre envie:
Allons ſoudain:	Allons soudain:
I’yrois trop regrettant	J'irais trop regrettant
Mar Et n On c ipporon verc, ua Dieuie v ayme sans.	Mar Et n On ç iporon verc, Dieuie aime sans.
Lycoris.	Lycoris.
nu faut l'aymer puis qu’il eſt ton Beau pere.	nu faut l'aimer puis qu'il est ton Beau père.
Satyre.	Satire.
Voicy le Roc:	Voici le Roc:
Lycoris.	Lycoris.
Et l’herbe neceſſaire:	Et l'herbe nécessaire:
Elle fleurit aux flancs de ce Rocher:	Elle fleurit aux flancs de ce Rocher:
Mon bras eſt court, ie n’en puis approcher.	Mon bras est court, ici n'en puis approcher.
Satyre.	Satire.
LaiſſeZ moy faire:	Laissez -moi faire:
il faut que ie me couche:	il faut que personne me couche:
Elle eſt bien bas:	Elle est bien bas:
ma main encor n’y touche:	ma main encor n'y touche:
Il faut m’ayder:	Il faut m'aider:
teneZ moy par ce bras, Et garde( bien que ie ne tombe à bas, Tene (bien fort que ie ne vous entraine.	teneZ -moi par ce bras, Et garde( bien que Dieu ne tombe à bas, Téne (bien fort que enfin ne vous entraine.
Lycoris.	Lycoris.
ronoins meſeuuppe.	ronoins meseuuppe.
Aaieu rate innumaine!	Ajeu rate innumaine!
Boucquin maudit, Satyre malheureux;	Boucquin maudit, Satire malheureux;
Va dans la Mer, pour y noyer tes feux!	Va dans la Mer, pour y noyer tes feux!
Satyre.	Satire.
Haie ſuis mort!	Haie suis mort!
Lycoris.	Lycoris.
Comme la Mer reſonne!	Comme la Mer résonne!
Mais il vaut mieux que ce lieu i’abandonne, Et n’aille plus ſeulette deſormais!	Mais il vaut mieux que ce lieu j'abandonne, Et n'aille plus seulette désormais!
On dit qu'vn mal tout ſeul ne vient iamais.	On dit qu'un mal tout seul ne vient jamais.
nn L'erger Inconneu,	Non N'erger Inconnu,
SCENE SIXIESME DV TROISIESME ACTE.	SCÈNE SIXIÈME DU TROISIÈME ACTE.
Myrimne.	Myrimne.
Doraniss	Doraniss
2 Myrthine.	2 Myrthine.
E l’apperçoy l’inhumain qui me tuë!	E l'aperçois l'inhumain qui me tue!
Ch Qui va cachãt dans l’homicide Veuë JVI.	Ch Qui va cachant dans l'homicide Vue IVY.
Vn Baſilic, & d’vn ſimple regard S’en va perçant mon cœur de part en Il me conuient l’aborder à ceſte heure, (part.	Un Basilic, et d'un simple regard S'en va perçant mon cœur de part en Il me convient l'aborder à cette heure, (part.
Et voir s’il faut que ſans ſecours ie meure, Bon-iour Paſteur!	Et voir s'il faut que sans secours rien meure, Bonjour Pasteur!
es-tu venu guider I cy ta troupe afin de l’y garder Durant le chaud.	es-tu venu guider I y ta troupe afin de l'y garder Durant le chaud.
Doralis.	Doralis.
Nenny bell Myrthine, Ie vay chaſſer en la foreſt voiſine, Herſoir eſtant jur te vora dt Eauon, Thyrſis e moy, Floris, et Corydon, Si quelqu’vn n’a leur humeur diuertie, De s’y trouuer nous fiſmes la partie.	Nenni bell Myrte, Je vais chasser en la forêt voisine, Hersoir étant jur te vora dt Eavon, Tirsis e moi, Floris, et Corydon, Si quelqu'un n'a leur humeur divertie, De s'y trouver nous fîmes la partie.
Myrthine.	Myrthine.
Las!	Las!
tarde vn peu!	tarde un peu!
te vient-il à deſdain, Que ie te parle, à partir ſi ſoudain?	te vient-il à dédain, Que Que te parle, à partir si soudain?
Dure pitié!	Dure pitié!
c’eſt grand cas qu’il s’offence, Quand il me void en ſa belte preſence!	c'est grand cas qu'il s'offense, Quand il me voit en sa belte présence!
Doralis.	Doralis.
Ce n’eſt cela, mais i’ay haſte d’aller:	Ce n'est cela, mais j'ai hâte d'aller:
Mes compagnons me voudront quereller, D’auoir tardé, donnant à ma perſonne Tout le malheur, ſi la chaſſe n’eſt bonne.	Mes compagnons me voudront quereller, D'avoir tardé, donnant à ma personne Tout le malheur, si la chasse n'est bonne.
Myrthine.	Myrthine.
Iuſques à quand a turé ta rigueur De me laiſſer en ſi-triſté langueur?	Jusqu' à quand a turé ta rigueur De me laisser en si-tristé langueur?
Serois-tti bien ſemblable à la riuiere, Qui plus s’aduance, & tant plus deuient fiere par le tribut de cent moindres ruiſſeaux, Qui pour l’enfler luy font part de leurs eaux?	Serais-tti bien semblable à la rivière, Qui plus s'avance, et tant plus devient fière par le tribut de cent moindres ruisseaux, Qui pour l'enfler se font part de leurs eaux?
Veux-tu qu'vn iour ta belle renommée Par mes tourmens ſe rende diffamée?	Veux-tu qu'un jour ta belle renommée Par mes tourments se rende diffamée?
Et que le cours de mon cruel tourment Soit limité par le ſeul Monument?	Et que le cours de mon cruel tourment Soit limité par le seul Monument?
Doralis.	Doralis.
Que te ſert-il de ſupplier vn homme Pour t’alleger, qui luy meſme conſomme „ D'vn feu pareil?	Que te sert-il de supplier un homme Pour t'alléger, qui lui était consomme „ D'un feu pareil?
C’il qui ne peut guerir  Pourroit-il bien vn autre ſecourir?	C'il qui ne peut guérir Pourrait-il bien un autre secourir?
Vn pauure aueugle auroit trop d’ignorance;	Un pauvre aveugle aurait trop d'ignorance;
D’oſer conduire vn autre en aſſeurance?	D'oser conduire un autre en assurance?
C’eſt temps perdu!	C'est temps perdu!
c’eſt meſurer de l’eau	c'est mesurer de l'eau
102 Le Berger Inconneu, Dedans vn Crible, où d’vn foible Pinceau Paindre dans l’air, qu’eſperer allegeance Din, qut na pas ſur tuy meſme puiſſance.	102 Le Berger Inconnu, Dedans un Crible, où d'un faible Pinceau Paindre dans l'air, qu'espérer allégeance Din, qu' a pas sur tui vient puissance.
Myrthine.	Myrthine.
Eſt-il encor de la Iuſtice aux Cieux?	Est-il encor de la Justice aux Cieux?
O cœur ingrat!	Ô cœur ingrat!
ne veillent pas les Dieux A ton merite eſgaller le ſupplice!	ne veillent pas les Dieux À ton mérite égaller le supplice!
Ie mourray donc, ie feray ſacrifice De venrvenjaix sala aase nigiear.	Je mourrai donc, ie ferai sacrifice De venrvenjaix sala alase nigie.
O mes ennuis pour Dieu tueZ mon cœur!	Ô mes ennuis pour Dieu tués mon cœur!
Doralis.	Doralis.
Dieux!	Dieux!
qu’eſt-ce cy?	qu'est-ce cy?
faut il donc que ma vie Puiſſe engendrer vne contraire enuie En deux ſujets?	faut il donc que ma vie Puisse engendrer quelque contraire envie En deux sujets?
ie produits guerre, & paix, En meſme inſtant ie plais, et ie deſplais:	Les produits guerre, et paix, En même instant ici plais, et ie mais:
Myrthine m’ayme, & Lycoris m’a bhorre:	Myrthine m'aime, et Lycoris m'a bhorre:
L’autre me hait, e ceſte cy m’ãdore.	L'autre me hait, é cette cy m'andore.
Maudit Amour change leurs volonteZ !	Maudit Amour change leurs volontés !
Fay les aymer ceux là qui ſont porteZ!	Fais les aimer ceux -là qui sont portez!
A les cherir, helas!	À les chérir, hélas!
elle eſt paſmée!	elle est pâmée!
La laiſſeray-ie en ce dueil abiſmée Sans voir la fin de ſon eſlourdement?	La laisserai-je en ce deuil abîmée Sans voir la fin de son élourdement?
Ouy:	Oui:
car ma veuë agrandit ſon tourment.	car ma vue agrandit son tourment.
SCENE SEPTIESME DV TROISIESME ACTE.	SCÈNE SEPTIÈME DU TROISIÈME ACTE.
Eycoris.	Eycoris.
Arcadin, Bouuier.	Arcadin, Bouvier.
Lycoris.	Lycoris.
E mes frayeurs i’ay bien eu la derniere!	E mes frayeurs j'ai bien eu la dernière!
Sz Ce vieil Boucquin ſortant de ſa taniere, M’auoit ſurprinſe, & ſans l’inuention l’eſtois ſous-miſe à ſa deuotion:	Sz Ce vieil Boucquin sortant de sa tanière, M'avait surprinse, et sans l'invention l'étais sous-mise à sa dévotion:
Quelle r’encontre aux filles qui ſont belles!	Quelle rencontre aux filles qui sont belles!
La Mer le tient en ſes eaux inſidelles, Il a beau boire!	La Mer le tient en ses eaux insidelles, Il a beau boire!
au moins ie me promets Que m'en voila defaicte pour iamais.	au moins belle me promets Que m'en voilà défaite pour jamais.
Vnautre point m'afflige le courage, C'eſt Doralis & ſon maudit ſeruage.	Unautre point m'afflige le courage, C'est Doralis et son maudit servage.
Si Pan eſt Iuge, adieu toute equité!	Si Pan est Juge, adieu toute équité!
Me voila miſe en ſa captiuité.	Me voilà mise en sa captivité.
Ce vieil Dieu Pan à bonne ſouuenance Comme Syringue exerça ſa conſtance, Et par deſpit de ſes fers langoureux, ll a touſiours pitié des Amoureux:	Ce vieil Dieu Pan à bonne souvenance Comme Syringue exerça sa constance, Et par dépit de ses fers langoureux, loul à toujours pitié des Amoureux:
Eiſans eſgard que Iuſtice il offence,	Étant égard que Justice il offense,
104 Le Bergelmeolneu, La paßion fait pancher ſa balance.	104 Le Bergelmeolneu, La passion fait pencher sa balance.
Voudrois ie donc ſouffrir vn iugement Qui m’obligeaſt à prendre vn autre Amant Que mon Hylas?	Voudrais ie donc souffrir un jugement Qui m'obligeât à prendre un autre Amant Que mon Hylas?
ha i’ay trop de courage, Pluſtoſt la mort terminera mon aage:	ha j'ai trop de courage, Plutôt la mort terminera mon âge:
Quand tous les Dieux enſemble l’auroyent dit, Mon vouloir ſeul eſt là qui l’interdit:	Quand tous les Dieux ensemble l'auraient dit, Mon vouloir seul est là qui l'interdit:
Hyl as eſt ſeul qui mon ame a geſnée, Et pour luy ſeul ie cerche vn Hymenée.	Hyl as est seul qui mon âme a gênée, Et pour lui seul seul cerche un Hyménée.
Mais Boralis s’efforcera du tout Pour empeſcher ce que mon cœur reſout:	Mais Boralis s'efforcera du tout Pour empêcher ce que mon cœur résout:
Ce qu’il ne peut emporter par merite, It croit l’auoir par iniuſte pourſuite:	Ce qu'il ne peut emporter par mérite, It croit l'avoir par injuste poursuite:
Mass qu’il ſe garde à m’irriter plus fort, Que pour ſalaire il n’encoure la mort:	Mass qu'il se garde à m'irriter plus fort, Que pour salaire il n'encoure la mort:
C’eſt ce qu’il cerche:	C'est ce qu'il cerche:
enhardy toy ma dextre, Et d’vn Berger par ce fer me deſpeſtre!	enhardi toi ma dextre, Et d'un Berger par ce fer me dépêtre!
Helas ie n’oſe!	Hélas apprendre n'ose!
vn eſprit feminin Eſt en naiſſant pitoyable, & benin:	Hé esprit féminin Est en naissant pitoyable, et bénin:
Et de la guerre il deteſte l’vſage, Comme ennemy du meurtre & du carnagé:	Et de la guerre il deteste l'usage, Comme ennemi du meurtre et du carnagé:
Le ſeul penſer d’vn importun remords Trouble mon ame, & fait pallir mon corps.	Le seul penser d'un importun remords Trouble mon âme, et fait pâlir mon corps.
Ie pourrois bien tenter ceſte fortune Par Arcadin, Bouuier qui m’importune De ſon amour, quand il deuroit perir, Et mille ſois dans le peril mourir, Pourueu qu’il ſache en mourant qu’il m’obligé Rien n'eſt ſi fort qui l’empeſche, ou l’afflige.	Je pourrais bien tenter cette fortune Par Arcadin, Bouvier qui m'importune De son amour, quand il devrait périr, Et mille sois dans le péril mourir, Pourvu qu'il sache en mourant qu'il m'obligé Rien n'est si fort qui l'empêche, ou l'afflige.
Mais ie l’aduiſe en ce vallon herbeux!	Mais quelque l'avise en ce vallon herbeux!
Voila qu’il vient, & laiſſe là ſes bœufs Sans conducteur:	Voilà qu'il vient, et laisse là ses bœufs Sans conducteur:
il faut que ie le pouſſe ouunaZard, & me monſtre inpenuouce.	il faut que ici le pousse ouunasard, et me montre inpensouce.
Pour cette fois, où t’en vas tu Berger?	Pour cette fois, où t'en vas tu Berger?
AICAGIII.	ÀICAGII.
Voir ſi mes maux vous ont point fait changer.	Voir si mes maux vous ont point fait changer.
Lycoris.	Lycoris.
Comment changer?	Comment changer?
veux-tu que ie t’oublia?	veux-tu que Ne t'oublia?
Arcadin.	Arcadin.
Non, mais pluſtopt que momamour vous lie.	Non, mais plaît que momamour vous lie.
Lycoris.	Lycoris.
nt quoy toaſiours ie re troune amoureux.	naît quoi toujours ie re troune amoureux.
Arcadin.	Arcadin.
Et moy touſiours voſtre cœur rigoureux.	Et moi toujours votre cœur rigoureux.
Lycoris.	Lycoris.
Fay nous vn bien Arcadin ie te prie.	Fais nous un bien Arcadin ie te prie.
Arcadin.	Arcadin.
Vn bien?	Un bien?
dix mille:	dix mille:
& puis au bout ma vie.	et puis au bout ma vie.
Lycoris.	Lycoris.
Ie n'en veux tant:	Je n'en veux tant:
il ſuffiſt ſeulement D'executer vn mien commandement:	il suffît seulement D'exécuter un mien commandement:
Mais il faudroit garder bien le ſilence:	Mais il faudrait garder bien le silence:
La mort y pend quand & la connoiſſance.	La mort y pend quand et la connaissance.
Arcadin.	Arcadin.
Vn bon ſecret ie le celes aſſeZ:	Un bon secret Seigneur le cères assez:
J'ay bon celier, mai mes vins ſont pouſſeZ.	J'ai bon celier, mai mes vins sont poussés.
Lycoris.	Lycoris.
A tous propos tu veux gauſſer, & rire:	À tous propos tu veux gausser, et rire:
Or en deux mots ſçais-tu que ie veux dire?	Or en deux mots sais-tu que tu veux dire?
Arcadin.	Arcadin.
Ntuny viaymeme romte y rous me baiſer?	Nîtuni viaymeme romte y rous me baiser?
Vous ferieZ bien pour ma flamme appaiſer.	Vous feriez bien pour ma flamme apaiser.
Lycoris.	Lycoris.
La recompenſe eſt apres le ſeruice:	La récompense est après le service:
Or ſus, il faut me faire Vn ſacrifice.	Or sus, il faut me faire Un sacrifice.
Arcadin.	Arcadin.
Eſt ce d'vn bouc, d’vn cheureil, d’vn aigneau?	Est -ce d'un bouc, d'un cheureil, d'un aigneau?
Repargneepanpmaipleraguenpeah.	Repargneepanpmaipleraguenpeah.
Lycoris.	Lycoris.
Ce que ie veux est choſe blenpius grande.	Ce que ici veux est chose blenpius grande.
Atcadin.	Atcadin.
Et bien plus grand l’amour qui me commande.	Et bien plus grand l'amour qui me commande.
Lycoris.	Lycoris.
C’eſt Doralis:	C'est Doralis:
ne pouuant m'épouſer, Par vne fraude il m'y veut diſpoſer:	ne pouvant m'épouser, Par une fraude il m'y veut disposer:
Foul inſenſé!	Foul insensé!
qui penſe par la ruſe Auoir mon cœur, que l’amour luy refuſe.	qui pense par la ruse Avoir mon cœur, que l'amour lui refuse.
Et pour ce fait importune les Dieux Pour m’y forcer:	Et pour ce fait importune les Dieux Pour m'y forcer:
ce qui m’eſt odieux Plus que la mort, & ie croy que toy meſme N’approuues pas cette iniuſtice extreſme.	ce qui m'est odieux Plus que la mort, et ie au que toi était N'approuves pas cette injustice extrême.
Aurois-tu bien le courage aſſeZ fort, Dem'en venger, en luy donnant la mort?	Aurais-tu bien le courage assez fort, Dem'en venger, en lui donnant la mort?
Arcadin.	Arcadin.
I'ay ſous mon toict la plus belle maſſuë, Que ie coupay ſur la teſte mouſſuë D’vn Aubepin, pour la chaſſe des loups:	J'ai sous mon toit la plus belle massue, Que je coupai sur la tête moussue D'un Aubepin, pour la chasse des loups:
C’eſt pour eſtraine à vanger le courroux Que vous a jair te ſont a la matbeure.	C'est pour étraine à venger le courroux Que vous a jair te sont à la matbure.
Voila le bras dont il conuient qu’il meure,	Voilà le bras dont il convient qu'il meure,
Lycoris.	Lycoris.
Tuparles haut, abbaiſſe vn peu ta voix:	Tuparles haut, abaisse un peu ta voix:
Quelqu'vn nous oit peut-eſtre dans ce bois.	Quelqu'un nous oit peut-être dans ce bois.
Areddilo C’eſt bien ouy:	Arédilo C'est bien oui:
buiſſons ont-ils oreilles?	buissons ont-ils oreilles?
Vn homme mort, ce ſont de grands merueilles.	Un homme mort, ce sont de grands merveilles.
Lycoris.	Lycoris.
Va donc amy:	Va donc ami:
mais ſur tout pren bien ſoin De l’égarer en quelque Antre bien loin, Afin qu’aucun ne connoiſſe le crime;	mais sur tout pren bien soin De l'égarer en quelque Antre bien loin, Afin qu'aucun ne connaisse le crime;
Et là m’en faire vne belle victime:	Et là m'en faire une belle victime:
Et derechef pren bien garde à cacher Ce qui nous peut eſtre vendu bien cher.	Et derechef prends bien garde à cacher Ce qui nous peut être vendu bien cher.
Arcadin.	Arcadin.
Ouy bien à moy:	Oui bien à moi:
car vous belle inhumaine, Faites le mal, mais i’en aurois la peine:	car vous belle inhumaine, Faites le mal, mais j'en aurais la peine:
Mais t’eſt tout vn:	Mais t'est tout un:
car pour vous obliger Ie ra ftimanttes jeuse uuenn danger.	car pour vous obliger Je ra ftimanttes jeuse ouvenn danger.
Lycoris.	Lycoris.
On te feroit auerer ta complice, Et comme toy i’aurois part au ſuplite.	On te ferait aurer ta complice, Et comme toi j'aurais part au suplite.
Arcadin.	Arcadin.
Quand ie verrois l’horreur de mille feux, Et les tourmens des tyrans plus affreux Et des Enfers ouuert le noir abime;	Quand jour verrais l'horreur de mille feux, Et les tourments des tyrans plus affreux Et des Enfers ouvert le noir abime;
Ie ne voudrois vous comprendre en mon crime.	Je ne voudrais vous comprendre en mon crime.
A auee lrep varse vmque suum, Pour vous ſou mettre à telle cruauté.	À auee lrep varse venque suum, Pour vous sou mettre à telle cruauté.
Lycoris.	Lycoris.
Va dont Amy, conduy bien ceſt affaire, Deliure nous d’vn faſcheux aduerſaire:	Va dont Ami, condui bien cette affaire, Délivre nous d'un fâcheux adversaire:
Car de ſa mort dépend entierement Mon bien, ma vie, & mon contentement.	Car de sa mort dépend entièrement Mon bien, ma vie, et mon contentement.
Chœur des Paſteurs.	Chœur des Pasteurs.
» Que ne peut faire vne femme méchante „ En ſes deſſains peruers?	» Que ne peut faire une femme méchante „ En ses dessains pervers?
„ Du noir Erebe & du vieil Rhadamante Les ſuplices diuers, » Ne ſont égaux à ceux-là qu’elle inuente, » Pour aſſouuir ſa fureur inſolente.	„ Du noir Erebe et du vieil Rhadamante Les suplices divers, " Ne sont égaux à ceux-là qu'elle invente, " Pour assouvir sa fureur insolente.
» Ce qui la perd alors que la vengeance » La vienteépeinçonner.	" Ce qui la perd alors que la vengeance " La vienteépeinçonner.
9, Eſt, que ſon cœur quand il en s puiſſance, Ne peut rien pardonner:	9, Est, que son cœur quand il en s puissance, Ne peut rien pardonner:
C’eſt aux eſprits conſtans, & magnanimes, „D’auoir memoire, & d’oublier les crimes.	C'est aux esprits constants, et magnanimes, „D'avoir mémoire, et d'oublier les crimes.
n Ce foible ſexe eſtant par la nature „ Baſti pour nous geſner, Facilement peut bien faire vne iniure:	n Ce faible sexe étant par la nature „ Basti pour nous gêner, Facilement peut bien faire une injure:
Mais non la pardonner:	Mais non la pardonner:
„ Dedans le ſang ſe bagne ſon courage, Quand ſon pouuoir eſt égal à ſa rage.	„ Dedans le sang se bagne son courage, Quand son pouvoir est égal à sa rage.
Tout ce defaut prouient de la naiſſance „ De ce ſexe indompté, » Qui n’a iamais ſi forte la puiſſance, " Comme la volonté:	Tout ce défaut prouient de la naissance „ De ce sexe indompté, " Qui n'a jamais si forte la puissance, " Comme la volonté:
„ Et le deſir n’eſtant qu’en l’indigence, „ Il a touſiours vn deſir de vengeance.	„ Et le désir n'étant qu'en l'indigence, „ Il a toujours un désir de vengeance.
Mais ſi les Sœurs qui puniſſent le vice, De l’homme apres la mort, Vont allumant des femmes le Caprice, Pour les venger d’vn tort, » La peine donc deuroit eſtre intentée » A celuy là qui l’auroit meritée.	Mais si les Sœurs qui punissent le vice, De l'homme après la mort, Vont allumant des femmes le Caprice, Pour les venger d'H tort, " La peine donc devrait être intentée » " celui là qui l'aurait méritée.
n.	n.
Mais de tuer celuy-là qui deſire » Adorer leurs beauteZ, „ C’eſt deuancer Medée, & Dejanire, » En dures cruauteZ, " Car de punir des Amans Variables, », Sont des rigueurs, qui ſemblent excuſables, Mais Lycoris, qui ne s’eſt enflammée, Et ne ſe veut vanger, Que pour ſe voir trop ardamment aymée D'vn fidelle Berger:	Mais de tuer celui-là qui désire " Adorer leurs beautés, „ C'est devancer Medée, et Déjanire, " En dures cruauté, de Car de punir des Amants Variables, ", Sont des rigueurs, qui semblent excusables, Mais Lycoris, qui ne s'est enflammée, Et ne se veut venger, Que pour se voir trop ardamment aimée D'un fidèle Berger:
