LA TRAGEDIE DE PRYAM,ROY.	LA TRAGÉDIE DE PRIAM,ROY.
O tout le cœur me bat, vne telle merueille Eſtourdit ma raiſon, eſſourdit mon aureille, Me rend toute amoureuſe, & braue ſils de Roy, Me ſaict trembler de ioye & de crainte pour toy, Et ſi tu as ſouffert tant de maux ſur les ondes, Moa cœur ſouffre pour toy uilles douleurs proſõdes Helas qu’un braue Prince a ſur nous de pouuoir.	Ô tout le cœur me bat, une telle merveille Étourdit ma raison, essourdit mon oreille, Me rend toute amoureuse, et brave sils de Roi, Me sait trembler de joie et de crainte pour toi, Et si tu as souffert tant de maux sur les ondes, Moa cœur souffre pour toi y douleurs prosõdes Helas un braue Prince a sur nous de pouuoir.
De nous pouuoir lier auſſi toſt que nous voir:	De nous pouvoir lier aussi tôt que nous voir:
Helas gentil Paris que i’ay pour toy de flame.	Hélas gentil Paris que j'ai pour toi de flamme.
Paris.	Paris.
Helas que i’ay pour vous d’amour ma belle Dame.	Hélas que j'ai pour vous d'amour ma belle Dame.
Heleine.	Hèleine.
Amy que i’ay pour toy de vie & de treſpas Qui preſſent mes deſirs, & tallonnent mes pas.	Ami que j'ai pour toi de vie et de trépas Qui pressent mes désirs, et tallonnent mes pas.
Achattes.	Achattes.
Ne tardons plus icy amoureuſe brigade Le ſeiour ny vaut rien, la nef eſt a la rade:	Ne tardons plus ici amoureuse brigade Le seiour ni vaut rien, la nef est à la rade:
Camour vous y attend, ſus ſus gaignons le port:	Camour vous y attend, sus sus gagnons le port:
Et ſuyuons nos plaiſus, & ſuions noſtre mort, „ La fortune eſt muable, inconſtante & legere, „ Tournant le bien en mal, le bon-heur en miſere, Montons donc ſur la mer, & loin de ce ſeiour Je ſeray loin de peur, vous preſts de voſtre amour.	Et suivons nos plaisus, et suivons notre mort, „ La fortune est muable, inconstante et légère, „ Tournant le bien en mal, le bonheur en misère, Montons donc sur la mer, et loin de ce séjour Je serai loin de peur, vous prêts de votre amour.
Caſſandre.	Cassandre.
Quel preſage m’aſſaut, qu’elle eſtrãge aduenture Me fait groſſir le cœur par deſſus ma nature:	Quel présage m'assaut, qu'elle étrange aventure Me fait grossir le cœur par -dessus ma nature:
Quel ſigne redoutable, & quel deſtin trompeur, Me rauit l’aſſeurance & me donne la peur:	Quel signe redoutable, et quel destin trompeur, Me ravit l'assurance et me donne la peur:
Quel changement ſoudain, quelle metamorphoſe, Qui me monſtrant du bieu me promet autre choſe.	Quel changement soudain, quelle métamorphose, Qui me montreant du bieu me promet autre chose.
Qu'ay-ie a fremir ainſi dou vient ce tremblemẽt Qui m’oſte la parole auec le iugement, Et me faict augurer en moy meſme confuſe, Mille malheurs couuerts ſous vne ſotte ruze.	Qu'ai-je a frémir ainsi dou vient ce tremblement Qui m'ôte la parole avec le jugement, Et me fait augurer en moi -même confuse, Mille malheurs couverts sous une sotte ruze.
Qu’ay-ie plus a douter, contẽplez-bien mes yeux Briller en plaine mer ce ſeu preſagieux, Feu Gregeois qui ne peut s’eſteindre dedans l’onde:	Qu'ai-je plus a douter, contẽplezbien mes yeux Briller en plaine mer ce seu présagieux, Feu Grègeais qui ne peut s'éteindre dedans l'onde:
Mais qui doibt embrazer le plus grãd Roy du mõde:	Mais qui doibt embraser le plus grands Roi du momme:
Voyez voyez mes yeux comme il va prendre port Et planter ſur les murs l’arreſt de noſtre mort, Que ie preuoy de morts, de douleurs e d’eſclandre, Que ie voy de matheurs, & de deſtins deſcendre Sur la teſte de Troye, & que ie voy par toy Miſerable Paris tomber de maux lur moy.	Voyez voyez mes yeux comme il va prendre port Et planter sur les murs l'arrêt de notre mort, Que Hé vois de morts, de douleurs e eût esclandre, Elle ie vois de mateurs, et de destins descendre Sur la tête de Troie, et que je vois par toi Misérable Paris tomber de maux lur moi.
Mais qu’as-tu faict Paris amoureux miſerable, Qu’as tu ſaict contre nous Amour impitoyable, Contre nous qui ſans ceſſe honorons tes autels, T’eſtimans le plus grand de tous les immortels.	Mais qu'as-tu fait Paris amoureux misérable, Qu'as tu sais contre nous Amour impitoyable, Contre nous qui sans cesse honorons tes autels, T'estimants le plus grand de tous les immortels.
Toy & ce ſol Paris égaré de penſee,	Toi et ce sol Paris égaré de pensée,
Pour rendre la nature a bon droit oſſencee?	Pour rendre la nature a bon droit ossencee?
Auez tue Pryam, Polyxene & Hecior, Maſſacre l’innocent & ieune Polydor, Offençant lupiter qui aux boſtes preſide, Et les boſtes punit, qui en laſihant la bride A leur deſir auart & au ſoing d’amaſſer, Vont les dieux oſſencer, & les loix renuerſer, Comme Polymneſtor ce traiſtre Roy de Thrace, Qui en perdra l’honneur, & les yeux de la ſace, » Car Dieu dont le pouuoir eſt par tout in fiuy » Ne delaiſſe ſur terre un ſor faict impuny.	Avez tue Prym, Polyxène et Hécior, Massacre l'innocent et jeune Polydor, Offençant lupiter qui aux bostes préside, Et les bôtes punit, qui en lasihant la bride A leur désir auart et au soin d'amasser, Vont les dieux ossencer, et les lois renverser, Comme Polymnestor ce traître Roi de Thrace, Qui en perdra l'honneur, et les yeux de la sace, " Car Dieu dont le pouvoir est par tout in fiuy » Ne delaisse sur terre un jo faict y.
Malheur ſur Ilion, puis que le malheur meſme Se bande contre nous d’vne rigueur extreme, Mais qu’il ſeroit heureux, ſi demarant du port Paris euſt eu la mort, pour l’eſtoille du nort, Englouti dans un gouffre aux voyes tortueuſes.	Malheur sur Ilion, puis que le malheur même Se bande contre nous d'une rigueur extrême, Mais qu'il serait heureux, si demarant du port Paris eût eu la mort, pour l'étoille du nort, Englouti dans un gouffre aux voies tortueuses.
Pour eſleindre en la mer ſes flames amoureuſes, Et le feu que ſongeoit noſtre mere enſanter, Et vainere les deſtins qui nous veulent donter, Enſants de l’air eſmeu, vous p ſtillons d’Aeole, De Caſſandre eſploree eſcoutez la parole, Que n’auez-vous eſteind & rué dans la mer, Ce grand flambeau d’amour qui nous vient cõſumer, Donnans au flot batu d’vne ondeuſe tempeſte, Et au deſtin fatal pour beaucoup vne ſeſte.	Pour éleindre en la mer ses flammes amoureuses, Et le feu que songeait notre mère ensanter, Et vainere les destins qui nous veulent donter, Ensants de l'air ému, vous p ûtillons d'Aeole, De Cassandre esploree écoutez la parole, Que n'avez-vous éteind et rué dans la mer, Ce grand flambeau d'amour qui nous vient cõsumer, Donnants au flot batu d'une ondeuse tempête, Et au destin fatal pour beaucoup une tempête.
Iunon vous a ſeduis de quelque mot mocqueur, En la langue ruſee auſſi bien comme au cœur, Iurant a voſtre maiſtre en ſerment de Deiſſe.	Junon vous a séduis de quelque mot moqueur, En la langue ruse aussi bien comme au cœur, Jurant a votre maître en serment de Déisse.
De luy donner a ſemme vne belle maiſtreße, S’il permet que Paris ſans mal ny ſans danger, voiſe la moit daus Troye & ſa flamme loger, Fait mourir voſtre ioye, & naiſtre voſtre ennuy, Vng iour le ciel perdit des rauines de l’onde Le monde trop enclin aux delices du monde, Et nous verrons ſortis des gouffres de l’enſer, Amour pour perdre Troye en la flamme & au fer, Le regret que i’en ay me faict naiſtre l’enuye De perdre auant l’honneur:	De puis donner a semme une belle maître, S'il permet que Paris sans mal ni sans danger, voise la moit daus Troie et sa flamme loger, Fait mourir votre joie, et naître votre ennui, Ung jour le ciel perdit des ravines de l'onde Le monde trop enclin aux délices du monde, Et nous verrons sortis des gouffres de l'enser, Amour pour perdre Troie en la flamme et au fer, Le regret que j'en ame faict naître l'envie De perdre avant l'honneur:
mon eſprit & ma vie, Honneur qu’ex violant Aiax me volera, Quand la fureur du ſeu les corps deuorera:	mon esprit et ma vie, Honneur qu'ex violant Ajàx me volera, Quand la fureur du seu les corps dévorera:
Incredules Troyens qui ne vouliez pas croire, Qu’auec vos propres yeux, voſtre propre miſere, Contemplez voſtre perte, & comme en verité Iadis ie vous predy voſtre calamité, Croyez le maintenant, & ſelon l’apparence:	Incredules Troyens qui ne vouliez pas croire, Qu'avec vos propres yeux, votre propre misère, Contemplez votre perte, et comme en vérité Jadis ie vous prédi votre calamité, Croyez le maintenant, et selon l'apparence:
Condemnez vos erreurs plorans voſtre ſouffrance.	Condemnez vos erreurs plorants votre souffrance.
LE CHOEVR.	LE CHOEUR.
NOut cela qui prend vie au deſſoubs de la Lune I Souuent chãge & rechage au gré de la fortune Le Soleil ex ſon cours change bien de maiſons, De ces effets diuers s'entretient la Nature, Et comme la mort vit de noſtre pourriture:	NOut cela qui prend vie au dessoubs de la Lune I Jouvent chãge et rechage au gré de la fortune Le Soleil ex son cours change bien de maisons, De ces effets divers s'entretient la Nature, Et comme la mort vit de se pourriture:
Le Soleil ſe nourrit de diuerſes ſaiſons:	Le Soleil se nourrit de diverses saisons:
Le ciel eſt eternel le monde ne demeure, Et ſi l’homme ne meurt il faut que Platon meurs:	Le ciel est éternel le monde ne demeure, Et si l'homme ne meurt il faut que Platon meurs:
Pour auoir vne ſin ayant commencement, Et en ce monde icy toute choſe a vn terme, Car ſi le ciel ſe plaiſt en ſon eſſence ſerme, Le monde en ſa nature ayme le changement:	Pour avoir une sin ayant commencement, Et en ce monde ici toute chose a un terme, Car si le ciel se plaît en son essence serme, Le monde en sa nature aime le changement:
Pauure race affligee obiect de toute peine, Humaine creature en la terre inhumaine, Le but de tout ſoucy, le blanc de tout eſmoy, En plorant mes trauaux ie plore voſtre eſſence,	Pauvre race afflige objet de toute peine, Humaine créature en la terre inhumaine, Le but de tout souci, le blanc de tout émoi, En plorant mes travaux était plore votre essence,
Et puis conſiderant noſtre freſle naiſſance, Ie lamente pour vous en me plaignant pour moy.	Et puis considérant notre frêle naissance, Je lamente pour vous en me plaignant pour moi.
Le heurt de la fortune & meſchante & peruerſa Pardonne au ſimple peuple, & les Princes renuerſe, En cela reſemblant la nature du vent Qui bautain de courage, affronte, abat, attaque Pluſtoſt vn gros vaiſſeau, qu’vne legere barque, La virant, la pouſſant du ponant au leuant.	Le heurt de la fortune et méchante et perversa Pardonne au simple peuple, et les Princes renverse, En cela résemblant la nature du vent Qui bautain de courage, affronte, abat, attaque Plutôt un gros vaisseau, qu'une légère barque, La virant, la poussant du pendant au luant.
Fatal regne de Troye, o miſerable ville Sentant les coups du ſort, & les bras d’vn Acbille, Tu ſentiras ſur toy les deſtius coniurez.	Fatal règne de Troie, ô misérable ville Sentant les coups du sort, et les bras d'un Acbille, Tu sentiras sur toi les destius conjurés.
La Grece auec amour conſpirent a ta perte, Le ſeul eſpoir de ceux dout la mort eſt ouuerte C’eſt de leur propre vie eſtre de ſeſperez.	La Grèce était amour conspirent a ta perte, Le seul espoir de ceux dout la mort est ouverte C'est de leur propre vie être de sespérez.
Royaume ſloriſſant & en paix & en guerre Royaume la terreur & l’appuy de la terre, Deux femmes ſeulement abatient ta grandeur, Elles changent ta gloire eſclaitente en lumiere, Mais elles vont ainſi enuyans ton honneur Coguoiſſans ne pouuoir obſeurſir ta memoire.	Royaume slorissant et en paix et en guerre Royaume la terreur et l'appui de la terre, Deux femmes seulement abatient ta grandeur, Elles changent ta gloire esclaitente en lumière, Mais elles vont ainsi envuyants ton honneur Coguaissants ne pouvoir obseurs ta mémoire.
ACTE IIII.	ACTE IIII.
Menelaus.	Menelaus.
Agamemnon.	Agamemnon.
Calchas.	Calchas.
Menelaus.	Menelaus.
Bons dieux éternels qui gouuernez les Cieux, O Qui voyez deça bas les forſaicts vicieux, Et qui contre l’erreur du meſchant Epicure Guidez d’vn ſoing diuin le ciel & la nature, O bõs dieux ſouffaez vous qu’vn Troyen eſtrãgen Vn pipeur, vn larron courre tant de danger, Dleſſant vos Deitez, & que braue en malice, Da beau uous du vertu il bonore ſon vice, Et toy grande Minerue ardante de courroux, N’aſſouuiras-tu point ton courage ialoux Contre ce ſi r brigand qui ne ſait point de conte De t’auoir oſſencee & payé d’vne honte, Pourquoy veux-tu d’Aiax les ſautes rechercher, Et froiſſer ſon vaiſſeau en mer conire vn rother:	Bons dieux éternels qui gouvernez les Cieux, Ô Qui voyez deça bas les forsaicts vicieux, Et qui contre l'erreur du méchant Epicure Guidez d'un soin diuin le ciel et la nature, AIS bons dieux souffaez vous qu'un Troyen estrãgen Un pipeur, un larron courre tant de danger, Dlessant vos Deitez, et que brave en malice, Da beau -vous du vertu il bonore son vice, Et toi grande Minerue ardante de courroux, assouuiras-tu point ton courage ialoux Contre ce si brigand qui ne sait point de conte De auoir ossencee et payé honte, Pourquoy veux-tu Aiax les sautes rechercher, Et froisser son vaisseau en mer conire rother:
Et laiſſer impuny:	Et laisser impuni:
un acte ſi barbare, Qui fait bleſmir le More, & rougir les Tartares, Ne vois-tu pas Deeſſe, ou ne dois-tu pas voir Qu’en me faiſant iniure il blaſme ton pouuoir, Quoy demeuray-ie veuſ, & de ſemme & de vie, Auray-ie de l’amour?	un acte si barbare, Qui fait blêmir le More, et rougir les Tartares, Ne vois-tu pas Déesse, ou ne dois-tu pas voir Qu'en me faisant injure il blâme ton pouvoir, Quoi demeurai-je vus, et de semme et de vie, Aurai-je de l'amour?
n’auray-ie de l’enuie De ſuyure le voleur qui honnit mon renom, Et meſpriſant ma force éterniſe ſon nom?	n'aurai-je de l'envie De suivre le voleur qui honnit mon renom, Et méprisant ma force éternise son nom?
Permettray-ie bons dieux que ce Troyen infame, Me laiſſe plein de glace & s’allume en ma ſlamme, Sans punir ſon oſſence, & vengeur conſumer Son impudique ſtime au milieu de la mer, Pluſtoſt dedans les ſlots Neptun m’enſeueliſſe, Et dans ſon large ſein la terre m’engloutiſſe.	Permettrai-je bons dieux que ce Troyen infâme, Me laisse plein de glace et s'allume en ma slamme, Sans punir son ossence, et vengeur consumer Son impudique stime au milieu de la mer, Plutôt dedans les sots Neptun m'enseuvelisse, Et dans son large sein la terre m'engloutisse.
Agamemnon.	Agamemnon.
Quelle ardente ſurie, & cuiſante douteur Te fait ouurir la bouche, & reſerrer le cœur?	Quelle ardente surie, et cuisante douteur Te fait ouvrir la bouche, et réserrer le cœur?
D’ou ſortent tant de cris, d’ou ſourdẽt tãt de larmes Qui couleat ſur ta ſace, & roulent ſur tes armees Faut-il braue Monarque en ſimme ſouſpirer.	D'ou sortent tant de cris, d'ou sourd' tãt de larmes Qui couleat sur ta sace, et roulent sur tes armées Faut-il brave Monarque en simme soupirer.
Faiſant ſaſeber ton frere, & la Grece admirer.	Faisant saseber ton frère, et la Grèce admirer.
Menelaus.	Menelaus.
Je ſuiuray le meſchant iuſqu’au bout de la terre, Ie luy ſeray a craindre autant que le tonnerre, P eſſant ſa conſcience ainſi que les fureurs Pourſuyuoyent Oreſles de craintes & d’horreurs, Quaud mon ame ſera aux Enfers deſcenduë, I’apparoiſtray vn ombre effroyable a ſa veue, E iiij Troublant d’illuſions ſon ſomne & ſon repos, Comme il trouble ma vie au beau milieu des ſiots, Et bien que ie ſois veuf de ſemme & d’eſperance, Les dieux ne rendront veuf mon eſprit de vẽgeance,	Je suivrai le méchant jusqu'au bout de la terre, Je vou lai a craindre autant que le tonnerre, P essant sa conscience ainsi que les fureurs Poursuivaient Ores de craintes et d'horreurs, Quaud mon âme sera aux Enfers descendue, J'apparaîtrai un ombre effroyable à sa vue, E jij Troublant d'illusions son somne et son repos, Comme il trouble ma vie au beau milieu des siots, Et bien que sans sois veuf de semme et d'espérance, Les dieux ne rendront veuf mon esprit de vue,
Agamemnon.	Agamemnon.
Ne trouble ton eſprit d’vn ſi ſaſcheux diſcours.	Ne trouble ton esprit d'un si sâcheux discours.
Menelaus.	Menelaus.
Las mon eſprit ſe trouble en perdant mes amours,	Las mon esprit se trouble en perdant mes amours,
Agamemnon.	Agamemnon.
Quelles amours Heleine.	Quelles amours Hèleine.
Me.	Me.
Heleine i’ay perdue Heleine que Theſee à ſon frere a rendue:	Hèleine j'ai perdue Hèleine que Thesee à son frère a rendue:
Un cruel eſtranger vn corſaire ſans nom, Au meſpris de ma gloire augmente ſon renom, Et emporte par mer celle qu’il m’a rauie, Et me doune la mort iouyſſant de mavie:	Un cruel étranger un corsaire sans nom, Au mépris de ma gloire augmente son renom, Et emporte par mer celle qu'il m'a ravie, Et me doune la mort jouissant de mavie:
La parole me faut, & non pas le deſir De payer de cent morts un ſi laſche plaiſir.	La parole me faut, et non pas le désir De payer de cent morts un si lâche plaisir.
Agamemnon.	Agamemnon.
Quoy ce braue voleur ſuyuant ceux de ſa race Juit craignant le danger, & ne craint la menaſſe Qui tallonne ſa faute, & le malheureux tour De violer ta ſemme & voler ton amour.	Quoi ce brave voleur suivant ceux de sa race Juit craignant le danger, et ne craint la menace Qui tallonne sa faute, et le malheureux tour De violer ta semme et voler ton amour.
Mais Prince de courage, appaiſe tes complaintes, Oſte tant de douleurs & de pertes empreintes Au milieu de ton ame, vn Roy plein de valeurs, » Ne doit comme vne ſemme eſpandre tant de pleurs » Ains ſorcer ſa nature, & bautain de courage " Supporter du deſtin le malheur & l’orage.	Mais Prince de courage, apaise tes complaintes, Oste tant de douleurs et de pertes empreintes Au milieu de ton âme, un Roi plein de valeurs, " Ne doit comme une semme épandre tant de pleurs " Ins sorcer sa nature, et bautain de courage " Supporter du destin le malheur et l'orage.
Menelaus.	Menelaus.
Larrons Dardaniens race de bringandage Qi n’auez pour valeur que la fraude au courage, Eanemis de nature, & ennemis auſſi De la ſocieté qui aous ſait viure icy courtois & en repos, & non comme les beſtes	Larrons Dardaniens race de bringandage Qi n'avez pour valeur que la fraude au courage, Eanémis de nature, et ennemis aussi De la société qui aous sait vivre ici courtois et en repos, et non comme les bêtes
Foudroyer inbumains nos glaiues ſur nos teſles.	Foudroyer inbumains nos glaiues sur nos témles.
Quoy vous mocquerez -vous Dardaniens de noui Quoy nous volerez-vous, ſaus nous vanger de vous Quoy nous volerez-vous remplis de ſales ſlammes Iuſques dans nos maiſons nos ſilles & nos ſemmes, Demeuraus impunis, & ſans ſentir nos coups Sertz vous pleius d’amour, & no' pleins de courroux Que ſais-tu lupiter grand Seigneur de la ierre, Que te ſert dans le ciel ton ſoudroyant tonnerre, Que te ſert d’eſtre Dieu tout-puiſſant & tout-bon, Si ces voleurs Troyens ſans crainte de ton nom, Et ſans auoir frayeur de l’horreur de ton ire Au deshonneur des Grecs honorent leur Empire, Que dira-l’on de toy?	Quoi vous moquerez -vous Dardaniens de nouvi Quoi nous volez-vous, saus nous venger de vous Quoi nous volez-vous remplis de sales slammes Jusque dans nos maisons nos silles et nos semmes, Demeuraus impunis, et sans sentir nos coups Serts vous pleius d'amour, et n' pleins de courroux Que sais-tu lupiter grand Seigneur de la jerre, Que te sert dans le ciel ton soudroyant tonnerre, Que te sert d'être Dieu tout-puissant et tout-bon, Si ces voleurs Troyens sans crainte de ton nom, Et sans avoir frayeur de l'horreur de ton ire Au déshonneur de Ton honorent des Empire, Que diraon des toi?
que tu es ſans ſoucy Omuuubenurmpdnis, & les ſouſfres ainſi.	que tu es sans souci Omuuubenurmpdnis, et les sousfres ainsi.
Ie ne m’eſtonne pas dequoy le flot eſcume De vos deſloyautez, car c’eſt voſtre couſtume, Je ne m’eſtonne pas dequoy contre raiſon Vous enleuez ainſi les ſilles de maiſon, Et de mes outrageux bautains dans vos Prouinces Vous oſſencez les dieux, & outragez les vrinces.	Je ne m'étonne pas dequoy le flot écume De vos déloyautés, car c'est votre coutume, Je ne m'étonne pas dequoy contre raison Vous enlevez ainsi les silles de maison, Et de mes outrageux bautains dans vos Provinces Vous ossencez les dieux, et outragez les vrinces.
Et toy petit mignon tu as rompu la loy Et rauiſſant H leine, & tu briſes ta foy, Delaiſſant Pegaſis, & contre la nature Volant & violant, tu nous a faict iniure, Et cuides pauure ſot encores ne ſentir Tant tu és incenſe que vaut vn repentir.	Et toi petit mignon tu as rompu la loi Et ravissant H ine, et tu brises ta foi, Daissant Pégasis, et contre la nature Volant et violant, tu nous a fait injure, Et cuides pauvre sot es ne sentir Tant tu es censé que vaut un repentir.
Tu n’as eſte content abuſe de Dione D’abuſer du lict chaſte à la gentille Oenone Deeſſe ſoreſtiere, il te falloit encor Pour monſtrer que tu es de la race d’Hector Calfeutrer des vaiſſeaux, agiter la morine Autant qu’vn ſol deſir agitoit ta poictrine, Surgir au portde Sparte, & d’vn propos mocq	Tu n'as este content abuse de Dione D'abuser du lit chaste à la gentille Oenone Deesse sorestière, il te fallait encor Pour montrer que tu es de la race d'Hector Calfeutrer des vaisseaux, agiter la morine Autant qu'un sol désir agitait ta poictrine, Surgir au portde Sparte, et d' propos moeurs
Diſſimulant ta langue auſſ bien que ton cœur, Miſerable ſeduire vne ſimple ſemelle, Qui uit bien ton viſage, & non pas ta cautelle, Contre le droit humain en terre la voler, Et contre le diuin en mer la violer:	Dissimulant ta langue aussi bien que ton cœur, Misérable séduire une simple semelle, Qui uit bien ton visage, et non pas ta cautelle, Contre le droit humain en terre la voler, Et contre le divin en mer la violer:
Que le Gregeois l’endure affronteur miſerable, Et ne condamne à mort ton erreur puniſſable, Pluſtoſt les cieux brillans ſe plongent dans les eaux, Et la terre pluſtoſt s’allume de flambeaux Quelle valeur as-tu pour garder ton Heltine.	Que le Grègeais l'endure affronteur misérable, Et ne condamne à mort ton erreur punissable, Plutôt les cieux brillants se plongent dans les eaux, Et la terre plutôt s'allume de flambeaux Quelle valeur as-tu pour garder ton Heltine.
Que le vaillant Theſee indontable à la peine A ſes freres rendit, bies qu’il aye donté Le monſtre du Dedale, & la bas aſronté L’effroyable Cerbere, & d’une main ſubite Eſte vainqueur vaincu de la belle Hypolite, Femme braue & guerriere, & ſurmonté Creon, Rompu vcinin, Procuſte, & le brigand Schiron, Auras-tu bien le cœur de deffendre par armes Celle que tu as priſe ê le feint de tes larmes, Tu as trop peu d’audace, & ie iuge à te voir Que tu as de la fraude & non pas du pouuoir.	Que le vaillant Thesee indontable à la peine A ses frères rendit, bies qu'il aie donté Le montre du Dédale, et la bas asronté L'effroyable Cerbère, et d'une main subite Este vainqueur vaincu de la belle Hypolite, Femme brave et guerrière, et surmonté Creon, Rompu vinin, Procuste, et le brigand Sciron, Auras-tu bien le cœur dé fendre par armes Celle que tu as prise ê le feint de tes larmes, Tu as trop peu d'audace, et ie et é té voir Que tu as de la fraude et non pas du pendant.
Ie creue de deſpit, i’ay le ſens plein de rage, I’ay la menaſſe en bouche, & le meurtre au couragt La vengeance en la main, & ie ſens dodans moy Ie ne ſp̧ay quelle borreur vengereſſe de toy.	Je crève dé dépit, j'ai le sens plein de rage, J'ai la menace en bouche, et le meurtre au couragt La vengeance en la main, et quelque sens dodants moi Je ne sais quelle borreur vengeresse de toi.
Affronteur penſes-tu que ta ſolle manie, Que ton audace ſotte ainſi viue impunie?	Affronteur penses-tu que ta solle manie, Que ton audace sotte ainsi vive impunie?
Si tu le croy ie croy que tu es bien trompé Pauure ſot de ne voir mon g’aiue ia trempé Dans ton ſaag impudic, & les troupes Atrides, Rompre, briſer froiſſer les bandes Dardanides:	Si tu le cro ie croy que tu es bien trompé Pauvre sot de ne voir mon g'aive ja trempé Dans ton saag impudic, et les troupes Atrides, Rompre, briser froisser les bandes Dardanides:
Ny le Palladium Troyenne Deïté Contre vlyſſe ne peut defendre ta cité Quelle ne ſoit perduë, & de cent Philoctetes, Si tant y en auoit, les farales ſagettes	Ni le Palladium Troyenne Dé Contre vlysse ne peut défendre ta cité Quelle ne soit perdue, et de cent Philoctetes, Si tant y en avait, les farales sagettes
Ne feront que bien toſt tes murs ne ſoyent ruez Par la fureur Gregeoiſe, & tes peuples tuez, Ny U nus qui de ſeux i’en flamme la poitrine, Qui flitte les Troyens, & cauſe leur ruine, Ne te pourra ſauuer quand les arreſts du ſort Plaindrõt les maux de Troye, & t’aprẽdrõt ta mors, Et qu’aiax ſurieux & de meurtre & de rage Turaineraia ere nu milieu du carnage.	Ne feront que bien tôt tes murs ne soient rués Par la fureur Grégeoise, et tes peuples tuez, Ni V nus qui de seux j'en flamme la poitrine, Qui flitte les Troyens, et cause leur ruine, Ne te pourra sauver quand les arrêts du sort Plaindront les maux de Troie, et t'aprẽdrõt ta mors, Et qu'aix surieux et de meurtre et de rage Turaineraia ère nu milieu du carnage.
Ny la valeur d’Hector ployant ſous le butin Ne te pourra deſendre à l’aſſaut du deſtin Mourant pour ſon pays par la lance d’Acbille, Et mort ſera traine alentour de ſa ville, Bourbeux, ſangeux, hydeux, & non comme il eſtoit Quand luy ſeul au combat nos ſoldars affrontoit.	Ni la valeur d'Hector ployant sous le butin Ne te pourra désendre à l'assaut du destin Mourant pour son pays par la lance d'Acbille, Et mort sera traine alentour de sa ville, Bourbeux, sangeux, hideux, et non comme il était Quand lui seul au combat nos soldars affrontait.
Ny l’image à lupin ſainctement vencrable Qu’embraſſe ardentement ce vieillard miſerable Ce Roy mal-encontreux ne deſtournera pas Qu’apres ſon cher Polyte il ne tombe au treſpas, Par Pyrebe qui conceut iuſtement ſa colere, Lors que par le tallon tu fis mourir ſon pere:	Ni l'image à lupin sainte vencrable Qu'embrasse ardentement ce vieillard misérable Ce Roi mal-encontreux ne détournera pas Qu'après son cher Polyte il ne tombe au trépas, Par Pryrebe qui conçut iustement sa colère, Lors que par le tallon tu fis mourir son père:
Ainſi Roy tu payras la faute de ton fils, Et ton chef patira du mal que lu me fis.	Ainsi Roi tu paieras la faute de ton fils, Et ton chef pâtira du mal que lu me fis.
Menelaus, Agamemnon.	Menelaus, Agamemnon.
Calchas.	Calchas.
Menelaus.	Menelaus.
Nfin donc ie mouray remply de doleance.	Nfin donc tu mourai rempli de doléance.
Enfix par les froyens, les Gregeois ſont honnis, Et ne ſont les Troyens par les Gregeois punis, Roy ſoible de puiſſance, & puiſſant de courage, Arme-toy pour ton ayde & d’horreur & de rage, De ſureur, de terreur, de haines & de feux, Et fais que le ffets reſpondent a les vœux:	Enfix par les froyens, les Grège sont honnis, Et ne sont les Troyens par les Grégeois punis, Roy oible de puissance, et puissant de courage, Arme-toi pour ton aide et d'horreur et de rage, De fureur, de terreur, de haines et de feux, Et fais que le sets répondent à les vœux:
Appelle a iou ſetours les fieres Humenides	Appelle a jou setours les fières Humenides
Que leurs ſoüets, leurs ſerpẽs, leurs ſlabeauxſoiet tes Et t’allument le cœur afin de te vanger De ce brigand Troyen co cruel eſtranger, (guides Qui ta tolly ta ſemme, ainçois qui ta rauie Ta ioye, ton repos, ton eſpoir & ta vie, Outré d’un fiur deſdain pour ton dernier recours, D’vne voix forte & haute appelle a ton ſecours, A ton ayde, a la mort, a ta peine augmentee, Cette Rhamuſienne & Deeſſe Adraſtee, Qui de malheurs ſecrets & de glaiues trancbans, Punit ſans pardonner les actes des meſchans:	Que leurs soüets, leurs serpense, leurs slabeauxsoie tesRe t'allument le cœur afin de te venger De ce brigand Troyen co cruel étranger, (guides Qui ta tolly ta semme, ainçois qui ta ravie Ta joie, ton repos, ton espoir et ta vie, Outré d'un fiur dédain pour ton dernier recours, D'une voix forte et haute appelle a ton secours, A ton ide, à la mort, à ta peine augmente, Cette Rhamusienne et De Adrastee, Qui de malheurs secrets et de glaiues trancbans, Punit sans pardonner les actes des m:
Mais comment pauure Prince eſperdu de miſere, Denſes-tu penetrer de ton humble priere Le centre de la terre, & la voix faire entrer Ou cent coups de belier ne pourroyent penetrer.	Mais comment pauvre Prince éperdu de misère, Denses-tu pénétrer de ton humble prière Le centre de la terre, et la voix faire entrer Ou cent coups de bélier ne pourraient pénétrer.
Qui cuides-tu encores eſmouuoir la poictrine De teſte inexorable & ſourde Proſerpine, Et tirer à pitié, où ſon mary Pluton:	Qui cuides-tu encore émouvoir la poitrine De tête inexorable et sourde Proserpine, Et tirer à pitié, où son mari Pluton:
Ou ces legers Eſprits boſtes de Eblegethon:	Ou ces légers Esprits bôtes de Eblegethon:
Quand le ſils de la Muſe eſplore de ſa ſemme Ne peut preſque flechir les rochers de leur ame?	Quand le sils de la Muse éploré de sa semme Ne peut presque fléchir les rochers de leur âme?
