Le tout enrichy de pluſieurs belles remarques, mumunerans;	Le tout enrichi de plusieurs belles remarques, mumunérants;
En ceſt equipage, ce ſeruiteur partit de Cephalonie, & s’eſtant mis ſur mer s’en alla ſurgit à vn port de la Marée, où il prit terre & tira droict à Corinthe, qu’il choiſit pour le lieu de ſa demeure.	En cet équipage, ce serviteur partit de Céphalonie, et s'étant mis sur mer s'en alla surgit à un port de la Marée, où il prit terre et tira droit à Corinthe, qu'il choisit pour le lieu de sa demeure.
Il fut de ſeiour en ceſte ville dix ans entiers au bout deſquels il en partit auec deſſain de s’en aller dans Athenes pour m’y faire inſtruire aux bonnes lettres, auſquelles i’ay eu de tout temps quelque inclination:	Il fut de séjour en cette ville dix ans entiers au bout desquels il en partit toujours dessain de s'en aller dans Athènes pour m'y faire instruire aux bonnes lettres, auxquelles j'ai eu de tout temps quelque inclination:
Ceſte ville luy ſembla plus propre que toute autre, tant pour ſa belle ſituation, qui eſt en la Grece, tout contre la Marée, quepour l’ancienne profeſſion qu’on y fait d’iſtruire la ieuneſſe à la vertu.	Cette ville avait sembla plus propre que toute autre, tant pour sa belle situation, qui est en la Grèce, tout contre la Marée, quepour l'ancienne profession qu'on y fait d'istruire la jeunesse à la vertu.
Il y fut de ſeiour enuiton neuf ans, & y mourut en fin à mon grand regret.	Il y fut de séjour enuiton neuf ans, et y mourut en fin à mon grand regret.
De ſorte que me voyant tout ſeul ie pris ce peu de commodité, qui nous y reſtoit, & me mis à voyager en diuers païs ou i’ay tant couru de fortunes que de peur de vous eſtre ennuyeux en les recitant ie les paſſeray ſoubs ſilence:	De sorte que me voyant tout seul nom pris ce peu de commodité, qui nous y restait, et me mis à voyager en divers pays ou j'ai tant couru de fortunes que de peur de vous être ennuyeux en les récitant avoir les passerai sous silence:
mais en fin comme le malheur ſe laſſe de la diſgrace des miſerables, les Dieux me rendirent dans ceſt heureux païs de Cypre, où ieuz le bonheur de vous voir vn an apres que i’y fus arriué.	mais en fin comme le malheur se lasse de la disgrâce des misérables, les Dieux me rendirent dans cet heureux pays de Cypre, où jeuz le bonheur de vous voir un an après que j'y fus arrivé.
Voilà, ma Deeſſe la veritable hiſtoire de ma condition, puis qu’il vous à pleu d’en ouyr le reçit.	Voilà, ma Déesse la véritable histoire de ma condition, puis qu'il vous a plu d'en ouïr le reçit.
L’OR.	L'OR.
I'en ay ſouſpiré trois ou quatre fois Pyrandre, & le diſcours m’en a ſemblé ſi deſplorable que ie ſuis encore fachée contre la fortune, de ce qu’elle vous a ſi fort trauaillé.	J'en ai soupiré trois ou quatre fois Pyrandre, et le discours m'en a semblé si déplorable que je suis encore fâchée contre la fortune, de ce qu'elle vous a si fort travaillé.
Toutesfois elle ne vous a pas ſi mal traicté que vous diriez bien, vous donnant au lieu des biens temporels ceux de l’eſprit & du corps qui ſont preferables à tous les autres.	Toutefois elle ne vous a pas si mal traité que vous diriez bien, vous donnant au lieu des biens temporels ceux de l'esprit et du corps qui sont préférables à tous les autres.
Conſolez vous donc & viuez contant, vous aſſeurãt que vous n’aurez iamais faute d’autune choſe qui ſoit en mon pouuoir, tant que vous demeurerez en ceſte contrée du Mont Olympe qui releue de moy.	Consolez vous donc et vivez contant, vous assurant que vous n'aurez jamais faute d'autune chose qui soit en mon pouvoir, tant que vous demeurerez en cette contrée du Mont Olympe qui relève de moi.
Cependant ie prends congé de vous:	Cependant quelque attends congé de vous:
car il s’en va tard.	car il s'en va tard.
PIRAN.	PIRAN.
Les Dieux vous maintiennent en proſperité ma Deeſſe, & vous comblent de toute ſorte de biẽs, pour recompenſe de ceux qu’il vous plaiſt de m’omir, Ians les auoir iamais meritez.	Les Dieux vous maintiennent en prospérité ma Déesse, et vous comblent de toute sorte de biens, pour récompense de ceux qu'il vous plaît de m'omir, Jans les avoir jamais méritez.
L’OR.	L'OR.
A Dleu Pyrandre.	À Dleu Pyrandre.
PIRAN.	PIRAN.
A Dieu belle Deeſſe de qui i'honoreray la memone, tant qu’irme reitera querque ſouffle vigueur dans le corps.	À Dieu belle Déesse de qui j'honorerai la mémone, tant qu'irme réitéra querque souffle vigueur dans le corps.
L’OR.	L'OR.
Alons nous en Cleanthe, ie croy que vous dormez:	Alons nous en Cléanthe, on crois que vous dormez:
Qu’auez-vous d’eſtre ſi penſiue?	Qu'avez-vous d'être si pensive?
CLEAN.	CLÉAN.
C’eſt que ie penſe encore à l’hiſtoire que ce Berger vous a recitée qui me repreſente ſa fortune, comme quelque ſonge.	C'est que personne pense encore à l'histoire que ce Berger vous a récitée qui me représente sa fortune, comme quelque songe.
L’OR.	L'OR.
Vous auez raiſon de parler ainſi:	Vous avez raison de parler ainsi:
Car en effect la reuolution des choſes du mõde n’eſt qu’vn vray ſonge, qui durant le court ſomme de ceſte vie nous peint touſiours le naturel pourtrait de la mort.	Car en effet la révolution des choses du monde n'est qu'un vrai songe, qui durant le court somme de cette vie nous peint toujours le naturel pourtrait de la mort.
SCENE II.	SCÈNE II.
DEMONACE ET MOROSOPHE.	DEMONACE ET MOROSOPHÉ.
DEMONACE.	DEMONACE.
On amour, cõme vn feu qui s’accroiſt M par la violence des vents, s’eſt tellement ralumé dans l’interieur de mes ſens depuis qu’à la derniere veuë que i’euz de l’Oreade le loiſir, & ſa courtoiſie me permirent del’entretenir de diſcours, que ie ne ſçay plus à quel autre Demon me vouër pour obtenir de luy la iouïſſance de ſa beauté.	On amour, comme sa feu qui s'accroît MAÎTRE par la violence des vents, s'est tellement ralumé dans l'intérieur de mes sens depuis qu'à la dernière vue que j'eus de l'Oreade le loisir, et sa courtoisie me permirent dél'entretenir de discours, que je ne sais plus à quel autre Démon me vouer pour obtenir de lui a jouissance de sa beauté.
Toutesfois ie ne penſe pas qu’elle ſoit ſi difficile à gaigner que ie me figurois n’agueres, auant que ie l’euſſe communiquée.	Toutefois grande ne pense pas qu'elle soit si difficile à gagner que personne me figurais n'aguères, avant que assez l'eusse communiquée.
Ce qui m’oblige à ceſte creance eſt que d’abord elle ma faict vne fort bonne reception, ſans m’auoir iamais veu, ny meſme ouy parler de moy:	Ce qui m'oblige à cette créance est que d'abord elle ma fait une fort bonne réception, sans m'avoir jamais vu, ni Seigneur ouï parler de moi:
tellemẽt que ie ne doute plus qu’auec le temps elle ne m’aime.	tellement que Dieu ne doute plus qu'avec le temps elle ne m'aime.
Puis, mon merite & mes diſcours ont eu deſia tant de pouuoir ſur ſa libre volonté, qu’elle m’a promis de la bienveuillance, d’où ie tire vn preſage d’vn grand heur à l’aduenir.	Puis, mon mérite et mes discours ont eu déjà tant de pouvoir sur sa libre volonté, qu'elle m'a promis de la bienvillance, d'où ie tire un présage d'un grand heur à l'avenir.
Car tout ainſi que I’eſclair deuance la foudre;	Car tout ainsi que J'éclair devance la foudre;
de meſme la bien veuillance precede l’amour.	de même la bien veuillance précède l'amour.
Et certes ie recognois bien maintenãt que mon valet Moroſophe, n’eſt pas vn ignorant, attendu qu’il m’auoit bien touſiours aduiſéd’eſperer, & de ne perdre point courage, auant que i’euſſe ouy parler l’Oreade, & comme en effect ſon opinion eſt reüſſie ſelon qu’il l’auoit predict.	Et certes esprit reconnais bien maintenant que mon valet Morosophe, n'est pas un ignorant, attendu qu'il m'avait bien toujours aduiséd’espérer, et de ne perdre point courage, avant que j'eusse ouï parler l'Oreade, et comme en effet son opinion est réussie selon qu'il l'avait prédict.
C’eſt pourquoy i’ay reſolu de n’entreprendre rien deſormais, ſans en auoir parauant vn aduis de luy:	C'est pourquoi j'ai résolu de n'entreprendre rien désormais, sans en avoir paravant un avis de Seigneur:
Mais le voicy reuenir d’où ie l’auois enuoyé pour s’enqueſtet des moyens propres à ſoubmettre aux loix do rauibut cenle douce ennemie de mon repos.	Mais le voici revenir d'où je l'avais envoyé pour s'enquestet des moyens propres à soumettre aux lois do ribut cenle douce ennemie de mon repos.
Tu ſois le bien venu Moroſophe:	Tu sois le bien venu Morosophe:
Quel bon rapport me viens-tu faire de la belle Oe reade?	Quel bon rapport me viens-tu faire de la belle Œe refade?
La verray-je bien toſt?	La verrai-je bien tôt?
MOR.	MÓR.
Non pas encore, ſelon que ie le puis iuger par les coniectures.	Non pas encore, selon que ici le puis juger par les conjetures.
DEM.	DEM.
routduoy aone :	routduoy aone :
MOR.	MÓR.
Par ce qu’elle ne ſortira point d’auioutd’huy:	Par ce qu'elle ne sortira point d'aujoutd'hui:
ce n’eſt pas pourtãt que les crottes l’e empeſchent, ains d’autant qu’elle eit taſſe.	ce n'est pas pourtant que les crottes l'e empêchent, ains d'autant qu'elle eit tasse.
DEM.	DEM.
D'où vient ceſte laſſitude?	D'où vient cette lassitude?
I	I
MOR Qu’en ſçay-je, poſſible d’auoir diſcouru trop long temps auec vous.	MÓR Qu'en sais-je, possible d'avoir discouru trop long temps après vous.
Ie ſuis bien certain, neantmoins que demain elle s’ira pourmenet le long de la riuiere Lazere.	Je suis bien certain, néanmoins que demain elle s'ira pourmenet le long de la rivière Lazère.
d E d.	d E d.
Qui te l’a dict, Moroſophe?	Qui te l'a dit, Morosophe?
MOR.	MÓR.
Vne de tes Nymphes que i’ay ſurpriſe deuiſant auec vn Berger, & d’abord qu’elle la quitté, ie l’ay accoſter le plus amoureuſemẽt queruy peu, pour ſçauoir où eſtoit l’Oreade, & ſi vous pourriés auoir l’honneur de la volle	Une de tes Nymphes que j'ai surprise devisant avec un Berger, et d'abord qu'elle la quitté, votre l'ai accoster le plus amoureusement quer vi, pour savoir où était l'Oreade, et si vous pourriez avoir l'honneur de la volle
DEM.	DEM.
Laquelle de ces Nymphes as-tu rencõtree?	Laquelle de ces Nymphes as-tu rencõtree?
MOR.	MÓR.
La plus ieune, mon Maiſtre:	La plus jeune, mon Maître:
c’eſt Philoce ſi ie ne me trompe:	c'est Philoce si ici ne me trompe:
car ce Berger l’a nommee ainſi, à ſon depart d’auec elle.	car ce Berger l'a nommée ainsi, à son départ d'avec elle.
DEM.	DEM.
Ie ſuis mort, Moroſophe, ſi les Dieux me font viure plus long temps ſans voir l’Oreade.	Je suis mort, Morosophe, si les Dieux me font vivre plus long temps sans voir l'Oreade.
MOR.	MÓR.
Ie vous conſeille donc de depeſcher quelque courrier deuers eux, pour leur faire dire qu’ils auancent vn peu l’horloge du Soleil, afin qu’il en ſoit pluſtoſt nuict:	Je vous conseille donc de dépêcher quelque courrier devers eux, pour leur faire dire qu'ils avancent un peu l'horloge du Soleil, afin qu'il en soit plutôt nuit:
puis que le terme vous ſemble ſi long iuſqu’à demain.	puis que le terme vous semble si long jusqu'à demain.
DEM.	DEM.
Ah!	Ah!
Moroſophe, ſi l’amour te commandoit auſſi fort qu’à moy, tu m’aduouërois biẽ toſt que les m'oindres moments qui priuent les amoureux de la veuë de leurs maiſtreſſes, Ieur ſemblẽt plus longs que ne ſont les iours du Tropique d’Eſté.	Morosophe, si 'amour te commandait aussi fort qu'à moi, tu m'avouerais biens tost que les moindrez moments qui privent les amoureux de la vue de leurs maîtresses, Jeur semblent plus longs que ne sont les jours du Tropique d'Été.
MOR.	MÓR.
Ie croy que vous eſtes engendré de quelque Geant plus haut qu’vne perche, puis que toutes choſes vous ſemblẽt ſi longues:	Je crois que vous êtes engendré de quelque Géant plus haut qu'une perche, puis que toutes choses vous semblent si longues:
mais pour moy ie n’en ſuis pas de meſme:	mais pour moi ici n'en suis pas de même:
car bien que i’ayme beaucoup ceſte Nymphelette de l’Oreade à qui i’ay tanroſt parlé, la paſſion mement puiigrande pourtant, qu’elle m’oblige à faire la ſentinelle, & paſſer les nuicts ſans dormir.	car bien que j'aime beaucoup cette Nymphelette de l'Oreade à qui j'ai tanrôt parlé, la passion mement puiigrande pourtant, qu'elle m'oblige à faire la sentinelle, et passer les nuits sans dormir.
DEM.	DEM.
Tu n’en es doncques pas ſi amoureux que tu dis:	Tu n'en es doncques pas si amoureux que tu dis:
car quicõque ayme bien, il a touſiours ſes penſees attachees ſur la choſe aimée.	car quiconque aime bien, il a toujours ses pensées attachées sur la chose aimée.
Or eſt-il que la penſee eſtant inſeparable de noſtre ame, elle ne ceſſe d’eſtre en vn perpetuel mouuement pour la ſuiure, lequel mouuement, comme continuel qu’il eſt la priue de tout repos.	Or est-il que la pensée étant inséparable de notre âme, elle ne cesse d'être en un perpétuel mouvement pour la suivre, lequel mouvement, comme continuel qu'il est la prive de tout repos.
Par ainſi, puis que la perſonne qui aime eſt touſiours en trauail, ie concluds parlà que tu n’aimes point, d’autant que ceſte paſſion ne trouble aucunemẽt ton repos.	Par ainsi, puis que la personne qui aime est toujours en travail, tu concluds parlà que tu n'aimes point, d'autant que cette passion ne trouble aucunément ton repos.
MOR.	MÓR.
Si vous le prennés par là, ie n’ay que faire d’aimerperſonne que moy-meſme:	Si vous le prennez par là, je n'ai que faire d'aimerpersonne que moi-même:
car ſi ie ne preferois mon repos à toute autre choſe, ie voudrois du mal à ma propre perſonne.	car si ici ne préferais mon repos à toute autre chose, tu voudrais du mal à ma propre personne.
Or quiconque eſt ennemy de ſoy-meſme, peut il bien aimer autruy?	Or quiconque est ennemi de soi-même, peut il bien aimer autrui?
Pour moy ie penſe que non.	Pour moi ici pense que non.
DEM.	DEM.
Tu ne ſçais ce que tu veux dire:	Tu ne sais ce que tu veux dire:
car ſi tu le ſçauois bien, il ne t’aduiendroit iamais de parler ainſi.	car si tu le savais bien, il ne t'aduiendroit jamais de parler ainsi.
MOR.	MÓR.
Ie ne ſuis pas yure pourtant, & vous dy derechef que ie prefere mon repos à celuy d’autruy.	Je ne suis pas ivre pourtant, et vous dis derechef que ici préfère mon repos à celui d'autrui.
DEM.	DEM.
ja ie m’en vay tout maintenant te conuaincre de menſonge.	ja ici m'en vais tout maintenant te convaincre de mensonge.
Dy moy, Moroſophe, qu’eſt-ce qu’eſtre en repos?	Dis -moi, Morosophe, qu'est-ce qu'être en repos?
MOR.	MÓR.
C’eſt viure bien à ſon aiſe, dormir, boire, manger, eſtre ſain, auoir beaucoup de richeſſes, & point de ſoucy.	C'est vivre bien à son aise, dormir, boire, manger, être sa, voir beaucoup de richesses, et point de souci.
DEM.	DEM.
Cela cepourroit il biẽ faire qu’ayãt tous les aiſes du monde, tu veſcuſſes neantmoins ſans ſoucy?	Cela cepourrait -il bien faire qu'ayant tous les aises du monde, tu vécusses néanmoins sans souci?
ie penſe que non, & ſi tu me diſons le contraire ie te dementirois, te repreſentant le ſoing continuel que tu prends de m’aider en mon Amour.	Il pense que non, et si tu me disons le contraire ici te démentirais, te représentant le soin continuel que tu prends de m'aider en mon Amour.
Or s’il eſt ainſi que ce ſoing te donne du trauail, voy maintenãt ſi tu preferes ton repos à celuy, d’autruy comme tu diſois tantoſt.	Or s'il est ainsi que ce soing te donne du travail, vois maintenant si tu préfères ton repos à celui, d'autrui comme tu disais tantôt.
MOR.	MÓR.
Ce que ie fay pour vous, mon maiſtre, ie ne le ferois pas pour vn autre;	Ce que ici fais pour vous, mon maître, on ne le ferais pas pour un autre;
car l’affection que ie vous porte m’oblige à priſer plus voſtre contentement que mon propre repos.	car l'affection que je vous porte m'oblige à priser plus votre contentement que mon propre repos.
DEM, A ce compte tu m’aymes done mieux que ta maiſtreſſe ny que toy meſme.	DEM, A ce compte tu m'aimes don mieux que ta maîtresse personne que toi belle.
MOR.	MÓR.
Il ne faut pas que vous en doutiez.	Il ne faut pas que vous en doutiez.
DEM.	DEM.
Mais ſi ta maiſtreſſe ſçauoit cela que diroit elle, penſes tu que ce tien diſcours ne la detournaſt de t’aimer?	Mais si ta maîtresse savait cela que dirait -elle, penses tu que ce tien discours ne la détournât de t'aimer?
MOR.	MÓR.
Ouy, ſi vous l’en alliez aduertir.	Oui, si vous l'en alliez avertir.
Mais ie scay dien que vous ulmienmreun auoirbeu toute la mer Heritrée, que d’en auoir ouuert la bouche, encor moins vôtre trou du Nort.	Mais ici sais dien que vous ulmienreun avoirbu toute la mer Heritrée, que d'en avoir ouvert la bouche, encor moins votre trou du Nort.
DEM.	DEM.
Il ne faut pas que tu craignes que i’en parle faiais:	Il ne faut pas que tu craignes que j'en parle saignais:
be que i’en dis c’eſt pour te monſtrer ſeulement que procedant de la ſorte en cette macrere, eu teruo vn granu cert à ta maiſtreſſe.	be que j'en dis c'est pour te montrer seulement que procédant de la sorte en cette macre, eu tervo un granu cert à ta maîtresse.
MOR.	MÓR.
Comment cela, mon maiſtre?	Comment cela, mon maître?
DEM.	DEM.
Parce que luy faiſant croire que tu l’aimes, irne le peut que tu ne la trompes, or toute tromperie n’eſt elle pas offence?	Parce que lui faisant croire que tu l'aimes, irne le peut que tu ne la trompes, or toute tromperie n'est elle pas offense?
MOR.	MÓR.
Il eſt vray, mon maiſtre, mais c’eſt à voſtre deſaduantage que vous parlez ainſi.	Il est vrai, mon maître, mais c'est à votre désavantage que vous parlez ainsi.
DEM.	DEM.
Comment donc, Moroſophe?	Comment donc, Morosophe?
MOR.	MÓR.
D’autant que ſi ceſte opinion a lieu vous eſtes le plus grand trõpeur du monde, ayant faict accroire à toutes vos maiſtreſſes que vous les aimiez.	D'autant que si cette opinion a lieu vous êtes le plus grand trépeur du monde, ayant fait accroire à toutes vos maîtresses que vous les aimiez.
Car vous ne me ſçauriez niet d’en auoir eu pluſieurs.	Car vous ne me sauriez ni d'en avoir eu plusieurs.
DEM.	DEM.
Ie ſerois bien faſché ſi ie ne les auois aymées, & ii'ma conſtance dementoit maintenant ma premiere affection.	Je serais bien fâché si ici ne les avais aimées, et ji'ma constance démentait maintenant ma première affection.
MOR.	MÓR.
Pourquoy les auez-vous donc quittez, ſans auoir l’eſprit d’apprendre de moy comme d’vn grand Philoſophe en amour, que ce que l’on aime bien on ne le quitte iamais?	Pourquoi les avez-vous donc quittez, sans avoir l'esprit d'apprendre de moi comme d'un grand Philosophe en amour, que ce que l'on aime bien on ne le quitte jamais?
DEM.	DEM.
Te voy la bien ignorant toy meſme de ne voir point que ceſte maxime eſt fauſſe;	Te vois la bien ignorant toi -même de ne voir point que cette maxime est fausse;
& qu’vn homme qui poſſede beaucoup de richeſſes, leſquelles il ayme paſſionnement, ne laiſſe pas de les quitter quelque fois pour en aller acquerir d’autres aux pays eſtrãgers, aln d'eauoir touſſours de nouuellespour ſup pleer aux attaques de la fortune, car la guerre n’eſt iamais ſi grande qu’il n’eſchappe vn ſoldat.	et qu'un homme qui possède beaucoup de richesses, lesquelles il aime passionnément, ne laisse pas de les quitter quelque fois pour en aller acquérir d'autres aux pays étrangers, aln d'avoir toussours de nouvellespour svp pleer aux attaques de la fortune, car la guerre n'est jamais si grande qu'il n'échappe un soldat.
MOR.	MÓR.
Vous me faites des comptes à dormir de bout, cõme ſi ie ne ſçauois pas bien la grande inégaiité des richeſſes & de l’Amour.	Vous me faites des comptes à dormir de bout, comme si je ne savais pas bien la grande inégaiité des richesses et de l'Amour.
DEM.	DEM.
La comparaiſon n’en eſt pas mauuaiſe pourtant, ie m’en vay te dire comment.	La comparaison n'en est pas mauvaise pourtant, Elle m'en vais te dire comment.
Si n’ayant qu’vne maiſtreſſe il aduenoit que la mort m'en priuaſt, ſeroit il temps d’en cercher vn autre quand ie n’en aurois plus?	Si n'ayant qu'une maîtresse il aduenoit que la mort m'en privât, serait -il temps d'en cercher un autre quand je n'en aurais plus?
Nõ, non Moroſophe, ſçache qu’il faut auoir la prudence de ſe pouruoir des choſes neceſſaires, auant que nous en ayons beſoin.	Notre, non Morosophe, sache qu'il faut avoir la prudence de se pourvoir des choses nécessaires, avant que nous en ayons besoin.
Autrement il nous aduient comme à ceux, qui ſe voyant beaucoup de viures & prouiſions à commendement, en vſent iuſqu’à l’extremité ſans penſer d’en amaſſer d’autres.	Autrement il nous advient comme à ceux, qui se voyant beaucoup de vivres et provisions à commendement, en usent jusqu'à l'extrémité sans penser d'en amasser d'autres.
Auſſi le ſalaire de leur pareſſe eſt la faim qui leur repreſente ſur le tard le regret ioint au repentir.	Aussi le salaire de leur paresse est la faim qui leur représente sur le tard le regret joint au repentir.
I’vſe de cette comparaiſon pour te montrer, que ie veille ſans ceſſe à l’acquiſition de nouuelles maiſtreſſes, affin que n’la mort en lurprend vne il m'en reſte touſiours vne autre pour luy teſmoigher mon Amour.	I’ maîtresse de cette comparaison pour te montrer, que ie veille sans cesse à l'acquisition de nouvelles maîtresses, afin que n'la mort en lurprend une il m'en reste toujours une autre pour lui témoigher mon Amour.
MOR.	MÓR.
Vous eſtes bon meſnager à ce que ie voy, vſant des maiſtreſſes comme des fagots que l’on compte à douzaines.	Vous êtes bon ménager à ce que je vois, usant des maîtresses comme des fagots que l'on compte à douzaines.
Mais, ne vous de plaiſe, mon maiſtre, il me ſemble auoir ouy dire autres-fois que l’Amour eſt indiuiſible.	Mais, ne vous de plaise, mon maître, il me semble avoir ouï dire autrefois que l'Amour est indivisible.
Que s’il l’eſt comment le pouuez vous diuiſer, en aymant pluſieurs obiects enſemble?	Que s'il l'est comment le pouvez vous diviser, en aimant plusieurs objets ensemble?
DEM.	DEM.
Aye patience, Moroſophe, & m’eſcoute ſeulement.	Aye patience, Morosophe, et m'écoute seulement.
Car ie m’en Vay t’apprendre vn ſecret qui n’eſt connu que de bien peu de perſonnes.	Car ie m'en Vais -t-apprendre un secret qui n'est connu que de bien peu de personnes.
C’eſt que l’Amour eſt ſemblable au Soleil, lequel illumine vn nombre infini de corps, ſelon la capacité d’vn chacun, ſans que neantmoins il diuiſe aucunement ſa lumiere.	C'est que l'Amour est semblable au Soleil, lequel illumine un nombre infini de corps, selon la capacité d'un chacun, sans que néanmoins il divise aucunement sa lumière.
MOR.	MÓR.
Vrayement vous m’auez deſcouuert vn ſecret qui me ſemble fort beau, & duquel ie n’auois ouy parler.	Vraiment vous m'avez découvert un secret qui me semble fort beau, et duquel ici n'avais ouï parler.
Et certes puis qu’en qualité de voſtre diſciple il vous a pleu me releuer d’vne infinité de doutes;	Et certes puis qu'en qualité de votre disciple il vous a plu me relever d'une infinité de doutes;
il m’en reſte encore vne de laquelle ie vous prie m’eſclaircir.	il m'en reste encore une de laquelle je vous prie m'éclaircir.
DEM.	DEM.
Quelle Moroſophe?	Quelle Morosophe?
MOR.	MÓR.
C’eſt que ie ne puis encore bien croire qu’il n’y ait quelque difference entre l’Amour que l’on porte aux femmes & aux richeſſes.	C'est que personne ne puis encore bien croire qu'il n'y ait quelque différence entre l'Amour que l'on porte aux femmes et aux richesses.
Car l’or, l’argent, & telles autres poſſeſſions de fortune ſont irraiſonnables & inſenſibles:	Car l'or, l'argent, et telles autres possessions de fortune sont irraisonnables et insensibles:
mais les femmes, non;	mais les femmes, non;
ſi bien que s'auullails vne fois d’eſtre pluſieurs aymees d’vn ſeul Amant, il eſt hors de doute qu’elles en ſeront fort ialouſes, chacune le voulant poſſeder pour ſoy.	si bien que s'auvllails une fois d'être plusieurs aimées d'un seul Amant, il est hors de doute qu'elles en seront fort jalouses, chacune le voulant posséder pour soi.
DEM.	DEM.
La ialouſie des filles eſtpourtant vn teſmoignage du peu d’amour qu’elles portẽt à leur Amant.	La jalousie des filles estpourtant un témoignage du peu d'amour qu'elles portent à leur Amant.
Car quiconque aime vne perſonne illluy deſire vn accroiſſement de bien, le quel aduient à l’Amant quand il a beaucoup de maiſtreſſes, d’où il s’enſuit que celles qui aiment bien leur Amant ne doiuent non plus auoir de ialouſie les vnes des autres que les ſeruiteurs d’vn Prince pour ſe voir pluſieurs au feruice de leur Seigneur.	Car quiconque aime assez personne illlui désire un accroissement de bien, le quel advient à l'Amant quand il a beaucoup de maîtresses, d'où il s'ensuit que celles qui aiment bien leur Amant ne doivent non plus avoir de jalousie les unes des autres que les serviteurs d'un Prince pour se voir plusieurs au fériée de leur Seigneur.
MOR.	MÓR.
Vous ſerez bon orateur ſi vous leur pers ſuadez ce que vous dittes.	Vous serez bon orateur si vous leur pers adez ce que vous dites.
Car lors que cette paſſion les poſſede, elles ſont plus hors de lieux ſans que les baccanalles pretreſſe du Dieu Bachus, & l’eur nature approche plupluſtoit de celuy des beites que des Créatures capables de raiſon.	Car lors que cette passion les possède, elles sont plus hors de lieux sans que les baccanales prêtresse du Dieu Bachus, et l'eur nature approche pluplustoit de celui des béites que des Créatures capables de raison.
DEM.	DEM.
Tes preuues ne ſont pas mauuaiſes, & voyla pourquoy i’ay touſiours eſtimé, que pour vn parfait allegement de la vie, il ſeſeroit bon d’occire ce monſtre, & de bannir cette rage des Ames raiſonnables, comme I’on a faict de pluſieurs, leſquelles ne ceſſoient de les trauailler- Et pour moy ie puis bien dire à ce propos qu’en voyageant par Ie monde i’ay veu diuers peuples aſſez bien poliſſez, & entr’autres les Meſſagattes, leſquels ne ſelaiſſẽt iamais infecter à ceſte peſte delouſie;	Tes preuves ne sont pas mauvaises, et voilà pourquoi j'ai toujours estimé, que pour un parfait allégement de la vie, il seseroit bon d'occire ce monstre, et de bannir cette rage des Âmes raisonnables, comme J'on a fait de plusieurs, lesquelles ne cessaient de les travailler- Ai pour jours puis bien dire à ce propos qu'en voyage par Je monde j'ai vu divers peuples assez bien polissez, et entrautres les Monstre, lesquels cette selaissẽt iamais infecter à cette peste délousie;
ſi bien que l’on voit chaſque homme auoir autant de femmes que bon luy ſemble & ce que ie treuue admirable c’eſt que ces femmes viuent paiſiblement enſemble?	si bien que l'on voit chasque homme avoir autant de femmes que bon lui semble et ce que toujours trouve admirable c'est que ces femmes vivent paisiblement ensemble?
exemptes de cette paſſion;	exemptes de cette passion;
ce qui monſtre bien par experience qu’en toutes choſes Ie ſeul vſage cauſe les habitudes.	ce qui montre bien par expérience qu'en toutes choses Je seul usage cause les habitudes.
Par exemple, ſi l'on ne permettoit point aux hommes s’ennyurer deux, où trois fois il ne faut pas douter que iamais ils n’acquerroient ceſte mauuaiſe habitude d’yurongnes.	Par exemple, si l'on ne permettait point aux hommes s'ennivrer deux, où trois fois il ne faut pas douter que jamais ils n'acquerraient cette mauvaise habitude d'yurongnes.
De meſme en pouuons nous dire de la ialouſie des femmes, qui n’auroit point de lieu dans leur cerueau, ſi l’on leur enbouchoit l’eutree vne fois.	De même en pouvons nous dire de la jalousie des femmes, qui n'aurait point de lieu dans leur cerveau, si l'on leur enbouchait l'eutree une fois.
Mais c’eſt en vain que ie m’entretiens ſi long temps ſur cette matiere.	Mais c'est en vain que ici m'entretiens si long temps sur cette matière.
Il vaut mieux que i’employe ce peu de loiſir qui me reſte, à me repoſer pour reprendre vn peu mes eſprits affin d’eſtre de plus belle humeur, quand les Dieux me fauoriſeront des celeſtes regards de laNimphe Oreade.	Il vaut mieux que j'emploie ce peu de loisir qui me reste, à me reposer pour reprendre un peu mes esprits affin d'être de plus belle humeur, quand les Dieux me favoriseront des célestes regards de laNimphe Oreade.
Qu’en dis-tu Moroſophe?	Qu'en dis-tu Morosophe?
MOR.	MÓR.
Toutes vos parolles me ſemblent vrayes pourueu que vous ne mentiez.	Toutes vos paroles me semblent vraies pourvu que vous ne mentiez.
Au reſte ie nay pas moins d’enuie que vous de m’en aller cercher le repos, car ie vous iure que vos comptes m’ont bien laſſé.	Au reste ici né pas moins d'envie que vous de m'en aller ce le repos, car ie vous jure que vos comptes m'ont bien lassé.
Puis, comme ie vous ay deſià dit, mon affection à l’endroit de Philodice eſt pour le moins auſſi grande que la voſtre enuers la belle Oreade, tellement qu’i s’en faut bien peu que nous ne ſoyons eſgaux nous deux en vos aduantures amoureuſes.	Puis, comme je vous ai déjà dit, mon affection à l'endroit de Philodice est pour le moins aussi grande que la vôtre envers la belle Oreade, tellement qu'y s'en faut bien peu que nous ne soyons égaux nous deux en vos aventures amoureuses.
