AVEC PRIVILEGE DU ROY.	AVEC PRIVILÈGE DU ROY.
Paix, coquin que vous eſtes, vous ne ſçavez ce que vous dites, & Monſieur ſçait ce qu’il fait, allons.	Paix, coquin que vous êtes, vous ne savez ce que vous dites, et Monsieur sait ce qu'il fait, allons.
D.	D.
JUAN appercevant Charlotte.	JUAN apercevant Charlotte.
Ah, ah, d’où ſort cette autre Payſane, Sganarelle?	Ah, ah, d'où sort cette autre Paysane, Séganarelle?
as-tu rien veu de plus joly, & ne trouves-tu pas, dy-moy, que celle-cy vaut bien l’autre?	as-tu rien vu de plus joli, et ne trouves-tu pas, dis-moi, que celle-cy vaut bien l'autre?
SGANARELLE.	SGANARELLE.
Aſſurément.	Assurément.
Autre piece nouvelle.	Autre pièce nouvelle.
D.	D.
JUAN.	JUAN.
D’où me vient, la Belle, une rencontre ſi agreable?	D'où me vient, la Belle, une rencontre si agréable?
quoy, dans ces lieux champeſtres, parmy ces arpres de ces foeners, on trouye des perſonnes faites comme vous eſtes?	quoi, dans ces lieux champêtres, parmi ces arpres de ces foeners, on trouie des personnes faites comme vous êtes?
CHARLOTE.	CHARLOTE.
Vous voyez, Monſieur.	Vous voyez, Monsieur.
D.	D.
JUAN.	JUAN.
Eſtes-vous de ce Village?	Êtes-vous de ce Village?
CHARLOTE.	CHARLOTE.
euj, fleiineur	euj, fléjineur
D.	D.
JUAN.	JUAN.
Et vous y demeurez?	Et vous y demeurez?
CHARLOTE.	CHARLOTE.
Oüy, Monſieur.	Oui, Monsieur.
D.	D.
JUAN.	JUAN.
Vous vous appellez ?	Vous vous appelez ?
CHARLOTE.	CHARLOTE.
ehanote, poul voa, leivil.	Ehanote, poul voa, leivil.
D.	D.
JUAN.	JUAN.
Ah!	Ah!
la belle perſonne, & que ſes yeux ſont penetrans?	la belle personne, et que ses yeux sont pénétrants?
CHARLOTE.	CHARLOTE.
Monſieur, vous me rendez toute honteuſe.	Monsieur, vous me rendez toute honteuse.
D.	D.
JUAN.	JUAN.
Ah, n’ayez point de honte d’entendre dire vos veritez.	Ah, n'ayez point de honte d'entendre dire vos vérités.
Sganarelle, qu’en dis-tu?	Séganarelle, qu'en dis-tu?
peut-on rien voir de plus agreable?	peut-on rien voir de plus agréable?
Tournez-vous un peu, s’il vous plaiſt, ah que cette taille eſt jolie!	Tournez-vous un peu, s'il vous plaît, ah que cette taille est jolie!
hauſſez un peu la teſte, de grace, ah que ce vi ſage eſt mignon.	haussez un peu la tête, de grâce, ah que ce vi age est mignon.
Ouvrez vos yeux entierement, ah qu’ils ſont beaux!	Ouvrez vos yeux entièrement, ah qu'ils sont beaux!
Que je voye un peu vos dents, je vous prie, ah qu’elles ſont amoureuſes!	Que je voie un peu vos dents, je vous prie, ah qu'elles sont amoureuses!
& ces lévres appetiſſantes.	et ces lèvres appétissantes.
Pour moy, je ſuis ravy, & je n’ay jainais veu une il charmante perſonne.	Pour moi, je suis ravi, et je n'ai jainais vu une il charmante personne.
CHARLOTE.	CHARLOTE.
Monſieur, cela vous plaiſt à dire, & je ne ne ſçay pas ſi c’eſt pour vous railler de moy.	Monsieur, cela vous plaît à dire, et je ne ne sais pas si c'est pour vous railler de moi.
D.	D.
JUAN.	JUAN.
Moy, me railler de vous?	Moi, me railler de vous?
Dieu m’en garde.	Dieu m'en garde.
je vous ame trop pour ecla, & c’eſt du fond du cœur que je vous parle.	je vous âme trop pour éla, et c'est du fond du cœur que je vous parle.
CHANLOTE.	CHANLOTE.
Je vous ſuis bien obligée, ſi ça eſt.	Je vous suis bien obligée, si ça est.
D.	D.
JUAN.	JUAN.
roit de tout, vous ne m’eſtes pemt obligée.	roit de tout, vous ne m'êtes pemt obligée.
de tout ce que je dis, & ce n’eſt qu’à voſtre beauté que vous en eſtes redevable.	de tout ce que je dis, et ce n'est qu'à votre beauté que vous en êtes redevable.
CHANLOTE.	CHANLOTE.
Monſieur, tout ça eſt trop bien dit pour moy!	Monsieur, tout ça est trop bien dit pour moi!
& je n’ay pas d’eſprit pour vous répondre.	et je n'ai pas d'esprit pour vous répondre.
D.	D.
JUAN.	JUAN.
eguene, ngdie an pea les Mainae	éguène, négédie an pea les Mainae
CHARLOTE.	CHARLOTE.
Fy, Monſieur, elles ſont noires comme je ne ſçay quoy.	Fi, Monsieur, elles sont noires comme je ne sais quoi.
D.	D.
JOAN.	JOAN.
Ha que dites-vous là, elles ſont les plus belles du monde, ſouffrez que je les baiſe, je vous Pller	Ha que dites-vous là, elles sont les plus belles du monde, souffrez que je les baise, je vous Pller
CHARLOTE.	CHARLOTE.
Monſieur, c’eſt trop d’honneur que vous me faites, & ſi j’avois ſçeu ça tantoſt, je n’aurois pas manqué de les laver avec du ſon.	Monsieur, c'est trop d'honneur que vous me faites, et si j'avais su ça tantôt, je n'aurais pas manqué de les ver avec du son.
D.	D.
JUAN.	JUAN.
Et dites-moy un peu, Belle Charlote, vous n’eſtes pas mariée ſans doute?	Et dites-moi un peu, Belle Charlote, vous n'êtes pas mariée sans doute?
CHARLOTE.	CHARLOTE.
Non, Monſieur, mais je dois bien-toſt l’eſtre avec Piarrot, le fils de la voiſine Simonete.	Non, Monsieur, mais je dois bientôt l'être avec Piarrot, le fils de la voisine Simonète.
D.	D.
JUAN.	JUAN.
Quoy, une perſonne comme vous ſeroit la femme d’un ſimple Payſan?	Quoi, une personne comme vous serait la femme d'un simple Paysan?
non, non c’eſt profaner tant de beautez, & vous n’eſtes pas née pour demeurer dans un Village, vous meritez ſans doute une meilleure fortune, & le Ciel qui le connoiſt bien, m’a conduit icy tout exprés pour empeſcher ce mariage, & rendre juſtice à vos charmes:	non, non c'est profaner tant de beautés, et vous n'êtes pas née pour demeurer dans un Village, vous méritez sans doute une meilleure fortune, et le Ciel qui le connaît bien, m'a conduit ici tout exprès pour empêcher ce mariage, et rendre justice à vos charmes:
car enfin, Belle Charlote, je vous aime de tout mon cœur, & il ne tiendra qu’à vous que je vous arrache de ce miſerable lieu, & ne vous mette dans l’eſtat où vous meritez d’eſtre, cét amour eſt bien prompt ſans doute;	car enfin, Belle Charlote, je vous aime de tout mon cœur, et il ne tiendra qu'à vous que je vous arrache de ce misérable lieu, et ne vous mette dans l'état où vous méritez d'être, cet amour est bien prompt sans doute;
mais quoy, ceſt un enct, chariote, ue vontſe grande beauté, & l’on vous aime autant en un quart d’heure, qu’on feroit une autre en ſix mois.	mais quoi, cet un enct, chariote, ue vontse grande beauté, et l'on vous aime autant en un quart d'heure, qu'on ferait une autre en six mois.
CHARLOTE.	CHARLOTE.
Auſſi vray, Monſieur, je ne ſçay comment faire quand vous parlez, ce que vous dites me fait aiſe, & j’aurois toutes les envies du monde de vous crone, mais on m’a toujou dit, qu’il ne faut jamais croire les Monſieux, & que vous autres Courtiſans eſtes des enjoleus, qui ne ſongez qu’à abuſer les filles.	Aussi vrai, Monsieur, je ne sais comment faire quand vous parlez, ce que vous dites me fait aise, et j'aurais toutes les envies du monde de vous crone, mais on m'a toujou dit, qu'il ne faut jamais croire les Monsieux, et que vous autres Courtisans êtes des enjoueus, qui ne songez qu'à abuser les filles.
D.	D.
JUAN.	JUAN.
Je ne ſuis pas de ces gens là.	Je ne suis pas de ces gens là.
SGANARELLE.	SGANARELLE.
Il n’a garde.	Il n'a garde.
CHARLOTE.	CHARLOTE.
Voyez-vous, Monſieur, il n’y a pas plaiſir à ſe laiſſer abuſer, je ſuis une pauvre Payſane, mais j’ay l’honneur en recommandation, & j’aimerois mieux me voir morte que de me voir deshonorée.	Voyez-vous, Monsieur, il n'y a pas plaisir à se laisser abuser, je suis une pauvre Paysane, mais j'ai l'honneur en recommandation, et j'aimerais mieux me voir morte que de me voir déshonorée.
D.	D.
JUAN.	JUAN.
Moy, j’aurois l’ame aſſez méchante pour abuſer une perſonne comme vous, je ſerois aſſez lâche pour vous des honorer?	Moi, j'aurais l'âme assez méchante pour abuser une personne comme vous, je serais assez lâche pour vous des honorer?
non, non, j’ay trop de conſcience pour cela, je vous aime, Charlote, en tout bien & en tout honneur, & pour vous montrer que je vous dis vray, ſçachez que je n’ay point d’autre deſſein que de vous épouſer, en voulez-vous un plus grand témoignage, m’y voila preſt quand vous voudrez, & je prends à temom l’homme que voila de la parole que je vous donne.	non, non, j'ai trop de conscience pour cela, je vous aime, Charlote, en tout bien et en tout honneur, et pour vous montrer que je vous dis vrai, sachez que je n'ai point d'autre dessein que de vous épouser, en voulez-vous un plus grand témoignage, m'y voila prêt quand vous voudrez, et je prends à témom l'homme que voilà de la parole que je vous donne.
SGANARELLE.	SGANARELLE.
Non, non, ne craignez point, il ſe mariera avec vous tant que vous voudrez.	Non, non, ne craignez point, il se mariera avec vous tant que vous voudrez.
D.	D.
JUAN.	JUAN.
Ah, Charlote, je vois bien que vous ne me connoiſſez pas encore, vous me faites grand tort de juger de moy par les autres, & s’il y a des fourbes dans le monde, des gens qui ne cherchent qu’à abuſer des Filles, vous devez me tirer du nombre, & ne pas mettre en doute la ſincerité de ma foy, & puis voſtre beauté vous aſſure de tout.	Ah, Charlote, je vois bien que vous ne me connaissez pas encore, vous me faites grand tort de juger de moi par les autres, et s'il y a des fourbes dans le monde, des gens qui ne cherchent qu'à abuser des Filles, vous devez me tirer du nombre, et ne pas mettre en doute la sincérité de ma foi, et puis votre beauté vous assure de tout.
Quand on eſt faite comme vous, on doit eſtre à couvert de toutes ces ſortes de crainte, vous n’avez point l’air, croyez-moy, d’une perſonne qu’on abuſe, & pour moy, je l’avoüe, je md paldinoreueedounuemumle eoaps;	Quand on est faite comme vous, on doit être à couvert de toutes ces sortes de crainte, vous n'avez point l'air, croyez-moi, d'une personne qu'on abuse, et pour moi, je l'avoue, je méd paldinoreueedounuemumle eoaps;
e javois eu la moindre penſée de vous trahir.	 eavais eu la moindre pensée de vous trahir.
CHARLOTE.	CHARLOTE.
Mon Dieu, je ne ſçay ſi vous dites vray ou non, mais vous faites que l’on vous croit.	Mon Dieu, je ne sais si vous dites vrai ou non, mais vous faites que l'on vous croit.
D.	D.
JUAN.	JUAN.
Lors que vous me croirez, vous me rendrez juſtice aſſurément, & je vous reïtere encore la promeſſe que je vous ay faite, ne l’acceptezvous pas?	Lors que vous me croirez, vous me rendrez justice assurément, et je vous reïtere encore la promesse que je vous ai faite, ne l'acceptezvous pas?
& ne voulez-vous pas conſentir à eſtte ma femme?	et ne voulez-vous pas consentir à estte ma femme?
CHARLOTE.	CHARLOTE.
Oüy, pourveu que ma Tante le veuille.	Oui, pourvu que ma Tante le veuille.
D.	D.
JUAN.	JUAN.
Touchez donc là, Charlote, puis que vous le voulez bien de voſtre part.	Touchez donc là, Charlote, puis que vous le voulez bien de votre part.
CHARLOTE.	CHARLOTE.
Mais au moins, Monſieur, ne m’allez pas tromper, je vous prie, il y auroit de la conſcience à vous, & vous voyez comme j’y vais à la bonne foy.	Mais au moins, Monsieur, ne m'allez pas tromper, je vous prie, il y aurait de la conscience à vous, et vous voyez comme j'y vais à la bonne foi.
D.	D.
JUAN.	JUAN.
Comment, il ſemble que vous doutiez encore de ma ſincerité?	Comment, il semble que vous doutiez encore de ma sincérité?
Voulez-vous que je faſſe des Jermens épouvantables ?	Voulez-vous que je fasse des Jerments épouvantables ?
que le Cicr.	que le Cicr.
CHARLOTE.	CHARLOTE.
Mon Dieu, ne jurez point, je vous croy.	Mon Dieu, ne jurez point, je vous crois.
D.	D.
JUAN.	JUAN.
Donnez-moy donc un petit baiſer pour gage de voſtre parole.	Donnez-moi donc un petit baiser pour gage de votre parole.
CIIARLOIE.	CIIARLOIE.
Oh, Monſieur, attendez que je ſoyons mariez, je vous prie, aprés ça je vous baiſeray tant que vous voudrez.	Oh, Monsieur, attendez que je soyons mariés, je vous prie, après ça je vous baiserai tant que vous voudrez.
D.	D.
JUAN.	JUAN.
Et bien, Belle Charlote, je veux tout ce que vous voulez, abandonnez-moy ſeulement voſtre main, & ſouffrez que par mille baiſers je luy exprime le raviſſement où je ſuis.	Et bien, Belle Charlote, je veux tout ce que vous voulez, abandonnez-moi seulement votre main, et souffrez que par mille baisers je lui exprime le ravissement où je suis.
SCENE	SCÈNE
SCENE III.	SCÈNE III.
D!	D!
JoMIt;	JoMIt;
SGANARELLE, PIERROT CHARLOTTE.	SGANARELLE, PIERROT CHARLOTTE.
PIERROT ſe mettant entre deux & pouſſant D.	PIERROT se mettant entre deux et poussant D.
Juan.	Juan.
Out doucement, Mronfeur tenez-vous, s’il I vous plaiſt, vous vous échauffez trop, & vous pourriez gagner la purelie.	Out doucement, Mronfeur tenez-vous, s'il I vous plaît, vous vous échauffez trop, et vous pourriez gagner la purelie.
D.	D.
JUAN repouſſant rudement Pierrot.	JUAN repoussant rudement Pierrot.
Qui m’amene cét impertinent?	Qui m'amène cet impertinent?
PIERROT.	PIERROT.
je vous dio qu'ou vous tegmez, ce qu’ou ne carreſſiais point nos accordées.	je vous dyo qu'ou vous tegmez, ce qu'ou ne carressiais point nos accordées.
D.	D.
JUAN continuë de le repouſſer.	JUAN continue de le repousser.
Ah, que de bruit.	Ah, que de bruit.
PIERROT.	PIERROT.
jeinqueie, ce n’eſt pas comme ça qu’il faut pouſſer les gens.	jeinqueie, ce n'est pas comme ça qu'il faut pousser les gens.
le bras.	le bras.
CHARLOTE prenant Pierrot par Et laiſſe-le faire auſſi, Piarrot.	CHARLOTE prenant Pierrot par Et laisse-le faire aussi, Piarrot.
PIERROT.	PIERROT.
Quement;	Quement;
que je le laiſſe faire.	que je le laisse faire.
Je ne veux pas moy?	Je ne veux pas moi?
Ah.	Ah.
D.	D.
JUAN.	JUAN.
PIERROT.	PIERROT.
Teſtiguenne, par ce qu’ous eſtes Monſieu, oux Tome VII.	Testiguenne, par ce qu'ous êtes Monsieu, oux Tome VII.
viendrez careſſer nos femme à note barbe, allez u-s-en careſſer les voſtres.	viendrez caresser nos femme à note barbe, allez uss-en caresser les vôtres.
Heu?	Heu?
D.	D.
JUAN.	JUAN.
PIERROT.	PIERROT.
Heu.	Heu.
D Juan luy donne un ſoufflet.	DU Juan avait donne un soufflet.
Teſtigué ne me frapez pas, autre ſoufflet.	Testigué ne me frappez pas, autre soufflet.
Oh, jernigué, autre ſoufflet.	Oh, jernigué, autre soufflet.
Ventrequé, autre ſoufflet Palſanqué, morquenne, ça n’eſt pas bian de batre les gens, & ce n’eſt pas là la recompenſe de u-s-avoir ſauvé d’eſtre nayé.	Ventrequé, autre soufflet Palsanqué, morquenne, ça n'est pas bian de battre les gens, et ce n'est pas là la récompense de u-avoir sauvé d'être nayé.
CHARLOTE.	CHARLOTE.
Piarrot ne te faſche point.	Piarrot ne te fâche point.
TIERROI.	TIEROI.
Je me veux faſcher, & t’es une vilainte toy d’endurer qu’on te caieole.	Je me veux fâcher, et t'es une vilainte toi d'endurer qu'on te caieole.
CHARLOTE.	CHARLOTE.
Oh, Piarrot, ce n’eſt pas ce que tu penſes, ce Monſieur veut m’épouier;	Oh, Piarrot, ce n'est pas ce que tu penses, ce Monsieur veut m'épouier;
& tu ne dois pas te bouter en colere.	et tu ne dois pas te bouter en colère.
PIERROT.	PIERROT.
CHARLOTE.	CHARLOTE.
Ca ny fait rien, Piarrot, ſi tu m’aimes, ne doistu pas eſtre bien-aiſe que je devienne Madame.	Ca était fait rien, Piarrot, si tu m'aimes, ne doistu pas être bienaise que je devienne Madame.
PIERROT.	PIERROT.
Jerniqué, non, j’aime mieux te voir crevée que de te voir à un autre.	Jerniqué, non, j'aime mieux te voir crevée que de te voir à un autre.
CHARLOTE.	CHARLOTE.
Va va, Piarrot, ne te mets point en peine;	Va va, Piarrot, ne te mets point en peine;
ſi je fis Madame, je te feray gagner queuque choſes, & tu apporteras du beure & du fromage cheux nous.	si je fis Madame, je te ferai gagner queuque choses, et tu apporteras du beure et du fromage cheux nous.
PIERROT.	PIERROT.
Ventrequenne, je gay en porteray jamais quand tu m’en poyraist deux, fois autant.	Ventrequenne, je gai en porterai jamais quand tu m'en poyraist deux, fois autant.
Eſt-ce donc comme ça que t’eſcoutes ce qu’il te dit?	Est-ce donc comme ça que t'écoutes ce qu'il te dit?
morquenne, ſi j’avois ſçeu ça tantoſt, je me ſerois bian gardé de le tirer de gliau, & je gly aurois baillé un bon coup d’aviron ſur la teſte.	morquenne, si j'avais su ça tantôt, je me serais bian gardé de le tirer de gliau, et je gli aurais baillé un bon coup d'aviron sur la tête.
D.	D.
JUAN s’aprochant de Pierrot pour le fraper.	JUAN s'approchant de Pierrot pour le frapper.
Qu’eſt-ce que vous dites?	Qu'est-ce que vous dites?
Charlote.	Charlote.
PIERROT s’éloignant derriere.	PIERROT s'éloignant derrière.
Jerniquenne, je ne crains parſonne.	Jerniquenne, je ne crains parsonne.
D.	D.
JUAN paſſe du coſté où eſt Pierrot.	JUAN passe du côté où est Pierrot.
Attendez-moy un peu.	Attendez-moi un peu.
TIERICO mrepajſe ue l'autre coſté de Charlote.	TIERICO mrepajà ue l'autre côté de Charlote.
je me moque de tout, moy.	je me moque de tout, moi.
D.	D.
JUAN court aprés Pierrot.	JUAN court après Pierrot.
Voyons cela.	Voyons cela.
Chalture.	Chalture.
PIERROT ſe ſauve encore derriers J’en avons bien veu d’autres.	PIERROT se sauve encore derriers J'en avons bien vu d'autres.
Hoüais.	Hongais.
D.	D.
JUAN.	JUAN.
SGANARELLE.	SGANARELLE.
Eh, Monſieur, laiſſez-là ce pauvre miſerable.	Eh, Monsieur, laissez-là ce pauvre misérable.
e eit tonttiihce de le batre.	 eit tonttihihce de le battre.
Ecoute, mon pauvre Garçon, retire-toy, & ne luy dis rien.	Écoute, mon pauvre Garçon, retire-toi, et ne lui dis rien.
PIERROT paſſe devant Sganarelle, c dit fierement à D.	PIERROT passe devant Sganarelle, ç dit fièrement à D.
Juan.	Juan.
Je veux luy dire, moy.	Je veux mieux dire, moi.
D.	D.
JUAN leve la main pour donner un joupputu montus qui baiſſe la teſte, & Sganarelle reçoit le ſoufflet.	JUAN lève la main pour donner un jouputu montus qui baisse la tête, et Séganarelle reçoit le soufflet.
Ah, je vous apprendray.	Ah, je vous apprendrai.
SGANARELLE regardant Pierros qui s’eſt baiſſé pour éviter le ſoufflet.	SGANARELLE regardant Pierros qui s'est baissé pour éviter le soufflet.
Peſte ſoit du maroufie.	Peste soit du maroufie.
D.	D.
JUAN.	JUAN.
Te voila payé de ta charite.	Te voilà payé de ta charité.
PIERROT.	PIERROT.
Jarny, je vas dire à ſa Tante tout ce ménage	Jarny, je vas dire à sa Tante tout ce ménage
D.	D.
JUAN.	JUAN.
Enfin, je m’en vais eſtre le plus heureux de tous les hommes, & je ne changerois pas mon bonheur à toutes les choſes du monde.	Enfin, je m'en vais être le plus heureux de tous les hommes, et je ne changerais pas mon bonheur à toutes les choses du monde.
Que de plaiſirs quand vous ſerez ma femme, & que.	Que de plaisirs quand vous serez ma femme, et que.
MATHURINE à Dom Juan.	MATHURINE à Dom Juan.
Monſieur, que faites vous donc là avec Charauie, eit-ee que vuus luy parlez d'amour auſſi?	Monsieur, que faites -vous donc là avec Charavie, eit-ce que vus même parlez d'amour aussi?
D.	D.
JUAN à Mathurine.	JUAN à Mathurine.
Non, au contraire, c’eſt elle qui me témoignoit une envie d’eſtre ma femme, & je luy répondois que j’eſtois engagé à vous.	Non, au contraire, c'est elle qui me témoignait une envie d'être ma femme, et je lui répondais que j'étais engagé à vous.
CHARLOTE.	CHARLOTE.
Qu’eſt-que c’eſt donc que vous veut Mathurine ?	Qu'est-ce c'est donc que vous veut Mathurine ?
D.	D.
JUAN bas à Charbtte.	JUAN bas à Charbtte.
Elle eſt jalouſe de me voir vous parler, & voudroit bien que je l’épouſaſſe, mais je luy dis que c’eſt vous que je veux.	Elle est jalouse de me voir vous parler, et voudrait bien que je l'épousasse, mais je lui dis que c'est vous que je veux.
MATHURINE.	MATHURINE.
Quoy, Charlote.	Quoi, Charlote.
D.	D.
JUAN bas à Mathurine.	JUAN bas à Mathurine.
rout ee que vous luy direz ſera inutile, elle s’eſt mis cela dans la teſte.	rout ce que vous lui -direz sera inutile, elle s'est mis cela dans la tête.
CHARLOIE.	CHARLOIE.
Quement donc Mathurine.	Quement donc Mathurine.
D.	D.
JUAN bas à Charlote.	JUAN bas à Charlote.
C’eſt en vain que vous luy parlerez, vous ne luy onterts point cette fantaiſie.	C'est en vain que vous lui parlerez, vous ne le onterts point cette fantaisie.
MATHURINE.	MATHURINE.
Eſt-ce que.	Est-ce que.
D.	D.
JUAN bas à Mâthurine.	JUAN bas à Mâthurine.
Il n’y a pas moyen de luy faire entendre raiſon.	Il n'y a pas moyen de deux faire entendre raison.
CHARLOTE.	CHARLOTE.
Je voudrois.	Je voudrais.
D.	D.
JOAN vus u Cnilotte.	JOAN vus au Cnilotte.
Elle eſt obſtinée comme tous les Diables.	Elle est obstinée comme tous les Diables.
MATHORINE.	MATHORINE.
Vramant.	Vramant.
D.	D.
JUAN bas à Mathurine.	JUAN bas à Mathurine.
rre fuy ditte tien, c’eſt une folle.	rre fui ditte tien, c'est une folle.
CHARLOTE.	CHARLOTE.
Je pemſe.	Je pemse.
.	.
D.	D.
JUAN bas à Charlote.	JUAN bas à Charlote.
Laiſſez-là la, c’eſt une extravagante.	Laissez-là la, c'est une extravagante.
MATHURINE.	MATHURINE.
Non, non, il faut que je luy parle.	Non, non, il faut que je lui parle.
CHARLOTE.	CHARLOTE.
Je veux voir un peu ſes raiſons.	Je veux voir un peu ses raisons.
Quoy.	Quoi.
MATHURINE	MATHURINE
D.	D.
JUAN bas à Mathurine.	JUAN bas à Mathurine.
Je gage qu’elle va vous dire que je luy ay prœmis de l’épouſer.	Je gage qu'elle va vous dire que je lui ai prœmis de l'épouser.
Je.	Je.
CHARLOTE.	CHARLOTE.
D.	D.
JUAN bas à Charlote.	JUAN bas à Charlote.
Gageons qu’elle vous louitiendra que je luy ay donné parole de la prendre pour femme.	Gageons qu'elle vous louitiendra que je lui ai donné parole de la prendre pour femme.
MATHURINE.	MATHURINE.
Hola, Charlote, ça n’eſt pas bien de courir ſur le marché des autres.	Holà, Charlote, ça n'est pas bien de courir sur le marché des autres.
OIIIRCEOTMO Ca n’eſt pas honneſte, Mathurine, d’eſtre jaloule que Monſſeur me parle.	OIIIRCEOTMO Ca n'est pas honnête, Mathurine, d'être jaloule que Monsseur me parle.
MATHURINE.	MATHURINE.
C’eſt moy que Monſieur a veu la premiere.	C'est moi que Monsieur a vu la première.
CHARLOTE.	CHARLOTE.
9 i1 vouo a veu la premere, iein a veu la ſeconz de, & m’a promis de m’épouſer.	9 i1 vouo a vu la prémère, plein a vu la seconz de, et m'a promis de m'épouser.
D.	D.
JUAN bas à Mathurine.	JUAN bas à Mathurine.
Et bien, que vous ay-je dit?	Et bien, que vous ai-je dit?
MATHURINE.	MATHURINE.
Je vous baiſe les mains, c’eſt moy, & non pas vous qu’il a promis d’épouſer.	Je vous baise les mains, c'est moi, et non pas vous qu'il a promis d'épouser.
El Je livens benmlele.	Él Je livends benmle.
N’ay-je pas deviné?	N'ai-je pas deviné?
CHARLOTE.	CHARLOTE.
A d’autres, je vous prie, c’eſt moy, vous dis-je.	À d'autres, je vous prie, c'est moi, vous dis-je.
MATHURINE.	MATHURINE.
Vous vous moquez des gens, c’eſt moy, encore un coup.	Vous vous moquez des gens, c'est moi, encore un coup.
CHARLOTE.	CHARLOTE.
Le ula qui eſt pour le dire, ſi je n’ay pas raiſon.	Le ula qui est pour le dire, si je n'ai pas raison.
MATHURINE.	MATHURINE.
Le ula qui eſt pour me démentir, ſi je ne dis pas vray.	Le ula qui est pour me démentir, si je ne dis pas vrai.
CHARLOTE.	CHARLOTE.
Elece, momneu yquus laj avez promis de l’épouſer?	Élèce, momneu yquus laj avez promis de l'épouser?
D.	D.
JUANbas a Charlote.	JUANbas a Charlote.
Vous vous raillez de moy.	Vous vous raillez de moi.
MATHURINE.	MATHURINE.
Eſt-il vray, Monſieur, que vous luy avez donne parore dentre ion mary?	Est-il vrai, Monsieur, que vous Seigneur avez donne parore dentre ion mari?
D.	D.
JUAN bas à Mathurine.	JUAN bas à Mathurine.
Touvez-vous avoil cette penſée ?	Touvez-vous avoil cette pensée ?
̀	
CHARLÔTE.	CHARLTE.
Vous voyez qu’al le ſoûtient.	Vous voyez qu'al le soutient.
D.	D.
JUAN bas à Charlote.	JUAN bas à Charlote.
Laiſſez-la faire.	Laissez-la faire.
RHETTORINE.	RHÉTORINE.
Vous eſtes témoin comme al l’aſſure.	Vous êtes témoin comme al l'assure.
D.	D.
JUAN vas à Mathurine.	JUAN vas à Mathurine.
Laiſſez-la dire.	Laissez-la dire.
CHARLOTE.	CHARLOTE.
Non, non, il faut ſçavoir la verité.	Non, non, il faut savoir la vérité.
MATHURINE.	MATHURINE.
Il eſt queſtion de juger ça.	Il est question de juger ça.
CHARLOTE.	CHARLOTE.
Ouy, Mathummie, je veux que Momeur vous montre voſtre bec jaune.	Oui, Mathummie, je veux que Momeur vous montre votre bec jaune.
MATHURINE.	MATHURINE.
Oüy, Charlote, je veux que Monſieur vous rende un peu camuſe.	Oui, Charlote, je veux que Monsieur vous rende un peu camuse.
CHARLOTE.	CHARLOTE.
Monſieur, vuidez la querelle, s’if vous plaut	Monsieur, videz la querelle, s'if vous plaut
MATHURINE.	MATHURINE.
Mettez-nous d’accord, Monſieur.	Mettez-nous d'accord, Monsieur.
MATHURINE à Charlote.	MATHURINE à Charlote.
Vous allez voir vous meſme.	Vous allez voir vous -même.
Dites.	Dites.
OIIIITO TE à D.	ÔIIITO TE à D.
Juan.	Juan.
MATHORINE a D.	MATHORINE a D.
Jhan.	Jhan.
Parlez.	Parlez.
deux.	deux.
D.	D.
JUAN embaraſſé leur dit à toutes Que voulez-vous que je diſe?	JUAN embarrassé leur dit à toutes Que voulez-vous que je dise?
vous ſoûtenez également toutes deux que je vous ay promis de vous prendre pour femmes.	vous soutenez également toutes deux que je vous ai promis de vous prendre pour femmes.
Eſt-ce que chacune de vous ne ſçait pas ce qui en eſt, ſans qu’il ſoit neceſſaire que je m’explique davantage?	Est-ce que chacune de vous ne sait pas ce qui en est, sans qu'il soit nécessaire que je m'explique davantage?
pourquoy m’obliger là-deſſus à des redites?	pourquoi m'obliger là-dessus à des rédites?
celle à qui j’ay promis effectivement n’a-t-elle pas en elle-meſme dequoy ſe moquer des diſcours de l’autre, & doit-elle ſe mettre en peine pourveu que j’accompliſſe ma promeſſe?	celle à qui j'ai promis effectivement n'a-t-elle pas en elle-même dequoy se moquer des discours de l'autre, et doit-elle se mettre en peine pourvu que j'accomplisse ma promesse?
Tous les diſcours n’avancent point les choſes, il faut faire, & non pas dire, & les effets decident mieux que les paroles.	Tous les discours n'avancent point les choses, il faut faire, et non pas dire, et les effets décident mieux que les paroles.
Auſſi n’eſt-ce rien que par là que je vous veux mettre d’accord, & l’on verra quand je me marieray, laquelle des deux a mon cœur, bas à Mathurine, laiſſez-luy croire ce qu’elle voudra, bas à Charlote, laiſſez là ſe flater dans ſon imagination, bas à Mathurine, je vous adore, bas à Charlote, je ſuis tout à vous, bas à Mathurine, tous les viſages ſont laids auprés du voſtre, bas à Charlote, on ne peut plus ſouffrir les autres quand on vous a veuë.	Aussi n'est-ce rien que par là que je vous veux mettre d'accord, et l'on verra quand je me marierai, laquelle des deux à mon cœur, bas à Mathurine, laissez-lui croire ce qu'elle voudra, bas à Charlote, laissez là se flatter dans son imagination, bas à Mathurine, je vous adore, bas à Charlote, je suis tout à vous, bas à Mathurine, tous les visages sont laids auprès du vôtre, bas à Charlote, on ne peut plus souffrir les autres quand on vous a veuë.
J’ay un petit ordre à donner, je viens vous retrouver dans un quart d’heu1.	J'ai un petit ordre à donner, je viens vous retrouver dans un quart d'heu1.
CHARLOTE à Mathurine.	CHARLOTE à Mathurine.
