M DC LXIX.	M MC LXIX.
OSTE.	ÔTE.
Si ſa bouche dit vray, nous avons même ſort;	Si sa bouche dit vrai, nous avons même sort;
Et de même que moy, Monſieur, vous eſtes double.	Et de même que moi, Monsieur, vous êtes double.
Tay-toy.	Tais-toi.
AMPHITRYON.	AMPHITRYON.
ALCMENE.	ÀLCMENE.
Surquoy vous étonner ſi fort?	Surquoy vous étonner si fort?
Et d’où peut naiſtre ce grand trouble!	Et d'où peut naître ce grand trouble!
A M	À M
AMPHITRYON.	AMPHITRYON.
O Ciel!	Ô Ciel!
quel étrange embarras!	quel étrange embarras!
Je voy des incidens qui paſſent la Nature;	Je vois des incidents qui passent la Nature;
Et mon honneur redoute une avanture, Que mon Eſprit ne comprend pas !	Et mon honneur redoute une aventure, Que mon Esprit ne comprend pas !
A LCMENE.	À LCMENE.
congen rous, eir tenant cette preuve ſenſible, A me nier encor voſtre retour preſſé?	congen rous, eir tenant cette preuve sensible, À me nier encor notre retour pressé?
AMPHITRYON.	AMPHITRYON.
Non;	Non;
mais à ce retoul, daignez, s n’eit poſſible, Me conter ce qui s’eſt paſſé.	mais à ce retoul, daignez, s 'éit possible, Me conter ce qui s'est passé.
ALCMENE.	ÀLCMENE.
Puis que vous demandez un recit de la choſe, Vous voulez dire donc que ce n’eſtoit pàs vous?	Puis que vous demandez un récit de la chose, Vous voulez dire donc que ce n'était pays vous?
AMPHITRYON.	AMPHITRYON.
Pardonnez-moy;	Pardonnez-moi;
mais j’ay certaine cauſe, Qui me fait demander ce recit entre nous.	mais j'ai certaine cause, Qui me fait demander ce récit entre nous.
ALCMENE.	ÀLCMENE.
Les ſoucis importans, qui vous peuvent ſaiſir, rous ent-ils fait ſi viſte en perdre la memoire?	Les soucis importants, qui vous peuvent saisir, rous ent-ils fait si vite en perdre la mémoire?
AMPHITRYON.	AMPHITRYON.
Peut-eſtre;	Peut-être;
mais enfin, vous me ferez plaiſir De m’en dire toute l’Hiſtoire.	mais enfin, vous me ferez plaisir De m'en dire toute l'Histoire.
ALCMENE.	ÀLCMENE.
L’Hiſtoire n’eſt pas longue.	L'Histoire n'est pas longue.
A vous je m’avançay, Pleine d’une aimable ſurpriſe:	À vous je m'avançai, Pleine d'une aimable surprise:
Tendrement je vous embraſſay;	Tendrement je vous embrassai;
Et témoignay ma joye, à plus d’une repriſe.	Et témoignai ma joie, à plus d'une reprise.
AMPHITRYON en ſoy-même.	AMPHITRYON en soi-même.
Ah!	Ah!
d’un ſi doux accueil je me ſerois paſſé.	d'un si doux accueil je me serais passé.
ALCMENE.	ÀLCMENE.
Vous me fiſtes d’abord ce Preſent d’importance, Que du Butin conquis vous m’aviez deſtiné.	Vous me fîtes d'abord ce Présent d'importance, Que du Butin conquis vous m'aviez destiné.
Voſtre Cœur, avec vehemence, M’étala de ſes feux toute la violence, Et les ſoins importuns qui l’avoient enchaîné;	Votre Cœur, avec véhémence, M'étala de ses feux toute la violence, Et les soins importuns qui l'avaient enchaîné;
L’aiſe de me revoir;	L'aise de me revoir;
les tourmens de l’abſence;	les tourments de l'absence;
Tout Tout le ſoucy, que ſon impatience, Pour le retour, s’eſtoit donné.	Tout Tout le souci, que son impatience, Pour le retour, s'était donné.
Et jamais voſtre amour, en pareille occurrence, Ne me parut ſi tendre, & Il paiſſonne.	Et jamais votre amour, en pareille occurrence, Ne me parut si tendre, et Il paissonne.
AMTHITRYON en ſoy-même.	AMTHITRYON en soi-même.
Peut-on plus vivement ſe voir aſſaſſiné !	Peut-on plus vivement se voir assassiné !
A LCMENE.	À LCMENE.
Tous ces tranſports, toute cette tendreſſe, Comme vous croyez bien, ne me déplaiſoient pas:	Tous ces transports, toute cette tendresse, Comme vous croyez bien, ne me déplaisaient pas:
Et s il laut que ſele comene, Mon Cœur, Amphitryon, y trouvoit mille appas.	Et s il laut que zèle comène, Mon Cœur, Amphitryon, y trouvait mille appas.
AMPHITRYON.	AMPHITRYON.
En ſuite, s’il vous plaiſt.	En suite, s'il vous plaît.
A LCMENE.	À LCMENE.
Nous nous entrecoupâmes De miilie Queſtions, qui pouvoient nous toucher.	Nous nous entrecoupâmes De miilie Questions, qui pouvaient nous toucher.
On ſervit.	On servit.
Teſte a teſte, enſemble nous ſoupâmes;	Tête a tête, ensemble nous soupâmes;
Et le ſoupe nny, nous nous fumes coucher.	Et le soupe nni, nous nous fûmes coucher.
AMPHHITRYON.	AMPHITRYON.
Enſemble?	Ensemble?
ALCMENE.	ÀLCMENE.
Aanluiement.	Aanluiement.
Querre eit cette demande?	Querre eit cette demande?
AMPAITRYGN.	AMPAITRYGN.
Ah!	Ah!
c’eſt icy le coup le plus cruel de tous!	c'est ici le coup le plus cruel de tous!
Et dont à s’aſſurer, trembloit mon feu jalous !	Et dont à s'assurer, tremblait mon feu jalous !
ALCMENE.	ÀLCMENE.
D’où vous vient, à ce mot, une rougeur ſi grande?	D'où vous vient, à ce mot, une rougeur si grande?
Ay-je fait quelque mal, de coucher avec vous?	Ai-je fait quelque mal, de coucher avec vous?
AMPTITRYON.	AMPTITRYON.
Non, ce n’eſtoit pas moy, pour ma douleur ſenſible.	Non, ce n'était pas moi, pour ma douleur sensible.
Et qui dit qu’hier icy mes pas ie iont portez, Dit, de toutes les fauſſetez, La fauſſeté la plus horrible.	Et qui dit qu'hier ici mes pas rien jont portés, Dit, de toutes les faussetés, La fausseté la plus horrible.
Amphitryon!	Amphitryon!
ALCMENE.	ÀLCMENE.
AMPHITRYON.	AMPHITRYON.
Perfide!	Perfide!
ALC	ÀLC
ALCMENE.	ÀLCMENE.
Ah!	Ah!
quel emportement!	quel emportement!
AMPHITRYON.	AMPHITRYON.
Non, non, plus de douceur, & plus de deference.	Non, non, plus de douceur, et plus dé déférence.
Ce revers vient à bout de toute ma conſtahce, Et mon Cœur ne reſpire, en ce fatal moment, Et que fureur, & que vangeance.	Ce revers vient à bout de toute ma constahce, Et mon Cœur ne respire, en ce fatal moment, Et que fureur, et que vengeance.
ALCMENE.	ÀLCMENE.
ne qui done vous tangeri du juer mnanque de foy, Vous fait icy me traiter de coupable?	ne qui donc vous tangeri du juer ménanque de foi, Vous fait ici me traiter de coupable?
AMPHITRYON.	AMPHITRYON.
je ne ſçay pas:	je ne sais pas:
mais ce n’eſtoit pas moy;	mais ce n'était pas moi;
Et c’eſt un deſeſpoir, qui de tout rend capable.	Et c'est un désespoir, qui de tout rend capable.
ALCMENE.	ÀLCMENE.
Allez, indigne Epous, le fait parle de ſoy;	Allez, indigne Épous, le fait parle de soi;
Et l’impoſture eſt effroyable.	Et l'imposture est effroyable.
C’eſt trop me pouſſer là-deſſus;	C'est trop me pousser là-dessus;
Et d’infidelité, me voir trop condamnée.	Et d'infidélité, me voir trop condamnée.
Si vous cherchez, dans ces tranſports confus, Un pretexte à briſer les nœuds d’un Hymenée, ui me tient à vous enchaînée;	Si vous cherchez, dans ces transports confus, Un prétexte à briser les nœuds d'un Hyménée, ui me tient à vous enchaînée;
Tous ces détours ſont ſuperflus:	Tous ces détours sont superflus:
Et me voila déterminée, A ſouffrir qu’en ce jour, nos liens ſoient rompus.	Et me voilà déterminée, A souffrir qu'en ce jour, nos liens soient rompus.
AMPHITRYON.	AMPHITRYON.
Aprés l’indigne affront que l’on me fait connoiſtre, C’eſt bien à quoy, ſans doute, il faut vous preparer.	Après l'indigne affront que l'on me fait connaître, C'est bien à quoi, sans doute, il faut vous préparer.
C’eſt le moins qu’on doit voir, & les choſes peuteſtre Pourront n’en pas là demeurer.	C'est le moins qu'on doit voir, et les choses peutestre Pourront n'en pas là demeurer.
Le deshonneur eſt ſeur;	Le déshonneur est sûr;
mon malheur m’eſt viſible, Et mon amour en vain voudroit me l’obſcurcir.	mon malheur m'est visible, Et mon amour en vain voudrait me l'obscurcir.
Muis le uetair onter ne m’en eſt pas ſenſible;	Muis le air onter ne m'en est pas sensible;
Et mon juſte courrous pretend s’en éclaircir.	Et mon juste courrous prétend s'en éclaircir.
Voſtre Frere déja, peut hautement répondre, Que juſqu’à ce matin, je ne l’ay point quitté.	Votre Frère déjà, peut hautement répondre, Que jusqu'à ce matin, je ne l'ai point quitté.
Je m’en vais le chercher, afin de vous confondre, Sur Sur ce retour, qui m’eſt fauſſement imputé.	Je m'en vais le chercher, afin de vous confondre, Sur Sur ce retour, qui m'est faussement imputé.
Aprés nous percerons juſqu’au fond d’un myſtere Juſques à preſent inoüi;	Après nous percerons jusqu'au fond d'un mystère Jusques à présent inoüi;
Et dans les mouvemens d’une juſte colere, Malheur à qui m’aura trahi.	Et dans les mouvements d'une juste colère, Malheur à qui m'aura trahi.
SCCI E.	SCCI E.
Monſieur.	Monsieur.
AMPHITRYON.	AMPHITRYON.
Re mi accomſpagne pas;	Re mi accommspagne pas;
Et demeure ici, pour m’attendre.	Et demeure ici, pour m'attendre.
CLEANTHIS.	CLÉANTHIS.
Faut-il.	Faut-il.
ALCMENE.	ÀLCMENE.
je ne puis flenr entendre:	je ne puis flentr entendre:
Laiſſe-moy ſeule, & ne ſuy point mes pas.	Laisse-moi seule, et ne suivi point mes pas.
SCENE III.	SCÈNE III.
CLEANTHIS, SOSIE.	CLEANTHIS, SOSIE.
CLEANTHIS.	CLÉANTHIS.
L faut que quelque choſe ait broüillé ſa cervelle:	L faut que quelque chose ait brouillé sa cervelle:
Mais le Frere, ſur le champ, Finira cette querelle.	Mais le Frère, sur le champ, Finira cette querelle.
OSIE.	OSIE.
C’eſt icy, pour mon Maître, un coup aſſez touchant;	C'est ici, pour mon Maître, un coup assez touchant;
Et ſon avanture eſt cruelle.	Et son aventure est cruelle.
chant, yuuruino ioit, pour mon fait, quelque choſe approEt je m’en veux, tout doux, éclaircir avec elle.	chant, yuuruino jait, pour mon fait, quelque chose approût -je m'en veux, tout doux, éclaircir avec elle.
LEANTHIS.	LEANTHIS.
Voyez s’il me viendra ſeulement aborder?	Voyez s'il me viendra seulement aborder?
Mais je veux m’empécher de rien faire paroiſtre.	Mais je veux m'empêcher de rien faire paraître.
OSIE.	OSIE.
La choſe quelquefois eſt fâcheuſe à connoiſtre, Et je tremble à la demander.	La chose quelquefois est fâcheuse à connaître, Et je tremble à la demander.
Ne vaudroit-il point mieux, pour ne rien hazarder, Ignorer ce qu’il en peut eſtre?	Ne vaudrait-il point mieux, pour ne rien hasarder, Ignorer ce qu'il en peut être?
Allons, tout coup vaille, il faut voir,	Allons, tout coup vaille, il faut voir,
Et 80 Et je ne m’en ſçaurois defendre.	Et 80 Et je ne m'en sçaurois défendre.
La foibleſſe humaine eſt d’avoir Des curioſitez d’apprendre Ce qu’on ne voudroit pas ſçavoir.	La faiblesse humaine est d'avoir Des curiosités d'apprendre Ce qu'on ne voudrait pas savoir.
Dieu te gard', Cleanthis.	Dieu te gard, Cléanthis.
CLEANTHIS.	CLÉANTHIS.
Ah, ah, tu t’en aviſes, Traiſtre, de t’aprocher de nous !	Ah, ah, tu t'en avises, Traître, de t'approcher de nous !
OSIE.	OSIE.
Mon Dieu, qu’as-tu?	Mon Dieu, qu'as-tu?
toujours on te voit en courEt ſur rien, tu te formaliſes.	toujours on te voit en courEt sur rien, tu te formalises.
rous;	rous;
CLEANTHIS.	CLÉANTHIS.
Qu’appelles-tu ſur rien?	Qu'appelles-tu sur rien?
dy?	dis?
SOSIE.	SOSIE.
J’appelle ſur rien, Ce qui lur ren s’appenle en veis, aifi qu'en Proſe;	J'appelle sur rien, Ce qui lur ren s'appensle en veis, aisy qu'en Prose;
Et rien, comme tu le ſçais bien, Veut dire rien, ou peu de choſe.	Et rien, comme tu le sais bien, Veut dire rien, ou peu de chose.
CLEANTHIS.	CLÉANTHIS.
Je ne ſçay qui me tient, Infame, Que je ne munuenc les yeux;	Je ne sais qui me tient, Infâme, Que je ne munuenc les yeux;
Et ne t’apprenne où va le courrous d’unè Femme.	Et ne t'apprenne où va le courrous d'unè Me.
SIE.	SIE.
Hola.	Holà.
D’ou te vient donc ce tranſport furieux?	D'ou te vient donc ce transport furieux?
CLEANTHIS.	CLÉANTHIS.
Tu n’appelles donc rien le procedé, peut-eſtre, Qu’avec moy ton Cœur a tenu?	Tu n'appelles donc rien le procédé, peut-être, Qu'avec moi ton Cœur a tenu?
Et quers SOSIE.	Et quers SOSIE.
CLEANTHIS.	CLÉANTHIS.
Quoy!	Quoi!
tu fais l’ingenu !	tu fais l'ingénu !
Eſt-ce qu’à l’exemple du Maiſtre, Tu veux dire qu’icy tu n’es pas revenu?	Est-ce qu'à l'exemple du Maître, Tu veux dire qu'ici tu n'es pas revenu?
OSIE.	OSIE.
Non, je ſçay fort bien le contiane.	Non, je sais fort bien le contiane.
Mais je ne t’en fais pas le fin;	Mais je ne t'en fais pas le fin;
Nous avions bû de je ne ſçai quel Vin, Quilll a fuit ononentouue quujuj pufaire.	Nous avions bu de je ne sais quel Vin, Quilll a fuit ononentoue quujujuj pufaire.
CLEANTHIS.	CLÉANTHIS.
Tu ciois, peut-eitle, excuier par ce frait.	Tu ciais, peut-une, excuier par ce frait.
OSIE.	OSIE.
Non, tout de bon;	Non, tout de bon;
tu m’en peux croire.	tu m'en peux croire.
J’eſtois dans un eſtat, où je puis avoir fait Des choſes, dont j’aurois regret, Et dont je n’ay nulle memoire.	J'étais dans un état, où je puis avoir fait Des choses, dont j'aurais regret, Et dont je n'ai nulle mémoire.
CLEANTHIS.	CLÉANTHIS.
Tu ne te louviens point du tout de la maniere, Dont tu m’as ſçu traiter, eſtant venu du Port?	Tu ne te louviens point du tout de la manière, Dont tu m'as su traiter, étant venu du Port?
SIE.	SIE.
Non plus que rien.	Non plus que rien.
Tu peux m’en faire le raport.	Tu peux m'en faire le rapport.
Je ſuis equitable, & ſincere;	Je suis équitable, et sincère;
Et me condamneray moy-même, ſi j’ay tort.	Et me condamnerai moi-même, si j'ai tort.
CLEANTHIS.	CLÉANTHIS.
Comment!	Comment!
Amphitryon m’ayant ſçu diſpoſer, Juſqu’à ce que tu vins, j’avois pouſſé ma veille:	Amphitryon m'ayant suivi disposer, Jusqu'à ce que tu vins, j'avais poussé ma veille:
Mais je ne vis jamais une froideur pareille:	Mais je ne vis jamais une froideur pareille:
De ta Femme, il fallut moy-même t’aviſer;	De ta Femme, il fallut moi-même t'aviser;
Et lors que je fus te baiſer, Tu détournas le nez, & me donnas l’oreille!	Et lors que je fus te baiser, Tu détournas le nez, et me donnas l'oreille!
Bon!	Bon!
DOSIE.	DOSIE.
CLEANTHIS.	CLÉANTHIS.
Comment, bon?	Comment, bon?
OSIE.	OSIE.
Mon Dieu, tu ne ſçais pas pourquoy, Cleanthis, je tiens ce langage.	Mon Dieu, tu ne sais pas pourquoi, Cléanthis, je tiens ce langage.
J’avois mangé de l’Ail, & fis en Homme ſage, De détourner un peu mon haleine de toy.	J'avais mangé de l'Ail, et fis en Homme sage, De détourner un peu mon haleine de toi.
CLEANTHIS.	CLÉANTHIS.
Je te ſçus exprimer des tendreſſes de Cœur:	Je te sais exprimer des tendresses de Cœur:
Mais à tous mes diſcours tu fus comme une Souche.	Mais à tous mes discours tu fus comme une Souche.
Et jamais un mot de douceur, Ne te put ſortir de la bouche.	Et jamais un mot de douceur, Ne te put sortir de la bouche.
Coulage.	Coulage.
SOSIE.	SOSIE.
CLEANTHIS.	CLÉANTHIS.
Enfin ma flame eut beau s’emanciper.	Enfin ma flamme eut beau s'émanciper,
Sa chaſte ardeur en toy ne trouva rien que glace;	Sa chaste ardeur en toi ne trouva rien que glace;
Et dans un tel retour je te vis la tromper, juiqu'u fuire refus de prendre au Lit la place, Que les Loix de l’Hymen t’obligent d’occuper.	Et dans un tel retour je te vis la tromper, juiqu'oblige refus d' obliger au Lit la place, Que les Lois de l'Hymen t'obligent d'occuper.
da dde Quoy!	da de Quoi!
je ne couchay point.	je ne couchai point.
CLEANTHIS.	CLÉANTHIS.
Non, lâche.	Non, lâche.
SOSIE.	SOSIE.
Eſt-il poſſible!	Est-il possible!
CLEANTHIS.	CLÉANTHIS.
Traiſtre, il n’eſt que trop aſſuré.	Traître, il n'est que trop assuré.
C’eſt de tous les affronts, l’affront le plus ſenſible.	C'est de tous les affronts, l'affront le plus sensible.
Et loin que ce matin, ton Cœur l’ait reparé, Tu t’es d’avec moy ſeparé, Par des diſcours chargez d’un mépris tout viſible.	Et loin que ce matin, ton Cœur l'ait réparé, Tu t'es d'avec moi séparé, Par des discours chargez d'un mépris tout visible.
Vivat, sone :	Vivat, sone :
SOSIE.	SOSIE.
CLEANTHIS.	CLÉANTHIS.
He quoy?	He quoi?
ma plainte a cet effet?	ma plainte à cet effet?
Tu ris apres ce bel Ouvrage?	Tu ris après ce bel Ouvrage?
OSIE.	OSIE.
Que je ſuis de moy ſatisfait!	Que je suis de moi satisfait!
CLEANTHIS.	CLÉANTHIS.
Exprime-t-on ainſi le regret d’un outrage?	Exprime-t-on ainsi le regret d'un outrage?
OSTE.	ÔTE.
Je n’aurois jamais crû que j’euſſe eſté ſi ſage.	Je n'aurais jamais cru que j'eusse été si sage.
CLEANTHIS.	CLÉANTHIS.
Loin de te condamner d’un ſi perfide trait, Tu m’en fais éclater la joie en ton viſage.	Loin de te condamner d'un si perfide trait, Tu m'en fais éclater la joie en ton visage.
OSIE.	OSIE.
Mon Dieu, tout doucement.	Mon Dieu, tout doucement.
Si je parois joyeux, Croy que j’en ay dans l’Ame une raiſon tres-forte:	Si je parais joyeux, Crois que j'en ai dans l'Âme une raison très-forte:
Et que ſans y penſer, je ne fis jamais mieux, Que d'en uier tanton aveutoy de la ſorte.	Et que sans y penser, je ne fis jamais mieux, Que d'en uier tanton aveutoi de la sorte.
CLEANTHIS.	CLÉANTHIS.
Traiſtre, te moques-fu de moy?	Traître, te moques-fu de moi?
SIE.	SIE.
Non, je te parle avec franchiſe.	Non, je te parle avec franchise.
En l’état où j’eſtois, j’avois certain effroy, Dont, avec ton diſcours, mon Ame s’eſt remiſe.	En l'état où j'étais, j'avais certain effroi, Dont, avec ton discours, mon Âme s'est remise.
jearapprenendois ioit, ce claignors qu'’avec toy Je n’euſſe fait quelque ſottiſe.	jearapprenendais jait, ce claignors qu'avec toi Je n'eusse fait quelque sottise.
CLEANTHIS.	CLÉANTHIS.
Quelle eſt cette frayeur?	Quelle est cette frayeur?
& ſçachons donc pourquoi?	et sachons donc pourquoi?
OSIE.	OSIE.
Les Medecins diſent, quand on eſt yvre, Que de ſa Femme on ſe doit abſtenir;	Les Médecins disent, quand on est ivre, Que de sa Femme on se doit abstenir;
Et que dans cet état, il ne peut provenir, Que des Enfans pelans, & qui le içauloient vivre.	Et que dans cet état, il ne peut provenir, Que des Enfants pelants, et qui le içauloient vivre.
Voy, ſi mon Cœur n’eut ſçu de froideur ſe munir, Quels inconveniens auroient pû s’en enſuivre?	Vois, si mon Cœur n'eut sçu de froideur se munir, Quels inconvéniens auraient pu s'en ensuivre?
CLEANTHIS.	CLÉANTHIS.
Je me moque des Medecins, Avec leurs raiſonnemens fades.	Je me moque des Médecins, Avec leurs raisonnements fades.
Qu’ils reglent ceux qui ſont malades, Sans vouloir gouverner les Gens qui ſont bien ſains.	Qu'ils règlent ceux qui sont malades, Sans vouloir gouverner les Gens qui sont bien sains.
Ils ſe meſlent de trop d’Affaires, De pretendre tenir nos chaſtes feux génez;	Ils se mêlent de trop d'Affaires, De prétendre tenir nos chastes feux génez;
Et ſur les Jours Caniculaires, Ils nous donnent encor, avec leurs Loix ſeveres, De cent ſots contes par le nez.	Et sur les Jours Caniculaires, Ils nous donnent encor, avec leurs Lois sévères, De cent sots contes par le nez.
Tout doux.	Tout doux.
SOSIE.	SOSIE.
CLEANTHIS.	CLÉANTHIS.
Non, je ſoûtiens, que cela conclut mal, Ces raiſons ſont raiſons d’extravagantes teſtes.	Non, je soutiens, que cela conclut mal, Ces raisons sont raisons d'extravagantes têtes.
Il n’eſt ny vin, ny temps, qui puiſie eitre latai, A remplir le devoir de l’Amour conjugal, Et les Medecins ſont des Beſtes.	Il n'est assez vin, ni temps, qui puise eitre latai, A remplir le devoir de l'Amour conjugal, Et les Médecins sont des Bêtes.
OSIE.	OSIE.
Contr’eux, je t’en ſuplie, appaiſe ton courrous.	Contr'eux, je t'en supplie, apaise ton courrous.
Ce ſont d’honneſtes Gens, quoy que le Monde en dile.	Ce sont d'honnêtes Gens, quoi que le Monde en dile.
CLEANTHIS.	CLÉANTHIS.
Tu n’es pas où tu crois.	Tu n'es pas où tu crois.
En vain tu files dous.	En vain tu files dous.
Ton excuſe n’eſt point une excuſe de miſe:	Ton excuse n'est point une excuse de mise:
Et je me veux vanger, toſt ou tard, entre nous, De l’air dont chaque jour je voy qu’on me mépriſe.	Et je me veux venger, tôt ou tard, entre nous, De l'air dont chaque jour je vois qu'on me méprise.
Des diſcours de tantoſt, je garde tous les coups, Et tacheray d’uſer, lache & perfide Epous, De cette liberté que ton Cœur m’a permiſe.	Des discours de tantôt, je garde tous les coups, Et tacherai d'user, lache et perfide Épous, De cette liberté que ton Cœur m'a permise.
Quoy?	Quoi?
SOSIE.	SOSIE.
CLEANTHIS.	CLÉANTHIS.
Tu m’as dit tantoſt, que tu conſentois fort, Lâche, que j’en aimaſſe un autre.	Tu m'as dit tantôt, que tu consentais fort, Lâche, que j'en aimasse un autre.
OSIE.	OSIE.
Ah!	Ah!
pour cet Article, j’ay tort.	pour cet Article, j'ai tort.
Je m’en dédis;	Je m'en dédis;
il y va trop du noſtre.	il y va trop du Seigneur.
Ourde-toy bien de ſuivre ce tranſport.	Ourde-toi bien de suivre ce transport.
CLEANTHIS.	CLÉANTHIS.
Si je puis une fois pourtant, Sur mon Eſprit gagner la choſe.	Si je puis une fois pourtant, Sur mon Esprit gagner la chose.
OSIE.	OSIE.
Fais à ce diſcours quelque pauſe:	Fais à ce discours quelque pause:
Amphitryon revient, qui me paroiſt content.	Amphitryon revient, qui me paraît content.
SCENE IV.	SCÈNE IV.
UPITER, CLEANTHIS, SOSIE.	OÙPITER, CLÉANTHIS, SOSIE.
PITER.	PITER.
E viens prendre le temps de rapaiſer Alcméne, JDe bannir les chagrins, que ſon Cœur veut garder;	E viens prendre le temps de rapaiser Alcméne, JDe bannir les chagrins, que son Cœur veut garder;
Et donner à mes feux, dans ce ſoin qui m’améne, Le doux plaiſir de ſe racommoder.	Et donner à mes feux, dans ce soin qui m'amène, Le doux plaisir de se racommoder.
Alcméne eſt là-haut, n’eſt-ce pas?	Alcméne est là-haut, n'est-ce pas?
CLEAN	CLÉAN
CLEANTHIS.	CLÉANTHIS.
Ouy, pleine d’une inquietude, Qui cherche de la ſolitude;	Oui, pleine d'une inquiétude, Qui cherche de la solitude;
Et qui m’a defendu d’accompagner ſes pas.	Et qui m'a défendu d'accompagner ses pas.
ITER.	ITER.
Quelque defenſe qu’elle ait faite, Elle ne ſera pas pour moy.	Quelque défense qu'elle ait faite, Elle ne sera pas pour moi.
CLEANTHIS.	CLÉANTHIS.
Son chagrin, à ce que je voy, A fait une prompte retraite.	Son chagrin, à ce que je vois, A fait une prompte retraite.
SCENE V.	SCÈNE V.
CLEANTHIS, SOSIE.	CLEANTHIS, SOSIE.
DSIE.	DSIE.
Ue dis-tu, Cleanthis, de ce joyeux maintien.	Que dis-tu, Cléanthis, de ce joyeux maintien.
2 Aprés ſon fracas effroyable?	2 Après son fracas effroyable?
CLEANTHIS.	CLÉANTHIS.
Que ſi toutes nous faiſions bien, Nous donnerions tous les Hommes au Diable;	Que si toutes nous faisions bien, Nous donnerions tous les Hommes au Diable;
Et que le meilleur n’en vaut rien.	Et que le meilleur n'en vaut rien.
SIE.	SIE.
Cela le dit dans le courrous:	Cela le dit dans le courrous:
Mais aux Hommes, par trop, vous eſtes acrochées;	Mais aux Hommes, par trop, vous êtes acrochées;
Et vous ſeriez, ma foy, toutes bien empéchées, Si le Diable les prenoit tous.	Et vous seriez, ma foi, toutes bien empêchées, Si le Diable les prenait tous.
CLEANTHIS.	CLÉANTHIS.
Vrayment.	Vraiment.
SIE.	SIE.
Les voicy.	Les voici.
Taiſons-nous.	Taisons-nous.
SCENE VI.	SCÈNE VI.
JUPITER, ALCMENE, CLEANTHIS, SOSIE.	JUPITER, ALCMENE, CLEANTHIS, SOSIE.
UPITER.	OÙPITER.
ZOulez-vous me deſeſperer?	ZOulez-vous me désespérer?
Helas!	Hélas!
arreſtez, belle Alcméne.	arrêtez, belle Alcméne.
ALc	ALc
A LCMENE.	À LCMENE.
Non, avec l’Autheur de ma peine, je ne puis du tout uemeurer.	Non, avec l'Auteur de ma peine, je ne puis du tout uemeurer.
De grace.	De grâce.
UPITER.	OÙPITER.
A LCMENE.	À LCMENE.
Laiſſez-moy.	Laissez-moi.
PITER.	PITER.
Quoy.	Quoi.
A LCMENL.	À LCMENL.
Laiſſez-moy, vous dis-je.	Laissez-moi, vous dis-je.
PITER.	PITER.
Ses pleurs touchent mon Ame, & ſa douleur m’afflige.	Ses pleurs touchent mon Âme, et sa douleur m'afflige.
voumez que monceturare.	voumez que monceturare.
ALCMENE.	ÀLCMENE.
Non, ne ſivez point mes pas.	Non, ne sivez point mes pas.
Où voulez-vous aller?	Où voulez-vous aller?
ITER.	ITER.
ALCMENE.	ÀLCMENE.
Où vous ne ſerez pas.	Où vous ne serez pas.
PITER.	PITER.
Ce Vous cit une astente vuiic.	Ce Vous cit une astente vuiic.
Je tiens à vos Beautez, par un nœud trop ſerré, Pour pouvoir un momenten eitre ſeparé;	Je tiens à vos Beautés, par un nœud trop serré, Pour pouvoir un momenten eitre séparé;
Je vous ſuivray par tout, Alcméne.	Je vous suivrai par tout, Alcméne.
A LCMENE.	À LCMENE.
Et moy, par tout, je vous fuiray.	Et moi, par tout, je vous fuirai.
ITER.	ITER.
Je ſuis donc bien épouvantable?	Je suis donc bien épouvantable?
ALCMENE.	ÀLCMENE.
Plus qu’on ne peut dire, à mes yeux.	Plus qu'on ne peut dire, à mes yeux.
Oüy, je vous voy, comme un Monſtre effroyable;	Oui, je vous vois, comme un Monstre effroyable;
Un Monſtre cruel, furieux, Et dont l’approche eſt redoutable;	Un Monstre cruel, furieux, Et dont l'approche est redoutable;
Comme un Monſtre à fuir en tous lieux.	Comme un Monstre à fuir en tous lieux.
Mon Cœur ſouffre, à vous voir, une peine incroyable.	Mon Cœur souffre, à vous voir, une peine incroyable.
C’eſt C’eſt un ſuplice, qui m’accable;	C'est C'est un supplice, qui m'accable;
Et je ne voy rien, ſous les Cieux, D’affreux, d’horrible, d’odieux, Qui ne me fuſt, plus que vous, ſuportable.	Et je ne vois rien, sous les Cieux, D'affreux, d'horrible, d'odieux, Qui ne me fût, plus que vous, supportable.
PITER.	PITER.
En voila bien, helas!	En voilà bien, hélas!
que voſtre bouche dit !	que votre bouche dit !
A LCMENE.	À LCMENE.
J’en ay dans le Cœur davantage.	J'en ai dans le Cœur davantage.
Et pour s caprimer tout, ce Coeul a du depit, De ne point trouver de langage.	Et pour s caprimer tout, ce Coeul a du dépit, De ne point trouver de langage.
PITER.	PITER.
Hé!	Hé!
que vous a donc fait ma flame, Pour me pouvoir, Alcméne, en Monſtre regarder?	que vous a donc fait ma flamme, Pour me pouvoir, Alcméne, en Montre regarder?
ALCMENE.	ÀLCMENE.
Ah!	Ah!
juſte Ciel!	juste Ciel!
cela peut-il ſe demander?	cela peut-il se demander?
Et M'eit-ce pas poul mettre a pout dne Aine;	Et M'éit-ce pas poul mettre a pout dne Aine;
ITER.	ITER.
Ah !	Ah !
d’un Eſprit plus adoûcy.	d'un Esprit plus adouci.
A LCMENE.	À LCMENE.
Non, je ne veux, du tout, vous voir, ny vous entendre.	Non, je ne veux, du tout, vous voir, ni vous entendre.
1 I n l Avez-vous bien le cœur de me traiter ainſy?	1 I n ' Avez-vous bien le cœur de me traiter ainsi?
