A VIIIDIIRTE LA ROCVREVSE GENERALE.	À VIIIDIIRTE LA ROCUREUSE GÉNÉRALE.
204 LE PRINCE, en ſe mettant à genoux.	204 LE PRINCE, en se mettant à genoux.
CI G.	CY G.
Y TIGII C’eſt en vous adorant de toute ma puiſſance, Que ie marque ma joye & ma reconnoiſſance, Princeſſe incomparable en generoſité, Qui m’inſpirez la gloire & la felicité.	Y TIGY C'est en vous adorant de toute ma puissance, Que était marque ma joie et ma reconnaissance, Princesse incomparable en générosité, Qui m'inspirez la gloire et la félicité.
LA REYNE.	LA REINE.
Ah!	Ah!
Prince, leuez-vous.	Prince, levez-vous.
LE PRINCE.	LE PRINCE.
911 m!	911 m!
Souffrez Reine adorable, Quie dumt dhe Mtin quim an mtuaulasle, N’ayant à vous offrir que des vœux impuiſſans, Ercuſez ma foibleſſe, & ſouffrez mon encens.	Souffrez Reine adorable, Quie dut dhe Mtin qui an mtuaulâle, N'ayant à vous offrir que des vœux impuissants, Ercusez ma faiblesse, et souffrez mon encens.
LA REYNE.	LA REINE.
2 0e iomi dOI D hince à quoy ſongez-vous?	2 20ée iomi dOI D ince à quoi songez-vous?
on ſouffre tout d’vn main frere, 249 Qu'on aime auec tendreſſe, & qu’on veut ſatisfaire.	on souffre tout d'âme main frère, 249 Qu'on aime avec tendresse, et qu'on veut satisfaire.
Comme la belle Irene enfin eſt de mon ſang, Prince, & que voſtre Amour l’éleue en vn haut fois.	Comme la belle Irène enfin est de mon sang, Prince, et que votre Amour l'éleue en un haut fois.
rang, 2 – 2.	rang, 2 2.
Il faut, puiſque ie voy voſtre perſeuerance, De deux cœurs ſi conſtants releuer l’eſperance, Ceſſez donc vos regrets, eſtouffez vos ſoûpirs, Ie ſçay que ma deffence a troublé vos plaïfirs, Ie l’ay deu faire enfin, mettez-vous en ma place.	Il faut, puisque ie vo vôtre persévérance, De deux cœurs si constants relever l'espérance, Cessez donc vos regrets, étouffés vos soupirs, Je sais que ma défense a troublé vos plaïfirs, Je l'ai de ver enfin, mettez-vous en ma place.
Pouuois-je, dittes-moy, ſouffrir de bonne grace, Vn Amour ſi public à moy ſeule caché, Sans en purger le mal qui m’eſtoit reproché?	Pouvais-je, dites-moi, souffrir de bonne grâce, Un Amour si public à moi seule caché, Sans en purger le mal qui m'était reproché?
Ie veux que cet Amour fuſt la meſme ihnocence Il faiſoit cependant parler la médiſance, I’ay deu donc par mon ordre en arreſter le cours Et j’affeure par là le repos de vos jours, Car, mon ffere, ie voy comme vous eſtes ſage Que vous vous reſoluez enfin au mariage, Et comme ma Couſine a deſia voſtre foy, Vous cherchez mon appuy pour y porter le Roy Car ſon conſentement nous eſt tres-neceſſaire, Ouy ie voûs veux ſeruir, ie promets de le faire Le Roy m’aime, il ſuiura ce que nous reſoudrons, 4 Ouy ſans doute il voudra tout ce que nous voudrons, Et juſte comme il eſt, j’oſe pretendre meſme, Que comme j’aime Irene, & luy tout ce que j'aime, Il voudra ſeconder mes deſirs de tout point, Pour faire ſa fortune.	Je veux que cet Amour fût la même ihnocence Il faisait cependant parler la médisance, J'ai dev donc par mon ordre en arrêter le cours Et j'affeure par là le repos de vos jours, Car, mon sere, je vois comme vous êtes sage Que vous vous résolvez enfin au mariage, Et comme ma Cousine a déjà votre foi, Vous cherchez mon appui pour y porter le Roi Car son consentement nous est très-nécessaire, Ouijà le voûs veux servir, mon promets de le faire Le Roi m'aime, il suivra ce que nous résoudrons, 4 Oui sans doute il voudra car ce que nous voudrons, Et juste comme il est, ose prétendre m, Que comme ai Irene, et lui tout ce que j'ai, Il voudra seconder mes désirs de tout point, Pour faire sa fortune.
Il ne ine Iepond point, Il paroiſt interdit au point qui plus le touche;	Il ne iné Pond point, Il paraît interdit au point qui plus le touche;
L’excez de ſon bon-heur luy doit fermer la bou.	L'excès de son bonheur lui doit fermer la bou.
che,	che,
MMLE PRIN-CE, bas.	MMLE PRIN-CE, bas.
Qu’ay-je à luy repartir, Dieux!	Qu'ai-je à lui répartir, Dieux!
que ie ſuis conſus, Fuyons, il faut mourir quand on n’eſpere plus, Tu m’as bien-toſt quitté foible & vaine eſpe rance.	que ici suis consus, Fuyons, il faut mourir quand on n'espère plus, Tu m'as bientôt quitté faible et vaine espège rance.
LA REYNE, bas.	LA REINE, bas.
S’il n’a payé, mes ſoins que d’vne reuerence, C’eſt qu’il garde en ſon cœur tout ſon reſſer timent;	S'il n'a payé, mes soins que d'une révérence, C'est qu'il garde en son cœur tout son resser timent;
C’eſt comme en doit vſer vn fort diſcret Amant, Il s’expliquera mieux peut-eſtre auec Irene.	C'est comme en doit user un fort discret Amant, Il s'expliquera mieux peut-être avec Irene.
SCENE III.	SCÈNE III.
l̀ neiddion egoyel iioc bhoqRom oRll LA REYNE, IRENE, LE PRINCE, LE CAPITAINE DES GARDES, &c.	l neidion égoiel jioc bhoqRom oRll LA REINE, IRENE, LE PRINCE, LE CAPITAINE DES GARDES, etc.
LE PRINCIE, bas.	LE PRINCIE, bas.
Loin de ſes yeux mettons fin à ma peine, vier	Loin de ses yeux mettons fin à ma peine, vier
LA REYNE.	LA REINE.
d120 nlaroita us jelsdo cnd Irene eſt-eſſe-la, qu'on la fane vems, hM La voicy, vous pouuez ſeuls vous entretenir.	d120 nlaraita us jelsdo cnd Irène est-la, qu'on la fane ems, hM La voici, vous pouvez seuls vous entretenir.
Il faut les laiſſer ſeuls, ma preſence les trouble.	Il faut les laisser seuls, ma présence les trouble.
Bas	Bas
LE IRINCM * 74 Qu’attens-je?	LE IRINC * 74 Qu'attends-je?
que ma honte encore icy redouble, Fuyons.	que ma honte encore ici redouble, Fuyons.
SCENE IV.	SCÈNE IV.
LA REYNE, IRENE.	LA REINE, IRENE.
LA REYNE.	LA REINE.
moxne 2 Quelle ſurpriſe Irene, qu’eſt-cecy LePrince fuit de vous quand ie l’appelle icy, I uert Cij ini fort M’offant de le ſeruir meſme en voſtre preſence, Il ne m’a reparti que d’vne reuerence, Il n’a pas dit vn mot, il fuit tout interdit.	modène 2 Quelle surprise Irene, qu'est-ceci LePince fuit de vous quand toute l'appelle ici, I uert Cijà ini fort M'osant de le servir même en votre présence, Il ne m'a reparti que d'une révérence, Il n'a pas dit un mot, il fuit tout interdit.
IRENE.	IRENE.
Iinle nle furprenu point, ie vous l’auois bien dit	Jinle né furprenu point, je vous l'avais bien dit
2 LAREYNE.	2 LAREYNE.
Quoy, que m’auez-vous dit?	Quoi, que m'avez-vous dit?
8 IRENE.	8 IRENE.
1 Que ce Prince volage, Ne pouuoit plus ny voir ny ſouffrir mon viſage, Et qu’enfin ſon deſir aſpire en lieu plus haut;	1 Que ce Prince volage, Ne pouvait plus rien voir ni souffrir mon visage, Et qu'enfin son désir aspire en lieu plus haut;
En termes aſſez clairs j’ay marqué ſon deffaut, Madame, & ce grand crime auoit deu vous ſurprendre, Alvamo UOy „ Mais vous penſiez ailleurs, & n’auez peu comprendle, Que le feu criminel, horrible, monſtrueur, Dont bruſle ce perfide, eſtoit inceſtueux.	En termes assez clairs j'ai marqué son défaut, Madame, et ce grand crime avait dû vous surprendre, Alvamo UOi „ Mais vous pensiez ailleurs, et n'avez pu comprendle, Que le feu criminel, horrible, monstrueur, Dont brûle ce perfide, était incestueux.
L'A REYNE.	L'A REINE.
Dieux!	Dieux!
que m’oſez-vous dire?	que m'osez-vous dire?
IRENE.	IRENE.
Ah!	Ah!
pluſt au ciel, Madame, ue l’on vous puſt cacher cette brutalle flâme, Mais elle eſt trop viſible, & ce crime odieux, Qui fait fremir mon cœur, va pareſtre à vos yeux, Ie n’en parlerois point ſi dedans mon ſilence, I'en pouuois eſtouffer toute la violence, Mais vous ſçauriez bien-toſt ce que j’aurois caché, Et mon ſilence enfin me ſeroit reproché:	plut au ciel, Madame, ue l'on vous pût cacher cette brutalle flamme, Mais elle est trop visible, et ce crime odieux, Qui fait frémir mon cœur, va paraître à vos yeux, Je n'en parlerais point si dedans mon silence, J'en pouvais étouffer toute la violence, Mais vous sauriez bientôt ce que j'aurais caché, Et mon silence enfin me serait reproché:
Si j’auois à ſouffrir ſeule de ce pariure, Ie voudrois en ſecret deteſter ſon iniure, Et pleurer mon honneur dont l’ingrat s’eſt mocqué;	Si j'avais à souffrir seule de ce parjure, Je voudrais en secret détester son injure, Et pleurer mon honneur dont l'ingrat s'est moqué;
Mais ie voy que le voſtre encore eſt attaqué, Si vous n’y prenez garde il peut ſouffrir atteinte;	Mais ici vois que le vôtre encore est attaqué, Si vous n'y prenez garde il peut souffrir atteinte;
Ce monſtre eſt ſans reſpect, ſans honneur, & ſans crainte, 11013 Pour peu de liberté qu’on luy veuilſe donner.	Ce montre est sans respect, sans honneur, et sans crainte, 11013 Pour peu de liberté qu'on nous veuilse donner.
Il oſe tout, Madame, & ne ſe peut borner.	Il ose tout, Madame, et ne se peut borner.
LA REYNE.	LA REINE.
Ie borneray pourtant cette ardeur inſenſée;	Je bornerai pourtant cette ardeur insensée;
Quoy iuſqu’à nous, Irene, éleuer ſa penſée?	Quoi jusqu'à nous, Irene, élever sa pensée?
Songe-t’il qui ie ſuis, ne ſe connoiſt-il pas:	Songe-t-il qui ici suis, ne se connaît-il pas:
Quoy ce feu monſtrueux naiſtroit de mes appas?	Quoi ce feu monstrueux naîtrait de mes appas?
Non, non, ſans fondement vous attaquez ſa gloire, Ce crime eſt inouy, ie ne le ſçaurois croire, Et parce que peut-eſtre il vous paroiſt leger, Voſtre fureur jalouſe aſpire à ſe vanger.	Non, non, sans fondement vous attaquez sa gloire, Ce crime est inouï, Seigneur ne le saurais croire, Et parce que peut-être il vous paraît léger, Votre fureur jalouse aspire à se venger.
Toutefois, quand ie penſe à ſes diſcours, ie tremble, Il me ſouuient tantoſt que nous eſtions enſemble, Que par cent actions plus claires que le iour, Il a marqué ſon crime, & m’a parlé d’Amour, Ie vous croyois l’obiet de ſa flâme inſenſée, Et ce n’eſtoit qu’à moy qu’elle eſtoit addreſſée, I’ay pris aſſez long-temps le change innocẽment, Mais i’ay deſabuſé ce temeraire Amant;	Toutefois, quand ie pense à ses discours, quelque tremble, Il me souvient tantôt que nous étions ensemble, Que par cent actions plus claires que le jour, Il a marqué son crime, et m'a parlé d'Amour, Je vous croyais l'objet de sa flamme insensée, Et ce n'était qu'à moi qu'elle était adressée, J'ai pris assez longtemps le change innocẽment, Mais j'ai desabusé ce téméraire Amant;
Quand ie vous ay nommée, il a perdu courage Vne paſleur mortelle a couuert ſon viſage, Et quand j’ay commandé qu’on vous fiſt appeller, Tout confus de cet ordre il a fuy ſans parler:	Quand grands vous ai nommée, il a perdu courage Une pâleur mortelle a couvert son visage, Et quand j'ai commandé qu'on vous fît appeler, Tout confus de cet ordre il a fui sans parler:
Par cette reſiſtance il m’a trop fait comprendre, Où ſon deſir aueugle oſe auiourdhuy pretendre.	Par cette résistance il m'a trop fait comprendre, Où son désir aveugle ose auiourdhuy prétendre.
Ouy, ie rappelle enfin toute ſon action, Il m’expliquoit aſſez ſa folle paſſion, C’eſt ſur moy ſeulement qu’il attachoit ſa veuë, De ſa brutalité ie ſuis trop conuaincuë:	Oui, Seigneur rappelle enfin toute son action, Il m'expliquait assez sa folle passion, C'est sur moi seulement qu'il attachait sa vue, De sa brutalité se suis trop convaincue:
N’en diſons mot, Irene, vn ſilence eternel, Doit couurir dans le monde vn feu ſi criminel, N’en faiſons rien connoiſtre, & ſauuons-nous la honte, De ce feu dangereux qui tous deux nous affronte, Il eſt frere aprés tout de mon fidelle époux, Sauuons-le, ou pour mieux dire, Irene, ſauuons.	N'en disons mot, Irene, un silence éternel, Doit couvrir dans le monde quelque feu si criminel, N'en faisons rien connaître, et sauvons-nous la honte, De ce feu dangereux qui tous deux nous affronte, Il est frère après tout de mon fidèle époux, Sauvons-le, ou pour mieux dire, Irene, sauvons.
nous.	nous.
IRENE.	IRENE.
Miais 9ie vous cre aimer, nvous rorera dire, Et comme auecque vous il gouuerne l’Empire, Il peut à tous momens trouuer l’occaſion, De vous entretenir pour ſa confuſion.	Miais 9ie vous cre mer, nvous rorera dire, Et comme avec vous il gouverne l'Empire, Il peut à tous moments trouver l'occasion, De vous entretenir pour sa confusion.
LA REYNE.	LA REINE.
Pour épargner ſa honte, & ſauuer mes reproches, Ie veux à l’auenir éuiter ſes approches;	Pour épargner sa honte, et sauver mes reproches, Je veux à l'avenir éviter ses approches;
Quand ie le verray ſeul tourner vers moy ſes pas, Ie vous ordonneray de ne me quitter pas, Et ie luy paroiſtray ſi graue & ſi ſeuere, Que ie le forceray malgré luy de ſe taire.	Quand jour le verrai seul tourner vers moi ses pas, Je vous ordonnerai de ne me quitter pas, Et ie luy paraîtrai si grave et si sévère, Que je le forcerai malgré lui de se taire.
FIN DV SECOND ACTE.	FIN DU SECOND ACTE.
ACTE III.	ACTE III.
SCENE I.	SCÈNE I.
TERALDE, LE PRINCE.	TERALDE, LE PRINCE.
TERALDE.	TERALDE.
Ieuſſe eſté bien confus.	Jeusse été bien confus.
LE PRINCE.	LE PRINCE.
Qui ne l’euſt pas eſté?	Qui ne l'eût pas été?
Aprés m’auoir des yeux & de la voix flatté, Laiſſant d’vn doux eſpoir mon ame toute pleine, Elle m’a fait ſentir qu’elle parloit d’Irene.	Après m'avoir des yeux et de la voix flatté, Laissant d'un doux espoir mon âme toute pleine, Elle m'a fait sentir qu'elle parlait d'Irène.
TERALDE.	TERALDE.
Là vous l’auez quittée.	Là vous l'avez quittée.
ALTRIICOI.	ÀLTRICOI.
Ouy ſans conſiderer, Que ce bruſque depart m’alloit des-honorer.	Oui sans considérer, Que ce brusque départ m'allait déshonorer.
TERALDE.	TERALDE.
Seigneur, c’eſt voſtre Amour qui ſeul vous deshonore, Souffrez qu’auec reſpect ie vous en parle encore, Ah!	Seigneur, c'est votre Amour qui seul vous déshonore, Souffrez qu'avec respect ion vous en parle encore, Ah!
Seigneur, eſtouffez ces iniuſtes deſirs, Et vous vous ſauuerez de cruels déplaiſirs, Iuſques icy la Reine ignore voſtre flâme, Ne luy laiſſez pas voir dans le fonds de voſtre ame, Cette Amour criminelle, & ces feux dereglez, Dont vous eſtes le Maiſtre encor ſi vous voulez, Noſtre Roy, le plus juſte & le meilleur des Princes, Vous aime, & vous commet le ſoin de ſes Prouinces, Il vous laiſſe en ſa place abſolu dans l’Eſtat, Lit ee pour j armer vn horrible attentat, Et quand lur Amurat ſi gagne vne victoire, Demeurez-vous icy pour luy voler ſa gloire?	Seigneur, étouffez ces injustes désirs, Et vous vous sauverez de cruels déplaisirs, Jusques ici la Reine ignore votre flamme, Ne lui laissez pas voir dans le fond de votre âme, Cette Amour criminelle, et ces feux déréglez, Dont vous êtes le Maître encor si vous voulez, Notre Roi, le plus juste et le meilleur des Princes, Vous aime, et vous commet le soin de ses Provinces, Il vous laisse en sa place absolu dans l'État, Lit ce pour d armer un horrible attentat, Et quand lur Amat si gagnement victoire, Demeurez-vous pour lui voler sa gloire?
LE PRINCE.	LE PRINCE.
Ma raiſon gouſte encor vos fidelles aduis, Teralde, mais i’ay peur qu’ils ne ſoient pas ſuiuis, Ma paſſion m’emporte, & ie crains que la Reine, N’ait deſia tout appris de la bouche d’Irene, Cette fille jalouſe en ce bruſque départ, A trop veu qu’à mon cœur elle n’a plus de part, Et pour peu que le ſien incline à la vangeance, Elle doit inſulter ſur mon extrauagance, Ie la voy, ie la ſens, & ne m’en puis guerir, Enfin ie connoy bien qu’il en faudra mourir, Ne me refuſez pas vos conſeils ſalutaires, Vous voyez à quel point ils me ſont neceſſaires, Mais ſi vous m’aimez bien, ne me conſeillez pas, En deuſſiez-vous preuoir ma honte, & mon trépas, Que ie mette en oubly ces attrais & ces charmes, Qui m’ont deſia couſté tant de vœux & de larmes.	Ma raison goûte encor vos fidèles avis, Téralde, mais j'ai peur qu'ils ne soient pas suivis, Ma passion m'emporte, et et ainsi que la Reine, N'ait déjà tout appris de la bouche d'Irène, Cette fille jalouse en ce brusque départ, A trop vu qu'à mon cœur elle n'a plus de part, Et pour peu que le sien incline à la vengeance, Elle doit insulter sur mon extravagance, Je la vois, ie la le, et ne m'en puis semoy, Bien ie connoy bien qu'il en faudra mourir, Ne me refusez pas vos conseils salutaires, Vous voyez quel point ils me sont pas, Mais si vos aimez bien, ne me conseil pas, En deussiez-vous y ma honte, et mon à, Quel ieoint en il ces attrais et me charmes, Qui sont né cetant de vœux et de ires,
TERALDE.	TERALDE.
ſais c’eſt la vertu meſme, ah!	sais c'est la vertu même, ah!
ne la voyez plus, cigneur, ou mes comensteront uien luperfſus.	ne la voyez plus, cigneur, ou mes comensteront ouvien luperfsus.
LE PRINCE.	LE PRINCE.
Mais, Teralde, il faut bien qu'auiourdhuy ie la voye ay deſia trop tardé dans vn ſujet de joye, le ſçait qu’vn Courrier m’eſt venu ce matin, luitoy piemrus giore ignorant le deſtin, faut ſans differer que ie luy rende conte, combat, qui gagné couure Amurat de honte.	Mais, Téralde, il faut bien qu'auiourdhuy ie a voie ai déjà trop tardé dans un sujet de joie, le sait qu'un Courrier m'est venu ce matin, luit piemrus giore ignorant le destin, faut sans différer que ie ans rende compte, combat, qui gagné couvre Amurat de honte.
& ERALDE.	et ERALDE.
roicy dans l'allée.	roici dans l'allée.
–	
LE PRINCE.	LE PRINCE.
3l raiidn Ah!	3l raiid Ah!
furprenant objet.	surprenant objet.
ERALDE.	ERALDE.
12 Le Roy pour l’entretien fournit vn beau ſujet, Seigneur, & vous aurez autant que luy de gloire, Si ſur vos paſſions vous gagnez la victoire.	12 Le Roi pour l'entretien fournit un beau sujet, Seigneur, et vous aurez autant que notre de gloire, Si sur vos passions vous gagnez la victoire.
SCENE II.	SCÈNE II.
l Oen.	Ô Len.
u LA REYNE, LE PRINCE, IRENE LE CAPITAINE, &c.	Ou LA REINE, LE PRINCE, IRENE LE CAPITAINE, etc.
LA REYNE.	LA REINE.
Mon frere, auez-vous eu des nouuelles du Rort	Mon frère, avez-vous eu des nouvelles du Rort
CH 223 LEPRINCE.	CH 223 LEPRINCE.
Dans le champ d’Amurat il a ſemé l’effroy, Madame, & deuant Varne il a bien fait pareſtre;	Dans le champ d'Amurat il a semé l'effroi, Madame, et devant Varne il a bien fait paraître;
Qu’il eſt Chef des Chreſtiens, qu’il eſt digne de I'eſtre, Que ſeruant vn grand Maiſtre, il ne redoute rien, Et qu’vn bras tout puiſſant a ſecondé le ſien.	Qu'il est Chef des Chrétiens, qu'il est digne de J'être, Que servant un grand Maître, il ne redoute rien, Et qu'un bras tout puissant a secondé le sien.
Enfin il a reduit par ſa rare conduite Comme par ſa valeur Amurat à la fuite, De tout ce grand ſuccez ie ſçay la verité, Voicy ce qu’il eſcrit à voſtre Majeſté.	Enfin il a réduit par sa rare conduite Comme par sa valeur Amurat à la fuite, De tout ce grand succès lors sais la vérité, Voici ce qu'il écrit à votre Majesté.
LA REYNE, en liſant ſa lettre.	LA REINE, en lisant sa lettre.
Ce n’eſt qu'vn compliment qui marque ſa victoire, Et qu’il vous fait ſçauoir le détail de ſa gloire.	Ce n'est qu'un compliment qui marque sa victoire, Et qu'il vous fait savoir le détail de sa gloire.
Il ſe tourne LE PRINCE, bas.	Il se tourne LE PRINCE, bas.
Afin qu’en liberté ie puiſſe m’expliquer, eignons quelque ſecret à luy communlquer, Elloignons cette ſuitte.	Afin qu'en liberté ie puisse m'expliquer, eignons quelque secret à lui marquer, Éloignons cette suite.
LAREYNE, bas à Irene.	LAREYNE, bas à Irene.
d1 Ah!	d1 Ah!
demeurez Irene, s’il reſte ſeul icy ie ſouffriray la geſne;	demeurez Irène, s'il reste seul ic ie souffrirai la gêne;
11 Mais il n’oſera rien, non, mes ſoupçons ſont vains, Ne donnons nulle marque icy que ie le crains, Allez, lantez-nous feuio, m a peat-eſtre à dire, Queique iiportanle recret qui regarde l’Empire.	11 Mais il n'osera rien, non, mes soupçons sont vains, Ne donnons nulle marque ici que sans le crains, Allez, lantez-nous feuio, mat a péat-être à dire, Queique jiportanle recret qui regarde l'Empire.
SCENE III.	SCÈNE III.
LA REYNE, LE PRINCE.	LA REINE, LE PRINCE.
10 20 LARLINE.	10 20 LARLINE.
10222L*31 *00 Nos Chreſtiens ſont enfin des Turcs victorieux.	1022L*31 *0 Nos Chrétiens sont enfin des Turcs victorieux.
LE PRINCE.	LE PRINCE.
Ouy, Madame, & ie voy le Roy fort glorieux, On vante ſa conduite, on prne ſon courage, Mais quoy, ce n’eſt pas là ſon plus grand aduantage, I'en ſçay quelqu’autre encore à qui tout doit ceder.	Oui, Madame, et je vois le Roi fort glorieux, On vante sa conduite, on prne son courage, Mais quoi, ce n'est pas là son plus grand avantage, J'en sais quelqu'autre encore à qui tout doit céder.
Quel?	Quel?
LAREYI E.	LAREYI E.
LE PRINCE.	LE PRINCE.
Celuy de vous plaire, & de vous poſſeder, Madame, & ſans mentir, ſi j’eſtois en ſa place Ie verrois ma fortune ainſi qu’vne diſgrace, Et croy que ſes lauriers qui luy ſemblent ſi dour Me ſeroient des Cyprés, s’ils m’éloignoient de tolei	Celui de vous plaire, et de vous posséder, Madame, et sans mentir, si j'étais en sa place Je verrais ma fortune ainsi qu'une disgrâce, Et crois que ses lauriers qui lui semblent si dour Me seraient des Cyprès, s'ils m'éloignaient de tolei
LA REYNE.	LA REINE.
Le Roy ſeroit blaſmé, s’il ne m’auoit quittée, Pour meriter l’eſtime où ſa gloire eſt montée.	Le Roi serait blâmé, s'il ne m'avait quittée, Pour mériter l'estime où sa gloire est montée.
2214H1 LE PRINCE.	214H1 LE PRINCE.
Ce n'eſt qu’vne chimere, & ſelon ſes deſirs, Il gouſte auprés de vous de ſolides plaiſirs, Certes, quand la fortune en caprices feconde, L’auroit rendu le maiſtre, & l’arbitre du monde, S’il ſuiuoit ma penſée il feroit tout ceder, A l’honneur de vous ſuiure & de vous poſſeder, D’vn ſeul de vos regards il feroit plus de conte.	Ce n'est qu'une chimère, et selon ses désirs, Il goûte auprès de vous de solides plaisirs, Certes, quand la fortune en caprices féconde, L'aurait rendu le maître, et l'arbitre du monde, S'il suivait ma pensée il ferait tout céder, A l'honneur de vous suivre et de vous posséder, D'un seul de vos regards il ferait plus de conte.
LA REYNE, bas.	LA REINE, bas.
100 Rompons cet entretien qui me couure de honte, Mais, mon frere, aprés tout que vous eſcrit le Roy?	100 Rompons cet entretien qui me couvre de honte, Mais, mon frère, après tout que vous écrit le Roi?
110 41	110 41
LE'PRINCE.	LE'PRINCE.
Il m’inſtruit des bõtez que vous auez pour moy, Madame, & me fait voir ſur voſtre témoignage, Qu’il tire de mon zele vn notable aduantage, Qu’il doit tout à mes ſoins dont il ſent les effets, Que ie le ſers enfin au gré de ſes ſouhaits, Et ne puis imputer qu’à vos ſeuls bons offices, Tout le gré qu’il me ſçait de mes foibles ſeruices.	Il m'instruit des bontés que vous avez pour moi, Madame, et me fait voir sur votre témoignage, Qu'il tire de mon zèle un notable avantage, Qu'il doit tout à mes soins dont il sent les effets, Que pu le sers enfin au gré de ses souhaits, Et ne puis imputer qu'à vos seuls bons offices, Tout le gré qu'il me sait de mes faibles services.
LA REYNE.	LA REINE.
Quand j’aſſeure le Roy que vous le ſeruez bien, Ie le ſers comme vous, vous ne m’en deuez rien, Et tant que vous aurez cette loüable enuie, vous me ſeret, nlon iiere, aum ener que ma vie.	Quand j'assure le Roi que vous le servez bien, Je le sers comme vous, vous ne m'en devez rien, Et tant que vous aurez cette louable envie, vous me sûret, nlon jière, aum en que ma vie.
LE PRINCE EN LVY BAISANT LA MAIN qu’elle venoit de deganter.	LE PRINCE EN LU BAISANT LA MAIN qu'elle venait de ganter.
Sounfez Reme adorable vi ed ur recohnoiſſant.	Sounfez Reme adorable vi ed ur recohnaissant.
Qui ne vous marque icy que ſon zele impuiſſant.	Qui ne vous marque ici que son zèle impuissant.
LA REYNE, bas.	LA REINE, bas.
Ie comiſſence à rougir de ron extrauagafice.	Je comissence à rougir de ron extravagafice.
Feignons de l’imputer à ſa reconnoiſſance, Mon frere, ah!	Feignons de l'imputer à sa reconnaissance, Mon frère, ah!
ç’en eſt trop.	ç’en est trop.
LE PRINCE, ſe jettant à ſes pieds.	LE PRINCE, se jetant à ses pieds.
Helas!	Hélas!
ç’en eſt trop peu, Et ie m’efforce en vain de vous cacher mon feu, Souffrez que i’oſe enfin dire que ie vous aime, Madame ayez pitié de mon deſordre extreſme, Plaignez vn malheureux qui tremble à voſtre vne ſi aſpect, Mais qui ſent ſon amour plus grand que ſon reſpect, Ie ne ſçaurois plus viure en n grande contrainte, I’ay banny de mon cœur & la honte & la crainte, Aprés auoir enfin ſoûpiré tant de fois, Enfin pour m’expliquer ie hazarde la voix, Et ſi.	ôte et la trop peu, Et ainsi m'efforce en vain de vous cacher mon feu, Souffrez que j'ose enfin dire que je vous aime, Madame ayez pitié de mon désordre extrême, Plaignez un malheureux qui tremble à votre si aspect, Mais qui sent son amour plus grand que son respect, Je ne saurais plus vivre en n grande contrainte, J'ai banni de mon cœur et la honte et la crainte, Après avoir enfin soûpiré tant de fois, Enfin pour m'expliquer quelque hasarde la voix, Et six,
LA REYNE.	LA REINE.
Prince arreſtez, que m’oſez-vous apprendre?	Prince arrêtez, que m'osez-vous apprendre?
Arreſtez, ſans horreur ie ne vous puis entendre, Reſuez-vous, eſt-ce à moy que vous penſez parler?	Arrêtez, sans horreur ici ne vous puis entendre, Rêvez-vous, est-ce à moi que vous pensez parler?
LE PRINCE.	LE PRINCE.
mauait re sy bien juſqu’où j’oſe voler, Et n’attens que la ſort d'vn vorncemcraire,	mavait re sy bien jusqu'où j'ose voler, Et n'attends que la sort d'un vorncemaire,
LA REYNE.	LA REINE.
Ah!	Ah!
ſi vous oubliez que vous eſtes mon frere, Si vous contez pour iien d’outrager voſtre Roy, D’outrager la nature, au moins épargnez-moy Regardez qur le luis, longez d’lton ertime, Et ſauuez ma vertu Prince de voſtre crime.	si vous oubliez que vous êtes mon frère, Si vous contez pour jien d'outrager votre Roi, D'outrager la nature, au moins épargnez-moi Regardez qur le luis, longez d'lton ertime, Et sauvez ma vertu Prince de votre crime.
LE PRINCE.	LE PRINCE.
Ah!	Ah!
ſi vous ſongiez bien vous-mefme à vos appas.	si vous songiez bien vous-même à vos appas.
LA REINE.	LA REINE.
H Pauure Prince aueuglé ne vous emportez pas, Ie vous veux regarder encor comme mon frere, La tendreſſe de ſœur arreſte ma colere;	H Haure Prince aveuglé ne vous emportez pas, Je vous veux regarder encor comme mon frère, La tendresse de sœur arrête ma colère;
Ouy j’ay pitié de vous, Prince, & ie vous promets, Si vous vous repentez, de n’y penſer jamais, Ie me reprocheray cette ardeur enragée, Comme ſi ie l’auois bizarrement ſongée, Reuenez donc à vous, ouurez, ouurez les yeux, Et voyez où vous porte vn deſir furieux, Seriez-vous pas perdu ſi le Roy qui vous aime, Pouuoit eſtre aduerti de ce deſordre extreſme, Sçauez-vous qui ie ſuis, me connoiſſez-vous bien?	Oui j'ai pitié de vous, Prince, et je vous promets, Si vous vous repentez, de n'y penser jamais, Je me reprocherai cette ardeur enragée, Comme si on l'avais bizarrement songée, Revenez donc à vous, ouvrez, ouurez les yeux, Et voyez où vous porte un désir furieux, Seriez-vous pas perdu si le Roi qui vous aime, Pouvait être averti de ce désordre extrême, Savez-vous qui ie suis, me connaissez-vous bien?
e	Je
LE PRINCE.	LE PRINCE.
Madame ma raiſon ne me ſert plus de rien, Ie ſens qu’elle me quitte, en vain ie la rappelle, Ie ſuis trop amoureux & vous eſtes trop belle, Madamc.	Madame ma raison ne me sert plus de rien, Je sens qu'elle me quitte, en vain Roi Roi rappelle, Roi Roi la amoureux Je suis estes trop belle, Madamc.
L'A REINE.	L'A REINE.
Ah!	Ah!
