DVLE PRINCE RECONNV TRAGI-COMEDIE.	DULE PRINCE RÉCONNV TRAGI-COMÉDIE.
Mais enfin, voulez-vous arreſter dauantage dans vne ville que ie dois ſaccager?	Mais enfin, voulez-vous arrêter davantage dans une ville que ici dois saccager?
Voulezvous vous qu’on die à voſtre honte que vous auez entiepns inutſiement de ſecourir Egée.	Voulezvous vous qu'on die à votre honte que vous avez entiepns inutsiément de secourir Egée.
MLA THESEE.	MLA THESEE.
Non.	Non.
11	11
ANTIOPE.	ANTIOPE.
Que voulez-vous donc faire?	Que voulez-vous donc faire?
bM IHA	bM IHA
Pourſuiure mon deſſein.	Poursuivre mon dessein.
ANTIOPE.	ANTIOPE.
Vous ne ſçauriez me voir ſouuent ſans vous faireſoupçonner d’Egée.	Vous ne sauriez me voir souvent sans vous fairesoupçonner d'Egée.
THESEE.	THESEE.
le ſeray bien à couuert de toute for2 te de ſoupçons dés auſſi-toſt qu’il me reconfoiſtra.	le serai bien à couvert de toute for2 te de soupçons dès aussitôt qu'il me réconfoistra.
ANTIGPE.	ANTIGPE.
Mais ne craignez-vous point Mvedec?	Mais ne craignez-vous point Muedec?
ATHESEEVE Vne belle femme ne ſçauroit me donner de la crainte.	ATHESEEVE Vune belle femme ne saurait me donner de la crainte.
e 30 DMn	 30 DMn
1 NTIOPE.	1 NTIOPE.
L Ie ſouhaitte qu’elle ne puiſſe pas auſſi vous donner dell’amour, mais ie n’oze m’en aſſeurer.	 Le souhaite qu'elle ne puisse pas aussi vous donner dellamour, mais je n'ose m'en assurer.
IANON THESEE.	IANON THESEE.
Vous le deuez.	Vous le devez.
10D1R.	10D1R.
IOPE.	JOPE.
Elle a bien des charmes,	Elle a bien des charmes,
111 O THESEE.	111 Ô THESEE.
IL DO UDEUO Ses charmes l’ont renduë abominable.	IL DO UDEUO Ses charmes l'ont rendue abominable.
Maig ’entends du bruit prés de nous, Adieu, ne doutez iamais de mon affection.	Maig eentends du bruit prés de nous, Adieu, ne doutez jamais de mon affection.
1CP.	1CP.
TALESTRIE.	TALÊTRIE.
Ah!	Ah!
Madame, au ſecours les ennemis emeielſent ra Prmieene voltie ſœur, mais nous tenons Pyritous.	Madame, au secours les ennemis emeielsent ra Prémieene voltie sœur, mais nous tenons Pyritous.
ANTIOPE.	ANTIOPE.
Allons chere Iuicieris, allons la deſiuret, ou mourir auec elle.	Allons chère Juicieris, allons la desiuret, ou mourir avec elle.
NENEIII LMid2 O IEGl ali EGEE.	NENEIII LMid2 Ô IEG ali ÉGE.
MEDEE.	MÈDE.
LE1372CI VY, Madame, vous eſtes plus raiſonnable dans vos ſoupçons, que ie ne le ſuis dans mes confiances, le long entretien de Theſée & de Pyritous, ne peut eſtre ſans quelque deſſein pernicieux à mon Eſtat, mais ie le preuiendray:	LE1372CI VI, Madame, vous êtes plus raisonnable dans vos soupçons, que ieans le suis dans mes confiances, le long entretien de Thesée et de Pyritous, ne peut être sans quelque dessein pernicieux à mon État, mais mer le preuiendray:
A moy quelqu’vn.	À moi quelqu'autre.
N CAPITAINE des gardes.	 CAPITAINE des gardes.
Seigneur.	Seigneur.
Allez.	Allez.
EGEE.	ÉGE.
MEDEE.	MÈDE.
381 Degrace conſultons encore vn peu dauan tage auparauant que d’on venir à la violence.	381 Dégrace consultons encore un peu davan tage auparavant que d'on venir à la violence.
EGEE.	ÉGE.
Laiſſez nous, mais ne vous eſloignez point.	Laissez nous, mais ne vous éloignez point.
Vous m’auez fait tort de penſer que i’euſſe deſſein d’attenter à la vie de ce Prince, ie voutois feuiemtirauertir nos gens de prendre garde à luy', & de luy défendre l’entrée d’Athenes.	Vous m'avez fait tort de penser que j'eusse dessein d'attenter à la vie de ce Prince, ie voûtais feuiemtirauertir nos gens de prendre garde à luy', et de rendre défendre l'entrée d'Athène.
MEDEE.	MÈDE.
Ce dernier conſeiller vous peut eſtre deſadamtageun, il vous luy défendez l’entrée de la ville, il aura occaſion d’agir ouuertement contre vous:	Ce dernier conseiller vous peut être désadamtageun, il vous y défendez l'entrée de la ville, il aura occasion d'agir ouuertement contre vous:
il vaut donc mieux l’obliger d’y rentrer, & l’empeſcher d’en ſortir.	il vaut donc mieux l'obliger d'y rentrer, et l'empêcher d'en sortir.
EGEE.	ÉGE.
Pourtant il eſt touſiours vtile d’enuoyer les traiſtres parmy les ennemis.	Pourtant il est toujours utile d'envoyer les traîtres parmi les ennemis.
MEDEE.	MÈDE.
Ouy, mais il eſt beaucoup plus aſſeuré de ne les point laiſſer eſchapper:	Oui, mais il est beaucoup plus assuré de ne les point laisser échapper:
toutefois les choſes ne ſont pas encores ſi fort deſeſperées, qu’il ſoit neceſſaire de recourir aux extremes reE ij	toutefois les choses ne sont pas encore si fort désespérées, qu'il soit nécessaire de recourir aux extrêmes reE rejet
medes, ie croy qu’il faut ſeulement obſeruer toutes les démarches de ce Prince auec ſoin, &tâcher de iuger de ſes deſſeins par les actions;	mèdes, Seigneur crois qu'il faut seulement observer toutes les démarches de ce Prince avec soin, ettâcher de juger de ses desseins par les actions;
je le trouueſi bien fait, que i’ay de la peine à le croire capable de trahiſon.	je le trouvez bien fait, que j'ai de la peine à le croire capable de trahison.
panenni que ne	penny que ne
EGEE.	ÉGE.
Vous exprimez ce que ie reſſens, s’il me trahit, il merite vn rigoureux ſupplice, ie ne puis preſque conſentir à me défier de luy:	Vous exprimez ce que ici ressens, s'il me trahit, il mérite un rigoureux supplice, Seigneur ne puis presque consentir à me défier de lui:
il le faut pourtant, allons le voir reuenir, & perdons tout ce qui peut contribuer à noſtre perte.	il le faut pourtant, allons le voir revenir, et perdons tout ce qui peut contribuer à notre perte.
Fin du ſecond Acte.	Fin du second Acte.
ATHN 5bd̀iuils anlq quooncod fla liem ORatatodiuoi oqgedols pomal mioq lou 1 o2qo 21 domirO XU.	ATHN 5bd̀iuils anlq quooncod fla liem ORatatodiuoi oqdols pomal mioq lou 1 o2q 21 domirO XV.
I10591 ob 1ll.	I10591 ob 1ll.
0 Mo 1	0 Mo 1
Lune 4 XI	Lune 4 XI
TLAET  ANTIOPE, PYRITOVS,	TLAET ANTIOPE, PYRITOUS,
MmGel 14 ALESTRI’E, &c.	MmGel 14 ALESTRIE, etc.
MOidob iu Mmasoo 2 ON, non, ie ne vous reprocheray pomt les rauages que vous duez fait dans mes troupes.	MOidob ju Mémaso 2 ON, non, tu ne vous reprocherai pompt les ravages que vous duez fait dans mes troupes.
1lUiM	1lUiM
PYRITOVS.	PYRITOUS.
Vous le deuez.	Vous le devez.
10 CIUHNOA CIUUI	10 CIUHNOA CIUI
Auii ANTIOPE.	Avi ANTIOPE.
Pyritous a dû ſuiure Theſée, & ie doy le loüer de l’auoir ſuiuy :	Pyritous a dû suivre Thesée, et et nos de loüer de l'avoir suivi :
Mais vous ſeriez bien iniuſte ſi vous vouliez me défendre de me réjoüir de voſtre priſe, puis que ie n’en ptetends aucun autre auantage, que celuy de vous donner la liberté.	Mais vous seriez bien injuste si vous vouliez me défendre de me réjouir de votre prise, puis que sans n'en ptends aucun autre avantage, que celui de vous donner la liberté.
mo	mo
PYRITOVS.	PYRITOUS.
da lllej ld Mociteis	da lllej à Mociteis
ANTIOPE.	ANTIOPE.
Ouy Pyritous, ie veux vous rendre la liberté:	Oui Pyritous, ie veux vous rendre la liberté:
il vous ſera permis d’aller reuoir voſtre amy.	il vous sera permis d'aller revoir votre ami.
I’euſſe bien deſiré d’apprendre de vous les veritables motifs de ſon voyage & du voſtre;	J'eusse bien désiré d'apprendre de vous les véritables motifs de son voyage et du vôtre;
mais puiſque la foy vous ordonne le ſilence, ie ne vous preſſeray pas dauantage ſurce ſujet:	mais puisque la foi vous ordonne le silence, où ne vous presserai pas davantage surce sujet:
Allez, dittes ſeulement au Roy d’Athenes, que s’il a quelque ſentiment de generoſité, il doit me rendre ma ſœur;	Allez, dites seulement au Roi d'Athène, que s'il a quelque sentiment de générosité, il doit me rendre ma sœur;
Que s’il ne me la rend aujourd huy, re l’iray deliurer, & que le meſme bras qui a deſlié vos chaiſnes, & qui doit rompre celles de cette valeureuſe fille, luy en peut donner qu’il neſçauroit rompre auec le ſecours de toute la Grece.	Que s'il ne me la rend aujourd' y, n' aura y, et que le reste bras qui a délié vos chaînes, et qui doit rompre celles de cette valeureuse fille, lui en peut donner qu'il nesçauroit rompre avec le secours de toute la Grèce.
PYRITOVS.	PYRITOUS.
Quand ie conſidere combien ie merite peu lagrace que voſtre Majeſté me fait, ie la refuſe ſans conteſter, aimant mieux eſtre vn veritable ſubjet de voſtre courroux, qu’vn indigne objet de voſtre clemence.	Quand notre considère combien Prince mérite peu lagrace que votre Majesté me fait, toujours la refuse sans contester, aimant mieux être un véritable sujet de votre courroux, qu'elle indigne objet de votre clémence.
Mais quand ie regarde la grandeur de cette action, & combien elledoit ſignaler en vous cette vertu genereuſe qui éleue ſi haut les hommes au deſſus des hommes, ie ne puis me teſoudre à l’interrompre par le bien-fait que vous me preſentez.	Mais quand grande regarde la grandeur de cette action, et combien elledait signaler en vous cette vertu généreuse qui élève si haut les hommes au dessus des hommes, je ne puis me témoudre à l'interrompre par le bienfait que vous me présentez.
ANTIOPE.	ANTIOPE.
Ah Pyritous!	Ah Pyritous!
il n’appartient qu’aux Grecs de Icetuoir de pomie grace empien ſuit:	il n'appartient qu'aux Grecs de Icétuoir de pomie grâce empien suit:
Vous m’obligez en ſouffrant que ie vous oblige.	Vous m'obligez en souffrant que je vous oblige.
PYRITOVS.	PYRITOUS.
Ie ſçay bien, Madame, qu’il eſt difficile à vn priſonnier de ſe rendre croyable, quand il veut perſuader qu’il a deſſein de refuſer ſa liberté, le deſir en eſt trop naturel, & la fuite trop extraordinaire:	Je sais bien, Madame, qu'il est difficile à un prisonnier de se rendre croyable, quand il veut persuader qu'il a dessein de refuser sa liberté, le désir en est trop naturel, et la fuite trop extraordinaire:
Mais il eſt pourtant vray, Madame, que ie le reſuſerois, ſi i’eſtois le ſeul interreſſé dans ce refus:	Mais il est pourtant vrai, Madame, que je le ressuserais, si j'étais le seul interressé dans ce refus:
l’auenir fera iuger du preſent, & mes actions iuſtifieront mes paroles.	l'avenir fera juger du présent, et mes actions justifieront mes paroles.
Ie parts donc, Madame, puiſque vous le voulez, mais aueccette proteſtation, que ie reconnoiſtray la liberté que vous me donnez, ou que ie n’en ioüyray point.	Je parts donc, Madame, puisque vous le voulez, mais aveccette protestation, que votre reconnaîtrai la liberté que vous me donnez, ou que je n'en ioüyray point.
ANTIOPE Qu’on l’accompagne iuſqu’au pied du rempart.	ANTIOPE Qu'on l'accompagne jusqu'au pied du rempart.
OEUIO 2190 Vy Taleſtrie, ie lis voſtre mécontentement ſur voſtre viſage, vous me blâ&ηὸ mez autant que la bien-ſeance & l’amitie vous le peunent perliettre, rindiſcretion & la legereté ſont les moindres crimes dont vousm'accuſez.	OÙIO 2190 Vi Talestrie, je lis votre mécontentement sur votre visage, vous me blâetηὸ mez autant que la bienséance et l'amitié vous le peunent perliettre, rindiscrétion et la légèreté sont les moindres crimes dont vousm'accusez.
n	n
EACEIVE III ANTIOTE, FALESTRIE.	EACEIVE III ANTIOTE, FALESTRIE.
ML LSTALESTRIE.	ML LSTALESTRIE.
Ie ſſçay trop le reſpect que ie dois à voſtre Majeſté, pour en auoir des penſées ſi hardies, & le ſouuenir des grandes actions que vous auez faites dans le cours de voſtre regne, en nous empeſchant de iuger ſiniſtrement de voſtre conduite, vous peuuent diſpenſer de le craindre:	Je sais trop le respect que femme dois à votre Majesté, pour en avoir des pensées si hardies, et le souvenir des grandes actions que vous avez faites dans le cours de votre règne, en nous empêchant de juger sinistrement de votre conduite, vous peuvent dispenser de le craindre:
Mais puiſque vous auez penſé que ie deſirois de parler ſur la li berté que vous auez donnée à Pyritous, & que i’ay deſia receu dans voſtre eſprit la peine que mon audace merite.	Mais puisque vous avez pensé que ici désirais de parler sur la li berté que vous avez donnée à Pyritous, et que j'ai déjà reçu dans votre esprit la peine que mon audace mérite.
Ie vous diray, Madame, que les effets de generoſité me paroiſſent autant dangereux qu’ils ſont beaux lors qu’ils qu'llsiont Iditoci daucur deblammamis.	Je vous dirai, Madame, que les effets de générosité me paraissent autant dangereux qu'ils sont beaux lors qu'ils qu'llsiont Iditoci daucur deblammamis.
LANTIOPE.	LANTIOPE.
C’eſt auſſi le danger qui les rend conſiderables.	C'est aussi le danger qui les rend considérables.
TALESTRIE.	TALÊTRIE.
Pourtant ceux qui conſiderent ces actions détachées de la perſonne qui les produit, ne font point difficulté de les condamner, & ie pourrois rapporter à voſtre Majeſté pour vne preuue de ma propoſition vn diſcours qu’vn conſeiller & fauory d’Hercule luy fit en ma preſence, & des autres oſtages que vous luy auiez enuoyé fur le ſujet de voſtre accord, mais ie craindrois d’abuſer de la patience de voſtre Majeſté.	Pourtant ceux qui considèrent ces actions détachées de la personne qui les produit, ne font point difficulté de les condamner, et ainsi pourrais rapporter à votre Majesté pour une preuve de ma proposition un discours qu'un conseiller et favori d'Hercule enfin fit en ma présence, et des autres ôtages que vous lui Étions envoyé fur le sujet de votre accord, mais ie craindrois d'abuser de la patience de votre Majesté.
7 ANTIOPE.	7 ANTIOPE.
.	.
N’ayez point cette crainte, pourſuiuez ſeulement, nous ne ſçaurions mieux employer le temps que nous auons de relâche, qu’à nous inſtruire de ce que nous deuons faire lors que nous ſommes dans l’action.	N'ayez point cette crainte, poursuivez seulement, nous ne saurions mieux employer le temps que nous avons de relâche, qu'à nous instruire de ce que nous devons faire lors que nous sommes dans l'action.
LULONOY TALESTRIEMLLE.	LÙLONOY TALESTRIEMLLE.
Ie ne vous le rapporteray pas auec l’élegance de cét illuſtre Grec, mais ie tâcheray de le redire auec fidelité, & auec tout léclairciſſement dont ie ſuis capable.	Je ne vous le rapporterai pas avec l'élégance de cet illustre Grec, mais quelque tâcherai de le redire avec fidélité, et avec tout léclaircissement dont tu suis capable.
Il diſoit donc que toutes les perſonnes qui entrent dans la ſocieté ciuile, s’obligent par vne conuention naturelle à trois ſortes de deuoirs, dont ils ne peuuent iamais ſe diſpenſer ſans injuſtice.	Il disait donc que toutes les personnes qui entrent dans la société civile, s'obligent par une convention naturelle à trois sortes de devoirs, dont ils ne peuvent jamais se dispenser sans injustice.
De ces deuoirs, diſoitil, le premier eſt contracté en faueur de la patrie;	De ces devoirs, disaitil, le premier est contracté en faveur de la patrie;
le ſecond, en faueur de ſoy-meſme, & le dernier en faueur des miſerables.	le second, en faveur de soi-même, et le dernier en faveur des misérables.
Chacun doit ſon ſangà ſa patrie, ſes ſoins à ſoy-meſme, & ſon ſecours aux malheureux;	Chacun doit son sangà sa patrie, ses soins à soi-même, et son secours aux malheureux;
mais nul ne doit ſecourir ſa patrie au prix de ſon honneur;	mais nul ne doit secourir sa patrie au prix de son honneur;
procurer ſa propre gloire au prejudice des miſerables;	procurer sa propre gloire au préjudice des misérables;
ny ſecourir des malheureux au prejudice de ſon honneur & de ſa patrie.	Ne secourir des malheureux au préjudice de son honneur et de sa patrie.
Ainſi, diſoit-il, il eſt permis de diſpenſer tous ces deuoirs auec tout l’éclat & toute la magnificence imaginable;	Ainsi, disait-il, il est permis de dispenser tous ces devoirs après tout l'éclat et toute la magnificence imaginable;
mais il eſt abſolument défendu de releuer l’vn au prejudice de l’autre:	mais il est absolument défendu de relever l'un au préjudice de l'autre:
Ainſi, diſoit-il, vous pouuez tout accorder à la Reyne des Amazones, ſi voſtre peuple & voſtre honneur vous le peuuent permettre:	Ainsi, disait-il, vous pouvez tout accorder à la Reine des Amazones, si votre peuple et votre honneur vous le peuvent permettre:
mais il faut auparauant accorder ces trois intereſts.	mais il faut auparavant accorder ces trois intérêts.
Ainſi diroisje, Madame, s’il m’eſtoit permis, vous pouuez tout accorder à Pyritous, ſi voſtre peuple & voſtre honneur vous le:	Ainsi diraisje, Madame, s'il m'était permis, vous pouvez tout accorder à Pyritous, si votre peuple et votre honneur vous le:
pouuoient permettre:	pouvaient permettre:
mais il ſemble que vous deuiez pluſtoſt accor	mais il semble que vous deviez plutôt accor
ANTIOPE.	ANTIOPE.
I’ay fait cét accord Taleſtrie, ſçache que ie connoy trop la perſonne que ie viens d’obliger, pour ne pas croire que mon peuple & moy muurons point ſujet de nous plaindre de ce que I’ay fait pour luy.	J'ai fait cet accord Talestrie, sache que je connais trop la personne que pr viens d'obliger, pour ne pas croire que mon peuple et moi muvrons point sujet de nous plaindre de ce que J'ai fait pour lui.
TALESTRIE.	TALÊTRIE.
Ie ne ſçay quelle aſſeurance vous pouuez prendre en Pyritous, que vous auez veu parmy vos ennemis, luy qui vous auoit deſia tant d’obligation.	Je ne sais quelle assurance vous pouvez prendre en Pyritous, que vous avez vu parmi vos ennemis, Seigneur qui vous avait déjà tant d'obligation.
ANTIOPE.	ANTIOPE.
Ce que tu rapportes pour mele rendre ſuſpect me fait croire que ie dois m’aſſeurer de luy, & de fait, s’il a pû combattre contre moy parce qu’il auoit promis ſon ſecours au Roy d’Athenes, n’ay-je pas occafion de crole qu’il peut tout faire en ma faueur, puiſque i’ay deſia ſa promeſſe, & que ie ne luy demande qu’âpres luy auoir donné?	Ce que tu rapportes pour me rendre suspect me fait croire que je crois m'assurer de notre, et de fait, s'il a pu combattre contre moi parce qu'il avait promis son secours au Roi d'Athène, n'ai-je pas occasion de crole qu'il peut tout faire en ma faveur, puisque j'ai déjà sa promesse, et que je ne lui demande qu'âpres lui avoir donné?
3 TALESTRIE.	3 TALESTRIE.
O 12 Ie ſouhaitte trop ce que vous eſperez, pour pouuoir me reſoudre à vous contredire dauantage:	Ô 12 Je souhaite trop ce que vous espérez, pour pouvoir me résoudre à vous contredire davantage:
mais ie croy qu’il ſera bon que vous vous faſſiez voir dans le camp, pour r’aſſeurer nos compagnes, que la perte de la Princeſſe pourroit auoir effrayées.	mais ainsi crois qu'il sera bon que vous vous fassiez voir dans le camp, pour rassurer nos compagnes, que la perte de la Princesse pourrait avoir effrayées.
ANTIOPE.	ANTIOPE.
Allons donc, chere Taleſtrie, auſſi ie voy deſis nos ennemis paroiſtre au haut du rempart, & ſçache que ſi ma ſœur ne reuient aujourd’huy, re veua qu’auaiſt la huitoiriorce cetie ville.	Allons donc, chère Talestrie, aussi je vois dess nos ennemis paraître au haut du rempart, et sache que si ma sœur ne revient aujourd'hui, re va qu'auaist la huitoiriorce cetie ville.
r MCLIVEIER EGEE, MEDEE.	 MCLIVEIER ÉGE, MÈDE.
7 Nfin, Madame, Theſée eſt innocent, & ynos ſoupçons injuſtes.	7 Nfin, Madame, Thesée est innocent, et ynos soupçons injustes.
MEDEE.	MÈDE.
C’eſt mon deſir, mais ce h’eſt pasme croyance.	C'est mon désir, mais ce h'est pâme croyance.
0i b dousmo sa si vsa don	U0i b ousmo sa si usa don
Elenlob veI OUp) EGEE I doonAlM) Nous tenons pourtant la ſœur d’Antiope.	Élenlob veI OUp) ÉGE I doonAlM) Nous tenons pourtant la sœur d'Antiope.
MEDEE.	MÈDE.
1 DI IIE Les bons ſuctés de nos armes augmentent ma crainte.	1 DI IIE Les bons suctés de nos armes augmentent ma crainte.
0od	
boldo GEE.	boldo GEE.
OMIMOUO Eſtre d’intelligence auec noſtre ennemie, & prendre ſa ſœur priſonniere ne ſont pas pourtant des choſes compatibles;	OMIMOUO Estre d'intelligence avec notre ennemie, et prendre sa sœur prisonnière ne sont pas pourtant des choses compatibles;
De grace, Madame, perdez cette crainte, elle eſt trop injurieuſe à l’honneur des Princes.	De grâce, Madame, perdez cette crainte, elle est trop injurieuse à l'honneur des Princes.
Mais voicy cétilluſtre protecteur.	Mais voici cetillustre protecteur.
2 eſ1016ꝗ OV	2 es1016 OU
MERINDEV .	MERINDEU .
2U1  THESEE N EGEE.	2U1 THESEE NE EGEE.
6 Ineice, Maignez vous ma victoire?	6 Juneice, Magnez -vous ma victoire?
D’où procede la triſteſſe que ie lis dans Libi ida vos yeux?	D'où procède la tristesse que sans lis dans Libi ida vos yeux?
THESEE.	THESEE.
D’vne perte irreparable.	D'une perte irréparable.
DL TOHSIN TEGER Quoy, de vontre rane	DL TOHSIN TÉGER Quoi, de vontre rane
MTHESEE MADOMIE I Cette perte ſeroit perte, en comparaiſon de cene que le paarlaa.	MTHÉSE MADOMIE I Cette perte serait perte, en comparaison de cène que le paarla.
CA111	CA111
ELHE ML DIEGEEltds nOI uan Quelque ennemy vient-il de rauager vos terres?	ELHE ML DIÉGEltds nOI an Quelque ennemi vient-il de ravager vos terres?
Sçachez que vous aurez touſiours des ſubjets ou ieſeray Roy.	Sachez que vous aurez toujours des sujets ou jeserai Roi.
THESFE.	THÉSFE.
Cemalheur ſeroit moins fâcheux, que l’offre que voſtre Majeſté me ſaît n’eſt obligeante.	Cemalheur serait moins fâcheux, que l'offre que votre Majesté me saît n'est obligeante.
F iii	 Fii
EGEE.	ÉGE.
Vous a-t’on porté la nouuelle de la mort de vos paiens:	Vous a-t-on porté la nouvelle de la mort de vos païens:
THESEE.	THESEE.
Tandis que vous viurez Seigneur, ie ne puis plaindre la perte de ceur que le conſidere le plus.	Tandis que vous vivrez Seigneur, je ne puis plaindre la perte de ceur que le considère le plus.
EGEE.	ÉGE.
Quelle eit donc cette perte, que ie l’amoindriſſe au moins par la part que i’y prendray?	Quelle eit donc cette perte, que sans l'amoindrisse au moins par la part que j'y prendrai?
middunii Ah!	miduni Ah!
Scigneur, ie viens de perdre vn parfait amy.	Scigneur, ie viens de perdre un parfait ami.
EGEE.	ÉGE.
En effet, Theſée, vous auiez raiſon de dire que cette perte eſt la derniere que nous pouuons faire dans la vie.	En effet, Thesée, vous aviez raison de dire que cette perte est la dernière que nous pouvons faire dans la vie.
Mais quoy, Pyritous eſtilmort?	Mais quoi, Pyritous estilmort?
THESEE.	THESEE.
Seigneur, ie n’en ſuis pas bien aſſeuré:	Seigneur, notre n'en suis pas bien assuré:
mais ie l’ay veu parmy nos ennemies, & il n’a pas eſté en ma puiſſance de l’en retirer, il eſt infailliblement ou mort, ou priſonnier.	mais ainsi l'ai vu parmi nos ennemies, et il n'a pas été en ma puissance de l'en retirer, il est infailliblement ou mort, ou prisonnier.
EGEE.	ÉGE.
S’il eſt mort, vous auez ſujet de vous conſoler, puis qu’il eſt mort pour le ſalut de ſa patrie.	S'il est mort, vous avez sujet de vous consoler, puis qu'il est mort pour le salut de sa patrie.
C’eſt vne occaſion que les gens d’honneur deſirent touſiours, & qu’ils rencontrent rarement.	C'est une occasion que les gens d'honneur désirent toujours, et qu'ils rencontrent rarement.
MEDEE.	MÈDE.
Pour vne perſonne qui vous aime ne vous en mettez point en peine, puiſque vous ſçauez parfaitement aimer, vous n’en manquerez point, c’eſt la derniere perfection de lart de faire des amitiez.	Pour une personne qui vous aime ne vous en mettez point en peine, puisque vous savez parfaitement aimer, vous n'en manquerez point, c'est la dernière perfection de lart de faire des amitié.
THESEE.	THESEE.
All:	All:
lviadatlit, qu’ircit peu de perionnes capables de répondre aux ſentimens d’vne parfaite amitic.	luviadatlit, qu'ircit peu de périonnes capables de répondre aux sentiments d'une parfaite amitic.
EGEE.	ÉGE.
Pyritous pourroit eſtre priſonnier, en ce cas le vous oute tout ce qu’on peut deſirer pour ſa rançon, & ie ne croy pas que la Reyne des Amazones refuſe de le rendre pour la lelaa.	Pyritous pourrait être prisonnier, en ce cas le vous oute tout ce qu'on peut désirer pour sa rançon, et un ne crois pas que la Reine des Amazones refuse de le rendre pour la lela.
THESEE.	THESEE.
Vos conſolations charment agreablement ma douleur, mais elles ne ſçauroient m’en déliurer.	Vos consolations charment agréablement ma douleur, mais elles ne sauraient m'en délivrer.
MEDEE.	MÈDE.
S’il eſtmor, ie vous pr omets vne perſonne qui vous aimera parfaitement.	S'il estmor, votre vous pr omets une personne qui vous aimera parfaitement.
LanOb EGEE.	LanOb ÉGE.
mnoinciexinahen vous le renday.	ménoinciexinahen vous le rendai.
InA	InA
17 THESEE.	17 THESEE.
Vos Majeſtez m’obligent ſi tendrement en nous regarde, & par cette eſpée qui doit vous obligen à me croire, que ie vous rendray toute ma vie les deuoirs d’vn fils;	Vos Majestés m'obligent si tendrement en nous regarde, et par cette espée qui doit vous obligen à me croire, que je vous rendrai toute ma vie les devoirs d'un fils;
& s’il vous plaiſt que ie prenne ce nom, quelque gloire que me donne l’auantage d’eſtre crû de la race des Dieux, ie renonce dés à preſent àcette vanité.	et s'il vous plaît que ainsi prenne ce nom, quelque gloire que me donne l'avantage d'être cru de la race des Dieux, ie renonce dès à présent àcette vanité.
EGEE.	ÉGE.
1 L00 Helas!	1 100 Hélas!
quand vous m’offrez vn fils vous me renouuellez vne affection qui m’eſt bien ſenſible, ie n’en ay iamais pu obtenir du Ciel, quelques prieres & quelques tœux que i’y aye employe.	quand vous m'offrez un fils vous me renouuellez une affection qui m'est bien sensible, quelque n'en ai jamais pu obtenir du Ciel, quelques prières et quelques tœux que j'y aie emploie.
uuns d iemn lo	uuns d iemn lo
D Iiq vona IESEE.	 Disq vona IESE.
Dieux, qu’eſt-ce que i’entends!	Dieux, qu'est-ce que j'entends!
MEDEE.	MÈDE.
.	.
111 Ceſſez de vous plaindre Theſée, voicy Pyritous.	111 Cessez de vous plaindre Thesée, voici Pyritous.
D ilr enoniomo	D ilr enoniomo
LIN EUVTIM	LIN EUTIM
220IHSV1119 AM HESEE.	20IHÊV1119 AM HÉSE.
4410  obos3 16 noid Dobions H' cher amy, que voſtre retour me donneroit de ioye ſi i’en eſtois capa	4410 obos3 16 noid Dobions H cher ami, que votre retour me donnerait de joie si j'en étais capa
ynMMUM Mais comments auez-vous pû ſortir des mains denosennemies?	ynMUM Mais comments avez-vous pu sortir des mains denosennemies?
lohooni	lohohoni
SIObUOV SOLPIYRITOVS.	SIObUOU SOLPIYRITOVS.
UO (UHOJOI Par vn effort dogeneroſité d’Antiope, à condition de ſolliciter voſtre Majeſté de faire le meſme traittement à la Princeſſe que vous retenez:	OÙ (UHONJOI Par un effort dogenerosité d'Antiope, à condition de solliciter votre Majesté de faire le même trait à la Princesse que vous retenez:
priſonniere.	prisonnière.
ialo no iuponob	jalo nô juponob
11 290 EGEE.	11 290 ÉGE.
SUSHOVI La Reyne des Amazones eſt trop genereuſe, mais ie ne la trouue pas aſſez prudentet (Si elay le vous euſt retenu,, voſtre-amy m’eſt témoin.	SUSHOUI La Reine des Amazones est trop généreuse, mais ie ne la trouve pas assez prudent (Si elleai le vous eût retenu, votre-ami m'est témoin.
que i’allois luy rendre ſaſœur, tant pourdõners cette ſatis faction à Theſée, que pour reconnoiſtre en quelque ſorte les obligations que ien vous ayenMais puiſque vous eſtes en diberté, ie croy que nous pouuons retenipilau Princeſſe, & que nous ne deuons pas imiter Antiope dans vne action que nous approudons.	que j'allais em rendre sœur, tant pourdõners cette satî faction à Thesée, que pour reconnaître en quelque sorte les obligations que yen vous aienMais puisque vous êtes en diberté, tu crois que nous pouvons retenipilau Princesse, et que nous ne devons pas imiter Antiope dans une action que nous approudons.
PYRITOVS.	PYRITOUS.
Ie n’ay teceu la liberté dont ic ioüis qu’à cette condition, ſi voſtre Majeſté ne me veut pas accorder le bien que ie luy demande, ie ſuis obligé de renoncer à celuy que ie tiens d’Antiopc:	Je n'ai tec la liberté dont ic ouïs qu'à cette condition, si votre Majesté ne me veut pas accorder le bien que sans cela demande, je suis obligé de renoncer à celui que ainsi tiens d'Antiopc:
Mais auparauant ie diray que le refus qu’on me fait eſt bien eſtrange.	Mais auparavant ici dirai que le refus qu'on me fait est bien étrange.
Vous dittes, Seigneur, que vous auiez reſolu de rendre la Princeſſe à la Reyne des Amazones ſi elle m’eût retenu;	Vous dittes, Seigneur, que vous aviez résolu de rendre la Princesse à la Reine des Amazones si elle m'eût retenu;
quelle nouuelle raiſon auez-vous de la retenir?	quelle nouvelle raison avez-vous de la retenir?
