E 2 AVA DAMES	 2 AVA DAMES
Et s’il faut appaiſer voſtre eſprit irrité, Ma teste reſpondra de ma temerité.	Et s'il faut apaiser votre esprit irrité, Ma tête répondra de ma témérité.
– 74- 4	4 74- 4
GENSERIC.	GENSERIC.
Qu'eſt-cecy Thraſimond?	Qu'est-ceci Thrasimond?
qui porte voſtre langue, A me faire auiourd’huy cette belle harangue?	qui porte votre langue, À me faire aujourd'hui cette belle harangue?
Auez-vous oublie que ie ſuis voſtre Roy, Et perdu le reſpect, qu’on doit auoir pour moy?	Avez-vous oublie que ici suis votre Roi, Et perdu le respect, qu'on doit avoir pour moi?
Et depuis quand mon fils, la diuine largeſſe, Vous a t'elle donné cette haute ſageſſe, Qui s'ingere en ce lieu, de conſeiller les Roys, Et qui veut maintenant, leur preſcrire des loix?	Et depuis quand mon fils, la divine largesse, Vous a t'-elle donné cette haute sagesse, Qui s'ingère en ce lieu, de conseiller les Rois, Et qui veut maintenant, leur prescrire des lois?
Depuis quand (s’il vous plaiſt) s’eſt fait ce beau miracle Qui d’vn ieune eſtourdy nous a fait vn oracle, Qui predit l’auenir, qui blaſme ma rigueur, Qui voit tous mes deſſains, & qui lit dans mon cœur?	Depuis quand (s'il vous plaît) s'est fait ce beau miracle Qui d'un jeune étourdi nous a fait un oracle, Qui prédit l'avenir, qui blâme ma rigueur, Qui voit tous mes sains, et qui lit dans mon cœur?
Vrayment cette aduanture eſt ſi rare & ſi belle, Qu'il faut que tout le monde entende parler d’elle, Et vous m'obligerez, en m'apprenant außi, Qui vous a commandé, de me parler ainſi.	Vraiment cette aventure est si rare et si belle, Qu'il faut que tout le monde entende parler d'elle, Et vous m'obligerez, en m'apprenant aussi, Qui vous a commandé, de me parler ainsi.
Reſpondez (s’il vous plaiſt) mon cenſeur & mon maiſtre;	Respondez (s'il vous plaît) mon censeur et mon maître;
Eſt-ce à vous à iuger, eſt-ce à vous à connoiſtre, Et de tous mes penſers, & de tous mes deſſains, Et le ciel a-t’ilmis mon ſort entre vos mains?	Est-ce à vous à juger, est-ce à vous à connaître, Et de tous mes pensers, et de tous mes dessains, Et le ciel a-t-ilmis mon sort entre vos mains?
Dequoy vous meſlez-vous, ſage & grand habile homme?	Dequoy vous mêlez-vous, sage et grand habile homme?
Auez-vous pris enmain les intereſts de Rome?	Avez-vous pris enmain les intérêts de Rome?
Pretendez-vous paſſer pour ſon liberateur, Et diſputer de gloire auec ſon fondateur?	Prétendez-vous passer pour son libérateur, Et disputer de gloire avec son fondateur?
Voulez-vous releuer la cheute de l'Empire, Ou vous mettre vous meſme en vn eſtat bien pire?	Voulez-vous relever la chute de l'Empire, Ou vous mettre vous rendre en un état bien pire?
Allez ieune inſolent, allez, ne parlez plus;	Allez jeune insolent, allez, ne parlez plus;
Ou i'arreſteray biences diſcours ſuperflus;	Ou j'arrêterai biences discours superflus;
Et ie vous feray voir (moy qui vous peux deſtruire) Que ce n'eſt point à vous, à vous meſler d’inſtruire.	Et ici vous ferai voir (moi qui vous peux détruire) Que ce n'est point à vous, à vous mêler d'instruire.
THRASIMOND.	THRASIMOND.
Seigneur ie n’inſtruis point, mais la raiſon inſtruit Auec beaucoup d’ardeur, quoy qu’auec peu de fruict.	Seigneur notre n'instruis point, mais la raison instruit Avec beaucoup d'ardeur, quoi qu'avec peu de fruit.
GENSERIC.	GENSERIC.
Quoy vous me replique (	Quoi vous me réplique (
THRASIMOND.	THRASIMOND.
C’eſt elle qui replique.	C'est elle qui réplique.
GENSERIC.	GENSERIC.
C'eſt vous qui m'offencez.	C'est vous qui m'offensez.
THRASIMOND.	THRASIMOND.
C'eſt elle qui s'explique.	C'est elle qui s'explique.
GENSERIC.	GENSERIC.
AAIlI Vous perdez le reſpect que vous deuëz auoir.	ÀAIlI Vous perdez le respect que vous deuëz avoir.
L ←----	L Lettre-
THRASIMOND.	THRASIMOND.
Ie ſonge à voſtre gloire, & ie fais mondeuoir.	Je songe à votre gloire, et ie fais mondevoir.
ONIVANIC.	ONIVANIC.
Vous n’apprehendez point ma colere irritée.	Vous n'appréhendez point ma colère irritée.
THRASIMOND.	THRASIMOND.
On doit l’apprehender, quand on l’a meritée.	On doit l'appréhender, quand on l'a méritée.
GENSERIC.	GENSERIC.
Et par cette raiſon, craignez la deſormais:	Et par cette raison, craignez la désormais:
THRASIMOND.	THRASIMOND.
Et par cette raiſon, ie ne craindray iamais.	Et par cette raison, Madame ne craindrai jamais.
GENSERIC.	GENSERIC.
Vous, cenſurer vn Roy que tout le monde eſtime!	Vous, censurer un Roi que tout le monde estime!
THRASIMOND.	THRASIMOND.
Ie n’attaque en parlant, que l'autneur de ſon crime.	Je n'attaque en parlant, que l'auteur de son crime.
ASPAR.	ASPAR.
Ha Seigneur ce diſcours ſemble eſtre dit à moy, Mais voſtre Alteſſe atort.	Ha Seigneur ce discours semble était dit à moi, Mais votre Altesse atort.
THIRASIMORD.	THIRASIMORD.
Ouy traistre c'est à toys Eſclaue Eſclaue mercenaire, à toy flateur du vice, C’est à toy que i’en veux, & qu’en veut la iustice;	Oui traître c'est à tois Esclave Esclave mercenaire, à toi flatteur du vice, C'est à toi que j'en veux, et qu'en veut la justice;
Et n’eſtoit le reſpect que ie porte à mon Roy, Tu ſentirois bien mieux qu'elle n'en veut qu’à toy.	Et n'était le respect que je porte à mon Roi, Tu sentirais bien mieux qu'elle n'en veut qu'à toi.
GENSERIC.	GENSERIC.
Ha, c’eſt trop endurer vne telle inſolence, CroyeZ que ie ſçauray vous impoſer ſilence;	Ha, c'est trop endurer une telle insolence, Croyez que personne saurai vous imposer silence;
Et qu'vn iuſte courroux vous ſçaura mettre en lieu, Pour apprendre à parler à voſtre pere, à Dieu.	Et qu'un juste courroux vous saura mettre en lieu, Pour apprendre à parler à votre père, à Dieu.
THRASIMOND.	THRASIMOND.
Sentimens de reſpect, que donne la nature, Sentimens de colere, & d’honneur, & d’amour, Helas, que dois-ie faire en ce funeſte iour?	Sentiments de respect, que donne la nature, Sentiments de colère, et d'honneur, et d'amour, Hélas, que dois-je faire en ce funeste jour?
A qui dois-ie de vous, abandonner mon ame?	À qui dois-je de vous, abandonner mon âme?
Mais qui puiſ-ie de vous abandonner ſans blaſme?	Mais qui puis-je de vous abandonner sans blâme?
Tous, tous eſgalement, occupez mon penſer, Et tous m'eſtes des Dieux que i’ay peur d’offencer.	Tous, tous également, occupez mon penser, Et tous m'êtes des Dieux que j'ai peur d'offenser.
Icy nature parle, icy l’Amour s’oppoſe;	Ici nature parle, ici l'Amour s'oppose;
Icy l’vne deſtruit, ce que l’autre propoſe;	Ici l'une détruit, ce que l'autre propose;
Ie voudrois obeïr, ie voudrois me vanger;	Je voudrais obéir, ie voudrais me venger;
Ie voudrois.	Je voudrais.
que voudrois-ie en vn ſi grãd dãger?	que voudrais-je en un si grand dansger?
Ie ne ſçay que vouloir, ie ne ſçay que reſoudre;	Je ne sais que vouloir, ie ne sais que résoudre;
Par tout eſgalement, i'entends gronder la foudre;	Par tout également, j'entends gronder la foudre;
Tout deſſain me fait peur, tout conſeil m'eſt ſuſpect, Et ie ſuy tour a tour, l'Amour & le reſpect.	Tout dessain me fait peur, tout conseil m'est suspect, Et ie suy tour à tour, l'Amour et le respect.
O ſupplice cruel, dont mon ame eſt geſnée!	Ô supplice cruel, dont mon âme est gênée!
Mais c’eſt trop balancer, ma parole eſt donnée, Puiſque ie l’ay promis, il la faut ſecourir;	Mais c'est trop balancer, ma parole est donnée, Puisque tu l'ai promis, il la faut secourir;
Sauuons l’Imperatrice, & puis allons mourir:	Sauvons l'Impératrice, et puis allons mourir:
L’Amour le veut ainſi, la vertu nous l’ordonne;	L'Amour le veut ainsi, la vertu nous l'ordonne;
Suiuons ſans repugnance, vn conſeil qu'elle donne;	Suivons sans répugnance, un conseil qu'elle donne;
Euture dout ceuer seuc umoins ue pouuoir, Et tout cede auecelle, à ce premier deuoir.	Eûture dout cèver seuc umoins ue voir, Et tout cède auecelle, à ce premier devoir.
SCRNNDIE THRASIMOND, OLIMBRE, VRSACE.	SCRNDIE -THRASIMOND, OLIMBRE, VRSACE.
THRASIMOND.	THRASIMOND.
St-ce vous cher Olimbre, eſtes vous à Carthage?	St-ce vous cher Olimbre, êtes -vous à Carthage?
E Parmy tant de mal-heurs, ay-je cét aduantage De pouuoir partager mes deſſains entre nous?	E Parmi tant de malheurs, ai-je cet avantage De pouvoir partager mes dessains entre nous?
Eſt-ce vous cher amy, cher Olimbre eſt-ce vous?	Est-ce vous cher ami, cher Olimbre est-ce vous?
OLIMBRE.	OLIMBRE.
Ouy Seigneur c’est Olimbre, ou pour mieux dire encore, C'eſt vn cœur qui vous ayme, vn cour qui vous honore, – Et qui teſmoignera, quelques maux qu’il ait eus, Qu'il connoiſt ſondeuoir, ainſi que vos vertus.	Oui Seigneur c'est Olimbre, ou pour mieux dire encore, C'est un cœur qui vous aime, un cour qui vous honore, Et qui témoignera, quelques maux qu'il ait eus, Qu'il connaît sondevoir, ainsi que vos vertus.
THRASIMOND.	THRASIMOND.
Ha que ie ſuis content, de vous voir en Affrique, Mais auant que mon cœur, & vous parle, & s’explique, Il faut qu’auecques vous ie me pleigne du ſort, Qui nous rauit Vrſace;	Ha que personne suis content, de vous voir en Afrique, Mais avant que mon cœur, et vous parle, et s'explique, Il faut qu'avec vous ie me pleins du sort, Qui nous ravit Vrsace;
VRSACE.	VRSACE.
Vrſace n’eſt pas mort, Vrface vit encor incomparable Prince:	Vrsace n'est pas mort, Vrface vit encor incomparable Prince:
Ouy le voicy viuant, & dans voſtre Prouince:	Oui le voici vivant, et dans votre Province:
Ee ouit peer prſate, enture tropmeurcux, Puis qu’il n’eſt pas hay, d’vn cœur ſi genereux.	Ee ouit peer pressate, enture tropmeurcux, Puis qu'il n'est pas ha, d'un cœur si généreux.
THRASIMOND.	THRASIMOND.
O plaiſir ſans eſgal!	Ô plaisir sans égal!
VRSACE.	VRSACE.
Ouy Seigneur, cét Vrſace, Deuroit perdre le iour, & voſtre bonne grace, S’il vouloit vous cacher, qu’il eſt encore icy;	Ouy Seigneur, cet Vrsace, Deurait perdre le jour, et votre bonne grâce, S'il voulait vous cacher, qu'il est encore ici;
Il a deu vous le dire, il vous le dit außi, Enfin vous le voyez, & ſon ame eſt rauie, De vous abandonner, ſon honneur, & ſa vie;	Il a dev vous le dire, il vous le dit aussi, Enfin vous le voyez, et son âme est ravie, De vous abandonner, son honneur, et sa vie;
Il ne vous cache point, ce qu’il cachoit à tous, Ilcraint tout en ces lieux, mais il s’aſſure en vous.	Il ne vous cache point, ce qu'il cachait à tous, Ilcraint tout en ces lieux, mais il s'assure en vous.
H ij 4	H Haj 4
THRASIMOND.	THRASIMOND.
Il le peut, il le peut, & ie veux qu’il le voye;	Il le peut, il le peut, et ainsi veux qu'il le voie;
Vrſace, Olimbre, amis, vous me comblez de ioye;	Vrsace, Olimbre, amis, vous me comblez de joie;
OLIMBRE.	OLIMBRE.
Que veut Olicharſis?	Que veut Olichars?
SCEIVL III OLICHARSIS, THRASIMOND, VRSACE, OLIMBRE.	SCEIVL III OLICHARSIS, THRASIMOND, VRSACE, OLIMBRE.
OLICHARSIS.	OLICHARSIS.
E viens vous aduertir, Qu'on a quelque deſſain, que le Roy va ſortir;	E viens vous avertir, Qu'on a quelque dessain, que le Roi va sortir;
Que dans ſon antichambre on aſſemble ſes gardes;	Que dans son antichambre on assemble ses gardes;
Qu'Aſpar eſt au milieu de trente halebardes;	Qu'Aspar est au milieu de trente halèbardes;
Qu'il a parlé long-temps, à l’oreille du Roy;	Qu'il a parlé longtemps, à l'oreille du Roi;
Et que ce procedé me donne de l’effroy;	Et que ce procédé me donne de l'effroi;
Ie connois la malice, & l’humeur de ce traiſtre;	Je connais la malice, et l'humeur de ce traître;
Et comme moy Seigneur, vous le deuez connaiſtre;	Et comme moi Seigneur, vous le devez connaître;
Ie n'ayrien leu de bon, en ſon farouche aſpect;	Je n'airien lu de bon, en son farouche aspect;
Et ce qui vient de luy nous doit eſtre ſuſpect.	Et ce qui vient de vertu nous doit être suspect.
THRASIMOND.	THRASIMOND.
Dieu!	Dieu!
que deuons nous faire?	que devons nous faire?
en quel trouble eſt mon ame!	en quel trouble est mon âme!
VRSACE.	VRSACE.
Me permettre Seigneur, d’attaquer cét infame:	Me permettre Seigneur, d'attaquer cet infâme:
De luy mettre à l’inſtant vn poignard dans le ſein, Et d’arreſter par là ſon coupable deſſain.	De Elle mettre à l'instant un poignard dans le sein, Et d'arrêter par là son coupable dess.
Il eſt iuſte, il le faut, ſouffrez-le ie vous prie:	Il est juste, il le faut, souffrez-le ici vous prie:
C’eſt le plus doux moyen, qu’inſpire ma furie;	C'est le plus doux moyen, qu'inspire ma furie;
C’eſt le plus doux moyen que nous puißions choiſir, Et dans vn mal ſi grand, & dans mon deſplaiſir.	C'est le plus doux moyen que nous puissions choisir, Et dans un mal si grand, et dans mon déplaisir.
Ie ſçay qu’vn nomde Roy s’oppoſe à ma colere, Et pour l’amour du fils, ce que ie dois au pere:	Je sais qu'un nomde Roi s'oppose à ma colère, Et pour l'amour du fils, ce que ici dois au père:
Mais dans l’extremité, des maux où ie me voy, Ie perds le ſouuenir de tout ce que ie doy.	Mais dans l'extrémité, des maux où tu me vois, Je perds le souvenir de tout ce que ielair.
Seigneur, ie ne ſçaurois vous cacher ma penſée;	Seigneur, Seigneur ne saurais vous cacher ma pensée;
Mon cœur eſt enragé, mon ame eſt inſenſée;	Mon cœur est enragé, mon âme est insensée;
Ie dois vaincre ou mourir, & ce cœur s’yreſout;	Je dois vaincre ou mourir, et ce cœur s'yresout;
Enfin mon deſeſpoir eſt capable de tout.	Enfin mon désespoir est capable de tout.
Il faut, il faut me perdre, il faut que ie periſſe, Il s’agit de l’honneur, & de l’Imperatrice;	Il faut, il faut me perdre, il faut que je périsse, Il s'agit de l'honneur, et de l'Impératrice;
Bref il s’agit de tout;	Bref il s'agit de tout;
& dans ce deſeſpoir, Ie ne balance point, ie connois mon deuoir;	et dans ce désespoir, Je ne balance point, je connais mon devoir;
1 Tant qu'Vrſace viura, ſa force & ſon courage S’oppoſeront touſiours à cette iniuſte rage;	1 Tant qu'Unsace vivra, sa force et son courage S'opposeront toujours à cette injuste rage;
2 – Il ne ſouffrira point, que l’on traite auiourd’huy Sa Maiſtreſſe en eſclaue, & meſme deuant luy.	2 Il ne souffrira point, que l'on traite aujourd'hui Sa Maîtresse en esclave, et même deuant Seigneur.
Il ne ſouffrira point que la rage ennemie A tant de maux ſouffers, adiouſte l’infamie;	Il ne souffrira point que la rage ennemie À tant de maux soufferts, ajoute l'infamie;
Il ne ſouffrira point;	Il ne souffrira point;
non il ne peut ſouffrir, Quelque obſtacle ence iour que le ſort puiſſe offrir, Qu'on force.	non il ne peut souffrir, Quelque obstacle ence jour que le sort puisse offrir, Qu'on force.
à ce ſeul mot ma triſteſſe redouble;	à ce seul mot ma tristesse redouble;
L’horreur de ce penſer, me confond, & me trouble;	L'horreur de ce penser, me confond, et me trouble;
Ie ne puis acheuer vn ſi triſte diſcours;	Je ne puis achever un si triste discours;
Ie ſents que mon treſpas en arreſte le cours;	Je sents que mon trépas en arrête le cours;
L’excez de la douleur a trop de violence, Et la main de la mort vient m’impoſer ſilence:	L'excès de la douleur a trop de violence, Et la main de la mort vient m'imposer silence:
Ie ſuccombe, ie meurs, mais gardons de mourir;	Je succombe, Seigneur meurs, mais gardons de mourir;
Il n’eſt pas temps encor, il la faut ſecourir;	Il n'est pas temps encor, il la faut secourir;
Il faut faire vn effort, pour ſouffrir & pour viure;	Il faut faire un effort, pour souffrir et pour vivre;
La raiſon veut qu’on viue, afin qu'on la deliure;	La raison veut qu'on vive, afin qu'on la délivre;
Elle l’ordonne ainſi, quoy qu’il puiſſe arriuer;	Elle l'ordonne ainsi, quoi qu’il puisse arriver;
Et l'Amour veut qu'onmeure, afin de la ſauuer.	Et l'Amour veut qu'onmeure, afin de la sauver.
Faiſons donc l’vn & l’autre;	Faisons donc l'un et l'autre;
ô Prince magnanime!	ô Prince magnanime!
Ie ſçayque voſtre eſprit est ennemy du crime, Souffrez, donc que mon bras ſignalle icy ma foy, Il n'en veut qu'au meſchant qui conſeille le Roy.	Je sçayque votre esprit est ennemi du crime, Souffrez, donc que mon bras signale ici ma foi, Il n'en veut qu'au méchant qui conseille le Roi.
THRASIMOND.	THRASIMOND.
I’appreuue vne douleur, & ſi iuste, & ſi forte, Mais non pas le deſſain où la douleur vous porte.	J'approuve une douleur, et si juste, et si forte, Mais non pas le dessain où la douleur vous porte.
Sans doute il vous perdroit, veüillez donc le changer;	Sans doute il vous perdrait, veuillez donc le changer;
C'est moyqui le puis faire auec moins de danger, Car ie ne penſe pas, que pour la mort d’vn traiſtre, Le Roy puiſſe oublier que luy ſeul m'a fait naiſtre.	C'est moiqui le puis faire avec moins de danger, Car Dieux ne pense pas, que pour la mort d'un traître, Le Roi puisse oublier que lui seul m'a fait naître.
Ainſi quoy qu’il arriue il faut qu’au meſme inſtant I'aille perdre celuy qui nous afflige tant:	Ainsi quoi qu'il arrive il faut qu'au même instant J'aille perdre celui qui nous afflige tant:
Sa mort arreſtera ce deſſain ſi funeſte, Enfin faiſons cela, le ciel fera le reſte.	Sa mort arrêtera ce dessain si funeste, Enfin faisons cela, le ciel fera le reste.
OLIMBRE.	OLIMBRE.
Mon cœur pour voſtre Alteſſe, a pourtant de l’effroy.	Mon cœur pour votre Altesse, a pourtant de l'effroi.
Ne vaudroit-il point mieux me preſenter au Roy?	Ne vaudrait-il point mieux me présenter au Roi?
Vous ſçauez que ce Prince a pour moy quelque eſtime, Peut-eſtre que ma voix arreſtera ſon crime;	Vous savez que ce Prince a pour moi quelque estime, Peut-être que ma voix arrêtera son crime;
Les moyens les plus doux ſont les plus aſſeurez.	Les moyens les plus doux sont les plus assurés.
VRSACE.	VRSACE.
Mais ils ne valent rien aux maux deſeſpereZ:	Mais ils ne valent rien aux maux désespérez:
& diiifougumombiuos puu quu le peutencore.	et diiifougumombios pu quu le peutencore.
THRASIMOND.	THRASIMOND.
Il eſt vray que le Roy vous ayme, & vous honore, Mais en l’eſtat qu’il eſt, mais encette ſaiſon, Il n'eſcouteroit plus amitié ny raiſon.	Il est vrai que le Roi vous aime, et vous honore, Mais en l'état qu'il est, mais encette saison, Il n'écouterait plus amitié ni raison.
VRSACE.	VRSACE.
Laiſſez moy donc aller,	Laissez -moi donc aller,
THRASIMOND.	THRASIMOND.
Non, demeureZ Vrfact.	Non, demeurez Vrfact.
VRSACE.	VRSACE.
Que ie perde vn meſchant,	Que ici perde un méchant,
THRASIMOND.	THRASIMOND.
I faut que ie le face:	I faut que personne le face:
VNSACE.	VNSACE.
Pourquoy vous expoſer?	Pourquoi vous exposer?
THRASIMOND.	THRASIMOND.
Pourquoy vous perdre icy?	Pourquoi vous perdre ici?
VRSACE.	VRSACE.
Ha!	Ha!
Seigneur ie le dois,	Seigneur ie le dois,
THRASIMOND.	THRASIMOND.
110 Et ie le dois außi.	110 Et Je le dois aussi.
AeplrOE.	AéplOrOE.
Au nom de la vertu contentez monenuie:	Au nom de la vertu contentez monenvie:
THRASIMOND.	THRASIMOND.
Au nom de l’amitié conſeruez voſtre vie.	Au nom de l'amitié conservez votre vie.
VRSACE.	VRSACE.
Vous me deſeſperez, Prince trop genereux:	Vous me désespérez, Prince trop généreux:
2	2
THRASIMOND.	THRASIMOND.
THRASIMOND.	THRASIMOND.
Et vous nous voulez rẽdre encor plus mal-heureux.	Et vous nous voulez rendre encor plus malheureux.
VRSACE.	VRSACE.
Ie vous coniure icy, par ce cœur franc device.	Je vous conjure ici, par ce cœur franc déviée.
THRASIMOND.	THRASIMOND.
Et moy par le deuoir, & par l’Imperatrice.	Et moi par le devoir, et par l'Impératrice.
Conteſtez-vous encor?	Contestez-vous encor?
& cét Auguſte nom, Sera-t’il ſans pouuoir au cœur d’Vrſace?	et cet Auguste nom, Sera-t-il sans pouvoir au cœur d'Unsace?
VRSACE.	VRSACE.
Non Il peut tout ſur mon cœur, il peut tout dans mon ame, Mais cette obeïſſance, eſt bien digne de blaſme.	Non Il peut tout sur mon cœur, il peut tout dans mon âme, Mais cette obéissance, est bien digne de blâme.
THRASIMOND.	THRASIMOND.
Tout l’vniuers connoiſt voſtre cœur ſans eſgal, Allez-moy donc attendre au Palais d’Hannibal.	Tout l'Univers connaît votre cœur sans égal, Allez-moi donc attendre au Palais d'Hannibal.
Vous, commandez aux miens de ſe renare à la porte, Afin qu'apres le coup, ils me ſeruent d’eſcorte, Pour taſcher d’eſuiter la colere du Roy:	Vous, commandez aux miens de se renare à la porte, Afin qu'après le coup, ils me servent d'escorte, Pour tâcher d'éviter la colère du Roi:
VRSACE.	VRSACE.
Non, non, ie vous ſuiuray.	Non, non, Seigneur vous suivrai.
THRASIMOND.	THRASIMOND.
Toy du bruit, laiſez-moy.	Toi du bruit, laisez-moi.
A mv GENSERIC, ASPAR, TROVPE DE GARDES.	À mu GENSERIC, ASPAR, TROUPE DE GARDES.
GENSERIC.	GENSERIC.
nis tous mis ma garde à l’entour de la place?	nis tous mis ma garde à l'entour de la place?
I IAuez-vous commandé que perſonne ne paſſe?	I IAvez-vous commandé que personne ne passe?
Et que ſi Thraſimond oſe s’y preſenter, Que ſans aucun reſpect on le face arreſter?	Et que si Thrasimond ose s'y présenter, Que sans aucun respect on le face arrêter?
ASPAR.	ASPAR.
Ouy Seigneur ie l’ay dit, & la place eſt gardée:	Oui Seigneur Seigneur l'ai dit, et la place est gardée:
GENSERIC.	GENSERIC.
Ouurez donccette porte.	Ouvrez donccette porte.
ASPAR.	ASPAR.
Elle eſt barricadée;	Elle est barricadée;
On ne ſçauroit l’ouurir, & le paſſe par tout, Auec tout mon effort, n’en peut venir à bout.	On ne saurait l'ouvrir, et le passe par tout, Avec tout mon effort, n'en peut venir à bout.
GENSERIC.	GENSERIC.
Quoy ie ſuis à Carthage, & n’y ſuis pas le maiſtre!	Quo ie suis à Carthage, et n'y suis pas le maître!
Orgueilleuſe beauté, ie vous feray connoiſtre, 2 Apres tant de ſoupirs, de pleintes & de vœux, Cul ne peut s’oppoſer à tout ce que ie veux.	Orgueilleuse beauté, je vous ferai connaître, 2 Apres tant de soupirs, de pleintes et de vœux, Cul ne peut s'opposer à tout ce que je veux.
Frapez.	Frappez.
AS PAR.	AS PAR.
Cette victoire eſt ſans doute aſſeurée.	Cette victoire est sans doute assurée.
SONECH EVDOXE, PLACIDIE, GENSERIC, ASPAR, TROVPE DE GARDES.	SONECH EUDOXE, PLACIDIE, GENSERIC, ASPAR, TROUPE DE GARDES.
EVDOXE.	EUDOXE.
Eigneur, l’Imperatrice eſt deſia retirée, QOn ne ſçauroit la voir;	Eigneur, l'Impératrice est déjà retirée, QN ne saurait la voir;
que voſtre Majeſté Excuſe s’il luy plaiſt, cette inciuilité.	que votre Majesté Excuse s'il lui plaît, cette incivilité.
GENSERIO.	GENSERIO.
Vn deſſain important veut que ie l’entretienne, Qu'onouure:	Un dessain important veut que ie l'entretienne, Qu'onouvre:
PLACIDIE.	PLACIDIE.
Helas Seigneur, que l’honneurvous retienne.	Hélas Seigneur, que l'honneurvous retienne.
EVDOXE.	EUDOXE.
Conſiderez ſon rang	Considérez son rang
PLACIDIE.	PLACIDIE.
Songez, à ſes mal-heurs.	Songez, à ses malheurs.
EVDOXE.	EUDOXE.
Et n’entreprenez, point d’augmenter ſes douleurs.	Et n'entreprenez, point d'augmenter ses douleurs.
GENOERTIE.	GENORTIE.
Ouurez, ouurez, Aſpar, icy la force eſt bonne.	Ouvrez, ouurez, Aspar, ici la force est bonne.
SCLIVDVE L’IMPERATRICE, GENSERIC, ASPARTROVPE DE GARDES.	SCLIVDUE L'IMPÉRATRICE, GENSERIC, ASPARTROUPE DE GARDES.
L’IMPERATRICE.	L'IMPÉRATRICE.
Rreſtez Genſeric, c’eſt moy qui vous l’ordonne:	Rrestez Genseric, c'est moi qui vous l'ordonne:
I YEnfin c’eſt trop ſouffrir, enfin c’eſt trop flatter, Et vous me reduiſez, aux termes d’eſclatter.	I YEnfin c'est trop souffrir, enfin c'est trop flatter, Et vous me réduisez, aux termes d'éclatter.
Icy le deſeſpoir met la crainte en arriere, Et le commandement ſuccede à la priere.	Ici le désespoir met la crainte en arrière, Et le commandement succède à la prière.
Ouy ie vous le commande, & i'en ay le pouuoir.	Ou ie vous le commande, et j'en ai le pouvoir.
Auez-vous oublié quel eſt vostre deuoir Que tous Roys ſont vaſſaux de la grandeur Romaine, En qu'vn illuſtre ſang, m'en rendit ſouueraine?	Avez-vous oublié quel est votre devoir Que tous Rois sont vassaux de la grandeur Romaine, En qu'en illustre oublié, m'en rendit souveraine?
2 Quoyvenir ſans reſpect, & faire vn ſi grand bruit, Ences lieux, en ce temps, à cetteheure, & de nuit!	2 Quoivenir sans respect, et faire un si grand bruit, Ences lieux, en ce temps, à cetteheure, et de nuit!
O Cieloù ſommes-nous!	Ô Cieloù sommes-nous!
& quelle procedure, Se pratiquaiamais plus Barbare & plus dure?	et quelle procédure, Se pratiquaiamais plus Barbare et plus dure?
Traiter vne Princeſſe, auecindignité!	Traiter une Princesse, avecindignité!
Faire vn ſanglant affront, à cette qualité!	Faire un sanglant affront, à cette qualité!
Ne conſiderer point ſon illuſtre naïſſance!	Ne considérer point son illustre naïssance!
Vſer inſolemment, d'vne iniuſte puiſſance!	Vser insolemment, d'une injuste puissance!
N'eſtre pas ſatisfaict de la voir ſans bon-heur!	N'être pas satisfait de la voir sans bonheur!
S’attaquer à ſes iours, s’attaquer à l’honneur!	S'attaquer à ses jours, s'attaquer à l'honneur!
Ha!	Ha!
ne vous flattez, point, d’vne eſperance vaine.	ne vous flattez, point, d'une espérance vaine.
On n'aquiert point l’amour, par des effects de haine;	On n'aquiert point l'amour, par des effets de haine;
Et l’inſolence enfin, pire que le treſpas, Irrite vn grand courage, & ne le flechit pas.	Et l'insolence enfin, pire que le trépas, Irrite un grand courage, et ne le fléchit pas.
GENSERIC.	GENSERIC.
Madame, c’eſt pourquoy ne trouuez, pas eſtrange, Si de tant de meſpris, moncœur enfin ſe vange, Et ſi par ce meſpris mon courage endurcy, En cette occaſions ne flechit point außi.	Madame, c'est pourquoi ne trouvez, pas étrange, Si de tant de mépris, moncœur enfin se venge, Et si par ce mépris mon courage endurci, En cette occasions ne fléchit point aussi.
L’IMPERATRICE.	L'IMPÉRATRICE.
Ie n’ay nul ſentiment qui ne ſoit equitable:	Je n'ai nul sentiment qui ne soit équitable:
Mais le voſtre paroiſt iniuſte, & redoutable;	Mais le vôtre paraît injuste, et redoutable;
Mon cœur en a tremblé, mon taint en a bleſmy;	Mon cœur en a tremblé, mon taint en a blêmi;
Vous n'eſtes plus Amant, vous eſtes ennemy.	Vous n'êtes plus Amant, vous êtes ennemi.
GENSERIC.	GENSERIC.
Haie ſuis vn amant, mais amant qu’on outragé, Mais amãt ſans bon-heur, & non pas ſans couragé.	Haie suis un amant, mais amant qu'on outragé, Mais amant sans bonheur, et non pas sans couragé.
Mais amant ſans eſpoir, mais amant meſpriſé, Mais amant qui peut tout, & qui voit tout aiſé.	Mais amant sans espoir, mais amant méprisé, Mais amant qui peut tout, et qui voit tout aisé.
L’IMPERATRICE.	L'IMPÉRATRICE.
Quoy cruel tant de pleurs ne touchent point voſtre ame.	Quoi cruel tant de pleurs ne touchent point votre âme.
Vous ne craignez donc plus, ny le ciel, ny le blaſme, Il ne vous reſte plus aucune humanité!	Vous ne craignez donc plus, ni le ciel, ni le blâme, Il ne vous reste plus aucune humanité!
Vous violez les droicts de l’hoſpitalité!	Vous violez les droits de l'hospitalité!
Vous ne reſpectez plus ny ſexe, ny couronne!	Vous ne respectez plus ni sexe, ni couronne!
