Auec Priuilege du Royi	Avec Privilège du Roii
Et que peuuent auoir mon fils, & ce Corfaite, A démeſler enſemble?	Et que peuvent avoir mon fils, et ce Corfaite, A démêler ensemble?
SEBASTE.	SÉBASTE.
Vne importante aſfaire.	Une importante asfaire.
ELISE.	ÉLISE.
Amintas me regarde, & rougit, & paſſit.	Amintas me regarde, et rougit, et passit.
ALCIONNE.	ÀLCIONE.
Qulque choſe le trouble en ce billet qu’il lit,	Qulque chose le trouble en ce billet qu'il lit,
AMINTAS.	AMINTAS.
Ce billet eſt pour vous plus que pour moy, Madame, Que de trouble diuers s'eſleuent dans mon ame!	Ce billet est pour vous plus que pour moi, Madame, Que de trouble divers s'esleuent dans mon âme!
ELISE apres auoir leu, Ious me gardiez encore vn ſi cruel malheur, Crands Dieux!	ELISE après avoir lu, Jous me gardiez encore un si cruel malheur, Crands Dieux!
& vous ſouffrez qu’vn Pirate, vn voleur, Noircy déja d’vn crime à mon repos funeſte, Aitaque mon honneur le ſeul bien qui me reſte!	et vous souffrez qu'un Pirate, un voleur, Noirci déjà d'vn crime à mon repos funeste, Aitaque mon honneur le seul bien qui me reste!
Amintas, vous pourriez douter de ma vertu, ie ne publiois ce que vous auez tû.	Amintas, vous pourriez douter de ma vertu, je ne publiais ce que vous avez tu.
LETTRE.	LETTRE.
En vain Prince Amintas tu bruſle pour Elize.	En vain Prince Amintas tu brûle pour Élise.
Et tu veux deuenir ſon eſpoux, & ſon Roy:	Et tu veux devenir son époux, et son Roi:
Elle a depuis long-temps diſposé de ſa foy;	Elle a depuis longtemps disposé de sa foi;
Depuis long-temps elle eſt eſpriſe, D'vn Prince digne d’elle, & plus heureux que toy, Vn Prince qui n’eſt plus, il eſt vray, m’a ſeruie, Il m’aymoit, ie l’aymois, & s’il eſtoit en vie, Ie l’aymerois encore;	Depuis longtemps elle est éprise, D'un Prince digne d'elle, et plus heureux que toi, Un Prince qui n'est plus, il est vrai, m'a servie, Il m'aimait, Seigneur l'aimais, et s'il était en vie, Je l'aimerais encore;
il ſeroit mon Eſpoux, Et ie n’aurois iamais que des dédains pour vous, La douleur de ſa mort m’auoit déterminée, A ne viure iamais ſous les loix d’himenée;	il serait mon Époux, Et ainsi n'aurais jamais que des dédains pour vous, La douleur de sa mort m'avait déterminée, À ne vivre jamais sous les lois d'hyménée;
Ie change de deſſein;	Je change de dessein;
mais ie me mets à prix, D’Oroſmane ſans vie, ou d’Oroſmane pris, La teſte criminelle à ma fureur promiſe, Vous laiſſe encor l'eſpoir d’vn Royaume, & d’Eliſ Vn tel preſent vous fait ſon époux, & ſon Roy, Sougez y Prince, ou bien ne ſongez plus à moy.	mais je me mets à prix, D'Orômane sans vie, ou d'Orômane pris, La tête criminelle à ma fureur promise, Vous laisse encor l'espoir d'un Royaume, et d'Élis Un tel présent vous fait son époux, et son Roi, Sougez y Prince, ou bien ne songez plus à moi.
AMINTAS.	AMINTAS.
Ne ſonger plus en vous Ha que pluſtoſt ma vie, Dans les fers du Pirate à iamais aſſeruie, Aſſeure ſon falut, acheue mon malheur, Et que deſeſperé ie meure de douleur, Si le Ciel qui vous fit ſi charmante, & ſi belle;	Ne songer plus en vous Ha que plutôt ma vie, Dans les fers du Pirate à jamais asservie, Assure son fallut, achève mon malheur, Et que désespéré reux meure de douleur, Si le Ciel qui vous fit si charmante, et si belle;
Mais auſſi qui vous fit ſi fiere, & ſi cruelle, Accordoit à mes vœux l’honneur de vous vange Quand bien voſtre fierté conſtante à m’outrager, Par d’iniuſtes rigueurs troubleroit ma victoire, Tout ce qui vient de vous fait ma ioye, & ma glo Ie cheris tout en vous iuſqu’à voſtre fierté;	Mais aussi qui vous fit si fière, et si cruelle, Accordait à mes vœux l'honneur de vous venge Quand bien votre fierté constante à m'outrager, Par d'injustes rigueurs troublerait ma victoire, Tout ce qui vient de vous fait ma joie, et ma glo Je chéris tout en vous jusqu'à votre fierté;
Ie ne me plaindrois point d’eſtre ſi mal traitté;	Je ne me plaindrais point d'être si mal traité;
Et quand vous fauſſeriez la parolle promiſe, Ie me plaindrois du Ciel ſans me plaindre d’Elize	Et quand vous fausseriez la parole promise, Je me plaindrais du Ciel sans me plaindre d'Élise
ELISE.	ÉLISE.
Non, non Prince, eſperez, puis que ie le permets, Vengez moy, ie tiendray tout ce que ie promets Ce n'eſt pas je l’aduoüe, vne baſſe entrepriſe.	Non, non Prince, espérez, puis que je le permets, Vengez moi, apprendre tiendrai tout ce que ie promets Ce n'est pas je l'avoue, une basse entreprise.
Que de vaincre Oroſmane, & faire aymer Eliſe, Vous allez attaquer vn prodige en valieur, 21 Heureux dans les còbats, & trop pour mon malheur;	Que de vaincre Orômane, et faire aimer Élise, Vous allez attaquer un prodige en valieur, 21 Heureux dans les cacbats, et trop pour mon malheur;
Mais quoy, que la victoire en ſoit preſque impoſſible, Seruez vous donc du tẽps tandis qu’il eſt pour vous, Et que vous n’auez point encore de ialoux;	Mais quoi, que la victoire en soit presque impossible, Servez -vous donc du temps tandis qu'il est pour vous, Et que vous n'avez point encore de jaloux;
Car quand ſeul vous ſeriez capable de me plaire, Ie ne me donneray qu’au vainqueur du Corſaire, Ie vous l’ay déja dit, ſa priſe ouſon treſpas, Laiſſent tout eſperer au vaillant Amintas, Allez donc, alſez vaincre, & cependant mes larmes, V'ont demander aux Dieux le bonheur de vos armes.	Car quand seul vous seriez capable de me plaire, Je ne me donnerai qu'au vainqueur du Corsaire, Je vous l'ai déjà dit, sa prise ouson trépas, Laissent tout espérer au vaillant Amintas, Allez donc, alsez vaincre, et cependant mes larmes, V'ont demander aux Dieux le bonheur de vos armes.
Elle ſort.	Elle sort.
AMINTAS.	AMINTAS.
Auec voſtre ſecours qui me peut reſiſter?	Avec votre secours qui me peut résister?
A quel hardy deſſcin ne me puiſ-je porter?	À quel hardi desscin ne me puis-je porter?
ous verrez abbatu l'orgueil qui vous outrage, It vous me plaindrez mort ou loüerez mõ courage,	ous verrez abattu l'orgueil qui vous outrage, It vous me plaindrez mort ou louerez mon courage,
SEBASTE.	SÉBASTE.
luant qu’auoir vaincu vous triomphez, Seigneur, epardonne la fougue à voſtre ieune ardeur :	luant qu'avoir vaincu vous triomphez, Seigneur, épardonne la fougue à votre jeune ardeur :
yis ſi l’excez boüillant d’vne amour non cõmune.	yis si l'excès bannant d'une amour non commune.
lle prix qu’vn combat offre à voſtre fortune, alamme à tel point voſtre cœur amou eux, l'il ne peut differer ce combat dangereux, uy qu’on traitte icy de voleur, de Corſaire.	lèle prix qu'un combat offre à votre fortune, alamme à tel point votre cœur amou eux, l'il ne peut différer ce combat dangereux, ui qu'on traite ici de voleur, de Corsaire.
qui ſe rend pourtant plus d’vn Roy tributaire.	qui se rend pourtant plus d'un Roi tributaire.
clera pas long-temps d’Amintas attendu, l dans vne chaloupe en vos bords deſcendu, uiendra contenter le deſir qui vous preſſe.	clera pas longtemps d'Amintas attendu, l dans une chaloupe en vos bords descendu, iendra contenter le désir qui vous presse.
nous pourrez ainſi contenter la Princeſſe, mez voſtre parolle, & fiez vous en moy.	nous pourrez ainsi contenter la Princesse, mez votre parole, et fiez -vous en moi.
te vous pourrez bien-toſt vous battre auec mon R01.	te vous pourrez bientôt vous battre avec mon R01.
NICANOR *7!	NICANOR *7!
la Cypre verroit vne telle auenture?	la Cypre verrait une telle aventure?
I'offenſerois ainſi l’honneur, & a nature;	J'offenserais ainsi l'honneur, et à nature;
I'expoſerois vn fils ſi vaillant & ſi cher, Au hazard d’vn combat qu’on luy peut reprocher D'vn combat, dont la fin ſeroit touſiours honteuſe Quand meſme ſa valleur pourroit la rẽdre heureuſe?	J'exposerais un fils si vaillant et si cher, Au hasard d'un combat qu'on lui peut reprocher D'un combat, dont la fin serait toujours honteuse Quand même sa valeur pourrait la rendre heureuse?
Dans mille occaſions que le temps peut donner, Pour obtenir Elize, & pour te couronner, Tu trouueras aſſez dequoy te ſatisfaire, Sans aller te commettre auecque ce Corſaire.	Dans mille occasions que le temps peut donner, Pour obtenir Élise, et pour te couronner, Tu trouveras assez dequoy te satisfaire, Sans aller te commettre auecque ce Corsaire.
AMINTAS.	AMINTAS.
Dira-t'on que vous ſeul ne m’ayez pas permis, De vaincre le plus grand de tous vos ennemis, De meriter la Cipre, à ma valeur promiſe, Et bien plus que la Cipre, vne diuine Elize, Sans qui ie ne puis viure, & ſans qui mon trépas!	Dira-t'-on que vous seul ne m'ayez pas permis, De vaincre le plus grand de tous vos ennemis, De mériter la Cipre, à ma valeur promise, Et bien plus que la Cypre, une divine Élise, Sans qui ie ne suis vivre, et sans qui mon trépas!
Que vous redoutez tant, dependra de mon bras!	Que vous redoutez tant, dépendra de mon bras!
Car enfin, la perdant, le n’eſcouteray guere, Ni les ſages conſeils, ni les ordies d’vn Pere;	Car enfin, la perdant, le n'écouterai guère, Ni les sages conseils, ni les ordies d' Hère;
Et quand vous m'oppoſez ces ordres rigoureux, Vous vous rendez, Seigneur, pour moy plus dan reux, Que ne ſera iamais la valleur du Pirate, Qu'Elize, & mon honneur veulent que ie combar NICANOR.	Et quand vous m'opposez ces ordres rigoureux, Vous vous rendez, Seigneur, pour moi plus dan reux, Que ne sera jamais la valleur du Pirate, Qu'Élise, et mon honneur veulent que je combar NICANOR.
Il ſort.	Il sort.
Va donc, ſui ton deſtin, ie ne te retien plus.	Va donc, zvi ton destin, Seigneur ne te retien plus.
SEBASTE.	SÉBASTE.
Vous perdez bien du temps en d'ſcours ſuperflus	Vous perdez bien du temps en d'scours superflus
AMINTAS.	AMINTAS.
Allons donc au combat ſans tarder dauantagt	Allons donc au combat sans tarder davantagt
SEBASTE Allons Prince, vn vaiſſeau m’attend pres du rius Oroſmane à la rade en peu de temps ſçaura, Ce que vous luy voulez & vous ſatisfera.	SÉBASTE Allons Prince, un vaisseau m'attend pres du rius Orosmane à la rade en peu de temps saura, Ce que vous lui voulez et vous satisfera.
ALCIONNE.	ÀLCIONE.
Amintas!	Amintas!
ô mon cœur, que me ſaites vous faire, Vous vous expoſez donc à la foy d’vn Corſaire?	ô mon cœur, que me saites -vous faire, Vous vous exposez donc à la foi d'un Corsaire?
CORSAIRE.	CORSAIRE.
Vn Prince commo vous ſe deuroit menager.	Un Prince commo vous se devrait ménager.
AMINTAS.	AMINTAS.
Elize eſt offencée, & ie la veux venger, Qui n’en eſt pas aymé, n’eſt pas digne de viure, Il faut qu’vn prompt trépas de mes ſoins la deliure, Où qu’vn combat heureux change ſon cœur ingrat, Et ce bon-heur vaut bien qu’on hazarde vn combat, Il ſort.	Élise est offensée, et ie la veux venger, Qui n'en est pas aimé, n'est pas digne de vivre, Il faut qu'un prompt trépas de mes soins la delivre, Où qu'un combat heureux change son cœur ingrat, Et ce bonheur vaut bien qu'on hasarde un combat, Il sort.
CE ALCION III.	CE ALCYON III.
CLARICE.	CLARICE.
ALCIONNE.	ÀLCIONE.
Elas!	Élas!
ce n’eſt pas la ce que ie voulois dire, IAl’innocent autheur de mon cruel marcire, Ie luy voulois ouurir les ſecrets de mon cœur, 21 dire qu’il y regne en aimable vainqueur;	ce n'est pas la ce que ici voulais dire, JAl'innocent auteur de mon cruel marcire, Je lui voulais ouvrir les secrets de mon cœur, 21 dire qu'il y règne en aimable vainqueur;
au ieueler les maux qu’il ignore, & qu’il cauſe, lance l’as-tu veu?	au jeueler les maux qu'il ignore, et qu'il cause, lance 'as-tu vu?
i’ay fait tout autre choſe, uſi le criminel de ſon remors preſsé, toupe, & ne dit rien de ce qu’il a pensé, ui ce cher vainqueur de mon ame ſoumiſe, ont ma fo ble raiſon les armes fauoriſe, ſait point ſa conqueſte, & ne la lçaura point, at vn deſtin cruel à mon amour eſt ioint :	j'ai fait tout autre chose, uzi le criminel de son remors pressé, toupe, et ne dit rien de ce qu'il a pensé, ui ce cher vainqueur de mon âme soumise, ont ma fo bléur les armes favorise, sait point sa conquête, et ne la laura point, at un destin cruel à mon amour est joint :
quand bien il çauroit qu’il cauſe ma ſouffrance n deurois-je flatter de la moindre eſperance?	quand bien il çauroit qu'il cause ma souffrance n devrais-je flatter de la moindre espérance?
Iunce ayme ma ſœur, il ne peut donc m’aymer, uand il changeroit, le pourrois-ie eſtimer?	Junce aime ma sœur, il ne peut donc m'aimer, uand il changerait, le pourrais-je estimer?
Iant gagner mon cœur, il perdroit mon eſtime, ui amoui pour moy me paroiſtroit vi crime, Cependant il ſe iette en vn mortel danger;	Jant gagner mon cœur, il perdrait mon estime, amoui pour moi me paroistroit vi crime, Cependant il se iette en mortel danger;
Ai-je à m’en réjouir?	Ai-je à m'en réjouir?
ai-je à m’en affliget?	ai-je à m'en affliget?
Si ce Prince eſt vaincu, ce Prince perd ſa gloire Et ie doi faire ainſi des vœux pour ſa victoire?	Si ce Prince est vaincu, ce Prince perd sa gloire Et ici doi faire ainsi des vœux pour sa victoire?
Mais ſa victoire auſſi luy donnera ma ſœur, Et ie doi craindre ainſi de le revoir vainqueur L’vn & l’autre ſuccez fauorable ou contraire, S’oppoſe égallement à tout ce que i’eſpere;	Mais sa victoire aussi avoir donnera ma sœur, Et ie doi craindre ainsi de le revoir vainqueur L'un et l'autre succès favorable ou contraire, S'oppose également à tout ce que j'espère;
Où pluſtoſt ie crains tout, & ie n’eſpere rien, Eſt-il vn deſeſpoir plus iuſte que le mien?	Où plutôt Seigneur crains tout, et Seigneur n'espère rien, Est-il un désespoir plus juste que le mien?
CLARICE.	CLARICE.
Mais Amintas laſſé d’aimer qui le mépriſe, Peut vn iour vous offrir ce que refuſe Elize.	Mais Amintas lassé d'aimer qui le méprise, Peut un jour vous offrir ce que refuse Élise.
ALCIONNE.	ÀLCIONE.
Apres les ſentimens d’vne noble fierté, Ou mon cœur contre luy s’eſt tantoſt omporté, Apres auoir promis à maſœur qui m’eſt chere, De reſiſter comme elle aux volontez d’vn Pere, Laſche puis-ie trahir la fierté de mon cœur, Et plus laſche manquer de parolle à ma ſœur?	Après les sentiments d'une noble fierté, Ou mon cœur contre même s'est tantôt omporté, Après avoir promis à masœur qui m'est chère, De résister comme elle aux volontés d'un Père, Lâche puis-ie trahir la fierté de mon cœur, Et plus lâche manquer de parole à ma sœur?
CLARICE.	CLARICE.
Il ſçauroit mon amour ſi i’eſtois Alcionne.	Il saurait mon amour si j'étais Alcionne.
ALCIONNE.	ÀLCIONE.
Que pourroit-il penſer d’vne ame qui ſe donné?	Que pourrait-il penser d'une âme qui se donné?
Ha!	Ha!
ſi de la dépend tout l’heur de mon Deſtin, Reſoluons nous pluſtoſt d’en auancer la fin, Craignons l’t cat honteux d’vne amante qui pri Mais à quoy ſonge-tu, mon aueugle furie?	si de la dépend tout l'heur de mon Destin, Résoluons nous plutôt d'en avancer la fin, Craignons l't cat honteux d'une amante qui pri Mais à quoi songe-tu, mon aveugle furie?
He n’ay-je pas vou u dans ce meſme moment, Luy découurir ma flâme, & mon cruel tourme Et découurir ſa flâme à celuy qui la cauſe?	He n'ai-je pas vou u dans ce même moment, Lui découvrir ma flamme, et mon cruel tourme Et découvrir sa flamme à celui qui la cause?
Si ce n’eſt le prier, il s’en faut peu de choſe, O Dieux!	Si ce n'est le prier, il s'en faut peu de chose, Ô Dieux!
quand ie reproche à mon eſprit confus Que ie vien dec urir le danger d’vn refus;	quand ici reproche à mon esprit confus Que on viens découvrir le danger d'un refus;
Qu il n’eſt rien de plus bas qu’vne inutile plainte Qu’ayſement ie m’engage aux loix de la contrait ORSAIRE.	Qu il n'est rien de plus bas qu'une inutile plainte Qu'aisément apprendre m'engage aux lois de la contrait ORSAIRE.
A ne croire iamais mes deſirs trop ardens;	À ne croire jamais mes désirs trop ardents;
A deffendre à mon cœur ſes ſoûpirs imprudens.	À défendre à mon cœur ses soupirs imprudents.
Mais en vain on le cache;	Mais en vain on le cache;
vn air triſte au viſage Vne langueur aux yeux, ſont vn muet langa Qui trahit le ſecret d’vn ſoûpir retenu, Et le feu de l’amour toſt ou tard eſt connu le;	Un air triste au visage Une langueur aux yeux, sont un muet langa Qui trahit le secret d'un soupir retenu, Et le feu de l'amour tôt ou tard est connu le;
C’eſt le meilleur conſeil que tu peux iamais ſuiure, Choiſis, choiſis la mort pluſtoſt que de rougir;	C'est le meilleur conseil que tu peux jamais suivre, Choisis, choisis la mort plutôt que de rougir;
Laiſſe à ton deſeſpoir la liberté d’agir;	Laisse à ton désespoir la liberté d'agir;
Et ſoit que ton Amant vainque, ou perde la vie, Meurs de ton déplaiſir, ou de ta ialouſie:	Et soit que ton Amant vainque, ou perde la vie, Meurs de ton déplaisir, ou de ta jalousie:
Fin du ſecond Acte.	Fin du second Acte.
1Y I III SCENE PREMIER NICANOR, CRITON.	1Y I III SCÈNE PREMIER NICANOR, CRITON.
NICANOR.	NICANOR.
E Coiſaire Oroſmane a donc pris terre ainſi!	E Coisaire Orosmane a donc pris terre ainsi!
CRITON.	CRITON.
LEt renuoyé ſa barque & ſes Soldats auſſ.	LEt renvoyé sa barque et ses Soldats auss.
Et mon fils?	Et mon fils?
NICANOR.	NICANOR.
CRITON.	CRITON.
Et le Prince a de la meſme ſorte, Renuoyé les Soldats qui luy ſeruoient deſcorte.	Et le Prince a de la même sorte, Renvoyé les Soldats qui lui servaient descorte.
Ils ſe ſont allé battre au pied d’vn grand rocher, Où ſans ſe faire voir on ne peut approcher:	Ils se sont allé battre au pied d'un grand rocher, Où sans se faire voir on ne peut approcher:
Mais Seigneur, conſentir à ce combat funeſte.	Mais Seigneur, consentir à ce combat funeste.
NICANOR.	NICANOR.
I'ay fait ce que i’ay dû, les Dieux feront le reſte.	J'ai fait ce que j'ai dû, les Dieux feront le reste.
La victoire en dépend, & non pas noſtre cœur, Qui doit eſtre inuincible en cedant au vainqueur Mais la flotte Corſaire à noſtre rade ancrée, S’eſt à l’aube du iour en deux parts ſeparée.	La victoire en dépend, et non pas nôtre cœur, Qui doit être invincible en cédant au vainqueur Mais la flotte Corsaire à notre rade ancrée, S'est à l'aube du jour en deux parts séparée.
CRITON.	CRITON.
Dont l’vne, vent en pouppe a pris la haute met, Pendant qu’on a veu l’autre en bonne ordre ran Vers l’Occident de l’Iſle où l’abord eſt facile, Et qui n’eſt deffendu ny de Fort ny de Ville.	Dont l'une, vent en poupe a pris la haute met, Pendant qu'on a vu l'autre en bonne ordre ran Vers l'Occident de l'Île où l'abord est facile, Et qui n'est défendu donner de Fort ni de Ville.
NICANOR.	NICANOR.
Ils ont quelque deſſein qui nous eſt inconnu, Mais que veur Licas?	Ils ont quelque dessein qui nous est inconnu, Mais que veut Licas?
CENE I.	CÈNE I.
LICAS, NICANOR,	LICAS, NICANOR,
Seigneur:	Seigneur:
LICAS.	LICAS.
Le Prince eſt reuenu	Le Prince est revenu
NICANOR.	NICANOR.
De ſon combat il reuient pleia de gloire.	De son combat il revient pleia de gloire.
Cen eſt-il?	Cen est-il?
LICAS.	LICAS.
Il n’a point parlé de ſa victoire.	Il n'a point parlé de sa victoire.
le Punce eſt moderé.	le Punce est modéré.
NICANOR.	NICANOR.
Le Prince eſt donc vaincu, t5'il l'eſt auec honte, il n’a que trop veſcu.	Le Prince est donc vaincu, t5-il l'est avec honte, il n'a que trop vécu.
LICAS.	LICAS.
Le Corſaire, Seigneur, a ſurpris Amatonte.	Le Corsaire, Seigneur, a surpris Amatonte.
NICANOR.	NICANOR.
O Dieux!	Ô Dieux!
adiouſtez-vous cette perte à ma honter l vôtre ſecours me veut abandonner, Lel remede aſſez prompt y pourray-je donner!	ajoutez-vous cette perte à ma honter l vôtre secours me veut abandonner, Lel remède assez prompt y pourrai-je donner!
iſçuit-on le deſtail d’vne telle auanture?	isçuit-on le destail d’vne telle auanture?
LICAS.	LICAS.
que i’ay pû tirer d’vn Peuple qui murmure, uous ſçauez, Seigneur, ce qu’on en peut tiret.	que j'ai pu tirer d'Hô Peuple qui murmure, -vous sçauez, Seigneur, ce on en peut tiret.
te qu’en peu de mots ie vais vous déclarer.	te qu'en peu de mots ie mais vous déclarer.
uoupes d’Oroſmane en terre deſcenduës, out en diuers corps dans l’Iſe répanduës, L'on a pris Amatonte, & le plus fort de touz Que les autres ſuiuront, marche, & vient droit !	Ououpes d'Orômane en terre descendues, out en divers corps dans l'Ise répandues, L'on a pris Amatonte, et le plus fort de toucés Que les autres suivront, marche, et vient droit !
nous.	nous.
C’eſt aſſez.	C'est assez.
NICANOR.	NICANOR.
SCENE III.	SCÈNE III.
NICANOR, ELISE, LICAS,	NICANOR, ÉLISE, LICAS,
NICANOR.	NICANOR.
Sçauez-vous qu’Amatonte eſt ſurpriſc, Madame, & qu’on s’en prend à la Princeſſe Eliſe Qu’on dit qu’elle s’entend auec nos Ennemis, Puis qu’elle a refusé de couronner mon fils;	Savez-vous qu'Amatonte est surprisc, Madame, et qu'on s'en prend à la Princesse Élise Qu'on dit qu'elle s'entend était nos Ennemis, Puis qu'elle a refusé de couronner mon fils;
Que par ce fier refus vne guerre impreueué, Trouue Cypre allarmée, & de Roy dépourueue Et qu’à nous qui pourrions les eſprits raſſeurer, Elle ne permet pas ſeulement d’eſperer?	Que par ce fier refus une guerre impreueué, Trouve Cypre alarmée, et de Roi dépourvue Et qu'à nous qui pourrions les esprits rassurer, Elle ne permet pas seulement d'espérer?
ELISE.	ÉLISE.
Ie permets d’eſperer au vainqueur du Corſaire.	Je permets d'espérer au vainqueur du Corsaire.
NICANOR.	NICANOR.
Mais Amintas vaincu, perd l’eſpoir de vous ple Ce Prince qui vous ayme, & que vous mépriſez, Pour conſeruer vn bien que vous luy refuſez, Pour deffendre la Cypre à d’autres deſtinée, Ira-t’il expoſer ſa vie infortunée?	Mais Amintas vaincu, perd l'espoir de vous ple Ce Prince qui vous aime, et que vous méprisez, Pour conserver un bien que vous lui refusez, Pour défendre la Cypre à d'autres destinée, Ira-t-il exposer sa vie infortunée?
Ha!	Ha!
puiſqu’à ſon amour l’eſpoir eſt deffendu;	puisqu'à son amour l'espoir est défendu;
Que Cypre ſoit perduë autant qu’il eſt perdu.	Que Cypre soit perdue autant qu'il est perdue.
ELISE.	ÉLISE.
Ce n’eſt pas la ſaiſon de faire des reproches, Quand de nos ennemis nous craignons les apf ches,	Ce n'est pas la saison de faire des reproches, Quand de nos ennemis nous craignons les apf chez,
Ny de laiſſer ainſi tout vn Peuple effrayé.	Ni de laisser ainsi tout un Peuple effrayé.
Qui n’eſpere qu’en vous, qui vous a tour fié.	Qui n'espère qu'en vous, qui vous a tour fié.
Que fait donc en vos mains la regence remiſe, Et vous en ſeruez-vous ſeulement contre Eliſe?	Que fait donc en vos mains la régence remise, Et vous en servez-vous seulement contre Élise?
l’aurois donc bien choiſi pour Eſpoux & pour Roy, Vn Prince qui craindroit de s’expoſer pour moy, Ce n’eſt qu’en deffendant, en forçant des murailles, Marchant vers l’ennemy, luy donnant des batailles, Quand on n’eſt pas né Roy qu’on ſe peut couronner.	l'aurais donc bien choisi pour Époux et pour Roi, Un Prince qui craindrait de s'exposer pour moi, Ce n'est qu'en défendant, en forçant des murailles, Marchant vers l'ennemi, lui donnant des batailles, Quand on n'est pas né Roi qu'on se peut couronner.
A de moindres exploits ie ne me puis donner.	À de moindres exploits ici ne me puis donner.
Quand ce que i’ay iuré pourroit vn iour s’enfraindre, Et dans mon cœur changé la vengeance s’eſteindre, Mais le Prince Amintas, ne s’eſt-t’il pas battu ?	Quand ce que j'ai juré pourrait un jour s'enfraindre, Et dans mon cœur changé la vengeance s'éteindre, Mais le Prince Amintas, ne s'est-t-il pas battu ?
Tient-on ſecret s’il eſt, ou vainqueur ou vaincu?	Tient-on secret s'il est, ou vainqueur ou vaincu?
LICAS.	LICAS.
Il vous cherche, Madame.	Il vous cherche, Madame.
ÆLIJE.	NELIJE.
Ha!	Ha!
qu’il vienne m’apprendre Ie ſuccez du combat que ie brûle d’entendre.	qu'il vienne m'apprendre Je succès du combat que ie brûle d'entendre.
Ie vous demandois, Prince!	Je vous demandais, Prince!
eſt-il mort, eſt-il pris, Ie barbare Corſaire, & ſuis-je voſtre prix?	est-il mort, est-il pris, Je barbare Corsaire, et suis-je votre prix?
Du vaincu, venez vous en affliger Eliſe, Aſſez triſte dé-ja, d’Amantonte ſurpriſe?	Du vaincu, venez -vous en affliger Élise, Assez triste déjà, d'Amantonte surprise?
SCENE IV MINTAS, ELISE, NICANOR	SCÈNE IV MINTAS, ÉLISE, NICANOR
AMINTAS le bras en échatpe.	AMINTAS le bras en échatpe.
E ſuis vaincu, Princeſſe, & ie cede à mon ſort.	E suis vaincu, Princesse, et ainsi cède à mon sort.
Mlon bras bleſſé n’a fait qu’vn inutile effort, les longues rigueurs de vôtre fier couragé, i enſin accomply leur malheureux préſage.	Mlon bras blessé n'a fait qu'un inutile effort, les longues rigueurs de votre fier couragé, j' sin accompli leur malheureux présage.
Ie vous perds belle Eliſe, & ie ne cherche plus D’où venoient vos mépris, vos froideurs, vos refus?	Je vous perds belle Élise, et ainsi ne cherche plus D'où venaient vos mépris, vos froideurs, vos refus?
Qui pour vous acquerir a manqué de vaillance, A bien plus merité que voſtre indifference.	Qui pour vous acquérir a manqué de vaillance, À bien plus mérité que votre indifférence.
Dois-je vous l’auoüer?	Dois-je vous l'auoüer?
vn illuſtre vainqueur, Tout ennemy qu’il eſt, auroit gagné mon cœur.	un illustre vainqueur, Tout ennemi qu'il est, aurait gagné mon cœur.
Mon ame auroit eſté de la ſienne charmée, Dans le temps que ſa main la mienne a deſarmée, Si ie pouuois aimer ce que vous n’aimez pas, Lors que i’ay ſuccombé ſous l’effort de ſon bras, Va Prince, m’a-t’il dit, vis pour aimer Eliſe;	Mon âme aurait été de la sienne charmée, Dans le temps que sa main la mienne a désarmée, Si ie pouuois aimer ce que vous n'aimez pas, Lors que j'ai succombé sous l'effort de son bras, Va Prince, m'a-t-il dit, vis pour aimer Élise;
Vn Dieu ne feroit pas de plus belle entrepriſe;	Un Dieu ne ferait pas de plus belle entreprise;
Qui par de tels deſſeins fait enuier ſon ſort, En merite vn meilleur que mes fers, ou la mort.	Qui par de tels desseins fait envier son sort, En mérite un meilleur que mes fers, ou la mort.
De ſi beaux ſentimens ſi conformes aux nôtres, N’adouciront-ils point la cruauté des vôtres?	De si beaux sentiments si conformes aux nôtres, N'adouciront-ils point la cruauté des vôtres?
Quoy que par luy vaincu, que par luy malheureux, Ie dois cette iuſtice à ſon cœur genereux, Que ſa vaillante main ne m’a laiſſé la vie, Qu’à cauſe que l’amour vous l’auoit aſſeruie.	Quo que par beau vaincu, que parfois malheureux, Je dois cette justice à son cœur généreux, Que sa vaillante main ne m'a laissé la vie, Qu'à cause que l'amour vous l'avait asservie.
Vous ſouhaittez ſa mort;	Vous souhaitez sa mort;
mais i’atteſte les Cieux, Qu’il ne parle de vous que comme on fait des Dieur Qu’il n’eſt point de mortel plus digne de vous plaire, Et que l’on connoiſt mal cét illuſtre Corſaire.	mais j'atteste les Cieux, Qu'il ne parle de vous que comme on fait des Dame Qu'il n'est point de mortel plus digne de vous plaire, Et que l'on connaît mal cet illustre Corsaire.
ELISE.	ÉLISE.
Adiouſtez, Amintas, que cét heureux vainqueur, Vous oſte à meſme temps la victoire & le cœur.	Ajoutez, Amintas, que cet heureux vainqueur, Vous ôte à même temps la victoire et le cœur.
D’autres guerriers que vous dans l’Aſie ou la Grece Prendront les intereſts d’vne ieune Princeſſe, Combattront Oroſmane, & s’ils en ſont vaincus, Ne luy parleront point de ſes rares vertus.	D'autres guerriers que vous dans l'Asie ou la Grèce Prendront les intérêts d'une jeune Princesse, Combattront Orômane, et s'ils en sont vaincus, Ne lui parleront point de ses rares vertus.
AMINTAS.	AMINTAS.
