A PARIS, Chez GABRIEI.	À PARIS, Chez GABRIEI.
rane muoun, ieno veua poit te ley faiſſer toucher.	rane muin, ienna pua poit te lei faisser toucher.
Tu peux les voir de loin, & ſans en approchet.	Tu peux les voir de loin, et sans en approchet.
LAVRENS approchant.	LAURENS approchant.
Ie ne puis voir de loin, & ſuis court de viſiere.	Je ne puis voir de loin, et suis court de visière.
2 2Os Ne t’émancipes pas, car ma main eſt legere.	2 2Os Ne t'émancipes pas, car ma main est légère.
LAVRENS.	LAURENS.
Cà, faiſons vn marché.	Çà, faisons un marché.
Donne moy deux ſoufflets, Et me laiſſe baiſer tes tetons rondelets.	Donne moi deux soufflets, Et me laisse baiser tes tétons rondelets.
Lome eit.	Lome eit.
LISE.	LISE.
I’aurois trop peur de te voir pâmer d’aiſe.	J'aurais trop peur de te voir pâmer d'aise.
LAVRENS.	LAURENS.
A la pâmoiſon pres, permets que ie les baiſe.	À la pâmoison pres, permets que sans les baise.
LISE.	LISE.
Non, ie ne le veux pas.	Non, Seigneur ne le veux pas.
LAVRENS.	LAURENS.
Que tu fais de façons!	Que tu fais de façons!
Si ce n’eſt pour baiſer, à quoy bon des tetons?	Si ce n'est pour baiser, à quoi bon des tétons?
aurte fetienti.	aurte fétienti.
A tort cen lre la cruelle, Rous lolmes leuisiey, ruccaſont orle.	A tort cen lère la cruelle, Rous lolmes levisie, ruccasont orle.
LISE.	LISE.
H.	H.
quand nous ſerions ſeuls, eſt-ce vn moindre peché?	quand nous serions seuls, est-ce un moindre péché?
LAVRENS.	LAURENS.
Le crime n’eſt pas crime, alors qu’il eſt caché.	Le crime n'est pas crime, alors qu'il est caché.
Le ſcandale du monde eſt ce qui fait l’offence, Et ce n’eſt pas pecher, que pecher en ſilence.	Le scandale du monde est ce qui fait l'offense, Et ce n'est pas pécher, que pécher en silence.
nurbieo de Purtuire, rruiileul dont on luit cas;	nurbo de Purtuire, rhruiileul dont on luit cas;
S’il n’eſtoit veritable, il ne le diroit pas.	S'il n'était véritable, il ne le dirait pas.
Si tu ne veux quitter vne humeur ſi farouche, Ie meurs.	Si tu ne veux quitter une humeur si farouche, Je meurs.
LISE.	LISE.
Talit Pls pour toy.	Talit Pls pour toi.
LAVRENS.	LAURENS.
Que ma douleur te touche!	Que ma douleur te touche!
LISE.	LISE.
Auſſi dure qu’Orgon, tu trépaſſerois là, Que ie m’en ſoucirois autant que de cela.	Aussi dure qu'Orgon, tu trépasserais là, Que tu m'en soucirais autant que de cela.
LAVRENS.	LAURENS.
Tu perdrois vn Amant & ſincere, & fidelle.	Tu perdrais un Amant et sincère, et fidèle.
C i9	Ç C9
LISE.	LISE.
Et luy tous ſes Parens, & ſi ſon ame eſttelle.	Et grands tous ses Parents, et si son âme esttelle.
LAVRENS.	LAURENS.
Si ie ne craignois point que nous fuſſions ſurpris, Ma foy, ie te ferois, dans l’ardeur où ie ſuis.	Si ici ne craignais point que nous fussions surpris, Ma foi, tu te ferais, dans l'ardeur où tu suis.
Quoy donc?	Quoi donc?
LISE.	LISE.
Rien.	Rien.
LAVRENS.	LAURENS.
LISE.	LISE.
Mais encor?	Mais encor?
LAVRENS.	LAURENS.
Tu veux que iele diſe?	Tu veux que iele dise?
Ie te.	Je te.
tu me ferois lacher quelque ſottiſe.	tu me ferais lâcher quelque sottise.
montrant ſes tetons.	montrant ses tétons.
A	À
LISE.	LISE.
En ſeras-tu plus gras?	En seras-tu plus gras?
oüy.	oui.
LAVRENS.	LAURENS.
Non.	Non.
LISE.	LISE.
LAVRENS, De grace.	LAURENS, De grâce.
LISE.	LISE.
1*o11.	1*o11.
LAVRENS ſe dépitant.	LAURENS se dépitant.
Il reuient doucement.	Il revient doucement.
Tu t'en repentiras.	Tu t'en repentiras.
Héque ie les manie au moins.	Héque ici les manie au moins.
LISE.	LISE.
Que ie ſuis laſſe.	Que ie suis lasse.
Puis que tu ne veux pas mi actoruer cette grace, Si ie voulois par force attaquer ton honneur, Comment donc ferois-tu?	Puis que tu ne veux pas mi actoruer cette grâce, Si tu voulais par force attaquer ton honneur, Comment donc ferais-tu?
LISE.	LISE.
Ie criérois au Voleut.	Je criérois au Volut.
LAVRENS.	LAURENS.
Hé pourquoy?	Hé pourquoi?
le laiſtant toute choſe en nature.	le laistant toute chose en nature.
Tu ne veux pas?	Tu ne veux pas?
LISE.	LISE.
Non.	Non.
LAVRENS.	LAURENS.
Non?	Non?
LISE.	LISE.
En verité, i’en jure.	En vérité, j'en jure.
C iiij	Ç Cijà
LAVRENS.	LAURENS.
Pour me cacher ton Sein, pren moy dõc ce mouchoir, Car ſans tentation ie ne le ſçaurois voir;	Pour me cacher ton Sein, pren moi dõc ce mouchoir, Car sans tentation homme ne le saurais voir;
Par de pareilles jeiteinmes jomnerejes, Et tela jais venir des coupables pensees.	Par de pareilles jeiteinmes jomnerejes, Et tela jais venir des coupables pense.
LISE.	LISE.
Lors que l’on voit vn Sein que l’on n’oſe toucher, L’on n’apas grande peine à le faire cacher.	Lors que l'on voit un Sein que l'on n'ose toucher, L'on n'appas grande peine à le faire cacher.
Ah Tartuffe maudit!	Ah Tartuffe maudit!
dont la mine empruntée.	dont la mine empruntée.
Ie te verrois tout nud, ſans en eſtre tentée.	Je te verrais tout nu, sans en être tentée.
LAVRENS commençant à ſe deſ-habiller.	LAURENS commençant à se déshabiller.
Il le faut éprouuer.	Il le faut éprouver.
LISE le retenant.	LISE le retenant.
Iin eſt pas prioin, ron.	Jin est pas prioin, ron.
luoy, tu ſerois ſujet à la tentation?	luoi, tu serais sujet à la tentation?
Vn Valet tel que toy, de l’amourſe conſomme.	Un Valet tel que toi, de l'amourse consomme.
LAVRENS.	LAURENS.
Ab pour eſtre Valet, ie n’en ſuis pas moins Homme	Ab pour être Valet, ici n'en suis pas moins Homme
LISE.	LISE.
Ce Vers eſt de Tartuffe, & c’eſt piller l'Autheus.	Ce Vers est de Tartuffe, et c'est piller l'Auteur.
LAVRENS.	LAURENS.
Bon, n’eſt-il pas permis de voler vn Voleur?	Bon, n'est-il pas permis de voler un Voleur?
Ce Vers eſtant ſorty du cerveau de Comneille, SertoLe voler à mon tour, n’eſt pas grande merueille.	Ce Vers étant sorti du cerveau de Comneille, SertoLe voler à mon tour, n'est pas grande merveille.
rius.	rius.
Tauoir piiste vds?	Tavoir piiste vds?
LISE.	LISE.
LAVRENS.	LAURENS.
Ce n’eſt pas d’aujourd’huy, Qu’il ſe ſçait enrichir des dépoüilles d’autruy.	Ce n'est pas d'aujourd'hui, Qu'il se sait enrichir des dépouilles d'autrui.
LISE.	LISE.
Mais il en a changé le ſens en ſa maniere.	Mais il en a changé le sens en sa manière.
LAVRENS.	LAURENS.
Ie ſçais qu’il a changé, pour ſuiure ſa matiere, Le Romain en Deuot;	Je sais qu'il a changé, pour suivre sa matière, Le Romain en Dévot;
& moy, pour mon ſujet, N’ay je pas transformé le Deuot en Valet?	et moi, pour mon sujet, N'ai -je pas transformé le Deuvot en Valet?
Il éternue.	Il éternue.
Qu'as-tu dolc contre moy?	Qu'as-tu dolc contre moi?
quelle humeur te poſſede?	quelle humeur te possède?
A Tartuffe, en rottant, Orgondit, Dieu vous aide, Moy i’éternuë en forme, & tu ne me dis rien?	À Tartuffe, en rottant, Orgondit, Dieu vous aide, Moi j'éternue en forme, et tu ne me dis rien?
LISE.	LISE.
I’auois l’eſprit ailleurs, & tu m’excuſes bien:	J'avais l'esprit ailleurs, et tu m'excuses bien:
Mais changeons de propos, & parlons de ton Maiſtre.	Mais changeons de propos, et parlons de ton Maître.
Dis-moy, dans ſon humeur, quel Hõme ce peut eſtre.	Dis-moi, dans son humeur, quel Homme ce peut -être.
LAVRENS.	LAURENS.
C’eſt vn Homme de bien, Fanſaron de vertu.	C'est un Homme de bien, Fantsaron de vertu.
Et ſi pour s’en targuer, il n’en a iamais eu, Mais au moins ie te parle en bonne confidence;	Et si pour s'en targuer, il n'en a jamais eu, Mais au moins ici te parle en bonne confidence;
Quoy qu’on le croye hõneſte, il n’eſt pas ce qu’õ penſe, Luy-meſme, de luy-meſme, eſt enfin aueuglé.	Quoi qu'on le croie honnête, il n'est pas ce qu'on pense, Lui-même, de notre-même, est enfin aveuglé.
Si l’on ſçauoit ſes tours.	Si l'on savait ses tours.
a part.	à part.
Peſte, i’ay trop parlé,	Peste, j'ai trop parlé,
LISE.	LISE.
Mais encore, quels touis?	Mais encore, quels touis?
LAVRENS.	LAURENS.
Il n'eſt pas neceſſaite.	Il n'est pas nécessaite.
Dis.	Dis.
LISE.	LISE.
LAVRENS.	LAURENS.
Ie connois ma faute, il eſt temps de me taire,	Je connais ma faute, il est temps de me taire,
LISE.	LISE.
Si tu ne voulois pas que ie ſçeuſſe ces tours, Il ne me falloit point entamer ce diſcours.	Si tu ne voulais pas que ainsi sçeusse ces tours, Il ne me fallait point entamer ce discours.
Va, n’apprehende rien, tu me connois diſcrette.	Va, n'appréhende rien, tu me connais discrette.
LAVRENS.	LAURENS.
Oüy, mais ie crains ta langue:	Oui, mais ainsi crains ta langue:
Ah que n’es-tu muette.	Ah que n'es-tu muette.
Mais que dis-je, muette!	Mais que dis-je, muette!
Hé quand tu la ſerois, Tes ſignes parleroient au defaut de ta voix.	Hé quand tu la serais, Tes signes parleraient au défaut de ta voix.
LISE.	LISE.
C’eſt m’offenſer par où ie ſuis la plus ſenſible.	C'est m'offenser par où tu suis la plus sensible.
Tu crois que ie ſetois.	Tu crois que ainsi sétais.
LAVRENS.	LAURENS.
Vois-tu, tout eſt poſſible.	Vois-tu, tout est possible.
Outre que voſtre Sexe eſt ſuſpect en ce poinct, de içais que le fecretchez toy ne viemit ponit.	Outre que votre Sexe est suspect en ce point, de içais que le fecretchez toi ne viemit ponit.
LISE.	LISE.
Tu nle int comnion pan.	Tu nle int comnion pan.
i Opauon tout lans rien dire, Eſt vne qualité que moy-meſme i’admire.	y Opavon tout lans rien dire, Est une qualité que moi-même j'admire.
LAVRENS.	LAURENS.
Bon, ie veux qu’on m’admire;	Bon, Seigneur veux qu'on m'admire;
& ne te dire rien, En eſt tout juſtement l’infaillible moyen.	et ne te dire rien, En est tout justement l'infaillible moyen.
LISE.	LISE.
Tu ne veux pas plus loin pouſſer la confidence:	Tu ne veux pas plus loin pousser la confidence:
Se défier de moy, c’eſt choquer ma prudence.	Se défier de moi, c'est choquer ma prudence.
LAVRENS.	LAURENS.
Le ſecret à mes yeux fait briller tant d’apas.	Le secret à mes yeux fait briller tant d'appas.
frapant ſes mains.	frappant ses mains.
Ah tu te tais?	Ah tu te tais?
Et moy ie ne me tairay pas.	Et moi ici ne me tairai pas.
Loin d’imiter d’Orgon la trop diſcrette Femme, Qui du Tartuffe ingrat luy veut cacher la flame, D’abord que deuant moy ton Maiſtre paroiſtra, Ie luy conteray tout,	Loin d'imiter d'Orgon la trop discrette Femme, Qui du Tartuffe ingrat ) veut cacher la flamme, D'abord que devant moi ton Maître paraître, Je lui conterai tout,
LAVRENS.	LAURENS.
1e .	1e .
8	8
LISE.	LISE.
Non, il le ſçaura.	Non, il le saura.
Laurens la tire pour l’ompeſcher.	Laurens la tire pour l'ompêcher.
Mais il vient à propos, point de miſéricorde.	Mais il vient à propos, point de miséricorde.
C’eſt vn plaiſit pour moy de ſemer la diſcorde.	C'est un plaisit pour moi de semer la discorde.
SCENE VIII.	SCÈNE VIII.
TARTVFTE, LISE, LAVRENS.	TARTUFTE, LISE, LAURENS.
LISE.	LISE.
toy, Monſieur, ſouffrez-vous qu’vn Traiſtre, vn 7 Impoſteur, Faſſe tous ſes efforts pour vous perdre d’honneut?	toi, Monsieur, souffrez-vous qu'un Traître, un 7 Imposteur, Fasse tous ses efforts pour vous perdre d'honnut?
Vous vous faites ſeruir d’vn zele domeſtique, arluit du vonte nmmduitacuuurdiniaque,	Vous vous faites servir d'une zèle domestique, arluit du vonte nmmduitacuuurdiniaque,
Comment?	Comment?
TARTVFFE.	TARTUFFE.
LISE.	LISE.
Si l'on en croit ſes obligeans diſcouts, Vous eſtes bien honneſte, & faites de bons tours.	Si l'on en croit ses obligeants discouts, Vous êtes bien honnête, et faites de bons tours.
TARTVFFE.	TARTUFFE.
Qu’entens-je, juſte Ciel?	Qu'entends-je, juste Ciel?
LAVRENS à part.	LAURENS à part.
Ah, Traiſtreſſe maudite, Pour vn membre à choiſir, i’en voudrois eſtre quitte.	Ah, Traîtresse maudite, Pour un membre à choisir, j'en voudrais être quitte.
TARTVFFE à part.	TARTUFFE à part.
ſaury MJ Paas	sauri MJ Paas
LAVRENS à part.	LAURENS à part.
Ie ne ſçais que reſoudte en vn tel embarras,	Je ne sais que résoudte en un tel embarras,
TARTVFFE à Laurens.	TARTUFFE à Laurens.
Quoy, tu me trahirois?	Quo, tu me trahirais?
& tu ſerois capable?	et tu serais capable?
LAVRENS.	LAURENS.
Oüy, mon Maiſtre, ie ſuis vn meſchant, vn coupable, Vn inique Valet, dont les intentions Vont à vous accablet de tribulations;	Oui, mon Maître, je suis un méchant, un coupable, Un inique Valet, dont les intentions Vont à vous accablet de tribulations;
Ie ſuis vn Scelerat, de qui la calomnie Veut tacher voſtre nom de honte & d’infamie.	Je suis un Scélérat, de qui la calomnie Veut tacher votre nom de honte et d'infamie.
Allez, n’en doutez point, croyez-en ſon recit;	Allez, n'en doutez point, croyez-en son récit;
I’en ay plus dit encor qu’on ne vous en a dit.	J'en ai plus dit encor qu'on ne vous en a dit.
TARTVFFE à part.	TARTUFFE à part.
Pourquoy ſuis-je en vn licu qu’il faut que ie reuere, Et qui contraint mon cœur d’étouffer ſa colere?	Pourquoi suis-je en un licu qu'il faut que vi reuere, Et qui contraint mon cœur d'étouffer sa colère?
LISE.	LISE.
Hé quoy, de tels diſcours vous émeuuent ſi peu?	Hé quoi, de tels discours vous émeuuent si peu?
Ie penſe eſtre croyable apres vn tel aucu.	Je pense être croyable après un tel aucu.
LAVRENS.	LAURENS.
De vos émotions les tranſports ſont trop ſages;	De vos émotions les transports sont trop sages;
Puniſſez mes forfaits, retenez-moy mes gages, Et m’oſtant vos couleurs, traitez-moy rudement, Ie m’en murmureray, mon Maiſtre, nullement.	Punissez mes forfaits, retenez-moi mes gages, Et m'ôtant vos couleurs, traités-moi rudement, Je m'en murmurerai, mon Maître, nullement.
TARTVFFE à part.	TARTUFFE à part.
Non, de mes mouuemens ie ne puis eſtre maiſtre.	Non, de mes mouvements ie ne puis être maître.
Et ne puis plus ſouffrir l’inſolence d’vn traiſtre.	Et ne puis plus souffrir l'insolence d' traître.
à Laurens.	à Laurens.
Penſes, tu me tromper comme l’on fait Orgon?	Penses, tu me tromper comme l'on fait Orgon?
Cette ruſe groſſiere.	Cette ruse grossière.
vn baſton.	un bâton.
vn baſton.	un bâton.
LAVRENS.	LAURENS.
Fuyons comme Damis.	Fuyons comme Damis.
TARTVFFE allant apres luy.	TARTUFFE allant après lui.
Apres ton impudence.	Après ton impudence.
Ne’te montres iamais, fripon, en ma preſence.	Ne'te montres jamais, fripon, en ma présence.
SCENE IX TARTVFFE, LISE.	SCÈNE IX TARTUFFE, LISE.
LISE.	LISE.
velle malice, ô Ciel!	velle malice, ô Ciel!
ce crime eſt ſans pardon.	ce crime est sans pardon.
ZOſer ainſi noiteir vn Maiſtre ſans raiſon!	ZOser ainsi noiteir un Maître sans raison!
TARTVFFE ſe retournant vers la porte.	TARTUFFE se retournant vers la porte.
Coquin.	Coquin.
LISE.	LISE.
Ie ne ſuis pas d’vne humeur ſi traiſtreſſe, Et conſerue autrement l’honneur de ma Maiſtreſſe.	Je ne suis pas d'une humeur si traîtresse, Et conserve autrement l'honneur de ma Maîtresse.
Peudurf.	Peudurf.
TARTVFFE.	TARTUFFE.
LISE.	LISE.
Comme il a fait, peut-on manquer de foy?	Comme il a fait, peut-on manquer de foi?
Inſame.	Insame.
TARTVFFE.	TARTUFFE.
LISE.	LISE.
Bien des Gens ont lait iuure canemey, Et ſi loin d’en parlet, i’ay fort bien ſceu m’en taire, Et cacher dans mon ſein tout ce que i’ay veu faire.	Bien des Gens ont lait juvre canemei, Et si loin d'en parlet, j'ai fort bien su m'en taire, Et cacher dans mon sein tout ce que j'ai vu faire.
TARTVFFE s'en allant à la porte en furie.	TARTUFFE s'en allant à la porte en furie.
Abinaiſirel, iaerat Jripon.	Abinaisirel, jaerat Jripon.
LISE.	LISE.
Apres vn tel forfait, Vous le traitez en Fils, & non pas en Valet.	Après un tel forfait, Vous le traités en Fils, et non pas en Valet.
Oinoinde ron puhtuird uliluncienimpoitures, N'outrage pas Damis auec d’autres injures.	Oinoinde ron puhuird uliluncienimpaitures, N'outrage pas Damis auec S'autres injures.
TARTVFFE.	TARTUFFE.
Que n’ay-je ſur la place aſſommé ce vaux-rient	Que n'ai-je sur la place assommé ce vaux-rient
BIo B.	BIo B.
C’eſt vn coquin, Monſieur, il le merite bien.	C'est un coquin, Monsieur, il le mérite bien.
TARTVFFE.	TARTUFFE.
Ie ſens que contre luy la fureut me tranſporte;	Je sens que contre beau la fureut me transporte;
Pour l’aller étrangler, permettez que ie ſotte.	Pour l'aller étrangler, permettez que . sotte.
LISE.	LISE.
Qui vous retient icy?	Qui vous retient ici?
Mais Cleon vient à nous.	Mais Cleon vient à nous.
Liſe ſort,	Lise sort,
SCENE X CLEON, TARTVFFE.	SCÈNE X CLEON, TARTUFE.
CLEON.	CLEON.
AH, Monſieur, de ce pas ie venois de chez vous.	AH, Monsieur, de ce pas ie venais de chez vous.
TARTVFFE.	TARTUFFE.
I'eſtois chez Licidas.	J'étais chez Licidas.
CLHON.	CLHON.
Quoy, ce pauure Poëte!	Quoi, ce pauvre Poète!
TARTVFFE.	TARTUFFE.
Comment le traitez-vous?	Comment le traitez-vous?
CLEON.	CLEON.
Comme il faut qu'on le tralte,	Comme il faut qu'on le tralte,
TARTVFFE.	TARTUFFE.
Ses Ouurages limez ſurprennent les plus fins, Et iamais on ne voit auorter ſes deſſeins.	Ses Ouvrages limés surprennent les plus fins, Et jamais on ne voit auorter ses desseins.
Guidé par la raiſon, d'vne adreſſe lubule, Il ſçait enfin meſler, l’agreable a l’vule.	Guidé par la raison, d'une adresse lubule, Il sait enfin mêler, l'agréable à l'une.
CLEON.	CLEON.
1le que unie lrtous done de noitie Autheur du temps?	1le que unie lrtous done de noitie Auteur du temps?
TARTVFFE.	TARTUFFE.
Qu’il rauale la Scene au gré des Ignorans;	Qu'il ravale la Scène au gré des Ignorants;
Son eſprit eſt ſi haut branché dans ce qu’il penſe, Qu’il ne deſcend iamais juſqu’a la vray-ſemblance,	Son esprit est si haut branché dans ce qu'il pense, Qu'il ne descend jamais jusqu'a la vraiisemblance,
Le pauure Homme!	Le pauvre Homme!
CLEON.	CLEON.
TARTVFFE.	TARTUFFE.
L’exemple en eſt claire en Orgon.	L'exemple en est claire en Orgon.
Ce Tartuffe à tel poinct aueuglant ſa raiſon, Que ſans examiner ſi c’eſt luy qui l’abuſe, Il luy donne ſes biens dans le temps qu’on l’accuſe, Et par vn ſot dépit, viole en meſme temps, Le ſang, l’amour, l’honneut, & la loy des Parens.	Ce Tartuffe à tel point aveuglant sa raison, Que sans examiner si c'est lui qui l'abuse, Il lui donne ses biens dans le temps qu'on l'accuse, Et par un sot dépit, viole en même temps, Le sang, l'amour, l'honnut, et la loi des Parents.
Quoy, ne deuoit-il pas dans cette conjoncture, Adant que d’arracher ſon cœut à la Nature, Approfondir du moins, le voyant aocuſé, Si ce crime en effet n’eſtoit que ſupoſé?	Quoi, ne devait-il pas dans cette conjoncture, Adant que d'arracher son cœut à la Nature, Approfondir du moins, le voyant accusé, Si ce crime en effet n'était que suposé?
Licidas ne prend point de pareille licence:	Licidas ne prend point de pareille licence:
L’on voit dans ſes ſujets briller la vray-ſemblance, Et ſur tout ſon eſprit, dans tous ſes dénoüemens, Démeſle auec tant d’art ſes diuers incidens, Qu’ayant mis en ſuſpens, par d’adroits artifices, Qui le doit emporter des Vertus, ou des Vices, D ij Au gré de l’Auditeur, les Vices abattus, Rehauſſent le triomphe & l’éclat des Vertus.	L'on voit dans ses sujets briller la vraiisemblance, Et sur tout son esprit, dans tous ses dénoüemens, Démesle avec tant d'art ses divers incidents, Qu'ayant mis en suspens, par d'adroits artifices, Qui le doit emporter des Vertus, ou des Vices, D Déj Au gré de l'Auditeur, les Vices abattus, Rehaussent le triomphe et l'éclat des Vertus.
Bt Tande Maieui.	Bt Tande Majeui.
CLEON.	CLEON.
TARTVFFE.	TARTUFFE.
Pour l'autre, il met tout en vſage C’eſt pour luy de l’Hebreu, que finir vn Ouurage, Dans ſon inuention ſon eſprit tranſporté, L’injuſtice à ſes yeux paſſe pour l’équité.	Pour l'autre, il met tout en usage C'est pour deux de l'Hébreu, que finir un Ouvrage, Dans son invention son esprit transporté, L'injustice à ses yeux passe pour l'équité.
Aiſiſi loutient chez luy la vertu cede au Vice, Mais las, c’eſt par erreur, plutoſt que par malice.	Aisisi loutient chez Seigneur la vertu cède au Vice, Mais las, c'est par erreur, plutôt que par malice.
Le pauure Homme CLEON.	Le pauvre Homme CLEON.
TARTVFFE.	TARTUFFE.
Tartuffe icy nous en fait foy, En fidele Sujet il va trouuer ſon Roy, Et l’inſtruit d’vn ſecret qui le tire de peine:	Tartuffe ici nous en fait foi, En fidèle Sujet il va trouver son Roi, Et l'instruit d'H secret qui le tire de peine:
Mais parce qu’íl commence à nuire ſur la Scene, Pour l’en faire ſortir, cet Autheur ſans raiſon, Fait commander au Roy qu’on le meine en priſon;	Mais parce qu'elle commence à nuire sur la Scène, Pour l'en faire sortir, cet Auteur sans raison, Fait commander au Roi qu'on le mène en prison;
Et contre ſon deuoir, quoy qu’Orgon ait ſceu faire, Et ſçachant ce ſecret, quoy qu’il ait ſceu s’en taire, Qu’il ait bleſſé par là l’Auguſte Majeſté, Il triomphe, bien loin d’en eſtre inquieté.	Et contre son devoir, quoi qu’Orgon ait su faire, Et sachant ce secret, quoi qu'il ait su s'en taire, Qu'il ait blessé par là l'Auguste Majesté, Il triomphe, bien loin d'en être inquiété.
Qu’importe à cet Autheur d’éleuer l’injuſtice, Pourueu qu’heureuſement ſon Poëme finiſſe.	Qu'importe à cet Auteur d'élever l'injustice, Pourvu qu'heureusement son Poème finisse.
Qu'vne telle action eſt bien digne de toy?	Qu'une telle action est bien digne de toi?
Mais, que ne connois-tu le cœur d’vn ſi grand Roy, Tu ſçaurois que ce cœur illuſtre autant qu’auguſte, N a iamais démenty le beau Titre de Iuſte;	Mais, que ne connais-tu le cœur d'un si grand Roi, Tu saurais que ce cœur illustre autant qu'auguste, N a jamais démenti le beau Titre de Juste;
Que le noble tranſport de ſes beaux mouuemens, Ne confond point ſes dons auec ſes châtimens, ue iamais la Pitié ne ſeduit ſa Iuſtice, Et qu’il ne punit point les Hommes par caprice,	Que le noble transport de ses beaux mouvements, Ne confond point ses dons toujours ses châtiments, ue jamais la Pitié ne séduit sa Justice, Et qu'il ne punit point les Hommes par caprice,
SCENE XI CLEON, l’ARTVFFE, LISE, LIDIANE.	SCÈNE XI CLEON, l'ARTUFE, LISE, LIDIANE.
LISE à Lidiane au bout du Theatre.	LISE à Lidiane au bout du Théâtre.
Omment faire apres tout?	Omment faire après tout?
noſtre affaire va mal.	notre affaire va mal.
CQu'il attende à ſottir au bruit de mon ſignal, Ie vais par mes diſcours amuſer voſtre Pere;	CQu'il attende à sottir au bruit de mon signal, Je vais par mes discours amuser votre Père;
Qu’il tâche cependant à ſortir par derriere.	Qu'il tâche cependant à sortir par derrière.
CLEON.	CLEON.
Ie ſçais que c’eſt à tort qu’il a des ennieux.	Je sais que c'est à tort qu'il a des ennieux.
Que diable, s’il pouuoit, ne feroit-il pas mieux?	Que diable, s'il pouvait, ne ferait-il pas mieux?
Et quoy qu’il plaiſe à faux, en eſt il moins loüable?	Et quoi qu’il plaise à faux, en est il moins louable?
Ie ſçais qu’il fait des Vers qui le rendent pendable, Que tous ſes incidens chez luy tant rebatus, Sont nez en Italie, & par luy reueſtus, Et dans ſon Cabinet, que ſa Muſe en campagne, Vole dans mille Autheurs, les ſottiſes d’Eſpagne:	Je sais qu'il fait des Vers qui le rendent pendable, Que tous ses incidents chez te tant rebattus, Sont nez en Italie, et par lui revêtus, Et dans son Cabinet, que sa Muse en campagne, Vole dans mille Auteurs, les sottises d'Espagne:
Mais le Siecle le ſouffre, & malgré ma raiſon, Le pauure Homme!	Mais le Siècle le souffre, et malgré ma raison, Le pauvre Homme!
pour moy ie ſigne ſon pardon.	pour moi ici signe son pardon.
Quit tons donc ſonchapitre, & changeõs de langage Songeons à mettre fin à voſtre Mariage.	Quit tons donc sonchappitre, et changeõs de langage Songeons à mettre fin à votre Mariage.
Liſe touſſe pourauertir Liſandre de ſortir,	Lise tousse pourravertir Lisandre de sortir,
TARTVFFE.	TARTUFFE.
Que par vnterancouns vousiaomer mon cœurl	Que par unterancouns vousiaomer mon cœur
Liſe touſſe encor.	Lise tousse encor.
CLEON.	CLEON.
Ma Fille eſt encor jeune, & l’Hymen luy fait peur, Mais ie veux dés ce ſoir.	Ma Fille est encor jeune, et l'Hymen cy fait peur, Mais ils veux dès ce soir.
LISE tirant Cleon.	LISE tirant Cleon.
Quoy, donner voſtre Fille A cet Homme inconnu, ſans ſçauoir ſa Famille?	Quoi, donner votre Fille À cet Homme inconnu, sans savoir sa Famille?
CLEON à Liſe.	CLEON à Lise.
Sa Famille eſt ſon bien.	Sa Famille est son bien.
LISE.	LISE.
L’auarice!	L'avarice!
15.	15.
CLEON a Liſe.	CLEON a Lise.
Diſpoſez-vous enfin à receuoir ſa foy.	Disposez-vous enfin à recevoir sa foi.
Iannitoy.	Iannitoi.
Vous reſvez.	Vous rêvez.
LISE le tirant encor	LISE le tirant encor
CLEON à Liſe.	CLEON à Lise.
Tu veux donc me voir mettre en colere?	Tu veux donc me voir mettre en colère?
à Tartuffe.	à Tartuffe.
Que i’auray de plaiſir, d’accomplir cette affaire!	Que j'aurai de plaisir, d'accomplir cette affaire!
Eiſe Mais tu touſſes bien fort, que veut dire cecy?	Eise Mais tu tousses bien fort, que veut dire ceci?
,.	Ç,
touſſe.	tousse.
LISE.	LISE.
2e guemhajuiomtonymenues font en ioucy.	2e guemhajuiomtonimenues font en jouci.
CLEON.	CLEON.
Ce fhume n’eſt-il point vn rhume de myſtere?	Ce fhume n'est-il point un rhume de mystère?
Ie.	Je.
TARTVFFE.	TARTUFFE.
Ie porte ſur moy d’vn jus fort ſalutaire.	Je porte sur moi d'un jus fort salutaire.
LISE.	LISE.
Cemal m’eſt ordinaire, & ie connois fort bien, Mouſieur, que voſtre jus icy ne fera rien.	Cemal m'est ordinaire, et ainsi connais fort bien, Mousieur, que votre jus ici ne fera rien.
CLEON.	CLEON.
Cà, voyons ſi ma Fille eſt enfin diſpoſée.	Çà, voyons si ma Fille est enfin disposée.
Liſe touſſe.	Lise tousse.
apperceuant Liſandre.	apercevant Lisandre.
Mais quoy, ta toux redouble.	Mais quoi, ta toux redouble.
Ah, malade ruſée, C’eſtoit donc la le mal qui te cauſoit ta toux?	Ah, malade rusée, C'était donc la le mal qui te causait ta toux?
SCENE XII.	SCÈNE XII.
CLEON, TARTVFFE, LISANDRE, LIDIANE, LISE.	CLEON, TARTUFFE, LISANDRE, LIDIANE, LISE.
LISANDRE apperceuant Tartuffe.	LISANDRE apercevant Tartuffe.
AH, Tartuffe!	AH, Tartuffe!
bon-jour, cõment vous portez-vous,	bonjour, comme vous portez-vous,
CLEON.	CLEON.
Qu’entens-je?	Qu'entends-je?
de quel nom?	de quel nom?
LISANDRE.	LISANDRE.
Quoy, ſon nom vous étomſes	Quoi, son nom vous estomses
Ouj.	Ouj.
CLEON.	CLEON.
LISANDRE.	LISANDRE.
