ICAL L.	ICAL L.
UYRNV Ko M 4 M νγy 30nClen?	VYRNV Ko M 4 M 30nClen?
Dex sen Messe SCENEII.	Dex sen Messe SCENEII.
REINE, THEOPHILE, BLONDE pauvres Chrétiens.	REINE, THÉOPHILE, BLONDE pauvres Chrétiens.
REINE.	REINE.
E te veux adorer ô vénerable cœur, Sur lequel eſt gravé le Nom du Redempteur, Je trouve en t’adorant ma joïe & mes délices, Quand je devrois ſoûfrii des rigoureun luplices, Je ne perdrai jamais l’amour de mon Epoux, Parce qu’il m’eſt trop bon, trop fidelle & trop doux, Je me donne à lui ſeul, je l’aime ſans reſerve,	E te veux adorer ô vénérable cœur, Sur lequel est gravé le Nom du Rédempteur, Je trouve en t'adorant ma jouie et mes délices, Quand je devrais souffri des rigoureun luplices, Je ne perdrai jamais l'amour de mon Époux, Parce qu'il m'est trop bon, trop fidèle et trop doux, Je me donne à lui seul, je l'aime sans réserve,
ne vis que par lui ſon pouvoir me conſerve, veut m’être conjoint inſéparablement, ue je priſe l’ardeur d’un ſi fidel Amant, m’a donné ſon Corps & ſon Sang pour un gage, le ſon plus tendre amour & parfait Mariage:	ne vis que par lui son pouvoir me conserve, veut m'être conjoint inséparablement, ue je prise ardeur un si fidel Amant, a donné son Corps et son Sang pour un gage, le son plus tendre amour et parfait Mariage:
quel plus tendre amouri que de mourir pour moĩ l'exempter de mes maux & les charger ſur ſoi, e ſerois ſans mentir grandement criminelle, je ne faiſois voir qu’à JESUS ſuis fidelle, trenonce à moi-même, & proteſte aujourd’hui, lue mon plus grand déſir eſt de mourir pour lui;	quel plus tendre amouri que de mourir pour moñ l'exempter de mes maux et les charger sur soi, e serois sans mentir grandement criminelle, je ne faisais voir qu'à JÉSUS suis fidèle, trenonce à moi-même, et proteste aujourd'hui, lue mon plus grand désir est de mourir pour lui;
emépriſe le monde & les biens de la terre;	emprise le monde et les biens de la terre;
em’en veux dépoüiller leur déclarant la guerre.	em’en veux dépoüiller leur déclarant la guerre.
ibrement je renonce à tous ces vains atours, laſpire à de plus ſaintes & ſolides amours, Jous mérités grand Roi de porter la Couronne, e n’en déſire point, voici je vous la donne, lar Perles & Carquans, fleurons & chaînes d’Ors joient dans le magaſin du céleſte Tréſor, le ſerai d’autant plus à mon Epoux aimable, Que dans la pauvreté je lui ſerai ſemblable.	ibrement je renonce à tous ces vains atours, laspire à de plus saintes et solides amours, Jous mérités grand Roi de porter la Couronne, e ut désire point, voici je vous la donne, lar Perles et Carquants, fleurons et chaînes d'Ors jaient dans le magasin du céleste Trésor, le serai d'autant plus à mon Époux aimable, Que dans la pauvreté je lui serai semblable.
BLONDE.	BLONDE.
Cet amour ſignale, ces graces, & ces bieil-faitg, Plaiſent à Jeſus-Chriſt comme à lui-même faits, Ce qu’on donne à ceux-ci, c’eſt à lui qu’on le donne Ces dons ſont conferés à ſa propre perſonne.	Cet amour signale, ces grâces, et ces bieil-fait, Plaisent à Jésus-Christ comme à lui-même faits, Ce qu'on donne à ceux-cy, c'est à lui qu'on le donne Ces dons sont conferés à sa propre personne.
CDOPHILE.	CDOPHILE.
Vous m’avés vû, dit-il, dans la nèceſſité, Tres-pauvres & languiſſants, vous m’avés aſſiſté, Quand j’ai ſoûfert la faim, la ſoif & la miſére, Vous m’avés ſecouru comme vôtre vrai frere.	Vous m'avez vu, dit-il, dans la nécessité, Tres-pauvres et languissants, vous m'avez assisté, Quand j'ai souffert la faim, la soif et la misère, Vous m'avez secouru comme votre vrai frère.
REINE.	REINE.
Il eſt vrai cher Epoux que de ma propre mait ’étanche vôtre ſoif, contente vôtre faim, Heureuſe de pouvoir aujourd’hui vous repaître Vous ſervir à genoux & vous faire connoître, Par mon ardent amour & mes humbles reſpects Qve je veux mériter vos aimables aſpects, prodio barle les preus mon Sauveui adorable, e les lave à ceux-ci pour vous être ſemblable.	Il est vrai cher Époux que de ma propre mait étanche votre soif, contente votre faim, Heureuse de pouvoir aujourd'hui vous répare Vous servir à genoux et vous faire connaître, Par mon ardent amour et mes humbles respects Qve je veux mériter vos aimables aspects, prodio barle les prus mon Sauveui adorable, les lave à ceux-cy pour vous être semblable.
BLONDE.	BLONDE.
Nôtre grand Roi Jeſus, par ſon humilité, Nous donna cét exemple, & doit être imité, Lui-même il à lavé les pieds à ſes Fidéles, Et de ſa Charité donné des loix nouvelles.	Notre grand Roi Jésus, par son humilité, Nous donna cet exemple, et doit être imité, Lui-même il lavé les pieds à ses Fidèles, Et de sa Charité donné des lois nouvelles.
REINE.	REINE.
Guériſſés cher Epoux, mon Dieu, mon Redempteur L’ulcere & le peché qui régne dans mon cœur, De vôtre ſaint ſecours je me ſens animée, Ie ſerai maintenant toute en vous tranformée, Pour me pouvoir unir à vous par l’Oraiſon, ’entre dans le cachot d’une obſcure priſon, Je me plaît dans ce lieu, là je ſerai ravie, D’être à mon cher Epoux ſaintement aſſervie, Là je pourai joüir du doux embraſſement, Et du baiſer ſacré de mon fidel Amant, Là je me collerai ſur ſa divine Face, Qui porte tant d’attraits & ſi pleine de grace, Là je pourai baiſer ces vénerables Pieds, Ces Bras & ces Genoux qui ſont Crucifiés, J’adererai ſon Chef ſi Saint & vénerable, Adoré dans les Cieux & ſon cœur charitable, nfin j’adorerai mille fois à genoux, 'ous les membres Sacrés de mon céleſte Epoux;	Guérissez cher Époux, mon Dieu, mon Rédempteur L'ulcere et le péché qui règne dans mon cœur, De votre saint secours je me sens animée, Je serai maintenant toute en vous tranformée, Pour me pouvoir unir à vous par l'Oraison, entre dans le cachot une obscure prison, Je me plaît dans ce lieu, je serai ravie, être mon cher Epoux saintement asservie, je pourai joüir du doux embrassement, Et du baiser sacré de mon fidel Amant, je me collerai sur sa divine Face, Qui porte tant attraits et si pleine de grace, je pourai baiser ces vénerables Pieds, Ces Bras et ces Genoux qui sont Crucifiés, adererai son Chef si Saint et vénerable, Adoré dans les Cieux et son cœur charitable, nfin adorerai mille fois genoux, ' les membres Sacrés de mon céleste Epoux;
l'eſt maintenantmon Dieu qu’ardamment je déſire 'erſer pour vous mon ſang, & ſoûfrir le martire, eprendrai la Houlette, & l’habit de Paſteurs, our braver la fureur de mes perſecuteurs.	l'est maintenantmon Dieu qu'ardamment je désire 'erser pour vous mon sang, et soûfrir le martyre, éprendrai la Houlette, et habit de Pasteurs, our braver la fureur de mes persécuteurs.
AYSENSPANUEVONSTEESPQ ME MELMANSEEMNAM SCENE III.	AYSENSPANUEVONSTEESPQ ME MELMANSEEMNAM SCÈNE III.
LIBRE, CLE'MENT, THEOPISIE, RILIE, PAGES.	LIBRE, CLÉMENT, THÉPISIE, RILIE, PAGES.
OLIBRE.	OLIBRE.
E ſuis ce proconſul qui de la gloire volle, Ecpuis le bout de l’un juſques à l’autre polle, tnfin j’ai Triomphé grace aux Dieux immortels, leur faut préparer derechef des Autels.	E suis ce proconsul qui de la gloire volle, Ecpuis le bout de l'un jusques à l'autre polle, tnfin j'ai Triomphé grâce aux Dieux immortels, leur faut préparer derechef des Autels.
THEOPISTE.	THÉPISTE.
S’il eſt vrai que nos Dieux nous ont été propices, Il leur faut preſenter des nouveaux Sacrifices, Permettés que je parle Auguſte Majeſté, Prenès les interêts de la Divinité, Nos Dieux lonc meprires, partotte om les uifence, Pourquoi ſuportés vous cét excés d’inſolence?	S'il est vrai que nos Dieux nous ont été propices, Il leur faut présenter des nouveaux Sacrifices, Permettés que je parle Auguste Majesté, Prenès les intérêts de la Divinité, Nos Dieux lonc méprires, partotte om les uifense, Pourquoi suportés vous cet excès d'insolence?
Ce mépris, ce blaſphême, & prophanation, Attirera ſur nous leur indignation.	Ce mépris, ce blasphême, et prophanation, Attirera sur nous leur indignation.
OLIBRE.	OLIBRE.
Qui ſont ces impudents, ces pervers, ces infames, e leur ferai ſentir & le feu & les flâmes.	Qui sont ces impudents, ces pervers, ces infâmes, e leur ferai sentir et le feu et les flammes.
KILIE.	KILIE.
C’eſt une horrible peſte à tout le genre humain, Des ennemis jurés de l’empire Romain, Les Diſciples de Chriſt, une ſecte nouvelle, Qui déclare à nos Dieux une guerre cruelle, Ils entrent hardiment dans les maiſons des Rois Séduiſent leurs ſujets par des nouvelles Loix, Ces rebelles eſprits propres à contredire, Font à tous mépriſer les Edits de l’Empire.	C'est une horrible peste à tout le genre humain, Des ennemis jurés de l'empire Romain, Les Disciples de Christ, une secte nouvelle, Qui déclare à nos Dieux une guerre cruelle, Ils entrent hardiment dans les maisons des Rois Séduisent leurs sujets par des nouvelles Lois, Ces rebelles esprits propres à contredire, Font à tous mépriser les Édits de l'Empire.
CLEMENT.	CLEMENT.
O deſaſtre!	Ô désastre!
ô regrets!	ô regrets!
ômon plus grand mal-heur C’eſt ici le ſujet de ma juſte douleur:	ômon plus grand malheur C'est ici le sujet de ma juste douleur:
Les Chrétiens ont ſéduit ma propre fille Reine.	Les Chrétiens ont séduit ma propre fille Reine.
Celle que j’eſpérois voir un jour Souveraine, en créve de dépit, elle a bù ce poiſon, ’en ſuis au deſeſpoir, elle eſt dans la priſon.	Celle que j'espérais voir un jour Souveraine, en crève de dépit, elle a bù ce poison, 'en suis au désespoir, elle est dans la prison.
OLIBRE.	OLIBRE.
Ha j’ai tant deſiré la prendre en Mariage, Ne me craint-elle point, eſt-elle ſi peu ſage?	Ha j'ai tant désiré la prendre en Mariage, Ne me craint-elle point, est-elle si peu sage?
Le droit & le devoir m’oblige de blâmer, Cette rare beauté, qui me force d’aimer, Celle de qui le Ciel me donnoit l’Himenée, Paroît dans cét erreur fortement obſtinée:	Le droit et le devoir m'oblige de blâmer, Cette rare beauté, qui me force d'aimer, Celle de qui le Ciel me donnait l'Hyménée, Paraît dans cet erreur fortement obstinée:
O que je ſuis confus!	Ô que je suis confus!
ô que je ſuis ſurpris!	ô que je suis surpris!
Je mourrai du tranſport qui trouble mes eſprits, Je l’abandonne aux coups, tout ce que je déſire, Eſt de la voir mourir, je ſuis prêt d’y ſouſcrire.	Je mourrai du transport qui trouble mes esprits, Je l'abandonne aux coups, tout ce que je désire, Est de la voir mourir, je suis prêt d'y souscrire.
THEOPISTE.	THÉPISTE.
Clement, c’eſt un effet de vôtre impunité, Que vôtre Fille ſoit dans l’infidelité, Illuſtre Préſident derechef je vous jure, Si vous ne puniſſés ſèverement l’injure, Faite au grand Jupiter, vous ſentirés un jour, L’effet de ſa colére au lieu de ſon amour.	Clément, c'est un effet de votre impunité, Que votre Fille soit dans l'infidélité, Illustre Président derechef je vous jure, Si vous ne punissez sévèrement l'injure, Faite au grand Jupiter, vous sentirez un jour, L'effet de sa colère au lieu de son amour.
OLIBRE.	OLIBRE.
Aſſemblons le Conſeil pour punir la malice, Et pour déliberer le genre de ſuplice, le ſervirai d’exemple à la poſterité, De zéle & de reſpect pour la Divinité.	Assemblons le Conseil pour punir la malice, Et pour délibérer le genre de suplice, le servirai d'exemple à la postérité, De zèle et de respect pour la Divinité.
33 aΝρרυχ lωy Νυγ ΜΝMy NUYV NυYV IANVEVVOY NVIN Cyne ae 6  re ( Mamaxs	33 aΝρרυχ li „ 7Mi NUYV NIU IANVEUVOY NVIN Cyne ae 6 re ( Amaxs
SCENE IV.	SCÈNE IV.
OLIBRE, CLEMENT, HILDERIC, CHARLES.	OLIBRE, CLEMENT, HILDERIC, CHARLES.
mtouen;	mtouen;
Curauſe, Lutine, Savin, Theopiſte, Kilie, Gardes.	Curause, Lutine, Savin, Théopiste, Kilie, Gardes.
OLIBRE.	OLIBRE.
Uguſte Sénateurs, vénerable Aſſemblée, (ATres -illuſtres Seigneurs géneraux de l’Armée Aprés avoir dompté les Saxons furieux, Aſſiſtés du ſecours & faveur de nos Dieux, Si nous les déſirons toûjours avoir propices, Il faut leur deffèrer des notables ſervices;	AUguste Sénateurs, vénérable Assemblée, (ATres -illustres Seigneurs géneraux de Armée Aprés avoir dompté les Saxons furieux, Assistés du secours et faveur de nos Dieux, Si nous les désirons toûjours avoir propices, Il faut leur deffèrer des notables services;
Céſar & le Sénat, & l’empire Romain, Pour le culte des Dieux m’ont mis la force en main, e ne puis ſans regret uſer de violence, Et forcer mon humeur portée à la clémence:	César et le Sénat, et l'empire Romain, Pour le culte des Dieux m'ont mis la force en main, ne puis sans regret user de violence, Et forcer mon humeur portée à la clémence:
Mais auſſi je ne puis gouverner ſagement, Si je laiſſe régner le vice impunément, Nosgrãds Dieux Souverains protecteurs de l’empire sont dans un tel mépris, l’oſerai-je bien e blaſphême, l’erreur & l’iréligion, Ja rêgner deſormais dans cette région;	Mais aussi je ne puis gouverner sagement, Si je laisse régner le vice impunément, Nosgrãds Dieux Souverains protecteurs de l'empire sont dans un tel mépris, l'oserai-je bien é blasphême, l'erreur et l'iréligion, Ja rêgner désormais dans cette région;
l eſt donc important d’uſer de diligence Q 111 qia our retrancher l’excés d’une telle inſolence, le vous ai convoqué pour hoiſir mouvement, Les iorells dobvier à ce comencemcie.	l est donc important d'user de diligence Q 111 our retrancher excés une telle insolence, le vous ai convoqué pour hoisir mouvement, Les iorells dobvier ce comencemcie.
CLEMENT.	CLEMENT.
Les Chrétiens ont ſéduit ma fille & ſa nourrice, ’en demande raiſon j’en veux avoir juſtice.	Les Chrétiens ont séduit ma fille et sa nourrice, en demande raison en veux avoir justice.
HILDERIC.	HILDERIC.
Q uor pouvons nous iourrir que les enfans des Rois, Soient ainſi dévoïës de nos anciennes Loix?	 Quor pouvons nous jourrir que les enfants des Rois, Soient ainsi dévoïës de nos anciennes Lois?
CHARLES.	CHARLES.
I’expoſerai mes biens & ma perſonne même, Pour arrêter le cours de ce nouveau blaſphême:	J'exposerai mes biens et ma personne même, Pour arrêter le cours de ce nouveau blâme:
Mais le grand Jupiter qui préſide aux combats Mettra par ſon pouvoir ſes ennemis à bas.	Mais le grand Jupiter qui préside aux combats Mettra par son pouvoir ses ennemis à bas.
A LBAIN.	À LBAIN.
Les Loix ne ſoûfrent pas qu’on prononce ſentence Contre qui que ce foit lans grande connoiſſance;	Les Lois ne soufrent pas qu'on prononce sentence Contre qui que ce soit lans grande connaissance;
Si le crime eſt énorme il le faut retrancher, Examinés plûtôt s’il eſt grand ou léger.	Si le crime est énorme il le faut retrancher, Examinez plutôt s'il est grand ou léger.
CARAUSE.	CARAUSE.
Le crime des Chrétiens ne ſoûfre point d’excuſe Il elt trop en forreur, Oolamdieme l'acuſe.	Le crime des Chrétiens ne souffre point d'excuse Il ellet trop en forreur, Oolamdième l'acuse.
LUCILLE.	LUCILLE.
Quand il ne ſeroit point l’interêt de nos Dieux, On doit exterminer tous les ſéditieux.	Quand il ne serait point l'intérêt de nos Dieux, On doit exterminer tous les séditieux.
SABIN.	SABIN.
Quoi, ferons nous ſoûfrir la mort à cette Reine je la veux proteger, je veux être en ſa peine, Reine digne d’amour, Reine dont la beauté, Participe aux ſplendeurs de la Divinité.	Quoi, ferons nous soupir la mort à cette Reine je la veux protéger, je veux être en sa peine, Reine digne d'amour, Reine dont la beauté, Participe aux splendeurs de la Divinité.
THEOPISTE.	THÉPISTE.
La ſecte des Chrétiens, cette engeance maudite Doit périr au plûtôt ainſi qu’elle mérite, Ces perfides felons, ennemis de nos Dieux, 35 Qui voulant s’élever juſqu’au deſſus des Cieux, Seront humiliés juſqu’au fond de l’abîme;	La secte des Chrétiens, cette engeance maudite Doit périr au plûtôt ainsi qu'elle mérite, Ces perfides félons, ennemis de nos Dieux, 35 Qui voulant s'élever jusqu'au dessus des Cieux, Seront humilités jusqu'au fond de l'abîme;
La raiſon veut qu’ils ſoient traités ſelon leur crime, Céſar & le Sénat les ont déja prererits, En voici les Arrêts nouvellement écrits.	La raison veut qu'ils soient traités selon leur crime, César et le Sénat les ont déjà prérerits, En voici les Arrêts nouvellement écrits.
KILIE.	KILIE.
Ces enfans de la mort, excrémens de la terre, A vos Divinités ont déclaré la guerre, quiconque les ſoûtiens d’un propice regard, Mérite d’encourir le couroux de Céſar.	Ces enfants de la mort, excréments de la terre, À vos Divinités ont déclaré la guerre, quiconque les soutiens d'un propice regard, Mérite d'encourir le courroux de César.
OLIBRE.	OLIBRE.
Tout conclu à la mort, tout conclu au carnage;	Tout conclu à la mort, tout conclu au carnage;
Qu’il ne faut épargner, ni le ſexe, ni l’âge, Ceſar l’a commandé par ſes juſtes Edits, Les Chrêtiens ſõt des Dieux, & des hommes maudits Mais ſur tout nous devons par amour & par haine, Réduire à ſon devoir la jeune fille Reine:	Qu'il ne faut épargner, ni le sexe, ni l'âge, César l'a commandé par ses justes Édits, Les Chrétiens sont des Dieux, et des hommes maudits Mais sur tout nous devons par amour et par haine, Réduire à son devoir la jeune fille Reine:
Commençons ſans tarder la perſécution, Theopiſte eſt chaige de rekccucion.	Commençons sans tarder la persécution, Théopiste est chaige de reccucion.
THEOPISTE prie à genoux.	THÉPISTE prie à genoux.
O grand Dieu Jupiter:	Ô grand Dieu Jupiter:
aidés je vous conjure, Celui qu’on a chargé de vanger vôtre injure.	aidez je vous conjure, Celui qu'on a chargé de venger votre injure.
ENTR'ACTE.	ENTR'ACTE.
Theopiſte & Kilie font changer la face du Theâtre, ut eſt couvert de noir parſemé de Croix & de larmes, tvec des inſcriptions, proſcriptions des chrétiens, maſſare des Chrétiens, & on plante des gibets, on porte ſur le heâtre tous les inſtrumens du ſuplice, les Diables y navaillent, & battent xilie.	Théopiste et Ôte font changer la face du Théâtre, ut est couvert de noir parsemé de Croix et de larmes, tvec des inscriptions, proscriptions des chrétiens, massare des Chrétiens, et on plante des gibets, on porte sur le heâtre tous les instruments du supplice, les Diables y navaillent, et battent xilie.
MMCRMV	MMCRMU
SCENE PREMIERE.	SCÈNE PREMIÈRE.
OLIBRE, HILDERIC, CHARLES, ALBAIN, SABIN, FELIX, PERSE.	OLIBRE, HILDERIC, CHARLES, ALBAIN, SABIN, FELIX, PERSE.
OLIBRE.	OLIBRE.
’Uſe à mon grand regret de la ſéverité, Contre mon naturel plein de bénignité, Mon eſprit agité de l’amour & la haine, Malgré les ſentimens aime la fille Reine, Je cheris ſes appas & ſa perfection, Je déteſte l’erreur de ſa Religion, ’adore ſa vertu, je condamne ſon crime, Je la tiens en mépris, je la tiens en eſtime.	Use à mon grand regret de la sévérité, Contre mon naturel plein de bénignité, Mon esprit agité de l'amour et la haine, Malgré les sentiments aime la fille Reine, Je chéris ses appas et sa perfection, Je déteste l'erreur de sa Religion, adore sa vertu, je condamne son crime, Je la tiens en mépris, je la tiens en estime.
HILDERIC.	HILDERIC.
Je connois cette fille accomplie en beauté, Qui gaigne auſſi le cœur à vôtre Majeſté, Elle porte en naiſſant le beau titre de Reine, La vertu lui promet celui de Souveraine, nu bonte de l’eſprit, la grace & le ſçavoir, Lui promet beaucoup plus qu’un immenſe pou voir	Je connais cette fille accomplie en beauté, Qui gagne aussi le cœur à votre Majesté, Elle porte en naissant le beau titre de Reine, La vertu lui promet celui de Souveraine, nu bonté de l'esprit, la grâce et le savoir, Lui promet beaucoup plus qu'un immense pou voir
CHARLES.	CHARLES.
Le Ciel veut lui donner pour un comble de gloire Un eſprit clair-voïant, une heureuſe mémoire, Des génereux deſſeins, des illuſtres déſirs, Une rare douceur un dégoût des plaiſirs, Un port majeſtueux, une agréable adreſſe, Un aimable entretien, une meure ſageſſe.	Le Ciel veut lui donner pour un comble de gloire Un esprit clair-voïant, une heureuse mémoire, Des génereux desseins, des illustres désirs, Une rare douceur un dégoût des plaisirs, Un port majestueux, une agréable adresse, Un aimable entretien, une meure sagesse.
ALBAIN.	ÀLBAIN.
Un chacun à l’envi lui montre de l’amour, Et recherche ſa grace en lui faiſant la cour, Il n’eſt rien que l’éclat d’une haute puiſſance, Qui puiſſe relever ſon illuſtre naiſſance, Ie ne puis contempler le clair flambeau des Cieux, Sans penſer aux raïons qui luiſent dans ſes yeux, Elle aime mieux mourir que de vivre impudique, Marque de la vertu de ſon ame Angelique.	Un chacun à l'envi lui montre de l'amour, Et recherche sa grâce en lui faisant la cour, Il n'est rien que l'éclat d'une haute puissance, Qui puisse relever son illustre naissance, Je ne puis contempler le clair flambeau des Cieux, Sans penser aux raïons qui luisent dans ses yeux, Elle aime mieux mourir que de vivre impudique, Marque de la vertu de son âme Angélique.
SABIN.	SABIN.
Pour gaigner un eſprit noble comme ſe ſien, Il laut etre prodigue & de gloire & de bien;	Pour gagner un esprit noble comme se sien, Il laut être prodigue et de gloire et de bien;
O qu’elle cruauté!	Ô qu'elle cruauté!
ô qu’elle noire envie!	ô qu'elle noire envie!
De vouloir attaquer ſon innocente vie.	De vouloir attaquer son innocente vie.
OLIBRE.	OLIBRE.
Faites paroître ici ce reluiſane obieir, Cét aſtre de beauté, ce flambeaux nompareil, Je le veux precedé, il eſt de reſiſtance, Qui ne céde à l’amour plus qu’à la violence.	Faites paraître ici ce reluisane obieir, Cet astre de beauté, ce flambeaux nompareil, Je veux le précédé, il est de résistance, Qui ne cède à l'amour plus qu'à la violence.
PERSE.	PERSE.
Vous verrés un Soleil dont l’avantageux ſort, Et les nobles vertus vous raviront d’abord, 2 Auprés de ſa clarté le Soleil paroît ſombre, ;	Vous verrez un Soleil dont l'avantageux sort, Et les nobles vertus vous raviront d'abord, 2 Auprès de sa clarté le Soleil paraît sombre, ;
A l’égard de ſon teint, tout autre n’eſt qu’un ombre.	À l'égard de son teint, tout autre n'est qu'un ombre.
SCENE II.	SCÈNE II.
OLIBRE, REINE, AGATON, HILDERI CAnO Charles, Albain, Carauſe, Lucille, Sabin, Eugene, Porfie, Clodian, Felix, Perſe.	OLIBRE, REINE, AGATON, HILDERI CAnOI Charles, Albain, Carause, Lucille, Sabin, Eugène, Porfie, Clodian, Félix, Perse.
y Enerable adorable raïon de la Divinité, V Maîtreſſe de nos cœurs, ſanspareille en beauté Qui faits aux grands eſprits admirer ſon Empire, C’eſt pour te poſſeder qu’ardamment je ſoûpire, Reine dont les appas ont ravi tous mes ſens, Veux-tu pas contenter mes déſirs innocens, Apaiſer cette ardeur, éteindre cette flâme, Qui me brûle le cœur & conſume mon ame, Ma gloire, mon pouvoir, & mes biens ſeront tiens Quand tu mépriſeras le parti des Chrétiens.	y Enerable adorable raïon de la Divinité, V Maîtresse de nos cœurs, sanspareille en beauté Qui faits aux grands esprits admirer son Empire, C'est pour te posséder qu'ardamment je soupire, Reine dont les appas ont ravi tous mes sens, Veux-tu pas contenter mes désirs innocents, Apaiser cette ardeur, éteindre cette flamme, Qui me brûle le cœur et consume Ma gloire, Mon pouvoir, mon pouvoir, et mes biens seront tiens Quand tu mépriseras le parti des Chrétiens.
REINE.	REINE.
Esus eſt mon Epoux, je l’aime & je l’honore, Lui ſeul eſt mon vrai Dieu, c’eſt lui ſeul que j’adore Il m’aime infiniment puis qu’il eſt mort pour moi, Et je mourrai plûtôt que lui fauſſer ma Foi.	Esus est mon Époux, je l'aime et je l'honore, Lui seul est mon vrai Dieu, c'est lui seul que j'adore Il m'aime infiniment puis qu'il est mort pour moi, Et je mourrai plutôt que lui fausser ma Foi.
OLIBRE.	OLIBRE.
I te Taut maintenant retracter cette envle, Renoncer à Jeſus ou bien perdre la vie;	I te Taut maintenant rétracter cette envle, Renoncer à Jésus ou bien perdre la vie;
Les ennemis des Dieux ſont en proſcription, Les gibets ſont plantés pour l’exécution.	Les ennemis des Dieux sont en proscription, Les gibets sont plantés pour l'exécution.
REINE.	REINE.
Les démons aujourd’hui ſous des viſages d’hommes Ont réduit les élûs en l’état où nous ſommes, Heureux ceux dont la mort a les jours terminés, Devant que d’avoir vû nos Autels prophanés:	Les démons aujourd'hui sous des visages d'hommes Ont réduit les élus en l'état où nous sommes, Heureux ceux dont la mort a les jours terminés, Devant que d'avoir vu nos Autels prophanés:
O Chrétiens dans l’état de ces cruels carnages, Relevés vos eſprits, redoublés vos courages, Sur des ſimples Brebis on voit fondre des Loups, Il nous faut ſurmonter leur rage & leur courroux, Ie ſuis prête à mourir fortement réſoluë, Je vois bien maintenant que mon heure eſt venuë, raut in que le vrai Dieu ſoit ainſi en mépris, Qu’on preſente l’encens à des malins eſprits.	Ô Chrétiens dans l'état de ces cruels carnages, Relevés vos esprits, redoublés vos courages, Sur des simples Brebis on voit fondre des Loups, Il nous faut surmonter leur rage et leur courroux, Je suis prête à mourir fortement résolue, Je vois bien maintenant que mon heure est venue, raut in que le vrai Dieu soit ainsi en mépris, Qu'on présente l'encens à des malins esprits.
OLIBRE.	OLIBRE.
Ton diſcours ſi léger, ta parolle volage, N’eſt rien qu’un foible élans de ton ſexe & ton âge, Fais paroître aujourd’hui le trait d’un ſage eſprit, Adore nos grands Dieux, renonce à Jeſus-Chriſt.	Ton discours si léger, ta parolle volage, est rien un foible élans de ton sexe et Ton âge, Dis cours aujourd’y lé trait un sage esprit, Ta nos grands Volage, Né Sus-Christ.
RLINE.	RLINE.
Je ſoûfrirai plûtôt les rigoureuſes flâmes, Que d’offencer jamais le Sauveur de nos ames,	Je souffrirai plutôt les rigoureuses flammes, Que d'offenser jamais le Sauveur de nos âmes,
OLTENE.	OLTENE.
Du moins puis que je t’aime & te fais tant la cour, Que je ſois avec lui l’objet de ton amour.	Du moins puis que je t'aime et te fais tant la cour, Que je sois avec lui l'objet de ton amour.
REINE.	REINE.
C’eſt l’effet d’une Epouſe & d’une Vierge ſage, De n’être en ſon amour ſi changeante & volage;	C'est l'effet d'une Épouse et d'une Vierge sage, De n'être en son amour si changeante et volage;
Jeſus eſt un tres-Saint & tres-fidel Epoux, De ma virginité infiniment jaloux, Il eſt l'ynique Fils procedant d’un ſeul Pere, Commeil eſt dans le temps né d’une Vierge Mere, Il doit avoir tout ſeul & mes ſoins, & mes vœux, Mon cœur & mon eſprit fonft brures par les ſeux	Jésus est un très-Saint et très-fidel Époux, De ma virginité infiniment jaloux, Il est l'ynique Fils procédant d'un seul Père, Commeil est dans le temps né d'une Vierge Mère, Il doit avoir tout seul et mes soins, et mes vœux, Mon cœur et mon esprit fonfait brures par les seux
OLIBRE.	OLIBRE.
Je vois bien maintenant à ta ſimple parole, Que tu as peu de ſens, que tu n’eſt qu’une folle Auſſi bien que ton Dieu lequel comme un vrai fol.	Je vois bien maintenant à ta simple parole, Que tu as peu de sens, que tu n'est qu'une folle Aussi bien que ton Dieu lequel comme un vrai fol.
A mieux aimé charger une Croix ſur ſon col, Et pouvant juſtement s’échaper & défendre, s'eit par ſes ennemis fait condamner & pendie.	À mieux aimé charger une Croix sur son col, Et pouvant justement s'échapper et défendre, s'eit par ses ennemis fait condamner et pendie.
REINE.	REINE.
Je ſuis comme un Soleil-reluiſant en clarté, Poſſede les honneurs de la Divinité;	Je suis comme un Soleil-reluisant en clarté, Possède les honneurs de la Divinité;
La Croix eſt un effet de ſa haute ſcience, JEsus veut y mourir par un trait de prudence:	La Croix est un effet de sa haute science, JEsus veut y mourir par un trait de prudence:
La Croix eſt le ſalut de tout le genre humain, La Croix va triompher de l’Empire Romain, La Croix eſt le ſujet des plus hautes loüanges, Et l’adorable objet que célebrent les Anges;	La Croix est le salut de tout le genre humain, La Croix va triompher de l'Empire Romain, La Croix est le sujet des plus hautes langes, Et l'adorable objet que célèbrent les Anges;
La Croix par un effort de ſes charmes vainqueurs, Mhellunce la lallon, e captive les ceeurs.	La Croix par un effort de ses charmes vainqueurs, Mhellunce la llon, eût captive les ceeurs.
Jeſus-Chriſt en la Croix ſera malgré l’envie, Reconnu le vrai Dieu ſeul Auteur de la vie.	Jésus-Christ en la Croix sera malgré l'envie, Reconnu le vrai Dieu seul Auteur de la vie.
OLIBRE.	OLIBRE.
Il ne nous eſt permis d’adorer un pendu, Dans l’empire Romain, Céſar l’a défendu;	Il ne nous est permis d'adorer un pendu, Dans l'empire Romain, César l'a défendu;
