GALATEE.	GALATE.
Vous qui croiez l’Amour une foibleſſe, Ne venez point troubler nôtre innocente paix, Ce n’eſt point pour des cœurs ſans tendreſſe Que nos chants amoureux & nos plaiſirs ſont faits.	Vous qui croyez l'Amour une faiblesse, Ne venez point troubler notre innocente paix, Ce n'est point pour des cœurs sans tendresse Que nos chants amoureux et nos plaisirs sont faits.
UNE NAYADE.	UNE NAÏADE.
Tendres cœurs conſervez l’eſperance, C'eſt en vain qu’on vous !	Tendres cœurs conservez l'espérance, C'est en vain qu'on vous !
fait reſiſtance, Qu’on s’arme de rigueur, de haine & de courroux;	fait résistance, Qu'on s'arme de rigueur, de haine et de courroux;
Que ne vaincrez, vous point ſi l’Amour eſt pour vous?	Que ne vaincrez, vous point si l'Amour est pour vous?
LE- CHOEUR.	LE- CHOEUR.
Tendres cœurs conſervez l’eſperanee, C’eſt en vain qu’on vous fait reſiſtance, Qu’on s’arme de rigueur, de haine & de courroux;	Tendres cœurs conservez l'espérance, C'est en vain qu'on vous fait résistance, Qu'on s'arme de rigueur, de haine et de courroux;
Que ne vaincrez-vous point ſi l’Amour eſt pour vous?	Que ne vaincrez-vous point si l'Amour est pour vous?
UNE NAYADE.	UNE NAÏADE.
Deſormais on doit aimer ſans crainte, De quoi ſert une injuſte contrainte?	Désormais on doit aimer sans crainte, De quoi sert une injuste contrainte?
Beautez à qui le Ciel a donné mille apas, L’Amour vous punira' de n’en profiter pas.	Beautez à qui le Ciel a donné mille appas, L'Amour vous punira de n'en profiter pas.
Le Chœur repete ces deux demiers Pers.	Le Chœur répète ces deux demiers Pers.
rin de feſſémexe durejer aue.	rin de fessémexe durejer aue.
M 1 Q	M 1 Q
LE CHOEUR.	LE CHOEUR.
Sous ſes loix l’Amour veut qu’on joüïſſeD’un bonheir qui jamais ne finiſſe.	Sous ses lois l'Amour veut qu'on joüïsseD’un bonhéir qui jamais ne finisse.
Tendnes cœurs venez tous En joüir avec mous.	Tendnes cœurs venez tous En jouir avec mous.
