offrir celuy cy:	offrir celui celui:
GVILLOT.	GUILOT.
Tandis que ie me mouche Vous pouuez dire vn mot,	Tandis que Seigneur me mouche Vous pouvez dire un mot,
HORTENSE Va, ton erreur me touche.	HORTENSE Va, ton erreur me touche.
Tu t’allarmes trop toſt pour des maux incertains;	Tu t'alarmes trop tôt pour des maux incertains;
I’ay l’antidote preſt pour celuy que tu crains, Et puis au pis aller.	J'ai l'antidote prêt pour celui que tu crains, Et puis au pis aller.
Mais que nous veut Lizete?	Mais que nous veut Lisette?
GVILLOT.	GUILOT.
Il la faut éconter.	Il la faut éconter.
SCENE	SCÈNE
SCENE V.	SCÈNE V.
ElbIE, ITORTENSE, GVILLOT.	ÉlbIE, ITORTENSE, GUILOT.
LISETE.	LISETE.
MA Maiareſfe ſouhaitte, Que le jardin le ferme, ann d’y receuoir Des Dames du quartier qu’elle attend ſur le ſoir.	MA Maiaresfe souhaite, Que le jardin le ferme, ann d'y recevoir Es Dames du quartier qu'elle attend sur le soir.
Tiaut que i’obeiſſe.	Tiaut que j'obéisse.
GVILLOT.	GUILOT.
O la bonne ſeruante!	Ô la bonne servante!
AORIENSR.	ÀORIENSR.
Liſete, ta Maiſtreſſe eſt bien impatiente.	Lisette, ta Maîtresse est bien impatiente.
Ene eſt femme.	Une est femme.
GVILLOT.	GUILOT.
LISETE.	LISETE.
Elle veut que ie ferme ſur vous, Que ie barre la porte, & tire les verroux.	Elle veut que ici ferme sur vous, Que ie barre la porte, et tire les verroux.
HORTENSE.	HORTENSE.
Mais, Liſete, mon cœur, ſans eſtre querellée, Pu peus bien nous permettre encore vn tour d’allée, Et i’auois à preſent quelque conception, Que feroit échaper la moindre motion.	Mais, Lisette, mon cœur, sans être querellée, Pu pus bien nous permettre encore un tour d'allée, Et j'avais à présent quelque conception, Que ferait échapper la moindre motion.
Laiſſe nous vn moment, & fay nous cette grace, D’abord à ton retour nous quitterons la place.	Laisse nous un moment, et fais nous cette grâce, D'abord à ton retour nous quitterons la place.
LISETE.	LISETE.
Ne me trompez donc pas, autrement ie pourrois Tantoſt de ma Maiſtreſſe auoir bien ſur les doigts.	Ne me trompez donc pas, autrement ie pourrais Tantôt de ma Maîtresse avoir bien sur les doigts.
Dépeſchez, s’il vous plaiſt, ie retourne ſur l’heure.	Dépêchez, s'il vous plaît, Seigneur retourne sur l'heure.
SCENE VI.	SCÈNE VI.
GVILLOT, HORTENSE,	GUILOT, HORTENSE,
GVILLOT.	GUILOT.
N Ette fille eſt iolie, & me plaiſt, où ie meure.	 Nête -fille est jolie, et me plaît, où il meure.
CMais mon Maiſtre, à propos, quel eſt ce pis aller, Dont fans elle tantoſt vous me vouliez parler.	CMais mon Maître, à propos, quel est ce pis aller, Dont fans elle tantôt vous me vouliez parler.
Cela me tient au cœur, & i’en ay la migraine.	Cela me tient au cœur, et j'en ai la migraine.
Ce n’eſt rien.	Ce n'est rien.
HOMERSE.	HOMERSE.
GVILLOT.	GUILOT.
Tant mieux donc.	Tant mieux donc.
HORTENSE.	HORTENSE.
Non, n’en ſois point en peine Mais comme il te faudra recourir à l’emprunt, D'auord que le creult pour toj lera denune, Si tous tes creanciers ſur toy tombent en foule, Si tu vois qu’à la fin cette maſſe s’écroule, Qu’elle aille t’accabler, décampe prontement, * Cours viſte, & chaque ſoir change de logement.	Non, n'en sois point en peine Mais comme il te faudra recourir à l'emprunt, D'avord que le créult pour toj a denune, Si tous tes créanciers sur toi tombent en foule, Si tu vois qu'à la fin cette masse s'écroule, Qu'elle aille t'accabler, décampe prontement, * Cours vite, et chaque soir change de logement.
GVILLOT.	GUILOT.
Fort bien, car quel affront, qu’aux yeux de la cohuë On me vint arreſter mes cheuaux dans la ruë, Et que de mon carroſſe il me falluſt ſortir, Pour donner au badaut ſujet de s’ébaudir!	Fort bien, car quel affront, qu'aux yeux de la cohue On me vint arrêter mes chevaux dans la rue, Et que de mon carrosse il me fallût sortir, Pour donner au badaut sujet de s'ébaudir!
Ma foy, le Marquiſat pourroit bien me déplaire, Si pour l’entretenir il faut tant de myſtere.	Ma foi, le Marquisat pourrait bien me déplaire, Si pour l'entretenir il faut tant de mystère.
HORTENSE.	HORTENSE.
Lourdaut, te crois-tu ſeul qui vit de la façon?	Lourdaut, te crois-tu seul qui vit de la façon?
Afin de te donner tout d’vn coup ta leçon, Ne t’imagine pas que dans vne bi coque Ainſi qu’en de grans lieux aiſément on eſcroque;	Afin de te donner tout d'ô coup ta leçon, Ne t'imagine pas que dans une by coque Ainsi qu'en de grans lieux aisément on escroque;
On n’y peut faire vn pas, on ne peut s’y moucher, Que le tambour battant on ne l’aille afficher, On eſt trop éclairé, l’on n’a pas aſſez d’ombre, Et les occaſions y ſont en petit nombre.	On n'y peut faire un pas, on ne peut s'y moucher, Que le tambour battant on ne l'aille afficher, On est trop éclairé, l'on n'a pas assez d'ombre, Et les occasions y sont en petit nombre.
Il n’eſt pour ton meſtier qu’vn Madrit, qu’vn Paris, La Fortune en ces lieux a tous ſes fauoris, Et dans ces grandes mers pleines de chalandiſes, On treuue moins d’écueils, & l’on fait plus de priſes, Auſſi pour emprunter ne t’attaque iamais A de petites gens dont on n’a point de paix, Qui viendront le matin lorſque tu te reueilles Criailler à ton lit, & percer tes oreilles.	Il n'est pour ton métier qu'vn Madrit, qu'un Paris, La Fortune en ces lieux a tous ses favoris, Et dans ces grandes mers pleines de chalandises, On trouve moins d'écueils, et l'on fait plus de prises, Aussi pour emprunter ne t'attaque jamais A de petites gens dont on n'a point de paix, Qui viendront le matin lorsque tu te réveilles Criailler à ton lit, et percer tes oreilles.
Attaque toy plutoſt à ces gros partiſans, Qui ſçauent mieux agir auec les courtiſans, Qui ne s’allarment point pour de petites pertes, Et dont aux gens d’honneur les tables ſont ouuertes.	Attaque toi plutôt à ces gros partisans, Qui savent mieux agir avec les courtisans, Qui ne s'alarment point pour de petites pertes, Et dont aux gens d'honneur les tables sont ouvertes.
GVILLO T.	GUILO T.
Qu'on m’y verra ſouuent rembourrer mon pourpoint!	Qu'on m'y verra souvent rembourrer mon pourpoint!
HORTENSE.	HORTENSE.
Tout beau, laiſſe moy dire, & ne m’interrons point.	Tout beau, laisse -moi dire, et ne m'interrons point.
Parlons de ta maiſon & de tes domeſtiques.	Parlons de ta maison et de tes domestiques.
GVILLOT.	GUILOT.
Pour deuenir Marquis il faut bien des rubriques.	Pour devenir Marquis il faut bien des rubriques.
C ij	Ç ij
HORTENSE.	HORTENSE.
Quoy, m’interrompre encor?	Quoi, m'interrompre encor?
GVILIOT.	GUILIOT.
Nargue du Marquiſat?	Nargue du Marquisat?
Et i’ayme mieux cent fois eſtre ſimple goujat.	Et j'aime mieux cent fois être simple goujat.
Mais.	Mais.
HORTENSE.	HORTENSE.
GVILLOI.	GUILOI.
Mais ie n’en veux point.	Mais ici n'en veux point.
AORTENSE.	ÀORTENSE.
Daigne encore m’entendre.	Daigne encore m'entendre.
GVILLOT.	GUILOT.
Ie ne puis, qu’auriez-vous de ſurplus à m’apprendre?	Je ne puis, qu'auriez-vous de surplus à m'apprendre?
C’eſt aſſez.	C'est assez.
HORTENSE.	HORTENSE.
Sgache donc.	Ségache donc.
GVILLOT.	GUILOT.
Ie ne veux rien ſçauoir.	Je ne veux rien savoir.
HORTENSE.	HORTENSE.
Ma foy vous apprendrez, Marquis, voſtre deuoir.	Ma foi vous apprendrez, Marquis, votre devoir.
Tu ne ſeuurois manquer de naute experſence, Si tu veux m’écouter auecque patience.	Tu ne devrais manquer de naute expersence, Si tu veux m'écouter a patience.
Pacience.	Pacience.
GVILLOT.	GUILOT.
HORTENSE.	HORTENSE.
Parlons tout au moins de ton nom.	Parlons tout au moins de ton nom.
N’en as tu iamais eu d’autre que Guillot?	N'en as tu jamais eu d'autre que Guillot?
GVILLOT.	GUILOT.
Non, Et Guillot eſt vn nom que ie veux rendre illuſtre.	Non, Et Guillot est un nom que je veux rendre illustre.
HORTENSE.	HORTENSE.
La Cour s’en moqueroit, c’eſt vn vray nom de ruſtre.	La Cour s'en moquerait, c'est un vrai nom de rustre.
Il feroit fort beau voir qu’au milieu d’vn écot On te diſt en buuant, A toy, Marquis Guillot.	Il ferait fort beau voir qu'au milieu d'H écot On te dît en buant, A toi, Marquis Guillot.
Il te faut donc nommer le Marquis de Guilloche, Ce De ſent ſa nobleſſe, ou du moins en approche.	Il te faut donc nommer le Marquis de Guilloche, Ce De sent sa noblesse, ou du moins en approche.
Mais affecte ſur tout de parler par compas, Et dans tous tes diſcours n’auance rien de bas, Qui ne ſoit éloigné du caquet du vulgaire;	Mais affecte sur tout de parler par compas, Et dans tous tes discours n'avance rien de bas, Qui ne soit éloigné du caquet du vulgaire;
Et de peur d’y manquer, plûtoſt ne parle guere.	Et de peur d'y manquer, plutôt ne parle guère.
GVILLOT.	GUILOT.
Ma foy, ie parleray quand bon me ſemblera, Mais pourtant voſtre auis touſiours me reglera.	Ma foi, Seigneur parlerai quand bon me semblera, Mais pourtant votre avis toujours me réglera.
Quand ie verray quelqu’vn de retour d’Allemagne;	Quand ici verrai quelqu'un de retour d'Allemagne;
Ne s’appreſte-t’on pas pour ſortir en campagne, Iuy diray-ie?	Ne s'apprête-t-on pas pour sortir en campagne, Jui dirai-je?
Et le Turc fait-il de grans progrez?	Et le Turc fait-il de grans progrès?
Le Comte de Naſſau mon couſin eſt apres A me ſolliciter de paſſer en Hongrie, Il m’offre vn equipage, & l’Empereur m’en prie.	Le Comte de Nassau mon cousin est après À me solliciter de passer en Hongrie, Il m'offre un équipage, et l'Empereur m'en prie.
De Rome, ou de Turin ſi quelque autre reuient;	De Rome, ou de Turin si quelque autre revient;
Se diuertit-on bien à Rome?	Se divertit-on bien à Rome?
il me ſouuient Que i’y paſſay fort bien le tems dans vn voyage Qu’auec l’Ambaſſadeur i’y fis en mon ieune âge.	il me souvient Que j'y passai fort bien le temps dans un voyage Qu'avec l'Ambassadeur j'y fis en mon jeune âge.
Hé bien!	Hé bien!
ces diſcours là ſentent-ils ſon bourgeois?	ces discours là sentent-ils son bourgeois?
Le ſtile en eſt-il bas?	Le style en est-il bas?
l’entens-ie cette fois?	l'entends-je cette fois?
HORTENSE.	HORTENSE.
Mieux que ie n’aurois crû.	Mieux que ici n'aurais cru.
Mais il faut que tu ſonges, Sans trop conſiderer les frais où tu te plonges, De fuir en tes habits autant qu’en tes diſcours Le courtaut qui du monde ignore le beau cours.	Mais il faut que tu songes, Sans trop considérer les frais où tu te plonges, De fuir en tes habits autant qu'en tes discours Le courtaut qui du monde ignore le beau cours.
GVILLOT.	GUILOT.
I'auray donc la culote & la petite cane, Crauate, ſouliers rons, & gans de franchipane, Mouchoirs à glans touffus, & d’vne aune en quarré, Dans mes autres habits tout ſera chamarré, Et comme à s’aiuſter chacun à ſa methode, Pour les ſurpaſſer tous ie paſſeray la mode.	J'aurai donc la culote et la petite cane, Craute, souliers rons, et gans de franchipane, Mouchoirs à glants touffus, et d'une aune en quarré, Dans mes autres habits tout sera chamarré, Et comme à s'aiter chacun à sa méthode, Pour les surpasser tous deux passerai la mode.
Mais ſur tout pour auoir l’aſſortiment complet, Il me ſemble qu’il faut porter du violet, C iij La manche decoupée en quatre cent taillades, La chemiſe qui vient forcer ces barricades, Qui veut ſe mettre au large, & qui bouffe d’orgueil.	Mais sur tout pour avoir l'assortiment complet, Il me semble qu'il faut porter du violet, Ç ij à manche decoupée en quatre cent taillades, La chemise qui vient forcer ces barricades, Qui veut se mettre au large, et qui bouffe d'orgueil.
Le pié tres-bien chauſſé, des rubans ſur l’orteüil, Canons deſſus canons, chauſſes à tuyaux d’orgue;	Le pié très-bien chaussé, des rubans sur l'orteueil, Canons dessus canons, chausses à tuyaux d'orgue;
Eſt-il aprés cela Marquis que ie ne morgue?	Est-il après cela Marquis que ici ne morgue?
Qu’il me fera beau voir auec ces beaux habits!	Qu'il me fera beau voir avec ces beaux habits!
il taut iieux eſtre braue, & manger du pain bis, Et combien deuant moy vois-ie de camarades?	il taut jieux être brave, et manger du pain bis, Et combien devant moi vois-je de camarades?
HORTENSE.	HORTENSE.
Mais dans l’Academie il faut prendre tes grades, Sçauoir adroitement manier les cornets, Ioüer à quinquenaude, a la elfante, aux échets, Au piquet, au trictrac, au verquier, toutes tables, S’emporter quelquefois, crier comme des Diables.	Mais dans l'Académie il faut prendre tes grades, Savoir adroitement manier les cornets, Iouer à quinquenaude, à la élante, aux échets, Au piquet, au trictrac, au verquier, toutes tables, S'emporter quelquefois, crier comme des Diables.
GVILLOT.	GUILOT.
Ouy i’irois imiter ces faiſeurs de cancan, Qui pour leurs iuremens ſe font mettre au carcan!	Oui j'irais imiter ces faiseurs de cancan, Qui pour leurs jurements se font mettre au carcan!
HORTENSE.	HORTENSE.
Voila de que Pauois a peu pres à te dire.	Voilà de que Pavais a pu pres à te dire.
GVILLOT.	GUILOT.
Ma foy, vous pourrez bien tout au long me l’écrire.	Ma foi, vous pourrez bien tout au long me l'écrire.
Qui pourroit retenir ce fatras de leçons?	Qui pourrait retenir ce fatras de leçons?
HORTENSE.	HORTENSE.
Il t’en falloit donner de toutes les façons, Afin qu’aux yeux de tous tu ne ſois pas nouice, Quand il faudra tantoſt en faire l’exercice.	Il t'en fallait donner de toutes les façons, Afin qu'aux yeux de tous tu ne sois pas nouvice, Quand il faudra tantôt en faire l'exercice.
I’oubliois vn article, & des plus importans.	J'oubliais un article, et des plus importants.
Comme la Comedie eſt le charme du tems, Qu’elle attire aujourd’huy, qu’elle eſt dans vn haut luſtre, Tout ce que la Cour a de galant & d’illuſtre;	Comme la Comédie est le charme du temps, Qu'elle attire aujourd'hui, qu'elle est dans un haut lustre, Tout ce que la Cour a de galant et d'illustre;
Sois des plus aſſidus à l’Hoſtel, aux Marets, Pour faire l’eſprit fort, remarque les beaux traits;	Sois des plus assidus à l'Hôtel, aux Marets, Pour faire l'esprit fort, remarque les beaux traits;
Au Cid, à Timocrate, à des Pieces ſemblables, Dy, les Corneilles ſont tous deux inimitables, neb uutres aupres d’eux ne Içauroient qu’échoüer.	Au Cid, à Timocrate, à des Pièces semblables, Di, les Corneilles sont tous deux inimitables, ne utres auprès d'eux ne Içauroient qu'échoüer.
GVILLOT.	GUILOT.
Par pitié quelquefois il faut bien les loüer.	Par pitié quelquefois il faut bien les louer.
Mais ie croy qu’il eſt plus de la galanterie, De ſe mocquer de tout, d’en faire raillerie, De treuuer à redire au Poëte, à l’Acteur, De faire le Critique, & plaindre l’Auditeur.	Mais deux crois qu'il est plus de la galanterie, De se moquer de tout, d'en faire raillerie, De trouver à redire au Poète, à l'Acteur, De faire le Critique, et plaindre l'Auditeur.
Ie m’iray tout d’abord planter ſur le Theatre, Obſeruer de chacun le geſte & le minois, Etaler mes canons, me peigner trente fois;	Je m'irai tout d'abord planter sur le Théâtre, Observer de chacun le geste et le minois, Éaler mes canons, me peigner trente fois;
Durant les violons en marquer la cadence, Ou bien en me carrant entrer en conference, Cenſurer tout le monde, y treuuer du defaut;	Durant les violons en marquer la cadence, Ou bien en me carrant entrer en conférence, Censurer tout le monde, y trouver du défaut;
Quand vne Actrice ſort ( ſi l’Ateiiee le raut j Dire vn peu haut, Marquis, voy tu bien cette belle Ie ne me vante pas d’eſtre bien auec elle, Mais quand tu le voudras nous la gouuernerons.	Quand une Actrice sort ( si l'Ateiiee le raut j Ire un peu haut, Marquis, vois tu bien cette belle Je ne me vante pas d'être bien avec elle, Mais quand tu le voudras nous la gouvernerons.
HORIENSE.	HORIENSE.
Tu peus faire leçon à tous les Fanfarons:	Tu peux faire leçon à tous les Fanfarons:
Ma foy tu me ſurprens, & ton apprentiſſage A t’entendre parier ne fent point ſon village.	Ma foi tu me surprends, et ton apprentissage A t'entendre parier ne sent point son village.
GVILLOT.	GUILOT.
I ay leruy quelque tems vn vieux routier de Cour Qui vantoit ſes hauts faits & la nuit & le iour.	I ai lervi quelque temps un vieux routier de Cour Qui vantoit ses hauts faits et la nuit et le jour.
I’ay bien tout retenu.	J'ai bien tout retenu.
HORTENSE.	HORTENSE.
Ie le voy.	Je le vois.
GVILLOT.	GUILOT.
Laiſſez faire, Ie ſuis aſſez ruſé, i'entens tout le myſtere.	Laissez faire, Je suis assez rusé, j'entends tout le mystère.
Quand ie verray ſortir la Roque ou Floridor:	Quand ici verrai sortir la Roque ou Floridor:
Marquis, diray-ie encor, cét habit brillant d’or Vient de moy.	Marquis, dirai-je encor, cet habit brillant d'or Vient de moi.
Qu’en dis-tu?	Qu'en dis-tu?
la ſeule petite oye Me coute cinq cent francs, tout en belle monnoye, Car ie paye content;	la seule petite oye Me coute cinq cent francs, tout en belle monnoie, Car ieclaie content;
demande à Perdigeon.	demande à Perdigeon.
Dieu me ſauue il éclate, & tout en eſt mignon.	Dieu me sauve il éclate, et tout en est mignon.
Ie it’is faire expres pour le iour de I’entrée, Et chacun admiroit mon train & ma liurée.	Je Y faire exprès pour le jour de J'entrée, Et chacun admirait mon train et ma livrée.
HORTENSE.	HORTENSE.
C’eſt ainſi que d’abord douce comme vn agneau, Vne femme viendra donner dans le pareauCroy moy qu’il n’en eſt point pour deuenir Marquiſe Qultout aueugſement nengage la franchiſe.	C'est ainsi que d'abord douce comme un agneau, Une femme viendra donner dans le pareauCoi moi qu'il n'en est point pour devenir Marquise Qultout aveugsement nengage la franchise.
BVILLOT.	BVILOT.
Ouy, c'eit le prendre bien, & vous auez raiſon.	Oui, c'it le prendre bien, et vous avez raison.
HORTENSE.	HORTENSE.
vien dont, le t’intruiray du reſte à la maiſon,	viens dont, le t'intruirai du reste à la maison,
VILLOT.	VILOT.
Allons.	Allons.
Cur dun bieir le voy venir Liſete,	Cur dun bieir le vois venir Lisette,
SCENE VII.	SCÈNE VII.
LISETE.	LISETE.
J’on ne nous diſe plus que la femme caquete, Ils auroient bien ſans moy babillé tout le iour.	J'on ne nous dise plus que la femme caqueté, Ils auraient bien sans moi babillé tout le jour.
Mais les voila dehors, fermons à double tour.	Mais les voilà dehors, fermons à double tour.
LACTE III SCENE PREMIERE, L'A ROQVE, RAGOTIN.	LACTÉ III SCÈNE PREMIÈRE, L'A ROQUE, RAGOTIN.
LA ROQVE.	LA ROUQE.
AsSeVRetoy, te dis-ie, & reconnois ton Maiſtre.	AsSURetoi, te dis-je, et reconnais ton Maître.
RAGOTIN.	RAGOTIN.
Ie tremble encor de peur, ie m’enfuis, & peut-eſtre Vous eſtes ſon fantôme, ou quelque eſprit follet, Qui pourriez en iouant me donner vh ſouffſet.	Je tremble encor de peur, Seigneur m'enfuis, et peut-être Vous êtes son fantôme, ou quelque esprit follet, Qui pourriez en jouant me donner vh souffset.
LA ROQVE.	LA ROUQE.
Arreſte, ne crain point, crois-tu que ie me moque?	Arrête, ne crain point, crois-tu que Ne me moque?
Ouure, ouure bien les yeux, & reconnoy la Roque, Ce maiſtre dont iadis tu te vids tant chery.	Ouvre, ouure bien les yeux, et reconnoi la Roque, Ce maître dont jadis tu te vits tant chéri.
RAGOTIN.	RAGOTIN.
Depuis quatorze mois il doit eſtre pourry.	Depuis quatorze mois il doit être pourri.
LA ROQVE.	LA ROUQE.
Ouy, ie le deurois eſtre, & ſans le ſort propice Qui ne reſolut pas alors que ie periſſe, Tu ne me verrois pas à cette heure debout.	Oui, Seigneur le devrais être, et sans le sort propice Qui ne résolut pas alors que sans périsse, Tu ne me verrais pas à cette heure debout.
RAGOTIN.	RAGOTIN.
Pour m’en bien aſſeurer ie veux taſter partout.	Pour m'en bien assurer te veux tâter partout.
Me le permettez vous?	Me le permettez -vous?
PI ROQVE.	PI ROUQ.
Fort bien, taſte & retaſte.	Fort bien, tâte et retâte.
RAGOIIN.	RAGOIN.
C’eſt luy méme, ah!	C'est lui -même, ah!
mon maiſtre!	mon maître!
LA ROQVE.	LA ROUQE.
Il ſuffit, & i’ay haſte D’apprendre ſi ie dois apres qu’on m’a crû mort, Eſperer qu’en ces lieux mon retour plaiſe fort.	Il suffit, et j'ai hâte D'apprendre si ici dois après qu'on m'a cru mort, Espérer qu'en ces lieux mon retour plaise fort.
Car tu ſçais que ce fut pour ſa ſeule folie, Que ie me reſolus de quitter Emilie, Cette femme incommode à lire inceſſamment, Qui raiſonne à la table, au lit, méme en dormant, Et qui dans le chagrin qu’ont toutes ces Sçauantes, Chaſſoit de ma maiſon & valets & ſeruantes.	Car tu sais que ce fut pour sa seule folie, Que ie me résolus de quitter Emilie, Cette femme incommode à lire incessamment, Qui raisonne à la table, au lit, même en dormant, Et qui dans le chagrin qu'ont toutes ces Savantes, Chassait de ma maison et valets et servantes.
RAGOTIN.	RAGOTIN.
Elle eſt encore pis qu’elle ne fut iamais, Et ii ie Cier du pere accomplit les ſouhaits, Elle épouſe vn Marquis qu’on vient de me portraire, D’humeur à la laiſſer & tout dire & tout faire.	Elle est encore pis qu'elle ne fut jamais, Et ji ie Cier du père accomplit les souhaits, Elle épouse un Marquis qu'on vient de me portraire, D'humeur à la laisser et tout dire et tout faire.
Mais il faut empeſcher que ce braue Marquis.	Mais il faut empêcher que ce brave Marquis.
LA ROQVE.	LA ROUQE.
Non, le dois toi iey te nouuel Adonis.	Non, le dois toi Qui te nouvel Adonis.
Afin d’entrer ſans bruit par cette fauſſe porte, le t'ay fait appeller, tu ſçais bien qu’il m’importe De ſçauoir tout au long quel il eſt, & comment Ma femme ſouffrira l’abord de cét Amant.	Afin d'entrer sans bruit par cette fausse porte, le t'ai fait appeler, tu sais bien qu'il m'importe De savoir tout au long quel il est, et comment Ma femme souffrira l'abord de cet Amant.
RAGOTIN.	RAGOTIN.
Monſieur, ie voy deſia Liſete qui s’auance.	Monsieur, ie vou déjà Lisette qui s'avance.
LA ROQVE.	LA ROUQE.
Obſeruons bien d’icy toute leur contenance.	Observons bien d'ici toute leur contenance.
SCENE II.	SCÈNE II.
LISETE, RAGOIIN.	LISETE, RAGOIN.
LISETE.	LISETE.
Ve de peine à ſeruir, & qu’on eſt bien heureux, En ce ſiecle maudit de n’eſtre pas né gueux!	Ve de peine à servir, et qu'on est bien heureux, En ce siècle maudit de n'être pas né gueux!
A peine vn crocheteur porteroit tous ces liures, Et ie gagerois bien qu’ils peſent deux cent liures.	À peine un crocheteur porterait tous ces livres, Et tu gagerais bien qu'ils pèsent deux cent livres.
On pourra bien chercher qui les reportera.	On pourra bien chercher qui les reportera.
RAGÔTIN.	RAGTIN.
Ne t’afflige pas tant, Ragotin t’aidera.	Ne t'afflige pas tant, Ragotin t'aidera.
LISETE.	LISETE.
Vraiment il fait beau voir qu’ainſi tu te repoſes, Tandis qu’à la maiſon l’on m’ordonne cent choſes!	Vraiment il fait beau voir qu'ainsi tu te reposes, Tandis qu'à la maison l'on m'ordonne cent choses!
Tu n’as guere de cœur de me voir trauailler Cependant qu’au Soleil tu te tiens à bâiller.	Tu n'as guère de cœur de me voir travailler Cependant qu'au Soleil tu te tiens à bâiller.
Ne meurs tu point de honte, & n’eſt-il pas iniuſte Domo laſer tout lailc a ſant vircoips robuſte?	Ne meurs tu point de honte, et n'est-il pas injuste Domo laser tout lailc à sant vircoips robuste?
Tu n’as iamais rien ſçû que manger & dormir:	Tu n'as jamais rien su que manger et dormir:
Mais de faim quelque iour ie t’entendray gemir.	Mais de faim quelque iour ie t'entendrai gémir.
RAGOTIN.	RAGOTIN.
Ie ne ſuis pas payé pour ſeruir ta maiſtreſſe.	Je ne suis pas payé pour servir ta maîtresse.
LISETE.	LISETE.
Auſſi l’oyſiueté te fait creuer de graiſſe.	Aussi l'oisiveté te fait crèver de graisse.
Mais enfin diras-tu que ie n’ay pas raiſon, Mangeans tous deux le pain de la méme maiſon De me plaindre de toy, que iamais en ta vie De ſoulager Liſette il ne t’a pris enuie.	Mais enfin diras-tu que éclair n'ai pas raison, Mangeants tous deux le pain de la même maison De me plaindre de toi, que jamais en ta vie De soulager Liste il ne t'a pris envie.
RAGOTIN.	RAGOTIN.
Ah!	Ah!
ſi tu le voulois !	si tu le voulais !
LISETE.	LISETE.
Va, i’ay le cœur trop bon Qu’vne fille a de grace à prier vn garçon!	Va, j'ai le cœur trop bon Qu'une fille a de grâce à prier un garçon!
RAGOIIN.	RAGOIN.
Tu te faſches touſiours.	Tu te fâches toujours.
LISETE.	LISETE.
Ie ne ſuis que trop franche Mais i’eſpere qu’vn iour i’en auray ma reuanche.	Je ne suis que trop franche Mais j'espère qu'Han nour j'en aurai ma revanche.
B AGOTIN.	 BGOTIN.
Ie te la donneray, ſi tu veux.	Je te la donnerai, si tu veux.
LISETE.	LISETE.
Mais voic;	Mais voic;
Ma Maiſtreſſe qui vient, retire-toy d’icy.	Ma Maîtresse qui vient, retire-toi d'ici.
ENE III.	ENE III.
EMILIE, AMINTE, IV GRECE.	EMILIE, AMINTE, IV GRÈCE.
CORNELIE, LISETE.	CORNELIE, LISETE.
EMILIE.	EMILIE.
VEs Liures, bel eſprit, ſont-ils là dans leur place!	VEs Livres, bel esprit, sont-ils là dans leur place!
C’eſt traitter les Sçauans auec fort bõne grace;	C'est traiter les Savants était fort bonne grâce;
Donnez leur, pareſſeuſe, vn ſiege de gazon.	Donnez leur, paresseuse, un siège de gazon.
Il fait icy plus frais cent fois qu’à la maiſon.	Il fait ici plus frais cent fois qu'à la maison.
Meſdames, plaçons-nous, & tant ceremonie.	Mesdames, plaçons-nous, et tant cérémonie.
le croyois receuoir plus grande compagnie, Mais le nombre me plaiſt, nous quatre nous faiſons Celuy des Elemens, & celuy des Saiſons.	le croyais recevoir plus grande compagnie, Mais le nombre me plaît, nous quatre nous faisons Celui des Éléments, et celui des Saisons.
AMINTE.	AMINTE.
1 Si des quatre Elemens nous ſommes la peinture, Vous eſtes le beau feu qui maintient la nature.	1 Si des quatre Éléments nous sommes la peinture, Vous êtes le beau feu qui maintient la nature.
EMILIE.	EMILIE.
Si des quatre Saiſons nous portons les couleurs, vous eſtes le Printens qui produir mille fleurs.	Si des quatre Saisons nous portons les couleurs, vous êtes le Prinétends qui produir mille fleurs.
Mais tréue, s’il vous plaiſt, de ces belles fleuretes, Si l’on nous écoutoit, on nous croiroit coquetes, Et ces Dames pourroient diſputer iuſtement A vous voſtre Saiſon, à moy mon Element.	Mais trêve, s'il vous plaît, de ces belles fleuretes, Si l'on nous écoutait, on nous croirait coquetés, Et ces Dames pourraient disputer justement À vous votre Saison, à moi mon Élément.
LVCREGE.	LUCREGE.
Ie n’y prens nulle part.	Je n'y prends nulle part.
CORNELIE.	CORNELIE.
Pour moy ie vous le cede.	Pour moi ici vous le cède.
EMILIE.	EMILIE.
Donc, que tout autre ſoin à preſent nous poſſede, Faiſons ſortir pour nous, ainſi que du tombeau, De nos quatre Elemens vn monde tout nouueau, De nos quatre Saiſons vne meilleure année, Et pour tout noſtre ſexe vne autre deſtinée.	Donc, que tout autre soin à présent nous possède, Faisons sortir pour nous, ainsi que du tombeau, De nos quatre Éléments un monde tout nouveau, De nos quatre Saisons quelque meilleure année, Et pour tout notre sexe une autre destinée.
Aux hommes pleins d’orgueil il eſt par trop ſoûmis, Nous n’ozerions rien faire, & tout leur eſt permis!	Aux hommes pleins d'orgueil il est par trop soumis, Nous n'oserions rien faire, et tout leur est permis!
Pour noſtre vnique employ, pour tout noſtre partage.	Pour notre imique emploi, pour tout notre partage.
N’aurons-nous donc iamais que les ſoins du ménage, Et ſans faire valoir noſtre capacité, Auront-ils dans l’eſtat toute l’authorité?	N'aurons-nous donc jamais que les soins du ménage, Et sans faire valoir notre capacité, Auront-ils dans l'état toute l'autorité?
