PERGONNAGES.	PERGONAGES.
oüy, j’ay tort, il eſt vray, mon tranſport n’eſt pas ſage:	oui, j'ai tort, il est vrai, mon transport n'est pas sage:
Pour rentrer au devoir, je change de langage, Et je vous prie icy, mon Pere, au nom des Dieux, Et partout ce qui peut vous eſtre precieux, - De ne vous point ſervir dans cette conjoncture, Des fiers droits que ſur moy vous donne la nature, Ne m’empoiſonnez point vos bien-faits les plus doux, Le jour eſt un preſent que j’ay receu de vous :	Pour rentrer au devoir, je change de langage, Et je vous prie ici, mon Père, au nom des Dieux, Et partout ce qui peut vous être précieux, - De ne vous point servir dans cette conjoncture, Des fiers droits que sur moi vous donne la nature, Ne empoisonnez point vos bien-faits les plus doux, Le jour est un présent que ay receu de vous :
Mais dequoi vous ſerai-je aujourd’huy redevable, Si vous me l’allez rendre, helas, inſupportable?	Mais dequoi vous serai-je aujourd'hui redevable, Si vous me l'allez rendre, hélas, insupportable?
Il eſt ſans Melicerte un ſupplice à mes yeux;	Il est sans Mélicerte un supplice à mes yeux;
Sans ſesdivins appas, rien ne m’eſt precieux, Ils font tout mon bonheur, & toute mon envie, Et ſi vous me l’oſtez, vous m’arrachez la vie.	Sans sesdivins appas, rien ne m'est précieux, Ils font tout mon bonheur, et toute mon envie, Et si vous me l'ôtés, vous m'arrachez la vie.
LYCARSIS.	LYCARSIS.
Aux douleurs de ſon ame il me fait prendre part.	Aux douleurs de son âme il me fait prendre part.
Qui l’auroit jamais cru de cepetit pendart?	Qui l'aurait jamais cru de cepétit pendard?
Quel amour, quels tramports, quels diſcours pour ſon âge:	Quel amour, quels tramports, quels discours pour son âge:
J’en ſuis confus, & ſens que cet amour m’engage.	J'en suis confus, et sens que cet amour m'engage.
MYRTIL.	MYRTIL.
Voyez, me voulez-vous ordonner de mourir?	Voyez, me voulez-vous ordonner de mourir?
LYCARSIS.	LYCARSIS.
Je ne puis plus tenir, il m’arrache des larmes, Et ce tendres propos me font rendre les armes.	Je ne puis plus tenir, il m'arrache des larmes, Et ce tendres propos me font rendre les armes.
MYRTIL.	MYRTIL.
Que ſi dans vôtre cœur un reſte d’amitié, rouspeut domon derun donner quelque pitié, Accordez Melicerte à mon ardente envie, Et vous ferez bien plus que me donner la vie.	Que si dans votre cœur un reste d'amitié, rouspeut domon derun donner quelque pitié, Accordez Mélicerte à mon ardente envie, Et vous ferez bien plus que me donner la vie.
Leve toy.	Leve toi.
LYCARSIS.	LYCARSIS.
MYRTIL.	MYRTIL.
Serez-vous ſenſible à mes ſoûpirs?	Serez-vous sensible à mes soupirs?
oüy.	oui.
LYCARSIS.	LYCARSIS.
MYRTIL.	MYRTIL.
J'obtiendray de vous l’objet de mes deſirs.	J'obtiendrai de vous l'objet de mes désirs.
oüy.	oui.
LYCARSIS.	LYCARSIS.
MYR	MIR
MYRTIL.	MYRTIL.
Vous ferez pour moy que ſon Oncle l’oblige A medonner ſa main.	Vous ferez pour moi que son Oncle l'oblige À médonner sa main.
LYCARSIS.	LYCARSIS.
Oüy, leve-toy, te dis-je.	Oui, lève-toi, te dis-je.
MYRTIL.	MYRTIL.
O relt, le llemeur quijamais aiterte , Que je baiſe vos mains, aprés tant de bonté.	Ô relut, le lélémeur quijamais aiterte , Que je baise vos mains, après tant de bonté.
LYCARSIS.	LYCARSIS.
Ah, que pour ſes enfans un pere a de foibleſſe!	Ah, que pour ses enfants un père a de faiblesse!
Peut-on rien refuſer à leurs mots de tendreſſe, Et ne ſe ſent on pas certains mouvemens doux, Quand on vient à ſonger que cela ſort de vous?	Peut-on rien refuser à leurs mots de tendresse, Et ne se sent on pas certains mouvements doux, Quand on vient à songer que cela sort de vous?
MIRIIL.	MIRIIL.
Me tiendrez-vous au moins la parole avancée.	Me tiendrez-vous au moins la parole avancée.
Ne changerez-vous point, dites moy, de penſée?	Ne changerez-vous point, dites -moi, de pensée?
Non.	Non.
LYCARSIS.	LYCARSIS.
a l a l lui Me permettez-vous de vous deſobeïr, Si de ces ſentimens on vous fait revenir:	à l à l lui Me permettez-vous de vous désobéir, Si de ces sentiments on vous fait revenir:
Prononcez le mot.	Prononcez le mot.
LYCARSIS.	LYCARSIS.
Oüy.	Oui.
Ha nature!	Ha nature!
nature, Je m’en vais trouver Mopſe, & luy faire ouverture De l’amour que ſa Niéce, & toy, vous vous portez.	nature, Je m'en vais trouver Mopse, et lui faire ouverture De l'amour que sa Nièce, et toi, vous vous portez.
MYRTIL.	MYRTIL.
Ah, que ne dois-je point à vos rares bontez :	Ah, que ne dois-je point à vos rares bontés :
Quelle heureuſe nouvelle à dire à Melicerte, Je n’accepterois pas une Couronne offerte, Pour le plaiſir que j’ay de courir luy porter, Ce merveilleux ſuccez qui la doit contenter.	Quelle heureuse nouvelle à dire à Mélicerte, Je n'accepterais pas une Couronne offerte, Pour le plaisir que j'ai de courir ainsi porter, Ce merveilleux succès qui la doit contenter.
SCENE VI.	SCÈNE VI.
ACANTE, TYRENE, MYRTIL.	ACANTE, TYRENE, MYRTIL.
A ACANTE.	A ÀCANTE.
H, Myrtil, vous avez du Ciel receu des charmes, Qui nous ont preparé des matieres de larmes, Et leur naiſſant éclat fatal à nos ardeurs, De ce que nous aimons nous enlevent les cœurs.	H, Myril, vous avez du Ciel reçu des charmes, Qui nous ont préparé des matières de larmes, Et leur naissant éclat al à nos ardeurs, De ce que nous aimons nous enlèvent les cœurs.
TYRENE.	TYRENE.
Peut-on ſçavoir, Myrtil, vers qui de ces deux Belles, Vous tournerez ce choix dont courent les nouvelIe8, Et ſur qui doit de nous tomber ce coup affreux, Dont ſe voit foudroyé tout l’eſpoir de nos vœux?	Peut-on savoir, Myril, vers qui de ces deux Belles, Vous tournerez ce choix dont courent les nouvelIe8, Et sur qui doit de nous tomber ce coup affreux, Dont se voit foudroyé tout l'espoir de nos vœux?
ACANTE.	ACANTE.
Ne faites point languir deux Amans davantage, Et nous dites quel ſort vôtre cœur nous partage.	Ne faites point languir deux Amants davantage, Et nous dites quel sort votre cœur nous partage.
TIRENE.	TIRENE.
Il vaut mieux quand on craint ces malheurs éclatans, En mourir tout d’un coup quetraîner ſi long-temps.	Il vaut mieux quand on craint ces malheurs éclatants, En mourir tout d'un coup quetraîner si longtemps.
MYRTIL.	MYRTIL.
Rendez, Nobles Bergers, le calme à vôtre flâme, La Belle Melicerte a captivé mon ame:	Rendez, Nobles Bergers, le calme à votre flamme, La Belle Mélicerte a captivé mon âme:
aupres de cet objet mon jort eſt aſſez doux, Pour ne pas conſentir à rienprendre ſur vous.	auprès de cet objet mon jort est assez doux, Pour ne pas consentir à rienprendre sur vous.
Et ſi vos vœux enfin n’ont que les miens à craindre, Vous n’aurez l’un ny l’autre aucun lieu de vous plaindre.	Et si vos vœux enfin n'ont que les miens à craindre, Vous n'aurez l'un sens l'autre aucun lieu de vous plaindre.
ACANTE.	ACANTE.
Ah, Myrtil, ſe peut-il que deux triſtes Amaus.	Ah, Myril, se peut-il que deux tristes Amaus.
TYRENE.	TYRENE.
Eſt-il vray que le Ciel ienſible a nos tourmens.	Est-il vrai que le Ciel iensible à nos tourments.
MYRTIL.	MYRTIL.
Oüy, content de mes fers comme d’une victoire, Je me ſuis excuſé de ce choix plein de gloire:	Oui, content de mes fers comme d'une victoire, Je me suis excusé de ce choix plein de gloire:
puy de Monfeicencore cnange len voiontez;	puis de Monféicencore cnange len voionnés;
Et l’ay fait conſentir à mes felicitez.	Et l'ai fait consentir à mes félicités.
ACANTE.	ACANTE.
Ah, qué cette avanture eſt un charmant miracle, Et qu’à nôtre pourſuite elle oſte un grand obſtacle.	Ah, qué cette aventure est un charmant miracle, Et qu'à notre poursuite elle ôte un grand obstacle.
TYRENE.	TYRENE.
Elle peut renvoyer ces Nymphes à nos vœux, Et nous donner moyen d’eltle coitens tous deux.	Elle peut renvoyer ces Nymphes à nos vœux, Et nous donner moyen d'eltle coïts tous deux.
SCENE VII.	SCÈNE VII.
NICANDRE, MYRTIL, ACANTE, T YRENE.	NICANDRE, MYRTIL, ACANTE, T IRENE.
NICANDAE.	NICANDAE.
Q Cavez-vous en quel lieu Melicerte eſt cachée?	Q Cavez-vous en quel lieu Mélicerte est cachée?
Comment?	Comment?
MYRTIL.	MYRTIL.
NICANDRE.	NICANDRE.
En diligence elle eſt par tout cherchée.	En diligence elle est par tout cherchée.
EtPouiduoy?	ÉPouiduoi?
MYRTIL.	MYRTIL.
NICANDRE.	NICANDRE.
Nous alſons perdre cette beauté.	Nous alsons perdre cette beauté.
C’eſt pour elle qu’icy le Roy s’eſt tranſporté, Avec un grand Seigneur on dit qu’il la marie.	C'est pour elle qu'ici le Roi s'est transporté, Avec un grand Seigneur on dit qu'il la marie.
MYRTIL.	MYRTIL.
O Ciel!	Ô Ciel!
expliquez moy ce diſcours, je vous prie.	expliquez -moi ce discours, je vous prie.
NICANDRE.	NICANDRE.
Ce ſont des incidens grands & myſterieux:	Ce sont des incidents grands et mystérieux:
Oüy, le Roy vient chercher Melicerte en ces lieux;	Oui, le Roi vient chercher Mélicerte en ces lieux;
Et l’on dit qu’autrefois feu Beliſe ſa mere, Dont tout Tempé croyoit que Mopſe étoit le frere.	Et l'on dit qu'autrefois feu Bélise sa mère, Dont tout Tempé croyait que Mopse était le frère.
Mais je me ſuis chargé de la chercher par tout, Vous ſçaurez tout cela tantoſt de bout en bout.	Mais je me suis chargé de la chercher par tout, Vous saurez tout cela tantôt de bout en bout.
MYRTIL.	MYRTIL.
Ah Dieux, quelle rigueur!	Ah Dieux, quelle rigueur!
hé Nicandre, Nicandre,	hé Nicandre, Nicandre,
ACANTE.	ACANTE.
oliivons auſſi ſes pas, afin detout apprendie,	olivons aussi ses pas, afin détout apprendie,
Fin du ſecond Acte.	Fin du second Acte.
Cette Comedie n’a point eſté achevée.	Cette Comédie n'a point été achevée.
Il n’y avoit que ces deux Actes de faits lors que le Roy la démanda.	Il n'y avait que ces deux Actes de faits lors que le Roi la démanda.
Sa Majeſté en ayant eſte ſatisfaite pour la Feſte où elle fut amgeeſemee, le Sieur de Moliere ne l’a point finie.	Sa Majesté en ayant este satisfaite pour la Fête où elle fut amgeesemee, le Sieur de Molière ne l'a point finie.
IN.	IN.
