A	À
ah l’ingrat, ha le traltre!	ah l'ingrat, ha le traltre!
Mais pouuez vous l’aymer ſi toſt ſans le connoiſtre?	Mais pouvez -vous l'aimer si tôt sans le connaître?
FATIME.	FATIME.
De cette prompte amour l'on ne me peut blâmer, I'ay veu d'abord en luy tout ce qui fait;	De cette prompte amour l'on ne me peut blâmer, J'ai vu d'abord en lui tout ce qui fait;
aymer, I'execute de plus ce quo mon pere ordonne, I'obeys volontiers aux ordres qu’il me donne;	aimer, J'exécute de plus ce quo mon père ordonne, J'obéis volontiers aux ordres qu'il me donne;
Et puis qu’il l’a choiſi pour gendre & pour appuy, Ie croy qu’il en eſt digne de ul’en ſapponte a ley.	Et puis qu'il l'a choisi pour gendre et pour appui, Je crois qu'il en est digne de ul'en saponte à lei.
ZAIDE.	ZAIDE.
hiais touchant hdibar, quelles iont vos penfées?	hiais touchant hdibar, quelles jont vos pensées?
ADIBAR.	ADIBAR.
Ie n’oſe plus pretendre à ſes bontés paſſées.	Je n'ose plus prétendre à ses bontés passées.
ATIME.	ATIME.
Il ne meritoit pas l’honneur de mon amour, Il changea le premier, & ie change à mon tour,	Il ne méritait pas l'honneur de mon amour, Il changea le premier, et ie change à mon tour,
ZAIDE.	ZAIDE.
Tnemt pas tounoursmaigue de vous plalre, Pouuez vous l'oublier?	Tnemt pas tounoursmague de vous plalère, Pouvez -vous l'oublier?
FATIME.	FATIME.
Ie n’y ſçaurois que faire, I'oublie auec raiſon le plus grand des Ingrats, son mépris fut iniuſte, & le mien ne l'eſt pas;	Je n'y saurais que faire, J'oublie avec raison le plus grand des Ingrats, son mépris fut injuste, et le mien ne l'est pas;
Mais ceſſons de parler de cét Amant volage, Rendons haiſe pour hame, oudrage pour outrage;	Mais cessons de parler de cet Amant volage, Rendons haise pour hame, oudrage pour outrage;
Parlons de noſtre nopce, & me faites ſçauoir Si ie puis eſperer l'honneur de vous y voir.	Parlons de notre nopce, et me faites savoir Si tu puis espérer l'honneur de vous y voir.
ZAIDE.	ZAIDE.
e Ble ſuelde euuuul sauls se lats socsases .	eu Ble suelde euuul sauls se lats socsases .
Qui durant vos diſcours, s'eſt encore redoublée;	Qui durant vos discours, s'est encore redoublée;
Me va mettre hors d’eſtat d’y pouuoir aſſiſter, Et des cemeſme inſtant m’oblige à vous quitters	Me va mettre hors d'état d'y pouvoir assister, Et des cemesme instant m'oblige à vous quitters
ADIBAR.	ADIBAR.
Ie vous conduis:	Je vous conduis:
ſoufftez le ſoin que i'en dois prendre.	soufftez le soin que j'en dois prendre.
ZAIDE.	ZAIDE.
L ij	 Léj
SCENE VII.	SCÈNE VII.
FATIME, CHARIFE.	FATIME, CHARIFE.
FATIME.	FATIME.
7l miue ieut mouiuis mais Adibar me fuit, Ma vengeance eſt parfaite & mon eſpoir deſtruit	7l mive jeut mouivis mais Adibar me fuit, Ma vengeance est parfaite et mon espoir détruit
CHARIFE.	CHARIFE.
Almanſor le vaut bien.	Almandor le vaut bien.
FATIME.	FATIME.
Iuge mieux de ma plainte;	Juge mieux de ma plainte;
Ce que ie viens ce une cie que pure feinte:	Ce que ici viens ce une cie que pure feinte:
Medine eſt ton amie, & ne t’a pu cacher L a Pinpate zaide Aimanior eit cienencr:	Medine est ton amie, et ne t'a pu cacher L a Inpate zaide Aimanior eit ciencr:
Tume l’as dit !	Tume l'as dit !
CHARIFE.	CHARIFE.
Eh bien!	Eh bien!
FATIME.	FATIME.
C'eſt pour me vanger d’elle, D’auoir touſiours ſouffert mon Amant infidelle;	C'est pour me venger d'elle, D'avoir toujours souffert mon Amant infidèle;
Et la punir des maux qu'elle m’a ſceu cauſer, Que l’ay feint qu’Almanſor me deuoit épouſer.	Et la punir des maux qu'elle m'a su causer, Que l'ai feint qu'Almandor me devait épouser.
CHARIFE.	CHARIFE.
Ah, que vous en ſçauez!	Ah, que vous en savez!
cette fourbe eſt inſigne:	cette fourbe est insigne:
Mais Adibar reuient, ce n’eſt pas mauuais ſigne,	Mais Adibar revient, ce n'est pas mauvais signe,
SCENE VIII.	SCÈNE VIII.
ADIBAR, FATIME, CHARIFE.	ADIBAR, FATIME, CHARIFE.
2 FATIME.	2 FATIME.
Voy vous quittez ſi-toſt l'obiet de vos dediss	Voy quittez quittez sitôt l'objet de vos dédiss
ADIBAR.	ADIBAR.
Tiy loin de Ion fepos plos que de mes plaiſiis.	Ti loin de Ion fepos plos que de mes plaisiis.
FATIME.	FATIME.
Vous paroiſſez atteint d'vne triſteſſe extréme.	Vous paraissez atteint d'une tristesse extrême.
ADIBAR.	ADIBAR.
Ie ne puis ſans douleurs voir ſouffiir ce que i’ayme,	Je ne puis sans douleurs voir souffiir ce que j'aime,
LA LERAEO zaide pourroit bien vous auoir rebuté?	LA LERAEO zaide pourrait bien vous avoir rebuté?
ADIDARe Mon ſeul reſpect me chaſſe, & non ſa cruauté:	ADIDARe Mon seul respect me chasse, et non sa cruauté:
FATIME.	FATIME.
Elle doit mépriſer vn Amant inſidelle:	Elle doit mépriser un Amant insidelle:
ADIBAR.	ADIBAR.
Taerois tort auloura nuy n le me Plaignons d’elle.	Taerais tort auloura nui nui le me Plaignons d'elle.
FATIME.	FATIME.
D’Almanſor prés de moy le deſtin eſt plus doux;	D'Almandor près de moi le destin est plus doux;
ADIVAR.	ADIVAR.
Ie ſuis trop ſatisfait pour en eſtre ialoux.	Je suis trop satisfait pour en être jaloux.
FATIME.	FATIME.
Vous pourrlez vous flatter d'vne eſperance vaine, Zaide n’a pour vous que dédain & que haine.	Vous pourrlez -vous flatter d'une espérance vaine, Zaide n'a pour vous que dédain et que haine.
ADIBAR.	ADIBAR.
sa haine & ſon dédain maintenant ſont finis;	sa haine et son dédain maintenant sont finis;
Et nos cœurs par l’himen blen.	Et nos cœurs par l'hymen blen.
toſt ſeront vnis.	tôt seront unis.
L iij	 Lijà
FATIME.	FATIME.
Voſtre ame en cét eſpoir pourroit s’eſtre mépriſe, Pomble guolez vous que aaſdeeſt promiie,	Votre âme en cet espoir pourrait s'être méprise, Pomble guolez -vous que aasdeest promiie,
ADIBAR.	ADIBAR.
Vous meſme ſur ce point pourriez vous trõper fort Poſſible ignotez vous que ſon Amant eſt mort,	Vous -même sur ce point pourriez -vous tromper fort Possible ignités vous que son Amant est mort,
Il eſt mort!	Il est mort!
Leiu le na d	Live le na d
ADIBAR.	ADIBAR.
Oüy, Madame, & Zaide propice, A mon ardente amour veur rendre enfin iuſtice, Et vient de m'aſſeuter chez elle en la laiſſant, Qu'elle m’épouſera, ſi ſon frere y conſent.	Oui, Madame, et Zaide propice, À mon ardente amour veur rendre enfin justice, Et vient de m'asseuter chez elle en la laissant, Qu'elle m'épousera, si son frère y consent.
Adieu pour obtenir cette Beauté ſi chere, Ie vay ſoliciter mes parens & ſon frere.	Adieu pour obtenir cette Beauté si chère, Je vais soliciter mes parents et son frère.
FATIME, CARIFEa	FATIME, CARIFEa
FATIME.	FATIME.
ay-ie fait?	ai-je fait?
quoy ma feinte a ſeruy ſeulement CA diſpoſer Zaide à m’oſter mon Amant?	quoi ma feinte a servi seulement CA disposer Zaide à m'ôter mon Amant?
Madame.	Madame.
15.	15.
CHARIFE.	CHARIFE.
FATIME.	FATIME.
Laiſſe moy, dans vn ſort ſi contraite;	Laisse -moi, dans un sort si contraite;
Tout me nuit, toui me pertro toueuobuupce.	Tout me nuit, toui me pertro touçobuupce.
CHARIFE.	CHARIFE.
.	.
voousneconez poinee	voousneconez poinée
FATIME.	FATIME.
Non ie n’écoute plus Que la fureur qui regne en mes eſprits confui:	Non ici n'écoute plus Que la fureur qui règne en mes esprits confui:
La douleur me ſaiſit.	La douleur me saisit.
le dépit me trauſporie.	le dépit me trausporie.
Siis lels ne Conſolez vous, Madame!	Siis lels ne Consolez -vous, Madame!
dATIME.	dATIME.
Ah, ate ne ſuis ie morte!	Ah, ate ne suis Seigneur morte!
Ne me conſole point dans vn ſi iuſte deuil;	Ne me console point dans un si juste deuil;
Et me vien mettre au lict ou pluſtoſt au cercueilt	Et me viens mettre au lit ou plutôt au cercueilt
ACTE SCENE PREMIERE.	ACTE SCÈNE PREMIÈRE.
GOMELLE, LINDARACHE.	GOMELE, LINDARACHÉE.
ALMANSOR.	ÀLMANSOR.
GOMELEE.	GOMELE.
TOvs voyez la Cabane où le fais ma demeure, LINDARACHE.	TOutOus voyez la Cabane où le fais ma demeure, LINDARACHÉ.
Ami laiſſez nous ſeuls, ie vous iuis tout à l'heure.	Ami laissez nous seuls, je vous juis tout à l'heure.
ALMANSOR.	ÀLMANSOR.
Ah, Madamel ah ma Mere.	Ah, Madamel ah ma Mère.
en ces heureux moments Obtiendray-ie l’honneur de vos embraſſemens?	en ces heureux moments Obtiendrai-je l'honneur de vos embrassements?
DANCHE.	DANCHÉ.
Arreſte Abencerage aprens noſtre diſgrace, Et me fay voir mon fils auant que ie l’embraſſe, Ie contois deux enfans alors qu'vn rauiſſeur Enleua lâchement & ma fille & ta ſœur.	Arrête Abencerage après notre disgrâce, Et me fais voir mon fils avant que ie l'embrasse, Je contais deux enfants alors qu'Han rauisseur Enleva lâchement et ma fille et ta sœur.
ALMANSOR.	ÀLMANSOR.
Dieux!	Dieux!
que me dites vous?	que me dites -vous?
LINDARACHE.	LINDARACHÉE.
Que ta ſœur eſt raule.	Que ta sœur est ravle.
ALMANSOR.	ÀLMANSOR.
Nommez le rauiſſeur, il en perdra la vie.	Nommez le ravisseur, il en perdra la vie.
LINDARACHE.	LINDARACHÉE.
LINDARACHE.	LINDARACHÉE.
Approche, embraſſe,moy, ie commence à iuger Q en toy le Cler me Iame vn nis pour me vanger.	Approche, embrasse,moy, je commence à juger Q en toi le Cler me Ime un nis pour me venger.
ALMANSOR.	ÀLMANSOR.
Que ie ſçache ſon nom, ie iure le Prophete, Que ſon ſang lauera l'iniure qu’il a faite, Que mon bras à l’inſtant ira vous l'imoler.	Que était sçache son nom, ie jure le Prophète, Que son sang lauera l'injure qu'il a faite, Que mon bras à l'instant ira vous l'imoler.
LINDARACHE.	LINDARACHÉE.
Tu ſçauras tout, écoute, & me laiſſe parler.	Tu sçauras tout, écoute, et me laisse parler.
Tu ſçais l'inimitié qui depuis pluſieurs âges, Regne entre les Zegris & les Abencerages;	Tu sais l'inimitié qui depuis plusieurs âges, Règne entre les Zègris et les Abencérages;
Et tu dois eſtre inſtruit que ſur l'opinion qu’vn himen mettroit fin à leur auerſion, Pour aſſortir les nœuds de ce doux himenée;	Et tu dois être instruit que sur l'opinion qu'un hymen mettrait fin à leur aversion, Pour assortir les nœuds de ce doux hyménée;
Ma fille fut pour femme à Zegry deſtinée, Deſia tout eſtoit preſt & le iour eſtoit pris, Quand par auerſion ou pluſtoſt par mépris, L'inſidelle Zegty fuyant noſtre alliance, S’embarqua pour Alger auec diligence;	Ma fille fut pour femme à Zegri destinée, Déjà tout était prêt et le jour était pris, Quand par aversion ou plutôt par mépris, L'insidelle Zègty fuyant notre alliance, S'embarqua pour Alger avec diligence;
Et pour ſureroiſt d'ennuis, dés que ce bruit courut, Ma ſille dans ces lieux pour iamais diſparut.	Et pour sureroist d'ennuis, dès que ce bruit courut, Ma sille dans ces lieux pour jamais disparut.
AEMARSOR.	AEMARSOR.
O Ciel de ce mal-heur qui peut eſtre la cauſe!	Ô Ciel de ce malheur qui peut être la cause!
LINDARACHE.	LINDARACHÉE.
Lis ce billet receu, tu ſçauras toute choſe.	Lis ce billet reçu, tu sauras toute chose.
ALMANSOR lit.	ÀLMANSOR lit.
Voui ſans qui ie ne viurois pas?	Voui sans qui belle ne vivrais pas?
Apprenez vn mal-heur pire que mon trépas, Qui nous doit obliger à des plaintes communes;	Apprenez un malheur pire que mon trépas, Qui nous doit obliger à des plaintes communes;
Le pluscruel des iIcelcrats.	Le pluscruel des jIcelcrats.
L'infidelle Zegry cauſe mes infortunes.	L'infidèle Zegri cause mes infortunes.
Zelinde.	Zélinde.
Et m’arrache d’entre vos bras, Qu’ay.	Et m'arrache d'entre vos bras, Qu'ai.
ie apris?	Il appris?
LINDARACHE.	LINDARACHÉE.
Des veritez cruellet.	Des vérités cruellet.
ALMANSOR.	ÀLMANSOR.
Zegiy ſon rauiſſeur!	Zégi son ravisseur!
ha funeſtes nouuelles!	ha funestes nouvelles!
LINDARACHE.	LINDARACHÉE.
I'eus dans cette Infortune aſſez de iugement, Pour cacher noſtre honte, & ſon enleuement, Par l'aduis & le ſoin de l'illuſtre Gomelle, De ſon trépas par tout ie ſemay la nouvelle;	J'eus dans cette Infortune assez de jugement, Pour cacher quelque honte, et son enlèvement, Par l'avis et le soin de l'illustre Gomèle, De son trépas par tout tu semai la nouvelle;
Et ie t'enuoyay l’ordre au meſme temps auſſi, De ſortir de Tremiſſe, & de te rendre, ley;	Et beau t'envoyai l'ordre au même temps aussi, De sortir de Trémisse, et de te rendre, ley;
Enfin dedans Tunis attendant ta venuë, I'ay paſſé dans les pleurs vne vie lnconnuei Et ſentant approcher le temps de ton retoür, Ie me ſuis fait conduite en ce fatal ſelour, Ie te treuue, & deſia ma douleur eſt eharmée, Le peumeient rage en ton ame imprimée;	Enfin dedans Tunis attendant ta venue, J'ai passé dans les pleurs une vie larnconnuei Et sentant approcher le temps de ton retouir, Je me suis fait conduite en ce fatal sel, Je te trouve, et déjà ma douleur est eharmée, Le peumeient rage en ton âme imprimée;
Et ton bras diſpoſé pour perdre vn ſuborneur;	Et ton bras disposé pour perdre un suborneur;
Et pour paiuer ddioor qui nous priue d’nonneur,	Et pour paiuer ddioor qui nous prive d'nonneur,
ALMANSOR.	ÀLMANSOR.
Ah de cõbien d’ennuis mon cœur ſe ſent atteindre.	Ah de confien d'ennuis mon cœur se sent atteindre.
LINDARACHE Il eſt temps de punir, & non pas de ſe plaindie, Dans vn ſort ſi funeſte exprime ta douleur.	LINDARACHE Il est temps de punir, et non pas de se plaindie, Dans un sort si funeste exprime ta douleur.
Par des effets ſanglans de rage & de valeur, Pour moy ſont les regrets, & pour toy la vangeance, Tu connois l'offenceur, va reparer l'offence.	Par des effets sanglants de rage et de valeur, Pour moi sont les regrets, et pour toi la vengeance, Tu connais l'offenseur, va réparer l'offense.
Te ne t’aurois iamais reſerué cét employ, Si mon ſexe impuiſſant m’euſt peu vanger ſans toy;	Te ne t'aurais jamais réservé cet emploi, Si mon sexe impuissant m'eût pu venger sans toi;
Et i'aurois de Zegry deſia veu le ſupplice, St i'auois de Gomelle accepté le ſeruice.	Et j'aurais de Zegr desya vu le supplice, St j'avais de Gomelle accepté le service.
ITon bras ſeul doit lauer la tache de ton front Prens toure la vengeance ainſi que tout l'affront:	ITon bras seul doit lauer la tache de ton front Prends toure la vengeance ainsi que tout l'affront:
Va cauſer le trépas de qui eauſe ta honte, Iva perdre qui nous pert, punis quì hous affronte, Ne me voy plus qu'apres auoir vangé ta ſœur, Cherche, trouue & punis ſon lâche rauiſſeur;	Va causer le trépas de qui eauze ta honte, Iva perdre qui nous pert, punis qu' à affronte, Ne me vois plus qu'après avoir vengé ta sœur, Cherche, trouve et punis son lâche ravisseur;
Adieu fay ton deuoir, & te fay reconnoiſtre Digne fils des Heros dont le Ciel t’a fait naiſtre.	Adieu fais ton devoir, et te fais reconnaître Digne fils des Héros dont le Ciel t'a fait naître.
Peur aduancer la ſin de nos communs mal-heurs„ Va répandre du ſang, ie vay verſer des pleurs.	Pour avancer la sin de nos communs malheurs„ Va répandre du sang, toujours vais verser des pleurs.
LENE II.	LENE II.
ALMANSOR ſeul:	ÀLMANSOR seul:
Vres extremités!	Vres extrémités!
cruelle violence!	cruelle violence!
Quoy l'amy qui m'oblige, eſtl'ingrat qui m'offence, Ie dois donc mon ſalut à qui m'oſte l'honneur;	Quoi l'ami qui m'oblige, estl'ingrat qui m'offense, Je dois donc mon salut à qui m'ôte l'honneur;
Et qui ſauua le frere a donc perdu la ſœur!	Et qui sauva le frère a donc perdu la sœur!
Helas de quel conſeil eſt capable mon amel Dois-ie me rendre ingrat ou demeurer infame, D'vne ſainte amitié rompray-ſe le lien, Verſeray-ie du ſang qui conſerua le mien?	Hélas de quel conseil est capable mon amel Dois-je me rendre ingrat ou demeurer infâme, D'une sainte amitié romprai-se le lien, Verserai-je du sang qui conserva le mien?
Du ſaus pour qui l'amour veut que ie m'intereſte;	Du saus pour qui l'amour veut que je m'interrête;
Et pour tout dire enſin du ſang de ma Maiſtreſſe?	Et pour tout dire ensin du sang de ma Maîtresse?
Elle ſort, & ſans doute en ces lieux elle vient, L’honneur veut que ie fuye & l’Amour me retient.	Elle sort, et sans doute en ces lieux elle vient, L'honneur veut que tu fuie et l'Amour me retient.
́	
SCENE III.	SCÈNE III.
ALMANSOR, ZAIDE, MEDANE.	ÀLMANSOR, ZAIDE, MEDANE.
ZAIDE.	ZAIDE.
L n'oſe s'aduancer, ſon crime l'intimide, 2u 2anons laus une mot aupies de te pernde,	 L'ose s'avancer, son crime l'intimide, 2u 2anons la une mot aupies de te pernde,
ALMANSOR.	ÀLMANSOR.
Cher Oblet de mes feux, charme de mes eſprits !	Cher Oblet de mes feux, charme de mes esprits !
ZAIDE.	ZAIDE.
Vous me connoiſſez mal, vous vous eſtes mépris.	Vous me connaissez mal, vous vous êtes mépris.
ALMANSOR.	ÀLMANSOR.
sounſez qu'a vos ocaux yeux ma pamon s’exprime, L'amour.	sounsez qu'a vos occaux yeux ma pamon s'exprime, L'amour.
ZAIDE.	ZAIDE.
Vous me prenez ſans doute pour Fatime.	Vous me prenez sans doute pour Fatime.
ALMANSOR.	ÀLMANSOR.
Pour Fatime, ce mot m'inſtruit conſuſément, De l'iniuſte ſoupçon d’où naiſt ce changement, Poſſible auez vous creu que ie cherche à luy plaire, Voyant l’atachement que i’ay prés de ſon pere;	Pour Fatime, ce mot m'instruit consusément, De l'injuste soupçon d'où naît ce changement, Possible avez vous cru que je cherche à M plaire, Voyant l'atachement que j'ai prés de son père;
Mais ie iure le Ciel & l'Amour mon vainqueur, Que voſtre beſle image occupe tout mon cœur, Que de vous en chaſſer, Fatime eſt incapable.	Mais ici jure le Ciel et l'Amour mon vainqueur, Que votre bêle image occupe tout mon cœur, Que de vous en chasser, Fatime est incapable.
Que ie voy ſans amour tout ce qu'elle a d’aymable;	Que ici vois sans amour tout ce qu'elle a d'aimable;
Et que ſenſible aux traits de vos ſeulesbeautez, Ie me borne pour elle à des cluilitez.	Et que sensible aux traits de vos seulesbeautez, Je me borne pour elle à des cluilités.
ZAIDE.	ZAIDE.
Quoy, vous voyez Fatime auec indifference?	Quoi, vous voyez Fatime ici indifférence?
Moyons iuſqu’à quel point ira ſon impudence.	Moyons jusqu'à quel point ira son impudence.
ALMAN,	ÀLMAN,
ALMANSOR.	ÀLMANSOR.
En pourriez vous douter ?	En pourriez -vous douter ?
vous par qui tousjmes ſens Ont receu des liens ſi doux & ſi preſſans, Pourriez vous ſoupçonner auee quelque iuſtice, Mon cœur de lâcheté, mes ſerments d’artifices;	vous par qui toujours sens Ont reçu des liens si doux et si pressants, Pourriez vous soupçonner auée quelque justice, Mon cœur de lâcheté, mes serments d'artifices;
Et croire que mon ame ait aſſez de noirceur Pour trahir ma Maiſtreſſe & mon liberateur?	Et croire que mon âme ait assez de noirceur Pour trahir ma Maîtresse et mon libérateur?
Auriez vous pû penſer;	Auriez -vous pu penser;
ſans vous eſtre deceuë, Qu'on puiſſe aymer ailleurs apres vous auolr veuer.	sans vous être déçue, Qu'on puisse aimer ailleurs après vous avolr ver.
Non pour d’vn feu nouueau me treuuer enſſamé, Vous eſtes trop charmante, & ie ſuis trop charmé.	Non pour d'un feu nouveau me trouver enssamé, Vous êtes trop charmante, et ie suis trop charmé.
ZAIDE.	ZAIDE.
Trop charmé lâche, ingrat, monſtre de perſidie!	Trop charmé lâche, ingrat, montre de persidie!
ro veux conę fa aogierapres ut auoir trahie 34.	ro veux con fa aogieraprès ut avoir trahie 34.
5 Et d’vne indigne amour lâchement emporté, Tu ioins donc l’impudence à l’infidelité,	5 Et d'une indigne amour lâchement emporté, Tu joins donc l'impudence à l'infidélité,
ALAARSGR.	ÀLARSGR.
A l'inſidelité!	À l'insidélité!
que dittes vous Zaide?	que dittes vous Zaide?
Ce diſcours me confond.	Ce discours me confond.
ZAIDE.	ZAIDE.
Ie le voy bien, perfide !	Je le vois bien, perfide !
erersis Mcoins comas cisame mv in Iecierat, Les reproches touſiours font rougir vn ingrat.	erersis Mécoins compas cisame meu in Iecierat, Les reproches toujours font rougir un ingrat.
Vn ingrat?	Un ingrat?
ALMANSOR.	ÀLMANSOR.
ZAIDE.	ZAIDE.
Quoy incenant, ce mot te lemoſe rude?	Quoi incenant, ce mot te lémose rude?
Tu crains Ie nom d’ingrat, & non l'ingtatltude.	Tu crains Je nom d'ingrat, et non l'ingtatlude.
ALMANSOR.	ÀLMANSOR.
I'ignote le ſuiet de ce couroux naiſſant;	J'ignotte le sujet de ce courroux naissant;
I'ay beau m’examiner ie me trouue innocent.	J'ai beau m'examiner Elle me trouve innocent.
ZAIDE.	ZAIDE.
c'eſt donc eſtre innocent de tromper vne fille?	c'est donc être innocent de tromper une fille?
Dont tu ne peus ſans crime offences la famille, De trahir ton amy de me manquer de foy, D'aymer Fatime, enfin?	Dont tu ne peux sans crime offenses la famille, De trahir ton ami de me manquer de foi, D'aimer Fatime, enfin?
AL'MANSOR.	ÀL'MANSOR.
Moy, dites vous?	Moi, dites -vous?
ZAIDE.	ZAIDE.
oür, toy!	ouïr, toi!
ALMANSOR.	ÀLMANSOR.
Ah, ie ne ſ’aime poſnt?	Ah, Seigneur ne s'aime posnt?
ZAIDE.	ZAIDE.
L'oſes tu dire encore!	L'oses tu dire encore!
Non tu l'aymes point perſi de!	Non tu l'aimes point persi de!
tu l'adores.	tu l'adores.
Tesmenonges leyne pauuena m douier, Ie ſçay que dés demain tu la dois épouſes.	Témenonges leyne pauvena m douier, Je sais que dès demain tu la dois épouses.
ALMANSOR.	ÀLMANSOR.
Moy l'épouſer!	Moi l'épouser!
6 Ciel, n'en croyez rien, ie iure.	6 Ciel, n'en croyez rien, tu jure.
ZAIDE.	ZAIDE.
Non,non, ie ne croy point les ſermens d’vn parlure, Deſia de cét hymeiremcon eit aduerty,	Non,non, Seigneur ne crois point les serments d'un parlure, Désia de cet hymeiremcon eit averti,
ALMANSOR.	ÀLMANSOR.
dl vous Pa dles	 vous Dla doi
ZAIDE.	ZAIDE.
Quelqu' vn,	Quelqu' un,
ALMANSOR.	ÀLMANSOR.
Ce quelqu'vn a menty.	Ce quelqu'autre a menti.
Apprenez Moy ron nomj es msiuſte colère Ira de ſts aduiſ luy porter le ſalaire.	Apprenez Moi ron nomj à msiuste colère Ira de sts avis lui porter le salaire.
ZAIDE.	ZAIDE.
Va donc punir Patime, elle meſme l’a dit.	Va donc punir Patime, elle -même l'a dit.
ALMANSOR.	ÀLMANSOR.
A des diſcours ſi faux donnez moins de credit:	À des discours si faux donnez moins de crédit:
Fatime vous abuſe, adorable merueille!	Fatime -vous abuse, adorable merveille!
ZAIDE.	ZAIDE.
Ah Dieul vit.	Ah Dieul vit.
on iamais impudence pareille?	on jamais impudence pareille?
ALMANSOR.	ÀLMANSOR.
L'hymen qu'elle ſuppoſe, eſt vne fauſſeté, I'en atteſte du Ciel le Maiſtte redouté, Qu'il m'abiſme à l'inſtant au centre de la terre, Qu’il lance ſur ma teſte vn éelat de tonnetre;	L'hymen qu'elle suppose, est une fausseté, J'en atteste du Ciel le Maistte redouté, Qu'il m'abîme à l'instant au centre de la terre, Qu'il lance sur ma tête un éelat de tonnettère;
Et qu’il rende mon nom à lamais, odleux, Si le feu que ie ſens, ne vient de vos beaux yeux;	Et qu'il rende mon nom à lamais, odeux, Si le feu que je sens, ne vient de vos beaux yeux;
Et ſi iamais mon cœur a conceu pour Fatime Quelque choſe de plus qu une menivibie chmme.	Et si jamais mon cœur a conçu pour Fatime Quelque chose de plus qu une menivie chame.
ZATDE.	ZATDE.
Il faut pouſſer à bout cét eſprit effronté:	Il faut pousser à bout cet esprit effronté:
He bien de tes leſment prouue la vésite.	He bien de tes lesment prouve la vite.
ALMANSOR.	ÀLMANSOR.
Cent preuues vous rendront bien-toſt deſabuſée.	Cent preuves vous rendront bientôt désabusée.
ZAIDE.	ZAIDE.
Ie n’en veux qu'vne ſeule, & de plus fort aiſée.	Je n'en veux qu'une seule, et de plus fort aisée.
Poul mui les iouptons que l'ay conceudecey, Donne moy tout à l'heure, & ta main, & ta foy.	Poul mui les jouptons que l'ai conceudecey, Donne moi tout à l'heure, et ta main, et ta foi.
ALMANSOR.	ÀLMANSOR.
Ie la donne auec ioye:	Je la donne apprendre joie:
&̂ Ciel que vay-ie faire?	et Ciel que vais-je faire?
Quoy, luy tendre vne main qui doit perdre ſon freQui doit cauſer ſes pleurs, & qui pour me vanger Dans ſon ſang le plus noble eſt preſte à ſe plonger ?	Quoi, Seigneur tendre une main qui doit perdre son fréQui doit causer ses pleurs, et qui pour me venger Dans son sang le plus noble est prête à se plonger ?
LAID Ee Quoy tu répond ſi mal à des bontez ſi rares!	LAID Ee Quoi tu répond si mal à des bontés si rares!
Tu murmure tout bas, tu pâlis, tu t’égares?	Tu murmure tout bas, tu pâlis, tu t'égares?
ALMANSOR.	ÀLMANSOR.
I'attendois peu l'honneur dont ie me voy comblé, Et l'excez de ma ioye en effet m'a troublé.	J'attendais peu l'honneur dont je me vois comblé, Et l'excès de ma joie en effet m'a troublé.
I'ay crains de vous trahit par mon obeiſſance, De faire contie vous parler la médiſance;	J'ai crains de vous trahit par mon obéissance, De faire contie vous parler la médisance;
Et de traitter Zegty trop inciuilement, De vous donner la main ſant ſon conſentement;	Et de traiter Zégty trop incivilement, De vous donner la main sant son consentement;
Mais cette foible crainte enfin cede à ma flame, Le deuoir maintenant perd ſes drolts ſur nion ame?	Mais cette faible crainte enfin cède à ma flamme, Le devoir maintenant perd ses drolts sur nion âme?
Et ne me peut oſter le glorieux deſſein De vous donner enſemble, & mon cœur, & ma main.	Et ne me peut ôter le glorieux dessein De vous donner ensemble, et mon cœur, et ma main.
ZAIDE.	ZAIDE.
Tu t’aduiſes trop, tard, i'en ay perdu l’enuie;	Tu t'avises trop, tard, j'en ai perdu l'envie;
Et ne la pretend pas reprendre de ma vle, I'ay ſeint pour t'éprouuer cét excez de bonté;	Et ne la prétend pas reprendre de ma vle, J'ai seint pour t'éprouver cet excès de bonté;
Et tes ſeux pour Fatime ont d’abord éclaté.	Et tes seux pour Fatime ont d'abord éclaté.
ALMANSOR.	ÀLMANSOR.
Ah, ie n’en eus jamais!	Ah, Seigneur n'en eus jamais!
ZAIDE.	ZAIDE.
Ta fourbe eſt auerée?	Ta fourbe est auerée?
De cét himen fatal le ſuis fort aſſeurée, L'ors que ie t'ay preſſé de me donner ta foy, Tes semordi pour Fatime ont parlé contre toy;	De cet hymen fatal le suis fort assurée, L'ors que tu t'ai pressé de me donner ta foi, Tes semordi pour Fatime ont parlé contre toi;
Et ta confuſion m’atror pericuces Qu'elle a receu la foy que ie t’ay demandée.	Et ta confusion m'atror péricuces Qu'elle a reçu la foi que deux t'ai demandée.
ALEANSOR.	ALÉANSOR.
Ie vous l'offre.	Je vous l'offre.
ZAIDE.	ZAIDE.
Non, non, tu n’en peux diſpoſer?	Non, non, tu n'en peux disposer?
Tu l'as deſia donnée, & tu veux m’abuſer.	Tu l'as déjà donnée, et tu veux m'abuser.
ALMANSOR.	ÀLMANSOR.
C’eſt vous tromper vous meſnie auec trop d’adreſſe.	C'est vous tromper vous ménie avec trop d'adresse.
ZAIDE.	ZAIDE.
Derepliquer encore as-tu la hardieſſe?	Derepliquer encore as-tu la hardiesse?
Fatime a tes deſirs puiſque i'ay tes iefus:	Fatime a tes désirs puisque j'ai tes moments:
