AV ROT.	AU ROT.
que de changemés arriuét en peu d’heures!	que de changements arrivet en peu d'heures!
uere il a quitté ces heureuſes demeures tiomphant de mon cœur, & je le voy captif.	Que il a quitté ces heureuses demeures tiomphant de mon cœur, et je le vois captif.
ALMIRE.	ÀLMIRE.
aex voſtre viſage.	àex vôtre visage.
MIRAME.	MIRAME.
O bon-heur fugitif!	Ô bonheur fugitif!
deſtin!	destin!
ſouſtien moy.	soutien moi.
chere Almire, je tremble.	chère Almire, je tremble.
LE GRAND PREVOST.	LE GRAND PRÉVÔT.
’ordre nous eſt donné de vous laiſſer enſemble.	ordre nous est donné de vous laisser ensemble.
SCENE ARIMANT.	SCÈNE ARIMANT.
MIRAME.	MIRAME.
ALMIRE.	ÀLMIRE.
MIRAME.	MIRAME.
Ah Dieux!	Ah Dieux!
pourquoy mouuit	pourquoi mouvit
ARIMANT.	ARIMANT.
Pour n’auoir peu pour vous ny vaincre, ny puu	Pour n'avoir peu pour vous ici vaincre, ni puu
MIRAME.	MIRAME.
Le ſort a de vos mains arraché la victoire:	Le sort a de vos mains arraché la victoire:
Mais vaincre le ſort meſme eſt bien plus grande Qui ſçait bien ſupporter vn accident fatal.	Mais vaincre le sort même est bien plus grande Qui sait bien supporter un accident fatal.
En recoir plus d’honneur qu’il n’en reçoit de mu	En recoir plus d'honneur qu'il n'en reçoit de mu
ARIMANT.	ARIMANT.
Quiconque ne ſçait pas acquerir par les armes La beauté dont ſon cœur adore les doux charnu Ayant eu le bonheur d’acquerir ſon amour, Eſt indigne à jamais de regarder le jour.	Quiconque ne sait pas acquérir par les armes La beauté dont son cœur adore les doux charnu Ayant eu le bonheur d'acquérir son amour, Est indigne à jamais de regarder le jour.
MIRAME.	MIRAME.
I'eſtime les deſſeins que la vertu faict naiſtre.	J'estime les desseins que la vertu fait naître.
Sans priſer les ſuccez, dont le ſort eſt le Maiſtre.	Sans priser les succès, dont le sort est le Maître.
ARIMANT.	ARIMANT.
Il vaut bien mieur mourir que viure ſans honne	Il vaut bien mieur mourir que vivre sans honne
MIRAME.	MIRAME.
40 eſtre aymé de Mirame eſt honneur & bon-heus.	40 être aymé de Mirame est honneur et bonheus.
ARIMANT.	ARIMANT.
C’eſt vn honneur ſi grand qu’aucun ne le merite.	C'est un honneur si grand qu'aucun ne le mérite.
Moins que tous vn captif contre qui tout i’irree.	Moins que tous un captif contre qui tout j'irrée.
O ſos O ſort, ſouuent contraire aux deſſelus gerereux par qui les plus hardis ſont les plus malheureux Par ta ſeule rigueur le Prince qui me domte Me charge maintenant & de fers & de honte.	Ô sos Ô sort, souvent contraire aux desselus généreux par qui les plus hardis sont les plus malheureux Par ta seule rigueur le Prince qui me domte Me charge maintenant et de fers et de honte.
MIRAME.	MIRAME.
Si mon Pere vous traitte auec ſeuerité, Vangez vous de ſa fille auccques cruanté.	Si mon Père vous traite avec sévérité, Vengez -vous de sa fille aucques cruanté.
y conſens.	y consens.
ARIMANT.	ARIMANT.
Non pas moy:	Non pas moi:
pour comble de miſex Vous rendrois-je le mal que me fait voſtie l'ete?	pour comble de misex Vous rendrais-je le mal que me fait vostie l'été?
De ſeroit acheuer ce qu’il a commencé.	De serait achever ce qu'il a commencé.
e ſouffie, mais le vis, ie ne ſuis que bleſſé:	E souffie, mais le vis, Seigneur ne suis que blessé:
ſon mal n’eſt pas moctel, mais le voſtre me tuë.	son mal n'est pas motel, mais le vôtre me tue.
lon, pourueu qu’Arimant languiſſe à voſtre veuë.	Lon, pourvu qu'Arimant languisse à votre vue.
On ne le peut traister auec tant de rigueut, ’il ne beniſſe encor ſes ſers & ſon malheur.	On ne le peut traîter avec tant de rigueut, il ne bénisse encor ses sers et son malheur.
MIRAME.	MIRAME.
os fers ſetont les miens.	os fers setont les miens.
ARIMANT.	ARIMANT.
Ainſi ſans la vidoire tiomphe capuif, & ſuis comblt́ de gloire.	Ainsi sans la vitoire tiomphe capuif, et suis combltum de gloire.
rous la meritez.	rous la méritez.
MIRAME.	MIRAME.
ARIMANT.	ARIMANT.
Ainſi i’ay beaucoup ſaltyant berusoup, tenté pour vn ſi digne obiect.	Ainsi j'ai beaucoup saltyant berusoup, tenté pour un si digne objet.
iuant dans voſtre cœur, & dant voſtre penſée, benis ma diſgrace, & it la tiens paſſée.	juant dans votre cœur, et dant votre pensée, bénis ma disgrâce, et it la tiens passée.
Ie cheris ma priſon:	Je chéris ma prison:
on m'y verra conſtant?	on m'y verra constant?
Et doublement captif, on my vetra content, Et la gueitre & l’amour rauiſſant ma franchiſe.	Et doublement captif, on mi vetra content, Et la guère et l'amour ravissant ma franchise.
Ie ſens que ie la veux, lors que ie la meſpriſe.	Je sens que ici la veux, lors que ie la méprise.
Le fer, le feu, la mort, & l’horreur des Enfets, Ne ſçauroient m’empeſchet d'eſtie heureux dans meiſe Ie ſuis libre auec eux.	Le fer, le feu, la mort, et l'horreur des Enfets, Ne sauraient m'empêchet d'étie heureux dans mise Je suis libre avec eux.
MIRAME.	MIRAME.
Voſtre gloire eſt plus grande Qu'au pouuoir d'vn captif captiue ie me rende.	Votre gloire est plus grande Qu'au pouvoir d'Hôte captif captive ie me rende.
Que ſi de lans vn Char ſuperbement vainqueur Vous traiſuice apres vous & mon Pere & mon cet	Que si de lans un Char superbement vainqueur Vous traisuice après vous et mon Père et mon cet
ARIMANT.	ARIMANT.
Auioutd'huy voſtre cœur acquiert vne vidoire.	Avioutd'hui votre cœur acquiert une vidoire.
Dont nulle autre iamais n’égalera la gloire.	Dont nulle autre jamais n'égalera la gloire.
Ouy, i’admire ce cœur.	Oui, j'admire ce cœur.
dont la noble amitié Fait vn obiet d’amour d’vn obict de pitié.	dont la noble amitié Fait un objet d'amour d'un obit de pitié.
Tout captif que ie ſuis, cette voix que i’adore M’obligeant de nouueau vient me lier encore.	Tout captif que je suis, cette voix que j'adore M'obligeant de nouveau vient me lier encore.
Donc par voſtre bonté mes maux ſont ſurmonta Doncques ie me vetray vaincu de tous coſtez?	Donc par votre bonté mes maux sont surmonta Doncques ici me vettrai vaincu de tous côtés?
Priſonnier dans la guerre, & tout chargé de honte Faut-il que dans l’amour encore on me ſurmonte?	Prisonnier dans la guerre, et tout chargé de honte Faut-il que dans l'amour encore on me surmonte?
Vn meſme ſang deux fois me ſurmonte en vn iour, Le Pere par le fer, la fille par l’amour.	Un même sang deux fois me surmonte en un jour, Le Père par le fer, la fille par l'amour.
MIRAME.	MIRAME.
L'Un vous a mis par terre, & l'auure vour releus	L'Un vous a mis par terre, et l'auvre vour relus
ARIMANT.	ARIMANT.
Ce qu’il a commencé voſtre bonté l’acheue.	Ce qu'il a commencé votre bonté l'achève.
Prenant part à mes maux ie veux & dois moutil.	Prenant part à mes maux on veux et dois moutil.
Voſtie douleut me tuë au lieu de me guerir.	Vôtie douleut me tue au lieu de me guérir.
MIRAME.	MIRAME.
Quoy qu’on ait reſola, meſme ſoit nous artiue.	Quo qu’on ait résolà, même soit nous artive.
Vous ſerez priſonnier, & moy voſtre captiue.	Vous serez prisonnier, et moi votre captive.
Craignez vous de vous voir enfermé daus des tours!	Craignez -vous de vous voir enfermé daus des tours!
Puiſque vous enchaiſuez l’obiect de vos amours?	Puisque vous enchaisuez l'objet de vos amours?
Ie vous verray ſouuent, rantoſt par ma preſence, Tantoſt par ma penſée & par intelligence.	Je vous verrai souvent, rantôt par ma présence, Tantôt par ma pensée et par intelligence.
Ie vous conſoleray dans tous vos déplaiſies;	Je vous consolerai dans tous vos déplaisiez;
Souuent par mes regards, touſiours par mes deſirs.	Souvent par mes regards, toujours par mes désirs.
ARIMANT.	ARIMANT.
Ie viutay trop content au cachot le plus ſombre, 51 par fois ſeulement ie voy paſſer voſtre ombre.	Je viutai trop content au cachot le plus sombre, 51 par fois seulement un vois passer votre ombre.
Si ie ſuis par vn mot certain de voſtie foy.	Si ici suis par un mot certain de vostie foi.
t ſi ie puis penſer que vous penſez en moy.	t si ici puis penser que vous pensez en moi.
MIRAME.	MIRAME.
Pourueu que vous viuiez le vaincray tous obſtacles.	Pourvu que vous viviez le vaincrai tous obstacles.
Amour pour vous ſeruir me promet des miracles.	Amour pour vous servir me promet des miracles.
uoy qu'on puiſſe oppoſer i’en viendray bien à bout.	Uoi qu'on puisse opposer j'en viendrai bien à bout.
ARIMANT.	ARIMANT.
n’ay plus rien à perdre.	n'ai plus rien à perdre.
& pourtant ie crains tour.	et pourtant ici crains tour.
crains.	crains.
MIRAME.	MIRAME.
Quoy ?	Quoi ?
quelle peut rend voſtre eſprit malade?	quelle peut rend votre esprit malade?
ARIMANT.	ARIMANT.
grand Azamor en fin vous perſuade.	grand AXzamor en fin vous persuade.
MIRAME.	MIRAME.
eſt mon ennemy;	est mon ennemi;
ſuiuray-je ſon conſeil?	suivrai-je son conseil?
ARIMANT.	ARIMANT.
i’il ſoit, ma Princeſſe, il n’a point ſon parél.	j'il soit, ma Princesse, il n'a point son parél.
C4 il fera prés de vous, & ie crains ſa pieſence.	C4 il fera près de vous, et et ainsi sa pies.
Ie ſeray loin de vous, & ie crains mon abſence.	Je serai loin de vous, et ainsi crains mon absence.
MIRAME.	MIRAME.
s'il eſt loin de mon cœur, le tiendrez vous preſentl Eſtant dans mon eſprit, cioirez vous eſtre abſent?	s'il est loin de mon cœur, le tiendrez vous présent Étant dans mon esprit, cioirez vous être absent?
ARIMANT.	ARIMANT.
L’obiect émeut les ſens, l’abſence eſt dangereuſe.	L'objet émut les sens, l'absence est dangereuse.
MIRAME.	MIRAME.
Nul obiea ſans vous voit ne me peut rendre heure	Nul objet sans vous voit ne me peut rendre heure
ARIMANT.	ARIMANT.
Il eſt libre & vainqueur, moy captif & vaincu.	Il est libre et vainqueur, moi captif et vaincu.
MIRAME.	MIRAME.
Ie mourray ſous vos loix ainſi que i'ay vécu.	Je mourrai sous vos lois ainsi que j'ai vécu.
ARIMANT.	ARIMANT.
Mais il eſt tout puiſſant.	Mais il est tout puissant.
& ie ſuis dans les chaiſex	et ici suis dans les chaisex
MIRAME.	MIRAME.
Aimant ſans que le l'ayme, Il ſera dans des gefuer.	Aimant sans que le l'aime, Il sera dans des gefuer.
s’il eſt victorieux, ce n’eſt pas de mon cœur.	s'il est victorieux, ce n'est pas de mon cœur.
St vous eſtes vaincu, vous eſtes mon vainqueur.	St vous êtes vaincu, vous êtes mon vainqueur.
ARIMANT.	ARIMANT.
Ah!	Ah!
je crains plus que tout l'eſclat de ſa couronne	Je crains plus que tout l'éclat de sa couronne
MIRAME.	MIRAME.
Moy.	Moi.
J'ayme celle là que la vertu vous donse	J'aime celle -là que la vertu vous donse
ARIMANT.	ARIMANT.
Mais je ſuis né ſujet.	Mais je suis né sujet.
MIRAME.	MIRAME.
Vous l'eſtes de mes loix.	Vous l'êtes de mes lois.
Auamor pour ce rang perdroit le tang des Rois.	Avamor pour ce rang perdrait le tang des Rois.
ARIMANT.	ARIMANT.
oſtre pere peut tout.	ôtre père peut tout.
4 MIRAME.	4 MIRAME.
L’amout eſt volontalre;	L'amout est volontalère;
ne craint le pouuoir ny d’vn Roy ny d’vn Pere.	ne craint le pouvoir ici d'un Roy ny d'Hô Père.
ARIMANT.	ARIMANT.
amour par le deuoir ſe verra combatu?	amour par le devoir se verra combattu?
çachont mes defauts je crains voſtre vertu.	çachont mes défauts je crains votre vertu.
MIRAME.	MIRAME.
a voſtre m’affermit.	à votre m'affermit.
ARIMANT.	ARIMANT.
Ie crains l'obeiſtance.	Je crains l'obéistance.
MIRAME.	MIRAME.
us que toute verru j’eſtime la conſtance.	us que toute verru j'estime la constance.
ARIMANT.	ARIMANT.
h!	h!
je me crains moy-meſme, & j’ay peur que mes ſens puiſlent reſiſter au mal que je ieiſens.	je me crains moi-même, et j'ai peur que mes sens puislent résister au mal que je ieisens.
c iij	ç cijà
MIRAME.	MIRAME.
C'eſt là toute la peut dont mon ame eſt anainte, Ne craignant rien de moy, de vous ſeul vient ma crainu Mon malheur toutesfois viendroir-il de mon bien?	C'est là toute la peut dont mon âme est anainte, Ne craignant rien de moi, de vous seul vient ma crainu Mon malheur toutefois viendroir-il de mon bien?
En deſpit des deſlins.	En dépit des délins.
Prince, ne craignons rien.	Prince, ne craignons rien.
Contte leur tyrannie atmons noſtre courage.	Contte leur tyrannie atmons notre courage.
Le ſoit à la vertu ne peur faire d’outrage;	Le soit à la vertu ne peur faire d'outrage;
Et ſur luy noſtre amour remportera l’honneur.	Et sur lui notre amour remportera l'honneur.
De soſtie fermeté dépend noſtre bonheur.	De sostie fermeté dépend notre bonheur.
ALMIRE.	ÀLMIRE.
Ne parlez pas ſi haut, Princeſſe, on vous eſcoute.	Ne parlez pas si haut, Princesse, on vous écoute.
MIRAME.	MIRAME.
Adieu, cher Arimant, je vay dans cetre route.	Adieu, cher Arimant, je vais dans cetère route.
I’appesçois Aramor, je ne puis l’endurer.	J'appesçois Aramor, je ne puis l'endurer.
Puis j’enteus quelque bruit.	Puis j'entus quelque bruit.
SCENE VI.	SCÈNE VI.
ACASTE.	ACACSTE.
MIRAME.	MIRAME.
ARIMANT.	ARIMANT.
LE GRAND PREVOST.	LE GRAND PRÉVÔT.
ACASTE.	ACACSTE.
IL faut les ſeparer.	IL faut les séparer.
MIRAME.	MIRAME.
Aue4.	Aue4.
ACASTE.	ACACSTE.
Suiuez voſtre ordre.	Suivez votre ordre.
ARIMANT.	ARIMANT.
O bonté ſecourable, prince heureux pour le moins autant que miſerable.	Ô bonté secourable, prince heureux pour le moins autant que misérable.
ACASTE.	ACACSTE.
Leut flame eſt trop certaine:	Leut flamme est trop certaine:
il le faut eſloigner.	il le faut éloigner.
LE GRAND PREVOST.	LE GRAND PRÉVÔT.
mua Mmar mam ranes.	mua Mmar mam ranes.
ARIMANT.	ARIMANT.
Où me doit-on mener?	Où me doit-on mener?
LE GRAND PREVOST.	LE GRAND PRÉVÔT.
Dans vn fort ſur la coſte, & loin de deux iournées.	Dans un fort sur la côte, et loin de deux journées.
ARIMANT.	ARIMANT.
Nouuelle cruauté des dures deſtinées!	Nouvelle cruauté des dures destinées!
Prince trop malheureux, ah!	Prince trop malheureux, ah!
quitte ton eſpoir, l faut perdre le iour perdant l’heur de la voir.	quitte ton espoir, l faut perdre le jour perdant l'heur de la voir.
SCENE VII.	SCÈNE VII.
AZAMOR.	AZAMOR.
ACASTE.	ACACSTE.
AZAMOR.	AZAMOR.
OVS qui ſģauez l’excez du mal qui me tourmente, V Dites-moy librement ſi Mirame eſt contente.	OUS qui savez l'excès du mal qui me tourmente, V Dites-moi librement si Mirme est contente.
C iiij	Ç Cijà
ACASTE.	ACACSTE.
Elle a ſujet de l’eſtre, & pourtant ne Peſt point.	Elle a sujet de l'être, et pourtant ne Pest point.
AZAMOR.	AZAMOR.
Quel malheur deplorab'e à mon bon-heur eſt iointi Si Mars me fauoriſe.	Quel malheur déplorab'e à mon bonheur est jointi Si Mars me favorise.
Amour me deſeſpere.	Amour me désespère.
Celuy-cy m’eſt cruel, quand l’autre m’eſt proſpert.	Celui-cy m'est cruel, quand l'autre m'est prospert.
Vovez en quel eſlat mon deſtin me reduit;	Vovez en quel élat mon destin me réduit;
Vn Dieu me fauoriſe, vn autre Dieu me nuit.	Un Dieu me favorise, un autre Dieu me nuit.
Puis-Je me dire heureux meſme dans la victoire?	Puis-Je me dire heureux même dans la victoire?
ACASTE.	ACACSTE.
Peut-on ne l'eſtie pas eſtant ſi plein de gloite?	Peut-on ne l'étie pas étant si plein de gloite?
AZAMOR.	AZAMOR.
Comment pourrois je l'eſtre, eſlant ſi mal traitté D'vn œil plein de rigueur autant que de beauté?	Comment pourrais je l'être, élant si mal traité D'un œil plein de rigueur autant que de beauté?
ACASTE.	ACACSTE.
Mirame cache bien les ſecreus de ſon ame.	Mirame cache bien les secrèus de son âme.
AZAMOR.	AZAMOR.
Il manque à mon bon-heur d’eſtre aimé de Mirames Ou pluſtoſt à ma gloire il manque ce ſeul point, Que n’eſtant poiut aimé ie peuſſe n’aimer point.	Il manque à mon bonheur d'être aimé de Mirames Ou plutôt à ma gloire il manque ce seul point, Que n'étant poiut aimé je pusse n'aimer point.
Si ſon cœur à l’amour ſe fait voir inuincible, Surmonter le mien propre eſt-ce choſe impoſſible?	Si son cœur à l'amour se fait voir invincible, Surmonter le mien propre est-ce chose impossible?
Ie le puis, ie le veux, il le faut, ie le doy.	Je le puis, Seigneur le veux, il le faut, Seigneur le dois.
Qu’elle gurde ſon cœut, que le mien ſoit à moy.	Qu'elle gurde son cœut, que le mien soit à moi.
Ouy, ie la veux quitter.	Oui, Seigneur la veux quitter.
ACASTE.	ACACSTE.
Ce changement me touche.	Ce changement me touche.
AZAMOR.	AZAMOR.
Helai !	Hélai !
ne ctaignez tien, mon ecur dément mi beuehx Mais où va la Princeſſe pelle fuit de mes yeux.	ne ctaignez tien, mon ecur dément mi buehx Mais où va la Princesse pelle fuit de mes yeux.
Et ie ſuis à ſa veut vn oblect odieux.	Et ici suis à sa veut un oblect odieux.
ACASTE.	ACACSTE.
Ah!	Ah!
ne le croyez pas.	ne le croyez pas.
AZAMOR.	AZAMOR.
Sa haine eſt trop viſible.	Sa haine est trop visible.
Sus, mon cœut, fay toy voir ainſi qu’elle inſenſible.	Sus, mon cœur, fais -toi voir ainsi qu'elle insensible.
Ou pour me conſeruer & l’houneur & le iour, Sois ſenſible au dépit, auſſi bien qu’à l’amour.	Ou pour me conserver et l'houneur et le jour, Sois sensible au dépit, aussi bien qu'à l'amour.
Dépit, foible ennemy d’vne puiſſante flame, Qui contre tant d’aideur veux muiner mon ame, Que tu combas en vain l’eſpoir de mes plaiſirs, En formant vn deſir contraîte À mes deſirs.	Dépit, faible ennemi d'une puissante flamme, Qui contre tant d'aideur veux muiner mon âme, Que tu combas en vain l'espoir de mes plaisirs, En formant un désir contraîte À mes désirs.
Oüy, ie me ſens moy-meſme à moy-meſme rebelle, Quand ie taſche d’eſteindre vne amour immortelle.	Oui, Seigneur me sens moi-même à moi-même rebelle, Quand notre tâche d'éteindre une amour immortelle.
La raiſon veut qu’on aynie vn chef-d'œuure des Cieux, lui rauit les eſprits.	La raison veut qu'on ainie un chef-d'œuvre des Cieux, lui ravit les esprits.
& qui charme les yeux:	et qui charme les yeux:
La raiſon veut qu’on ſuiue vn deſſein legitime:	La raison veut qu'on suive un dessein légitime:
La raiſon dit qu’aux Rois l’inconſlance eſt vn crime:	La raison dit qu'aux Rois l'inconslance est un crime:
Elle veut que le taſche à dompier mon Riual, ue ie tire vn honneur de ce qui fait mon mal;	Elle veut que le tâche à dompier mon Rival, ue ici tire un honneur de ce qui fait mon mal;
u’en vn ſecond combat ie merité Mirame:	Ju'en un second combat rendre mérité Mirame:
Que i’artache par force vne erteur de ſon ame;	Que j'artache par force une erteur de son âme;
Et que ie faſſe en fin qu’elle reuienne à ſoy, Et deſdaigne vn ſujet pour eſpouſer vn Roy.	Et que ici fasse en fin qu'elle revienne à soi, Et dédaigne un sujet pour épouser un Roi.
ui ſuit ſes paſſions eſt ſouuent excuſable:	Oui suit ses passions est souvent excusable:
Et qui ſuit la raiſon eſt touſiours eſtimable:	Et qui suit la raison est toujours estimable:
lui ſuit les deux, ſe void heureux en ſes deſirs, et recueille la glcite au milieu des plaiſits.	lui suit les deux, se voit heureux en ses désirs, et recueille la glcite au milieu des plaisits.
Surmontons le malheur par force ou par addreſſe, Pat valeur mon Riual, par deuoirs ma Princeſſe, Et ſans que le dépit tente ma gueriſon, uiuoni nos deux vainqueurs, l’amour, & la naiſan,	Surmontons le malheur par force ou par adresse, Pat valeur mon Rival, par devoirs ma Princesse, Et sans que le dépit ente ma guérison, y nos deux vainqueurs, l'amour, et la naisan,
ACTE QVATRIESME	ACTE QUATRIÈME
SCENE PREMIERE.	SCÈNE PREMIÈRE.
MIRAME.	MIRAME.
ALMIRE.	ÀLMIRE.
MIRAME.	MIRAME.
LMIRE, il eſt donc mort;	LMIRE, il est donc mort;
& ce cœur genreux 'a peu fouffrir les loix dvn fort ſi malbereux.	et ce cœur genreux 'a peu souffrir et ce ç fort si généreux.
Mais, Almite, eſt.	Mais, Almite, est.
il vray?	il vrai?
ALMIRE.	ÀLMIRE.
Ie n’ofois vour le dite;	Je n'ofois vour le dite;
Mais il eſt top ceraie.	Mais il est top ceraie.
MIRAME.	MIRAME.
Il eſt donc moit, Almite.	Il est donc moit, Almite.
Ab!	Ab!
quel éuttange effet de courage & d’amour!	quel éuttange effet de courage et d'amour!
Ie n’ay plus nen à perdie en ce funeſte lour.	Je n'ai plus nen à perdie en ce funeste lour.
Que tour dans l’Vnjuers s’abyſme & ſe confonde?	Que tour dans l'Univers s'abîme et se confonde?
Periſlent les humains, le Ciel, la Tetre, & l’Onde:	Périslent les humains, le Ciel, la Tentre, et l'Onde:
Rien ne puiſſe ſurulure à l’obiet de ma foy.	Rien ne puisse surulure à l'objet de ma foi.
Quoy!	Quoi!
la mort auroit pris mon Arimant ſans moy Ii ſetoit deſcendu dans la demeure ſombre, Ha l’aſtre de mes iours ne ſeroit plus qu'vnc ombrel Ah!	la mort aurait pris mon Arimant sans moi Ji sétait descendu dans la demeure sombre, Ha l'astre de mes jours ne serait plus qu'unc ombrel Ah!
ie ne le puis croire, Almire.	Ne ne le puis croire, Almire.
il n’eſt point mort.	il n'est point mort.
Nos deſtins ſont regis par vn ſemblable ſort.	Nos destins sont régis par un semblable sort.
n’a pas ſuccombé ſous la Parque inſolente, que i'eſtois ſa vie.	n'a pas succombé sous la Parque insolente, que j'étais sa vie.
& que ie ſuis viuante.	et que ici suis vivante.
ALMIRE.	ÀLMIRE.
eſt mort, ma Princeſſe.	est mort, ma Princesse.
MIRAME.	MIRAME.
Almire, Ie me meurs.	Almire, Je me meurs.
ALMIRE.	ÀLMIRE.
h Dieux!	h Dieux!
le cœur luy manque:	le cœur lui manque:
helas!	hélas!
que de malheurs!	que de malheurs!
MIRAME.	MIRAME.
lon, non il n’eſt point moits ie le voy qui s’approche.	lon, non il n'est point moits apprendre le vois qui s'approche.
t ſon charmant abord fendroit vn cœur de ioche, m’inuoque, il m’adore, il ſe met à genoux.	t son charmant abord fendrait un cœur de joche, m'invoque, il m'adore, il se met à genoux.
iel reſpect?	jel respect?
quelle grace?	quelle grâce?
Arimant, leuez vous.	Arimant, levez -vous.
ALMIRE.	ÀLMIRE.
Ielas!	Jélas!
pauure Princeſſe, elle ſemble inſenſée.	pauvre Princesse, elle semble insensée.
eur entietien paſſé reuient en ſa penſée.	eur entiétien passé revient en sa pensée.
MIRAME.	MIRAME.
Ilmire, vois-tu pas ſon amoureux tranſport?	Ilmire, vois-tu pas son amoureux transport?
es yeux vifs & perçans?	es yeux vifs et perçants?
non, non, il n’eſt pas mott m'écoute, il me parle, il dit que ſon armée ſt de mes volontez ſeulement animée.	non, non, il n'est pas mott m'écoute, il me parle, il dit que son armée st de mes volontés seulement animée.
eſt pour moy qu’il veut vaincre;	est pour moi qu'il veut vaincre;
il ne peut dire adieu;	il ne peut dire adieu;
Mais de peur que le iour le deſcouure en ce lieu, l ſe faut setirer:	Mais de peur que le jour le découvre en ce lieu, l ' faut setirer:
ah!	ah!
que ſon cœur endure!	que son cœur endure!
a t’en, cher Arimant, vat'en, ie t’en conjure.	a -t-en, cher Arimant, vaten, Elle t'en conjure.
niens-iu qu’il me dit, ſe fondant tout en pleurs, t le veux.	niens-ju qu'il me dit, se fondant tout en pleurs, t ie veux.
il le faut, i'obeis, mais ie meais.	il le faut, j'obéis, mais ainsi meais.
ALMIRE.	ÀLMIRE.
Dieux!	Dieux!
quel urouble d’eſprit?	quel urouble d'esprit?
MIRAME.	MIRAME.
Il teuient, chere Almire, On l’ameine captif:	Il teuient, chère Almire, On l'amène captif:
il ne ſçait que me dire.	il ne sais que me dire.
O pitoyable objet!	Ô pitoyable objet!
il dit qu’il veut mourir, Pour n’auoir peu pour moy ny vaincre ny perir.	il dit qu'il veut mourir, Pour n'avoir peu pour moi ici vaincre ni périr.
Viuez, cher Atimant, ſans vous je ne puis viure.	Vivez, cher Atimant, sans vous je ne puis vivre.
Ou bien ſi vous moutez ie ſçauray bien vous ſuiure.	Ou bien si vous moutez ici saurai bien vous suivre.
Il ſe reſout en fin dans vn ſi triſte ſort.	Il se résout en fin dans un si triste sort.
Il me promet de viure, Almire.	Il me promet de vivre, Almire.
il n’eſt point mon.	il n'est point mon.
ALMIRE.	ÀLMIRE.
Helus!	Hélus!
fut il bien vray :	fut -il bien vrai :
mais voſtre reſuerie Vous repreſente en vain ce qui n’eſt plus en vie.	mais votre rêverie Vous représente en vain ce qui n'est plus en vie.
MIRAME.	MIRAME.
Quoy je reſue ?	Quoi je rêve ?
il n’eſt plus ?	il n'est plus ?
hé!	hé!
qui l'a fait mourir!	qui l'a fait mourir!
ALMIRE.	ÀLMIRE.
In vous perdant de veuë il a voulu petir.	In vous perdant de vue il a voulu petir.
Sçachant qu’on l’emmenoit loin de voſtre preſence, Que de vous voir iamais il perdoit l’eſperance, Il a voulu mourir, ne pouuant vois le iour S’il ne voyoit encor l’obiet de ſon amour.	Sachant qu'on l'emmenait loin de votre présence, Que de vous voir jamais il perdait l'espérance, Il a voulu mourir, ne pouvant vois le jour S'il ne voyait encor l'objet de son amour.
Reſté ſeul en ſa chambre auec vn ſien eſclaue, Voy, dir il, à quel point la fortune me braue.	Resté seul en sa chambre Roi un sien esclave, Vois, dir il, à quel point la fortune me brave.
Sauue moy de ſes mains.	Sauve -moi de ses mains.
Aicas, je veux mourir.	Aicas, je veux mourir.
D'vn ſeul coup, cher Arcas, tu me peux ſecoutir.	D'un seul coup, cher Arcas, tu me peux secoutir.
Deſrobe aux ennemis la moirié de leur gloire.	Desrobe aux ennemis la moirié de leur gloire.
Retianche leurs lauriers, partage leut victoire.	Rianche leurs lauriers, partage lut victoire.
Ils me veulent viuant, oſte-leur ce butin;	Il me veulent vivant, ôte-leur ce butin;
Et ſauuant mon honneur acheue mon deſtin.	Et sauvant mon honneur achève mon destin.
Qu’à ce noble deſſein ta main ſoit occupée.	Qu'à ce noble dessein ta main soit occupée.
Tu vois que par honneur ils m’ont laiſſé l’eſpée.	Tu vois que par honneur ils m'ont laissé l'épée.
Preu la, fay qu’elle ſerue à ſauuer mon honneur.	Préu la, fais qu'elle serve à sauver mon honneur.
Frape, garde pourtant de touchet à mon cœur, A ce cœur inuincible, à ce cœur tout de flame, De crainte de fraper l’image de Mirame.	Frappe, garde pourtant de touchet à mon cœur, À ce cœur invincible, à ce cœur tout de flamme, De crainte de frapper l'image de Mirame.
Puis quand ta main filelle aura fait ſon deuoir.	Puis qu' a main filelle aura fait son devoir.
Va t’en trouuer Almire, & luy fais tout ſçauoir.	Va t'en trouver Almire, et lui fais tout savoir.
Ayant dit ſon deſir.	Ayant dit son désir.
l’eſclaue l’effectuë, Il tegarde l’eſpée, il la tire, il le tuë.	l'esclaue l'effectue, Il tegarde l'épée, il la tire, il le tue.
Ah Dieux!	Ah Dieux!
MIRAME.	MIRAME.
ALMIRE.	ÀLMIRE.
Lors tout tremblant il eſt venu vers moy.	Lors tout tremblant il est venu vers moi.
l m'a fait ce recit, puis tournant contre ſoy e fer encor ſanglant, pour ne le pas ſutuiure, eſt percé le cœur, diſant je le vay ſuiure.	 l'a fait ce récit, puis tournant contre soi e fer encor sanglant, pour ne le pas sutuivre, est percé le cœur, disant je le vais suivre.
1 MIRAME.	1 MIRAME.
Atimant eſt donc mort?	Atimant est donc mort?
ALMIRE.	ÀLMIRE.
N'eſperant plus vous voir.	N'espérant plus vous voir.
MIRAME.	MIRAME.
Donc ne le voyant plus, mourir eſt mon deuoir.	Donc ne le voyant plus, mourir est mon devoir.
ALMIRE.	ÀLMIRE.
iuez pour luy pluſtoſt.	juez pour beau plutôt.
MIRAME.	MIRAME.
