A TRES-NOBLE ET ES-VERTVEVSE Damoyſelle Eleonor Febronie, Comteſſe de Berne.	À TRÈS-NOBLE ET ES-VERTUEUSE Damoiselle Eleonor Fébronie, Comtesse de Berne.
Et ceſt de ta ſouffrance, que proce procedent toutes mes douleurs.	Et cet de ta souffrance, que procé dent toutes mes douleurs.
THISBE'.	THISBE'.
Pourquoy me veux tu rauir la gionede mes touimens.	Pourquoi me veux tu ravir la gionede mes touiments.
PYRAME.	PYRAME.
Parce qu’elle n’eſt deuë qu’à ma conſtance, ayant aſſez de courage poummauteey cetes maua;	Parce qu'elle n'est due qu'à ma constance, ayant assez de courage poumautein cette maua;
& mes peines.	et mes peines.
THISBE' He;	THISBE' He;
quoy l’amour reciproque que nous nous ſommes voüeë, ne t’a-elle pas encore appris que cõme mon ennuy te faict ſoupirer, ta triſteſſe eſt la cauſe de mes larmes?	quoi l'amour reciproque que nous nous sommes vue, ne t'a-elle pas encore appris que comme mon ennui te fait soupirer, ta tristesse est la cause de mes larmes?
Adieu, le Temps s’eſcouic ir doucement en ta copagnie, qu’à peine puis-ie croire, qu’il y ayt vn moment que nous parlons enſemble.	Adieu, le Temps s'écouic ir doucement en ta copagnie, qu'à peine puis-je croire, qu'il y ait un moment que nous parlons ensemble.
PYRAME.	PYRAME.
Adieux puis que tu le ve mais ſouuienne toy que ie ne t bhleray laiais.	Adieux puis que tu le ve mais souvienne toi que deux ne t hlerai lai.
THISBE'.	THISBE'.
Adieu puis qu’il le faut, & p ſe touſiours, que tu es ma ſe penſee.	Adieu puis qu'il le faut, et p se toujours, que tu es ma se pensée.
PYRAME.	PYRAME.
Quand te verray-ie.	Quand te verrai-je.
TIIIODE.	TIIIODE.
Demain.	Demain.
PYRAME.	PYRAME.
Le terme eſt bien-long.	Le terme est bien-long.
THISBE'.	THISBE'.
Accourcis le tant que tu v di	Accourcis le tant que tu v ais
PYRAME.	PYRAME.
Ce ſera donc dans vne heure.	Ce sera donc dans une heure.
THISBE'.	THISBE'.
Et pluſtoſt ſi ie puis.	Et plutôt si belle puis.
YRAME.	YRAME.
Amours fauoriſe nos tiepriſes puis que tu es le Dieu dé nos autels.	Amours favorise nos tièprises puis que tu es le Dieu de nos autels.
SCE	SCE
SCENE III.	SCÈNE III.
SYLLAR, DEVXIS, PYRAME.	SYLAR, DEUXIS, PYRAME.
SYLLAR.	SYLAR.
I tu veux eſtre compagno ens du peril, ie ce feray part d ma fortune.	I tu veux été compagno ens du péril, je ce ferai part d ma fortune.
DEVXIS.	DEUXIS.
noclmomnouonla plas que peril, ie crains la honte autant qu la peine.	noclomnouonla plas que péril, Elle crains la honte autant qu la peine.
SYLLAR.	SYLAR.
Tu as trop de conſideratior pour vn miſerable.	Tu as trop de considératior pour un misérable.
DEVXIS.	DEUXIS.
Et tu en as trop peu pour mal-heureux.	Et tu en as trop peu pour malheureux.
SYI	SYI
SILLAR.	SILAR.
C’eſt le mal-heur où ie ſuis qui me donne le courage.	C'est le malheur où tu suis qui me donne le courage.
EVEIS.	EUEIS.
Et c’eſt luy meſme qui me l’oſte	Et c'est lui -même qui me l'ôte
SILLAR As tu peur de mourir?	SILAR As tu peur de mourir?
DEVXIS.	DEUXIS.
Ouy coupable.	Oui coupable.
ILLAR.	ILLAR.
46 Crois-tu euiter le deſtin	46 Crois-tu éviter le destin
DEVXIS, Ie ne m’enquiers pas du pouuoirdes Deſtinees:	DEUXIS, Je ne m'enquiers pas du pouvoirdes Destinées:
mais i’ay la liberté de faire le bien, ou le mal.	mais j'ai la liberté de faire le bien, ou le mal.
SYLLAR.	SYLAR.
Eſt Eſt-ce mal faict d’obeïr à ne Souuerains?	Est Est-ce mal fait d'obéir à ne Souverains?
ADCIE DEVXIS.	ADCIE DEUXIS.
Ouy, lors que leurs command mens ſont iniuſtes & tyranniques	Oui, lors que leurs command mens sont injustes et tyranniques
SYLLAR.	SYLAR.
Vn ſubiet ne doit iamais raiſon nomicoſnuabronté abſe lue fait les Loix inuiolables.	Un sujet ne doit jamais raison nomicosnuabronté abaisse fait les Lois inviolables.
DEVXIS.	DEUXIS.
A quoy nous ſert donc la raiſot en la cognoiſſance du mal?	À quoi nous sert donc la raisot en la connaissance du mal?
SYLLAR.	SYLAR.
A nous perſuader de le ſuiur dans noſtre ſeruitude, par obeï ſence.	À nous persuader de le suivr dans notre servitude, par obéi sence.
DEVXIS.	DEUXIS.
La Raiſon ne peut eſtre contra re à elle meſme.	La Raison ne peut être contra re à elle -même.
SYLLAR.	SYLAR.
Ne parlons point de la Raiſon, puis que nous ſommes engagez ſi aeant, il vaut mieux eſprouuer la liberalité du Roy que ſa cholere.	Ne parlons point de la Raison, puis que nous sommes engagez si aeant, il vaut mieux éprouver la libéralité du Roi que sa cholère.
1 4	1 4
DEVXIS.	DEUXIS.
Vne mort innocente eſt preferaple à vne viecramnene, quelque fortune qui l’accompagne.	Une mort innocente est preferaple à une viecramène, quelque fortune qui l'accompagne.
SYLLAR.	SYLAR.
Les Roys font les innocens, & les coulpables, quand il leur plait	Les Rois font les innocents, et les coulpables, quand il leur plaît
DEVXTS.	DEUXTS.
La conſcience eſt touſiours noſtre luge.	La conscience est toujours notre luge.
SYLLAR.	SYLAR.
Nous ne ſommes qu'inſtr umens de de la Paſſion d’autruy, le crime de nos actions rejalira ſur celuy qu 1 atnacoxnpilces	Nous ne sommes qu'instr uments de de la Passion d'autrui, le crime de nos actions rejalira sur celui qu 1 atnacoxpilces
DEVXIS.	DEUXIS.
Tu me tentes ſi puiſſamment que ie ſuis contraint de me ren dre, mettons la main à l’œuure.	Tu me tentes si puissamment que je suis contraint de me ren dre, mettons la main à l'œuvre.
SYLLAR.	SYLAR.
Il faut attendre icy la proye pou la guetter au paſſage;	Il faut attendre ici la proie pou la guetter au passage;
Mais ie la voy qui vient droit à nous, coura ge compagnon.	Mais ici la vois qui vient droit à nous, coura g compagnon.
PYRAME.	PYRAME.
Pla tialitres, ie vous Icray por ter par aduance la peine de voſtre crime.	Pla tialitres, Seigneur vous Icrai por ter par avance la peine de votre crime.
11	11
DEVXIS.	DEUXIS.
Ie ſuis mort, ô Dieux que vous eſtes eſtes iuſtes en la punition des coupables!	Je suis mort, ô Dieux que vous êtes estes justes en la punition des coupables!
2.	2.
PYRAME.	PYRAME.
Perfide croyois-tu euiter leur vengeance.	Perfide croyais-tu éviter leur vengeance.
2	2
DEVXIS.	DEUXIS.
Donne moy la liberté auant quutdunnue te uite re lujet de mon malheur, & de ta diſgrace.	Donne -moi la liberté avant quutdunnue te uite re vjet de mon malheur, et de ta disgrâce.
PYRAME.	PYRAME.
Quel pretexte peu tu prendre, pour authoriſer ta meſchanceté, parle deſloyal.	Quel prétexte peu tu prendre, pour autoriser ta méchanceté, parle déloyal.
DEVXIS.	DEUXIS.
Tu ſçauras que le Roy nous auoit commandé de te tuer, ne voulant point auoir de riual en ſes paſſions, tire ton profit de ma perte.	Tu sçauras que le Roi nous avait commandé de te tuer, ne voulant point avoir de rival en ses passions, tire ton profit de ma perte.
Ie meurs content de te ſauuer la vie, apres te l’auoir voulu rauir.	Je meurs content de te sauver la vie, après te l'avoir voulu ravir.
PYRAME.	PYRAME.
O Dieux, où trouueray-ie vn abry a l’eſpreuue de voz foudres?	Ô Dieux, où trouverai-je un abri a l'épreuve de vocés foudres?
car les Roys ſont les Dieux de la terre, auec quelles armes me deffendray-ie contre leur force indomptable, il faut ſonger à ma retraite.	car les Rois sont les Dieux de la terre, avec quelles armes me défendrai-je contre leur force indomptable, il faut songer à ma retraite.
Ie coniure Pluton par les charmes de l’amour, dont il a autresfois eſpreuué la P'uiſſance, d’eſtre fauorable à ton ombre.	Je conjure Pluton par les charmes de l'amour, dont il a autrefois espreuué la P'uissance, d'être favorable à ton ombre.
ACTE	ACTE
ACTE TROISIESME LE ROY, SYLLAR, THISBE;	ACTE -TROISIÈME LE ROY, SYLAR, THISBE;
ſa Mere, Pyrame, & Narbal ſon Pere.	sa Mère, Pyrame, et Narbal son Père.
LE ROY.	LE ROY.
E meurs d’impatience de  ſçauoir le ſuccez de mes commandemens.	E meurs d'impatience de savoir le succès de mes commandements.
SCHENE.	SCHENE.
I.	I.
LE ROY, SYLLAR, ET THISBE'.	LE ROY, SYLLAR, ET THISBE.
E 2	 2
SYLLAR.	SYLAR.
Sire i’apporte des triſtes nouuenes à vortre ſvraſeſte.	Sire j'apporte des tristes nouvenes à vortre svraseste.
LE ROY.	LE ROY.
Comment vit-il encore.	Comment vit-il encore.
YLLAR.	ILAR.
Tout le peuple s’eſt rangé de ſon coſté pour ſa deffence, mon compagnon y eſt demeuré ſur la place, & à peine ay ie peu me ſauuer à la fuite.	Tout le peuple s'est rangé de son côté pour sa défense, mon compagnon y est demeuré sur la place, et à peine a ie peu me sauver à la fuite.
LE ROY.	LE ROY.
A quoy me ſeruent mon ſceptre & ma couronne, ſi ie ſuis contraint de receuoir la loy de mes ſujets, ſouffriray-ie ceſte honte?	À quoi me servent mon sceptre et ma couronne, si tu suis contraint de recevoir la loi de mes sujets, souffrirai-je cette honte?
le veux faire voir ce que peut vn Roy en ſa cholere.	le veux faire voir ce que peut un Roi en sa cholère.
Mais auant que me por porter à ceſte extremité, il faut ſuiure vne derniere fois les conſeils de l’Amour.	Mais avant que me por porter à cette extrémité, il faut suivre une dernière fois les conseils de l'Amour.
Qu’on m’ameine icy ceſte cruelle, qui tient inceſſamment mon eſprit & mon corps à la genne.	Qu'on m'amène ici cette cruelle, qui tient incessamment mon esprit et mon corps à la genne.
O que i’ay de la peine à contre faire le Souuerain, dans la ſeruitude où ie ſuis.	Ô que j'ai de la peine à contre faire le Souverain, dans la servitude où je suis.
Et bien ma belle, voulez vous viure touſiours coulpable du crime de leze majeAte, enttoubiancierepoe de voſtre Prince.	Et bien ma belle, voulez -vous vivre toujours coulpable du crime de leze majeAte, entoubiancièrepoe de votre Prince.
22 THISBE'.	22 THISBE.
2 Sire mes penſees ne cognoiſſent point le crime dont vous m’accuſez.	2 Sire mes pensées ne connaissent point le crime dont vous m'accusez.
Ie ſçay trop bien le reſpect, & l’obeyſſance, que ie doibs à voſtre Majeſté, pour en eſtre iamais conuaincuë.	Je sais trop bien le respect, et l'obéissance, que tu doibs à votre Majesté, pour en être jamais conuaincuë.
LE ROY.	LE ROY.
Vousmettez touſiours enauãt le reſpect & l’obeilsãce que vous me deuez, & vous ne parlez point de l’amour dont vous m’eſtes redeuable, & par raiſon, & par reuenche.	Vousmettez toujours enavant le respect et l'obéilsance que vous me devez, et vous ne parlez point de l'amour dont vous m'êtes redevable, et par raison, et par reuenche.
Vos affections me ſont plus agreables que vos reſpects, puis que ie prefere la qualité de voſtre Amant:	Vos affections me sont plus agréables que vos respects, puis que je préfère la qualité de votre Amant:
à celle de voſtre Roy.	à celle de votre Roi.
THISBE'.	THISBE'.
Sire les honneurs dont vous me comblez, ſont autant de preſages de mon infortune car en m’aymãt pous eſinez vne ciciaue qui na rien de libre que la langue pour publier ſa ſeruitude.	Sire les honneurs dont vous me comblez, sont autant de présages de mon infortune car en m'aimant pous esinez une ciciave qui na rien de libre que la langue pour publier sa servitude.
LE ROY.	LE ROY.
Ne ſçauray-ie point le nom de voſtre Geolier, pour diſputer auec luy le prix de voſtre conqueſte.	Ne sçauray-je point le nom de votre Geolier, pour disputer avec deux le prix de votre conquête.
THISBE'.	THISBE'.
Son triomphe termine toute ſoite ſorte de combats, & il ſe peut dire deſia vainqueur, puis que la foy que ie luy ay donnee de l’aymer vniquement, luy ſert de couronne.	Son triomphe termine toute soite sorte de combats, et il se peut dire déjà vainqueur, puis que la foi que ielui air donnée de l'aimer uniquement, Seigneur sert de couronne.
LE ROY.	LE ROY.
S’il n’a que voſtre foy pour marque de ſa victoire, il triomphera de ſa propre deffaicte, vn Roy ne peue auon qu'u Dleu pour Riual.	S'il n'a que votre foi pour marque de sa victoire, il triomphera de sa propre défaite, un Roi ne peue avon qu'u Dleu pour Rival.
THISBE'.	THISBE'.
Voſtre puiſſance Souueraine trouuera maintenant ſes limites dans mon courage, eſtant reſoluë de m’arracher pluſtoſt le cœur du ſein, que de le faire ſoupirer d’vne nouuelle paſſion.	Votre puissance Souveraine trouvera maintenant ses limites dans mon courage, étant résolue de m'arracher plutôt le cœur du sein, que de le faire soupirer d'une nouvelle passion.
LE ROY.	LE ROY.
Il faut vous laiſſer ietter par la bouche le feu qui vous deuore.	Il faut vous laisser jeter par la bouche le feu qui vous dévore.
pour ſauuer voſtre ame de l’embraſement.	pour sauver votre âme de l'embrasement.
Ie veux croire qu’elle me fera raiſon apres l’auoir recoudice.	Je veux croire qu'elle me fera raison après l'avoir recoudice.
CHISBE'.	CHISBE'.
Si ie croyois iamais recouurer la raiſon que l’amour m’a oſtee, toutes les morts du monde n’ont point aſſez d’horreur pour m’enporener de me laciiſſer à la ſatis- faction de moy meſme.	Si grands croyais jamais recouvrer la raison que l'amour m'a ôte, toutes les morts du monde n'ont point assez d'horreur pour m'enporener de me laciisser à la satî- faction de moi -même.
.	.
1 LE ROY.	1 LE ROY.
Ie n’en veux point à vous, ie ne ſçaurois me venger contre ce qui me touche de ſi pres, la teſte de Pyrame ſeruira de but aux traits de ma cholere.	Je n'en veux point à vous, ie ne saurais me venger contre ce qui me touche de si pres, la tête de Pyrame servira de but aux traits de ma cholère.
THISBE'.	THISBE'.
Si vous en voulez à luy, il vous faut faut prendre à moy:	Si vous en voulez à lui, il vous faut faut prendre à moi:
Car ayant fait eſchange de nos cœurs, il eſt ma vie, ie ſuis la ſienne.	Car ayant fait échange de nos cœurs, il est ma vie, tu suis la sienne.
LE ROY.	LE ROY.
Ie n’adiouſte pas foy aiſement aux miracles d’amour, les Miniſtres de mes volontez, ne ſont pas ſi aueugles de prendre l’ombre, pour le corps.	Je n'ajoute pas foi aisément aux miracles d'amour, les Ministres de mes volontés, ne sont pas si aveugles de prendre l'ombre, pour le corps.
THISBE'.	THISBE'.
Comment pourroit on bleſſer mon cœur, ſans que mon ame s’en reſſente.	Comment pourrait on blesser mon cœur, sans que mon âme s'en ressente.
Pyrame, & moy ne ſommes qu’vne meſme choſe.	Pyrame, et moi ne sommes qu'une même chose.
Ie deffie ta cruauté de faire mourir l’vn ſans l’autre.	Je défie ta cruauté de faire mourir l'H sans l'autre.
111 d2102	111 d2102
LE ROY.	LE ROY.
Pourquoy veux tu mourir à la veille de poſſeder toutes les felicitez du monde.	Pourquoi veux tu mourir à la veille de posséder toutes les félicités du monde.
le t’offie mon ſe ptre & ma couronne, en eſchang de ton cœur.	le t'offie mon se ptre et ma couronne, en échang de ton cœur.
THISBÉ.	THISBE.
Mon cœur n’eſt point à vendre, ny à donner, vn plus riche que toy & plus puiſſant le poſſede.	Mon cœur n'est point à vendre, ni à donner, un plus riche que toi et plus puissant le possède.
LE ROY.	LE ROY.
Commnent plus riene, & plus puiſſant?	Commnent plus riene, et plus puissants?
THISBE'.	THISBE'.
N’eſt-il pas plus riche que toy, ſi mon Amour, que tu n’auras iamlaioyerctomeuector, ee pius puilſant encore, puis qu’il te fait la loy, comme ton vainqueur.	N'est-il pas plus riche que toi, si mon Amour, que tu n'auras iamlaioyerctomeuector, ce pius puilsant encore, puis qu'il te fait la loi, comme ton vainqueur.
LE ROY.	LE ROY.
Tes diſcours trop hardis, aduan uancent de beaucoup l’heure de ſa mort, ie l’enuoyray bien toſt dans les enfers faires des nouuelles celqueleeor	Tes discours trop hardis, avan ancent de beaucoup l'heure de sa mort, toujours l'envoyrai bien tôt dans les enfers saires des nouvelles celqueléeor
T HLSBE'.	 TLSBE'.
Pyrame m’ayme trop, pour y aller ſans moy, ſon ombre attendra la mienne ſur le riuage, afin de paſſer enſemble le fleuue d’oubly.	Pyrame m'aime trop, pour y aller sans moi, son ombre attendra la mienne sur le rivage, afin de passer ensemble le fleuve d'oubli.
Noſtre amour ſe mocque de ta crliauté.	Notre amour se moque de ta criauté.
aa ace la Impudente tu me perds le reſpect	ala ace la Impudente tu me perds le respect
THISBE' Pourquoy perds tu la qualité de luſte qui te le faiſoit meriter;	THISBE' Pourquoi perds tu la qualité de luste qui te le faisait mériter;
La raiſon.	La raison.
HHSBE'.	HÉSBE'.
LE RO RIA Et pour qui me prens tu?	LE RO RIA Et pour qui me prends tu?
THISBE'.	THISBE'.
Pour vn Tyran.	Pour un Tyran.
14	14
LE ROY.	LE ROY.
11 Ie ſuis tel que tu me rends, & veux eſtre encore plus cruel les Tygres, en deuorant ton cœ & en deſchirant de mes prop mains tes entrailles.	11 Je suis tel que tu me rends, et veux être encore plus cruel les Tigres, en dévorant ton cœux et en déchirant de mes prop mains tes entrailles.
L 1	L 1
THISBE’.	THISBE'.
Si tu deuores mon cœur, tu pourras vanter de le poſſeder;	Si tu dévores mon cœur, tu pourras vanter de le posséder;
ma tu n’as garde d’enſeuelir ton enne my dans ton ſein, & d’ailleurs I l u.	ma tu n'as garde d'ensuelir ton enne mi dans ton sein, et d'ailleurs I l u.
ram rame eſt depeint au milieu;	ram rame est dépeint au milieu;
voudrois tu porter dans l’ame le portrait de ton Riual, fayce que tu voudras, quoy que ta cruauté me tue, Ie mounay d’amour.	voudrais -tu porter dans l'âme le portrait de ton Rival, fayce que tu voudras, quoi que ta cruauté me tue, Je mounai d'amour.
LE ROY.	LE ROY.
2 Ie reſſens en fin que les Dieux ſont touchez de la pitié de mes peines, puis que de toutes les paſſions celle de la colere me poſſede.	2 Je ressens en fin que les Dieux sont touchés de la pitié de mes peines, puis que de toutes les passions celle de la colère me possède.
Il faut que i’eſteigne mon feu dans les cendres de ce nouuel Amant, Syllar tu dois paracheuer l’ouurage.	Il faut que j'éteigne mon feu dans les cendres de ce nouvel Amant, Scyllar tu dois parachever l'ouvrage.
Va t’en demain l’enſeuelir dans ſon lict, noyant ſa vie dario roirlungs le ne veun plurque le Soleil me reproche ceſte honté d’auoir vn eſclaue pour Riual.	Va t'en demain l'ensévelir dans son lit, noyant sa vie dario roirlungs le ne veu plurque le Soleil me reproche cette honté d'avoir un esclave pour Rival.
SYLLAR.	SYLAR.
Iu l (3 O Sire i’ay touſiours le meſme ecourage courage, & le meſme deſir, pou executer les commandemens voſtre Majeſté, ie gage ma te quolt vous porceraj la nenne.	Ju l (3 Ô Ire j'ai toujours le même ecourage courage, et le même désir, pou exécuter les commandements votre Majesté, ie gage ma te quolt vous porcerajà la nenne.
LE ROY.	LE ROY.
lu tortune derpend de ſa mort	lu tortune derpend de sa mort
SCENE II.	SCÈNE II.
THRDIE ITRAME Thiſbé & ſa Mere Oronte.	THRDIE ITRAME Thisbé et sa Mère Oronte.
NARBAL.	NARBAL.
Y moy ingrat & deſloyal, de quel terme veux tu encore prolonger mes miſeres, ſeras tu touſiours egalement paſſioné apres ma perte, & ta ruine?	Y moi ingrat et déloyal, de quel terme veux tu encore prolonger mes misères, servas tu toujours également passioné après ma perte, et ta ruine?
PYRAME.	PYRAME.
Que voulez vous que ie deuienne, vous me commandez de n’obeir pas à vn Dieu, dont la puiſſance ſouueraine ne releue que d’elle meſme, que me ſert l’enuie de luy reſileu,mfomuy pas la force de le vaincre?	Que voulez -vous que Seigneur devienne, vous me commandez de n'obéir pas à un Dieu, dont la puissance souveraine ne relève que d'elle même, que me sert l'envie de rendre résileu,mfomuy pas la force de le vaincre?
NARBAL.	NARBAL.
Ie ſçay bien que tu ne manques point de pretexte en ton aueuglement pour l’authoriſer;	Je sais bien que tu ne manques point de prétexte en ton aveuglement pour l'autoriser;
Mais perfide quelle raiſon peux tu auoir de faire mourir celuy qui ra fait naiſtre?	Mais perfide quelle raison peux -tu avoir de faire mourir celui qui ra fait naître?
PIRAME.	PIRAME.
Ie ne cherche point de raiſon pour ſouſtenir vn crime, dont les reproches ſeulement me font rougir de honte dans mon innocenc Mais ſi mes ſouſpiis vous offet cent, il vous ſera bien plus aiſé m’arracher le cœur du ſein, q d’en effacer l’amour juer j’ay gra dete	Je ne cherche point de raison pour soutenir un crime, dont les reproches seulement me font rougir de honte dans mon innocenc Mais si mes soupiis vous offet cent, il vous sera bien plus aisé m'arracher le cœur du sein, q d'en effacer l'amour juer j'ai gra déte
NARBAL.	NARBAL.
Ie ne veux pas t’arracher le cœt du ſein;	Je ne veux pas t'arracher le cœt du sein;
mais le te veua oiter la fo lie de la teſte.	mais le te veua oiter la fo lie de la tête.
PYRAME.	PYRAME.
Ne ſçauez vous pas qu’ily a d folies dont on ne guerir iamais?	Ne savez -vous pas qu'ili a d folies dont on ne guérir jamais?
4 mienne eſt de ceſte nature, le ma en eſt incurable.	4 mienne est de cette nature, le ma en est incurable.
NARBAL.	NARBAL.
Le temps eſt vn ſçauant medecin, ie te veux faire eſprouuer le remede d’vne longue abſence.	Le temps est un sçauant médecin, on te veux faire éprouver le remède d'une longue absence.
PYR.	PYR.
PYRAME.	PYRAME.
Le Soleil eſt d’autant plus chaud qu’il eſt eſloigné de nous, de meſme vne grande beauté fait reſſentir de loing, pluſtoſt que de pres la puiſſance de ſes charmes.	Le Soleil est d'autant plus chaud qu'il est éloigné de nous, de même une grande beauté fait ressentir de loing, plutôt que de pres la puissance de ses charmes.
NARBAIG Eexperience du contraire eſt plus croyable que toy.	NARBAIG Eexpérience du contraire est plus croyable que toi.
PYRAME.	PYRAME.
Ie ne veux pas ſouſtenir qu’vne abſence ne puiſſe ruiner des petites affections;	Je ne veux pas soutenir qu'une absence ne puisse ruiner des petites affections;
mais vne parfaicte amour eſt à l’eſpreuue du Temps, du Malheur, & de la Mort.	mais une parfaite amour est à l'épreuve du Temps, du Malheur, et de la Mort.
NARBAL Le ſiecle de ces parfaicts Amans eſt paſsé.	NARBAL Le siècle de ces parfaits Amants est passé.
PYRAME.	PYRAME.
Vous vous pouuez vanter de l’auoir fait renaiſtre:	Vous vous pouvez vanter de l'avoir fait renaître:
car en me donnant la vie, vous m’auez donné vn cœur qui ſçait aymer parfai Stement.	car en me donnant la vie, vous m'avez donné un cœur qui sait aimer parfai Tement.
NARBAL.	NARBAL.
Ceſte perfection eſt vn vice en toy, puis qu’elle intereſſe mon repos.	Cette perfection est un vice en toi, puis qu'elle intéresse mon repos.
YRAME.	YRAME.
Comment pouuez vous blaſmer vn effect, dont vous eſtes la cauſe.	Comment pouvez -vous blâmer un effet, dont vous êtes la cause.
NARBAL.	NARBAL.
Et comment peun tu iouſtenir vn argument qui conclud à ma perte.	Et comment peun tu joutenir un argument qui conclud à ma perte.
PYRMMID.	PYRMID.
Ie prens les Dieux à teſmoing de mon ignocence.	Je prends les Dieux à témoing de mon ignocence.
NARBAL.	NARBAL.
Et moy ie les fais iuges de ma douleur,	Et moi ici les fais juges de ma douleur,
PYRAME.	PYRAME.
Si mon ſang la peut ſoulager, ſeruez lerdel vous de ce lelede.	Si mon sang la peut soulager, servez lerdel vous de ce cède.
NARBAL.	NARBAL.
Si mes larmes te peuuent toucher, ie ſuis guery.	Si mes larmes te peuvent toucher, on suis guéri.
YRAME.	YRAME.
Puis que l’eau caue la pierre, quom enaj le le cœui mancenant pour vous contenter.	Puis que l'eau cave la pierre, quom enaj le le cœui mancenant pour vous contenter.
NARBAL.	NARBAL.
La pitié anime les choſes inſenſibles, comment te peux tu deffendres, ayant vn cœur de chair	La pitié anime les choses insensibles, comment te peux tu défendrez, ayant un cœur de chair
PYRAME.	PYRAME.
L aiſiour ſe ponede, ie n’en ſuis plus le maiſtre.	 Laisjour se ponede, je n'en suis plus le maître.
Et c’eſt luy qui ſe deffend malgré moy, contre vous.	Et c'est beau qui se défend malgré moi, contre vous.
NARBAL.	NARBAL.
Voicy ceſte Megere accompagnee du Demon qui poſſede ce malheureux.	Voici cette Mègère accompagnée du Démon qui possède ce malheureux.
Pourquoy pertrttrez vous à voſtre fille de parler à ce ieune euenté.	Pourquoi pertrttrez -vous à votre fille de parler à ce jeune éventé.
Elle a beau employer ſes charmes pour luy donner de l’amour, i’aſſiſteray pluſtoſt ures ranetumes qua les nopces.	Elle a beau employer ses charmes pour lui donner de l'amour, j'assisterai plutôt ures ranétumes qua les noces.
ORONTE (MERE DE THISBÉ.	ORONTE (MERE DE THISBÉ.
Et vous Monſieur, pourquoy ſouffrez vous que voſtre fils ſuiue par tout ma fille, auec tant d’importunité, qu’elle a de la peine à s’en deffendre.	Et vous Monsieur, pourquoi souffrez -vous que votre fils suive par tout ma fille, avec tant d'importunité, qu'elle a de la peine à s'en défendre.
Ses pourſuittes ſont Inutiſles, le tombeau ſera l’eſpoux de Thiſoé, pluſtoſt que luy.	Ses poursuittes sont Inutisles, le tombeau sera l'époux de Thisote, plutôt que lui.
NARBAL.	NARBAL.
Que reſponds tu à ces reproches:	Que réponds tu à ces reproches:
combien de fois t’ay-je deflenuu d’entrer dans le logis de ceſte ancienne ennemie.	combien de fois t'ai-je déflenu d'entrer dans le logis de cette ancienne ennemie.
Parlez Monſieur l’amoureux.	Parlez Monsieur l'amoureux.
PYRAME.	PYRAME.
Ie confeſſe que vous me l’auez ſouuentesfois deffendu, Mais l’Amour me faiſoit perdre à meſme temps le ſouuenir de ces deffences:	Je confesse que vous me l'avez souventesfois défendu, Mais l'Amour me faisait perdre à même temps le souvenir de ces défens:
ces:	ces:
& apres m’auoir oſté la memoire, auſſi bien que la veué, il me conduiſoit la où il vouloit.	et après m'avoir ôté la mémoire, aussi bien que la vué, il me conduisait la où il voulait.
NARBAL.	NARBAL.
On ne doibt attendre d’vn fous que des folles reſponces.	On ne dois attendre d'un fous que des folles réponces.
ORONTHE.	ORONTHÉ.
Et vous Thiſbé, n’eſt-il pas vray que ie me ſuis miſe ſouuent en cholere contre vous, du ſoubçon ſeulement que i’auois, que vous cuſnez pariez à ryrame, Teuez la teſte, & reſpondez hardiment.	Et vous Thisbé, n'est-il pas vrai que deux me suis mise souvent en colère contre vous, du soubon seulement que j'avais, que vous cusnez pariez à rirame, Teuez la tête, et répondez hardiment.
THISBE'.	THISBE'.
La verité a touſiours precedé voſtre ſoubçon, ie luy ay parlé ſouuent, où pluſtoſt l’Amour par ma bouche.	La vérité a toujours précédé votre soubçon, ie lui ai parlé souvent, où plutôt l'Amour par ma bouche.
ORONTHE.	ORONTHÉ.
Voyés comme elle eſt effrontee, il fautque ie rougiſſe de ſa honte.	Voyez comme elle est effronté, il fautque ici rougisse de sa honte.
THISBE'.	THISBE'.
Pourquoy ſerois-je honteuſe d’aymer chaſtement vne perſonne qui le merite.	Pourquoi serais-je honteuse d'aimer chastement une personne qui le mérite.
ORONTHE.	ORONTHÉ.
La honte n’eſt pas attachee à l’affection, mais a la deffence que Ie vous en ay faicte.	La honte n'est pas attachée à l'affection, mais à la défense que Je vous en ai faite.
THISBE’.	THISBE'.
On ne peut pas deffendre à la volonté d’aymer le bien, & ſi la mienne n’en recognoit point d’au.	On ne peut pas défendre à la volonté d'aimer le bien, et si la mienne n'en reconnaît point d'au.
tre au monde que Pyrame;	tre au monde que Pyrame;
ne ſuis ie pas excuſable.	ne suis ici pas excusable.
ORONTHE.	ORONTHÉ.
Qu’elle manie la poſſede, elle ne ſe contente pas d’auoir failly, elle veut encore tirer vanité de ſa faute.	Qu'elle manie la possède, elle ne se contente pas d'avoir failly, elle veut encore tirer vanité de sa faute.
Quoy vous aymerez donc malgré moy Pyrame eternellement.	Quoi vous aimerez donc malgré moi Pyrame éternellement.
8	8
THISBE';	THISBE';
Ie ne penſe point en l’aymant de l’aymer malgré vous;	Je ne pense point en l'aimant de l'aimer malgré vous;
Car ie ne penſe iamais qu’à luy.	Car Ne ne pense jamais qu'à lui.
Mais s’il y a quelque affection eternelle, celle que ie luy ay vouee durera touſjours.	Mais s'il y a quelque affection éternelle, celle que ie ou ay voue durera toujours.
NARBAL.	NARBAL.
