ROBERT 1986	ROBERT 1986
CAMILLE.	CAMILLE.
Parlez plus ſainement de vos maux & des miens, Chacun voit ceux d’autruy d’vn autre œil que les ſiens, Mais à bien regarder ceux où le Ciel me plonge, Les voſtres auprés d’eux vous ſembleront vn ſonLa ſeule mort d’Horace eſt à craindre pour vous, Des freres ne ſont rien à l’égal d’vn eſpoux, L'Hymen qui nous attache en vne autre famille.	Parlez plus sainement de vos maux et des miens, Chacun voit ceux d'autrui d'un autre œil que les siens, Mais à bien regarder ceux où le Ciel me plonge, Les vos auprès d'eux vous sembleront vn sonLa seule mort d'Horace est à craindre pour vous, Des frères ne sont rien à l'égal d'être époux, L'Hymen qui nous attache en une autre famille.
Nous détache de celle où l’on a veſcu fille, On ne compare point des nœuds ſi differens, Et pour ſuiure vn mary l’on quitte ſes parens.	Nous détache de celle où l'on a vécu fille, On ne compare point des nœuds si différents, Et pour suivre un mari l'on quitte ses parents.
vrais ſi prés d’vn Hymeu l’amant que donne vi pere Nous eſt moins qu’vn eſpoux & non pas moius qu’vn frere, tos ſentiments entr’eux demeurent ſuſpendus, oſtre choix impoſſible, & nos vœux confondis.	vrais si prés d'un Hymu l'amant que donne vi ère Nous est moins qu'un époux et non pas moius qu'H frère, tos sentiments entr'eux demeurent suspendus, ôtre choix impossible, et nos vœux confondis.
Ainſi, ma ſœur, du moins vous auez dans vos plaintes, Où porter vos ſouhaits, & terminer vos craintes, Mais ſi le Ciel s’obſtine à nous perſecuter, Pour moy i’ay tout à craindre & rien ſouhaiter.	Ainsi, ma sœur, du moins vous avez dans vos plaintes, Où porter vos souhaits, et terminer vos craintes, Mais si le Ciel s'obstine à nous persécuter, Pour moi j'ai tout à craindre et rien souhaiter.
SABINE.	SABINE.
Quand il faut que l’vn meure, & par les mains de l’autre, C’eſt vn raiſonnement bien mauuais que le voſtre.	Quand il faut que l'un meure, et par les mains de l'autre, C'est un raisonnement bien mauvais que le vôtre.
Quoy que ce ſoient, ma ſœur, des nœuds bien differens, C’eſt ſans ſes oublier qu’on quitte ſes parens;	Quoi que ce soient, ma sœur, des nœuds bien différents, C'est sans ses oublier qu'on quitte ses parents;
L’Hymen n’efface point ces profonds caracteres, Pour aimer vn mary l’on ne hayt pas ſes freres, La nature en tout tẽps garde ſes premiers droits, Aux deſpens de leur vie on ne fait point de choix, Auſſi bien qu’vn eſpoux, ils ſont d’autres nousmeſmes, Et tous maux ſont pareils alors qu’ils ſont extrémes :	L'Hymen n'efface point ces profonds caractères, Pour aimer un mari l'on ne hait pas ses frères, La nature en tout temps garde ses premiers droits, Aux dépens de leur vie on ne fait point de choix, Aussi bien qu' Houx, ils sont d'autres nousmesmes, Et tous maux sont pareils alors qu'ils sont extrêmes :
Mais l’amant qui vous charme, & pour qui vous bruſſez Ne vous eſt apres tout que ce que vous voulez, Vne mauuaiſe humeur, vn peu de ialouſie Le peuuent mettre hors de voſtre fantaiſie, Ce qu’elles font ſouuent faites-le par raiſon, Et laiſſez voſtre ſang hors de comparaiſon, C’eſt crime qu’oppoſer des liens volontaires A ceux que lã naiſſance a rendu neceſſaires.	Mais l'amant qui vous charme, et pour qui vous brusez Ne vous est après tout que ce que vous voulez, Vaine mauvaise humeur, un peu de jalousie Le peuvent mettre hors de votre fantaisie, Ce qu'elles font souvent faites-le par raison, Et laissez votre sang hors de comparaison, C'est crime qu'opposer des liens volontaires A ceux que lu naissance a rendu nécessaires.
Si donc le Ciel s’obitine à nous perſecuter, Seule i’ay tout à craindre & rien à ſouhaiter, Mais pour vous, le deuoir vous donne dans vos plaintes Où porter vos ſouhaits & terminer vos craintes.	Si donc le Ciel s'obitine à nous persécuter, Seule j'ai tout à craindre et rien à souhaiter, Mais pour vous, le devoir vous donne dans vos plaintes Où porter vos souhaits et terminer vos craintes.
CAMILLE.	CAMILLE.
Ie le voy bien, ma ſœur, vous n’aimaſtes iamais, Vous ne cõnoiſſez point ny l’Amour ny ſes traits.	Je le vois bien, ma sœur, vous n'aimâtes jamais, Vous ne cõnoissez point ni l'Amour toujours ses traits.
On peut luy reſiſter quand il commence à naiſtre, Mais non pas le bannir quand il s’eſt rendu maïſtre, Et que l’adueu d’vn pere engageant noſtre foy A fait de ce Tyran vn legitime Roy, Il entre auec douceur, mais il regne par force, Et quand l’ame vne fois a gouſté ſon amorce, Vouloir ne plus aymer c’eſt ce qu’elle ne peut, Puiſqu’elle ne peut plus vouloir que ce qu’il veut;	On peut autre résister quand il commence à naître, Mais non pas le bannir quand il s'est rendu maître, Et que l'aveuqu'un père engageant notre foi A fait de ce Tyran un légitime Roi, Il entre un douceur, mais il règne par force, Et quand l'âme une fois a gousté ne plu, Aimer c' est ce qu'elle ne qu’ elle ne peut, Puisquelle ne peut plus vouloir que ce qu'il veut;
ses chaines ſont pour nous aum fortes que belles.	ses chaines sont pour nous aum fortes que belles.
SCENE V.	SCÈNE V.
Le vieil HORACE, SABINE, CAMILLE.	Le vieil HORACE, SABINE, CAMILLE.
Le vieil HORACE.	Le vieil HORACE.
E viens vous apporter de faſcheuſes nouuelles, LMes filles, mais en vain ie voudrois vous celer Ce qu’on ne vous ſçauroit long.	E viens vous apporter de fâcheuses nouvelles, LMes filles, mais en vain On voudrais vous celer Ce qu'on ne vous saurait long.
temps diſſimuler, Vos freres ſont aux mains, les Dieux ainſi l’ordonnent.	temps dissimuler, Vos frères sont aux mains, les Dieux ainsi l'ordonnent.
SABINE.	SABINE.
Ie veux bien l’aduoüer, ces nouuelles m’eſtõnent, Et ie m’imaginois dans la diuinité Beaucoup moins d’iniuſtice, & bien plus de bõté.	Je veux bien l'avouer, ces nouvelles m'estõnent, Et belle m'imaginois dans la divinité Beaucoup moins d'injustice, et bien plus de bõté.
Ne nous conſolez point, la raiſon importune Quand elle oſe combatre vne telle infortune, Nous auons en nos mains la fin de nos douleurs, Qui peut vouloir mourir, peut brauer les malheurs.	Ne nous consolez point, la raison importune Quand elle ose combattre un telle infortune, Nous avons en nos mains la fin de nos douleurs, Qui peut vouloir mourir, peut braver les malheurs.
Nous pourrions aiſément faire en voſtre preſence De noſtre deſeſpoir vne fauſſe conſtance Mais quãd on peut ſans honte eſtre ſans fermeté, La vouloir contrefaire eſt vne laſcheté, L’vſage d’vn tel art nous le laiſſons aux hommes, Et ne voulõs paſſer que pour ce que nous ſommes.	Nous pourrions aisément faire en votre présence De notre désespoir un fausse constance Mais quand on peut sans honte été sans fermeté, La vouloir contrefaire est quelque lâcheté, L'usage d'un tel art nous le laissons aux hommes, Et ne voulons passer que pour ce que nous sommes.
Nous ne demandons point qu’vn courage ſi fort S’abaiſſe à noſtre exemple à ſe plaindre du ſort;	Nous ne demandons point qu’vn courage si fort S'abaisse à notre exemple à se plaindre du sort;
Receuez ſans fremir ces mortelles alarmes, Voyez couler nos pleurs ſans y meſler vos larmes, En ſin pour toute grace en de tels deſplaiſirs, Gardez voſtre conſtance & ſouffrez nos ſouſpirs.	Recevez sans frémir ces mortelles alarmes, Voyez couler nos pleurs sans y mêler vos larmes, En sin pour toute grâce en de tels déplaisirs, Gardez votre constance et souffrez nos soupirs.
Le vieil HORACE.	Le vieil HORACE.
Loin de blaſmer les pleurs que ie vous voy reſpandre Ie croy faire beaucoup de m’en pouuoir defẽdre, Et cederois peut-eſtre à de ſi rudes coups Si ie prenois icy meſine intereſt que vous.	Loin de blâmer les pleurs que je vous vois répandre Je crois faire beaucoup de m'en pouvoir défendre, Et céderais peut-être à de si rudes coups Si tu prenais ici mes intérêt que vous.
Non qu’Albe par ſon choix m’ait fait hayr vos freres, Tous trois me ſont encor des perſonnes bien cheres, Mais en fin l’amitié n’eſt pas du meſme rang, Et n’a point les effets de l’amour ny du ſang.	Non qu'Albe par son choix m'ait fait haïr vos frères, Tous trois me sont encor des personnes bien chères, Mais en fin l'amitié n'est pas du même rang, Et n'a point les effets de l'amour ni du sang.
Ie ne ſens point pour eux la douleur qui tourmẽte Sabine comme ſœur, Camille comme amante, Ie puis les regarder comme nos ennemis, Et donne ſans regret mes ſouhaits à mes fils.	Je ne sens point pour eux la douleur qui tourment Sabine comme sœur, Camille comme amante, Je puis les regarder comme nos ennemis, Et donne sans regret mes souhaits à mes fils.
Ils ſont, graces aux Dieux, dignes de leur patrie, Aucun eſtonnement n’a leur gloire fleſtrie, Et i’ay veu leur honneur croiſtre de la moitié, Quand ils ont des deux camps refuſé la pitié.	Ils sont, grâces aux Dieux, dignes de leur patrie, Aucun étonnement n'a leur gloire flétrie, Et j'ai vu leur honneur croître de la moitié, Quand ils ont des deux camps refusé la pitié.
Si par quelque foibleſſe ils l’auoient mandiée, Si leur haute vertu ne l’eurt fepuuiée, M'a main bien-toſt ſur eux m’euſt vangé hautement De l’affront que m’euſt fait ce mol conſentement- Mais lors qu’en deſpit d’eux on en a voulu d’autres,	Si par quelque faiblesse ils l'avaient mandiée, Si leur haute vertu ne l'eurt fepuuiée, M'a main bientôt sur eux m'eût vengé hautement De l'affront que m'eût fait ce mol consentement- Mais lors qu'en dépit d'eux on en a voulu d'autres,
Je ne le cele point, i’ay joint mes vœux aux voſtres, Si le ciel pitoyable euſt eſcouté ma voix, Albe ſeroit reduite à faire vn autre choix, Nous pourrions voir tantoſt triompher les Horaces, Sans voir leurs bras ſoüillez du sãg des Curiaces, Et de l’euenement d’vn combat plus humain Dependroit maintenant l’honneur du nom Romain.	Je ne le cèle point, j'ai joint mes vœux aux vôtres, Si le ciel pitoyable eût écouté ma voix, Albe serait réduite à faire un autre choix, Nous pourrions voir tantôt triompher les Horaces, Sans voir leurs bras soüillez du song des Curiaces, Et de l'événement d'un combat plus hum Dependroit maintenant l'honneur du nom Romain.
La prudence des Dieux autrement en diſpoſe.	La prudence des Dieux autrement en dispose.
Sur leur ordre eternel mon eſprit ſe repoſe.	Sur leur ordre éternel mon esprit se repose.
Il s’arme en ce beſoin de generoſité, Et du bon-heur public fait ſa felicité.	Il s'arme en ce besoin de générosité, Et du bonheur public fait sa félicité.
Taſchez d’en faire autant pour ſoulager vos peines, Et ſongez toutes deux que vous eſtes Romaines, Vous l’eſtes deuenuë, & vous l’eſtes encor:	Tâchez d'en faire autant pour soulager vos peines, Et songez toutes deux que vous êtes Romaines, Vous l'êtes devenue, et vous l'êtes encor:
Vn ſi glorieux tiltre eſt vn digne threſor, Vn iour, vn iour viendra que par toute la terre ſtonie le fert craindre à l’égal du tonnerre, Et que tout l’Vniuers tremblant deſſous ſes loix, Ce grand nom deuiendra l’ambition des Rois;	Un si glorieux titre est un digne tor, Viendra iour, un jour viendra que par toute la terre stonie le sert craindre à l'égal du tonnerre, Et que tout l'Univers tremblant dessous ses lois, Ce grand nom deviendra l'ambition des Rois;
Les Dieux à noſtie Mnee ont promis cette gloire.	Les Dieux à nostie Mnee ont promis cette gloire.
SCENE VI.	SCÈNE VI.
Le vieil HORACE, SABINE, GAMILLE, IVEIE.	Le vieil HORACE, SABINE, GAMILLE, IVEIE.
Le vieil HORACE.	Le vieil HORACE.
Ous venez vous, Iulie, apprendre la victoire?	Ous venez -vous, Julie, apprendre la victoire?
IVLIE.	IVLIE.
Mais pluſtoſt du combat les funeſtes effets, Rome eſt ſujette d’Albe, & vos fils ſont deffaits, Des trois les deux ſont morts, ſon époux ſeul vous reſte.	Mais plutôt du combat les funestes effets, Rome est sujet d'Albe, et vos fils sont défaits, Des trois les deux sont morts, son époux seul vous reste.
Le vieil HORACE.	Le vieil HORACE.
O d’vn triſte combat effet vrayement funeſte!	Ô d'un triste combat effet vraiment funeste!
Rome eſt ſujette d’Albe, & pour l’en garantir Il n’a pas employé iuſqu’au dernier ſoupir!	Rome est sujet d'Albe, et pour l'en garantir Il n'a pas employé jusqu'au dernier soupir!
Non non, cela n’eſt point, on vous trompe, Iulie, Rome n’eſt point ſujette, ou mon fils eſt ſans vie, Ie cognois mieux mon ſang, il ſçait mieux ſon deuoir.	Non non, cela n'est point, on vous trompe, Julie, Rome n'est point sujet, ou mon fils est sans vie, Je connais mieux mon sang, il sait mieux son devoir.
IVLIE.	IVLIE.
Miilie de nos fampars comme moy l’ont pũ voir.	Miilie de nos famarts comme moi l'ont pun voir.
Il s’eſt fait admirer tant qu’ont duré ſes freres, Mais comme il s’eſt veu ſeul contre trois aduerſaires, Preſt d’eſtre enfermé d’eux ſa fuite l’a ſauué.	Il s'est fait admirer tant qu'ont duré ses frères, Mais comme il s'est vu seul contre trois adversaires, Prêt d'être enfermé d'eux sa fuite l'a sauvé.
Le vieil HORACE.	Le vieil HORACE.
Et nos ſoldats trahis ne l’ont pas acheué!	Et nos soldats trahis ne l'ont pas achevé!
Dans leurs rangs à ce laſche ils ont dõné retraite!	Dans leurs rangs à ce lâche ils ont dõné retraite!
VLIE.	VLIE.
Ie n’ay rien voulu voir apres cette défaite,	Je n'ai rien voulu voir après cette défaite,
O mes fieres !	Ô mes fières !
CAMILLE.	CAMILLE.
Le vieil HORACE.	Le vieil HORACE.
Tout beau, ne les pleurez pas tous, Deux iouyſſent d’vn ſort dont le pere eſt jaloux, Que des plus nobles fleurs leur tombe ſoit couuerte, La gloire de leur mort m’a payé de leur perte, Ce bon-heur a ſuiuy leur courage inuaincu Qu’ils ont veu Rome libre autant qu’ils ont veſcu, Et ne l’auront point veuë obeyr qu’a ſon Prince, Ny d’vn Eſtat voiſin deuenir la Prouince.	Tout beau, ne les pleurez pas tous, Deux jouissent d'ils sort dont le père est jaloux, Que des plus nobles fleurs leur tombe soit couverte, La gloire de leur mort m'a payé de leur perte, Ce bonheur a suivi leur courage invaincu Qu'ils ont vu Rome libre autant qu'ils ont vécu, Et ne l'auront point vue obéir qu'a son Prince, Ni d'un État voisin devenir la Province.
Pleurez l’autre.	Pleurez l'autre.
pleurez l’irreparable affront Que ſa fuite honteuſe imprime à noſtre front, Pleurez le desnonneur de toute noſtre race, Et l’opprobre eternel qu’il laiſſe au nom d’Horace	pleurez l'irréparable affront Que sa fuite honteuse imprime à notre front, Pleurez le dénonneur de toute notre race, Et l'opprobre éternel qu'il laisse au nom d'Horace
IVLIE.	IVLIE.
Qye vouliez vous qu’il fiſt contre trois?	Qie vouliez -vous qu'il fît contre trois?
Le vieil HORACE.	Le vieil HORACE.
Qu’il mouruſt, Ou qu'vn beau deſeſpoir alors le ſecouruſt:	Qu'il mourût, Ou qu'une beau désespoir alors le secourût:
N’euſt-il que d’vn moment reculé ſa deffaite, Rome euſt eſté du moins vn peu plus tard ſujetté, Il euſt auec honneur laiſſé mes cheueux gris, Et c’eſtoit de ſa vie vn aſſez digne prix.	N'eût-il que d'était ici réculé sa défaite, Rome eût été du moins un peu plus tard sujeté, Il eût toujours honneur laissé mes cheveux gris, Et c'était de sa vie un assez digne prix.
I l’eſt de tout ſon ſang comptable à ſa patrie, Chaque goute eſpargnée a ſa gloire fleſtrie, Chaque inſtant de ſa vie apres ce laſche tour, Met dautant plus ma honte auec la ſienne au iour.	I l'est de tout son sang comptable à sa patrie, Chaque goute épargnée a sa gloire flétrie, Chaque instant de sa vie après ce lâche tour, Met dautant plus ma honte avec la sienne au jour.
I’en rompray bien le cours, & ma iuſte colere contie vifdigne fils vſant des droits d’vn pere Sçaura bien faire voir dans ſa punition L’eſclatant deſadueu d’vne telle action.	J'en romprai bien le cours, et ma juste colère contie vifdigne fils usant des droits d'un père Saura bien faire voir dans sa punition L'éclatant désaveu d'une telle action.
SABINE.	SABINE.
Eſcoutez vn peu moins ces ardeurs genereuſes, Et ne nous rendez point tout à fait malheureuſes.	Écoutez un peu moins ces ardeurs généreuses, Et ne nous rendez point tout à fait malheureuses.
Le vieil HORACE.	Le vieil HORACE.
Sabine, voſtre cœur ſe conſole aiſement, Nos malheurs iuſqu’icy vous touchent foiblement.	Sabine, votre cœur se console aisément, Nos malheurs jusqu'ici vous touchent faiblement.
Vous n’auez point encor de part à nos miſeres, Le Ciel vous a ſauué voſtre eſpoux & vos freres, Si nous ſommes ſujets, c’eſt de voſtre pays, Vos freres ſont vainqueurs quand nous ſommes trahis, Et voyant le haut point où leur gloire ſe monte Vous regardez fort peu ce qui nous vient de hõte:	Vous n'avez point encor de part à nos misères, Le Ciel vous a sauvé votre époux et vos frères, Si nous sommes sujets, c'est de votre pays, Vos frères sont vainqueurs quand nous sommes trahis, Et voyant le haut point où leur gloire se monte Vous regardez fort peu ce qui nous vient de honte:
Mais voſtre trop d’amour pour cét infame eſpoux Vous donnera bien-toſt à plaindre comme à nous.	Mais votre trop d'amour pour cet infâme époux Vous donnera bientôt à plaindre comme à nous.
Vos pleurs en ſa faueur ſont de foibles defenſes, Iattente des grads Dieux les ſuprémes puiſſances Qu’auãt ce iour finy ces mains, ces propres mains, Laueront dans ſon ſang la honte des Romains.	Vos pleurs en sa faveur sont de faibles défenses, Jattente des grads Dieux les suprêmes puissances Qu'avant ce jour fini ces mains, ces propres mains, Laveront dans son sang la honte des Romains.
SABINE.	SABINE.
Suiuons-le promptement, la colere l’emporte.	Suivons-le promptement, la colère l'emporte.
Dieux!	Dieux!
verrons nous touſiours des malheurs de la ſorte?	verrons nous toujours des malheurs de la sorte?
Nous faudra-t’il touſiours en craindre de plus grands, Et touſiours redouter mummde nos parents?	Nous faudra-t-il toujours en craindre de plus grands, Et toujours redouter mummède nos parents?
Fin du troiſieſme Acte.	Fin du troisième Acte.
AMT TV	AMT TU
SCENE PREMIERE.	SCÈNE PREMIÈRE.
Le vieil HORACE, CAMILLE.	Le vieil HORACE, CAMILLE.
Le vieil HORACE.	Le vieil HORACE.
E me parlez iamais en faueur d’vn infame, Qu’il me fuye à l’eſgal des freres de ſafemme, MPour conſeruer vn ſang qu’il tient ſi precieux Il n’a rien ſait encot t’il n’éuite mes yeux.	E me parlez jamais en faveur d'un infâme, Qu'il me fuie à l'égal des frères de safemme, MPour conserver un sang qu'il tient si précieux Il n'a rien sait encot t'il n'évite mes yeux.
Sabine y peut mettre ordre, ou derechef j’atteſte Le ſouuerain pouuoir de la troupe celeſte.	Sabine y peut mettre ordre, ou derechef j'atteste Le souverain pouvoir de la troupe céleste.
SAMAELEI Hé!	SAMALEI Hé!
mon pere, prenez vn plus doux ſentiment, Vous verrez Rome meſme en vſer autrement, Et de quelque malheur que le Ciel l’ait comblée, Excuſer la vertu ſous le nombre accablée.	mon père, prenez un plus doux sentiment, Vous verrez Rome même en user autrement, Et de quelque malheur que le Ciel l'ait comblée, Excuser la vertu sous le nombre accablée.
Le vieil HORACE.	Le vieil HORACE.
Le lugement de Rome eſt peu pour mon regard, Camille, ie ſuis pere, & i’ay mes droits à part, Ie ſçay trop comme agit la vertu veritable, C’eſt ſans en triompher que le nombre l’accable, Et ſa maſle vigueur touſiours en meſme point Succombe ſous la force & ne luy cede pointe Taiſez-vous, & ſçachons ce que nous veut Vadere.	Le lugement de Rome est peu pour mon regard, Camille, je suis père, et j'ai mes droits à part, Je sais trop comme agit la vertu véritable, C'est sans en triompher que le nombre l'accable, Et sa mâle vigueur toujours en reste point Succombe sous la force et ne lui cede pointe Taisez-vous, notre secachons ce que nous veut Vade.
SCENE II.	SCÈNE II.
Ec vien frorACE, VALERE, CAMILEL.	Éc viens frorACE, VALÈRE, CAMILEL.
VALERE.	VALÈRE.
Nuoyé par le Roy pour conſoler vn pere, LEt pour luy teſmoigner.	Nuoyé par le Roi pour consoler un père, LEt pour lui témoigner.
Le vieil HORACE.	Le vieil HORACE.
N’en prenez aucun ſoin, C’eſt vn ſoulagement dont ie n’ay pas beſoin, Et i’ayme mieux voir morts que couuerts d’infamie Ceux que vient de m’oſter vne mamemnemie.	N'en prenez aucun soin, C'est un soulagement dont tu n'ai pas besoin, Et j'aime mieux voir morts que couverts d'infamie Ceux que vient de m'ôter une mamemnemie.
Tous deux pour leur pays ſont morts en gens d’honneur, Il me ſuffit.	Tous deux pour leur pays sont morts en gens d'honneur, Il me suffit.
VALERE.	VALÈRE.
Mais l’autre eſt vn rare bonheur, De tous les trois chez vous lluoit tenir la placee	Mais l'autre est un rare bonheur, De tous les trois chez vous luait tenir la placée
Le vieil HORACE.	Le vieil HORACE.
Euſt-il fait auec luy perir le nom d’Horace!	Eût-il fait avec M perir le nom d'Horace!
VALERE.	VALÈRE.
Seul vous le maltraitez apres ce qu’il a fait.	Seul -vous le maltraitez après ce qu'il a fait.
Le vieil HORACE.	Le vieil HORACE.
C’eſt à moy ſeul auſſi de punir ſon forfait.	C'est à moi seul aussi de punir son forfait.
VALERE.	VALÈRE.
Quel forfait trouuez-vous en ſa bonne conduite?	Quel forfait trouvez-vous en sa bonne conduite?
Le vieil HORACE.	Le vieil HORACE.
ur bielat de vertu touuez vous en ſa fuite?	ur biel de vertu touvez -vous en sa fuite?
VALERE.	VALÈRE.
La ruite eſt glorieuſe en cette occaſion.	La ruite est glorieuse en cette occasion.
Levieil HORACE.	Levieil HORACE.
Vous redoublez ma honte & ma confuſion, Certes l’exemple ett fars ce digile de memoire De trouuer dans la fuite vn chemin à la gloire.	Vous redoublez ma honte et ma confusion, Certes l'exemple ett fars ce digile de mémoire De trouver dans la fuite un chemin à la gloire.
VALERE.	VALÈRE.
Quelle confuſion, & quelle honte à vous D’auoir produit vn fils qui nous conſerue tous, Qui fait triõpher Rome, & luy gagne r Empire?	Quelle confusion, et quelle honte à vous D'avoir produit un fils qui nous conserve tous, Qui fait triompher Rome, et lui gagne r Empire?
A quels plus grands honneurs faut-il qu’vn pere aſpire?	À quels plus grands honneurs faut-il qu'un père aspire?
Le vieil HORACE.	Le vieil HORACE.
Qeis nonneurs, quel triomphe, & quel empire.	Qeis nonneurs, quel triomphe, et quel empire.
en fin Lors qu’Albe ſous ſes loix range noſtre deſtin?	en fin Lors qu'Albe sous ses lois range notre destin?
VALERE.	VALÈRE.
Que parlez-vous icy d’Albe, et de ſa victoire?	Que parlez-vous ici d'Albe, et de sa victoire?
Ignorez-vous encor la moitié de l’hiſtoire?	Ignorez-vous encor la moitié de l'histoire?
Le vieil HORACE.	Le vieil HORACE.
Le combat par ſa fuite eſt-il pas terminé?	Le combat par sa fuite est-il pas terminé?
VALERE.	VALÈRE.
Albe ainſi quelque temps ſe l’eſt imaginé, Mais elle a bien-toſt veu que c’eſtoit fuyr en homme Qui ſçauoit meſnager l’auantage de Rome.	Albe ainsi quelque temps se l'est imaginé, Mais elle a bientôt vu que c'était fuir en homme Qui sa va auantage de Rome.
Le vieil HORACE.	Le vieil HORACE.
Quoy, Rome donc triomphe?	Quoi, Rome donc triomphe?
VALERE.	VALÈRE.
Apprenez, apprenez La valeur de ce fils qu’à tort vous condamnez.	Apprenez, apprenez La valeur de ce fils qu'à tort vous condamnés.
Reſté ſeul contre trois, mais en cette auanture Tous trois eſtans bleſſez, & luy ſeul ſans bleſſure, Trop foible pour eux tous, trop fort pour chacun d’eux, Il ſçait bien ſe tirer d’vn pas ſi hazardeux, Il fuit pour mieux cõbatre, & cette prompte ruſe Diuiſe adroitement trois freres qu’elle abuſe.	Resté seul contre trois, mais en cette aventure Tous trois étant blessés, et et même sans blessure, Trop faible pour eux tous, trop fort pour chacun d'eux, Il sait bien se tirer d'un pas si hasardeux, Il fuit pour mieux cõbatre, et cette prompte ruse Divise adroitement trois frères qu'elle abuse.
Chacun le ſuit d’vn pas ou plus ou moins preſſé, Selon qu’il ſe rencontre ou plus ou moins bleſſé, Leur ardeur eſt eſgale à pourſuiure ſa fuite, Mais leurs coups inégaux ſeparẽt leur pourſuite.	Chacun le suit d'Hôte pas ou plus ou moins pressé, Selon qu'il se rencontre ou plus ou moins blessé, Leur ardeur est égale à poursuite sa fuite, Mais leurs coups inégaux separẽt leur poursuite.
Horace les voyant l’vn de l’autre eſcartez, Se retourne, & deſia les croit deniy domptez, Il attend le premier, & c’eſtoit voſtre gendre:	Horace les voyant l'vn de l'autre écartés, Se retourne, et déjà les croit déni domptez, Il attend le premier, et c'était mis gendre:
L’autre tout indigné qu’il ait oſé l’attendre, En vain en l’attaquant fait paroiſtre vn grand cœur, Le ſang qu’il a perdu rallentit ſa vigueur, Albe à ſon tour commence à craindre vn ſort contraire, Elle crie au lecond qu’il iecoure ſon frere, Il ſe haſte, & s’eſpuiſe en efforts ſuperflus, Il trouue en les joignant que ſon frere n’eſt plus.	L'autre tout indigné qu'il ait osé l'attendre, En vain en l'attaquant fait paraître un grand cœur, Le sang qu'il a perdu ralentit sa vigueur, Albe à son tour commence à craindre un sort contraire, Elle crie au cond qu'il iecoure son frère, Il se hâte, et s'épuise en efforts superflus, Il trouve en les joignant que son frère n'est plus.
Helas!	Hélas!
CAMILLE.	CAMILLE.
VALERE.	VALÈRE.
Tout hors d’haleine il prend pourtant ſa place, Et redouble bien-toſt la victoire d’Horace, Son courage ſans force eſt vn debile appuy, Voulant vanger ſon frere il tombe auprés de luy.	Tout hors d'haleine il prend pourtant sa place, Et redouble bientôt la victoire d'Horace, Son courage sans force est un débile appui, Voulant venger son frère il tombe auprès de Seigneur.
L’air reſonne des cris qu’au Ciel chacun enuoye, Albe en iette d’angoiſſe & les Romains de ioye.	L'air résonne des cris qu'au Ciel chacun envoie, Albe en jette d'angoisse et les Romains de joie.
Comme noſtre Heros ſe voit prés d’acheuer, C’eſt peu pour luy de vaincre, il veut encor brauer :	Comme notre Héros se voit près d'achever, C'est peu pour lui de vaincre, il veut encor braver :
I'en viens d’immoler deux aux Manes de mes freres, Rome aura le dernier de mes trois aduerſaires, C’eſt à ſes intereſts que ie vay l’immoler, ( Dit-il) & tout d’vn temps on le voit y voler, La victoire entr’eux deux n’eſtoit pas incertaine, L’Albain percé de coups ne ſe trainoit qu’a peine, Et comme vne victime aux marches de l’Autel Il ſembloit preſenter ſa gorge au coup mortel;	J'en viens d'immoler deux aux Manes de mes frères, Rome aura le dernier de mes trois adversaires, C'est à ses intérêts que sans vais l'immoler, ( Dit-il) et tout d'un temps on le voit y voler, La victoire entr'eux deux n'était pas incertaine, L'Albain percé de coups ne se traînait qu'à peine, Et comme une victime aux marches de l'Autel Il semblait présenter sa gorge au coup mortel;
Auſſi le reçoit-il, peu s’en faut, ſans deffence, Et ion trelpas de Rome eſtablit la puiſſance.	Aussi le reçoit-il, peu s'en faut, sans défense, Et ion trelpas de Rome établit la puissance.
Le vieil HORACE.	Le vieil HORACE.
O mon fils, ô ma ioye, ô l’honneur de nos iours !	Ô mon fils, ô ma joie, ô l'honneur de nos jours !
O d’vn eſtat panchant l’ineſperé ſecours!	Ô d'un état penchant l'inespéré secours!
Vertu digne de Rome, & ſang digne d’Horace !	Vertu digne de Rome, et sang digne d'Horace !
Appuy de ton pays & gloire de ta race !	Apui de ton pays et gloire de ta race !
Quand pourray-ie eſtouffer dans tes embraſſemẽs L’erreur dont i’ay formé de ſi faux ſentiments?	Quand pourrai-je étouffer dans tes embrassements L'erreur dont j'ai formé de si faux sentiments?
Quand pourra mon amour baigner auec tendreſſe Ton front victorieux de larmes d’allegreſſe?	Quand pourra mon amour baigner avec tendresse Ton front victorieux de larmes d'allégresse?
VALERE.	VALÈRE.
Vos careſſes bien-toſt pourront ſe deſployer, Le Roy dans vn moment vous le va renuoyer, Et remet à demain le pompeux ſacrifice Que nous deuons aux Dieux pour vn tel benefice.	Vos caresses bientôt pourront se déployer, Le Roi dans un moment vous le va renvoyer, Et remet à demain le pompeux sacrifice Que nous devons aux Dieux pour tel bénéfice.
Aujourd’huy ſeulement on s’acquite vers eux Par des chants de victoire & par de ſimples vœux;	Aujourd'hui seulement on s'acquite vers eux Par des chants de victoire et par de simples vœux;
