DERETE L FRAGICOMLDIE.	DERTE L FRAGICOMLDIE.
CRITON.	CRITON.
Il fauont donc men aducith, punque vous ne pouuiez la vaincre, ie fuſſe venu à voſtre ſecours.	Il favont donc men avcith, punque vous ne pouviez la vaincre, toujours fusse venu à votre secours.
BERENICE.	BERENICE.
Ie n’ay pas crû qu’il fut neceſſaire de vous en parler.	Je n'ai pas cru qu'il fut nécessaire de vous en parler.
CRITON.	CRITON.
Vous voyez cependant ce qui en arriue, & que c’eſt auoir contribué à ſa faute que d’auoir differé de m’en parler.	Vous voyez cependant ce qui en arrive, et que c'est avoir contribué à sa faute que d'avoir différé de m'en parler.
BERENICE.	BERENICE.
Ie ne vous en ay point parlé, parce que ie ſçay auec aſſeurance, que l’amour & l’honneur ſont en elles vne meſme choſe, tant ils ſont bien d’accord enSchtone.	Je ne vous en ai point parlé, parce que ie sans sais assurance, que l'amour et l'honneur sont en elles -même chose, tant ils sont bien d'accord enSchetone.
CRITON.	CRITON.
Berenice, l’amour eſt vn traiſtre qui ſçait feindre adroitement d’eſtre d’accord auec l’honneur, quand il medite ſa ruine, & qu’il veut s’en faire vn trophée.	Berenice, l'amour est un traître qui sait feindre adroitement d'être d'accord avec l'honneur, quand il médite sa ruine, et qu'il veut s'en faire un trophée.
BERENICE.	BERENICE.
Ie pourrois bien vous aſſeurer que dans le cœur d’Amaſie l’amour eſt vn noble eſclaue, de qui l’honneur eſt touſiours le maiſtre.	Je pourrais bien vous assurer que dans le cœur d'Amasie l'amour est un noble esclaue, de qui l'honneur est toujours le maître.
CRITON.	CRITON.
CRITON.	CRITON.
Ha, que vous connoiſſez mal les artifices de l'amour!	Ha, que vous connaissez mal les artifices de l'amour!
Mais voulez-vous me faire croire que vous eſtes d’intelligence auec voſtreſœur?	Mais voulez-vous me faire croire que vous êtes d'intelligence votre vôtres?
BERENICE.	BERENICE.
Ceſt aſſez qu’elle ait ſon pere contre elle, ſans qu’elle y ait encore ſa ſœur.	Cest assez qu'elle ait son père contre elle, sans qu'elle y ait encore sa sœur.
CRITON.	CRITON.
Si à la naiſſance de ſon amour elle euſt eu contre elle ſa ſœur;	Si à la naissance de son amour elle eût eu contre elle sa sœur;
Peut-eſtre que ſon pere ne ſeroit pas aujourd’huy contre elle:	Peut-être que son père ne serait pas aujourd'hui contre elle:
Ainſi vous auez failly toute deux;	Ainsi vous avez failli toute deux;
elle d’aimer, & vous d’auoir enduré qu’elle anilait.	elle d'aimer, et vous d'avoir enduré qu'elle anilait.
BERENICE.	BERENICE.
Si nous auons failly toutes deux, i’ay crû que toutes deux nous en auions quelque raiſon.	Si nous avons failli toutes deux, j'ai cru que toutes deux nous en avions quelque raison.
CRITON.	CRITON.
On n’a iamais raiſon de faillir.	On n'a jamais raison de faillir.
BERENICE.	BERENICE.
Mais comme on a deſia iugé par les grandes actions, que vous auez acheuées pour le bien de cet eſtat, qu’il n’y a point de recompenſes qui ne ſoient moindres que vos ſeruices;	Mais comme on a déjà jugé par les grandes actions, que vous avez achevées pour le bien de cet état, qu'il n'y a point de récompenses qui ne soient moindres que vos services;
Ne peut-il pas arriuer que le Prince qui nous aime vous faſſe entrer dans ſon alliance, autant pour contenter ſon amour, qui pour recompenſer vos actions.	Ne peut-il pas arriver que le Prince qui nous aime vous fasse entrer dans son alliance, autant pour contenter son amour, qui pour récompenser vos actions.
De quelles hautes merueilles l’amour n’eſt-il pas capable, & de quels honneurs ne vous iuge-on pas digne en ce Royaume, où vous n’auez pas moins d’amis que ſon Prince a de ſujets.	De quelles hautes merveilles l'amour n'est-il pas capable, et de quels honneurs ne vous juge-on pas digne en ce Royaume, où vous n'avez pas moins d'amis que son Prince a de sujets.
Que ſi ma penſée eſtoit vaine, il ne ſçauroit eſtre honteux d’auoir ſouffert auec honneur l’amour honneſte d’vn grand Prince, de qui l'on pouuoit receuoir la puiſſance & la couronne.	Que si ma pensée était vaine, il ne saurait être honteux d'avoir souffert avec honneur l'amour honnête d'un grand Prince, de qui l'on pouvait recevoir la puissance et la couronne.
Si au contraire mes eſperances reüſſiſſent, ne confeſſera-on pas qu’il n’y cuſt point eu de raiſon de vouloir combatre vne amour qui aura facilité la gloire dont nous aurons la ioüiſſance.	Si au contraire mes espérances réussissent, ne confessera-on pas qu'il n'y cût point eu de raison de vouloir combattre une amour qui aura facilité la gloire dont nous aurons la jouissance.
Ainſi ie me ſuis imaginée qu’vne amour toute vertueuſe ne pouuoit produire que de bons effets, & que la raiſon la plus ſeuere, approuuant par tout la vertu, ne condamneroit pas vne amout, où elle ſe monſtroit ſi viſible, & qui promettoit tant de gloire.	Ainsi femme me suis imaginée qu'une amour toute vertueuse ne pouvait produire que de bons effets, et que la raison la plus sévère, approuvant par tout la vertu, ne condamnerait pas une amout, où elle se montrait si visible, et qui promettait tant de gloire.
CRITON.	CRITON.
En vain vous defendez vne cauſe qui ſera touſiours mauuaiſe.	En vain vous défendez une cause qui sera toujours mauvaise.
BERENICE.	BERENICE.
Mais ſi le Prince vouloit eſpouſer ma ſœur.	Mais si le Prince voulait épouser ma sœur.
CRrToſse Ie ne doute point qu’il ne luy en ait fait des promeſſes;	CRTosse Je ne doute point qu'il ne lui en ait fait des promesses;
mais que ne promet pas vn amant.	mais que ne promet pas un amant.
BERENICE.	BERENICE.
S’il ne tient pas ſa parole, comme amant, il la tiendra comme genereux, & comme Prince.	S'il ne tient pas sa parole, comme amant, il la tiendra comme généreux, et comme Prince.
CRITON.	CRITON.
Comme genereux & comme Prince!	Comme généreux et comme Prince!
Quand il ſe ſouuiendra qu’il eſt Prince, il ne ſe ſouuiendra plus qu’il eſt amant,	Quand il se souviendra qu'il est Prince, il ne se souviendra plus qu'il est amant,
BERENICE.	BERENICE.
Vous auez mauuaiſe opinion de Tarſis, ſi vous Ie croyez capable de violer ſes ſermens, & de faire.	Vous avez mauvaise opinion de Tarsis, si vous Je croyez capable de violer ses serments, et de faire.
des tromperies.	des tromperies.
CRITON.	CRITON.
On fait gloire de tromper les filles, & tel a fait cent parjures, qui penſe auoir gaigné cent victoires.	On fait gloire de tromper les filles, et tel a fait cent parjures, qui pense avoir gagné cent victoires.
DeleENvos.	DeleENvos.
Nous auons des exemples de Princes qui ont eſté plus genereux.	Nous avons des exemples de Princes qui ont été plus généreux.
CRITON.	CRITON.
Nous en auons auſſi du contraire.	Nous en avons aussi du contraire.
Ne vous flatstez point par l’eſperance d’vn miracle.	Ne vous flatstez point par l'espérance d' miracle.
Si quelques folies ont eſté vtiles, il ne faut pas s’imaginer que le meſme euenement ſoit reſerué à toutes les autres.	Si quelques folies ont été utiles, il ne faut pas s'imaginer que le même événement soit réservé à toutes les autres.
Il clerouitouis darigereux de ie gõuuerner par exeniple;	Il clerouitouis darigereux de mains gouverner par exeniple;
il n’y arien de plus trompeur que cette voye, & il s’en trouue beaucoup qui ſe laiſſant charmer par les proſperitez d’autruy, ſont deuenus ſans y penſer de fameux exemples de miſeres.	il n'y arien de plus trompeur que cette voie, et il s'en trouve beaucoup qui se laissant charmer par les prospérités d'autrui, sont devenus sans y penser de fameux exemples de misères.
BERENICE.	BERENICE.
Mais nous ſommes d’yne naiſſance.	Mais nous sommes d'yne naissance.
CRITON.	CRITON.
Ne me conteſtez point dauantage;	Ne me contestez point davantage;
le Prince doit venir icy, il le mande par cette lettre;	le Prince doit venir ici, il le mande par cette lettre;
Ie veux que vous l’attendiez.	Je veux que vous l'attendiez.
*17.	*17.
1.	1.
Moy.	Moi.
1 BERENICE.	1 BERENICE.
*t.	*t.
CRITON.	CRITON.
Oüy, ie veux que vous l’attendiez, & que vous repariez vos fautes en vous oppoſant à ſon amour.	Oui, Seigneur veux que vous l'attendiez, et que vous répariez vos fautes en vous opposant à son amour.
DERENTOSS Ie ne croy pas reüſſir en vn deſſein ſi difficile.	DERENTOSS Je ne crois pas réussir en un dessein si difficile.
CRITON.	CRITON.
Il faut neantmoins m’obeïr.	Il faut néanmoins m'obéir.
Et s’il ne fait rien pourvous, icluy unay, peue eidte, des choſes qui ne luy ſeront pas agreables.	Et s'il ne fait rien pourvous, icluy unai, peue évidte, des choses qui ne te seront pas agréables.
Ne me mettez point en ce hazard.	Ne me mettez point en ce hasard.
BERENICE.	BERENICE.
Si vous m’ordonnez l’impoſſible, le moyen de vous obeïr.	Si vous m'ordonnez l'impossible, le moyen de vous obéir.
CRITON.	CRITON.
Enmſ ie veuxque vousiuy parnez, & que vous faſſiez en ſorte de le deſtourner de cét amour, qui ne peut produire que des maux, & qui me comble deſta de triſteſſes.	Enms était veuxque vousivre parnez, et que vous fassiez en sorte de le détourner de cet amour, qui ne peut produire que des maux, et qui me comble desta de tristesses.
SCENE PVATRE.	SCÈNE PUATRE.
Ve mon auanture eſt eſtrange, & que mon apprehenſion eſt extréme.	Ve mon aventure est étrange, et que mon appréhension est extrême.
S’il découure la feintede ma ſœur, que de douleurs me ſont reſer-.	S'il découvre la feinte ma sœur, que de douleurs me sont réer-.
.	.
.	.
.	.
uées.	uées.
Mais ne nous affligeons point auant le temps, & n’auançons point nos maux par la crainte d’eſtre malheureuſe.	Mais ne nous affligeons point avant le temps, et n'avançons point nos maux par la crainte d'être malheureuse.
Laiſſons aux Dieux la conduite de noſtre fortune, & recueillons cependant le fruit de cét artifice.	Laissons aux Dieux la conduite de notre fortune, et recueillons cependant le fruit de cet artifice.
Ce ſera par ce moyen queie parleray à Tarſis ſans ſoupçon & ſans ombrage.	Ce sera par ce moyen queie parlerai à Tars sans soupçon et sans ombrage.
Mais le voicy.	Mais le voici.
DCEN ECIGEIESME.	DCEN ECIGEIÈSME.
TARJTS, BERENTCE	TARJTS, BÉRENTCE
TARSIS.	TARSIS.
E doyque vous auez receu ma lettre.	E doyque vous avez reçu ma lettre.
BERENICE.	BERENICE.
Oüy, Seigneur, ie l’ay receuë, & ie connois rrop clairement que toutes choſes nous ſont funeſtes.	Oui, Seigneur, ie l'ai reçue, et nos connais rop clairement que toutes choses nous sont funestes.
TARSIS.	TARSIS.
Plus funeſtes que vous ne penſez.	Plus funestes que vous ne pensez.
BERENICE.	BERENICE.
Comment, Seigneur, ne me geſnez point d’auantage, deſcouurez-moy mes malheurs, & ne penſez pas trouuer en moy vne ame foible & abbatuë.	Comment, Seigneur, ne me gênez point d'avantage, découvrez-moi mes malheurs, et ne pensez pas trouver en moi une âme faible et abattue.
Depuis le moment que ie vous ayme, ie n’ay pas manqué douleurs pour m’accouſtumer à ſouffrir.	Depuis le moment que je vous aime, je n'ai pas manqué douleurs pour m'accoutumer à souffrir.
TARSIS.	TARSIS.
Helas:	Hélas:
i’ay penſé vous retenir en ce païs, & ie n’ay trauaillé qu’en m’en faire chaſſer moy-meſmeL.	j'ai pensé vous retenir en ce pays, et ici n'ai travaillé qu'en m'en faire chasser moi-mêmeL.
e -- .	 -- eu
.	.
.	.
iij Roy vous aime, Madame, ie viens de l’apprendre de Tirinte.	ijà Roi vous aime, Madame, Seigneur viens de l'apprendre de Tirinte.
Helas!	Hélas!
BERENICE.	BERENICE.
TARSIS.	TARSIS.
Il m’a dit meſme que le Roy vouloit m’obliger d’aimer Amaſie.	Il m'a dit même que le Roi voulait m'obliger d'aimer Amasie.
Enfin i’ay trouué le moyen de vous retenir en ce païs, mais de vous retènir pour vn autre.	Enfin j'ai trouvé le moyen de vous retenir en ce pays, mais de vous retennir pour un autre.
Enfin mon pere eſt mon Riual, nous pourſuiuons meſme victoire, mais toute la force eſt pour luy?	Enfin mon père est mon Rival, nous poursuivons même victoire, mais toute la force est pour lui?
& ie n’auray rien pour moy, ſi ie n’ay voſtre conſtance.	et ici n'aurai rien pour moi, si tu n'ai votre constance.
BERENICE.	BERENICE.
Ne verray-je que des malheurs attachez à ma fortune?	Ne verrai-je que des malheurs attachés à ma fortune?
Et ſeray-ie le flambeau funeſte, qui doit allumer la diſcorde entre le pere & le fils?	Et serai-je le flambeau funeste, qui doit allumer la discorde entre le père et le fils?
Ha!	Ha!
Seigneur, conſiderez-moy plûtoſt comme vn objet d’horreur & de haine, & quittez vne malheureuſe que la miſere perſecute, & dont la fortune ſeſert pour perſecuter les autres.	Seigneur, considérez-moi plutôt comme un objet d'horreur et de haine, et quittez une malheureuse que la misère persécute, et dont la fortune ses pour persécuter les autres.
Abandonnez-moy, priuez-moy de voſtre amour, plûtoſt que de vous mettre au hazard de ceſſer d’aimer vn pere, vous ne pouuez eſtre ſon Riual ſans deuenir ſon ennemy.	Abandonnez-moi, privez-moi de votre amour, plutôt que de vous mettre au hasard de cesser d'aimer un père, vous ne pouvez être son Rival sans devenir son ennemi.
Bien que ie perde toutes choſes par ce conſeil que ié vous donne, & par la perte de voſtre amour, ie vous coniuré encore vne fois de perdre cette paſſion qui me promettoit tant de gloire.	Bien que je perde toutes choses par ce conseil que jeté vous donne, et par la perte de votre amour, il vous conjuré encore une fois de perdre cette passion qui me promettait tant de gloire.
Ie ne me plaindray iamais d’vne infidelité ſi pieuſe, il vaut mieux eſtre infide le amant, que d’eſtre fils dénaturé, & faillir contre lamour, que de faillir contre la hatufe.	Je ne me plaindrai jamais d'une infidélité si pieuse, il vaut mieux être infide le amant, que d'être fils dénaturé, et faillir contre lamour, que de faillir contre la hattuffe.
TARSIS.	TARSIS.
Quoy, Berenice!	Quoi, Berenice!
me coniurez-vous maintenant de cener de vous amei, pour onter vn Riual au Roy, & pour luy faciliter l’acquiſition de Berenice.	me conjuriez-vous maintenant de céner de vous âmei, pour onter un Rival au Roi, et pour lui faciliter l'acquisition de Berenice.
BERENICE.	BERENICE.
Ie vous coniure maintenant de me priuer de voſtre amour, & de me donner voſtre hayne, afin que ſi ie dois combattre la paſſion du Roy voſtre pere, il ne puiſſe vous acculer d’eſtre cauſe de mes froideurs, & des mépris eternels que ie feray de ſon amour.	Je vous conjure maintenant de me priver de votre amour, et de me donner vôtre haine, afin que si ie dois combattre la passion du Roy vôtre re, il ne puisse vous acculer d'être cause de mes froideurs, et des mépris éternels que sans ferai de son amour.
TARSIS.	TARSIS.
Qu’il m’accuſe de toutes choſes, pourueu que ie ne puiſſe vous accuſer d’auoir oublié que ie vous aiine.	Qu'il m'accuse de toutes choses, pourvu que tu ne puisse vous accuser d'avoir oublié que ie vous aiine.
Qu’i meraume lEiplte, & qu’i iarraclie la Couronne, il ne m’aura rien oſté, pourueu qu’il ne m’oſte pas voſtre amour.	Qu'y meraume lEiplte, et qu'y jarraclie la Couronne, il ne m'aura rien ôté, pourvu qu'il ne m'ôte pas quelque amour.
Voſtre cœur eſt mon empire, voſtre cœur eſt ma couronne, & ſi ie ſuis touſiours aimé, ie ſeray touſiours heureux:	Votre cœur est mon empire, votre cœur est ma couronne, et si tu suis toujours aimé, toujours serai toujours heureux:
BERENICE.	BERENICE.
Vous ſerez donc touſiours heureux, puiſque vous ſerez touſiours aimé;	Vous serez donc toujours heureux, puisque vous serez toujours aimé;
Mais voulez-vous que l’on publie que la miſerable Berenice arma le fils contre le pere, & qu'elle mit dans la nature vne ſi horrible conſion?	Mais voulez-vous que l'on publie que la misérable Berenice arma le fils contre le père, et qu'elle mit dans la nature une si horrible consion?
Faites deſſus vous vn effort pour me déliurer de ce reproche.	Faites dessus vous un effort pour me délivrer de ce reproche.
TARSIS.	TARSIS.
Si ce malheur arriuoit, on le reprocheroit au Roy qui ne ſçait pas ſe reconnoiſtre en l’âge où nous le voyons.	Si ce malheur arrivait, on le reprocherait au Roi qui ne sait pas se reconnaître en l'âge où nous le voyons.
BERENICE.	BERENICE.
oi ce mameur artiuoit ren ſerois touſiours la cauſe.	oi ce mameur artivait ren serais toujours la cause.
TARSIS.	TARSIS.
Il faut donc dire en meſme temps que le Ciel en ſeroit la cauſe, puis qu’il vous a fait naiſtre ſi parfaite.	Il faut donc dire en même temps que le Ciel en serait la cause, puis qu'il vous a fait naître si parfaite.
BERENTCE.	BÉRENTCE.
Ceſſez enfin de m’aimer, bien que ie veuille touſiours aimer!	Cessez enfin de m'aimer, bien que tu veuille toujours aimer!
YRROIJ.	YROIJ.
Helas, quand on ne veut plus eſtre aymé, c’eſt vne marque trop certaine qu’on ne veut plus auſſi aimer!	Hélas, quand on ne veut plus été aymé, c'est une marque trop certaine qu'on ne veut plus aussi aimer!
BERENICE.	BERENICE.
Ie ne demande point voſtre haine, pour auoir quelques raiſons de ceſſer de vous aimer, ſi vous deuez viure auſſi long-temps que durera mon amour, vous ſeriez ſans doute immortel.	Je ne demande point votre haine, pour avoir quelques raisons de cesser de vous aimer, si vous devez vivre aussi longtemps que durera mon amour, vous seriez sans doute immortel.
Mais ie demande voſtre haine pour eſtre ſeule malheureuſe, & pour vous oſter du danger de reſſentir vn iour la peine que la perte d’vne amante peut apporterà ſonamant.	Mais fort demande votre haine pour être seule malheureuse, et pour vous ôter du danger de ressentir un jour la peine que la perte d'une amante peut apporterà sonamant.
Auſſi bien vous reconnoiſſez par les obſtacles qui ſe preſentent, que le Ciel impitoyable pltoyable ne veut pas ſountit noitle amour.	Aussi bien vous reconnaissez par les obstacles qui se présent, que le Ciel impitoyable pltoyable ne veut pas sountit noitle amour.
TARSIS.	TARSIS.
Ha!	Ha!
ma chere Berenice, les Dieux ne m’oppoſent pas les difficultez qui ſe preſentent pour m’empeſcher de vous aymer, mais pour me donner ſujet de vous meriter en les ſurmontant.	ma chère Berenice, les Dieux ne m'opposent pas les difficultés qui se présent pour m'empêcher de vous aimer, mais pour me donner sujet de vous mériter en les surmontant.
Conſeruezmoy voſtre cœur, & ie ne manqueray pas de bien dans ce malheureux voyage que l’on m’oblige d’enſſeplendie.	Conservezmoi votre cœur, et ainsi ne manquerai pas de bien dans ce malheureux voyage que l'on m'oblige d'ensseplendie.
BERENICE.	BERENICE.
Voſtre départ eſt donc reſolu.	Votre départ est donc résolu.
TARSIS.	TARSIS.
Ouy, ma mort eſt reſoluë;	Oui, ma mort est résolue;
& vous pouuez vous imaginer la violence qui ſe fait dans vn corps, quand il eſt preſt de rendre l’ame, vous ſçaurez ce que ie ſouffre aujourd’huy que l’on m’oblige à me Ieparer de vous.	et vous pouvez vous imaginer la violence qui se fait dans un corps, quand il est prêt de rendre l'âme, vous saurez ce que sans souffre aujourd'hui que l'on m'oblige à me Séparer de vous.
Mais pour me domner la force de vous faire mes adieux, & de commencer noſtre abſence, permettez moy d’eſperer que cette puiſſance ſouueraine qui m’eſloigne de vos yeux, ne m’eſloigne pas de voſtre cœur.	Mais pour me domner la force de vous faire mes adieux, et de commencer notre absence, permettez moi d'espérer que cette puissance souveraine qui m'éloigne de vos yeux, ne m'éloigne pas de votre cœur.
BERENICE.	BERENICE.
Ie vous le promets, Seigneur, & ie me retire;	Je vous le promets, Seigneur, et Seigneur me retire;
auſſi bien aprés cette parole ne pouuant plus vous rien dire, & ne pouuant vous dire adieu, ie ne vous puis donner que des larmes.	aussi bien après cette parole ne pouvant plus vous rien dire, et ne pouvant vous dire adieu, toujours ne vous puis donner que des larmes.
TARSIS.	TARSIS.
Commence à ſouffrir, malheureux, puis' que tu ceſſes de la voir.	Commence à souffrir, malheureux, puisqu' que tu cesses de la voir.
Helas!	Hélas!
cette abſence ne vient que de commencer, & ſi lotu coltace, par mes maux, elle a duré des ſiecles.	cette absence ne vient que de commencer, et si lotu coltace, par mes maux, elle a duré des siècles.
12	12
VT PREMIERE.	VT PREMIÈRE.
32.	32.
esDy liscsvs E.	esDi liscs ES.
AMASIE.	AMASIE.
APERZVE vouloit vous dire le Roy quand 9 il vous a enuoyé querir par Leonid?	APERZUE voulait vous dire le Roi quand 9 il vous a envoyé quérir par Leonid?
TIRINTE.	TIRINTE.
Il vouloit augmenter ma peine, & me cauſer vn nouueau mal par vn nouueau commandement.	Il voulait augmenter ma peine, et me causer un nouveau mal par un nouveau commandement.
AMASIE.	AMASIE.
Parlez plus clairement, Tirinte.	Parlez plus clairement, Tirinte.
TIRINTE.	TIRINTE.
Il m’auoit commande, dt ron Screinice, pour luy parler de ſon amour, & il me renuoyoit querir pour me commander de voir veſtre pere, afin de luy faire ſçauoir que comme il eſt reſolu d’eſpouſer Berenice, il vouloit que le Prince eſpouſaſt Amaſie.	Il m'avait commande, dût ron Screinice, pour lui parler de son amour, et il me renvoyait quérir pour me commander de voir vêtre père, afin de Seigneur faire savoir que comme il est résolu d'épouser Berenice, il voulait que le Prince épousât Amasie.
Voila ſon commandement, voila ma peine.	Voilà son commandement, voilà ma peine.
Ie viens apprendre de vous ce que vous voulez que ie faſſe, & ſi voſtre commandement autoriſera celuy du Roy.	Je viens apprendre de vous ce que vous voulez que personne fasse, et si votre commandement autorisera celui du Roi.
Ne faites point de difficulté de me dire vos volontez;	Ne faites point de difficulté de me dire vos volontés;
Ie ne ſuis pas de ces lâches de qui l’intereſt eſt le maiſtre, ſi vous voulez vne couronne, ie m'efforceray de vous l’acquerir au deſpens de mes eſperances & de ma felicité.	Je ne suis pas de ces lâches de qui l'intérêt est le maître, si vous voulez une couronne, notre m'efforcerai de vous l'acquérir au dépens de mes espérances et de ma félicité.
Parlez-moy donc librement, ie ſuis preſt à trauailler contre moy s’il faut trauailler pour voſtre gloire.	Parlez-moi donc librement, je suis prêt à travailler contre moi s'il faut travailler pour votre gloire.
Ie puis enfin mereſoudre à vous perdre, & à me priuer de vous meſme, ſi ie ne puis autrement vous teſmoigner mon amour, & pour en donnerdes marques & plus nouuelles & plus eſtranges;	Je puis enfin mèresoudre à vous perdre, et à me priver de vous rendre, si personne ne puis autrement vous témoigner mon amour, et pour en donnerdes marques et plus nouvelles et plus étranges;
ie puis vous conſeiller de m’eſtre infidelle, ſi l’infidelité vous profite, & qu’elle vous faſſe vn chemin à l’empire que vous meritez.	Je puis vous conseiller de m'être infidèle, si l'infidélité vous profite, et qu'elle vous fasse un chemin à l'empire que vous méritez.
Certes, ie ne feray pas toutes ces choIes, iaſis faſté denus mion eſpiſt vne exttems violence, mais lors que voſtre perte m’aura rendu malheureux, voſtre felicité me conſolera?	Certes, Madame ne ferai pas toutes ces choIes, jasis fasté denus myon espist une exttems violence, mais lors que votre perte m'aura rendu malheureux, votre félicité me consolera?
auſſi ic ne puis viure aprés auoir perdu l’eſperance, ie ſortiray content de la vie, ſi ie vous laiſſe dans vn throſne.	aussi ic ne puis vivre après avoir perdu l'espérance, tu sortirai content de la vie, si que vous laisse dans un trône.
AMAS.	AMAS.
IE.	JE.
Il me ſemble, Tirinte, que ie ne vous ay point:	Il me semble, Tirinte, que je ne vous ai point:
donné ſujet:	donné sujet:
dẽ me-tenir ce diſcours?	dien me-tenir ce discours?
ie vous ay touſiours monſtré plus d’amour que d’ambition, & puiſque i’ay eu la hardſeſſe de vous dire que ie vous ayme vous deuez en eſtre perſuadé.	ie vous ai toujours montré plus d'amour que d'ambition, et puisque j'ai eu la hardsesse de vous dire que je vous aime vous devez en être persuadé.
TIRINTE.	TIRINTE.
Auſſi ne viens-ie pas vous demander de nouueluelles marques de voſtreamour, mais ie viens vous en donner de la mienne.	Aussi ne viens-je pas vous demander de nouveluelles marques de votreamour, mais apprendre viens vous en donner de la mienne.
Ie viens enfin vous demander, comment vous voulez que i’agiſſe dans l’extremité qui me menace, & de vous perdre & de mourir.	Je viens enfin vous demander, comment vous voulez que j'agisse dans l'extrémité qui me menace, et de vous perdre et de mourir.
Le Roy m’a commandé d’aller dire à voſtre pere qu’il voui launououlas, que voulez-vous que ie faſſe.	Le Roi m'a commandé d'aller dire à votre père qu'il voui launoulas, que voulez-vous que deux fasse.
AMASIE.	AMASIE.
vous nie mettez beaucoup en peine.	vous nie mettez beaucoup en peine.
TIRINTE.	TIRINTE.
Mais il ya long-temps que i’y ſuis.	Mais il ya longtemps que j'y suis.
AMASIE.	AMASIE.
Helas!	Hélas!
ie ne ſçaurois rien reſoudre.	Ne ne saurais rien résoudre.
TIRINIE.	TIRINIE.
Ie ne puis donc rien entreprendre.	Je ne puis donc rien entreprendre.
4a lei MOrne.	4a lei MOrne.
Que ferons nous, Tirinte.	Que ferons nous, Tirinte.
TIRINTE.	TIRINTE.
Ie vous le demande, Amaſie, voſtre volonté ſela llla ley,	Je vous le demande, Amasie, votre volonté sela llla lei,
A MASIE.	À MASIE.
Si vous deſobeïſſez au Roy, voſtre diſgrace eſt aſſeurée.	Si vous désobéissez au Roi, votre disgrâce est assurée.
TIRINTE.	TIRINTE.
Enſin que voulez-vous que ie faſſe.	Ensin que voulez-vous que votre fasse.
AMASIE.	AMASIE.
Ie n’en ſçay rien, Tirinte, reſoluez, ie vous laiſſe faire.	Je n'en sais rien, Tirinte, résolvez, je vous laisse faire.
H.	H.
iij	jij
DRDEME.	DRDEME.
TIRINTE, ſeul.	TIRINTE, seul.
Ans quelle inquietude me laiſſez vous, Amaſie?	Ans quelle inquiétude me laissez -vous, Amasie?
& quelle main fauorable me retirera du dedale, où vous m’engagez vous meſme?	et quelle main favorable me retirera du dédale, où vous m'engagez vous même?
Venez, venez m’aſſeurer que vous voulez bien me perdre, ou que vous voulez me conſeruer, & ie ſçauray ce qu’il faudra que ie reſolue.	Venez, venez m'assurer que vous voulez bien me perdre, ou que vous voulez me conserver, et été sçauray ce qu'il faudra que je résolue.
N’auez vous oſé me dire que l’ambition a triomphé de voſtre amour?	N'avez -vous osé me dire que l'ambition a triomphé de votre amour?
Que ie reſolue, dites vous;	Que était résolue, dites -vous;
Hé bien, il faut vous contenter;	Hé bien, il faut vous contenter;
Hé bien, il faut obeïr au Roy, & vous donner ſujet de dire pour excuſer voſtre inconſtance, que ie ſuis cauſe de mon malheur.	Hé bien, il faut obéir au Roi, et vous donner sujet de dire pour excuser votre inconstance, que sans suis cause de mon malheur.
Si vous voulez vne couronne, & ſi ie vous ayme parfaitement, ie ne dois point conſulter entre voſtre gloire & mon repos.	Si vous voulez une couronne, et si je vous aime parfaitement, tu ne dois point consulter entre votre gloire et mon repos.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
TARSIS, TIRINTE.	TARSIS, TIRINTE.
Iſmtes PIIIeSIS.	Ismtes PIIISSIS.
Seigneur.	Seigneur.
TIRINTE.	TIRINTE.
A AnUros Ie viens de voir le Roy, & ie penſe auoir differé mon voyage, ou du moins i’ay fait enſorte qu’il ne me preſſera point de partir.	À AnUros Je viens de voir le Roi, et notre pense avoir différé mon voyage, ou du moins j'ai fait ensorte qu'il ne me pressera point de partir.
TIRINTE.	TIRINTE.
Mais auez vous obtenu du Roy cette grace ſans qu’elle vous couſte, Berenice.	Mais avez vous obtenu du Roi cette grâce sans qu'elle vous coûte, Berenice.
TARSIS.	TARSIS.
I’ay bien connu qu’il l’aymoit d’vne amour ſi violente, queie ne pouuois la combatre ſans ruiner mes eſperances.	J'ai bien connu qu'il l'aimait d'une amour si violente, queie ne pouvais la combattre sans ruiner mes espérances.
I’ay bien veu qu’en cette occaſion, il falloit feindre de ceder, afin d’obtenirla victoire.	J'ai bien vu qu'en cette occasion, il fallait feindre de céder, afin d'obtenirla victoire.
L’amour du Roy eſt, ce me ſemble vn prodige & vn deſodre dans la nature.	L'amour du Roi est, ce me semble un prodige et un desodre dans la nature.
Et quand ie le voy ſi ardant en vn âge ſi froid, ie m’imagine que la glace n’eſt plus ennemie du feu, & que le chaud & le froid -- -.	Et quand ici le vois si ardant en un âge si froid, tu m'imagine que la glace n'est plus ennemie du feu, et que le chaud et le froid -- -.
.	.
.	.
.	.
viennent de s’accorder enſemble.	viennent de s'accorder ensemble.
Mais quand ie regarde, Berenice, & que ie conſidere en elle tant de charmes & tant de graces, ie ceſſe de trouuer eſtrange qu’vn vieillard deuienne amoureux, & qu’vn prodige de beautéfaſſe des prodiges d’amour.	Mais quand grande regarde, Berenice, et que je considère en elle tant de charmes et tant de grâces, une cesse de trouver étrange qu'un vieillard devienne amoureux, et qu'une prodige de beautéfasse des prodiges d'amour.
