A MONSIEUR DE MOLIER Chef de la Trouppe des Comediens de Monſieur Frere Unique du Roy.	À MONSIEUR DE MOLIER Chef de la Troupe des Comédiens de Monsieur Frère Unique du Roi.
LELIE.	LELIE.
ſeul.	seul.
IE ne vous diray rien de cette Scene, puis qu'elle yne contieneque ces trois Vers.	JE ne vous dirai rien de cette Scène, puis qu'elle y contieneque ces trois Vers.
LELIE.	LELIE.
ſeul.	seul.
Non, non, à trop de peur mon ame s’abandonne, Le pere m’a promis, & la fille a fait voir Des preuves d’un amour, qui ſouſtient mon eſpoir.	Non, non, à trop de peur mon âme s'abandonne, Le père m'a promis, et la fille a fait voir Des preuves d'un amour, qui soutient mon espoir.
SCENE IX.	SCÈNE IX.
SGANARELLE.	SGANARELLE.
LELIE.	LELIE.
V'Eſt icy que l'Autheur fait voir, qu'il ne ſçait Opas moins bien repreſenter une pieçe, qu’il la ſçait compoſer;	V'Est ici que l'Auteur fait voir, qu'il ne sait Opas moins bien représenter une pieçe, qu'il la sçait composer;
puiſque l'on ne vit jamais rien de ſi-bienjoüé, que cette Scene.	puisque l'on ne vit jamais rien de si-bienjoüé, que cette Scène.
Sganarelle ayant arraché à ſa Femme le Portraict, qu’elle luy venoit de reprendre, vient pour le conſiderer à loiſir, lors que Lelie, voyant que cette boitte reſſembloit fort à celle, celle où eſtoit le portraict qu’il avoit donné à ſa Maiſtreſſe, s’approche de luy pour le regarder par deſſus ſon epaule:	Séanarelle ayant arraché à sa Femme le Portrait, qu'elle avait venoit sa mort, vient pour le considérer à loisir, lors que Lélie, voyant que cette boitte ressemblait fort à celle, celle où était le portrait qu'il avait donné à sa Maîtresse, s'approche de Seigneur pour le regarder par -dessus son eaule:
tellement que Sganarelle voyant qu’il n’a pas le loiſir de conſiderer ce portraict, comme il le voudroit bien, & que de quelque coſté qu’il ſe puiſſe tourner, il eſt obſedé par Lelie:	tellement que Séganarelle voyant qu'il n'a pas le loisir de considérer ce portrait, comme il le voudrait bien, et que de quelque côté qu'il se puisse tourner, il est obsédé par Lélie:
Et Lelie enfin de ſon coſté ne doutant plus que ce ne ſoit ſon portraict, & impatient de ſçavoir de qui Sganarelle peut l’avoir eu, s’enquerre de luy comment il eſt tombé entre ſes mains.	Et Lélie enfin de son côté ne doutant plus que ce ne soit son portrait, et impatient de savoir de qui Séganarelle peut l'avoir eu, s'enquerre de M comment il est tombé entre ses mains.
Ce deſir eſtonne Sganarelle:	Ce désir étonne Séganarelle:
mais ſa ſurpriſe ceſſe bien-toſt, lors qu’apres avoir bien examiné ce portraict, il reconnoiſt que c’eſt celuy de Lelie.	mais sa surprise cesse bientôt, lors qu'après avoir bien examiné ce portrait, il reconnaît que c'est celui de Lelie.
Il Iuy dit, qu’il ſçait bien le ſoucy qui le tient, qu’il connoiſt bien que c’eſt ſon portraict, & le prie de ceſſer un amour qu’un mary peut trouver fort mauvais.	Il Jui dit, qu'il sais bien le souci qui le tient, qu'il connaît bien que c'est son portrait, et le prie de cesser un amour qu'un mari peut trouver fort mauvais.
Lelie luy demande s’il eſt Mary de celle qui conſervoit ce gage.	Lelie était demande s'il est Mari de celle qui conservait ce gage.
Sganarelle luy dit qu’ouy, & qu’il en eſt Mary tres-marry, qu’il en ſçait bien la cauſe & qu’il va ſur l’heure l’apprendre aux Parens de ſa Femme.	Séganarelle avait dit qu'oui, et qu'il en est Mari très-marri, qu'il en sçait bien la cause et qu'il va sur l'heure l'apprendre aux Parents de sa Femme.
Et moy cependant je m’en vay vous apprendre les vers de cette Scene.	Et moi cependant je m'en vais vous apprendre les vers de cette Scène.
Il faut qué vous preniez garde qu’un agreable mal-entendu eſt ce qui fait la beauté de cette Scene, & que ſubſiſtant pendant le reſte de la piece, entre les quatre principaux Acteurs, qui ſont Sganarelle, ſa femme, Lelie & ſa Maiſtreſſe, qui ne s’entendent pas, il divertit merveilleuſement l’auditeur, ſans fatiguer ſon eſprit, tant il naiſt naturellement, & tant ſa conduite eſt admirable dans cette Fer	Il faut qué vous preniez garde qu'un agréable mal-entendu est ce qui fait la beauté de cette Scène, et que subsistant pendant le reste de la pièce, entre les quatre principaux Acteurs, qui sont Séganarelle, sa femme, Lélie et sa Maîtresse, qui ne s'entendent pas, il divertit merveilleusement l'auditeur, sans fatiguer son esprit, tant il nat naturellement, et tant sa conduite est admirable dans cette Fer
SGANARELLE.	SGANARELLE.
Nous l'avons, & je puis voir à l’aiſe la trogne, Du mal-heureux pendard qui cauſe ma vergôgne:	Nous l'avons, et je puis voir à l'aise la trogne, Du malheureux pendard qui cause ma vergôgne:
Il ne m’eſt point connu	Il ne m'est point connu
LELIE à part.	LELIE à part.
Dieux!	Dieux!
qu’apperçoy-je icy:	qu'aperçois-je ici:
Et ſi c’eſt mon portraict que doy-je croire auſſi?	Et si c'est mon portrait que dois-je croire aussi?
SGANARELLE continue.	SGANARELLE continue.
Ah!	Ah!
pauvre Sganarelle, à quelle deſtinée Ta reputation eſt-elle condamnée?	pauvre Sganarelle, à quelle destinée Ta réputation est-elle condamnée?
ApperApperçevant Lelie qui le regarde, il ſe retourne Faut.	ApperApperçevant Lélie qui le regarde, il se retourne Faut.
d’un autre coſté.	d'un autre côté.
LELIE à part.	LELIE à part.
Ce gage ne peut ſans allarmer ma foy Eſtre ſorty des mains qui le tenoit de moy.	Ce gage ne peut sans alarmer ma fo Itre sorti des mains qui le tenait de moi.
SGANARELLE.	SGANARELLE.
Faut-il que deſormais à deux doigts l’on te montre, Qu’on te mette en Chanſons, & qu’en toute rencon12.	Faut-il que désormais à deux doigts l'on te montre, Qu'on te mette en Chansons, et qu'en toute rencon12.
On te rejette au nez le ſcandaleux affront Qu'unle ſenmne Mar nee mprie lur tonfront?	On te rejette au nez le scandaleux affront Qu'unle senmène Mar née mprie lur tonfront?
LELIE à part.	LELIE à part.
Me trompay-je?	Me trompé-je?
SGANARELLE.	SGANARELLE.
Ah!	Ah!
trüande as tu bien le courage De m'avoir fait Cocu dans la neur de mon age?	truande as -tu bien le courage De m'avoir fait Cocu dans la neur de mon âge?
Et femme d’un mary qui peut paſſer pour beau, Faut il qu’un marmonſet un maudit étourneau.	Et femme d'un mari qui peut passer pour beau, Faut il qu'un marmonset un maudit étourneau.
LELIE à part, & regardant encor ſon portraict.	LELIE à part, et regardant encor son portrait.
Je ne m’abuſe point, c’eſt mon portraict luy-méme.	Je ne m'abuse point, c'est mon portrait Se-même.
SGANARELLE luy retourne le dos.	SGANARELLE était retourne le dos.
cet nenmietaealleua.	cet nenmietaealleua.
LELIE à part.	LELIE à part.
Ma ſurpriſe eſt extréme.	Ma surprise est extrême.
SGANARELLE.	SGANARELLE.
A qui donc en a-t’il?	À qui donc en a-t-il?
EELIE àparr.	ÉLIE aparr.
Je le veux accoſter.	Je le veux accoster.
Puis-je.	Puis-je.
haut.	haut.
he!	hé!
de grace un mot.	de grâce un mot.
SGANARELLE le ſuit encore.	SGANARELLE le suit encore.
Que me veut-il conter?	Que me veut-il conter?
LELIE.	LELIE.
Puis-je obtenir de vous de ſçavoir l’avanture, Qui fait dedans vos mains trouver cette peinture?	Puis-je obtenir de vous de savoir l'aventure, Qui fait dedans vos mains trouver cette peinture?
SGANARELLE à part, & examinant le portraict qu’il tient, & Lelie.	SGANARELLE à part, et examinant le portrait qu'il tient, et Lelie.
D’où luy vient ce deſir?	D'où lui vient ce désir?
mais je m’aviſe icy.	mais je m'avise ici.
Ah!	Ah!
ma foy me voilà de ſon trouble éclaircy, Sa ſurpriſe à preſent n’eſtonne plus mon ame, C eit mon fommey ou pluſtort eele cemy de ma femme.	ma foi me voilà de son trouble éclairci, Sa surprise à présent n'étonne plus mon âme, Ç it mon fommei ou plutort éle céri de ma femme.
LELIE.	LELIE.
Nous ſçavons, Dieu mercy, le ſoucy qui vous tient.	Nous Savons, Dieu merci, le souci qui vous tient.
Ce portraict qui vous faſche eſt voſtre reſſemblance, Il eſtoit en des mains de voſtre connoiſſance, Et ce n’eſt pas un fait qui ſoit ſecret pour nous, Que les douces ardeurs de la Dame & de vous:	Ce portrait qui vous fâche est votre ressemblance, Il était en des mains de votre connaissance, Et ce n'est pas un fait qui soit secret pour nous, Que les douces ardeurs de la Dame et de vous:
Je ne ſçay pas ſi j’ay dans ſa galanterie l’Honneur d’eſtre connû de voſtre ſeigneurie;	Je ne sais pas si j'ai dans sa galanterie l'Honneur d'être connu de votre seigneurie;
Mais faites-moy celuy de ceſſer deſormais, Un amour qu’un Mary peut trouver fort mauvais, Et ſongez que les nœuds du ſacré mariage.	Mais faites-moi celui de cesser désormais, Un amour qu'un Mary peut trouver fort mauvais, Et songez que les nœuds du sacré mariage.
Elalia.	Élalia.
Quoy, celle dites-vous dont vous tenez ce gage?	Quoi, celle dites-vous dont vous tenez ce gage?
SGANARELLE.	SGANARELLE.
Eſt ma femme, & je ſuis ſon Mary.	Est ma femme, et je suis son Mari.
LELIE.	LELIE.
Son Mary!	Son Mari!
DEANAREEEE.	DEANAREEEE.
Ouy ſon Mary, vous dis-je, & mary tres-marry, Vous en ſçavez la cauſe, & je m’en vais l’apprendre Sur l’heure à ſes parens.	Oui son Mari, vous dis-je, et mari très-marri, Vous en savez la cause, et je m'en vais l'apprendre Sur l'heure à ses parents.
SCENE X.	SCÈNE X.
LELIE ſeul.	LELIE seul.
Elie ſe plaint fort dans cette Scene de l’infidelité L de ſa Maiſtreſſe, & l’outrage qu’elle luy fait, ne l’abbattant pas moins, que les longs travaux de ſon voyage, le fait tomber en foibleſſe.	Élie se plaint fort dans cette Scène de l'infidélité L de sa Maîtresse, et l'outrage qu'elle avait fait, ne l'abattant pas moins, que les longs travaux de son voyage, le fait tomber en faiblesse.
Pluſieurs ont aſſez ridiculement repris cette Scene, ſans avoir (pour juſtifier leur impertinence) autre choſe à dite, ſinon que l’infidelité d’une Maiſtreſſe n’eſtoit pas capable de faire évanoüir un homme.	Plusieurs ont assez ridiculement repris cette Scène, sans avoir (pour justifier leur impertinence) autre chose à dite, sinon que l'infidélité d'une Maîtresse n'était pas capable de faire évanouir un homme.
D’autres ont dit encor que que cét évanoüiſſement eſtoit mal placé, & que l’on voyoit bien que l’Autheur ne s’en eſtoit ſervy que pour faire naiſtre l’incident, qui paroiſt en ſuitte.	D'autres ont dit encor que cet cét évanoüissement était mal placé, et que l'on voyait bien que l'Auteur ne s'en était servi que pour faire naître l'incident, qui paraît en suite.
Mais je répondray en deux mots aux uns & aux autres, & je dis d’abord aux premiers, qu’ils n’ont pas bien conſideré, que l’autheur avoit preparé cét incident long-temps devant, & que l’infidelité de la Maiſtreſſe de Lelie, n’eſt pas ſeule la cauſe de ſon évanoüiſſement, qu’il en a encor deux puiſſantes raiſons, dont l’une eſt les longs & penibles travaux d’un voyage de huit jours, qu’il avoit fait en poſte, & l’autre qu’il n’avoit point mangé depuis ſon arrivée, comme l’Autheur l’a decouvert cy-devant aux Auditeurs, en faiſant que Gros-rené le preſſe d’aller manger un morceau, afin de pouvoir reſiſter aux attaques du ſort, & c’eſt pour cela que je vous ay prié de remarquer la Scene qu’ils font enſemble, tellement qu’il n’eſt pas impoſſible qu’un homme qui arrive d’un long voyage, qui n’a point mangé depuis ſon arrivée, & qui apprend l’infidelité d’une Maiſtreſſe, s’evanoüiſſe.	Mais je répondrai en deux mots aux uns et aux autres, et je dis d'abord aux premiers, qu'ils n'ont pas bien considéré, que l'auteur avait préparé cet incident longtemps devant, et que l'infidélité de la Maîtresse de Lélie, n'est pas seule la cause de son évanouissement, qu'il en a encor deux puissantes raisons, dont l'une est les longs et pénibles travaux d'un voyage de huit jours, qu'il avait fait en poste, et l'autre qu'il n'avait point mangé depuis son arrivée, comme l'Auteur l'a de cy' aux Auditeurs, en faisant que Gros- le presse va manger un morceau, afin de pouvoir te aux attaques du sort, et est pour cela que je vous ay prié de remarquer la Scene ils font en, tellement il est pas impossible un homme qui arrive un long voyage, qui a point mangé depuis son arrivée, et qui apprend infidelité une Maistresse, evanoüisse.
VoiIà ce que j’ay à dire aux premiers cenſeurs de cet incident miraculeux.	VoisIà ce que j'ai à dire aux premiers censeurs de cet incident miraculeux.
Pour ce qui regarde les ſeconds, quoy qu’ils paroiſſent le reprendre avec plus de juſtice, je les confondray encore pluſtoſt, & pour commencer à leur faire voir leur ignorance, je veux leur accorder que l’Autheur n’a fait évanoüir Lelie que pour donner lieu à l’incident, qui ſuit;	Pour ce qui regarde les seconds, quoi qu'ils paraissent le reprendre avec plus de justice, je les confondrai encore plutôt, et pour commencer à leur faire voir leur ignorance, je veux leur accorder que l'Auteur n'a fait évanouir Lélie que pour donner lieu à l'incident, qui suit;
mais ne doivent-ils pas ſçavoir que quand un Autheur a un bel incident à inſerer dans une Piece, s’il trouve des moyens vrayſemblables pour les faire naiſtre, il en doit d’autant eſtre plus eſtimé, que la choſe eſt beaucoup difficile, & qu’au contraire s’il ne le fait paroiſtre que par des moyens erronez & tirez par la queuë, il doit paſſer pour un ignorant, puiſque c’eſt une des qualitez la plus neceſſaire à un Autheur, que de ſçavoir inventer avec une vraye-ſemblance;	mais ne doivent-ils pas savoir que quand un Auteur a un bel incident à insérer dans une Pièce, s'il trouve des moyens vraisemblables pour les faire naître, il en doit d'autant être plus estimé, que la chose est beaucoup difficile, et qu'au contraire s'il ne le fait paraître que par des moyens erroné et tirez par la queue, il doit passer pour un ignorant, puisque c'est une des qualités la plus nécessaire à un Auteur, que de sçavoir inventer avec une vraieize;
c’eſt pourquoy puis qu’il y a tant de poſſibilité & de vraye-ſemblance dans l’évanoüiſſement de Lelie, que l’on pourroit dire qu’il eſtoit abſolument neceſſaire qu’il s’eſvanoüiſt, puis qu’il auroit paru peu amoureux, ſi eſtant arrivé à Paris il s’eſtoit allé amuſer à manger, au lieu d’aller trouver ſa Maiſtreſſe:	c'est pourquoi puis qu'il y a tant de possibilité et de vraieemblance dans l'évanoüissement de Lelie, que l'on pourrait dire qu'il était absolument nécessaire qu'il s'esvanoüist, puis qu'il aurait paru peu amoureux, si étant arrivé à Paris il s'était allé amuser à manger, au lieu d'aller trouver sa Maîtresse:
Ils condamnent des choſes qu’ils devroient eſtimer, puiſque la conduite de cet incident avec toutes les preparations neceſſaires, fait voir, que l’Autheur penſe meurement à ce qu’il fait, & que rien ne ſe peut égaler à la ſolidité de ſon eſprit.	Ils condamnent des choses qu'ils devraient estimer, puisque la conduite de cet incident avec toutes les préparations nécessaires, fait voir, que l'Auteur pense meurement à ce qu'il fait, et que rien ne se peut égaler à la solidité de son esprit.
Voilà quelle eſt ma penſée là deſſus, & pour vous montrer que les raiſons que j’ay apportées ſont vrayes, vous n’avez qu’à lire ces vers.	Voilà quelle est ma pensée là -dessus, et pour vous montrer que les raisons que j'ai apportées sont vraies, vous n'avez qu'à lire ces vers.
LELIE ſeul.	LELIE seul.
Ah!	Ah!
que vien-je d’entendre;	que viens-je d'entendre;
L’on me l’avoit bien dit, & que c’eſtoit de tous, l’Homme le plus mal fait qu’elle avoit pour eſpoux.	L'on me l'avait bien dit, et que c'était de tous, l'Homme le plus mal fait qu'elle avait pour époux.
Eh!	Eh!
quand mille ſermens de ta bouche infidelle, Ne m’auroit pas promis une flâme eternelle, Le ſeul mépris d’un choix ſi bas & ſi honteux, Devoit bien ſouſtenir l’intereſt de mes feux, In grate, & quelque bien.	quand mille serments de ta bouche infidèle, Ne m'aurait pas promis une flamme éternelle, Le seul mépris d'un choix si bas et si honteux, Devait bien tenir l'intérêt de mes feux, In grate, et quelque bien.
mais ce ſenſible outrage Se meſlant aux travaux d’un aſſez long voyage, Me donne tort à coup un choc ſi violent, Que mon cœur devient foible, & mon corps chancelant.	mais ce sensible outrage Se mêlant aux travaux d'un assez long voyage, Me donne tort à coup un choc si violent, Que mon cœur devient faible, et mon corps chancelant.
SCENE XI.	SCÈNE XI.
LELIE.	LELIE.
LA FEMME DE SGANARELLE.	LA FEMME DE SGANARELLE.
TOyons, ſi quelqu’un n’aura point de pitié de ce V pauvre Amãt, qui tombe en foibleſſe.	TOyons, si quelqu'un n'aura point de pitié de ce V pauvre Amant, qui tombe en faiblesse.
La femme de Sganarelle en colere contre ſon Mary, de ce qu’il luy avoit emporté le bijou qu’elle avoit trouvé, ſort de chez elle, & voyant Lelie qui commençoit à s’évano uir, le fait entrer dans ſa ſalle, en attendant que ſon niar le pane, pagen apres les tramports de la jalouſie de Sganarelle, de l’effect que cet incident doit produire, & s’il fut jamais rien de mieux imaginé.	La femme de Séanarelle en colère contre son Mari, de ce qu'il lui avait emporté le bijou qu'elle avait trouvé, sort de chez elle, et voyant Lélie qui commençait à s'évano ir, le fait entrer dans sa salle, en attendant que son niar le pane, pagen après les tramports de la jalousie de Séganarelle, de l'effet que cet incident doit produire, et s'il fut jamais rien de mieux imaginé.
Vous pourrez lire les Vers de cette Scene, cependant que j’iray voir ſi Sganarelle a trouvé quelques uns des parents de ſa Femme.	Vous pourrez lire les Vers de cette Scène, cependant que j'irai voir si Séganarelle a trouvé quelques uns des parents de sa Femme.
LA FEMME de Sganarelle ſe tournant vers Lelie.	LA FEMME de Séganarelle se tournant vers Lelie.
Malgré moy mon perfide.	Malgré moi mon perfide.
helas!	hélas!
quel mal vous preſſe?	quel mal vous presse?
Je je vous voy preit, Momneur a tomper en foibleſſe.	Je Je vous vois prit, Momneur a tomper en faiblesse.
LELIE.	LELIE.
c’Eſt un mal qui m’a pris aſſez ſubitement.	c'Est un mal qui m'a pris assez subitement.
LA FEMME de Sganarelle.	LA FEMME de Séganarelle.
Je crains icy pour vous l’évanoüiſſement, Entrez dans cette ſalle en attendant qu’il paſſe.	Je crains ici pour vous l'évanouissement, Entrez dans cette salle en attendant qu'il passe.
LELIE.	LELIE.
Pour un moment ou deux j’accepte cette grace.	Pour un moment ou deux j'accepte cette grâce.
SCENE XII.	SCÈNE XII.
SGANARELLE & le PARENT de ſa FEMME.	SGANARELLE et le PARENT de sa FEMME.
L faudroit avoir le Pinceau de Pouſſin, le Brun & I Mignard, pour vous repreſenter avec quelle poſture Sganarelle ſe fait admirer dans cette Scene, où il paroiſt avec un Parent de ſa femme.	LIEU faudrait avoir le Pinceau de Poussin, le Brun et I Mignard, pour vous représenter avec quelle posture Séganarelle se fait admirer dans cette Scène, où il paraît avec un Parent de sa femme.
l’On n’a jamais veu tenir de diſcours ſi naïfs, ny paroiſtre avec un viſage ſi niais, & l’on ne doit pas moins admirer l’Autheur pour avoir fait cette pieçe, que pour la maniere dont il la repreſente.	L'On n'a jamais vu tenir de discours si naïfs, ni paraître avec un visage si niais, et l'on ne doit pas moins admirer l'Auteur pour avoir fait cette pie, que pour la manière dont il la représente.
Jamais perſonne ne ſçeut ſi-bien démonter ſon viſage, & l’on peut dire, que dedans cette Pieçe, il en change plus de vingt fois;	Jamais personne ne sut si-bien démonter son visage, et l'on peut dire, que dedans cette Pieçe, il en change plus de vingt fois;
mais comme c’eſt un divertiſſement que vous ne pouves avoir, à moins que de venir à Paris voir repreſenter cet incomparable Ouvrage, je ne vous en diray pas davantage, pour paſſer aux choſes, dont je puis plus aiſément vous faire part.	mais comme c'est un divertissement que vous ne pouvez avoir, à moins que de venir à Paris voir représenter cet incomparable Ouvrage, je ne vous en dirai pas davantage, pour passer aux choses, dont je puis plus aisément vous faire part.
Ce bon vieillard remontre à Sganarelle que le trop de promptitude expoſe ſouvent à l’erreur, que tout ce qui regarde l’honneur eſt delicat:	Ce bon vieillard remontre à Séanarelle que le trop de promptitude expose souvent à l'erreur, que tout ce qui regarde l'honneur est délicat:
en ſuitte il luy dit, qu’il s’informe mieux comment ce portraict eſt tombé entre les mains de ſa Femme, & que s’il ſe trouve qu’elle ſoit criminelle, il ſera le premier à punir ſon offence.	en suite il avait dit, qu'il s'informe mieux comment ce portrait est tombé entre les mains de sa Femme, et que s'il se trouve qu'elle soit criminelle, il sera le premier à punir son offense.
Il ſe retire apres cela.	Il se retire après cela.
Comme je n’ay pû dans cette Scene vous envoyer le portrait du viſage de Sganarelle, en voicy les Vers.	Comme je n'ai pu dans cette Scène vous envoyer le portrait du visage de Séganarelle, en voici les Vers.
LE PARENT.	LE PARENT.
d’Un Mary ſur ce point j’approuve le ſoucy, Mais c’eſt prendre la chevre un peu bien viſte auſſi, Et tout ce que de vous je viens d’oüir contr’elle, Ne conclut point Parent qu’elle ſoit criminelle, C’eſt un point delicat & de pareils forfaits Sans les bien averer ne s’imputent jamais.	d'Un Mari sur ce point j'approuve le souci, Mais c'est prendre la chèvre un peu bien vite aussi, Et tout ce que de vous je viens d'ouïrir contrend-elle, Ne conclut point Parent qu'elle soit criminelle, C'est un point délicat et de pareils forfaits Sans les bien avérer ne s'imputent jamais.
SGANARELLE.	SGANARELLE.
C’eſt à dire, qu’il faut toucher au doigt la choſe.	C'est -à -dire, qu'il faut toucher au doigt la chose.
LE PARENT.	LE PARENT.
Le trop de promptitude à l’erreur nous expoſe, Qui fçait comme en ſes mains ce portraict eſt venu;	Le trop de promptitude à l'erreur nous expose, Qui fait comme en ses mains ce portrait est venu;
Et ſi l’homme apres tout luy peut eſtre connu, Informez-vous en donc, & ſi c’eſt ce qu’on penſe, Nous ſerons les premiers à punir ſon offence.	Et si l'homme après tout même peut -vous connu, Informés-vous en donc, et si c'est ce qu'on pense, Nous serons les premiers à punir son offense.
SCENE XIII.	SCÈNE XIII.
SGANARELLE ſeul.	SGANARELLE seul.
Ganarelle, pour ne point démentir ſon Caractere, O qui fait voir un Homme facile à prendre toutes ſortes d’impreſſions, croit facilement ce que le bon homme luy dit, & commence à ſe perſuader, qu’il s’eſt trop toſt mis dans la teſte des viſions cornuës, ſors que Lelie ſortant de chez luy avec la femme qui Ie conduit, le fait de nouveau rentrer en jalouſie.	Ganarelle, pour ne point démentir son Caractère, Ô qui fait voir un Homme facile à prendre toutes sortes d'impressions, croit facilement ce que le bon homme lui dit, et commence à se persuader, qu'il s'est trop tôt mis dans la tête des visions cornues, sors que Lelie sortant de chez lui avec la femme qui Ie conduit, le fait de nouveau rentrer en jalousie.
Les vers qu’il dit dans cette Scene vous feront mieux voir ſon caractere, que je ne vous l’ay dépeint.	Les vers qu'il dit dans cette Scène vous feront mieux voir son caractère, que je ne vous l'ai dépeint.
SGANARELLE.	SGANARELLE.
On ne peut pas mieux dire, en effect il eſt bon D’aller tout doucement.	On ne peut pas mieux dire, en effet il est bon D'aller tout doucement.
Peut-eſtre ſans raiſon Me ſuis-je en teſte mis ces viſions cornuës, Et les ſueurs au front m’en ſont trop-toſt venuës:	Peut-être sans raison Me suis-je en tête mis ces visions cornues, Et les sueurs au front m'en sont trop-tôt venues:
Par ce portraict enfin dont je ſuis allarmé, Mon des-honneur n’eſt pas tout à raitconnrme :	Par ce portrait enfin dont je suis alarmé, Mon des-honneur n'est pas tout à raitconnrme :
Taſchons donc par nos ſoins.	Tâchons donc par nos soins.
SCENE XIV.	SCÈNE XIV.
SGANARELLE, ſa FEMME, LELIE ſur la porte de Sganarelle, en parlant à ſa Femme.	SGANARELLE, sa FEMME, LELIE sur la porte de Séganarelle, en parlant à sa Femme.
JE ne vous diray rien de cette Scene, & je vous laiſe I ſe juger par ces vers ue lu iuipihe de Sganarelle.	JE ne vous dirai rien de cette Scène, et je vous laize I se juger par ces vers ue lu juipihe de Séganarelle.
SGA	SGA
SGANARELLE pourſuit.	SGANARELLE poursuit.
Ah!	Ah!
que voy-je, je meure, Il n’eſt plus queſtion de portraict à cette heure, Voicy ma foy la choſe en propre original.	que vois-je, je meure, Il n'est plus question de portrait à cette heure, Voici ma foi la chose en propre original.
LA FEMME de Sganarelle à Lelie.	LA FEMME de Séganarelle à Lélie.
C’eſt partrop vous fateliMomeur;	C'est partrop vous fateliMomeur;
de vorremal, Si vous ſortez ſi-toſt, pourra bien vous reprendre.	de vorremal, Si vous sortez sitôt, pourra bien vous reprendre.
LELIE.	LELIE.
Non, non, je vous rends graces autant qu’oh puiſſe rendre.	Non, non, je vous rends grâces autant qu'oh puisse rendre.
De l’obligeant ſecours que vous m’avez preſté.	De l'obligeant secours que vous m'avez prêté.
SSMNAREEEE apart.	SSMNAREEEE appart.
La maſque encor apres luy fait civilité.	La masque encor après avoir fait civilité.
SCENE XV.	SCÈNE XV.
SGANARELLE, LELIE.	SGANARELLE, LELIE.
Elie donne ſans y penſer le change à Sganarelle D dans cette Scene, & ne le ſurprend pas moins que l’autre a tantoſt fait, en luy diſant qu’il tenoit ſon portraict des mains de ia Femme.	Élie donne sans y penser le change à Séganarelle D dans cette Scène, et ne le surprend pas moins que l'autre a tantôt fait, en lui disant qu'il tenait son portrait des mains de ja Femme.
Pour mieux juger de la ſurpriſe de Sganarelle, vous pouvez lire ces Vers, dont le dernier eſt placé ſi à propos, que jamais Pieçe entiere n’a fait tant d’éclat que ce vers ſeul.	Pour mieux juger de la surprise de Séanarelle, vous pouvez lire ces Vers, dont le dernier est placé si à propos, que jamais Pieège entière n'a fait tant d'éclat que ce vers seul.
SGANARELLE à part.	SGANARELLE à part.
Il m’apperçoit, voyons ce qu’il me pourra dire.	Il m'aperçoit, voyons ce qu'il me pourra dire.
LELIE à part.	LELIE à part.
Ah!	Ah!
mon ame s’émeut & cet object m’inſpire, Mais je doy condamner cet injuſte tranſport, Et n’imputer mes maux qu’aux rigueurs de mon fort.	mon âme s'émut et cet object m'inspire, Mais je dois condamner cet injuste transport, Et n'imputer mes maux qu'aux rigueurs de mon fort.
Envions ſeulement le bon-heur de ſa flâme, Ol trop heureux d’avoir une ſi belle Fernme.	Envions seulement le bonheur de sa flamme, Ol trop heureux d'avoir une si belle Fernme.
Paſſant auprés de luy & le regardant.	Passant auprès de force et le regardant.
SCEN E Ii.	SCEN E Ii.
SGANARELLE, CELIE, regardant aller Lelie.	SGANARELLE, CÉLIE, regardant aller Lélie.
On peut dire que cette Scene en contient deux, L puiſq;	On peut dire que cette Scène en contient deux, L puisque;
Sganarelle fait une eſpece de Monoloque, 2 4 penpendant que Celie qui avoit veu ſortir ſon Amant d’avec luy le conduit des yeux, juſqu’à ce qu’elle l’ait perdu de veuë pour voir ſi elle ne s’eſt point trompée.	Sanarelle fait une espèce de Monoloque, 2 4 pénendant que Célie qui avait vu sortir son Amant d'avec lui le conduit des yeux, jusqu'à ce qu'elle l'ait perdu de veuë pour voir si elle ne s'est point trompée.
Sganarelle de ſon coſté regarde auſſi en aller Lelie, & fait voir le dépit qu’il a de ne luy avoir pas fait inſulte, apres l’aſſeurance qu’il croit avoir d’eſtre Cocu de luy.	Séganarelle de son côté regarde aussi en aller Lélie, et fait voir le dépit qu'il a de ne lui avoir pas fait insulte, après l'assurance qu'il croit avoir d'être Cocu de lui.
Celie luy ayant laiſſé jetter la plus grande partie de ſon feu, s’en approche, pour luy demander, ſi ceIuy qui luy vient de parler, ne luy eſt pas connu;	Celie était ayant laissé jeter la plus grande partie de son feu, s'en approche, pour quelque demander, si ceIui qui lui vient de parler, ne lui est pas connu;
mais il luy répond avec ſa naifveté ordinaire, que c’eſt ſa Femme qui le connoiſt, & decouvre peu à peu, mais d’une maniere tout à fait agreable, que Lelie le deshonore.	mais il lui répond avec sa naifeté ordinaire, que c'est sa Femme qui le connaît, et découvre peu à peu, mais d'une manière tout à fait agréable, que Lelie le déshonore.
c’Eſt icy que l’equivoque divertit merveilleuſement l’Auditeur, puiſque Celie deteſtant la perfidie de ſon amaut, jettant feu & flâmes contre luy, & ſortant à deſſein de s’en vanger.	c'Est ici que l'équivoque divertit merveilleusement l'Auditeur, puisque Celie détestant la perfidie de son amitié, jetant feu et flammes contre quelques, et sortant à dessein de s'en venger.
Sganarelle croit qu’elle prend ſa deffence, & qu’elle ne court à deſſein de le punir que pour l’amour de luy.	Séganarelle croit qu'elle prend sa défense, et qu'elle ne court à dessein de le punir que pour l'amour de mieux.
