A PARIS, Chez JEAN MUSiEr, ruë de PetitPont, à l’Image Saint Antoine.	À PARIS, Chez JEAN MUSiEr, rue de PetitPont, à l'Image Saint Antoine.
Morbleu quel avalleur de pois gris, vrayement Il noublie les quatre doigts & le pouce, quel eſtropiat des machoires.	Morbleu quel avaleur de pois gris, vraiment Il noublie les quatre doigts et le pouce, quel estropiât des mâchoires.
Philippin.	Philippin.
Aga t’étonne tu de cela:	Aga t'étonne tu de cela:
les mains ſont faites devant les coûteaux.	les mains sont faites devant les coûteaux.
Ho dame je ne luis pas un entant, je ne me repais pas d’une fraize, bonne ſont les vertes.	Ho dame je ne luis pas un entant, je ne me repais pas d'une fraise, bonne sont les vertes.
Alaigre.	Alaigre.
Bonnes ſont les meures.	Bonnes sont les meures.
Philippin.	Philippin.
Bonnes ſont les noires.	Bonnes sont les noires.
Alaigre.	Alaigre.
Bonnes ſont les blanches.	Bonnes sont les blanches.
Philippin.	Philippin.
Mais que mange tu la en ton ſac, grand gueule, je crois que tu as le goſier pavé.	Mais que mange tu la en ton sac, grand gueule, je crois que tu as le gosier pavé.
Alaigre.	Alaigre.
Tu mets ton nez par tout, tu en as bien affaire, rien, rien, ne te fâche pas, choiſis quelque niais de Solongne, tu te trompe à profit, je ne te trouve point tant ſot:	Tu mets ton nez par tout, tu en as bien affaire, rien, rien, ne te fâche pas, choisis quelque niais de Solongne, tu te trompe à profit, je ne te trouve point tant sot:
tu ayme mieux deux œufs qu’une prune.	tu aime mieux deux œufs qu'une prune.
Philippin.	Philippin.
Tu es bien deſſalé, tu ſçais bien qui choiſit & prend le phe, eit inaudit de l’Evangile.	Tu es bien dessalé, tu sais bien qui choisit et prend le phe, eit inaudit de l'Évangile.
Alaigre.	Alaigre.
Philippin, laiſſons la l’ivrongnerie & parlons de boire.	Philippin, laissons la l'ivrongnerie et parlons de boire.
Je te pris hauſſons le goblet, nous ne boirons jamais ſi jeunes, je ſens bien que c’eſt trop filler ſans moüiller.	Je te pris haussons le goblet, nous ne boirons jamais si jeunes, je sens bien que c'est trop filler sans mouiller.
Philippin.	Philippin.
Du temps du Roy Guillemot on ne parloir que de boire, maintenant on n’en dit mor, que t’en ſemble mon compere.	Du temps du Roi Guillemot on ne parloir que de boire, maintenant on n'en dit mór, que t'en semble mon compère.
Lidias.	Lidias.
Ma cher Florinde, voust tetiey traittée à la fourche, mais imaginez-vous que vous étes à la guerre.	Ma cher Florinde, voust tetie traitée à la fourche, mais imaginez-vous que vous êtes à la guerre.
Florinde.	Florinde.
Une pomme mangée avec contentement, vaux mieux qu'une peruria dans je tourment.	Une pomme mangée avec contentement, vaux mieux qu'une péruria dans je tourment.
Pour moy je trouve qu’il n’eſt feſtin que de gueux quand toutes les bribes ſont	Pour moi je trouve qu'il n'est festin que de gueux quand toutes les bribes sont
ramaſſées.	ramassées.
Lidias.	Lidias.
Il ne fut jamais ſi bon temps que quand le feu Roy Guillot vivoit, on mettoit le pot ſur la table, on ne ſervoit point au buffet.	Il ne fut jamais si bon temps que quand le feu Roi Guillot vivait, on mettait le pot sur la table, on ne servait point au buffet.
Lid 2569 Florinde.	Lid 2569 Florinde.
A l’occaſion on prend ce qui vient à l’ameçon, tout cecy ne m’eſt point à rebours.	À l'occasion on prend ce qui vient à l'ameçon, tout ceci ne m'est point à rebours.
TI.	TY.
CIIH3 Lidias.	CIIH3 Lidias.
Quand vous n’auriez point d’appetit, ces garçons vous en peuvent donner en les regardant:	Quand vous n'auriez point d'appétit, ces garçons vous en peuvent donner en les regardant:
mais goûtez un peu de cela.	mais goûtez un peu de cela.
niers.	niers.
praml.	praml.
Comme diable tu hauſſe le temps.	Comme diable tu hausse le temps.
Florinde.	Florinde.
Les premiers morceaux nuiſent aux derAlaigre.	Les premiers morceaux nuisent aux derAlaigre.
Allons à cétuy là, prends de la peinte tout Philippin.	Allons à cetui là, prends de la peinte tout Philippin.
Alaigre.	Alaigre.
Cela paſſe doux comme lait, mais je penſe que tu es fils de tonnelier, tu as une belle avalloire, & bien qu’en dis-tu, ce vin là ſeroit-il bon à faire des cuſtodes, il eſt rouge & verd :	Cela passe doux comme lait, mais je pense que tu es fils de tonnelier, tu as une belle avalloire, et bien qu'en dis-tu, ce vin là serait-il bon à faire des custodes, il est rouge et verd :
c’eſt du vin à deux oreilles, ou du vin de Bretigny qui fait dancer les chevres.	c'est du vin à deux oreilles, ou du vin de Bretigny qui fait dancer les chèvres.
Philippin.	Philippin.
Je croy qu’il eſt parent du roulier d’Orleans comme Ginguet, toutes fois à ſix & à ſept tout paſſe par un foſſet.	Je crois qu'il est parent du roulier d'Orleans comme Ginguet, toutes fois à six et à sept tout passe par un fosset.
Philippin.	Philippin.
Je me porte mieux que tantôt, il me ſembloit que le Soleil me luiſoit dans le ventre, il y a long-temps que je ne me ſuis donne une telle carrelure de globe.	Je me porte mieux que tantôt, il me semblait que le Soleil me luisait dans le ventre, il y a longtemps que je ne me suis donne une telle carrelure de globe.
Alaigre.	Alaigre.
Ma foy cela m’eſt venu comme un os dans la gueule d’un chien, mais tu reſſemble aux Procureurs, tu veux relever mangerie.	Ma foi cela m'est venu comme un os dans la gueule d'un chien, mais tu ressemble aux Procureurs, tu veux relever mangerie.
Courage courage, ſi tu meurs à la table je veux mourir à tes pieds, beuvons en tire-larigot.	Courage courage, si tu meurs à la table je veux mourir à tes pieds, buvons en tire-larigot.
Philit pin.	Philit pin.
Il vaut autant le depouiller icy qu’en la taverne.	Il vaut autant le dépouiller ici qu'en la taverne.
Alaigre chante.	Alaigre chante.
Andoüilles de Troyes, ſauciſſons de Boulongne, marons de Lyon, vin muſcat de Frontignat, figues de Marſeille, cabats d’Avignon, ſont des mets pour les bons com	Andoüilles de Troyes, saucissons de Boulongne, marons de Lyon, vin muscat de Frontignat, figues de Marseille, cabats d'Avignon, sont des mets pour les bons com
pagnons.	pagnons.
Philippin.	Philippin.
O qu’Ileut raviſſant il chante comme une l' ſerene de pré au Clercs & fredonne comme le cul d’un mulet.	Ô qu'Ilut ravissant il chante comme une l' serene de pré au Clercs et fredonne comme le cul d'un mulet.
Allons maſſe à qui dit.	Allons masse à qui dit.
Alaigre.	Alaigre.
Taupe, taupe morbleu, je vaux mieux écu	Taupe, taupe morbleu, je vaux mieux écu
que je ne valois maille.	que je ne valais maille.
Philippin.	Philippin.
O je luis Roy de Potiers, Il ne faut plus que me couronner d’une chauffette, qu’en dis-tu;	Ô je luis Roi de Potiers, Il ne faut plus que me couronner d'une chaussette, qu'en dis-tu;
il ne nous faut plus des choux, ſi nous n’avons de la graiſſe.	il ne nous faut plus des choux, si nous n'avons de la graisse.
il rote.	il rote.
Alaigre, Noubliez pas la confrerie des pourceaux.	Alaigre, Noubliez pas la confrérie des pourceaux.
en voicy le Marguillier.	en voici le Marguillier.
Philippin.	Philippin.
Un étron pour le quêteur.	Un étron pour le questeur.
Morgoy me voila plein comme un œuf, & je croyois	Morgoi me voilà plein comme un œuf, et je croyais
Philippin.	Philippin.
J’ay fait comme les bons chevaux, je me ſuis échauffé en mangeant.	J'ai fait comme les bons chevaux, je me suis échauffé en mangeant.
Plorinde.	Plorinde.
Je commence à avoir de la poudre aux yeux le petit bon homme me prend.	Je commence à avoir de la poudre aux yeux le petit bon homme me prend.
Lidias.	Lidias.
La chaleur nous convient de mettre Caſaquin bas.	La chaleur nous convient de mettre Casaquin bas.
Alaigre.	Alaigre.
Je ſuis fort aiſé à nourir quand je ſuis ſaoul je ne demande qu’à dormir, c’eſt un ſaut que i’ayme bien a faire de la table au lit.	Je suis fort aisé à nourir quand je suis saoul je ne demande qu'à dormir, c'est un saut que j'aime bien a faire de la table au lit.
Je penſe bien dormir en repos en quittant mes habits, car il n’y à rien à perdre.	Je pense bien dormir en repos en quittant mes habits, car il n'y à rien à perdre.
Philippin.	Philippin.
Fils de putain en qui tiendra.	Fils de putain en qui tiendra.
Alaigre.	Alaigre.
Philippin, viens icy travailler, ta journée eſt payée.	Philippin, viens ici travailler, ta journée est payée.
Philippin.	Philippin.
Mais voicy une épingle d’enfer, elle tient comme tous les diables Alaigre.	Mais voici une épingle d'enfer, elle tient comme tous les diables Alaigre.
Cela fut joüé à Lôche, c’eſt que tu n’entens pas le trantran, car tu es maladroit comme Cuëillart.	Cela fut joué à Lôche, c'est que tu n'entends pas le trantran, car tu es maladroit comme Cueillart.
Il n’y a remede puis que vous avez fait un trou à la nuit, & que vous avez emporte le chat.	Il n'y a remède puis que vous avez fait un trou à la nuit, et que vous avez emporte le chat.
Mademoiſelle, il faut prendre le temps comme il vient.	Mademoiselle, il faut prendre le temps comme il vient.
Florinde.	Florinde.
Cela vous plaît a dire maſque, tout cela eſt bien, nous voila déhabillez le mieux du monde:	Cela vous plaît -à -dire masque, tout cela est bien, nous voilà déhabillez le mieux du monde:
ça joüons un peu à la cleine mucette.	ça joüons un peu à la cleine mucette.
Alaigre.	Alaigre.
Tête bleu que voila un joly chapeau de eotu, je laurois non plus de pirié d’eſle, qu’un Avocat d’un écu.	Tête bleu que voilà un joli chapeau de eotu, je laurais non plus de pirié d'esle, qu'un Avocat d'un écu.
SCENE IV.	SCÈNE IV.
Les quatre Bœmiens, le Cœſre, une Vielle, ſa Fille & le Gagou.	Les quatre Bœmiens, le Cœsre, une Vielle, sa Fille et le Gagou.
18	18
Le Cœſre.	Le Cœsre.
T bien n’entens-je pas à pincer ſans rire, LIl n’apartient qu’à moy de faire rafle en trois coups, vous n’y allez que d’une feſſe, vous craignez la touche premier que d’avoir mis la griffe:	T bien n'entends-je pas à pincer sans rire, LIl n'appartient qu'à moi de faire rafle en trois coups, vous n'y allez que d'une fesse, vous craignez la touche premier que d'avoir mis la griffe:
C’eſt lors que l’on eſt nanty qu’il faut craindre la harpe, comme à cette heure que nous avons attrimé au paſſeligourt & fait une bonne grivelée, il faut le pelé gagnier le haut, & mettre ſes quilles à ſon col.	C'est lors que l'on est nanti qu'il faut craindre la harpe, comme à cette heure que nous avons attrimé au passeligourt et fait une bonne grivelée, il faut le pelé gagnier le haut, et mettre ses quilles à son col.
La Vieille.	La Vieille.
Par ma nenda il faut promptement nous ôter de deſſous les pates des chiens courans du bourreau, de peur que le brimort ne nous chaſſe les mouches de deſſus les épaules au cul d’une Charette, & qu’il ne nous dõne les marques de la ville de peur de nous perdre en falait lu procomon puries Carretours, ſi nous pouvions trouver d’autres langue pour nons couvrir nous aurions bien le vent en poupe.	Par ma nenda il faut promptement nous ôter de dessous les pates des chiens courants du bourreau, de peur que le brimort ne nous chasse les mouches de dessus les épaules au cul d'une Charette, et qu'il ne nous donne les marques de la ville de peur de nous perdre en salait lu procon puries Carretours, si nous pouvions trouver d'autres langue pour nons couvrir nous aurions bien le vent en poupe.
La Fille.	La Fille.
Saint Migorce nous ſommes nées coiffées, il ne faut plus que des alloüettes roties nous tomber au bec, Aga, Aga ma mie voicy du monde ſous ces arbres qui joüe à la ronfle, qui ont quitté leur vollans, avec des habits de peur d’avoir trop chaud, il les faut attimer & dire grand mercy juſques au rendre, qui ſera la ſemaine au trois Jeudis, trois jours aprés jamais.	Saint Migorce nous sommes nées coiffées, il ne faut plus que des allongettes rôties nous tomber au bec, Aga, Aga ma mie voici du monde sous ces arbres qui joue à la ronfle, qui ont quitté leur vollants, avec des habits de peur d'avoir trop chaud, il les faut attimer et dire grand merci jusques au rendre, qui sera la semaine au trois Jeudis, trois jours après jamais.
Le Cagou.	Le Cagou.
La Vieille.	La Vieille.
Il faut que je laiſſe ma tête & que je me Ierve de cecy lans prendre ma meſure.	Il faut que je laisse ma tête et que je me Jerve de ceci lans prendre ma mesure.
La Fille.	La Fille.
j’ay fait, que faray-je.	j'ai fait, que sarai-je.
Le Coëſre.	Le Coësre.
Il ne faut pas icy ſe mirer dans ſes plumes échapons preſtement, & perdons la veuë du clocher.	Il ne faut pas ici se mirer dans ses plumes échappons prestement, et perdons la vue du clocher.
Il faut trouſſer ſes quiles & ſes trottains de peur d’être pris du galliot, laiſſons nos vollans & le reſte de nos habits à ces pauvres diables à qui on donnera la ſauſſe ſi on les trouve avec la robe du chat, ils n’auroient pas ii bon marcne de nous, ſi la peur que j’ay d’être pris ne m’empéchoit, il les faudroit rendre nuds comme la miai Lu r lellbe.	Il faut trousser ses quiles et ses trottains de peur d'être pris du galiot, laissons nos vollants et le reste de nos habits à ces pauvres diables à qui on donnera la fusse si on les trouve avec la robe du chat, ils n'auraient pas ii bon marcne de nous, si la peur que j'ai d'être pris ne m'empêchait, il les faudrait rendre nus comme la miai Lu lellbe.
Allons allons, qui trop embraſſe mal étreint, la trop grande convoitiſe rompt le	Allons allons, qui trop embrasse mal êtreint, la trop grande convoitise rompt le
ſac.	sac.
Le Cagou.	Le Cagou.
Maudit ſoit le dernier, ſauvons nous le Prevôt nous cherche.	Maudit soit le dernier, sauvons nous le Prévôt nous cherche.
SCENE IV.	SCÈNE IV.
de bois, j’en avois ſi envie de rire, je ne ſçay que cela ſignifie, pour moy je n’y ajoûte point de foy, car les ſonges ſont menſonges:	de bois, j'en avais si envie de rire, je ne sais que cela signifie, pour moi je n'y ajoute point de foi, car les songes sont mensonges:
mais quand j’y penſe tout de bon il ne faſt guelte memeul iei qu’en un coupe gorper frſaigre de bout les vaches vont aux	mais quand j'y pense tout de bon il ne fât guelte mémeul umi qu'en un coupe gorper frsaigre de bout les vaches vont aux
champs.	champs.
Alaigre.	Alaigre.
Je t’enjolle peigne de boui, laiſſe repoſer mon humanité, ſi tu m’importune d’avantage, tu me déroberas un ſoufflet.	Je t'enjolle peigne de boui, laisse reposer mon humanité, si tu m'importune d'avantage, tu me déroberas un soufflet.
Philippin.	Philippin.
O pareſſeux, quand je te regarde je ne vois rien qui vanle, car tu ne vaut pas le debrider, aprés boire prens garde à toi telle vie, telle fin.	Ô paresseux, quand je te regarde je ne vois rien qui vanle, car tu ne vaut pas le débrider, après boire prends garde à toi telle vie, telle fin.
Alaigre.	Alaigre.
Tu as raiſon gros badin, tu ſerois bien ſur le bort d’un étang, tu re montrerois bien au peuple, voila un homme diligent pour en parler, il ſe leve tous les jours à huit heures, jour ou non.	Tu as raison gros badin, tu serais bien sur le bort d'un étang, tu re montrerais bien au peuple, voilà un homme diligent pour en parler, il se lève tous les jours à huit heures, jour ou non.
Philippin.	Philippin.
Ouie, Aga, hé quelle heures penſe tu qu’il ſoit.	Ouie, Aga, hé quelle heures pense tu qu'il soit.
Alaigre.	Alaigre.
Philippin.	Philippin.
Iient la voila pour choſe qu’eſle vaut.	Jient la voilà pour chose qu'éle vaut.
Alaigre.	Alaigre.
Tu as la berlus je croy que tu as été au treſpaſſement d’un chat, tu vois trouble.	Tu as la berlus je crois que tu as été au trépassement d'un chat, tu vois trouble.
Philippin.	Philippin.
Qu’importe tu n’as pas changé ton cheval borgne à un aveugle.	Qu'importe tu n'as pas changé ton cheval borgne à un aveugle.
Alaigre.	Alaigre.
Que diable eſt ce cy, ne voicy que des frippes propres à joüer une farce:	Que diable est ce cy, ne voici que des fripes propres à jouer une farce:
voila qui eſt riolé, piolé cõme la chandelle des rois, Philippin à quel jeu joüons nous tout de bon ou pour bahutter.	voilà qui est riolé, piolé comme la chandelle des rois, Philippin à quel jeu jeûnons nous tout de bon ou pour bahuter.
Philippin.	Philippin.
Je crois qu’on nous a fait grippe cheville, Monfieur, Monſieur levez vous, aux voleurs on nous couppe la gorge, aux voleurs aux voleurs on nous a dévaliſez.	Je crois qu'on nous a fait grippe cheville, Monfieur, Monsieur levez -vous, aux voleurs on nous couppe la gorge, aux voleurs aux voleurs on nous a dévalisez.
Lidias.	Lidias.
Qu’eſt-ce, qu’eſt-ce.	Qu'est-ce, qu'est-ce.
Phuippmn.	Phuipmn.
Ha!	Ha!
nous ſommes volez depuis les pieds juſques à la tête.	nous sommes volez depuis les pieds jusqu' à la tête.
Lidias.	Lidias.
Te mocque tu de la barboüillée.	Te moque tu de la barbouillée.
Alaigre.	Alaigre.
Sans raillerie nous ſommes pris pour dupes, il y a de l’ordure au bout du bâton, on nous a jetté le chat aux jambes, & voici les habits de quelque Bœmiens qui ont fait la picorée en prenant les nôtres pour ſe ſauver ils ſe ſont couvert d’un ſac moüillé.	Sans raillerie nous sommes pris pour dupes, il y a de l'ordure au bout du bâton, on nous a jeté le chat aux jambes, et voici les habits de quelque Bœmiens qui ont fait la picorée en prenant les nôtres pour se sauver ils se sont couvert d'un sac mouillé.
Lidias.	Lidias.
57 Otons nous du grand chemin, de peur de payer la folle enchere des fautes d’autruy-	57 Otons nous du grand chemin, de peur de payer la folle enchère des fautes d'autrui-
Florinde.	Florinde.
e ei rort bien die, Irattenuons pas la pluye, mettons nous a couvert.	est rei rort bien die, Jrattenvons pas la pluie, mettons nous a couvert.
Alaigre.	Alaigre.
Mon maître à quelque choſe le malheur eſt bon, voicy qui nous vient comme Mars en Carême, nous pouvons nous déguiſer en ceux qui nous ont joüé cette trouſſe, ſes breluques nous y ſerviront & contrefaiſant les Bœſmiens nous pourons facilement donner une caſſade au Docteur, il eſt aſſez aiſé à enjoller, à un beſoin on luy feroit croire que les nuées ſont des poëſles d’airain, laiſſez me luy joüer cette fourbe, je gageray ma tête à couper qui eſt la gajeure d’un tol, que j’en viendray à bout, vous n’aurez qu’a faire comme au jeu de l’abé qu’à me ſuivre, je vous veux premierement apprendre cinq ou ſix mots d’un langage que j’ay apris à la Cour du grand Cœſre, du temps que j’étois marmy Matrois, cagoux, poliſſon, caſſeur de hannes, je ne me mocque par ma foy pas, je veux qu’on me coupe la tête ſi je ne vous mets d’accord avec le Docteur, comme le bois dequoy on fait les vieles.	Mon maître à quelque chose le malheur est bon, voici qui nous vient comme Mars en Carme, nous pouvons nous déguiser en ceux qui nous ont joué cette trousse, ses breluques nous y serviront et contrefaisant les Bœsmiens nous pourons facilement donner une cassade au Docteur, il est assez aisé à enjôler, à un besoin on lui ferait croire que les nuées sont des poësles d'air, laissez me lui jeter cette fourbe, je gagerai ma tête à couper qui est la gajeure d'un tol, que j'en viendrai à bout, vous n'aurez qu'a bite comme au jeu de l'à me suivre, je vous veux premièrement apprendre cinq ou six mots un langage que ay apris la Cour du grand Cœsre, du temps que étois marmy Matrois, cagoux, polisson, casseur de hannes, je ne me mocque par ma foi pas, je veux on me coupe la tête si je ne vous mets accord avec le Docteur, comme le bois dequoy on fait les vièles.
Philippin.	Philippin.
luy, ce garçon l’a à de l’eiprit, n’a couché au Cimetiere.	Ah, ce garçon l'a à de l'eiprit, n'a couché au Cimetière.
Alaigre.	Alaigre.
Allons eſcamotons vîtement d’icy, il me ſemble qu’õ me tient au cul & aux chauſſes.	Allons escamotons vitement d'ici, il me semble qu'on me tient au cul et aux chausses.
Philippin.	Philippin.
Le cul me fait lape, lape, lape.	Le cul me fait lape, lape, lape.
Florinde.	Florinde.
Si l’on venoit à nous courir nous n’échaperions pas pour courir, dépêchons de nous ſauver.	Si l'on venait à nous courir nous n'échapperions pas pour courir, dépêchons de nous sauver.
Philippin.	Philippin.
Les dépêchez ſont pendus, drillons vîte.	Les dépêchés sont pendus, drillons vite.
Bmaigre.	Bmaigre.
J’ay ſi grand peur qu’on me boucheroit le cul d’une charetée de foin.	J'ai si grand peur qu'on me boucherait le cul d'une charetée de foin.
SCENE VI.	SCÈNE VI.
Fierabras.	Fierabras.
Aut-il que l’invincible Fierabras de qui Tla valeur fait fẽdre les pierres, ſoit maintenant au bout de ſon rôlet:	Aut-il que l'invincible Fierabras de qui Tla valeur fait fẽdre les pierres, soit maintenant au bout de son rôlet:
faut-il qu’il ſoit auſſi chanceux que cogne fetu, qui ſe tuë & ne fait rien, quoy?	faut-il qu'il soit aussi chanceux que cogne fétu, qui se tue et ne fait rien, quoi?
faut-il que mes deſſeins pour être trop relevez, reſſemblent aux mõtagnes qui n’enfantent que des ſouris, fautil diſ-je, que je ne me puiſſe mouvoir ſans que tout le monde en ſoit abrevé, & que ſes petits avortons de la nuit, ſes Pigmées qui ont enlevé ma Florinde ayent éventé la mine que je voudrois faire joüer, & que mes ſtratagemes & virevoltes n’ayent ſervi qu’à les faire fuir comme trepillards, ou comme un Renard devant un Lion:	faut-il que mes desseins pour être trop relevés, ressemblent aux montagnes qui n'enfantent que des souris, fautil dis-je, que je ne me puisse mouvoir sans que tout le monde en soit abrevé, et que ses petits avortons de la nuit, ses Pigmées qui ont enlevé ma Florinde aient éventé la mine que je voudrais faire jouer, et que mes stratagèmes et virevoltes n'aient servi qu'à les faire fuir comme trepillards, ou comme un Renard devant un Lion:
Mon excellence ce fût bien abaiſſée juſques à courir aprés eux:	Mon excellence ce fût bien abaissée jusques à courir après eux:
mais l’Orphevre qui me faiſoit des éperons à pointe de diamants, a fait un pas de clerc qui l’a fait cacher en un trou de ſouris où le diable ne le trouveroit pas.	mais l'Orphevre qui me faisait des éperons à pointe de diamants, a fait un pas de clerc qui l'a fait cacher en un trou de souris où le diable ne le trouverait pas.
D’ailleurs pour m’achever de peindre les Couriers qui portoient par monts & par vaux les tonnerres de ma renommée, ont ravi des chevaux toutes les poſtes & les relais du monde, & tant y a que me voila attrapé:	D'ailleurs pour m'achever de peindre les Couriers qui portaient par monts et par vaux les tonnerres de ma renommée, ont ravi des chevaux toutes les postes et les relais du monde, et tant y a que me voilà attrapé:
par la tête du Sort & du Deſtin ils ne me peuvent fuir, cela m’eſt hoc, je le feray croquer le marmouſet comme il faut, & à qui te jouë tu;	par la tête du Sort et du Destin ils ne me peuvent fuir, cela m'est hoc, je le ferai croquer le marmouset comme il faut, et à qui te joue tu;
quelque ſot mangeroit ſon frein & n’en diroit mot.	quelque sot mangerait son frein et n'en dirait mot.
Ha, que ſi j’euſſe eſté en chair & en os comme oi iimadon, niu meciene puuretournez taiis vin Doire, ny bête vendre:	Ha, que si j'eusse été en chair et en os comme oi jimadon, niu meciene puuretournez taiis vin Doire, ni bête vendre:
mais il faut que j’aille faire en ſorte de découvrir le trantran.	mais il faut que j'aille faire en sorte de découvrir le trantran.
MEIE INOIOIEIIL.	MEIE INOIOIEIL.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
Alaigre, Philippin, Lidias & Flormus, Déguiſez en Bœſmiens.	Alaigre, Philippin, Lidias et Flormus, Déguisez en Bœsmiens.
Alaigre.	Alaigre.
E voila maintenant preparé comme Mun boureau qui eſt de fête, je m’inmagine qu’on ne nous prendroit pas tous quatre pour des enfans du bourlabé qui ne demandent qu’amour & ſimpleſſe, on nous prendroit bien plûtôt pour des carabins de la comette & pour des éveillez qui ne cherche que chappe-chutte, un Cabartier nous regarde droit à deux fois, avant que nous donner quelque choſe, il auroit peur d’être payé en monnoye de Singe:	E voilà maintenant préparé comme Mun boureau qui est de fête, je m'inmagine qu'on ne nous prendrait pas tous quatre pour des enfants du bourlabé qui ne demandent qu'amour et simplesse, on nous prendrait bien tôt pour des carabins de la comette et pour des éveillez qui ne cherche que chapechute, un Cabartier nous regarde droit à deux fois, avant que nous donner quelque chose, il aurait peur d'être payé en monnaie de Singe:
Florinde a bien la mine de ſes Ficheuſes qui reſſemble aux balances d’un boucher qui peſent toutes ſortes de viandes, car la voila trouſſée comme une poire de chiot, mon maître à mieux la mine d’un geutteur de chémins & d’un ecornifſeur de potence que d’un moulin à vent & Philippin pour une bourgeoiſe d’Aubervilliers, à qui les joües paſſent le	Florinde a bien la mine de ses Ficheuses qui ressemble aux balances d'un boucher qui posent toutes sortes de viandes, car la voilà troussée comme une poire de chiot, mon maître à mieux la mine d'un geuteur de chemins et d'un ecornifseur de potence que d'un moulin à vent et Philippin pour une bourgeoise d'Aubervilliers, à qui les joües passent le
nez.	nez.
Philippin.	Philippin.
Tu as raiſon, toy tu reſſemble mieux à un parement de gibet, qu’à un quarteron de pomiles, mais n’importe i'habit ne fait pas le Moine Aga, queu ſi, queu my, Te rogamus audi nos.	Tu as raison, toi tu ressemble mieux à un parement de gibet, qu'à un quarteron de pomiles, mais n'importe j'habit ne fait pas le Moine Aga, queu si, queu mi, Te rogamus audi nos.
Alaigre.	Alaigre.
lent latin.	lent latin.
Lidias.	Lidias.
Florinde, au conte de ces garçons, tu paſſeras pour une bourgeoiſe du Nil, ou d’Alger.	Florinde, au conte de ces garçons, tu passeras pour une bourgeoise du Nil, ou d'Alger.
Florinde.	Florinde.
Et toy Lidias, pour un Pelerin de la me	Et toi Lidias, pour un Pèlerin de la me
que, Vrayement Alaigre a plus d’eſprit qu’un gerfault, il me fait eſperer que nous ne demeurerons pas ſur la crouppe d’or,	que, Vraiment Alaigre a plus d'esprit qu'un gerfault, il me fait espérer que nous ne demeurerons pas sur la croupe d'or,
Alaigre.	Alaigre.
Ouy, mais ce n’eſt pas tout que des choux.	Oui, mais ce n'est pas tout que des choux.
il faut ſçavoir ſon rollet, je doute fort que Philippin ne ſçache que le trou de boucle, là là, il faut commencer ſon dicton en faiſant chemin.	il faut sçavoir son rollet, je doute fort que Philippin ne sache que le trou de boucle, là , il faut commencer son dicton en faisant chemin.
Philippin diras-tu la bonne aventure ſans rire.	Philippin diras-tu la bonne aventure sans rire.
Philippin.	Philippin.
Encore que je ne manque pas d’ignorance.	Encore que je ne manque pas d'ignorance.
je ſerois bon à vendre vache foireuſe, je ne ris point ſi je ne veux, & ſi j’ay caquet bon ſec, la poulle à ma tente.	je serais bon à vendre vache foireuse, je ne ris point si je ne veux, et si j'ai caquet bon sec, la poulle à ma tente.
Alaigre Diras-tu bien ce que j’ay mis dans la cruche, ſçais tu bien river le bis, ou touſquailler bigorne.	Alaigre Diras-tu bien ce que j'ai mis dans la cruche, sais tu bien river le bis, ou tousquailler bigorne.
Philippin.	Philippin.
Jaſpin je rivefremy comme pere & mere, il ne me reſte plus qu’à caſſer les hannes, pour me rendre plus fin que maître Gonin.	Jaspin je rivefremi comme père et mère, il ne me reste plus qu'à casser les hannes, pour me rendre plus fin que maître Gonin.
Lidias.	Lidias.
Philippin eſt ſçavant juſques aux dents, il a mangé ſon Breviaire.	Philippin est Savant jusques aux dents, il a mangé son Breviaire.
Alaigre.	Alaigre.
O diable c’eſtun bon gars:	Ô diable c'estun bon gars:
il entend cela, ſon pere en vendoit.	il entend cela, son père en vendait.
Lidias.	Lidias.
Florinde puis que nous ſommes avec les Loups il faut hurler & dire nôtre ratelée de ce jargon, où ne s’en point méler, & com	Florinde puis que nous sommes avec les Loups il faut hurler et dire notre ratelée de ce jargon, où ne s'en point mêler, et com
LA COMEBIE	LA COMEBIE
me il nous viendra à la main, ſoit à tort ou à travers, à bis à blanc, n’importe pourveu qu’on ne nous entende non plus que le haut Allemand.	me il nous viendra à la main, soit à tort ou à travers, à bis à blanc, n'importe pourvu qu'on ne nous entende non plus que le haut Allemand.
Florinde.	Florinde.
Je ne veux pas m’amuſer à ces bricolles de diſcours.	Je ne veux pas m'amuser à ces bricolles de discours.
Je diray ſeulement ce qui me viendia à la boucne, il faut laier fane ces garçons, ils entendent cela comme à faire un	Je dirai seulement ce qui me viendia à la boucne, il faut layer fane ces garçons, ils entendent cela comme à faire un
vieux coffre.	vieux coffre.
Philippin.	Philippin.
Morgoine je ſçay entraver ſur le gourd, il ne m’en faut que montrer, j’en dirois à cette heure autant qu’il en pouroit venir.	Morgoine je sais entraver sur le gourd, il ne m'en faut que montrer, j'en dirais à cette heure autant qu'il en pourrait venir.
Allons vîte, il me tarde que j’en devide une migouflée à ce malautru de Capitaine, qui ſera toûjours flouquiere, & puis c’eſt tout, il faut commencer à tourner vers la vergne les pieds me vermeillent que je n’y ſois tout chauſſé & tout vêtu.	Allons vite, il me tarde que j'en devide une migouflée à ce malautru de Capitaine, qui sera toujours flouquière, et puis c'est tout, il faut commencer à tourner vers la vergne les pieds me vermeillent que je n'y sois tout chaussé et tout vêtu.
Alaigre.	Alaigre.
