RVEI TRAGEDIE Par P.	RVEI TRAGÉDIE Par P.
Où mes plus dangereux & plus grands adverſaires, Si-toſt qu’ils ſont vaincus, ne ſont plus que mes fréres, Et mon ambition ne va qu’à les forcer, Ayant dompté leur haine, à vivre, & m’embraſſer.	Où mes plus dangereux et plus grands adversaires, Si-tôt qu'ils sont vaincus, ne sont plus que mes frères, Et mon ambition ne va qu'à les forcer, Ayant dompté leur haine, à vivre, et m'embrasser.
O combien d’allegreſſe une ſi triſte guerre Auroit-elle laiſſé deſſus toute la Terre, Si Rome avoit peu voir marcher en meſme char Vainqueurs de leur discorde & Pompée & Céſar!	Ô combien d'allégresse une si triste guerre Aurait-elle laissé dessus toute la Terre, Si Rome avait peu voir marcher en même char Vainqueurs de leur discorde et Pompée et César!
Voilà ces grands malheurs que craignoit voſtre zèle.	Voilà ces grands malheurs que craignait votre zèle.
O crainte ridieule autant que criminelle!	Ô crainte ridieule autant que criminelle!
Vous craignez ma clemence!	Vous craignez ma clémence!
ah!	ah!
n’ayez plus ce ſoin,  ond minro ( Souhaitez-la plûtoſt, vous en avez beſoin.	n'ayez plus ce soin, ond minro ( Souhaitez-la plutôt, vous en avez besoin.
Si je n’avois égard qu’aux loix de la justice, Je m’appaiſerois Rome avec voſtre ſupplice, Saus que ny vos respects, ny voſtre repentir, Ny voſtre Dignité vous purtele geramir, Voſtre troſne luy-meſme en ſeroit le Théatre:	Si je n'avais égard qu'aux lois de la justice, Je m'apaiserais Rome avec votre supplice, Saus que ni vos respects, ni votre repentir, Ni votre Dignité vous purte geramir, Votre trône avait-même en serait le Théâtre:
Mais voulant épargner le ſang de Cléopatre, l’impute à vos flateurs toute la trahiſon, Et je veux voir comment vous m’en ferez raiſon.	Mais voulant épargner le sang de Cléopatre, l'impute à vos flatteurs toute la trahison, Et je veux voir comment vous m'en ferez raison.
Suivant les ſentimens dont vous ſerez capable, Je ſçauray vous tenir innocent, ou coupable.	Suivant les sentiments dont vous serez capable, Je saurai vous tenir innocent, ou coupable.
Cependant à Pompée élevez des Autels, Rendez-luy les honneurs qu’on rend aux Immortels, Par un prompt ſacrifice expiez tous vos crimes, Et ſur tout penſez bien aux choix de vos victimes.	Cependant à Pompée élevez des Autels, Rendez-lui les honneurs qu'on rend aux Immortels, Par un prompt sacrifice expiez tous vos crimes, Et sur tout pensez bien aux choix de vos victimes.
Allez-y donner ordre, & me laiſſez icy.	Allez-y donner ordre, et me laissez ici.
Entretenir les miens ſur quelque autre ſoucy.	Entretenir les miens sur quelque autre souci.
SCMEFIX CESAR, ANTOINE, LEPIDE.	SCMEFIX CÉSAR, ANTOINE, LÉPIDE.
CESAR.	CÉSAR.
Ntoine, avez-vous veu cette Reine adorable?	Ntoine, avez-vous vu cette Reine adorable?
ANTOINE.	ANTOINE.
Ouy, Seigneur, je l’ay veuë elle eſt incomparable, Le Ciel n’a point encor par de ſi doux accords Uny tant de vertus aux graces d’un beau corps, Une majeſté douce épand ſur ſon viſage Dequoy s’aſſujettir le plus tobie courage, 424 Ses yeux ſçavent ravir, ſon discours ſçait charmer, Et ſi j’étois Céſar, je la voudrois aimer.	Oui, Seigneur, je l'ai vue elle est incomparable, Le Ciel n'a point encor par de si doux accords Uni tant de vertus aux grâces d'un beau corps, Une majesté douce épand sur son visage Dequoy s'assujettir le plus tobie courage, 424 Ses yeux Savent ravir, son discours sait charmer, Et si j'étais César, je la voudrais aimer.
CESAR.	CÉSAR.
comme a-t eſle receu les offres de ma flame?	comme a-t éle reçu les offres de ma flamme?
ANTOINE.	ANTOINE.
Comme n’oſant la croire, & la croyant dans l’ame;	Comme n'osant la croire, et la croyant dans l'âme;
Par un refus modeste & fait pour inviter, Elle s’en dit indigne, & la croit mériter.	Par un refus modeste et fait pour inviter, Elle s'en dit indigne, et la croit mériter.
CESAR.	CÉSAR.
En pourray-je eſtre aimé?	En pourrai-je être aimé?
ANTOINE.	ANTOINE.
Douter qu’elle vous aime, Elle qui de vous ſeul attend ſon Diadème, Qui n’espére qu’en vous!	Douter qu'elle vous aime, Elle qui de vous seul attend son Diadème, Qui n'espère qu'en vous!
Douter de ſes ardeurs, Vous qui pouvez la mettre au faiſte des grandeurs!	Douter de ses ardeurs, Vous qui pouvez la mettre au faîte des grandeurs!
Que voſtre amour ſans crainte à ſon amour prétende, Au vainqueur de Pompée il faut que tout ſe rende, Et vous l’éprouverez.	Que votre amour sans crainte à son amour prétende, Au vainqueur de Pompée il faut que tout se rende, Et vous l'éprouverez.
Elle craint toutefois L’ordinaire mépris que Rome fait des Rois, Et ſur tout elle craint l’amour de Calphurnie:	Elle craint toutefois L'ordinaire mépris que Rome fait des Rois, Et sur tout elle craint l'amour de Calphurnie:
Mais l’une & l’autre craint à voſtre aspect bannie, Vous ferez ſuccéder un espoir aſſez doux, Lors que vous daignerez luy dire un mot pour vous.	Mais l'une et l'autre craint à votre aspect bannie, Vous ferez succéder un espoir assez doux, Lors que vous daignerez lui dire un mot pour vous.
CESAR.	CÉSAR.
Alloiis donc i’alleriii dc ces lirvoies craſſtes, Luy montrer de mon cœur les ſenſibles atteintes, Allons, ne tardons plus.	Alloyis donc j'allerii dc ces lirvoies crasstes, Lui montrer de mon cœur les sensibles atteintes, Allons, ne tardons plus.
ANTOINE.	ANTOINE.
Avant que de la voir Sçachez que Cornélie eſt en voſtre pouvoir, Jepeme vous r'aiene org derrſeux de lont ciime, Et penſe auprès de vous ſe mettre en haute estime.	Avant que de la voir Sachez que Cornélie est en votre pouvoir, Jepeme vous rès org derrseux de lont ciime, Et pense auprès de vous se mettre en haute estime.
Dès qu’ils ont abordé, vos Chefs par vous instruits Sans leur rien témoigner les ont icy conduits.	Dès qu'ils ont abordé, vos Chefs par vous instruits Sans leur rien témoigner les ont ici conduits.
CESAR.	CÉSAR.
Q’elle entre.	QU'elle entre.
Ah, l’importune & faſcheuſe Nouvelle !	Ah, l'importune et fâcheuse Nouvelle !
Qu'à mon impatience elle ſemble crüelle!	Qu'à mon impatience elle semble cruelle!
O Ciel!	Ô Ciel!
& ne pourray-je enfin à mon amour Donner en liberté ce qui reste du jour?	et ne pourrai-je enfin à mon amour Donner en liberté ce qui reste du jour?
SCENE I V CESAR, CORNELIE, ANTOINE, LEPIDE, SEPTIME.	SCÈNE I V CÉSAR, CORNELIE, ANTOINE, LÉPIDE, SEPTIME.
Eigneur.	Eigneur.
SEPTIME.	SEPTIME.
CESAR.	CÉSAR.
Allez, Septime, allez vers voſtre maiſtre, Céſar ne peut ſouffrir la preſence d’un traiſtre, D’un Romain laiene atiez pour lervir ſous un Roy, Après avoir ſervy ſous Pompée, & ſous moy.	Allez, Septime, allez vers votre maître, César ne peut souffrir la présence d'un traître, D'un Romain laiène atiez pour lervir sous un Roy, Après avoir servi sous Pompée, et sous moi.
Septime rentre.	Septime rentre.
CORNELIE.	CORNELIE.
Céſar, car le Destin que dans tes fers je brave Me fait ta priſonniére, & non pas ton esclave, Et tu ne pretens pas qu’il m’abate le cœur Jusqu’à te rendre hommage & te nommer Seigneur.	César, car le Destin que dans tes fers je brave Me fait ta prisonniére, et non pas ton esclave, Et tu ne prétends pas qu'il m'abate le cœur Jusqu'à te rendre hommage et te nommer Seigneur.
De quelque rude trait qu’il m’oſe avoir frapée, Vefve du jeune Craſſe & vefve de Pompée, Fille de Scipion, & pour dire encor plus, Romaine, mon courage eſt encor au deſſus, Et de tous les aſſauts que ſa rigueur me livre, Rien ne me fait rougir que la honte de vivre.	De quelque rude trait qu'il m'ose avoir frappée, Vefve du jeune Crasse et veuve de Pompée, Fille de Scipion, et pour dire encor plus, Romaine, mon courage est encor au dessus, Et de tous les assauts que sa rigueur me livre, Rien ne me fait rougir que la honte de vivre.
J’ay veu mourir Pompée, & ne l’ay pas ſuivy, Et bien que le moyen m’en aye été ravy, Qu’une pitié crüelle à mes douleurs profondes M’aye oſté le ſecours, & du fer, & des ondes, Je doy rougir pourtant après un tel malheur De n’avoir pû mourir d’un excès de douleur.	J'ai vu mourir Pompée, et ne l'ai pas suivi, Et bien que le moyen m'en aie été raveur, Qu'une pitié cruelle à mes douleurs profondes M'aie ôté le secours, et du fer, et des ondes, Je dois rougir pourtant après un tel malheur De n'avoir pu mourir d'un excès de douleur.
Ma mort étoit ma gloire, & le Destin m’en prive Pour croiſtre mes malheurs, & me voir ta captive.	Ma mort était ma gloire, et le Destin m'en prive Pour croître mes malheurs, et me voir ta captive.
Je doy bien toutefois rendre graces aux Dieux De ce qu’en arrivant je te trouve en ces lieux, Que Céſar y commande, & non pas Ptolomée.	Je dois bien toutefois rendre grâces aux Dieux De ce qu'en arrivant je te trouve en ces lieux, Que César y commande, et non pas Ptolomée.
Hẽlas!	Hendlas!
& ſous quel astre, ô Ciel, m’as-tu formée, Si je leur doy des vœux de ce qu’ils ont permis Que je rencontre icy mes plus grands ennemis, Et tombe entre leurs mains plûtoſt qu’aux mains d’un Prince Qui doit à mon époux ſon troſne & ſa Province?	et sous quel astre, ô Ciel, m'as-tu formée, Si je leur dois des vœux de ce qu'ils ont permis Que je rencontre ici mes plus grands ennemis, Et tombe entre leurs mains plutôt qu'aux mains d'un Prince Qui doit à mon époux son trône et sa Province?
Céſar, de ta victoire écoute moins le bruit, Elle n’eſt que l’effet du malheur qui me ſuit.	César, de ta victoire écoute moins le bruit, Elle n'est que l'effet du malheur qui me suit.
Je l’ay porté pour dot chez Pompée & chez Craſſe, Deux fois du Monde entier j’ay cauſé la disgrace, Deux fois de mon Hymen le nœud mal aſſorty A chaſſé tous les Dieux du plus juste party.	Je l'ai porté pour dot chez Pompée et chez Crasse, Deux fois du Monde entier j'ai causé la disgrâce, Deux fois de mon Hymen le nœud mal assorti A chassé tous les Dieux du plus juste parti.
Heureuſe en mes malheurs, ſi ce triste Hyménée Pour le bonheur de Rome à Céſar m’euſt donnée, Et ſi j’euſſe avec moy porté dans ta maiſon D’un astre envenimé l’invincible poiſon.	Heureuse en mes malheurs, si ce triste Hyménée Pour le bonheur de Rome à César m'eût donnée, Et si j'eusse avec moi porté dans ta maison D'un astre envenimé l'invincible poison.
Car enfin n’atten pas que j’abaiſſe ma haine, Je te l’ay déja dit, Céſar, je ſuis Romaine, Et quoy que ta captive un cœur comme le mien de peul de aucler ne dedemande flene.	Car enfin n'atten pas que j'abaisse ma haine, Je te l'ai déjà dit, César, je suis Romaine, Et quoi que ta captive un cœur comme le mien de peul de aucler ne dédemande flène.
Ordonne, & ſans vouloir qu’il tremble ou s’humilie, Souvien-toy ſeulement que je ſuis Cornélie.	Ordonne, et sans vouloir qu'il tremble ou s'humilie, Souvien-toi seulement que je suis Cornélie.
CESAR.	CÉSAR.
O d’un illustre époux noble & digne moitié, Dont le courage étonne, & le ſort fait pitié!	Ô d'un illustre époux noble et digne moitié, Dont le courage étonne, et le sort fait pitié!
Certes vos ſentimens font aſſez reconnoiſtre Qui vous donna la main & qui vous donna l’eſtre, Et l’on juge aiſément au cœur que vous portez Où vous étes entrée & de qui vous ſortez.	Certes vos sentiments font assez reconnaître Qui vous donna la main et qui vous donna l'être, Et l'on juge aisément au cœur que vous portez Où vous êtes entrée et de qui vous sortez.
L’ame du jeune Craſſe & celle de Pompée, L’une & l’autre vertu par le malheur trompée, Le ſang des Scipions protecteur de nos Dieux, Parlent par voſtre bouche, & brillent dans vos yeux, Et Rome dans ſes murs ne voit point de famille, Qui ſoit plus honorée, ou de femme, ou de fille.	L'âme du jeune Crasse et celle de Pompée, L'une et l'autre vertu par le malheur trompée, Le sang des Scipions protecteur de nos Dieux, Parlent par un bouche, et brillent dans vos yeux, Et Rome dans ses murs ne voit point de famille, Qui soit plus honorée, ou de femme, ou de fille.
Pleuſt au grand Jupiter, pleuſt à ces meſmes Dieux, Qu’Annibal euſt bravez jadis ſans vos ayeux, Que ce Héros ſi cher dont le Ciel vous ſépare N’euſt pas ſi mal connu la Cour d’un Roy Barbare, Ny mieux aimé tenter une incertaine foy, Que la vieille amitié qu’il euſt trouvée en moy;	Plût au grand Jupiter, pleut à ces mêmes Dieux, Qu'Hannibal eût bravez jadis sans vos aïeux, Que ce Héros si cher dont le Ciel vous sépare N'eût pas si mal connu la Cour d'un Roi Barbare, Ni mieux aimé tenter une incertaine foi, Que la vieille amitié qu'il eût trouvée en moi;
Qu’il euſt voulu ſouffrir qu’un bonheur de mes armes Eutt vaincu ſes ſoupçons, diſſipé ſes alarmes, Et qu’enfin m’attendant ſans plus ſe défier.	Qu'il eût voulu souffrir qu'un bonheur de mes armes Eut vaincu ses soupçons, dissipé ses alarmes, Et qu'enfin m'attendant sans plus se défier.
Il m’euſt donné moyen de me justifier.	Il m'eût donné moyen de me justifier.
Alors foulant aux pieds la Discorde & l’Envie, Je l’euſſe conjuré de ſe donner la vie, D’oublier ma victoire, & d’aimer un rival Heureux d’ayoir vaincu pour vivre ſon égal.	Alors foulant aux pieds la Discorde et l'Envie, Je l'eusse conjuré de se donner la vie, D'oublier ma victoire, et d'aimer un rival Heureux d'ayoir vaincu pour vivre son égal.
J’euſſe alors regagné ſon ame ſatisfaite, Jusqu’à luy faire aux Dieux pardonner ſa défaite, Il euſt fait à ſon tour en me rendant ſon cœur Que Rome euſt pardonné la victoire au vainqueur.	J'eusse alors regagne son âme satisfaite, Jusqu'à lui faire aux Dieux pardonner sa défaite, Il eût fait à son tour en me rendant son cœur Que Rome eût pardonné la victoire au vainqueur.
Mais puisque par ſa perte à jamais ſans ſeconde Le Sort a dérobé cette allegreſſe au Monde, Céſar s’efforcera de s’acquiter vers vous De ce qu’il voudroit rendre à cêt illustre époux.	Mais puisque par sa perte à jamais sans seconde Le Sort a dérobé cette allégresse au Monde, César s'efforcera de s'acquiter vers vous De ce qu'il voudrait rendre à cet illustre époux.
Prenez donc en ces lieux liberté toute entiére, Seulement pour deux jours ſoyez ma priſonniére, Afin d’eſtre témoin comme après nos debats Je chéris ſa mémoire & venge ſon trépas, Et de pouvoir apprendre à toute l’Italie Dè quel orgueil nouveau m’enfle la Theſſalie.	Prenez donc en ces lieux liberté toute entièvre, Seulement pour deux jours soyez ma prisonnière, Afin d'être témoin comme après nos débats Je chéris sa mémoire et venge son trépas, Et de pouvoir apprendre à toute l'Italie D quel orgueil nouveau m'enfle la Thessalie.
Je vous laiſſe à vous-meifie & vous quitte un moment.	Je vous laisse à vous-mêmeifie et vous quitte un moment.
Choiſiſſez-luy Lépide, un digne apartement, Et qu’on l’honore icy, mais en Dame Romaine, C’eſt à dire un peu plus qu’on n’honore la Reine.	Choisissez-lui Lépide, un digne appartement, Et qu'on l'honore ici, mais en Dame Romaine, C'est à dire un peu plus qu'on n'honore la Reine.
Commandez, & chacun aura ſoin d’obéïr.	Commandez, et chacun aura soin d'obéir.
CORNELIE.	CORNELIE.
O Ciel!	Ô Ciel!
que de vertus vous me faites haïr.	que de vertus vous me faites haïr.
Fin du troiſième Acte.	Fin du troisième Acte.
o dij	ô dij
ACIE IV	ACIE IV
SCENE PREMIERE.	SCÈNE PREMIÈRE.
AXOEOMEE, ACIIIELAS.	AXOMEE, ACIIELAS.
PHOTIN.	PHOTIN.
PTOLOMEE.	PTOLOMEE.
Uoy de la meſme main & de la melme épée ( Pompée, Dont il viẽt d’immoler le malheureux Septime par Céſar indignemẽt chaſſé, Dans un tel deſespoir à vos yeux a paſſé?	Moi de la même main et de la melme épée ( Pompée, Dont il vient d'immoler le malheureux Septime par César indignement chassé, Dans un tel désespoir à vos yeux a passé?
ACHILLAS.	ACHILAS.
Ouy, Seigneur, & ſa mort a dequoy vous apprendre La honte qu’il prévient & qu’il vous faut attendre.	Oui, Seigneur, et sa mort a dequoy vous apprendre La honte qu'il prévient et qu'il vous faut attendre.
Jugez quel eſt Céfar à ce couroux ſi lent.	Jugez quel est Céfar à ce courroux si lent.
Un moment pouſſe & rompt un transport violent, Mais l’indignation qu’on prend avec étude Augmente avec le temps, & porte un coup plus rudeAinſi n’espérez pas de le voir moderé, Pal adrenc Iſle falche apres s’eſtre aſieure, Sa puiſſance établie, il a ſoin de ſa gloire, Il pourſuivoit Pompée, & chérit ſa mémoire, Et veut tirer à ſoy par un couroux accort L’honneur de ſa vengeance & le fruit de ſa mort.	Un moment pousse et rompt un transport violent, Mais l'indignation qu'on prend avec étude Augmente avec le temps, et porte un coup plus rudeAinsi n'espérez pas de le voir modéré, Pal adrenc Isle fallèche après s'être asieure, Sa puissance établie, il a soin de sa gloire, Il poursuivait Pompée, et chérit sa mémoire, Et veut tirer à soi par un courroux accort L'honneur de sa vengeance et le fruit de sa mort.
10	10
PTOLOMEE.	PTOLOMEE.
Ah?	Ah?
ſi je t’avois crû je n’aurois pas de maiſtre, Je ſeroisdans le troſne où le Ciel m’a fait naiſtre;	si je t'avais cru je n'aurais pas de maître, Je serais le trône où le Ciel m'a fait naître;
Mais c’eſt une imprudence aſſez commune aux Rois, D’écouter trop d’avis, & ſe tromper au choix.	Mais c'est une imprudence assez commune aux Rois, D'écouter trop d'avis, et se tromper au choix.
Le Destin les aveugle au bord du précipice, Ou ſi quelque lumiére en leur ame ſe gliſſe, Cette fauſſe claité dont il les ébloüit Les plonge dans un gouffre, & puis s’évanoüit.	Le Destin les aveugle au bord du précipice, Ou si quelque lumièvre en leur âme se glisse, Cette fausse claité dont il les éblouit Les plonge dans un gouffre, et puis s'évanouit.
2	2
PHOTIN.	PHOTIN.
J’ay mal connu Céſar, mais puisqu’en ſon estime Un ſi rare ſervice eſt un énorme crime, Il porte dans ſon flanc dequoy nous en laver, C’eſt là qu’eſt noſtre grace, il nous l’y faut trouver.	J'ai mal connu César, mais puisqu'en son estime Un si rare service est un énorme crime, Il porte dans son flanc dequoy nous en laver, C'est là qu'est notre grâce, il nous l'y faut trouver.
Je ne vous parle plus de ſouffrir ſans murmure, D’attendre ſon départ pour venger cette injure;	Je ne vous parle plus de souffrir sans murmure, D'attendre son départ pour venger cette injure;
Je ſçay mieux conformer les remédes au mal.	Je sais mieux conformer les remèdes au mal.
Justifions ſur luy la mort de ſon rival,  Et noſtre main alors également trempée Et du ſang de Céſar & du ſang de Pompée, Rome, ſans leur donner de tîtres differens, Se croira par vous ſeul libre de deux Tyrans.	Justifions sur nô la mort de son rival, Et notre main alors également trempée Et du sang de César et du sang de Pompée, Rome, sans leur donner de tîtres différents, Se croira par vous seul libre de deux Tyrans.
1 PTOLOMEE.	1 PTOLOMEE.
Ouy, par là ſeulement ma perte eſt évitable, C’eſttrop craindre un Tyran que j’ay fait redoutable, Montrons que ſa fortune eſt l’œuvre de nos mains, Deux fois en meſme jour dispoſons des Romains, Faiſons leur liberté comme leur esclavage.	Oui, par là seulement ma perte est évitable, C'esttrop craindre un Tyran que j'ai fait redoutable, Montrons que sa fortune est l'œuvre de nos mains, Deux fois en même jour disposons des Romains, Faisons leur liberté comme leur esclavage.
Céſar, que tes exploits n’enflent plus ton couragé, Conſidére les miens, tes yeux en ſont témoins, Pompée étoit mortel, & tu ne l’ès pas moins, Il pouvoit plus que toy, tu luy portois envie, Tu n’as, non plus que luy, qu’une ame & qu’une vie, Et ſon ſort que tu plains te doit faire penſer Que ton cœur eſt ſenſible, & qu’on peut le percer.	César, que tes exploits n'enflent plus ton couragé, Considère les miens, tes yeux en sont témoins, Pompée était mortel, et tu ne l'ys pas moins, Il pouvait plus que toi, tu lui portais envie, Tu n'as, non plus que Seigneur, qu'une âme et une vie, Et son sort que tu plains te doit faire penser Que ton cœur est sensible, et qu'on peut le percer.
Tonne, tonne à ton gré, fay peur de ta justice;	Tonne, tonne à ton gré, fais peur de ta justice;
C’eſt à moy d’appaiſer Rome par ton ſupplice, C’eſt à moy de, punir ta crüelle douceur, Qui n’épargne en un Roy que le ſang de ſa ſœui, Je n’abandon ne plus ma vie & ma puifſance Au hazard de ſa haine, ou de ton inconstance;	C'est à moi d'apaiser Rome par ton supplice, C'est à moi de, punir ta cruelle douceur, Qui n'épargne en un Roi que le sang de sa sœui, Je n'abandon ne plus ma vie et ma puissance Au hasard de sa haine, ou de ton inconstance;
Ne croy pas que jamais tu puiſſes à ce prix Récompenſer ſa flame, ou punir ſes mépris, J’emploiray contre toy de plus nobles Maximes.	Ne crois pas que jamais tu puisses à ce prix Récompenser sa flamme, ou punir ses mépris, J'emploirai contre toi de plus nobles Maximes.
Tu m’as prescrit tantoſt de choiſir des victimes, De bien penſer aux choix, j’obéïs, & je voy Que je n’en puis choiſir de plus dignes que toy, Ny dont le ſang offert, la fumée, & la cendre Puiſſent mieux ſatisfaire aux Manes de ton gendre.	Tu m'as prescrit tantôt de choisir des victimes, De bien penser aux choix, j'obéis, et je vois Que je n'en puis choisir de plus dignes que toi, Ny dont le sang offert, la fumée, et la cendre Puissent mieux satisfaire aux Manes de ton gendre.
Mais ce n’eſt pas aſſez, amis, de s’irriter, Il faut voir quels moyens on a d’éxécuter;	Mais ce n'est pas assez, amis, de s'irriter, Il faut voir quels moyens on a d'éxécuter;
Toute cette chaleur eſt peut-eſtre inutile, Les ioidats dul Tyian iont manties de la vine, Que pouvons-nous contr’eux, & pour les prévenir, Quel temps devons-nous prendre, & quel ordre tenir?	Toute cette chaleur est peut-être inutile, Les joidats dul Ian jont manties de la vine, Que pouvons-nous contre eux, et pour les prévenir, Quel temps devons-nous prendre, et quel ordre tenir?
ACHILLAS.	ACHILAS.
ſommes.	sommes.
Nous pouvons tout, Seigneur, en l’état oû nous A deux milles d’icy vous avez ſix mille hommes, Que depuis quelques jours craignant des remûmens Je faiſois tenir preſts à tous événemens.	Nous pouvons tout, Seigneur, en l'état ouï nous A deux milles d'ici vous avez six mille hommes, Que depuis quelques jours craignant des remuments Je faisais tenir prêts à tous événements.
Quelques ſoins qu’ait Céſar, ſa prudence eſt déceuë, Cette ville a ſous terre une ſecrette iſſuë, Par où fort aiſement on les peut cette nuit Jusque dans le Palais introduire ſans bruit.	Quelques soins qu'ait César, sa prudence est déçue, Cette ville a sous terre une secrète issue, Par où fort aisément on les peut cette nuit Jusque dans le Palais introduire sans bruit.
Car contre ſa fortune aller à force ouverte, Ce ſeroit trop courir vous-meſme à voſtre perte;	Car contre sa fortune aller à force ouverte, Ce serait trop courir vous-même à votre perte;
Il nous le faut ſurprendre au milieu du festin, Enyvré des douceurs de l’Amour & du vin.	Il nous le faut surprendre au milieu du festin, Enivré des douceurs de l'Amour et du vin.
Tout le Peuple eſt pour nous, tantoſt à ſon entrée l’ay remarqué l’horreur que ce Peuple a montrée, Lors qu’avec tant de faſt il a veu ſes Faiſceaux Marcher ar rogamment, & braver nos Drapeaux.	Tout le Peuple est pour nous, tantôt à son entrée l'ai remarqué l'horreur que ce Peuple à montrée, Lors qu'avec tant de fât il a vu ses Faisceaux Marcher ar rogamment, et braver nos Drapeaux.
Au ſpectacle inſolent de ce pompeux outrage, Ses farouches regards étinceloient de rage, je voyois ſa fureur à peine ſe dompter, Et pour peu qu’on le pouſſe, il eſt preſt d’éclater.	Au spectacle insolent de ce pompeux outrage, Ses farouches regards étincelaient de rage, je voyais sa fureur à peine se dompter, Et pour peu qu'on le pousse, il est prêt d'éclater.
Mais ſur tout les Romains que commandoit Septime, Preſſez de la terreur que ſa mort leur imprime, Ne cherchent qu’à venger par un coup généreux Le mépris qu’en leur Chef ce ſuperbe a fait d’eux.	Mais sur tout les Romains que commandait Septime, Pressez de la terreur que sa mort leur imprime, Ne cherchent qu'à venger par un coup généreux Le mépris qu'en leur Chef ce superbe a fait d'eux.
PTOLOMEE.	PTOLOMEE.
Maloqui pouru de deuouppreener la pelome;	Maloqui pourvi de deuouppreener la pelome;
Si durant le feſtin ſa Garde l’environne?	Si durant le festin sa Garde l'environne?
PHOTIN.	PHOTIN.
Les gens de Cornélie entre qui vos Romains Ont déja reconnu des fréres, des germains, Dont l’aſpre déplaiſir leur a laiſſé paroiſtre Une ſoif d’immoler leur Tyran à leur maiſtre.	Les gens de Cornélie entre qui vos Romains Ont déjà reconnu des frères, des germains, Dont l'âpre déplaisir leur a laissé paraître Une soif d'immoler leur Tyran à leur maître.
Ils ont donné parole, & peuvent mieux que nous Dans les flancs de Céſar porter les prémiers coups.	Ils ont donné parole, et peuvent mieux que nous Dans les flancs de César porter les prémiers coups.
Son faux art de clémence, ou plûtoſt ſa folie Qui penſe gagner Rome en flatant Cornélie, Leur donnera ſans doute un aſſez libre accès, Pour de ce grand deſſein aſſeurer le ſuccès.	Son faux art de clémence, ou plutôt sa folie Qui pense gagner Rome en flattant Cornélie, Leur donnera sans doute un assez libre accès, Pour de ce grand dessein assurer le succès.
Mais voicy Cléopatre, agiſſez avec feinte, Seigneur, & ne montrez que foibleſſe & que crainte, Nous allons vous quitter, comme objets odieux Dont l’aspect importun offenſeroit ſes yeux.	Mais voici Cléopatre, agissez avec feinte, Seigneur, et ne montrez que faiblesse et que crainte, Nous allons vous quitter, comme objets odieux Dont l'aspect importun offenserait ses yeux.
PTOLOMEE.	PTOLOMEE.
Allez, je vous rejoins.	Allez, je vous rejoins.
SCENE TT PTOLOMEE, CL'EOPATRE, ACHOREE, CHAR MTON.	SCÈNE TT PTOLOME, CL'EPATRE, ACHORE, CHAR MTON.
CLEOPATRE.	CLÉPATRE.
1ii 4 J'Ay veu Céſar, mon frére, Et de tout mon pouvoir combatu ſa colère.	1i 4 J'Ai vu César, mon frère, Et de tout mon pouvoir combattu sa colère.
C V PTOLOMEE.	Ç V OTOLOME.
Vous étes généreuſe, & j’avois attendu Cette office de ſœur que vous m’avez rendu.	Vous êtes généreuse, et j'avais attendu Cette office de sœur que vous m'avez rendu.
Mais cét illustre Amant vous a bien-toſt quittée.	Mais cet illustre Amant vous a bientôt quittée.
CLEOPATRE.	CLÉPATRE.
Sur quelque brouillerie en la ville excitée, Il a voulu luy-meſme appaiſer les debats, Qu’avec nos Citoyens ont eu quelques ſoldats;	Sur quelque brouillerie en la ville excitée, Il a voulu lui-même apaiser les débats, Qu'avec nos Citoyens ont eu quelques soldats;
Et moy, j’ay bien voulu moy-meſme vous redire Que vous ne craigniez rien pour vous ny voſtre Empire, Et que le grand Céſar blaſme voſtre action Avec moins de couroux que de compaffion.	Et moi, j'ai bien voulu moi-même vous redire Que vous ne craigniez rien pour vous niprendre Empire, Et que le grand César blâme votre action Avec moins de courroux que de compassion.
Il vous plaint d’écouter ces laſches Politiques, Qui n’inspirent aux Rois que des mœurs tyranniques;	Il vous plaint d'écouter ces lâches Politiques, Qui n'inspirent aux Rois que des mœurs tyranniques;
Ainſi que la naiſſance ils ont les esprits bas, En vain on les éléve à régir des Etats, Un cœur ne pour ſervir ſçait mal comme on comtmcamde y Sa puiſſance l’accable alors qu’elle eſt trop grande, Et ſa main que le crime en vain fait redouter Laiſſe choir le fardeau qu’elle ne peut porter.	Ainsi que la naissance ils ont les esprits bas, En vain on les élève à régir des États, Un cœur ne pour servir sait mal comme on comtmcamde y Sa puissance l'accable alors qu'elle est trop grande, Et sa main que le crime en vain fait redouter Laisse choir le fardeau qu'elle ne peut porter.
PTOLOMEE.	PTOLOMEE.
Vous dites vray, ma ſœur, & ces effets ſinistres Me font bien voir ma faute au choix de mes Ministres.	Vous dites vrai, ma sœur, et ces effets sinistres Me font bien voir ma faute au choix de mes Ministres.
