A M.	À M.
I’aurois deſaduoüé la valeur de Perſée, En me ſauuant la vie il m’auroit offenſée, Et de ce meſmé bras qu’il m’auroit conſerué, Ie vous immolerois ce qu’il m’auroit ſauué, Ma mort auroit defia couronné voſtre perte;	J'aurais desaduoüé la valeur de Persée, En me saurais la vie il m'aurait offensée, Et de ce même bras qu'il m'aurait conservé, Je vous immolerais ce qu'il m'aurait sauvé, Ma mort aurait défia couronné votre perte;
Et la bonté du Ciel ne l’auroit pas ſoufferte.	Et la bonté du Ciel ne l'aurait pas soufferte.
C’eſt C’eſt à voſtre refus que les Dieux ont remis En de plus dignes mains ce qu’ils m’auoient promis, Mon cœur euſt mieux aymé le tenir de la voſtre:	C'est C'est à votre refus que les Dieux ont remis En de plus dignes mains ce qu'ils m'avaient promis, Mon cœur eût mieux aimé le tenir de la vôtre:
Mais ie vis par vn autre, & viuray pour vn autre.	Mais ici vis par un autre, et vivrai pour un autre.
Vous n’auez pas de lieu d’en deuenir ialoux, Puiſque ſur ce rocher j’eſtois morte pour vous, Qui pouuoit le ſouffrir, peut me voir ſans enuie Viure pour vn Heros de qui ie tiens la vie, Et quand l’amour encor me parleroit pour luy, Ie ne puis diſpoſer des conqueſtes d’autruy.	Vous n'avez pas de lieu d'en devenir jaloux, Puisque sur ce rocher j'étais morte pour vous, Qui pouvait le souffrir, peut me voir sans envie Vivre pour un Héros de qui te tiens la vie, Et quand l'amour encor me parlerait pour un, Je ne puis disposer des conquêtes d'autrui.
Adieu.	Adieu.
CENE IV.	CÈNE IV.
PHINEE, AMMON, Suite de Phinée.	PHINE, AMMON, Suite de Phinée.
VOus voulez donc que i’en face la mienne, Cruelle, & que ma foy de mon bras vous obtienne ?	VOus voulez donc que j'en face la mienne, Cruelle, et que ma foi de mon bras vous obtienne ?
Et bien, nous l’irons voir, ce bien-heureux vainqueur, Qui triomphant d’vn Monſtre a dompté voſtre cœur :	Et bien, nous l'irons voir, ce bienheureux vainqueur, Qui triomphant d'un Monstre a dompté votre cœur :
C’eſtoit trop peu pour luy d’vne ſeule victoire, S’il n’euſt dédans ce cœur triomphé de ma gloire.	C'était trop peu pour lui d'une seule victoire, S'il n'eût dédans ce cœur triomphé de ma gloire.
cher, Mais ſi ſa main au Monſtre arrache vn bien ſi La mienne à ſon bon-heur ſçaura bien l’arracher, Et vainqueur de tous deux en vne ſeule teſte, De ce qui fut mon bien ie feray ma conqueſte, La force me rendra ce que ne peut l’amour.	cher, Mais si sa main au Monstre arrache un bien si La mienne à son bonheur saura bien l'arracher, Et vainqueur de tous deux en une seule tête, De ce qui fut mon bien se ferai ma conquête, La force me rendra ce que ne peut l'amour.
Allons-y, clier amis, & des ce meme lour.	Allons-y, clier amis, et des ce même lour.
.	.
AMMON.	AMMON.
Seigneur, auparauant d’vne ame plus remiſe Daignez voir le ſuccez d’vne telle entrepriſe.	Seigneur, auparavant d'une âme plus remise Daignez voir le succès d'une telle entreprise.
Sçauez-vous que Perſée eſt fils de Iuppiter, Et qu’ainſi vous auez le foudre à redouter ?	Savez-vous que Persée est fils de Jupiter, Et qu'ainsi vous avez le foudre à redouter ?
PHINEE.	PHINE.
Ie ſçay que Danaë fut ſon indigne mere, L’or L’or qui plût dans ſon ſein l’y forma d’adultere;	Je sais que Danae fut son indigne mère, L'or L'or qui plût dans son sein l'y forma d'adultère;
Mais le pur ſang des Rois n’eſt pas moins precieux, Ny moins chery du Ciel, que les crimes des Dieux.	Mais le pur sang des Rois n'est pas moins précieux, Ni moins chéri du Ciel, que les crimes des Dieux.
AMMON.	AMMON.
Mais vous ne ſçauez pas, Seigneur, que ſon eſpée De l’horrible Meduſe a la teſte coupée, Que fous ſon bouclier il la porte en tous lieux, Et que c’eſt fait de vous s’il en frappe vos yeux.	Mais vous ne savez pas, Seigneur, que son épée De l'horrible Méduse a la tête coupée, Que fous son bouclier il la porte en tous lieux, Et que c'est fait de vous s'il en frappe vos yeux.
PHINEE.	PHINE.
On dit que ce prodige eſt pire qu’vn tonnerre, Qu’il ne faut que le voir pour n’eſtre plus que pierre, Et que n’aguere Atlas qui ne s’en pût cacher, A cet aſpect fatal deuint vn grand rocher.	On dit que ce prodige est pire qu'un tonnerre, Qu'il ne faut que le voir pour n'être plus que pierre, Et que n'aguère Atlas qui ne s'en pût cacher, À cet aspect fatal devînt grand rocher.
Soit vne verité, ſoit vn conte, n’importe, Si la valeur ne peut, que le nombre l’emporte :	Soit une vérité, soit un compte, n'importe, Si la valeur ne peut, que le nombre l'emporte :
Puiſqu’Andromede enfin vouloit me voir perir, Ou triompher d’vn Monſtre afin de l’acquerir, Que fiere de ſe voir l’objet de tant d’Oracles Elle veut que pour elle on face des miracles;	Puisqu'Andromède enfin voulait me voir périr, Ou triompher d'un Montre afin de l'acquérir, Que fière de se voir l'objet de tant d'Oracles Elle veut que pour elle on face des miracles;
Cette teſte eſt vn Monſtre, auſſi bien que celuy Dont cet heureux riual la deliure aujourd’huy, Et nous aurons ainſi dans vn ſeul aduerſaire Et Monſtres à combatre, & miracles à faire.	Cette tête est un Monstre, aussi bien que celui Dont cet heureux rival la délivre aujourd'hui, Et nous aurons ainsi dans un seul adversaire Et Monstres à combattre, et miracles à faire.
Peut-eſtre quelques Dieux prendront noſtre party, Quoy qué de leur Monarque il ſe diſe ſorty, Et Iunon pour le moins prendra noſtre querelle Contre l’amour furtif d’vn eſpoux infidelle.	Peut-être quelques Dieux prendront notre parti, Quoi qué de leur Monarque il se dise sorti, Et Junon pour le moins prendra quelque querelle Contre l'amour furtif d'être époux infidèle.
Iunon ſe fait voir dans vn Char ſuperbe, tiré par deux Paons, & ſi bien enrichy, qu’il paroiſt bien digne de l’orgueil de la Deeſſe qui s’y fait porter.	Junon se fait voir dans un Char superbe, tiré par deux Paons, et si bien enrichi, qu'il paraît bien digne de l'orgueil de la Deesse qui s'y fait porter.
Elle ſe promene au milieu de l’Air, dont nos Poëtes luy attribuent l’Empire, & y fait pluſieurs tours, tantoſt à droite, & tantoſt a gauche, cependant qu’elle aſſeure Phinée de ſa protection.	Elle se promène au milieu de l'Air, dont nos Poètes était attribuent l'Empire, et y fait plusieurs tours, tantôt à droite, et tantôt a gauche, cependant qu'elle assure Phinée de sa protection.
CENE V.	CÈNE V.
IVNON dans ſon Char au milieu de l'air, PHINEE, AMMON, Suite de Phinée.	IUNON dans son Char au milieu de l'air, PHINE, AMON, Suite de Phinée.
YNON.	YNON.
En doute point, Phinée, & ceſſe d’enduIV rer.	En doute point, Phinée, et cesse d'enduIV rer.
PHINEE.	PHINE.
Elle-meſme paroiſt pour nous en aſſeurer!	Elle-même paraît pour nous en assurer!
INON.	JNON.
Ie ne ſeray pas ſeule, ainſi que moy Neptune S’intereſſe en ton infortune, Et deſia la noire Alecton Du fond des Enfers déchaiſnée, A par les ordres de Pluton De mille cœurs pour toy la fureur mutinée :	Je ne serai pas seule, ainsi que moi Neptune S'intéresse en ton infortune, Et déjà la noire Alecton Du fond des Enfers déchaînée, A par les ordres de Pluton De mille cœurs pour toi la fureur mutinée :
Fort de tant de ſeconds, oſe, & ſers mon couroux Contre l’indigne ſang de mon volage eſpoux.	Fort de tant de seconds, ose, et sers mon courroux Contre l'indigne sang de mon volage époux.
PHINEE.	PHINE.
Nous te ſuiuons, Deeſſe, & deſſous tés auſpices Nous franchirons ſans peur les plus noirs précipices.	Nous te suivons, Déesse, et dessous tès auspices Nous franchirons sans peur les plus noirs précipices.
Que craindrons noul, amis, nous auons Dieux pour Dieux, Oracle pour Oracle, & la faueur des Cieux D'vn contrepoids egal denus fous Dalalicée N’eſt pas entierement du coſté de Perſée.	Que craindrons nouvl, amis, nous avons Dieux pour Dieux, Oracle pour Oracle, et la faveur des Cieux D'un contrepoids égal denus fous Dalalicée N'est pas entièrement du côté de Persée.
IVNON.	JUNON.
Ie te le dis encor, oſe, & ſers mon couroux Contre l’indigne ſang de mon perfide eſpoux.	Je te le dis encor, ose, et sers mon courroux Contre l'indigne sang de mon perfide époux.
AMMON.	AMMON.
Sous tes comnandemens, nous y courons, Deeſſe, Le cœur plein d’eſperance, & l’ame d’allegreſſe.	Sous tes comnandements, nous y courons, Déesse, Le cœur plein d'espérance, et l'âme d'allégresse.
Allons, Seigneur, allons aſſembler vos amis, Courons au grand ſuccez qu’elle vous a promis, Auſſi bien le Roy vient, il faut quitter la place, De peur.	Allons, Seigneur, allons assembler vos amis, Courons au grand succès qu'elle vous a promis, Aussi bien le Roy vient, il faut quitter la place, De peur.
PHINEE.	PHINE.
Non, demeurez pour voir ce qui ſe paſſe.	Non, demeurez pour voir ce qui se passe.
Et ſongez à m’en faire vn fidelle rapport, Tandis que ie m’apreſte à cet illuſtre effort.	Et songez à m'en faire un fidèle rapport, Tandis que ie j'apprête à cet illustre effort.
CENE VI.	CÈNE VI.
CEPHEE, CASSIOPE, ANDROMEDE, PERSEE, AMMON, TIMANTE, CHOEVR de Peuple.	CÉPHÉE, CASSIOPE, ANDROMEDE, PERSE, AMON, TIMANTE, CHOEUR de Peuple.
TIMANTE.	TIMANTE.
Eigneur, le ſouuenir des plus aſpres ſupplices Quand vn tel bien les ſuit n’a iamais que delices, Si d’vn mal ſans pareil nous nous viſmes ſurpris, Nous beniſſons le Ciel d’vn tel mal à ce prix, Et voyant quel eſpoux il donne à la Princeſſe, La douleur s’en termine en ces chants d’allegreſſe.	Eigneur, le souvenir des plus âpres supplices Quand un tel bien les suit n'a jamais que délices, Si d'un mal sans pareil nous nous vîmes surpris, Nous bénissons le Ciel d'un tel mal à ce prix, Et voyant quel époux il donne à la Princesse, La douleur s'en termine en ces chants d'allégresse.
CHOEVR de Muſique.	CHOEUR de Musique.
Viuez, viuez, heureux amants, Dans les douceurs que l’amour vous inſpire, Viuez heureux, & viuez ſi long-temps, Qu’au bout d’vn ſiecle entier on puiſſe encor vous dire, Viuez, heureux autants.	Vivez, vivez, heureux amants, Dans les douceurs que l'amour vous inspire, Vivez heureux, et vivez si longtemps, Qu'au bout d'un siècle entier on puisse encor vous dire, Vivez, heureux autants.
Que les plaiſirs les plus charmants Facent les iours d’vne ſi belle vie, Qu’ils ſoient ſans tache, & que tous leurs moments Facent redire meſme à la voix de l’Enuie, Viuez, heureux amants.	Que les plaisirs les plus charmants Facent les jours d'une si belle vie, Qu'ils soient sans tache, et que tous leurs moments Facent redire même à la voix de l'Enuie, Vivez, heureux amants.
Que les peuples les plus puiſſants Dans nos ſouhaits à pleins vœux nous ſecondene 5 Qu’aux Dieux pour vous ils prodiguent l’encens, Et des bouts de la Terre à l’enuy nous répondent, Viuez, heureux amants.	Que les peuples les plus puissants Dans nos souhaits à pleins vœux nous secondène 5 Qu'aux Dieux pour vous ils prodiguent l'encens, Et des bouts de la Terre à l'envi nous répondent, Vivez, heureux amants.
CEPHEE.	CÉPHÉE.
Allons, amis, allons dans ce comble de ioye Rendre Rendre graces au Ciel de l’heur qu’il nous enuoye, Allons dedans le Temple auecque mille vœux De cet illuſtre Hymen acheuer les beaux nœuds, Allons ſacrifier à Iuppiter ſon pere, Le prier de ſouffrir ce que nous allons faire, Et ne s’offencer pas que ce noble lien Face vn mélange heureux de ſon ſang & du mien.	Allons, amis, allons dans ce comble de joie Rendre Rendre grâces au Ciel de l'heur qu'il nous envoie, Allons dedans le Temple avec mille vœux De cet illustre Hymen achever les beaux nœuds, Allons sacrifier à Jupiter son père, Le prier de souffrir ce que nous allons faire, Et ne s'offenser pas que ce noble lien Face un mêlange heureux de son sang et du mien.
CASSIOPE.	CASSIOPE.
Souffrez qu’auparauant par d’autres ſacrifices Nous nous rendions des eaux les Deïtez propices.	Souffrez qu'auparavant par d'autres sacrifices Nous nous rendions des eaux les Deïtez propices.
Neptune eſt irrité, les Nymphes de la mer Ont de nouueaux ſujets encor de s’animer, Et comme mon orgueil fit naiſtre leur colere, Par mes ſubmiſſions ie dois les ſatisfaire.	Neptune est irrité, les Nymphes de la mer Ont de nouveaux sujets encor de s'animer, Et comme mon orgueil fit naître leur colère, Par mes subissions ainsi dois les satisfaire.
Sur leurs ſables témoins de tant de vanitez Ie vay ſacrifier à leurs Diuinitez, Et conduiſant ma fille à ce meſme riuage, De ſes meſmes beautez leur rendre vn plein hommage, Ioindre nos vœux au ſang des taureaux immolez :	Sur leurs sables témoins de tant de vanités Je vais sacrifier à leurs Divinités, Et conduisant ma fille à ce même rivage, De ses mêmes beautés leur rendre plein hommage, Joindre nos vœux au sang des taureaux immolez :
Puis nous vous rejoindrons au Temple où vous allez.	Puis nous vous rejoindrons au Temple où vous allez.
PERSEE.	PERSE.
Souffrez qu’en meſme temps de ma fiere maraſtre Ie taſche d’appaiſer la haine opiniaſtre, Qu’vn pareil ſacrifice, & de ſemblables vœux Tirent d’elle l’adueu qui me peut rendre heureux.	Souffrez qu'en Un temps de ma fière marâtre Je tâche d'apaiser la haine opiniâtre, Qu'un pareil sacrifice, et de semblables vœux Tirent d'elle l'aveu qui me peut rendre heureux.
Vous ſçauez que Iunon à ce lien préſide, Que ſans elle l’Hymen marche d’vn pied timide, Et que ſa ialouſie ayme à perſecuter Quiconque ainſi que moy ſort de ſon Iuppiter.	Vous savez que Junon à ce lien préside, Que sans elle l'Hymen marche d'Han pied timide, Et que sa jalousie aime à persécuter Quiconque ainsi que moi sort de son Juppiter.
CEPHEE.	CÉPHÉE.
Ie ſuis rauy de voir qu’au milieu de vos ſlames De ſi dignes reſpects regnent deſſus vos ames :	Je suis ravi de voir qu'au milieu de vos slames De si dignes respects règnent dessus vos âmes :
Allez, i’immoleray pour vous à Iuppiter, Et ie ne voy plus rien enfin à redouter.	Allez, j'immolerai pour vous à Jupiter, Et je ne vois plus rien enfin à redouter.
Des Dieux les moins benins l’eternelle puiſſance Ne veut de nous qu’amour & que recognoiſſanEt iamais leur couroux ne montre de rigueurs, Que n'apbate aunmtont rapamement des cœurs.	Des Dieux les moins bénins l'éternelle puissance Ne veut de nous qu'amour et que recognoissanEt jamais leur courroux ne montre de rigueurs, Que n'aptate auntont rapamement des cœurs.
FIN DV QVATRIESME ACTE.	FIN DU QUATRIÈME ACTE.
Decoration du cinquiéme Acte.	Décoration du cinquième Acte.
Architecte ne s’eſt pas épuiſe en la ſtructure de ce LPalais Royal qui vient de diſparoiſtre.	Architecte ne s'est pas épuise en la structure de ce LPalais Royal qui vient de disparaître.
Le Tempte qui luy ſucce de a tant d’auantage ſur luy, qu’il fait mépriſer ce qu’on admiroit.	Le Tempte qui avait succès de a tant d'avantage sur lui, qu'il fait mépriser ce qu'on admirait.
Außi eſt il iuſte que la demeure des Dieux l’emporte ſur celle des hommes, & l’Art du ſieur Torelli eſt icy d’autant plus merueilleux, qu’il fait paroiſtre vne grande diuerſité en ces deux Decorations, quoy qu’elles ſoient preſque la meſme choſe.	Aussi est il juste que la demeure des Dieux l'emporte sur celle des hommes, et l'Art du sieur Torelli est ici d'autant plus merveilleux, qu'il fait paraître une grande diversité en ces deux Décorations, quoi qu’elles soient presque la asque chose.
On voit encor en celle-cy deux rangs de colomnes comme en l’autre, mais d’vn ordre ſi different, qu’on n’y remarque aucun rapport.	On voit encor en celle-cy deux rangs de colomnes comme en l'autre, mais d'un ordre si différent, qu'on n'y remarque aucun rapport.
Celles-cy ſont de porphyre, & tous les accompagnements qui les ſouſtiennent, & qui les finiſſent, de bronze cizelé, dont la graueure repreſente quantité de Dieux & de Deeſſes.	Celles-cy sont de porphyre, et tous les accompagnements qui les soutiennent, et qui les finissent, de bronze cizelé, dont la graveure représente quantité de Dieux et de Déesses.
La reflexion des lumieres ſur ce bronze en ſait ſortir vn iour tout extraordinaire.	La réflexion des lumières sur ce bronze en sait sortir un jour tout extraordinaire.
Vn grand & ſuperbe Dome couure le milieu de ce Temple magnifique.	Un grand et superbe Dome couvre le milieu de ce Temple magnifique.
Il eſt par tout enrichy du meſme metal, & au deuant de ce Dome l’artifice de l’ouurier iette vne gallerie toute brillante d’or & d’azur.	Il est par tout enrichy du même métal, et au devant de ce Dome l'artifice de l'ouvrier jette une gallérie toute brillante d'or et d'azur.
Le deſſous de cette Gallerie laiſſe voir le dedans du Temple par trois portes d’argent ouuragées à iour.	Le dessous de cette Gallerie laisse voir le dedans du Temple par trois portes d'argent ouvragées à jour.
On y verroit Cephée ſacrifiant a luppiter pour le mariage de ſa fille, n’eſtoit que l’attention que les ſpectateurs preſteroient à ce ſacrifice les deſtourneroit de celle qu’ils doiuent à ce qui ſe paſſe daus le paruis, que repreſente le Iheatre.	On y verrait Cephée sacrifiant à lupiter pour le mariage de sa fille, n'était que l'attention que les spectateurs prêteraient à ce sacrifice les destourneroit de celle qu'ils doivent à ce qui se passe daus le parvis, que représente le Iheatre.
ACTE	ACTE
AMMON.	AMMON.
Os amis aſſemblez brûlent tous de vous ſuiure, Et Iunon dans ſon Temple entre vos mains le liure :	Os amis assemblez brûlent tous de vous suivre, Et Junon dans son Temple entre vos mains le livre :
Ce riual preſque ſeul au pied de ſon Autel Semble attendre à genoux l’honneur du coup mortel.	Ce rival presque seul au pied de son Autel Semble attendre à genoux l'honneur du coup mortel.
Là, comme la Déeſſe agréera la victime, Piuy leo fleux ierone lamo;	Là, comme la Déesse agréera la victime, Piui leo fleux jerone lamo;
momdre en ſera le crime, Et ſon adueu changeant de nom à l’attentat, Ce ſera ſacrifice au lieu d’aſſaſſinat.	Seigneur en sera le crime, Et son aveu changeant de nom à l'attentat, Ce sera sacrifice au lieu d'assassinat.
PHINEE.	PHINE.
Que me ſert que Iunon, que Neptune propice, Que tous les Dieux enſemble ayment ce ſacriſice, Si la ſeule Deeſſe à qui ie ſay des vœux Ne m’en voit que d’vn œil d’autant plus rigoureux, Et ſi ce coup ſenſible au cœur de l'inhumaine D’vn injuſte mépris fait vne iuſte haine ?	Que me sert que Junon, que Neptune propice, Que tous les Dieux ensemble aiment ce sacrisice, Si la seule Déesse à qui ie sai des vœux Ne m'en voit que d'être œil d'autant plus rigoureux, Et si ce coup sensible au cœur de l'inhumaine D'un injuste mépris fait une juste haine ?
Amy, quelque fureur qui puiſſe m’agiter, Ie cherche à l’acquerir, & non à l’irriter, Et in iiiloier Tobjet de la louuene frâmne Ce n’eſt pas le chemin de regaigner ſon ame.	Ami, quelque fureur qui puisse m'agiter, Je cherche à l'acquérir, et non à l'irriter, Et in iiiloier Tobjet de la louvène framène Ce n'est pas le chemin de regagner son âme.
AMMON.	AMMON.
Mais, Seigneur, vous touchez à ce moment fatal Qui pour iamais la donne à cet heureux riual:	Mais, Seigneur, vous touchez à ce moment fatal Qui pour jamais la donne à cet heureux rival:
En cétte extremité que pretendez-vous faire ?	En cette extrémité que prétendez-vous faire ?
PHINEE.	PHINE.
Tout horſmis l’irriter, tout horſmis luy déplaire:	Tout hormis l'irriter, tout hormis Seigneur déplaire:
SoûSoûpirer à ſes pieds, pleurer à ſes genoux, Trembler deuant ſa haine, adorer lon couroux.	SoûSoûpirer à ses pieds, pleurer à ses genoux, Trembler devant sa haine, adorer lon courroux.
AMMON.	AMMON.
Quittez, quittez, Seigneur, vn reſpect ſi funeſte, Oſtez-vous ce rival, & hazardez le reſte :	Quittez, quittez, Seigneur, un respect si funeste, Ôstez-vous ce rival, et hasardez le reste :
En uit crie a lanidis deuuignen ree loupirs, La vengeance elle ſeule a de ſi doux plaiſirs.	En uit crie a lanidis dévier ree loupirs, La vengeance elle seule a de si doux plaisirs.
PHINEE.	PHINE.
N’en cherchons les douceurs, amy, que les dernieres, Rarement vn amant les peut gouſter entieres, Et quand de ſa vengeance elles ſont tout le fruit, Ce ſont fauſſes douceurs que l’amertume ſuit.	N'en cherchons les douceurs, ami, que les dernières, Rarement un amant les peut goûter entières, Et quand de sa vengeance elles sont tout le fruit, Ce sont fausses douceurs que l'amertume suit.
La mort de ſon riual, les pleurs de ſon ingrate Ont bien ie ne ſçay quoy qui dans l’abord le flatte;	La mort de son rival, les pleurs de son ingrate Ont bien ici ne sais quoi qui dans l'abord le flatte;
Mais de ce cher objet s’en voyant plus hay, Plus il s’en eſt flatté, plus il s’en croit trahy, Sous d’eternels regrets ſon ame eſt abbatuë, Et ſa propre vengeance inceſſamment le tuë.	Mais de ce cher objet s'en voyant plus haï, Plus il s'en est flatté, plus il s'en croit trahi, Sous d'éternels regrets son âme est abattue, Et sa propre vengeance incessamment le tue.
Ce n’eſt pas que ie veüille enfin la negliger, Si ie ne puis ſléchir ie cours à me vanger, Mais ſouffre à mon amour, mais ſouffre à ma foibleſſe Encor vn peu d’effort auprés de ma Princeſſe, Vn amant veritable eſpere iuſqu’au bout, Tant qu’il voit vn moment qui peut luy rendre tout.	Ce n'est pas que ie veille enfin la négliger, Si tu ne puis sléchir ie cours à me venger, Mais souffre à mon amour, mais souffre à ma faiblesse Encor un peu d'effort auprès de ma Princesse, Un amant véritable espère jusqu'au bout, Tant qu'il voit un moment qui peut lui rendre tout.
L’inconſtante peut-eſtre encor toute eſtonnée N’eſtoit pas bien à ſoy quand elle s’eſt donnée, Et la recognoiſſance a fait plus que l’amour En faueur d’vne main qui luy rendoit le iour.	L'inconstante peut-être encor toute étonnée N'était pas bien à soi quand elle s'est donnée, Et la reconnaissance a fait plus que l'amour En faveur d'une main qui tu rendait le jour.
Au ſortir du peril paſle encore & tremblante, L’image de la mort deuant les yeux errante, Elle a creu tout deuoir à ſon liberateur:	Au sortir du péril pas encore et tremblante, L'image de la mort devant les yeux errante, Elle a cru tout devoir à son libérateur:
Mais ſouuent le deuoir ne donne pas le cœur.	Mais souvent le devoir ne donne pas le cœur.
Il agit rarement ſans vn peu d’impoſture, Et fait peu de preſents dont ce cœur ne murmure.	Il agit rarement sans un peu d'imposture, Et fait peu de présents dont ce cœur ne murmure.
Peut-eſtre, amy, peut-eſtre apres ce grand effroy Son amour en ſecret aura parlé pour moy, Les Les traits mal effacez de tant d’heureux ſeruices, Les douceurs d’un beau feu qui furent ſes delices, D’vn regret amoureux touchant ſon ſouuenir, Auront en ma faueur ſurpris quelque ſoûpir, Qui s’échappant d’un cœur qu’elle forcé à ma perte, M’en aura pil laiſer la porte encor ouuerte.	Peut-être, ami, peut-être après ce grand effroi Son amour en secret aura parlé pour moi, Les Les traits mal effacés de tant d'heureux services, Les douceurs d'un beau feu qui furent ses délices, D'un regret amoureux touchant son souvenir, Auront en ma faveur surpris quelque soupir, Qui s'échappant d'un cœur qu'elle forcé à ma perte, M'en aura pil laiser la porte encor ouverte.
Ah!	Ah!
ſi ce triſte Hymen ſe pouuoit eſloigner.	si ce triste Hymen se pouvait éloigner.
AMMON.	AMMON.
Quoy, vous voulez encor vous faire dédaigner?	Quoi, vous voulez encor vous faire dédaigner?
Sous ce honteux eſpoir voſtre fureur ſe dompte?	Sous ce honteux espoir votre fureur se dompte?
PHINEE.	PHINE.
Que veux-tu?	Que veux-tu?
ne ſois point le témoin de ma honte, Andromede reuient, va trouuer nos amis, Va préparer leurs bras à ce qu’ils m’ont promis.	ne sois point le témoin de ma honte, Andromède revient, va trouver nos amis, Va préparer leurs bras à ce qu'ils m'ont promis.
Ou mes nouueaux reſpects ſléchiront l’inhunſdine, Ou ſes nouueaux mépris animeront ma haine, Et tu verras mes feux changez en iuſte horreur Armer mes deſeſpoirs & haſter ma fureur.	Ou mes nouveaux respects sléchiront l'inhunsdine, Ou ses nouveaux mépris animeront ma haine, Et tu verras mes feux changez en juste horreur Armer mes désespoirs et hâter ma fureur.
AMMON.	AMMON.
Ie vous plains, mais enfin j’obeïs, & vous laiſſe.	Je vous plains, mais enfin j'obéis, et vous laisse.
SCERETI.	SCERETI.
CASSIOPE, ANDROMEDE, PHINEE, Suite de la Reyne.	CASIOPE, ANDROMEDE, PHINE, Suite de la Reine.
PHINEE.	PHINE.
Ne ſeconde fois, adorable Princeſſe, V Malgré de vos rigueurs l’imperieuſe loy.	Ne seconde fois, adorable Princesse, V Algré de vos rigueurs l'impérieuse loi.
ANDROMEDE.	ANDROMEDE.
Quoy, vous voyez la Reyne, & vous parlez à moy !	Quoi, vous voyez la Reine, et vous parlez à moi !
PHINEE.	PHINE.
C’eſt de vous ſeule auſſi que i’ay droit de me plaindre, Ie ſerois trop heureux de la voir vous contraindre, L Et Et n’accuſerois plus voſtre infidelité Si vous vous excuſiez ſur ſon authorité.	C'est de vous seule aussi que j'ai droit de me plaindre, Je serais trop heureux de la voir vous contraindre, L Et Et n'accuserais plus votre infidélité Si vous vous excusiez sur son autorité.
Au nom de cette amour autrefois ſi puiſſante, Aydez vn peu la mienne à vous faire innocente, Dites-moy que voſtre ame à regret obeït, Qu’vn rigoureux deuoir malgré vous me trahit, Donnez-moy lieu de dire, elle-meſme elle en pleure, Elle change forcée, & ſon cœur me demeure, Et ſoudain de la Reine embraſſant les genoux Vous m’y verrez mourir ſans me plaindre de vous.	Au nom de cette amour autrefois si puissante, Aydez un peu la mienne à vous faire innocente, Dites-moi que votre âme à regret obeït me Qu’ vous rigoureux devoir malgré vous me trahit, Donnez-moi lieu de dire, elle-même elle en pleure, Elle change forcée, et son cœur me demeure, Et soudain de la Reine embrassant les genoux Vous m'y verrez mourir sans me plaindre de vous.
Mais que luy puis-ie, helas!	Mais que mille puis-je, hélas!
demander pour remede Quand la main qui me tue en cene d’Andromede, Et que ſon cœur leger ne court au changement Qu’auec la vanité d’y courir juſtement ?	demander pour remède Quand la main qui me tue en cène d'Andromède, Et que son cœur léger ne court au changement Qu'avec la vanité d'y courir justement ?
CASSIOPE.	CASSIOPE.
Et quel droit ſur ce cœur pouuoit garder Phinée Quand Perſée a trouué la place abandonnée, Et n’a fait autre choſe en prenant ſon party Que s’emparer d’vn lieu d’où vous eſtiez ſorty?	Et quel droit sur ce cœur pouvait garder Phinée Quand Persée a trouvé la place abandonnée, Et n'a fait autre chose en prenant son parti Que s'emparer d'un lieu d'où vous étiez sorti?
Mais ſorty (le diray-ie, & pourrez-vous l’entendre?	Mais sorti (le dirai-je, et pourrez-vous l'entendre?
Oüy, ſorty laſchement, de peur de le defendre.	Oui, sorti lâchement, de peur de le défendre.
Ainſi nous n’auons fait que le recompenſer D’vn bien où voſtre bras venoit de renoncer, Que vous cediez au Monſtre, à luy-meſme, à tout autre:	Ainsi nous n'avons fait que le récompenser D'un bien où votre bras venait de renoncer, Que vous cédiez au Monstre, à lui-même, tout autre:
Si c’eſt vne injuſtice, examinons la voſtre.	Si c'est assez injustice, examinons la vôtre.
La voyant expoſée aux rigueurs de ſon Sort, Vous vous eſtiez deſia conſolé de ſa mort, Et quand par vn Heros le Ciel l’a garantie, Vous ne vous pouuez plus conſoler de ſa vie.	La voyant exposée aux rigueurs de son Sort, Vous vous étiez déjà consolé de sa mort, Et quand par un Héros le Ciel l'a garantie, Vous ne vous pouvez plus consoler de sa vie.
PHINEE.	PHINE.
Ah!	Ah!
Madame.	Madame.
CASSIOPE.	CASSIOPE.
Et bien, ſoit, vous auez ſoûpiré Autant que l’a pû faire vn cœur deſeſperé, Iamais aucun tourment n’égala voſtre peine;	Et bien, soit, vous avez soupiré Autant que l'a pu faire un cœur désespéré, Jamais aucun tourment n'égala votre peine;
Certes, quelque douleur dont voſtre ame fuſt pleine, Ce deſeſpoir illuſtre & ces dignes regrets Luy deuoient vn peu plus que des ſoûpirs ſecrets.	Certes, quelque douleur dont votre âme fut pleine, Ce désespoir illustre et ces dignes regrets Lui devaient un peu plus que des soupirs secrets.
A ce defaut Perſée.	À ce défaut Persée.
PHINEE.	PHINE.
Ah!	Ah!
c’en eſt trop, Madame, Ce nom rend malgré-moy la fureur à mon ame, Ie me force au reſpect, mais touſiours le vanter C’eſt me forcer moy-meſme à ne rien reſpecter.	c'en est trop, Madame, Ce nom rend malgré-moi la fureur à mon âme, Je me force au respect, mais toujours le vanter C'est me forcer moi-même à ne rien respecter.
