trois Mores, à la Berg-ſtraer.	trois Mores, à la Berg-straer.
Quels diſcours, juſte Ciel!	Quels discours, juste Ciel!
& que m’oſez-vous dire?	et que m'osez-vous dire?
Eſt-ce par ces chemins qu’on parvient à l’Empire?	Est-ce par ces chemins qu'on parvient à l'Empire?
D’une telle fureur les projets odieux Attireront ſur vous la colere des Dieux.	D'une telle fureur les projets odieux Attireront sur vous la colère des Dieux.
DOMITIE.	DOMITIE.
J’en crains peu le courroux.	J'en crains peu le courroux.
Leur aveugle puiſſance Souvent au lieu du crime a puni l’innocence, Ils lancent au hazard leurs foudres redoutez Et l’effet n’en ſuit pas toûjours leurs volontez.	Leur aveugle puissance Souvent au lieu du crime a puni l'innocence, Ils lancent au hasard leurs foudres redoutez Et l'effet n'en suit pas toujours leurs volontés.
Les cœurs ambitieux n’ont jamais craint l’orage.	Les cœurs ambitieux n'ont jamais craint l'orage.
Et de Tullie enfin j’admire le courage, Elle immola ſon pere au deſir de regner;	Et de Tullie enfin j'admire le courage, Elle immola son père au désir de régner;
Et lorſque ſes chevaux le vouloient épargner, Pour ceindre à ſon Epoux le ſanglant diadéme Elle le fit paſſer ſur ſon pere, elle-même, Et ſans conſiderer la nature & ſes droits Oublia pour leSceptre & le ſang & les Loix.	Et lorsque ses chevaux le voulaient épargner, Pour ceindre à son Époux le sanglant diadème Elle le fit passer sur son père, elle-même, Et sans considérer la nature et ses droits Oublia pour leSceptre et le sang et les Lois.
So1-	So1-
SUL'PICIE.	SUL'PICIE.
Gardez-vous d’imiter cet exemple execrable.	Gardez-vous d'imiter cet exemple exécrable.
Pourquoy vous propoſer un crime abominable, Un crime dont on tremble au moindre ſouvenir, La honte du paſſé, l’horreur de l’avenir?	Pourquoi vous proposer un crime abominable, Un crime dont on tremble au moindre souvenir, La honte du passé, l'horreur de l'avenir?
Ah!	Ah!
détournez vos pas d’un ſi grand precipice.	détournez vos pas d'un si grand précipice.
La pompe de ce rang vaut-elle une injuſtice?	La pompe de ce rang vaut-elle une injustice?
On déteſte à loiſir les plus heureux forfaits, Et nos propres remords ne nous quitent jamais.	On déteste à loisir les plus heureux forfaits, Et nos propres remords ne nous quitent jamais.
DOMITIE.	DOMITIE.
Et bien, n’en parlons plus.	Et bien, n'en parlons plus.
Mais quoy qu’on puiſſe dire, Je connois la grandeur & le prix d’un Empire, Et pour me l’acquerir & me le conſerver Je perdray ſans regret qui me veut l’enlever:	Mais quoi qu’on puisse dire, Je connais la grandeur et le prix d'un Empire, Et pour me l'acquérir et me le conserver Je perdrai sans regret qui me veut l'enlever:
Je n’épargneray rien dans ma colere extrême, Et j’immoleray tout, fut-ce l’Empereur même, Ce n’eſt qu’avec le jour qu’on peut m’ôter ce bien, Et jamais de mon cœur.	Je n'épargnerai rien dans ma colère extrême, Et j'immolerai tout, fut-ce l'Empereur même, Ce n'est qu'avec le jour qu'on peut m'ôter ce bien, Et jamais de mon cœur.
Eponine.	Éponine.
SULPICIE.	SULPICIE.
Quitez cet entreties	Quitez cet entreties
DOMITIE.	DOMITIE.
Pajons la prelence importunce	Pajons la prélence importunée
CENE II.	CÈNE II.
EPONINE, DOMITIE, PAULINE, SULPICIE.	EPONINE, DOMITIE, PAULINE, SULPICIE.
EPONINF.	EPONINF.
H!	H!
Madame, arrêtez, & daus mon infortune ANe me reſufez pas le genereux ſecours Qui ſeul de mes malheurs peut détourner le cours.	Madame, arrêtez, et daus mon infortune ANe me rêvez pas le généreux secours Qui seul de mes malheurs peut détourner le cours.
Prés de Veſpaſien je ſçay võtre puiſſance, Et j’en viens implorer l’infailioie ainitalice, Accordez cette grace à mes vives douleurs Et laiſſez-vous, Princeſſe, atendrir par mes pleurs.	Près de Vespasien je sais votre puissance, Et j'en viens implorer l'infailioie ainitalice, Accordez cette grâce à mes vives douleurs Et laissez-vous, Princesse, atendrir par mes pleurs.
Du rigoureux deſtin dont je ſuis menacée, Du tiranique hymen dont je me vois preſſée, Vous pouvez, de mon cœur, vous declarant l’apui,	Du rigoureux destin dont je suis menacée, Du tyranique hymen dont je me vois pressée, Vous pouvez, de mon cœur, vous déclarant l'appui,
12 P'af Par vos ſoins obligeants m’affranchiraujourd’hui.	12 P'as Par vos soins obligeants m'affranchiraujourd'hui.
D’un temeraire amour victime infortunée, A quel ſuplice, helas!	D'un téméraire amour victime infortunée, À quel suplice, hélas!
me vois je condamnée, Puiſque, ſans plus tarder, l’Empereur dés demain Veutenfin m’obliger à lui donner la main.	me vois je condamnée, Puisque, sans plus tarder, l'Empereur dès demain Veutenfin m'obliger à lui donner la main.
Dans cette extrêmité c’eſt en vous que j’eſpere, Madame, au nom des Dieux, obtenez qu’il difere, Qu’il ne me force point de le ſuivre à l’autel, Ou qu’il ſuſpende au moins un ordre ſi cruel.	Dans cette extrémité c'est en vous que j'espère, Madame, au nom des Dieux, obtenez qu'il difère, Qu'il ne me force point de le suivre à l'autel, Ou qu'il suspende au moins un ordre si cruel.
Je na vous diray point que ſa funeſte envie, S’il veut l’executer me coutera la vie, Et que pour le braver, un hero’ïque effort Sçaura même à ſes yeux me proeurer la mort.	Je na vous dirai point que sa funeste envie, S'il veut l'exécuter me coûtera la vie, Et que pour le braver, un héroïque effort Saura même à ses yeux me proûrer la mort.
Pour rompre avec éclat le coupque j’aprehende Mon ſang n’eſt pas encore une aſſez digne offrande, Et le jour a pour moy de ſi foibles appas Que je compte pour rien les horreurs du trépas.	Pour rompre avec éclat le coupque j'appréhende Mon sang n'est pas encore une assez digne offrande, Et le jour a pour moi de si faibles appas Que je compte pour rien les horreurs du trépas.
Je craindrois ſeulement qu’ami de l’innocence Le Ciel trop irrité n’embraſsât ma défenſe, Et que lançant les traits qu’il jette en ſa fareur Il ne punît un jour l’Empire & l’Empereur.	Je craindrais seulement qu'ami de l'innocence Le Ciel trop irrité n'embrassât ma défense, Et que lançant les traits qu'il jette en sa fareur Il ne punît un jour l'Empire et Empereur.
Vous pouvez prévenir la colere celeſte En delivrant mon cœur d’un feu que je deteſte, Pour obtenir ce bien j’embraſſe vos genoux, Et c’eſt là le ſecours que jeveux.	Vous pouvez prévenir la colère celeste En délivrant mon cœur d'un feu que je déteste, Pour obtenir ce bien j'embrasse vos genoux, Et c'est là le secours que jeveux.
DOMITIE.	DOMITIE.
Levez-vous, Et parlons maintenant ſans aucun artifice.	Levez-vous, Et parlons maintenant sans aucun artifice.
Pourriez-vous refuſer le rang d’Imperatrice?	Pourriez-vous refuser le rang d'Impératrice?
Et le Sceptre du Monde a-t’il ſi peu d’appas Qu’on puiſſe à ſa ſplendeur preferer le trépas?	Et le Sceptre du Monde a-t-il si peu d'appas Qu'on puisse à sa splendeur préférer le trépas?
Par de fauſſes couleurs vous croyez me ſurprendre, Et ſous les vains diſcours étalez en ces lieux Vous cachez les deſſeins d’un cœnrambitieux.	Par de fausses couleurs vous croyez me surprendre, Et sous les vains discours étalés en ces lieux Vous cachez les desseins d'un cœnrambitieux.
Par ces foibles détours ceſſez de vous contraindre, Vous ſouhaitez les nœuds que vous paroiſſez craindre, Et je m’y connois mal, ou bien-tôt l’Empereur Verra Verra finir pour lui cette feinte rigueur.	Par ces faibles détours cessez de vous contraindre, Vous souhaitez les nœuds que vous parais craindre, Et je m'y connais mal, ou bientôt l'Empereur Verra Verra finir pour lui cette feinte rigueur.
Mais moins pour vous ſervir que pour me ſatisfaire Pour éteindre ſes feux je ſuis prête à tout faire, Le laus tougdemander de nouvenesemrcer, Je vais, pour vous punir, ſuivre vos volontez.	Mais moins pour vous servir que pour me satisfaire Pour éteindre ses feux je suis prête à tout faire, Le laus tougdemander de nouvenesemrcer, Je vais, pour vous punir, suivre vos volontés.
EPONINE.	EPONINE.
Quel que ſoit l’interêt qui vous pouſſe, Madame, A rompre les projets dont s’allarme mon ame, Briſez ce joug fatal dont on veut m’accablet, Et détournez l’hymen qui me force à trembler.	Quel que soit l'intérêt qui vous pousse, Madame, A rompre les projets dont s'alarme mon âme, Brisez ce joug fatal dont on veut m'accablet, Et détournez l'hymen qui me force à trembler.
Soit haine, ſoit pitié, compaſſion, ou crainte, Afffarſchinez mon cœur d'une maigne contraïnte, Et ſans vous dire iciquels ſont mes ſentimens Vous les pourrez connoitre enſuite avec le cemps.	Soit haine, soit pitié, compassion, ou crainte, Affarschinez mon cœur d'une maigne contraînte, Et sans vous dire iciquels sont mes sentiments Vous les pourrez connaître ensuite avec le cemps.
DOMITIE.	DOMITIE.
Le temps éclaircira ce qu’on ne peut comprendre.	Le temps éclaircira ce qu'on ne peut comprendre.
E Po MiMMi Ouy, Madame, & dans peu vous me pourrez entendre.	E Po MiMi Oui, Madame, et dans peu vous me pourrez entendre.
DOMTIII Je lis dans vos regards les mouvemens du cœur.	DOMTIII Je lis dans vos regards les mouvements du cœur.
EPONINE.	EPONINE.
Souvent de tels garands n’ont rien que de trompeur.	Souvent de tels garants n'ont rien que de trompeur.
DOMITIZ.	DOMITIZ.
On connoît la fierté de vôtre ame orgueilleuſe.	On connaît la fierté de votre âme orgueilleuse.
EPONINE.	EPONINE.
Pour in en ferin ier pe luis trop malheureuſe.	Pour in en ferin jer pe luis trop malheureuse.
DOMITIE.	DOMITIE.
Elt-ce un malheur d’avoir ſon Maître pour Epoux?	Elt-ce un malheur d'avoir son Maître pour Époux?
EPONINE.	EPONINE.
Pour toute autre que moy l’honneur en ſeroit doux.	Pour toute autre que moi l'honneur en serait doux.
So MillF.	So MillF.
Il eſt beau de monter à ce degré ſublime.	Il est beau de monter à ce degré sublime.
EPONINE.	EPONINE.
Il eſt beau d’y monter quand on le peut ſans crime.	Il est beau d'y monter quand on le peut sans crime.
DOMITIE.	DOMITIE.
Les crimes pour regner ſont toûjours glorieux.	Les crimes pour régner sont toujours glorieux.
EPONINE.	EPONINE.
Le crime, quoy qu’on faſſe, eſt toûjours odieux.	Le crime, quoi qu'on fasse, est toujours odieux.
B.	B.
3	3
Do	Do
DOMITIE.	DOMITIE.
Nous vous verrons quiter ce ſuperbe langage.	Nous vous verrons quit ce superbe langage.
EPONINE.	EPONINE.
Nons je teurcouitament fenter a rorage, Et le plus grand peril ne me fait nulle horreur.	Nons je teurcouitament fenter a rorage, Et le plus grand péril ne me fait nulle horreur.
DOMITIE.	DOMITIE.
Vous vous expliquerez vous-même à l’Empereur Le voici qui paroît.	Vous vous expliquerez vous-même à l'Empereur Le voici qui paraît.
EPONINE.	EPONINE.
Ah!	Ah!
quel trouble à ſa veuë!	quel trouble à sa vue!
CENE III.	CÈNE III.
moriibible, ErOIIE, DOMITIE, MUCIEN, CECINNA, MARCELLUS, PAULINE, SULPICIE, GARDES.	moriibible, ErOIE, DOMITIE, MUCIEN, CECINA, MARCELLUS, PAULINE, SULPICIE, GARDES.
VESPASIEN.	VESPASIEN.
Contenter mes vœux étes-vous reſoluë, A Madame?	Contenter mes vœux êtes-vous résolue, A Madame?
Et pour le prix de ma fidelle ardeur, Puis-je eſperer de vous & la main & le cœur?	Et pour le prix de ma fidèle ardeur, Puis-je espérer de vous et la main et le cœur?
Depuis aſſez long-temps vôtre refus m’accable.	Depuis assez longtemps votre refus m'accable.
Vous payez mon amour d’une haine implacable, Et vôtre injuſte orgueil qui brave mes deſirs, Tout Maître que je ſuis, mépriſe mes ſoupirs.	Vous payez mon amour d'une haine implacable, Et votre injuste orgueil qui brave mes désirs, Tout Maître que je suis, méprise mes soupirs.
Je ne ſçaurois plus vivre en cette incertitude, Finiſſez & ma crainte, & mon inquietude;	Je ne saurais plus vivre en cette incertitude, Finissez et ma crainte, et mon inquiétude;
Et pour changer, Madame, un ſi rigoureux ſort, Je viens moy-même ici faire un dernier effort.	Et pour changer, Madame, un si rigoureux sort, Je viens moi-même ici faire un dernier effort.
Tout mon ſang répandu peut-il vous ſatisfaire?	Tout mon sang répandu peut-il vous satisfaire?
Quoy que vous m’ordonniez, je ſuis prêt à tout faire, Je n’ay pour toute loy que vos commandemens.	Quoi que vous m'ordonniez, je suis prêt à tout faire, Je n'ai pour toute loi que vos commandements.
Et puis vous aſſurer, par mille affreux ſermens, Que jamais tant d’amour n’a penetré moname, Que rien n’eſt comparable au beau feu qui m’enflâme.	Et puis vous assurer, par mille affreux serments, Que jamais tant d'amour n'a pénétré monme, Que rien n'est comparable au beau feu qui m'enflamme.
Que pour vous oubliant les ſoins de l’Univers Je mets toute ma gloire à mourir dans vos fers, Et que mon triſte cœur, dans un tel ſacrifice, Aime encor ſon tourment, & cnerit ſon ſuplice.	Que pour vous oubliant les soins de l'Univers Je mets toute ma gloire à mourir dans vos fers, Et que mon triste cœur, dans un tel sacrifice, Aime encor son tourment, et cnérit son suplice.
Rendez-vous donc, Madame, & ſouiller qu'ence jour Un Un hymen fortuné ſuccede à tant d’amour.	Rendez-vous donc, Madame, et souiller qu'ence jour Un Un hymen fortuné succède à tant d'amour.
DOMITIE.	DOMITIE.
Ah!	Ah!
quelle indignité, quelle balleſſe extreme!	quelle indignité, quelle ballesse extrême!
EPONINE.	EPONINE.
Seigneur, en cet inſtant je confeſſe moy-même, Que malgté la douleur de mon cœur abatu Jej vois par vôtte amour quelle eſt vôtre vertu.	Seigneur, en cet instant je confesse moi-même, Que malgté la douleur de mon cœur abattu Je vois par vôtte amour quelle est votre vertu.
Des reſpets ſi ſoûmis devroient toucher mon ame, Mais je ne puis répondre au feu qui vous enflâme:	Des respects si soumis devraient toucher mon âme, Mais je ne puis répondre au feu qui vous enflamme:
Un devoir trop preſſant, un obſtacle trop fort, Deffend que je m’uniſſe à vôtre illuſtre fort.	Un devoir trop pressant, un obstacle trop fort, Défend que je m'unisse à votre illustre fort.
C’eſt déja trop pour moy de ſouffir ce langage, Aux cendres d’un Epoux c’eſt faire trop d’outrage.	C'est déjà trop pour moi de souffir ce langage, Aux cendres d'un Époux c'est faire trop d'outrage.
Quand je receus ſa main par un nœud ſolemnel, Je lui juray, Seigneur, un amour éternel, Nos deux cœurs ſur l’Anteléchangez l’un pour l’autre, Ne me permettent plus de recevoir le vôtre, Je ne vis que pour lui comme il vécut pour moy, Et j’aime mieux mourir que de trahir ma foy.	Quand je reçus sa main par un nœud solennel, Je lui jurai, Seigneur, un amour éternel, Nos deux cœurs sur l'Anteléchangez l'un pour l'autre, Ne me permettent plus de recevoir le vôtre, Je ne vis que pour lui comme il vécut pour moi, Et j'aime mieux mourir que de trahir ma foi.
Ne me parlez donc plus d'amour ma nyimenee, A d’éternels ennuis le Ciel m’a deſtinée, Et je vais loin de vous, ſenſible à mes malheurs, Donner un libre cours à mes juſtes douleurs.	Ne me parlez donc plus d'amour ma nyimenee, A d'éternels ennuis le Ciel m'a destinée, Et je vais loin de vous, sensible à mes malheurs, Donner un libre cours à mes justes douleurs.
SCENE IV.	SCÈNE IV.
VESPASIEN, DOMITIE, MUCIEN, CE INNA, MARCELLUS, SULPICIE, GARDES.	VESPASIEN, DOMITIE, MUCIEN, CE INNA, MARCELLUS, SULICICIE, GARDES.
VESPASIEN.	VESPASIEN.
H!	H!
de grace, écoutez.	de grâce, écoutez.
ô Ciel!	ô Ciel!
qu’allois-je dire!	qu'allais-je dire!
A Quel funeſte projet ma lâcheté m’inſpire!	A Quel funeste projet ma lâcheté m'inspire!
Quoy!	Quoi!
toûjours prêt pour elle à me ſagrifier Pour ſes ſeuls interêts dois-je tout oublier?	toujours prêt pour elle à me sagrifier Pour ses seuls intérêts dois-je tout oublier?
C’eſt peu de lui ceder une entiere victoire, C’eſt peu d’abandonner tout le ſoin de ma gloire, Amant ſans eſperance, & toûjours malheureux, J’expoſe un Empereur à des mépris honteux, J'offre un Trôpe ou mon ſang, je pleure, je ſuplie, Et je m’abaiſſe en vain, en vain je m’humilie, Je fais pour la toucher des efforts ſuperflus.	C'est peu de lui céder une entière victoire, C'est peu d'abandonner tout le soin de ma gloire, Amant sans espérance, et toujours malheureux, J'expose un Empereur à des mépris honteux, J'offre un Trôpe ou mon sang, je pleure, je supplie, Je je en abaisse en vain, en vain je m'humilie, Je fais pour la toucher des efforts superflus.
Ah!	Ah!
c’eſt trop de mépris, trop d’éclatans refus.	c'est trop de mépris, trop d'éclatants refus.
Eteignons cet amour, oublions cette ingrate.	Éteignons cet amour, oublions cette ingrate.
Mais, helas!	Mais, hélas!
dans mes maux quelle douceur me flate!	dans mes maux quelle douceur me flatte!
Ses yeux en me quitant avoient moins de courroux, J’ay vû dans ſes regards je ne ſçai quoy de doux Qui ſemble me permetre une foible eſperance.	Ses yeux en me quitant avaient moins de courroux, J'ai vu dans ses regards je ne sais quoi de doux Qui semble me permetre une faible espérance.
Peut-etre que le temps vaincra ſa reſiſtance, Peut-être que mes ſoins.	Peut-être que le temps vaincra sa résistance, Peut-être que mes soins.
MUCIEN.	MUCIEN.
Quoy, vous voulez, Scigneur, Sans ceſſe d’Eponine eſſuyer la froideur?	Quoi, vous voulez, Scigneur, Sans cesse d'Éponine essuyer la froideur?
Vous voyez juſqu’où vont ſes mépris & ſa haine, Et vous craignez encor de briſer vôtre chaîne!	Vous voyez jusqu'où vont ses mépris et sa haine, Et vous craignez encor de briser votre chaîne!
Ah!	Ah!
quitez cette ardeur ſi fatale à vos jours, Ne vous obſtinez plus en ces lâches amours, Reprenez en Heros les rênes de l’Empire, Vôtre gloire le veut, & Rome le deſire.	quitez cette ardeur si fatale à vos jours, Ne vous obstinez plus en ces lâches amours, Reprenez en Héros les rênes de l'Empire, Votre gloire le veut, et Rome le désire.
DOMITIE.	DOMITIE.
Non, non, ſuivez, Seigneur, avec empreſſement, Tout ce que vous inſpire un objet ſi charmant:	Non, non, suivez, Seigneur, avec empressement, Tout ce que vous inspire un objet si charmant:
Pour vaincre la Gauloiſe il n’eſt point d’infamie.	Pour vaincre la Gauloise il n'est point d'infamie.
Metez en vôtre lit cette fierre ennemie Qui de ſa propre main ſçaura vanger ſur vous Les Manes irritez de ſon premier Epoux.	Métez en votre lit cette fierre ennemie Qui de sa propre main sçaura venger sur vous Les Manes irrités de son premier Époux.
Il me ſemble, au milieu des pompes qu’on prepare, Un poignard à la main voir déja la barbare, Pourſuivre la fureur de ſon cœur offenſé, Et verſer ſans ſcrupule un ſang preſque glacé, Rien ne vous peut ſauver des coups de l’inhumaine, Le fer & le poiſon ſatisferont ſa haine, Et craignant de trouver vos vangeurs en vos fils Ils periront tous deux ſous ſes coups ennemis, Leur mort de vôtre hymen ſera la recompenſe.	Il me semble, au milieu des pompes qu'on prépare, Un poignard à la main voir déjà la barbare, Poursuivre la fureur de son cœur offensé, Et verser sans scrupule un sang presque glacé, Rien ne vous peut sauver des coups de l'inhumaine, Le fer et le poison satisferont sa haine, Et craignant de trouver vos vengeurs en vos fils Ils périront tous deux sous ses coups ennemis, Leur mort de votre hymen sera la récompense.
Ses regards, dites-vous, ont moins de violence, Qui ſçait ſi ce n’eſt point une fauſſe douceur Pour mieux trouver la voye à vous percer le cœur?	Ses regards, dites-vous, ont moins de violence, Qui sait si ce n'est point une fausse douceur Pour mieux trouver la voie à vous percer le cœur?
Vous ignorez encor ce que peut la colere D’une femme en fureur qui veut ſe ſatisfaire, Et vous n’enconnoîtrez les effets dangereux Que par les coups certaius d’un trépas rigoureux.	Vous ignorez encor ce que peut la colère D'une femme en fureur qui veut se satisfaire, Et vous n'enconnoîtrez les effets dangereux Que par les coups certaius d'un trépas rigoureux.
Courer tone à l’Autel faciliter ſon crime, Allez, ſon bras vengeur n’attend que la victime.	Courer tone à l'Autel faciliter son crime, Allez, son bras vengeur n'attend que la victime.
ESPASIEN.	ÉPASIEN.
Helas!	Hélas!
dans quel état me metez-vous tous deux?	dans quel état me métez-vous tous deux?
Dois je écouter ma gloire, ou conſulter mes feux?	Dois -je écouter ma gloire, ou consulter mes feux?
Dois-je prendre ou bannir la terreur qu’on m’inſpire?	Dois-je prendre ou bannir la terreur qu'on m'inspire?
Faudra-t’il pour l’amour renoncer à l’Empiré?	Faudra-t-il pour l'amour renoncer à l'Empiré?
Faudra-t’il pour l’Empire abandonner l’amour?	Faudra-t-il pour l'Empire abandonner l'amour?
Tous les deux à l’envi me flâtent tour à tour, L’un m’offre les appas d’une brillante gloire, L’honneur de conſacrer mou nom à la memoire, Et de donner enfin l’exemple à l’Univers Que l’on peut à ſou gré rompre d’indignes fers.	Tous les deux à l'envi me flattent tour à tour, L'un m'offre les appas d'une brillante gloire, L'honneur de consacrer mou nom à la mémoire, Et de donner enfin l'exemple à l'Univers Que l'on peut à sou gré rompre d'indignes fers.
L’autte, prêt à tarir la ſource de mes larmes Preſente à mon eſprit ſa douceur & ſes charmes, Ses tendres mouvemens, ſes innocens plaiſirs;	L'autte, prêt à tarir la source de mes larmes Presente à mon esprit sa douceur et ses charmes, Ses tendres mouvements, ses innocents plaisirs;
L’avantage de vaincre aprés tant de ſoûpirs, Et s’il faut juſqu’an bout avoüer ma foibleſſe Je ſens toûjours mon eœur pancher vers la tendreſſe.	L'avantage de vaincre après tant de soupirs, Et s'il faut jusqu'an bout avouer ma faiblesse Je sens toujours mon éœur pencher vers la tendresse.
Mais pourquoy les frayeurs dont je ſuis allarmé?	Mais pourquoi les frayeurs dont je suis alarmé?
Les Heros, les Ceſars, les Dieux, tous out aimé, Ils ont tous éprouvé le tourment que j’endure Et ce crime eſt commun à toute la uature.	Les Héros, les Césars, les Dieux, tous out aimé, Ils ont tous éprouvé le tourment que j'endure Et ce crime est commun à toute la uature.
MUCIEN.	MUCIEN.
Je ne puis exprimer les malheurs que je crains.	Je ne puis exprimer les malheurs que je crains.
Cette flâme obſtinée irrite les Romains;	Cette flamme obstinée irrite les Romains;
Je ſçay même, Seigneur, qu’on s’aſſemble, on conſpire, Des amis ont pris ſoin déja de m’en inſtruire, Et je tremble qu’enfin ce malheureux amour Ne vous coute à la fois, & l’Empite & le jour.	Je sais même, Seigneur, qu'on s'assemble, on conspire, Des amis ont pris soin déjà de m'en instruire, Et je tremble qu'enfin ce malheureux amour Ne vous coute à la fois, et l'Empite et le jour.
DOMITIE.	DOMITIE.
L’Empire eſt-il d’un prix ſi puiſſant ſur ſon ame Qu’il puiſſe balancer la grandeur de ſa flâme?	L'Empire est-il d'un prix si puissant sur son âme Qu'il puisse balancer la grandeur de sa flamme?
Non, non, l’amour peut tout, & ſon cœur glorieux Suit les pas des Heros, des Ceſurs & des Dieux.	Non, non, l'amour peut tout, et son cœur glorieux Suit les pas des Héros, des Césurs et des Dieux.
SPASIEN.	SPASIEN.
Ah!	Ah!
loin de m’accabler, plaignez mon infortune.	Loin de m'accabler, plaignez mon infortune.
Les Romains, mon amour, mon rang, tout m’importune, je ne me connois plusy de daus un ter ctaeIl vant mieux par ma fuite éviter le combat.	Les Romains, mon amour, mon rang, tout m'importune, je ne me connais plusi de daus un ter taeIl vant mieux par ma fuite éviter le combat.
Il ſort.	Il sort.
MUCIEN.	MUCIEN.
Ne l’aoundonnons point, furvons lespas, Madame, Et tachons à calmer le trouble de ſon àme.	Ne l'aoundonnons point, furvons lespas, Madame, Et tachons à calmer le trouble de son âme.
SCENE V.	SCÈNE V.
CECINNA, MARCELLUS.	CECINA, MARCELLUS.
MARCELLUS.	MARCELLUS.
Ecinna, c’en eſt fait, il eſt temps d’éclater, ODe cet avis ſecret nous devons profiter, Le trépas eſt certain ſi l’entrepriſe eſt ſçûë:	Ecinna, c'en est fait, il est temps d'éclater, ODe cet avis secret nous devons profiter, Le trépas est certain si l'entreprise est sue:
Tout eſt trop avancé pour douter de l’iſſuë:	Tout est trop avancé pour douter de l'issue:
N’attendons pas ici qu’un funeſte raport Déconcertant l’intrigue avance nôtre mort, Car puiſque Muciena ſçû que l’on conſpire, Que quelqu’un d’entre nous a daigné l’en inſtruire, Il faut tout redouter de cette trahiſon, Et nos bras doivent ſeuls nous en faire raiſon.	N'attendons pas ici qu'un funeste rapport Déconcertant l'intrigue avance notre mort, Car puisque Muciena su que l'on conspire, Que quelqu'un d'entre nous a daigné l'en instruire, Il faut tout redouter de cette trahison, Et nos bras doivent seuls nous en faire raison.
Attaquons le Tyran, & ſauvons Eponine Du ſuplice odieux qu’un cruel lui deſtine.	Attaquons le Tyran, et sauvons Éponine Du suplice odieux qu'un cruel lui destine.
CECINNA.	CECINA.
Ory, ſans doute, il eſt temps, allons donc, Marcellus, Aſſurer par ſa mort l’Empire à Sabinus.	Ori, sans doute, il est temps, allons donc, Marcellus, Assurer par sa mort l'Empire à Sabinus.
Un de ſes affranchis a ſçû me faire entendre Que ce ſoir au plus tard il doit ici ſe rendre, Et qu’enfin pour ſe voir daus ces murs introduit Ce Heros n’attend plus que l’ombre de la nuit.	Un de ses affranchis a su me faire entendre Que ce soir au plus tard il doit ici se rendre, Et qu'enfin pour se voir daus ces murs introduit Ce Héros n'attend plus que l'ombre de la nuit.
Auffi-tôt que dans Rome ou le verra paroître Le peuple en le voyant l’acceptera pour Maître, Et laſſé des excés d’un avare Empereur Nous le verrons bien-tôt s’armer en ſa faveur.	Auffi-tôt que dans Rome ou le verra paraître Le peuple en le voyant l'acceptera pour Maître, Et lassé des excès d'un avare Empereur Nous le verrons bientôt s'armer en sa faveur.
De ſes ſils qui pourroieut ſeuls troubler nôtre envie L’un eſt en Paleſtine, & l’autre en Germanie, Et nous n’en craindrons point le fetour dangereux Par les ordres ſecrets que j’ay donné contre eux.	De ses sils qui pourraient seuls troubler notre envie L'un est en Palestine, et l'autre en Germanie, Et nous n'en craindrons point le fetour dangereux Par les ordres secrets que j'ai donné contre eux.
C’eſt pouſſer un peu loin la vengeance & le crime, Mais mon cœur eſt outré d’un courroux legitime, Nous voyons par l’oubli nos exploits effacez.	C'est pousser un peu loin la vengeance et le crime, Mais mon cœur est outré d'un courroux légitime, Nous voyons par l'oubli nos exploits effacés.
On mépriſe aujourd’hui nos ſervices paſſez, Et la Cour à nos yeux n’a rien que de ſiniſtre Sous l’abſolu pouvoir d’un inſolent Miniſtre:	On méprise aujourd'hui nos services passez, Et la Cour à nos yeux n'a rien que de sinistre Sous l'absolu pouvoir d'un insolent Ministre:
Courons donc nous vanger, & nous aurons enfiu Sous un regne plus doux un plus heureux deſtin.	Courons donc nous venger, et nous aurons enfiv Sous un règne plus doux un plus heureux destin.
MARCELLUS.	MARCELLUS.
Ouy, Seigneur, j’y conſens, mais avant d’entreprendre Puiſque bien-tôt ici Sabinus doit ſe rendre, Allons le recevoir, amenons-le ſans bruit, Et dés que le Soleil aura chaſſé la nuit En perdant le Iyran pour lervir ce grand fiomme Des maux qu’elle a ſoufferts uous irons vanger Rome.	Oui, Seigneur, j'y consens, mais avant d'entreprendre Puisque bientôt ici Sabinus doit se rendre, Allons le recevoir, amenons-le sans bruit, Et dès que le Soleil aura chassé la nuit En perdant le Jyran pour lervir ce grand fiomme Des maux qu'elle a soufferts ou irons ver Rome.
ACIE TII.	ACIE -TY.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
SABINUS, CECINNA, MARCELLUS.	SABINUS, CECINA, MARCELLUS.
CECINNA.	CECINA.
T quoy, Seigneur, malgré nos ſinceres avis, LVous courez vous jeter entre vos Ennemis?	 quoi, Seigneur, malgré nos sincères avis, LUous courez -vous jeter entre vos Ennemis?
vous tenezen tes neul plouiguer votle vle;	vous tenezen tes neul plouiguer votle vle;
Vous immoler vous-même aux fureurs de l’envie?	Vous immoler vous-même aux fureurs de l'envie?
C’eſt trop vous expoſer, ſortez de ce Palais, Coutentez aujourd’hui nos plus ardents ſouhaits, Faites-vous voir au peuple & ſongez que l’Empire.	C'est trop vous exposer, sortez de ce Palais, Coutentez aujourd'hui nos plus ardents souhaits, Faites-vous voir au peuple et songez que l'Empire.
SABINUS.	SABINUS.
