ARGVMENT DE LA PRESENTE COMEDIE.	ARGUMENT DE LA PRÉSENTÉ COMÉDIE.
Soldam à qui le monde & les Roys font hommage, or vous cites de voir ce Chaſteau eſtonné os Ie ne ſçay ſi ie ſuis dedans l’vniuers né, Si ie dors, ſi ie vis, où bien ſi ma paupiere Admire de Titan la brillante lumiere, Tant ie ſuis comme vous comblé d’eſtonnements Hé quoy & d’où prouient ce grand aduancement Il n’y-a pas trois iours que cet illuſtre ouurage Ne montoit ſeulement qu’a deux ou trois eſtage Il a depuis ce temps grandement trauaillé.	Soldam à qui le monde et les Rois font hommage, or vous cites de voir ce Château étonné os Je ne sais si tu suis dedans l'univers né, Si tu dors, si je vis, où bien si ma paupière Admire de Titan la brillante lumière, Tant ie suis comme vous comblé d'étonnement Hé quoi et d'où provient ce grand avancement Il n'y-a pas trois jours que cet illustre ouvrage Ne montait seulement qu'a deux ou trois étage Il a depuis ce temps grandement travaillé.
Le Soldam.	Le Soldam.
Par les Dieux (Boſphoron) i’en ſuis eſmerueillé Et ne puis que penſer, augurer ne predire.	Par les Dieux (Bosphoron) j'en suis émerveillé Et ne puis que penser, augurer ne prédire.
Bosphoron.	Bosphoron.
Ce n'eſt pas ſans ſu jet!	Ce n'est pas sans su jet!
ô magnanime Sire, Veu que ià ce Chaſteau eſleue audacieux Son celebre ſommet vers la voute des Cieux Hà!	ô magnanime Sire, Veu que jà ce Château élève audacieux Son célèbre sommet vers la voûte des Cieux Hà!
ma foy cet ouurier eſt en ſon art habille.	ma foi cet ouvrier est en son art habille.
Le Soldam.	Le Soldam.
Il ne s’en peut trouuer çà bas de plus agille, Ni de plus excelent:	Il ne s'en peut trouver çà bas de plus agille, Ni de plus excelent:
car les manes d’Enfer N’en ſçauroient en ſi peu tant que luy eſtofer, Dequoy ie ſuis deceu car i’auois bonne enuie N’acheuant ſon deſſein de dedier ſa vie A la Deeſſe Iſis, mais puis qu’elle à permis Qu’il ait effectué l’objet qui m’a promis, Ie veux ſemblablement luy tenir ma promeſſe.	car les mânes d'Enfer N'en sauraient en si peu tant que tu estofer, Dequoi je suis déçu car j'avais bonne envie N'achevant son dessein de dédier sa vie A la Déesse Isis, mais puis qu'elle à permis Qu'il ait effetué l'objet qui m'a promis, Je veux semblablement lui tenir ma promesse.
Bosphoron.	Bosphoron.
LIGLL Vn Roy ne doſt famais auoir l’ame trartreſſe, Ains doit effectuer royallement l’object Et le don precieux que ſans force il promet Quand ce ceroit à ceux qui luy feroient la guerre.	LIGLL Un Roi ne dot famais avoir l'âme trartresse, Ains doit effectuer royalement l'object Et le don précieux que sans force il promet Quand ce cerait à ceux qui lui feraient la guerre.
Le Soldam.	Le Soldam.
Hàlle Ciel azuré, l’air, la mer & la terre Coniurent mon treſpas (mon amy Boſphoron) Ou ie ſois abyſmé au fleuue d’Acheron, Voire au cocite obſcur, ou aux auides flames Où des malheureux ſont les excecrables ames.	Hàlle Ciel azuré, l'air, la mer et la terre Conjurent mon trépas (mon ami Bosphoron) Ou ie sois abîmé au fleuve d'Acheron, Voire au cocite obscur, ou aux avides flammes Où des malheureux sont les excecrables âmes.
Sy I’ay d’autre deſir ou deſſein dedans moy Que de luy maintenir ma promeſſe& ma foy.	Si J'ai d'autre désir ou dessein dedans moi Que de deux maintenir ma promesseet ma foi.
Boſphoron.	Bosphoron.
Cela puiſſant Soldam accroiſtra voſtre gloire.	Cela puissant Soldam accroîtra votre gloire.
Voire vous fera viure au temple de memoire Malgré le ſort le temps & le tartare infait.	Voire vous fera vivre au temple de mémoire Malgré le sort le temps et le tartare infait.
Mais allons vn peu voir ſi noſtre œuure eſt parfait.	Mais allons un peu voir si notre œuvre est parfait.
Le Soldam.	Le Soldam.
Allons ie le veux bien c’eſt toute ma lieſſe, Que deſlancer mes yeux ſur ceſte fortereſſe.	Allons ie le veux bien c'est toute ma liesse, Que délancer mes yeux sur cette forteresse.
ACTE IIII.	ACTE IIII.
SCENE PREMIER.	SCÈNE PREMIER.
Turiy, Vandalon.	Turi, Vandalon.
Turly.	Turli.
E voudrois tant ie ſuis trauaillé de porter 210 Que le diable voulut le Maſſon tranſporteŕ, Hors de ce païs cy:	E voudrais tant grands suis travaillé de porter 210 Que le diable voulut le Masson transporte, Hors de ce pays cy:
car a iamais ma vie Ne fut de tant de maux, ne de tourmens ſuiuie, Depuis que ie ſuis né qu’ell’eſt or Vandalon, Depuis que ce François admirable maſſon, Eſt venu par deça commencer cet ouurage Où nous ſommes recrus ainſi qu’au labourage.	car a jamais ma vie Ne fut de tant de maux, ne de tourments suivie, Depuis que sans suis né qu'elle est or Vandalon, Depuis que ce Français admirable masson, Est venu par deça commencer cet ouvrage Où nous sommes recrus ainsi qu'au labourage.
Encor cet ouurier en ſon commencement Ne nous dounoit point tant de trauail & tourment, Comme il fait maintenant acheuant ſon affaire:	Encor cet ouvrier en son commencement Ne nous dounait point tant de travail et tourment, Comme il fait maintenant achevant son affaire:
Hé quoy!	Hé quoi!
on ne ſçauroit tantide cyment deffaire, Ni tant de bloc porter qu’il ne l’aille auoüant Cefait, par nos grands Dieux me va tout eſtonnant, Et croy pour n’en mentir que quelque horrible diable Luy eſt, ô!	on ne saurait tantide ciment défaire, Ni tant de bloc porter qu'il ne l'aille auoüant Cfait, par nos grands Dieux me va tout étonnant, Et crois pour n'en mentir que quelque horrible diable Lui est, ô!
Vandalonen, ce fait fauorable,	Vandalon, ce fait favorable,
Vandalon Ie ne ſçay, mais (Turly) i’aymerois mieux cent foit Nombrer tout a loiſir les fueillages des bois, Les eſtoilles des cieux, ou bien l’Arené humide Ou arreſter les vents courans dans l’air liquide Que ſeruir ce Maſſon:	Vandalon Je ne sais, mais (Turyli) j'aimerais mieux cent soit Nombrer tout à loisir les fueillages des bois, Les étoilles des cieux, ou bien l'Arené humide Ou arrêter les vents courants dans l'air liquide Que servir ce Masson:
car par ma foy mon corps A force de porter, eſt tout boſſu & tors, Et faut que cet ouurage en bon eſcient ie quitte Et que ie prenne ailleurs incontinent la fuittes Car ie ne puis, Turly, à cela reſiſter.	car par ma foi mon corps A force de porter, est tout bossu et tors, Et faut que cet ouvrage en bon escient a quitte Et que je prenne ailleurs incontinent la fuittes Car ie ne puis, Tury, à cela résister.
Iurly.	Jurli.
Il faut, (ô Vandalon )encor patienter, Pour vn petit de temps & courage reprendre:	Il faut, (ô Vandalon )encor patienter, Pour un petit de temps et courage reprendre:
Car ie croy que noſtre homme ainſi que puis entendre Mlelledera ce Moal done le laro plals coneeney Que ſi on me donnoit les threſors d’Orient:	Car ie crois que notre homme ainsi que puis entendre Mlelledera ce Moal done le laro plals conéenei Que si on me donnait les trésors d'Orient:
Car i’aymerois autant endurer les ſupplices Des enfers que vacquer en ces durs exercices.	Car j'aimerais autant endurer les supplices Des enfers que vacquer en ces durs exercices.
Vandalon.	Vandalon.
Vertu-bleu quel Maſſon, quel abiſme d’ouuriers, S’iſ s’en voyoit beaucoup de-meſme en ces cartiers, Le Soldam dont la gloire en l’vniuers fleuronne, Auroit bien-toſt baſty la ſœur de Babylonne.	Vertu-bleu quel Masson, quel abîme d'ouvriers, S'is s'en voyait beaucoup de-même en ces cartiers, Le Soldam dont la gloire en l'univers fleuronné, Aurait bientôt bâti la sœur de Babylonne.
Turly.	Turli.
Allons deſpechons- nous, nous n’auons que tarder,	Allons despechons- nous, nous n'avons que tarder,
Ce diable va criant ià deſ-ja du mortier.	Ce diable va criant jà déjà du mortier.
.	.
344 Vandalon.	344 Vandalon.
Allons, que les demons dedans l’enfer l’emporte, I’ay le dos tout rompu de porter de la ſorte.	Allons, que les démons dedans l'enfer l'emporte, J'ai le dos tout rompu de porter de la sorte.
SCENE II.	SCÈNE II.
Riouonl cuphamte euuros toemon taſernals	Riouonl cuphamte euros témon tasernals
E¶’OL CCUI 1 Flodoar.	EQUEOL CCUI 1 Flodoar.
4 ERpuis que nous auons ce chaſteau acheué S Et ſon chef ſourcilleux iuſqu’au ciel eſleué, Il faut de nos haineux abſenter la preſence Et aller reuoir l’air du doux païs de France.	4 ERpuis que nous avons ce château achevé S Et son chef sourcilleux jusqu'au ciel élevé, Il faut de nos haineux absenter la présence Et aller revoir l'air du doux pays de France.
Il faut (diſ-je) reuoir ma chere nation Et quitter ce Soldam plus cruel qu’vn lyon, Voire qu’vn ours felon, ou que quelque tigreſſe:	Il faut (dis-je) revoir ma chère nation Et quitter ce Soldam plus cruel qu'un lyon, Voire qu'un ours felon, ou que quelque tigresse:
Mais ne m’auiez vous pas ô!	Mais ne m'aviez -vous pas ô!
Pharos fait promeſſe De me rendre vengé d’vn courage animé De ceux qui m’ont icy malgré moy amené?	Pharos fait promesse De me rendre vengé d'H courage animé De ceux qui m'ont ici malgré moi amené?
Pharos.	Pharos.
Cela ce voit eſcrit amy en noſtre roolle Auſſi l’effait de pres à ſuiuy la parole:	Cela ce voit écrit ami en notre rôle Aussi l'effait de pres à suivi la parole:
22 Car de mes propres mains d’vn courroux dereglé, I'ay les Sattrappes noirs occis & eſtranglé, Et pillé du Soldam la richeſſe Royalle Et ces perles qui n’ont en l’vniuers d’égalles, Ces ſplendilles diamants, ces lucides rubis, Sabrillante eſcarbouele & agathes de prix, ( L108 0 CIUA Ses vermeils grenadins, & ces belles topaſſes, Et tout ce qu’il auoit de plus rare en ces caſſes.	22 Car de mes propres mains d'un courroux dereglé, J'ai les Sattrapes noirs occis et étranglé, Et pillé du Soldam la richesse Royalle Et ces perles qui n'ont en l'univers d'égales, Ces splendilles diamants, ces lucides rubis, Sabrillante escarbouele et agathes de prix, ( L10 0 CUA Ses vermeils grenadins, et ces belles topasses, Et tout ces belles topa de ces rare en ces casses.
Flodoar Capitaint.	Flodoar Capitaint.
Dieu que tu es expert, adextre, caut & fin A ſeduire le monde & commettre larcin, Iamais Mercure n’euſt, Pharos, dans lacerdelle Tant de ſens, tant d’eſprit & ſubtile cautelle Que tu me vas monſtrant par ton habilleté.	Dieu que tu es expert, adextré, caut et fin A séduire le monde et commettre larcin, Jamais Mercure n'eût, Pharos, dans lacerdelle Tant de sens, tant d'esprit et subtile cautelle Que tu me vas montrant par ton habilleté.
Pharos.	Pharos.
Hé!	Hé!
qui pourroit paſſer ſur ce rond habité, La fineſſe & les tours, & la puiſſance rare D’vn demon bazané citoyen du Tartare.	qui pourrait passer sur ce rond habité, La finesse et les tours, et la puissance rare D'un démon basané citoyen du Tartare.
Flodoar Capitaine.	Flodoar Capitaine.
Les diables ſont ruzez cela eſt tout certain, Car n’eſperant plus rien du moteur Souuerain Ils ne font que ſonger en l’infernal empire Quel vol ou aſſaſin il nous pourront prodire.	Les diables sont ruzés cela est tout certain, Car n'espérant plus rien du moteur Souverain Ils ne font que songer en l'infernal empire Quel vol ou assasin il nous pourront prodire.
Pharos.	Pharos.
Tu dis vray quelquesfois ie fay autruy leuer Pour aller ſes voiſins en ſecret deſrober, I’incite à paillarder, i’excite l’auarice, l’inuente les procez pires que les ſupplices, Ie fais autruy occir, ie groſsis les torrens, Ie fais dedans les airs s’entre-choquer les vents, Ie fais perir les nerfs, i’ameine les tempeſtes, Et les foudres qui vont des rocs briſant la teſte, I’attize les debats, i’enflamme l'vniuers De brandons infernaux, & d’agilles eſclairs:	Tu dis vrai quelquefois ie fay autrui lever Pour aller ses voisins en secret dérober, J'incite à paillarder, j'excite l'avarice, l'invente les procès pires que les supplices, Je fais autrui occir, votre grossis les torrents, Je fais dedans les airs s'entrechoquer les vents, Je fais périr les nerfs, j'amère les tempêtes, Et les foudres qui vont des rocs brisant la tête, J'enles débats, l'enflamme l'uniuers De brandons infernaux, et agilles éclairs:
Bref, ie produis an monde vn Occean de vice, Vn arſenac d’erreur, vn gouphre de malice, Et maints autres objects que ie ne veux nommer, Ie me ris quand ie fais le Sauueur blaſphemer, Mais ſur tout ie me plaiſt quand quelqu’vn le renie Ou me va dediant & ſon ame & ſa vie:	Bref, Seigneur produis an monde un Océan de vice, Un arsenac d'erreur, un gouphre de malice, Et maints autres objects que sans ne veux nommer, Je me ris quand tu fais le Sauveur blasphémer, Mais sur tout mille me plaît quand quelqu'un le renie Ou me va dédiant et son âme et sa vie:
Ie ne t’ay pas mon corps & mon eſprit donné, Ie ne t’ay qu’obligé par vn poinct neceſſaire Mon corps ayant de toy extreſmement affaire, Lequel ie veux de toy de ceſt or racheter?	Je ne t'ai pas mon corps et mon esprit donné, Je ne t'ai qu'obligé par un point nécessaire Mon corps ayant de toi extrêmement affaire, Lequel ie veux de toi de cet or racheter?
Pharos.	Pharos.
Tu as de la raiſon il te faut eſcouter, Mais viens-ça, n’as-tu point, dy moy plus de ſcience, Plus d’eſprit, plus de grace, & plus d’experience Que penſer pour de l’or t’abſenter de mes mains M’oppoſant ces ioyaux & ces threſors mondains, Va, va, ie ne ſuis point aueuglé d’auarice, Car les threſors ſont miens, mais ie prends ma delice A tromper les mortels, & quand quelqu’vn i’ay pris I'en fais trop plus d’eſtat que ſi i’auois conquis Le rond de l’vniuers, & tout l’or que la terre Origine des maux dedans ſes flancs enſerre, Partant ne penſe point de mes lacs eſchapper, Ny en faiſant le fin pour de l’or me tromper.	Tu as de la raison il te faut écouter, Mais viens-cia, n'as-tu point, dis moi plus de science, Plus d'esprit, plus de grâce, et plus d'expérience Que penser pour de l'or t'absenter de mes mains M'opposant ces joyaux et ces trésors mondains, Va, va, je ne suis point aveuglé d'avarice, Car les trésors sont miens, mais tu prends ma délice À tromper les mortels, A tromper les i’ et quand QUELQU'en fais trop plus d'état que si j'avais conquis Le rond de l'uns, et tout l'or que la terre Origine des maux dedans ses flancs en, Partant ne pense point de mes lacs échapper, en faisant le fin pour de or me tromper,
Flodour Capitaine.	Flodour Capitaine.
Ie ſçais que ie ſuis pris de la meſme maniere Que l’on ſurprend le rat au creux de la ratiere, Mais auſsi pour cela tu m’as Pharos, promis Que tous objects ſeront entre mes mains commis.	Je sais que tu suis pris de la même manière Que l'on surprend le rat au creux de la ratière, Mais aussi pour cela tu m'as Pharos, promis Que tous objects seront entre mes mains commis.
Pharos.	Pharos.
M eſt vray, Flodoar, ie le promets encore.	M est vrai, Flodoar, Seigneur le promets encore.
Flodpar Lapitames Or ny manque donc pas, mais pendant que l’aurore De ſon front ſaffrané nous va ouurant les cieux, Tranſporte moy, Pharos, ſubit hors de ces lieux, Car ſi le grand Soldam qui gouuerne l’Egypte Alloit voir ces diamants, ou bien ces chriſollites Et les ne trouuit pao, nouo lerionoy ornaros, En extreſme danger.	Flodpar Lapitmes Oragez manque donc pas, mais pendant que l'aurore De son front saffrané nous va ouvrant les cieux, Transporte moi, Pharos, subit hors de ces lieux, Car si le grand Soldam qui gouverne l'Égypte Allait voir ces diamants, ou bien ces chrisollites Et les ne trouvit payao, nouvo lerionoy ornars, En extrême danger.
Pharos.	Pharos.
Monte deſus ſon dos, Il ſera bien expert ſi nous prend à la queſte.	Monte desus son dos, Il sera bien expert si nous prend à la quête.
Flodoar Capitaine.	Flodoar Capitaine.
Il vous aduient fort bien à faire de la beſte, Ie dis du gros cheual ie m’eſtois meſ-jeté.	Il vous advient fort bien à faire de la bête, Je dis du gros cheval Seigneur m'étais mes-jet.
Phares.	Phares.
Vous vous riez encor de voſtre pauureté?	Vous vous riez encor de votre pauvreté?
Flodloay Capitaine.	Flodloai Capitaine.
Quoy?	Quoi?
pauurété, comment, Pharos, ie ſuis plus riche Que n’eſtoit pas Midas le Roy auare & chiche.	pauurété, comment, Pharos, je suis plus riche Que n'était pas Midas le Roi avare et chiche.
Pharos.	Pharos.
Montez, ſi vous voulez ailleurs vous tranſporter.	Montez, si vous voulez ailleurs vous transporter.
Flodoar Capitaine.	Flodoar Capitaine.
Ne m’allez pas, Pharos, donc dans la mer ietter.	Ne m'allez pas, Pharos, donc dans la mer jeter.
Ou me faire briſer les os ſur quelque roche, Car ie vous en ferois quelque iour du reproche Où ſubtil me porter dedans l’enfer ombreux Pour eſtre tourmenté auec les malheureux.	Ou me faire briser les os sur quelque roche, Caromme vous en ferais quelque jour du reproche Où subtil me porter dedans l'enfer ombreux Pour être tourmenté avec les malheureux.
Pharos.	Pharos.
Il n’eſt pas encor temps, montez en aſſeurance, Car ie vous veux porter ſain & ſauf dans la France.	Il n'est pas encor temps, montez en assurance, Car ie vous veux porter sa et sauf dans la France.
Flodoar Capitams.	Flodoar Capits.
Hur-hau, n’allez ſi fort.	Hurhau, n'allez si fort.
ſc	sc
C ij	Ç ij
Allons, n’ayez ſoucy Pharos.	Allons, n'ayez souci Pharos.
Nous ſerons au pays dans vne heure d’icy.	Nous serons au pays dans une heure d'ici.
SCENE III.	SCÈNE III.
Le Soldam, Soſpporon Lieutenant, Le Courtier,	Le Soldam, Sosporon Lieutenant, Le Courtier,
Le Soldam.	Le Soldam.
A!	À!
immortelle Vpis, faut-il que la fortune Mi Me ſoit de la façon ſi aigre & importune, Faut-il que ce volleur, ô aſtres irritez Ait mes rares threſors & ioyaux emportez?	immortelle Vpis, faut-il que la fortune Mi Me soit de la façon si aigre et importune, Faut-il que ce volleur, ô astres irritez Ait mes rares thresors et joyaux emportez?
Comment celebres dieux, qu’elle rage deſpite Auez-vous ce iourd’huy contre le Roy d’Egypte Que vous auez permis qu’vn inſigne larron Ayt pillé mes diamans, mon or.	Comment célèbres dieux, qu'elle rage dépite Ait-vous ce Jourd'hui contre le Roi d'Égypte Que vous avez permis qu'un insigne larron Ait pillé mes diamants, mon or.
& mon renom?	et mon renom?
Comment, n’auiez-vous pas la force & la puiſſance De faire brauement contre luy reſiſtance, Ha!	Comment, n'aviez-vous pas la force et la puissance De faire bravement contre notre résistance, Ha!
ie croy que nenny, que ſert de le celer, L’augure que i’en vois me fait ainſi parler:	Ce crois que nenni, que sert de le celer, L'augure que j'en vois me fait ainsi parler:
Ha!	Ha!
que i’auois les yeux plains de fumée obſcure Quand ie ne ſceus preuoir ma ruyne future Et roſtir ce François dans vn feu deuorant:	que j'avais les yeux plains de fumée obscure Quand tu ne sceus prévoir ma ru voir Ma rôtir ce Français dans un feu dévorant:
Ha!	Ha!
ſi ie le tenois par ce ſceptre brillant, Et ma Conronne d’or, il mouroit d’vn ſupplice Qui du ſier Phalaris dompteroit à malice Mais encor qu’elle part l’a t’on conneu aller,	si ici le tenais par ce sceptre brillant, Et ma Conronne d'or, il mourait d'un supplice Qui du sier Phalaris dompterait à malice Mais encor qu'elle part l'a t'on connu aller,
Bosp horon Lieutenant.	Bosp horon Lieutenant.
Les diables que ie croy l’ont porté auant l’air Depuis qu'il à quitte celte cite fâmée.	Les diables que je crois l'ont porté avant l'air Depuis qu'il à quitte celte cite fâmée.
Le Soldam.	Le Soldam.
Mais encor ſon ouurage eſt tourné en fumée, Et pour s’eſtre payé à meſme mon argent Il n’a rien erigé que par enchantement?	Mais encor son ouvrage est tourné en fumée, Et pour s'être payé à même mon argent Il n'a rien erigé que par enchantement?
Bopecera, Paictes-le pourchaſſer par toute voſtre terre.	Bopciera, Paites-le pourchasser par toute votre terre.
Le Soldam.	Le Soldam.
Sus, prenez cent Soldats, courier & tous d’vne erre, Cherchez en tous endroicts ceſt horrible voleur, Afin d’auoir touſiours ma grace & ma faueur, Cur en quine prenara d vlbenquean edurage, Aura pour ſon guerdon ma niepce en mariage, Et tant d’or que iamais il n’aura pauureté.	Sus, prenez cent Soldats, courier et tous d'une erre, Cherchez en tous endroits cest horrible voleur, Afin d'avoir toujours ma grâce et ma faveur, Cur en qu' enara d' vlbenquean édurage, Aura pour son guerdon ma niepce en mariage, Et tant d'or que jamais il n'aura pauvreté.
Le Courrier.	Le Courrier.
Sire, pour accomplir la voſtre volonté Ie m’en vais au logis m’atourner de mes armes, Et faire tenir preſt cent illuſtres genſdarmes Adrois & aguerris, car mon plus cher deſir Et mon plus graue esbat eſt de vous obeyr.	Sire, pour accomplir la vôtre volonté Je m'en vais au logis m'atourner de mes armes, Et faire tenir prêt cent illustres gensdarmes Adrais et aguerris, car mon plus cher désir Et mon plus grave ébat est de vous obéir.
Le Soldam.	Le Soldam.
Va, & mets en effect ceſte braue entre priſe Pour expert l’attrapant auoir part à la priſe;	Va, et mets en effet cette brave entre prise Pour expert l'attrapant avoir part à la prise;
Cependant au Pallais retournons promptement Pour voir ſi du François nous orrons quelque vent.	Cependant au Pallais retournons promptement Pour voir si du Français nous orrons quelque vent.
ACTE CINQVIESME.	ACTE CINQUIÈME.
Flodoar Capitaine.	Flodoar Capitaine.
Dieu!	Dieu!
qui pour nos maux & peruerſes offences Sur nos coulpables chefs mille tourmens eſlances Qui fais entre-choquer les vents dedans les airs Trembler ce rond mortel, & eſleuer les mers Comme rocs ſourcilleux iuſques aux brillans aſtres Qui nous vas prediſant les guerres & deſaſtres Par des lances de feu, ou vn Comette affreux Qu’il te plaiſt attacher dans la voute des cieux Par des desbordemens & des progenitures Qui font honte & horreur à la mere nature.	qui pour nos maux et perverses offenses Sur nos coulpables chefs mille tourments élances Qui fais entrechoquer les vents dedans les airs Trembler ce rond mortel, et élever les mers Comme rocs sourcilleux jusqu' aux brillants astres Qui nous vasard prédisant les guerres et et Par des lances de feu, ou un Comette affreux Qu'il te plaît attacher dans la voute des cieux Par des desbordemens Par des progénitures Qui font et des horreur es et h nature.
O Dieu!	Ô Dieu!
triplement ſainct, ô!	triplement saint, ô!
graue Architecteur, Qui d’vn ſeul doigt ſouſtiens d’Opis la peſanteur, Aſsiſte moy ce iour, las!	grave Architecteur, Qui d'un seul doigt soutiens d'Opîtis la pesanteur, Assiste moi ce jour, las!
puis que ie t’inuocque, Et pour mes vils pechez ton ire ne prouoque En l’encontre de moy, car ô!	puis que ici t'invocque, Et pour mes vils péchez ton ire ne provoque En l'encontre de moi, car ô!
Diuinité Ie connois, mais trop tard, que ie t’ay irrité, De vray mon Createur, c’eſtoit en vn affaire Où ie n’eſperois rien que la mort pour ſalaire, Mais ores que ie ſuis en heur & en repos Fais moy franchir les fers de l’infernal Pharos, Lequel i’ay inuocqué en mon ſecours peu ſage:	Divinité Je connais, mais trop tard, que sans t'ai irrité, De vrai mon Créateur, c'était en un affaire Où je n'espérais rien que la mort pour salaire, Mais ores que je suis en heur et en repos Fais moi franchir les fers de l'infernal Pharos, Lequel j'ai inuocqué en mon secours peu sage:
Deliure moy ô Dieu!	Délivre moi ô Dieu!
diſ-je, de ſon cordage, Et pour grace & guerdon tant que ſeray viuant Ie chanteray l’honneur de ton nom triomphant, iinecen ceg sumes	dis-je, de son cordage, Et pour grâce et guerdon tant que serai vivant Je chanterai l'honneur de ton nom triomphant, jinecen ceg sûmes
Pharos.	Pharos.
Que me demandes-tu?	Que me demandes-tu?
voicy grande merueille Qu’alors que ie ſuis preſt de faire aucun pecher, Tu m’appelle touſiours afin de m’empeſcher, Hébien!	voici grande merveille Qu'alors que je suis prêt de faire aucun pécher, Tu m'appelle toujours afin de m'empêcher, Hébien!
que me veux-tu?	que me veux-tu?
que deſire tu faire?	que désire tu faire?
Flodoar Capitaine, 2 Quoy?	Flodoar Capitaine, 2 Quoi?
il ſemble, Pharos, qu’ou ſoyez en colere A vous voir reſonner comme vn pourceau grondant, Et qu’auez-vous au ventre ainfi qu’il va roulant, Il paroiſt qu’ou ayez dans le cœur quelque fieure Car vous tremblez ainſi qu’vne volage cheure:	il semble, Pharos, qu'ou soyez en colère À vous voir résonner comme un pourceau grondant, Et qu'avez-vous au ventre ainsi qu'il va roulant, Il paraît qu'ou ayez dans le cœur quelque fièvre Car vous tremblez ainsi qu'une volage chèvre:
Or ce n’eſt pas le tout vous eſtes mon vallet, Et pour tel ie vous tiens mieux que par le collet, Vous vous eſtes obligé vers moy, de me complaire En tout ce que voudray ſonger & faire faire, N'eſt-il pas vray, Pharos?	Or ce n'est pas le tout vous êtes mon vallet, Et pour tel je vous tiens mieux que par le collet, Vous vous êtes obligé vers moi, de me complaire En tout ce que voudrai songer et faire faire, N'est-il pas vrai, Pharos?
Sus doncques, il me faut ſous l’abry de ton aiſle Appeller ce demon, pipeur & infidele, Afin de recouurir ma chere liberté, Sus, venez cy, Pharos, faire ma volonté Autrement vous aurez du baſton ſur l’oreille.	Sus donc, il me faut sous l'abri de ton aile Apeler ce démon, pipeur et infidèle, Afin de recouvrir ma chère liberté, Sus, venez cy, Pharos, faire ma volonté Autrement vous aurez du bâton sur l'oreille.
Ouy, cela eſt ainſi.	Oui, cela est ainsi.
Pharos.	Pharos.
Flodoar Capitaine.	Flodoar Capitaine.
Or ie veux maintenant que tu ayes ſoucy De me faire vn object que ie veux & deſire Pour ma commodité.	Or grands veux maintenant que tu êtes souci De me faire un object que tu veux et désire Pour ma commodité.
Flodoar Capitaine.	Flodoar Capitaine.
Ie veux que tu baſtiſſe en ce lieu vne tour Dont le pied ſoit aſsis dedans l’auerne obſcure, Et le feſte efleué iuſques en la vouture Où preſide le Roy qui nous va preſeruant, Et que ſans nul delay ſubtil tu l’aille emplant D’eſcus & piſtolles ſans illuſion vaine, Car ſi ſelon mon vueil elle n'eſt faicte & pleine Ie te feray frotter ainſi qu’vn chien maſtin.	Je veux que tu bâtisse en ce lieu une tour Dont le pied soit assis dedans l'averne obscure, Et le fête élevé jusqu' en la vouture Où préside le Roi qui nous va préservant, Et que sans nul délai subtil tu l'aille emplant D'écus et pistoles sans illusion vaine, Car si selon mon veuil elle n'est faite et pleine Je te ferai frotter ainsi qu'un chien mâtin.
Flodoar Capitaine.	Flodoar Capitaine.
ontouu ele lidelolii deule momis de rapprendre, Car i’entend retirer mon obligation 1.	ontouu éle lidelolii déle momis de rapprendre, Car j'entend retirer mon obligation 1.
0 1 flior ol vous n’execurez prompe mon altection.	0 1 fltor ol vous n'execurez ompe mon altection.
Pharos.	Pharos.
Voullez-vous que ie face vne choſe impoſsible?	Voullez-vous que ici face un chose impossible?
Ftodoar Capitaine.	Ftodoar Capitaine.
Rends là ſi tu la puis, & facille & poſsible, eine mr en enaue grariu ment, iiuis coutesfois ie veux Que tu m’aille erigeant ceſt object merueilleux.	Rends là si tu la puis, et facille et possible, eyne mr en aue grariu ment, jivis coutefois tu veux Que tu m'aille érigeant cette object merveilleux.
Pharos.	Pharos.
.	.
1171 Ie ne ſçaurois ouurer vne œuure ſi tres grande.	1171 Je ne saurais ouvrer une œuvre si très grande.
Flodoar Capitaine.	Flodoar Capitaine.
Vous deuez obeyr pourtant a ma demande?	Vous devez obéir pourtant à ma demande?
11.	11.
ros.	ros.
0Tm 8 Voire, mais ie ne ſuis pour ce fait bon ouurier.	U0T 8 Voire, mais ie ne suis pour ce fait bon ouvrier.
F'odoar Capitaine.	S'odoar Capitaine.
Allez dans les enfers ſçauoir voſtre meſtier, Car i’entends ma promeſſe au deffaut de ce nulle,	Allez dans les enfers savoir votre métier, Car j'entends ma promesse au défaut de ce nulle,
Et veux en bon eſcient retirer ma cedulle.	Et veux en bon escient retirer ma cédulle.
Pharos.	Pharos.
Ha!	Ha!
vous ne l’aurez, pas pour tous ces differens.	vous ne l'aurez, pas pour tous ces différents.
Flodoar Capitaine.	Flodoar Capitaine.
Si auray, Dieu aydant, malgré vos grandes dents;	Si aurai, Dieu aidant, malgré vos grandes dents;
Partant penſez, Pharos, ſur-ce à voſtre affaire cependant que ie vais en vn lieu neceſſaire.	Partant pensez, Pharos, sur-ce à votre affaire cependant que je vais en un lieu nécessaire.
Ou ie ſuis inuité?	Ou ici suis invité?
Allez, i’y vay penſer.	Allez, j'y vais penser.
Flodoar s’en va, & Pharos dit:	Flodoar s'en va, et Pharos dit:
Il me faut inuocquer le prince Lucifer Pour me donner conſeil & en ce fait m’inſtruire, Car deſ-ja Flodoar ce voudroit bien deſdire De ce que nous auons enſemblement traicté:	Il me faut invocquer le prince Lucifer Pour me donner conseil et en ce fait m'instruire, Car déjà Flodoar ce voudrait bien dédire De ce que nous avons ensemblement traité:
