TLEDAME DEXXEEXES*	TLÉDAME DEXXEXES*
Car de paſſer plus outre, il ſeroit impoſſible;	Car de passer plus outre, il serait impossible;
I’en tremble en y penſant, c’est à ce coup, i’entends Qu’on ouure cette porte, ah!	J'en tremble en y pensant, c'est à ce coup, j'entends Qu'on ouvre cette porte, ah!
ie perds tous les ſens;	Ne perds tous les sens;
Celuy qui l'ouure entor, porte de iaiumiere, Que deuiendray-je?	Celui qui l'ouvre entor, porte de jaiumière, Que deviendrai-je?
il faut me cacher là derriere.	il faut me cacher là derrière.
ALAE V CARRILLE, ISABELLE, FLORESTAN.	ÀLAE V ARILLE, ISABELLE, FLORESTAN.
CARRILLE ſeul auec de la chandelle.	CARRILE seul avec de la chandelle.
TSprit ie te conjure en toute humilité L (Car tu n’es pas, ie croy, de baſſe qualité) Si ta mauuaiſe humeur icy ne ſe tranſporte, Si la ſumiſſion d’vn homme de ma ſorte, Peut en cet achiaent quelque choſe ſur toy, Aujourd’huy pour le moins ne ſongés point à moy, Ie ſuis le ſeruiteur, tu n'en veux qu'à mon Maiſtre.	TSprit ie te conjure en toute humilité L (Car tu n'es pas, ie croy, de basse qualité) Si ta mauvaise humeur ici ne se transporte, Si la sumission d'un homme de ma sorte, Peut en cet achiaent quelque chose sur toi, Aujourd'hui pour le moins ne songez point à moi, Je suis le serviteur, tu n'en veux qu'à mon Maître.
Iſabelle ſe met derriere luy, de peur qu’il ne la voye.	Isabelle se met derrière vertu, de peur qu'il ne la voie.
ISABELLE bas.	ISABELLE bas.
Ea lumiere m’afaict ayſementrecognoiſtre.	Élà lumière m'afait aysementrecognoistre.
CARRILLE.	CARRILLE.
Ayé pitié de moy, tout mal-heur me pourſuit, Ie ſuis las, laiſſez-moy repoſer cette nuit.	Ayé pitié de moi, tout malheur me poursuit, Je suis las, laissez-moi reposer cette nuit.
ISABELLE bas qui va derriere luy.	ISABELLE bas qui va derrière Rome.
Ie me puis ayſément deſrober à ſa veuë, Eo no m'a point encor dans la chambre aperceuë;	Je me puis aisément dérober à sa vue, Eo nô n'a point encor dans la chambre aperçue;
Ioüons luy d’vne fourbe, ayons-en le plaiſir, Tüons luy ſa chandelle, auant qu’il ait loiſir De l’aller rallumer, ie ſeray repaſſée.	Jette lui d'une fourbe, ayons-en le plaisir, Tuons toujours sa chandelle, avant qu'il ait loisir De l'aller rallumer, elle serai repassée.
CARRILLE.	CARRILLE.
Ie ſens moname, ô Dieux!	Je sens moname, ô Dieux!
de cent craintes glacée;	de cent craintes glacée;
Mon Maiſtre tarde bien, ah!	Mon Maître tarde bien, ah!
qu’il eſt aujourd'huy Bien ayſé de railler, meſme aux depens d’autruy.	qu'il est aujourd'hui Bien aisé de railler, même aux dépens d'autrui.
Iſabelle luy tuë ſa chandelle & luy donne vn grand coup de poing.	Isabelle avait tue sa chandelle et lui donne un grand coup de poing.
CARRILLE.	CARRILLE.
On m’aſſomme, grands Dieux!	On m'assomme, grands Dieux!
miſericorde, à l’ayde, Tout de bon, ce Demon à preſent me poſſede;	miséricorde, à l'aide, Tout de bon, ce Démon à présent me possède;
Il m’emporte, il m’eſtrãgle, ah Dieux!	Il m'emporte, il m'estrãgle, ah Dieux!
i’ay beau prier, Inuoquant tous les Dieux.	j'ai beau prier, Invoquant tous les Dieux.
FLORESTAN.	FLORÊTAN.
Dy qui te fait crier?	Dis qui te fait crier?
Qu'as-tu?	Qu'as-tu?
CARRILLE.	CARRILLE.
Monſieur, ils ſont tous ſourds à ma priere.	Monsieur, ils sont tous sourds à ma prière.
FLORESTAN.	FLORÊTAN.
T’ay-je pas commandé d’auoir de la lumiere, Pourquoy n’enas-tu pas?	T'ai-je pas commandé d'avoir de la lumière, Pourquoi n'enas-tu pas?
CARRILLE.	CARRILLE.
Ah!	Ah!
cét ESRRIT FOEET Nous atuez tous deux, moy d’vn ſi grand ſouflet Qu’il m’a, fort peu s’enfaut, fait cracher la ceruelle, Eta vn ſouſſe auſsi-top aiue la chandelle.	cet ESRIT FOET Nous atvez tous deux, moi d'un si grand soufflet Qu'il m'a, fort peu s'enfaut, fait cracher la cervelle, Eta un sousse aussi-top aiue la chandelle.
FLORESTAN.	FLORÊTAN.
ommempent ie ſauuuen tes ouronss.	ommempent esprit sauven tes ourons.
CARRILLE.	CARRILLE.
Ce ne ſont point, Monſieur, imaginations, Diable, ie ne ſuis point, tout a fait inſenſiblé.	Ce ne sont point, Monsieur, imaginations, Diable, Madame ne suis point, tout a fait insensiblé.
ISABELLE Bas.	ISABELLE Bas.
Maintenant par ces ais, r’entrons s’il eſt poſſible:	Maintenant par ces ai, r’ entrons s'il est possible:
HLORESTAN rencontre Iſabelle.	HLORÊTAN rencontre Isabelle.
Qui valà?	Qui val?
ie la tiens, va promptement là-bas, R'allumer ta chandelle.	Hé la tiens, va promptement là-bas, R'allumer ta chandelle.
CARRILLE.	CARRILLE.
Ah!	Ah!
ne le laſchez pas.	ne le lâchez pas.
carille fort,	carille fort,
Dnul bas.	Dnul bas.
Buſtes Dieux;	Bustes Dieux;
c’eſt bien pis, i’ay rencontré le Maiſtre.	c'est bien pis, j'ai rencontré le Maître.
FLORESTAN.	FLORÊTAN.
Qui que tu ſois, atten, our ſi tu fais paroiſtre De vouloir eſchaper, ie te poignarderay.	Qui que tu sois, atten, our si tu fais paraître De vouloir échapper, toujours te poignarderai.
ISABELLE bas.	ISABELLE bas.
Que deuiendnay-je, o Dieux!	Que deviennai-je, ô Dieux!
qu'eſt-ce que ie ferayś Ila pris le panier, ie luy laiſſe;	qu'est-ce que ici ferayś Ila pris le panier, ie lui laisse;
il n’importe, Ie m'en vay me ſauuer, i'’ay remarqué la porte Pur où ie ſuis entrée, allons y vitement.	il n'importe, Je m'en vais me sauver, j'ai remarqué la porte Pur où tu suis entrée, allons y vitement.
FLORESTAN.	FLORÊTAN.
Elle s’est 'eſchapée, & ie ne ſçay comment.	Elle s'est ' échappée, et Seigneur ne sais comment.
Ce n’eſt point une femme en effect que ie touche, Que veut dire cela?	Ce n'est point une femme en effet que Seigneur touche, Que veut dire cela?
vrays Dieux!	vrais Dieux!
plus qu'vne ſouche Ie demeure immobile, & ie ne ſçay que penſer.	plus qu'une souche Je demeure immobile, et grands ne sais que penser.
CARRIL LE, r'entre auec de là chandelle.	CARRIL LE, rentre use de là chandelle.
Eſprit malin, qui croit icy nous trauerſer, Tun'eſchaperas pas	Esprit malin, qui croit ici nous traverser, Tunéchapperas pas
Elle rentre parles uis	Elle rentre parles uis
FLORESTAN.	FLORÊTAN.
Aporte la lumiere.	Aporte la lumière.
CMRAeIBE.	CMRAeIBE.
Qu'est-ildonc deuenu?	Qu'est-ildonc devenu?
FLORESTAN.	FLORÊTAN.
Regarde là derriere, Ie le tenois tantost;	Regarde là derrière, Je le tenais tantôt;
mais il m’eſt eſchapé.	mais il m'est échappé.
CARRILLE.	CARRILLE.
Außi biencomme moy, vous eſtes attrapé, Et biẽ qu’en dites-vous?	Aussi biencomme moi, vous êtes attrapé, Et bien qu'en dites-vous?
ne voulieZ-vous pas croire Que c’estoit vne fable, & non pas vne hiſtoire?	ne vouliez-vous pas croire Que c'était une fable, et non pas une histoire?
Vous diſieZ que c’eſtoient imaginations, Que la peur me faiſoit auoir ces viſions, Cela ſuffit-il point encor pour vous confondre?	Vous disiez que c'étaient imaginations, Que la peur me faisait avoir ces visions, Cela suffit-il point encor pour vous confondre?
Ne le teniez-vous pas?	Ne le teniez-vous pas?
FLORESTAN.	FLORÊTAN.
Ie ne puis que reſpondre, Il me vient de laiſſer ces hardes dans les mains, Et puis s'eſt eſchapé.	Je ne puis que répondre, Il me vient de laisser ces hardes dans les mains, Et puis s'est échappé.
CARRILLE.	CARRILLE.
VoyeZ donc ſi ie crains, Que c'eſt auec raiſon.	VoyeZ donc si ici crains, Que c'est avec raison.
Ah!	Ah!
Monſieur, ie vous prie Ne vous en mocquez point.	Monsieur, Seigneur vous prie Ne vous en moquez point.
FLORESTAN.	FLORÊTAN.
C'eſt one raillerie, De croire que iamais on me puiſſe charmer.	C'est on raillerie, De croire que jamais on me puisse charmer.
CARRILLE.	CARRILLE.
Mais qu’encroyez-vous donc?	Mais qu'encroyez-vous donc?
ELORESTAN.	ELORESTAN.
Il est à preſumer, Que dis-je à preſumer?	Il est à présumer, Que dis-je à présumer?
ſans doute qu’il doit eſtre) Que c’eſt celle qui craint de ſe faire cognoiſtre, Et qu'vn de ſes valets m’apportant ſes eſcrits, Eſtoit entré ceans, & ſe trouuant ſurpris, Tatué tachandelle, & tratcte de laſorte, Et s’eſt enfuy apres.	sans doute qu'il doit être) Que c'est celle qui craint de se faire connaître, Et qu'un de ses valets m'apportant ses écrits, Était entré céans, et se trouvant surpris, Tattué tachandelle, et tratcte de lasorte, Et s'est enfui après.
EARRILLE.	EARRILLE.
Par où?	Par où?
FLORESTAN.	FLORÊTAN.
Ear cette porte?	Ear cette porte?
CARRILLE.	CARRILLE.
Vous me fériez mourir, bien mocquez-vous de moy, Ie l’ay veu, ie vous jure, ainſi que ie vous voy?	Vous me férié mourir, bien moquez-vous de moi, Je l'ai vu, je vous jure, ainsi que ie vous .
FLORESTAN.	FLORÊTAN.
Dy donccommeil est fait?	Dis donccommeil est fait?
*CARRILLE.	*CARILLE.
Ahlde crainte i'en tremble, Laiſſez-moy reſpirer:	Ahlde crainte j'en tremble, Laissez-moi respirer:
il eſt fait ce me ſemble Cõme vn Coq-d’Inde noirs mais trente fois plus grãd.	il est fait ce me semble Comme un Coq-d'Inde noirs mais trente fois plus grãd.
FLORESTAN.	FLORÊTAN.
Voyex comme la peur ſaiſit cét ignorant.	Vois comme la peur saisit cet ignorant.
Lien, pren	Lien, prends
CARRILLE.	CARRILLE.
Moy manier des choſes infernales.	Moi manier des choses infernales.
FLORESTAN.	FLORÊTAN.
Pren, te dis-je, pendart.	Pren, te dis-je, pendard.
CARRILLE.	CARRILLE.
Monſieur, i’ay les mains ſalles.	Monsieur, j'ai les mains salles.
Comme vous le voyez toute pleine de ſuif.	Comme vous le voyez toute pleine de suif.
FLORESTAN.	FLORÊTAN.
Ie ne cognuiamais vn maraut ſi craintif, Dy moy, dequoy peux-tu iamais eſtre capable?	Je ne cognuiamais un maraud si craintif, Dis -moi, dequoy peux-tu jamais été capable?
CARRILLE.	CARRILLE.
Gen'eſt pas pourcela, mettez le ſur la table, Vous le verreZ bien mieux.	Gen'est pas pourcela, mettez le sur la table, Vous le verrez bien mieux.
FLORESTAN.	FLORÊTAN.
Sus donc puis qu’il te plaist, Oſtons ce taffétas, & voyons ce que c’est, C’eſt vne belle eſcharpe, & quelques confitures.	Sus donc puis qu'il te plaît, Stons ce taffétas, et voyons ce que c'est, C'est une belle écharpe, et quelques confitures.
CARRILLE.	CARRILLE.
I ron mmun parlé de telles aduentures?	I ron mun parlé de telles aventures?
FLORESTAN.	FLORÊTAN.
Et cette lettre icy, voyons ce qu’elle dit.	Et cette lettre ici, voyons ce qu'elle dit.
LETTRE.	LETTRE.
E vay ce ſoir au bal, ne manquez pas d’eneſtre, Illis;	E vais ce soir au bal, ne manquez pas d'enêtre, Illis;
TReceuez, cette eſcharpe, & pour en faire cas, Daignez de l’honorer d’vn ſi genereux bras, Eu poriume cene nun,te vons Jpumruy cognoiſtre.	TRecez, cette écharpe, et pour en faire cas, Daignez de l'honorer d'Homme si généreux bras, Eu poriume cène nun, vons Jpumrui connaître.
Mais pour moy qui me vois de cent yeux eſclairée, Pardonnez ſi la peur de faire des jaloux, Fait que ie ne pourrois me deſcouurir à vous, Sans courir le hazard d’estre deshonorée.	Mais pour moi qui me vois de cent yeux éclairée, Pardonnez si la peur de faire des jaloux, Fait que venir ne pourrais me découvrir à vous, Sans courir le hasard d'être déshonorée.
Qu’vn ſort injurieux à tous malheurs me liure, Si pour aymer ie fais iamais vn autre chois, Et quand ie ceſſeray de reuerer vos loix, CroyeZ qu’aſſurément ie ceſſeray de viure.	Qu'un sort injurieux à tous malheurs me livre, Si pour aimer je fais jamais un autre chois, Et quand tu cesserai de révérer vos lois, Croyez qu'assurément ie cesserai de viure.
ELORESTAN.	ELORESTAN.
Apporte, donne-moy promptement mon habit, Fut-il iamais au monde vne telle ſurpriſe?	Apporte, donne-moi promptement mon habit, Fut-il jamais au monde toujours telle surprise?
CARRILLE.	CARRILLE.
Croyez-vous aux eſprits?	Croyez-vous aux esprits?
FLORESTAN.	FLORÊTAN.
Ah Dieux, quelle ſottiſe?	Ah Dieux, quelle sottise?
CARRILLE en habillant ſon maiſtre.	CARRILLE en habillant son maître.
Vous en dites autant de tout ce que ie fais, Vous en voyez vous meſme arriuer tant d’effets, Vous voyez vn preſent que par l’air on vous porte;	Vous en dites autant de tout ce que je fais, Vous en voyez vous même arriver tant d'effets, Vous voyez un présent que par l'air on vous porte;
Que l’on entre ceans ſans paſſer par la porte, Et vous n'encroyez rien?	Que l'on entre céans sans passer par la porte, Et vous n'encroyez rien?
Mais a ce que ie voy Tout le bien eſt pour vous, & tout le mal pourmoy.	Mais a ce que je vois Tout le bien est pour vous, et tout le mal pourmoi.
ELORESTAN.	ELORESTAN.
Comment le mal pour toy?	Comment le mal pour toi?
CARRILLE.	CARRILLE.
Si ie voy qu’on renuerſe Nos hardes en ce lieu, pour en faire vn commerce, I'ay la peine, & le ſoin de les raccommoder, Vous ne faites que rire, & que me gourmander, On vous fait des preſens, auec des confitures, Moy, l’on me fait jeuſner, & n’ay que des injures, On ne me donne rien ſi ce n’eſt du charbon, Si ie perds mon argent, on m’appelle bouffon, Un eſcrit, on vous flate, on vous eſleue en gloire, A moy d’vncoup de poing on me rompt la maſchoire.	Si personne vois qu'on renverse Nos hardes en ce lieu, pour en faire un commerce, J'ai la peine, et le soin de les raccommoder, Vous ne faites que rire, et que me gourmander, On vous fait des présents, avec des confitures, Moi, l'on me fait jeûner, et n'ai que des injures, On ne me donne rien si ce n'est du charbon, Si j' est mon argent, on m'appelle bouffon, Un écrit, on vous flatte, on vous élève en gloire, À moi d'vncoup de poing on me rompt la mâchoire.
FLORESTAN.	FLORÊTAN.
Ie l’eſpieray ſi bien que ie la ſurprendray.	Je l'épierai si bien que Un la surprendrai.
CARRILLE.	CARRILLE.
Et vous diray, ie gage, encor qu’il n’est pas vray, Ie n’en veux point auoir de plus grand teſmoignage.	Et vous dirai, ie mage, encor qu'il n'est pas vrai, Je n'en veux point avoir de plus grand témoignage.
FLORESTAN.	FLORÊTAN.
Allons ſans diſcourir en ce lieu dauantage.	Allons sans discourir en ce lieu davantage.
4 Nn VI ISABELLE, ANGELIQVE, LVCINDE,	4 NE VI ISABELLE, ANGELIQUE, LUCINDE,
ISABELLE.	ISABELLE.
IOut comme ie vous dis estoit deſeſperé, I Mais ie l’ay ſans mentir plaiſamment reparé.	JOut comme je vous dis était désespéré, I Mais Elle l'ai sans mentir plaisamment réparé.
ANGELIQVE.	ANGELIQUE.
Tu nous contes icy de bieneſtranges choſes.	Tu nous contes ici de bienestranges choses.
Et ie doute quaſi que tu nous les ſuppoſes, Ie ne puis ſans mentir l’imaginer encor, Iſabelle il eſt vray, tu vaux ton peſant d’or.	Et petit doute quasi que tu nous les supposes, Je ne puis sans mentir l'imaginer encor, Isabelle il est vrai, tu vaux ton pesant d'or.
ISABELLE.	ISABELLE.
Or uumus accidens i’euſſe eſté moins experte, Voſtre ſourbe ſans doute eust eſté deſcouuerte, Ce n’a pas toutefois eſté ſans auoir peur, Mais ie l’ay fait auoir plus grande au ſeruiteur.	Or uumus accidents j'eusse été moins experte, Votre sourbe sans doute eût été découverte, Ce n'a pas toutefois esté sans avoir peur, Mais ainsi l'ai fait avoir plus grande au serviteur.
LVCINDE.	LUCINDE.
Le ſuccez en effet en eſt plus qu’admirable, Et tenatatetit fourve entur pins oray ſemblable Ie voudrois bien ſçauoir ce qu’il penſe à preſent, De ſentir qu’en ſes mains qu’on luy mette vn preſent, Qu’il reçoiue vne lettre & qu’il n’ait veu perſonne, Quelque eſprit fort qu’ilait il faut qu’il s’en eſtonne.	Le succès en effet en est plus qu'admirable, Et tenatatetit fourve entur pins orai semblable Je voudrais bien savoir ce qu'il pense à présent, De sentir qu'en ses mains qu'on lui mille présent, Qu'il reçoive une lettre et qu'il n'ait vu personne, Quelque esprit fort qu'il il faut qu'il s'en étonne.
ANGEEIQVE.	ANGEIQUE.
Il aura bien ſujet d’estre plus interdit Quand nous effectuërons ce que nous auons dit.	Il aura bien sujet d'être plus interdit Quand nous effectuerons ce que nous avons dit.
LVCINDE.	LUCINDE.
Qui ne ſeroit confus ſe trouuant en ſa place?	Qui ne serait confus se trouvant en sa place?
Le fait eſt tres-ſubtil, muis grands Dieux quand ſera-ce?	Le fait est très-subtil, muis grands Dieux quand sera-ce?
ANGELIQVE.	ANGELIQUE.
Cette nuit, ie n’attends pour luy ioüer ce tour, Que l’heure & le moment qu’il ſera de retour, Il ne s'eſt veu iamais ſi ſurpris en ſa vie Comme il ſera tantost.	Cette nuit, Madame n'attends pour lui jouer ce tour, Que l'heure et le moment qu'il sera de retour, Il ne s'est vu jamais si surpris en sa vie Comme il sera tantôt.
LVCINDE.	LUCINDE.
Mon ame en eſt rauie:	Mon âme en est ravie:
ANGELIQVE.	ANGELIQUE.
Toy ſi toſt qu’vn chacun ſe ſera retiré, Tu ſçais bien ce que i’ay tantoſt deliberé, Apreſte la lumiere, afin d’aller moy-meſme Dans ſa chambre querir ce beau portrait qu’ilayme, Ie ne veux pas qu’vn homme à qui ie veux du bien, Cheriſſe ſi ie puis d’autre objet, que le mien.	Toi si tôt qu'un chacun se sera retiré, Tu sais bien ce que j'ai tantôt délibéré, Aprête la lumière, afin d'aller moi-même Dans sa chambre quérir ce beau portrait qu'ilaime, Je ne veux pas qu'un homme à qui tu veux du bien, Chérisse si tu puis d'autre objet, que le mien.
Li	Li
AGILI DUMATREMIERE.	AGILI DUMATREMIERE.
ANGELIQVE, CARRILLE, LVCINDE.	ANGELIQUE, CARILLE, LUCINDE.
& ANGELIQVE.	et ANGELIQUE.
Sabelle m'as-tu preparé la lumiere?	Sabelle m'as-tu préparé la lumière?
M Il eſt temps que ie paſſe à preſent là derriere, Chacun eſt retiré, ie pourray librement Aller ſans qu’on me voye en ſon apartement.	M Il est temps que je passe à présent là derrière, Chacun est retiré, était pourrai librement Aller sans qu'on me voie en son appartement.
Mais de peur de ſurpriſe, ajuſte la chandelle Dans la lanterne ſourde, & ſois en ſentinelle, Ie ne l’ouuriray point que ie ne ſois dedans, De crainte que quelqu’vn qui peut veiller ceans, Deſcouure la clarté, vous couſine allez faire Ce que vous ſçauez, bien nous eſtre neceſſaire:	Mais de peur de surprise, ajuste la chandelle Dans la lanterne sourde, et sois en sentinelle, Je ne l'ouvrirai point que personne ne sois dedans, De crainte que quelqu'un qui peut veiller céans, Découvre la clarté, vous coule allez faire Ce que vous savez, bien nous être nécessaire:
Mais Dieux i’oubliois bien icy le principal, De l’aduertir qu’il reuienne à ſon retour du bal, Il me faut promptement eſcrire vn mot delettre, 1i n ymanqueiu pus, auy tom oſe promettre Qu’il me viendrà trouuer, où ie le manderay.	Mais Dieux j'oubliais bien ici le principal, De l'avertir qu'il revienne à son retour du bal, Il me faut promptement écrire un mot délettre, 1i n ymanqueju pus, aussi tom ose promettre Qu'il me viendrà trouver, où il le manderai.
LVCINDE.	LUCINDE.
Ne douteZ point de moy, croyeZ que ie feray Mieux que vous ne croyez.	Ne doutez point de moi, croyez que je ferai Mieux que vous ne croyez.
ISABELLE.	ISABELLE.
Et moy ie vous proteste Que ie viendray bien à bout de tout le reſte.	Et moi quelque vous proteste Que ainsi viendrai bien à bout de tout le reste.
SCENE II AMOAMOTHRICLIRRILLE.	SCÈNE II AMOAMOTHRICLIRILLE.
FLORESTAN.	FLORÊTAN.
N t'a pris ton flamebeau, maraut, ie gagerois Qu’on te l’a deſrobé pendant que tu dormois, Comment me coucheray-je à preſent ſans chandelle?	N aa pris ton flammebeau, maraud, ie gagerois Qu'on te l'a dérobé pendant que tu dormais, Comment me coucherai-je à présent sans chandelle?
CARRILLE.	CARRILLE.
M.	M.
*.	*.
Si vous ne deſireZ à preſent que i’appelle Quelqu’vn dans le logis, vous ne ſçaurieZ en auoir.	Si vous ne désirez à présent que j'appelle Quelqu'un dans le logis, vous ne sauriez en avoir.
Mais ne ſp̧auriez-vous pas vous coucher ſans voir?	Mais ne spauriez-vous pas vous coucher sans voir?
2 Voſtre lit eſt tout preſt.	2 Votre lit est tout prêt.
FLORESTAN.	FLORÊTAN.
Penſes-tu que ie vueille Faire du bruit ceans, afin que ie reſueille Tout le monde qui dort?	Penses-tu que ici veuille Faire du bruit céans, afin que je réveille Tout le monde qui dort?
Ouure donc promptement.	Ouvre donc promptement.
CARRILLE.	CARRILLE.
Tout est ouuert Monſieur.	Tout est ouvert Monsieur.
FLORESTAN.	FLORÊTAN.
Marche tout doucement, Garde en faiſant du bruit de reſueiller perſonne, Parle bas.	Marche tout doucement, Garde en faisant du bruit de réveiller personne, Parle bas.
CARRILLE.	CARRILLE.
Croyez-moy, de crainte ie friſſonne, At crums prus quourmomnuuneiſprit enchanté, Que ne nous ſecourt-il à preſent de clarté?	Croyez-moi, de crainte ainsi frissonne, At crums prus quourminuuneisprit enchanté, Que ne nous secourt-il à présent de clarté?
Ahiigenque ende parruado bout de la chambre auec ſa lanterne ſourde, & l’ouure vn peu pardeuant.	Ahiigenque ende parruado bout de la chambre avec sa lanterne sourde, et l'ouvre un peu pardevant.
* ANGELIQVE.	* ANGELIQUE.
CARRILLE.	CARRILLE.
Dieux!	Dieux!
de quelle pitié cette Dame eſt touchée, Elle vous ayme bien à preſent ie le voy, La clarté vient pour vous, & l’on l’eſteint pour moy.	de quelle pitié cette Dame est touchée, Elle vous aime bien à présent ie un vois, La clarté vient pour vous, et l'on l'éteint pour moi.
FLORESTAN.	FLORÊTAN.
Que veut dire cela?	Que veut dire cela?
Dieux que i’en ſuis en peine, Cela ne peut venir d’inuention humaine, Il eſt ſurnaturel qu’on puiſſe auoir le ſoin De m’apporter ainſi la lumiere au beſoin.	Dieux que j'en suis en peine, Cela ne peut venir d'invention humaine, Il est surnaturel qu'on puisse avoir le soin De m'apporter ainsi la lumière au besoin.
enlenrann.	enlenrann.
N'eſtes-vous pas contraint de confeſſer vous-meſme Qu'il reuient des eſprits?	N'êtes-vous pas contraint de confesser vous-même Qu'il revient des esprits?
FLORESTAN.	FLORÊTAN.
La ſurpriſe eſt extreſme, te ne ſpiy quo ponfer tum tuy l'eſprit confus.	La surprise est extrême, te ne spi quo ponfer tum tui l'esprit confus.
CARRILLE.	CARRILLE.
Mais conteſterez-vous encore la deſſus?	Mais contesterez-vous encore la dessus?
Peut-on deſauoüer ce qui nous est viſible?	Peut-on desauoüer ce qui nous est visible?
FLORESTAN.	FLORÊTAN.
Ie ſuis quaſi forcé de croire vn impoßible.	Je suis quasi forcé de croire un imposible.
D2III.	D2III.
SCENETROISIESME.	SCENETROISIESME.
ANGELIQVE, FLORESTAN, CARRILLE, ANGELIQVE, tire la chandelle de la lanterne, & la met dans vn chandelier, qui ſera ſur la table, & prend vne chalrea dos, & le ned les eſpautes tournées vers eux.	ANGELIQUE, FLORESTAN, CARILLE, ANGELIQUE, tire la chandelle de la lanterne, et la met dans un chandelier, qui sera sur la table, et prend une chalreà dos, et le ned les épautes tournées vers eux.
ANGELIQVE.	ANGELIQUE.
Ettons la la chandelle, & voyons ces eſcrits.	Ettons la la chandelle, et voyons ces écrits.
FLORESTAN.	FLORÊTAN.
trouue tous les Carille, vois-tu bien?	trouve tous les Carille, vois-tu bien?
atten, l’eſprit eſt pris Parlons bas, vois-tu point cette parfaite Dame?	atten, l'esprit est pris Parlons bas, vois-tu point cette parfaite Dame?
Capable d’exiter mille feux dans vne ame, Vit-on iamais au monde vne telle beauté, C’eſt à ce coup grands Dieux que ie ſuis enchanté.	Capable d'exiter mille feux dans une âme, Vit-on jamais au monde une telle beauté, C'est à ce coup grands Dieux que je suis enchanté.
Ce prodige m’eſtonne, & me rend immobile, Car d’vn Hydre abatu, i’en vois renaiſtre mille.	Ce prodige m'étonne, et me rend immobile, Car d'un Hydre abattu, j'en vois renaître mille.
Ie ſuis icy ſi fort ſurpris d’eſtonnement Que ie manque d’eſprit & perd le iugement It fuis quuſs vomtuun uono orone,O me taire.	Je suis ici si fort surpris d'étonnement Que tu manque d'esprit et perd le jugement It fuis quuss vomtuun uono orone,O me taire.
Elle prend mes papiers, qu’en pretend-elle faire?	Elle prend mes papiers, qu'en prétend-elle faire?
CARRILLE.	CARRILLE.
C’eſt pour les mettre d’ordre, & les arranger mieux, Car pour vous cet esprit eſt fort officieux.	C'est pour les mettre d'ordre, et les arranger mieux, Car pour vous cet esprit est fort officieux.
FLORESTAN.	FLORÊTAN.
Que de charmes, grands Dieux, les Cieux & la Nature Ont mis tous leurs treſors en cette creature, On ne voit point au monde vne telle beauté, Il faut bien que ce ſoit quelque diuinité, Qui ſe fait voir à moy ſous ce parfait image.	Que de charmes, grands Dieux, les Cieux et la Nature Ont mis tous leurs trésors en cette créature, On ne voit point au monde une telle beauté, Il faut bien que ce soit quelque divinité, Qui se fait voir à moi sous ce parfait image.
CARRILLE.	CARRILLE.
Si le Diable deuoit emprunter vn viſage Il euſt esté bien ſot s’il en euſt pris vn laid, Il est, & me croyez, plus qu’vn Esprit Folet.	Si le Diable devait emprunter un visage Il eût été bien sot s'il en eût pris un laid, Il est, et me croyez, plus qu'un Esprit Folet.
FLORESTAN.	FLORÊTAN.
L’eſclat de ſes yeux brille auec tant de lumiere Qu’il esblouit mes yeux, & ſille ma paupiere.	L'éclat de ses yeux brille était tant de lumière Qu'il éblouit mes yeux, et sille ma paupière.
CARRILLE.	CARRILLE.
Voyez vous pas außi qu’au plus creux de l’Enfer Elle a pris cet eſclat des yeux de Lucifer?	Voyez -vous pas aussi qu'au plus creux de l'Enfer Elle a pris cet éclat des yeux de Lucifer?
M ij	M ij
FLORESTAN.	FLORÊTAN.
Ie ne luy puis donner d’aſſez dignes loüanges Et ſans doute ie croy qu’elle eſt du rang des Anges.	Je ne lui puis donner d'assez dignes louanges Et sans doute tu crois qu'elle est du rang des Anges.
CARRILLE.	CARRILLE.
Ouy, mais du rang de ceux qui ſont tombez du Ciel, Tour ce que voux boſea meje qu'artificiel, Croyez qu’aſſeurement vous crainderiez ſes approches Si vous voyez ſes pieds, auec ſes ongles croches.	Oui, mais du rang de ceux qui sont tombés du Ciel, Tour ce que voux bosea meje qu'artificiel, Croyez qu'assurément vous crainderiez ses approches Si vous voyez ses pieds, avec ses ongles croches.
TLORES TAIT.	TLORES TAÎT.
Qu’eſt deuenu ce cœur que cy deuant i’auois?	Qu'est devenu ce cœur que cy devant j'avais?
Ie n’ay iamais tremblé que cette ſeule fois.	Je n'ai jamais tremblé que cette seule fois.
CARRILLE.	CARRILLE.
La frayeur dans mon cœur, tant de crainte aſſemble Que i'ay touſiours tremblé, comme encore ie tremble.	La frayeur dans mon cœur, tant de crainte assemble Que j'ai toujours tremblé, comme encore un tremble.
FLORESTAN.	FLORÊTAN.
Mes cheueux ſur mon chef, de crainte heriſſez Me rendent le cœur laſche, & les ſens tous glacez, Mais faut-il qu’vn ſoubçon, vne idée, vn ombrage Sans aucun fondement, esbraule mon courage?	Mes cheveux sur mon chef, de crainte hérissez Me rendent le cœur lâche, et les sens tous glacés, Mais faut-il qu'un fondement, une idée, un ombrage Sans aucun fondement, ébraule mon courage?
Il faut voir ce que c’eſt.	Il faut voir ce que c'est.
CARRILLE, Ne ſoyez pas ſi fou De vous ioüer au Diable, il vous tordroit le cou.	CARRILLE, Ne soyez pas si fou De vous jouer au Diable, il vous tordrait le cou.
FLORESTAN.	FLORÊTAN.
Quoy?	Quoi?
