A ORLEANS,	À ORLEANS,
Frontin.	Frontin.
Au fond, ce n’eſt qu’une bagatelle.	Au fond, ce n'est qu'une bagatelle.
Je donnois la main à la Tabellionne, pour la remener à ſon Fiacre, Mondinet eſt venu me traverſer;	Je donnais la main à la Tabellionne, pour la remener à son Fiacre, Mondinet est venu me traverser;
il me la enlevée, j’ay murmuré, il a parlé haut;	il me la enlevée, j'ai murmuré, il a parlé haut;
j’allois m’emporter:	j'allais m'emporter:
La Tabellionne ma tendrement fait ſigne de n’en rien faire.	La Tabellionne ma tendrement fait signe de n'en rien faire.
Oh, parbleu je n’avois plus de retenuë, j’allois luy faire mettre l’épée à la main;	Oh, parbleu je n'avais plus de retenue, j'allais lui faire mettre l'épée à la main;
mais comme j’ay vû qu’il ne demandoit pas mieux, & qu’il avoit l’audace de me regarder avec mépris;	mais comme j'ai vu qu'il ne demandait pas mieux, et qu'il avait l'audace de me regarder avec mépris;
je me ſuis donné le plaiſir de ne luy rien dire, je l'ay vû monter dans le caroſſe, & je l’ay laiſſé aller.	je me suis donné le plaisir de ne lui rien dire, je l'ai vu monter dans le carosse, et je l'ai laissé aller.
Oh!	Oh!
mor	mór
Cidaliſe.	Cidalise.
Ils s’impatroniſent, ces petits Meſſieurs, & fiers de leur nobleſſe d’Eté, par des travers de caprice & des éclats de quelques étoffes repriſes, de quelques bijoux arrachez de quelques glaces briſées, & de mille mauvais diſcours tenus, ils font les petits déterminez d’yver.	Ils s'impatronisent, ces petits Messieurs, et fiers de leur noblesse d'Été, par des travers de caprice et des éclats de quelques étoffes reprises, de quelques bijoux arrachez de quelques glaces brisées, et de mille mauvais discours tenus, ils font les petits déterminez d'yver.
Tiermilieu.	Tiermilieu.
Vous ne ſongez pas, mes Damęs, que nous pourrons perdre l’heure de la Come die.	Vous ne songez pas, mes Dams, que nous pourrons perdre l'heure de la Come die.
Marcon.	Marcon.
Ne la manquons pas, mes Dames, le fracas des premieres repreſentations eſt ce qu’il y a de plus rejoüiſſant.	Ne la manquons pas, mes Dames, le fracas des premières représentations est ce qu’-il y a de plus réjouissant.
Cidaliſe.	Cidalise.
Y venez.	Y venez.
vous, Leandre.	vous, Léandre.
Leandre.	Léandre.
Quelques affaires m’atreſtent icy, Madame.	Quelques affaires m'atrêtent ici, Madame.
Aminte.	Aminte.
He bien, nous vous en dirons des nouvelles,	He bien, nous vous en dirons des nouvelles,
SCENE XVIII.	SCÈNE XVIII.
Leandre, Frontin, Marthon	Léandre, Frontin, Marthon
Leandre.	Léandre.
Ay eu peine à te reconnoiſtre ſous cs T déguiſement à quel deſſein.	Ai eu peine à te reconnaître sous coeurs T déguisement à quel dessein.
mais ne vois-je pas auſſi Marthon traveſtie en femme du bel air.	mais ne vois-je pas aussi Marthon travestie en femme du bel air.
Je le penſe.	Je le pense.
Manhon.	Manhon.
Frontin.	Frontin.
Je vois venir vôtre pere, laiſſez-nous commencer la fourberie que nous venons de concerter.	Je vois venir votre père, laissez-nous commencer la fourberie que nous venons de concerter.
Marion.	Marion.
Ou eſt il Frontin?	Ou est il Frontin?
Frontin.	Frontin.
C’eſt ce bon vieillard qui vient à toy.	C'est ce bon vieillard qui vient à toi.
Marthon.	Marthon.
Va-t'en, & obſerve de loin l’adreſſe avec laquelle je vais le faire donner dans le panneau.	Va-t'-en, et observe de loin l'adresse avec laquelle je vais le faire donner dans le panneau.
SCENE XIX.	SCÈNE XIX.
Geronte, Marthon, l’Hirondelle.	Géronte, Marthon, l'Hirondelle.
Geronte.	Géronte.
E ne trouve point mon homme, cepenI dant on ma dit chez luy que je le trouverois aux Thuilleries.	E ne trouve point mon homme, cepenI dant on ma dit chez lui que je le trouverais aux Thuilleries.
Marion.	Marion.
Entendez-vous l’Hirondelle, dans la ruë de Seine, entendez-vous.	Entendez-vous l'Hirondelle, dans la rue de Seine, entendez-vous.
L’Hirondelle.	L'Hirondelle.
Oüi Madame, dans la ruë de Seine.	Oui Madame, dans la rue de Seine.
Marthon.	Marthon.
A l’Hôtel de Niſmes, vous comprenez	À l'Hôtel de Nîmes, vous comprenez
bien?	bien?
L’Hirondelle.	L'Hirondelle.
Oüi Madame, à l’Hôtel de Niſmes, je la vois d’icy.	Oui Madame, à l'Hôtel de Nîmes, je la vois d'ici.
Geronte.	Géronte.
A qui en veut cette Dame, à l’Hôtel de Niſmes, c’eſt l’Auberge de mon fils!	À qui en veut cette Dame, à l'Hôtel de Nîmes, c'est l'Auberge de mon fils!
Marthon.	Marthon.
Vous demanderez Leandre, un Capitaine de dragons.	Vous demanderez Léandre, un Capitaine de dragons.
Geronte.	Géronte.
C’eſt mon fils lui-meſme, quelles affaires peut-elle avoir avec luy?	C'est mon fils lui-même, quelles affaires peut-elle avoir avec tu?
Marthon.	Marthon.
Et vous luy rendrez ce billet en main propre.	Et vous lui rendrez ce billet en main propre.
L'Hirondelle.	L'Hirondelle.
Oüi Madame.	Oui Madame.
Geronte.	Géronte.
Voila une Dame qui me donne de mauvais ſoupçons de mon fils.	Voilà une Dame qui me donne de mauvais soupçons de mon fils.
Marthon.	Marthon.
L’Hirondelle, l’Hirondelle.	L'Hirondelle, l'Hirondelle.
Madame.	Madame.
L’Hirondelle.	L'Hirondelle.
Maribon, Marquez bien à ce Leandre, que je l’attend demain à ma Toilette, entre onze & douze;	Maribon, Marquez bien à ce Léandre, que je l'attend demain à ma Toilette, entre onze et douze;
ou ce ſoir aux Thuilleries, entre chien & loup.	ou ce soir aux Thuilleries, entre chien et loup.
L’Hirondelle.	L'Hirondelle.
C’eſt aſſez, Madame.	C'est assez, Madame.
Geronte.	Géronte.
Ce rendez-vous me donne de la curioſité, tachons de l’aborder.	Ce rendez-vous me donne de la curiosité, tachons de l'aborder.
Madame, vô.	Madame, vô.
tre tres-humble Serviteur.	tre très-humble Serviteur.
Marion.	Marion.
Vôtre Servante, Monſieur.	Votre Servante, Monsieur.
Geronte.	Géronte.
Oſerois-je vous demander, Madame, d’ou vous connoiſſez ce Leandre, que vous venez de nommer ?	Oserais-je vous demander, Madame, d'ou vous connaissez ce Léandre, que vous venez de nommer ?
Marthon.	Marthon.
Je ne le connois pas encore, mais je cherche à le connoître, & je le connoîtray.	Je ne le connais pas encore, mais je cherche à le connaître, et je le connaîtrai.
Geronte.	Géronte.
Et par quelle envie, Madame?	Et par quelle envie, Madame?
Marthon Par une envie Matrimoniale, Monſieur.	Marthon Par une envie Matrimoniale, Monsieur.
Comment?	Comment?
Geronie.	Géronie.
Manhon.	Manhon.
Son pere & mes parens, nous ont maliez emembie, lans en prendre mon avis.	Son père et mes parents, nous ont maliés emembie, lans en prendre mon avis.
Geronte.	Géronte.
Quoy vous eſtes.	Quoi vous êtes.
Marthon.	Marthon.
Oüi, je ſuis ſa femme à demy, & je veux ſçavoir s’il eſt digne que je la ſois tout à fait.	Oui, je suis sa femme à demi, et je veux sçavoir s'il est dis que je la sois tout à fait.
Geronte.	Géronte.
Ce que vous me dites la.	Ce que vous me dites la.
Marthon.	Marthon.
Ne doit point vous ſurprendre, j’ay des alleures de filles qui ne feront que croître & embellir étant femme, & je veux voir ſi ce petit Monſieur, eſt homme à mettre ſur le bon pied.	Ne doit point vous surprendre, j'ai des alleures de filles qui ne feront que croître et embellir étant femme, et je veux voir si ce petit Monsieur, est homme à mettre sur le bon pied.
Geronte.	Géronte.
Vous m’étonnez.	Vous m'étonnez.
Marthon.	Marthon.
Qu’y a t’il d’étonnant, n’eſt-ce pas l’uſage?	Qu'y a -t-il d'étonnant, n'est-ce pas l'usage?
Ce n’eſt pas que s’il tient de race, il ne ſoit aſſez mon fait.	Ce n'est pas que s'il tient de race, il ne soit assez mon fait.
Geronte.	Géronte.
Qu’appellez-vous tenir de race?	Qu'appelez-vous tenir de race?
Marthon.	Marthon.
Oüi, je pourray m’en accommoder, s’il eſt auſſi ſot que ſon pere.	Oui, je pourrai m'en accommoder, s'il est aussi sot que son père.
Geronte.	Géronte.
Et connoiſſez-vous ſon pere, pour en parler de la ſorte?	Et connaissez-vous son père, pour en parler de la sorte?
Marthon.	Marthon.
41 Non, mais vous m’avoürez que donner ſon fils à une fille qu’il ne connoiſt point, il faut eſtre ſot de pied en cap.	41 Non, mais vous m'avourez que donner son fils à une fille qu'il ne connaît point, il faut être sot de pied en cap.
Mais.	Mais.
Geronte.	Géronte.
Marthon.	Marthon.
Mais ce ſont des Provinciaux à qui on en fait bien accroire pour de l’argent.	Mais ce sont des Provinciaux à qui on en fait bien accroire pour de l'argent.
Geronte.	Géronte.
Où m’allois-je fourer, quelle engeance.	Où m'allais-je fourer, quelle engeance.
Marthon.	Marthon.
Que vois-je?	Que vois-je?
ſeparons-nous, Monſieur, de grace.	séparons-nous, Monsieur, de grâce.
Geronte.	Géronte.
Oh, volontiers.	Oh, volontiers.
Marthon.	Marthon.
Voila de jeunes gens qui auroient iuau?	Voilà de jeunes gens qui auraient juau?
vaiſe opinion de moy, s’ils me voyoient avec vous.	vaise opinion de moi, s'ils me voyaient avec vous.
Geronte.	Géronte.
Allons tout au plûtôt retirer ma parole.	Allons tout au plus tirer ma parole.
Marthon.	Marthon.
Adieu bon homme, adieu.	Adieu bon homme, adieu.
Il s’en va aſſez mal ſatisfait de ſon maniage.	Il s'en va assez mal satisfait de son maniage.
SCENE XR.	SCÈNE XR.
FRONTIN, MARTHON.	FRONTIN, MARTHON.
Promtin.	Promptin.
L ma paru de loin que tu n’as pas mal I joüé ton rolle.	L ma paru de loin que tu n'as pas mal I joué ton rolle.
Maribon.	Maribon.
C’eſt à toy à entrer en danſe, voila l'Oncle de ma Maîtreſſe, Monſieur de la Brie.	C'est à toi à entrer en danse, voilà l'Oncle de ma Maîtresse, Monsieur de la Brie.
Frontin.	Frontin.
Qui, celuy qui vient à nous avec ces airs boffants?	Qui, celui qui vient à nous avec ces airs boiffants?
Luy-meſme.	Lui-même.
Marhon.	Marhon.
Frontin.	Frontin.
Retire toy, & obſerve de loin ſur quel ton je le vais Baffouer.	Retire toi, et observe de loin sur quel ton je le vais Baffouer.
SCENE XXI.	SCÈNE XXI.
FRONTIN, Mr.	FRONTIN, Mr.
DE LA BRIE Fromin, regardant Me.	DE LA BRIE Fromin, regardant Me.
de la Brie.	de la Brie.
On, je ne me trompe point, c’eſt I Vluy-meſme.	On, je ne me trompe point, c'est I Lui-même.
Mr.	Mr.
de la Brie.	de la Brie.
A qui en veut ce Gentilhomme là?	À qui en veut ce Gentilhomme là?
Frontin.	Frontin.
Oüi, le voila comme on me la depeint, aſſez mal partagé de nez, mais largement pourvû de barbe.	Oui, le voilà comme on me la dépeint, assez mal partagé de nez, mais largement pourvu de barbe.
Mr.	Mr.
de la Brie.	de la Brie.
Ce n’eſt pas à moy apparemment.	Ce n'est pas à moi apparemment.
Frontin.	Frontin.
Ou diable allez-vous, ne voyez-vous pas que c’eſt à vous à qui j’en veux?	Ou diable allez-vous, ne voyez-vous pas que c'est à vous à qui j'en veux?
Ar.	Ar.
de la Brie.	de la Brie.
A moy, eſt-ce que vous me connoiſſez;	À moi, est-ce que vous me connaissez;
Frontin.	Frontin.
Si je vous connois, je gage tout mon bien que vous vous appellez la Brie.	Si je vous connais, je gage tout mon bien que vous vous appelez la Brie.
Mr.	Mr.
de la Brie.	de la Brie.
Je penſe qu’on ne ſe deshonnore point à y ajoûter Monſieur.	Je pense qu'on ne se déshonore point à y ajouter Monsieur.
Fromin.	Fromin.
Frontin.	Frontin.
Au ah, vous êtes formaliſte, & bien je vous donneray du Monſieur par le nez, & du Meſſire meſme, ſi vous le voulez, Monſieur Meſſire de la Brie donc, je ne ſuis pas connu de vous.	Au ah, vous êtes formaliste, et bien je vous donnerai du Monsieur par le nez, et du Messire même, si vous le voulez, Monsieur Messire de la Brie donc, je ne suis pas connu de vous.
1	1
Mr.	Mr.
de dal Brie.	de dal Brie.
NO	NÔ
Fromin.	Fromin.
Vous voyez en moy le Fils du Pere, 3 qui vous avez promis vôtre Niéce.	Vous voyez en moi le Fils du Père, 3 qui vous avez promis votre Nièce.
Mr.	Mr.
de la Brie.	de la Brie.
Vous eſtes celuy qui.	Vous êtes celui qui.
1 Fromin.	1 Fromin.
Ouy celuy qui vous doit donner des neveux qui mettront diablement vôtre famille en reputation, pourveu qu ils tiennent plus de mon ſang que du vôtre.	Oui celui qui vous doit donner des neveux qui mettront diablement votre famille en réputation, pourvu qu ils tiennent plus de mon sang que du vôtre.
Mr.	Mr.
de la Brie.	de la Brie.
Vrayment je ſuis ravy de vous ponnoître.	Vraiment je suis ravi de vous ponnoître.
Frontin.	Frontin.
Vous ne voyez rien, & vous pouvez compter que vous avez en moy un petit Maître des plus reſolus.	Vous ne voyez rien, et vous pouvez compter que vous avez en moi un petit Maître des plus résolus.
Mr.	Mr.
de la Brie.	de la Brie.
1.	1.
Un perit Maître, c’eſt une plaiſante occuparionlqueicelle d’un petit Maſ̂tre.	Un périt Maître, c'est une plaisante occuparionlqueicelle d'un petit Mastre.
Frontin.	Frontin.
Malpeſte, il faut me voir à ma toilette prendre toutes ſortes de figures, & ne m’arreſter à aucune, & dans nos Temples volant de belle en belle, tantoſt ſur un pied & tantoſt ſur l’autre, ſans ſçavoir ſur Iequel danſer, courir les ſpectacles à bride abatuë, & les voir tous en un jour ſans payer à pas un.	Malpeste, il faut me voir à ma toilette prendre toutes sortes de figures, et ne m'arrêter à aucune, et dans nos Temples volant de belle en belle, tantôt sur un pied et tantôt sur l'autre, sans savoir sur Je danser, courir les spectacles à bride abattue, et les voir tous en un jour sans payer à pas un.
Au moment que je vous parle, je vais dire la rage d’une Comedie, j’iray euſuite au Cours penſer pis que pendre de tout ce que j’y verray;	Au moment que je vous parle, je vais dire la rage d'une Comédie, j'irai eusuite au Cours penser pis que pendre de tout ce que j'y verrai;
je reviendray aux Thuilleries montrer quelques tabatieres de nouvelle invention, rire à celle cy, baguenauder à celle la, dire une obſceneté à l’oreille.	je reviendrai aux Thuilleries montrer quelques tabatières de nouvelle invention, rire à celle cy, baguenauder à celle la, dire une obscéneté à l'oreille.
de l’une, croquignoler l’autre, dandiner devant toutes;	de l'une, croquignoler l'autre, dandiner devant toutes;
& je me rendray chez vous à l’heure du feſtin, pourveu que vous ne vous mettiez pas à table avant minuit, & que vous me diſpenſiez pour cette nuit, de conſommer le mariage avec vôtre Nièce, ſans adieu mon Oncle.	et je me rendrai chez vous à l'heure du festin, pourvu que vous ne vous mettiez pas à table avant minuit, et que vous me dispensiez pour cette nuit, de consommer le mariage avec votre Nièce, sans adieu mon Oncle.
SCENE XXII.	SCÈNE XXII.
Mr.	Mr.
DE LA BRIE, GERONTE.	DE LA BRIE, GÉRONTE.
Mr.	Mr.
de la Brie.	de la Brie.
Uel évaporé!	Vel évaporé!
j’allois me donner-la Zun plaiſant Neveu.	j'allais me donner-la Zun plaisant Neveu.
Geronte.	Géronte.
Ah le voicy, Serviteur Monſieur.	Ah le voici, Serviteur Monsieur.
Mr de la Brie.	Mr de la Brie.
Ah ah, vous eſtes donc en cette Ville, momeur, votfe valet.	Ah ah, vous êtes donc en cette Ville, moment, votfe valet.
Geronte.	Géronte.
Scavez-vous bien.	Savez-vous bien.
Monſieur de la Brie, que je ſuis Gentilhomme.	Monsieur de la Brie, que je suis Gentilhomme.
1	1
Mr.	Mr.
de la Brie.	de la Brie.
Sçavez-vous bien, Monſieur Geronte, que je le ſeray quand je voudray.	Savez-vous bien, Monsieur Géronte, que je le serai quand je voudrai.
Geronte.	Géronte.
Je voudrois bien ſçavoir, par ou vous avez cru trouver une dupe en moy.	Je voudrais bien savoir, par ou vous avez cru trouver une dupe en moi.
Mr de la Brie.	Mr de la Brie.
Je voudrois bien connoiſtre, ce qui vous a peu faire voir que j’étois un homme à joüer.	Je voudrais bien connaître, ce qui vous a pu faire voir que j'étais un homme à jouer.
Geronte.	Géronte.
N'avez-vous point de honte, de me vouloir donner pour Bru, vôtre écervelée de Niéce?	N'avez-vous point de honte, de me vouloir donner pour Bru, votre écervelée de Nièce?
Mr.	Mr.
de la Biie.	de la Biie.
Mais vous-même plûtôt, ne rougiſſezvous pas, de m’avoir propoſé pour Neveu vôtre évaporé de Fils?	Mais vous-même plutôt, ne rougissezvous pas, de m'avoir proposé pour Neveu votre évaporé de Fils?
Ceronte.	Céronte.
Corbleu on ne voit tien en mon Fils, qui demente ſa nobleſſe.	Corbleu on ne voit tien en mon Fils, qui démente sa noblesse.
Mr.	Mr.
de la Brie.	de la Brie.
Parbleu il n’échape aucune action à ma Niéce, qui ne ſoit d’une fille bien née.	Parbleu il n'échappe aucune action à ma Nièce, qui ne soit d'une fille bien née.
Geronte.	Géronte.
Je ſuis bien'aiſe que vous la croyez telle, mais je vous la rend, & n’en veux point pour ma blu.	Je suis bien'aise que vous la croyez telle, mais je vous la rend, et n'en veux point pour ma blu.
Mr.	Mr.
de la Brie.	de la Brie.
Je ſuis ravy-que vous vous trompiez ſur vôtre Fils;	Je suis ravi-que vous vous trompiez sur votre Fils;
mais je renonce à ſon alliance, & ſerois bien faché qu’il fut mon Neveu.	mais je renonce à son alliance, et serais bien fâché qu'il fut mon Neveu.
Gerente.	Gérente.
Adieu, adieu, Monſieur de la Finance, je vous feray voir la difference qu’il y a de mon fils à vôtre Niéee.	Adieu, adieu, Monsieur de la Finance, je vous ferai voir la différence qu'il y a de mon fils à votre Niée.
Atr.	Atr.
de la Brie.	de la Brie.
Serviteur, Serviteur, Monſieur de la Gentilhommerie, il ne me ſera pas difficile de vous faire connoître que vôtre Fils eſt indigne de ma Niéce.	Serviteur, Serviteur, Monsieur de la Gentilhommerie, il ne me sera pas difficile de vous faire connaître que votre Fils est indigne de ma Nièce.
SCENE XXIII.	SCÈNE XXIII.
Mr.	Mr.
DE LA BRIE, ISABELLE.	DE LA BRIE, ISABELLE.
Mr.	Mr.
de la Brie.	de la Brie.
1107 E voila dans une colere épouvan12	1107 É voilà dans une colère épouvan12
Iſabelle.	Isabelle.
Je ne vois perſonne, & je n’entend point de nouvelles qui me retire du trouble.	Je ne vois personne, et je n'entend point de nouvelles qui me retire du trouble.
mais voila mon Oncle.	mais voilà mon Oncle.
Mr.	Mr.
de la Brie.	de la Brie.
Ah ma niéce attendez moy icy, j’ay beſoin de vous pour repouſſer un outrage qu’on vient de me faire.	Ah ma nièce attendez moi ici, j'ai besoin de vous pour repousser un outrage qu'on vient de me faire.
Je vais revenir dans un moment.	Je vais revenir dans un moment.
Iſabelle.	Isabelle.
A quelle fin me dit il de l’attendre, & que puis je eſperer de tout cecy?	À quelle fin me dit -il de l'attendre, et que puis je espérer de tout ceci?
SCENE XXTV.	SCÈNE XTU.
1 Leandre, Frontin, Iſabelle, Marthon.	1 Léandre, Frontin, Isabelle, Marthon.
Leandre.	Léandre.
Adame ſi nous en voulons croire M Frontin, & Marthon, nous n'avons plus à craindre les mariages qui nous eſtoient propoſez.	Adame si nous en voulons croire M Frontin, et Marthon, nous n'avons plus à craindre les mariages qui nous étaient proposés.
Frontin.	Frontin.
Vous pouvez dormir en repos du coſté de, Monſieur, voſtre Oncle, je vous ſuis caution qu’il ne vous en rompra plus la	Vous pouvez dormir en repos du côté de, Monsieur, votre Oncle, je vous suis caution qu'il ne vous en rompra plus la
teite.	teite.
Marthon.	Marthon.
Pour Monſieur voſtre Pere, je ne penſe pas qu’il vous en parle jamais.	Pour Monsieur votre Père, je ne pense pas qu'il vous en parle jamais.
Iſabelle.	Isabelle.
Quel fruit pouvons nous eſperer de cette meneemgence?	Quel fruit pouvons nous espérer de cette mènemgence?
Frontin.	Frontin.
Nous avons du temps pour y reſver.	Nous avons du temps pour y rêver.
Marthon.	Marthon.
Commençons par nous aller deshabiller, crainte de quelque accident.	Commençons par nous aller déshabiller, crainte de quelque accident.
Frontin.	Frontin.
C’eſt bien dit, attendez-nous, nous allons revenir pour prendre de nouvelles meſures.	C'est bien dit, attendez-nous, nous allons revenir pour prendre de nouvelles mesures.
SCENE XAV.	SCÈNE XAU.
LEANDRE, ISABELLE.	LÉANDRE, ISABELLE.
6 Leandre.	6 Léandre.
E vais employer tous mes ſoins pour Tobliger mon Pere, à parler à Monſieur voſtre Oncle.	E vais employer tous mes soins pour Tobliger mon Père, à parler à Monsieur votre Oncle.
Iſabelle.	Isabelle.
Et moy tous mes veux pour diſpoſer mon Oncle à prononcer en noſtre favell.	Et moi tous mes veux pour disposer mon Oncle à prononcer en notre favel.
Leandre.	Léandre.
Si nos parens nous eſtojent contraires, ne me permettez vous pas charmante Jſabelle;	Si nos parents nous étojent contraires, ne me permettez -vous pas charmante Isabelle;
mais que vois-je c’eſt mon Pere avec Marthon j’aprehende ce retour.	mais que vois-je c'est mon Père avec Marthon j'appréhende ce retour.
2 Iſabelle.	2 Isabelle.
Voicy d’un autre coſté mon Oncle avec Frontin, nous ſommes perdus Leandre.	Voici d'un autre côté mon Oncle avec Frontin, nous sommes perdus Léandre.
Leandre.	Léandre.
Eloignons-nous un peu & voyons ce que cela devindra.	Éloignons-nous un peu et voyons ce que cela devindra.
SCENE XXVI.	SCÈNE XXVI.
Marton, Geronte, M.	Marton, Géronte, M.
de la Brie, Frontin	de la Brie, Frontin
Marthon a Geronte qui la meine.	Marthon a Géronte qui la mène.
Ais vrayment Monſieur, on n’uſe MV point de ces violences avec unë fille qui a un nom dans le monde.	Ais vraiment Monsieur, on n'use MV point de ces violences avec une fille qui a un nom dans le monde.
Geronte.	Géronte.
7-2 C.	7-2 Ç.
y Ce n’eſt que pour un moment, Madame.	y Ce n'est que pour un moment, Madame.
Frontin à la Brie qui le tire.	Frontin à la Brie qui le tire.
Vous n’y ſongez pas, mon perit amy, ge n’eſt point un hommé comme moy que I'on fait aller ou l’ont veut.	Vous n'y songez pas, mon périt ami, ge n'est point un hommé comme moi que J'on fait aller ou l'ont veut.
Mr.	Mr.
de la Brie.	de la Brie.
Je ne veux pas vous mener bien loin, Monſieur.	Je ne veux pas vous mener bien loin, Monsieur.
Geronte.	Géronte.
Ah Monſieur, je ſuis bien aiſe de vous remettre Mademoiſelle vôtre Niece en main propre.	Ah Monsieur, je suis bien aise de vous remettre Mademoiselle votre Nièce en main propre.
Mr.	Mr.
de la Brie.	de la Brie.
Et moy de vous rendre Monſieur vôtre Fils.	Et moi de vous rendre Monsieur votre Fils.
Geronte.	Géronte.
Qu’appellez-vous mon Fils?	Qu'appelez-vous mon Fils?
Mr.	Mr.
de la Brie.	de la Brie.
Que voulez-vous dire, ma Niece?	Que voulez-vous dire, ma Nièce?
Martbon bas.	Martbon bas.
Que ſignifie cela?	Que signifie cela?
Frontin bas.	Frontin bas.
Que veut dire cecy?	Que veut dire ceci?
Geronte.	Géronte.
C’eſt Frontin!	C'est Frontin!
Mr.	Mr.
de la Brie.	de la Brie.
C’eſt Marthon!	C'est Marthon!
Geronte.	Géronte.
Comment coquin.	Comment coquin.
Frontin.	Frontin.
Doucement s’il vous plaiſt.	Doucement s'il vous plaît.
Mr.	Mr.
de la Brie.	de la Brie.
N’as tu point de honte friponne.	N'as tu point de honte friponne.
Marthox.	Marthox.
Ne nous emportons pas de grace.	Ne nous emportons pas de grâce.
Frontin à Geronte, Eſt ce à la Niece de Monſieur, que vous dren plomis moh Maître?	Frontin à Geronte, Est -ce à la Nièce de Monsieur, que vous dren plomis moh Maître?
2	2
Geronte.	Géronte.
Our vrayment.	Our vraiment.
Marthon 4 Mr.	Marthon 4 Mr.
de la Brie.	de la Brie.
Quoy c’eſt au Fils de Monſieur, que avez engagé vôtre Niece?	Quoi c'est au Fils de Monsieur, que avez engagé votre Nièce?
Mr.	Mr.
de la Brie.	de la Brie.
A luy-même.	A lui-même.
Frontin à Geronte.	Frontin à Geronte.
Cela étant je vous demande pardon, d’avoir voulu faire paſſer vôtre fils pour un fat, dans l’eſprit de Monſieur;	Cela étant je vous demande pardon, d'avoir voulu faire passer votre fils pour un fat, dans l'esprit de Monsieur;
mais ce n’étoit qu’à bonne intention.	mais ce n'était qu'à bonne intention.
Marthon, à Mr.	Marthon, à Mr.
de la Brie.	de la Brie.
Et moy, Monſieur, je vous damande excuſe d’avoir voulu deshonorer Mademoiſelle vôtre Nièce auprés de Monſieur.	Et moi, Monsieur, je vous damande excuse d'avoir voulu déshonorer Mademoiselle votre Nièce auprès de Monsieur.
Geronte.	Géronte.
Quel galimatias nous fais tu?	Quel galimatias nous fais tu?
Froniin.	Froniin.
Ce n’en ſera plus un, lors que vous ſçaurez que Monſieur vôtre Fils & Mademoiſelle vôtre Niece s'aiment à la folie.	Ce n'en sera plus un, lors que vous saurez que Monsieur votre Fils et Mademoiselle votre Nièce s'aiment à la folie.
Mr.	Mr.
de la Bne.	de la Bne.
He bien.	He bien.
Marihon.	Marihon.
He bien, la crainte qu’ils avoient que vous ne les euſſiez mariez à d’autres, nous a fait jouer ces perſonnages.	He bien, la crainte qu'ils avaient que vous ne les eussiez mariez à d'autres, nous a fait jouer ces personnages.
Où ſont-ils?	Où sont-ils?
Geronte.	Géronte.
Frontin.	Frontin.
Les voila que vous allez faire bien aiſc.	Les voilà que vous allez faire bien aisc.
SCENE DERNIERE.	SCÈNE DERNIÈRE.
Geronte, Leandre, Mr.	Géronte, Léandre, Mr.
de la Brie, Iſabelle, Frontin, Marthon.	de la Brie, Isabelle, Frontin, Marthon.
Mon Pere.	Mon Père.
Leandre.	Léandre.
Iſabelle.	Isabelle.
Mon Oncle.	Mon Oncle.
Geronte.	Géronte.
Ah je n’ay point de repugnance pour cette Dame la.	Ah je n'ai point de répugnance pour cette Dame la.
Ais.	Ais.
de la B.	de la B.
ie.	On.
Voila un Gentilhomme qui me plaît	Voilà un Gentilhomme qui me plaît
dclujaia Marthon.	dclujà Marthon.
Achevez ce que vous avez ſi bien commencé, je vous ſuis caution qu’ils ne vous eudadhen feoz,	Achevez ce que vous avez si bien commencé, je vous suis caution qu'ils ne vous eudadhen ferez,
Mr.	Mr.
de la Brie.	de la Brie.
Allons chez moy pour conclure toutes nos affaires.	Allons chez moi pour conclure toutes nos affaires.
Geronte.	Géronte.
Allons, ſuivez nous mes enfans.	Allons, suivez nous mes enfants.
Frontin.	Frontin.
A toy Marthon, le cœur t’en dit-il pour moy?	A toi Marthon, le cœur t'en dit-il pour moi?
Marthon Tu me paroiſt un fripon petit Maître.	Marthon Tu me paraît un fripon petit Maître.
Frontin.	Frontin.
Et toy une coquette qui en ſcay bien long.	Et toi une coquette qui en sais bien long.
Marihon.	Marihon.
Allons voir ce que nous ferons.	Allons voir ce que nous ferons.
