I ARGVMENT.	I JRGUMENT.
Mon pere ie voy bien que vos ſoins ſuperflus, Selon voſtre defir ne me ſecourent plus, Depuis que Calirie a veu que la triſteſſe Abandonnoit mon ame, & mon corps ſa foibleſſe Ses viſites ſoudain rares, ou ſans effet, M’ont fait eſperer peu de tout ce qu'elle a fait, L’amour qu'elle a pour vous occupe ſa penſee, Et la rend à mes feux entierement glacee, que efe uannuo uejfamnue finir voſtre peine.	Mon père femme vois bien que vos soins superflus, Selon votre désir ne me secourent plus, Depuis que Calirie a vu que la tristesse Abandonnait mon âme, et mon corps sa faiblesse Ses visites soudes rares, ou sans effet, M'ont fait espérer peu de tout ce qu'elle a fait, L'amour qu'elle a pour vous occupe sa pensée, Et la rend à mes feux entièrement glacée, que vos soins uejfamnue finir votre peine.
MELISSEE.	MELISEE.
Penſez à mettre fin à vos maux ſeulement, Sans vous trauailler plus de ſon contentement:	Pensez à mettre fin à vos maux seulement, Sans vous travailler plus de son contentement:
Adieu, ma flâme, helas!	Adieu, ma flamme, hélas!
eſt-ce à ce poinct venuë, Qu'elle ne ſçauroit plus auoir de retenue, I'espere tout, & crains encore tout außi Que ce nouuel amour me donne de ſoucy.	est-ce à ce point venue, Qu'elle ne saurait plus avoir de retenue, J'espère tout, et crains encore tout aussi Que ce nouvel amour me donne de souci.
ACTE TROISIESME.	ACTE -TROISIÈME.
SCENE I.	SCÈNE I.
CALIRIE.	CALIRIE.
ORONTE.	ORONTE.
CALIRIE ſeule.	CALIRIE seule.
L 6 Ay mandé cét ingrat, ce traiſtre abominable:	 6 Ai mandé cet ingrat, ce traître abominable:
8 [Mais il ne viendra pas puis qu'il ſe cruil coupavie, Le voicy toutesfois qui fait bien l’afſligé, On diroit à le voir qu'il en ſoit tout changé.	8 [Mais il ne viendra pas puis qu'il se cruil coupavie, Le voici toutefois qui fait bien l'afsgligé, On dirait à le voir qu'il en soit tout changé.
ONTE.	ONTE.
Qus veut ma belle fille à ſon fidelle Oronte.	Quus veut ma belle fille à son fidèle Oronte.
CALIRIE.	CALIRIE.
Voir ſi ſa trahiſon luy donne quelque honte, Mais ie voy bien que non, il eſt trop aſſeuré, Encores que le crime en ſoit tout aueré, Tu n’eſtois pas content de m'auoir abuſee, Lors qu'vn gage innocent me rendoit moins ruſeo, Tu m'as voulu monſtrer, que me fiant à toy, Tu prendrois bien le temps de te mocquer de moy, Tu l’as fait, ame ingrate, ame noire, & pariure:	Voit si sa trahison lui donne quelque honte, Mais ie vois bien que non, il est trop assuré, Encores que le crime en soit tout averé, Tu n'étais pas content de m'avoir abusée, Lors qu'un gage innocent me rendait moins ruse, Tu m'as voulu montrer, que me fiant à toi, Tu prendrois bien le temps de te moquer de moi, Tu l'as fait, âme ingrate, âme noire, et parjure:
Mais tu ne m'as pas fait vne petité iniure, Au moins ſi tu pouuois me dire vne raiſon Qui peut faire excuſer ta lâche trahiſon, Si i’eſtois criminelle en ton endroit, infame, Si i'auois mesprisé ton merite, ou ta flâme, Si ie t'auois hay, ſi i’auois fait effort, En faignant de t’aimer, & te donner la mort, Ie dirois en moy-meſme, Oronte ſe retire Auecques des raiſons que ie n'oſerois dire;	Mais tu ne m'as pas fait une petité injure, Au moins si tu pouuois me dire une raison Qui peut faire excuser ta lâche trahison, Si j'étais criminelle en ton endroit, infâme, Si j'avais méprisé ton mérite, ou ta flamme, Si trouver t'avais ha, si j'avais fait effort, En faites de t'aimer, et te donner la mort, Je dirais en moi-même, Oronte se retire Avecques des raisons que je n'oserais dire;
Mais ſi ma paßion a ſuiuytes deſirs, Sii ay participé dans tous tes desplaiſtrs, Si ie n'ay rien aimé que toy dans la nature, d le -	Mais si ma passion a suiuytes désirs, Sii ai participé dans tous tes desplaistrs, Si Dieux n'ai rien aimé que toi dans la nature, dès le -
Si i’ay creu ton amour, ma plus grande aduanture, N'es-tu pas bien meſchant de me vouloir offrir En victime à celuy que ie ne puis ſouffrir, Tu ſçais depuis long temps que ſon entretien meſme Me donnoit tous les iours vn desplaiſir extreſme, Et qu'estant auec luy, quelque grace qu’il euſt, Ie n'y trouuay iamais action qui me pleusf;	Si j'ai cru ton amour, ma plus grande aventure, N'es-tu pas bien méchant de me vouloir offrir En victime à celui que je ne puis souffrir, Tu sais depuis long temps que son entretien même Me donnait tous les jours un déplaisir extrême, Et qu'étant auecjours, quelque grâce qu'il eût, Je n'y trouvai jamais action qui me pleusf;
Toutes fois ennemy du repos de mon ame, Tu fais ce que tu peux pour me rendre ſa femme.	Toutes fois ennemi du repos de mon âme, Tu fais ce que tu peux pour me rendre sa femme.
Non, non, que tous les Dieux ſecõdent ton deſſein, Alidor n'entrera iamais dedans mon ſein, Et toy dont les diſcours ont trahy ma franchiſe, Dont la fauſſe amitié m'a laſchement ſur priſe, Sçache que tu m'as plus obligée auiourd’huy Que tu n'as creu me nuire en me donnant à luy, Monesprit détrompé ne ſera plus capable Ce crotre rien en moy qui me peut rendre aimable, Ainſi me defiant des hommes deſormais, Ie viur ay touſiours libre & n'aimeray iamais.	Non, non, que tous les Dieux secondent ton dessein, Alidor n'entrera jamais dedans mon sein, Et toi dont les discours ont trahi ma franchise, Dont la fausse amitié m'a lâchement sur prise, Sçache que tu m'as plus obligée aujourd'huire Que tu n'as cru me nuire en me donnant à La, Monesprit détrompé ne sera plus capable Ce crois rien en moi qui me peut rendre aimable, Ainsi me défiant des hommes désormais, Je vivr ait toujours libre et n'aimerai jamais.
ORONTE demeure ſeul.	ORONTE demeure seul.
Tu t’en vat, Calirie, apres vn tel reproche, Et laiſſes ton Oronte außi froid qu'vne roche, Va, fuy, fuy cét ingrat, tu le fuis iuſtement, I'ay trahy ton amour, & mon contentement, Fuy, fuy ce malheureux qui ne te peut respondre, Mon ſeul reſſentiment ſuffit à me confondre, Ie ſuis plus criminel que tu ne me fay pas, Et pour me bien punir, c’eſt peu que le treſpas, Il me faut inuenter des tortures nouuelles, Qui me faiſant ſouffrir ne me ſoient pas mortelles, Afin que languiſſant, & touſiours malheureux, Ie ſois vn triſte exemple aux laſches amoureux.	Tu t'en vat, Calirie, après un tel reproche, Et laisses ton Oronte aussi froids qu'une roche, Va, fui, fuis cet ingrat, tu le fuis jus,QU'ai trahi ton amour, et mon contentement, Fuy, fuite ce malheureux qui ne te peut répondre, Mon seul ressentiment suffit à me confondre, Je suis plus criminel que tu ne me fais pas, Et pour me bien punir, c'est peu que le trépas, Il me faut inventer des tortures nouvelles, Qui me faisant souffrir ne me soient pas mortelles, Afin que languissant, et toujours malheureux, Il sois triste exemple aux lâches amoureux.
ACTE TROISIESME.	ACTE -TROISIÈME.
SCENE II.	SCÈNE II.
CINTILLE ſous le nom d’Alcandre.	CINTILE sous le nom d'Alcandre.
ORCAN ſon conſident, Page de MELISSEE.	ORCAN son consident, Page de MELISE.
CINTILLE.	CINTILE.
Oy qui ſçais les ſecrets de toute ma diſgrace, Qui cognois mon amour, qui ſçais ce qui ſe paſſe, Que dois-ie deuenir, i’ay veu l’objet aimé:	Oi qui sais les secrets de toute ma disgrâce, Qui connais mon amour, qui sais ce qui se passe, Que dois-je devenir, j'ai vu l'objet aimé:
Mais plus froid mille fois qu'vn corps deſ-animé, Il a quitté le lict, & ſa melancholie --- O- --- Le porte bien ſouuent à de traits de folie, Il m'a fait vn accueil aſſez extrauagant, Bien qu’il ne m’ayt rien dit qui ſentit l’arrogant, Non pas que me croyant touſiours eſtre mon frere, Il n'ayt de complimens voulu me ſatisfaire, Quoy qu’il fuſt bien ſouuent ſurpris d’eſtonnemẽt, Et reſtaſt quelque fois ſans voix, ny mouuement, Qu'apres ſeuamununt u fet porr ſa penſee Eſtre diuerſement deſſus moy balancee.	Mais plus froid mille fois qu'un corps des-animé, Il a quitté le litt, et sa mélancolie -à- Ô- a- Le porte bien souvent à de traits de folie, Il m'a fait un accueil assez extravagant, Bien qu'il ne m'ait rien dit qui sentit l'arrogant, Non pas que me croyant toujours été mon frère, Il n'ait de compliments voulu me satisfaire, Quoi qu'il fût bien souvent surpris d'estonnemẽt, Et restât quelque fois sans voix, ni mouuement, Qu'après seuamununt set porr sa pensée Estre sam dessus moi balancée.
RCAN.	RACN.
lt vonos a reconnue, & ſe trouuant ſurpris, Voſtre veuë a ſans doute eſtonné ſes esprits.	lt vonos a reconnue, et se trouvant surpris, Votre vue à sans doute étonné ses esprits.
LINTILLE.	LINTILE.
Nullement cét habit contraire amon olſage, La taille de mon frere, & les traits du viſage L’ont aisément trompé parmy l’obſcurité.	Nullement cet habit contraire amon olsage, La taille de mon frère, et les traits du visage L'ont aisément trompé parmi l'obscurité.
ONCAN.	ONCAN.
Vous auez, toutesfois, vn eſclat de beauté, Qui deuoit außi tost vous faire recognoiſtre.	Vous avez, toutefois, un éclat de beauté, Qui devait aussi tôt vous faire reconnaître.
CINTILLE.	CINTILE.
Ouy, s’il n’auoit pas eu l’ame, & les yeux d’vn traiſtre.	Oui, s'il n'avait pas eu l'âme, et les yeux d'un traître.
S’il n’auoit point perdu la memoire, & l’amour Dés l’heure qu’il laiſſa nos ports, & noſtre Cour;	S'il n'avait point perdu la mémoire, et l'amour Dès l'heure qu'il laissa nos ports, et notre Cour;
Car ſçache que parmy les paroles courtoiſes, Qui ne manquent iamais dans les bouches Françoiſes, Et parmy l’amitié qu’il teſmoignoit d’auoir Pour mõ cher frere abſent, & qu’il croyoit deuoir, C.	Car sçache que parmi les paroles courtoises, Qui ne manquent jamais dans les bouches Françaises, Et parmi l'amitié qu'il témoignait d'avoir Pour mon cher frère absent, et qu'il croyait devoir, Ç.
iti iaiiuuie nom de Cintille à la bouche, Bien qu’à ſes complimens ie paruſſe vne ſouche.	iti iaiiuuie nom de Cintille à la bouche, Bien qu'à ses compliments ie parusse une souche.
ORCAN.	ORCAN.
Il eſt donc attaché de quelque autre lien.	Il est donc attaché de quelque autre lien.
CINTILLE.	CINTILE.
Helas!	Hélas!
mon cher Orcan, c’eſt ce que ie voy bien.	mon cher Orcan, c'est ce que je vois bien.
ORCAN.	ORCAN.
Il faut doncoublier l’ingrat qui vous oublie, El le laiſſer perir dans ja metanenolte, 2 L’amour est vn Dieu iuſte, encores qu’il ſoit lent, Et vengera bien toſt ſon meſpris inſolent.	Il faut doncoublier l'ingrat qui vous oublie, El le laisser périr dans ja metanenolte, 2 L'amour est un Dieu juste, encore qu'il soit lent, Et vengera bien tôt son mépris insolent.
CINTILLE.	CINTILE.
Ma reſolution eſt preſque ta penſee, Ie le veux oublier, puis qu’il m'a delaiſſee, Ie veux ſçauoir deuant ce qu’il a ſur le cœur, Et cognoiſtre l’objet qu’il tient pour ſon vainqueur, Tu me peux ſoulager dans ceſte inquietude, Cependant que i'iray reuoir ma ſolitude.	Ma résolution est presque ta pensée, Je le veux oublier, puis qu'il m'a délaissée, Je veux savoir devant ce qu'il a sur le cœur, Et connaître l'objet qu'il tient pour son vainqueur, Tu me peux soulager dans cette inquiétude, Cependant que j'irai revoir ma solitude.
ORCAN.	ORCAN.
Ie ſuis trop honoré de ce commandement, Pour n'aller pas veiller à voſtre allegement.	Je suis trop honoré de ce commandement, Pour n'aller pas veiller à votre allégement.
Mais que veut ceſtuy-cy.	Mais que veut celui-cy.
PAGE.	PAGE.
Axonfieur, c'eſt MIeliſſee Qui voudroit vous parler pour affaire preſſee.	Axonfieur, c'est MIélissee Qui voudrait vous parler pour affaire pressée.
CINTILLE.	CINTILE.
Ie m'en vay la trouuer tout à l’heure apres vous, Que l’amour en ce poinct ſe mocque bien de nous, Ceſte Dame en amour eſt ſi fort malheureuſe, Que me croyant Alcandre, elle en eſt amoureuſe, Et qu'eue tronut en moy de grates, et d'appas, Que tu vois qu'Alidor l’ingrat n’y trouue pas.	Je m'en vais la trouver tout à l'heure après vous, Que l'amour en ce point se moque bien de nous, Cette Dame en amour est si fort malheureuse, Que me croyant Alcandre, elle en est amoureuse, Et qu'eue tronut en moi de grates, et d'appas, Que tu vois qu'Alidor l'ingrat n'y trouve pas.
Iuge ſi ſon malheur n'eſgale pas le noſtre.	Juge si son malheur n'égale pas le nôtre.
ORCAN.	ORCAN.
Son infortune encore eſt pire que la voſtre.	Son infortune encore est pire que la vôtre.
H	H
ACTE TROISIESME.	ACTE -TROISIÈME.
SCENE III.	SCÈNE III.
MELISSEE.	MELISEE.
PAGE.	PAGE.
MELISSEE.	MELISEE.
Nutile pudeur, foible apprehenſion, 2 Qui me rendez muette en mon affection, Qui voulez retenir vn feu dans la contrainte, Sçachez que mõ amour eſt deſormais ſans crainte, Que ces reſpects qui l’ont ſi long temps enfermé, muin ceuurnue aiſtoriir b one puna pevumaitin y Alcandre preuenu de ſa premiere flâme, Ne voit point dans mes yeux le feu que i'ay dans Il l'en faut aſſeurer par des termes preſſans, Qui luy prennent le cœur, par le moyen des ſens.	Nutile pudeur, faible appréhension, 2 Qui me rendez muette en mon affection, Qui voulez retenir un feu dans la contrainte, Sachez que mon amour est désormais sans crainte, Que ces respects qui l'ont si long temps enfermé, muin ceunue aitoriir b one puna pevumaitin y Alcandre prévenu de sa première flamme, Ne voit point dans mes yeux le feu que j'ai dans Il l'en faut assurer par des termes pressants, Qui lui prennent le cœur, par le moyen des sens.
O Dieux!	Ô Dieux!
que de plaiſir, quoy que ie le preutenne, S’il vouloit égaler ſonardeur à la mienne, I a-Eil dit qu'il ſeroit en peu de temps 2y.	que de plaisir, quoi que je le préutenne, S'il voulait égaler sonardeur à la mienne, I aÉil dit qu'il serait en peu de temps 2i.
IGE.	IGE.
Ptés qu'außi toſt que moy, Madame, le voicy.	Ptés qu'avez tôt que moi, Madame, le voici.
ACTE TROISIESME.	ACTE -TROISIÈME.
SCENE IV.	SCÈNE IV.
CINTILLE.	CINTILE.
MELISSEE.	MELISEE.
CINTILLE.	CINTILE.
Nquoy puis-ie ſeruir l’aimable Meliſſee.	Noiquoi puis-je servir l'aimable Mélisse.
MELISSEE tout bas.	MELISEE tout bas.
Ha!	Ha!
que ne ſuis-ie telle au fonds de ta penſee.	que ne suis-je telle au fond de ta pensée.
CINTILLE.	CINTILE.
Ie n'en excepte rien pourueu que mon pouuoir Seconde heureuſement mes ſoins, & mon deuoir.	Je n'en excepte rien pourvu que mon pouvoir Seconde heureusement mes soins, et mon devoir.
MELISSEE.	MELISEE.
Alcandre cognoiſſant mon defaut de merité, D'abord à me ſeruir a mis vne limite, Il ne me veut ſeruir qu'autant qu’il le pourra, C’eſt à dire en vn mot autant qu’il luy plairra:	Alcandre connaissant mon défaut de mérité, D'abord à me servir a mis quelque limite, Il ne me veut servir qu'autant qu'il le pourra, C'est à dire en un mot autant qu'il avait plaira:
Mais ſi i’eſtois Cloris tout luy ſeroit poßsible, Il pourroit animer vne roche inſenſible, Il pourroit r'appeler tous les morts des enfers, Et rompre des Titans les priſons, & les fers:	Mais si j'étais Cloris tout lui serait possible, Il pourrait animer une roche insensible, Il pourrait rappeler tous les morts des enfers, Et rompre des Titans les prisons, et les fers:
Ha!	Ha!
ce n'eſt pas ainſi qu’il faut ſeruir Alcandre, Celle qui de ſon ſang voudroit bien vous defendre, Vous aimez vne ingrate, vne ame ſans pitié, Qui rit de voſtre ardeur, & de voſtre amitié, Qui maintenat, sâs doute, à quelqu'autre engagée, Se mocque auecques luy de voſtre ame affligée, Qui lors que vous pleurez contente ſes deſirs, Et relaſche ſon ame au milieu des plaiſirs.	ce n'est pas ainsi qu'il faut servir Alcandre, Celle qui de son sang voudrait bien vous défendre, Vous aimez une ingrate, une âme sans pitié, Qui rit de votre ardeur, et de votre amitié, Qui maintenat, sâts doute, à quelque autre engagée, Se moque auecques lui de votre âme affligée, Qui lors que vous pleurez contente ses désirs, Et relâche son âme au milieu des plaisirs.
CINTILLE.	CINTILE.
Voyez iuſqu'à quel poinct Alcãdre eſt mi ſerable, Puis que dans ſes meſpris ie la trouue adorable, Et que ie me croirois trop heureux ſeulement, Si mon mal luy donnoit quelque contentement, Elle ne ſonge à moy qu'auec indifference, S’il eſt encores vray que ceſte ingrate y penſe:	Voyez jusqu'à quel point Alcãdre est mi serable, Puis que dans ses mépris que la trouve adorable, Et que sans me croirais trop heureux seulement, Si mon mal lui donnait quelque contentement, Elle ne songe à moi qu'avec indifférence, S'il est encor vrai que cette ingrate y pense:
Mais ie ſçay bien que non, & ſon meſpris eſt tel, Que Mnornone ſeutement tay ſemoie vn nom mortel.	Mais ici sais bien que non, et son mépris est tel, Que Mannornone seutement tai semoie un nom mortel.
MELISSEE.	MELISEE.
Pourquoy donc l’auez-vous touſiours dans la meCINTILLE.	Pourquoi donc l'avez-vous toujours dans la meCINTILLE.
moire.	moire.
Parce qu'à l’adorer ie mets toute ma gloire.	Parce qu'à l'adorer Seigneur mets toute ma gloire.
MELISSEE.	MELISEE.
Quelque beauté qu'elle ayt, quelques charmes puiſſans, Qui ſoient ab ſolument maiſtres de tous vos ſens, Elle s’en rend indigne, & vous eſtes blaſmable, Si vous traittant ſi mal vous l’a trouuez aimable, Faites comme elle fait, vous trouuerez icy D’außi grandes beautez auec moins de ſoucy.	Quelque beauté qu'elle ait, quelques charmes puissants, Qui soient ab olument maîtres de tous vos sens, Elle s'en rend indigne, et vous êtes blâmable, Si vous traitant si mal vous l'a trouvez aimable, Faites comme elle fait, vous trouverez ici D'avez grandes beautés avec moins de souci.
CINTILLE.	CINTILE.
C’eſt me donner la mort de parler de la ſorte, L’amour que i'ay pour elle en mon ame eſt trop forte, Si vous n’auez deſſein de me deſobliger Par de pareils diſcours ceſſez de m'affliger, Et me dites enquoy vous me trouuez capablę ſ -- -------- 3 Du vous pouuoir ſeruir,	C'est me donner la mort de parler de la sorte, L'amour que j'ai pour elle en mon âme est trop forte, Si vous n'avez dessein de me désobliger Par de pareils discours cessez de m'affliger, Et me dites enquoy vous me trouvez capablę forte -à- -- 3 Du vous pouvoir servir,
MELISSEE.	MELISEE.
que vous eſtes coupable, Et que voux meritez pos enmib inſtement.	que vous êtes coupable, Et que voux mérités pô enmib instement.
CINTILLE.	CINTILE.
Puiſque Cloris le veut, c’eſt mon contentement:	Puisque Cloris le veut, c'est mon contentement:
Mais laiſſant ce diſcours, dites-moy quel affaire M'appelle auprés de vous, & ce que ie puis faire,	Mais laissant ce discours, dites-moi quel affaire M'appelle auprès de vous, et ce que donne puis faire,
MELISSEE.	MELISEE.
Quoy?	Quoi?
vous ne l’auez point cõpris en mes diſcours, Faut-il plus clairement deſcouurir mes amours, Alcandre ie vous aime, & ceſte aimable grace, Pour qui Cloris n’a rien que meſpris, & que glace, Allume dans mon ſein, malgré voſtre froideur, Vn feu qui me conſomme auecque ſon ardeur.	vous ne l'avez point confpris en mes discours, Faut-il plus clairement découvrir mes amours, Alcandre où vous aime, et cette aimable grâce, Pour qui Cloris n'a rien que mépris, et que glace, Allume dans mon sein, malgré votre froideur, Un feu qui me consomme auecque son ardeur.
CINTILLE.	CINTILE.
Si vous ſçauiez au vray l’eſtat de ma fortune, Ma preſence deſia vous ſeroit importune, Et pendant cét amour que vous me teſmoignez, Vous plaindriez mon malheur lors que vous vous plaignez, Songez à Florintor, recognoiſſez ſa flâme.	Si vous savez au vrai l'état de ma fortune, Ma présence déjà vous serait importune, Et pendant cet amour que vous me témoignez, Vous plaindriez mon malheur lors que vous vous plaignez, Songez à Florintor, reconnaissez sa flamme.
MELISSEE.	MELISEE.
Mais toy, ſonge impoſteur, à ton mespris infame, Penſe-tu donc, ingrat, de m’abuſer ainſi, Ta feinte à mon endroit n'a pas bien reüßi, Sçache que Florintor eſt bien loin de ſon conte, Ie veux vanger ſur luy tes mespris, & ma honte, DJE pINpen3 Il faut que mon despit vous enuelope tous.	Mais toi, songe imposteur, à ton mépris infâme, Pensé-tu donc, ingrat, de m'abuser ainsi, Ta feinte à mon endroit n'a pas bien réussi, Sache que Florintor est bien loin de son conte, Je veux venger sur lui té mépris, et ma honte, DE pINpen3 Il faut que mon dépit vous enuelope vous.
CINTILLE ſeule.	CINTILE seule.
Qu'elle me fait pitié!	Qu'elle me fait pitié!
mais que peut-elle attandre, Ie ne ſuis que de nom, & d’habit ſon Alcandre, Ie te plains, Florintor, & ſuis bien affligé De voir qu’en te ſeruant ie t’ay deſobligé, Voila comme l’amour rit de noſtre prudence, Ce n'eſt point la raiſon qui regit ſon enfance, Ie cauſe les meſpris qu’elle monſtre pour toy, Et tu croyois d’auoir quelque ſupport de moy.	mais que peut-elle attandre, Je ne suis que de nom, et d'habit son Aligandre, Je te plains, Florintor, et suis bien affligé De voir qu'en te servant quelque t'ai desobligé, Voilà comme l'amour rit de notre prudence, Ce n'est point la raison qui régit son enfance, Je cause les mépris qu'elle montre pour toi, Et tu croyais d'avoir quelque support de moi.
Mais penſons à nous-meſmes, & laiſſons là les autres, Leurs plus grandes douleurs n’allegent point les noſtres.	Mais pensons à nous-mêmes, et laissons là les autres, Leurs plus grandes douleurs n'allègent point les nôtres.
Retirons ------	Retirons -on-
Retirons-nous d’icy, ie ſçay qu'en peu de iours Les maux que ie leur cauſe auront vn autre cours, Außi toſt que l’ingrat, dont ie me crois haye, Fera voir que ma flâme eſt tout à fait trahie, Ie leueray le maſque, & vangeant cét affront, Ie luy peindray la honte, ou la mort ſur le front, Ou bien ſi ſa valeur qui donne de l’enuie A tous les plus vaillans qui cognoiſſent ſa vie, Me porte dans le ſein la pointe de ſon fer, Et le fait doublement de mon cœur triompher, La mort me ſera douce, & beniray les armes Qui m'auront fait verſer le ſang au lieu de larmes -	Retirons-nous d'ici, ie rai qu'en peu de jours Les maux que sans leur cause auront un autre cours, Aussi tôt que l'ingrat, dont Madame me crois haie, Fera voir que ma flamme est tout à fait trahie, Je lèverai le masque, et vengeant cet affront, Je lui peindray la honte, ou la mort sur le front, Si bien si sa valeur qui donne de l'envie À tous les plus vaillants qui connaissent sa vie, Me porte dans le sein la pointe de son fer, Et le fait doublement de mon cœur triompher, La mort me sera douce, et beniray les armes Qui m'ont fait verser et sang au lieu le sa-
ACTE TROISIESME.	ACTE -TROISIÈME.
SCENE J EARINTHE.	SCÈNE J ARINTHÉE.
AEIDORCRLINIE.	AEIDORCRLINIE.
LARINTHE.	LARINTHÉ.
Lle, & moy receuons auec contentement Le bon-heur qu'Alidor nous procure en l'aimant, Ne vous eſtonnez pas de la voir ſi penſiue, Vne fole en ce poinct fait touſiours la rétiue, Ces petites façons paroiſtroient de meſpris, Auec des igrorans, ou des ieunes esprits, Quãd ſon pere Arimãd me recherchoit de mefme, Qu'il me diſoit cent fois, Larinthe, que ie t'aime, -- -- Ie faiſois la faſchée, & pourtant mes deſirs Attachoient ma penſee à ces derniers plaiſirs, Elle en fait tout de meſme, & ie perdray la vie, Que tout ce qu'elle fait eſt contre ſonenuie, Et ſi ie vous laiſſois entretenir tous deux, Elle prendroit plaiſir aux diſcours de vos feux, Mon aage eſt außi bien importun aux tendreſſes, Que trouuent les Amans auprés de leurs Maistreſſes, C eſi pourquoy te vom taiſſe en pnitore entretien, Remettant à demain voſtre ſouuerain bien.	Loin, et moi recevons ainsi contentement Le bonheur qu'Alidor nous procure en l'aimant, Ne vous étonnez pas de la voir si pensive, Une sole en ce point fait toujours la rétive, Ces petites façons paraîtraient de mépris, Avec des igrorants, ou des jeunes esprits, Quãd son père Ariment me recherchait de me, Qu'il me disoit cent fois, Âme, que ie 'aime, -- -- Ie faisois la faschée, et pourtant me dis Ait ma pensée ce derniers plaisirs, Elle en fait fo de même, et ie perdrai La ri, Que tout ce qu'elle fait est contre sonenuie, Et si ue vous laissois entretenir tous deux, Elle prendroit ' a discours de vos feux, m aage est aussi bien importun aux tendresses, Que trouuent j' Amans auprés de leurs Maistresses, Ç esi pourquoi te taisse en pnitore entretien, Remettant demain vôtre souuerain bien.
ALIDOR.	ÀLIDOR.
Eſtonné du bon-heur que le deſtin m'enuoye, Par où commenceray-ie à teſmoigner ma ioye, C’est en m’humiliant à l’aimable beauté, Dont les charmes puiſſans m’oſtent la liberté, Pardonnez, Calirie, à l’ardeur qui m'enflame, Sii oſe vous nommer le repos de mon ame, Sans vous ceſte clarté, que nous donnent les Cieux, Seroit abſolument inut le à mes yeux, Vous m'auez retiré du bord du precipice, Et par voſtre bonté ie trouue tout propice, Ie ſçay bien que i’ay tort, que ie ſuis criminel, Que ma faute merite vn ſupplice eternel, Et ſi ie n'esperois de n’obtenir la grace, Vous verriez ce corps mort tomber plus froid que glàce,	Étonné du bonheur que le destin m'envoie, Par où commencerai-je à témoigner ma joie, C'est en m'humiliant à l'aimable beauté, Dont les charmes puissants m'ils la liberté, Pardonnez, Calirie, Çalardeur qui m'enflamme, Si ose vous nommer le repos de mon âme, Sans vous cette clarté, que nous donnèrent les Cieux, Serait absolument inut le mes yeux, Vous m'avez retiré du bord du précipice, Et par votre bo ie trouue du précipice, Que sçay bien que j'ai tort, que j' ai tort, Que ma faute mérite supplice éternel, Et si ie n'esperois de obtenir la grace, Vous verriez ce corps mort tomber plus froid que glàce,
CALIRIE.	CALIRIE.
Meurs, ou ſois tout de glace, il m’eſt indifferent, Tout ce que i'en ay fait eſtoit pour ton parent Que i’aimois, il eſt vray, mais dans ſa perfidie I'ay trouué le defaut qui m'en a refroidie, Ne croy pas toutesfois, que pour ne l’aimer pat Ie conſerue pour toy le peu que i'ay d’appas, I’aimerois mieux mourir que d’auoir la penſee De te conſiderer, parce qu’il m'a laiſſee, Au contraire ie veux teſmoigner auiourd’huy Que ié te fais autant qu’il me donne d’ennuy, Et ſi tu ne veux pas encores me deſplaire, Va-t'en loin de mes yeux, ne preſſe plus ma mere, Ou tu m’obligeras à cercher dans ma mort, Contre vn ſi grand orage vn fauorable port.	Meurs, ou sois tout de glace, il m'est indifférent, Tout ce que j'en ai fait était pour ton parent Que j'aimais, il est vrai, mais dans sa perfidie J'ai trouvé le défaut qui m'en a refroidie, Ne crois pas toutefois, que pour ne l'aimer pat En conserve pour toi le peu que j'ai d'appas, J'aimerais mieux mourir que d'avoir la pensée De te considérer, parce qu'il m'a laisse, Au contraire ainsi veux témoigner aujourd'hui Que j' fais autant qu'il me donne d'ennui, Et si tu ne veux pas encor me déplaire, Va-t'en loin de mes yeux, ne presse j' en loin, Ou tu obligeras cercher dans ma mort, Contre si grand orage fauorable port.
ALIDOR ſeul.	ÀLIDOR seul.
O Dieux!	Ô Dieux!
qu'ay-ie entendu, ces paroles cruelles Me font dedans le ſein de bleſſeures nouuelles, Bien, puis que tu le veux, il me faut eſloigner, Ie te veux en cela mon amour teſmoigner, I'oſteray cét objet ſi funeste à ta veuë:	qu'ai-je entendu, ces paroles cruelles Me font dedans le sein de blessures nouvelles, Bien, puis que tu le veux, il me faut éloigner, Je te veux en cela mon amour témoigner, J'ôterai cet objet si funeste à ta vue:
Mais d’vne autre façon que tu n'as pas preueué̈:	Mais d'une autre façon que tu n'as pas preueué̈:
