LA A REINE REGENTE.	LA A REINE RÉGENTE.
PAVLINE.	PAULINE.
Ce mot auroit ſuffy, ſans ce torrent d’injures.	Ce mot aurait suffi, sans ce torrent d'injures.
STRATONICE.	STRATONICE.
Ces riltres aux Chreſtiens ſont ce des impoſtures!	Ces riltres aux Chrétiens sont ce des impostures!
PAVLINE.	PAULINE.
Il'eit ce que tu dis,s nl embrane leur foy, Mais il eſt mon époux & tu parle à moy.	Il'éit ce que tu dis,s nl embrane leur foi, Mais il est mon époux et tu parle à moi.
SIRATONTCE.	SIRATONTCE.
Ne conſiderez plus que le Dieu qu’il adore.	Ne considérez plus que le Dieu qu'il adore.
PAVLINE.	PAULINE.
Je l’aimay par devoir, ce devoir dure encore.	Je l'aimai par devoir, ce devoir dure encore.
OIEITTONVTOL Il vous donne à preſent ſujet de le hayr, Qui trahit bien les Dieux auroit pû vous trahir.	OIEITTONVTOL Il vous donne à présent sujet de le haïr, Qui trahit bien les Dieux aurait pu vous trahir.
PAVLINE.	PAULINE.
Je l’aymerois encore quand il m’auroit trahie, Et ſi de cette amour tu peux eſtre esbahye, Aprens que mon devoir ne dépend point du ſien, Qu’il y manque s’il veut, je dois faire le mien.	Je l'aimerais encore quand il m'aurait trahie, Et si de cette amour tu peux être ébahie, Apends que mon devoir ne dépend point du sien, Qu'il y manque s'il veut, je dois faire le mien.
Quoy, s’il aymoit ailleurs ſerois-je diſpenſée A ſuivre ſon exemple une ardeur inſenſée?	Quoi, s'il aimait ailleurs serais-je dispensée A suivre son exemple une ardeur insensée?
Queitfue Chreſtien qu’il ſoit je n’en ay point d’horreur, Je cheris ſa perſonne & je hay ſon erreur.	Queitfue Chrétien qu'il soit je n'en ai point d'horreur, Je chéris sa personne et je hai son erreur.
Mais quel reſſentiment en temoigne mon pere?	Mais quel ressentiment en témoigne mon père?
STRATONICE.	STRATONICE.
pnle feerette fage, un excez de colere, Malgré que toutefois un reſte d’amitié Monſtre pour Polyeucte encor quelque pitié, Il ne veut point ſur luy faire agir ſa juſtice Que du traiſtre Nearque il n’ait veu le ſupplice.	pnle ferette sage, un excès de colère, Malgré que toutefois un reste d'amitié Montre pour Polyeucte encor quelque pitié, Il ne veut point sur Je faire agir sa justice Que du traître Narque il n'ait vu le supplice.
PAVLINE.	PAULINE.
Quoy !	Quoi !
Nearque en eſt donc:	Nearque en est donc:
STRATONICE.	STRATONICE.
Nearque l’a ſeduit, De leur vieille amitié c’eſt là l’indigne fruit Ce perfide tantoſt en dépit de luy-meſme L’arrachant de vos bras le trainoit au Bapteſme.	Nearque l'a séduit, De leur vieille amitié c'est là l'indigne fruit Ce perfide tant en dépit de m-même L'arrachant de vos bras le traînait au Baptême.
y ana de siuila iearea aa ll dis feeletia Que n’en pouuoit tirer voſtre amour curieux,	y ana de sivila iearea a ll dis fèletia Que n'en pouvait tirer votre amour curieux,
PAVLINE.	PAULINE.
Tu me blâmois alors d’eſtre trop importune.	Tu me blâmais alors d'être trop importune.
SIRATONICE.	SIRATONICE.
Ie ne prévoyois pas vne telle infortune.	Je ne prévois pas une telle infortune.
AVLINE.	AULINE.
Auant qu’abandonner mon ame à mes douleurs Il me faut eſſayer la force de mes pleurs, En qualité de femme ou de fille j’eſpere Qu’ils vaincront en époux ou flechiront vn pere.	Avant qu'abandonner mon âme à mes douleurs Il me faut essayer la force de mes pleurs, En qualité de femme ou de fille j'espère Qu'ils vaincront en époux ou fléchiront un père.
Que ſi ſur l’vn & l’autre ils manquent de pouuoir Ie ne prendray conſeil que de mon deſeſpoir.	Que si sur l'un et l'autre ils manquent de pouvoir Je ne prendrai conseil que de mon désespoir.
Aprends-moy cependant ce qu’ils ont fait au Tẽple.	Apprends-moi cependant ce qu'ils ont fait au Tẽple.
C’eſt vne impieté qui n’eut jamais d’exemple.	C'est une impiété qui n'eût jamais d'exemple.
Ie ne puis y penſer ſans fremir à l’inſtant, Et crains de faire un crime en vous la racontant.	Je ne puis y penser sans frémir à l'instant, Et crains de faire un crime en vous la racontant.
Apprenez en deux mots leur brûtale inſolence.	Apprenez en deux mots leur brutale insolence.
Le Preſtre avoit à peine obtenu du ſilence, Et deuers l’Orient aſſeuré ſon aſpect.	Le Prêtre avait à peine obtenu du silence, Et devers l'Orient assuré son aspect.
Que l’on s’eſt apperçeu de leur peu de reſpect.	Que l'on s'est aperçu de leur peu de respect.
A chaque occaſion de la ceremonie A l’enuy l’un & l’autre eſtaloit ſa manie, Des myſteres ſacrez hautement ſe mocquoit, Et traitoit de mépris les Dieux qu’on inuoquoit;	À chaque occasion de la cérémonie A l'envi l'un et l'autre étalait sa manie, Des mystères sacrés hautement se moquait, Et traitait de mépris les Dieux qu'on invoquait;
Tout le peuple en murmure & Felix s’en offence, Mais tous deux s’emportant à plus d’irreverente.	Tout le peuple en murmure et Félix s'en offense, Mais tous deux s'emportant à plus d'irreverente.
Quoy, luy dit Polyeucte en éleuant ſa voix, Adorez-vous des Dieux, ou de pierre, ou de bois?	Quoi, Seigneur dit Polyeute en élevant sa voix, Adorez-vous des Dieux, ou de pierre, ou de bois?
Icy diſpenſez-moy du recit des blaſphemes Qu’ils ont vomy tous deux contre Iupiter meſmes, L’adultere & l’inceſte en eſtoient les plus doux, Ovez Felix, ſuit-il, oyez peuple, oyez tous, Le Dieu de Polyeucte & celuy de Nearque De la terre & du Ciel eſt l’abſolu Monarque Seul maiſtre du deſtin, ſeul eſtre independant, Subſtance qui jamais ne reçoit d’accident, C’eſt ce Dieu des Chreſtiens qu’il faut qu’on remerDes victoires qu’il donne à l’Empereur Decie, ( cie Luy ſeul tient en ſa main le ſuccez des combats, Il le veut élever, il le peut mettre bas.	Ici dispensez-moi du récit des blâmes Qu'ils ont vomi tous deux contre Jupiter mêmes, L'adultère et l'inceste en étaient les plus doux, Ovez Félix, suit-il, oyez peuple, oyez tous, Le Dieu de Polyeute et celui de Nearque De la terre et du Ciel est l'absolues Soie Seul maître du destin, seul être indépendant, Substance qui jamais ne reçoit d'accident, C'à ce Dieu des Chrétiens qu'il faut qu'on remerDes victoires qu'il donne à l'Empereur Ie, ( cie Mpseul rie en sa main le succez des combats, Il leveutélever, il le peut mettre bas,
Sa bonté, ſon pouuoir, ſa juſtice eſt immenſe.	Sa bonté, son pouvoir, sa justice est immense.
C’eſt luy ſeul qui punit.	C'est lui seul qui punit.
luy ſeul qui recompenſe, Vous adorés en vain des monſtres impuiſſans.	Ne seul qui récompense, Vous adorez en vain des monstres impuissants.
Se iettans à ces mots ſur le vin & l’encens, Apres en avoir mis les ſaints vaſes par terre.	Se jetant à ces mots sur le vin et l'encens, Après en avoir mis les saints vases par terre.
Sans crainte de Felix;	Sans crainte de Félix;
ſans crainte du tonnerre, D’vne fureur pareille ils courent à l’Autel.	sans crainte du tonnerre, D'une fureur pareille ils courent à l'Autel.
Dieux, à-t’on veu iamais, à t’on rien veu de tel?	Dieux, à-t-on vu jamais, à t'on rien vu de tel?
Du plus puiſſant des Dieux nous voyons la ſtatue Par vne main impie à leurs pieds abbatue.	Du plus puissant des Dieux nous voyons la statue Par un main impie à leurs pieds abatue.
Les myſteres troublez, le temple profané, La fuite & les clameurs d’vn peuple mutiné Qui craint d’eſtre accablé ſous le couroux celeſte Felix.	Les mystères troublés, le temple profané, La fuite et les clameurs d'un peuple mutiné Qui craint d'être accablé sous le courroux celeste Félix.
, mais le voicy qui vous dira le reſte.	, mais le voici qui vous dira le reste.
PAULINE.	PAULINE.
Que ſon viſage eſt ſombre, & plein d’émotion!	Que son visage est sombre, et plein d'émotion!
Qu’il monſtre de triſteſſe & d’indignation!	Qu'il montre de tristesse et d'indignation!
SCENE III.	SCÈNE III.
ILELT, TAVENE, SIRATONICE,	ILLELT, TAUENE, SIRATONICE,
FELIX.	FELIX.
y Né telle inſolence avoir osé paroiſtre !	y Né telle insolence avoir osé paraître !
V En publiclà ma vuë!	V En publiclà ma vue!
il en mourra le traiſtre.	il en mourra le traître.
PAVLINE.	PAULINE.
Souffrez que voſtre fille embraſſe vos genoux.	Souffrez que votre fille embrasse vos genoux.
FELIX.	FELIX.
Je parle de Nearque & non de voſtre époux, Quelque indigne qu’il ſoit de ce doux nõ de gendre Mon ame luy conſerve un ſentiment plus tendre, La grandeur de ſon crime & de mon déplaiſir N’a pas eſteint l’amour qui me l’a fait choiſir.	Je parle de Narque et non de votre époux, Quelque indigne qu'il soit de ce doux nom de gendre Mon âme quelque conserve un sentiment plus tendre, La grandeur de son crime et de mon déplaisir N'a pas éteint l'amour qui me l'a fait choisir.
PAVLINE.	PAULINE.
Je n’attendois pas moins de la bonté d’un pere.	Je n'attendais pas moins de la bonté d'un père.
FELIX.	FELIX.
Je pouvois limmoſer a ma juſte colele, Car vous n’ignorez pas à quel comble d’horreur De ſon audace impie a monté la fureur, Vous l’avez pû ſçavoir du moins de Stratonice.	Je pouvais limmoser à ma juste colle, Car vous n'ignorez pas à quel comble d'horreur De son audace impie a monté la fureur, Vous l'avez pu savoir du moins de Stratonice.
PAVLINE.	PAULINE.
Je ſçay que de Nearque il doit voir le ſupplice.	Je sais que de Narque il doit voir le supplice.
FELIX.	FELIX.
Du conſeil qu’il doit prendre il ſera mieux inſtruit Quand il verra punir celuy qui l’a ſeduit.	Du conseil qu'il doit prendre il sera mieux instruit Quand il verra punir celui qui l'a séduit.
Au ſpectacle ſanglant d’un amy qu’il faut ſuivre, La crainte de mourir & le deſir de vivre Reſſaiſiſſent une ame avec tant de pouvoir Que qui voit le treſpas ceſſe de le vouloir.	Au spectacle sanglant d'un ami qu'il faut suivre, La crainte de mourir et le désir de vivre Ressaisissent une âme avec tant de pouvoir Que qui voit le trépas cesse de le vouloir.
L’exemple touche plus que ne fait la menace, Cette indiſcrette ardeur tourne bien-toſt en glace, N’en ayez plus l’eſprit ſi fort inquietté, Il ſe repentira de ſon impieté.	L'exemple touche plus que ne fait la menace, Cette indiscrète ardeur tourne bientôt en glace, N'en ayez plus l'esprit si fort inquiété, Il se repentira de son impiété.
PAULINE.	PAULINE.
Quoy!	Quoi!
vous eſperez donc qu’il change de courage?	vous espérez donc qu'il change de courage?
*EETIEI Aux deſpens de Nearque il doit ſe rendre ſage.	A*ETIEI Aux dépens de Narque il doit se rendre sage.
PAULINE.	PAULINE.
Il le doit, mais helas!	Il le doit, mais hélas!
où me renuoyez-vous, Et quels triſtes hazards ne court point mon eſpoux Si de ſon incouſtance il faut qu’enfin j’eſpere Le bien que j’eſperois de la bonté d’vn pere?	où me renvoyez-vous, Et quels tristes hasards ne court point mon époux Si de son incoutance il faut qu'enfin j'espère Le bien que j'espérais de la bonté d'un père?
FELIX.	FELIX.
Ie luy fais trop de grace encor de conſentir, Qu’il éuite la mort par vn prompt repentir, La meſme peine eſt deuë à des crimes ſemblables Et mettant differenee entre ces deux coupables, I’ay trahy la juſtice à l’amour paternel, Ie me ſuis fait pour luy moy-meſme criminel, Et j’attendois de vous au milieu de vos craintes Plus de remerciement que je n’entends de plaintes.	Je me fais trop de grâce encor de consentir, Qu'il éuite la mort par un prompt repentir, La même peine est due à des crimes semblables Et mettant différence entre ces deux coupables, J'ai trahi la justice à l'amour paternel, Je me suis fait pour lui moi-même criminel, Et j'attendais de vous au milieu de vos craintes Plus de remerciement que je n'entends de plaintes.
PAVLINE.	PAULINE.
Dequoy remercier qui ne me donne rien !	Dequoy remercier qui ne me donne rien !
Ie ſçay qu’elle eſt l’humeur & l’eſprit d’vn Chreſtiẽ, Dans l’obſtination juſqu’au bout il demeure, Vouloir ſon repentir e ert ordonner qu'il ineure.	Je sais qu'elle est l'humeur et l'esprit d'un Chrétien, Dans l'obstination jusqu'au bout il demeure, Vouloir son repentir e ert ordonner qu'il ineure.
FELIX.	FELIX.
on gruee eit en la main c’eſt à luy d’y reſver.	on grue eit en la main c'est à lui d'y rêver.
PAVLINE.	PAULINE.
Faites-la toute entiere.	Faites-la toute entière.
FELIX.	FELIX.
PAVLINE.	PAULINE.
Ne l'abandonnez pas aux fureurs de ſa ſecte.	Ne l'abandonnez pas aux fureurs de sa secte.
FELIX.	FELIX.
je l’abandonne aux loix qu’il raut que je reſpecte.	je l'abandonne aux lois qu'il raut que je respecte.
PAVLINE.	PAULINE.
Eſt-ce ainſi que d’un gẽdre un beau pere eſt l’appuy.	Est-ce ainsi que d'un gendre un beau père est l'appui.
PELIX.	PELIX.
Qu’il faſſe autant pour ſoy comme je fais pour luy.	Qu'il fasse autant pour soi comme je fais pour lui.
n Elien Mais il eſt aveuglé.	 Nien Mais il est aveuglé.
FELIX.	FELIX.
Mais il ſe plaiſt à l’eſtre, Qui cherit ſon erreur ne la veut pas connoiſtre.	Mais il se plaît à l'être, Qui chérit son erreur ne la veut pas connaître.
PAVLINE.	PAULINE.
Mon pere, au nom des Dieux.	Mon père, au nom des Dieux.
TELIX.	TELIX.
Ne les reclamez pas Ces Dieux, dont l’interelt demande ion trépas.	Ne les réclamez pas Ces Dieux, dont l'intèrelt demande ion trépas.
PAVLINE Ils écoutent nos vœux.	PAULINE Ils écoutent nos vœux.
FELIX.	FELIX.
Et bien, qu’il leur en faſſe.	Et bien, qu'il leur en fasse.
PAVLINE.	PAULINE.
Au nom de l’Empereur dont vous tenez la place.	Au nom de l'Empereur dont vous tenez la place.
FELIX.	FELIX.
I’ay ſon pouvoir en main, mais s’il me l’a commis C’eſt pour le deple jer contre ſes ennemis.	J'ai son pouvoir en main, mais s'il me l'a commis C'est pour le déple jer contre ses ennemis.
Polyeucte l’eſt il?	Polieute l'est -il?
PAVLINE	PAULINE
FEETR.	FETR.
Tous Chreſtiens ſont rebelles.	Tous Chrétiens sont rebelles.
PAVLINE.	PAULINE.
N’eſcoutez point pour luy ces maximes cruelles, En eſpouſant Pauline il s’eſt fait voſtre ſang.	N'écoutez point pour lui ces maximes cruelles, En épousant Pauline il s'est fait votre sang.
FELIX.	FELIX.
Je regarde ſa faute & ne voy plus ſon ſang Où le crime d’Eſtat ſe meſle au ſacrilege Le lang ny l’aitie n'ont pius de privilege.	Je regarde sa faute et ne vois plus son sang Où le crime d'État se mêle au sacrilège Le lang ny l'aitie n'ont pius de privilège.
PAULINE.	PAULINE.
Quel excez de rigueur!	Quel excès de rigueur!
FELIX.	FELIX.
Moindre que ſon forfait.	Moindre que son forfait.
PAULINE.	PAULINE.
O de monlonge arireua trop vencabieencei Voyez qu’avecques luy vous perdez voſtre fille.	Ô de monlonge arrireua trop vencabieencei Voyez qu'avec lui vous perdez votre fille.
FELIX.	FELIX.
Les Dieux & l’Empereur ſont plus que ma famille.	Les Dieux et l'Empereur sont plus que ma famille.
PAULINE.	PAULINE.
La perte de tous deux ne vous peut arreſter.	La perte de tous deux ne vous peut arrêter.
FELIX.	FELIX.
I’ay les Dieux & Decie enſemble à redouter.	J'ai les Dieux et Décie ensemble à redouter.
Mais nous n’avons encor à craindre rien de triſte, Dans ſon aueuglement penſez-vous qu’il perſiſte?	Mais nous n'avons encor à craindre rien de triste, Dans son aveuglement pensez-vous qu'il persiste?
s’il nous ſembloit tantoſt courit à ſon mal-heur, C’eſt d’vn nouueau Chreſtien la premiere chaleur.	s'il nous semblait tantôt courit à son malheur, C'est d'un nouveau Chrétien la première chaleur.
PAULINE.	PAULINE.
Si vous l’aymez encor, quittez cette eſperance Que deux ſois en vn jour il change de croyance, Outre que les Chreſtiens ont plus de dureté Vous attendez de luy trop de legereté.	Si vous l'aimez encor, quittez cette espérance Que deux sois en un jour il change de croyance, Outre que les Chrétiens ont plus de dureté Vous attendez de re trop de légèreté.
Ce n’eſt point vne erreur avec le lait ſuccée Que ſans examiner ſon ame eſt embraſée, Polyeucte eſt Chreſtien parce qu’il l’a voulu, Et vous portoit au Temple vn eſprit reſolu.	Ce n'est point une erreur avec le lait succée Que sans examiner son âme est embrasée, Polyute est Chrétien parce qu'il l'a voulu, Et vous portait au Temple un esprit résolu.
Vous devez preſumer de luy comme du reſt e, Le trépas n’eſt pour eux ny honteux, ny funeſte, Ils cherchent de la gloire à meſpriſer les Dieux, Aueugles pour la terre ils aſpirent aux Cieux;	Vous devez présumer de lui comme du rest e, Le trépas n'est pour eux homme honteux, été funeste, Ils cherchent de la gloire à mépriser les Dieux, Aveugles pour la terre ils aspirent aux Cieux;
Et croyans que la mort leur en ouvre la porte.	Et croyant que la mort leur en ouvre la porte.
Tourmentez, déchirez, aſſaſſinez, n’importe;	Tourmentez, déchirez, assassinez, n'importe;
Les ſupplices leur ſont ce qu’à nous les plaiſirs, Et les ménent au but où tendent leurs deſirs :	Les supplices leur sont ce qu'à nous les plaisirs, Et les mènent au but où tendent leurs désirs :
Lu mort la plus mraſie nis l'appellent Martyr.	Lu mort la plus mrasie nis l'appellent Martyr.
FELIX.	FELIX.
Et bien donc Polyeucte aura ce qu’il deſire, N’en parlons plus.	Et bien donc Polyute aura ce qu'il désire, N'en parlons plus.
PAVLINE.	PAULINE.
Mon pere.	Mon père.
SCENE IV.	SCÈNE IV.
FELIX, ALBIN, PAVLINE, STRATONICE.	FELIX, ALBIN, PAULINE, STRATONICE.
FELIR.	FELIR.
Lbin, en eſt-ce fait?	Lbin, en est-ce fait?
ALBIN.	ÀLBIN.
Ouy, Seigneur, & Nearque a payé ſon forfait,	Oui, Seigneur, et Nearque a payé son forfait,
FELIX.	FELIX.
Et noſtre Polyeucte a veu trancher ſa vie?	Et notre Polieute a vu trancher sa vie?
ALBIN.	ÀLBIN.
Il l’a veu, mais, helas!	Il l'a vu, mais, hélas!
avec un œil d’envie, Il brûle de le ſuivre au lieu de reculer, Et ſon cœur s’affermit au lieu de s’ébranler.	avec un œil d'envie, Il brûle de le suivre au lieu de reculer, Et son cœur s'affermit au lieu de s'ébranler.
PAVLINE.	PAULINE.
Je vous le unois bienjencorun eoups Mon pere , Si jamais mon reſpect a pû vous ſatisfaire, Si vous l’avez prisé ſi vous l’avez cheri.	Je vous le unais bienjencorun eoups Mon père , Si jamais mon respect a pu vous satisfaire, Si vous l'avez prisé si vous l'avez chéri.
FELIX.	FELIX.
Vous aymez trop, Pauline, un indigne mary.	Vous aimez trop, Pauline, un indigne mari.
PAVLINE.	PAULINE.
Je l’ay de voſtre main, mon amour eſt ſans crime, Il eſt de voſtre choix la glorieuſe eſtime, Et j’ay pour l’accepter eſteint les plus beaux feux Qui d’vne ame bien née ayent merité les vœux.	Je l'ai de votre main, mon amour est sans crime, Il est de votre choix la glorieuse estime, Et j'ai pour l'accepter éteint les plus beaux feux Qui d'une âme bien née aient mérité les vœux.
Au nom de cette aueugle & prompte obeyſſance Que j’ay touſiours renduë aux loix de la naiſſance Si vous auez pû tout ſur moy, ſur mon amour ;	Au nom de cette aveugle et prompte obéissance Que j'ai toujours rendue aux lois de la naissance Si vous avez pu tout sur moi, sur mon amour ;
Que ie puiſſe ſur vous quelque choſe à mon tour, Par ce iuſte pouuoir à preſent trop à craindre, Par ces beaux ſentimens qu’il ma fallu contraindre Ne m’oſtez pas vos dons;	Que personne puisse sur vous quelque chose à mon tour, Par ce juste pouvoir à présent trop à craindre, Par ces beaux sentiments qu'il ma fallu contraindre Ne m'ôtez pas vos dons;
ils ſont chers à mes yeux, Et m’ont aſſez couſté pour m’eſtre precieux.	ils sont chers à mes yeux, Et m'ont assez coûté pour m'être précieux.
FELIX.	FELIX.
Vous m’importunez trop.	Vous m'importunez trop.
PAULINE.	PAULINE.
Dieux!	Dieux!
que viens-je d’entendre!	que viens-je d'entendre!
FELIX.	FELIX.
Ie n’ayme la pitié qu’au prix que j’en veux prendre Par tant de vains efforts malgré moy m’en toucher C’eſt perdre avec le temps des pleurs à me faſcher, Vous m’en avez donné, mais ie veux bien qu’on ſçache Que je la deſauouë alors qu’on me l’attache.	Je n'aime la pitié qu'au prix que j'en veux prendre Par tant de vains efforts malgré moi m'en toucher C'est perdre avec le temps des pleurs à me fâcher, Vous m'en avez donné, mais ainsi veux bien qu'on sache Que je la désavoue alors qu'on me l'attache.
Preparez vous à voir ce mal-heureux Chreſtien, Et faites voſtre effort quand j’auray fait le mien, Allez, n’irritez plus vn pere qui vous ayme.	Préparez -vous à voir ce malheureux Chrétien, Et faites votre effort quand j'aurai fait le mien, Allez, n'irritez plus un père qui vous aime.
Et tachez d’obtenir voſtre eſpoux de luy meſme Tantoſtt juſques jcy ie le feray venir.	Et tachez d'obtenir votre époux de lui -même Tantôt jusques ici ici le ferai venir.
Cependant quittez-nous, je veux l’entretenir.	Cependant quittez-nous, je veux l'entretenir.
PAULINE.	PAULINE.
De grace permetrez.	De grâce permetrez.
FELIX.	FELIX.
Laiſſez nous ſeuls, vous dis-ie, Voſtre douleur m’offence autant qu’elle m’aflige, A gagner Polyeucte appliquez tous vos ſoins, Vous avancerez plus en m’importunant moins.	Laissez nous seuls, vous dis-je, Votre douleur m'offense autant qu'elle m'aflige, A gagner Polieute appliquez tous vos soins, Vous avancerez plus en m'importunant moins.
SCENE V.	SCÈNE V.
FELIX, ALBIN.	FELIX, ALBIN.
FELIX.	FELIX.
ALbin comme eſt-il mort:	ALbin comme est-il mort:
ALBIN.	ÀLBIN.
En brutal, en impie, En bravant les tourmens, en dédaignant la vie, Sans regret, ſans murmure, & ſans eſtonnement, Dans l’obſtination & l’endurciſſement, Cõme un Chreſtien enfin le blaſpheme à la bouche,	En brutal, en impie, En bravant les tourments, en dédaignant la vie, Sans regret, sans murmure, et sans étonnement, Dans l'obstination et l'endurcissement, Comme un Chrétien enfin le blaspheme en la bouche,
Et l’autre?	Et l'autre?
FELIX.	FELIX.
ALBIN.	ÀLBIN.
Je l’ay dit déja, rien ne le touche, Loin d’en eſtre abattu ſon cœur en eſt plus haut, On l’a violenté pour quitter l’échaffaut, Il eſt dans la priſon où je l’ay veu conduire, aaulo coue derces puo prele encor de le leduire,	Je l'ai dit déjà, rien ne le touche, Loin d'en être abattu son cœur en est plus haut, On l'a violenté pour quitter l'échaffaut, Il est dans la prison où je l'ai vu conduire, àaulo coue derces puo pré encor de le leduire,
ELIX.	ÉLIX.
Que je ſuis mal-heureux!	Que je suis malheureux!
ALBIN.	ÀLBIN.
Tout le monde vous plaint.	Tout le monde vous plaint.
FELIX.	FELIX.
On ne ſçait pas les maux dõt mon cœur eſt atteint De penſer ſur penſer mon ame eſt agitée, De ſoucis ſur ſoucis elle eſt inquietée, Je ſens l’amour, la haine & la crainte & l’eſpoir, La ioye & la douleur tour à tour l’émouuoir, I’entre en des ſentimens qui ne ſont pas croyables, I’en’ay de violens, j’en ay de pitoya bles, I’en ay de genereux qui n’oſeroient agir, I’en ay meſmes de bas & qui me font rougir, I’ayme ce mal heureux que j’ay choiſi pour gendre Ie hay l’aueugle erreur qui le vient de ſurprendre Ie déplore ſa perte, & le voulant ſauver I’ay la gloire des Dieux enſemble à conſeruer, Ie redoute leur foudre & celuy de Decie, Il y va de ma charge, il y va de ma vie, Ainſi tantoſt pour luy je m’expoſe au trepas, Et tantoſt ie le perds pour ne me perdre pas.	On ne sais pas les maux dont mon cœur est atteint De penser sur penser mon âme est agitée, De soucis sur soucis elle est inquiétée, Je sens l'amour, la haine et la crainte et l'espoir, La joie et la douleur tour à tour l'émouvoir, J'entre en des sentiments qui ne sont pas croyables, J'en ai de violents, j'en a de posta blés, J'en ai de généreux qui n'oseraient agir, J'en ai mêmes de bas et qui me font rougir, J'aime ce mal heureux que j'a choisi pour gendre Ie h eu erreur qui le vient de surprendre Ie déplore sa perte, et le et à Ma la vie des Dieux ensemble conserver, Ie redoute le foudre et le de Decie, Il y vade ma re, il y va le ma vie, Ainsi ô pour lui je expose au trépas, Et tantôt ie le perds vou ne me perdre pas.
AED IN Decie excuſera l’amitié d’vn beau pere, Et d’ailleurs Polyeucte eſt d’un ſang qu’on revere.	AD IN Décie excusera l'amitié d'un beau père, Et d'ailleurs Polieute est d'un sang qu'on révère.
FELIX.	FELIX.
A punir les Chreſtiens ſon ordre eſt rigoureux, Et plus l’exemple eſt grand, plus il eſt dangereux, oine dirtigue pome quand ronenee ent publique, Et lors qu’on diſſimule vn crime domeſtique Par quelle authorité peut-on, par quelle loy Chaſtier en autruy ce qu’on ſouffre chez ſoy?	À punir les Chrétiens son ordre est rigoureux, Et plus l'exemple est grand, plus il est dangereux, oine dirtigue pome quand ronenee ent publique, Et lors qu'on dissimule un crime domestique Par quelle autorité peut-on, par quelle loi Châtier en autrui ce qu'on souffre chez soi?
ALBIN.	ÀLBIN.
Si vous n’oſez avoir d’egard à ſa perſonne, Eſcrivez à Decie afin qu’il en ordonne.	Si vous n'osez avoir d'égard à sa personne, Écrivez à Décec afin qu'il en ordonne.
FELIX.	FELIX.
Seuere me perdroit ſi i’en vſois ainſi.	Seuère me perdrait si j'en usais ainsi.
Sa haine & ſon pouuoir font mõ plus grand ſoucy:	Sa haine et son pouvoir font mõ plus grand souci:
Si j’avois differé de punir vn tel crime, Quoy qu’il ſoit genereux, quoy qu’il ſoit magnaniIl eſt homme, & ſenſible, & je l’ay dedaigné, (me, Et des meſpris receus ſon eſprit indigné Que met au deſeſpoir cét Hymen de Pauline.	Si j'avais différé de punir un tel crime, Quoi qu'il soit généreux, quoi qu’il soit magnaniIl est homme, et sensible, et je l'a igné, (me, Et des mépris reçus son esprit indigné Que met au désespoir cet Hymen de Pauline.
Du courroux de Decie obtiendroit ma ruine.	Du courroux de Décie obtiendrait ma ruine.
l'our vanger vn affront tout ſemble eſtre permis, Et les occaſions tentent les plus remis.	l'our venger un affront tout semble être permis, Et les occasions tentent les plus remis.
Peut eſtre (& ce ſoupçon n’eſt pas ſans apparence) Il r’allume en ſon cœur deſia quelque eſperance, Et croyant bien-toſt voir Polyeucte puny Il r’appelle vn amour à grand peine banny.	Peut être (P ce soupçon n'est pas sans apparence) Il rume en son cœur déjà quelque espérance, Et croyant bientôt voir Polieute puni Il rappelle un amour à grand peine banni.
Iuge ſi ſa colere en ce cas implacable Me feroit innocent de ſauuer un coupable.	Juge si sa colère en ce cas implacable Me ferait innocent de sauver un coupable.
Et s’il m’épargneroit voyant par mes bontez Vne ſeconde fois ſes deſſeins auortez.	Et s'il m'épargnerait voyant par mes bontés Vaine seconde fois ses desseins avortez.
Te diray-je vn penſer, Indigne, bas & laſche?	Te dirai-je un penser, Indigne, bas et lâche?
Ie l’étouffe, il renaiſt, il me flatte & me faſche, L’ambition touſiours me le vient preſenter, Et tout ce que je puis c’eſt de le deteſter.	Je l'étouffe, il renaît, il me flatte et me fâche, L'ambition toujours me le vient présenter, Et tout ce que je puis c'est de le détester.
Polyeucte eſt jey l’appuy de ma famille, Mais ſi par ſon treſpas l’autre épouſoit ma fille, l’acquerrois bien par là de plus puiſſans appuys Qui me mettroiẽt plus haut cent fois que ie ne ſuis.	Polieute est jei l'appui de ma famille, Mais si par son trépas l'autre épousait ma fille, l'acquerrais bien par là de plus puissants appuis Qui me mettraient plus haut cent fois que je ne suis.
nion cœui en prent par force vne maligne joye, Mais que pluſtoſt le Ciel à tes yeux me foudroye Qu’à des penſers ſi bas je puiſſe conſentir Que julques-Ia ma gloire ola ſe dementir.	nion cetui en prend par force une maligne joie, Mais que plutôt le Ciel à tes yeux me foudraie Qu'à des pensers si bas je puisse consentir Que julques-Ia ma gloire ola se démentir.
ALBIN.	ÀLBIN.
Voſtre cœur eſt trop bon, & voſtre ame trop haute.	Votre cœur est trop bon, et votre âme trop haute.
muis vous reſoluez-vous à punir cette faute;	muis vous résolvez-vous à punir cette faute;
FELIX.	FELIX.
Ie vay dans la prilon fane tout inonenort A vaincre cet eſprit par l’effroy de la mort, l’employeray puis apres le pouuoir de Pauline.	Je vais dans la prilon fane tout inonenort A vaincre cet esprit par l'effroi de la mort, l'emploierai puis après le pouvoir de Pauline.
ALBIN.	ÀLBIN.
Que ferez-vous enfin ſi touſiours il s’obſtine!	Que ferez-vous enfin si toujours il s'obstine!
