A MADAME DV RQVLET.	À MADAME DU RQULET.
Adieu mon pere adieu nous ne ſçaurions manger.	Adieu mon père adieu nous ne saurions manger.
Thobie le pere.	Thobie le père.
Tour mienmomcnenenjampremcongé de ta mere,	Tour mienmomcnenenjampremcongé de ta Mère,
Tobie le ieune.	Tobie le jeune.
Si ie luy dis adieu i’accroiſtray ſa miſere.	Si ici ici dis adieu j'accroîtrai sa misère.
Thobie le pere Meſſager mon amy, ayez touſiours le ſoin De mon vnique fils, ie ne retiendray point Vous eſtant de retour voſtre peine & ſallaire, Dieu vous conduiſe en paix.	Thobie le père Messager mon ami, ayez toujours le soin De mon unique fils, toujours ne retiendrai point Vous étant de retour votre peine et salaire, Dieu vous conduise en paix.
Thobie le ieune.	Thobie le jeune.
Ad em monpaaut e pere, Ma cheremere adieu parlez à vostre fils.	Ad em monpaaut e ère, Ma chère adieu parlez à votre fils.
Anne.	Anne.
Helas mon cher enfant plus parler ie ne puis.	Hélas mon cher enfant plus parler ie ne puis.
LEnrier Madame appaiſez-vous quittez ceſte triſteſſe, Car il faut pour vn temps que vostre fils vous la ſſe, Non non ne redoutez qu’il demeure tamais, Parauant qu’il ſoit peu vous en reſiouyres.	LEnrier Madame apaisez-vous quittez cette tristesse, Car il faut pour un temps que votre fils vous la sse, Non non ne redoutez qu'il demeure tamais, Paravant qu'il soit peu vous en réjouirez.
Thobie le ieune.	Thobie le jeune.
Allons mon compagnon, le grand Dieu Tout puiſſant Soit au millieu de nous, cheminons iuſqu’a tant Que le ſoir ſoit venu, il faira clair de Lune, didis ou togerons nous?	Allons mon compagnon, le grand Dieu Tout puissant Soit au millieu de nous, cheminons jusqu'a tant Que le soir soit venu, il faira clair de Lune, did ou togerons nous?
Azarie.	Azarie.
Là ou i'ay de couſtume.	Là ou j'ai de coutume.
Ils s’acheminent & la mere ſe compialrite	Ils s'acheminent et la mère se compialrite
Anns mere de Thobie.	Hanns mère de Thobie.
Ochetif que tu es ô pauure malheureux, Ne te ſoffiſoit il d’auoir perdu les yeux, Sans enuoyer ainſi ton cher enfant Thobie En ſi lointain pays, tu n’as donc plus enuie De viure deſormais qu’en miſere & douleur:	Ochetif que tu es ô pauvre malheureux, Ne te souffisait -il d'avoir perdu les yeux, Sans envoyer ainsi ton cher enfant Tobie En si lointain pays, tu n'as donc plus envie De viure désormais qu'en misère et douleur:
Pleust or (a lEternel )ie le dy de bon cœur.	Plût or (a lÉternel )ie le dis de bon cœur.
Que ie fuſſes deſia ou ie ſeray ſans doubte Parauant qu’il ſoit peu tant ſon mal ie redoubte.	Que pu fusses déjà ou ainsi serai sans doute Paravant qu'il soit peu tant son mal On redoute.
Thobie le pere.	Thobie le père.
Nuiulent ces diſcours, que ſernem ces propos, Allez nou reuertons nostre ſits oten diſpos, A tout le moins il est accompagné d’vn guide Qui congnoiſt le pays & ſi n'est point timide.	Nuiulent ces discours, que serne ces propos, Allez nou revertons notre sits oten dispos, À tout le moins il est accompagné d' guide Qui connaît le pays et si n'est point timide.
Thobie & Azarie reuiennent.	Thobie et Azarie reviennent.
Thobie le ieune.	Thobie le jeune.
N’estes vous point laßé comme moy, Azarie, I’ay ſi grand mal es pieds permettez ie vous prie Que ie les laue vn peu dedans ce fleuue icy, Repoſez vous pendant.	N'êtes vous point lassé comme moi, Azarie, J'ai si grand mal ès pieds permettez ie -vous prie Que ie les laue un peu dedans ce fleuve ici, Reposez vous pendant.
Il laue les pieds & crie.	Il lave les pieds et crie.
Ah!	Ah!
qu'est ce que voicy.	qu'est ce que voici.
Azarie.	Azarie.
Qu’auez vous a crier, quelle peur, quelle crainte Eſt ſi ſoudainement dedans voſtre ame enprainte.	Qu'avez -vous a crier, quelle peur, quelle crainte Est si soudainement dedans votre âme enprainte.
Thobie le ieune.	Thobie le jeune.
Las c’est vn animal ou bien quelque poiſſon, Qui m’a grandement mordz par le bout du tallon, Ne te bopez pous pomtientz comme il pestille, Iamais ie n’eux tel' peur?	Las c'est un animal ou bien quelque poisson, Qui m'a grandement mords par le bout du tallon, Ne te bopez pous pomtients comme il pétille, Jamais tu n'eux tel peur?
Azarie.	Azarie.
Prends le il t’eſt vtile, Arrache luy le foye, le giſier & le cœur, Et te mneisdanstenjat & laje ahtane pehta	Prends le il t'est utile, Arrache Rome le foie, le gisier et le cœur, Et te médisdanstenjat et laje ahane phehta
ACTE Q VATRIESME.	ACTE Q VATRIESME.
Tiloble le teune.	Tiloble le teune.
Azarie.	Azarie.
Le Chœur.	Le Chœur.
Raguel.	Raguel.
Sarra.	Sarra.
Anne mere de Sarra.	Anne mère de Sarra.
La Seruante.	La Servante.
THOBIE le ieune.	THOBIE le jeune.
Ites moy s’il vous plaist, d̂ mon frere Azarie, Quels remedes voicy, dites moyie vous prie, Dequoy peuuent guerir & le foye & le cœur, Et le fiel du poiſſon qui m'a faict ſi grand peur.	Ites moi s'il vous plaît, d mon frère Azarie, Quels remèdes voici, dites moyie vous prie, Dequoi peuvent guérir et le foie et le cœur, Et le fiel du poisson qui m'a fait si grand peur.
Azarie.	Azarie.
Is cœur estant bruſlé dans vne ardante braiſe, Si le diable tient l’homme où la femme a mal-aiſe Il s’enfuira bien toſt, pour ne pouuoir ſouffrir C’este eſpaiſſe fumee & s’il pouuoit mourir, il mourroit promptement quand a l’autre remede Tu verras que le fiel est vn ſingulier ayde Pour recouurir la veue & nettoyer tes yeuxe, De ceux qui ont perdu le bel aſpect des cieux.	Is cœur étant brûlé dans une ardante braise, Si le diable tient l'homme où la femme a malaise Il s'enfuira bien tôt, pour ne pouvoir souffrir C'être épaisse fumée et s'il pouvait mourir, il mourroit promptement quand à l'autre remède Tu verras que le fiel est un singulier aide Pour recouvrir la vue et nettoyer tes yeux, De ceux qui ont perdu le bel aspect des cieux.
Thobie le ieune.	Thobie le jeune.
Mon frere & mon amy ſi vous me voulez croire Parauant que la nuit tende ſa robbe noire, Deſſus noſtre Oriſon, nous ex yrons loger A fin que nous puißions vn peu nous repoſer.	Mon frère et mon ami si vous me voulez croire Paravant que la nuit tende sa robe noire, Dessus notre Orison, nous ex irons loger A fin que nous puissions un peu nous reposer.
Azarie.	Azarie.
Allons i’en ſuis content, ie recognois vn homme Iſfu de tes parens, qui Raguel ſe nomme, Demourant icy pres, il eſt ſi plain de bien, D’argent, terres, troupeaux, mais tout cela n’eſt rien Au prix du beau threſor de ſa noble famille, C’eſt d’vne belle, chaſte, & gracieuſe fille Vnique de ſon pere, & de ſa mere außsi, Elle eſt de chacun d’eux l’agreable ſoucy Et ſera d’vn mary bien-toſt accompagnee, Car ils n’ont autre eſpoir de future lignee Qu'en elle ſeulement, il te la ſaut donner Tu la pourras d’icy auec toy emmener:	Allons j'en suis content, je reconnais un homme Isfu de tes parents, qui Raguel se nomme, Demourant ici pres, il est si plein de bien, D'argent, terres, troupeaux, mais tout cela n'est rien Au prix du beau thresor de sa noble famille, C'est d'une belle, chaste, et gracieuse fille Et de sa mère, et de sa mère aussi, Elle est de chacun d'eux l'agréable souci Est sera d'un mari bientôt accompagnée, Car ils n'ont autre espoir de fut lignée 'en elle seulement, il te la elle donner Te saut pourras d'y auec à toise:
Demande la au pere parlant de bonne grace, A lors qu’il entendra que tu es de ſa race Et te voyant ainſi honneſte & vertueux, Il te la donnera & s’en tiendra heureux.	Demande la au père parlant de bonne grâce, À lors qu'il entendra que tu es de sa race Et te voyant ainsi honnête et vertueux, Il te la donnera et s'en tiendra heureux.
Thobie le ieune.	Thobie le jeune.
Ie le voudrois ſort bien, mais i’ay entendu dire Qu'elle à eu ſept maris que l’on à veu occire Des la premiere nuit qu’ils estoyent retirez, Auec elle en ſa chambre, & ſi ſont martirez, Par la force du diable:	Je le voudrais sort bien, mais j'ai entendu dire Qu'elle à eu sept maris que l'on à vu occire Des la première nuit qu'ils étaient retirés, Avec elle en sa chambre, et si sont martyrez, Par la force du diable:
Or moy i’ayme ma vie, Et ne veux-pas ſi- toſt qu’elle me ſoit rauie, Si c’estoit pour ſeruir a l a poſterité:	Or moi j'aime ma vie, Et ne veux-pas si- tôt qu'elle me soit ravie, Si c'était pour servir à l ' posterité:
I’endurrois milles morts ſans l’auoir merité, Ie ſuis vnique fils & de pere & de mere Qui ſentiroit helas la vie plus amere Que moy meſme la mort, ie ne veux point mourir,	J'endurais milles morts sans l'avoir mérité, Je suis unique fils et de père et de mère Qui sentirait hélas la vie plus âme Que moi -même la mort, ie ne veux point mourir,
Azarie.	Azarie.
Encontre ce danger ie te veux ſecourir Thobie, aſſeure toy que ces malheureux diables N'approcheront de toy ny de tous tes ſemblables, Ils ſe prennent touſiours aux hommes vicieux Qui ſans Dieu ſans raiſon recherchent curieux Le dejregte ueſtt de temt comtupreente.	Encontre ce danger toujours aux hommes secourir Thobie, assur toi que ces malheureux diables N'approcheront de toiici de tous tes semblables, Ils se prennent toujours aux hommes vicieux Qui sans Dieu sans raison recherchent curieux Le dejregte uestt ut de comtupreente.
Quoy tous ces malheureux deſquels l’ame ne penſe Qu'à trouuer le moyen de complaire a leur corps Telles gens ſont ils pas dignes de milles morts.	Quoi tous ces malheureux desquels l'âme ne pense Qu'à trouver le moyen de complaire a leur corps Telles gens sont ils pas dignes de mille morts.
Thobie le ieune.	Thobie le jeune.
Ouy en verisé, mais que faudroit il faire, Pour fiir les efforts de ce traiſtre aduerſaire, Les diables ſont meſchans.	Oui en vérisé, mais que faudrait -il faire, Pour fiir les efforts de ce traître adversaire, Les diables sont méchants.
Azarie.	Azarie.
Ah ne les crains iamais L’Eternel eſt pour toy amyie te promets Eſcoute ſeulement quand tu l’auras a femme, Monstre toy plus aymant la beauté de ſon ame Que celle de ſon corps, demeure chaſtement Auec elle trois nuicts priant deuotement Sans iamais luy toucher, & fais bruſler le foye Du poiſſon que Tigris fit ſortir en la voye Pour alleger tes maux, le Diable s’enfuira Aborrant ceſte odeur que lors il ſentira:	Ah ne les crains jamais L'Éternel est pour toi amiie te promets Écoute seulement quand tu l'auras a femme, Montre toi plus aimant la beauté de son âme Que celle de son corps, demeure chastement Avec elle trois nuits priant dévotement Sans jamais lui toucher, et fais brûler le foie Dues poisson que Tigris fit sortir en la voie Pour alléger tes maux, le Diable s'enfuira Aborrant cette odeur que lors il sentira:
Des la premiere nuict tis ſeras mis aux rolles, Des Patriarches Saints, dont les ſaintes parolles Sont pour loix entre nous, & la troiſieſme nuict, Afin que de bon arbre il en vienne bon fruict, Le Seignear benira ton aſfection ſainte:	Des la première nuit tis seras mis aux rolles, Des Patriarches Saints, dont les sainte paroles Sont pour lois entre nous, et la troisième nuit, Afin que de bon arbre il en vienne bon fruit, Le Seignear bénira ton asfection sainte:
En aprochant Sarra ayes de Dieu la crainte, Deſire que ce ſoit pour auoir des enfans Qui ſeruent au Seigneur des leurs plus ieunes ans, Et non pour accomplir vn deſir deshonneste:	En approchant Sarra êtes de Dieu la crainte, Désire que ce soit pour avoir des enfants Qui servent au Seigneur des leurs plus jeunes ans, Et non pour accomplir un désir déshonnête:
Ea deneuietion qaicoranna ta tesre Du Sainct pere Abraham, s’eſtendra ſur les tiens Obſerue mes propos amy, & t’en ſouuiens.	Éta denujetion qaicoranna ta tesre Du Saint père Abraham, s'étendra sur les tiens Observe mes propos ami, et t'en souviens.
Thobie le ieune.	Thobie le jeune.
Ie retiens vos propos comme graues ſentences:	Je retiens vos propos comme graves sentences:
Dieu vous veuille donner les dignes recompenſes De vos rares vertus, quand ie me donnerois A vous pour vous ſeruir, ie ne ſatisferois  ce que ie vous dois.	Dieu vous veuille donner les dignes récompenses De vos rares vertus, quand tu me donnerais À vous pour vous servir, Seigneur ne satisferais ce que je vous dois.
Azarie.	Azarie.
Tu congnoistras mon frere Que ie feray pour toy trop plus que tu n’eſpere,	Tu connaîtras mon frère Que je ferai pour toi trop plus que tu n'espère,
Thobie le ieune.	Thobie le jeune.
I’en reçois plus de biens que ie n’ay merité.	J'en reçois plus de biens que je n'ai mérité.
Azarie.	Azarie.
Nous ſommes arriuez iuſques en la cité Thobie, ſaluons ceste troupe de femmes:	Nous sommes arrivés jusques en la cité Thobie, saluons cette troupe de femmes:
Dieu vous doint le bon ſoir mes gratieuſes Dames Laquelle d’entre vous maintenant nous dira Ou ſe tient Raguel.	Dieu vous doint le bon soir mes gratieuses Dames Laquelle d'entre vous maintenant nous dira Ou se tient Raguel.
Le Chœur.	Le Chœur.
On vous y conduira Seigneurs, s’il eſt beſoing, mais la rue vous y mayne, Toutesfois permettez que nous prenyons la peine:	On vous y conduira Seigneurs, s'il est besoin, mais la rue vous y maine, Toutefois permettez que nous prenions la peine:
Tout deuant ſon l'ogis vous recongnoiſtrez bien Que celuy a quil eſt a beaucoup de moyen:	Tout devant son l'ogis vous reconnaîtrez bien Que celui a quil est a beaucoup de moyen:
C’eſt vn palais haultain duquel la braue audace Monstre de commander à tout vn populdce.	C'est un palais haultain duquel la braue audace Montre de commander à tout un populdce.
Azarie.	Azarie.
Mes Dames grand mercy, ie penſe que ie voy Raguel la deuant, Thobie aproche toy Voir s’il te congnoistra.	Mes Dames grand merci, je pense que je vois Raguel la devant, Thobie approche toi Voir s'il te connaîtra.
Raguel.	Raguel.
Ie recognois ceſt homme Mais ie ne ſcay pourtant dequel nom il ſe nomme, Vrayment tout außsi toſt que ie l’ay entreueu, He penſois que ce fut Thobie mon Nepueu:	Je reconnais cet homme Mais je ne sais pourtant dequel nom il se nomme, Vraiment tout aussi tôt que deux l'ai entrevu, He pensais que ce fut Thobie mon Nepu:
Dieu vous gardmes amis, dites moy d’ou vous eſtes, Vos aymables regards, & vos graces honnestes Font naiſtre dans mon cœur vn gratieux deſir De vous aymer touſiours & vous faire plaiſir.	Dieu vous gardmes amis, dites -moi d'ou vous êtes, Vos aimables regards, et vos grâces honnêtes Font naître dans mon cœur un gratieux désir De vous aimer toujours et vous faire plaisir.
Thobie le ieune.	Thobie le jeune.
Dieu vous tienne en ſa garde & vostre compagnie Monſieur, nous ſommes nez de lahaute lignee Des enfans d’Iſraël, auquel le ſouuerain, Abbaiſſant ſa grandeur toucha de main en main Quand il changea ſon nom, nous auons pris naiſſance Des fils de Neptalin, doux fleuue d’eloquence, Noſtre peuple vainquit des braues Nations Ores nous eſprouuons maintes ſubgetions:	Dieu vous tienne en sa garde et votre compagnie Monsieur, nous sommes nez de lahaute ligne Des enfants d'Israël, auquel le souuerain, Abaissant sa grandeur toucha de main en main Quand il changea son nom, nous avons pris naissance Des fils de Neptalin, doux fleuve d'éloquence, Notre peuple vainquit des braves Nations Ores nous éprouvons maintes sujet:
Telle varieté gouuernetoute choſe, Fors le cœur de celuy qui en Dieu ſe repoſe:	Telle variété gouvernetoute chose, Fors le cœur de celui qui en Dieu se repose:
Pour n’auoir obſerué les ſaints commandemens, Nous meritons d’auoir les iuſtes chaſtimens Le Roy Sennachecib bruſlant en ſon courage, De haine, de couroux, de fureur & de rage, Commanda maſſacrer tout le peuple Hebrieu, Mon pere demymort ſuyant cetrisle lieu, Trouua vn ſien amy du pays d’Aßirie, Qui luy ſauua ſon fils & ſa femme & ſa vie, Mais non pas tous ſes biens qui auoyent esté pris, Depuis ce Roycruel de ſes enfans ſurpris Fut maſſacré par eux, meſme dedans vn Temple, A quoy tous les Tyrans peuuent bien prendre exemple Mon pere en ce temps la ſortit hors de pri ſon, Et rapporta ſes biens en ſa propre maiſon.	Pour n'avoir observé les saints commandements, Nous méritons d'avoir les justes châtiments Le Roi Sennachec brûlant en son courage, De haine, de courroux, de fureur et de rage, Commanda massacrer tout le peuple Hébrieu, Mon père demymort suyant cetrisle lieu, Trouva un sien ami du pays d'Assirie, Qui lui sauva son fils et sa femme et sa vie, Mais non pas tous ses biens qui avaient été pris, Depuis ce Roycruel de ses enfants surpris Fut savoir par eux, mon dedans Ts, A vatous les Massapeuuent bien par exemple m pere en ce temps la sortit hors de son, Et rapporta sesbiens en se prendre maison.
Raguel.	Raguel.
Amy congnoiſſez vous mon bon frere Thobie:	Ami connaissez -vous mon bon frère Thobie:
Si vous te congnoiſſez dites moy ie vous prie Quel eſt ſon portement, ſi le bon heur le ſuit Comme l’on veoit qu’en luy toute vertu reluit.	Si vous te congnaissez dites moi je vous prie Quel est son portement, si le bon heur le suit Comme l'on voit qu'en lui toute vertu reluit.
Azarie.	Azarie.
Monſieur, voyla ſon fils.	Monsieur, voilà son fils.
Raguel.	Raguel.
Donc tu és de ma race, Approche toy pour Dieu, mon fils que ie t’emb raſſe, Ma femme venez-tost, Sarra venez außi.	Donc tu es de ma race, Approche toi pour Dieu, mon fils que ici t'emb rasse, Ma femme venez-tôt, Sarra venez auss.
Anne.	Anne.
Que vous plaiſt-il monſieur,	Que vous plaît-il monsieur,
Mon pere me voicy.	Mon père me voici.
Sarra.	Sarra.
Raguel.	Raguel.
Saluez, ce ieune-homme & me dites mamye Si vous le congnoiſſez, que Sarra eſt rougie En approchant de luy, par les emotions On peutiuger ſouuent de nos affections, Pour-ce qu’ils ſont iſſus de meſme parentage, Vn iuſte naturel luy eſpoint le courage:	Saluez, ce jeune-homme et me dites mamie Si vous le connaissez, que Sarra est rougie En approchant de Seigneur, par les émotions On peutivger souvent de nos affections, Pour-ce qu'ils sont issus de même parentage, Van nuste naturel lui époint le courage:
Ma femme cestut-cy est le fils bien aimé De mon frere thobie, & le plus eſtimé Que l’on ayt iamais veu en ſi grande ieuneſſe.	Ma femme cet-cy est le fils bien aimé De mon frère thobie, et le plus estimé Que l'on ait jamais vu en si grande jeunesse.
Anne.	Anne.
Ha!	Ha!
Nepueu mon amy ça que ie vous careſſe De mil' embraſſemens, & bien que dites vous, Mon enfant contez-moy qui vous mene entre-nous Et que fait maintenant Thobie vostre pere:	Nepueu mon ami ça que je vous caresse De mil' embrassements, et bien que dites vous, Mon enfant comptez-moi qui vous mène entre-nous Et que fait maintenant Thobie votre père:
L’honneur de nos parens, & que fait voſtre mere, Ce n’eſt-pas ſans propos que les auez laiſſez, Et que vos pas ſe ſont deuers nous addreſſez.	L'honneur de nos parents, et que fait votre mère, Ce n'est-pas sans propos que les avez laissez, Et que vos pas se sont devers nous adressez.
Thobie le ieune.	Thobie le jeune.
Ie dois à mes parens entiere obeiſſan ce Et leur obeiray de toute ma puiſſance, Ie retiens en mon cœur les bons enſeignemens e n’a donné mon pere, & ſes commandemens, C’est par ſa volonté que te fais ce voyage.	Je dois à mes parents entière obéissan ce Et leur obéirai de toute ma puissance, Je retiens en mon cœur les bons enseignements e 'a donné mon père, et ses commandements, C'est par sa volonté que te fais ce voyage.
Raguel.	Raguel.
orumoens ruconte nons quecs parolle ſage Il dit, te commandant de venir en ce lieu!	orumoens ruconte nons quecs parole sage Il dit, te commandant de venir en ce lieu!
Thobie le ieune.	Thobie le jeune.
Tous ces propos estoyent de la gloire de Dieu,	Tous ces propos étaient de la gloire de Dieu,
Raguel.	Raguel.
Iem'en aſſeure bien, dy les re te ſupplie.	Iem'en assure bien, dis les re te plie.
Thobie le ieune.	Thobie le jeune.
Mon pere estant preßé de griefue maladie Me parla tout ainſi:	Mon père étant pressé de griefue maladie Me parla tout ainsi:
Mon fils eſcoute moy, Recseille mes propos graue les dedans toy, A lors que le Seigneur aura repris mon ame, Enſeuely mon corps deſſous la froide lame, Obeis à ta mere & comme humble ſeruant Honore l a touſiours tant que ſeras viuant:	Mon fils écoute moi, Recseille mes propos grave les dedans toi, À lors que le Seigneur aura repris mon âme, Ensevely mon corps dessous la froide lame, Obeis à ta Mère et comme humble servant Honore l a toujours tant que seras vivant:
Aymez la cheremont iuſqu’a ſa derniere heure, Puis quand nostre grand Dieu permettra qu’elle meure, Ferme luy doucement la paupiere de l’œil, Et la mets pres de moy dans vn meſme cercueil, Porte le nom de Dieu eſcript en 'a penſee, Garde ſoigneuſement qu’vne erreur incenſee Ne te vienne ſaiſir, pour te faire pecher, Voulant de tes vertus le bon heur empeſcher:	Aimez la cheremont jusqu'a sa dernière heure, Puis quand notre grand Dieu permettra qu'elle meure, Ferme Je doucement la paupière de l'œil, Et la mets pres de moi dans un même cercueil, Porte le nom de Dieu écript en 'a pensée, Garde soigneusement qu'une erreur incensee Ne te vienne saisir, pour te faire pécher, Voulant de tes vertus le bon heur empêcher:
Ne detourne tes yeux du pauure miſerable, A ſa neceßité monstre toy ſecourable, Situ as de grands biens donnes abondammemt, Ayant peu, donne peu, mais liberalement L’aumoſne paroistra deuant le diuin throſne De noſtre Souuerain qui commande l’aumoſne, Il t’en ſçaura bon gré, & ne ſouffrira pas Que ton ame chemine en tenebres la bas, Mon enfant garde toy d’vn adultere infame, Et n’accointe iamais vn’autre que ta femme, Chaſſe l’orgueil de toy car la preſomption Entraine ſes ſubiects à grand' perdition, Qui t’aura faict plaiſir veuille luy außi fai e:	Ne détourne tes yeux du pauvre misérable, A sa nécessité monstre toi seigneur, Situ as de grands biens donnes abondammemaît, Ayant pu, donne peu, mais libéralement L'aumône paraîtra devant le divin throsne De notre Souverain qui commande l'aumône, Il t'en saura bon gré, et ne souffrira pas Que ton âme chemine en ténèbres la bas, Mon enfant garde toi d'un adulte infâme, Et n'accointe jamais un autre que ta femme, Chasse l'orgueil de toi car la présomption Raine ses sujet à grand perdition, Quintra faict ses veuille lui y fay eni:
Ne retiens le loyer du pauure Mercenaire, Ne faſche ton prochain & ne fais enuers luy, Que ce que tu voudrois meſme ſouffrir d’autruy:	Ne retiens le loyer du pauvre Mercenaire, Ne fâche ton prochain et ne fais envers jours, Que ce que tu voudrais même souffrir d'autrui:
Mange auecques le iuste & monſtre que tu l’aynes, Couure ceux qui ſont nuds de tes veſtements meſmes, Ne frequente iamais les hommes vitieux, Suis le conſeil du ſage & honore les vieux, Beny Dieu en tout temps & touſiours luy demande Qu’il addreſſe ton cœur ou ſa loy te commande:	Mange avec le juste et montre que tu l'aines, Couvre ceux qui sont nus de tes vêtements mêmes, Ne fréquente jamais les hommes vitieux, Suis le conseil du sage et honore les vieux, Béni Dieu en tout temps et toujours lui demande Qu'il adresse ton cœur ou sa loi te commande:
Thobie mon amy, i’ay presté dix talents A Gabel qui demeure entre les Medeens En Rigez la Cité, i’ay ſa cedulle au ceffre, Ie te la veux donner afin que tu luy offre Pour r’auoir c’est argent qui nous ſeroit beſoing:	Thobie mon ami, j'ai prêté dix talents A Gabel qui demeure entre les Medeens En Rigez la Cité, j'ai sa cédulle au ffre, Je te la veux donner afin que tu lui offre Pour rh'avoir c'est argent qui nous serait besoin:
Aſſeure toy dit il ſi nous auons le ſoing, De prier le Seigneur il ne ſera point chiche, Sa liberale main nous pent faire bien riche Va doncques mon enfant, de Dieu ſois tu benis?	Assure toi dit -il si nous avons le soin, De prier le Seigneur il ne sera point chiche, Sa libérale main nous pent faire bien riche Va donc mon enfant, de Dieu sois tu bénis?
Voila tous les propos que mon pere me dit, De bon heur i’ay trouué ce compagnon & frere Qui mes conunieney,piar pammoyen i'eſpere De recouurir bien toſt cest argent qui m'eſt deu.	Voilà tous les propos que mon père me dit, De bon heur j'ai trouvé ce compagnon et frère Qui mes conuniencey,piar ammoyen j'espère De recouvrir bien tôt cest argent qui m'est dev.
Raguel.	Raguel.
Ie croy bien qu’außi toſt qu’il te ſera rendu, Tu auras grand deſir de contenter ta veüe Du bon homme ton pere.	Je crois bien qu'avez tôt qu'il te sera rendu, Tu auras grand désir de contenter ta vue Du bon homme ton père.
Thople le teunes Helas ce mot me tüe, Mon pere ne voit point la lumiere des Cieux.	Thople le teunes Hélas ce mot me tue, Mon père ne voit point la lumière des Cieux.
Raguel.	Raguel.
Comment est-ilprime de l'yſage des yetx.	Comment est-ilime de l'ysage des yetx.
Thobie le ieune.	Thobie le jeune.
Ah!	Ah!
mon Dieu, ouy du tout	mon Dieu, oui du tout
Raguel.	Raguel.
O dommageable perte, Sy la veüe ne peut luy estre recouuerte, En vain donc le Soleil eſlance ſes beaux rays Sur les yeux de mon frere, hé que ie me deſplais, De ſon triſte malheur, vn point me reconforte:	Ô dommageable perte, Sy la vue ne peut lui-même recouverte, En vain donc le Soleil élance ses beaux rays Sur les yeux de mon frère, hé que on me déplais, De son triste malheur, un point me réonforte:
Si ſon corps eſt trop foible il a vne ame forte, Ma femme vous pleurez.	Si son corps est trop faible il a une âme forte, Ma femme vous pleurez.
& vous ma fille außi, Chacun de nous prend part en ce nouueau ſoucy Allez retirez vous, faites couurir la table:	et vous ma fille aussi, Chacun de nous prend part en ce nouveau souci Allez retirez vous, faites couvrir la table:
Traictons noſtre parent d’vne grace honorable, Thobie mon amy va donc te repoſer.	Traitons notre parent d'une grâce honorable, Thobie mon ami va donc te reposer.
Azarie.	Azarie.
Voudrois-tu bien courir V ne meſme fortune & qu’ore elle fut tienne?	Voudrais-tu bien courir V ne mesme fortune et qu'ore elle fut tienne?
Thobie le ieune.	Thobie le jeune.
Non, car ſi ie mourois ell' ne ſeroit plus mienne, Les morts ne prennent rien aux meubles des viuans, Mais ie deſire bien de viure pluſieurs ans En repos auec elle & qu’elle ſoit ma femme, La moitié de mon cœur, la moitié de mon ame, Ie luy obeiray comme vn de mes ayeux A la ſienne, obeit & ie ne vena pusimena, Que faiſoit Abrabam puis elle n’est moins ſage Qu’eſtoit l’autraturummejme parentage.	Non, car si beau mourais ell' ne serait plus mienne, Les morts ne prennent rien aux meubles des vivants, Mais encore désire bien de vivre plusieurs ans En repos avec elle et qu'elle soit ma femme, La moitié de mon cœur, la moitié de mon âme, Je lui obeiray comme un de mes aïeux A la sienne, obéit et ie ne vena pusimena, Que faisait Abrabam puis elle n'est moins sage Qu'était l'autraturummejme parentage.
It en faudra parter, Azarie.	It en faudra parter, Azarie.
Thobie le ieune.	Thobie le jeune.
Hé!	Hé!
pour Dieu hastez-veus.	pour Dieu hâtez-vus.
Azarie.	Azarie.
Or bien r'epoſons nous Mon frere ie vous prie.	Or bien reposons -nous Mon frère ie vous prie.
Thobie le ieune.	Thobie le jeune.
Mais comment repoſer,, il n’est en ma puiſſance, Ie penſe touſi ours voir ſa douce contenance, Son modeste regard & ſon gratiet pleur;	Mais comment reposer, il n'est en ma puissance, Je pense toujours voir sa douce contenance, Son modeste regard et son gratiét pleur;
Sera touſiours graué au milieu de mon cœur:	Sera toujours gravé au milieu de mon cœur:
Ie penſe quel que fois toucher ſa belle face Ou bien il m’est aduis qu’encor elle m’embraſſe, O que i'estois heureux ſi cela m'eust duré.	Je pense que quel fois toucher sa belle face Ou bien il m'est avis qu'encor elle m'embrasse, Ô que estois heureux si cela m'eût duré.
Azarie.	Azarie.
Pour te recompenſer du trauail enduré Dieu te la veut donner, cest pour-toy qu’elle est nee Et tu auras alors la vertu deſiree,	Pour te récompenser du travail enduré Dieu te la veut donner, cet pour-toi qu'elle est née Et tu auras alors la vertu désirée,
La Seruante.	La Servante.
Ie hairray pour iamais l’orgueil de ces maistreſſes, Qui ſous ombre d’auoir la faueur des richeſſes Meſpriſent tout le monde & ne penſent rien voir, Digne de leurs vertus & de leur grand pouuoir.	Je hairrai pour jamais l'orgueil de ces maîtresses, Qui sous ombre d'avoir la faveur des richesses Méprisent tout le monde et ne pensent rien voir, Digne de leurs vertus et de leur grand pouvoir.
Sarra.	Sarra.
Sus, ſus, deſpeſchez-vous de faire vostre ouurage, On vous prend ſeutement pour fatre te mejnage, Et non pour babiller & cauſer à chacun.	Sus, sus, dépêchez-vous de faire votre ouvrage, On vous prend seutement pour fattre te mejnage, Et non pour babiller et causer à chacun.
La Seruante.	La Servante.
Si vaut il mieux vſer d’vn entretient commun Que faire comme vous qui ne parlez qu’au diable.	Si vaut il mieux user d'une entretient commun Que faire comme vous qui ne parlez qu'au diable.
Sail4.	Sail4.
Meſchante qui me tient que ie ne vous accable De mille coups de poing?	Méchante qui me tient que personne ne vous accable De mille coups de poing?
La Seruante.	La Servante.
Hé quoy?	Hé quoi?
