A MADAME ADAME,	À MADAME ADAME,
Son bel eſprit luy ſert à railler nos maximes, A ſe faire ſouuent des vertus de ces crimes;	Son bel esprit homme sert à railler nos maximes, À se faire souvent des vertus de ces crimes;
Et trouuer, pour venir à ſes coupables fins, Des détours à duper l’adreſſe des plus fins.	Et trouver, pour venir à ses coupables fins, Des détours à duper l'adresse des plus fins.
Pour ſe parer du coup en vain on ſe fatigue;	Pour se parer du coup en vain on se fatigue;
Vne femme d’eſprit eſt vn diable en intrigue;	Une femme d'esprit est un diable en intrigue;
Et dés que ſon caprice a prononcé tout bas L’arreſt de noſtre honneur, il faut paſſer le pas.	Et dès que son caprice a prononcé tout bas L'arrêt de notre honneur, il faut passer le pas.
Beaucoup d’honneſtes gens en pourroient bien que Enfin mon eſtourdy n’aura pas lieu d’en rire.	Beaucoup d'honnêtes gens en pourraient bien que Enfin mon étourdi n'aura pas lieu d'en rire.
I dire.	I dire.
Par ſon tropde caquet il a ce qu’il luy faut.	Par son trop caquet il a ce qu'il lui faut.
Voila de nos François l’ordinaire defaut.	Voilà de nos Français l'ordinaire défaut.
Dans la poſſeſſion d’vne bonne fortune, Le ſecret eſt toûjours ce qui les importune;	Dans la possession d'une bonne fortune, Le secret est toujours ce qui les importune;
Et la vanité ſotte a pour eux tant d’appas, Qu’ils ſe pendròient plûtoſt que de ne cauſer pas.	Et la vanité sotte a pour eux tant d'appas, Qu'ils se pendrient plûtost que de ne causer pas.
O que les femmes ſont du biable bien tentées, Lors qu’elles vont choiſir ces teſtes éuentées;	Ô que les femmes sont du biable bien tentées, Lors qu'elles vont choisir ces têtes éventées;
ne que.	ne que.
Rrais le voie yecachios- nous toujours bien, Et découurons vn peu quel chagrin eſt le ſien.	Rrais le voie yecachios-nous nous toujours bien, Et découvrons un peu quel chagrin est le sien.
SCENE IV.	SCÈNE IV.
HORACE, ARNOLPHE.	HORACE, ARNOLPHÉE.
HORACE.	HORACE.
E reuiens de chez vous, & le deſtin me montre IQu’il n’a pas reſolu que ie vous y rencontre.	E reviens de chez vous, et le destin me montre IQu’il n'a pas résolu que je vous y rencontre.
Mais i’iray tant de fois qu’enfin quelque moment.	Mais j'irai tant de fois qu'enfin quelque moment.
ARNOLPHE.	ARNOLPHÉ.
Hé mon Dieu, n’entrons point dans ce vain compliRien ne me faſche tant que ces ceremonies, [ment.	Hé mon Dieu, n'entrons point dans ce vain compliRien ne me fâche tant que ces cérémonies, [ment.
Et ſi l’on m’en croyoit, elles ſeroient bannies.	Et si l'on m'en croyait, elles seraient bannies.
C’eſt vn maudit vſage, & la pluſpart des gens Y perdent ſottement les deux tiers de leur temps.	C'est un maudit usage, et la plupart des gens Y perdent sottement les deux tiers de leur temps.
Mettõs donc;	Mettons donc;
ſans façons.	sans façons.
Hé bien;	Hé bien;
vos amourettes?	vos amourettes?
Pius-ie, Seigneur Horace, apprẽdre où vous en eſtes?	Pius-je, Seigneur Horace, apprendre où vous en êtes?
I’eſtois tantoſt diſtrait par quelque viſion;	J'étais tantôt distrait par quelque vision;
Mais depuis là-deſſus i’ay fait reflection:	Mais depuis là-dessus j'ai fait réflection:
De vos premiers progrez i’admire la viteſſe, Et dans l’éuenement mon ame s’intereſſe.	De vos premiers progrès j'admire la vitesse, Et dans l'événement mon âme s'intéresse.
HORACE.	HORACE.
Ma foy, depuis qu’à vous s’eſt découuert mon cœur, Il eſt à mon amour arriué du malheur.	Ma foi, depuis qu'à vous s'est découvert mon cœur, Il est à mon amour arrivé du malheur.
ARNOLPHE.	ARNOLPHÉ.
Oh, oh!	Oh, oh!
comment cela?	comment cela?
AGNES.	AGNES.
La fortune eſt cruelle, A ramené des champs le patron de la belle,	La fortune est cruelle, A ramené des champs le patron de la belle,
Quel malheur!	Quel malheur!
ANNOLPHR.	ANNOLPHR.
HORACE.	HORACE.
Et de plus, à mon tres-grand regret, Il a iteu de nous deua le commeicuſecret.	Et de plus, à mon très-grand regret, Il a itu de nous deva le commeicusecret.
ARNOLPHE.	ARNOLPHÉ.
D’où, diantre!	D'où, diantre!
a-t-il ſi-toſt appris cette auanture?	a-t-il si-il appris cette aventure?
HORACE.	HORACE.
Ie ne ſçay;	Je ne sais;
mais enfin c’eſt vne choſe ſeure.	mais enfin c'est une chose sûre.
Ie penſois aller rendre, à mon heure, à peu prés, Ma petite viſite à ſes ieunes attraits, Lors que changeant pour moy de ton & de viſage Et Seruante & Valet m’ont bouché le paſſage, Et d’vn;	Je pensais aller rendre, à mon heure, à peu prés, Ma petite visite à ses jeunes attraits, Lors que changeant pour moi de ton et de visage Et Servante et Valet m'ont bouché le passage, Et d'un;
retirez-vous, vous nous importunez, M’ont aſſez rudement fermé la porte au nez.	retirez-vous, vous nous importunez, M'ont assez rudement fermé la porte au nez.
ARNOLPHE.	ARNOLPHÉ.
La porte au nez !	La porte au nez !
HORACE.	HORACE.
Au nez.	Au nez.
ARNOLPHE.	ARNOLPHÉ.
La choſe eſt vn peu forte.	La chose est un peu forte.
HORACE.	HORACE.
I’ay voulu leur parler au trauers de la porte!	J'ai voulu leur parler au travers de la porte!
Mais à tous mes propos ce qu’ils ont répondu C’eſt, vous n'entrerez point, Monſieur l’a defendu.	Mais à tous mes propos ce qu'ils ont répondu C'est, vous n'entrerez point, Monsieur l'a défendu.
ARNOLPHE.	ARNOLPHÉ.
Ils n’ont donc point ouuert ?	Ils n'ont donc point ouvert ?
HORACÆ.	HORACH.
Non?	Non?
Et de la feneſtre Agnés ma confirmé le retour de ce Maiſtre, Ei me chahant do la d mnton plein de fierté, Accompagné d’vn grez que ſa main a jetté.	Et de la fenêtre Agnès ma confirmé le retour de ce Maître, Ei me chahant do la mnton plein de fierté, Accompagné d'un grès que sa main a jeté.
ANNOEPIIE.	ANNOEPIIE.
Comment d’vn grez?	Comment d'un grès?
HORACE.	HORACE.
D’vn grez de taille non petite, j'e Dont on a par ſes mains regalé ma viſite.	D'un grès de taille non petite, j'e Dont on a par ses mains régalé ma visite.
eo ulIlu1 Diantre!	élu Ilu1 Diantre!
ce ne ſont pas des prunes que cela;	ce ne sont pas des prunes que cela;
at le trouue ralcheux l'eitat ou vous vona.	at le trouve ralcheux l'éitat où vous vona.
HORACE.	HORACE.
Il eſt vray, ie ſuis mal par ce retour funeſte.	Il est vrai, ie suis mal par ce retour funeste.
ARNOLPHE.	ARNOLPHÉ.
Certes i’en ſuis faſché pour vous, ie vous proteſte.	Certes j'en suis fâché pour vous, je vous proteste.
HORACE.	HORACE.
Cet loime me loipr tout.	Cet loime me loipr tout.
ARNOLPHE.	ARNOLPHÉ.
Ouy, mais cela n’eſt rien, Et de vous racrocher vous trouuerez moyen.	Oui, mais cela n'est rien, Et de vous racrocher vous trouverez moyen.
HORACE.	HORACE.
Ir lade bien enayer par quelque intelligence De vaincre du jaloux l’exacte vigilance.	Ir lade bien enayer par quelque intelligence De vaincre du jaloux l'exacte vigilance.
ARNOLIHE.	ARNOLIHÉ.
Cela vous eſt facile, & la fille, apres tout, Vous ayme.	Cela vous est facile, et la fille, après tout, Vous aime.
HORACE.	HORACE.
Aſſeurément.	Assurément.
ARNOLPHE.	ARNOLPHÉ.
Vous en viendrez à bout.	Vous en viendrez à bout.
HORACE.	HORACE.
l’eſpere.	l'espère.
HORACE.	HORACE.
ARNOLPHE.	ARNOLPHÉ.
Le grés vous a mis en déroutes lais cela ne doit pas vous eſtonner.	Le grès vous a mis en déroutes lais cela ne doit pas vous étonner.
HORACE.	HORACE.
Sans doute, i’ay compris d’abord que mon homme eſtoit-la, qui ſans ſe faire voir conduiſoit tout cela.	Sans doute, j'ai compris d'abord que mon homme était-la, qui sans se faire voir conduisait tout cela.
lais ce qui m’a ſurpris & qui va vous ſurprendre, 'eſt vn autre incident que vous allez entendre, n trait hardy qu’a fait cette ieune beauté, qu’on n’attendoit point de ſa ſimplicité.	lais ce qui m'a surpris et qui va vous surprendre, 'est un autre incident que vous allez entendre, n trait hardi qu'a fait cette jeune beauté, qu'on n'attendait point de sa simplicité.
le faut auoüer, l’Amour eſt vn grand maiſtre.	le faut auoüer, l'Amour est un grand maître.
e qu’on ne fut iamais il nous enſeigne à l’eſtre, t ſouuent de nos mœurs l’abſolu changement Deuient par ſes leçons l’ouurage d’vn moment.	eu qu'on ne fut jamais il nous enseigne à l'être, t' un de nos mœurs l'absolu changement Deuvient par ses leçons l'ouvrage d'un moment.
De la nature en nous il force les obſtacles, t ſes effets ſoudains ont de l’air des miracles, d’vn auare à l’inſtant il fait vn liberal;	De la nature en nous il force les obstacles, t ses effets soudains ont de l'air des miracles, d' auare à l'instant il fait un libéral;
In Vaillant d’vn Poltron;	In Vaillant d'un Poltron;
vn Ciuil d'vn Brutal;	un Civil d'un Brutal;
rend agile à tout l’ame la plus peſante, t donne de l’eſprit à la plus innocente.	rend agile à tout l'âme la plus pesante, t donne de l'esprit à la plus innocente.
Düy, ce dernier miracle éclatte dans Agnés, Car tranchant auec moy par ces termes exprés, Retirez-vous, mon ame aux viſites ren once:	Dui, ce dernier miracle éclate dans Agnès, Car tranchant avec moi par ces termes exprès, Retirez-vous, mon âme aux visites ren once:
ſçay tous vos diſcours:	sais tous vos discours:
& voila ma reſponce.	et voilà ma réponse.
Cette pierre ou ce grés dont vous vous eſtonniez, luec vn mot de lettre eſt tombée à mes pieds;	Cette pierre ou ce grès dont vous vous étonniez, luec un mot de lettre est tombée à mes pieds;
it i’admire de voir cette lettre ajuſtée, luec le ſens des mots, & la pierre iettée D’vne telle actiono n’eſtes-vous pas ſurpris?	Çit j'admire de voir cette lettre ajustée, luec le sens des mots, et la pierre jetée D'une telle actiono n'êtes-vous pas surpris?
l’Amour ſçait-il pas l’art d’aiguiſer les eſprits?	L'Amour sait-il pas l'art d'aiguiser les esprits?
t peut-on me nier que ſes flames puiſſantes, Ne faſſent dans vn cœur des choſes eſtonnantes?	t peut-on me nier que ses flammes puissantes, Ne fassent dans un cœur des choses étonnantes?
Que dites-vous du tour, & de ce mot d’eſcrit?	Que dites-vous du tour, et de ce mot d'écrit?
Euh!	Euh!
n’admirez-vous point cette adreſſe d’eſprit?	n'admirez-vous point cette adresse d'esprit?
Trouuez-vous pas plaiſant de voir quel perſonnage A ioué mon jaiour dalis tout ce badinage.	Trouvez-vous pas plaisant de voir quel personnage A joué mon jaiour dalis tout ce badinage.
Dites,	Dites,
ARNOLTTIE.	ARNOLTTIE.
Oüy fort plaiſant.	Oui fort plaisant.
HORACE.	HORACE.
Amolphe rit d'vn ris forcé.	Amolphe rit d'une ris forcé.
Riez-en donc vn peu.	Riez-en donc un peu.
Cét homme gendarmé d’abord contre mon feu.	Cet homme gendarmé d'abord contre mon feu.
Qui chez luy ſe retranche, & de grés fait parade, Comme ſi i’y voulois entrer par eſcalade, Qui pour me repouſſer dans vn bizarre effroy, Anime du dedans tous ſes gens contre moy, Et qu’abuſe à ſes yeux par ſa machine meſme, Celle qu’il veut tenir dans l’ignorance extréme!	Qui chez même se retranche, et de grès fait parade, Comme si j'y voulais entrer par escalade, Qui pour me repousser dans un bizarre effroi, Anime du dedans tous ses gens contre moi, Et qu'abuse à ses yeux par sa machine même, Celle qu'il veut tenir dans l'ignorance extrême!
Pour moy ie vous l’auouë, encor que ſon retour En vn grand chballas jette ley mon amour;	Pour moi ici vous l'avoue, encor que son retour En un grand chballas jette lei mon amour;
Ie tiens cela plaiſant autant qu’on ſçauroit dire;	Je tiens cela plaisant autant qu'on saurait dire;
Ie ne puis y ſonger ſans de bon cœur en rire;	Je ne puis y songer sans de bon cœur en rire;
Et vous n’en riez pas aſſez à mon auis.	Et vous n'en riez pas assez à mon avis.
ARNOLPHE auec vn ris forcé.	ARNOLPHÉ auec un ris forcé.
Pardonnez-moy, i’en ris tout autant que ie puis.	Pardonnez-moi, j'en ris tout autant que tu puis.
HORACE.	HORACE.
Mais il faut qu’en amy ie vous montre la lettre.	Mais il faut qu'en ami ici vous montre la lettre.
Tout ce que ſon cœur ſent, ſa main a ſçeu l’y mettre !	Tout ce que son cœur sent, sa main a su l'y mettre !
Mais en termes touchans, & tous pleins de bonté, De tendreſſe innocente, & d’ingenuité:	Mais en termes touchants, et tous pleins de bonté, De tendresse innocente, et d'ingénuité:
De la maniere enfin que la pure nature Exprime d’Amour la premiere bleſſure.	De la manière enfin que la pure nature Exprime d'Amour la première blessure.
ARNOLPHE.	ARNOLPHÉ.
bas.	bas.
toilà, fri ponne, à quoy l’eſcriture te ſert, icontre mon deſſein l’art t’en fut decouuert.	toilà, fry ponne, à quoi l'écriture te sert, icontre mon dessein l'art t'en fut découvert.
HORACE lit.	HORACE lit.
E veux vous eſcrire, & ie ſuis bien en peiIne par où ie m'y prendray.	E veux vous écrire, et ainsi suis bien en peiIne par où tu m'y prendrai.
I’ay des penſées que ie deſirerois que vous ſçeuſſiez;	J'ai des pensées que ici désirerais que vous sçeussiez;
mais ie ne cay comment faire pour vous les dire, & ie ne deffie de mes paroles.	mais ici ne cai comment faire pour vous les dire, et jus ne défie de mes paroles.
Comme ie commente à connoiſtre qu’on m'a touſiours tenuë dans lignorance, i'ay peur de mettre quelque choſe qui ne ſoit pas bien, & d’en dire plus que ie ne deurois.	Comme grande commente à connaître qu'on m'a toujours tenue dans lignorance, j'ai peur de mettre quelque chose qui ne soit pas bien, et d'en dire plus que je ne devrois.
En verité ie ne ſçay ce que vous m'auez fait;	En vérité ici ne sais ce que vous m'avez fait;
mais ie ſens que ie uis faſchée à mourir de ce qu’on me fait faile contre vous, que i’auray toutes les peines du monde à me paſſer de vous, & que le ſerois bien aiſe d’eſtre à vous.	mais petit sens que Dieu uis fâchée à mourir de ce qu'on me fait faile contre vous, que j'aurai toutes les peines du monde à me passer de vous, et que le serais bien aise d'être à vous.
Peut-eſtre qu’il y a du mal à dire cela;	Peut-être qu'il y a du mal à dire cela;
mais enfin ie ne puis m'empeſcher de le dire, & ie voudrois que cela ſe puſt faire, ſans qu'il y en euſt.	mais enfin ie ne puis m'empêcher de le dire, et un voudrais que cela se pût faire, sans qu'il y en eût.
On me dit fort, que tous les ieunes hommes ſont des trompeurs;	On me dit fort, que tous les jeunes hommes sont des trompeurs;
qu’il ne les faut point écouter;	qu'il ne les faut point écouter;
& que tout ce que vous me dites, n'eſt que pour m’abuſer;	et que tout ce que vous me dites, n'est que pour m'abuser;
mais ie vous uſſeure, que ie n’ay pû encore me figurer cela de vous;	mais ici vous ussure, que sans n'ai pu encore me figurer cela de vous;
& ie ſuis ſi touchée de vos paroles, que ie ne ſçaurois croire qu'elles ſoient menteuſes.	et petit suis si touchée de vos paroles, que on ne saurais croire qu'elles soient menteuses.
Dites-moy franchement Ce qui en eſt:	Dites-moi franchement Ce qui en est:
car enfin, comme ie ſuis ſans malice, vous auriez le plus grand tort du monde, ſi vous me trompiez;	car enfin, comme on suis sans malice, vous auriez le plus grand tort du monde, si vous me trompiez;
& ie penſe que i’en mourois de déplaiſir.	et et pense que j'en mourais de déplaisir.
Hom chienne!	Hom chienne!
ARNOLPHE.	ARNOLPHÉ.
HORACE.	HORACE.
Qu’auez-vous;	Qu'avez-vous;
ARNOLPHE.	ARNOLPHÉ.
Moy?	Moi?
rien;	rien;
c’eſt que ie touſſe,	c'est que Seigneur tousse,
HORACE.	HORACE.
Auez-vous iamais veu, d’expreſſions plus douce?	Avez-vous jamais vu, d'expressions plus douce?
Malgré les ſoins maudits d’vn iniuſte pouuoir, Vn plus beau naturel peut-il ſe faire voir?	Malgré les soins maudits d'un injuste pouvoir, Un plus beau naturel peut-il se faire voir?
Et n’eſt-ce pas ſans doute vn crime puniſſable, De gaſter meſchamment ce fons d’ame admirable;	Et n'est-ce pas sans doute un crime punissable, De gâter méchamment ce fonds d'âme admirable;
D’auoir dans l’ignorance & la ſtupidité, Voulu de cét eſprit eſtouffer la clarté?	D'avoir dans l'ignorance et la stupidité, Voulu de cet esprit étouffer la clarté?
L’Amour a commence d’en déchirer le voile, Et ſi par la faueur de quelque bonne eſtoile, Ie puis comme i’eſpere, à ce franc animal, Ce traiſtre, ce boureau, ce faquin, ce brutal.	L'Amour a commence d'en déchirer le voile, Et si par la faveur de quelque bonne étoile, Je puis comme j'espère, à ce franc animal, Ce traître, ce boureau, ce faquin, ce brutal.
Adieu.	Adieu.
ARNOLPHE.	ARNOLPHÉ.
HTORAEE.	HTORAE.
Comment ſi viſte?	Comment si vite?
ARNOLPHE.	ARNOLPHÉ.
Il met dans la penſée Venu tout maintenant vne affaire preſſée.	Il met dans la pensée Venu tout maintenant affaire pressée.
HORACE.	HORACE.
Mais ne ſçauriez-vous point, comme on la tient de prés, jui dans cette maiſon pourroit auoir accés?	Mais ne sauriez-vous point, comme on la tient de près, jui dans cette maison pourrait avoir accès?
ven vſe ſans ſcrupule, & ce n’eſt pas merueille, Qu’on ſe puiſſe, entre amis, ſeruir à la pareille, Ie n’ay plus là dedans que gens pour m’obſeruer;	ven se sans scrupule, et ce n'est pas merveille, Qu'on se puisse, entre amis, servir à la pareille, Je n'ai plus là -dedans que gens pour m'observer;
Et ſeruante & valet que ie viens de trouuer, N’ont iamais, de quelque air que ie m’y ſois pê prendre, Adoucy leur rudeſſe à me vouloir entendre.	Et servante et valet que sans viens de trouver, N'ont jamais, de quelque air que sans m'y sois pêmes prendre, Adouci leur rudesse à me vouloir entendre.
I'auois pour de tels coups certaine vieille en main, D’vn genie à vray dire au deſſus de l’humain.	J'avais pour de tels coups certaine vieille en main, D'un génie à vrai dire au -dessus de l'humain.
Elle m’a dans l’abord ſeruy de bonne ſorte:	Elle m'a dans l'abord servi de bonne sorte:
Mais depuis quatre iours la pauure femme eſt morte.	Mais depuis quatre jours la pauvre femme est morte.
ne me pourriern vous pomt ouurir quelque moyen?	ne me pourriern vous pompt ouvrir quelque moyen?
ARNOLPHE.	ARNOLPHÉ.
Non vrayment, & ſans moy vous en trouuérez bien.	Non vraiment, et sans moi vous en trouuérez bien.
HORACE.	HORACE.
Adieu donc.	Adieu donc.
Vous voyez ce que ie vous confie.	Vous voyez ce que je vous confie.
Omme il faut deuant luy que ie me mortifie!	Omme il faut devant te que tu me mortifie!
OQuelle peine à cacher mon déplaiſir cuiſant!	OQuelle peine à cacher mon déplaisir cuisant!
Quoy pour vne innocente, vn eſprit ſi preſent?	Quoi pour une innocente, un esprit si présent?
Elle a feint d'eſtre telle à mes yeux la traiſtreſſe;	Elle a feint d'être telle à mes yeux la traîtresse;
Où le diable à ſon ame a ſouſlé cette adreſſe.	Où le diable à son âme a soulé cette adresse.
Enfin me voilà mort par ce funeſte eſcrit.	Enfin me voilà mort par ce funeste écrit.
Ie voy qu’il a, le traiſtre, empaumé ſon eſprit.	Je vois qu'il a, le traître, empaumé son esprit.
Qu’à ma ſuppreſſion il s’eſt ancré chez elle;	Qu'à ma suppression il s'est ancré chez elle;
C iij Et c’eſt mon deſeſpoir, & ma peine mortelle.	Ç mer Et c'est mon désespoir, et ma peine mortelle.
Ie ſouffre doublement dans le vol de ſon cœur, Et l’amour y pâtit auſſi bien que l’honneur.	Je souffre doublement dans le vol de son cœur, Et l'amour y pâtit aussi bien que l'honneur.
l’enrage de trouuer cette place vſurpée, Et i’enrage de voir ma prudence trompée.	l'enrage de trouver cette place usurpée, Et j'enrage de voir ma prudence trompée.
Ie ſçay que pour punir ſon amour libertin Ie n’ay qu’à laiſſer faire à ſon mauuais deſtin, Que ie ſeray vangé d’elle par elle-meſme:	Je sais que pour punir son amour libertin Je n'ai qu'à laisser faire à son mauvais destin, Que do seray vengé d'elle par elle-même:
Mais il eſt bien faſcheux de perdre ce qu’on aime.	Mais il est bien fâcheux de perdre ce qu'on aime.
Ciel!	Ciel!
puiſque pour vn choix i’ay tant Philoſophé Faut-il de ſes appas m’eſtre ſi fort coëffé?	puisque pour un choix j'ai tant Philosophé Faut-il de ses appas m'être si fort coëffé?
Elle n’a ny parens, ny ſupport, ny richeſſe, Elle trahit mes ſoins, mes bontez, ma tendreſſe, Et cependant ie l’aime, aprés ce laſche tour, Iuſqu’à ne me pouuoir paſſer de cét amour, Sot, n’as-tu point de honte?	Elle n'a été parents, ni support, ni richesse, Elle trahit mes soins, mes bontés, ma tendresse, Et cependant ainsi l'aime, après ce lâche tour, Jusqu'à ne me pouvoir passer de cet amour, Sot, n'as-tu point de honte?
Ah ie creue, i’enrage Et ie ſoufle terois mille fois mon viſage.	Ah beau cru, j'enrage Et apprendre souffle terais mille fois mon visage.
Ie veux entrer vn peu;	Je veux entrer un peu;
mais ſeulement pour voir Quelle eſt ſa contenance aprés vn trait ſi noir.	mais seulement pour voir Quelle est sa contenance après un trait si noir.
Ciel faites que mon front ſoit exempt de diſgrace:	Ciel faites que mon front soit exempt de disgrâce:
Ou bien s’il eſt eſcrit, qu’il faille que i’y paſſe, Donnez-moy, tout au moins, pour de tels accidens La conſtance qu’on voit à de certaines gens.	Ou bien s'il est écrit, qu'il faille que j'y passe, Donnez-moi, tout au moins, pour de tels accidents La constance qu'on voit à de certes gens.
Fin du troiſiéme Acte.	Fin du troisième Acte.
BB3SSE Cl vv 978.	BB3SSE Cl veu 978.
2 el 1 4 ER BE 2 a d6 d liSiSſ I LECISEV SCENE IREMILNE.	2 elle 1 4 ER BE 2 a d6 d iSiSs I LECISEU SCÈNE JREMILNE.
ARNOLPHE.	ARNOLPHÉ.
NMM AY peine, ie l’auouë, à demeuter en 3 ENone place, Et de mille ſoucis mon eſprit s’embaraſſe, Pour pouuoir mettre vn ordre & dedans & dehors, Qui du godelureau rompe tous les efforts.	NOM AY peine, ie l'avoue, à demeuter en 3 ENone place, Et de mille soucis mon esprit s'embarrasse, Pour pouvoir mettre un ordre et dedans et dehors, Qui du godelureau rompe tous les efforts.
De quel œil la traiſtreſſe a ſouſtenu ma veuë!	De quel œil la traîtresse a soutenue ma vue!
De tout ce qu’elle a fait elle n’eſt point émeuë, Et bien qu’elle me mette à deux doigts du treſpas, On diroit à la voir qu’elle n’y touche pas.	De tout ce qu'elle a fait elle n'est point émue, Et bien qu'elle me mette à deux doigts du trépas, On dirait à la voir qu'elle n'y touche pas.
Plus en la regardant ie la voyoit tranquile, Plus ie ſentois en moy s’eſchaufer vne bile;	Plus en la regardant apprendre la voyait tranquille, Plus ie sentais en moi s'échauffer une bile;
Et ces boüillans tranſports dont s’enflammoit mon cœur, Y ſembloient redoubler mon amoureuſe ardeur.	Et ces bouillants transports dont s'enflammait mon cœur, Y semblaient redoubler mon amoureuse ardeur.
I’eſtois aigray, faſché, deſeſperé contr’elle, Et cependant iamais ie ne la vis ſi belle;	J'étais aigrai, fâché, désespéré contr'elle, Et cependant jamais apprendre ne la vis si belle;
Iamais ſes yeux au miens n’ont parû ſi perçans, Iamais ie n’eus pour eux des deſirs ſi preſſans, C iiij Et ie ſens là dedans qu’il faudra que ie creue, Si de mon triſte ſort ſa diſgrace s’acheue.	Jamais ses yeux au miens n'ont paru si perçans, Jamais tu n'eus pour eux des désirs si pressants, Ç ijà Et ie sens là -dedans qu'il faudra que Elle crève, Si de mon triste sort sa disgrâce s'achève.
Quoy?	Quoi?
i’auray dirigé ſon education Auec tant de tendreſſe & de précaution?	j'aurai dirigé son éducation Avec tant de tendresse et de précaution?
Ie l’auray fait paſſer chez moy dés ſon enfance?	Je l'aurai fait passer chez moi dès son enfance?
Et i’en auray chery la plus tendre eſperance?	Et j'en aurai chéri la plus tendre espérance?
Mon cœur aura baſty ſur ſes attraits naiſſans?	Mon cœur aura bâti sur ses attraits naissants?
Et creu la mitonner pour moy durant treize ans?	Et cru la mitonner pour moi durant treize ans?
Afin qu’vn ieune fou dont elle s’amourache Me la vienne enleuer iuſque ſur la mouſtache, Lors qu’elle eſt auec moy marié à demy.	Afin qu'un jeune fou dont elle s'amourache Me la vienne enlever jusque sur la moustache, Lors qu'elle est avec moi marié à demi.
Non parbleu, non par bleu, petit ſot mon amy?	Non parbleu, non par bleu, petit sot mon ami?
Vous aurez beau tourner, ou i’y perdray mes peines, Oule lendiay ma roy, vos erperances vaines, Et de moy tout à fait vous ne vous rirez point.	Vous aurez beau tourner, ou j'y perdrai mes peines, Oule lendiai ma roi, vos erpérances vaines, Et de moi tout à fait vous ne vous rirez point.
SCLNE IE.	SCLNE IE.
LE NOTAIRE, ARNOLPHE.	LE NOTAIRE, ARNOLPHÉE.
LE NOIAINE.	LE NOIAINE.
H le voilà!	H le voilà!
Bon iour:	Bon jour:
me voicy tout à point A APour dreſſer le contract que vous me ſouhaittez falre.	me voici tout à point A POur dresser le contrat que vous me souhaitez falre.
ARNOLPHE ſans le voir.	ARNOLPHE sans le voir.
Comment faire!	Comment faire!
LE NOTAIRE.	LE NOTAIRE.
Il le faut dans la forme ordinaire.	Il le faut dans la forme ordinaire.
ARNOLPHE ſans le voir.	ARNOLPHE sans le voir.
A mes précautions ie veux ſonger de prés.	À mes précautions ici veux songer de près.
LE NOTAIRE.	LE NOTAIRE.
le ne paſſeray rien contre vos itefeſts.	le ne passerai rien contre vos itefests.
ARNOLPHE ſans le voir.	ARNOLPHE sans le voir.
Il ſe faut garantir de toutes les ſurpriſes.	Il se faut garantir de toutes les surprises.
LE NOTAIRE.	LE NOTAIRE.
SSuffit qu’entre mes mains vos affaires ſoient miſes.	SSuffit qu'entre mes mains vos affaires soient mises.
Il le vonmiauui pomede poulu ertre de çeu, Quittancer le contract que vous n’ayez receu.	Il le vonmiauui pomède poulu ertre de çeu, Quittancer le contract que vous n'ayez reçu.
ARNOLPHE ſans le voir.	ARNOLPHE sans le voir.
l’ay peur, ſi ie vais faire éclater quelque choſe, Que de cét incident par la ville on ne cauſe.	l'ai peur, si ici vais faire éclater quelque chose, Que de cet incident par la ville on ne cause.
LE NOTAIRE.	LE NOTAIRE.
Et bien il eſt aiſé d’empeſcher cét éclat, Eti oit pent en fecret fanle rontre contiact.	Et bien il est aisé d'empêcher cet éclat, Éti oit pent en secret fanle rontre contiact.
ARNOLPHE ſans le voir.	ARNOLPHE sans le voir.
Mais comment raudra-il qu'auet eſſe jen ſorte?	Mais comment raudra-il qu'auet esse jen sorte?
LE NOTAIRE.	LE NOTAIRE.
Le doüaire ſe regle au bien qu’on vous apporte.	Le douaire se règle au bien qu'on vous apporte.
ARNOLPHE ſans le voir.	ARNOLPHE sans le voir.
Ie l’ayme, & cét amour eſt mon grand embarras,	Je l'aime, et cet amour est mon grand embarras,
LE Ivo Mille di On peut auantager vne femme en ce cas.	LE Ivo Mille di On peut avantager une femme en ce cas.
ARNOLPHE ſans le voir.	ARNOLPHE sans le voir.
Quel traitement luy faire en pareille auanture?	Quel traitement lui faire en pareille aventure?
LE NOTAIRE.	LE NOTAIRE.
p'oruit eſt que le futur doit doüer la future Du tiers du dot qu’elle a:	p'oruit est que le futur doit douer la future Du tiers du dot qu'elle a:
mais cét ordre n’eſt rien, Et l’on va plus auant lors que l’on le veut bien.	mais cet ordre n'est rien, Et l'on va plus avant lors que l'on le veut bien.
1 Canclaln ARNOLPHE ſans le voir.	1 Canclalnal ARNOLPHE sans le voir.
LE NOTAIRE.	LE NOTAIRE.
Arnolphe l’apperceuant.	Arnolphe l'apercevant.
Pour le preciput il les regarde enſemble.	Pour le préciput il les regarde ensemble.
Ie dis que le futur peut comme bon luy ſemble Doüer la fature.	Je dis que le futur peut comme bon homme semble Douer la fature.
ARNOLPHE l’ayant apperceu.	ARNOLPHÉ l'ayant aperçu.
Euh !	Euh !
LE NOTAIRE.	LE NOTAIRE.
