ADONIS .	ADONIS .
Qui plus me pignera ma cheueleure rouſſe, Qui derera mes traiti, qui ſourbica ma trouſſe?	Qui plus me pignera ma chevelure rousse, Qui déréra mes traiti, qui sourbica ma trousse?
Tu dois bien cupidon tes plumes arracber.	Tu dois bien cupidon tes plumes arracber.
Que ſeray-ie pauuret, où m’iray-ie cacber.	Que serai-je pauvret, où m'irai-je cacber.
Le raiſon me deffaut.	Le raison me défaut.
Mes ſeus ſont du taut mernei Jà le pere tonnant ſe ſouuient de ſes cornes.	Mes zeus sont du taut mernei Jà le père tonnant se souvient de ses cornes.
St ie retourne au ciel ie m’en repentiray, Et de mes ennemis la ſable ie ſeray.	St ici retourne au ciel ie m'en repentirai, Et de mes ennemis la sable iefaire.
Je noſerois ſender les campagnet humides Où mon traict vielent perce les Nereides?	Je noserais sender les campagnet humides Où mon trait vielent perce les Nereides?
m 3 Là Pbouques, & Dauphins en na ſlame rolé:	m 3 Là Pbouques, et Dauphins en na slamme rolé:
Languiſſent au giron de la froide Thetit.	Languissent au giron de la froide Thétit.
De huiſſon en Buiſſon ie trayneroù vns peine.	De huisson en Buisson ie traîneroù uns peine.
ne Auecques les moigueaux.	ne Avec les moigueaux.
Mais quoy la terre eſt plalD’amoureuſe pitié, les berbet & les ſleurs, Le cbant des oyſelets ſouſpire mes chaleurs.	Mais quoi la terre est plalD'amoureuse pitié, les berbet et les sleurs, Le cébant des oiselets soupire mes chaleurs.
Ce großier element contre moy ſe deſpite, L'air m'eſt iniurieux, vonut uethamteranee t Terre ereue tor ſein des bommet le tombeau;	Ce grossier élément contre moi se dépite, L'air m'est injurieux, vonut uethamterane t Terre ère tor sein des bommet le tombeau;
Precipitant dedaus mon corpt & mon ſlembeeu;	Précipitant dedaus mon corpt et mon slémbeeu;
Quure moy ie te pry' let Auerualles portes.	Quure moi -moi te pry' let Avales portes.
2 Qut je plonge mon vel deſſous les rlues mortes.	2 Qut je plonge mon vel dessous les rues mortes.
Hi que ſera Pluton qui m’a veu triompber Tenaillant ſa poltrine et tenebres d'enſer?	Hi que sera Pluton qui m'a vu triomper Tenaillant sa poltrine et ténèbres d'enser?
Que me dira Minos:	Que me dira Minos:
hé que ſerent les vubret Eutre les mirthes vers deſplerant mes encombres Qyi pour ſe deſiſter d’vne triſie priſon Ont ſouffert le couſteau, la corde, ou la peiſon?	hé que serent les vubret Éutre les mirthes vers déplerant mes encombres Qi pour se désister d'une trisie prison Ont souffert le coûteau, la corde, ou la péison?
Or bien tout eſt bardé.	Or bien tout est bardé.
Tout m’annonce la guerre, L’homme, les dieux, les cleux, les enſers, & la terri Surprendront vn aueugle en miſtre reduit, Qui par le vueil d’vn autre inſeuſe ſe conduit.	Tout m'annonce la guerre, L'homme, les dieux, les cleux, les ensers, et la terri Surprendront un aveugle en mistre réduit, Qui par le veuil d'un autre inseuse se conduit.
S mere ſauue-moy, tu ſcais que mon eſſence Naſquiſt ds toy Diane, & ſant ioy n'à puiſſane.	S mère sauve-moi, tu sais que mon essence Nasquit ds toi Diane, et sant joi n'à puissane.
ACTE SIAVARI JATRIESME.	ACTE SIAVARI JATRIESME.
MONPAMA :	MONPAMA :
Siluin.	Silvin.
prodiges certalus lvengeante diulne, ¶Vne vague froideur pat le corps me ibemint, Mã pertuque ſe dreſſe en la meſme ſapon, Que le dos icrité d’vn ſauuage beriſſon.	prodiges certalus lvengeante diulne, eN vague froideur pat le corps me ibemint, pertuque se dresse en la même sapon, Que le dos icrité sauuage berisson,
Mon œil eſt eiblouy, le courage me ſlotte, Ae n’ay vaine ny nerfquide peur ne trembloiſt.	Mon œil est eiblouy, le courage me slotte, Ae n'ai vaine ici nerfquide peur ne trembloist.
cemme le flêt iſmien, i'appe ſe courrouſſant Dien que l’au appaiſe ſeit demy languiſſant, El que le noil ojſif napriè ſes querclles!	cème le flêt ismien, j'appe se courroussant Dien que l'au apaise seit demi languissant, Él que le noil ojsif napriène ses querclles!
ampieſeuntute perurisinies vourrelles D’vue peur vebemente en met os ſe renger, Or que ie ſoit abſent du perilleux danger.	ampieseunute perurisinies vourrelles D'une peur vébemente en met os se renger, Or que sans soit absent du périlleux danger.
Montan.	Montan.
N'enten-ie pas Siluin?	N'entendie pas Silvin?
Siluin.	Silvin.
msis srascrels	msis srascrels
Montan, Qui le ſait retourner!	Montan, Qui le sait retourner!
O pauure miſerable!	Ô pauvre misérable!
siluin.	silvin.
Montan.	Montan.
D'où procede Siluin tel ſoucieux eſuor, Parle ſoudeinument quel mal quel deſar ey.	D'où procède Synuin tel soucieux esuor, Parle soudeinument quel mal quel désar y.
Eſt adueau depais qu’en cel plaines coucbees Nous trauaillous en vein les mutes repencheest Las ne me cele rien.	Est aveau dépais qu'en cel aines couces Nous travaillous en vein les mutes repencheter Las ne me cèle rien.
Siluin.	Silvin.
Touſieurs le malbeureux Se baſte de ſrauoit ſon enauy rigoureux Mentan ne t’enquiers plus, & lis ea mon viſage Sant plus n’initrreguer le ſurplus ds dommage.	Touieurs le malbeureux Se baste de srauoit son enavi rigoureux Mentan ne t'enquiers plus, et lis ea mon visage Sant plus n'initrèguer le surplus d dommage.
Montan.	Montan.
conte.	compte.
mor ce bazard.	mór ce basard.
Ton propir attendu Palt que plus it ſoupconne & me tend eſperdu.	Ton propir attendu Palt que plus it soupconne et me tend éperdu.
siluin.	silvin.
Nous aulont là deſia la tampagne ſuiule, Vn lieurt deuant nous recommandeil ſa vie A ſea pied tonr noyant au militu des abois, Lort dit le Papbier, aſſailloas les grands boït, Seconde-moy Siluin ilj a plus di grace De rompre l’ennemy qui plus fort nous menaſſe:	Nous aulont là déjà la tampagne suivle, Un lieur devant nous recommandeil sa vie A se pied tonr noyant au militu des abois, Lort dit le Papbier, assailloas les grands boït, Seconde-moi Siluin ilj à plus di ace De rompre l'ennemi qui plus fort nous menasse:
A gens effiminez ceſle ebeſſe appariient, Cercboni autte gibier, quille crainte nous tlent, Aiaſi p'ompt & bardi par la ſoreſt prochaine Cempaguon de ſes pus à l’inſtant il me maine Et ne ceſſe iamais qu’il ne ſolt paruenu La pait ou j’embechoit le danger incongnu.	À gens effinez cèle ébesse appariient, Cerconi autte gibier, quille ne nous tlent, Ajasi put et bardi par la sorêt prochaine Cempaguon de ses pus à l'instant il me maine Et ne cesse jamais qu'il ne solt parvenu La paît ou j'embéchait le danger inconnu.
O des pauures bumains eſperance peus taute!	Ô des pauvres bumains espérance peus aute!
Entore de frayeur mon ſain paſſe treſſaute.	Entore de frayeur mon sain passe tressaute.
Sien auant dans le bois vn vallon eſcar té Solitaire, muſſard, remply d’obſcurité, Où des mois refroidis les rauines t’eſtancbent Nourrit de ſon limon les ſaules qui ſe pancbent Lepublier bertulin les cannes, & roſeaux  B iiij	Sien avant dans le bois un vallon écar té Solitaire, mussard, rempli d'obscurité, Où des mois refroidis les ravines t'étancbent Nourrit de son limon les saules qui se pansbent Lépublier bertulin les cannes, et roseaux B iiij
Et eovut pareſſeux la fangt de cet eaux	Et évovut paresseux la fangt de cet eaux
De tà ſort vn ſanglier, vn ſanglier qul demeure Ronſtaut dedent rii peux luſque à temps que ie Ie rocher Garamant ny le ſablen morttl (meun Des Arabes-deſcrit n’enſantt ritn de tel.	De tà sort sanglier, un sanglier qul eure Ronstaut dedent ri peux lusque à temps que je Ie rocher Garamantagez le sablen mortt (meun Des Arabes-décrit n'ensant ritn de tel.
Il dißipe lis cbiens, il timpeſte, il les rout Il rord les ebeſnes vieux & ſemble qu’it ſe iouë, De ſus naſeeux ouuerls ſort va reuge tiſen, Qui biuſle les rameaux, la terit & le gaſen, Si là ce ſut troaul le fameux pegeſee, Tneut ent tenu la taine taxt priſee.	Il dissipe lis cambiens, il timpeste, il les rout Il rord les ebesnes vieux et semble qu'it se joue, De sus naseeux ouverls sort va revîtes ten, Qui biûle les rameaux, la terit et le gasen, Si là ce sut trol le fameux pegesee, Tenut ent tenu la ta taxt prisée.
At le btau ciopien prur iamais endorml Fal allé rencentier Prrilboys ſen amy Adonis qvi de loin veit approcher la beſte Aduance le pied gauebe & ſur l’autre s’arreſte, Il ſt plante dibout, & brandit aſſeuri centre le porc ſumeux, ſon trencbanl ateré, Leqvel ercupl du coup à coſté ſe deuoye Et naurant Adonis mori à terre l’euuoye.	At le btau ciopien prur jamais endorml Al allé rencentier Prrilbois sen ami Adonis qvi de loin vit approcher la bête Aduance le pieds gaue et sur l'autre s'arrête, Il st plante dibout, et brandit assuri centre le porc sumeux, son trencanl ateré, Léqvel ercupl du coup à côté se dévoie Et naurant Adonis mory à terre l'eudone.
Te pourſuis le uueurtrier, mais de moy ſe motquant.	Te poursuis le ueurtrier, mais de moi se motquant.
Plus viſte qu’vn eſclair, il ſe perd quant & quant O ciel iout eſt morid.	Plus vite qu'être éclair, il se perd quant et quant Ô ciel jout est morid.
& la ſeur filandiere Fait triibucber not iours en l’elernelle biere.	et la sûr filandière Fait triibucer not jours en l'élernelle bête.
Tout ce qu’on voit icy quelqueſois perira, Et cela qui naſquil à la paifn mourra, Comme iadis ſonnait la guiterre d’Orſce.	Tout ce qu'on voit ici quelques périra, Et cela qui nasquil à la paifn mourra, Comme jadis sonnait la guiterre d'Orsse.
veyez que ſert bumaint l’amillé d’vne ſee, Vorez quel infortune, Apprenez apprenez, Et d’amour ineſgel vos cœurs n’eſpoiçonnez Autre qu’vn Ditu marty tranſporté de ſarit.	veinez que sert bumaint l'amillé d'une zé, Vorez quel infortune, Apprenez apprenez, Et d'amour inégel vos cœurs n'espoiçonnez Autre qu'un Ditu marty transporté de sarit.
N’a cauſe ceſte mort, Ocbaſſe, ô venerie, Orbets entrenoütz, ó temer aire ardeur.	N'a cause cette mort, Ocbasse, ô vénerie, Orbets entrenoütz, temer aire ardeur,
O du ſens aucugll (barmereſſe grandtur.	Ô du sens aucugll (barmeresse grandtur.
Lu qu’il tuſt mieux vallu ſou vla vtrie fougira	Lu qu'il tût mieux vallu sou la vtrie fougira
vourtiſer & ſeruir vne belle Bergert, Que mettre et ſi baut lieu ſon deſir Impulſſaut, Phaëton beritier du char reſplendiſſaut Le ciel enfut trouble, & la terte enflambet.	vourtiser et servir une belle Bergert, Que mettre et si baut lieu son désir Impulssaut, Phaéton béritier du char resplendissaut Le ciel enfut trouble, et la terte enflambet.
Parelllement außi du plus baut de Iunon Jeare cheut en l’eas qui perte encere ſon nom.	Parellllement aussi du plus baut de Junon Jeare chut en l'eas qui perte encère son nom.
Il n’eſt que de reſer de ſes ailes la terre, 1 Craingaant det imnorteli les dardi & le iennerre, Souueut ces ſeux divius par la uiort ſont ſinù, Jacinibe le ſçait, & toy pauure Adenus.	Il n'est que de réer de ses ailes la terre, 1 Craingaant det imnorteli les dardi et le iennerre, Souveût ces seux divius par la uiort sont sinù, Jacinibe le sait, et toi pauvre Adenus.
gues Briſez-vous mes paneaux, & veus limjers & deRempliffez ves ſereſts de ves burlemens regues, Abbajez, lamentez & d’vn ery plus trencbant Raconiez aux teillis ceſt eſelandre meſcbant.	gués Brisez-vous mes peneaux, et veux limjers et deRempliffez vez servêts de vez burlements rues, Abbajez, lamentez et d'un eri plus trencant Raconiés aux teillis cest eselandre mécbant.
Heriſſez-vous le poil, rompez ves aiſles doubles.	Hérissez-vous le poil, rompez vez aisles doubles.
Poriez l’eſcume aux dents, & le ſang aux yeux troubles vous petits Amoureaux, vous eſquadronsguerrlers Qui peiguant vn ecur faint en la peau des laurlem Pour mieux viſer apres la poiſtrine morſelle, Exercez iour & nuict voſtre pointe fidelle:	Poriez l'écume aux dents, et le sang aux yeux troubles vous petits Amoureaux, vous équadronsguerrlers Qui péiguant un ecur saint en la peau des laurlem Pour mieux viser après la poitrine morselle, Exercez jour et nuit votre pointe fidèle:
Qui de fruicls & de fleurs comblez vn beau conſmi Voibuſtes, vos moiſſons mainteuant prennent ſinAuellez en erlant viſtre plume accroupie Comme un poucinet d'Aouſt qui de tbaleur peple, Ou ſi vous aymez mieux vanger un iouuenceau Anoureux de Cyprlne accablez ce pourceau.	Qui de fruicls et de fleurs comblés un beau consmi Voibustes, vos moissons mainteuant prennent sinAulez en erlant vite plume accroupie Comme un poucinet d'Août qui de tbaleur péple, Ou si vous aimez mieux venger un iouuenceau Anoureux de Cyprne accablez ce pourceau.
Plus Il eſt ſurieux, plus aurez-veus de gloire Plus aura de ctedit voſtre flecbe notoire, volez porte-quarquois, & par l’ait ſoutentts Allęz à tire d' iſle annoncer à Venus Qu'auecque pon adon morte eſt ſon eſperame, Tandis nous gemront ceſte truelle offente.	Plus Il est surieux, plus aurez-levus de gloire Plus aura de cédit votre flécée notoire, volés porte-quarquois, et par l'ait soutentts Allz à tire d' isle annoncer à Venus Qu'avec pon adon morte est son espérame, Tandis nous gémront cette truelle offente.
ACTE CINQVIESMR VARVS LOADRS	ACTE CINQUIESMR VARUS LOADRS
D’ADONIS.	D'ADONIS.
Denuses-tu mert?	Denuses-tu mert?
belat eber Adonee II AI’as-tu derc aux regrets & pleurs abadõnes Ou es-Iu mon Aden?	bêlât eber Adone II AIas-tu derc aux regrets et pleurs abadõnes Ou es-Iu mon Aden?
ou c’irayeit cercher Adouis, Adenis reſpons mon amy cher Reſpont s’il te ſouuient de noſtre douce ſtame Las lu ne me dis mot, & cet rocbes ſant amt Ces autret & ces bois ont quelque impreßion Redbablant les accent de mon affliction.	ou c'iraieit cercher Adouis, Adénis répons mon ami cher Respont s'il te souvient de notre douce stâme Las lu ne me dis mot, et cet rocbes sant amt Ces autre et ces bois ont quelque impression Redablant les accent de mon affliction.
Ha pauure ie ſe vois, ie vou ton beau corſers, Paſle mort & tranſi qui meſure l'herbage, Jant bonneur & vigueur de ſon long eſtendu.	Ha pauvre ici se vois, tu vou ton beau corsers, Pâle mort et transi qui mesure l'herbage, Jant bonneur et vigueur de son long étendu.
Ie veit le ſans pourpei ſur l’areſae eſpandu.	Je vit le sans pourpei sur l'aresa épandu.
Ciel ingrat, ciel ialoux, indigne de lumiert, Maiſon de eruauil, deſtoyale tenniere.	Ciel ingrat, ciel jaloux, indigne de lumiert, Maison de ervavil, détoyale tennière.
De monſtres, de brigans, aſſaſtins, & voleur!	De monstres, de brigants, assâtins, et voleur!
, lEt magazin ſarcy de cent mille malbeurt.	, lEt magazin sarcy de cent mille malbeurt.
Tu as dincques ver ſé teſtt maudite peſte Pour me donner ennuy.	Tu as dincques ver zé testt maudite peste Pour me donner ennui.
I’inuoque, ie t’atteſte O riuiere de Stir & ton Roy ſouterrain.	J'invoque, Seigneur t'atteste Ô rivière de Stir et ton Roi souterrain.
231 Qui garrote Saturne en cent chaines d’aiteinI.	231 Qui garrote Saturne en cent chaines d'aiteinI.
*.	*.
Dleux metins qui trompiz des borimer le courase, Lequel eſt-ce de vous qui m’a fail ceſt outragid ee.	Dleux métins qui trompis des borimer le courase, Lequel est-ce de vous qui m'a fail cest outragid ce.
O combien à grand tort ſur vos diulns autels piled Fume iournellement l’offrande det morteli:	Ô combien à grand tort sur vos diulns autels piled Fume journellement l'offrande dét morteli:
í, palilEſt-ce tor geuuerneur du bourdohnant teunerre Qui meſpriſe le citl pour aimtr en la terre?	Çà, palilEst-ce tor geuuerneur du bourdohnant teunerre Qui méprise le citl pour aimtr en la terre?
Eſt-ce toy babillard ſerſ de tes atpetits, Qui menas paſſuges les Thiſſaiti brobin?	Est-ce toi babillard sers de tes atpétits, Qui menas passuges les Thissaiti brobin?
Ou ter lerion vollant à la plante legett, Atlenibide cour rier maquercau de ton pere?	Ou ter lerion vollant à la plante légett, Atlenibide cour rier maquercau de ton père?
O tey Dies carnaßier de courieux allume, Que i’ay d’vn ſeuſ clin d’œit ſi ſouuent deſarmé?	Ô tei Dies carnassier de courieux allume, Que j'ai d'une zeus clin d'œit si souvent désarmé?
Mtais eſt te toy Minerne eſt-ce toy Preſerpine.	Mtais est te toi Minerne est-ce toi Prespine.
Qui repaiſt ton ar deur d’innocente rapine, Qui vierge te ſaignaut aimes pourtant le lis Du ſetrel Orion & du leune Hjprlitt Dites qui c’eſt de vous, que ritn on ne pe celle, De peur que ma ſureur iuſtimeut ci iminelle Ne diffame celuy qui ne l’amtrite:	Qui repaît ton art deur d'innocente rapine, Qui vierge te saisgnaut aimes pourtant le lis Du stèrel Orion et du lune Hjprlitt Dites qui c'est de vous, que ritn on ne pe celle, De peur que ma sûreur justimut cy iminelle Ne diffame celui qui ne l'amtrite:
Ceſſe ceſſe Veaus ta graad temer ité, vois-tu pas ce chartier Phœbus par le nueſe Ioyeux de ton eſmoy reluire dauantage Vois-iu la trahiſen?	Cesse cesse Veaus ta grad témer ité, vois-tu pas ce chartier Phœbus par le nues Joyeux de ton émoi reluire davantage Vois-ju la trahisen?
la ſens-ſu maintenant O tegret à douleur, mon cœur empoiſonnant.	la sens-su maintenant Ô rgret à douleur, mon cœur empoisonnant.
Appreche-toy du coips miſerable Dieſſe, Afp oche-toy de luy & lamante ſani ceſſt Ce deſaſtre melin:	Apreche-toi du coips misérable Diesse, Afra oche-toi de deux et lamante sani cesst Ce désastre melin:
couppt-toy les ebeueux, Et rien ſinon la moel ue reprennent tes peux, Echauſſe en ton giron amante malbeureuſe De ſouſpies redoublez ceſt image amoureuſe Baiſe-la pour iamais, & ce corps treſpaſié Seit pitoyablement de tes bias tnlaße.	couppt-on les ébueux, Et rien sinon la molâge reprennent tes peux, Échausse en ton giron amante malbureuse De soupiez redoublés cet image amoureuse Baise-la pour jamais, et ce corps trespasié Seit pitoyablement de tes bias tnlasse.
Si quelque iſprit erraut ſur les leures babile, Si quelque viſ baiser en ſe bouche palpite Ilie le ſaut tueillir.	Si quelque isprit erraut sur les lèvres babile, Si quelque vis baiser en se bouche palpite Ilie le saut tueillir.
Helas mon cher Adon:	Hélas mon cher Adon:
Où ſont de tes beaux yeux l’vn & l’autre brandon Où ſont ces mots dorez, ou ſont tes ibeueux creſpes Mais ox ſent maintenant mille amoureuſes gueſpes, Où ſont mille b aſcz, où ſont tes doux attraiſts Que mon filt de ja mait aueit meſmi por traicis, ieuort que patie a bieu tc u’ay peu dire * corail iougiſſant cauſe de ſon marſyre, ent ſoit apres ta uoit ie le rebaiſeray, ui jon & tim taione te ratollerar.	Où sont de tes beaux yeux l'autre et l'autre brandon Où sont ces mots dorés, ou sont tes ibeveux crêpes Mais ox sent maintenant mille amoureuses guêpes, Où sont mille b ascés, où sont tes doux attraists Que mon filt de ja mait avit mémi por traicis, ieuort que pâtie a bieu t ay peu dire * corail iougissant cause de son marsyre, soit apres ta uoit ie le rebaiseray, jon et tim taione te ratollerar.
preſſeray tes yeex it baiſtray ta beucbe.	presserai tes yeex it baistrai ta bucbe.
doris tu me ſuis, & me ſimbles ſarouche lus que deuant ta mort, cruelle qu’ay-ie faict?	doris tu me suis, et me simbles sarouche lus que devant ta mort, cruelle qu'ai-je fait?
rep tard ie recegnoit me coulpe & mon ſorfaict.	rep tard venir recegnait me coulpe et mon sorfait.
eſt moy qui ſ'ar terdu, c’eſt moy ie le conſeſſe, a punp ie tuaut la ſiere cbaſſereſſe.	est moi qui s'ar terdu, c'est mo ie le consesse, a punp tu sienne la sière cbasseresse.
L’ombre d’Adonis.	L'ombre d'Adonis.
Mon ame, mtt amours, mon cœur & mon ſoucy, e vient pour veus reuolt du manoir obſturcy.	Mon âme, mert amours, mon cœur et mon souci, e vient pour veus révolt du manoir obsturci.
e gemiſſez point taut, appaiſez ie vous prie eſte plaiui?	E gémissez point taut, apaisez ie -vous prie este plaivi?
& ces pleurs, appaiſcze vous ma vle vn ſeul peint ie vous veux ſeulenient requerfr, emt ſaites Verus encor vn coup mourir:	et ces pleurs, apaiscze vous ma vle un seul peint ie vous veux seulénient requerfr, emt saites Verus encor un coup mourir:
a parque a retrencbl ma ieuneſſe premiere I'au creux Auernalms peine priſonniere oit les fiois Letheent, mais vos triſtes clameurt.	a parque a retrencbl ma jeunesse première J'au creux Auernalms peine prisonnière oit les fiais Letheent, mais vos tristes cleurt.
ont que mort vne ſeis vne autre ſois ie meurs, ardoruiz ma Dleſſe à ces dures complaintes, t ne teruiſſez plus ſes deux lumſeres ſaintes force de pleurer car ie ſuit trop beureux uiſque vous dalgnez bien me nommer l’ameureux e vos perſectiont ny les tardes annees, I di ſol l’inconſtaut tes melns plus ſortuntes e me pouueyent offrir plus de contentement, uiſque iemeurs pour vous ie meurs heueuſement!	ont que mort une seis une autre sois Seigneur meurs, ardorvis ma Dlesse à ces dures complaintes, t ne terissez plus ses deux lumsères saintes force de pleurer car ainsi suit trop beureux évisque vous dalgnez bien me nommer l'ameureux e vos persectiontagez les tardes années, I di sol l'inconstaut tes melns plus sortuntes me pouueyent offrir plus de contentement, uisque humeurs pour vous vous meurs heusement!
Padant n’oubliez la terte Paphieme, Slour de mes ajeult, & touſiours vous ſourienne uaudὸ moy le n'n voit en la nuict litrutlli, Où le noiber caron tous les hommet atpelle.	Padant n'oubliés la terte Paphieme, Sour de mes ajeult, et toujours vous sourienne uaudὸ moi le n'n voit en la nuit litrutlli, Où le noiber caron tous les hommet atpelle.
Venus.	Venus.
Lat amy lu t’en vas, Las il eſt ià party:	Lat ami lu t'en vas, Las il est ià parti:
Et te ſon doucereux, i’eſt eu rlex conuerty.	Et te son doucereux, j'est eu rèlex converti.
Eſtrange & dure loy que les hommes deſcendent Si toſt daus le ſepulebre, & leur aage deſpeudeni Sant eſpoic de retour ô ſuuebre deſlin On couppe lous let ans let maiues & le tbin, Les mauues & le ibit leur verdure repreunent Mait les bemmes s’en vont, & iamais ne reuiennent Maudit ſoit le ſerpent que l’aſue ſoit maudit Qul au ſerpent ruſe la ieuuence vendit, Ie veis bien que c’eſt ſait Aditu boucbe vermellle Adieu front delicat, de blancheur nompareille.	Étrange et dure loi que les hommes descendent Si tôt daus le sépulebre, et leur âge dépeudeni Sant époic de retour ô suebre délin On couppe lous let ans let maives et le tombin, Les mauves et le ibit leur verdure repreunent Mait les bemmes s'en vont, et jamais ne reviennent Maudit soit le serpent que l'asue soit maudit Qul au serpent ruse la jeuvence vendit, Je veis bien que c'est sait Aditu boucbe de Adieu de délicat, de blancheur et .
Adieu ebeueux creſptz.	Adieu ébeveux crespts.
Adieu ſiambeaux germains Adieu ſourcili voutez, Aditu bras, Adieu mains, Bien que voſtrɇ vigueur deſia ſoit effacee Donnez-moy belles mains encore vne embraſſee.	Adieu siambeaux germains Adieu sourcili tés, Aditu bras, Adieu mains, Bien que vostr vigueur déjà soit effacée Donnez-moi belles mains encore une embrassée.
Adieu bel eſtomacb dont l’amoureux pouuoir A fait en moneſprit ſes ardeurs conceuoir, Adieu pieds, adieu pas, adieu iambe longuelte Adieu plalſir paſſe, que triſte ie regretie.	Adieu bel estomacb dont l'amoureux pouvoir A fait en monesprit ses ardeurs concevoir, Adieu pieds, adieu pas, adieu jambe longuelte Adieu plalsir passe, que triste de rretie.
Heureuſe ſut Here quitomba du chaſtean Sur Leander neyé & el' qui d’vn couſteau Mettant fin à ſon mal mourut auec Pirame:	Heureuse sut Hère quitomba du châtean Sur Leander neyé et el qui d'une couteau Mettant fin à son mal mourut avec Pyrame:
Mait pour ne mourir point ie ſens au ſont de l’am Une liernelle mort & la diuinité De ſuiure mon amy m’eſte la liberit.	Mait pour ne mourir point ainsi sens au sont de l'am Une liernelle mort et la divinité De suivre mon ami m'este la libérit.
Sorent tant qu’elles voudront les portes tenarees.	Sorent tant qu'elles voudront les portes ténarées.
Ames pieds, à mes pleurs eſtroittement ſerreet Teuſiours, touſiours Venus en miſere viura Et quelque part qu'elle aille vn enſer la ſuiura, * uv	Âmes pieds, à mes pleurs étroittement serreet Teusiours, toujours Venus en misère ura Et quelque part qu'elle aille un enser la suivra, * uv
Et en mox cœur eſpeus beüillesa pblegeton.	Et en mox cœur épeus beüillesa pblegeton.
Somme ie pet ter ay les euſeis de Pluion, Sus dunt aeratbez moy ces ſlaur ettes pendentes Fitb z.	Somme ie pet ter ay les euseis de Pluion, Sus dunt aerbez moi ces slaur ettes pendentes Fitb z.
moy ds ebaedeus, & det rences mordantes Teut à l’euteur du ebeſ ſais s mey tout expres En liu de ma touronne vn chapeau de Cypraz:	moi ds ébaedus, et dét renées mordantes Teut à l'euteur du ébes sais s mey tout exprès En live de ma touronne un chapeau de Cypraz:
Mes plaiſies ſont ſauez atuſi tomme la beancbe De haetius ſans app iy tontre terre ſe penche.	Mes plaisiez sont savez atusi -même la béanceaNée haétius sans app y tontre terre se penche.
Ie veux que deſormois, mes Cgnes blancbißans Veſtent le noir babit des oyſeaux croacans.	Je veux que désormais, mes Cgnès blancbissans Vêtent le noir babit des oiseaux croacants.
Ie veux que mes pigeons ſe trausſoiment en pies Et mes petits amouis en ſanglantes Harpies, Mes graces deſormait ſant grates deuitnde ont, Et comme treis ſureues aux bommes apprendient La rage, les ſoefaits, les deteſtales œuutes Semaat de tous coſtez milles noites couleuures:	Je veux que mes pigeons se traussoiment en pies Et mes petits amouis en sanglantes Harpies, Mes grâces désormait sant grates deuitnde ont, Et comme treis sûres aux bommes apprendient La rage, les sofaits, les détestales œuutes Semat de tous côtés milles noites couleuvres:
De ſlous mon pied naiſtra en lieu de blons eſpis Vne ſiere moiſſinde crappaux.	De slous mon pied naîtra en lieu de blons épis Ne somme moissinde crapaux.
& d’aſpis Et moy qu’on ta nommant mece de tout le monde Seray de l'uuiuers la perniet ſetoade:	et d'aspî Et moi qu'on ta nommant mece de tout le monde Serai de l'uuiuers la perniét ode:
Hpmen le doux Hymen plus ne m’acoſtera Cerbere deuant moy cruet dtuoreta Teus auimaux viuant, & ma belle ceinture Qui ſouloit aquoiſez des ondes le murmure Emouura deſe mais la tenpeſte & l’horreur Sus donc ie veux moy-meſme attainte de ſureur;	Hpmen le doux Hymen plus ne m'acôtera Cerbère devant moi cruet dtuoreta Tus auimaux vivant, et ma belle ceinture Qui soûlait aquoisez des ondes le murmure Emouvra dese mais la tenpeste et l'horreur Sus donc j' heu moi-même attainte de reur;
Rimpre l’iuoiet blant de mon viſage tendre, Ie te veux Adonis dececheſ ſairt entendre Mor ſouey violent.	Rimpre l'ivoiet blant de mon visage tendre, Je te veux Adonis déceches sairt entendre Mor souéi violent.
El ſi tu ne me tois Aſromalesr axmoint ma gemipanla veie Appollon & Dianc ont ceſte moit braſſee, Mais ię leur garderay vne ſourde penſee Emort ſe vengera.	El si tu ne me tois Asromalesr axmoint ma gémipanla veie Apollon et Dianc ont cette moit brassée, Mais ię leur garderai quelque sourde pensée Emort se vengera.
Ie le ieur e & nromets, jeu mor Adonis, adieu donc à iamais.	Je le jeur e et nromets, jeu mór Adonis, adieu donc à jamais.
t;	t;
	
FIN.	FIN.
Sourcé	Sourcé
PARADOXE DV MESME AVTHEVR.	PARADOXE DU MÊME AUTHÉVR.
Que les Dames doiuent marcher le lein deſcouuert.	Que les Dames doivent marcher le in découvert.
E1 17 9 E ne ſcar par quelle malice, On dit auieard’buy que t’eſt vice De morſtrer le ſein rondelet.	E1 17 9 ne scar par quelle malice, On dit avieard'bui que t'est vice De montrer le sein rondelet.
Queu qu’au premier timpi d’innocenti La ſemmt n’euſt ont cognoiſſants Ni darobbe, ni de tollet.	Queu qu'au premier timpi d'innocenti La semmît n'eût ont connaissants Ni darobe, ni de tollet.
Elle cheminoit teute nuë Dans les prez ſur l’beibe menuë Par lant auec ſon amoureux:	Elle cheminait tute nue Dans les prés sur l'abeibe menue Par lant avec son amoureux:
Elaſmtrons-nous les Damoiſelles, Qui commencent par les mammelles A tamener le iemps beureux?	Elasmtrons-nous les Damoiselles, Qui commencent par les mammelles A tamener le jour beureux?
Il faut cacher la mois ſauuage Tainte de ſang & de carnage, Et couurir la bouebe qui hent:	Il faut cacher la mois sauvage Tainte de sang et de carnage, Et couvrir la bouebe qui hent:
