A MADEMOISELLE, MADEMOISELLE.	À MADEMOISELLE, MADEMOISELLE.
POLEXANDRE.	POLEXANDRE.
Vi des deux n’a point de conſcience?	Vi des deux n'a point de conscience?
LIMACON.	LIMAÇON.
Hé!	Hé!
me connoiſſez-vous?	me connaissez-vous?
POLEXANDRE.	POLEXANDRE.
Trop.	Trop.
LIMACON.	LIMAÇON.
D’où?	D'où?
POLEXANDRE.	POLEXANDRE.
D'experience:	D'expérience:
LIMACON.	LIMAÇON.
Mais eſt-il vray qu’encore on ne vous ait point dit Si l'on n’a du recours que contre voſtre eſprit, Pour vous faire Mõſieur acquiter de vos debtes, Que de vos creanciers les affaires ſont faites?	Mais est-il vrai qu'encore on ne vous ait point dit Si l'on n'a du recours que contre votre esprit, Pour vous faire Monsieur acquitter de vos débtes, Que de vos créanciers les affaires sont faites?
Et que torcher leur barbe, & dire qu’ils ont bû Vaut à peu prés l’argent qu’ils auront de leur dû?	Et que torcher leur barbe, et dire qu'ils ont bu Vaut à peu près l'argent qu'ils auront de leur dû?
POLEXANDRE.	POLEXANDRE.
Comment, vous pretendez vous faire méconnoiſtre!	Comment, vous prétendez vous faire méconnaître!
LIMACON.	LIMAÇON.
Mais, qui ſuis-je?	Mais, qui suis-je?
parlez?	parlez?
qui ſuis-je?	qui suis-je?
POLEXANDRE.	POLEXANDRE.
Vn double traiſtre.	Un double traître.
LIMACON.	LIMAÇON.
La raiſon qui vous fuit, sẽble aſſez m’aduertir.	La raison qui vous fuit, sûble assez m'avertir.
Que ie dois d’auec vous m’appreſter à ſortir, Qu’à demeurer icy ma perte eſt manifeſte, Et que c’eſt grãd hazard ſi vous n’auez la peſte;	Que était dois d'avec vous m'apprêter à sortir, Qu'à demeurer ici ma perte est manifeste, Et que c'est grand hasard si vous n'avez la peste;
Rappellez vôtre eſprit:	Rappelez votre esprit:
mais i’eſtime qu’il faut Cõme il eſt vn peu loin, ſifler vn peu bien haut.	mais j'estime qu'il faut Comme il est un peu loin, si fait peu bien haut.
POLEXANDRE.	POLEXANDRE.
Le mien qui n’a cedé iamais à pas vn autre, Deuroit pourtant marcher ſur le ventre du voſtre.	Le mien qui n'a cédé jamais à pas un autre, Deurait pourtant marcher sur le ventre du vôtre.
LIMACON.	LIMAÇON.
cur le ventie uumien ?	cur le ventie uumien ?
e en eſt fait, il eſt mort.	eu en est fait, il est mort.
POLEXANDRE.	POLEXANDRE.
Oüy, s’il demeuroit là.	Oui, s'il demeurait là.
LIMACON.	LIMAÇON.
Mon glaiue auroit grand tort.	Mon glaiue aurait grand tort.
Polexandre s’enfuit.	Polexandre s'enfuit.
SI.	SI.
que tous les boiteux ne vont-ils de la ſorte.	que tous les boiteux ne vont-ils de la sorte.
CCENVE III LEONOR, LIMACON.	CCENVE III LEONOR, LIMAÇON.
LEONOR.	LEONOR.
A Maiſtreſſe, Monſieur, m’a dit qu’elle M eſtoit morte Si vous ne luy rendiez.	À Maîtresse, Monsieur, m'a dit qu'elle Mmes morte Si vous ne le rendiez.
LIMACON.	LIMAÇON.
Que ne ſuis-je mon cœur, Obligé de luy rendre aujourd’huy ſon hõneur!	Que ne suis-je mon cœur, Obligé de Seigneur rendre aujourd'hui son honneur!
LEONOR.	LEONOR.
LEONOR.	LEONOR.
terez donc, s’il vous planerde lay lendre ſa niepce?	teréz donc, s'il vous planerde lai lendre sa niepce?
LIMACON.	LIMAÇON.
Ma chere Leonor, c’eſt vne bonnẽ piece.	Ma chère Leonor, c'est apprendre pièce.
De mon propre logis il a falu ma foy, Que nous ſoyons ſortis Noſtradamus & moy;	De mon propre logis il a fallu ma foi, Que nous soyons sortis Nostradamus et moi;
D’où vient?	D'où vient?
pour éuiter ſa colere & ſa rage, Qui ſans doute auroit pû nous ſauter au viſage.	pour éviter sa colère et sa rage, Qui sans doute aurait pu nous sauter au visage.
Ie crains qu’il ne m’en coûte vn peu beaucoup d’efforts, Pour obtenir contre elle vne priſe de corps.	Je crains qu'il ne m'en coûte un peu beaucoup d'efforts, Pour obtenir contre elle une prise de corps.
LEONOR.	LEONOR.
Il la faut élargir, rendez nous Iſabelle.	Il la faut élargir, rendez nous Isabelle.
LIMACON.	LIMAÇON.
Paſſe pour le premier, pour l’autre bagatelle.	Passe pour le premier, pour l'autre bagatelle.
LEONOR.	LEONOR.
Lors qu’Argine a pour vous l’eſprit ſi tranſporté, Qu'’elle voudroit pouuoir vous pendre à ſon coſté, Il faut qu’injuſtement elle ſoit mépriſée, Quand ſon cœur eſt pour vous tendre comme roſée?	Lors qu'Argine a pour vous l'esprit si transporté, Qu'elle voudrait pendant vous pendre à son côté, Il faut qu'injustement elle soit méprisée, Quand son cœur est pour vous tendre comme rosée?
LIMACON.	LIMAÇON.
Donne moy l’aſſeurance auecque tous ſes biẽe, De n’eſtre point couru d’vne meute de chiens, Lors que i’auray d’vn Cerf la funeſte encolure?	Donne -moi l'assurance avec tous ses bien, De n'être point couru d'une meute de chiens, Lors que j'aurai d'un Cerf la funeste encolure?
LEONOR.	LEONOR.
Hé!	Hé!
voſtre propre bien vous peut-il faire injure Qu’à craindre vn rien du tout voſtre eſprit eſt dnpes.	votre propre bien vous peut-il faire injure Qu'à craindre un rien du tout votre esprit est dnpes.
Liſez, & ce billet va vous mettre en repos.	Lisez, et ce billet va vous mettre en repos.
BILLET.	BILLET.
Il lit.	Il lit.
Mon cher, au gré de mon caprice, Fuſſiez vous-meſme mon mary, Ie puis ſans vous faire injuſtice, Prendre la liberté de faire vn fauory;	Mon cher, au gré de mon caprice, Fussiez vous-même mon mari, Je puis sans vous faire injustice, Prendre la liberté de faire un favori;
nt crains peu de paſſer pour beſte, Quand i’agiray de la façon;	n' crains peu de passer pour bête, Quand j'agirai de la façon;
Puis que les cornes à la teſte bont du propre d’vn Limaçon.	Puis que les cornes à la tête bont du propre d'un Limaçon.
LIMACON.	LIMAÇON.
Vn ſi charmant eſprit n’aura iamais la peſte.	Un si charmant esprit n'aura jamais la peste.
LEONOR.	LEONOR.
Elle aura donc bien-toſt voſtre cœur?	Elle aura donc bientôt votre cœur?
LIMACON.	LIMAÇON.
Diable zeſte;	Diable zeste;
Qu’il faut bien vn objet trouſſé d’autre façon, Pour auoir les amours du Seigneur Limaçon	Qu'il faut bien un objet troussé d'autre façon, Pour avoir les amours du Seigneur Limaçon
LEONOR.	LEONOR.
Migine vablemtor.	Migine vablemtor.
LIMACON.	LIMAÇON.
Puis qu’elle va deſcendre, Donne luy ce poulet, & luy fay bien entendre Que malgré ſon eſprit rigoureux & tyran, le ſuis ſeur à mes feux de donner du nanan;	Puis qu'elle va descendre, Donne Roi ce poulet, et tu fais bien entendre Que malgré son esprit rigoureux et tyran, le suis sûr à mes feux de donner du nan;
Et qu’ainſi.	Et qu'ainsi.
ſeruiteur la voila qui s’aduance?	serviteur la voilà qui s'avance?
Allons voir noſtre oyſeau	Allons voir notre oiseau
SOEIVETV, LEONOR, ARGINE.	SOEIVETU, LEONOR, ARGINE.
LEONOR.	LEONOR.
VOus perdiez patience?	VOus perdiez patience?
Encore auez-vous pû tout entendre aiſement?	Encore avez-vous pu tout entendre aisément?
ARGINE.	ARGINE.
I'en ay trop entendu, montre moy prõptement S’il donne à ſon eſprit vn galant cours de ventre, Et du ſieur Appollon s’il eſt vn docte Chantre?	J'en ai trop entendu, montre moi promptement S'il donne à son esprit un galant cours de ventre, Et du sieur Apollon s'il est un docte Chantre?
Elle lit.	Elle lit.
Mon cœur pour m’exprimer l’ardeur de mon deſir, Vient de pouſſer pour vous la moitié d’vn ſoûpir :	Mon cœur pour m'exprimer l'ardeur de mon désir, Vient de pousser pour vous la moitié d'un soupir :
Mais voyez à quel point ſon amour la tranſporte!	Mais voyez à quel point son amour la transporte!
Si mon demy ſoûpir ne m’eſt bien-toſt rendu Qu'un petit Latin vous empolte, Sans preiudice d’autre dû.	Si mon demi soupir ne m'est bientôt rendu Qu'un petit Latin vous empolte, Sans préjudice d'autre dû.
ARGINE.	ARGINE.
Voila des vers ſi doux, qu’on pourroit ce me ſemble, S’en ſeruir pour du miel.	Voilà des vers si doux, qu'on pourrait ce me semble, S'en servir pour du miel.
SCENE V NOSTRADAMVS, ARGINE, ETCNOR,	SCÈNE V OSTRADAMUS, ARGINE, ETCOR,
NOSTRADAMVS.	NOSTRADAMUS.
HA!	HA!
tout le corps m'en tremble!	tout le corps m'en tremble!
LEONOR.	LEONOR.
Pourquoy Noſtradamus!	Pourquoi Nostradamus!
NOSTRADAMVS.	NOSTRADAMUS.
Ha!	Ha!
que le diable eſt noir!	que le diable est noir!
ARGINE.	ARGINE.
Hé!	Hé!
l’as-tu iamais veu ?	l'as-tu jamais vu ?
NOSTRADAMVS.	NOSTRADAMUS.
Le beau venez-y voir ?	Le beau venez-y voir ?
I’aurois crû qu’aux Enfers le blond fuſt à la mode:	J'aurais cru qu'aux Enfers le blond fût à la mode:
Mais vrayement l’on y fait ſuiure vne autre methode.	Mais vraiment l'on y fait suivre une autre méthode.
Mon Maiſtre tout à l’heure à peu prés aujourd’huy, Pour y voir ſes amours voulãt entrer chez luy, Vn grand diable équipé d’vn effroyable ſorte, Pés qu’il voit l’ẽtr’ouurir ſe presẽte à la porte;	Mon Maître tout à l'heure à peu prés aujourd'hui, Pour y voir ses amours voulant entrer chez chez, Un grand diable équipé d'Han effroyable sorte, Pez qu'il voit l'entr'ouvrir se presque à la porte;
Mon Maiſtre cependant auec dexterité La rererme, & enacuns enfuit de ſon coſté, Et ma perſonne alors fut ſi fort effrayée, Qu'elle en ſera deux mois pour le moins dódoyce.	Mon Maître cependant avec dextérité La rererme, et enacuns enfuit de son côté, Et ma personne alors fut si fort effrayée, Qu'elle en sera deux mois pour le moins dódoyce.
LEONOR.	LEONOR.
C’eſt vn conte à plaiſir?	C'est un compte à plaisir?
NOSTRADAMVS.	NOSTRADAMUS.
Non par bieu, Leonor, Et ie croy qu’à preſent mon Maiſtre fuit cor.	Non par bieu, Leonor, Et ainsi crois qu'à présent mon Maître fuit cor.
ARGINE.	ARGINE.
Te croiray-je?	Te croirai-je?
NOSTRADAMVS.	NOSTRADAMUS.
Ouj vrayemeut,ay banir le diable.	Ouj vraimeut,ai banir le diable.
De s’adjuſter ainſi qui peut eſtre capable?	De s'ajuster ainsi qui peut être capable?
à Leonor.	à Leonor.
Auant que de chercher l’Illuſtre Limaçon, Ie te feray l’amour:	Avant que de chercher l'Illustre Limaçon, Je te ferai l'amour:
mais trefue à la façon, Pour te dire de cœur auſſi bien que de bouche, Pourquoy n’és-tu pas ruche, & ne ſuis-je pas mouche, Ie trouuerois bien-toſt vne forme à mon pié?	mais trouve à la façon, Pour te dire de cœur aussi bien que de bouche, Pourquoi n'avez-tu pas ruche, et ne suis-je pas mouche, Je trouverais bientôt une forme à mon pie?
O Ciel!	Ô Ciel!
que ce threſor ne m’eſt-il confié?	que ce trésor ne m'est-il confié?
Adieu.	Adieu.
SCENE VI.	SCÈNE VI.
ARGINE, LEONOR, POLEXANDRE.	ARGINE, LEONOR, POLEXANDRE.
ARGINE.	ARGINE.
IVoy!	IVoi!
vous oſez.	vous osez.
POLEXANDRE.	POLEXANDRE.
Ha!	Ha!
ſçachez vne choſe, Ou qu’il faut que ie meure, ou que ie me repoſe, Et que i’ay crû de l’air que l’on m’a relancé, Qu’on vouloit m’adjuſter en Liévre deſoſſé.	sachez une chose, Ou qu'il faut que sans meure, ou que je me repose, Et que j'ai cru de l'air que l'on m'a relancé, Qu'on voulait m'ajuster en Lièvre desossé.
ARGINE.	ARGINE.
Qui donc?	Qui donc?
POLEXANDRE.	POLEXANDRE.
Ie n’en ſçay rien.	Je n'en sais rien.
ARGINE.	ARGINE.
Voyez comme il en donne ?	Voyez comme il en donne ?
POLEXANDRE.	POLEXANDRE.
Non, mais vous connoiſſez celuy que ie ſoubçonne.	Non, mais vous connaissez celui que ici soubçonne.
Hé qui?	Hé qui?
ARGINE.	ARGINE.
POLEXANDRE.	POLEXANDRE.
Dix-huit eſcus.	Dix-huit écus.
Dans vn bois écarté, (Peſte de la rencontre & de l’obſcurité) Et pour n’en point mentir, contre l’ame dãnée, Qui m’a fait l’amitié de reſeruer pour ſoy, Ce que ie deſtinois ce me ſemble pour moy;	Dans un bois écarté, (Pête de la rencontre et de l'obscurité) Et pour n'en point mentir, contre l'âme dãnée, Qui m'a fait l'amitié de réserver pour soi, Ce que ie déminais ce me semble pour moi;
Ie n’y ſuis pas pluſtoſt qu’õ me couure la jouë, Hola, dis-je au grand diable, eſt-ce ainſi qu’on ſe jouë!	Je n'y suis pas plustost qu'on me couvre la joue, Holà, dis-je au grand diable, est-ce ainsi qu'on se joue!
L’enragé cependant ſans trefue ny quartier, Prend le ſoin malgré moy de me mortifiers Mais ſi bien, que i’ay crû ſans pouuoir m’en deffendre, Que pour me mieux manger il me rendroit ſi tendre.	L'enragé cependant sans trefue ni quartier, Prend le soin malgré moi de me mortifiers Mais si bien, que j'ai cru sans pouvoir m'en défendre, Que pour me mieux manger il me rendrait si tendre.
ARGINE.	ARGINE.
Qui vous a donc eſté ſeparer en ce bois?	Qui vous a donc été séparer en ce bois?
POLEXANDRE.	POLEXANDRE.
Noſtradamus.	Nostradamus.
ARGINE.	ARGINE.
Il ſort.	Il sort.
POLEXANDRE.	POLEXANDRE.
I’ay reconnu ſa voix.	J'ai reconnu sa voix.
Et ie croiray touſiours grace à ſon arriuée, Au oni alfort deſtilier pour faire vne étuuée;	Et petit croirai toujours grâce à son arrivée, Au oni alfort destilier pour faire une étuuée;
C’eſt luy qui m’épargna la peine de mourir, Ou celle pour le moins de me faire guerir.	C'est lui qui m'épargna la peine de mourir, Ou celle pour le moins de me faire guérir.
ARGINE.	ARGINE.
Il ſort, vous dis-je encor.	Il sort, vous dis-je encor.
POLEXANDRE.	POLEXANDRE.
Sonnez, comme on écoute,	Sonnez, comme on écoute,
ARGINE.	ARGINE.
Mais quoy, ce n’eſt pas luy!	Mais quoi, ce n'est pas Seigneur!
POLEXANDRE.	POLEXANDRE.
Le croyez-vous ſans doute?	Le croyez-vous sans doute?
LEONOR.	LEONOR.
Ho, ho, mais Limaçon fait bien parler de luy, Voyez combien de tours il a faits aujourd’huy.	Ho, ho, mais Limaçon fait bien parler de Seigneur, Voyez combien de tours il a faits aujourd'hui.
Il a volé Robin, lis cchaune à vous battre, Il retient.	Il a volé Robin, lis cchaune à vous battre, Il retient.
POLEXANDRE.	POLEXANDRE.
Iſabelle, & fait le diable à quatre.	Isabelle, et fait le diable à quatre.
ARGINE.	ARGINE.
Si ie puis la rauoir.	Si personne puis la ravoir.
POLEXANDRE Helas!	POLEXANDRE Hélas!
plaiſe au deſtin Qu'on me la dome vn iour pour mou reueil matin, Ie ſerois né coiffé?	plaise au destin Qu'on me la dôme un jour pour mou réveil matin, Je serais né coiffé?
ARGINE.	ARGINE.
Soyez ſeur Polexandre, Que ſoit qu’elle ait pour vous ou du dur ou du tendre, Vous en ſerez bien-toſt paiſible poſſeſſeur.	Soyez sûr Polexandre, Que soit qu'elle ait pour vous ou du dur ou du tendre, Vous en serez bientôt paisible possesseur.
POLEXANDRE.	POLEXANDRE.
Morbleu, cõme on verroit caprioller mõ cœur!	Morbleu, comme on verrait caprioller mon cœur!
ARGINE.	ARGINE.
A propos, ſçauez-vous vne plaiſante hiſtoire?	À propos, Savez-vous une plaisante histoire?
Du moins Noſtradamus me la veut faire accroire?	Du moins Nostradamus me la veut faire accroire?
Entrons ſi vous voulez ſçauoir ſes viſions.	Entrons si vous voulez savoir ses visions.
POLEXANDRE, O Cfei, que l’ay a amoul & de tentations!	POLEXANDRE, Ô Cfei, que l'ai a amoul et de tentations!
SCENE VII.	SCÈNE VII.
LIMAIDORJHTOADELLE déguiſée en homme.	LIMAIDOREHTOADELLE déguisée en homme.
LIMACON à part.	LIMAÇON à part.
Où vient que Polexandre entre au logis D d’Argine?	Où vient que Polexandre entre au logis D 'Argine?
TSABELLE.	TSABELLE.
Monſieur, connoiſſez-vous Limaçon?	Monsieur, connaissez-vous Limaçon?
Alineole.	Alineole.
I’ay ſa mine;	J'ai sa mine;
Pourquoy, que voulez-vous?	Pourquoi, que voulez-vous?
ISABELLE.	ISABELLE.
Luy donner vn poulez De la part d’Iſabelle.	Lui donner un poulez De la part d'Isabelle.
LIMACON.	LIMAÇON.
Hé, comment ce billet.	Hé, comment ce billet.
ISABELLE.	ISABELLE.
Seriez-vous Llllaçon!	Seriez-vous Llllaçon!
LIMACON.	LIMAÇON.
Ie crois eſtre luy-meſme.	Je crois être Seigneur-même.
ISABELLE.	ISABELLE.
Liſez donc s’il vous plaiſt.	Lisez donc s'il vous plaît.
LIMACON.	LIMAÇON.
Ma ſurpriſe eſt extréme, Quand on ferme les yeux on ne peut lire va mot?	Ma surprise est extrême, Quand on ferme les yeux on ne peut lire va mot?
Par cent bleu e’eſt magie ou ie ſuis vn gros ſos.	Par cent bleu e'est magie ou tu suis un gros sos.
BILLET.	BILLET.
Il lit.	Il lit.
Pour vous mõ cher amant ſans ceſſe ie ſoûpire:	Pour vous mon cher amant sans cesse un soupire:
Mais eſt-il beſoin de vous dire, Que l’amour en tous lieux me conſumme en langueurs?	Mais est-il besoin de vous dire, Que l'amour en tous lieux me consumme en langueurs?
Ma flamme tyrannique D’elle-meſme s’explique, Quand vous auez vn charme à vendanger les cœurs.	Ma flamme tyrannique D'elle-même s'explique, Quand vous avez un charme à vendanger les cœurs.
LIMACON.	LIMAÇON.
Il eſt bon;	Il est bon;
contez-nous vn peu de la maniere Que vous tenez.	contez-nous un peu de la manière Que vous tenez.
ISA BELLE.	ISA BELLE.
momneus,iament pas neceſſaire.	momneus,iament pas nécessaire.
LIMACON.	LIMAÇON.
Ca, la sõde à la main pour ſçauoir ſi chez vous Il ne s’eſt point formé grauier, ſable ou cailloux.	Ça, la semde à la main pour savoir si chez vous Il ne s'est point formé gravier, sable ou cailloux.
De ceux que Pay tuer volej la quirille, Cottez-y voſtre nom.	De ceux que Pai tuer volej à quirille, Cottez-y votre nom.
da deunnn.	da deunnous.
Hé la vie eſt ſi belle!	Hé la vie est si belle!
LIMACON.	LIMAÇON.
Ce n’eſt pas la mõ cõte, il faut mieux calculer, Que de coups de baſtons ſe vont accumuler!	Ce n'est pas la mon compte, il faut mieux calculer, Que de coups de bâtons se vont accumuler!
S’il eſt vray qu’on en doit faire des pyrãmides Sur ceux qui comme vous ont les emoroüydes, Si i’en crois à vos yeux.	S'il est vrai qu'on en doit faire des pyransmides Sur ceux qui comme vous ont les emoroüydes, Si j'en crois à vos yeux.
ISABELLE.	ISABELLE.
Mais vous perdez l’eſprit.	Mais vous perdez l'esprit.
LIMACON.	LIMAÇON.
Aurois-je la berluë!	Aurais-je la berlue!
eſt-ce là mon habit?	est-ce là mon habit?
Ou ſi ce n’en ſeroit que la viuante Image?	Ou si ce n'en serait que la vivante Image?
Qu’il luy reſſẽble bien, c’eſt ſon meſme viſage?	Qu'il était ressẽble bien, c'est son même visage?
Mes bas, & mes ſouliers?	Mes bas, et mes souliers?
ha creuez-moy les yeux!	ha cruez-moi les yeux!
De peur de voir encor mon bien en d’autres lieux?	De peur de voir encor mon bien en d'autres lieux?
Mon Mon linge, & mon chapeau!	Mon Mon linge, et mon chapeau!
l’on te fera bien dire, vue racaamamas,	l'on te fera bien dire, vue racaamamas,
ISABELLE.	ISABELLE.
Adieu ie me retire, Ie ſuis voſtre ſeruante.	Adieu Seigneur me retire, Je suis votre servante.
LIMACON.	LIMAÇON.
Au vo, veſeur, Au meurtre, à moy quelqu’vn.	Au vo, veseur, Au meurtre, à moi quelqu'un.
SCENE VIII.	SCÈNE VIII.
NOSTRADAMVS, LIMACON.	NOSTRADAMUS, LIMAÇON.
NOSTRADAMVS.	NOSTRADAMUS.
Ci auervous dont, Munſieur e	Ci avervous dont, Munsieur e
LIMACON.	LIMAÇON.
Helas on m’a volé!	Hélas on m'a volé!
NOSTRADAMVS.	NOSTRADAMUS.
Sa mine me fait rire.	Sa mine me fait rire.
LIMACON.	LIMAÇON.
Riuhtauceient.	Rivhtauceient.
NOSTRADAMVS.	NOSTRADAMUS.
Tout cela n’eſt rien dire, Si l’on ne ſe poignarde.	Tout cela n'est rien dire, Si l'on ne se poignarde.
LIMACON.	LIMAÇON.
Ha!	Ha!
n’y penſons iamais;	n'y pensons jamais;
Mes habits ſans aller aux degrez du Palais, Ont bien-toſt trouué maiſtre.	Mes habits sans aller aux degré du Palais, Ont bientôt trouvé maître.
NOSTRADAMVS.	NOSTRADAMUS.
Paſſez outre.	Passez outre.
Adieu noſtre ceruelle;	Adieu notre cervelle;
LIMACON.	LIMAÇON.
Hé dy moy, ſuis-je vn Iean de Niuelle, Pour me traiter ainſi, fripon?	Hé dis -moi, suis-je un Jean de Nivelle, Pour me traiter ainsi, fripon?
NOSTRADAMVS.	NOSTRADAMUS.
N en parions plus, Vos habits ſont chez vous, & ne ſont point perdus.	N en parions plus, Vos habits sont chez vous, et ne sont point perdus.
bilions voir Iſabelle?	bilions voir Isabelle?
LIMACON.	LIMAÇON.
A propos de ce diable Qu'eſt-il donc deuenu?	À propos de ce diable Qu'est-il donc devenu?
NOSTRADAMVS.	NOSTRADAMUS.
Mais eſt-il raiſonnable, Que puis-je en auol fait?	Mais est-il raisonnable, Que puis-je en avol fait?
.	.
LIMACON.	LIMAÇON.
Mais tu perds la raiſon, Ne t’ay-je pas donné la clef de ma maiſon, Pour en mettie uenors remloyabie ngure, Qui nous a fait ſi peur?	Mais tu perds la raison, Ne t'ai-je pas donné la clef de ma maison, Pour en mettie uenors remloyabie ngure, Qui nous a fait si peur?
NOSTRADAMVS.	NOSTRADAMUS.
Non, ma foy, ie vous iure.	Non, ma foi, Seigneur vous jure.
LIMACON.	LIMAÇON.
Quoy, tu n’es pas venu me trouuer dãs vn bois)	Quoi, tu n'es pas venu me trouver dans un bois)
NOSTRADAMVS.	NOSTRADAMUS.
Dans vn bois?	Dans un bois?
LIMACON.	LIMAÇON.
Ca, repete encor donc pluſieurs fois?	Ça, répète encor donc plusieurs fois?
NOSTRADAMVS.	NOSTRADAMUS.
Dans vn bois?	Dans un bois?
LIMACON.	LIMAÇON.
Dans vn bois?	Dans un bois?
i’eſtois là pour attendre, Que Mõſieur mõ riual priſt le ſoin de s’y rẽdr, Ayãt ſceu tous les iours qu’en ces lieux écarté Il s’alloit promener.	j'étais là pour attendre, Que Monsieur mõ rival prît le soin de s'y rendre, Ajout su tous les jours qu'en ces lieux écarté Il s'allait promener.
NOSTRADAMVS.	NOSTRADAMUS.
En effet écoutts;	En effet écoutts;
npres continſes à nous donner des bourdes.	nprès continses à nous donner des bourdes.
LIMACON.	LIMAÇON.
Foin, foin, foin, de l’Hyuer qui me rend les anis puuides , Que i’aurois de plaiſir à te bien ſoufleter?	Foin, foin, foin, de l'Hiver qui me rend les anis puuides , Que j'aurais de plaisir à te bien souffleter?
NOSTRADAMVS.	NOSTRADAMUS.
Gratias agimus.	Gratias agimus.
LIMACON.	LIMAÇON.
Qu’il te faudroit frotter?	Qu'il te faudrait frotter?
Ce chien, ce double chien, nous parle & nous ſepare.	Ce chien, ce double chien, nous parle et nous sépare.
NOSTRADAMVS.	NOSTRADAMUS.
Quoy, mon Maiſtre, chez vous le bon ſens eſt ſi rare?	Quoi, mon Maître, chez vous le bon sens est si rare?
LIMACON.	LIMAÇON.
Dy moy donc qui m'a dit mon Maiſtre, mon cher cœur, C’eſt vne verité, i’ay le diable en horreur;	Dis -moi donc qui m'a dit mon Maître, mon cher cœur, C'est une vérité, j'ai le diable en horreur;
Donnez moy voſtre clef ſans vous en mettre en peine, Ie le mettray bien-toſt hors de vôtre domainas Luy dire certains mots & grater mes genoux, Le feront ſur mon ame eſquiuer de chez vous;	Donnez -moi votre clef sans vous en mettre en peine, Je le mettrai bientôt hors de votre domainas Lui dire certains mots et grater mes genoux, Le feront sur mon âme esquiuer de chez vous;
Maid le dois ertre reuis en taui in dauaſtage?	Made le dois ertre revis en tavi in dauastage?
NOSTRADAMVS.	NOSTRADAMUS.
Non pas pour me montrer que quelqu’vn n’eſt pas ſage;	Non pas pour me montrer que quelqu'un n'est pas sage;
Que le diable m’emporte en ſon gouuernement Si ie ſçay ce que c’eſt.	Que le diable m'emporte en son gouvernement Si tu sais ce que c'est.
LIMACON.	LIMAÇON.
Meurs, tout preſentement,	Meurs, tout présentement,
Noul lene llai ves He ſuis-je en bon eſtat?	Noul lene lailai vez He suis-je en bon état?
LIMACON.	LIMAÇON.
A te roüer de coups.	À te rouer de coups.
Le deſtin me condamne	Le destin me condamne
NOSTRADAMVS.	NOSTRADAMUS.
Seriez-vous boureau d’aſne?	Seriez-vous boureau d'âne?
Non vrayement, vous auez trop d’amitié pour moy;	Non vraiment, vous avez trop d'amitié pour moi;
Leonor au ſecours.	Leonor au secours.
E iij	 Ejà
SCENE IX.	SCÈNE IX.
LIMACON, LEONOR, NOSTRADAMVS.	LIMAÇON, LEONOR, NOSTRADAMUS.
Dy done?	Dis donc?
LIMACON.	LIMAÇON.
Vi vient d’entrer chez toy?	Vi vient d'entrer chez toi?
LEONOE.	LEONOE.
C’eſt Iſabelle.	C'est Isabelle.
NOSTRADAMVS.	NOSTRADAMUS.
O Dieux, c’eſt ſa Maiſtreſſe?	Ô Dieux, c'est sa Maîtresse?
EIMiCOM Voyez cõme elle en baille, écoutez la droleſſe;	EIMiCOM Voyez comme elle en baille, écoutez la drôlesse;
C’eſt vn ieune égrillard, nous le ſçauons fort bien.	C'est un jeune égrillard, nous le savons fort bien.
LEONOR.	LEONOR.
C’eſt vn hõme pour moy, qui ne guerit de rien:	C'est un homme pour moi, qui ne guérit de rien:
Mais qui pour ſoulager vôtre amoureuſe peine Surpaſſe en ſa vertu l’vnguent miton mitaine.	Mais qui pour soulager votre amoureuse peine Surpasse en sa vertu l'unguent miton mitaine.
Ce diable de tantoſt qui vous eſt apparû.	Ce diable de tantôt qui vous est apparu.
NOSTRADAMVS.	NOSTRADAMUS.
C’eſt elle.	C'est elle.
LIMACON.	LIMAÇON.
Quoy!	Quoi!
c’eſt elle?	c'est elle?
LEONOR.	LEONOR.
oüy.	oui.
LIMACON.	LIMAÇON.
Qui l’euſt iamais crû?	Qui l'eût jamais cru?
LEONOR.	LEONOR.
Pour effrayer vôtre ame & retourner chez elle Pendant que voſtre peur.	Pour effrayer votre âme et retourner chez elle Pendant que votre peur.
LIMACON.	LIMAÇON.
Peſte de la bourelle.	Peste de la bourelle.
LEONOR.	LEONOR.
I'aurois cent fois iuré que c’eſtoit vn lutin.	J'aurais cent fois juré que c'était un lutin.
NOSTRADAMVS.	NOSTRADAMUS.
O que ne ſuis-je aimé d’vn pareil diablotin?	Ô que ne suis-je aimé d'une pareil diablotin?
LIMACON, Mais qui la fait ſauuer?	LIMAÇON, Mais qui la fait sauver?
LEONOR.	LEONOR.
Robin.	Robin.
LIMACON.	LIMAÇON.
C’eſt me ſurprendre?	C'est me surprendre?
LIMACON.	LIMAÇON.
Robin!	Robin!
Robin!	Robin!
LEONOR.	LEONOR.
Luy-merme;	Lui-même;
ne bien Içait-Il entendie A déguiſer ſa voix?	ne bien Içait-Il entendie A déguiser sa voix?
NOSIRADAMVS.	NOSIRADAMUS.
Sçait-on vous en donner!	Sait-on vous en donner!
LIMACON.	LIMAÇON.
Ie n’ay pas oublié comme il faut chaponner.	Je n'ai pas oublié comme il faut chaponner.
LEONOR.	LEONOR.
n Monſieur Polexandre Iſabelle eſt promiſe.	n Monsieur Polexandre Isabelle est promise.
LIMACON.	LIMAÇON.
Cõment malgré le feu qui brûle ma chemiſe!	Comment malgré le feu qui brûle ma chemise!
LEONOR.	LEONOR.
