Suiuant la Copie imprimée	Suivant la Copie imprimée
OE DIPE.	ÔE DIPE.
dre, Vous vous plaindrez fort peu de ne les point entenNous deuons bien-toſt voir le myſtere éclaircy.	dre, Vous vous plaindrez fort peu de ne les point entenNous devons bientôt voir le mystère éclairci.
Madame, cependant vous eſtes libre icy, La Reine vous la dieyou vous suu le dier Et ſi vous m’entendez, ce mot vous doit ſuffire.	Madame, cependant vous êtes libre ici, La Reine vous la disou vous suu le dier Et si vous m'entendez, ce mot vous doit suffire.
DIRGE.	DIRGE.
Quelque ſecret motif qui vous aye excité A ce tardif excez de generoſité, Ie n’emporteray point de Thebes dans Athenes La colere des Dieux, & l’amas de leurs haines, Qui pour premier objet pourrorene enoiſir l’époux Pour qui j’aurois oſé meriter leur couroux.	Quelque secret motif qui vous aie excité À ce tardif excès de générosité, Je n'emporterai point de Thebes dans Athères La colère des Dieux, et l'amas de leurs haines, Qui pour premier objet pourrorene enoisir l'époux Pour qui j'aurais osé mériter leur courroux.
Vous leur faites demain offrir vn facrince ?	Vous leur faites demain offrir un facrince ?
OEDIPE.	OEDIPE.
I’en eſpere pour vous vn deſtin plus propice.	J'en espère pour vous un destin plus propice.
DIRCE.	DIRCE.
I’y trouueray ma place, & feray mon deuoir.	J'y trouverai ma place, et ferai mon devoir.
Quant au reſte, Seigneur, ie n’en veux rien ſçauoir, I’y prẽs ſi peu de part, que sãs m’en mettre en peine, Ie vous laiſſe expliquer voitre Enigme à la Reine, Mon cœur doit eſtre las d’auoir tant combatu, Et fut un piege adroit qu’on tend à ſa vertu.	Quant au reste, Seigneur, je n'en veux rien savoir, J'y prends si peu de part, que sans m'en mettre en peine, Je vous laisse expliquer voitre Enigme à la Reine, Mon cœur doit être las d'avoir tant combattu, Et fut un piège adroit qu'on tend à sa vertu.
SCENE IV.	SCÈNE IV.
OEDIPE, IOCASTE, Suite.	OEDIPE, JOCASTE, Suite.
OEDIPE.	OEDIPE.
hatme, quand des Dieux la réponſe funeſte De peur d’vn parricide, & de peur d’vn inXVL ceſte, Sur le mont Cytheron fit expoſer ſes fils Pour qui tant de forfaits auoient eſté predits, Sçeuſtes-vous faire choix d’vn miniſtre fidelle?	hatme, quand des Dieux la réponse funeste De peur d'un parricide, et de peur d'un inXUL cette, Sur le mont Cystheron fit exposer ses fils Pour qui tant de forfaits avaient été prédits, Sçeustes-vous faire choix d'un ministre fidèle?
IOCASTE.	JOCASTE.
Aucun pour le feu Roy n’a montré plus de zéle, Et quand par des vouleurs il fuſt aſſaſſiné, Ce digne fauory l’auoit accompagné;	Aucun pour le feu Roi n'a montré plus de zèle, Et quand par des vouleurs il fût assassiné, Ce digne favori l'avait accompagné;
Par lui ſeul on a ſçeu cette noire auanture, On le trouua percé d’vne large bleſſure, Si baigné dans ſon ſang, & ſi pres de mourir, Qu’il fallut vne année, & plus, pour l’en guerir.	Par lui seul on a su cette noire aventure, On le trouva percé d'une large blessure, Si baigné dans son sang, et si pres de mourir, Qu'il fallut une année, et plus, pour l'en guérir.
Eſt-il mort?	Est-il mort?
OEDIPE.	OEDIPE.
IOCASTE.	JOCASTE.
Non, Seigneur, la perte de ſon maiſtre Fut cauſe qu’en la Cour il ceſſa de paroiſtre, Mais il reſpire encor aſſez vieil & caſſé, Et Megare ſa fille eſt auprés de Dircé.	Non, Seigneur, la perte de son maître Fut cause qu'en la Cour il cessa de paraître, Mais il respire encor assez vieil et cassé, Et Mégare sa fille est auprès de Dircé.
DIRCE.	DIRCE.
Où fait-il ſa demeure?	Où fait-il sa demeure?
TOCASTE.	TOCASTE.
Au pied de cette Roche, Que de ces triſte murs nous voyõs la plus proche.	Au pied de cette Roche, Que de ces triste murs nous voyõs la plus proche.
OEDIPE.	OEDIPE.
Tâchez de luy parler.	Tâchez de Seigneur parler.
IOGASTE.	JOGASTE.
I'y vay tout de ce pas.	J'y vais tout de ce pas.
Qu’on me prepare vn char pour aller chez Forbas.	Qu'on me prépare un char pour aller chez Forbas.
Son degouſt de la Cour pourroit ſur vn meſſage S’excuſer par caprice, & pretexter ſon âge, Dans vne heure au plus tard ie ſçauray vous reuoir;	Son dégoût de la Cour pourrait sur un message S'excuser par caprice, et prétexter son âge, Dans une heure au plus tard ie sçauray vous revoir;
Mais que dois-ie luy dire, & qu’en faut-il ſçauoir?	Mais que dois-je grande dire, et qu'en faut-il sçauoir?
OEDTIE.	ÔDTIE.
Un bruit court depuis peu qu’il vous a mal ſeruie, Que ce fils qu’on croit mort eſt encor plein de vie:	Un bruit court depuis peu qu'il vous a mal servie, Que ce fils qu'on croit mort est encor plein de vie:
L’Oracle de Lajus par là deuient douteux, Et tout ce qu’il a dit peut s’eſtendre ſur deux.	L'Oracle de Lajus par là devient douteux, Et tout ce qu'il a dit peut s'étendre sur deux.
CASTE.	CASTE.
Seigneur, ou ſur ce bruit ie ſuis fort abuſée, Ou ce n’eſt qu’vn effet de l’amour de Theſée.	Seigneur, ou sur ce bruit Je suis fort abusée, Ou ce n'est qu'un effet de l'amour de Thesée.
Pour ſauuer ce qu’il aime, & vous embaraſſer, Iuſques à voſtre oreille il l’aura fait paſſer:	Pour sauver ce qu'il aime, et vous embarrasser, Jusques à votre oreille il l'aura fait passer:
Mais Phorbas aiſément conuaincra d’impoſture Qui conque oſe à ſa foy faire vne telle injure, OE DI	Mais Phorbas aisément convaincra d'imposture Qui conque ose à sa foi faire une telle injure, 
OEDIPE.	OEDIPE.
L’innocence de l’age n’aura pu lemouuoir.	L'innocence de l'age n'aura pu lemouvoir.
IOCASTE.	JOCASTE.
Ie l’ay toûjours connu ferme dans ſon deuoir;	Je l'ai toujours connu ferme dans son devoir;
Mais ſi déja ce bruit vous met en jalouſie, Vous pouuez conſulter le Deuin Tireſie, Fuohler ia repome, & talter d'Impolteur De cette illuſion le temeraire autheur.	Mais si déjà ce bruit vous met en jalousie, Vous pouvez consulter le Deuin Tiresie, Fuohler ja répome, et talter d'Impolteur De cette illusion le téméraire auteur.
OEDIPE.	OEDIPE.
Ie viens de le quiter, & de là vient ce trouble Qu’en mon cœur alarmé chaque moment redouble.	Je viens de le quitter, et de là vient ce trouble Qu'en mon cœur alarmé chaque moment redouble.
Ce Prince, m’a-t’il dit, reſpire en voſtre Cour, Vous pourrez le connoistre auant la fin du iour, Mais il pourra vous perdre en ſe faiſant connoistre, Puiſſe-t’il ignorer quel ſang luy donne l’estre.	Ce Prince, m'a-t-il dit, respire en votre Cour, Vous pourrez le connaître avant la fin du jour, Mais il pourra vous perdre en se faisant connaître, Puisse-t-il ignorer quel sang avait donne l'être.
Voila ce qu’il m’a dit d’vn ton ſi plein d’effroy, Qu’il l’a fait refallir juſque en l’ame d’vn Roy.	Voilà ce qu'il m'a dit d'un ton si plein d'effroi, Qu'il l'a fait refallir jusque en l'âme d'un Roi.
Ce fils qui deuoit eſtre inceſte & parricide, Doit auoir vn cœur lâche, vn courage perfide, Et par vn ſentiment facile a deuiner.	Ce fils qui devait être inceste et parricide, Doit avoir un cœur lâche, un courage perfide, Et par un sentiment facile à deviner.
Il ne ſe cache icy que pour m’aſſaſſiner:	Il ne se cache ici que pour m'assassiner:
C’eſt par là qu’il aſpire a deuenir Monarque, Et vous le connoiſtrez bien-toſt à cette marque.	C'est par là qu'il aspire a devenir Monarque, Et vous le connaîtrez bientôt à cette marque.
Quoy qu’il en foit, Madame, allez trouuez Phorbas, Tirez-en, s’il ſe peut, les clartez qu’on n’a pas.	Quoi qu'il en soit, Madame, allez trouvez Phorbas, Tirez-en, s'il se peut, les clartés qu'on n'a pas.
Tâche en meſme temps de voir auſſi Theſée;	Tâche en même temps de voir aussi Thesée;
Dites-luy qu’il peut faire vne conqueſte aiſée, Qu’il oſe pour Dircé, que ie n’en verray rien.	Dites-lui qu'il peut faire une conquête aisée, Qu'il ose pour Dircé, que sans n'en verrai rien.
I’admire vn changement ſi confus que le mien.	J'admire vn chang si confus que le mien.
Tantoſt dans leur Hymen ie croyois voir ma perte, I’allois pour l’empeſcher juſqu’a la force ouuerte, Et ſans ſçauoir pourquoy, ie voudrois que tous deux Fuſſent loin de ma veuë au comble de leurs vœux, Que les emportemens d’vne ardeur mutuelle M'euſſent débaraſſé de ſon amant, & d’elle.	Tantôt dans leur Hymen ie chais voir ma perte, J'allais pour l'empêcher jusqu'a la force ouuerte, Et sans savoir pourquoi, ie voudrais que tous deux Fussent loin de ma vue au comble de leurs vœux, Que les emportements d'une ardeur mutuelle M'eussent débarrassé de son amant, et d'elle.
Bien que de leur vertu rien ne me ſoit ſuſpect, Ie ne fçay quelle horreur me trouble a leur aſpect, Ma raiſon la repouſſe, & ne m'en peut defendre, Moy meſme en cet eſtat ie ne puis me comprendre, Et l’Enigme du Sphinx fut moins obſcur pour moy Que le fond de mon cœur ne l’eſt dans cet effroy.	Bien que de leur vertu rien ne me soit suspect, Je ne fais quelle horreur me trouble à leur aspect, Ma raison la repousse, et ne m'en peut défendre, Moi -même en cet état ainsi ne puis me comprendre, Et l'Enigme du Sphinx fut moins obscur pour moi Que le fond de mon cœur ne l'est dans cet effroi.
Plus ie le conſidere, & plus ie m’en irrite:	Plus ie le considère, et plus grands m'en irrite:
Mais ce Prince paroit, ſouffrez que ie l’éuite, mellrous votts fenter r'eſprit moins interdit, Agmez auec luy comle le vous ar dit.	Mais ce Prince parait, souffrez que je l'éuite, mellous vots fenter resprit moins interdit, Agmez auectaît comle le vous ar dit.
SCENE V.	SCÈNE V.
IOCASTE, THESEE.	JOCASTE, THESEE.
IOCASTE.	JOCASTE.
PRince, que faites-vous?	PRince, que faites-vous?
quelle pitié craintiué, T Quel faux reſpect des Dieux tient voſtre flame oiſive?	quelle pitié craintivé, T Quel faux respect des Dieux tient votre flamme oisive?
Auez-vous oublié comme il faut ſecourir?	Avez-vous oublié comme il faut secourir?
AEUHi.	AEUHi.
Dircé n’eſt plus, Madame, en eſtat de perir, Le Ciel vous rend vn nis, & ce n'eit qu’à ce Prince Qu’eſt deu le triſte honneur de ſauuer ſa Province.	Dircé n'est plus, Madame, en état de périr, Le Ciel vous rend un nis, et ce n'éit qu'à ce Prince Qu'est dev le triste honneur de sauver sa Province.
IOCASTE.	JOCASTE.
C’eſt trop vous aſſeurez ſur l’éclat d’vn faux bruit.	C'est trop vous assurez sur l'éclat d'eau faux bruit.
THESEE.	THESEE.
C eit vne verite dont le ruis mieux inſtruit.	Ç Cit une vérité dont le ruis mieux instruit.
OCASTE.	OCACSTE.
Vous le cognoinez donc ?	Vous le connais donc ?
THESEE.	THESEE.
A l’égal de moy-meſme,	À l'égal de moi-même,
De quand?	De quand?
POCISTE.	POCISTE.
THESEE.	THESEE.
De ce moment.	De ce moment.
IOCASTE.	JOCASTE.
Et vous l’aimez?	Et vous l'aimez?
THESEE.	THESEE.
ſuique à moun du coup dont fiera perce.	suque à moun du coup dont fiera perce.
OCASTE.	OCACSTE.
Mais cette amitié cede à l’amour de Dirce?	Mais cette amitié cède à l'amour de Dirce?
THESEE.	THESEE.
Helas, cette Princeſſe à mes deſirs ſi chere En vn fidelle amant trouue vn malheureux frere, Qui mourroit de douleur d’auoir changé de ſort, N’eſtoit le prompt ſecours d’vne plus digne mort, Et qu’aſſez-toſt connu pour mourir au lieu d’elle, Ce frere malheureux meurt en amant fidelle.	Hélas, cette Princesse à mes désirs si chère En un fidèle amant trouve un malheureux frère, Qui mourrait de douleur d'avoir changé de sort, N'était le prompt secours d'une plus digne mort, Et qu'assez-tôt connu pour mourir au lieu d'elle, Ce frère malheureux meurt en amant fidèle.
IOCASTE.	JOCASTE.
Quoy, vous eſtes mon fils?	Quoi, vous êtes mon fils?
THESEE.	THESEE.
6 Muiay dendaa	6 Muiai denda
IOCASTE.	JOCASTE.
Qui vous à pû le dirt?	Qui vous à pu le dirt?
THESEE.	THESEE.
Vn témoin qui n’eſt plus, Phædime qu’à mes yeux vient de rauir la peſte.	Un témoin qui n'est plus, Phædime qu'à mes yeux vient de ravir la peste.
Non qu’il m’en ait donné la preuue manifeſte, Mais Phorbas, ce vieillard qui m’expoſa jadis, Répondra mieux que luy de ce que ie vous dis, Et vous éclaircira touchant vne auanture Dont ie n’ay pû tirer qu’vne lumiere obſcure.	Non qu'il m'en ait donné la preuve manifeste, Mais Phorbas, ce vieillard qui m'exposa jadis, Répondra mieux que lui de ce que je vous dis, Et vous éclaircira touchant une aventure Dont rien n'ai pu tirer qu'une lumière obscure.
rant, Ce peu qu’en ont pour moy les ſoûpirs d’vn mouDu grane droit de regner ſeroit mauuais garand, Mais ne permettez pas que le Roy me ſoupçonne, Comme ſi ma naiſſance ébranloit ſa couronne;	rant, Ce peu qu'en ont pour moi les soupirs d'un mouDu grane droit de régner serait mauvais garant, Mais ne permettez pas que le Roi me soupçonne, Comme si ma naissance ébranlait sa couronne;
Quelq;	Quelq;
honneur, quelques droits qu’elle ait pû m’aeIe ne viens diſputer que celuy de mourir.	honneur, quelques droits qu'elle ait pu m'aeIe ne viens disputer que celui de mourir.
querir;	quérir;
I OCASTE.	I OCASTE.
Ie ne ſçay ſi Phorbas auoûra voſtre hiſtoire, Mais qu’il l’auouë ou nõ, j’aurai peine à vois croire Auec voſtre mourant Tireſie eſt d’accord, A ce que dit le Roy, que mon fils n’eſt point mort.	Je ne sais si Phorbas auoura votre histoire, Mais qu'il l'avoue ou notre, j'aurai peine à vois croire Avec votre mourant Tiresie est d'accord, À ce que dit le Roi, que mon fils n'est point mort.
C’eſt déja quelque choſe, & toutefois mon ame Aime à tenir ſuſpecte vne ſi belle flame.	C'est déjà quelque chose, et toutefois mon âme Aime à tenir suspecte une si belle flamme.
Ie ne ſens point pour vous l’émotion du ſang, (rang, Ie vous trouue en mon cœur toûjours au meſme I’ay I’ay peine à voir vn fils, où je’ay creu voir un gẽdre La Nature aucc vous refuſe de s’entendre, Et me dit en ſecret ſur voſtre emportement, Qu’il a bien peu d’vn frere, & beaucoup d’vn amãt;	Je ne sens point pour vous l'émotion du sang, (rang, Je vous trouve en mon cœur toujours au même J'ai J'ai peine à voir un fils, où je'ai cru voir un gendre La Nature aucc vous refuse de s'entendre, Et me dit en secret sur votre emportement, Qu'il a bien d' être frère, et beaucoup d'un amãt;
Qu’vn frere a pour des ſœurs vne ardeur plus remiſe, A moins que ſous ce tiltre vn amant ſe déguiſe, Et qu'Il enerche en Mourant la groire & la douceur D’arracher à la mort ce qu’il nomme ſa ſœur.	Qu'un frère a pour des sœurs une ardeur plus remise, À moins que sous ce titre un amant se déguise, Et qu'Il en en Mourant la groire et la douceur D'arracher à la mort ce qu'il nomme sa sœur.
THESEE.	THESEE.
Que vous connoiſſez mal ce que peut la Nature?	Que vous connaissez mal ce que peut la Nature?
Quand d’vn parfait amour elle a pris la teinture, Et que le deſeſpoir d’vn illuſtre projet Se joint aux déplaiſirs d’en voir perir l'objet, Il eſt doux de mourir pour vne ſœur ſi chere:	Quand d'un parfait amour elle a pris la teinture, Et que le désespoir d'un illustre projet Se joint aux déplaisirs d'en voir périr l'objet, Il est doux de mourir pour une sœur si chère:
Ie l’aimois eu amant, ie l’aime encor en frere, C’eſt ſous vn autre nom le meſme empreſſement, Ie ne l’aime pas moins, mais ie l’aime autrement.	Je l'aimais eu amant, Seigneur l'aime encor en frère, C'est sous un autre nom le même empressement, Je ne l'aime pas moins, mais personne l'aime autrement.
L’ardeur ſur la vertu fortement eſtablie Par ces retours du ſang ne peut eſtre affoiblie, Et ce ſang qui preſtoit ſa tendreſſe à l’amour, A droit d’en emprunter les forces à ſon tour.	L'ardeur sur la vertu fortement établie Par ces retours du sang ne peut être affaiblie, Et ce sang qui prêtait sa tendresse à l'amour, A droit d'en emprunter les forces à son tour.
IOCAS TE.	JOCAS TE.
Et bien, ſoyez mon fils, puiſque vous voulez l'eftre, Mais donnez-moy la marque où ie le dois connoi ſtre.	Et bien, soyez mon fils, puisque vous voulez l'être, Mais donnez-moi la marque où que le dois connaî tre.
vous n'eites point ce nis;	vous n'éites point ce nis;
il vous freſtes méchant, Le Ciel ſur ſa naiſſance imprima ce panchant, I’en vois quelque partie en ce deſir inceſte, (reſte?	il vous frêtes méchant, Le Ciel sur sa naissance imprima ce penchant, J'en vois quelque partie en ce désir inceste, (rête?
Mais pour ne plus douter, vous chargez-vous du Eſtes-vous l’aſſaſſin, & d’vn pere, & d’vn Roy?	Mais pour ne plus douter, vous chargez-vous du Êtes-vous l'assassin, et d'un père, et d'un Roi?
THESEE.	THESEE.
Ah, Madame, ce mot me fait pâlir d’effroy.	Ah, Madame, ce mot me fait pâlir d'effroi.
IOCASTE.	JOCASTE.
C'eſtoit là de mon fils la noire Diſtinée, Sa vie à ces forfaits par le Ciel condamnée N’a pû ſe dégager de cét Aſtre ennemy, Ny de ſon aſcendant s’échaper à demy.	C'était là de mon fils la noire Distinée, Sa vie à ces forfaits par le Ciel condamnée N'a pu se dégager de cet Astre ennemi, Ni de son ascendant s'échapper à demi.
Si ce fus vit encore, il a tué ſon pere, C’en eſt l’indubitable, & le ſeul caractere, Et le Ciel, qui prit ſoin de nous en auertir, L’a dit trop hautement pour ſe voir démentir.	Si ce fus vit encore, il a tué son père, C'en est l'indubitable, et le seul caractère, Et le Ciel, qui prit soin de nous en avertir, L'a dit trop hautement pour se voir démentir.
Sa mort ſeule pouuoit de dérober au crime.	Sa mort seule pouvait de dérober au crime.
Prince, renoncez donc à toute voſtre eſtime, Dites que vos vertus ſont crimes déguiſez, Receuez tout le ſort que vous vous impoſez, Et pour remplir vn nom dont vous eſtes auide, Acceptez ceux d’inceſte, & de fils parricide:	Prince, renoncez donc à toute votre estime, Dites que vos vertus sont crimes déguisés, Recez tout le sort que vous vous imposez, Et pour remplir un nom dont vous êtes aujde, Acceptez ceux d'inceste, et de fils parricide:
l’en croiray ces témoins que le Cierin'a preſcrits, Et ne vous puis donner mon adueu qu’à ce prix.	l'en croirai ces témoins que le Cierin'a prescrits, Et ne vous puis donner mon aveu qu'à ce prix.
THESEE.	THESEE.
Quoy;	Quoi;
la neceſſité des vertus & des vices D’vn Aſtre imperieux doit ſuiure les caprices, Et l’homme ſur ſoy-meſme a ſi peu de credit, Qu’il deuient ſeclarat quand Delphes l’a predit?	la nécessité des vertus et des vices D' Astre impérieux doit suivre les caprices, Et l'homme sur soi-même a si peu de crédit, Qu'il dé clarat quand Delphes l'a prédit?
L’ame eſt donc toute eſclaue, vne loy ſouueraine Vers le bien ou le mal inceſſamment l’entraiſne, Et nous ne receuons, ny crainte, ny deſir, De cette liberté qui n’a rien à choiſir, Attachez ſans relâche à cet ordre ſublime, Vertueux ſans merite, ce vicieux ſans crime.	L'âme est donc toute esclave, une loi souveraine Vers le bien ou le mal incessamment l'entraîne, Et nous ne recevons, ni crainte, ni désir, De cette liberté qui n'a rien à choisir, Attachez sans relâche à cet ordre sublime, Vertueux sans mérite, ce vicieux sans crime.
Qu’on maſſacre les Rois, qu’on briſe les Autels.	Qu'on massacre les Rois, qu'on brise les Autels.
C’eſt la faute des Dieux, & non pas des Mortels, De toute la vertu ſur la Terre épandué, Tout le prix à ces Dieux, toute la gloire eſt deuë, Ils agiſſent en nous quand nous perſons agir, Alors qu’on delibere, on ne fait qu’obeïr, Et noſtre volonté n’aime, hait, cherche, éuite, Que ſuiuant que d’enhaut leur bras la prẽcipite.	C'est la faute des Dieux, et non pas des Mortels, De toute la vertu sur la Terre épandué, Tout le prix à ces Dieux, toute la gloire est due, Ils agissent en nous quand nous persons agir, Alors qu'on délibère, on ne fait qu'obéir, Et notre volonté n'aime, hait, cherche, éuite, Que suivant que d'enhaut leur bras la prẽcipite.
D’vn tel aueuglement daignez me diſpenſer, Le Ciel juſte à punir, juſte à recompenſer, Pour rendre aux actions leur peine, ou leur ſalaire, Doit nous offri’ ſon aide, & puis nous laiſſer faire.	D'un tel aveuglement daignez me dispenser, Le Ciel juste à punir, juste à récompenser, Pour rendre aux actions leur peine, ou leur salaire, Doit nous offri' son aide, et puis nous laisser faire.
N'enfonçons toutefois ny voſtre œil, ny le mien, Dans ce profond abyſme où nous ne voyons rien;	N'enfonçons toutefois Seigneur Seigneur œil, ni le mien, Dans ce profond abîme où nous ne voyons rien;
Delphes a pû vous faire vne fauſſe réponſe, 1 L’argent pût inſpirer la voix qui les prononçe, C 2 Ce Cet organe des Dieux pût ſe laiſſer gagner A ceux que ma naiſſance éloignoit de regner, Et par tous les climats on n’a que trop d’exemples Qu’il eſt ainſi qu’ailleurs des méchans dans les Temples.	Delphes a pu vous faire une fausse réponse, 1 L'argent pût inspirer la voix qui les prononçe, Ç 2 Ce Cet organe des Dieux pût se laisser gagner À ceux que ma naissance éloignait de régner, Et par tous les climats on n'a que trop d'exemples Qu'il est ainsi qu'ailleurs des méchants dans les Temples.
bats Du moins puis-ie aſſeurer que dans tous mes comIe n’ay jamais ſouffert de ſeconds que mon bras, Que ie n’ay jamais veu ces lieux de la Phocide Où fut par des brigands commis ce parricide, Que la fatalité des plus preſſans malheurs, Ne m’auroit pû reduire à ſuiure des voleurs, Que j’en ay trop puny pour en croiſtre le nombre.	bats Du moins puis-je assurer que dans tous mes comIe n'ai jamais souffert de seconds que mon bras, Que femme n'ai jamais vu ces lieux de la Phocide Où fut par des brigands commis ce parricide, Que la fatalité des plus pressants malheurs, Ne m'aurait pu réduire à suivre des voleurs, Que j'en ai trop puni pour en croître le nombre.
CASTE.	CASTE.
Mais Lajus a parlé, vous en avez veu l’Ombre, De l’Oracle auec elle on voit tant de rapport, Qu’on ne peut qu’à ce fils en imputer la mort, Et c’eſt le dire aſſez, qu’ordonner qu’on efface Vn grand crime impuny par le ſang de ſa race.	Mais Lajus a parlé, vous en avez vu l'Ombre, De l'Oracle avec elle on voit tant de rapport, Qu'on ne peut qu'à ce fils en imputer la mort, Et c'est le dire assez, qu'ordonner qu'on efface Un grand crime impuni par le sang de sa race.
Attendons toutefois ce qu’en dira Phorbas, Autre que luy n’a veu ce malheureux trépas, ne de ce teniorir ieur depend la comoiſſance, Et de ce parricide, & de voſtre naiſſance.	Attendons toutefois ce qu'en dira Phorbas, Autre que lui n'a vu ce malheureux trépas, ne de ce teniorir jeur dépend la comaissance, Et de ce parricide, et de votre naissance.
Si vous eſtes coupable, éuitez-en les yeux, Et de peur d’en rougir, prenez d’autres ayeux.	Si vous êtes coupable, éuitez-en les yeux, Et de peur d'en rougir, prenez d'autres aïeux.
THESEE.	THESEE.
Ie le verray, Madame, & ſans inquietude, Ma naiſſance confuſe a quelque incertitude, Mais pour ce parricide, il eſt plus que certain Que ce ne fut jamais vn crime de ma main.	Je le verrai, Madame, et sans inquiétude, Ma naissance confuse à quelque incertitude, Mais pour ce parricide, il est plus que certain Que ce ne fut jamais un crime de ma main.
Fin du troiſiéme Aete.	Fin du troisième Aète.
ACTE	ACTE
TRAGEDIE.	TRAGÉDIE.
ACTE IV.	ACTE IV.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
THESEE, DIRCE, MEGARE.	THESEE, DIRCE, MEGARE.
M DIRCE.	M MIRÉE.
VY, déja ſur ce bruit l’amour m’auoit flatée, Mon ame avec plaiſir s’eſtoit inquietée, 4 Et ce jaloux honneur qui ne conſentoit pas Qu'vn frere me rauiſt vn glorieux trépas, Apres cette douceur fierement refuſée, Ne me refuſoit point de viure pour Theſée, Et laiſſoit doucement corrompre ſa fierté A l’eſpoir renaiſſant de ma perplexité.	VI, déjà sur ce bruit l'amour m'avait flattée, Mon âme avec plaisir s'était inquiétée, 4 Et ce jaloux honneur qui ne consentait pas Qu'être frère me ravît un glorieux trépas, Après cette douceur fièrement refusée, Ne me refusait point de vivre pour Thesée, Et laissait doucement corrompre sa fierté À l'espoir renaissant de ma perplexité.
Mais ſi ie vois en vous ce deplorable frere, Quelle faueur du Ciel voulez-vous que j’eſpere, S’il n’eſt pas en ſa main de m’arreſter au iour, Sans faire ſoûleuer, & l’honneur, & l’amour?	Mais si ici vois en vous ce déplorable frère, Quelle faveur du Ciel voulez-vous que j'espère, S'il n'est pas en sa main de m'arrêter au jour, Sans faire soûleuer, et l'honneur, et l'amour?
S’il dédaigne mon ſang, il accepte le voſtre, Et ſi quelque miracle épargne l’vn & l’autre, Pourra-t’il détacher de mon ſort le plus doux L’amertume de viure, & n’eſtre point à vous?	S'il dédaigne mon sang, il accepte le vôtre, Et si quelque miracle épargne l'un et l'autre, Pourra-t-il détacher de mon sort le plus doux L'amertume de vivre, et n'être point à vous?
THESEE.	THESEE.
Le Ciel choiſit ſouuent de ſecrettes conduites Qu’on ne peut démeſler qu’apres de longues fuites, Et de mon ſort douteux l’obſcur éuenement Ne défend pas l’eſpoir d’vn ſecond changement.	Le Ciel choisit souvent de secrètes conduites Qu'on ne peut démêler qu'après de longues fuites, Et de mon sort douteux l'obscur événement Ne défend pas l'espoir d'H second changement.
Ie cheris ce premier qui vous eſt ſalutaire, Ie ne puis en amant ce que je puis en frere, I’en garderay le nom tant qu’il faudra mourir;	Je chéris ce premier qui vous est salutaire, Je ne puis en amant ce que je puis en frère, J'en garderai le nom tant qu'il faudra mourir;
Mais ſi iamais d’ailleurs on peut vous ſecourir, Peut-eſtre que le Ciel me faiſant mieux connoiſtre, Si-toſt que vous viurez, ie ceſſeray de l’eſtre, Pces Car ie n’aſpire point à calmer ſon couroux, Et ne veux, ny mourir, ny viure que pour vous.	Mais si jamais d'ailleurs on peut vous secourir, Peut-être que le Ciel me faisant mieux connaître, Si-tôt que vous vivrez, sans cesserai de l'être, Pces Car on n'aspire point à calmer son courroux, Et ne veux, ni mourir, ni vivre que pour vous.
DIRCE.	DIRCE.
Cet amour mal eſteint ſied mal au cœur d’vn frere, Où le ſang doit parler, c’eſt à luy de ſe taire, fat aa tort que lans erame n'ne peue pruo durer, Pour ſes feux les plus vifs il eſt temps d’expirer.	Cet amour mal éteint sied mal au cœur d'un frère, Où le sang doit parler, c'est à lui de se taire, fat a tort que lans erme n'une peue pruo durer, Pour ses feux les plus ifs il est temps d'expirer.
THESEE.	THESEE.
Laiſſez-luy conſeruer ces.	Laissez-lui conserver ces.
ardeurs empreſſées Qui vous faiſoient i’objet de toutes mes penſées;	ardeurs empressées Qui vous faisaient j'objet de toutes mes pensées;
I'ay mefmes yeux encor, & vous, meſmes appas, Si mon ſort eſt douteux, mon ſouhait ne l'eſt pas, Mon cœur n’écoure point ce que le ſang veut dire, C’eſt d’amour qu’il gémit, c’eſt d’amour qu’il ſoûpire, Et pour pouuoir ſans erime en gouſter la douceur, Il ſe reuolte exprés contre le nom de ſœur.	J'ai mêmes yeux encor, et vous, mêmes appas, Si mon sort est douteux, mon souhait ne l'est pas, Mon cœur n'écoure point ce que le sang veut dire, C'est d'amour qu'il gémit, çest 'amour qu'il soupire, Et pour pouvoir sans erime en goûter la douceur, Il se révolte exprès contre le nom de sœur.
De mes plus chers deſirs ce partiſan ſincere En faueur de l’amant tyranniſe le frere, Et partage à tous deux le digne empreſſement De mourir comme frere, & viure comme amant.	De mes plus chers désirs ce partisan sincère En faveur de l'amant tyrannise le frère, Et partage à tous deux le digne empressement De mourir comme frère, et vivre comme amant.
DIRCE.	DIRCE.
O du ſaug de Lajus preuuez trop manifeſtes, Le Ciel vous deſtinant à des flames inceſtes, A ſçeu de voſtre eſprit déraciner l’horreur Que doit faire a l’amour le ſacré nom de ſœur :	Ô du saug de Lajus preuuez trop manifestes, Le Ciel vous destinant à des flammes incestes, A su de votre esprit déraciner l'horreur Que doit faire à l'amour le sacré nom de sœur :
