ECTIEIOE LTTDETEVTE PERSECVTEE TRAGI-COMEDIE.	ECTIEIOE LTTDETEUTE PERSÉCUTE -THRAGICOMÉDIE.
HELIONE.	HÉLIONE.
Ce n’eſt pas aux grandeurs d’un ſceptreque i’aſpire 4a ecinunge foncomO non pio [queptre, Et c’eſt ſur ce beau trône ouie voudrois regner.	Ce n'est pas aux grandeurs d'un sceptre j'aspire 4a ecinunge foncomO non pio [queptre, Et c'est sur ce beau trône ouï rois régner.
LIGDAMIS.	LIGDAMIS.
Adorable beautévous deuez m’espargner, Et croire que mon ame eſt aſſez genereuſe Pour ſouhaitter de vous cette fortune heureuſe, Ouy Madame mon cœur eſt ſenſible à vos traits, Et ie l’aurois offert à vos diuins attraits, Si tout en meſme temps le reſpect & l’audace N’auoient remply mon ſein & de flame & de glace Ces mouuemens diuers eſgalement puiſſans, Malgre ma paſſion ont diuiſé mes ſens:	Adorable beautévous devez m'épargner, Et croire que mon âme est assez généreuse Pour souhaiter de vous cette fortune heureuse, Oui Madame mon cœur est sensible à vos traits, Et Seigneur l'aurais offert à vos divins attraits, Si tout en même temps le respect et l'audace N'avaient rempli mon sein et de flamme et de glace Ces mouvements divers également puissants, Malgre ma passion ont divisé mes sens:
Mais puis que vos faueurs ſe rangent à mon ayde L’audace maintenant à la crainte ſuccede, Et tous mes ſens rangez, au party de l’amour M'obligent deſormais de vous faire la cour.	Mais puis que vos faveurs se rangent à mon aide L'audace maintenant à la crainte succède, Et tous mes sens rangez, au parti de l'amour M'obligent désormais de vous faire la cour.
Cependant s’il vous plaiſt belle & charmante Reine Trouuez bõn que i’enuoye en la foreſt prochaine Dire à quelques Seigneurs qui ſeroient en ſoucy L’agreable ſujet qui me retient icy, Et que par vne chaſſe à nulle autre pareille Ie ſuis pris dans les rets d’vne ieune merueille;	Cependant s'il vous plaît belle et charmante Reine Trouvez bõn que j'envoie en la forêt prochaine Dire à quelques Seigneurs qui seraient en souci L'agréable sujet qui me retient ici, Et que par une chasse à nulle autre pareille Je suis pris dans les rets d'une jeune merveille;
F iij	 Fij
Où ſi voſtre bonté diſpence mon deuoir lem en vay vous laiſſer pour vous mieux receuoir,	Où si votre bonté dispense mon devoir lem en vais vous laisser pour vous mieux recevoir,
HELIOINE.	HÉLIOINE.
– Si ié vous retenois ie croirois faire vn crime C’eſt aſſez que ie ſois la premiere victime, Qutieſume inonneurde reſentirles coups D'vn chaſſeur dont le trait m'eſt ſi cher & ſi doux.	Ô Si j' est retenois ie croirois faire un crime C'est assez que je sois la première victime, Qutiesume inonneurde résentirles coups D'un chasseur dont le trait m'est si cher et si doux.
HERMODORE.	HÉRMODORE.
I’approuue Ligdamis cette belle entrepriſe, Va de quelque beaucoup ſolemniſer tapriſe,	J'approuve Ligédamis cette belle entreprise, Va de quelque beaucoup solenniser taprise,
LIGDAMIS.	LIGDAMIS.
Le coup aſſeurentent en ſera ſi fameux Qu'il en ſera parlé iuſques à nos neueux.	Le coup assurent en sera si fameux Qu'il en sera parlé jusqu' à nos neueux.
SCENE QVATRIEME ORPHISE.	SCÈNE QUATRIÈME ORPHISE.
dans leboccage.	dans leboccage.
2	2
STANCES.	STANCES.
TTran des cœurs, bourreau des ames 1 Maiſtre des humains & des Dieux Redoutable vainqueur des plus ambitieux Dieu de fers, de ſouſpirs, de tourmens, & de flamés, Amour que les coups de tes traits Ont d’abord de puiſſans attraits	TTran des cœurs, bourreau des âmes 1 Maître des humains et des Dieux Redoutable vainqueur des plus ambitieux Dieu de fers, de soupirs, de tourments, et de flammes, Amour que les coups de tes traits Ont d'abord de puissants attraits
TA AEDIE.	TA AÉDIE.
Qn ils font vne agreable & charmante bleſſure:	Quel ils font agréable et charmante blessure:
Mais apres de ſi doux momens Helas!	Mais après de si doux momens Helas.
que ta douceur change bien de nature Et qu’elle eſt fatale aux Amans!	que ta douceur change bien de nature Et qu'elle est fatale aux Amants!
Puis que ie vis ſoubs ton Empire Et que ie ſuis ſans liberté Pourquoy m'affliges-tu de l’importunité Des tranſports violens d’vn Prince qui ſouſpire:	Puis que ici vis sous ton Empire Et que je suis sans liberté Pourquoi m'affliges-tu de l'importunité Des transports violents d'un Prince qui soupire:
Ie ne puis partager mes vœux, Mon amour ne peut-eſtre à deux, Theage eſt mon Amant, Ligdamis eſt mon Prince, Mais le premier eſt mon vainqueur, Et ſi l’vn deuint Roy d’vne belle Prouince L’autre le ſera de mon cœur.	Je ne puis partager mes vœux, Mon amour ne peut-être à deux, Thage est mon Amant, Ligédamis est mon Prince, Mais le premier est mon vainqueur, Et si l'un devint Roi d'une belle Province L'autre le sera de mon cœur.
Vne choſe leur eſt commune Parmy leurs inegalitez, Deux Aueugles des deux ſont les Diuinitez, L’vn doit tout à l’amour, & l’autre à la fortune;	Une chose leur est commune Parmi leurs inégalités, Deux Aveugles des deux sont les Divinités, L'un doit tout à l'amour, et l'autre à la fortune;
L’vn n’a reçeu que les ardeurs, L’autre eſt au faiſte des grandeurs Et ſon ambition ne peut eſtre aſſouuie Theage n'a rien que ma foy Toutesfois cet Amant void monter ſans enuie Son Riual au trone d'vn Roy 6	L'un n'a reçu que les ardeurs, L'autre est au foute des grandeurs Et son ambition ne peut être assouuie Thage n'a rien que ma foi Toutefois cet Amant voit monter sans envie Son Rival au trone d'un Roi 6
1.	1.
Prince dont l’iniuſte puiſſance S’oppoſe à nos feux innocens Si ie ſuis inſenſible aux peines que tu ſens Ne prens point ma rigueur pour deſobeïſſance;	Prince dont l'injuste puissance S'oppose à nos feux innocents Si tu suis insensible aux peines que tu sens Ne prends point ma rigueur pour désobéissance;
Vn Dieu dont tu ſens le pouuoir Me diſpence de ce deuoir Ie ne puis reſiſter à celuy qui te dompte S’il rend Theage triomphant Afinde mieux couurir mes reffus & ta bonte Dy que c'eſt le choix d’un enfant.	Un Dieu dont tu sens le pouvoir Me dispense de ce devoir Je ne puis résister à celui qui te dompte S'il rend Thage triomphant Afinde mieux couvrir mes reffus et ta bonté Dis que c'est le choix d'un enfant.
Beaux arbres eſleuez, en ce boccage ſombre Où meſme en plein midy le ſoleil eſt à l’ombre En attendant le mien, prétez moy le couuert 3 Deſſoubs voſtre feuillage auſſi frais qu’il eſt verd, Et laiſſez moy reſuerdans voſtre ſolitude A l’agreable objet de moninquietude.	Beaux arbres élevez, en ce bocage sombre Où même en pleinqui le soleil est à l'ombre En attendant le mien, prêtez moi le couvert 3 Déessoubs votre feuillage aussi frais qu'il est verd, Et laissez moi resuerdans votre solitude À l'agréable objet de moninquiétude.
SCENE CINQVIEME.	SCÈNE CINQUIÈME.
I ORPHISE.	I ORPHISE.
TANCLADE.	TANCLADE.
DORISTEL.	DORISTEL.
deguiſez en Mores.	déguisez en Mores.
2 ORPHISE.	2 ORPHISE.
pourſuit en les voyant.	poursuit en les voyant.
LAis quels monſtres affreux paroïſſent à NEmes yeux?	LAis quels monstres affreux paroïssent à NEmes yeux?
ſis maouruemntm.	sis maourvemnt.
ſevomtamo yvons Dieux!	sevomtamo yvons Dieux!
Empeſchez immortels qu’on ne me faſſe outrage!	Empêchez immortels qu'on ne me fasse outrage!
Monſtres que voulez-vous?	Monstres que voulez-vous?
où vous porte la rage?	où vous porte la rage?
ANCLADE.	ANCLADE.
QE.	QE.
Suiuez nous belle Nymphe & ne conteſtez plus.	Suivez nous belle Nymphe et ne contestez plus.
ORPHISE.	ORPHISE.
Cher Theage au ſecours!	Cher Thage au secours!
DORTSTEH.	DORTSTEH.
Ces cris ſont ſuperflus.	Ces cris sont superflus.
Auſſibien que l’eſpoir la reſiſtance eſt vaine  Suiuez, ſi vous voulez, que l’on ne vous entraine.	Aussibien que l'espoir la résistance est vaine Suivez, si vous voulez, que l'on ne vous entraine.
ORRHISE.	ORRHISE.
Ah barhares, pluſtoſt employez, vos efforts A mettre en mille parts ce deplorable corps Eſteignézdans mon ſang voſtre bru tale enuie Percezce tendre ſcin, arrachez moy la vie Ieverray le trespas auecque moins d’horreur?	Ah barhares, plutôt employez, vos efforts A mettre en mille parts ce déplorable corps Esteignézdans mon sang votre bru tale envie Percezce tendre scin, arrachez -moi la vie Jeverai le trépas avec moins d'horreur?
Monſtres que tardez vous, montrez voſtre fureur Cet eſtomãc attend la pointe de vos armes Percez, tygres, mon ſang fera tarir mes larmes Ei jaconije jaiaie cſongerameseia,	Monstres que tardez -vous, montrez votre fureur Cet estomanc attend la pointe de vos armes Percez, tigres, mon sang fera tarir mes larmes Éi jaconije jaye congeramesia,
SCENE SIXIESME.	SCÈNE SIXIÈME.
Ll GDAMMIS, ORTTAISL.	Ll GDAMMIS, ORTAISL.
TANCLADE.	TANCLADE.
LIGDAMIS.	LIGDAMIS.
auecſuitte.	auecsuitte.
Ve voy-ie iuſtes Dieux!	Ve vois-je justes Dieux!
TANCLADE.	TANCLADE.
Ah nous ſommes ſurpris.	Ah nous sommes surpris.
LIGDAMIS.	LIGDAMIS.
.	.
Perfides vous mourrez, ſi vos mains criminelles & Dor.	Perfides -vous mourrez, si vos mains criminelles et Dor.
A vos coupables pieds n'ont attaché des aiſles, Rien ne vous peut ſauuer des foudres de mon bras, Quoy' laſches vous fuyez vn glorieux treſpas Et d’un infame ſang vous vous monſtrez, auares Quand il faut acquerir des richeſſesſi rares?	À vos coupables pieds n'ont attaché des ailes, Rien ne vous peut sauver des foudres de mon bras, Quoi' lâches vous fuyez un glorieux trépas Et d'un infâme sang vous vous montrez, avares Quand il faut acquérir des richessessi rares?
Allez Monſtres affreux qui n’auez rien d’humain Vous ne meritez, pas de mourir de ma main.	Allez Monstres affreux qui n'avez rien d'humain Vous ne méritez, pas de mourir de ma main.
Mais diuine beauté quelle eſt cette aduanture D’où viennent ces demons qu’a produit là nature Quelle eſtrange fureur les armoit contre vous Qu’ils n’ont pas reſpecté tant de charmes ſi doux Quoy les Dieux n’ont ils pas deffendù leur ouurage?	Mais divine beauté quelle est cette aventure D'où viennent ces démons qu'a produit là nature Quelle étrange fureur les armait contre vous Qu'ils n'ont pas respecté tant de charmes si doux Quoi les Dieux n'ont ils pas défend leur ouvrage?
Non, vn ſi noble coup demandoit mon courage, Ermagrcaoosnighenrsle deſin a permin Qu’il ayt heureuſement chaßé vos ennemis.	Non, un si noble coup demandait mon courage, Ermagrcaoosnighenrsle désin a permin Qu'il ait heureusement chassé vos ennemis.
ORPHISE.	ORPHISE.
Grand prince ie ne ſçay quelle iniuſte licence Armoit ces eſtrangers contre mon innocence Mais ie connois aſſez les genereuſes mains .	Grand prince Dieu ne sais quelle injuste licence Armait ces étrangers contre mon innocence Mais enfin connais assez les généreuses mains .
3 Dont la force a deſtruit leurs proiéts inhumfains Quy Seigaeur ie connois cet illuſtre viſage Dont l’adorable aſpect à diſſipé l’orage, Q'ui vient de menãſſer ma vie & mon honneur.	3 Dont la force a détruit leurs proiéts inhumfains Quy Sigaeur ici connais cet illustre visage Dont l'adorable aspect à dissipé l'orage, Qvi vient de menantser ma vie et mon honneur.
LIGDAMIS.	LIGDAMIS.
Vous deuez moins Orphiſe à mon bras, qu’au bonheur Qui m’a fait à propos venir ence boccage Afin de repouſſer cet inſolent outrage:	Vous devez moins Orphise à mon bras, qu'au bonheur Qui m'a fait à propos venir ence bocage Afin de repousser cet insolent outrage:
Vous donnant du ſecours i’ay fait ce que i’ay deu Ruis que voſtre malheur m’euſt moy-meſme perdu Et que depuis long-tẽps, vous le ſçauez, Madame, Voſtre beauté poſſede & mon cœur & mon ame:	Vous donnant du secours j'ai fait ce que j'ai de Vis que votre malheur m'eût moi-même perdu Et que depuis long-tẽps, vous le savez, Madame, Votre beauté possède et mon cœur et mon âme:
7 Ie n’ay donc belle Orphiſe en ce noir attentat Obligé que moy-meſme ou pluſtoſt moneſtat Qui priué des attraits d’vn objet adorable Perdoit ce qu’il auoit de plus conſiderable,	7 Je n'ai donc belle Orphise en ce noir attentat Obligé que moi-même ou plutôt monestat Qui privé des attraits d'un objet adorable Perdait ce qu'il avait de plus considérable,
RPHISE.	RPHISE.
Ah vous auez pluſtoſt parce triſte combat Troublé voſtre repos & celuy de l’Eſtat, Et ie me voy remiſe en ma premiere crainte Si voſtre paſſion n'eſt pas encore eſteinte.	Ah vous avez plutôt parce triste combat Troublé votre repos et celui de l'État, Et ils me vois remise en ma première crainte Si votre passion n'est pas encore éteinte.
LIGDAMIS.	LIGDAMIS.
Bien que voſtre rigueur s’oppoſe à mon amour N’eſperez, pas:	Bien que votre rigueur s'oppose à mon amour N'espérez, pas:
ſa ſin qu’en me priuant du iour Banniſſez toutesfois la crainte de voſtre ame Ie n'ay pour vos appas qu'vne innocente flame Et quelque vaine erreur qui me rende ſuſpect Ie forceray vos yeux d’admirer mon reſpect Reprenons cependant le chemin de la ville Ie veux dans mon palais vous donner vn azile raignant que de nouueau la force, ou le malheur Ne vienne à vos deſpens exercer ma valeur.	sa sin qu'en me privant du jour Bannissez toutefois la crainte de votre âme Je n'ai pour vos appas qu'une innocente flamme Et quelque vaine erreur qui me rende suspect Je forcerai vos yeux d'admirer mon respect Reprenons cependant le chemin de la ville Je veux dans mon palais vous donner un asile raignant que de nouveau la force, ou le malheur Ne vienne à vos dépens exercer ma valeur.
ACILIV SCENCEITRENELERE	ACILIV SCENCEITRENELERE
THEAGE.	THÉGE.
ſortant du boccage.	sortant du bocage.
Elas ie n’en puis plus, ie ſuis tout hors d’haleine, Ctee Et ie pers vainemẽt & mes pas & ma peine Tout ce par ceſt deſert, & l’horreur ſeulement S’offre aux triſtes regards d’vn malheureux amant;	Élas ie n'en puis plus, je suis tout hors d'haleine, Clée Et apprendre pers ainement et mes pas et ma peine Tout ce par cet désert, et l'horreur seulement S'offre aux tristes regards d'un malheureux amant;
Tout ce que i’aperçois m’eſt de funeſte augure Matrainte & mon amour me donnent la torture.	Tout ce que j'aperçois m'est de funeste augure Matrainte et mon amour me donnent la torture.
Et pour accroiſſement de tous mes deſplaiſirs Qui ay le moins d’eſpoir i'ay le plus de deſirs.	Et pour accroissement de tous mes déplaisirs Qui ai le moins d'espoir j'ai le plus de désirs.
Ah diuine beauté quelle raiſon puiſſante Toblige à me tuer par cette longue attente.	Ah divine beauté quelle raison puissante Toblige à me tuer par cette longue attente.
Quels obſtacles ſi grans te peuuent retenir Ou quels faſcheux demons t'empeſchent de venir Tandis que ie t’accuſe en l’ennuy qui mepreſſe, Ou de trop peu d’amour ou de trop de pareſſe.	Quels obstacles si grans te peuvent retenir Ou quels fâcheux démons t'empêchent de venir Tandis que deux t'accuse en l'ennui qui mepresse, Ou de trop peu d'amour ou de trop de paresse.
Vien d’vn pas diligent me tirer de la nuict Ou ton retardement a preſent me reduit, Ce n'eſt que trop long-temps faire l’experience	Viens d'un pas diligent me tirer de la nuit Ou ton retardement à présent me réduit, Ce n'est que trop longtemps faire l'expérience
Ciij 1 Et de ma paſſion & de ma patience, promet Vien banir de mon cœur ce penible ſoucy, ne en reſuant.	Cij 1 Et de ma passion et de ma patience, promet Viens banir de mon cœur ce pénible souci, ne en rêvant.
Ou ßache que ſans toy ie vay mourir icy.	Ou ssache que sans toi ie vay mourir ici.
SCENE DEVXIESME LIGDAMIS.	SCÈNE DEUXIÈME LIGDAMIS.
TANCL.	TANCL.
DORIST.	DORIST.
THEAGE.	THÉGE.
LIGDAMIS.	LIGDAMIS.
parlant à Doriſtel.	parlant à Doristel.
Oy comme il eſt reſueur.	Oi comme il est rêveur.
DORISTEL.	DORISTEL.
Il attend ſon Orphiſe.	Il attend son Orphise.
Et peut eſtre ſeigneur qu’ilignore ſa priſe Illuy faut deſguiſer l'effect de ce deſſein.	Et peut -être seigneur qu'ilignore sa prise Illui faut déguiser l'effet de ce dessein.
LTGDAMIS.	LTGDAMIS.
Theage quel ſoucy te deuore le ſein?	Thage quel souci te dévore le sein?
Ah!	Ah!
THEAGE.	THÉGE.
LIGDAMIS.	LIGDAMIS.
Quoy?	Quoi?
THEAGE.	THÉGE.
Les petits maux font de belles harangues Mais la nature aux grands n'a point donné de langues,	Les petits maux font de belles harangues Mais la nature aux grands n'a point donné de langues,
LIGDAMIS.	LIGDAMIS.
a iuſceut acoſaem armue ce malin.	a juscut acosaem armue ce malin.
Non:	Non:
THEAGE.	THÉGE.
LIGDAMIS.	LIGDAMIS.
Qui t'afflige donc?	Qui t'afflige donc?
THEAGE.	THÉGE.
La rigueur du deſtin.	La rigueur du destin.
Qui parmy les langueurs d’vne attente importune Nous predit à tous deux vne perte commune.	Qui parmi les langueurs d'une attente importune Nous prédit à tous deux perte commune.
Orphiſe me deuoit icy venir trouuer Et ma commifſion ſe deuoit acheuer En faueur de l’amour que vous auez pour elle.	Orphise me devait ici venir trouver Et ma commission se devait achever En faveur de l'amour que vous avez pour elle.
t	t
LIGDAMIS.	LIGDAMIS.
Tu pers icy le temps n’attens plus cette belle Deux hommes inconneus par vn triſte projet Nous ont	Tu pers ici le temps n'attends plus cette belle Deux hommes inconnus par un triste projet Nous ont
TIIEROL.	TIIEROL.
Quoy iuſtes Dieux?	Quoi justes Dieux?
LIGDAMIS.	LIGDAMIS.
Enleué cet objet.	Enlevé cet objet.
THEAGE.	THÉGE.
Orphiſe eſt enleuée!	Orphise est enlevée!
ômalheur!	ômalheur!
ô deſaſtre!	ô désastre!
Quoy vous pouuez, ſouffrir l’eclipſe de cet aſtre Vous poüuez l’oublier, & ſans la ſecourir Tous deux les bras croiſez nous la laiſſons perir Ah pour des nobles cœurs c’eſt trop d’ingratitude.	Quoi vous pouvez, souffrir l'eclipse de cet astre Vous pouvez l'oublier, et sans la secourir Tous deux les bras croissez nous la laissons périr Ah pour des nobles cœurs c'est trop d'ingratitude.
LIGDAMIS.	LIGDAMIS.
Deliures ton eſprit de cette inquietude, Mon bras a deſtourné le coup de ce malheur Et i'aypour mon amour employé ma valeur.	Délivres ton esprit de cette inquiétude, Mon bras a détourné le coup de ce malheur Et j'aipour mon amour employé ma valeur.
THEAGE.	THÉGE.
I’auray donc le bon-heur de la reuoir encore?	J'aurai donc le bonheur de la revoir encore?
An prmnee genereua ui ſaut quon oous adore!	An prmnee genereua ui saut quon oous adore!
Mais où l’auez vous miſe apres ce grand effroy?	Mais où l'avez -vous mise après ce grand effroi?
LIGDAMIS.	LIGDAMIS.
Ne te tourmente point Theage:	Ne te tourmente point Thage:
elle eſt chez moy Les Dieux l’ont maintenant en magarde commiſe.	elle est chez moi Les Dieux l'ont maintenant en magarde commise.
IIIE AOM.	IIIE AOM.
apait.	apait.
Dieux que vous me donnez vne cruelle criſe!	Dieux que vous me donnez une cruelle crise!
Mais	Mais
LIGDAMIS.	LIGDAMIS.
Comme ma valeur a bien pù la ſauuer Ma prudencé & mes ſoins la pouront conſeruer.	Comme ma valeur a bien pù la sauver Ma prudencé et mes soins la pourront conserver.
LIIEAGE.	LIIEAGE.
Ouy ſeigneur mais apres cette inſigne victoire A peyne pourrèz vous conſeruervoſtre gloire Si vous laretenez dedans voſtre maiſon.	Oui seigneur mais après cette insigne victoire A peine pourrèz vous conseruervostre gloire Si vous laretenez dedans votre maison.
LIGDAMIS.	LIGDAMIS.
Soit:	Soit:
que ma volonté te ſerue de raiſon Ie ſuiuray mes deſirs en depit de l’enuie.	que ma volonté te serve de raison Je suivrai mes désirs en dépit de l'envie.
Et perſonne n'a droit de cenſurer ma vie, Mais ce facheux diſcours à deſia trop duré	Et personne n'a droit de censurer ma vie, Mais ce fâcheux discours à déjà trop duré
TRAGI-COMEDIE.	TRAGI-COMÉDIE.
Afarevuspurdenteme quuulferé,	Afarevuspurdente quuulferé,
THEAGE.	THÉGE.
He bienn'en parons plus.	He bienn'en parons plus.
LIGDAMIS.	LIGDAMIS.
voy le long de la plaine.	vois le long de la plaine.
C.	Ç.
riras quelque claire fontaine Pour appaiſer ma ſoif ie ne veux que de l’eau.	riras quelque claire fontaine Pour apaiser ma soif ie ne veux que de l'eau.
THEAGE.	THÉGE.
Ie vay pluſtoſt querir en ce prochain hameau Vn breuuage plus propre à cette auguſte bouche.	Je vais plutôt quérir en ce prochain hameau Un breuage plus propre à cette auguste bouche.
Theage ſort & Ligdamis demeure auec l’anclade & Doriltel.	Thage sort et Ligdamis demeure use l'anclade et Doriltel.
DCERE PICOMIESME.	DCERE PICOMIESME.
LIGDAMIS.	LIGDAMIS.
TANCLADE.	TANCLADE.
DORISTEL.	DORISTEL.
LIGDAMIS.	LIGDAMIS.
E voy bion où le mal plus viuement le touche, NMais comme ſon adreſſe a trahy mon amour, Ie ſçauray me vanger parvnſemb lable tour.	E vois bion où le mal plus vivement le touche, NMais comme son adresse a trahi mon amour, Je saurai me venger parvnsemb lable tour.
D.	D.
ORISTEL.	ORISTEL.
Ouy, ſeigneur, mais ie crains qu’vne humeur trop facile Ne rende en peu de iours noſtre peine inutile, * Car vous ne poſſedez, Orphiſe qu’à demy eni que vous vous faomeſme a voſtre ennemy.	Oui, seigneur, mais ainsi crains qu'une humeur trop facile Ne rende en peu de jours notre peine inutile, * Car vous ne possédez, Orphise qu'à demi eni que vous vous faomême a été ennemi.
LIGDAMIS.	LIGDAMIS.
Eſtant ce que ie ſuis que peut ilentreprendre?	Étant ce que ici suis que peut -ilentreprendre?
DORISTEL.	DORISTEL.
Do qu oneuuengie umout ucouſtume d’apprendre A ceux que le malheur reduit au deſeſpoir.	Do qu oneuvengie umout ucoutume d'apprendre À ceux que le malheur réduit au désespoir.
LIGDAMTS.	LIGDAMTS.
Theage pour l’ozer a trop peu de pouuoir.	Thage pour l'oser a trop peu de pouvoir.
TANCLADE.	TANCLADE.
Ah mon prince!	Ah mon prince!
eſcoutez ce propos veritable Il n’eſt point d’ennemy qui ne ſoit redoutable Puis que le plus abiet de tous les animaux Contre l’Aigle autrefois ſe vangea de ſes maux Auez, vous remarqué le diſcours de Theage?	écoutez ce propos véritable Il n'est point d'ennemi qui ne soit redoutable Puis que le plus abiét de tous les animaux Contre l'Aigle autrefois se vengea de ses maux Avez, vous remarqué le discours de Théage?
Auez vous obſerué ſon geſte, & ſon viſage?	Avez -vous observé son geste, et son visage?
Remes JeSiuie,f Jupeifaepin.	Remes JeSivie, Jupéifaépin.
Ne couüe contre vous quelque mauuais deſſein.	Ne coue contre vous quelque mauvais dessein.
LIGDAMIS.	LIGDAMIS.
I'enveux dés à preſent faire l’experience.	J'enveux dés à présent faire l'expérience.
ANCLADE.	ANCLADE.
Tenez vous doncq touſiours dedans la deffiance, Ee voicy qui retourne auec un vaze en main Peut eſtre l’inſtrument d’vn projet inhumain Mon prince commandez, qu’il en faſſe l’eſpreuue,	Tenez vous donc toujours dedans la défiance, Ee voici qui retourne avec un vaze en main Peut être l'instrument d'un projet inhumain Mon prince commandez, qu'il en fasse l'épreuve,
SCENE QVATRIEME LIGDAMIS.	SCÈNE QUATRIÈME LIGDAMIS.
TANCL.	TANCL.
DORIST, THEAGE.	DORIST, THÉGE.
THEAGE.	THÉGE.
auec vn vaze.	avec un vaze.
E n’ayveu pres d’icy ny fontaine, ny fleuue, Mais un bon Payſanrencontré dans ces lieux Ma mis dedans ce vaze vn vin delicieux, Tenez Seigneur.	E n'aivu pres d'ici ainsi fontaine, ni fleuve, Mais un bon Paysanrencontré dans ces lieux Ma mis dedans ce vaze un vin délicieux, Tenez Seigneur.
LIGDAMIS.	LIGDAMIS.
Ma ſoif n'eſtplus ſi violenté Et la moitil pour moy n'eſt que trop ſuffiſante Beuuez, auparauant.	Ma soif n'étplus si violenté Et la moitil pour moi n'est que trop suffisante Buvez, auparavant.
THEAGE.	THÉGE.
Ie ſerois effronté Si ie faiſois (Seigneur) cette inciuilité Bien qu'à ce compliment mon ame ſoit confuſe Tejuopus pemmm quymabouche en abuſé, Elle a trop de reſpect pour suouloir approcher D'vne couppe, où la voſtre a deſſein de toucher.	Je serais effronté Si ainsi faisais (Seigneur) cette incivilité Bien qu'à ce compliment mon âme soit confuse Téjuopus pemm quymabouche en abusé, Elle a trop de respect pour suouloir approcher D'une couppe, où la vôtre a dessein de toucher.
L'IGDAMIS.	L'IGDAMIS.
Si faut-il ſatisfaire à cette fantaiſie.	Si faut-il satisfaire à cette fantaisie.
THEAGE.	THÉGE.
Grand Prince cet honneur paſſe la courtoiſie	Grand Prince cet honneur passe la courtoisie
Hij.	Hij.
AAiipie fanes pouo panuintinſement.	AAiipie fanes pouo panuintinsement.
LIGDAMIS.	LIGDAMIS.
Ie parle tout debon, & veux abſolument Que vous m’obeiſſiez puis que ie le commande	Je parle tout débon, et veux absolument Que vous m'obéissiez puis que sans le commande
HEAGE.	HÉAGE.
en ſe reculant.	en se reculant.
Aonomemne pus ont ſumom ſi grande Seigneur dispenſez moy de cet extreme honneur	Aonomemne pus ont sumom si grande Seigneur dispensez moi de cet extrême honneur
LTGDAMIS.	LTGDAMIS.
Vous reculez en vain	Vous reculez en vain
THEAGE.	THÉGE.
Ain monprinec.	Ain monprinec.
o malheur!	ô malheur!
Tandis que le reſpect me tenoit en extaze Tout le vin par meſgarde eſt coulé de ce vaze.	Tandis que le respect me tenait en extaze Tout le vin par mégarde est coulé de ce vaze.
LIGDAMIS.	LIGDAMIS.
Ah Theage!	Ah Thage!
vn refus à bon droit ſi ſuſpect Eſt vn trait de malice & non pas de reſpect, Et ta ſubtile addreſſe euitant ma contrainte.	un refus à bon droit si suspect Est un trait de malice et non pas de respect, Et ta subtile adresse évitant ma contrainte.
A deſtourne l'effect d’vne mortelle atteinte:	A détourne l'effet d'une mortelle atteinte:
Quoy doncq à tapremiere, & laſche trahiſon Il falloit ame ingratte adiouter le poiſon?	Quoi donc à tapremiere, et lâche trahison Il fallait âme ingrate ajouter le poison?
Il falloit deſloyal pour mme rauir Orphiſe Contre ton ſouuerain faire cette entrepriſe?	Il fallait déloyal pour même ravir Orphise Contre ton souverain faire cette entreprise?
Et pour te contenter commettre vn attentat Qui deuoit meitre en deuil tout ce ſuperbe eſtat.	Et pour te contenter commettre un attentat Qui devait mitre en deuil tout ce superbe état.
Ouy, ouy pour ſatisfaire à ta brutale enuie, Ileſtoit important d’attenter à ma vie:	Oui, oui pour satisfaire à ta brutale envie, Ilestoit important d'attenter à ma vie:
Mais le ciel qui ſe rend des princes Proiecteur En fera re jallir le trait ſur ſon autheur:	Mais le ciel qui se rend des princes Proyecteur En fera re jallir le trait sur son auteur:
Cependant Doriſtel ie le mets en ta garde.	Cependant Doristel apprendre le mets en ta garde.
THEAGE.	THÉGE.
Et moy i’atteſte icy le ciel qui nous regarde, Et qui void le ſecret de mon intention, Tiu mijneinnocence afait monaction.	Et moi j'atteste ici le ciel qui nous regarde, Et qui voit le secret de mon intention, Tiu mijneinnocence afait monaction.
DCENE CIVIEME:	DCEN CIVIEME:
HELIONE.	HÉLIONE.
ARIOMANT.	ARIOMANT.
HELIONE.	HÉLIONE.
E deliberons plus en des choſes certaines.	E délibérons plus en des choses certaines.
YMa reſolution eſt de reuoir Atheines, Thebes m’eſt odieuſe, & ſon triſte ſeiour Eſt le tombeau fatal, où s’eſteint mon amour.	YMa résolution est de revoir Atheines, Thebes m'est odieuse, et son triste séjour Est le tombeau fatal, où s'éteint mon amour.
C’eſt trop long-temps ſeruir de fable & de riſee.	C'est trop longtemps servir de fable et de risée.
A ce peuple inſolent dont ie ſuis meſpriſeé, Il faut Ariomant preuenir vn affront Dont la honte deſia me fait rougir le front.	À ce peuple insolent dont je suis méprise, Il faut Ariomant prévenir un affront Dont la honte déjà me fait rougir le front.
Le prince empoiſonne des appas d’vne Orphiſe A ma confuſion triomphe de ſa priſe, Il l’aime, il la careſſe, & cet Amant ſansfoy Prefere vneſuiette à la fille d’vn Roy,	Le prince empoisonne des appas d'une Orphise A ma confusion triomphe de sa prise, Il l'aime, il la caresse, et cet Amant sansf Ère vnesuiette à la fille d'un Roi,
H iij	H Hijà
ARIQMANT.	ARIQMANT.
