L’IMPOSTEUR,	L'IMPOSTEUR,
Et meſme à fuir vos yeux, mon cœur ſe reſolut, Vous croyant un obſtacle à faire mon ſalut.	Et même à fuir vos yeux, mon cœur se résolut, Vous croyant un obstacle à faire mon salut.
Mais enfin je connus, ô Beauté toute aimable, Que cette paſſion peut n’eſtre point coupable;	Mais enfin je connus, ô Beauté toute aimable, Que cette passion peut n'être point coupable;
qu Que je puis l’ajuſter auecque la pudeur, Etc’eſt ce qui m’y fait abandonner mon cœur.	 Que je puis l'ajuster auecque la pudeur, Etc'est ce qui m'y fait abandonner mon cœur.
Ce m’eſt, je le confeſſe, une audace bien grande, Que d’oſer, de ce cœur, vous adreſſer l’offrande;	Ce m'est, je le confesse, une audace bien grande, Que d'oser, de ce cœur, vous adresser l'offrande;
Mais j’attens, en mes vœux, tout de voſtre bonté, Er rien des vains efforts de mon infirmité.	Mais j'attends, en mes vœux, tout de votre bonté, Er rien des vains efforts de mon infirmité.
En vous eſt mon eſpoir, mon bien, ma quiétude:	En vous est mon espoir, mon bien, ma étude:
De vous dépend ma perne, ou ma beatitude;	De vous dépend ma perne, ou ma béatitude;
Bije ruio curt chfin, par voſtre ſeul Arreſt, Heureux, ſi vous voulez;	Bije ruio curt chfin, par votre seul Arrêt, Heureux, si vous voulez;
malheureux, s’il vous plaiſt.	malheureux, s'il vous plaît.
ELMIRE.	ÉLMIRE.
La declaration eſt tout-à-fait galante;	La déclaration est tout-à-fait galante;
Mais elle eſt, à vray dire, un peu bien ſurprenante.	Mais elle est, à vrai dire, un peu bien surprenante.
Vous deuiez, ce me ſemble, armer mieux voſtre leniy Et raiſonner un peu ſur un pareil deſſein.	Vous deviez, ce me semble, armer mieux votre leni Et raisonner un peu sur un pareil dessein.
Un deuot comme vous, & que par tout on nomme.	Un dévot comme vous, et que par tout on nomme.
TARTUFFE.	TARTUFFE.
Ah!	Ah!
pour eſtre Deuot, je n’en ſuis pas moins Homme.	pour être Deuvot, je n'en suis pas moins Homme.
Et lors qu’on vient à voir vos celeſtes appas, Un cœur ſe laiſſe prendre, & ne raiſonne pas.	Et lors qu'on vient à voir vos célestes appas, Un cœur se laisse prendre, et ne raisonne pas.
Je ſçay qu’un tel diſcours de moy paroiſt étrange;	Je sais qu'un tel discours de moi paraît étrange;
Mais, Madame, apres tout, je ne ſuis pas un Ange;	Mais, Madame, après tout, je ne suis pas un Ange;
Et ſi vous condamnés l’aueu que je vous fais, Vous deuez vous en prendre à vos charmans attraits.	Et si vous condamnez l'aveu que je vous fais, Vous devez vous en prendre à vos charmands attraits.
Dés que j’en vis briller la ſplendeur plus qu’humaine, Demon intérieur vous fûtes ſouueraine.	Dès que j'en vis briller la splendeur plus qu'humaine, Démon intérieur vous fûtes souveraine.
De vos regards diuins, l’ineffable douceur, Força la reſiſtance où s’obſtinoit mon cœur;	De vos regards divins, l'ineffable douceur, Força la résistance où s'obstinait mon cœur;
Elle ſurmonta tout, jeuſnes, prieres, larmes, Et tourna tous mes vœux du coſté de vos charmes.	Elle surmonta tout, jeunes, prières, larmes, Et tourna tous mes vœux du côté de vos charmes.
Mes yeux, & mes ſoûpirs, vous l’ont dit mille fois;	Mes yeux, et mes soupirs, vous l'ont dit mille fois;
Et pour mieux m’expliquer, j’employe icy la voix.	Et pour mieux m'expliquer, j'emploie ici la voix.
Que ſi vous contemplez, d’une ame un peu benigne.	Que si vous contemplez, d'une âme un peu bénigne.
Les tribulations de voſtre Eſclave indigne;	Les tribulations de votre Esclave indigne;
S’il faut que vos bontez veûillent me conſoler, Et juſqu’à mon neant daignent ſe ravaler, J’auray toûjours pour vous, ô ſuave merueille, Une dé vorion à nulle autre pareille.	S'il faut que vos bontés vuillent me consoler, Et jusqu'à mon néant daignent se ravaler, J'aurai toujours pour vous, ô suave merveille, Une dé vorion à nulle autre pareille.
Voſtre honneur, avec moy, ne court point de hazard :	Votre honneur, avec moi, ne court point de hasard :
Et n’a nulle diſgrace à craindre de ma part.	Et n'a nulle disgrâce à craindre de ma part.
Tous ces Galans de Cour, dont les femmes ſont foles, Sont bruyans dans leurs faits, & vains dans leun paroles.	Tous ces Galants de Cour, dont les femmes sont soles, Sont bruyants dans leurs faits, et vains dans leun paroles.
De leurs progrés ſans ceſſe on les voit ſe targuer;	De leurs progrès sans cesse on les voit se targuer;
Ils n’ont point de faveurs, qu’ils n’aillent divulguer Et leur langue indiſcrette, en qui l’on ſe confié, Deſ-honore l Autel où leur cœur ſacrifië:	Ils n'ont point de faveurs, qu'ils n'aillent divulguer Et leur langue indiscrète, en qui l'on se confié, Des-honore l Autel où leur cœur sacrifiète:
Mais les Gens comme nous, brûlent d’un feu diſcret Avec qui pour toûjours on eſt ſeur du ſecret.	Mais les Gens comme nous, brûlent d'un feu discret Avec qui pour toujours on est sûr du secret.
Le ſoin que nous prenons de noſtre renommée, Répond de toute choſe à ſa Perſonne aimée;	Le soin que nous prenons de notre renommée, Répond de toute chose à sa Personne aimée;
Et c’eſt en nous qu’on trouve, acceptant noſtre cœur.	Et c'est en nous qu'on trouve, acceptant notre cœur.
De l’amour ſans ſcandale, & du plaiſir ſans peur.	De l'amour sans scandale, et du plaisir sans peur.
ELMIRE.	ÉLMIRE.
Je vous écoute dire, & voſtre Réthorique, En termes aſſez forts, à mon ame s’explique.	Je vous écoute dire, et votre Réthorique, En mes assez forts, à mon âme s'explique.
N’apprehendez vous point, que je ne ſois d’hu meur A dire à mon Mary cette galante ardeur?	N'appréhendez -vous point, que je ne sois d'hu meur A dire à mon Mari cette galante ardeur?
Et que le prompt avis d’un amour de la ſorte, Ne puſt bien alterer l’amitié qu’il vous porte?	Et que le prompt avis d'un amour de la sorte, Ne pût bien altérer l'amitié qu'il vous porte?
TARTUFFE.	TARTUFFE.
4 Je ſçay que vous avez trop de benignité.	4 Je sais que vous avez trop de bénignité.
Et que vous fé rez grace à ma temerité;	Et que vous se rez grâce à ma témérité;
Que vous m’excuſerez ſur l’humaine foibleſſe Des violens tranſports d’un amour qui vous bleſſez Et conſidererez, en regardant voſtre air, Que l’on n’eſt pes aveugle, & qu’un Homme eſt de chair.	Que vous m'excuserez sur l'humaine faiblesse Des violents transports d'un amour qui vous blessez Et considérerez, en regardant votre air, Que l'on n'est pes aveugle, et qu'un Homme est de chair.
Et	Et
ELMIRE.	ÉLMIRE.
D'autres prendroient cela d’autre façon, peut-eſtre, Mais ma diſcretion ſe veut faire pareſtre.	D'autres prendraient cela d'autre façon, peut-être, Mais ma discrétion se veut faire paraître.
Je ne rediray point l’affaire à mon Epous;	Je ne redirai point l'affaire à mon Épous;
Mais je veux en reuanche vne choſe de vous.	Mais je veux en revanche une chose de vous.
C’eſt de preſſer tout franc, & ſans nulle chicane, L'vnion de Valere auecque Mariane;	C'est de presser tout franc, et sans nulle chicane, L'union de Valère avec Mariane;
De renoncer vous-meſme à l’injuſte pouuoir Qui veut du bien d’vn autre enrichir voſtre eſpoit;	De renoncer vous-même à l'injuste pouvoir Qui veut du bien d'Un autre enrichir votre espoit;
Et.	Et.
a d Ela a do, DAMIS, ELMIRE, TARTUFFE.	a d Éla a do, DAMIS, ÉLMIRE, TARTUFE.
DAMIS sertant du petit Cabinet, où il svestoit retir.	DAMIS sertant du petit Cabinet, où il svestoit retir.
lOn Madame, non, cecy doit ſe répandre.	LOn Madame, non, ceci doit se répandre.
J’eſtois en cet endroit, d’où j’ay pût ut entendre;	J'étais en cet endroit, d'où j'ai pût ut entendre;
Et la bonté du Ciel m’y ſemble auoir conduit, Pour confondre l’orgueil d’vn Traiſtre qui me nuit;	Et la bonté du Ciel m'y semble avoir conduit, Pour confondre l'orgueil d'un Traître qui me nuit;
rotti frouuiir vne roye a prenure l suigeance De ſon hypocriſie, & de ſon inſolence;	rotti frouvir ainsi roye a prenure l suigeance De son hypocrisie, et de son insolence;
A détromper mon Pere, & luy mettre en plein jour, L’ame d’vn Scelerat qui vous parle d’amour.	À détromper mon Père, et lui mettre en plein jour, L'âme d'un Scélérat qui vous parle d'amour.
ELMIRE.	ÉLMIRE.
Non, Damis, il ſuffit qu’il ſe rende plus ſage, Et tâche à meriter la grace où je mengage.	Non, Damis, il suffit qu'il se rende plus sage, Et tâche à mériter la grâce où je mengage.
Puis que je l’ay promis, ne m’en dédices pas.	Puis que je l'ai promis, ne m'en dédices pas.
Ce n’eſt point mon humeur de faire des éclats;	Ce n'est point mon humeur de faire des éclats;
Vne Femme ſe rit de ſottiſes pareilles, Et jamais d’vn Mary n’en trouble les oreilles.	Une Femme se rit de sottises pareilles, Et jamais d'un Mari n'en trouble les oreilles.
Vous auez vos raiſons pour en uſer ainſy;	Vous avez vos raisons pour en user ains;
Et pour faire autrement, j’ay les miennes auſsy.	Et pour faire autrement, j'ai les miennes aussi.
Le vouloir épargner, eſt ne raillerie, Et linſolent orgueil de ſa Cagotecrie, N’a triomphé que trop de mon juſte courrous, Et que trop excité de deſordre chez nous.	Le vouloir épargner, est ne raillerie, Et linsolent orgueil de sa Cagotecrie, N'a triomphé que trop de mon juste courrous, Et que trop excité de désordre chez nous.
Le Fourbe, trop long-temps, a gouverné mon Pere, Et deſſeruy mes feux avec ceux de Valere, Il faut que du Perfide il ſoit de abuſé, Et le Ciel, pour cela, m’offre un moyen aiſe.	Le Fourbe, trop longtemps, a gouverné mon Père, Et desservi mes feux avec ceux de Valère, Il faut que du Perfide il soit de abusé, Et le Ciel, pour cela, m'offre un moyen aise.
De cette occaſion, je luy ſuis redevable, Et pour la negliger, elle eſt trop favorable.	De cette occasion, je lui suis redevable, Et pour la négliger, elle est trop favorable.
Ce ſeroit mériter qu’il me la vinſt ravir, que de ravon en mam, ee no men pas ſervir.	Ce serait mériter qu'il me la vinst ravir, que de ravon en mam, ce nô men pas servir.
Damis.	Damis.
ELMIRE.	ÉLMIRE.
DAMIS.	DAMIS.
Non, s’il vous plaiſt, il faut que je me croye.	Non, s'il vous plaît, il faut que je me croie.
Mon ame eſt maintenant au comble de ſa joye;	Mon âme est maintenant au comble de sa joie;
Le vos uncours en vain prétendent m’obliger A quitterſe paimunmne pouroir vanger.	Le vos uncours en vain prétendent m'obliger À quitterse paimunène pour venger.
Sans aller plus avant, je vais vuider d’affaire;	Sans aller plus avant, je vais vider d'affaire;
Et voicy juſtement dequoy me ſatisſaire.	Et voici justement dequoy me satissaire.
SOENEV.	SONEU.
ORGON, DAMIS, TARTUFFE, ELMIRE.	ORGON, DAMIS, TARTUFFE, ÉLMIRE.
DAMIS.	DAMIS.
Ous allons régaler, mon Pere, voſtre abord, IN D’un incident tout frais, qui vous ſurprendn fort.	Ous allons régaler, mon Père, votre abord, IN D'un incident tout frais, qui vous surprendn fort.
Vous eſtes bien payé de toutes vos careſſes;	Vous êtes bien payé de toutes vos caresses;
ſes.	ses.
Et Monſieur, d’un beau prix, recõnoiſt vos tendrel.	Et Monsieur, d'un beau prix, reconnaît vos tendrel.
Son grand zele, pour vous, vient de ſe declarer.	Son grand zèle, pour vous, vient de se déclarer.
Il ne va pas à moins qu’à vous des-honorer, Et je l’ay ſurpris, là, qui faiſoit à Madame L’injurieux aveu d’une coupable flame.	Il ne va pas à moins qu'à vous déshonorer, Et je l'ai surpris, là, qui faisait à Madame L'injurieux aveu d'une coupable flamme.
Elle eſt d’une humeur douce, & ſon cœur trop diſ.	Elle est d'une humeur douce, et son cœur trop dis.
Vouloit, à toute force, en garder le ſecret:	Voulait, à toute force, en garder le secret:
cret Mais je ne puis flatter une telle impudence, Et crois que vous la taire, eſt vous faire une offẽce Et	ret Mais je ne puis flatter une telle impudence, Et crois que vous la taire, est vous faire une offense Et
ELMIRE.	ÉLMIRE.
Ouy, je tiens que jamais, de tous ces vains propos, On ne doit d’un Mary travérſer le repos;	Oui, je tiens que jamais, de tous ces vains propos, On ne doit d'un Mari travérser le repos;
dre, Que ce n’eſt point de là que l’honneur peut dépenEt qu’il ſuffit, pour nous, de ſçavoir nous defendre.	dre, Que ce n'est point de là que l'honneur peut dépenEt qu'il suffit, pour nous, de savoir nous défendre.
Ce ſont mes ſentimens, & vous n’auriez rien dit.	Ce sont mes sentiments, et vous n'auriez rien dit.
Damis, ſi j’avois eu ſur vous quelque crédit.	Damis, si j'avais eu sur vous quelque crédit.
SCENE VI.	SCÈNE VI.
QODI DHMIOL AARTOTTE.	QDI DHMIOL AARTOTTE.
TARTUFFE.	TARTUFFE.
yable?	yable?
Ouy, mon Frere, jé ſuis un méchant, un coupable, Un malheureux Pecheur, tout plein d’iniquité, Le plus grand ſcelerat qui jamais ait eſté.	Oui, mon Frère, jé suis un méchant, un coupable, Un malheureux Pécheur, tout plein d'injquité, Le plus grand scélérat qui jamais ait été.
Chaque inſtant de ma vie eſt chargé de ſoûillures, Elle n’eſt qu’un amas de crimes & d’ordures;	Chaque instant de ma vie est chargé de souillures, Elle n'est qu'un amas de crimes et d'ordures;
Et je voy que le Ciel, pour ma punition, Me veut mortifier en cette occaſion.	Et je vois que le Ciel, pour ma punition, Me veut mortifier en cette occasion.
De quelque grand for ait qu’on me puiſſe reprẽdre je n’ay garde davon rorguen de m'en defendre.	De quelque grand for ait qu'on me puisse reprendre je n'ai garde davon rorguen de m'en défendre.
Croyez ce qu’on vous dit, armez voſtre courrous, Et comme un Criminel, chaſſez-moy de chez vous.	Croyez ce qu'on vous dit, armez votre courrous, Et comme un Criminel, chassez-moi de chez vous.
Je ne ſçaurois avoir tant de honte en partage, Que je n’en aye encor mérité davantage.	Je ne saurais avoir tant de honte en partage, Que je n'en aie encor mérité davantage.
ORGON à son Fils.	ORGON à son Fils.
Ah!	Ah!
traiſtre, oſes-tu bien, par cette fauſſeté, voulon de la venu temr la pulete?	traître, oses-tu bien, par cette fausseté, voulon de la venu temps la pulète?
DAMIS.	DAMIS.
Quoy!	Quoi!
la feinte douceur de cette ame hypocrite Vous fera démentir.	la feinte douceur de cette âme hypocrite Vous fera démentir.
ORGON.	ORGON.
2 Tay-toy, peſte maudite.	2 Tais-toi, peste maudite.
TARTUFFE.	TARTUFFE.
Ahl laiſſez-le parler, vous l’accuſez à tort,	Ahl laissez-le parler, vous l'accusez à tort,
C 2 Et vous ferez bien mieux de croire à ſon raport.	Ç 2 Et vous ferez bien mieux de croire à son rapport.
Pourquoy, ſur un tel fait, m’eſtre ſi favorable?	Pourquoi, sur un tel fait, m'être si favorable?
Sçavez-vous, apres tout, dequoy je ſuis capable?	Savez-vous, après tout, dequoy je suis capable?
Vous fiez-vous, mon Frere, à mon exterieur?	Vous fiez-vous, mon Frère, à mon extérieur?
Et pour tout ce qu’õ voit, me croyez-vous meilleur Non, non, vous vous laiſſez tromper à l’aparence, Et je ne ſuis rien moins, helas!	Et pour tout ce qu'on voit, me croyez-vous meilleur Non, non, vous vous laissez tromper à l'apparence, Et je ne suis rien moins, hélas!
que ce qu’on penſe.	que ce qu'on pense.
Iout le monde me prend pour unHomme de bien;	Jout le monde me prend pour unHomme de bien;
Mais la verité pure, eſt, que je ne vaux rien.	Mais la vérité pure, est, que je ne vaux rien.
S’adressant à Damis.	S'adressant à Damis.
Ouy, mon cher Fils, parlez, traittez-moy de perfide, D’infame, de perdu, de voleur, d’homicide.	Oui, mon cher Fils, parlez, traités-moi de perfide, D'infâme, de perdu, de voleur, d'homicide.
Accablez-moy de noms encor plus déteſtez.	Accablez-moi de noms encor plus détestez.
Ie n’y contredis point, je les ay meritez, Et j’en veux à genous ſouffrir l’ignominie, Comme une honte deuë aux crimes de ma vie.	Je n'y contredis point, je les ai mérités, Et j'en veux à genous souffrir l'ignominie, Comme une honte due aux crimes de ma vie.
à Tartuffe.	à Tartuffe.
ORGON.	ORGON.
non fere,eencietlop.	non sere,eencietlop.
Poneœur ne le ſend point, Traiſtre.	Poneœur ne le send point, Traître.
à son Fils.	à son Fils.
DAMIS.	DAMIS.
Quoy!	Quoi!
ſes diſcours vous ſeduiront au poinct.	ses discours vous séduiront au point.
ORCON.	ORCON.
Tay-toy, pendart.	Tais-toi, pendard.
MõFrere, eh!	MõFrere, eh!
levez-vous, de grace Infame a son Fils.	levez-vous, de grâce Infâme à son Fils.
à Tartuffe.	à Tartuffe.
DAMIS.	DAMIS.
Apeut.	Aput.
ORGON.	ORGON.
Tay-Toy.	Tais-Toi.
DAMIS.	DAMIS.
I’enrage!	J'enrage!
Quoy, je paſſe.	Quoi, je passe.
ORGON.	ORGON.
Si tu dis un ſeul mot, je te rompray les bras.	Si tu dis un seul mot, je te romprai les bras.
TARTUFFE.	TARTUFFE.
Mon Frere, au nom de Dieu, ne vous emportez pas.	Mon Frère, au nom de Dieu, ne vous emportez pas.
I’aimerois mieux ſouffrir la peine la plus dure, Qu’il eut reçeu pour moy la moindre égratignûre.	J'aimerais mieux souffrir la peine la plus dure, Qu'il eut reçu pour moi la moindre égratignure.
Ingrat.	Ingrat.
ORCON.	ORCON.
à ſon	à son
à sen Fils.	à sen Fils.
TARTUFFE.	TARTUFFE.
Laiſſez-le en paix.	Laissez-le en paix.
S’il faut à deux genous Vous demander ſa grace.	S'il faut à deux genous Vous demander sa grâce.
ORGON.	ORGON.
à Tartuffe.	à Tartuffe.
Helas!	Hélas!
vous mocquez-vous?	vous moquez-vous?
Coquin, voy ſa bonté.	Coquin, vois sa bonté.
àson Fils.	àson Fils.
DAMIS.	DAMIS.
Donc.	Donc.
ORGON.	ORGON.
Paix.	Paix.
DAMIS.	DAMIS.
Quoy, je.	Quoi, je.
ORGOR.	ORGOR.
Pais, dis-je.	Pais, dis-je.
Ie ſçay bien quel motif, à l’attaquer, t’oblige.	Je sais bien quel motif, à l'attaquer, t'oblige.
Vous le haïſſez tous, & je vois aujourd’huy, Femme, Enfans, & valets, dé chaïnez contre luy.	Vous le haïssez tous, et je vois aujourd'hui, Femme, Enfants, et valets, de chaïnez contre mieux.
On met impudemment toute choſe en uſage, Pour oſter de chez moy ce devot Perſonnage:	On met impudemment toute chose en usage, Pour ôter de chez moi ce dévot Personnage:
Mais plus on fait d’effort afin de l’en bannir, Plus j’en veux employer à l’y mieux retenir;	Mais plus on fait d'effort afin de l'en bannir, Plus j'en veux employer à l'y mieux retenir;
Et je vais me haſter de luy donner ma Fille, Pour confondre l’orgueil de toute ma Famille.	Et je vais me hâter de lui donner ma Fille, Pour confondre l'orgueil de toute ma Famille.
DAMIS.	DAMIS.
A recevoir ſa main, on penſe l’obliger?	À recevoir sa main, on pense l'obliger?
ORGON.	ORGON.
ger Ouy, traiſtre;	ger Oui, traître;
& des ce ſoir, pour vous faire enraAh!	et des ce soir, pour vous faire enraAh!
je vous brave tous, & vous feray connoiſtre, Qu’il faut qu’on m’obeïſſe, & que je ſuis le Maiſtre.	je vous brave tous, et vous ferai connaître, Qu'il faut qu'on m'obéisse, et que je suis le Maître.
Allons, qu’on ſe retracte, & qu’à l’inſtant, fripon, On ſe jette à ſes pieds, pour demander pardon.	Allons, qu'on se retracte, et qu'à l'instant, fripon, On se jette à ses pieds, pour demander pardon.
DAMIS.	DAMIS.
Qui, moy?	Qui, moi?
de ce coquin, qui par ſes impoſtures.	de ce coquin, qui par ses impostures.
ORGON.	ORGON.
Ah!	Ah!
tu reſiſte, gueux, & luy dis des injures?	tu résiste, gueux, et lui dis des injures?
Un baſton, un baſton.	Un bâton, un bâton.
à Tartuffe.	à Tartuffe.
Ne me retenez pas.	Ne me retenez pas.
a son Fils.	à son Fils.
Sus, que de ma Maiſon on ſorte de ce pas, Et que d’y revenir, on n’ait jamais l’audace.	Sus, que de ma Maison on sorte de ce pas, Et que d'y revenir, on n'ait jamais l'audace.
3	3
DAMIS.	DAMIS.
Oûy, je ſortiray, mais.	Oui, je sortirai, mais.
ORGON.	ORGON.
Viſte, quittons la plate.	Vite, quittons la plate.
Ie te priue, pendart, de ma ſucceſſion, Et te donne, de plus, ma malé diction.	Je te prive, pendard, de ma succession, Et te donne, de plus, ma malé diction.
SCENE VII.	SCÈNE VII.
ORGON, TARTUFFE.	ORGON, TARTUFFE.
ORGON.	ORGON.
Ffencer de la ſorte une ſainte Perſonue!	Fencer de la sorte une sainte Personue!
TARTUFFE.	TARTUFFE.
O Ciel!	Ô Ciel!
pardonne-luy la douleur qu’il me donne.	pardonne-lui la douleur qu'il me donne.
à Orgon.	à Orgon.
Si vous pouuiez ſç ivoir avec quel déplaiſit Ie vois qu’envers mon Frere, on tâche à me noir ORGON.	Si vous pouviez su ivoir avec quel déplaisit Ie vois qu'envers mon Frère, on tâche à me noir ORGON.
cir.	cir.
TARTUFFE.	TARTUFFE.
Le ſeul penſer de cette ingratitude Fait founiir à mon ame un ſuplice ſi rude.	Le seul penser de cette ingratitude Fait founiir à mon âme un suplice si rude.
L’horreur que j’en conçoy.	L'horreur que j'en conçois.
I’ay le cœur ſi ſerré, Que je ne puis parler, & croy que j’en mourray.	J'ai le cœur si serré, Que je ne puis parler, et crois que j'en mourrai.
ORGON.	ORGON.
Il court tout en larmes à la Porte par	Il court tout en larmes à la Porte par
où il a chassé son Fils.	où il a chassé son Fils.
Coquin.	Coquin.
Ie me repens que ma main t’ait fait grace, Le lie t'ait pas d’abord aſſommé ſur la place.	Je me repens que ma main t'ait fait grâce, Le lie t'ait pas d'abord assommé sur la place.
Remettez-vous, mon Frere, & ne vous fâchez pas.	Remettez-vous, mon Frère, et ne vous fâchez pas.
TARRCITE.	TARCITE.
bats.	bats.
Rompons, rompons le cours de ces facheux deIe regarde ceans quels grans troubles j’aporte, Et croy qu’il eſt be oin, mon Frere, que j’en ſorte.	Rompons, rompons le cours de ces fâcheux deIe regarde céans quels grans troubles j'apporte, Et crois qu'il est be oin, mon Frère, que j'en sorte.
ORGON.	ORGON.
Comment?	Comment?
Vous mocquez-vous?	Vous moquez-vous?
TARTUFFE.	TARTUFFE.
On m'y hait, & je voy Qu'on	On m'y hait, et je vois Qu'on
TARTVFFE.	TARTUFFE.
te?	te?
On ne manquera pas de pourſuivre, ſans doute;	On ne manquera pas de poursuivre, sans doute;
Et ces melmes raports, qu’icy vous rejettez, Peut-eſtre, une autre fois, ſeront-ils écourez.	Et ces melmes rapports, qu'ici vous rejettez, Peut-être, une autre fois, seront-ils écourez.
ORGON.	ORGON.
Non.	Non.
mon Frere, jamais.	mon Frère, jamais.
THACTVFFE.	THACTUFFFE.
Ah!	Ah!
mon Frere, une Femme Allement, d’unmaiy, peut blemiurprendie l’ame.	mon Frère, une Femme Allement, d'unmai, peut blémiurprendie l'âme.
Non, non.	Non, non.
ORGON.	ORGON.
TARTVFFE.	TARTUFFE.
Laiſſez-moy viſte, en m’é loignant d’icy, Leur oſter tout ſuiet de m’attaquer ainſy.	Laissez-moi vite, en m'é loignant d'ici, Leur ôter tout sujet de m'attaquer ainsi.
ORGON.	ORGON.
Non, vous demeurerez, Il y va de ma vie.	Non, vous demeurerez, Il y va de ma vie.
TARTUFFE.	TARTUFFE.
Hé bien, il faudra douc que je me mortifie.	Hé bien, il faudra douc que je me mortifie.
Pourtant, ſi vous vouliez.	Pourtant, si vous vouliez.
ORGON.	ORGON.
Ah!	Ah!
TARTVFFE.	TARTUFFE.
Soit, n'en parions plus.	Soit, n'en parions plus.
Mais je ſçay comme il faut en uſer là-deſſus.	Mais je sais comme il faut en user là-dessus.
L’honneur eſt dé licat, & l’amitié m’engage A préuenir les bruits, & les ſujets d’ombrage.	L'honneur est de licat, et l'amitié m'engage A venir les bruits, et les sujets d'ombrage.
Ie fuiray voſtre Epouſe, & vous ne me verrez.	Je fuirai votre Épouse, et vous ne me verrez.
ORGON.	ORGON.
Non, en dépit de tous, vous la frequenterez.	Non, en dépit de tous, vous la fréquenterez.
Faire enrager le monde, eſt ma plus grande joye, Et je veux qu’à toute heure auec elle on vous voye.	Faire enrager le monde, est ma plus grande joie, Et je veux qu'à toute heure use elle on vous voie.
Ce n’eſt pas tout encor;	Ce n'est pas tout encor;
pour les mieux brauer tous Ie ne veux point auoir d’autre heritier que vous;	pour les mieux braver tous Je ne veux point avoir d'autre héritier que vous;
Et je vais de ce pas, en fort bonne maniere, Vous faire de mon bien, donation entiere.	Et je vais de ce pas, en fort bonne manière, Vous faire de mon bien, donc entière.
Vn bon & franc Amy, que pour Gendre je pr ens, C 4 M’eſt M'eſt bien plus cher que Fils, que Femme, & que Parens, N’accepterez-vous pas ce que je vous propoſe?	Un bon et franc Ami, que pour Gendre je pr ès, Ç 4 M'est M'est bien plus cher que Fils, que Femme, et que Parents, N'accepterez-vous pas ce que je vous propose?
TARIORIE.	TARIORIE.
La volonté du Ciel ſoit ſaite en toute choſe.	La volonté du Ciel soit saiste en toute chose.
ORGON.	ORGON.
Le pauure Hõme!	Le pauvre Homme!
Allons viſte en dreſſer vn Ecrit, Et que puiſſe l’Enuie en crever de dépit.	Allons vite en dresser un Écrit, Et que puisse l'Enuie en crever de dépit.
Fin du Troiſiéme Acte.	Fin du Troisième Acte.
ACTE IV.	ACTE IV.
SCENE FREMIERE.	SCÈNE FREMIÈRE.
CLEANTE, TARTUFFE.	CLEANTE, TARTUFFE.
{ CLEANTE.	§ CLÉANTE.
UY, tout le monde en parle, & vous m’en pouuez croire.	UI, tout le monde en parle, et vous m'en pouvez croire.
L’éclat que fait ce bruit, n’eſt point a voſtre gloire;	L'éclat que fait ce bruit, n'est point à votre gloire;
propos, Et je vous ay trouué, Mõſieur, fort à 8b Pour vous en dire net ma penſée en en deux mots.	propos, Et je vous ai trouvé, Monssieur, fort à 8b Pour vous en dire net ma pensée en en deux mots.
Je n’examine point à fond ce qu’on expoſe, Je paſſe là-deſſus, & prens au pis la choſe.	Je n'examine point à fond ce qu'on expose, Je passe là-dessus, et prends au pis la chose.
Supoſons que Damis n’en ait pas bien uſé, Et que ce ſoit à tort qu’on vous ait accuſé:	Suposons que Damis n'en ait pas bien usé, Et que ce soit à tort qu'on vous ait accusé:
N’eſt-il pas d’vn Chreſtien, de pardonner l’offence, Et d’éteindre en ſon cœur tout deſir de vangeance?	N'est-il pas d'éteint Chrétien, de pardonner l'offense, Et d'éteindre en son cœur tout désir de vengeance?
Et deuez-vous ſouffrir, pour voſtre démeſlé, Que du Logis d’un Pere, vn Fils ſoit exilé?	Et devez-vous souffrir, pour votre démêlé, Que du Logis d'un Père, un Fils soit exilé?
Je vous le dis encor, & parle auec franchiſe;	Je vous le dis encor, et parle avec franchise;
Il n’eſt petit, ny grand, qui ne s’en ſcandaliſe, Et ſi vous m’en croyez, vous pacifie rez tour, Et ne pouſſerez point les affaires à bout.	Il n'est petit, ni grand, qui ne s'en scandalise, Et si vous m'en croyez, vous pacifie rez tour, Et ne pousserez point les affaires à bout.
Sacrifiez à Dieu toute voſtre colere, Et remettez le Fils en grace auec le Pere.	Sacrifiez à Dieu toute votre colère, Et remettez le Fils en grâce avec le Père.
TAR	TAR
TARTUFFE.	TARTUFFE.
Helas!	Hélas!
je le voudrois, quant à moy, de bon cœur;	je le voudrais, quant à moi, de bon cœur;
Je ne garde pour luy, Monſieur, aucune aigreur, Jeluy pardonne tout, de rien je ne le blâme, Et voudrois le ſeruir du meilleur de mon ame:	Je ne garde pour lui, Monsieur, aucune aigreur, Jelui pardonne tout, de rien je ne le blâme, Et voudrais le servir du meilleur de mon âme:
Mais l’intereſt du Ciel n’y ſçauroit conſentir;	Mais l'intérêt du Ciel n'y saurait consentir;
Et s’il rentre ceans, c’eſt à moy d’en ſortir.	Et s'il rentre céans, c'est à moi d'en sortir.
Apres ſon action qui n’eut jamais d’égale, Le commerce, entre nous, porteroit du ſcandale:	Après son action qui n'eût jamais d'égale, Le commerce, entre nous, porterait du scandale:
Dieu ſçait ce que d’abord tout le mõde en croirois;	Dieu sçait ce que d'abord tout le monde en croirais;
A pure politique, on me l’imputeroit;	À pure politique, on me l'imputerait;
