Auec vne farce plaiſante & recreatifus, tiree d'un des plus gentils eſprits de te temps.	Avec une farce plaisante et recréatifus, tirée d'un des plus gentils esprits de te temps.
Ie te prie boureau aye vn peu plus d'eſgard A moy qu’à vn autre homme, helas que d’amertume, nid moms puis que iemeurs,niluois vne plume I'eſcrirois à ma femme, helas i’eſtois ſi haut Eſleué entre tous, voicy vn pauure aſſaut	Je te prie boureau aie un peu plus d'égard A moi qu'à un autre homme, hélas que d'amertume, nid moments puisque je immeurs,niluois une plume J'écrirais à ma femme, hélas j'estois si haut Esleué entre tous, voici un pauure assaut
Boureau.	Boureau.
Va, va, n’aye pas peur, reprens vn peu courage, Ie te feray plus grand, t’auras de l’aduantage, Tu ſeras eſleué quinze pieds de hauteur, Au lieu que tu n’auois que cinq pieds de longueur N’eſt-il pas de raiſon que celuy qui fait faire Quelque braue logis & qui s’y veut complaire, Monte de chambre en chambre & contemple à loiſir Tout ce qui luy agree & luy donne plaiſir:	Va, va, n'aie pas peur, reprends un peu courage, Je te ferai plus grand, t'auras de l'avantage, Tu seras élevé quinze pieds de hauteur, Au lieu que tu n'avais que cinq pieds de longueur N'est-il pas de raison que celui qui fait faire Quelque brave logis et qui s'y veut complaire, Monte de chambre en chambre et contemple à loisir Tout ce qui lui agré et lui donne plaisir:
C’eſt toy qui fis baſtir ceſte belle potence:	C'est toi qui fis bâtir cette belle potence:
Alons il faut marcher, il eſt temps que tu penſe, Si elle eſt grande aſſez il te faut l’eſprouuer, Et paſſer en ce lieu le reſte de l’hiuer.	Alons il faut marcher, il est temps que tu pense, Si elle est grande assez il te faut l'éprouver, Et passer en ce lieu le reste de l'hiver.
Aman.	Aman.
Ah pauuret que ie ſuis, ie ſuis bien miſerable, Il me faut auiourd’huy que ie ſerue de fable, Et de riches atours, à tout le moins helas, Si ie ne ſentois point de ſi aſpres combats:	Ah pauvret que Madame suis, je suis bien misérable, Il me faut aujourd'hui que toujours serve de fable, Et de riches atours, à tout le moins hélas, Si rien ne sentais point de si âpres combats:
Si le Roy rigoureux m’eut fait trancher la teſte.	Si le Roi rigoureux m'eût fait trancher la tête.
Ie ne craindrois pas tant l’orage & la tempeſte Qui doit en peu de temps s’eſcrouler deſſus moy:	Je ne craindrais pas tant l'orage et la tempête Qui doit en peu de temps s'écrouler dessus moi:
Mais ce qui me remplit de douleur & d’effroy, C’eſt que ie ſuis contraint d’aller à la potence Que moy meſme ay fait faire à ma propre deſpence:	Mais ce qui me remplit de douleur et d'effroi, C'est que je suis contraint d'aller à la potence Que moi -même ai fait faire à ma propre dépense:
Helas ma pauure femme & mes pauures enfans, Que direz vous de voir mes membres languiſſans, Pendus à vn gibet, ô lubrique fortune, Tu ſemble bien aux flots du furieux Neptune, Qui eſleue la nef tantoſt dedans les Cieux, Et tantoſt la rabaiſſe aux antres ſtigieux:	Hélas ma pauvre femme et mes pauvres enfants, Que direz -vous de voir mes membres languissants, Pendus à un gibet, ô lubrique fortune, Tu semble bien aux flots du furieux Neptune, Qui élève la nef tantôt dedans les Cieux, Et tantôt la rabaisse aux antres stigieux:
I’entons auparauant agreable ala Iace Du Roy, & auiourd’huy las i’ay perdu ma crace, Ah Dieux que de douleurs,	J'entons auparavant agréable ala Jace Du Roi, et aujourd'hui las j'ai perdu ma crace, Ah Dieux que de douleurs,
Boureau.	Boureau.
C’eſt par trop caquetté, Alons, voila bien dit pour moy ie ſuis haſté.	C'est par trop caquetté, Alons, voilà bien dit pour moi ie suis hâté.
Mman.	Mman.
Adieu Ciel, adieu terre, adieu ma pauure femme, Adieu petits enfans, viuez ſans aucun blaſme,	Adieu Ciel, adieu terre, adieu ma pauvre femme, Adieu petits enfants, vivez sans aucun blâme,
FIN.	FIN.
FARCE PLAISANTE RECREATIEVE.	FARCE PLAISANTE RECREATIEUE.
ET	ET
Ros guillaume va en marchandiſe, donne ſa fille O en garde à Turlupin.	Ros guillaume va en marchandise, donne sa fille Ô en garde à Turlupin.
Le ſieur Horace vient pour l’auoir en mariage, Turlupin le veut tuer, il le recognoiſt, demande des gages pour porter à Florentine ſa maiſtreſſe:	Le sieur Horace vient pour l'avoir en mariage, Turlupin le veut tuer, il le reconnaît, demande des gages pour porter à Florentine sa maîtresse:
Le ſieur Horace luy donne vne chaiſne, il ia retient, ie mariage le fait, ie pere ſeuſcht de la marchandiſe, puis tous ſe battent.	Le sieur Horace force donne une chaîne, il ja retient, ie mariage le fait, votre père duscht de la marchandise, puis tous se battent.
Grot-Guillaume vieillard.	Grot-Guillaume vieillard.
Guil.	Guil.
IN campagne, en campagne, foy d’homme Lil n’eſt que de faire trafique:	IN campagne, en campagne, foi d'homme Lil n'est que de faire trafique:
I’ay pris vne reſolution d’aller aux Indes, il faut neceſſairement que ie parte mes vaiſſeaux m’attendẽt, tout eſt eſquippé, il n’y a qu’vne choſe qui me baille du ſoin en la teſte, i’ay vne petite friande au logis, ie crains puis que ſon honneur eſt deſia fendu, qu’il ne ſe caſſe du tout, toutefois i’en veux demãdet conſeil à Turlupis.	J'ai pris une résolution d'aller aux Indes, il faut nécessairement que ie parte mes vaisseaux m'attendẽt, tout est équipé, il n'y a qu'une chose qui me baille du soin en la tête, j'ai une petite friande au logis, sans crains puis que son honneur est déjà fendu, qu'il ne se casse du tout, toutefois j'en veux demidet conseil à Turlupis.
Turlupin Turl.	Turlupin Turl.
Qui va là, oros g.	Qui va là, oros g.
Ie te veux communiquer vn affaire d’importance, i’ay reſolu d’aller aux Indes.	Je te veux communiquer un affaire d'importance, j'ai résolu d'aller aux Indes.
Turl.	Turl.
Que faire, vous faut-il ſortir la ville de Paris.	Que faire, vous faut-il sortir la ville de Paris.
Gros g.	Gros g.
O la beſte, les Indes ſont eſlõgnees d’icy d’vn grand eſpace.	Ô la bête, les Indes sont éloignées d'ici d'un grand espace.
Turl.	Turl.
Vous embarquerez-vous à Mont-marthe.	Vous embarquerez-vous à Mont-marthe.
Grosg.	Grosg.
O le gros Alne:	Ô le gros Alne:
c’eſt par la mer qu’il faut que i’aille aux Indes, mais ce n’eſt pas là ou ie me veux arreſter,ie te veux donner en garde ma petite Florentine, tu ſçais qu’elle eſt ieune, il ne faut que faire vn faux pas pour gliſler dans vn bourdeau, & puis l’honneur ſeroit reſpandu.	c'est par la mer qu'il faut que j'aille aux Indes, mais ce n'est pas là ou un me veux arrêterie te veux donner en garde ma petite Florentine, tu sais qu'elle est jeune, il ne faut que faire un faux pas pour glîler dans un bourdeau, et puis l'honneur serait répandu.
Turl.	Turl.
Vous auez raiſon, elle commence deſia à ſentir l’auoine d’vne lieuë loin pat ma foy.	Vous avez raison, elle commence déjà à sentir l'avoine d'une lieue loin pat ma foi.
Gros g.	Gros g.
Ie la veux appeller:	Je la veux appeler:
Florentine, ma fille, venez parler à voſtre pere ah la voila foy d’homme, la petite friquette.	Florentine, ma fille, venez parler à votre père ah la voilà foi d'homme, la petite friquette.
Gros g.	Gros g.
Ma fille, ie vous veux dire adieu, il faut reſolumuent quele mr ename, au rene garuer bien il maiſon & fermez la porte de la ca ſemate virginalle, ſur tout, pour moy ie veux aller aux lndes traſiquer.	Ma fille, Seigneur vous veux dire adieu, il faut résolument quele mr enâme, au rene garuer bien il maison et fermez la porte de la ca semate virginale, sur tout, pour moi venir veux aller aux lndes trâiquer.
Plor.	Plor.
Comment mon pere, vous nous vouſez doncques ainſi quitter, comment ſera-il poſſible que ie viue en voſtre abſence.	Comment mon père, vous nous vousez donc ainsi quitter, comment sera-il possible que ie clue en votre absence.
Turl.	Turl.
O la vilaine comme elle fait bien la pleureuſe, ene vouuton qu'i luyeuit coulte ia tente de lon pere que le reſte du corps fut à ſainct lnnocent.	Ô la vilaine comme elle fait bien la pleureuse, ene voudon qu'yjouit coulte ja tente de lon père que le reste du corps fut à saint lounocent.
Gret g.	Gret g.
Turlupin, ie te recõmande la maiſon & l'honneur de ma fille, tais y ſoigneule garde.	Turlupin, Seigneur te recommande la maison et l'honneur de ma fille, tais y soigneule garde.
Turl.	Turl.
Ie ſeray touſiours deſſus ou aupres d’elle, adieu donc mon maiſtre.	Je serai toujours dessus ou auprès d'elle, adieu donc mon maître.
Turlupin, Florentine, etonm.	Turlupin, Florentine, etonm.
iramtenant que monpere en iony, ie voudtois bien te communiquet vn ſecret Turſupin, c’eſt que ie ſuis grandement eſpriſe d’amour.	iramtenant que monpère en ion, je voudtais bien te communiquet un secret Tursupin, c'est que deux suis grandement éprise d'amour.
Flor.	Flor.
Ie voudrois que tu m’euſſe fait vn plaiſir.	Je voudrais que tu m'eusse fait un plaisir.
Turl.	Turl.
Tout à l’inſtãt, ſi vous voulez couchez vous là, Flor.	Tout à l'instant, si vous voulez couchez -vous là, Flor.
Et allez vilain, croyez vous que ma puiſſance ſoit bornee d’vn ſi pauure objet que vous:	Et allez vilain, croyez vous que ma puissance soit bornée d'une si pauvre objet que vous:
c’eſt que ie porte vne affection particuliere au ſieur Horace, ie voudrois que vous luy euſſiez porté ceſte bague.	c'est que personne porte une affection particulière au sieur Horace, ie voudrois que vous lui eussiez porté cette bague.
iurt le ne manqueray point de luyuomner, allez à la maiſon & preparez touſiours la ſouppe.	jurt le ne manquerai point de luyuomner, allez à la maison et préparés toujours la soupe.
Horace.	Horace.
Turlupin.	Turlupin.
Herate.	Hérate.
Ie viens de Holande, de Flandres, d’Italie, n ſengletelte de a'Eipagne.	Je viens de Holande, de Flandres, d'Italie, n sengletelte de a'Ejpagne.
mid le muy mmnais rien rencontré qui m’eut tant eſmeu que les beautez de Florentine.	mid le mui mmnais rien rencontré qui m'eut tant ému que les beautés de Florentine.
Turl.	Turl.
Mon maiſtre m’a donné charge de garder le logis, voicy ſans doute quelque amoureux ie me veux mettre en deffence, qui va là que demandez vous icy?	Mon maître m'a donné charge de garder le logis, voici sans doute quelque amoureux ie me veux mettre en défense, qui va là que demandez vous ici?
D pe di.	D pe di.
Hora.	Hora.
Comment coquin, vous faites des comparaiſons auec mon courage & auec ma valeur, il faut que ie vous tuë à l’inſtant.	Comment coquin, vous faites des comparaisons avec mon courage et avec ma valeur, il faut que je vous tue à l'instant.
Turl.	Turl.
Hé Monſieur, regardez ce que vous faites, ſi vous me baillez vn coup d’eſtoc, vous creuerez le ſac à la merde, ſi le verre eſt vne fois caſſé vous perdrez l’occaſion d’y boire.	Hé Monsieur, regardez ce que vous faites, si vous me baillez un coup d'étoc, vous crèverez le sac à la merde, si le verre est une fois cassé vous perdrez l'occasion d'y boire.
Hora.	Hora.
Qui es-tu qui me viens icy au deuant?	Qui es-tu qui me viens ici au devant?
Turl.	Turl.
Qui eſtes-vous toy-meſme?	Qui êtes-vous toi-même?
mee.	mee.
Hor.	Hor.
Ie ſuis le S.	Je suis le S.
Horace la valeur & la fleur de l’arTit.	Horace la valeur et la fleur de l'arTit.
Et mort de ma vie vous me vouleb eudr, & c’eſt vous que ie cherche:	Et mort de ma vie vous me vouleb eudr, et c'est vous que je cherche:
i’ay charge de Madame Florentine de vous parler.	j'ai charge de Madame Florentine de vous parler.
Hora.	Hora.
Eſt-il poſſible, quoy, que vous eſtes ſon ſeruiteur:	Est-il possible, quoi, que vous êtes son serviteur:
vray ment monſieur, ie vous demande pardon, d’auoir attenté ſi auant ſur vous.	vrai ment monsieur, je vous demande pardon, d'avoir attenté si avant sur vous.
Turl.	Turl.
De luy bailler la bague, il n’eſt pas beſoin, elle me ſeruira bien.	De Elle bailler la bague, il n'est pas besoin, elle me servira bien.
Hora.	Hora.
Quelles nouuelles as-tu de ma maiſtreſſe:	Quelles nouvelles as-tu de ma maîtresse:
Tur.	Tur.
Turl.	Turl.
Bien triſtes Monneur, la pauure fille auoit vne chaiſne comme la voſtre, en allant pres de la riuiere elle l’a laiſſé tomber dedans.	Bien tristes Monneur, la pauvre fille avait une chaîne comme la vôtre, en allant pres de la rivière elle l'a laissé tomber dedans.
Hora.	Hora.
Ie luy veux faire vn preſent de la mienne, donnez luy de ma part.	Je lui veux faire un présent de la mienne, donnez lui de ma part.
Turl.	Turl.
Ie n’y mãqueray pas:	Je n'y manquerai pas:
mais ie vous aduertis d'vne choſe, de ne luy en point parler:	mais ici vous avertis d'une chose, de ne Vous en point parler:
car elle ne veut pas qu’on luy reproche ce qu’on luy donne.	car elle ne veut pas qu'on lui reproche ce qu'on lui donne.
Turl.	Turl.
Venez donc d’icy à demie heute.	Venez donc d'ici à demie heute.
Turlupin.	Turlupin.
Florentine.	Florentine.
Horace.	Horace.
Florentine.	Florentine.
Et bien Turlupin, as-tu parlé au ſieur Horace, luy as tu donné l’anneau?	Et bien Turlupin, as-tu parlé au sieur Horace, lui as tu donné l'anneau?
Turl.	Turl.
Ouy Madame, mais (comme vous ſçauez) que les hommes genereux, ne veulent pas qu’on leut reproche riẽ, auſſi ne faut il pas que vous luy en parliez.	Oui Madame, mais (comme vous savez) que les hommes généreux, ne veulent pas qu'on lut reproche rion, aussi ne faut -il pas que vous lui en parliez.
Flor.	Flor.
Vrayment ie n’ay garde.	Vraiment je n'ai garde.
Turl.	Turl.
A propos le voicy.	À propos le voici.
Hora.	Hora.
Ma chere ame il y a vne infinité de ſiecles que ie deſire de vous voir, pardonnez au trop de hardieſſe que i’ay de vous preſenter mon ſeruice.	Ma chère âme il y a une infinité de siècles que tu désire de vous voir, pardonnez au trop de hardiesse que j'ai de vous présenter mon service.
Turl.	Turl.
Ne luy parlez pas de la chaiſne.	Ne lui parlez pas de la chaîne.
Hora.	Hora.
O le brouillon, tu m’ẽpeſcher en mes diſcours, Floren.	Ô le brouillon, tu m'ẽpescher en mes discours, Floren.
Monſieur ce n’eſt pas peu d'honneur que vous me faites, de me faire participant de vos affections.	Monsieur ce n'est pas peu d'honneur que vous me faites, de me faire participant de vos affections.
Amn, Onues furtout de ne loy paiſti point de la bague.	Amn, Onues surtout de ne loi paisti point de la bague.
Hora.	Hora.
Madame, vos yeux peuuent grauer toutes ſortes de loix ſur mon eſprit, tant leurs rayons ont de puiſſance.	Madame, vos yeux peuvent graver toutes sortes de lois sur mon esprit, tant leurs rayons ont de puissance.
Turl.	Turl.
Neſoyez ſi indiſcret que de luy parler de la chaiſne.	Nésoyez si indiscret que de Seigneur parler de la chaîne.
ata Monſieur ie vous uy deſia teſmoigné en vous ennoyant ma bague combien ie vous affeſtionnois.	ata Monsieur ie nous ui déjà témoigné en vous ennoyant ma bague combien ces vous affestionnois.
Turl.	Turl.
Teſte non pas de ma vie me voila deſcounert ora.	Tête non pas de ma vie me voilà décounert ora.
Madame, ie n’ay pas ouy parler de bague?	Madame, notre n'ai pas ouï parler de bague?
mais il eſt bith hay qomloto, moy mne chaiſne d’or par Turlupin.	mais il est bith haï qomloto, moi mne chaîne d'or par Turlupin.
Turl.	Turl.
O le diable, me voila ſeduit,il faut tout rẽdre.	Ô le diable, me voilà séduit,il faut tout rendre.
Hora.	Hora.
Turlupin, ou auet vous mis la bague & la chaiſne.	Turlupin, ou auet vous mis la bague et la chaîne.
Torl.	Torl.
Les voicy tous deux, Monſieur i'auois oublié à les donnet.	Les voici tous deux, Monsieur j'avais oublié à les donnet.
Turlapin.	Turlappin.
Horace.	Horace.
Gros grullaume.	Gros grullaume.
& Florentine.	et Florentine.
Crs guil Hleureux voyage, heureux voyage, ſoy d'homme, ia y apporté toutes ſortes de marchãdiſes:	Crs guil Hleureux voyage, heureux voyage, soi d'homme, ja y apporté toutes sortes de marchandises:
mais quel breit eſt- ce que l'entens deuant ma porte, ah ah, c'eſt Turlupin, & bien mon ſeruiteut, quelles nouuelles, qui eſt ce nouuean tenu icy.	mais quel breit est- ce que l'entends devant ma porte, ah ah, c'est Turlupin, et bien mon servit, quelles nouvelles, qui est ce nouvean tenu ici.
Tæl.	Tæl.
C’eſt voſtre gendre, Monſieus.	C'est votre gendre, Monsieus.
cn44 Comment trente diable, mon gendre, s’eſt-il mariea paſite	cn4 Comment trente diable, mon gendre, s'est-il mariea pasite
FIN.	FIN.
2	2
2	2
