DE TVRENNE.	DE TURENNE.
Conſiderez, Madame, vn Prince plein de fſâme Qui vous vient conſacrer ſon Empire & ſon ame Qui vous vient conjurer de receuoir ſes vœux, Et d’eſtre fauorable & ſenſible à ſes feux, Qui vient pour adorer vos grandeurs ſans limites, Vos celeſtes beautez & vos diuins merites, Qui bruſle du deſir d’aſſeruir l'Vniuers, Sous vos auguſtes loix, ſous vos aimables fers, Qui meſme ne voit rien dans vous qui ne ré.	Considérez, Madame, un Prince plein de fsme Qui vous vient consacrer son Empire et son âme Qui vous vient conjurer de recevoir ses vœux, Et d'être favorable et sensible à ses feux, Qui vient pour adorer vos grandeurs sans limites, Vos es beautés et vos divins mérites, Qui brûle du désir d'asservir l'Univers, Sous vos augustes lois, sous vos aimables fers, Qui même ne voit rien dans vous qui ne ré.
ponde, Au deſſein qu’il a fait d’y renger tout le monde	ponde, Au dessein qu'il a fait d'y renger tout le monde
SOLIMENE.	SOLIMENE.
Grand Heros, c’eſt aſſez, ie connois vôtre cœur, Et ie croy tout poſſible à ſa rare valeur;	Grand Héros, c'est assez, on connais votre cœur, Et tu crois tout possible à sa rare valeur;
L'on ne ſçauroit douter qu’vn Monarque ſi braue, Ne rende deſſous luy toute la terre eſclaue, Qu'vn bras ſi redouté, ſi noble, & ſi vainqueur, Ne porte au plus haut point ſa gloire & ſon bonheur.	L'on ne saurait douter qu'un Monarque si brave, Ne rende dessous toujours toute la terre esclaue, Qu'un bras si redouté, si noble, et si vainqueur, Ne porte au plus haut point sa gloire et son bonheur.
SEBASTE.	SÉBASTE.
Si le Ciel m'accordoit par vn coup fauorable, Que la plus ſage Reyne & la plus adorable, Approuuaſt mes reſpects, & pût ſouffrir mes vœux, Mon bon-heur paſſeroit celuy de tous les Dieux,	Si le Ciel m'accordait par un coup favorable, Que la plus sage Reine et la plus adorable, Approuvât mes respects, et pût souffrir mes vœux, Mon bonheur passerait celui de tous les Dieux,
SOLIMENE.	SOLIMENE.
Voſtre inſigne valeur rendroit inexeuſable, Ourtraiteroit plus mal vn vainqueur admirable, Vn Heros, dont l'adreſſe & les exploits diuers, Par leurs coups ſurprenans eſtonnent l’Vniuers.	Votre insigne valeur rendrait inexeusable, Ourtraiteroit plus mal un vainqueur admirable, Un Héros, dont l'adresse et les exploits divers, Par leurs coups surprenants étonnent l'Univers.
SEBASTE.	SÉBASTE.
O genereuſe Reyne!	Ô généreux Reine!
ô charmante Héroyne!	ô charmante Héroyne!
O Princeſſe!	OSE Princesse!
dans qui la puiſſance diuine, Fait briller à l'enuy la gloire & la beauté, Permettez donc qu’aux pieds de voſtre Majeſté, Ie redouble les vœux de trauailler ſans ceſſe A vous rendre du monde entierement Maiſtreſſe, Et que la Terre apprẽne en luy portant vos LoiQue Solimene doit regner ſur tous ſes Roys.	dans qui la puissance divine, Fait briller à l'envi la gloire et la beauté, Permettez donc qu'aux pieds de votre Majesté, Je redouble les vœux de travailler sans cesse À vous rendre du monde entièrement Maîtresse, Et que la Terre apprendre en lui portant vos LoiQue Solimène doit régner sur tous ses Rois.
SOLIMENE.	SOLIMENE.
Ie ſouffriray, Seigneur, que cette noble flâme Me faſſe vn libre adueu de P'ardeur de voſtre am Mais ie ne ſouffre point qu’vn Heros ſi charma Permettre à ſa grandeur vn tel abaiſſement.	Je souffrirai, Seigneur, que cette noble flamme Me fasse un libre aveu de P'ardeur de votre am Mais ie ne souffre point qu'un Héros si charma Permettre à sa grandeur un tel abaissement.
SEBASTE.	SÉBASTE.
Vn tel abaiſſement vaut vn comble de gloire.	Un tel abaissement vaut un comble de gloire.
C’eſt vn hõneur pour moy que ie n’ûſſe pû croire Apres tant de bontez ie jure tous les Dieux De viure & de mourir en ſeruãt vos beaux yeux Prenez donc ſur mon ame vne entiere puiſſance Et receuez.	C'est un honneur pour moi que je n'eusse pu croire Après tant de bonté ie jure tous les Dieux De vivre et de mourir en servants vos beaux yeux Prenez donc sur mon âme était entière puissance Et recevez.
SOLIMENE.	SOLIMENE.
Seigneur, c’eſt trop de deferenet Ie ſerois eriminelle en refuſant les vœux, Et le bras d’vn vainqueur ſi grand & ſi fameux.	Seigneur, c'est trop dé deferenet Ne serais eriminelle en refusant les vœux, Et le bras d'H vainqueur si grand et si fameux.
SEBASTE.	SÉBASTE.
L'Vniuers n’eſtant pas vn ſallaire aſſez ample Pour vous remercier, ô beauté ſans exemple!	L'Univers n'étant pas un sallaire assez ample Pour vous remercier, ô beauté sans exemple!
I’obtiendray que du Ciel le tout puiſſant Moteur, Reconnoiſtra pour moy cét auguſte faueur.	J'obtiendrai que du Ciel le tout -puissant Moteur, Reconnaîtra pour moi cet auguste faveur.
SCENE V SOLIMENE, LEONTCE.	SCÈNE V OLIMENE, LEONTCE.
SOLIMENE.	SOLIMENE.
E Ciel peut-il former vn Heros plus aimaL ble.	E Ciel peut-il former un Héros plus aimaL blé.
LEONICE.	LEONICE.
Il le faut aduoüer, il eſt incomparable.	Il le faut avouer, il est incomparable.
SOLIMENE.	SOLIMENE.
Ah!	Ah!
c'eſt vn don du Ciel qu'vn Prince ſi charmant.	c'est un don du Ciel qu'un Prince si charmant.
LEONTCE.	LENTE.
Son cœur vous aimera touſiours infiniment.	Son cœur vous aimera toujours infiniment.
SOLIMENE.	SOLIMENE.
Il n’a trait qui ne marque vne ame genereuſe.	Il n'a trait qui ne marque une âme généreuse.
LEONICE.	LEONICE.
Il ſçait que la vertu vous eſt fort precieuſe.	Il sait que la vertu vous est fort précieuse.
SOLIMENE.	SOLIMENE.
C’eſt par elle qu’il a triomphé de mon cœur.	C'est par elle qu'il a triomphé de mon cœur.
LEONICE.	LEONICE.
C’eſtoit le ſeul moyen de l'en rendre vainques	C'était le seul moyen de l'en rendre vainques
SOLIMENE.	SOLIMENE.
Ah!	Ah!
qu’il eſt mal-aiſé voyant tant de merite Mais que vois-je, ma ſœur?	qu'il est malaisé voyant tant de mérite Mais que vois-je, ma sœur?
Dieux!	Dieux!
qu’elle interdite?	qu'elle interdite?
SCENE VI SOLIMENE, LEONICE STELLANE, CONSTANCE	SCÈNE VI SOLIMENE, LEONICE STELANE, CONSTANCE
STELLANE.	STELANE.
H ma ſœur!	H ma sœur!
quelle offence auons nous fai AY aux Dieux?	quelle offense avons nous fait AY aux Dieux?
Pour voir de leur couroull des traits ſi furieur	Pour voir de leur couroull des traits si furieur
SOLIMENE.	SOLIMENE.
Quel eſt donc ce malheur?	Quel est donc ce malheur?
STELLANE.	STELANE.
Il n’euſt iamais d’exemple, Va Dragon s'eſt ſaiſy de la porte du Temple.	Il n'eût jamais d'exemple, Va Dragon s'est saisi de la porte du Temple.
Ce pro Ce prodige eſt ſi grand, ſi fier & ſi hideux, Que l'on croit que P'Enfer l’a vomy dãs ces lieux;	Ce pro Ce prodige est si grand, si fier et si hideux, Que l'on croit que P'Enfer l'a vomi dans ces lieux;
C’eſt vn monſtre affamé de ſang & de carnage, Qui fait de voſtre peuple vn horrible rauage, Et ſi l'on n’y met ordre.	C'est un monstre affamé de sang et de carnage, Qui fait de votre peuple un horrible ravage, Et si l'on n'y met ordre.
SOLIMENE.	SOLIMENE.
Ah!	Ah!
que me dites-vous?	que me dites-vous?
Et comment appaiſer de ces Dieux le couroux?	Et comment apaiser de ces Dieux le courroux?
Mettons tout en vſage, & courons à l'Oracle, qon pourquoy le Crer nous caule vn tel obſtacle.	Mettons tout en usage, et courons à l'Oracle, q pourquoi le Crer nous caule un tel obstacle.
STELLANE.	STELANE.
Voſtre peuple accablé d’vn ſi preſſant malheur, L’a déja conſulté:	Votre peuple accablé d'un si pressant malheur, L'a déjà consulté:
Mais.	Mais.
SOLIMENE.	SOLIMENE.
De grace ma ſœut.	De grâce ma sœut.
STELLANE.	STELANE.
Senepdo vel a Ah l ne me preſſez point.	Senepdo vel a Ah l ne me pressez point.
SOLIMENE.	SOLIMENE.
Viendroit-il pour vous nuire?	Viendrait-il pour vous nuire?
STELLANE.	STELANE.
Leonce que voicy, pourra mieux vous le dire,	Léonce que voici, pourra mieux vous le dire,
SCEANSVTE LEONCE, STELLANE, SOLIMENE, LEONICE.	SCENSUTE LÉONCE, STELANE, SOLIMENE, LEONICE.
E 1se 111	E 1se 111
LEONCE.	LÉONCE.
Adame, connoiſſant voſtre extrême valeur NL Et l'art dont elle ſçait combattre le malheur;	Adame, connaissant votre extrême valeur NL Et l'art dont elle sait combattre le malheur;
larmes, Ie ne viens point vers vous les yeux baignez de Sçachãt bien que les pleurs ſont d’inutiles armes Et principalement dans ce temps que le Ciel, Semble verſer ſur nous tont ce qu’il a de fiel, Et que pour nous prouuer ſa haine impitoyable.	larmes, Je ne viens point vers vous les yeux baignés de Sachant bien que les pleurs sont d'inutiles armes Et principalement dans ce temps que le Ciel, Semble verser sur nous tont ce qu'il a de fiel, Et que pour nous prouver sa haine impitoyable.
Il permet qu’vn grand monſtre aujourd’huy nous accable;	Il permet qu'un grand montre aujourd'hui nous accable;
544 6.	544 6.
AMM Mais comme les grands cœurs ſçauent brauer le ſort, It (Iu Le voſtre eſt au deſſus d’vn ſi barbare effort, Et ne ſera iamais capable de foibleſſe, Eſtant la meſme force & la meſme ſageſſe.	AMM Mais comme les grands cœurs savent braver le sort, It (Iu Le vôtre est au dessus d'Homme si barbare effort, Et ne sera jamais capable de faiblesse, Étant la même force et la même sagesse.
SOLIMENE.	SOLIMENE.
AVENNNASG Vne ame qui poſſede vn cœur comme le mien, Trouue dans ſa vertu ſon plus ferme ſouſtien;	AUENNASG âme qui possède un cœur comme le mien, Trouve dans sa vertu son plus ferme soutien;
Et i’oublirois ſans doute vne telle diſgrace, Si ie ſçauois au vray qu’on ſçeuſt de quelle auEt de quelle fierté i'enuiſage le tort, I dace, Que me fait en ces lieux le caprice du ſort, Et qu’eſtant pour ce coup de malheur inſenſible, On tienne que ie puis, ce qu’on tient impoſſible;	Et j'oublierais sans doute une telle disgrâce, Si tu sais au vrai qu'on sçeust de quelle aut de quelle fierté j'envisage le tort, I Jace, Que me fait en ces lieux le caprice du sort, Et qu'étant pour ce coup de malheur insensible, On tienne que ie puis, ce qu'on tient impossible;
Mais ſur ce grand malheur que reſpondent les 1 Dieux ?	Mais sur ce grand malheur que répondent les 1 Dieux ?
Quel crime à donc cõmis ce peuple malheureux?	Quel crime à donc commis ce peuple malheureux?
LEONCE.	LÉONCE.
Mauume y diipeniez imortune Leonce De vous en declarer la funeſte reſponce.	Mauvme y diipeniez imortune Léonce De vous en déclarer la funeste réponse.
SOLIMENE.	SOLIMENE.
Non, non, ie veux ſçauoir toute la verité.	Non, non, Seigneur veux savoir toute la vérité.
LEONCE.	LÉONCE.
Puis qu'il faut obeïr à voſtre Majeſté, L'Oracle parle ainſi.	Puis qu'il faut obéir à votre Majesté, L'Oracle parle ainsi.
Le Ciel dedans ſa haine, Peuple veut tout ton ſang, ou celuy de ta Reine, C’eſt ce qu’a reſolu la juſtice des Dieux, Afin de te punir de tes injuſtes vœux.	Le Ciel dedans sa haine, Peuple veut tout ton sang, ou celui de ta Reine, C'est ce qu'a résolu la justice des Dieux, Afin de te punir de tes injustes vœux.
Chacun en eſt d’accord, & veut donner ſa vie.	Chacun en est d'accord, et veut donner sa vie.
SOLIMENE.	SOLIMENE.
Que la miene cent fois me foit pluſtoſt rauie.	Que la miene cent fois me soit plutôt ravie.
Vn peuple aura pour moy delaiſſé tous ces Dieux, Et ie pourray ſouffrir qu'vn monſtre furieux, Dont la rage eſt du tout à ſa perte animée, D ij Le deuore à mes yeux pour m’auoir trop aimée.	Un peuple aura pour moi délaissé tous ces Dieux, Et ie pourrai souffrir qu'un monstre furieux, Dont la rage est du tout à sa perte animée, D Le deuore à mes yeux pour m'avoir trop aimée.
Qu’on le blaſme à iamais dans tout cét Vniuers D'auoir plus eſtimé mes chaiſnes que leurs fers, Qu'on leur puiſſe imputer cette honteuſe taſche De les auoir quittez pour vn cœur bas & laſche;	Qu'on le blâme à jamais dans tout cet Univers D'avoir plus estimé mes chaînes que leurs fers, Qu'on leur puisse imputer cette honteuse tâche De les avoir quittez pour un cœur bas et lâche;
Non, non, le ſeul penſer en eſt ſi criminel Que ie me punirois d’vn ſupplice eternel, Si ces Dieux irritez auoient cét aduantage, De ſe plaindre qu’à tort i’ay receu leur hõmage;	Non, non, le seul penser en est si criminel Que me punirais punirois d'un supplice éternel, Si ces Dieux irritez a cét aduantage, De se plaindre qu'à tort j'ai reçu leur hõmage;
Mais c’eſt trop conſulter, allons voir ſi ces Dieux Se voudront contenter de tout mon ſang pour eux.	Mais c'est trop consulter, allons voir si ces Dieux Se voudront contenter de tout mon sang pour eux.
STELLANE.	STELANE.
Leonce, ſuiuez-là.	Léonce, suivez-là.
OCLIVEVIIT STELLANE, CONSTANGE.	OCLIVEVIT STELANE, CONSTANGE.
STELLANE.	STELANE.
TA perte eſt infaillible, Le Ciel va me venger par ce monſtre terrible;	TA perte est infaillible, Le Ciel va me venger par ce monstre terrible;
Ie triomphe, Conſtance, & les Dieux irritez, Tirent le chaſtiment de tant de laſchetez:	Je triomphe, Constance, et les Dieux irrités, Tirent le châtiment de tant de lâchetés:
Oüy, ce peuple outrageux doit à preſent connoiſtre, Ce que c’eſt que vouloir choiſir vn autre Maiſtre;	Oui, ce peuple outrageux doit à présent connaître, Ce que c'est que vouloir choisir un autre Maître;
Voy qu’il eſt dangereux de manquer au deuoir, Vers des Roys qui des Dieux tiennent tout leur pouuoir, Et qu’on ne doit iamais, quoy qu’vn peuple preſume, Sans leur ordre changer d’vn Eſtat la couſtume;	Vois qu'il est dangereux de manquer au devoir, Vers des Rois qui des Dieux tiennent tout leur pouvoir, Et qu'on ne doit jamais, quoi qu'un peuple présumme, Sans leur ordre changer d'un État la coutume;
C'eſt vn droit ſi ſacré que celuy de regner, Que toute leur bonté ne ſçauroit épargner Vn peuple qui ſe porte à cette hardieſſe De détroſner à tort ſa Reine & ſa Princeſſe.	C'est vn droit si sacré que celui de régner, Que toute leur bonté ne saurait épargner Un peuple qui se porte à cette hardiesse De détrôner à tort sa Reine et sa Princesse.
Mais i’apperçois Zenalphe.	Mais j'aperçois Zénalphe.
SCENE IAS.	SCÈNE IAS.
SOLIMENE, ZENALPHE, CONSTANCE.	SOLIMENE, ZENALPHÉ, CONSTANCE.
CONSPARE Le LEnalphe, où courez-vous?	CONSPARE Le LEnalphe, où courez-vous?
ZENALPHE.	ZENALPHÉE.
Combattre le prodige, ou mourir ſous ſes coups,	Combattre le prodige, ou mourir sous ses coups,
CONSTANCE.	CONSTANCE.
Quoy!	Quoi!
ce monſtre enragé qui vient à force ouuerte Rauager cét Eſtat, dont le Ciel veut la perte, D ii.	ce montre enragé qui vient à force ouuerte Ravager cet État, dont le Ciel veut la perte, D y.
Ent Es	Ent Es
STELLANE.	STELANE.
Il croit ſauuer la Reine en s’expoſant pour tous, Le que e ere lano lunron que reomreda tont jalouxe	Il croit sauver la Reine en s'exposant pour tous, Le que e re lano lunron que reoméda tont jalouxée
ZENALPHE.	ZENALPHÉE.
Madame, ſerez vous touſiours impitoyable, Et P'ardeur d’vne ſœur vers vous ſi veritable, N’a-t’elle pas encor deſarmé ce couroux, Dont l'aigreur me deffend de m’approcher de vous:	Madame, serez -vous toujours impitoyable, Et P'ardeur d'une sœur vers vous si véritable, N'a-t-elle pas encor désarmé ce courroux, Dont l'aigreur me défend de m'approcher de vous:
Ce vœu ſi ſolemnel qu’elle a fait dans leTemple, De vous aimer touſiours d’vn amour ſans exẽple, Ne peut-il arracher, ou du moins refroidir Cét injuſte deſſein de la faire perir.	Ce vœu si solennel qu'elle a fait dans leTemple, De vous aimer toujours d'un amour sans exemple, Ne peut-il arracher, ou du moins refroidir Cet injuste dessein de la faire périr.
STELLANE.	STELANE.
Non, le Ciel veut ſa mort, ou que l'Eſtat periſſe;	Non, le Ciel veut sa mort, ou que l'État périsse;
L’Oracle eſt veritable, il faut qu’il s’accompliſſe.	L'Oracle est véritable, il faut qu'il s'accomplisse.
Ta laſcheté qui fuit mes ordres & més loix, Vient pour m’intimider du pouuoir de ſes Rois, Qui charmez des douceurs de ſes feintes tendreſſes, L'ont miſe ſans reſpect au nombre des Deeſſes:	Ta lâcheté qui fuit mes ordres et mès lois, Vient pour m'intimider du pouvoir de ses Rois, Qui charmés des douceurs de ses feintes tendresses, L'ont mise sans respect au nombre des Déesses:
Me dire que l’excés de generoſité, Qui l’a fait entreprendre auec fermeté, C01IG.	Me dire que l'excès de générosité, Qui l'a fait entreprendre avec fermeté, C01IG.
La gloire de combattre auec toy le prodige, Pour ſauuer cét Eſtat que ma fierté neglige, Doit la mettre à couuert des plus noirs attentats;	La gloire de combattre avec toi le prodige, Pour sauver cet État que ma fierté néglige, Doit la mettre à couvert des plus noirs attentats;
Mais toutes ces raiſons ne la ſauuer ont pas, Er puis que ta fureur la ſert dans ce re ncontre, Va que iamais Zenalphe à mes yeux ne ſe mõtre,	Mais toutes ces raisons ne la sauver ont pas, Er puis que ta fureur la sert dans ce re contre, Va que jamais Zénalphe à mes yeux ne se montre,
ZENALPHE.	ZENALPHÉE.
Quoy!	Quoi!
pour ne vouloir pas deuenir criminel Voſtre fierté m’impoſe vn exil eternel.	pour ne vouloir pas devenir criminel Votre fierté m'impose un exil éternel.
Ah!	Ah!
ie vous feray voir trop cruelle Princeſſe, En m’expoſant pour tous, ſi i'ay de la foibleſſe, Et vous reconnoiſtrez auant la fin du iour, Que ie fais mon deuoir ſans bleſſer vôtre amour, s’en al	Hé vous ferai voir trop cruelle Princesse, En m'exposant pour tous, si j'ai de la faiblesse, Et vous reconnaîtrez avant la fin du jour, Que je fais mon devoir sans blesser votre amour, s'en al
CONSTANCE.	CONSTANCE.
l'arreſtant.	l'arrêtant.
Mon fils, puis que ton ame eſt ſi fort oſtinée A venger de l'Eſtat la triſte deſtinée, Et que de le ſeruir ie te void ſi tenté, Au moins dans ce combat prens quelque ſeureté:	Mon fils, puis que ton âme est si fort ostinée A venger de l'État la triste destinée, Et que de le servir Seigneur te voit si tenté, Au moins dans ce combat prends quelque sûreté:
Vn diuin bouclier dans le Temple repoſe, Qui rend touſiours vainqueur le Heros qui s’expoſe:	Un divin bouclier dans le Temple repose, Qui rend toujours vainqueur le Héros qui s'expose:
Il a deſia ſauué pluſieurs Princes & Rois, Et mis par ſa vertu les monſtres aux abois:	Il a déjà sauvé plusieurs Princes et Rois, Et mis par sa vertu les monstres aux abois:
Il eſt impenetrable, & malgré ſa furie Le monſtre n’aura point de pouuoir ſur ta vie	Il est impénétrable, et malgré sa furie Le montre n'aura point de pouvoir sur ta vie
STELLANE.	STELANE.
Le regardant auec dédains oy!	Le regardant apmé dédains oi!
la fatalité de ton mauuais deſtin I'entraiſne laſchement à cette indigne fins Mais il n’écoute plus l'ingrat, il m’abandonne, Zenalphe Il ſert auec plaiſir qui m'oſte la Couronne, Et dans l'indigne ardeur que ſon zele fait voir, De tout ce qui m’outrage il ſe fait vn deuoir?	la fatalité de ton mauvais destin J'entraîne lâchement à cette indigne fins Mais il n'écoute plus l'ingrat, il m'abandonne, Zénalphe Il sert avec plaisir qui m'ôte la Couronne, Et dans l'indigne ardeur que son zèle fait voir, De tout ce qui m'outrage il se fait un devoir?
Et vous qui me juriez vne amitié ſi raré, Conſtance, vous armez contre moy ce Barbar	Et vous qui me juriez imitié si raré, Constance, vous armez contre moi ce Barbar
CONSTANCE.	CONSTANCE.
Ie ſuis Mere, Madame, & malgré ſon erreut La nature touſiours me parle en ſa faueur:	Je suis Mère, Madame, et malgré son erreut La nature toujours me parle en sa faveur:
Ie ne cõnois que trop qu’il perdra voſtre eſtin Mais le ſang me le fait aimer malgré ſon crime Oüy le ſacré deuoir d’vn ſujet vers I'Eſtat.	Je ne compté que trop qu'il perdra votre étin Mais le sang me le fait aimer malgré son crime Oui le sacré devoir d'un sujet vers J'État.
STELLANE.	STELANE.
Encore au L'authoriſe d’aller a ce hardy combat.	Encore au L'autorise d'aller à ce hardi combat.
dédam	dédam
CONSTANCE.	CONSTANCE.
L'intereſt du païs.	L'intérêt du pays.
uida va puun.	Ouida va puun.
Si ie vous en veux croire, Quey Le mien ſeul ne doit pas faire toute ſa gloire.	Si ici vous en veux croire, Quei Le mien seul ne doit pas faire toute sa gloire.
Pour!	Pour!
Mais c'eſt trop me vanter ces indignes vertus, Ou bie Retirez-vous Contance;	Mais c'est trop me vanter ces indignes vertus, Ou bye Retirez-vous Contance;
ou ne m'en pail Qui n plus.	ou ne m'en pail Qui n plus.
Mampumemdulai	Mampumemdulai
Fin du troifieſme Adtt.	Fin du troifiesme Adt.
Pour C'eſt t Il faut Que c	Pour C'est t Il faut Que ç
LXCIE Lv	LXCIE Lu
SCENE SOLIMENE.	SCÈNE SOLIMENE.
E	E
Igoureux & charmant decrets,  Tyrannique & douce ſentence, Pour triompher de ma conſtance;	Igoureux et charmant décrets, Tyrannique et douce sentence, Pour triompher de ma constance;
C'eſt trop peu que de vos Arreſts:	C'est trop peu que de vos Arrêts:
Il faut bien d’autres artifices, Que vos rigueurs & vos ſupplices;	Il faut bien d'autres artifices, Que vos rigueurs et vos supplices;
Pour imprimer de la terreur, Ou bien pour ébranler la force de mon ame;	Pour imprimer de la terreur, Ou bien pour ébranler la force de mon âme;
Quin a pomt de plus grande norreur;	Quin a pompt de plus grande norreur;
Que de viure ou mourir infame:	Que de vivre ou mourir infâme:
Ne croyez point que mon amour Puiſſe effacer cette tendreſſe, Que doit auoir vne Princeſſe, Pour l'Eſtat qui l’a miſe au iour;	Ne croyez point que mon amour Puisse effacer cette tendresse, Que doit avoir une Princesse, Pour l'État qui l'a mise au jour;
B oy qu’vn amant prenne les armes,	 Boi qu'un amant prenne les armes,
Mes peuples ont bien d’autres charmès, Pour animer ce foible bras, A les ſouſtraire aux coups de ce cruel prodige.	Mes peuples ont bien d'autres charmés, Pour animer ce faible bras, A les soustraire aux coups de ce cruel prodige.
Qui pour ſeruir ces Dieux ingrats, Par leur mort m’outrage & m’afflige.	Qui pour servir ces Dieux ingrats, Par leur mort m'outrage et m'afflige.
Ce Conquerant ou ce Heros, Charmé de mon peu de merite, Trouuera la mer trop petite, Pour renfermer tous ſes ſanglots;	Ce Conquérant ou ce Héros, Charmé de mon peu de mérite, Trouvera la mer trop petite, Pour renfermer tous ses sanglots;
Auſſi dans les Royaumes ſombres, Songeant à ſon affliction, 2 2 -.	Aussi dans les Royaumes sombres, Songeant à son affliction, 2 2 -.
Ie borneray toûjours le cours de mes penſées, A la ſeule inclination, D'y voir Iee farinet ehaueense	Je bornerai toujours le cours de mes pensées, À la seule inclination, D'y voir Jeée farinet ehaveense
Bien qu'vn droit auguſte & puiſſant, Me donne iey bãs la licence, De deffeter à ma puiſſance Tout vn peuple, quoy qu’innocent;	Bien qu'un droit auguste et puissant, Me donne Ami bans la licence, Dé deffeter à ma puissance Tout un peuple, quoi qu'innocent;
Cependant i’aime mieux deſcendre Dans le tombeau deſſous la cendre, Que de ſouffrir que ce dragon, De mes fidels ſujets coupe à mes yeux la trann Et veux pour vn peuple ſi bon, Sacrifier iuſqu’à mon ame.	Cependant j'aime mieux descendre Dans le tombeau dessous la cendre, Que de souffrir que ce dragon, De mes fidels sujets coupe à mes yeux la trann Et veux pour un peuple si bon, Sacrifier jusqu'à mon âme.
3e	3e
La gloire où tous les Souuerains Fondent leurs hautes deſtinées, Fait de mes plus tendres années, Vn Trophée à mes bons deſſeins;	La gloire où tous les Souverains Fondent leurs hautes destinées, Fait de mes plus tendres années, Un Trophée à mes bons desseins;
Mais quelque laurier qui s’appreſte Ie n’eſtimeray ma conqueſte, Ny ce haut rang d’eternité, i ce '  exemple, Fut l’auguſte Diuinité, Dont ie vay démolir le Temple.	Mais quelque laurier qui s'apprête Je n'estimerai ma conquête, Ni ce haut rang d'éternité, j' ce ' exemple, Fut l'auguste Divinité, Dont ie vay démolir le Temple.
NOCENE TIeM.	NOCENE -TIeM.
SOLIMENE, LEONICE,	SOLIMENE, LEONICE,
LEONICE.	LEONICE.
NEs deux braues Heros ayant ſceu la nouuelle, De ce monſtre qui vient pour venger la querelle, De vos Dieux irritez, demandent le bon-heur, De vous pouuoir parler ſur vn ſi grand malheur.	NEs deux braves Héros ayant su la nouvelle, De ce monstre qui vient pour venger la querelle, De vos Dieux irrités, demandent le bonheur, De vous pouvoir parler sur un si grand malheur.
SOLIMENE.	SOLIMENE.
Qu'on les faſſe approcher.	Qu'on les fasse approcher.
224	224
LEONICE.	LEONICE.
Sans doute leur prudenc Sçaura de vos malheurs calmer la violence.	Sans doute leur prudenc Saura de vos malheurs calmer la violence.
DCERVE TII.	DCERVE -TII.
SOLIMENE, SEBASTE.	SOLIMENE, SÉBASTE.
MAXIME, LEONICE.	MAXIME, LEONICE.
MAXIME.	MAXIME.
I ie puis obtenir le bien d’eſtre eſcouté, O Ie parleray ſans feinte à voſtre Majeſté.	I ici puis obtenir le bien d'être écouté, Ô Ie parlerai sans feinte à votre Majesté.
SOLIMENE.	SOLIMENE.
Vous me ferez, Seigneur, vne faueur extréme	Vous me ferez, Seigneur, une faveur extrême
T7.	T7.
MAXIME.	MAXIME.
Vous eſtes la prudence & la ſageſſe meſme, C’eſt ce qui m'enhardy d’expoſer à vbs yeux.	Vous êtes la prudence et la sagesse même, C'est ce qui m'enhardi d'exposer à us yeux.
L'affront que vôtre peuple a fait à tous les Dieu Ges Dieux de vos ſujets ont receu des outrag Que ne peuuent punir du monſtre les rauages;	L'affront que votre peuple a fait à tous les Dieu Ges Dieux de vos sujets ont reçu des outrag Que ne peuvent punir du monstre les ravages;
Que ne ſçauroit le feu, que ne ſçautoit le fers Et tout ce qu'on nous dit que peut faire l'Enfes Quand leur cœur poſſedé du deſir de vous plair S’eſt rendu vers ces Dieux ſi fier ſi temeraire, Que de vous eriger au deſſus des Autels, Que vos mains deſtinoient à leurs noms immortels.	Que ne saurait le feu, que ne sautait le fers Et tout ce qu'on nous dit que peut faire l'Enfes Quand leur cœur possédé du désir de vous plair S'est rendu vers ces Dieux si fier si téméraire, Que de vous ériger au dessus des Autels, Que vos mains destinaient à leurs noms immortels.
Ils ont par vn malheur qui n’eut iamais d’exẽple, Prophané voſtre gloire auec celle du Temple, Fait des hautes vertus qui brillent dedans vous, Vn objet à iamais digne de leur couroux.	Ils ont par un malheur qui n'eut jamais d'exple, Profané mer gloire avec celle du Temple, Fait des hautes vertus qui brillent dedans vous, Un objet à jamais digne de leur courroux.
Cependant leur bonté parmy tout ce deſaſtre, N'oblige vos beautez que d’éuiter vn Aſtre, Dont l'influence attire en ces lieux mal-heureux, Tout ce que l’on nous dit que l'Enfer a d’affreux;	Cependant leur bonté parmi tout ce désastre, N'oblige vos beautés que d'éviter un Astre, Dont l'influence attire en ces lieux malheureux, Tout ce que l'on nous dit que l'Enfer a d'affreux;
Et vous offre par moy le plus puiſſant Empire, Qu'vn Prince puiſſe auoir ſur tout ce qui reſpire, Rompez donc cette attache & ce funeſte amour Que voſtre Eſtat periſſe & vous ſauuez le iour?	Et vous offre par moi le plus puissant Empire, Qu'un Prince puisse avoir sur tout ce qui respire, Rompez donc cette attache et ce funeste amour Que votre État périsse et vous sauvez le jour?
Il eſt plus à propos qu’vn monde entier expire Que voſtre Majeſté conſente à ſe deſtruire?	Il est plus à propos qu'autre monde entier expire Que votre Majesté consente à se détruire?
Et puis que le deſtin vous comble de malheurs Venez deſſus mon Troſne eſſuyer vos douleurs!	Et puis que le destin vous comble de malheurs Venez dessus mon Trône essuyer vos douleurs!
