DOM PEDRE, Roy d’Aragon.	DOM PÉDRE, Roi d'Aragon.
Mais, belle Leonor, ſi mon amour extréme, Et les fers glorieux où ie ſuis arreſté;	Mais, belle Leonor, si mon amour extrême, Et les fers glorieux où je suis arrêté;
Ne brillent par l’éclat que tette vn diadéme, Ils brillent par ma flamme & par ſa pureté.	Ne brillent par l'éclat que tette un diadème, Ils brillent par ma flamme et par sa pureté.
L'hymenen uprannasirrris	L'hymen uprannasirrris
LE ROY continuë.	LE ROY continue.
Et cette audace, traiſtre?	Et cette audace, traître?
Seigneur!	Seigneur!
LE SECRETAIRE.	LE SECRÉTAIRE.
LE Y.	LE Y.
Eſt le reſpect d’vn vaſſal à ſon maiſtre!	Est le respect d'un vassal à son maître!
I’ay fait vn digne choix, & verſois mon ſecret, Dans vne ame loyale, & dans vn ſein diſcret, Quoy perfide!	J'ai fait un digne choix, et versais mon secret, Dans une âme loyale, et dans un sein discret, Quoi perfide!
vne ardeur de ſens ſi dépourueuë, Te fait leuer les yeux où ie porte la veuë, Et tes feux inſolents me donnent pour riual, L’indigne agent des miens, vn Miniſtre, vn vaſſal C’eſt auec iuſte droit, traiſtre que ie te fie Les ſecrets concernants mon honneur & ma vie, Si tu me peux tramer ce deſtable tour, Et ſi tu m’es perfide en vn crime d’amour;	une ardeur de sens si dépourvue, Te fait lever les yeux où il porte la vue, Et tes feux insolents me donnent pour rival, L'indigne agent des miens, Seigneur Ministre, un vassal C'est avec juste droit, traître que sans te fie Les secrets concernants mon honneur et ma vie, Si tu me peux tramer ce destable tour, Et si tu m'es perfide en un crime d'amour;
C’eſt là ce zele ardent que tu faiſois paroiſtre?	C'est là ce zèle ardent que tu faisais paraître?
Hola Gardes!	Holà Gardes!
ALNE VI GARDES,LE ROY, LE SECRETAIRE.	ALNE VI GARDES,LE ROY, LE SECRÉTAIRE.
L.	L.
GARDE.	GARDE.
Seigneur!	Seigneur!
LE ROY.	LE ROY.
Aricfecome jet traiſtre;	Aricfece jet traître;
LE ROY.	LE ROY.
Et dans l'’horreur d’vne affreuſe priſon, Qui ne ſera pas noir, comme ſa trahiſon;	Et dans l'horreur d'une affreuse prison, Qui ne sera pas noir, comme sa trahison;
Menez le de ſon crime attendre le ſupplice.	Menez le de son crime attendre le supplice.
DHODOMHTAIRE.	DHODOMHTAIRE.
Faites moy grace, Sire.	Faites -moi grâce, Sire.
LE B 0Y.	LE B Y.
On te fera iuſtice.	On te fera justice.
Hi	Hi
SCEIVEVIE LE ROIleul	SCEIVEUIE LE ROIleul
Nne reprimant pas cette temerité, L I’admets des attentats ſur mon authorité;	Nne réprimant pas cette témérité, L 'admets des attentats sur mon autorité;
L’offenſe negligée, à la fin deuient noſtre, Qui ſouffre vne licence, en authoriſe vne autre, Et qui peut ſur ſes vœux permette vn attentat, A la meſme inſolence expoſe ſon Eſtat.	L'offense négligée, à la fin devient notre, Qui souffre une licence, en autorise une autre, Et qui peut sur ses vœux permette un attentat, À la même insolence expose son État.
Aamiral, & le Comje ignorants de ſon criNme, T'enteront de fléchir mon courroux legitime, Et priez, de ſa part, viennent prier pour luy, Mais.	Aamiral, et le Comje ignorants de son criNme, T'enteront de fléchir mon courroux légitime, Et priez, de sa part, viennent prier pour lui, Mais.
SCENNVMI LE ROY, LE COMTE, D.	SCENUMI LE ROI, LE COMTE, D.
BERN.	BERN.
LE ROY.	LE ROY.
DOM BERNARD.	DOM BERNARD.
Grand Roy, du merne & tepen, & uuppuy;	Grand Roi, du merne et tepen, et uppui;
Dont l'ame genereuſe à chaque inſtant conuie, Les cœurs les moins zelez au meſpris de la vie;	Dont l'âme généreuse à chaque instant convie, Les cœurs les moins zélé au mépris de la vie;
Vn deuoir d’amitie, d’honneur, de pieté, demren jounene cers egrre lajete.	Un devoir d'amitié, d'honneur, de piété, démren jounène cers égré lajette.
Poir.	Poir.
LE ROY.	LE ROY.
Si vous ignorez le ſujet de ma haine, Vous venez mal inſtruicts du ſujet qui vous meine, Que l’intereſt d’vn homme indigne de pitié, N'entre point en commerce, auec noſtre amitié;	Si vous ignorez le sujet de ma haine, Vous venez mal instruits du sujet qui vous mène, Que l'intérêt d'un homme indigne de pitié, N'entre point en commerce, avec notre amitié;
Vous plaignez ſon malheur, moy ie ſçay ſon audace Son nom ſeul vous feroit encourir ma diſgrace;	Vous plaignez son malheur, moi -même sais son audace Son nom seul vous ferait encourir ma disgrâce;
S’il a lieu de vanter ſes ſeruices paßés, Sa derniere action les a touts effacez, Erierit jui ja joy des taſtnes cierhedes,	S'il a lieu de vanter ses services passés, Sa dernière action les a touts effacés, Erierit jui ja joi des tâtnes cierhedes,
LE COMTE.	LE COMTE.
Peut-eſtre vn faux rapport.	Peut-être un faux rapport.
LE ROY.	LE ROY.
Mes yeux me ſont fideles;	Mes yeux me sont fidèles;
Et iuge de ſoy-meſme, il ſçait ſi i’ay raiſon;	Et juge de soi-même, il sait si j'ai raison;
D.	D.
BERNARD.	BERNARD.
Eſt-ce vne offence, Sire, indigne de pardon?	Est-ce une offense, Sire, indigne de pardon?
LE ROY.	LE ROY.
Ce n'eſt qu'vn attentat, quis aareife à moy-méme;	Ce n'est qu'un attentat, quis alareife à moi-même;
D.	D.
BERNARD bas.	BERNARD bas.
C’eſt vn traict, cher amy, de ton malheur extréme, Qui te faiſant tober dans quelque aueugle erraur, Ta d’vn Prince ſi iuſte, excité la fureur!	C'est un trait, cher ami, de ton malheur extrême, Qui te faisant tober dans quelque aveugle erraur, Ta d'un Prince si juste, excité la fureur!
LE ROY.	LE ROY.
Vout ſçauez Admiral, cõme en toute autre choſe, Voſtre vouloir du mien abſolument diſpoſe;	Vout votre Admiral, comme en toute autre chose, Votre vouloir du mien absolument dispose;
Propoſez, ordonnez, prenez, faites, oſtez, En tout, pour toute loy, ſuiuez vos volontez, Et de grace exceptez, cette ſeule requeffe, Sans vous, ſon attentat luy couſteroit la teſte;	Proposez, ordonnez, prenez, faites, ôtez, En tout, pour toute loi, suivez vos volontés, Et de grâce exceptez, cette seule requeffe, Sans vous, son attentat te coûterait la tête;
Seul i’en ſçay l’inſolence, & ſans plus m'exprimer, Tiens pour mon ennemy qui l’ozera nommer;	Seul j'en sais l'insolence, et sans plus m'exprimer, Tiens pour mon ennemi qui l'osera nommer;
Au reſte de Carlos, les troupes inſolentes, Par le pays voiſin comme vn foudre volantes, Ce ſoir meſme, au rapport de quelques eſpions, Pretendent s’auancer iuſqu’à nos baſtions;	Au reste de Carlos, les troupes insolentes, Par le pays voisin comme un foudre volantes, Ce soir même, au rapport de quelques espions, Pretendent s'avancer jusqu'à nos bâtions;
Si rencontre, Admiral, fut iamais opportune, Faites voir auiourd’huy quelle eſt voſtre fortune;	Si rencontre, Admiral, fut jamais opportune, Faites voir aujourd'hui quelle est ainsi fortune;
Tout l’eſpoir de l’Eſtat à vos ſoings eſt commis, Couppezauant la nuict, ia martne aux ennemis;	Tout l'espoir de l'État à vos soings est commis, Coupezavant la nuit, ja martne aux ennemis;
De De vos troupes à peine encore deſarmées, R’alliez ſur le champ les ardeurs r’allumées, Et parmy ce peril me conſeruant vos iours, Soyez ce Dom Bernard que vous eſtes touſiours;	De De vos troupes à peine encore désarmées, R'alliés sur le champ les ardeurs rallumées, Et parmi ce péril me conservant vos jours, Soyez ce Dom Bernard que vous êtes toujours;
D.	D.
BERNARD.	BERNARD.
Ie ne me preuaudray dans aucune auanture, Que deua quine de cojere orouuure;	Je ne me prévaudrai dans aucune aventure, Que deva quine de cojère orouvre;
uiſmr eje ile ciulexdaxsalls queenca y mumenommude, uouuluauidomté,	uismr eje île civlexdaxsalls queenca y mumenommude, uouuluauidomté,
Le Roy s’en va embraſſant D.	Le Roi s'en va embrassant D.
Bernard.	Bernard.
JCEIVE IY D.	JCIVE IY DY.
BERNARD, D.	BERNARD, D.
LOPE, LAZARIL.	LOPE, LAZARIL.
D.	D.
LOPE.	LOPE.
Tbien, mon ſeul recours, & ſincere & fidele.	Tbien, mon seul recours, et sincère et fidèle.
LAmy, des vrais amis le plus parfait modele, Ay-je lieu d’eſperer?	LAmi, des vrais amis le plus parfait modèle, Ai-je lieu d'espérer?
qu’auez vous fait pour moy?	qu'avez -vous fait pour moi?
Qu'a permis ma fortune?	Qu'a permis ma fortune?
auez vous veu le Roy?	avez vous vu le Roi?
Hat i’apprends ſa réponſe en la voſtre ſi lente:	Hat j'apprends sa réponse en la vôtre si lente:
Cette douleur muette eſt vne voix parlante, Parlez parlez, le ſort ne frappe plus en nous, Que des cœurs de long-temps endurcis à ſes coups.	Cette douleur muette est une voix parlante, Parlez parlez, le sort ne frappe plus en nous, Que des cœurs de longtemps endurcis à ses coups.
D.	D.
BERNARD.	BERNARD.
Quelle offence Dom Lope, aueugle ou volontaire.	Quelle offense Dom Lope, aveugle ou volontaire.
Vous a ſi fort du Roy ſuſcité la cholere?	Vous a si fort du Roi suscité la colère?
D.	D.
LOPE.	LOPE.
Moy l’offencer helas!	Moi l'offenser hélas!
moy m’adreſſer au Roy, A qui par tant de ſang i’ay ſignalé ma foy!	moi m'adresser au Roi, À qui par tant de sang j'ai signalé ma foi!
A moy, me reprocher vn crime qui le touche!	À moi, me reprocher un crime qui le touche!
Et ce reproche encor ſortir de voſtre bouche!	Et ce reproche encor sortir de votre bouche!
Vous m’eſtiez trop benins, ô deſtins inhumains!	Vous m'étiez trop bénins, ô destins inhumains!
Et voicy de vos coups, le ſeul dont ie me me plains.	Et voici de vos coups, le seul dont je me me plains.
Si c’eſt vn crime helas!	Si c'est un crime hélas!
d’auoir fait de mes vẽines, Aux champs de ſes combats de ſanglantes fonteines;	d'avoir fait de mes vœines, Aux champs de ses combats de sanglantes fonteines;
Et plus mon ennemy, que touts ſes ennemis, M'eſtre mis en l’eſtat, où mon zele m’a mis;	Et plus mon ennemi, que touts ses ennemis, M'être mis en l'état, où mon zèle m'a mis;
M’eſtre par vne ardeur illuſtre & non commune, Liure ſeul en oſtage aux mains de la fortune, Et contre mon viſage à moy-meſme inhumain, Auoir en ſa faueur armé ma propre main;	M'être par une ardeur illustre et non commune, Livre seul en ôtage aux mains de la fortune, Et contre mon visage à moi-même inhumain, Avoir en sa faveur armé ma propre main;
Si pour ces actions ſa haine eſt legitime, I'en ſouffre le reproche, & confeſſe mon crime;	Si pour ces actions sa haine est légitime, J'en souffre le reproche, et confesse mon crime;
Mais ailleurs des bienfaits & des vœux eternels Seroient le chaſtiment de pareils criminels.	Mais ailleurs des bienfaits et des vœux éternels Seraient le châtiment de pareils criminels.
D.	D.
BERNARD.	BERNARD.
Quelque reſſort du Ciel où nous ne voyons goutte, Fait prendre à nos deſtins cette diuerſe route, Fait que par des nœuds d’or, le Roy m’attache à luy Et parſemant de fleurs le chemin que ie ſuy, Semble épuiſé pour moy, d’influences benignes, Ne pouuoir ſur vos pas ſemer que des eſpines;	Quelque ressort du Ciel où nous ne voyons goutte, Fait prendre à nos destins cette diverse route, Fait que par des nœuds d'or, le Roi m'attache à luiNe parsemant de fleurs le chemin que je suis, Semble épuisé pour moi, d'influences bénignes, Ne pouvoir sur vos pas semer que des épines;
Mais ſes deſcrets ſans doute außi ſages que ſaints Sous vn ſi grand malbeur cachent de grãds deſſeins;	Mais ses décrets sans doute aussi sages que saints Sous un si grand malbeur cachent de grands desseins;
I'en preſume pour vous quelque grande aduanture Et doute auec raiſon ſi ma route eſt plus ſeure.	J'en présume pour vous quelque grande aventure Et doute avec raison si ma route est plus sûre.
Au premier mot enfin que i’ay parlé pour vous, Le Roy s’eſt emporté d’vn ſi boüillant courroux, Et paliſſant m’a veu d’vn regard ſi farouche, Qu'à peine auois-je ouuert, qu’il m'a fermé la bouche;	Au premier mot enfin que j'ai parlé pour vous, Le Roi s'est emporté d'un si bouillant courroux, Et palissant m'a vu d'H regard si farouche, Qu'à peine avais-je ouvert, qu'il m'a fermé la bouche;
Ne ſe plaint pas de moins que d’vne trahiſon, Et nous à deffendu iuſques à voſtre nom;	Ne se plaint pas de moins que d'une trahison, Et nous à défendu jusques à votre nom;
Mais pendant que le temps eſſuyera ſa colere, Cher de Lune, & de grace, acceptez ma priere;	Mais pendant que le temps essuiera sa colère, Cher de Lune, et de grâce, acceptez ma prière;
Contez tout mon credit, mes biens, mes qualitez, Moins au rang de mes biens que de vos dignitez;	Comptez tout mon crédit, mes biens, mes qualités, Moins au rang de mes biens que de vos dignités;
Tenez malgré le ſort dans ce malheur extréme, Touts les bienfaits du Roy, comme faits à vousL’heur le mieux eſtably, n’eſt aſſeuré de rien, Et peut-eſtre qu’vn iour vous me le rendrezbien.	Tenez malgré le sort dans ce malheur extrême, Touts les bienfaits du Roi, comme faits à vousL'heur le mieux établi, n'est assuré de rien, Et peut-être qu'un jour vous me le rendrezbien.
Nul bien n’eſt immortel qu’apres que nous le ſommes, L’homme eſt mal aſſeuré, quand il ſe fie aux hommes.	Nul bien n'est immortel qu'après que nous le sommes, L'homme est mal asseuré, quand il se fie aux hommes.
Ct qu'on gaigne vien-toſt, ſe peut perdre dans peu, Tout dépend du hazard & la vie eſt vn feu.	Ct qu'on gagne vientôt, se peut perdre dans peu, Tout dépend du hasard et la vie est un feu.
D.	D.
LOPE.	LOPE.
Làt pluſtoſt mon malheur dure autant que ma vie;	Làt plutôt mon malheur dure autant que ma vie;
Que iamais aucun traict ou de haine ou d’enuie, Attaque la plus noble & plus rare vertu, Dont iamais conquerant ait eſté reueſtu?	Que jamais aucun traict ou de haine ou d'envie, Attaque la plus noble et plus rare vertu, Dont jamais conquérant ait été revêtu?
Quelque important deſſein qu’eut pour moy la fortune, Ie tiendrois ſa faueur à ce pria impertune;	Quelque important dessein qu'eût pour moi la fortune, Je tiendrais sa faveur à ce pria impertune;
Le Roy vous fait iuſtice, & parmy ſes ſujets, N’a point pour ſes faueurs de ſi dignes obiets, Il ne peut plus ſans vous regner, qu’il ne ſuccombe, Et vous ne pouuez choir que ſon trône ne tombe.	Le Roi vous fait justice, et parmi ses sujets, N'a point pour ses faveurs de si dignes objets, Il ne peut plus sans vous régner, qu'il ne succombe, Et vous ne pouvez choir que son trône ne tombe.
D.	D.
BERNARD.	BERNARD.
Au reſte Dom Carlos preſt de nous inueſtir;	Au reste Dom Carlos prêt de nous investir;
Sans perdre tun ſeul moment nous preſſe de partir, Et de faire marcher nos trouppes ramaßées, Contre ſes legions deſia trop auancées;	Sans perdre tun seul moment nous presse de partir, Et de faire marcher nos troupes ramassées, Contre ses légions déjà trop avancées;
Voſtre bras peut du Prince y vaincre le courroux, Et certain du ſuccés, ſi ie le ſuis de vous, I'oze eſperer de voir au retour de l’armée, y opre matneurteuer a voort senommee;	Votre bras peut du Prince y vaincre le courroux, Et certain du succès, si toujours le suis de vous, J'ose espérer de voir au retour de l'armée, y opre matneurteuer a voort senommee;
Mais le temps preſſe.	Mais le temps presse.
D.	D.
LOPE.	LOPE.
Helas cette neceßité, De mon deſtin encor marque la dureté!	Hélas cette necemité, De mon destin encor marque la dureté!
Et ſuiuant de l’honneur l’ordonnance importuIe manque vn rendez-vous, d’où dépend ma fortune.	Et suivant de l'honneur l'ordonnance importuIe manque un rendez-vous, d'où dépend ma fortune.
blums puifants motifs des eſprits genereux!	blums puifants motifs des esprits généreux!
Gloire, deuoir, honneur, triomphez de mes vœux, Pour ſeruir qui nous hait, negligeons qui nous ayme, Et ſuiuons la vertu pour l’amour d’elle meſme.	Gloire, devoir, honneur, triomphez de mes vœux, Pour servir qui nous hait, négligeons qui nous aime, Et suivons la vertu pour l'amour d'elle même.
D.	D.
BERNARD.	BERNARD.
Mais ſi ce rendez-vous, vous importe ſi fort:	Mais si ce rendez-vous, vous importe si fort:
D.	D.
LOPE.	LOPE.
Laiſſons en l'importance au caprice duſort;	Laissons en l'importance au caprice dusort;
Et formons nous plutoſt à ſouffrir ſes outrages, Qu'à laiſſer de ſon gré dépendre nos courages;	Et formons nous plutôt à souffrir ses outrages, Qu'à laisser de son gré dépendre nos courages;
Faiſons tant qu'à la fin de ma gloire confus, Il ſe laiſſe conter au rang de mes vaincus.	Faisons tant qu'à la fin de ma gloire confus, Il se laisse conter au rang de mes vaincus.
L’adorable beauté qui flatte mon attente, Vaut biende mon courage vne preuue importanEt me priuer vn ſoir du beau iour de ſes yeux, Pour vne occaſtondel en meriter mieux.	L'adorable beauté qui flatte mon attente, Vaut biende mon courage une preuve importanEt me priver un soir du beau jour de ses yeux, Pour une occastondel en mériter mieux.
ARTES L	ARTES L
SCENE PREMIERE.	SCÈNE PREMIÈRE.
LE ROY, LE COMTE, LEONOR,	LE ROY, LE COMTE, LEONOR,
LE ROY.	LE ROY.
D’vn droict plus abſolu ſur moy que ſur vous meſme, Sans reſerue exercez voſtre pouuoir ſupréme;	D'un droit plus absolu sur moi que sur vous même, Sans réserve exercez votre pouvoir suprême;
N’employez à voſtre ayde, autre que voſtre ſoin, Et faites vous le bien dont vous auezbeſoin;	N'employez à votre aide, autre que votre soin, Et faites -vous le bien dont vous avezbesoin;
Vous verrez en effet ſi cette amour vous flatte, Ie feray vanité d’obliger vne ingrate;	Vous verrez en effet si cette amour vous flatte, Je ferai vanité d'obliger une ingrate;
Et de perſuader vn inſenſible objet, Qu’encor que ſouuerain, ie l’adore en ſujet;	Et de persuader un insensible objet, Qu'encor que souuerain, Seigneur l'adore en sujet;
, N’oze nourrir pour luy de flame intereßée, Ny iuſqu’à vos faueurs eſleuer ma penſée;	, N'ose nourrir pour lui de flamme interessée, Ni jusqu'à vos faveurs élever ma pensée;
D’vn ſouuerain empire accompliſſez vos vœux, Et dites ſeulement ie commande & ie veux;	D'un souverain empire accomplissez vos vœux, Et dites seulement un commande et et veux;
Vous meſme exaucez vous.	Vous -même exaucez -vous.
2 LEONOR.	2 LEONOR.
Vous agreerez donc, Sire, Qu'en faueur de Perés i’exerce cet empire;	Vous agréerez donc, Sire, Qu'en faveur de Pères j'exerce cet empire;
Comte, du Secretaire, allezbriſer les fers, C'eſt par mon ordre, allez.	Comte, du Secrétaire, allezbriser les fers, C'est par mon ordre, allez.
LECOMTE.	LECOMTE.
Madame, ie vous ſerts.	Madame, Seigneur vous serts.
SCENE II.	SCÈNE II.
εε 28:	2 28:
0 DCEIVEII LEROY, LEONOR, GARDES.	0 DCEIVEII LEROI, LEONOR, GARDES.
LE ROY.	LE ROY.
Ay peine à conceuoir quelle humeurinegale, LVous faiſant mal-traicter vne flame royale, Vous fait prendre intereſt en l’amour d’vn vaſſal.	Ai peine à concevoir quelle humeurinegale, LUous faisant mal-traicter une flamme royale, Vous fait prendre intérêt en l'amour d' vassal.
LEONOR.	LEONOR.
Ie comprends beaucoup moins voſtre eſprit inegal:	Je comprends beaucoup moins votre esprit inégal:
Qui ne vous ſouffrant point de flame intereßée, Et dans ce grand reſpect reſtraignant ſa penſée, S’ombrage toutefois d’vn acte de pitié, Non pas de mon amour, mais de mon amitié.	Qui ne vous souffrant point de flamme interessée, Et dans ce grand respect restraignant sa pensée, S'ombrage toutefois d'un acte de pitié, Non pas de mon amour, mais de mon amitié.
LE ROY.	LE ROY.
Par quel orgueil peut-on meriter voſtre haine?	Par quel orgueil peut-on mériter votre haine?
Si l’amitié vous fait luy remettre ſa peine, Aluy que i’ay ſurpris vous traçant ſon amour, Que ſa main inſolente oſoit bien mettre au iour;	Si l'amitié vous fait esprit remettre sa peine, Alui que j'ai surpris vous traçant son amour, Que sa main insolente osait bien mettre au jour;
Et voſtre authorité protege ſon audace, Apres qu'à Dom Bernard, i'ay refuſe ſa grace.	Et votre autorité prote son audace, Après qu'à Dom Bernard, j'ai refuse sa grâce.
LEONOR.	LEONOR.
Sa naiſſance, Seigneur, & ſa condition Iuſtifieront touſiours mon inclination:	Sa naissance, Seigneur, et sa condition Justifieront toujours mon inclination:
Et croyant propoſer vn ſoupçon legitime, Vous auriez mal aßis l’honneur de voſtre eſtime.	Et croyant proposer un soupçon légitime, Vous auriez mal assez l'honneur de votre estime.
C’eſt vne peur außi qui nemt peui frapper, Et ie prends peu de peine à vous en detromper.	C'est assez peur aussi qui nemt peu frapper, Et tu prends peu de peine à vous en détromper.
LE ROY.	LE ROY.
Ce n’eſt pas d’a preſent, inſenſible, inhumaine, Que pour mes intereſts vous prenez peu de peins;	Ce n'est pas d'a présent, insensible, inhumaine, Que pour mes intérêts vous prenez peu de peins;
Et que de vos rigueurs mon eſprit combattu, Eſt forcé d’exercer vne auſtere vertu.	Et que de vos rigueurs mon esprit combattu, Est forcé d'exercer une austère vertu.
LEONOR.	LEONOR.
Qui peut impunément prendre touté licence, Doit d’autant moins vouloir qu’il a plus de puiſflinece Et n’acquiert touts les vœux, qu’en moderant les ſiens:	Qui peut impunément prendre touté licence, Doit d'autant moins vouloir qu'il a plus de puisfline Et n'acquiert touts les vœux, qu'en modérant les siens:
Se poſſeder ſoy-meſme eſt le plus grand des biens;	Se posséder soi-même est le plus grand des biens;
Aux Rois nõ plus qu'à nous, tout n'eſt pas legitime.	Aux Rois nomme plus qu'à nous, tout n'est pas légitime.
LE ROY.	LE ROY.
O raiſon incommode!	Ô raison incommode!
importune maxime!	importune maxime!
Qui diſpoſant de nous faites d’vn Potentat, Moins vn Prince abſolu qu’vn ſerfde ſon Eſtat;	Qui disposant de nous faites d'un Potentat, Moins un Prince absolu qu'un serfde son État;
Si vous ne permettez à des mains Souueraines, Vn libre attachement, & le choix de leurs chaiſnes, Qeren doumipuomampiuj& puuauts rigueurs Faut-il former des vœux où repugnent nos cœurs!	Si vous ne permettez à des mains Souveraines, Un libre attachement, et le choix de leurs chaînes, Qéren doumipuomampiujet puvauts rigueurs Faut-il former des vœux où répugnent nos cœurs!
LEONOR.	LEONOR.
Außi bien que l’Eſtat, l’Honneur a ſes maximes, Qui font fune nofenenn fuiennoe dummegitimes;	Aussi bien que l'État, l'Honneur a ses maximes, Qui font fune nofenn fuiennoe dummegitimes;
Et l’inegalité de nos conditions, N'admet ny noſtre hymen, ny nos affections.	Et l'inégalité de nos conditions, N'admet ni nôtre hymen, ni nos affections.
LE ROY.	LE ROY.
Ainſi donc que le mal, donnez la medecine, Pour en coupper le cours, couppez en la racine;	Ainsi donc que le mal, donnez la médecine, Pour en coupper le cours, coupez en la racine;
Et dans l’inquietude où ie languy pour vous, Reprimez mes ſouhaits par le choix d’vn eſpoux;	Et dans l'inquiétude où belle langui pour vous, Reprimez mes souhaits par le choix d' Houx;
Pour m’oſter tout l’eſpoir pour qui mõ cœur ſouſpire, Faites vnpoſſeſſeur des faueurs où i’aſpire;	Pour m'ôter tout l'espoir pour qui mon cœur soupire, Faites vnpossesseur des faveurs où j'aspire;
Faites vn homme heureux, ſi quelqu'vn dans ma Cour, A des conditions dignes de voſtre amour.	Faites un homme heureux, si quelqu'un dans ma Cour, À des conditions dignes de votre amour.
Quelque haute ſpendeur dont l’eclat l’enuironne, En quelque illuſtre employ qu’il ſerue ma Couronne, Quoy qu’il poſſede enfin capable de charmer, Il ne vous couſtera qu’vn ſouhait à former, Et mon mal de ſon bien tirera ſon remede.	Quelque haute spendeur dont l'éclat l'environne, En quelque illustre emploi qu'il serve ma Couronne, Quoi qu'il possède enfin capable de charmer, Il ne vous coûtera qu'un souhait à former, Et mon mal de son bien tirera son remède.
LEONOR.	LEONOR.
Il n’eſt point de faueur que cette offre n’excede, Et puis qu'il m’eſt permis de choiſir mon vainceur:	Il n'est point de faveur que cette offre n'excède, Et puis qu'il m'est permis de choisir mon vainceur:
I'oze me declarer, & vous ouurir mon cœur:	J'ose me déclarer, et vous ouvrir mon cœur:
Le vol quoy qu'eſleué, que mon amour ſe donne, N’a point pour but, vn frõt chargé d’vne couronne;	Le vol quoi qu'élevé, que mon amour se donne, N'a point pour but, un front chargé d'une couronne;
Mais vn bras qui vous ſert & qui s’en peut don ner, Quand ſon ambition le voudra couronner.	Mais un bras qui vous sert et qui s'en peut don ner, Quand son ambition le voudra couronner.
Vn qui veut bien dépendre, & vaſſal volontaire, Sous le ioug de vos loix, tient le ſort tributaire;	Un qui veut bien dépendre, et vassal volontaire, Sous le joug de vos lois, tient le sort tributaire;
Luy ſeul, ſi quelque obiet peut ſur ma liberté, Pretendre quelque atteinte, ou quelque autorité;	Lui seul, si quelque objet peut sur ma liberté, Pretendre quelque atteinte, ou quelque autorité;
De ce leger honneur peut flatter ſon attente.	De ce léger honneur peut flatter son attente.
LE ROY.	LE ROY.
Nommez le donc.	Nommez le donc.
LEONOR.	LEONOR.
Son nom, eſt.	Son nom, est.
Mais voicy l’Infanté.	Mais voici l'Infanté.
SEAE III L’INFANTE, LE COMTE,LE SECR.	SEAE III L'INFANTE, LE COMTE,LE SECR.
LE ROY, GARDES.	LE ROY, GARDES.
LE SECRET AIRE à genoux.	LE SECRET AIRE à genoux.
Ire, quels vœux rendray-je à voſtre MajeS'ſté?	Ire, quels vœux rendrai-je à votre Majesse?
LE ROY.	LE ROY.
Ie n’ay pas ordonné de voſtre liberté:	Je n'ai pas ordonné de votre liberté:
LEONOR.	LEONOR.
C’eſt moy qui vous la rends pour vous l’auoir rauie, Et ſa perte ſans moy, vous eut couſté la vie;	C'est moi qui vous la rends pour vous l'avoir ravie, Et sa perte sans moi, vous eut cousté la vie;
Soyez en moins prodigue, & menagez là mieux.	Soyez en moins prodigue, et ménagez là mieux.
LINFANTE.	LINFANTE.
Seigneur, ce Dom Bernard ce vainceur glorieux, Qui de tant de Heros efface les Hiſtoires, Et qui peut moins conter de iours que de victoires, K iij Dont preſque les ſuccés precedent les ſouhaits, Suiuy de tout le peuple entre dans le Palais, A ſa reception ſa vertu vous inuite.	Seigneur, ce Dom Bernard ce vainceur glorieux, Qui de tant de Héros efface les Histoires, Et qui peut moins conter de jours que de victoires, Dont presque les succés precedent les souhaits, Suiuy de tout le peuple entre dans le Palais, A sa réception sa vertu vous inuite.
LE ROY.	LE ROY.
Allons & rendons luy l’accueil qu’elle merite;	Allons et rendons lui l'accueil qu'elle mérite;
Paiſons en vnexempie iauſire à nos neueux, Et comme ſes trauaux, rendons ſes prix fameux.	Paisons en unexempie jusire à nos neueux, Et comme ses travaux, rendons ses prix fameux.
LEONOR bas.	LEONOR bas.
Tu m’oppoſes amour, vne forte aduerſaire, Aauiuu nugcontre iu ſour, uu promeſfe uu frere;	Tu m'opposes amour, une forte adversaire, Aauju nugcontre ju sour, promesse frère;
Et ce gage royal aſſeure mon eſpoir, Contre tout ce qu'elle a de charme & de pouuoir.	Et ce gage royal assure mon espoir, Contre tout ce qu'elle a de charme et de pouvoir.
SENDIV D.	SENDIV D.
BERNARD auec le baſtonde General.	BERNARD était le bâtonde Général.
D.	D.
LOPE, LA ZARILLE, SOLDATS.	LOPE, LA ZARILLE, SOLDATS.
LE ROY, L’INFANTE, LEONOR.	LE ROY, L'INFANTE, LEONOR.
D.	D.
LOPE entrant dità l’oreille à D.	LOPE entrant dità l'oreille à D.
Bernard.	Bernard.
Velque part que mon bras ait en voſtre victoire, Des menaces du Roy conſeruez la memoire:	Velque part que mon bras ait en votre victoire, Des menaces du Roi conservez la mémoire:
DrtatSta tuy mon nomt an ieuus du combat.	DrtatSta tui mon nomt an jeuus du combat.
D.	D.
BERNARD.	BERNARD.
Ie parleray de vous, ſous le nom de ſoldat.	Je parlerai de vous, sous le nom de soldat.
LE ROY l’embraſſant.	LE ROY l'embrassant.
Quoy c'eſt vous Duc d’Alcale, honneur de ma Prouince, Glorieux compagnon des ſoins de voſtre Prince!	Quoi c'est vous Duc d'Alcale, honneur de ma Province, Glorieux compagnon des soins de votre Prince!
Voſtre retour ſurprend, & pour vous les inſtants En gloire ſi feconds, font l’office des ans;	Votre retour surprend, et pour vous les instants En gloire si féconds, font l'office des ans;
