AIV LROLRVRO	AIV LROLRURO
La peur de vous déplaire Et d'exciter encor cẽt esprit trop boüillant, (Outre que ie dois craindre vn homme ſi vaillant,) M’erdonne le ſilence.	La peur de vous déplaire Et d'exciter encor censt esprit trop bouillant, (Outre que ie dois craindre un homme si vaillant,) M'erdonne le silence.
TYRCIS.	TYRCIS.
Et ie le ſouffre encoret O!	Et ici le souffre encoret Ô!
que ſi ce n’eſtoit Madame que i’adore, Si mon profond respect ne retenoit mon bras.	que si ce n'était Madame que j'adore, Si mon profond respect ne retenait mon bras.
CLORIS.	CLORIS.
Sans elle aſſeurement ie n’eſchaperois pas.	Sans elle assurément ici n'échapperais pas.
TYBCIS.	TYBCIS.
Cep trop, c'eſttrop fouffrir, il faut que ie me vang Madame vous voyez.	Cep trop, c'esttrop souffrir, il faut que Un me veng Madame vous voyez.
O la contrainte eſtrange!	Ô la contrainte étrange!
ELISE.	ÉLISE.
A vous entrehaïr teſmoigner tant d’ardeurt Malgré moy perſiſter?	À vous entrehaïr témoigner tant d'ardeurt Malgré moi persister?
aeleras Si vous auez du cœur Vous me ſuiurez Tyrcis.	aéléras Si vous avez du cœur Vous me suivrez Tircis.
TYRCIS.	TYRCIS.
Ie le veux bien.	Je le veux bien.
TROISIESME.	TROISIÈME.
ELISE, TYRCIS.	ÉLISE, TYRCIS.
ELISE.	ÉLISE.
uilmdte!	Elle!
Its en va Non Tyrcis vous me voulez ſurprendre.	Its en va Non Tircis vous me voulez surprendre.
C’eſt icy ſeulement qu’il faut me faire voir Si i’ay deſſus voſtre ame encor quelque pouuoir.	C'est ici seulement qu'il faut me faire voir Si j'ai dessus vôtre voir si quelque avoir.
TYRCIS.	TYRCIS.
En pouuez-vous douter apres ma patience?	En pouvez-vous douter après ma patience?
ELISE.	ÉLISE.
Ie demande vn ſerment à voſtre obeïſſance.	Je demande un serment à votre obéissance.
TYRCIS.	TYRCIS.
Madame commandez.	Madame commandez.
ELISE.	ÉLISE.
Me le promettez-vous?	Me le promettez-vous?
TYRCIS.	TYRCIS.
Si ie deſobeïs que le Ciel en courroux Face pleuuoir ſur moy ſa cholere & ſa foudre, Que ie meure.	Si ici désobéis que le Ciel en courroux Face pluvoir sur moi sa cholère et sa foudre, Que Que meure.
ELISE.	ÉLISE.
Il ſuffit.	Il suffit.
C’eſt qu’il faut vous reſoudre, Pour auoir eſlé prompt vn peu hors de ſaiſon, D’auoir iuſqu’à tantoſt mon iardin pour priſon:	C'est qu'il faut vous résoudre, Pour avoir eslé prompt un peu hors de saison, D'avoir jusqu'à tantôt mon jardin pour prison:
Dans vne heure au plus tard quitte d’vne viſite Dont ie ſuut obligée à la ieune Celite, I’iray vous deſgager.	Dans une heure au plus tard quitte d'une visite Dont tu suut obligée à la jeune Celite, J'irai vous dégager.
TYRCIS.	TYRCIS.
Cette heure aſſeurement, Me ſemblera fort longue.	Cette heure assurément, Me semblera fort longue.
ELISE.	ÉLISE.
A dieu cholere Amant.	À dieu chole Amant.
ENE VATRIESME.	ENE VATRIESME.
ALCIDON, ADRASTE.	ÀLCIDON, ADRASTE.
Velques puiſſants deſſeins qu’il euſt d’eſtre ſeuere, Trafile a hien monſtré qu’vn Pere eſt touſieurs Pere, Et que bien que ſon fils excite ſa rigueur, I’amour qu’il a pour luy reſte toufiours vainqueur.	Velques puissants desseins qu'il eût d'être sévère, Trafile à hien montré qu'un Père est toujours Père, Et que bien que son fils excite sa rigueur, J'amour qu'il a pour lui reste toufiours vainqueur.
Mais le voicy qui vient auec vn peu de feinte Ie m’en vay luy donner encore de la crainte.	Mais le voici qui vient auec vn peu de feinte Je m'en va lui donner encore de la crainte.
ADRASTE.	ADRASTE.
le vuus cre you tesja jermmnegne naj.	le vu cre you tesja jermmnegne naj.
Que vous eſtes reueur,	Que vous êtes rêveur,
ALCIDON.	ÀLCIDON.
Ie le dois eſtre außi.	Je le dois être aussi.
ADRASTE.	ADRASTE.
D'où peut vous prouenir cette prompte triſteſſe?	D'où peut vous provenir cette prompte tristesse?
ALCIDON.	ÀLCIDON.
Lablc' eſt que malgré moy ie manque à ma promeſſe, Et ſans que ie vous donne aucun ſoulagement.	Lablc' est que malgré mo ie manque à ma promesse, Et sans que je vous donne aucun soulagement.
Mais mon chagrin s’augmente y penſant ſeulement,	Mais mon chagrin s'augmente y pensant seulement,
ADRASTE.	ADRASTE.
Vn tel diſcours me met dedans l’inquietude, Et i’aurois à mon gré beaucoup de promptitude, St j’eſperois des-ja ce que l’on m’a promis.	Un tel discours me met dedans l'inquiétude, Et j'aurais à mon gré beaucoup de promptitude, St j'espérais déjà ce que l'on m'a promis.
Nous ne deuons iamais contraindre nos amis:	Nous ne devons jamais contraindre nos amis:
Quand leur affection nous promet quelque choſe o vpa uons jranment d’auoir la bouche cloſe, Et ſans eſtre importuns leur donner le loiſir.	Quand leur affection nous promet quelque chose ô pa ouvons jranment d'avoir la bouche close, Et sans être importuns leur donner le loisir.
De nous tenir parole & nous faire plaiſir.	De nous tenir parole et nous faire plaisir.
ALCIDON.	ÀLCIDON.
Vous ne croiriez iamais combien il m’eſt ſenſible, De vous auoir promis vne choſe impoßible:	Vous ne croiriez jamais combien il m'est sensible, De vous avoir promis une chose imposible:
Le pounrout juno voir vn peu plus clairement Ce qui doit empeſcher voſtre contentement.	Le pounrout juno voir un peu plus clairement Ce qui doit empêcher votre contentement.
Apprenez que tantoſt en ſortant de la ville, I'ay rencontré de front voſtre Pere Traſile.	Apprenez que tantôt en sortant de la ville, J'ai rencontré de front votre Père Trasile.
ADRASTE.	ADRASTE.
Vous eſtes-vous parlez?	Vous êtes-vous parlez?
dans quelle bumeur eſt-t’il?	dans quelle bumeur est-t-il?
ALCIDON.	ÀLCIDON.
Il me ſieroit fort mal de faire le ſubtil, Et de vous deſguiſer vn ſeul point de l’affaire:	Il me siérait fort mal de faire le subtil, Et de vous déguiser un seul point de l'affaire:
Pour le dire en vn mot, il eſt bien en cholere, Et ſans que mes raiſons l’ont vn peu diuerty, Par l’eſpace au temps que vous eſtes party, par vos yeux, voſtre voix, voſtre poil, voſtre mine, Figurant voſtre taille ou par quelque autre ſigne, ey emana qrua van caſi prauueuenes Qu’il euſt appris peut eſtre où vous eftiez caché.	Pour le dire en un mot, il est bien en colère, Et sans que mes raisons l'ont un peu diverti, Par l'espace au temps que vous êtes parti, par vos yeux, quelque yeux, quelque poil, votre mine, Figurant votre taille ou par quelque autre signe, ei émana qrua van casi prauueuenes Qu'il eût appris peut être où vous eût caché.
ADRASTE.	ADRASTE.
N’a-t’il point ſoupçonné que peur ſuiure ma belle, ’ay quitté ſa maiſon?	N'a-t-il point soupçonné que peur suivre ma belle, ay quitté sa maison?
ALCIDON.	ÀLCIDON.
Il vous croit auec elle, Et par quelque projet qu’il trame dans ſon ſein, douert haus pen de temps tompre vopre neons	Il vous croit avec elle, Et par quelque projet qu'il trame dans son sein, douert haus pen de temps tompre vopre néons
Le moyen?	Le moyen?
ADRASTE.	ADRASTE.
ALCIDON.	ÀLCIDON.
Il pretend, au moins comme ie penſe, Faire eſpouſer Eliſe au riche Pyromance, Vous ſçauez qu’autre fois.	Il prétend, au moins comme une pense, Faire épouser Élise au riche Pyromance, Vous savez qu'autre fois.
ADRASTE.	ADRASTE.
Eftoit-il auec luy?	Était-il auec luy?
ALCIDON.	ÀLCIDON.
Nenny, mais il ma dit qu’il l’attend auiourd’huy, Et que pour acheuer cette prompte entrepriſe -1 Il doiuent dès demain s’en aller chez Eliſe.	Nenni, mais il ma dit qu'il l'attend aujourd'hui, Et que pour achever cette prompte entreprise -1 Il doivent dès demi s'en aller chez Élise.
Adieu ſongez à vous.	Adieu songez à vous.
A4 CINQVIESME.	A4 CINQUIÈME.
ADRASTE.	ADRASTE.
EAu pluſioſi ſonge ?	EAu plusiosi songe ?
̀ toy.	̀ toy.
Songe à ta perfidie, amy laſche, & ſans foy, N’accuſe en mon mal-heur que ta ſeule pareſſe, C’eſt elle ſeulement qui m’oſte ma Maiſtreſſe, Et qui ſans diuertir, Trafile courroucé, Dans ce projet fatal peut eſtre l’as pouſſé.	Songe à ta perfidie, ami lâche, et sans foi, N'accuse en mon malheur que ta seule paresse, C'est elle seulement qui m'ôte ma Maîtresse, Et qui sans divertir, Trafile courroucé, Dans ce projet fatal peut être l'as poussé.
Eliſe s’il eſt vray que ton cœur m’appartienne, S’il eſt vray que ta flame eſt pareille à la mienne, Reſoluons-nous enfin, & ſans plus differer, Preuenons vn deſſein qui nous veut ſeparer.	Élise s'il est vrai que ton cœur m'appartienne, S'il est vrai que ta flamme est pareille à la mienne, Résoluons-nous enfin, et sans plus différer, Prévenons un dessein qui nous veut séparer.
Que les Cieux tous d’vn coup me monſtrent bien leur baine!	Que les Cieux tous d'un coup me montrent bien leur baine!
Pour comble de diſgrace ils me font voir Helene.	Pour comble de disgrâce ils me font voir Hélène.
N'importe;	N'importe;
il faut in prn tomtamnare m douleur, Et ne luy pas monſirer l’effect de mon malheur.	il faut in prn momptamnare m douleur, Et nea luy pas monsirer l'effet de mon malheur.
SIXIESME.	SIXIÈME.
HELENE, ADRATSE,	HELENE, ADRATSE,
HELENE.	HELENE.
Arriuera-t’il bien de faire la cruelle?	Arrivera-t-il bien de faire la cruelle?
M ADRASTE.	M MDRASTE.
Que vous auez d’appas!	Que vous avez d'appas!
vne grace nouuelle Paroiſt depuus tantoſt dans l’eclat de vos yeux!	une grâce nouvelle Paraît dépuus tantôt dans l'éclat de vos yeux!
HELENE.	HELENE.
Quaprefeut fanaſupet poua mne femdiec iayeux, Si ie ne ſçauois bien le malheur qui vous preſſe, I'en douterois, voyant cette feinte allegreſſe:	Quappréfeut fanaspet poua mé femdiec joyeux, Si ie ne savais bien le malheur qui vous presse, J'en douterais, voyant cette feinte allégresse:
Dieux!	Dieux!
quand vn homme veut qu’il dißimule bient	quand un homme veut qu'il dissimule bient
ADRASTE.	ADRASTE.
Vous tenez vn diſcours où ie ne comprends rien.	Vous tenez un discours où tes ne comprends rien.
Sçauroit-elle des-ja la cauſe de ma crainte?	Saurait-elle déjà la cause de ma crainte?
HELENE.	HELENE.
Loing de vous imiter ie vous parle ſans feinte, Sçachez que les deſtins coniurent voſtre mal, L’objet que vous ſeruez ayme voſtre riual, Et ſans conſiderer ce qui la porte au change Aux volontez du ſort ſa volonté ſe range.	Loin de vous imiter votre vous parle sans feinte, Sachez que les destins conjurent votre mal, L'objet que vous servez aime votre rival, Et sans considérer ce qui la porte au change Aux volontés du sort sa volonté se range.
uuun amtitun peumepauumuunon pruaqque luy, Mais on ne peze plus le merite aujourd’huy.	Ouun amtitun peumepauumuunon pruaqque Dieu, Mais on ne pèze plus le mérite aujourd'hui.
ADRASTE.	ADRASTE.
taujurgurjaur lonc vrays?	taujurgurjaur lonc vrais?
ô Cieux qu’elle iniuſtice!	ô Cieux qu'elle injustice!
O rags!	Ô rags!
ô deſeſpoir!	ô désespoir!
HELENE.	HELENE.
Cleonte c'eſt Fabrice, C’eſt luy que ie prefere.	Cléonte c'est Fabrice, C'est-elle que Un préfère.
Il n’a pas entendu, Ie voulois luy nommer ſon riual pretendu.	Il n'a pas entendu, Je voulais Seigneur nommer son rival prétendu.
He n’euſſe creu iamais auec tant de puiſſance Auoir rangé ce cœur ſous mon obtïſſance, Et qu’vn pareil diſcours l’euſt ſi fort eſtonné;	He n'eusse cru jamais avec tant de puissance A rangé ce cœur sous mon obtissance, Et qu'un pareil discours l'eût si fort étonné;
E b!	E b!
l’vtile conſeil qu'Eliſe m'a donné.	l'utile conseil qu'Élise m'a donné.
31	31
SEPTIESME.	SEPTIÈME.
FABRICE, HELENE, IVLIEN.	FABRICE, HELENE, IVLIEN.
2 FABRICE.	2 FABRICE.
Lus ie ratiocine, & plus de ma ceruelle I’exile auec raiſon cette ingratte O cuent, Et veux reſtituer le repos dans mon ſein!	Lus ie ratiocine, et plus de ma cervelle J'exile avec raison cette ingrate Ô cuent, Et veux restituer le repos dans mon sein!
HELENE.	HELENE.
Qu’il vient bien à propos pour ayder mon deſſein, Il faut tout aujourd’huy luy faire bon viſage.	Qu'il vient bien à propos pour aider mon dessein, Il faut tout aujourd'hui toujours faire bon visage.
Hé bien le plus ſçauant de tous ceux de noſtre âge?	Hé bien le plus savant de tous ceux de notre âge?
Eſprit vniuerſel à qui les beaux eſprits, Comme au plus eloquent ont tous quitté le prix, Corps où le Ciel a mis vne ame merueilleuſe;	Esprit universel à qui les beaux esprits, Comme au plus éloquent ont tous quitté le prix, Corps où le Ciel a mis une âme merveilleuse;
Que ie dois eſlimer cette iournée heureuſe, Puiſque ie vous reuoy quand ie n’y ſongeois plus.	Que était dois élimer cette journée heureuse, Puisque tu vous revoi quand notre n'y songeais plus.
FABRICE.	FABRICE.
Mon ame perturbée, & mon eſprit confus Sont en perplexité vous oyant de la ſorte, Ce matin vous auiez le meppris pour eſcoute;	Mon âme perturbée, et mon esprit confus Sont en perplexité vous oyant de la sorte, Ce matin vous aviez le méppris pour écoute;
Vn deſdain inſolit guidoit tous vos diſcours, Voſtre oreille eſtoit ſourde au bruit de mes amours:	Un dédain insolit guidait tous vos discours, Votre oreille était sourde au bruit de mes amours:
Maintenant au moyen d’vn paſſable Prologue, Vous meſme commencez le preſent Dialogue, Qui femble m'indiquer beanconp de paßion, D’où pourroit prouenir cette mutatiou?	Maintenant au moyen d'Han passable Prologue, Vous -même commencez le présent Dialogue, Qui femble m'indiquer béanconp de passion, D'où pourrait provenir cette mutatiou?
HELENE.	HELENE.
Fabrice, il eſt bien vray qu’auec beaucoup d’adreſſe I’ay caché iuſqu’iey la flame qui me preſſe Et ſans faire paroiſtre où s’adreſſoit mes vœux I’ay fait tout mon poßible à te celer mes feux;	Fabrice, il est bien vrai qu'avec beaucoup d'adresse J'ai caché jusqu'y la flamme qui me presse Et sans faire paraître où s'adressait mes vœux J'ai fait tout mon passible à te celer mes feux;
Mais, Fabrice, à la fin l’amour m’ouure la bouche, Et force mon eſprit à n’eſtre plus farouche, Pourutu que ton deſſein ſoit dans l’honneſteté, Ouy tu pourras pretendre à ma pudicité.	Mais, Fabrice, à la fin l'amour m'ouvre la bouche, Et force mon esprit à n'être plus farouche, Pourutu que ton dessein soit dans l'honnêteté, Oui tu pourras prétendre à ma pudicité.
Et par le iuſte effet d’vn lien legitime Poſſeder vn treſor que tout le monde eſtime.	Et par le juste effet d'vn lien légitime Posséder un trésor que tout le monde estime.
FABRICE.	FABRICE.
Pour bien faire quadrer vne comparaiſon, Appellez voſtre amour la Colchique Toiſon Et que pour conquerir vne choſe ſi haute vn apunaun pammne da Sonante.	Pour bien faire quadrer quelque comparaison, Apelez votre amour la Colchique Toison Et que pour conquérir une chose si haute un applaun pamne da Sonante.
HELENE.	HELENE.
L’incomparable Eſprit qui m’entretient icy!	L'incomparable Esprit qui m'entretient ici!
Non, non, mon cher Fabrice aute moms dt ſoucy Vous pouuez poſſeder ce que ie vous preſente.	Non, non, mon cher Fabrice aute moments dt souci Vous pépé posséder ce que ie Rome présente.
FABRICE.	FABRICE.
Ce venuſte viſage en le voyant me tente:	Ce vénusté visage en le voyant me tente:
Mais d’vn autre coſté l’Exorde que pieçà I’auois encommencé quand ſeul on me laiſſa, L’Exorde qui narroit ſi bien tout mon martyre, Que Cupido le Dieu me contraignoit de dire, L’Exorde où ma ſcience auoit accumulé, Les regularitez dont Aphtone a parlé, L’Exorde tout complet des fleurs de l’eloquence, Succinct quand au diſceurs, prolixe en ſa ſubſtan13 L’Exorde.	Mais d'un autre côté l'Exorde que pieçà J'avais encommencé quand seul on me laissa, L'Exorde qui narrait si bien tout mon martyre, Que Cupido le Dieu me contraignait de dire, L'Exorde où ma science avait accumulé, Les régularités dont Aphone a parlé, L'Exorde tout complet des fleurs de l'éloquence, Succinct quand au disceurs, prolixe en sa substan13 L'Exorde.
C’eſt aſſez;	C'est assez ;
on n’auroit iamais fait Si l’on exaggeroit cet exorde parfait.	on n'aurait jamais fait Si l'on exaggerait cet exorde parfait.
C’eſt donc luy qui me fait vilipender vos charmes.	C'est donc Madame qui me fait vilipender vos charmes.
HELENE.	HELENE.
Puis-je point effacer ma faute par mes larmes?	Puis-je point effacer ma faute par mes larmes?
Il eſt vray i’ay failly, maus helas!	Il est vrai j'ai failli, maus hélas!
pourriez vous Contre moy qui vous prie auoir quelque courroux?	pourriez -vous Contre moi qui vous prie avoir quelque courroux?
Moy, dis-je, dont tantoſt la loüange infinie, Par voſtre propre bouche.	Moi, dis-je, dont tantôt la louange infinie, Par votre propre bouche.
FABRICE.	FABRICE.
Ho!	Ho!
c'eſtoit Ironie.	c'était Ironie.
HELENE.	HELENE.
Vranie eſt l’objet à qui vous en voulez?	Vranie est l'objet à qui vous en voulez?
Conſiderez vn peu de qui vous me parlez Eipoiste qai lamemas alalas Eſt ſourde, n’a qu’vn œil.	Considérez un peu de qui vous me parlez Eipoiste qai lamemas alalas Est sourde, n'a qu'un œil.
FABRICE.	FABRICE.
Ah l'estrange Imperice!	Ah l'étrange Impérice!
Ie vous dis lronie, & pour mieux m’expliquer Ironie est alors que l’on ſe veut mocquer.	Je vous dis lronie, et pour mieux m'expliquer Ironie est alors que l'on se veut moquer.
HELENE.	HELENE.
Ce que vous me diſiez n’eſtoit donc qu’vn menſonge?	Ce que vous me disiez n'était donc qu'un mensonge?
FABRICE.	FABRICE.
Pour fomenter le trouble où cet adueu vous plonge, Garder le decorum que requiert mon efprit, Et ſuiure les conſeils que l’ire me preſcrit, Croyez, ſi vous voulez, que ma beneuolence, Et l’amour que i’auois n’eſtoit qu’en apparence.	Pour fomenter le trouble où cet aveu vous plonge, Garder le décorum que requiert mon efprit, Et suivre les conseils que l'ire me prescrit, Croyez, si vous voulez, que ma beneuolence, Et l'amour que j'avais n'était qu'en apparence.
HELENE.	HELENE.
Ah' puiſque vous m’aimiez, n’ayãt plus de rigueur, I’ay quelque eſpoir encor de gagner voſtre cœur.	Ah' puisque vous m'aimiez, n'ayant plus de rigueur, J'ai quelque espoir encor de gagner votre cœur.
FABRIO	FABRIO
FABRICE.	FABRICE.
Mon cœur eſt renforcé d’vne peau plus eſpeſſe Que celle du bouclier du mary de Tecmeſſe Le valeureux Ajax, on bien que celle encor De ſon reformidable Antagoniſte Hectoi:	Mon cœur est renforcé d'une peau plus épesse Que celle du bouclier du mari de Tecmesse Le valeureux Ajax, on bien que celle encor De son réformidable Antagoniste Hectoi:
Enfin pour reſcinder iuſques à la racine Ce deſſein d’amourette où vous induit Cyprine, Et pour rendre extinguible vn fru que i’apperçoy, Ardre plus puiſſamment quand vous parlez à moy, Sçachez que deſormais ie veux mettre en pratique Ce qu'on voyoit eſcrit ſur le Temple Delphique, Gnoti, mais en François on le vertit ainſi, A te cognoiſtre bien colloque ton ſoucy.	Enfin pour rescinder jusques à la racine Ce dessein d'amourette où vous induit Cyprine, Et pour rendre extinguible un fru que j'aperçois, Ardre plus puissamment quand vous parlez à moi, Sçachez que désormais ie veux mettre en pratique Ce qu'on voyait écrit sur le Temple Delphique, Gnoti, mais en Français on le vertit ainsi, À te colloque ton colloque ton souci.
HELENE.	HELENE.
C’eſt par cette raiſon que mon feu continuë.	C'est par cette raison que mon feu continue.
Ie ſçay ce que ie ſuis, & qu’à ma ſeule veuë Les moins ſenſibles cœurs ſont reduits aux abois, Que i’oblige vn chacun à respecter mes loix, Que d’vn ſeul de mes traits, d’vn clin d’œil, d’vne œillade, Si l’on n’en meurt, du moins on en eſt bien malade:	Je sais ce que ie suis, et qu'à ma seule vue Les moins sensibles cœurs sont réduits aux abois, Que j'oblige un chacun à respecter mes lois, Que d'un seul de mes traits, d'un clin d'œil, d'une œillade, Si l'on n'en meurt, du moins on en est bien malade:
Que ie fais des captifs de toutes les façons, Agreables malfaits, ieunes, vieillards garçons;	Que ie fais des captifs de toutes les façons, Agréables malfaits, jeunes, vieillards garçons;
Enfin ſçachãt fort bien que ma puiſſance eſt grande Et qu’il faut conſentir à ce que ie demande, Fabrice ſeul voudroit ne me pas ob ï?	Enfin sçachãt fort bien que ma puissance est grande Et qu'il faut consentir à ce que ie demande, Fabrice seul voudrait ne me pas ob ?
FABRICE.	FABRICE.
Repos, duquel ie veux d’oreſnauant iouïr, Douce tranquillité, tranquille ſolitude, Et vous graues autheurs qu’on voit dãs mon eſlude, Demoſthene, Iſocrate, Ariſtote, Platon, Vous par qui nous ſçauons quel eſtoit Phaëton, Dont le ſlile eſt diſcret autant qu’il eſt fluide, Mon cher Vade mecum, inimitable Quide.	Repos, duquel nom veux d'oresnavant jouir, Douce tranquillité, tranquille solitude, Et vous graves auteurs qu'on voit dans mon élude, Demosthene, Isocrate, Aristote, Platon, Vous par qui nous Savons quel était Phaéton, Dont le slile est discret autant qu'il est fluide, Mon cher Vade mecum, inimitable Quide.
Vous Homere, Virgile, Horace, Iuuenal, Vous de toutes vertus ſeul & docte fanal.	Vous Homère, Virgile, Horace, Juenal, Vous de toutes vertus seul et docte fanal.
Cheroneen Plutarque, & vous Cardan, l’Eſcale, Quintilien, Varron, Accurſe, Laurens Valle, Tite-Liue, Polybe, Ælian, Copernic:	Chéroneen Plutarque, et vous Cardan, l'Écale, Quintilien, Varron, Accurse, Laurens Valle, TiteLive, Polybe, Ælian, Copernic:
Zonare, Triſmegiſle, Euſebe, Sabellie, Denis d’Halicarnaſſe, Arnobe, Paul Oroſe, Ioſephe, Marc Aurele, Ægeſippe, Beroſe, Lactance, Anacreon, Quinte-Curce, Appian, Saluſte, Philon Iuif, Lampride, Herodian.	OZonare, Trismegisle, Eusebe, Sabellie, Dénis d'Halicarnasse, Arnobe, Paul Orose, Iosephe, Marc Rele, Ægesippe, Bérose, Lactance, Anacreon, Quinte-Curce, Apian, Saluste, Philon Iuif, Lampride, Hérodian.
Paul Ioue, Xenophon, Pline, Athenée, Eutrope, Sidoine Apollinaire, Herodote, Procope, Nicephore, Iofippe, Origene, Solin, Pompone Geographe, Lucian, Marcellin, Thucidide, Strabon, Lucian, Calcondilé, Volattran, Munſter, Polidore Virgile, Et mille autres encor dont les eſcrits diuers, Sont de Philoſopbie, ou de Proſe ou de Vers, Par vos ſages conſeils, O pradente cohorte, A voſtre nourriſſon venez preſter main forte!	Paul Ioue, Xenophon, Pline, Athénée, Eutrope, Sidoine Apollinaire, Hérodote, Procope, Nicephore, Iofipe, Srigène, Solin, Pompone Geographe, Lucian, Marcellin, Thucidide, Strabon, Lucian, Calcondilé, Volâtran, Munster, Polidore Virgile, Et mille autres encor dont les écrits divers, Sont de Philosoppie, ou de Prose ou de Vers, Par vos sages conseils, Ô trente cohorte, A vôtre nourrisson venez prêter main forte!
Helene, C’en eſt fait cette inuocation Semble corroborer ma reſolution, Vous eſtes odieuſe, & ſans qu’on vous eſçoute, Sçachez qu’à Cupidon mon cœur fait banqueroute.	Hélène, C'en est fait cette invocation Semble corroborer ma résolution, Vous êtes odieuse, et sans qu'on vous esçoute, Sachez qu'à Cupidon mon cœur fait banqueroute.
Vous!	Vous!
HELENE.	HELENE.
FABRICE.	FABRICE.
Point de repartie.	Point de répartie.
Apprenez ſeulement, Qui i’imite en cecy voſtre tempetament.	Apprenez seulement, Qui j'imite en ceci votre tempétament.
Ie dis celuy tantoſt où vous eſiiez encline, Vous eſtiez Myſantrope, & ie ſuis Myſogine.	Je dis celui tantôt où vous esiiez encline, Vous étiez Mysantrope, et ton suis Mysogine.
Myſogine?	Mysogine?
HELENE.	HELENE.
FABRICE.	FABRICE.
Et de peur qu’il ne me faluſt voir Quelque prompt reſultat de voſtre deſeſpoir, Adieu femel eſprit.	Et de peur qu'il ne me fallût voir Quelque prompt résultat de votre désespoir, Adieu fel esprit.
HELENE.	HELENE.
O l'humeur ridicule Qui n’a pas apperceu comme ie dißimule, Mais ſon valet demeure.	Ô l'humeur ridicule Qui n'a pas aperçu comme ils dissimule, Mais son valet demeure.
HVICTIESME.	HVICTIESME.
HELENE, IVLIEN.	HELENE, IVLIEN.
HELENE.	HELENE.
Es Proche Iulien, Pourquoy ne ſuis tu pas ton Paiſtre?	Es Proche Julien, Pourquoi ne suis -tu pas ton Paître?
IVLIEN.	IVLIEN.
Ab!	Ab!
ie voy bien Que vous ne ſçauez pas noſtre mauuau meſnage.	Ne vois bien Que vous ne savez pas notre mauvau minage.
Ta t’il battu?	Ta -t-il battu?
HELENE.	HELENE.
IVLIEN.	IVLIEN.
Nenny.	Nenni.
HELENE.	HELENE.
Que i'a t'ilfait:	Que j'a t'ilfait:
IVLIEN.	IVLIEN.
I'eurage Que mon malheur eſt facile hutmae, Vous ne le aiſiez point.	J'eurage Que mon malheur est facile hutmae, Vous ne le aisiez point.
HELENE.	HELENE.
T’auroit-il fait ieuner?	T'aurait-il fait jeûner?
IVLIEN.	IVLIEN.
Par le ſon de ma voix foible, caſſe, languide, Mon eſtomach s'exclame & vous dit qu’il eſt vuide,	Par le son de ma voix faible, casse, languide, Mon estomacach s'exclame et vous dit qu'il est vide,
HELENE.	HELENE.
Quoy tu n’as point mangé d’aujourd'huy?	Quoi tu n'as point mangé d'aujourd'hui?
IVLIEN.	IVLIEN.
I'aurois tort Si i’auois hier mangé de me plaindre ſi fort.	J'aurais tort Si j'avais hier mangé de me plaindre si fort.
Phœbus entierement a fait deux fois ſa courſe Par le chemin qui va du Capricorne à l’Ourſe, Et deſſus ce c’imat s’eſt fait paroiſtre bis, e pmjeuu luomunec ſes beaux babits, Sans qu’il ſoit rien entré dans l’eſtuy de mon ame,	Phœbus entièrement a fait deux fois sa course Par le chemin qui va du Capricorne à l'Ourse, Et dessus ce c'imat s'est fait paraître bis, e pmjeuu luomunec ses beaux babits, Sans qu'il soit rien entré dans l'étui de mon âme,
HELENE.	HELENE.
Quoy Iulien eſt docte,	Quoi Julien est docte,
IVLIEN.	IVLIEN.
Ab!	Ab!
pleuſt à Dieu, Madams, Que ie fuſſe moins docte, ou mieux alimenté;	pleut à Dieu, Madams, Que ie fusse moins docte, ou mieux alimenté;
Ie ſçay ce qu’vn bon mot à la fin m’a couſté, Et mon Meistre eſt ialoux de voir que ma ſcience Marche deuant la fienné auec preéminence.	Je sais ce qu'un bon mot à la fin m'a coûté, Et mon Meistre est jaloux de voir que ma science Marche devant la fienné avec preéminence.
HELENE.	HELENE.
Parle plus clairement.	Parle plus clairement.
IVLIEN.	IVLIEN.
Auez vous entendu.	Avez -vous entendu.
Que tantoſt, comme il dit, ie me ſois confondu?	Que tantôt, comme il dit, je me sois confondu?
Ne diſcourois-ie pas, mais auec energie, Sur le premier moteur dont nostre ame est regie?	Ne discourais-je pas, mais ainsi énergie, Sur le premier moteur dont notre âme est régie?
Et mon principe eſtant par vne fiction, Ne reſpondois- ie pas ſur vne obiection?	Et mon principe étant par une fiction, Ne répondais- ie pas sur une objet?
Toutefois à grand peine estions-nous au College, Qu’il m’a nommé peu docte, ignorant, ſacrilege.	Toutefois à grand peine étions-nous au Collège, Qu'il m'a nommé peu docte, ignorant, sacrilège.
Peu docte pource que ſans aucun fondement.	Peu docte pource que sans aucun fondement.
Mais quel beſoin est-il de ce dénombrement?	Mais quel besoin est-il de ce dénombrement?
En vn mot ie n’ay peu ſaouler ma faim extréme.	En un mot ici n'ai peu saouler ma faim extrême.
HELENE.	HELENE.
Tu le voyois diſner?	Tu le voyais dîner?
IVLIEN.	IVLIEN.
Il a ieuſné luy-meſme:	Il a jeûné avoir-même:
