TREIACI	TREICI
Ma Fille dans Argos couroit pleurer ſa honte.	Ma Fille dans Argos courait pleurer sa honte.
Mais lui meſme étonné d’une fuite ſi pronte, Par combien de ſermens, dont je n’ay pû douter, Vient-il de me convaincre, & de nous arreſter?	Mais lui -même étonné d'une fuite si prompte, Par combien de serments, dont je n'ai pu douter, Vient-il de me convaincre, et de nous arrêter?
Il preſſe cet hymen, qu’on pretend qu’il differe, Et vous eſerdhe ordiant d amour &decole, Preſt d’impoſer ſilence à ce bruit impoſteur, Achille en veut connoiſtre & confondre l’auteur.	Il presse cet hymen, qu'on prétend qu'il diffère, Et vous éterdhe ordiant d amour etdecole, Prêt d'imposer silence à ce bruit imposteur, Achille en veut connaître et confondre l'auteur.
Banniſſez ces ſoupçons qui troubloient noſtre joye.	Bannissez ces soupçons qui troublaient notre joie.
AGAMEMNON.	AGAMEMNON.
Madame, c’eſt aſſez.	Madame, c'est assez.
Je conſens qu’on le croye.	Je consens qu'on le croie.
Je reconnois l’erreur qui nous avoit ſeduits, Et reſſens voſtre joye autant que je le puis.	Je reconnais l'erreur qui nous avait séduits, Et ressens votre joie autant que je le puis.
Vous voulez que Calchas l’uniſſe à ma Famille, Vous pouvez à l’Autel envoyer voſtre Fille.	Vous voulez que Calchas l'unisse à ma Famille, Vous pouvez à l'Autel envoyer votre Fille.
le l’attens.	le l'attends.
Mais avant que de paſſer plus loin, J’ay voulu vous parler un moment ſans teſmoin.	Mais avant que de passer plus loin, J'ai voulu vous parler un moment sans témoin.
Vous voyez en quels lieux vous l’avez amenée.	Vous voyez en quels lieux vous l'avez amenée.
Tout y reſſent la Guerre, & non point l’Hymenée.	Tout y ressent la Guerre, et non point l'Hyménée.
Le tumulte d’un Camp, ſoldats, & matelots, Un Autel heriſſé de dards, de javelots, Tout ce ſpectacle enfin, pompe digne d’Achille, Pour attirer vos yeux n’eſt point aſſez tranquille, Et les Grecs y verroient l’Epouſe de leur Roy Dans un eſtat indigne & de vous & de moy.	Le tumulte d'un Camp, soldats, et matelots, Un Autel hérissé de dards, de javelots, Ce Tout spectacle enfin, pompe digne d'Achille, Pour attirer vos yeux n'est point assez tranquille, Et les Grecs y verraient l'Épouse de leur Roi Dans un état indigne et de vous et de moi.
ui uihchomemioudi lien deton fenimes ſuivie A cet hymen ſans vous marcher Iphigenie.	Oui hchomemioudi lien déton fenimes suivie À cet hymen sans vous marcher Iphigénie.
CLYTEMNESTRE.	CLYTEMNESTRE.
Qui moy?	Qui moi?
Que remettant ma fille en d’autres bras Ce que j’ay commencé je ne l’acheve pas?	Que remettant ma fille en d'autres bras Ce que j'ai commencé je ne l'acheve pas?
Qu’apres l’avoir d’Argos amenée en Aulide, Je refuſe à l’Autel de lui ſervir de guide?	Qu'après l'avoir d'Argos amenée en Aulide, Je refuse à l'Autel de lui servir de guide?
Dois-je donc de Guienas eltre mom pres que vous ?	Dois-je donc de Guienas elletre moment pres que vous ?
Et qui preſentera ma Fille à ſon Epoux?	Et qui présentera ma Fille à son Époux?
Quelle autre ordonnera cette pompe ſacrée?	Quelle autre ordonnera cette pompe sacrée?
AGAMEMNON.	AGAMEMNON.
Vous n’eſtes point icy dans le Palais d’Atrée.	Vous n'êtes point ici dans le Palais d'Atrée.
Vous eſtes dans un Camp.	Vous êtes dans un Camp.
CLYTEMNESTRE.	CLYTEMNESTRE.
Où tout vous eſt ſoûmis, Où le ſort de l’Aſie en vos mains eſt remis, Ou je voy lous vos lois marcher la Grece entière, Où le Fils de Thetis va m’appeller ſa Mere.	Où tout vous est soumis, Où le sort de l'Asie en vos mains est remis, Ou je vois lous vos lois marcher la Grèce entière, Où le Fils de Thétis va m'appeler sa Mère.
Dans quel Palais ſuperbe & plein de ma grandeur, Puis-je jamais paroiſtre avec plus de ſplendeur?	Dans quel Palais superbe et plein de ma grandeur, Puis-je jamais paraître avec plus de splendeur?
A GAMEMNON.	À GAMEMNON.
Madame, au nom des Dieux auteurs de noſtre Race Daignez à mon amour accorder cette grace.	Madame, au nom des Dieux auteurs de notre Race Daignez à mon amour accorder cette grâce.
J ay iles railons.	J ai iles railons.
CLITEMNESTRE.	CLITEMNESTRE.
Seigneur, au nom des meſmes Dieux, D’un ſpectacle ſi doux ne privez point mes yeux, Daignez ne point icy rougir de ma préſence.	Seigneur, au nom des mêmes Dieux, D'un spectacle si doux ne privez point mes yeux, Daignez ne point ici rougir de ma présence.
AGAMEMNON.	AGAMEMNON.
J’avois plus eſperé de voſtre complaiſance.	J'avais plus espéré de votre complaisance.
Mais puis que la raiſon ne vous peut émouvoir, Puis qu’enfin ma priere à ſi peu de pouvoir;	Mais puis que la raison ne vous peut émouvoir, Puis qu'enfin ma prière à si peu de pouvoir;
Vous avez entendu ce que je vous demande, Madame.	Vous avez entendu ce que je vous demande, Madame.
Je le veux, & je vous le commande.	Je le veux, et je vous le commande.
Obeiſſez.	Obeissez.
22248222222*1*2Α248482844	22248222222*1*2Α248482844
SCENE II.	SCÈNE II.
CLYTEMNESTRE, ſeuleD’Où vient que d’un ſoin ſi cruel L’injuſte Agamemnon m’eſcarte de l’Autel?	CLYTEMNESTRE, seuleD'Où vient que d'un soin si cruel D'injuste Agamemnon m'écarte de l'Autel?
Fier de ſon nouveau rang m’oſe-t-il mèconnoiſtre?	Fier de son nouveau rang m'ose-t-il mèconnoistre?
Me croit-il à ſa ſuite indigne de paroiſtre?	Me croit-il à sa suite indigne de paraître?
Ou de l’empire encor timide poſſeſſeur, N’oſeroit-il d’Helene icy montrer la Sœur?	Ou de l'empire encor timide possesseur, N'oserait-il d'Helene ici montrer la Sœur?
Et pourquoy me cacher?	Et pourquoi me cacher?
& par quelle injuſtice Faut-il que ſur mon front ſa honte rejalliſſe?	et par quelle injustice Faut-il que sur mon front sa honte rejaillisse?
Mais n’importe.	Mais n'importe.
Il le veut, & mon cœur s’y reſout.	Il le veut, et mon cœur s'y résout.
Ma Fille, ton bonheur me conſolé dé tout.	Ma Fille, ton bonheur me consolé de tout.
Le Ciel te donne Achille, & ma joye eſt extréme De t’entendre nommer.	Le Ciel te donne Achille, et ma joie est extrême De t'entendre nommer.
Man le roley lar meſme.	Man le roley lar même.
SCENE III.	SCÈNE III.
ACHILLE, CLYTEMNESTRE.	ACHILLE, CLYTEMNESTRE.
ACHILLE.	ACHILLE.
Out ſuccede, Madame, à mon empreſſement, I Le Roy n’a point voulu d’autre eſclairciſſeinent.	Out succède, Madame, à mon empressement, I Le Roi n'a point voulu d'autre éclaircisseinent.
Il en croit mes tranſports.	Il en croit mes transports.
Et ſans preſque m’entendre Il vient en m’embraſſant de m’accepter pour Gendre Il ne m’a dit qu’un mot.	Et sans presque m'entendre Il vient en m'embrassant de m'accepter pour Gendre Il ne m'a dit qu'un mot.
Mais vous a-t’il conté Quel bonheur dans le Camp vous avez apporté ?	Mais vous a-t-il conté Quel bonheur dans le Camp vous avez apporté ?
Les Dieux vont s’appaiſer.	Les Dieux vont s'apaiser.
Du moins Calchas puble Qu’avec eux dans une heure il nous reconcilie, Que Neptune & les Vents, preſts à nous exaucer, N’attendent que le ſang que ſa main va verſer.	Du moins Calchas puble Qu'avec eux dans une heure il nous reconcilie, Que Neptune et les Vents, prêts à nous exaucer, N'attendent que le sang que sa main va verser.
Déja dans les Vaiſſeaux la voile ſe déploye.	Déjà dans les Vaisseaux la voile se déploie.
Déja ſur ſa parole ils ſe tournent vers Troye.	Déjà sur sa parole ils se tournent vers Troie.
Pour moy, quoy que le Ciel, au gré de mon amour, Duſt encore des vents retarder le retour, Que je quitte à regret la Rive fortunée Où je vais allumer les flambeaux d’Hymenée;	Pour moi, quoi que le Ciel, au gré de mon amour, Dût encore des vents retarder le retour, Que je quitte à regret la Rive fortunée Où je vais allumer les flambeaux d'Hyménée;
Puis-je ne point cherir l’heureuſe occaſion D’aller du ſang Troyen ſceller noſtre union, Et de laiſſer bientoſt ſous Troye enſevelie Le deshonneur d’un nom, à qui le mien s’allie.	Puis-je ne point chérir l'heureuse occasion Daller du sang Troyen sceller notre union, Et de laisser bientôt sous Troie ensevelie Lé honneur d'un nom, à qui le mien s'allie.
SCENE IV.	SCÈNE IV.
ACITLLE, CLI IEMNLSTRE, IPHIGENIE, ERIPHILE, DORIS, ÆGINE.	ACITLE, CLI JEMNLSTRE, IPHIGENIE, ERIPHILE, DORIS, ÊGINE.
ACHILLE.	ACHILLE.
DRinceſſe, mon bonheur ne dépend que de vous.	DRincesse, mon bonheur ne dépend que de vous.
T'Voſtre Pere à l’Autel vous deſtine un Eſpoux.	T'Vostre Père à l'Autel vous destine un Époux.
Venez y recevoir un cœur qui vous adore.	Venez y recevoir un cœur qui vous adore.
IPHIGENIE.	IPHIGENIE.
Seigneur, il n’eſt pas temps que nous partions encore.	Seigneur, il n'est pas temps que nous partions encore.
La Reine permettra que j’oſe demander Un gage à voſtre amour, qu’il me doit accorder.	La Reine permettra que j'ose demander Un gage à votre amour, qu'il me doit accorder.
Ie viens vous preſenter une jeune Princeſſe.	Je viens vous présenter une jeune Princesse.
Le Ciel a ſur ſon front imprimé ſa nobleſſe.	Le Ciel a sur son front imprimé sa noblesse.
De larmes tous les jours ſes yeux ſont arroſez.	De larmes tous les jours ses yeux sont arrosés.
Vous ſçavez ſes malheurs, vous les avez cauſez.	Vous savez ses malheurs, vous les avez causés.
Moy meſme (où m’emportoit une aveugle colere !	Moi -même (où m'emportait une aveugle colère !
J’ay tantoſt ſans reſpect affligé ſa miſere.	J'ai tantôt sans respect affligé sa misère.
Que ne puis-je auſſi bien par d’utiles ſecours Reparer promtement mes injuſtes diſcours!	Que ne puis-je aussi bien par d'utiles secours Réparer promtement mes injustes discours!
Jeluy preſte ma voix, je ne puis davantage.	Jelui prête ma voix, je ne puis davantage.
Vous ſeul pouvez, Seigneur, détruire voſtre ouvrage.	Vous seul pouvez, Seigneur, détruire votre ouvrage.
Elle eſt voſtre Captive, & ſes fers que je plains, Quand vous l’ordonnerez tomberont de ſes mains.	Elle est votre Captive, et ses fers que je plains, Quand vous l'ordonnerez tomberont de ses mains.
Commencez donc par là cette heureuſe journée.	Commencez donc par là cette heureuse journée.
Qu’elle puiſſe à nous voir n’eſtre plus condannée.	Qu'elle puisse à nous voir n'être plus condamnée,
Montrez que je vais ſuivre au pied de nos Autels Un Roy, qui non content d’effrayer les Mortels, A des embrazemens ne borne point ſa gloire, Laiſſe aux pleurs d’une Eſpouſe attendrir ſa Victoire, Et par les Malheureux quelquefois deſarmé Sçait imiter en tout les Dieux qui l’ont formé.	Montrez que je vais suivre au pied de nos Autels Un Roi, qui non content d'effrayer les Mortels, À des embrasements ne borne point sa gloire, Laisse aux pleurs d'une Épouse attendrir sa Victoire, Et par les Malheureux quelquefois désarmé Sait imiter en tout les Dieux qui l'ont formé.
ERIPHILE.	ERIPHILE.
Ouy, Seigneur, des douieurs ſoulagez la plus vive.	Oui, Seigneur, des douieurs soulagez la plus vive.
La guerre dans Leſbos me fit voſtre Captive.	La guerre dans Lesbos me fit votre Captive.
Mais c’eſt pouſſer trop loin ſes droits injurieux, Qu’y joindre le tourment que je ſouffre en ces lieux.	Mais c'est pousser trop loin ses droits injurieux, Qu'y joindre le tourment que je souffre en ces lieux.
ACHILLE.	ACHILLE.
Vous, Madame?	Vous, Madame?
ERIPHILE.	ERIPHILE.
Ouy, Seigneur, & ſans conter le reſte, Pouvez vous m’impoſer une loy plus funeſte, Que de rendre mes yeux les triſtes ſpectateurs De la felicité de mes perſecuteurs?	Oui, Seigneur, et sans conter le reste, Pouvez -vous m'imposer une loi plus funeste, Que de rendre mes yeux les tristes spectateurs De la félicité de mes persécuteurs?
J’entens de toutes parts menacer ma Patrie.	J'entends de toutes parts menacer ma Patrie.
je voy marcher contre elle une Armée en furie.	je vois marcher contre elle une Armée en furie.
Ie voy de-ja l’Hymen, pour mieux me déchirer, Mettre en vos mains le feu qui la doit dévorer.	Je vois déjà l'Hymen, pour mieux me déchirer, Mettre en vos mains le feu qui la doit dévorer.
Souffrez que loin du Camp, & loin de voſtre veuë, Toûjours infortunée, & toûjours inconnuë;	Souffrez que loin du Camp, et loin de votre vue, Toujours infortunée, et toujours inconnue;
J’aille cacher un ſort ſi digne de pitié, Et dont mes pleurs encor vous taiſent la moitié.	J'aille cacher un sort si digne de pitié, Et dont mes pleurs encor vous taisent la moitié.
ACHILLE.	ACHILLE.
C’eſt trop, belle Princeſſe.	C'est trop, belle Princesse.
Il ne faut que nous ſuivre Venez, qu’aux yeux des Grecs Achille vous délivre Et que le doux moment de ma felicité Soit le moment heureux de voſtre liberté.	Il ne faut que nous suivre Venez, qu'aux yeux des Grecs Achille vous délivre Et que le doux moment de ma félicité Soit le moment heureux de votre liberté.
SCENE V.	SCÈNE V.
CLYTEMNESTRE, ACHILLE IPHIGENIE, ERITHILE, ARCAS, ÆGINE, DORIS.	CLYTEMNESTRE, ACHILLE IPHIGENIE, ERITHILE, ARCAS, GINE, DORIS.
ARCAS.	ARCAS.
Adame, tout eſt preſt pour la Ceremonie.	Adame, tout est prêt pour la Céremonie.
M Le Roy prés de l’Autel attend Iphigenie.	M Le Roi près de l'Autel attend Iphigénie.
Je viens la demander.	Je viens la demander.
Ou pluſtoſt contre luy, Beignieur, je rienis pour enc impiorer-voſtre appui.	Ou plutôt contre autre, Beignieur, je rienis pour enc impiorer-votre appui.
ACHILLE.	ACHILLE.
Aicas, que dites vous ?	Aicas, que dites -vous ?
CLYTEMNESTRE.	CLYTEMNESTRE.
Dieux!	Dieux!
Que vient-il m’apprendre?	Que vient-il m'apprendre?
ARCAS à Achille.	ARCAS à Achille.
Je ne voy plus que vous qui la puiſſe défendre.	Je ne vois plus que vous qui la puisse défendre.
Contre qui?	Contre qui?
ACHILLE.	ACHILLE.
ARCAS.	ARCAS.
Je le nomme, & l’accuſe à regret, Autant que je l’ay pû, j’ay gardé ſon ſecret.	Je le nomme, et l'accuse à regret, Autant que je l'ai pu, j'ai gardé son secret.
Mais le fer, le bandeau, la flamme eſt toute preſte, Duſt tout cet appareil retomber ſur ma teſte, Il faut parler.	Mais le fer, le bandeau, la flamme est toute prête, Dût tout cet appareil retomber sur ma tête, Il faut parler.
EMNESTRE.	EMNESTRE.
Je tremble.	Je tremble.
Expliquez vous, Arcas,	Expliquez -vous, Arcas,
MeMILLE.	MeMILE.
Qui que ce ſoit, parlez, & ne le craignez pas.	Qui que ce soit, parlez, et ne le craignez pas.
ARCAS.	ARCAS.
Vous eſtes ſon Amant, & vous eſtes ſa Mere, Gardez vous d’envoyer la Princeſſe a ſon Pere.	Vous êtes son Amant, et vous êtes sa Mère, Gardez vous d'envoyer la Princesse à son Père.
CLYTEMNESTRE.	CLYTEMNESTRE.
touquey ſeuuſenrous;	touquei seuenrous;
ACHILLE.	ACHILLE.
Pourquoy m’en défier.	Pourquoi m'en défier.
ARCAS.	ARCAS.
Il l’attend à l’Autel pour la ſacrifier.	Il l'attend à l'Autel pour la sacrifier.
Luy!	Lui!
ACHILLE.	ACHILLE.
CEITEMNESTRE.	CEITEMNESTRE.
Sa Fille!	Sa Fille!
IPHIGENIE.	IPHIGENIE.
Mon Pere!	Mon Père!
ERIPHILE.	ERIPHILE.
O ciel!	Ô ciel!
quelle nouvelle!	quelle nouvelle!
ACHILLE.	ACHILLE.
1 Quelle aveugle fureur pourroit l’armer contre elle?	1 Quelle aveugle fureur pourrait l'armer contre elle?
Le diſcours ſans horreur ſe peut-il écouter?	Le discours sans horreur se peut-il écouter?
ARCAS.	ARCAS.
inl, Seigneur!	inl, Seigneur!
pluſt au ciel que je puſſe en douter.	plût au ciel que je pusse en douter.
Par la voix de Galchas l’Ora le la demande.	Par la voix de Galchas l'Ora le la demande.
De toute autre Victime il refuſe l’offrande.	De toute autre Victime il refuse l'offrande.
Et les Dieux, juſques-là protecteurs de Paris, Ne nous promettent Troye & les Vents qu’à ce prix.	Et les Dieux, jusque-là protecteurs de Paris, Ne nous promettent Troie et les Vents qu'à ce prix.
CLYTEMNESTRE.	CLYTEMNESTRE.
les Dieux ordonneroient un meurtre abominable?	les Dieux ordonneraient un meurtre abominable?
IPHIGENIE.	IPHIGENIE.
Ciel!	Ciel!
pour tant de rigueur dequoy ſuis-je coupable?	pour tant de rigueur dequoy suis-je coupable?
CLY TEMNESTRE.	CLY TEMNESTRE.
Ie ne m’étonne plus de cet ordre cruel Qui m’avoit interdit l’approche de l’Autel.	Je ne m'étonne plus de cet ordre cruel Qui m'avait interdit l'approche de l'Autel.
121ODNVIDMMemitie.	121ODNVIDMemitie.
Et voila donc l’hymen où j’eſtois deſtinée.	Et voilà donc l'hymen où j'étais destinée.
ARCAS.	ARCAS.
Lé Roy pour vous tromper feignoit cet hymenée.	Lé Roi pour vous tromper feignait cet hyménée.
Tout le Camp meſme encore eſt trompé comme vous	Tout le Camp même encore est trompé comme vous
CLYTEMNESTRE.	CLYTEMNESTRE.
nuigneur;	nuigneur;
c ent done a moy d'emoruner vos genour	ç ent one à moi d'émoruner vos genour
ACHILLE la relevant.	ACHILLE la relevant.
Ah, Madame!	Ah, Madame!
CLYTEMNESTRE.	CLYTEMNESTRE.
Oubliez une gloire importune.	Oubliez une gloire importune.
Ce triſte abaiſſement convient à ma fortune.	Ce triste abaissement convient à ma fortune.
Heureuſe ſi mes pleurs vous peuvent attendrir, Une Mere à vos piez peut tomber ſans rougir.	Heureuse si mes pleurs vous peuvent attendrir, Une Mère à vos pieds peut tomber sans rougir.
C’eſt voſtre Epouſe, helas!	C'est votre Épouse, hélas!
qui vous eſt enlevée.	qui vous est enlevée.
Dans cet heureux eſpoir je l’avois élevée.	Dans cet heureux espoir je l'avais élevée.
C’eſt vous que nous cherchions ſur ce funeſte bord, Et voſtre nom, Seigneur, la conduit à la mort.	C'est vous que nous cherchions sur ce funeste bord, Et votre nom, Seigneur, la conduit à la mort.
Ira-t’elle des Dieux implorant la juſtice Embraſſer leurs Autels parez pour ſon ſupplice?	Ira-t-elle des Dieux implorant la justice Embrasser leurs Autels parez pour son supplice?
Elle n’a que vous ſeul.	Elle n'a que vous seul.
Vous eſtes en ces lieux Son Pere, ſon Epoux, ſon Azile, ſes Dieux.	Vous êtes en ces lieux Son Père, son Époux, son Azile, ses Dieux.
Je ly dans vos regards la douleur qui vous preſſe.	Je li dans vos regards la douleur qui vous presse.
Auprés de voſtre Epoux, ma Fille, je vous laiſſe.	Auprès de votre Époux, ma Fille, je vous laisse.
Seigneur, daignez m’attendre, & ne la point quitter A mon perfide Epoux je cours me preſenter.	Seigneur, daignez m'attendre, et ne la point quitter À mon perfide Époux je cours me présenter.
Il ne ſoûtiendra point la fureur qui m’anime.	Il ne soutiendra point la fureur qui m'anime.
Il faudra que Calchas cherche une autre Victime.	Il faudra que Calchâ che une autre Victime.
Ou ſi je ne vous puis dérober à leurs coups, Ma Fille, ils pourront bien m’immoler avant vous,	Ou si je ne vous puis dérober à leurs coups, Ma Fille, ils pourront bien m'immoler avant vous,
SCENE VI.	SCÈNE VI.
ACHILLE, IPMIGENIE.	ACHILLE, IPMIGENIE.
ACHILLE.	ACHILLE.
Adame, je me tais, & demeure immobile.	Adame, je me tais, et demeure immobile.
MEſt-ce à moy que l’on parle, & connoiſt-on Achille?	MEst-ce à moi que l'on parle, et connaît-on Achille?
Ine Mere pour vous croit devoir me prier.	Ine Mère pour vous croit devoir me prier.
Jne Reine à mes piez ſe vient humilier, Et me deshonnorant par d’injuſtes allarmes Pour attendrir mon cœur on a recours aux larmes.	Jne Reine à mes pieds se vient humilier, Et me déshonorant par d'injustes alarmes Pour attendrir mon cœur on a recours aux larmes.
Qui doit prendre à vos jours plus d’intereſt que moy?	Qui doit prendre à vos jours plus d'intérêt que moi?
Ah!	Ah!
ſans doute on s’en peut repoſer ſur ma foy.	sans doute on s'en peut reposer sur ma foi.
l’outrage me regarde.	l'outrage me regarde.
Et quoy qu’on entreprenne, Ie répons d’une vie, où j’attache la mienne.	Et quoique qu’on entreprenne, Je réponds d'une vie, où j'attache la mienne.
Mais ma juité douleur va plus loin m’engager.	Mais ma juité douleur va plus loin m'engager.
C’eſt peu de vous défendre, & je cours vous vanger, et punir a la fois le cruel ſtratagème Qui s’oſe de mon nom armer contre vous meſme.	C'est peu de vous défendre, et je cours vous venger, et punir a la fois le cruel stratagème Qui s'ose de mon nom armer contre vous -même.
IPHIGENIE.	IPHIGENIE.
lh!	lh!
demeurez, Seigneur, & daignez m’écouter.	demeurez, Seigneur, et daignez m'écouter.
ACHILLE.	ACHILLE.
Quoy, Madame, un Barbare oſera m’inſulter?	Quoi, Madame, un Barbare osera m'insulter?
voit que de ſa Sœur je cours vanger l’outrage.	voit que de sa Sœur je cours venger l'outrage.
l ſçait que le premier lui donnant mon ſuffrage e le fis nommer chef de vingt Rois ſes Rivaux.	l' ait que le premier lui donnant mon suffrage e le fis nommer chef de vingt Rois ses Rivaux.
it pour fruit de mes ſoins, pour fruit de mes travaux, 'our tout le prix enfin d’une illuſtre victoire, Qui le doit enrichir, vanger, combler de gloire;	U pour fruit de mes soins, pour fruit de mes travaux, 'our tout le prix enfin une illustre victoire, Qui le doit enrichir, vanger, combler de gloire;
Content & glorieux du nom de voſtre Eſpoux e ne lui demandois que l’honneur d’eſtre à vous.	Content et glorieux du nom de votre Époux ne lui demandais que l'honneur d'être à vous.
Cependant aujourdhuy ſanguinaire parjure, C’eſt peu de violer l’amitié, la nature C’eſt peu que de vouloir ſous un couſteau mortel Me montrer voſtre cœur fumant ſur un autel.	Cependant aujourdhuy sanguinaire parjure, C'est peu de violer l'amitié, la nature C'est peu que de vouloir sous un couteau mortel Me montrer votre cœur fumant sur un autel.
D’un appareil d’hymen couvrant ce ſacrifice, Il veut que ce ſoit moy qui vous meine au ſuplice?	D'un appareil d'hymen couvrant ce sacrifice, Il veut que ce soit moi qui vous mène au suplice?
Que ma credule main conduiſe le couſteau ?	Que ma crédule main conduise le couteau ?
̀ Qu’au lieu de voſtre Eſpoux je ſois voſtre Bourreaux Et quel eſtoit pour vous ce ſanglant hymenée, Si je fuſſe arrivé plus tard d’une journée?	 Qu'au lieu de votre Époux je sois votre Bourreaux Et quel était pour vous ce sanglant hyménée, Si je fusse arrivé plus tard d'une journée?
Quoy donc à leur fureur livrée en ce moment Vous iriez à l’Autel me chercher vainement, Et d’un fer impreveû vous tomberiez frappée, En accuſant mon nom, qui vous auroit trompée?	Quoi donc à leur fureur livrée en ce moment Vous iriez à l'Autel me chercher vainement, Et d'un fer imprévu vous tomberiez frappée, En accusant mon nom, qui vous aurait trompée?
Il faut de ce peril, de cette trahiſon Aux yeux de tous les Grecs lui demander raiſon.	Il faut de ce péril, de cette trahison Aux yeux de tous les Grecs lui demander raison.
A l’honneur d’un Eſpoux vous meſme interreſſés Madame, vous devez approuver ma penſée.	À l'honneur d'un Époux vous -même interressez Madame, vous devez approuver ma pensée.
Il faut que le Cruel qui m’a pû mépriſer, Apprenne de quel nom il oſoit abuſer.	Il faut que le Cruel qui m'a pu mépriser, Apprenne de quel nom il osait abuser.
IPHIGENIE.	IPHIGENIE.
Helas!	Hélas!
ſi vous m’aimez, ſi pour grace derniere Vous daignez d’une Amante écouter la priere, C’eſt maintenant.	si vous m'aimez, si pour grâce dernière Vous daignez d'une Amante écouter la prière, C'est maintenant.
Seigneur, qu’il faut me le prouver.	Seigneur, qu'il faut me le prouver.
Car enfin ce Cruel, que vous allez braver, Cet Ennemy barbardj hijuitey languinane, Songez, quoy qu’il ait fait, ſongez qu’il eſt mon Pere.	Car enfin ce Cruel, que vous allez braver, Cet Ennemi barbardj est languinane, Songez, quoi qu’il ait fait, songez qu'il est mon Père.
ACHILLE.	ACHILLE.
Luy voſtre Pere?	Lui votre Père?
Apres ſon horrible deſſein Je ne le connois plus que pour voſtre aſſaſſin.	Après son horrible dessein Je ne le connais plus que pour votre assassin.
IPHIGENIE.	IPHIGENIE.
C’eſt mon Pere, Seigneur, je vous le dis encore.	C'est mon Père, Seigneur, je vous le dis encore.
Mais un Pere que j’aime, un Pere que j’adore, Qui me cherit luy meſme, & dont juſqu’à ce jour Je n’ay jamais receu que des marques d’amour.	Mais un Père que j'aime, un Père que j'adore, Qui me chérit lui deux, et dont jusqu'à ce jour Je n'ai jamais reçu que des marques d'amour.
Mon cœur dans ce reſpect élevé dés l’enfance Ne peut que s’affliger de tout ce qui l’offenſe.	Mon cœur dans ce respect élevé dès l'enfance Ne peut que s'affliger de tout ce qui l'offense.
Et loin d’oſer icy par un promt changement Approuver la fureur de voſtre emportement, Loin que par mes diſcours je l’attiſe moy meſme, Croyez qu’il faut aimer autant que je vous aime, Pour avoir pû ſouffrir tous les noms odieux, Dont voſtre amour le vient d’outrager à mes yeux.	Et loin d'oser ici par un prompt changement Approuver la fureur de votre emportement, Loin que par mes discours je l'attise moi -même, Croyez qu'il faut aimer autant que je vous aime, Pour avoir pu souffrir tous les noms odieux, Dont votre amour le vient d'outrager à mes yeux.
Et pourquoy voulez vous qu’inhumain, & barbare, Il ne gémiſſe pas du coup qu’on me prepare?	Et pourquoi voulez -vous qu'inhumain, et barbare, Il ne gémisse pas du coup qu'on me prépare?
Quel Pere de ſon ſang ſe plaiſt à ſe priver?	Quel Père de son sang se plaît à se priver?
Pourquoy me perdroit-il, s’il pouvoit me ſauver?	Pourquoi me perdrait-il, s'il pouvait me sauver?
l’ay veu, n’en doutez point, ſes larmes ſe répandre.	l'ai vu, n'en doutez point, ses larmes se répandre.
Fautei ſe condanimen a tumeque derencendre?	Fautei se condammen a tumeque derencendre?
Helas!	Hélas!
de tant d’horreurs ſon cœur déja troublé Doit-il de voſtre haine eſtre encore accablé?	de tant d'horreurs son coeur déjà troublé Doit-il de votre haine être encore accablé?
ACHILLE.	ACHILLE.
Quoy, Madame, parmy tant de ſujets de crainte, Ce ſont-là les frayeurs, dont vous eſtes atteinte?	Quoi, Madame, parmi tant de sujets de crainte, Ce sont-là les frayeurs, dont vous êtes atteinte?
Un Cruel ( comment puis-je autrement l’appeller?	Un Cruel ( comment puis-je autrement l'appeler?
Par la main de Calchas s’en va vous immoler.	Par la main de Calchas s'en va vous immoler.
Et lors qu’à ſa fureur j’oppoſe ma tendreſſe, Le ſoin de ſon repos eſt le ſeul qui vous preſſe?	Et lors qu'à sa fureur j'oppose ma tendresse, Le soin de son repos est le seul qui vous presse?
On me ferme la bouche?	On me ferme la bouche?
On l’excuſe?	On l'excuse?
On le plaint?	On le plaint?
C’eſt pour lui que l’on tremble, Et c’eſt moy que l’on craint?	C'est pour lui que l'on tremble, Et c'est moi que l'on craint?
Triſte effet de mes ſoins!	Triste effet de mes soins!
Eſt-ce donc là, Madame, Tout le progrez qu’Achille avoit fait dans voſtreame?	Est-ce donc là, Madame, Tout le progrès qu'Achille avait fait dans votre?
IPHIGENIE.	IPHIGENIE.
Ah, cruel!	Ah, cruel!
Cet amour, dont vous voulez douter, Ay-je attendu ſi tard pour le faire éclater?	Cet amour, dont vous voulez douter, Ai-je attendu si tard pour le faire éclater?
Vous voyez de quel œil, & comme indifferente J’ay receu de ma mort la nouvelle ſanglante.	Vous voyez de quel œil, et comme indifférente J'ai reçu de ma mort la nouvelle sanglante.
Je n’en ay point pâli.	Je n'en ai point pâli.
Que n’avez-vous pû voir A quel excez tantoſt alloit mon deſeſpoir, Quand preſque en arrivant un recit peu fidelle M’a de voſtre inconſtance annoncé la nouvelle!	Que n'avez-vous pu voir À quel excès tantôt allait mon désespoir, Quand presque en arrivant un récit peu fidèle M'a de votre inconstance annoncé la nouvelle!
Quel trouble!	Quel trouble!
Quel torrent de mots injurieux Accuſoit à la fois les hommes & les Dieux !	Quel torrent de mots injurieux Accusait à la fois les hommes et les Dieux !
Ah!	Ah!
