YV RE, R Y	YU RE, R Y
DIRE, te piu pueue eſt par pous combatu, Iamais les enuieux n’eſpargnent la vertu, Et ſouuent on a veu dans vn ſuiet ſemblable Que tel eſt accusé, qui n’eſt pas condamnable.	DIRE, te piu pueue est par pous combattu, Jamais les envieux n'épargnent la vertu, Et souvent on a vu dans un sujet semblable Que tel est accusé, qui n'est pas condamnable.
LE ROY.	LE ROY.
Ie veux que ſagement on procede en cecy.	Je veux que sagement on procède en ceci.
ACTE	ACTE
ACTE II.	ACTE II.
LE ROY.	LE ROY.
Quel eſcrit?	Quel écrit?
quelle plume icy m’as-tu donnée?	quelle plume ici m'as-tu donnée?
ABRICE.	ÀBRICE.
Ie meure, ſi i’ay rien qu’elle ne ſoit ſignée, Sire, i’aurois deſia les deux mille ducats.	Je meure, si j'ai rien qu'elle ne soit signée, Sire, j'aurais déjà les deux mille ducats.
LE ROY, Qu’eſpere-tu de moy, qui ne te cognois pas?	LE ROY, Qu'espère-tu de moi, qui ne te connais pas?
FABRICE.	FABRICE.
On ne me cognoist pas?	On ne me connaît pas?
moy?	moi?
ce Fabrice, Sire.	ce Fabrice, Sire.
Si faut-il me cognoiſtre, ou ne ſçauoir pas rire, Et la bile cheZ vous n’a pas fort arreſté Depuis que i’appartiens à vostre Majeſté.	Si faut-il me connaître, ou ne savoir pas rire, Et la bile cheZ vous n'a pas fort arrêté Depuis que j'appartiens à votre Majesté.
LE ROY.	LE ROY.
Dieux!	Dieux!
en tant de ſoucis, le ſort des Rois abonde, Qu’en moins que d’vn moment ie mécognois le monde Pardonne cher amy.	en tant de soucis, le sort des Rois abonde, Qu'en moins que d'un moment homme méconnais le monde Pardonne cher ami.
FABRICE.	FABRICE.
FABRICE.	FABRICE.
Sire, point de pardon, Si voſtre Majeſté ne veut ſigner ce don.	Sire, point de pardon, Si votre Majesté ne veut signer ce don.
LE ROY.	LE ROY.
Quel don?	Quel don?
pourquoy ce don?	pourquoi ce don?
FABRICE.	FABRICE.
4 ponr t'nenreuje nonnelle De l’empriſonnement du Duc, & de la belle.	4 ponr t'nenreuje nonnelle De l'emprisonnement du Duc, et de la belle.
LE ROY.	LE ROY.
Ie le tiens de Dorame, & nul autre que luy, Ne m’auoit iuſqu’icy fait part de cét ennuy, Me venant attriſter, penſes-tu qu’on m’oblige, Et que i’aille donner des prix à qui m’afflige.	Je le tiens de Dorme, et nul autre que lui, Ne m'avait jusqu'ici fait part de cet ennui, Me venant attrister, penses-tu qu'on m'oblige, Et que j'aille donner des prix à qui m'afflige.
ADRICE.	ADRICE.
Sire, à m’expedier ſoyez plus diligent, Et ne m’eſprouuez point en matiere d’argent,	Sire, à m'expédier soyez plus diligent, Et ne m'éprouvez point en matière d'argent,
LE ROY, deſchirant l’ordonnance, & s’en allant.	LE ROY, déchirant l'ordonnance, et s'en allant.
Cherche d’autres obiects à tes caiolleries, Tu me contes icy de froides reſueries.	Cherche d'autres objets à tes cailleriez, Tu me contes ici de froides rêveries.
FABRICE ſeul le regardant.	FABRICE seul le regardant.
Que des preſens pareils ſoyent pour d’autres que moy.	Que des présents pareils soient pour d'autres que moi.
Sire, cét argent-là n’est pas de bon aloy:	Sire, cet argent-là n'est pas de bon aloi:
N’apprehendez-vous point de vous tromper au conte?	N'appréhendez-vous point de vous tromper au conte?
O Ciel!	Ô Ciel!
qui vid iamais vn homme plus deceu?	qui vit jamais un homme plus déçu?
Qui prendroit maintenant la moitié de ma honte, Il auroit bonne part en ce que i’ay receu.	Qui prendrait maintenant la moitié de ma honte, Il aurait bonne part en ce que j'ai reçu.
ACTÉ	ACT
ACTE III.	ACTE III.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
LILIANE.	LILIANE.
MELITE.	MELITE.
LILIANE.	LILIANE.
Nfin recognois-tu l’infaïllible deſſein EQue ce Prince amoureux a pour moy dans le ſein, Et que cette priſon de mon pere & du Comte Eſt le chemin du throſne où ma fortune monte, Melite, obſerue vn peu ſes yeux à mon abord, Iuge par leur douceur, de celle de mon ſort:	Nfin reconnais-tu l'infaïllible dessein ÉQue ce Prince amoureux à pour moi dans le sein, Et que cette prison de mon père et du Comte Est le chemin du trône où ma fortune monte, Melite, observe un peu ses yeux à mon abord, Juge par leur douceur, de celle de mon sort:
Euſt-il dans la penſée vn proiet difficile, Euſt-il deſſus le point de perdre la Sicile, Viſt-il les eſtrangers entrer de tous coſtez, Mon abord changeroit ſes ſoins en voluptez, Et quelques ennemis qu’il luy falluſt combatre.	Eut-il dans la pensée un prois difficile, Eut-il dessus le point de perdre la Sicile, Vît-il les étrangers entrer de tous côtés, Mon abord changerait ses soins en voluptés, Et quelques ennemis qu'il avait fallût combattre.
MELITE.	MELITE.
Vous ſeriez le premier qu’il taſcheroit d’abatre.	Vous seriez le premier qu'il tâcherait d'abattre.
LILIANE.	LILIANE.
Tu ne ſçauras iamais parler diſcr tement.	Tu ne sauras jamais parler discr tement.
MELITE.	MELITE.
Vous eroyez, ce me ſemble, vn peu legerement, Et ie ſoupçonne fort les moyens dont il vſe.	Vous eroyez, ce me semble, un peu légèrement, Et tu soupçonne fort les moyens dont il .
D’vn myſtere ſi ſainct il faut bannir la ruſe:	D'un mystère si saint il faut bannir la ruse:
D’vn Roy, comme d’vn autre on peut eſtre trompé.	D'un Roi, comme d'un autre on peut être trompé.
Il a deſia beaucoup deſſus vous vſurpé, Et ie crains bien pour vous qu’enfin il ne deſrobe Ce qui ne feroit pas eſtreſſir voſtre robe, Que ce ieune Monarque à ces larcins inſtruit Ne vous oſte vne fleur pour vous donner vn fruit.	Il a déjà beaucoup dessus vous usurpé, Et ie crains bien pour vous qu'enfin il ne dérobe Ce qui ne ferait pas êtressir votre robe, Que ce jeune Monarque à ces larcins instruit Ne vous ôte une fleur pour vous donner un fruit.
Lors ſes intentions ne ſeroient plus douteuſes.	Lors ses intentions ne seraient plus douteuses.
Vous ſeriez Reyne alors,mais des filles honteuſes.	Vous seriez Reine alors,mais des filles honteuses.
LILIANE.	LILIANE.
Sotte, faites ailleurs de ſemblables deuis, Et conſeruez pour vous ce ſalutaire aduis, Ne donnez point la main à qui ſçait ſe conduire, Meſlez-vous de ſeruir,& non pas de m’inſtruire.	Sotte, faites ailleurs de semblables devis, Et conservez pour vous ce salutaire avis, Ne donnez point la main à qui sait se conduire, Mêlez-vous de servir,et non pas de m'instruire.
MELITE.	MELITE.
Puiſque ie recognois que ie trauaille en vain, Ie vous verrois tomber, ſans vous donner la main, C’eſt aſſez de ſçauoir que voſtre humeur eſt telle, Et que c’eſt vous faſcher que vous eſtre fidelle.	Puisque ici reconnais que votre travaille en vain, Je vous verrais tomber, sans vous donner la main, C'est assez de savoir que votre humeur est telle, Et que c'est vous fâcher que vous chang fidèle.
LILIANE.	LILIANE.
Voicy le Roy qui vient, lys dans ſon action, Combien pour mon ſubiect il a de paſſien.	Voici le Roi qui vient, lys dans son action, Combien pour mon sujet il a de passien.
ACTE	ACTE
ACTE III.	ACTE III.
SCENE SECONDE.	SCÈNE SECONDE.
LE ROY.	LE ROY.
FABRICE.	FABRICE.
LILIANE.	LILIANE.
MELITE.	MELITE.
LE ROY parlant à ſes ſeruiteurs.	LE ROY parlant à ses serviteurs.
Vlle charge ne rend leur priſon legitime, N Qu'ils ſoient exemps de fers, eſtant exempis de crime, Qu’en leurs poſſeſſions, ces Seigneurs ſoient remis Et qu’ils tiennent le rang de mes meilleurs amis.	Vlle charge ne rend leur prison légitime, N 'ils soient exemps de fers, étant exempis de crime, Qu'en leurs possessions, ces Seigneurs soient remis Et qu'ils tiennent le rang de mes meilleurs amis.
FABRICE.	FABRICE.
Dieux!	Dieux!
qu’eſt-ce que i’entends?	qu'est-ce que j'entends?
Sire que ſert de feindre?	Sire que sert de feindre?
On ſçait que d’aucun crime on ne les peut atteindre, Qu’ils ſont moins criminels que Seigneurs de la Cour, Et qu’ils ne ſont aux fers que par raiſon d’amour:	On sais que d'aucun crime on ne les peut atteindre, Qu'ils sont moins criminels que Seigneurs de la Cour, Et qu'ils ne sont aux fers que par raison d'amour:
Mais vous le commandeZ, & il vous eſt fidelle:	Mais vous le commandez, et il vous est fidèle:
Hier ie vous en vins apporter la nouuelle.	Hier ici vous en vins apporter la nouvelle.
Il vous plut me nommer l’Autheur de vostre bien.	Il vous plut me nommer l'Auteur de votre bien.
Vous promiſtes aſſez, & vous ne tenez rien.	Vous promîtes assez, et vous ne tenez rien.
Que vostre bonne humeur fut de peu de durée!	Que votre bonne humeur fut de peu de durée!
Vous aueZ l’ordonnance à mes yeux deſchirée.	Vous avez l'ordonnance à mes yeux déchirée.
Et vous ſemblez encor ne me cognoistre pas:	Et vous semblez encor ne me connaître pas:
Mais voſtre oubly prouient des dix mille ducats.	Mais votre oubli provient des dix mille ducats.
LE ROY.	LE ROY.
Où va cet impudent me forger ces menſonges?	Où va cet impudent me forger ces mensonges?
Où s’imagine-t’il ces chimeres, ces ſonges?	Où s'imagine-t-il ces chimères, ces songes?
Dieux!	Dieux!
auec quelles gens me vois-ie deſormais, Et que veut-il de moy, qui ne le vis iamais?	avec quelles gens me vois-je désormais, Et que veut-il de moi, qui ne le vis jamais?
FABRICE.	FABRICE.
C’eſt vn miroir bien faux que l’humeur d’auarice, Si ie ne voulois rien, lors, ie ſerois Fabrice:	C'est un miroir bien faux que l'humeur d'avarice, Si grande ne voulais rien, lors, une serois Fabrice:
Bien, Sire, briſons-là ces diſcours ſuperflus, Et me recognoiſſez, ie ne demande plus.	Bien, Sire, brisons-là ces discours superflus, Et me reconnaissez, toujours ne demande plus.
Vous recognoiſtrez bien ceſte belle Maiſtreſſe, Vn violent deſir de la baiſer vous preſſe.	Vous reconnaîtrez bien cette belle Maîtresse, Un violent désir de la baiser vous presse.
LILIANE, parle au Roy.	LILIANE, parle au Roi.
Sire, quel changement cauſe tant de froideur?	Sire, quel chang cause tant de froideur?
D’où peut eſtre alentie vne ſi douce ardeur, Ne vous parois-ie plus auec tant de lumiere?	D'où peut être alentie une si douce ardeur, Ne vous parais-je plus avec tant de lumière?
Vous agreay-ie moins pour estre priſonniere:	Vous agréai-je moins pour être prisonnière:
La qualité des lieux où vous nous auez mis, Nous feroit-elle bien croire vos ennemis?	La qualité des lieux où vous nous avez mis, Nous ferait-elle bien croire vos ennemis?
EE Reo li.	CE Réo li.
Quels lieux?	Quels lieux?
quels ennemis le ciel m’a-t’il fait naiſtre?	quels ennemis le ciel m'a-t-il fait naître?
FABRICE.	FABRICE.
Ne feint-il point auſſi de ne les point cognoistre?	Ne feint-il point aussi de ne les point connaître?
LILIANE.	LILIANE.
Ha!	Ha!
Sire, commandez qu’on m’ouure le cercueil, Ou daignez m’honorer d’vn plus ioyeux accueil:	Sire, commandez qu'on m'ouvre le cercueil, Ou daignez m'honorer d'Han plus noyeux accueil:
Deuant ces confidents rien ne vous ſert de feindre, Et nous n’auons icy perſonne à nous contraindre,	Devant ces confidents rien ne vous sert de feindre, Et nous n'avons ici personne à nous contraindre,
LE ROY.	LE ROY.
Gardez ces vains diſcours pour vn eſprit bleſſé, Me veut-on faire icy tenir pour inſenſé?	Gardez ces vains discours pour un esprit blessé, Me veut-on faire ici tenir pour insensé?
Vous me cognoiſſez mal, & i’ay l’ame trop ſaine, 4 Ton Pour qui ces entretiens me puiſſent mettre en peine, Quelle raiſon m'amie, adreſſe icy vos pas?	Vous me connaissez mal, et j'ai l'âme trop saine, 4 Ton Pour qui ces entretiens me puissent mettre en peine, Quelle raison m'amie, adresse ici vos pas?
Qui laiſſe entrer ces fous que ie ne cognois pas?	Qui laisse entrer ces fous que ici ne connais pas?
FABRICE.	FABRICE.
Comme de ſon eſprit la raiſon eſt bannie, O ie ne me plains plus, i’ay de la compagnie.	Comme de son esprit la raison est bannie, Ô ie ne me plains plus, j'ai de la compagnie.
LILIANE.	LILIANE.
Ne vous parois-ie plus auec ces meſmes yeux Qu’il vous plût de nommer vos Soleils & vos Dieux?	Ne vous parais-je plus avec ces mêmes yeux Qu'il vous plût de nommer vos Soleils et vos Dieux?
Vn iour m’a-t’il rauy la douceur de ces charmes, Qui vous ont arraché tant de vœux & de larmes?	Un jour m'a-t-il ravi la douceur de ces charmes, Qui vous ont arraché tant de vœux et de larmes?
Vostre corps n’eſt-il pas pourueu des meſmes ſens Qui nourriſſoient pour moy tant de feux innocens?	Votre corps n'est-il pas pourvu des mêmes sens Qui nourrissaient pour moi tant de feux innocents?
Qei fort ue lant de ſame, en a fait tant de glace?	Qi fort ue lant de same, en a fait tant de glace?
Liliane chez vous ne trouue plus de place?	Liliane chez vous ne trouve plus de place?
Eſtes-vous Liliane?	Êtes-vous Liliane?
LE ROY.	LE ROY.
Lunauis confeſſez, Si vous m’aymez encor, le cœur que vous portez marprente que ue iujiſtie ſuia paiameſme, Qui fus touſiours l’obiect de ſon amour extréme.	Lunavis confessez, Si vous m'aimez encor, le cœur que vous portez marprente que ue jujistie suiva paiamesme, Qui fus toujours l'objet de son amour extrême.
LE ROY.	LE ROY.
Où tend cét entretien?	Où tend cet entretien?
que voulez-vous de moy?	que voulez-vous de moi?
LILIANE.	LILIANE.
Quoy ce prompt changement eſt le prix de ma foy?	Quoi ce prompt changement est le prix de ma foi?
Sur quoy faut-il fonder des attentes certaines, Si les Roys ne nous font que des promeſſes vaines?	Sur quoi faut-il fonder des attentes certaines, Si les Rois ne nous font que des promesses vaines?
FABRICE.	FABRICE.
O qu'elle parle bien!	Ô qu'elle parle bien!
ne iugeroit-on pas Qu'elle auroit en le vent des deux mille ducats?	ne jugerait-on pas Qu'elle aurait en le vent des deux mille ducats?
LE	LE
LE ROY.	LE ROY.
Ma ſœur n'eſt-ce pas vous ?	Ma sœur n'est-ce pas vous ?
LILIANE.	LILIANE.
Qui ſuis-ie deuenuë?	Qui suis-je devenue?
Que voſtre Majeſté m’ait ſi toſt mécognuë?	Que votre Majesté m'ait si tôt méconnue?
Quelque demon, pour voir mes deſſeins à l’enuers, Me fait-il prendre icy des viſages diuers?	Quelque démon, pour voir mes desseins à l'envers, Me fait-il prendre ici des visages divers?
Et me peut-ſ'uonner quelque forme qui ſemble Liliane vne folle, & voſtre ſœur enſemble?	Et me peut-s'uonner quelque forme qui semble Liliane une folle, et votre sœur ensemble?
LE ROY.	LE ROY.
Liliane, eſt-ce vous?	Liliane, est-ce vous?
LILIANE.	LILIANE.
Oüy, cét obiect d’ennuis, Et que vons deſiimez a tam à nenrenſes mmets, Celle que vous nommez voſtre ame & vostre vie.	Oui, cet objet d'ennuis, Et que vons desiimez a tam à nenrentses mmets, Celle que vous nommez votre âme et votre vie.
Celle qui vous auoit la franchiſe rauie.	Celle qui vous avait la franchise ravie.
LE ROY.	LE ROY.
Que voſtre vanité nourrit vn faux eſpoir, Comment aurois-ie pû vous aymer ſans vous voir Quelle amour vos beautez auroit-elle fait naiſtre En moy, qui ne vous puis qu’à peine recognoiſtre?	Que votre vanité nourrit un faux espoir, Comment aurais-je pu vous aimer sans vous voir Quelle amour vos beautés aurait-elle fait naître En moi, qui ne vous puis qu'à peine reconnaître?
LILIANE.	LILIANE.
Donc ſi iuſqu’à ce poinct voſtre eſprit eſt changé, Si deſſous d’autres loix mon amour l’a rangé, Que voſtre Majesté conſente à l’hymenée, Qui doit ailleurs auſſi ranger ma destinée.	Donc si jusqu'à ce point votre esprit est changé, Si dessous d'autres lois mon amour l'a rangé, Que votre Majesté consente à l'hyménée, Qui doit ailleurs aussi ranger ma destinée.
LE ROY.	LE ROY.
Ma fille que vos vœux ſuccedent en tout point, Qu'ay-ie à voir en vn faict qui ne me touche point?	Ma fille que vos vœux succèdent en tout point, Qu'ai-je à voir en un fait qui ne me touche point?
LILIANE.	LILIANE.
Ainſi ie ne deuois tirer que de la honte, De l’empriſonnement de mon pere, & du Comte.	Ainsi ie ne devais tirer que de la honte, De l'emprisonnement de mon père, et du Comte.
LE	LE
LE ROY.	LE ROY.
Ie croy qu’innocemment ils furent arreſtez, cirãt l'ã.	Je crois qu'innocemment ils furent arrêtés, cirant l'ang.
Et ie conſents auſſi, qu’ils ayent leurs liberteZ:	Et ici consens aussi, qu'ils aient leurs liberté:
neau de Faictes voir de ma part ceste bague à Dorame, Qu’il tire ces Seigneurs de ſeruage & de blâme.	neau de Faites voir de ma part cette bague à Dorme, Qu'il tire ces Seigneurs de servage et de blâme.
mo aten ejrurolde fund a cuieer die dos mmnours, Et ne m’ennuyez plus par de ſi vains diſcours.	mo aten éjurolde fund a cuieer die dos même, Et ne m'ennuyez plus par de si vains discours.
LILIANE, tenant la bague, & s'en allant.	LILIANE, tenant la bague, et s'en allant.
D’où peut luy prouenir ceste melancholie?	D'où peut autre provenir cette mélancolie?
Que ce Prince eut de feinte, ou qu’il a de folie!	Que ce Prince eut de feinte, ou qu'il a de folie!
Qu’vn estrange accident a troublé ſa raiſon:	Qu'un étrange accident a troublé sa raison:
Allons, Melite, ouurir leur honteuſe priſon.	Allons, Mélite, ouvrir leur honteuse prison.
dia mi d a da Et bien que voyons-nous d’vn ſi beau mariage?	dia mi d a da Et bien que voyons-nous d'un si beau mariage?
Ceſte bague le rompt au lieu d’en eſtre un gage.	Cette bague le rompt au lieu d'en être un gage.
LEANDRE, tout bas.	LÉANDRE, tout bas.
Qu'en ces effets diuers, mes deſirs ſont contents, Il eſt bon qu’il repoſe, & ſoit ſain quelque temps.	Qu'en ces effets divers, mes désirs sont contents, Il est bon qu'il repose, et soit sain quelque temps.
Ce mal n’auoit deſia que trop de viorenet, Et ſon allegement paroiſt en ſon ſilence:	Ce mal n'avait déjà que trop de viorenet, Et son allégement paraît en son silence:
Quand cette belle fille aura rendu l’anneau, Nous vairons cét eſprit s’alterer de nouueau.	Quand cette belle fille aura rendu l'anneau, Nous vairons cet esprit s'altérer de nouveau.
LE RO Y auec d’autres contenances & d’vn eſprit raſſis.	LE RO Y nom d'autres contenances et d'un esprit rassis.
Que nos temperamens ſe changent en peu d’heure, Ie ſents, & mon humeur, & ma ſanté meilleure, Ie voy dans ce moment tous mes ſoins s’arreſter.	Que nos tempéraments se changent en peu d'heure, Je sents, et mon humeur, et ma santé meilleure, Je vois dans ce moment tous mes soins s'arrêter.
Fablice ne dis mot;	Fablice ne dis mot;
nas-tu rien à compter?	nas-tu rien à compter?
FABRICE.	FABRICE.
Que vous treuuez à rire au ſubiect de ma honte!	Que vous trouvez à rire au sujet de ma honte!
Si ie n’ay rien receu, que faut-il que ie compte?	Si ici n'ai rien reçu, que faut-il que . compte?
LE	LE
LE ROY.	LE ROY.
Quoy n’as-tu pas touché les deux mille aucats?	Quoi n'as-tu pas touché les deux mille aucats?
FABRICE.	FABRICE.
Bire, ces vains diſcours ne me contentent pas, Qui ſans voſtre ordonnance, eust la ſomme tirée?	Bire, ces vains discours ne me contentent pas, Qui sans votre ordonnance, eût la somme tirée?
EE RORe.	CE RORe.
Et ne l’auois-tu pas?	Et ne l'avais-tu pas?
FABRICE.	FABRICE.
Vous l’auez deſchirée.	Vous l'avez déchirée.
Ha!	Ha!
qu’il vous eſt aisé de rire & de railler, De promettre beaucoup, & de ne rien bailler.	qu'il vous est aisé de rire et de railler, De promettre beaucoup, et de ne rien bailler.
Que deux mille ducats ſont des termes friuolles Et qu’ils vaudroiẽt bien mieux en effect qu’en parolles	Que deux mille ducats sont des termes frivoles Et qu'ils vaudraient bien mieux en effet qu'en paroles
LE ROT.	LE ROT.
Tu meſpriſes plutoſt ce que ie t’ay donné, Si tu l’auois voulu, iete l’aurois ſigné.	Tu méprises plutôt ce que ie t'ai donné, Si tu l'avais voulu, jette l'aurais signé.
FABRICE.	FABRICE.
Si cette bonne humeur long-temps vous continuë, Ma bonne volonté vous ſera mieux cognuë, Et ſi dans un moment ie vous retrouue icy, I'apporteray la plume & l’ordonnance auſſi	Si cette bonne humeur longtemps vous continue, Ma bonne volonté vous sera mieux connue, Et si dans un moment ie vous retrouve ici, J'apporterai la plue et l'ordonnance aussi
LE ROY.	LE ROY.
Nous ſçaurons aysément moderer ta tristeſſe, S’il ne faut que tenir ceſte iuſte promeſſe.	Nous sçaurons aisément modérer ta tristesse, S'il ne faut que tenir cette juste promesse.
2 ICOY continuë à Leandre.	2 ICOY continue à Léandre.
Le Prince qui dans peu doit eſ pouſer ma ſœur Vient, auec paſſion d’en eſtre poſſeſſeur, Soignez aux appareils, & n’épargnez, Leandre, Les deuoirs que ſon rang nous oblige à luy rendre.	Le Prince qui dans peu doit es pouser ma sœur Vient, avec passion d'en être possesseur, Soignez aux appareils, et n'épargnez, Léandre, Les devoirs que son rang nous oblige à avait rendre.
LEANDRE tout bas.	LÉANDRE tout bas.
Tout ſera bien contraire à mon intention;	Tout sera bien contraire à mon intention;
Si ie mets en effect ceste commiſſion.	Si ici mets en effet cette commission.
ACTE	ACTE
ACTE III.	ACTE III.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
LEANDRE.	LÉANDRE.
LEONOR.	LEONOR.
LEONOR.	LEONOR.
Ve fait icy l’obiect de mes douces penſées?	Ve fait ici l'objet de mes douces pensées?
LEANDRE.	LÉANDRE.
Ie fonge au payement de mes peines paſſées, Tant d’effects ſont deſia par la bague arriuez, Que i’ay peine à ſçauoir combien vous me denez.	Je fonge au paiement de mes peines passées, Tant d'effects sont déjà par la bague arrivez, Que j'ai peine à savoir combien vous me denez.
LEONOR.	LEONOR.
La ruje tontesſois eſt' vn peu languiſſante, Et borne lentement nostre commune attente;	La ruje tontessois ét' int peu languissante, Et borne lentement notre commune attente;
Cét anneau dûſt agir par des effets plus prompts, Aſſembler nos deſtins, & couronner nos fronts.	Cet anneau dût agir par des effets plus prompts, Assembler nos destins, et couronner nos fronts.
LEANDRE, Que loing de voſtre eſprit ces craintes ſoient bannies, Sa force aura dans peu nos deux moitiés vnies:	LÉANDRE, Que loin de votre esprit ces craintes soient bannies, Sa force aura dans peu nos deux moitiés unies:
Vous auez veu le Roy perdre tout iugement, Et s’il a maintenant quelque ſoulagement.	Vous avez vu le Roi perdre tout jugement, Et s'il a maintenant quelque soulagement.
C’eſt qu’il n’a plus l’anneau pour nous ſi ſalutaire, Liliane s’en ſert à deliurer ſon pere:	C'est qu'il n'a plus l'anneau pour nous si salutaire, Liliane s'en sert à délivrer son père:
Mais elle vient icy, ſuiuons vn peu ſts pas, Vous verrez des effects que vous n’eſperez pas.	Mais elle vient ici, suivons un peu sts pas, Vous verrez des effets que vous n'espérez pas.
A E.	À E.
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
LEONOR.	LEONOR.
LILINE.	LILINE.
ELANDRE.	ÉLANDRE.
MELITE.	MELITE.
LEONOR.	LEONOR.
VcoureZ vous, Madame?	Vcourez -vous, Madame?
OLILIANE ayant l’anneau au doigt.	ÔLILIANE ayant l'anneau au doigt.
Et u on oons naiſt l'enuie Qui vous fait informer des raiſons de ma vie?	Et ouv on oons naît l'envie Qui vous fait informer des raisons de ma vie?
LEONOR.	LEONOR.
Voſtre interest m’oblige à ſemblable ſoucy.	Votre intérêt m'oblige à semblable souci.
LILIANE.	LILIANE.
Mon imtreſt m’oblige à ne rien dire auſſi.	Mon imtrêt m'oblige à ne rien dire aussi.
LEONOR.	LEONOR.
Tofire unmemt antrefois eut plus de courtoiſie.	Touffire unmemt antrefois eut plus de courtoisie.
LILIANE.	LILIANE.
Vn autre obiect que vous me tient en fantaiſit.	Un autre objet que vous me tient en fantaisit.
LEANDRE.	LÉANDRE.
VoyeZ qu'elle a l’anneau.	VoyeZ qu'elle a l'anneau.
LEONOR.	LEONOR.
Tous mes ſens ſont rauis.	Tous mes sens sont ravis.
LILIANE.	LILIANE.
Que voulez-vous de moy, qui iamais ne vous vis?	Que voulez-vous de moi, qui jamais ne vous vis?
HEQTEIII.	HÉQTEIII.
SCENE CIN IESME.	SCÈNE CIN JESME.
LE ROY court embraſſer Liliane.	LE ROY court embrasser Liliane.
LILIANE.	LILIANE.
Effronté, quelle humeur à ce deſſein vous porte.	Effronté, quelle humeur à ce dessein vous porte.
Et vous faict outrager les filles de maſarte?	Et vous fait outrager les filles de masarte?
LEC	LEC
LEONO.	LEONO.
R.	R.
Et inminjiment a de charmans appas!	Et inminjiment a de charmants appas!
Comme elle parle au Roy, qu’elle ne cognoiſt pas?	Comme elle parle au Roi, qu'elle ne connaît pas?
LE ROY.	LE ROY.
D’où vous n’aiſt ceſte humeur?	D'où vous n'ait cette humeur?
& quelle frenaiſie, Depuis ſi peu de temps a vostre ame ſaiſie?	et quelle frénaisie, Depuis si peu de temps a votre âme saisie?
Madame, ſçauez-vous que vous pante uu Roy, Et que nous reſpirons ſous vne meſme loy.	Madame, Savez-vous que vous pante u Roi, Et que nous respirons sous une même loi.
LILIANE.	LILIANE.
Quoy me ſerois-ie, ô Dieux!	Quoi me serais-je, ô Dieux!
ſi lourdement mépriſe, Sre, monignorance a ma faute commiſe:	si lourdement méprise, Sre, monignorance à ma faute commise:
Mais ie n’ay point deſſein d’exeuſer mon peché, N’eſpargnez point mes iours, ſi ie vous ay faſché.	Mais ici n'ai point dessein d'exeuser mon péché, N'épargnez point mes jours, si je vous ai fâché.
LE ROY.	LE ROY.
Tu ne le peux, ma Reyne, & ceſte repentance, Pourroit plus m’affliger que n’a fait ton offence.	Tu ne le peux, ma Reine, et cette repentance, Pourrait plus m'affliger que n'a fait ton offense.
Car ie ne trouue point de tourment enmupena, Comme de voir couler les larmes de tes yeux:	Car ie ne trouve point de tourment enmupena, Comme de voir couler les larmes de tes yeux:
Mais ce regret te liure vne legere atteinte, Et comme ton peché, ta re pentance eſt feinte.	Mais ce regret te livre une légère atteinte, Et comme ton péché, ta re pentance est feinte.
LILIANE.	LILIANE.
Quel charme?	Quel charme?
quel demon m’anoit l’œil enchanté!	quel démon m'anait l'œil enchanté!
En quoy puis-ie obeïr à voſtre Majesté?	En quoi puis-je obéir à votre Majesté?
LE ROY.	LE ROY.
Estant plus indulgent à mon ame aſſeruie, Diſpoſant de mes ſoins, de mes droicts, de ma vie.	Étant plus indulgent à mon âme asservie, Disposant de mes soins, de mes droits, de ma vie.
Enfin, tu m’obeys, ſi ton cœur ſe reſſent, De voir à tes genoux vn Prince obeyſſant.	Enfin, tu m'obéis, si ton cœur se ressent, De voir à tes genoux un Prince obéissant.
Qui cede à tes beaux yeux l’eſclat qui l'enuironne Et qui met à tes pieds ſon ſceptre & ſa couronne.	Qui cède à tes beaux yeux l'éclat qui l'environne Et qui met à tes pieds son sceptre et sa couronne.
Daigne d’vn ſeul regard alleger mon tourment, Tu m'as fait, ma Deeſſe, un meilleur traictement.	Daigne d'un seul regard alléger mon tourment, Tu m'as fait, ma Déesse, un meilleur traitement.
LILIANE.	LILIANE.
Dois-ie croire auiourd’huy mes yeux & mes oreilles?	Dois-je croire aujourd'hui mes yeux et mes oreilles?
Ha!	Ha!
Sire, voila trop honorer mes pareilles.	Sire, voilà trop honorer mes pareilles.
Mcy, commen vous pourpois-it obliger à l’amour, Qui n’eus iamais l’honneur de vous voir qu’à ce iour?	Mci, commen vous pourpais-it obliger à l'amour, Qui n'eus jamais l'honneur de vous voir qu'à ce jour?
MELITE.	MELITE.
Bons Dieux!	Bons Dieux!
comme elle ment d’une façon hardie!	comme elle ment d'une façon hardie!
On diroit que ces jeux ſont vne comedie.	On dirait que ces jeux sont une comédie.
DD IOI, parſant arienc.	DD JOI, parsant arcienc.
Filene, quel aduis ſuiuray ie deſormais?	Filène, quel avis suivra ie désormais?
Ie me trouue confus, ſi ie le fus iamais.	Je me trouve confus, si ici le fus jamais.
FTLENE.	FTLENE.
I'eſtime apres l’affront qu’a receu ceſte belle, Que vous meritez-bien ce traictement là d’elle.	J'estime après l'affront qu'a reçu cette belle, Que vous méritez-bien ce traitement là d'elle.
LE ROY.	LE ROY.
