AVEC PRIVILEGE DV ROY.	AVEC PRIVILÈGE DU ROY.
LE PREMIER.	LE PREMIER.
Cettt peſcne ne peut metontenter perſonne, Voyons auparauant ce que le Ciel nous donne.	Certt pêcne ne peut metontenter personne, Voyons auparavant ce que le Ciel nous donne.
LE SECOND.	LE SECOND.
Voyons, voyons!	Voyons, voyons!
LE PREMIER.	LE PREMIER.
Helas!	Hélas!
l'eſtrange cruauté!	l'étrange cruauté!
Regarde cette playe ouuerte en ſon coſté, C'eſt vn aſſaßinat, qu'en penſe tu?	Regarde cette plaie ouverte en son côté, C'est un assinat, qu'en pense tu?
I iij	I Jijà
LE SECOND.	LE SECOND.
Ie tremble A voir le ſang & l'eau qui ſe meſlent enſemble, DsePe	Je tremble À voir le sang et l'eau qui se mêlent ensemble, DsePe
LE PREMIER.	LE PREMIER.
Auiſons ſans tarder Au cercueil que ce corps ſemble nous demander, C’eſtsãs doute vn ſeigneur de remarque & de gloire	Avisons sans tarder Au cercueil que ce corps semble nous demander, C'ests doute un seigneur de remarque et de gloire
LE SECOND.	LE SECOND.
Ie croy qu’il a des mains plus blanches que l’yuoire Silence compagnon, voicy le beau du ieu;	Je crois qu'il a des mains plus blanches que l'yvoire Silence compagnon, voici le beau du jeu;
Vois-tu ces deux anneaux plus brillans que du feu.	Vois-tu ces deux anneaux plus brillants que du feu.
Il ne faut que cela pour marier nos filles Et pour mettre en repos nos deux pauures familles, Tous mes doits ſont trop gros, ils n'y ſçauroiẽt entrer	Il ne faut que cela pour marier nos filles Et pour mettre en repos nos deux pauvres familles, Tous mes doit sont trop gros, ils n'y sauraient entrer
LE PREMIER.	LE PREMIER.
Ie crains fort que quelqu’vn viẽne à nous rencõtret Ce n’eſt pas d’auiourd’huy qu’vne iniuſte ſentence A mis des innocens au bout d’vne potence Nous pourrions par malheur trouuer nôtre tõbeau Dedans vn Element plus releué que l’eau.	Je crains fort que quelqu'hommes vienne à nous rencontret Ce n'est pas d'aujourd'hui qu'une injuste sentence A mis des innocents au bout d'une potence Nous ions par malheur trouver notre tõbeau Dans un Élément plus relevé que l'eau.
La iuſtice eſt ſouuent vne extréme iniuſtice Qui nous pourroit peut eſtre enuoyer au ſupplice.	La justice est souvent une extrême injustice Qui nous pourrait peut être envoyer au supplice.
Amy, ſi nous eſtions ſurpris en cet eſtat	Ami, si nous étions surpris en cet état
LE SECOND.	LE SECOND.
On nous croiroit ſans doute autheurs de l’attentat Ille faut enterrer au bord de ce riuage, Afin de faire apres à loiſir le partage.	On nous croirait sans doute auteurs de l'attentat Ille faut enterrer au bord de ce rivage, Afin de faire après à loisir le partage.
A 2 I I I	A 2 I I I
SCENE 45	SCÈNE 45
L L’HERMITE.	 L'HÉRMITE.
RISTE condition du ſort d’vn pauure humain!	RISTE condition du sort d'un pauvre humain!
Il faut aller chercher des viures pour demain (Ame Dieu que vois-ie icy proche?	Il faut aller chercher des vivres pour demain (Ame Dieu que vois-je ici proche?
vn corps pâle & ſans O Soleil!	un corps pâle et sans Ô Soleil!
c’eſt vn meurtre, à quoy te ſert ta flame?	c'est un meurtre, à quoi te sert ta flamme?
Deurois-tu maintenant luire parmy les airs Ou nous donner le iour qu’au trauers des éclairs?	Deurais-tu maintenant luire parmi les airs Ou nous donner le jour qu'au travers des éclairs?
Tes feux ſont criminels s’ils ne forgent vn foudre Pour mettre en vn moment ces aſſaßins en poudre Hé Hé quoy la terre eſt elle encor ſans mouuement Pour ne ſe pas ouurir apres vn tremblement?	Tes feux sont criminels s'ils ne forgent un foudre Pour mettre en un moment ces assassins en poudre Hé quoi la terre est elle encor sans mouvement Pour ne se pas ouvrir après un tremblement?
Miſerables mortels, animeZ par la rage Qu'on craint plus ſur les eaux que les vẽts de l’orage, PenſeZ vous donc celer auec impunité Cette action brutale à la Diuinité?	Misérables mortels, animés par la rage Qu'on craint plus sur les eaux que les vients de l'orage, Pensés vous donc celer avec impunité Cette action brutale à la Divinité?
PenſeZ-vous que celuy qui voit clair aux abyſmes Soit aueugle en l’horreur compagne de vos crimes Tromperez vous celuydont les yeux ſont ouuers Sur les plus noirs cachots de ce veſte vniuers Qui regarde du Ciel les geſnes qu’il prepare Pour vous punir vn iour d’vn acte ſi barbare, Qui gouuerne & retient le cours des Elemens Et la terre en repos dedans ſes fondemens:	Penses-vous que celui qui voit clair aux abîmes Soit aveugle en l'horreur compagne de vos crimes Tromperez vous celuidont les yeux sont ouvers Sur les plus noirs cachots de ce vête univers Qui regarde du Ciel les gênes qu'il prépare Pour vous punir un jour d'un acte si barbare, Qui gouverne et retient le cours des Éléments Et la terre en repos dedans ses fondements:
Celuy qui fait, & voit la cauſe des tempeſtes Dont ſouuent ſa iuſtice a menacé vos teſtes, Cet auteur ſouuerain, tout preſent en tous lieux Ce veritable Dieu d’entre tous les faux dieux, Qui permet les malheurs, dõt vos mains criminelles Tiennent le mouuement qui les a rendu telles;	Celui qui fait, et voit la cause des tempêtes Dont souvent sa justice a menacé vos têtes, Cet auteur souverain, tout présent en tous lieux Ce véritable Dieu d'entre tous les faux dieux, Qui permet les malheurs, donne vos mains criminelles Tiennent le mouvement qui les a rendu telles;
S’il voit ce qui n’eſt pas, luy penſez vous cacher Ce que tout l’vniuers ſemble vous reprocher On ne le peut tromper, ſa preſence eſt ſi vraye, Qu'il eſt meſme en ce corps, & remplit cette playe Vous aueZ ofen e'les eaux, la terre, & l’air, Qui pour vous acuſer aprendroient à parler;	S'il voit ce qui n'est pas, Seigneur pensez vous cacher Ce que tout l'Univers semble vous reprocher On ne le peut tromper, sa présence est si vraie, Qu'il est même en ce corps, et remplit cette plaie Vous avez ofen eles aux, la terre, et l'air, Qui pour vous accuser apendraient à parler;
Le lour fuiroit d’horreur du ſeiour ou nous ſommes Si ce n'eſtoit qu’il veit vous deceler aux hommes, Le Soleil tout honteux éteignant ſon flambeau Au lieu de ſe coucher, ſe vanoyer dans l’eau, Et meſme ſi la Lune en veut croire ſon frere On ne les verra plus deſſus notre Emisphere.	Le lour fuirait d'horreur du séjour ou nous sommes Si ce n'était qu'il vit vous déceler aux hommes, Le Soleil tout honteux éteignant son flambeau Au lieu de se coucher, se vanoyer dans l'eau, Et même si la Lune en veut croire son frère On ne les verra plus dessus notre Émisphère.
Mes yeux détournez vous d’vn lamentable obiet Retirez vous mes pas de ce triste ſuiet?	Mes yeux détournez -vous d'un lamentable objet Retirez -vous mes pas de ce triste sujet?
Mon cœur pour y penſer en croit eſtre complice;	Mon cœur pour y penser en croit être complice;
Aſſaßins, ſans delay ie vais à la Iuſtice.	Assassins, sans délai ie vais à la Justice.
LE PREMIER PESCHEVR.	LE PREMIER PÉCHEUR.
Eſcoutez nous, mon Pere, & qu’il nous ſoit per De nous iuſtifier de ce meurtre commis;	Écoutez nous, mon Père, et qu'il nous soit per De nous justifier de ce meurtre commis;
Nous ſommes innocens, vn crime ſi funeste ( mis Nous feroit plus d'horreur que la guerre ou la peſte;	Nous sommes innocents, un crime si funeste ( mis Nous ferait plus d'horreur que la guerre ou la peste;
Le ciel nous eſt témoin ſi pareille action Fut iamais ſeulement en nôtre intention.	Le ciel nous est témoin si pareille action Fut jamais seulement en notre intention.
Au reſte, ſimples gens, ſans reproche & ſans blâme Qui ne ſçauroient toucher de baston qu’vne rame:	Au reste, simples gens, sans reproche et sans blâme Qui ne sauraient toucher de bâton qu'une ramène:
Nous paſſons notre vie à courir ces hameaux Et vendre les poiſſons que nous tirons des eaux	Nous passons notre vie à courir ces hameaux Et vendre les poissons que nous tirons des eaux
LE SECOND:	LE SECOND:
Il eſt vray que ſurpris en l’eſtat ou nous ſommes On nous croira d’abord les plus meſchans des hõmes Mais bien toſt nos diſcours dans cette obſcurité Feroient aux yeux de tous luire la verité:	Il est vrai que surpris en l'état où nous sommes On nous croira d'abord les plus méchants des hommes Mais bien tôt nos discours dans cette obscurité Feraient aux yeux de tous luire la vérité:
Qu'on nous faſſe ſoufrir nous mettant à la geſne Deſſus vn fait douteux vne peine certaine.	Qu'on nous fasse souffrir nous mettant à la gêne Dessus un fait douteux une peine certaine.
Le Ciel ſera pour nous, ce Soleil qui nous luit Fera voir l’innocence au milieu de la nuit.	Le Ciel sera pour nous, ce Soleil qui nous luit Fera voir l'innocence au milieu de la nuit.
L’HERMITE.	L'HÉRMITE.
Appellez vous le Ciel témoin de vos paroles Que vons n'accompagnez que d'excuſes friuoles?	Appelez -vous le Ciel témoin de vos paroles Que vons n'accompagnés que d'excuses frivoles?
Vous eſtes innocens, aſſaßins inhumains!	Vous êtes innocents, assassins inhumains!
Qui vous auroit donc mis ce corps entre les mains?	Qui vous aurait donc mis ce corps entre les mains?
LE PREMIER PESCHEVR.	LE PREMIER PÉCHEUR.
Tantoſt lors que le iour ſortoit du ſein de l’onde Et faiſoit de nouueau ſon entree en ce monde;	Tantôt lors que le jour sortait du sein de l'onde Et faisait de nouveau son entrée en ce monde;
i Nous eſtions ocupez à peſcher le poiſſon Qui ſe prend aux apas d’vn ſubtil hameçon Comme nous auons veu floter ſur la riuiere Cemalheureux butin d’vne main carnaciere;	y Nous étions occupés à pêcher le poisson Qui se prend aux apas d'un subtil hameçon Comme nous avons vu floter sur la rivière Cemhaleureux butin d'une main carnacière;
De fort loin nous iugions que ce fut vn fardeau Qu'on euſt ſans y penſer laiſſe choir d’vn bateau, Lors que ce triſte obiet des rigueurs de la Parque Est venu peu à peu rencontrer notre Barque;	De fort loin nous jugions que ce fut un fardeau Qu'on eût sans y penser laisse choir d'un bateau, Lors que ce triste objet des rigueurs de la Parque Est venu peu à peu rencontrer notre Barque;
L’ayant receu dedans auec aſſez d’effort Nous fames etonnez d’auoir pris vn corps mort Et nous n’auons icy deſſein que de luy rendre Le dernier des deuoirs.	L'ayant reçu dedans avec assez d'effort Nous famés étonnés d'avoir pris un corps mort Et nous n'avons ici dessein que de lui rendre Le dernier des devoirs.
HALADIN.	HALADIN.
Ie pourrois bien aprendre Qu’eſt deuenu Damon, en ceslieux écartez, Si le fleuue rapide en ces flots irritez Le pouuoit à la fin vomir de ſes entrailles Sans doute les amours feroient ſes funerailles;	Je pourrais bien apprendre Qu'est devenu Damon, en ceslieux écartés, Si le fleuve rapide en ces flots irrités Le pouvait à la fin vomir de ses entrailles Sans doute les amours feraient ses funérailles;
Ils viendroient tous bãdez non pas d’vn voile blãc, Mais d’vn creſpe de dueil pleurer deſſus ſon ſang	Ils viendraient tous bãdez non pas d'Heur voile blants, Mais d'un crêpe de dueil pleurer dessus son sang
Helas!	Hélas!
ie cherche en vain;	Les cherche en vain;
ces bonnes gens peut eſtre M en diront quelque choſe:	ces bonnes gens peut être M en diront quelque chose:
ha mon Maiſtrel mon Maistrel Est ce dõc toy Damon, vous trõpez vous mes yeux A t’il pas maintenant ſa place entre les Dieux, Eſt tu pas mort Damon?	ha mon Maîtrel mon Maîtrel Est ce dont toi Damon, vous trõpez vous mes yeux A -til pas maintenant sa place entre les Dieux, Est tu pas mort Damon?
eſt-ce icy ta peinture Parle donc, ſi tu vis, mon amour t’en coniure!	est-ce ici ta peinture Parle donc, si tu vis, mon amour t'en conjure!
Au moins qu'vn ſeul regard me vienne conſoler S’il ne t’eſt pas poßible ou permis de parler Ne te ſouuient il plus de la voix qui t’apelle Ny du nom d’Haladin qui te fut ſi fidelle?	Au moins qu'un seul regard me vienne consoler S'il ne t'est pas pouvible ou permis de parler Ne te souvient il plus de la voix qui t'appelle Ni du nom d'Haladin qui te fut si fidèle?
Quoy?	Quoi?
faut-il que prenant les qualitez de l’eau Tu ne me puiſſe encore aymer dans le tombeau?	faut-il que prenant les qualités de l'eau Tu ne me puisse encore aimer dans le tombeau?
Mon cher maiſtre, Damon, contente mon enuie S’il reſte ſeulement vn ſoûpir à ta vie:	Mon cher maître, Damon, contente mon envie S'il reste seulement un soupir à ta vie:
Ie m’abuſe il eſt mort, & ſes charmes vainqueurs Ont perdu cet éclat qui captiuoit les cœurs;	Je m'abuse il est mort, et ses charmes vainqueurs Ont perdu cet éclat qui captivait les cœurs;
Que la mort toutefois paraiſt douce en ſa face Qu'elle a de vanité d’auoir pris cette placel Cruelle deité qui n’eut iamais d’Autels Qu'on te priue a propos du droit des immortels!	Que la mort toutefois paraît douce en sa face Qu'elle a de vanité d'avoir pris cette placel Cruelle deité qui n'eut jamais d'Autels Qu'on te prive a propos du droit des immortels!
Sa bouche ne peut plus conclurre des oracles, Ses yeux ou la Nature auoit fait des miracles Ou le Dieu de l’amour feſoit ſon firmament, Son cœur ſidelle, he Dieux il a du mouuement Cette lente chaleur, ſon poux qui but encore Mõtre qu’il n’eſt pas mort:	Sa bouche ne peut plus conclurre des oracles, Ses yeux ou la Nature avait fait des miracles Ou le Dieu de l'amour fallait son firmament, Son cœur sidelle, hé Dieux il a du mouvement Cette lente chaleur, son poux qui but encore Maître qu'il n'est pas mort:
bon vieillard que i’hoA qui l’age & le tẽps ou vos iours ſont venus (nore Ont donné des ſecrets à tout autre inconnus Dieu de qui vous tenez la vie & la ſcience Vous donne vn beau ſujet d’en faire experience.	bon vieillard que j'hoA qui l'age et le temps ou vos jours sont venus (nore Ont donné des secrets à tout autre inconnus Dieu de qui vous tenez la vie et la science Vous donne un beau sujet d'en faire expérience.
L’HERMITE.	L'HÉRMITE.
Dieu!	Dieu!
que vos iugemens ont d’etranges reſſors Inconnus aux esprits dans la priſon des corps?	que vos jugements ont d'étranges ressors Inconnus aux esprits dans la prison des corps?
Mon Amy, dittes nous le nom de vôtre maïtre I'espere de le faire auec le temps renaître	Mon Ami, dites nous le nom de votre maître J'espère de le faire avec le temps renaître
HALADIN.	HALADIN.
C’eſt vn des principaux des Aquitaniens Grand de ſang & de nom de vertus & debiens, Mais c’eſt perdre le temps d’en dire d’auantage Il nous le faut porter dedans vôtre hermitage.	C'est un des principaux des Aquitaniens Grand de sang et de nom de vertus et debiens, Mais c'est perdre le temps d'en dire davantage Il nous le faut porter dedans votre hermitage.
L’HERMITE.	L'HÉRMITE.
C’eſt bien dit, dépeſchons, leueZ le doucement I'ay des moyens tous preſts pour ſon allegement	C'est bien dit, dépêchons, levez le doucement J'ai des moyens tous prêts pour son allégement
HALADIN.	HALADIN.
nhis Amis, preſteZ nous vne main ſecourable Aſſurez de ma part d’vn loyer honorable,	nhis Amis, prêtez nous une main secourable Assurés de ma part d'un loyer honorable,
A L	À L
ON1  ACiilRE.	ON1 ACiilRE.
LERIANE.	LERIANE.
dεα L le faut, il eſt temps, Leriane conçoy  Vn crime à te vanger qui ſoit digne de Av toy Vn crime tout nouueau, crime que l’enfer meſme Reconnoiſſe pout tien, que tu craignes toy meſme.	droit L le faut, il est temps, Lériane conçois Un crime à te venger qui soit digne de Av toi Venn crime tout noyeau, crime que l'enfer assez Reconnaisse pout tien, que tu craignes toi -même.
Capable d’obſcurcir la lumiere du iour Et tel enfin qu’estoit nagueres ton Amour:	Capable d'obscurcir la lumière du jour Et tel enfin qu'était naguères ton Amour:
C’eſt le propre touſiours des grands Eſprits de faire Vncrime qui ſoit grand, & rien moins que vulgaire I’aurois	C'est le propre toujours des grands Esprits de faire Uncrime qui soit grand, et rien moins que vulgaire J'aurais
I’aurois peu de colere & peu d’impieté Si ie n’entreprenois vn acte inuſité, Acte qu’au pis aller la poſterité blâme Mais qu’on dira venir de l’eſprit d’vne femme:	J'aurais peu de colère et peu d'impiété Si tu n'entreprenais un acte inusité, Acte qu'au pis aller la postérité blâme Mais qu'on dira venir de l'esprit d'une femme:
Le crime le plus graue en l’Ame des plus ſaints C’eſt celuy que preſcrit ma haine à mes deſſeins;	Le crime le plus grave en l'Âme des plus saints C'est celui que prescrit ma haine à mes desseins;
I'ay ſceu l’art d’ofencer auant que de l’aprendre, Et ie m’en veux ſeruir ſur Madõte & Therſandre.	J'ai su l'art d'ofenser avant que de l'apprendre, Et toujours m'en veux servir sur Madompte et Thersandre.
Ma hayne eſt en bon lieu pour répondre amplemẽt Au projet arreſté de vanger mon tourment;	Ma haine est en bon lieu pour répondre amplement Au projet arrêté de venger mon tourment;
Deux fortes paßions animent mon courage A ſuſciter contre eux tous les vens de l’orage L’Amour & la fureur, deux puiſſans ennemis Ont fait croire à mes ſens que tout m’eſtoit permis L’vne & l’autre au beſoin extreme & violente Semblent dire à ma main qu’elle est vn peu trop lẽte.	Deux fortes passions animent mon courage A susciter contre eux tous les vents de l'orage L'Amour et la fureur, deux puissants ennemis Ont fait croire à mes sens que tout m'était permis L'une et l'autre au besoin extrême et violente Semblent dire à ma main qu'elle est un peu trop lẽte.
Il luy faut imputer ce que la loy defent Et l’accuſer au Roy d’auoir fait vn enfant, Qu'elle a connu Therſandre, & qu’il en eſt le pere Ce qui doit reüßir ainſi que ie l’eſpere;	Il lui faut imputer ce que la lois défent Et l'accuser au Roi d'avoir fait un enfant, Qu'elle a connu Thersandre, et qu'il en est le père Ce qui doit réussir ainsi que sans l'espère;
Ormante à qui l’Amour a fait goûter les fruits Que l’on peut recueillir des plus étroites nuits	Ormante à qui l'Amour a fait goûter les fruits Que l'on peut recueillir des plus étroites nuits
A qui le beau Damon dans l’ardeur d’vn ieune âge A donné les plaiſirs d’vn doux aprentiſſage Porte enfin dans le ſein ce qu’on ne peut cacher Attendant tous les iours le moment d’acoucher:	À qui le beau Damon dans l'ardeur d'un jeune âge A donné les plaisirs d'un doux apprentissage Porte enfin dans le sein ce qu'on ne peut cacher Attendant tous les jours le moment d'acoucher:
Il te faut.	Il te faut.
Leriane, vſer de diligence Pour mettre au iour l’efet d’vne douce vengeance Madonte bien ſouuent paſſe la nuit en pleurs Dedans ſon cabinet à plaindre ſes malheurs;	Leriane, user de diligence Pour mettre au jour l'efet d'une douce vengeance Madonte bien souvent passe la nuit en pleurs Dedans son cabinet à plaindre ses malheurs;
Il faut prenant ce temps, introduire en ſa place Ormante à qui la peur donnera de l’audace, Decharger vn fardeau qui luy coûte beaucoup;	Il faut prenant ce temps, introduire en sa place Ormante à qui la peur donnera de l'audace, Decharger un fardeau qui lui coûte beaucoup;
Puis ie verray le Roy luy maintenant ſans honte Qu'on a treuué l’Enfant dans le lit de Madonte.	Puisque verrai le Roi était maintenant sans honte Qu'on a trouvé l'Enfant dans le lit de Madonte.
I ay déia du plaiſir meſme deuant l’efet De repaître mon cœur en penſant au forfait Mais qu’elle ſotte peur me tient en reſuerie?	I ai déjà du plaisir même devant l'efet De repaître mon cœur en pensant au forfait Mais qu'elle sotte peur me tient en rêverie?
Mon eſprit eſt-il pas aſſez plein de furie?	Mon esprit est-il pas assez plein de furie?
Le Ciel à ces propos deuient ſans mouuement, Le Soleil qui ſe cache en a du ſentiment;	Le Ciel à ces propos devient sans mouvement, Le Soleil qui se cache en a du sentiment;
Peut-eſtre que l’Enfer n’oſeroit entreprendre Tout ce que mon diſcours luy vient de faire entendre	Peut-être que l'Enfer n'oserait entreprendre Tout ce que mon discours homme vient de faire entendre
N’importe, s’en eſt fait:	N'importe, s'en est fait:
pourquoy tant disputer D’vn ſucces malheureux qu’on ne peut areſter?	pourquoi tant disputer D'un succès malheureux qu'on ne peut arter?
L'ocaſion d'ailleurs eſt touſiours ſouhaitable A quiconque ſçait faire vn crime profitable, L’esprit eſt innocent quand la neceßit?	L'ocasion d'ailleurs est toujours souhaitable À quiconque Sait faire un crime profitable, L'esprit est innocent quand la necessit?
Porte les mains de l’homme à quelque extremité Et le ciel außi bien n’ofre de medecine A mes maux enuieillis que leur promte ruine.	Porte les mains de l'homme à quelque extrémité Et le ciel aussi bien n'ofre de médecine À mes maux envieillis que leur promte ruine.
A F P I	À F P I
SCENE II.	SCÈNE II.
LEOTARIS SEVL.	LEOTARIS SEUL.
E ſuis-ie pas heureux?	E suis-je pas heureux?
Leriane a du bien Qui m'oblige à noyer mon ſoucy dans le ſien, Mes mains ont obligé l’honneur à mon épee La gloire à mon ſujet est touſiours ocupee, Le bon deſtin me rit, meſme i’ay bouche à Cour Pour auoir à propos vsé d’vn mot d’Amour;	Lériane a du bien Qui m'oblige à noyer mon souci dans le sien, Mes mains ont obligé l'honneur à mon épee La gloire à mon sujet est toujours occupée, Le bon destin me rit, même j'ai bouche à Cour Pour avoir à propos zé d'un mot d'Amour;
Ie ſçay le temps qu’il faut & parler & ſe taire On ayme mon humeur qui n’eſt point ſolitaire;	Je sais le temps qu'il faut et parler et se taire On aime mon humeur qui n'est point solitaire;
Ie ne ſuus pas de ceux que l’on repaiſt de vent Et me peye au beſoin par mes mains bien ſouuent;	Je ne suus pas de ceux que l'on repaît de vent Et me péie au besoin par mes mains bien souvent;
Ie treuue des vertus au cœur du plus étrange Et ie ſçay la façon de dire vne loüange, On me ſoufre en tous lieux, toutes mes actions Pour mes amis & moy briguent des penſions:	Je trouve des vertus au cœur du plus étrange Et apprendre sais la façon de dire une louange, On me souffre en tous lieux, toutes mes actions Pour mes amis et moi briguent des pensions:
Ie doute quel demon a formé mon eſſence Mais le bonheur ſuiuit le point de ma naiſſance En fin ie ſuis de ceux que l’on voit auiourd’huy Ayder à pris d’argent les paßions d’autruy, Afranchir vn danger auant que le conneſtre Faire peur à la mort quand elle oſe pareſtre:	Je doute quel démon a formé mon essence Mais le bonheur suivit le point de ma naissance En fin ie suis de ceux que l'on voit aujourd'hui Aider à pris d'argent les passions d'autrui, Afranchir ainsi danger avant que le connaître Faire peur à la mort quand elle ose paraître:
Mais ie ne ſonge pas que Leriane & moy Nous deuons ce matin nous rendre pres du Roy Sa raiſon depuis peu pareſt enſeuelie Dans les noires humeurs de la melancolie, Elle ne voit perſonne, & donne à tout moment Quelque ſigne aſſuré d’vn mécontentement;	Mais personne ne songe pas que Lériane et moi Nous devons ce matin nous rendre pres du Roi Sa raison depuis peu parêt ensevelie Dans les noires humeurs de la mélancolie, Elle ne voit personne, et donne à tout moment Quelque signe assuré d'un mécontentement;
Il faut qu’elle ayt receulquelque trait de diſgrace, Elle parle en ſoy meſme, elle vſe de menace,	Il faut qu'elle ait reçulquelque trait de disgrâce, Elle parle en soi même, elle use de menace,
Sa douleur ſe fait voir iuſque dedans ſes yeux Veritables témoins d’vn esprit furieux:	Sa douleur se fait voir jusque dedans ses yeux Véritables témoins d'un esprit furieux:
La voicy, ce me ſemble, auecque Toriſmonde, Quelque trouble nouueau regne parmy le monde.	La voici, ce me semble, avec Torismonde, Quelque trouble nouveau règne parmi le monde.
A I L	À I L
SCENE III.	SCÈNE III.
LE ROY:	LE ROY:
LERIANE:	LERIANE:
MADONTE:	MADONTE:
THERSANDRE.	THÉRSANDRE.
amis LE ROY.	amis LE ROY.
N cet eſtat de gloire ou ma valeur m’a mis Il n’eſt point de deſtins qui ne me ſoient Ie marche égalaux Cieux, & plus puiſſant en terre Que ſi i’auois vn ſceptre au deſſus du tonnerre, Et i’attens que le monde aſſuietty par moy Cõme il n’a qu’vn Soleil, ne ſerue außi qu’vn Roy Ma reputation égale à mes merites Me donne des honneurs qui n’ont point de limites Mais dans l’heureux ſucces de mes actes guerriers Faut-il que ce malheur ombrage mes lauriers?	N cet état de gloire ou ma valeur m'a mis Il n'est point de destins qui ne me soient Je marche égalaux Cieux, et plus puissant en terre Que si j'avais un sceptre au dessus du tonnerre, Et j'attends que le monde assuietty par mo Cõme il n'a qu'un Soleil, ne serve aussi qu'un Roi Ma réputation égale à mes mérites Me donne des honneurs qui n'ont point de l' Mais dans sheureux succès de mes actes guerriers Fauteur que ce malheur ombrage mes lauriers?
Ie ne puis aysément conſeiller ma puiſſance, Ma iuſtice a long temps diſputé ma clemence;	Je ne puis aisément conseiller ma puissance, Ma justice a long temps disputé ma clémence;
Fauoriſant vn crime, on offence les Dieux, C’eſt peu d’auoir porté ma teſte dans les Cieux Et ma iuſte grandeur au comble de la gloire Si la rigueur des loys n’aſſure ma victoire;	Favorisant un crime, on offense les Dieux, C'est peu d'avoir porté ma tête dans les Cieux Et ma juste grandeur au comble de la gloire Si la rigueur des lois n'assure ma victoire;
C’eſt peu d’auoir borne ſes exploits de la mer Q vn ſiege ou qu’vn combat nous ayt fait eſtimer, Si la paix qui nourrit les lois & la iuſtice Par des impuniteZ autoriſe le vice:	C'est peu d'avoir borne ses exploits de la mer QU d siege ou qu'un combat nous ait fait estimer, Si la paix qui nourrit les lois et la justice Par des impunités autorise le vice:
Gardez bien d’outrager par quelque fauſſeté Celle que vous marquez d’vne impudicité.	Gardez bien d'outrager par quelque fausseté Celle que vous marquez d'une impudicité.
LERIANE.	LERIANE.
I’ay l’eſprit tout confus, & ie ſoufre vn martire Mon deuoir contraignant ma langue de le dire:	J'ai l'esprit tout confus, et notre souffre un martyre Mon devoir contraignant ma langue de le dire:
Et pleignant ſon malheur, ie voudrois en éfet Qu'on peuſt vanger ſur moy le peché qu'elle a fait Mes ſoins s’en remettoient deſſus ſa conſcience Et i’euſſe creu faillir d’en auoir défiance, Elle ſemble pourtant apres cette action l’ils digne de pilte que de plnuion.	Et pleignant son malheur, ie voudrais en éfet Qu'on pût venger sur moi le péché qu'elle a fait Mes soins s'en remettaient dessus sa conscience Et j'eusse cru faillir d'en avoir défiance, Elle semble pourtant après cette action l'ils digne de pilte que de pluion.
LE ROY.	LE ROY.
La rigueur de nos lois défend qu’on luy pardonne I’en fais autant d’eſtat comme de ma couronne I’eſtime que les Dieux ne formerent les Roys Que pour entretenir la puiſſance des loys;	La rigueur de nos lois défend qu'on lui pardonne J'en fais autant d'état comme de ma couronne J'estime que les Dieux ne formèrent les Rois Que pour entretenir la puissance des lois;
Vn Royaume eſt facile à regir ce me ſemble Quand le ſceptre & la loy ſe maintiennent ensẽble:	Un Royaume est facile à régir ce me semble Quand le sceptre et la loi se maintiennent ensemble:
Mais il les faut ouïr ſur cette verité Auant que de iuger de leur integrité:	Mais il les faut ouïr sur cette vérité Avant que de juger de leur integrité:
Que l’on m’ameine icy Madonte auec Therſandrel Ils ont quelques raiſons peut-estre à ſe defendre.	Que l'on m'amène ici Madonte avec Thersandrel Ils ont quelques raisons peut-être à se défendre.
LERIANE, Que vous verrez tantoſt deux eſprits étonneZ Mais que leur conſcience a déja condamnez I'ay de l’horreur penſant aux ſecrettes pratiques Dont ils bleſſoient l’honneur de nos Dieux domeIls auront de la peine à ſe iustifier.	LERIANE, Que vous verrez tantôt deux esprits étonnés Mais que leur conscience a déjà condamnés J'ai de l'horreur pensant aux secrètes pratiques Dont ils blessaient l'honneur de nos Dieux domeIls auront de la peine à se justifier.
ſtiques,	stiques,
MADONTE.	MADONTE.
Dienx.	Dienx.
d qui deſ rmais ſe peut on pius fier.	d qui des ramais se peut on pius fier.
LE ROY.	LE ROY.
Madonte, failloit-il que pour eſtre ſi belle On vous veît auiourd’huy deuant moy criminelle?	Madonte, faillait-il que pour être si belle On vous veît aujourd'hui devant moi criminelle?
Peut eſtre-eu ßiez vous creu faire vne nouueauté Conſeruant de l’honneur auec de la beauté!	Peut être-ce viez -vous cru faire une nouveauté Conservant de l'honneur avec de la beauté!
Therſandre penſiez-vous ſans hõte & hors deblâContenter auec elle vne amoureuſe flame?	Thersandre pensiez-vous sans hommes et hors deblâContenter avec elle une amoureuse flamme?
me Et vous en qui ma Cour treuuoit tout ſon bonheur Comment aueZ vous fait ce tort à vôtre honneur:	me Et vous en qui ma Cour trouvait tout son bonheur Comment aueZ vous fait ce tort à votre honneur:
AſſureZ vôtre eſprit, qu’auez vous a répondre?	Assurez votre esprit, qu'avez -vous a répondre?
MADONTE.	MADONTE.
Etrange calomnie!	Etrange calomnie!
ô cieux pour me cenfondre Que vous me preparez de melheurs à la feis!	ô cieux pour me cenfondre Que vous me préparez de melheurs à la feis!
Ce coup inopiné, me derobe la voix;	Ce coup inopiné, me derobe la voix;
Ie ne ſçay que penſer, & ma raiſon confuſe Me permet la parole, & puis me la refuſe;	Je ne sais que penser, et ma raison confuse Me permet la parole, et puis me la refuse;
