PAALTAANDRE ITARDI,PaTſnen.	PALTANDRE ITARDI,PaTsnen.
CARICLE’E.	CARICLÉLÉ.
Il paroît bien Gnémon que votre âge glacée, D'vn véritable amour ignare s'eſt paſſée, » L’amour toujours en crainte, & prête à ſoupçoner, " vous vient deſſur vn rien mile alarmes doner, » Il n’a point d’aßûrance, & ce qu’on touche même 2 Eſt à peine croyable en vn amour extrême.	Il paraît bien Gnémon que votre âge glacée, D'un véritable amour ignare s'est passée, " L'amour toujours en crainte, et prête à soupçoner, " vous vient dessur un rien mile alarmes doner, " Il n'a point d'assûrance, et ce qu'on touche même 2 Est à peine croyable en un amour extrême.
CALASIRE.	CALASIRE.
Laiſſons ce diférent à déméler ailleurs, La prudence requiſe à nos préſens malheurs, A ſauuer Theagene, & en toute aßûrance Pénétrer où il eſt, acablé de ſoufrance:	Laissons ce diférent à déméler ailleurs, La prudence requise à nos présents malheurs, A sauver Théagène, et en toute assûrance Pénétrer où il est, acablé de soufrance:
Ma fille, c’eſt qu’il faut en habir déguiſé, En habit loqueteux, miſerable, & vsé, Ta beauté de noirceur, & de craſſe enlaidie,	Ma fille, c'est qu'il faut en habir déguisé, En habit loqueteux, misérable, et usé, Ta beauté de noirceur, et de crasse enlaidie,
P.	P.
iiij Que ſon vi vre en chemin chacun de nous mandie.	jij à son vi vre en chemin chacun de nous mandie.
Ainſy nous franchirons les plus âpres dangers, Ainſy nous paſſerons aux pays etrangers, Sans aguet, ſans frayeur, ſans mauuaiſe rencontre, Et ainſy l’amitié au beſoin ſe démontre.	Ainsi nous franchirons les plus âpres dangers, Ainsy nous passerons aux pays étrangers, Sans aguet, sans frayeur, sans mauvaise rencontre, Et ainsi l'amitié au besoin se démontre.
CARICLEE.	CARICLE.
Ne ſe laſſent iamais les Dieux de m’afliger, Si Theagene, & moy deſirant voyager, N'auions prémedité votre ruſe, (mon Pere) A laquelle d’vn cœur pur, & franc i’obtempere;	Ne se lassent jamais les Dieux de m'afliger, Si Théagène, et moi désirant voyager, N'avions prémédité votre ruse, (mon Père) A laquelle d'un cœur pur, et franc j'obtempère;
La beauté, l’ornement, la parûre du corps, L’Empire de la terre, auec tous ſes treſors, 4 Ne me ſont qu’odieux, que fange, que nuiſance, Leur tomparant mon frete, e ſa chere preſence, Son ſalut ie préfere à ma vie, à mes biens, Ie me ſoumets à tout pour rompre ſes liens.	La beauté, l'ornement, la parûre du corps, L'Empire de la terre, avec tous ses trésors, 4 Ne me sont qu'odieux, que fange, que nuisance, Leur tomparant mon frète, eût sa chère présence, Son salut été préfère à ma vie, à mes biens, Je me soumets à tout pour rompre ses liens.
NAVSICLE.	NAUSICLE.
Mes bons amis, l’honeur de votre conoiſſance, Par l’habitude a pris ſi profonde acroiſſance, Tant dauantage acquis deſſur mon amitié, Que ie voudrois tou jours vous eſtre aſſocié, Que nous n’eußions enſemble à vi vre qu’vne vie, Mais ma vacation autre part me conuie, Le retour du Printems qui ſérêne les flots, Du trafic maintenant m'ouure le chemin clos;	Mes bons amis, l'honeur de votre conaissance, Par l'habitude a pris si profonde acraissance, Tant davantage acquis dessur mon amitié, Que ainsi voudrais tou jours vous chang associé, Que nous n'eussions ensemble à vi vre qu'une vie, Ma ma vacation autre part me convie, Le retour du Printemps qui sérêne les flots, Du trafic maintenant m'ouvre le chemin clos;
Ce m’eſt come au Soldat le ſon de la trompette, Il faut bon gré malgré, qu’au départ ie m'aprête:	Ce m'est compe au Soldat le son de la trompette, Il faut bon gré malgré, qu'au départ ie m'apprête:
Dispoſez parauant de tout ce que ie puis, Exenjant ta contrainte, on nous jomes reauis.	Disposez paravant de tout ce que je puis, Exenjant ta contrainte, on nous jomes reavis.
CALASIRE.	CALASIRE.
Mercure vous conduiſe, & à votre voyage Done outre le proufit, vn hûreux nauigage, Aeole de ſon creux ne lâche que les vens, A votre ſureté fauorables ſeruans;	Mercure vous conduise, et à votre voyage Done outre le profit, un hûreux navigage, Aéole de son creux ne lâche que les vents, À votre sûreté favorables servants;
Thetis vous ſoit propice, & ou aucune infortune, Ne vous puiſſe ariuer pelerin de Neptune, A nos contentemens nous puißions-nous reuoir, Et vous rendre bien tõt vn mutüel deuoir.	Thétis vous soit propice, et ou aucune infortune, Ne vous puisse ariver pèlerin de Neptune, A nos contentements nous pouvions-nous revoir, Et vous rendre bien temps v mutüel devoir.
GNÉMON.	GNEMON.
La raiſon ne veut pas qu'à mon aiſe ie viue, Tant que vous filerez vne erreur fugitiue, Que premier Theagene en liberté remis, D ijerdurepos mement vous ſera permi;	La raison ne veut pas qu'à mon aise main vive, Tant que vous fils une erreur fugitive, Que premier Thagène en liberté remis, D éjerdurepos m' es sera permi;
Alons enſemblêment procurer ſa franchiſe, Compagnon du labeur ie m’ofre ſans feintiſe.	Alons ensemblément procurer sa franchise, Compagnon du labeur toujours m'ofre sans feintise.
CALASIRE.	CALASIRE.
Non, non, car ma préſence où il eſt, en vut deux, Ores nous ne tenons vn deſſein hazardeux, Qui deſire autre eſcorte, & plus de compagnie;	Non, non, car ma présence où il est, en vut deux, Ores nous ne tenons un dessein hasardeux, Qui désire autre escorte, et plus de compagnie;
Demeurez, & le Ciel votre couple benie.	Demeurez, et le Ciel votre couple bénie.
GNEMON.	GNEMON.
Puis qu'ainſy le voulez, ie vous obëiray, Et aux Dieux cependant humble ſacrifiray, Ma priere, & mes vœux, afin qu’en leur tutelle, Ce bon espoir conçù enſuiue vne fin telle.	Puis qu'ainsy le voulez, je vous obéirai, Et aux Dieux cependant humble sacrifirai, Ma prière, et mes vœux, afin qu'en leur tutelle, Ce bon espoir conçù ensuive une fin telle.
2	2
NAVSICLE.	NAUSICLE.
Entrons dans la maiſon nos adieux acheuer,	Entrons dans la maison nos adieux achever,
SCENE II.	SCÈNE II.
MESSAGER, CHOEVR DE MEMPHIENS.	MESSAGER, CHOEUR DE MEMPHIENS.
MESSAGER.	MESSAGER.
Eſclandre!	Esclandre!
ô malheur!	ô malheur!
ô défaite honteuſe!	ô défaite honteuse!
SO journee cent fois, & cent calamiteuſe!	SO journée cent fois, et cent calamiteuse!
Bons Dieux!	Bons Dieux!
qui l’eut penſé!	qui l'eut pensé!
des brigans ramaſſe Auoir pour nous domter de la valeur aſſez Auoir aſſez d’efprit pour vn tel ſtratagéme!	des brigants ramasse Auoir pour nous dompter de la valeur assez Avoir assez d'efprit pour un tel stratagème!
Où Mitrane ſurpris eſt demeuré luy-méme!	Où Mitrane surpris est demeuré notre-même!
Mitrane notre chef!	Mitrane notre chef!
ha!	ha!
de frayeur glacé, Ie ne difere rien d'vn home trepaße, L’ennemy pourſuiuant me talone en idée, Et la ville me fuit encore qu’abordée.	de frayeur glacé, Je ne difère rien d' Home trepasse, L'ennemi poursuivant me talone en idée, Et la ville me fuit encore qu'abordée.
CHOEVR.	CHOEUR.
Aréte vn peu ſoldat, où cours-tu ſi hâtiſ?	Arette un peu soldat, où cours-tu si hâtis?
I’augure en te voyant quelque cas de chéti	J'augure en te voyant quelque cas de chéti
MESSAGER.	MESSAGER.
Penſez à vous ſauuer, où bien à vous défendre, Où bien ſans m'informer courez les armes prendre, Vn peuple de brigans qui Mitrane a défait, Que nous auons ſenty trop vaillant à l’éfet, Acourt à toute bride, enflé de ſa victoire, Pour emporter la ville.	Pensez à vous sauver, où bien à vous défendre, Où bien sans m'informer courez les armes prendre, Un peuple de brigants qui Mitrane a défait, Que nous avons senti trop vaillant à l'éfet, Acourt à toute bride, enflé de sa victoire, Pour emporter la ville.
CHOEVR.	CHOEUR.
O Dieux!	Ô Dieux!
eſt-il à croire, Que ces deſespereZ attentent iuſques-la.	est-il à croire, Que ces désespérez attentent jusques-la.
MESSAGER.	MESSAGER.
Croyez-moy, qu’il n’eſt rien plus certain que cela, DJ0 lua AJroniere, Se découure aiſément de leur flote guerriere.	Croyez-moi, qu'il n'est rien plus certain que cela, DOTE lua ARonière, Se découvre aisément de leur flotte guerrière.
CHOEVR.	CHOEUR.
Courons ſubitement la Princeſſe auertir, Et deſſur nos rempars des gardes départir, Faire ſelon le temps au moins mal toute choſe, Qu'à ce rogue torent de bone heure on s’opoſe,	Courons subitement la Princesse avertir, Et dessur nos rempars des gardes départir, Faire selon le temps au moins mal toute chose, Qu'à ce rogue torent de bone heure on s'oppose,
SCENE III.	SCÈNE III.
THIAMIS, HERAVT, TROVPE DDDHCCRHEJMACE, CHOEVR DE MEMPHIENS.	THIAMIS, HÉRAUT, TROUPE DDDHCCRHEJMACE, CHOEUR DE MEMPHIENS.
THIAMIS.	THIAMIS.
Nuincibles guerriers, qui pour vous premier, INe pouuez receuoir de capable laurier, De loüange condigne, & d’honeur qui ſufiſe, C'eſticy compagnons que n'vſant de remiſe Vne vile opulente à l’aſſaut préſenté Tout ſon peuple confus, & ſon chef abſenté Se courbe, s’humilie, à vos valeurs ſe done, Et de tous les trauaux du paſſé reguerdone:	Nuincibles guerriers, qui pour vous premier, INe pouvez recevoir de capable laurier, De louange condigne, et d'honeur qui suffise, C'étici compagnons que n'usant de remise V vile opulente à l'assaut présenté Tout son peuple confus, et son chef absenté Se courbe, s'humilie, à vos valeurs se done, Et de tous les travaux du passé réguerdone:
236 IIILAGENVE LI CARICLEE	236 IILAGENVE LI CARICLE
Ce grand nombre confus, inutile aux combas, Vous regardant en front mettra les armes bas;	Ce grand nombre confus, inutile aux combas, Vous regardant en front mettra les armes bas;
La pluſpart compoſé de vieillars, & de fames;	La plupart composé de vieillars, et de famés;
Mais au fer d’abordade il faut méler les flâmes, De morts indiferens combler leurs carefours, Pour acroître leur trouble, & leur éfroy toujours, Que ſi le mauuais ſort trompoit ma coniecture, Où pouuons nous trouuer plus belle ſépulture?	Mais au fer d'abordade il faut mêler les flammes, De morts indiférents combler leurs carefours, Pour acroître leur trouble, et leur éfroy toujours, Que si le mauvais sort ait ma conjeture, Où pouvons nous trouver plus belle sépulture?
Aquerir en mourant plus de gloire, & d’honeur?	Aquérir en mourant plus de gloire, et d'honeur?
Ie le répute à tous vn ſouuerain bon-heur, Au pris d’auoir coüars tapis en vne place, Semblables au poiſſon qui s’enferme en la naſſe, Orondate atandu d’vn grand Roy Lieutenant, Vn monde tout armé contre nous amenant, Pris de méme façon, qu'en ſa foible taniere Le conil on atrape à l’âme caſaniere:	Je le répute à tous un souverain bonheur, Au pris d'avoir coüars tapis en une place, Semblables au poisson qui s'enferme en la nasse, Orondate atandu d'un grand Roi Lieutenant, Un monde tout armé contre nous amenant, Pris de même façon, qu'en sa faible tanière Le conil on atrape à l'âme casanière:
Ha!	Ha!
qu’il me facheroit de ſoufrir vn trépas, Vn trépas vergogneux, & ne me vanger pas De vous voir mes amis garoter à ma vüë, La dextre en vn beſoin de ſecours dépour vûë, Auanture impoßible, au hazard entrepris, Qui ſurprenons autruy, auant qu’étre ſurpris;	qu'il me fâcherait de souffrir un trépas, Un trépas vergonneux, et ne me venger pas De vous voir mes amis garoter à ma vue, La dextre en un besoin de secours dépour vue, Aventure imposible, au hasard entrepris, Qui surprenons autrui, avant qu'être surpris;
Qui d’vn comencement foible, & de peu d’eſtime, Des ſuprémes honeurs pouuons toucher la cime, L'Egypte ſubiuguer, changeant ce nom vilain De Corſaire, en celuy de Seigneur ſouuerain:	Qui d'un comencement faible, et de peu d'estime, Des suprémes honeurs pouvons toucher la cime, L'Égypte subiuguer, changeant ce nom vilain De Corsaire, en celui de Su jet:
Ne vous y trompez-pas, il n’y a diférence Entreles Roys & nous, qu’vn titre d’aparance, Que leur forces etendptus granue, en pius ue tteux, Et qu’ils ſe font d’vn peuple adorer come Dieux, , Quiconque eſt vertüeux par deſſur vn vulgaire, » Merite comandant le rendre tributaire, ,, Ainſy les animaux du lion comandez, 5, Ainſy du grand Soleil les aſtres ſont guidez, Or l’éfet nous demande, & vn plus long langage, Ne feroit qu’ofencer votre noble courage, Que chacun en ſon rang Ie diſpoſe a l’aſſaut, Mais voicy de la vile arriuer vn Heraut?	Ne vous y trompez-pas, il n'y a diférence Entreles Rois et nous, qu'un titre d'apparance, Que leur forces étendptus granue, en pius ue teux, Et qu'ils se font d'un peuple adorer compe Dieux, , Quiconque est vertüeux par dessur vulgaire, » Merite comandant le rendre tributaire, ,, Ainsy les animaux du lion comandez, 5, Ainsy du grand Soleil les astres sont guidez, Or éfet nous demande, et plus long langage, Ne feroit ofencer votre noble courage, Que chacun en son rang Ie dispose a assaut, Mais voicy de la vile arriuer Heraut?
HERAVT.	HÉRAUT.
Arſace deuers vous (qui que ſoyez) me mande Sçauoir quelle manie inſpire votre bande, Ce que vous prétendez ſur la vile, & coment Vous oſez proceder ainſy hoſtilement Contre le droit de gens, contre la loy des armes, En façon de brigans plutôt que de geudarmes, Premier que nous auoir la guerre déclaré;	Arsace devers vous (qui que soyez) me mande Savoir quelle manie inspire votre bande, Ce que vous prétendez sur la vile, et compent Vous osez procéder ainsi hostilement Contre le droit de gens, contre la loi des armes, En façon de brigans plutôt que de geudarmes, Premier que nous avoir la guerre déclaré;
Donc en votre bon ſens retournez égaré, Que l’vn des principaux (car la voicy préſente) Sur le bord du rempart réponde ſans atante.	Donc en votre bon sens retournez égaré, Que l'un des principaux (car la voic yente) Sur le bord du rempart réponde sans atante.
THIAMIS.	THIAMIS.
La charge m’apartient, à moy qui ſuis moteur De la iuſte entrepriſe, & d’eux tous conducteur, Retourne deuers elle impoſant du ſilence, Lors ie me purgeray de telle violence, L’éliſant de bon cœur arbitre de mon tort;	La charge m'appartient, à moi qui suis moteur De la juste entreprise, et d'eux tous conducteur, Retourne devers elle imposant du silence, Lors ie me purgerai de telle violence, L'élisant de bon cœur arbitre de mon tort;
Vous autres cependant ne faites point d’éfort, Demeurez ſeulement ordonez en bataille, Prêts au moindre ſignal d'écheler la muraille, Ie la voy qui paroît dispoſée à m’oüyr:	Vous autres cependant ne faites point d'éfort, Demeurez seulement ordonez en bataille, Prêts au moindre signal d'écheler la muraille, Je la vois qui paraît disposée à m'oüyr:
Quantes fois de ce vœu i’ay deſiré ioüyr!	Quantes fois de ce vœu j'ai désiré jouir!
Princeſſe puis qu'il plaiſt à ta prudencé ſage.	Princesse puis qu'il plaît à ta prudencé sage.
ARSACE.	ARSACE.
O Dieux!	Ô Dieux!
c’eſt Thiamis de voix, & de viſage.	c'est Thamis de voix, et de visage.
THIAMIS.	THIAMIS.
Que ie luy rémémore vn outrage reçu, Ie dy rémémorer, déja tu l’auois ſçu, D'vn frere rauiſſeur le plus traître qui viue, Qui tient iniuſtement ma fortune captiue, De Pontife ſacré l’ofice m’a ſouſtrait, Obtenu mon ex'l ſous l’ombre d’vn forfait;	Que mille femme rémémore int outrage reçu, Je dis rémémorer, déjà tu l'avais suiv, D'un frère ravisseur le plus traître qui vive, Qui tient injustement ma fortune captive, De Pontife sacré l'ofice m'a soustrait, Obtenu mon ex'l sous l'ombre d'un forfait;
D'vn forfait ſupoſé, qui toy-même te touche, Come auec moy voulant abuſer do ta couche, (Peu chaſte) violer la coniugale loy, Et mile autres exces de cét home ſans foy, Me forcent malgré moy de venir aduerſaire Répéter deſſus luy mon droit heréditaire, Par armes obtenir (mon généreux recours) Ce que m'a re fuſe la iuſtice toujours;	D'un forfait suposé, qui toi-même te touche, Come avec moi voulant abuser do ta couche, (Peu chaste) violer la conjugale loi, Et mile autres excès de cet home sans foi, Me forcent malgré moi de venir adversaire Répéter dessus lui aux droit héréditaire, Par mes obtenir (mon généreux recours) Ce que m'a re fuse la justice toujours;
De me ſacrifier, & tous ceux de ma troupe, Permettre qu'vn à vn, plutôt on nous decoupe, Que l’impieux ne ſoit de ſes crimes puny, Et de la dignité de Pontife bany:	De me sacrifier, et tous ceux de ma troupe, Permettre qu'un à un, plutôt on nous decoupe, Que l'impieux ne soit de ses crimes puni, Et de la dignité de Pontife bani:
Or iuge maintenant Princeſſe, ie te prie, Si ie n’ay d’équité trop plus que de furie.	Or juge maintenant Princesse, je te prie, Si tu n'ai d'équité trop plus que de furie.
CHOEVR.	CHOEUR.
Sa plainte, & ſes raiſons valent bien le peſer, Et plutôt vn que tous au péril expoſer, Vn qu’il preuue coupable agreſſeur de l’iniure A fauxtitre vſurpant la ſacrificature.	Sa plainte, et ses raisons valent bien le peser, Et plutôt un que tous au péril exposer, Un qu'il preuve coupable agresseur de l'injure A fauxtitre usurpant la sacrificature.
ARSAGE.	ARSAGE.
O pauures inſenſez!	Ô pauvres insensés!
peuuent l’ambition L’audace temeraire, & la préſomption, Mais bien le deſespoir, & la forcénerie, Vous plonger les cerueaux en telle réuerie, De croire que Memphis redoute vos éforts, Qu'encores que ſon chef mon épous ſoit dehors, Du peuple qu'elle tient la milliéme partie N’engloutit votre troupe à la moindre ſortie, Que du Roy mon Germain le ſecours imploré, Leur nombre incompétant ne vous ût deuoré, Non vous me faites plus de pitié que de crainte, Vſez donc de priere, & non pas de contrainte, Ie con ſens de ma part équitable à tous deux, Pour voir plutôt la fin de ce diſcord hideux, Qu'vn düel ſur le champ vide votre querelle, Que le pact des Thebains ainſy ſe renouuelle, Qu'aux plus vaillant de vous, qu’au plus chéry des Dieha, Demeure la prétriſe étant victorieux, Ie le vay comander à ton frere Proſire, Si tu veux le party qu’on te préſente élire.	peuvent l'ambition L'audace téméraire, et la présomption, Mais bien le désespoir, et la forcénerie, Vous plonger les cerveaux en telle réuerie, De croire que Memphis redoute vos éforts, Qu'encores que son chef mon épous soit dehors, Du peuple qu'elle tient la millième partie N'engloutit votre troupe à la moindre sortie, Que du Roi mon Germain le secours imploré, Leur nombre incompétant ne vous ut décompté, Non vous me faites plus de pitié que de crainte, Veût donc que de, et ma pas de contrainte, Ie con sens de ma part ie tous deux, Pour voir et la fin de ce nô hideux, Qu'n düel sur le champ vide votre querelle, Que le pact des Thebains ainsy se renouuelle, Qu'aux plus vaillant de vous, ma plus chéry des a, Demeure la tye étant victorieux, Ie le vay comander à ton frère Prosire, Si tu veux le party on te présente élire.
THIAMIS.	THIAMIS.
De bon cœur ie l’accepte, à mon gré propoſé, A toute heure, en tous lieux me voilà diſpoſe D'atendre le hazar, de t’obëir, Princeſſe, Pour vù qu'il n'y ait point de fraude en ta promeſſe.	De bon cœur ie l'accepte, à mon gré proposé, A toute heure, en tous lieux me voilà dispose D'atendre le hasar, de t'obéir, Princesse, Pour vù qu'il n'y ait point de fraude en ta promesse.
ARSACE.	ARSACE.
Ie te done ma foy, ateſtant le Soleil, (Serment inuiolable, aux Oracles pareil,) Que ſans dol, où tu es ie le feray décendre Armé de méme ſorte, (& qui plus) condécendre, De te céder vainqueur le droit que tu prétens, Lts tiens en nompre egat, & tes miens aßiſtans, Auiſe à te treuuer au choc dedans vne heure.	Je te donce ma foi, atétant le Soleil, (Serment inviolable, aux Oracles pareil,) Que sans dol, où tu es ie le ferai décendre Armé de même sorte, (P qui plus) condécendre, De te céder vainqueur le droit que tu prétends, Lts tiens en né egat, et tes miens assistants, Auise à te trouver au choc dedans une heure.
THIAMIS.	THIAMIS.
Cette heure me ſera vn ſiecle de demeure.	Cette heure me sera un siècle de demeure.
TROVPE DE BESSAINS.	TROUPE DE BESSAINS.
Et nous par conſequent miſerables fruſtrez Apres tant de hazars où nous ſomes entrez Apres tant de labeur en la fraîche défaire, Apres la diligence en ce voyage faite, On nous viendra priuer de l’opulent butin D’vne vile, de qui nous tenons le deſtin, Ha!	Et nous par conséquent misérables frustrez Après tant de hasards où nous somes entrez Apres tant de labeur en la fraîche défaire, Après la diligence en ce voyage faite, On nous viendra priver de l'opulent butin D'une vile, de qui nous tenons le destin, Ha!
ſi l’on me croyoit, il n’y a conuenance, Acord, parlementer, ne contraire ordonance, Qui la troupe empéchât de paſſer plus auant, Mais telle lâchete ariue aſſez ſouuent, Nous guiderons vn chef à ſa bone fortune, N’ayant que la miſere auecque luy comune.	si l'on me croyait, il n'y a convenance, Acord, parlementer, ne contraire ordonance, Qui la troupe empêchât de passer plus avant, Mais telle lâchete arive assez souvent, Nous guiderons un chef à sa bone fortune, N'ayant que la misère avec même comune.
SCENE IV.	SCÈNE IV.
CALASIRE, CANIDE, CARICLE’E, & L’OMBRE DV FILS DE CANIDE.	CALASIRE, CANIDÉ, CARICLÉE, et L'OMBRE DU FILS DE CANIDÉ.
2 CALASIRE.	2 CALASIRE.
Eſte de mon espoir, ma fille, mon ſuport, N Reçoy pleige mon chef du ſoucy qui te mort, Thiamis eſt mon ſang, ma propre geniture, Pieux, obeiſſant, & de bone nature, Qui ſe déſiſtera de ſon amour paßé, Sçachant vn autre Hymen vous auoir enlaßé, Que de mon mouuement, & parmon entremiſe, Tu fus à Theagene acordée, & promiſe, S’il s’oſoit rebeller, ha!	Este de mon espoir, ma fille, mon suport, N Reçoy plee mon chef du souci qui te mort, Thamis est mon sang, ma propre géniture, Pieux, obéissant, et de bone nature, Qui se désistera de son amour passé, Sachant un autre Hymen vous avoir enlassé, Que de mon mouvement, et parmon entremise, Tu fus à Théagène accordée, et promise, S'il s'osait rebeller, ha!
ie ne ſçache rien Tout caßé que ie ſuis, débile & ancien, Qui le pût dispenſer des fureurs de mon ire;	Ce ne sache rien Tout cassé que je suis, débile et ancien, Qui le pût dispenser des fureurs de mon ire;
Ie l’irois étrangler, oüy ie l’irois détruire, deuer donupeu vle, Cuuy puharacher;	Je l'irais étrangler, oui votre l'irais détruire, dever onupeu veule, Cuvi puharacher;
Mais que veux-je animé ſans raiſon me fâcher?	Mais que veux-je animé sans raison me fâcher?
Il ne ſera beſoin d’éfort, ny de colere.	Il ne sera besoin d'éfort, Seigneur de colère.
CARICLE’E.	CARICLÉLÉ.
Laiſſons-là ce diſcours ie vous en croy mon pere, Parlez de notre habit, qui n’oſcroit nier, Vû la grace, qu'ayons fait onc autre métier, Qe nouone ſoyons nez parmy ta guenjerie.	Laissons-là ce discours , vous en crois mon père, Parlez de notre habit, qui n'oscrait nier, Vu la grâce, qu'ayons fait onc autre métier, Ae nouone soyons nez parmi ta guenjerie.
CALASIRE.	CALASIRE.
Ie te iure, qu’il faut que malgré moy ie rie, Parfois nous contemplans:	Je te jure, qu'il faut que malgré moi avoir rie, Parfois nous contemplants:
mais redoublons le pas.	mais redoublons le pas.
CARICLEE.	CARICLE.
Dieux!	Dieux!
que veulent ces corps enuoyez au trépas?	que veulent ces corps envoyés au trépas?
De charongne voyez la campagne couuerte, Ha!	De charongne voyez la campagne couverte, Ha!
d'vne fame i’ay la face découuerte, Qui s'aproche de nous, à part ſoy murmurant.	d'une famé j'ai la face découverte, Qui s'approche de nous, à part soi murmurant.
CALASIRE.	CALASIRE.
Tant mieux, de l’accidant nous l’irons enquerãt, Pauures, calamiteux, étrangers, ſans adreſſe, Nous recourons à toy en vne extrême opreſſe, Te plaiſe r’aßûrer la crainte qui nous tient, Diciurant, dont au vray ce carnage prouient;	Tant mieux, de l'accidant nous l'irons enquerãt, Pauvres, calamiteux, étrangers, sans adresse, Nous recourons à toi en une extrême opresse, Te plaise rassûrer la crainte qui nous tient, Diciurant, dont au vrai ce carnage provient;
Et que tu lamantois en vn lieu mortüaire.	Et que tu lamantais en un lieu mortuaire.
CANIDE.	CANIDÉ.
Plus chétiue que vous, ce recit ie vay faire, Sur le corps d’vn mien fils ie me lamante ainſy, La cauſe du combat à peu pres la voicy, Voicy qui tant de morts contre terre renuerſe;	Plus chétive que vous, ce récit votre vais faire, Sur le corps d'un mien fils este me lamante ains, La cause du combat à peu pres la lacy, Voici qui tant de morts contre terre renverse;
Mitrane deſirant doner au Roy de Perſe, Par les mains d’Orondate vn ieune priſonier, Grégeois de nation, en beauté ſingulier, L’enuoyoit à Memphis, auecque peu d’eſcorte, Quand du bourg de Beſſa notre troupe plus forte, Troupe (pour n'en mantir) qui la furenr au ſein Hazardeuſe ne vit ſinon que de larcin, Rencontre ce captif, come ſien le querelle, Soit que la verité de la choſe fût telle, Où que de guet à pens elle auoit inuenté La feinte pour ioüir du butin préſenté, Plus forte elle l’emmeine, & ſi tôt que l’outragé Mitrane ût antandu, il vient enflé de rage Pour ſurprendre nos gens, parauant auertis, Soudain en embuſcade ils le vont departis, Luy, & tous ſes ſoldats atandre aux auenuës, Iamais gré e ſi dru ne decocha des nues, Que nos traits à la fois leur furent déſerréz, Pluſieurs d’vn méme dard bien ſouuent enferrez, Mitrane combatant mourut en vaillant home, Et des ſiens que voyez vn ſeul ne reſte en ſome;	Mitrane des doner au Roi de Perse, Par les mains d'Orondate un jeune prisonier, Grégeois de nation, en beauté singulier, L'envoyait à Memphis, avec peu d'escorte, Quand du bourg de Bessa notre troupe plus forte, Troupe (pour n'en mantir) qui la furenren au sein Hasardeuse ne vit sinon que de larcin, Rencontre ce captif, compe sien le querelle, Soit que la vien de la chose fût telle, ô que de guet pens elle auoit inuenté La feinte pour ioüir du butin présenté, Plus forte elle emmeine, et si tôt que outragé Mitrane antandu, il vient enflé de rage Pour surprendre nos gens, parauant auertis, Soudain en embuscade ils le vont départis, , et tous ses soldats atandre aux auenuës, Iamais gré si dru ne décocha des nues, Que nos traits la fois leur furent déserréz, Plusieurs méme dard bien souuent enferrez, Mitrane combatant mourut en vaillant home, Et des siens que voyez seul ne reste en some;
Iaçoit donc qu'au malheur nous ayons pende part, Sur l’vn de mes enfans eſt tombé le hazard.	Iaçoit donc qu'au malheur nous ayons pende part, Sur l'un de mes enfants est tombé le hasard.
CALASReET (traite.	CALASRET (traite.
Les votres ont vaincœurs dans le bourg fait re	Les vôtres ont vaincœurs dans le bourg fait re
CANIDE.	CANIDÉ.
Non, craignans qu’Orondate apres telle défaite, Suiuy d vn camp Royal ne les vint engloutir, Ils veulent vn peril par l’autre diuertir, Tirent droit à Memphis, afin de la ſurprendre, Apres que notre bourg ils ont réduit en cendre;	Non, craignant qu'Orondate après telle défaite, Suite un camp Royal ne les vint engloutir, Ils veulent un péril par l'autre divertir, Tirent droit à Memphis, afin de la surprendre, Après que notre bourg ils ont réduit en cendre;
Le dernier de mes fils leur fortune ſuiuant:	Le dernier de mes fils leur fortune suivant:
C eſt pourquoy de mon art les ſecrets pourſuiuant, Conuient que le défaut à l’écart ie coniure, Qui de ſon frere abſent me dira l’auanture.	Ç est pourquoi de mon art les secrets poursuivant, Convient que le défaut à l'écart toujours conjure, Qui de son frère absent me dira l'aventure.
CALASIRE.	CALASIRE.
Ne ſçais-tu point le nom du chef de vos Beſſains?	Ne sçais-tu point le nom du chef de vos Bessains?
CANIDE.	CANIDÉ.
Thiamis l’inuincible.	Thiamis l'invincible.
CALASIRE.	CALASIRE.
Et tu les crois prochains, De M’emphis à preſent?	Et tu les crois prochains, De M'emphis à présent?
CANIDE.	CANIDÉ.
Il n’y point de doute.	Il n'y point de doute.
CALASIRE.	CALASIRE.
Dieux!	Dieux!
qu'vn pire malheur à par moy ie redoute, Ma fille, la nuit vient, alons nous repoſer, Demain vn long voyage il ſe faut propoſer.	qu'un pire malheur à par mo ie redoute, Ma fille, la nuit vient, alons nous reposer, Demain un long age il se faut proposer.
CANIDE ſeule.	CANIDÉ seule.
