A 3591.	À 3591.
Pleuſt à Dieu que iamais ie ne l’euſſe éprouué, Helas:	Plût à Dieu que jamais ici ne l'eusse éprouvé, Hélas:
que mon amour s'en ſetoit mieux trouué.	que mon amour s'en sétait mieux trouvé.
Mais ne rappellons point de ſi ſombres penſées Qu'vn plus doux enchanteur doit auoir effacées si ce ſommeil, Leris, de ſes ſombres vapeurs Ne fait pas des portraits qui ſoient toûjours tromp eurs:	Mais ne rappelons point de si sombres pensées Qu'un plus doux enchanteur doit avoir effacées si ce sommeil, Léris, de ses sombres vapeurs Ne fait pas des portraits qui soient toujours tromp eurs:
Mais ſi de noſtre ſort & de nos auantures Il nous fait quelquefois de naïfues peintures, Ah!	Mais si de notre sort et de nos aventures Il nous fait quelquefois de naïves peintures, Ah!
que le mien s’accorde auecque mes deſirs!	que le mien s'accorde avec mes désirs!
LERIS.	LERIS.
A-t’il ſi-toſt charmé de ſi longs déplaiſirs?	A-t’ si si-tôt charmé de si longs déplaisirs?
SIFROY.	SIFROY.
Oüy, Leris, car il m’a derechef fait paroiſtre L'ombre dont ie receus hier au ſoir vnelettre, Laquelle m’aflaté d’vn eſpoir ſi charmaut Que ie n’y puis penſer qu’auec rauiſſement:	Oui, Léris, car il m'a derechef fait paraître L'ombre dont ie reçus hier au soir unelettre, Laquelle m'aflaté d'un espoir si charmaut Que ainsi n'y puis penser qu'avec ravissement:
Et i'en ſuis tout remply d’vne ſecrette ioye.	Et j'en suis tout rempli d'une secrète joie.
DERTos Quand elle vient ainſi, c’eſt le Ciel qui l'enuoye Mais que porte ce ſonge, & quel eſt cet eſpoir Que vous a pû donner celle qu’il a fait voir.	DERTos Quand elle vient ainsi, c'est le Ciel qui l'envoie Mais que porte ce songe, et quel est cet espoir Que vous a pu donner celle qu'il a fait voir.
SIFROY.	SIFROY.
Elle n’aplus paru comme vne ombre plaintiue, Mais iamais ſa beauté ne me ſembla plus viue, Lors qu’elle m’appella des yeux & de la voix, Pour l'aller ſecourir d’vn monſtre dans le bois?	Elle n'applus paru comme une ombre plaintiue, Mais jamais sa beauté ne me sembla plus vive, Lors qu'elle m'appela des yeux et de la voix, Pour l'aller secourir d'un monstre dans le bois?
LERIS.	LERIS.
Noſtre eſprit en dormant nous donne ainſi le change, Et joint le faux au vray par vn confus meſlange;	Notre esprit en dormant nous donne ainsi le change, Et joint le faux au vrai par un confus mélange;
Car comment pourroit-il dans vn aamas confus Vous faire voir viuant vn objet qui n’eſt plus.	Car comment pourrait-il dans un aamas confus Vous faire voir vivant un objet qui n'est plus.
SIFROY.	SIFROY.
Ne l’examine peint;	Ne l'examine peint;
mais c’eſt ſous ce preſap Qu’à la chaſſe aujourd’huy dans nos bois i m’engage, Ie veux que tout mon monde y vienne auecque moy, Cyeoeo vsoavypy on.	mais c'est sous ce presap Qu’a la chasse aujourd'hui dans nos bois y j'engage, Je veux que tout mon monde y vienne avec moi, Cyeoèneo vsoavypy on.
Nous ne manquerons pas d’y faite bonne priſe.	Nous ne manquerons pas d'y faite bonne prise.
LERIS.	LERIS.
Ce preſage ne peut qu’il ne nous fauoriſe, Mais lors que tout le monde a part à ce bonheur, Voulez-vous que Golo ſouffre le des honneur eelatonel odes	Ce présage ne peut qu'il ne nous favorise, Mais lors que tout le monde a part à ce bonheur, Voulez-vous que Golo souffre le des honneur élatonel odes
SIFROY.	SIFROY.
Ie luy dis en colere,	Je te dis en colère,
LERIS.	LERIS.
Par reſpect toutefois à voſtre ordre il défere:	Par respect toutefois à votre ordre il défère:
Et s’il n’eut craint d’aigrir vn amour en courroux, Luy-meſme il fut venu prendre congé de vous, Mais il m’en a chargé, vous priant de vous dire Que puilqu’Iin auoit pu vous ſeruirlans ſe nuire Qu’il n’auoit qu’vn regret de vous laiſſer perir Dedans cette langueur qu’il n’auoit pû guerir.	Et s'il n'eut craint d'aigrir un amour en courroux, Lui-même il fut venu prendre congé de vous, Mais il m'en a chargé, vous priant de vous dire Que puilqu'Iin avait pu vous servirlants se nuire Qu'il n'avait qu'un regret de vous laisser périr Dedans cette langueur qu'il n'avait pu guérir.
SIFROY.	SIFROY.
Ces ſentimẽs me ſont de ſon cœur vn bon gage;	Ces sentiments me sont de son cœur un bon gage;
Mais ſi ie fus trop prompt, il le fut dauantage:	Mais si ici fus trop prompt, il le fut davantage:
Deuoit-il ſur vn mot ſe reſoudre à partir, Croit-il que mon amour y puiſſe conſentir?	Devait-il sur un mot se résoudre à partir, Croit-il que mon amour y puisse consentir?
Non, certes, & ie ne puis auoir pour luy de haine De mes plus forts loupçons le ne ſen, que la peine, Mais mon mal veut quelqu’vn qui le ſçache flatter, Et luy par ſes diſcours ne fait que l’itriter:	Non, certes, et Madame ne puis avoir pour lui de haine Dé ne plus forts loupçons le ne sen, que la peine, Mais mon mal veut quelqu'un qui le sache flatter, Et lui par ses discours ne fait que l'itriter:
Et puis, mon chet Leris, Geneuiéue l’accuſe, Et le dernier écrit rend mon ame confuſe.	Et puis, mon chet Léris, Geneuiéue l'accuse, Et le dernier écrit rend mon âme confuse.
Mais auec tout cela ie ne le puis haïr, Et quand ie l’entreprends, mon cœur me vient trahir.	Mais avec tout cela cela ne le puis haïr, Et quand ici l'entreprends, mon cœur me vient trahir.
Dis-luy donc que ie veux qu’auecque nous il viesene, Ou bien que mon amour doutera de la ſienne.	Dis-lui donc que ainsi veux qu'avec nous il viesene, Ou bien que mon amour doutera de la sienne.
LERIS.	LERIS.
Seigneur, c’eſt l’accabler, cette inſigne faueur Va luy rendre ſans doute & la vie & le cœur.	Seigneur, c'est l'accabler, cette insigne faveur Va lui rendre sans doute et la vie et le cœur.
DCENE PT0	DCENE PT0
C’eſt en vain toutefois, & mon ame inſenſée N’oſe ſe figurer ſa mort.	C'est en vain toutefois, et mon âme insensée N'ose se figurer sa mort.
Geneuiéue y reuit & ſe tient offencée Auſſi-toſt que mon cœur s’afflige de ſon ſort Son ombre me dit que i’ay tort	Geneuiéue y revit et se tient offensée Aussitôt que mon cœur s'afflige de son sort Son ombre me dit que j'ai tort
SIFROY ſeul.	SIFROY seul.
Ais pourquoy m’abuſer moy, meſme paM des ſonges Qui me déguiſent mon malheur;	Ais pourquoi m'abuser moi, même paM des songes Qui me déguisent mon malheur;
Sommeil m'as-tu fait voir ſans vſer de menſonge Geneuiéue viuante autre part qu’en mon cœur?	Sommeil m'as-tu fait voir sans user de mensonge Geneuiéue vivante autre part qu'en mon cœur?
Aſelus seu nutane ſscoencoss Sçais-tu dans quels maux tu me plonges Tu ne me fais reuoir ſes innocens appas Que pour me reprocher ſon injuſte trépas.	Asélus seu nutane sscoencoss Sais-tu dans quels maux tu me plonges Tu ne me fais revoir ses innocents appas Que pour me reprocher son injuste trépas.
De m’en former cette penſée.	De m'en former cette pensée.
Et croite que la mort l’ait fait ſubir les loix, C’eſt la faire mourir vne ſeçonde fois.	Et croite que la mort l'ait fait subir les lois, C'est la faire mourir une seçonde fois.
Au moins conſeruons en cette viuante idée Qui peut entretenir mes feux Cep hantôme charmant dont mon ame eſt aidée Sera l’idole auquel i’addreſſeray mes vœux.	Au moins conservons en cette vivante idée Qui peut entretenir mes feux Cep hantôme charmant dont mon âme est aidée Sera l'idole auquel j'adresserai mes vœux.
Ie m’eſtime encore trop heureux De l’auoir iamais poſſedée.	Je m'estime encore trop heureux De l'avoir jamais possédée.
Lamort quoy qu’inhumaine en admirant ma foy En voudra partager les reſtes auec moy.	Lamort quoi qu'inhumaine en admirant ma foi En voudra partager les restes avec moi.
C’eſt dans le ſeul eſpoir de ce que mon genie M’a cette nuit repreſenté Qu’à la chaſſe aujourd’huy mon amour me conuie Et qu’il me feit courir apres cette beauté.	C'est dans le seul espoir de ce que mon génie M'a cette nuit représenté Qu'à la chasse aujourd'hui mon amour me convie Et qu'il me fit courir après cette beauté.
Beſtes, viuez en ſeureté Ie n’en veux point à voſtre vie, Geneuiéue eſt la proye, ou bien pluſtoſt la priſe D'vne chaſſe où Sifroy ſera luy meſme pris.	Bêtes, vivez en sûreté Je n'en veux point à votre vie, Geneuiéue est la proie, ou bien plutôt la prise D'une chasse où Si fait entre Si contents.
OCENVE 1110 SIFROY.	OCENVE 1110 SIFROI.
LISANDRE.	LISANDRE.
CLEON.	CLEON.
CLEON.	CLEON.
Voy, Seigneur, vous voila déja preſt pout la chaſſe, Souifrez que le repos ce matin vous delalſe;	Vois, Seigneur, vous voilà déjà prêt pout la chasse, Souifrez que le repos ce matin vous delalse;
Apres auoir paſſé tant de funeſtes nuits Le ſommeila-t’ilfait tréue auec vos ennuys?	Après avoir passé tant de funestes nuits Le sommeila-t-ilfait trêve auec vos ennuis?
IFROY.	IFROY.
C'eſt le ſommeil qui vient de m’ordonner luymeſine Vn remede ſi prompt à ma douleur extréme.	C'est le sommeil qui vient de m'ordonner luymesine Un remède si prompt à ma douleur extrême.
C’eſt ſur ces viſions & ces aduis ſecrets Que ie veux aujourd’huy chaſſer dans nos Foreſts.	C'est sur ces visions et ces avis secrets Que tu veux aujourd'hui chasser dans nos Forêts.
Eoſsessos La reſolution en eſt vn peu bien prompte?	Eossessos La résolution en est un peu bien prompte?
SIFROY.	SIFROY.
En voicy la raiſon qu’ii faut que ie vous conte, Sans doute vous allez tous deux vous en moquer, Mais ie ne puis moy-meſme à mon bon-heur manquet!	En voici la raison qu'y faut que je vous conte, Sans doute vous allez tous deux vous en moquer, Mais quand ne puis moi-même à mon bonheur manquet!
Eſcoutez-donc:	Écoutez-donc:
Au temps que noſtre fantaiſie Des vapeurs de la nuit enfin ſe purifie, Et que l'aube du iour auec ſes premiers traits Diſſipant ſes humeurs rend nos ſonges plus vtais.	Au temps que notre fantaisie Des vapeurs de la nuit enfin se purifie, Et que l'aube du jour avec ses premiers traits Dissipant ses humeurs rend nos songes plus ais.
Reſuant que ie chaſſois dans la Foreſt prochaine, Ie me ſuis treuué ſeul auprés d’vne fontaine, Auſſi-toſt vn enfant brillant comme le iour S'eſt fait voir en l’eſtat qu’on nous dépeint l’Amour, A peine a t’il paru dedans des lieux ſi ſombres, Que ſon flambeau d’abord en a chaſſé les ombres;	Résuant que Madame chassais dans la Forêt prochaine, Je me suis trouvé seul auprès d'une fontaine, Aussitôt un enfant brillant comme le jour S'est fait voir en l'état qu'on nous dépeint l'Amour, A peine a -t-il paru dedans des lieux si sombres, Que son flambeau d'abord en a chassé les ombres;
Puis meprenant la main m’a mené dans des bois Que Geneuiéue, ô Dieux!	Puis méprenant la main m'a mené dans des bois Que Geneuiéue, ô Dieux!
animoit de ſa voix, I'euſſe voulu pour lors qu’il m’euſt preſté ſes aiſſes Pour rencontrer pluſtoſt ce miracle des Belles, Mais craignant d’y treuuer le lieu de ſon trépas Afin de l’arreſter ie moderois mes pas.	animait de sa voix, J'eusse voulu pour lors qu'il m'eût prêté ses aisses Pour rencontrer plutôt ce miracle des Belles, Mais craignant d'y trouver le lieu de son trépas Afin de l'arrêter notre modérais mes pas.
Nous eſtions arriuez iuſqu’au preſt d’vne roche Ouiie vis Geneuiéue qui en eſtoit tout proche, Meſme qu'elle y couroit afin de ſe ſauuer, D'vn furieux Dragon qui vouloit l’enleuer.	Nous étions arrivés jusqu'au prêt d'une roche Ouiie vis Geneuiéue qui en était tout proche, Même qu'elle y courait afin de se sauver, D'un furieux Dragon qui voulait l'enlever.
I'ay pris en meſme temps les armes de mon guide, Et couru ſur les pas de ce monſtre homicide;	J'ai pris en même temps les armes de mon guide, Et couru sur les pas de ce monstre homicide;
Mais comme i'eſtois preſt de luy percer le flanc, Eſpargne, a-t’elle dit vn ſi malheureux ſang.	Mais comme j'étais prêt de même percer le flanc, Épargne, a-t-elle dit un si malheureux sang.
Ce monſtre n'a rien fait que par ta ialouſie, Et ſans toy ſa fureur n’eût rien pû ſur ma vie;	Ce montre n'a rien fait que par ta jalousie, Et sans toi sa fureur n'eût rien pu sur ma vie;
Mais puiſque Dieu plus iuſte en empeſche la fia, Laiſſe-le qu’il vomiſſe autre part ſon venin, Excuſe ſa fureur,puiſque ie te pardonne Et reprends ta moitié que le Ciel te redonne:	Mais puisque Dieu plus juste en empêche la fia, Laisse-le qu'il vomisse autre part son venin, Excuse sa fureur,puisque ie te pardonne Et reprends ta moitié que le Ciel te redonne:
Là deſſus mon reſueil enleuant ces portraits, N’en a pû cependant effacer tous les traits;	Là -dessus mon réveil enlevant ces portraits, N'en a pu cependant effacer tous les traits;
Ils demeurent empreints iuſqu’au fond de mon ame, Et toute ma douleur s’y conuertit en ſlâme.	Ils demeurent empreints jusqu'au fond de mon âme, Et toute ma douleur s'y convertit en slâme.
Sur vn ſonge ſi beau puis-je me diſpenſer, D’aller courir nos bois pour ce monſtre en chaſſet?	Sur un songe si beau puis-je me dispenser, D'aller courir nos bois pour ce montre en chasset?
LISANDRE.	LISANDRE.
La peinture, Seigneur, me ſemble bien confufe, Et ce n’eſt qu’vne erteur dont l'amour vous abuſe.	La peinture, Seigneur, me semble bien confuse, Et ce n'est qu'une erteur dont l'amour vous abuse.
Penſez-vous que le Ciel vous rende deſormais, Cene ue quil cipnt repore uans la paix?	Pensez-vous que le Ciel vous rende désormais, Cène qu' il cipnt répore uans la paix?
SIFROY.	SIFROY.
Mais que ne puis-ie pas deſormais m’en promettre Depuis que i’ay receu doiou ombie vaviettre?	Mais que ne puis-je pas désormais m'en promettre Depuis que j'ai reçu doi vie vaviettre?
Quelle lettre?	Quelle lettre?
LISANDRE.	LISANDRE.
CLEON.	CLEON.
mie-ce encore queiqu'aute viſion?	mie-ce encore queiqu'aute vision?
SIFROY.	SIFROY.
Vous connoiſſez ſa main, liſez l’inſcription.	Vous connaissez sa main, lisez l'inscription.
LIS ANDRE lit tout bas.	LIS ANDRÉ lit tout bas.
L’ombre de Geneuiéue!	L'ombre de Geneuiéue!
SIFROY.	SIFROY.
Ahuiiiienicepiaillas, Et vous reconnoiſtrez que ce ne ſont pas feintes.	Ahuipiienicepiaillas, Et vous reconnaîtrez que ce ne sont pas feintes.
Ils uiſent	Ils uisent
CLEON.	CLEON.
Ali, Seigneur l'pouuez vous ne luy pas accorder La iuſtice & le droit qu’elle vient demander?	Ali, Seigneur l'pouvez vous ne le pas accorder La justice et le droit qu'elle vient demander?
Lyſandre lit toſijeurs.	Lysandre lit tosijeurs.
Liſez-tout.	Lisez-tout.
SIFROY.	SIFROY.
BIORIVDAUA.	BIORIVDAUA.
Ah!	Ah!
Seigneur quel marbre ou quel rochet De ce demmel prerent ne ſe pouroit toucher !	Seigneur quel marbre ou quel rochet De ce démel prérent ne se pourrait toucher !
CLEON.	CLEON.
Helas!	Hélas!
que dites-vous d’vn reſpect ſi profond?	que dites-vous d'un respect si profond?
SIFROY.	SIFROY.
Il me rauit, Cleon, autant qu’il me confond.	Il me ravit, Cleon, autant qu'il me confond.
CLEON.	CLEON.
Et vous doutez encor de ceſuy qui l'opprimet	Et vous doutez encor de cesui qui l'opprimet
SIFROY.	SIFROY.
Surquoy le pourriez-vous conuaincre de ce crime?	Surquoy le pourriez-vous convaincre de ce crime?
CLEON.	CLEON.
ael ceruuhosavon donthenacodle,	ael cervhosavon donthenacodle,
SIFROY.	SIFROY.
Mais vous ne içauez pas commeis eſt excuſé,	Mais vous ne içauez pas commeis est excusé,
CLEON.	CLEON.
Quel erime cachoiteil dans la mort de Madame;	Quel erime cachoiteil dans la mort de Madame;
SIFROY.	SIFROY.
D'auoir eſté l’objet de ſon injuſte ſſâme.	D'avoir été l'objet de son injuste saume.
CLEON.	CLEON.
Dequoy ſe vangeoit-ilen lapriuantdu iour?	Dequoy se vengeait-il laprivantdu jour?
F ii Source gallica.	 Fi Source gallica.
bnf.	bnf.
fr ( Bibliothèque nationale de France	fr ( Bibliothèque nationale de France
SIFROY.	SIFROY.
2o auoxinoeciumens anumne ſon amour.	2o auoxinociuments anumne son amour.
LISANDRE.	LISANDRE.
Vrayment pour s’excuſer cét artifice eſt rare.	Vraiment pour s'excuser cet artifice est rare.
Mais puiſque contre luy cette ombre ſe declare, Seigneur, ie veux y perdre & la vie & l’honneur.	Mais puisque contre mi cette ombre se déclare, Seigneur, je veux y perdre et la vie et l'honneur.
Si cét homme cruel ne fut vn ſuborneur.	Si cet homme cruel ne fut un suborneur.
SIFROY.	SIFROY.
Helas!	Hélas!
tu n’en ſçais pas tout le ſecret,Lyſandre, Cleon ſans vn ſerment auroit pû te l’apprendre:	tu n'en sçais pas tout le secret,Lysandre, Cleon sans un serment aurait pu te l'apprendre:
Et l'on nem’a rien dit que ſ’on ne m’ait fait voir, Dans les expreſſions d’vn fidel miroir.	Et l'on nem'a rien dit que s'on ne m'ait fait voir, Dans les expressions d'un fidel miroir.
LISANDRE.	LISANDRE.
Et vous n’auez rien veu dans le miroir d’Argine, Mont le nerquenemteux que Oicourorigine,	Et vous n'avez rien vu dans le miroir d'Argine, Mont le nerquenement que Oicourigine,
SIFROY.	SIFROY.
D’où le peux-tu ſçauoir, & qui t’en a tant dit?	D'où le peux-tu sçauoir, et qui t'en a tant dit?
LISANDRE.	LISANDRE.
De celle qui ſur vous treuua tant de credit.	De celle qui sur vous trouva tant de crédit.
Et qui vous ſçeut cacher par ce noir artifice Le crime de Golo dont il eſtoit complice.	Et qui vous sut cacher par ce noir artifice Le crime de Golo dont il était complice.
SIFROY.	SIFROY.
Son miroir me ſit voir comme il s’en échappa.	Son miroir me sit voir comme il s'en échappa.
LISANDRE.	LISANDRE.
Mais ſa langue m’a dit comme elle vous trompa:	Mais sa langue m'a dit comme elle vous trompa:
C'eſt d’elle que ie ſçay tout ce cruel myſtere.	C'est d'elle que ici sais tout ce cruel mystère.
adſA.	adsA.
Ah!	Ah!
ſi tu leſçauois, deuois-tu me le taire?	si tu lesçauois, devais-tu me le taire?
LISANDRE.	LISANDRE.
Ie ne l’appris, Seigneur, qu’au moment de ſa mort.	Je ne l'appris, Seigneur, qu'au moment de sa mort.
SIFROY.	SIFROY.
Comment t’y trouuas-tu?	Comment t'y trouvas-tu?
on m’a fait le rapport, Que ſes propres demons l’ont tuée cette infame, Qu’ils en ont enleué le corps auecque l’ame.	on m'a fait le rapport, Que ses propres démons l'ont tuée cette infâme, Qu'ils en ont enlevé le corps auecque l'âme.
LISANDRE.	LISANDRE.
59 L.	59 L.
Ie ne ſçay pas au vray quels furent ces demons, Mais Golo pourroit bien vous en dire les noms.	Je ne sais pas au vrai quels furent ces démons, Mais Golo pourrait bien vous en dire les noms.
Moy ſeul ſans me ſeruir des armes de l’Egliſe, A quatre qu’ils eſtoient ie fis bien laſcher priſe, Au point que chacun d’eux à grands coups aſſommoit, Celle qui lors en vain ſes demont reclamoit:	Moi seul sans me servir des armes de l'Église, À quatre qu'ils étaient ie fisjours lâcher prise, Au point que chacun d'eux à grands coups assommait, Celle qui lors en vain ses dé clamait:
Comme ie pourſuiuois cette troupe cruelle, D'vne voix languiſſante, arreſte, me dit-elle, Viens auant que la mort me le puiſſe arracher, Découurir vn ſecret qu’on veut parlà cacher, Cette mort eſt le prix que ie reçois d’vn traître Que i’en ſauuay moy meſme en trahiſſant ſon Maiſtre;	Comme ie poursuivais cette troupe cruelle, D'une voix languissante, arrête, me dit-elle, Viens avant que la mort me le puisse arracher, Découvrir un secret qu'on veut parlà cacher, Cette mort est le prix que Un reçois d'un traître Que j'en sauvai moi -même en trahissant son Maître;
Mais paſſant de ma part,voy le Comte Sifroy, Dis-luy ce que ie vay conſier à tafoy.	Mais passant de ma part,voy le Comte Sifroy, Dis-lui ce que ici vais consier à tafoi.
Que dans ce triſte eſtat Argine meurt contente, D'expier par ſa mort celle d’vne innocente:	Que dans ce triste état Argine meurt contente, D'expier par sa mort celle d'une innocente:
Et que ce qu’il en vit à ſa confuſion De mon miroir trompeur fut vne illuſion.	Et que ce qu'il en vit à sa confusion De mon miroir trompeur fut une illusion.
Là-deſſus vn ſoûpir luy tranchant la parole.	Là-dessus un soupir ton tranchant la parole.
Iuſqu’au fonds des Enfers ſa noire ame s’enuole, Quatle loups montrueux accoururent déſlors, Et vers ſon vieil repaire entraînerent le corps;	Jusqu'au fond des Enfers sa noire âme s'envole, Quatle loups montrueux accoururent déslors, Et vers son vieil repaire entraînèrent le corps;
Du crime de Madame, enfin voila l’hiſtoire, Et l’honneur que l’on rend à ſa ſainte memoire.	Du crime de Madame, enfin voilà l'histoire, Et l'honneur que l'on rend à sa sainte mémoire.
SIFROY.	SIFROY.
Le Ciel euſt-il permis que pour me deceuoir EEuierſur Tiuocence euit eu tant de pouuoirz	Le Ciel eût-il permis que pour me décevoir EEuiersur Tivocence évit eu tant de pouvoirs
LISANDRE.	LISANDRE.
Le Ciel permet ſouuent que ces noirs ſortileges Aux eſprits curieux ſeruent enfin de pieges,	Le Ciel permet souvent que ces noirs sortilèges Aux esprits curieux servent enfin de pièges,
SIFROY.	SIFROY.
Cleon meſme le vit, & le crut comme moy;	Cleon même le vit, et le crut comme moi;
ꝓuortle Mamtenus cajcaueprae scloy,	ꝓuortle Mamtenus cajaveprae scloi,
CLEON.	CLEON.
Nos demnſers ſentmuens iont les plus veritables,	Nos demnsers sentments jont les plus véritables,
SIFROY.	SIFROY.
Vn dernier delelpoir les peut rendre coupables,	Un dernier délelpoir les peut rendre coupables,
CLEON.	CLEON.
La conſcience alots cherche à ſe décharger.	La conscience alots cherche à se décharger.
SIFROY.	SIFROY.
Quelquefois ſur vn autre afin de s’en vanger:	Quelquefois sur un autre afin de s'en venger:
Car quoy qu’elle t’ait dit, quoy que tu m’en rapportes, Ces preuues contre luy ne ſont pas aſſez fortes;	Car quoi qu’elle t'ait dit, quoi que tu m'en rapportes, Ces preuves contre quelque ne sont pas assez fortes;
Celle qui m’a trompé peut bien t’auoir deceu, Et ton ſimple rapport ne peut eſtre receu.	Celle qui m'a trompé peut bien t'avoir décev, Et ton simple rapport ne peut été reçu.
LISANDRE.	LISANDRE.
Il faudra donc, Seigneur, qu’vne innocente vie Soit eternellement de ce ſoupçon ſleſtrie, Et croirez-vous pluſtoſt celuy qui la noireit, Que les rayons ſi purs dont le Ciel l'éclaircit, Quoy vous croirez pluſtoſt Geneuiéue coupable, Que croire que Golo d’vn crime ſoit capable.	Il faudra donc, Seigneur, qu'une innocente vie Soit éternellement de ce soupçon slêtrie, Et croirez-vous plutôt celui qui la noireit, Que les rayons si purs dont le Ciel l'éclaircit, Quoi vous croirez plutôt Geneuiéue coupable, Que croire que Golo d'un crime soit capable.
SIFROY.	SIFROY.
Nous examinerons ce point plus à loiſir;	Nous examinerons ce point plus à loisir;
Mais enfin laiſſe-moy gouſter quelque plaiſir, Et ſouffre ce matin que celuy de la chaſſe D'vn & d’autre coſté ces noirs ſoupçons effaco Laiſſe-moy me flater de ce doux ſentiment, Qui m’y fait eſperer quelque éclairciſſement;	Mais enfin laisse-moi goûter quelque plaisir, Et souffre ce matin que celui de la chasse D'un et d'autre côté ces noirs soupçons effaco Laisse-moi me flatter de ce doux sentiment, Qui m'y fait espérer quelque éclaircissement;
Aftons, ne penſons plus qu’à faire bonne guerie Aux beſtes que nos bois dedans leurs forts reſferte.	Aftons, ne pensons plus qu'à faire bonne guérie Aux bêtes que nos bois dedans leurs forts résferte.
I'auois mandé Golo, qui ſe doit rendre icy, Il ſont.	J'avais mandé Golo, qui se doit rendre ici, Il sont.
Vous lattendrez tous deux pour l’engager auſſi.	Vous latendrez tous deux pour l'engager aussi.
Tragedie Chreſtienne.	Tragédie Chrétienne.
SCENE IV.	SCÈNE IV.
LYSANDRE.	LYSANDRE.
CLEON.	CLEON.
LIS ANDRE.	LIS ANDRÉ.
NEt homme l’a charmé!	NEt homme l'a charmé!
quoy ſur vn leger ſonge, Dont luy-meſme en ſon cœur reconnoiſt le menſonge, Il ne peut preſque plus écouter aujourd’huy Ce qu’au ſoir precedent il auoit crû de luy.	quoi sur un léger songe, Dont peut-même en son cœur reconnaît le mensonge, Il ne peut presque plus écouter aujourd'hui Ce qu'au soir précédent il avait cru de jours.
CLEON.	CLEON.
Oüy, ce ſonge ſans doute eſt l’effet de ces charmes.	Oui, ce songe sans doute est l'effet de ces charmes.
Iamais il n’euſt ſi-toſt eſſuyé tant de larmes, Ny flaté tant d’ennuis d’vn ſi doux ſentiment, Sans le pouuoir ſecret de quelque enchanteiſſeut.	Jamais il n'eût sitôt essuyé tant de larmes, Ni flatté tant d'ennuis d'un si doux sentiment, Sans le pouvoir secret de quelque enchanteisseut.
LIS ANDRE.	LIS ANDRÉ.
Qu’il condamne Golo ou bien ſa Geneuiéue.	Qu'il condamne Golo ou bien sa Geneuiéue.
CLEON.	CLEON.
Ce perfide abuſant de ſon eſprit ialoux, Le pourroit bien enfin faire creuer ſur nous.	Ce perfide abusant de son esprit jaloux, Le pourrait bien enfin faire créver sur nous.
Etnous nous engageons dans vn peril extréme Si ſon ombreparoiſt & ne parle elle-meſme.	Etnous nous engageons dans un péril extrême Si son ombreparoist et ne parle elle-même.
L'Innocence Reconnuë,	L'Innocence Reconnue,
SCENE V.	SCÈNE V.
Oa Civnlm MeMOND.	Ôa Civnelm MeMOND.
LISANDRE.	LISANDRE.
Riſmond, vous venez iey fort à propos.	Rismond, vous venez ici fort à propos.
ORISMOND.	ORISMOND.
Golo me ſuit de preſt, diſons en peu de mots;	Golo me suit de prêt, disons en peu de mots;
Et bien que dit le Comte à l’adieu de Madame Et quelle impreſſion a-t’il fait ſur ſon ame?	Et bien que dit le Comte à l'adieu de Madame Et quelle impression a-t-il fait sur son âme?
LISANDRE.	LISANDRE.
La premiere lecture y fit hier vn grand feu, Mais il n’en paroiſt point aujourd’huy què fort peu, Il la pleure pourtant, il croit ſon innocence, Il en plaint le malheur, il en prend la deffence;	La première lecture y fit hier un grand feu, Mais il n'en paraît point aujourd'hui què fort peu, Il la pleure pourtant, il croit son innocence, Il en plaint le malheur, il en prend la défense;
Mais lors que nous penſions pouſſer l’affaire à Dour, Vn ſonge interuenu vient de renuerſer tout.	Mais lors que nous pensions pousser l'affaire à Dour, Un songe intervenu vient de renverser tout.
ORISMOND.	ORISMOND.
Auez-vous declaté ce que vous dit Argine?	Avez-vous déclaté ce que vous dit Argine?
Ie l’ay fait.	Je l'ai fait.
LISANORE.	LISANORE.
ORISMOND.	ORISMOND.
Qu'en dit-il?	Qu'en dit-il?
LISANDRE.	LISANDRE.
Pour moy ie m’imagine Qu’il doute ſur ce point de ma fidelité, Et ie n’oſe aſſeurer qu’il m'ait meſme écouté, Il eſt ſi fott charmé d’vn ſonge qui l’obſede, Il le ctoit à ſes maux vn ſi certain remede, Qu’il penſe y retreuuer tout ce qu’il aperdu,	Pour moi ie m'imagine Qu'il doute sur ce point de ma fidélité, Et été n'ose assurer qu'il m'ait même écouté, Il est si fott charmé d'un songe qui l'obsède, Il le ctait à ses maux un si certain remède, Qu'il pense y retrouver tout ce qu'il aperdu,
Source gallica.	Source galica.
bnffr (Bibliothèque nationale de France Et de ce vain eipoir ſon elprit confondu, Ne veut plus qu’on luy parle auj ourd’huy d’autre choſe, Et preſſe qu’à la chaſſe vn chacun ſe diſpoſe, Dont le ſonge charmant luy promet vn ſuccez En coit moter biu toi ſon bon-heur dans I'excez.	bnffr (Bibliothèque nationale de France Et de ce vain eipoir son élprit confondu, Ne veut plus qu'on tu parle auj ourd'hui d'autre chose, Et presse qu'à la chasse un chacun se dispose, Dont le songe charmant tu promet un succès En coït moter biu toi son bonheur dans J'excès.
Mloslenus Au moins vous a t’il dit ce que ceſonge porte?	Mloslenus Au moins vous a -t-il dit ce que cesge porte?
CLEON.	CLEON.
Illuy feint qu’aujourd’huy Madame n’eſt plus morte;	Illui feint qu'aujourd'hui Madame n'est plus morte;
e l'amour l'inuite à l'aller ſecourir, Dans vn bois où l’on veut la faire encor mourir:	Je l'amour l'inuite à l'aller secourir, Dans un bois où l'on veut la faire encor mourir:
