AV LECTEVR.	AU LECTEUR.
Eſtote fortes videbunt multi & timeMonſieur de Longueville à Monſieur le Prince.	Étote fortes videbunt multi et timeMonsieur de Longueville à Monsieur le Prince.
Tu terribilis es & qui reſiſtet tibi?	Tu terribilis ès et qui résistet tibi?
Monſieur du Maine à Monſieur le Prince.	Monsieur du Maine à Monsieur le Prince.
Reges eos in virga ferrea, & tanquam vas figuli confringes eos.	Reges eos in virga ferrea, et tanquam vas figuli confringes eos.
Monſieur de Bouillon à Monſieur le Prince.	Monsieur de Bouillon à Monsieur le Prince.
Ab increpatione tua fugient, à voce tonitrui tui formidabunt.	Ab incrépatione tua fugient, à voce tonitrui formidabunt.
L’armee à Monſieur le Prince.	L'armée à Monsieur le Prince.
In nomine tuo ſperemus omnes inſurgentes in nos, & inimicos noſtros ventilabimus cornu.	In nomine tuo spéremus omnes insurgentes in nos, et inimicos nostros ventilimus cornu.
La France à Monſieur le Prince Iniuſtitia tua letabitur Rex.	La France à Monsieur le Prince Iniustitia tua letabitur Rex.
Reſp.	Resp.
Vt ſedeant cum Principibus ſuis &	Vît sédant cum Principus suis et
Aeſp.	Aesp.
Beati pacifici.	Béati pacifici.
Monſieur le Prince, au Comte Maurice.	Monsieur le Prince, au Comte Maurice.
In adiutorium meum intende, & adiuuandum me feſtina.	In ajutorium meum intende, et adiuuandum me festina.
Reſp.	Resp.
Veniam quia poſui animam meam pro fratribus meis.	Veniam a posui animam meam pro fratribus meys.
Les Allemans, à M.	Les Allemans, à M.
le Prince.	le Prince.
Fortitudinem noſtram ad te.	Fortitudinem nostram ad te.
Reſp.	Resp.
Si non fuerint ſaturati murmurabunt.	Si non fuerint saturati murmurabunt.
M.	M.
le Prince au Comte S.	le Prince au Compte S.
Paul.	Paul.
Auerterunt ſe & ſeruauerunt pactum.	Averterunt se et servaverunt pactum.
Reſp.	Resp.
Omnes videntes ſe denſerunt me locuti ſunt labiis mouerunt caput.	Omnes vitentes se denserunt me locuti sunt labiis mouerunt caput.
M.	M.
le Prince, à M.	le Prince, à M.
de Vendoſme.	de Vendôme.
Memores eſtote congregationis noſtræ quia poſſediſtis ab initio.	Mémores étote congrégationis nostræ quia possedistis ab initio.
Reſp.	Resp.
Mutauimus in ſimilitudinem vituli comedentis fœnum.	Mutauimus in similitudinem vituli comédentis fœnum.
M.	M.
le Prince, au Comte d’Auuergne.	le Prince, au Comte d'Auvergne.
Lazare, veni foras.	Lazare, veni foras.
Reſp.	Resp.
Humiliauerunt in compedibus pedes meos.	Humiliaverunt in compédibus pédés meos.
Meßieurs de Paris, à M.	Messieurs de Paris, à M.
le Prince.	le Prince.
Fiat pax in virtute tua.	Fiat pax in virute tua.
Reſp.	Resp.
Rogate quæ ad pacem ſunt mihi.	Rogate quæ ad pacem sout mihi.
Les accuſez à M.	Les accusés à M.
le Prince.	le Prince.
Peccauimus in cœlum & coram te, fac nobis ſicut ſeruis mercenariis tuis.	Peccauimus in cœlum et coram te, fac nobis sicut servis mercénariis tuis.
Reſp.	Resp.
Amen dico vobis, neſcio vos.	Amen dico vobis, nescio vos.
La Royne à M.	La Royne à M.
le Prince.	le Prince.
Parce illis Domine.	Parce illis Domine.
Reſp.	Resp.
Adhuc perſeuerant peccare deleantur de libro viuentium.	Adhuc persévérant peccare deleantur de libro viventium.
Le Mareſchal d’Ancre, à M.	Le Maréchal d'Ancre, à M.
le Prince.	le Prince.
In capite libri ſcriptum eſt de me, Reſp.	In capité libri scriptum est de me, Resp.
Homo in honore eſſe non intellexit comparatus eſt iumentis inſipientibus & ſimilis factus eſt illis.	Homo in honore esse non intellexit comparatus est jumentis insipientibus et similis factus est illis.
La Mareſchalle d’Ancre à M.	La Maréchalle d'Ancre à M.
le Prince.	le Prince.
Miſerere mei Domine, vide humilitatem meam.	Misère mei Domine, voit humilitatem meam.
Reſp.	Resp.
Vade retrõ ſatana.	Vade rétro satana.
Le Chancelier à M.	Le Chancelier à M.
le Prince.	le Prince.
Ne meminetis iniquitatum noſtrarum antiquarum, & propitius eſto peccatis noſtris.	Ne meminetis iniquitatum nostrarum antiquarum, et propitius est peccatis nostris.
Reſp.	Resp.
Iniuſti punientur & ſemen impiorum peribit.	Iniusti punientur et semen impiorum péribit.
Le Commandeur de Sillery à M.	Le Commandeur de Sillery à M.
le Prince.	le Prince.
Indica mihi cur me ita iudices?	Indica mihi cur me ita judices?
Reſp.	Resp.
Iniuſtus ſimul & ſtultus peribunt.	Iniustus simul et stultus péribunt.
Dubilion au meſme.	Dubilion au même.
Noli me condemnare cum iſtis.	Noli me condemnare cum istis.
Reſp.	Resp.
Similes illis fiant qui faciunt ei.	Similes illis fiant qui faciunt ei.
Dollé, à M.	Dollé, à M.
le Princé.	le Princé.
Tibi ſoli peccaui.	Tibi soli peccaui.
