TRCEIIICE	TRCEIICE
LUBIN.	LUBIN.
Ah bon.	Ah bon.
Mais je vous pris.	Mais je vous pris.
muiriiis vices rour peu que vous tarune ICu, J’ai morguienne une ſoif qui me turoit auſſi.	muiriis vices rour peu que vous tarune ICu, J'ai morguienne une soif qui me turait aussi.
VALERE.	VALÈRE.
J’entens venir quelqu’un.	J'entends venir quelqu'un.
Vite faiſons retraitte.	Vite faisons retraite.
SCEND ILIII MADAME PANDOLPHE, ISABELLE.	SCEND ILIII MADAME PANDOLPHE, ISABELLE.
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
hlat done.	hlat done.
Detant lay vous étiez bie, muëtte.	Détant lai vous étiez bye, muëtte.
TOADELLE.	TOADELLE.
Et que pouvois-je dire à ce ſot entretien?	Et que pouvais-je dire à ce sot entretien?
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
voyet le grand ciprit?	voyet le grand ciprit?
ISABELLE.	ISABELLE.
Tout au moins.	Tout au moins.
Pas ſi ſot que le ſien,	Pas si sot que le sien,
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Ainſi donc Il vous déplaiſt, la Belle, Et vous voudriez étre à mes ordres rebelle?	Ainsi donc Il vous déplaît, la Belle, Et vous voudriez être à mes ordres rebelle?
ISABELLE.	ISABELLE.
Et que ferois-je moy d’une beſte?	Et que ferais-je moi d'une bête?
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Tant mieux, S’il l'eſt.	Tant mieux, S'il l'est.
Un mari beſte, ah quel preſent des cieux!	Un mari bête, ah quel présent des cieux!
On en fait ce qu’on veut.	On en fait ce qu'on veut.
ISABELLE.	ISABELLE.
Toutefois une beſte Souvent briſe ſon ftein, & n’en fait qu’à ſa teſte.	Toutefois une bête Souvent brise son sein, et n'en fait qu'à sa tête.
Et puis à regner ſeul on court trop de hazard, Les ſoins en ſont trop grands.	Et puis à régner seul on court trop de hasard, Les soins en sont trop grands.
Je n’y veux que ma part.	Je n'y veux que ma part.
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Otais, vous faites dune biem iey la raiſonneuſe.	Otais, vous faites dune biem bli la raisonneuse.
Et moi, ie vous dy, moi, qu’heureuſe ou malheur euſe.	Et moi, je vous dis, moi, qu'heureuse ou malheur euse.
vous l’aurez pour epoux.	vous l'aurez pour époux.
Et quand?	Et quand?
Et des ce ſoir	Et des ce soir
ISABELLE.	ISABELLE.
Ma mere au nom de.	Ma mère au nom de.
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Non, rien ne peut m’émouvoir.	Non, rien ne peut m'émouvoir.
Et ne me rompez pas la teſte d’avantage.	Et ne me rompez pas la tête d'avantage.
1 LENEAX.	1 LENEAX.
MADAME PAND.	MADAME PAND.
ISABELLE, LUBIN.	ISABELLE, LUBIN.
LUBIN.	LUBIN.
Ah!	Ah!
qui l’eût jamais crû En pleurant	qui l'eût jamais cru En pleurant
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Qu’eſt ce que ce ramage* Que viens tu faire encor icy maître filous?	Qu'est ce que ce ramage* Que viens tu faire encor ici maître filous?
Ne veux tu pas parler.	Ne veux tu pas parler.
LUBIN.	LUBIN.
Je pleure tout mon ſou.	Je pleure tout mon sou.
Dame, je ne ſçaurois fairé à la fois deux choſes,	Dame, je ne saurais fairé à la fois deux choses,
ISABELLE.	ISABELLE.
Fais de grace Lubni, à tes pleurs quelques pauſes, t parle nous.	Fais de grâce Lubni, à tes pleurs quelques pauses, t parle nous.
HOBENC.	HOBENC.
Helas!	Hélas!
c’étoit un vray mouton.	c'était un vrai mouton.
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Que hous vient donc icy raconter ce fripon?	Que hous vient donc ici raconter ce fripon?
LU BIN, pleurant.	LU BIN, pleurant.
renet, C ert la tout droie c ent la qu'eſt ſa bleſſure.	renet, Ç ert la tout droie ç ent la qu'est sa blessure.
ISABELLE.	ISABELLE.
Et de qui donc, Lubin?	Et de qui donc, Lubin?
LUBIN.	LUBIN.
el Miaunine Pamnaipne.	Elle Méliaunine Pamnaipne.
O l’étrange advanture!	Ô l'étrange aventure!
Vous devez en avoir déja tué beaucoup.	Vous devez en avoir déjà tué beaucoup.
Vous ne pouviez pas mieux aſſener vôtre coup.	Vous ne pouviez pas mieux assener votre coup.
MADAME.	MADAME.
PANDOLPHE.	PANDOLPHÉ.
Il eſt ſou.	Il est sou.
Mais que veut icy ce Commiſſaire?	Mais que veut ici ce Commissaire?
SCENE XXI.	SCÈNE XXI.
MADAME PAND.	MADAME PAND.
ISABELLE, LUBIN, ALC IPPE en habit de Commiſſaire.	ISABELLE, LUBIN, ALC IPE en habit de Commissaire.
ALCIPPE.	ALCIPPE.
Depuis long-tems il frequentoit chez vous.	Depuis longtemps il fréquentait chez vous.
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
&lous importe?	etlous importe?
ALCIPPE.	ALCIPPE.
Ondit que les roins tendoſent tous A pouvoir épouſer vôtre fille Iſabelle.	Ondit que les roins tendosent tous À pouvoir épouser votre fille Isabelle.
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
C’eſt pour ſon nez.	C'est pour son nez.
A ECIINE.	À ECIINE.
On dit que ſon amour fidelle, Du pele & de la lme auvme nautemene, N’a pu vaincre jamais vôtre endurciſſement;	On dit que son amour fidèle, Du pèle et de la lème au nautemène, N'a pu vaincre jamais votre endurcissement;
Que vous le haïſſiez.	Que vous le haïssiez.
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Ouy de toute mon ame.	Oui de toute mon âme.
ALCIPPE.	ALCIPPE.
Que pour ôter l’eſpoir à l'amour qui l’enflamme, Par un billet trompeur finement concerté.	Que pour ôter l'espoir à l'amour qui l'enflamme, Par un billet trompeur finement concerté.
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Puiſque vous le ſçayez, oüi c’eſt la verité.	Puisque vous le sçayez, oüi c'est la vérité.
O Ciel!	Ô Ciel!
ISABELLE.	ISABELLE.
ALCIPPE.	ALCIPPE.
Je ſuis ravi de vous voir ſi ſincere.	Je suis ravi de vous voir si sincère.
De vôtre propre aveu, vous haiſſiez Valere, Vous n’avez rien obmis pour rompre ſon deſſein, On vient de luy trouver un poignard dans le ſem.	De votre propre aveu, vous haïriez Valère, Vous n'avez rien obmis pour rompre son dessein, On vient de lui trouver un poignard dans le sem.
C’eſt vous dont, en mourant, il accuſe la hayne.	C'est vous dont, en mourant, il accuse la haine.
Il n’en faut point chercher de preuve plus certaine.	Il n'en faut point chercher de preuve plus certaine.
Suivez-moy.	Suivez-moi.
ISABELLE.	ISABELLE.
Juſte ciel!	Juste ciel!
SCENE XXII.	SCÈNE XXII.
MAD.	MAD.
PAND.	PAND.
ISABELLE LUBIN,LYSE.	ISABELLE LUBIN,LYSE.
LYSE.	LYSE.
AH par quel ſort jaloux, L’lnnocence, Madame, eſt opprimée en vous!	AH par quel sort jaloux, L'lnocence, Madame, est opprimée en vous!
Ce Holandois la bas ayant ſçeu de ma bouche Quel malheur vous menace, & cõbien il me touche, Et craignant, le poltron, de ſe voir accuſé D’avoir part à ce coup qu’il ſemble avoir causé, Plus paſle, plus deffait que ne ſont ceux qu’il tuë, Quoy (dit-il) che ſerois chantre d’eine pentuë?	Ce Holandais la bas ayant su de ma bouche Quel malheur vous menace, et cõbien il me touche, Et craignant, le poltron, de se voir accusé D'avoir part à ce coup qu'il semble avoir causé, Plus pâle, plus défait que ne sont ceux qu'il tue, Quoi (dit-il) che serais chantre d'eyne pentue?
Et de ſa roſſe ethique alors picquant les flancs, Fougueux, precipîté, culbutant les paſſans, Jay cru que d’un cheval empruutant la ligdre Belzebut ſon ami luy ſervoit de monture.	Et de sa rosse éthique alors piquant les flancs, Fougueux, precipîté, culbutant les passants, Jais cru que d'un cheval empruant la ligdre Bélzebut son ami luy servait de monture.
LE COMMISSAIRE.	LE COMMISSAIRE.
beau-fuir,d uveray bien,	beau-fuir, ouverai bien,
SCENE XXIII.	SCÈNE XXIII.
MAD.	MAD.
PAND.	PAND.
PANDOLPHE, ISABEL.	PANDOLPHÉE, ISABEL.
LYSE, LUBIN, LE COMMISSAIRE,	LYSE, LUBIN, LE COMMISSAIRE,
PANDOLIIIL.	PANDOLIIL.
U'eſt-ce donc que j’entens?	OÙ'est-ce donc que j'entends?
2 LOBIN.	2 LOBIN.
Ce n’eſt rien, ce n’eſt rien, Mõſieur.	Ce n'est rien, ce n'est rien, Monsieur.
C’eſt ce Mõſieur qui veut pendre Madame.	C'est ce Mõsieur qui veut pendre Madame.
PANDOLPHE.	PANDOLPHÉ.
Comment, Monſieur?	Comment, Monsieur?
ALCIITE.	ÀLCIITE.
Monſieur, je plains bien voſtre femme.	Monsieur, je plains bien votre femme.
Mais Valere bleſſé d’un poignard dans le leru.	Mais Valère blessé d'un poignard dans le lerv.
N’accuſe de ce coup que ſa hayne & ſa main.	N'accuse de ce coup que sa haine et sa main.
PANDOLPHE.	PANDOLPHÉ.
Ah!	Ah!
ma femme!	ma femme!
MADIMEPHCLOLPHE, Comment vous avez la ſottiſe De croire ce qu’il dit?	MADIMEPHCLOLPHE, Comment vous avez la sottise De croire ce qu'il dit?
FANDOLIIID 3 O Dieu, qu’elle ſurpriſe	FANDOLIID 3 Ô Dieu, qu'elle surprise
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Qu'eſt-ce donc?	Qu'est-ce donc?
Tout le monde eſt-il yvre aujourd’huy?	Tout le monde est-il ivre aujourd'hui?
LYSE.	LYSE.
He contraignez vous mieux, Madame, devant luy.	He contraignez -vous mieux, Madame, devant Seigneur.
On croira dautant plus.	On croira dautant plus.
ALCIPPE.	ALCIPPE.
oul.	oul.
c eit trop de remiſe.	ç cit trop de remise.
Allons.	Allons.
de par le Roy, A la Conciergerie.	de par le Roi, À la Conciergerie.
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
De je ne veux pass moj.	De je ne veux pass moj.
LYSE à Alcippe.	LYSE à Alcippe.
Monſieur, ls paeie a une tene diigrace.	Monsieur, lois paéie a une téne diigrace.
Iin Monſſeur, détournez l’affront qui nous menace.	Iin Monseur, détournez l'affront qui nous menace.
LUBIN à Pandolphe.	LÙBIN à Pandolphe.
Et laiſſez la partir.	Et laissez la partir.
C’eſt un ſi beau deblay.	C'est un si beau déblai.
ALCIPPE.	ALCIPPE.
Je voudrois la ſauver à vous dire le vray, Je vous plains, & voudrois pour vous, pour voſtre fille, D’un ſcandale ſi grand ſauver voſtre famille.	Je voudrais la sauver à vous dire le vrai, Je vous plains, et voudrais pour vous, pour vous fille, D'un scandale si grand sauver votre famille.
Mais que faire.	Mais que faire.
Il n’eſt point.	Il n'est point.
Si malgré sõ raport vaiere le vouloit dedire avant ſa mort!	Si malgré sont rapport vaière le voulait dédire avant sa mort!
L’aimez vous?	L'aimez -vous?
PANDOLPHE.	PANDOLPHÉ.
Plût au Crer qu'on fuy lauvât la vie.	Plût au Crer qu'on fuis lavât la vie.
ALCIPPE.	ALCIPPE.
Tie bien n vous l’aimez, contentez ſon envie.	Tie bien n vous l'aimez, contentez son envie.
Par le titre de gendre engagez-le au ſecret.	Par le titre de gendre engagez-le au secret.
Qu’il ſe dediſe enfin.	Qu'il se dédise enfin.
PANDOLP HEYtIa mlee t’en ſemble en effet?	PANDOLP EItIa mêlée t'en semble en effet?
ISABELLE.	ISABELLE.
lue ne ferois ie noi	lue ne ferais beau noi
He quoy donc?	He quoi donc?
LYSE.	LYSE.
ALCIPPE.	ALCIPPE.
Je luy vay propoſer cette affaite?	Je te vais proposer cette affaite?
Mui ln Nes Oh oüi, le beau plaiſir!	Mui l' Es Oh oui, le beau plaisir!
On ne la prendra point.	On ne la prendra point.
MADAME PANDOLTIIE.	MADAME PANDOLTIE.
Comment?	Comment?
avec que vous ce fripon ſeroit joint?	avec que vous ce fripon serait joint?
ISABELLE.	ISABELLE.
Voulez vous qu’a mes yeux en priſon l’on vous traîne!	Voulez -vous qu'a mes yeux en prison l'on vous traîne!
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Qu’on traine.	Qu'on traine.
LYSE A MADAME PANDOLPHE.	LYSE À MADAME PANDOLPHE.
Elle n’a pas l’ame aſſez inhumaine.	Elle n'a pas l'âme assez inhumaine,
MADAML PANDOLPHE.	MADAML PANDOLPHÉE.
liil touo roules coquine avoir un mari.	liil touqu' roules coquine avoir un mari.
ISABELLE.	ISABELLE.
Mey.	Mey.
Il faut bien vous tirer du pas ou ie vous voy.	Il faut bien vous tirer du pas ou un vous vois.
LVBIN A ISABELLE.	LUBIN À ISABELLE.
Mais elle ne veut pas qu’on l’en tire.	Mais elle ne veut pas qu'on l'en tire.
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Le traitre Pourroit dire en mourant qu’il m’a montré mon maître!	Le traître Pourrait dire en mourant qu'il m'a montré mon maître!
ALCIPPE à Pandolphe.	ALCIPPE à Pandolphe.
Enfin voyez, Monſieur;	Enfin voyez, Monsieur;
iray-je?	irai-je?
PANDOLPHE.	PANDOLPHÉ.
Hé ouy Monſieur	Hé oui Monsieur
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Ouy les traitres ainſi traverſoient ma fureur!	Oui les traîtres ainsi versaient ma fureur!
Ah plûtoſt.	Ah plutôt.
arretez, Monſieur le Commiſſaire, C’eſt moy dont la fureur vient de tuer Valere.	Arrêtez, Monsieur le Commissaire, C'est moi dont la fureur vient de tuer Vale.
De nopces & dépoux il n’eſt plus queſtion.	De noces et dépoux il n'est plus question.
LYSE.	LYSE.
O cœur inébranlable!	Ô cœur inébranlable!
PANDOLP'HE.	PANDOLP'HÉ.
Ah Ciel qu’elle eſt ma peinc?	Ah Ciel qu'elle est ma peinc?
ALCIPPE.	ALCIPPE.
Ir EJie.	Ir EJe.
Chez moy, pour l’éloigner, il faut que je l’emmene.	Chez -moi, pour l'éloigner, il faut que je l'emmène.
LUBIN.	LUBIN.
Gr ace au Ciel.	Gr ace au Ciel.
PANDOLPHE.	PANDOLPHÉ.
He quoy tu ris?	He quoi tu ris?
BTOL.	BTOL.
Ma foy, faites en tout de meſme.	Ma foi, faites en tout de même.
Vurene nent pomns ſnort.	Vurène nent pomns snort.
Ct n’eit qu’un ſtratagente Dont	Ct n'éit qu'un stratagente Dont
ELIO PANDOLPHE.	ELIO PANDOLPHÉE.
tce Commiſſaire?	tee Commissaire?
M a Ml ddo Le Il l’eſt tout comme moy.	ML a Ml dédo Le Il l'est tout comme moi.
Comme ami de Valere il a pris cet employ, Mais tandis que ſa feinte éloigne vôtre femme, Je vais quern Valere.	Comme ami de Valère il a pris cet emploi, Mais tandis que sa feinte éloigne votre femme, Je vais quern Valère.
PANDOLPHE.	PANDOLPHÉ.
Ouy va, cours.	Oui va, cours.
Sur mon ame Cette adreſſe me plaît, & je veux dés ce jour, Acqui ter ma parole & payer ſon amour.	Sur mon âme Cette adresse me plaît, et je veux dès ce jour, Aciqui ter ma parole et payer son amour.
F IN Permis d’Imprimer.	 IN Permis d'Imprimer.
Fait ce dixiẽme Novem	Fait ce dixiemme Novem
