LE BOURGEOIS GENTILHOMME COMEDIE-BALET.	LE BOURGEOIS GENTILHOMME COMÉDIE-BALET.
DORANTE.	DORANTE.
Vous avez fait prudemment, & voſtre Femme auroit pû nous embaraſſer.	Vous avez fait prudemment, et votre Femme aurait pu nous embarrasser.
J’ay donné pour vous l’ordre qu’il faut au Cuiſinier, & à toutes les choſes qui ſont neceſſaires pour le Ballet.	J'ai donné pour vous l'ordre qu'il faut au Cuisinier, et à toutes les choses qui sont nécessaires pour le Ballet.
Il eſt de mon invention;	Il est de mon invention;
& pourveu que l’execution puiſſe répondre à l’idée, je ſuis ſeûr qu’il ſera trouvé.	et pourvu que l'exécution puisse répondre à l'idée, je suis sûr qu'il sera trouvé.
MONSIEUR JOURDAIN s'aperçoit que Nicole écoute, & luy donne un ſouflet.	MONSIEUR JOURDAIN s'aperçoit que Nicole écoute, et notre donne un soufflet.
Oüais, vous eſtes bien impertinente.	Ouais, vous êtes bien impertinente.
Sortons, s’il vous plaiſt.	Sortons, s'il vous plaît.
SCENE VII.	SCÈNE VII.
MADAME JOURDAINNICOLE.	MADAME JOURDAINICOLE.
NICOLE.	NICOLE.
A foy, Madame, la curioſité m’a couſté M quelque choſe;	À foi, Madame, la curiosité m'a coûté M quelque chose;
mais je croy qu’il y a quelque anguille ſous roche, & ils parlent de quelque affaire, où ils ne veulent pas que vous ſoyez.	mais je crois qu'il y a quelque anguille sous roche, et ils parlent de quelque affaire, où ils ne veulent pas que vous soyez.
MADAME JOURDAIN.	MADAME JOURDAIN.
Ce n’eſt pas d’aujourd’huy, Nicole, que j’ay conçeu des ſoupçons de mon Mary.	Ce n'est pas d'aujourd'hui, Nicole, que j'ai conçu des soupçons de mon Mari.
Je ſuis la plus trompée du monde, ou il y a quelque amour en campagne, & je travaille à découvrir ce que ce peut eſtre.	Je suis la plus trompée du monde, ou il y a quelque amour en campagne, et je travaille à découvrir ce que ce peut être.
Mais ſongeons à ma Fille.	Mais songeons à ma Fille.
Tu ſçais l’amour que Cleonte a pour elle.	Tu sais l'amour que Cléonte a pour elle.
C’eſt un Homme qui me revient, & je veux aider ſa recherche, & luy donner Lucile, ſi je puis.	C'est un Homme qui me revient, et je veux aider sa recherche, et lui donner Lucile, si je puis.
NICOLE.	NICOLE.
En verité, Madame, je ſuis la plus ravie du monde, de vous voir dans ces ſentimens;	En vérité, Madame, je suis la plus ravie du monde, de vous voir dans ces sentiments;
car ſi le Maiſtre vous revient, le Valet ne me revient pas moins, & je ſouhaiterois que noſtre mariale ſe pût faire à l’ombre du leur.	car si le Maître vous revient, le Valet ne me revient pas moins, et je souhaiterais que notre mariale se pût faire à l'ombre du leur.
MADAME JOURDAIN.	MADAME JOURDAIN.
va-t-en luy parler de ma part, & luy dire que tout-à-l’heure il me vienne trouver, pour faire enſemble à mon Mary la demande de ma Fille.	va-t-en amour parler de ma part, et lui dire que tout-à-l'heure il me vienne trouver, pour faire ensemble à mon Mari la demande de ma Fille.
NICOLE.	NICOLE.
y cours, Madame, avec joye, & ie ne pouvois recevoir une commiſſion plus agreable.	y cours, Madame, avec joie, et ainsi ne pouvais recevoir une commission plus agréable.
Je vay, je penſe, bien réjoüir les Gens.	Je vais, je pense, bien réjouir les Gens.
SCENE VIII.	SCÈNE VIII.
CLEONTE, COVIELLE, NICOLE.	CLÉONTE, COUIELLE, NICOLE.
NICOLE.	NICOLE.
H vous voila tout à propos.	H vous voilà tout à propos.
Je ſuis une A Ambaſſadrice de joye, & je viens.	Je suis une A Ambassadrice de joie, et je viens.
CLEÓNTE.	CLEBNTE.
Retire-toy, perfide, & ne me vien point amuſer avec tes traiſtreſſes paroles.	Retire-toi, perfide, et ne me viens point amuser avec tes traîtresses paroles.
NICOLE.	NICOLE.
Eſt-ce ainſi que vous recevez.	Est-ce ainsi que vous recevez.
CLEONTE.	CLÉONTE.
Retire-toy, te dis-je, & va-t-en dire de ce pas à ton infidelle Maiſtreſſe, qu’elle n’abuſera de ſa vie le trop ſimple Cleonte.	Retire-toi, te dis-je, et va-t-en dire de ce pas à ton infidèle Maîtresse, qu'elle n'abusera de sa vie le trop simple Cléonte.
NICOLE.	NICOLE.
Quel vertigo eſt-ce donc là?	Quel vertigo est-ce donc là?
Mon pauvre Covielle, dy-moy un peuce que cela veut dire?	Mon pauvre Covielle, dis-moi un peuce que cela veut dire?
COVIELLE.	COUIELLE.
Ton pauvre Covielle, petite Scelérate?	Ton pauvre Covielle, petite Scelerate?
Allons viſte, oſte-toy de mes yeux, vilaine, & me laiſs ſe en repos.	Allons vite, ôte-toi de mes yeux, vilaine, et me laiss se en repos.
NICOLE.	NICOLE.
fruoyirume viens auſſi.	fruoyirume viens aussi.
COVIELLE.	COUIELLE.
Oſte-toi de mes yeux, te dis je, & ne me parle de ta vie.	Ost-toi de mes yeux, te dis -je, et ne me parle de ta vie.
NICOLE Oüais!	NICOLE Ouiais!
Quelle mouche les a piquez tous deux?	Quelle mouche les a piqués tous deux?
Allons de cette belle hiſtoire informer ma Maiſtreſſe.	Allons de cette belle histoire informer ma Maîtresse.
SCENE IX.	SCÈNE IX.
CLEONTE, COVIELLE.	CLÉONTE, COUIELLE.
CLEONTE.	CLÉONTE.
Uoy, traitter un Amant de la ſorte;	Oùoi, traiter un Amant de la sorte;
& un Amant le plus fidelle, & le plus paſſionné de tous les Amans?	et un Amant le plus fidèle, et le plus passionné de tous les Amans?
COVIELLE.	COUIELLE.
C’eſt une choſe epouveutable, que ce qu’on nous fait à tous deux.	C'est une chose epouveutable, que ce qu'on nous fait à tous deux.
CLEONTE.	CLÉONTE.
Je fais voir pour une Perſonne toute l’ardeur, & toute la tendreſſe qu’on peut imaginer;	Je fais voir pour une Personne toute l'ardeur, et toute la tendresse qu'on peut imaginer;
Je n’aime rien au monde qu’elle, & je n’ay qu’elle dans l’eſprit:	Je n'aime rien au monde qu'elle, et je n'ai qu'elle dans l'esprit:
Elle fait tous mes ſoins, tous mes deſirs, toute ma joye;	Elle fait tous mes soins, tous mes désirs, toute ma joie;
je ne parle que d’elle, je ne penſe qu’à elle, je ne fais des ſonges que d’elle, je ne reſpire que par elle, mon cœur vit tout en elle;	je ne parle que d'elle, je ne pense qu'à elle, je ne fais des songes que d'elle, je ne respire que par elle, mon cœur vit tout en elle;
& voiſa de tant d’amitié la digne récompenſe!	et voisa de tant d'amitié la digne récompense!
Je ſuis deux jours ſans la voir, qui ſont pour moy deux ſiecles effroyables;	Je suis deux jours sans la voir, qui sont pour moi deux siècles effroyables;
je la rencontre par hazard;	je la rencontre par hasard;
mon cœur à cette veuë ſe ſent tout tranſporté, ma joie éclate ſur mon viſage;	mon cœur à cette vue se sent tout transporté, ma joie éclate sur mon visage;
je vole avec raviſſement vers elle;	je vole avec ravissement vers elle;
& l’infidelle détourne de moi ſes regards, & paſſe bruſquement comme ſi de ſa vie elle ne m’avoit veu!	et l'infidèle détourne de moi ses regards, et passe brusquement comme si de sa vie elle ne m'avait vu!
COVIELLE.	COUIELLE.
Je dis les meſmes choſes que vous.	Je dis les mêmes choses que vous.
CLEONTE.	CLÉONTE.
Peut-on rien voir d’égal.	Peut-on rien voir d'égal.
Covielle, à cette perfidie de l’ingrate Lucile?	Covielle, à cette perfidie de l'ingrate Lucile?
COVIELLE.	COUIELLE.
Et à celle, Monſieur, de la pendarde de Nicole.	Et à celle, Monsieur, de la pendarde de Nicole.
CLEONTE.	CLÉONTE.
Apres tant de ſacrifices ardans, de ſoûpirs, & de vœux que j’ai faits à ſes charmes!	Après tant de sacrifices ardans, de soupirs, et de vœux que j'ai faits à ses charmes!
COVIELLE.	COUIELLE.
Apres tant d’aſſidus hommages, de ſoins, & de ſervices que je lui ai rendus dans la Cuiſine!	Après tant d'assidus hommages, de soins, et de services que je lui ai rendus dans la Cuisine!
CLEONTE.	CLÉONTE.
Tant de larmes que j’ai verſées à ſes genoux!	Tant de larmes que j'ai versées à ses genoux!
COVIELLE.	COUIELLE.
Tant de ſeaux d’eau que j’ai tirez au Puits pour elle!	Tant de seaux d'eau que j'ai tirés au Puits pour elle!
CLEONTE.	CLÉONTE.
TTant d’ardeur que j’ai fait paroiſtre à la chérir plus que moi-meſme.	TTant d'ardeur que j'ai fait paraître à la chérir plus que moi-même.
COVIELLE.	COUIELLE.
Tant de chaleur que j’ai ſoufferte à tourner la Blocne dla placei	Tant de chaleur que j'ai soufferte à tourner la Blocne dla place
CLEONTE.	CLÉONTE.
Efrome rurt ſevcc mépris.	Efrome rurt sevcc mépris.
COVIELLE.	COUIELLE.
olle me tourne le dos avec effronterie!	olle me tourne le dos avec effronterie!
CLEONTE.	CLÉONTE.
C’eſt une perfidie digne des plus grands chaſtimens.	C'est une perfidie digne des plus grands châtiments.
COVIELLE.	COUIELLE.
C’eſt une trahiſon à meriter mille ſouflets,	C'est une trahison à mériter mille soufflets,
CLEONTE.	CLÉONTE.
Ne t’aviſe point, je te prie, de me parler jamais pour ene	Ne t'avise point, je te prie, de me parler jamais pour ene
COVIELLE.	COUIELLE.
Moi, Monſieur!	Moi, Monsieur!
Dieu m’en garde.	Dieu m'en garde.
CLEONTE.	CLÉONTE.
Ne vien point m’excuſer l’action de cette infidelle.	Ne viens point m'excuser l'action de cette infidèle.
COV IELLE.	COU IELLE.
N’aiez pas peur	N'ayez pas peur
CLEONTE.	CLÉONTE.
Non, vois-tu, tous tes diſcours pour la defendre, ne ſerviront de rien.	Non, vois-tu, tous tes discours pour la défendre, ne serviront de rien.
COVIELLE.	COUIELLE.
Qui ſonge à cela?	Qui songe à cela?
CLEONTE.	CLÉONTE.
Je veux contr’elle conſerver mon reſſentiment, & rompre enſemble tout commerce.	Je veux contr'elle conserver mon ressentiment, et rompre ensemble tout commerce.
l’y conſens.	l'y consens.
COVTELLE.	COUTELE.
CLEONTE.	CLÉONTE.
Ce Monſieur le Comte qui va chez elle, lui donne peut-eſtre dans la veuë;	Ce Monsieur le Comte qui va chez elle, lui donne peut-être dans la vue;
& ſon eſprit, je Ie voi bien, ſe laiſſe ébloüir à la qualité.	et son esprit, je Ie vois bien, se laisse ébloüir à la qualité.
Mais il me faut, pour mon honneur, prévenir l’e.	Mais il me faut, pour mon honneur, prévenir l'e.
clat de ſon inconſtance.	clat de son inconstance.
Je veux faire autanr de pas qu’elle au changement où je la voi courir, & ne lui laiſſer pas toute la gloire de me quitter.	Je veux faire autanr de pas qu'elle au changement où je la voi courir, et ne lui laisser pas toute la gloire de me quitter.
COVIELLE.	COUIELLE.
C’eſt fort bien dit, & j’entre pour mon compte dans tous vos ſentimens.	C'est fort bien dit, et j'entre pour mon compte dans tous vos sentiments.
CLEONTE.	CLÉONTE.
Donne la main à mon dépit, & ſoûtien ma reſolution contre tous les reſtes d’amour qui me pouroient parler pour elle.	Donne la main à mon dépit, et soutien ma résolution contre tous les restes d'amour qui me pourraient parler pour elle.
Dy-m’en, je t’en conjure, tout le mal que tu pourras.	Dis-m'en, je t'en conjure, tout le mal que tu pourras.
Fais-moi de ſa Perſonne une peinture qui me la rende mépriſable;	Fais-moi de sa Personne une peinture qui me la rende méprisable;
& marque-moi bien, pour m’en dégouſter, tous les defauts que tu peux voir en elle.	et marque-moi bien, pour m'en dégoûter, tous les défauts que tu peux voir en elle.
COVIELLE.	COUIELLE.
Elle, Monſieur, Voila une belle Mijaurée, une Pimpe-ſoüée bien baſtie, pour vous donner tant d’amour.	Elle, Monsieur, Voilà une belle Mijaurée, une Pympe-là bien bâtie, pour vous donner tant d'amour.
Je ne lui voi rien que de tres-mediocre, & vous trouverez cent Perſonnes qui ſeront plus dignes de vous.	Je ne lui voi rien que de très-médiocre, et vous trouverez cent Personnes qui seront plus dignes de vous.
Premierement, elle a les yeux petits.	Premièrement, elle a les yeux petits.
CLEONTE.	CLÉONTE.
Cela eſt vrai, elle a les yeux petits;	Cela est vrai, elle a les yeux petits;
mais elle les a pleins de feux, les plus brillans, les plus perçans du monde, les plus touchans qu’on puiſſe voir.	mais elle les a pleins de feux, les plus brillants, les plus perçants du monde, les plus touchants qu'on puisse voir.
COVIELLE.	COUIELLE.
COVIELLE.	COUIELLE.
Elle a la bouche grande.	Elle a la bouche grande.
CLEONTE.	CLÉONTE.
Oüy;	Oui;
mais on y voit des graces qu’on ne voit point aux autres bouches;	mais on y voit des grâces qu'on ne voit point aux autres bouches;
& cette bouche, eu la voiant, inſpire des deſirs, eſt la plus attraiante, la plus amoureuſe du monde.	et cette bouche, eu la voyant, inspire des désirs, est la plus attrayante, la plus amoureuse du monde.
COVIELLE.	COUIELLE.
Pour ſa taille, elle n’eſt pas grande.	Pour sa taille, elle n'est pas grande.
CLEONTE.	CLÉONTE.
Non;	Non;
mais elle eſt aiſée, & bien priſc.	mais elle est aisée, et bien prisc.
COVIELLE.	COUIELLE.
Elle affecte une nonchalance dans ſon parler, & dans ſes actions.	Elle affecte une nonchalance dans son parler, et dans ses actions.
CLEONTE.	CLÉONTE.
Il bit vrar y mais enle a grace à tout cela, & ſes manieres ſont engageantes, ont je ne ſçai quel charme à s’inſinuer dans les cœurs.	Il bit vrar y mais enle à grâce à tout cela, et ses manières sont engageantes, ont je ne sais quel charme à s'insinuer dans les cœurs.
COVIELLE.	COUIELLE.
Pour de l’Eſprit.	Pour de l'Esprit.
CLEONTE.	CLÉONTE.
Ah elle en a, Covielle, du plus fin, du plus délicat.	Ah elle en a, Covielle, du plus fin, du plus délicat.
COVIELLE.	COUIELLE.
Sa converſation.	Sa conversation.
CLEONTE.	CLÉONTE.
Sa converſation eſt charmante.	Sa conversation est charmante.
COVIELLE.	COUIELLE.
Elle eſt toûjours ſérieuſe.	Elle est toujours sérieuse.
CLEONTE.	CLÉONTE.
Veux-tu de ces enjoûmens épanoüis, de ces joyes toûjours ouvertes?	Veux-tu de ces enjouments épanouis, de ces joies toujours ouvertes?
& vois tu rien de plus impertinent, que des Femmes qui rient à tout propos:	et vois tu rien de plus impertinent, que des Femmes qui rient à tout propos:
COVIELLE.	COUIELLE.
Mais enfin elle eſt capricieuſe autant que Per.	Mais enfin elle est capricieuse autant que Per.
ſonne du monde.	sonne du monde.
CLEONTE.	CLÉONTE.
Oüy, elle eſt capricieuſe, j’en demeure d’accord;	Oui, elle est capricieuse, j'en demeure d'accord;
mais tout ſied bien aux Belles, on ſouffre tout des Belles.	mais tout sied bien aux Belles, on souffre tout des Belles.
COVIELLE.	COUIELLE.
Puis que cela va comme cela, je voi bien que vous avez envie de l’aimer toûjours.	Puis que cela va comme cela, je vois bien que vous avez envie de l'aimer toujours.
CLEONTE.	CLÉONTE.
Moi, j’aimerois mieux mourir;	Moi, j'aimerais mieux mourir;
& je vai la hair autant que je l’ai aimée.	et je vais la haïr autant que je l'ai aimée.
COVIELLE.	COUIELLE.
Le moyen, ſi vous la trouvez ſi parfaite?	Le moyen, si vous la trouvez si parfaite?
CLEONTE.	CLÉONTE.
C’eſt en quoi ma vengeance ſera plus éclatante;	C'est en quoi ma vengeance sera plus éclatante;
en quoi je veux faire mieux voir la force de mon cœur, à la haïr, à la quitter, toute belle, toute pleine d’attraits, toute aimable que je la trouve.	en quoi je veux faire mieux voir la force de mon cœur, à la haïr, à la quitter, toute belle, toute pleine d'attraits, toute aimable que je la trouve.
La voici.	La voici.
SCENE X.	SCÈNE X.
CLEONTE, LUCILE, COVIELLE, NICOLE.	CLEONTE, LUCILE, COUIELLE, NICOLE.
NICOLE.	NICOLE.
y Our moi, j’en ai eſté toute ſcandaliſee.	y Our moi, j'en ai été toute scandalisée.
LUCILE.	LUCILE.
Ce ne peut eſtre, Nicole, que ce que je te dis.	Ce ne peut être, Nicole, que ce que je te dis.
Mais le voila.	Mais le voilà.
CLEONTE.	CLÉONTE.
Je ne veux pas ſeulement luy parler.	Je ne veux pas seulement belle parler.
COVIELLE.	COUIELLE.
Je veux vous imiter.	Je veux vous imiter.
LUCILE.	LUCILE.
Qu’eſt-ce donc, Cleonte, qu’avez-vous?	Qu'est-ce donc, Cléonte, qu'avez-vous?
NICOLE.	NICOLE.
Qu’as-tu donc, Covielle?	Qu'as-tu donc, Covielle?
LUCILE.	LUCILE.
Quel chagrin vous poſſede?	Quel chagrin vous possède?
NICOLE.	NICOLE.
Quelle mauvaiſe humeur te tient?	Quelle mauvaise humeur te tient?
LUCILE.	LUCILE.
Eſtes-vous muet, Cleonte?	Êtes-vous muet, Cléonte?
NICOLE.	NICOLE.
As-tu perdu la parole, Covielle?	As-tu perdu la parole, Covielle?
CLEONTE.	CLÉONTE.
Que voila qui eſt ſcelerat!	Que voilà qui est scélérat!
COVIELLE.	COUIELLE.
Que cela eſt Judas!	Que cela est Judas!
LUCILE.	LUCILE.
Je voy bien que la rencontre de tantoſt a troublé voſtre eſprit.	Je vois bien que la rencontre de tantôt a troublé votre esprit.
CLEONTE.	CLÉONTE.
Ah, ah, on voit ce qu’on a fait.	Ah, ah, on voit ce qu'on a fait.
NICOLE Noſtre accueil de ce matin t’a fait prendre la chevre.	NICOLE Notre accueil de ce matin t'a fait prendre la chèvre.
COVIELLE.	COUIELLE.
On a de viné l'encloüeure.	On a de viné l'encloüeure.
LUCILE.	LUCILE.
N’eſt-il pas vrai, Cleonte, que c’eſt là le ſujet de voſtre dépit?	N'est-il pas vrai, Cléonte, que c'est là le sujet de votre dépit?
CLEONTE.	CLÉONTE.
Oüy, perfide, ce l’eſt, puis qu’il faut parler;	Oui, perfide, ce l'est, puis qu'il faut parler;
& j’ai à vous dire que vous ne triompherez pas comme vous penſez de voſtre inſidelité, que jeveux eſtre le premier à rompre avecque vous, & que vous n’aurez pas l’avantage de me chaſſer.	et j'ai à vous dire que vous ne triompherez pas comme vous pensez de votre insidélité, que je être le premier à rompre avec vous, et que vous n'aurez pas l'avantage de me chasser.
J’aurai de la peine, ſans doute, à vaincre l’amour que j’ai pour vous;	J'aurai de la peine, sans doute, à vaincre l'amour que j'ai pour vous;
cela me cauſera des chagrins:	cela me causera des chagrins:
Je ſouffrirai un temps;	Je souffrirai un temps;
mais j’en viendrai à bout, & je me percerai plûtoſt le cœur, que d’avoir la foibleſſe de retourner à vous.	mais j'en viendrai à bout, et je me percerai plutôt le cœur, que d'avoir la faiblesse de retourner à vous.
COVIELLE.	COUIELLE.
Queuſſy, queumy.	Queussi, queumi.
LUCILE.	LUCILE.
Voila bien du bruit pour un rien.	Voilà bien du bruit pour un rien.
Je veux vou?	Je veux vou?
dire, Cleonte, le ſujet qui m’a fait ce matin éviter voſtre abord.	dire, Cléonte, le sujet qui m'a fait ce matin éviter votre abord.
CLEONTE.	CLÉONTE.
Non, je ne veux rien écouter.	Non, je ne veux rien écouter.
NICOLE.	NICOLE.
Jete veux aprendre la cauſe qui nous a fait panenmemte.	Jette veux apprendre la cause qui nous a fait panenmemette.
COVIELLE.	COUIELLE.
Je ne veux rien entendre.	Je ne veux rien entendre.
LUCILE.	LUCILE.
Sçachez que ce matin.	Sachez que ce matin.
CLEONTE.	CLÉONTE.
Non, vous dis-je.	Non, vous dis-je.
npiens due.	niens due.
NICOLE.	NICOLE.
COVIELLE.	COUIELLE.
Non, traiſtreſſe.	Non, traîtresse.
Ecoutez.	Écoutez.
LUCILE.	LUCILE.
Point d’affaire.	Point d'affaire.
CLEONTE.	CLÉONTE.
Laiſſe-moy dire.	Laisse-moi dire.
IICOLE.	IICOLE.
Je ſuis ſourd.	Je suis sourd.
COVIELLE.	COUIELLE.
Cleonte.	Cléonte.
LUCILE.	LUCILE.
Non.	Non.
CLEONTE.	CLÉONTE.
Covielle.	Covielle.
NICOLE.	NICOLE.
Point.	Point.
COV IELLE.	COU IELLE.
Arreſtez.	Arrêtez.
LUCILE.	LUCILE.
D iij	 Dijà
Chamons.	Chamons.
CLEONTE.	CLÉONTE.
Entens-moi.	Entends-moi.
NICOLE.	NICOLE.
Bagatelles.	Bagatelles.
COVIELLE.	COUIELLE.
Un moment.	Un moment.
LUCILE.	LUCILE.
Point du tout.	Point du tout.
CLEONTE.	CLÉONTE.
NICOLE.	NICOLE.
Un peu de patience.	Un peu de patience.
Tarare.	Tarare.
COVIELLE.	COUIELLE.
Deux paroles.	Deux paroles.
LUCILE.	LUCILE.
CLEONTE.	CLÉONTE.
Non, ç’en eſt fait.	Non, ç'en est fait.
Un mot.	Un mot.
NICOLE.	NICOLE.
COVIELLE.	COUIELLE.
Plus de commerce	Plus de commerce
LUCILE.	LUCILE.
Hé bien, puis que vous ne voulez pas m’écouter, demeurez dans voîlre penſée, & faites ce qu’il vous plaira.	Hé bien, puis que vous ne voulez pas m'écouter, demeurez dans voîlre pensée, et faites ce qu'il vous plaira.
NICOLE.	NICOLE.
Puis que tu fais comme cela, prens-le tout comme tu voudras.	Puis que tu fais comme cela, prends-le tout comme tu voudras.
CLEONTE.	CLÉONTE.
Sçachons donc le ſujet d’un ſi bel accueil.	Sachons donc le sujet d'un si bel accueil.
L'UCILE.	L'UCILE.
Il ne me plaiſt plus de le dixe.	Il ne me plaît plus de le dixe.
COVIELLE.	COUIELLE.
Aprens-nous un peu cette hiſtoire.	Apprends-nous un peu cette histoire.
NICOLE.	NICOLE.
Je ne veux plus, moi, te l’aprendre.	Je ne veux plus, moi, te l'apprendre.
Dites-moi.	Dites-moi.
CLEONTE.	CLÉONTE.
LUCILE.	LUCILE.
Non, je ne veux rien dire.	Non, je ne veux rien dire.
Conte Moi.	Conte Moi.
COVIELLE.	COUIELLE.
NICOLE.	NICOLE.
Non, je ne conte rien.	Non, je ne compte rien.
De grace.	De grâce.
CLEONTE.	CLÉONTE.
LUCILE.	LUCILE.
Non, vous dy-je.	Non, non dis-je.
Par charité.	Par charité.
COVIELLE.	COUIELLE.
Point d’affaire.	Point d'affaire.
NICOLE.	NICOLE.
Je vous en prie.	Je vous en prie.
CLEONTE.	CLÉONTE.
Laiſſez-moi.	Laissez-moi.
LUCILE.	LUCILE.
COVIELLE.	COUIELLE.
Je t’en conjure.	Je t'en conjure.
Oſte-toi de là.	Ost-toi de là.
NICOLE.	NICOLE.
Lucile.	Lucile.
CLEONTE.	CLÉONTE.
Non.	Non.
LUCILE.	LUCILE.
Nicole.	Nicole.
COVIELLE.	COUIELLE.
Point.	Point.
NICOLE.	NICOLE.
CLEONTE.	CLÉONTE.
Au nom des Dieux.	Au nom des Dieux.
Jedearae LUCILE.	Jedearae LUCILE.
Parle-moi.	Parle-moi.
COVIELLE.	COUIELLE.
Poifit ue tout.	Poifit ue tout.
NICOLE.	NICOLE.
CLEONTE.	CLÉONTE.
Eclairciſſez mes doutes.	Éclaircissez mes doutes.
LUCILE.	LUCILE.
Non, je n’en ferai rien.	Non, je n'en ferai rien.
COVIELLE.	COUIELLE.
Gueris moi l’eſprit.	Guéris moi l'esprit.
NICOLE.	NICOLE.
Non il ne me plaiſt pas.	Non il ne me plaît pas.
CLEONTE.	CLÉONTE.
Hé bien, puis que vous vous ſouciez ſi peu de me tirer de peine, & de vous juſtifier du traitement indigne que vous avez fait à ma flâme, vous me voiez, ingrate, pour la derniere fois, & je vai loin de vous mourir de douleur & d’amour.	Hé bien, puis que vous vous souciez si peu de me tirer de peine, et de vous justifier du traitement indigne que vous avez fait à ma flamme, vous me voyez, ingrate, pour la dernière fois, et je vay loin de vous mourir de douleur et d'amour.
COVIELLE.	COUIELLE.
Et moi, je vai ſuivre ſes pas.	Et moi, je vais suivre ses pas.
Cleonte.	Cléonte.
LUCILE.	LUCILE.
Covielle.	Covielle.
NICOLE.	NICOLE.
Eh ?	Eh ?
CLEONTE.	CLÉONTE.
Plaiſt-il?	Plaît-il?
COVIELLE	COUIELLE
Od anet-vous?	Od anet-vous?
LUCILE.	LUCILE.
CLEONTE.	CLÉONTE.
Ou je vous aidit.	Ou je vous aidit.
COVIELLE.	COUIELLE.
Nous allons mourir.	Nous allons mourir.
LUCILE.	LUCILE.
Vous allez mourir, Cleonte?	Vous allez mourir, Cléonte?
CLEONTE.	CLÉONTE.
Oüy, cruelle, puis que vous le voulez.	Oui, cruelle, puis que vous le voulez.
LUCILE.	LUCILE.
Moi, je veux que vous mouriez?	Moi, je veux que vous mouriez?
CLEONTE.	CLÉONTE.
Oüy, vous le voulez.	Oui, vous le voulez.
LUCILE.	LUCILE.
Qui vous le dit?	Qui vous le dit?
CLEONTE.	CLÉONTE.
N’eſt-ce pas le vouloir, que de ne vouloir pas eclaircir mes ſoupçons?	N'est-ce pas le vouloir, que de ne vouloir pas éclaircir mes soupçons?
LUCILE.	LUCILE.
Eſt-ce ma faute?	Est-ce ma faute?
Et ſi vous aviez voulu m’écouter, ne vous aurois-je pas dit que l’avanture dont vous vous plaignez, à eſté causée ce matin par la preſence d’une vieille Tante, qui veut à toute force, que la ſeule aproche d’un Homme deſ-honore une Fille;	Et si vous aviez voulu m'écouter, ne vous aurais-je pas dit que l'aventure dont vous vous plaignez, à été causée ce matin par la présence d'une vieille Tante, qui veut à toute force, que la seule approche d'un Homme des-honore une Fille;
Qui perpetuellement nous ſermone ſur ce chapitre, & nous figure tous les Hommes comme des Diables qu’il faut fuir?	Qui perpétuellement nous sermone sur ce chapitre, et nous figure tous les Hommes comme des Diables qu'il faut fuir?
NICOLE.	NICOLE.
Voila le ſecret de l’affaire.	Voilà le secret de l'affaire.
CLEONTE.	CLÉONTE.
Ne me trompez-vous point, Lucile?	Ne me trompez-vous point, Lucile?
COVIELLE.	COUIELLE.
Ne m’en donnes-tu point à garder?	Ne m'en donnes-tu point à garder?
TUCILE.	TUCILE.
Il n’eſt rien de plus vrai.	Il n'est rien de plus vrai.
NICOLE.	NICOLE.
C’eſt la choſe comme elle eſt.	C'est la chose comme elle est.
COVIELLE.	COUIELLE.
Nous rendrons-nous à cela ?	Nous rendrons-nous à cela ?
CLEONTE.	CLÉONTE.
Ah, Lucile, qu’avec un mot de voſtre bouche vous ſçavez apaiſer de choſes dans mon cœur!	Ah, Lucile, qu'avec un mot de votre bouche vous savez apaiser de choses dans mon cœur!
& que facilement on ſe laiſſe perſuader aux Perſonnes qu’on aime!	et que facilement on se laisse persuader aux Personnes qu'on aime!
COVIELLE.	COUIELLE.
Qu’on eſt aisément amadoüé par ces diantres d’animaux-là!	Qu'on est aisément amadoüé par ces diantres d'animaux-là!
SCENE XI.	SCÈNE XI.
MADAME JOURDAIN.	MADAME JOURDAIN.
CLESMPESLUCILE, COVIELLE,NICOLE.	CLÊMPESLUCILE, COUIELLE,NICOLE.
MADAME JOURDAIN.	MADAME JOURDAIN.
E ſuis bien aiſe de vous voir, Cleonte, & vous voila tout à propos.	E suis bien aise de vous voir, Cléonte, et vous voilà tout à propos.
Mon Mari vient, prenez viſte voſtre temps pour lui demander uene en Malage.	Mon Mari vient, prenez vite même temps pour lui demander uene en Malage.
CLEONTE.	CLÉONTE.
Ah, Madame, que cette parole m’eſt douce, & qu’elle flate mes deſirs!	Ah, Madame, que cette parole m'est douce, et qu'elle flatte mes désirs!
Pouvois-je recevoir un ordre plus charmant?	Pouvais-je recevoir un ordre plus charmant?
une faveur plus précieuſe?	une faveur plus précieuse?
SCENE XII.	SCÈNE XII.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
MADAME JOURDAIN, CLEONTE, LUCILE, COVIELLE,NICOLE,	MADAME JOURDAIN, CLEONTE, LUCILE, COUIELE,NICOLE,
CLEONTE.	CLÉONTE.
Onſieur, je n’ai voulu prendre perſonne N pour vous faire une demande que je médite il y a long temps.	Onsieur, je n'ai voulu prendre personne N pour vous faire une demande que je médite il y a long temps.
Elle me touche aſſez pour m’en charger moi-meſme;	Elle me touche assez pour m'en charger moi-même;
& ſans autre détour, je vous dirai que l’honneur d’eſtre vôtre Gendre eſt une faveur glorieuſe que je vous prre de m’accorder.	et sans autre détour, je vous dirai que l'honneur d'être votre Gendre est une faveur glorieuse que je vous prère de m'accorder.
