ARGVMENT DE LA preſente Tragedie.	ARGUMENT DE LA présente Tragédie.
Rien, rien il ne faut point s’informer plus auant Tout du premier abord ie t’en ay fait ſçauant, seulle l'ay remporte ceſte belle vletoire Et ſeulle auſſi i’en doy en r’emporter la gloire, Car ſeulle ie l’auois ſans conſeil projetté Et ſeulle heureuſement ſans autre executé.	Rien, rien il ne faut point s'informer plus avant Tout du premier abord manière t'en ai fait savant, seulle l'ai remporte cette belle veuletoire Et seulle aussi j'en dois en rapporter la gloire, Car seulle un l'avais sans conseil projetté Et seulle heureusement sans autre exécuté.
Aladin.	Aladin.
Et ſur toy ſeulle aum ina dextre vengereſſe Eſtendra ce iourd’huy ſa puiſſance maiſtreſſe.	Et sur toi seulle aum ina dextre vengeresse Étendra ce jour'hui sa puissance maîtresse.
Sophronie.	Sophronie.
Si i’eus ſeulle l’honneur il eſt iuſte vrayemnt que ſeulle i’aye encor la peine & le tourment.	Si j'eus seulle l'honneur il est juste vraiemnt que seulle j'aie encor la peine et le tourment.
Aladin.	Aladin.
rarals dy moy ou as-tu Mimage receices Sophronie.	rarals dis -moi ou as-tu Mimage receices Sophronie.
Ie ne l’ay point cachee ains ſoit ie l’ay bruſleë Afin qu’elle ne peuſt par vn nouueau meſchef Tomber entre tes mains, pour ſeruir de rechef, A tes infames vœux, ce que tu as enuié De trouuer le larron ou l’image rauie, Pour luy, ie t’ay promis de te le faire veoir De l’autre il ne viendra iamais a ton pouuoir, Bien que pour dire vray ie ne ſuis point coulpable D’auoir rien deſrobé, eſtant choſe louabre;	Je ne l'ai point cachée ains soit ainsi l'ai brûle Afin qu'elle ne pût par un nouveau mèches Tomber entre tes mains, pour servir de rêches, À tes infâmes vœux, ce que tu as envié De trouver le larron ou l'image ravie, Pour lu, ie t'ai promis de te le faire voir De l'autre il ne viendra jamais a ton pouvoir, Bien ton pour dire vrai ie ne suis point coulpable D'avoir rien dérobé, étant chose louabre;
De retirer a nous & reprendre cela Que ta main ſacrilege à l’heure nous volla.	De retirer à nous et reprendre cela Que ta main sacrilège à l'heure nous volla.
Aladmn.	Aladmn.
ouittez vos creux enfers heumenides furies Apportez moy vos fers & vos forceneries, Pour me venger du tort & du rapattenté que ceſte deſloyalle a ſur moy intenté, Et s’en vanter encor d’vne rage effrontée Prenez la moy Soldats qu’elle ſoit garrottee, Qu’on la meine au ſupplice & qu’on face le cours Terminer dans vn feu ces miſerables iours, Car ie ne puis aſſez chaſtier telle offence Encore que l’excez paſſe la violence, Ie croy que les tourmens qu’on luy fera ſentir Luy cauſeront bien toſt vn tardif repentir, De m’auoir yrrité, pour ſeruir d’exemplaire A tous ceux qui voudront taſcher de me deſplaire.	ouittez vos creux enfers heumenides furies Apportez moi vos fers et vos forceneries, Pour me venger du tort et du rapattenté que cette déloyalle a sur moi intenté, Et s'en vanter encor d'une rage effrontée Prenez la moi Soldats qu'elle soit garrotte, Qu'on la mène au supplice et qu'on face le cours Terminer dans un feu ces misérables jours, Car ie ne puis assez châtier telle offense Encore que l'excore que l' violence, Je crois que les tourments qu'on ces fera sentir a sentiront bien tôt bien tardif repentir, De m'avoir yrrité, pour servir exemplaire A tous ceux qui voudront tâcher de me déplaire.
Olinde.	Olinde.
Si l’amour qui preſide à mes affections	Si l'amour qui préside à mes affections
Me	Me
La Sopprome.	La Sopprome.
Me permettoit loger quelque autre paſſion, 33 Dans mon cœur ſans ſubjet les facheuſes trauerſes Qui nous vont tenaillant de miſeres diuerſes, Tranſſiroit ma poictrine, & le cruel effroy Du maſſacre ſenglant de noſtre cruel Roy, Sans ceſſe menaſſant tous ceux de noſtre raM’auroit geſné le cœur' d’vne peureuſe glace, Puis ayant de mon cœur tout orage paſſé Ayant de mes eſprits maint iugement tracé, Ie participerois a la reſiouyſſance Dont chacun eſt touché pour noſtre deliurance, Mais ne ſçay quel glaçon qui martire mes ſens Ne me permet gouſter a ces plaiſirs reſſens, Pour le deuil contineu que ie porte dans l’ame De la prochaine mort d’vne Chreſtienne Dame, Qu’on va executer, pour auoir comme on dit Priſe dedans le Temple vn Image de nuict, Ie vay veoir ſa conſtance & la fin de ſa vie O!	Me permettait loger quelque autre passion, 33 Dans mon cœur sans sujet les fâcheuses traverses Qui nous vont tenaillant de misères diverses, Transsiroit ma poitrine, et le cruel effroi Du massacre sénglant de notre cruel Roi, Sans cesse menaçant tous ceux de notre raM'aurait gêné le cœur d'une peureuse glace, Puis ayant de mon cœur tout orage passé Ayant de mes esprits maint jugement tracé, Je participerais à la resiouyssance Dont chacun est touché pour notre délivrance, Mais ne sais quel glaçon qui martyre mes sens Ne me permet goûter a ces plaisirs ressens, Pour le deuil contineu que ie porte dans m De a che mort Chrestienne Dame, on va exécuter, pour auoir comme on dit Prise dedans le Temple Image de nuict, Ie vay veoir sa constance et la fin de sa vie Ô!
Dieu que voy-ie là n’eſt-ce pas Sophronie, Que l’on tient garrotee, ah!	Dieu que vois-je là n'est-ce pas Sophronie, Que l'on tient garrote, ah!
ſoing chaſſe ſoulas Profeſte de mon mal trop veritable helas.	soing chasse soûlas Profeste de mon mal trop véritable hélas.
Aladin ſort.	Aladin sort.
Ahlſoldat ſans pitié, ah!	Ahlsoldat sans pitié, ah!
Roy plus que barbare Deſtruiras tu ainſi ceſte beauté ſi rare, 1	Roi plus que barbare Détruiras -tu ainsi cette beauté si rare, 1
La Sopbromie.	La Sopbromie.
Aladin és-tu donc maintenant forcené Ou ſi la rancœur t’a du tout abandonné.	Aladin es-tu donc maintenant forcené Ou si la rancœur t'a du tout abandonné.
De vouloir outrager ceſte pauure innocente Qui à le ſens troublé, & qui folle ſe vante, D’auoir fait le larcin qui te rend courroucé Elle n’y a iamais tant ſeullement penſé, Non, non ſire c eſt moy, c’eſt moy ie le confeſſe Qui ay pris le pourtrait de la ſainte Deeſſe, Car ainſi que l’horreur dé l’obſcur de la nuict Tenoit le monde quoy, ie viens ſeul & ſans bruict, Tout joignant voſtre Temple où de là par derriere Et par des ais voutez il reçoit la lumiere, Ie montay dextrement par des murs raboteux Iuſques au feneſtrage, ou d’vn ſault hazardeux, Ie me lançay dedans, & chargé de ma proye Ie reſautay ſoudain par ceſte meſme voye, Ainſi toute la gloire & tout l’honneur eſt mien Et ne faut que perſonne y participe en rien, 8 Que doncques celle-cy n’vſurpe point mes peines 11109 A moy ſeul ſont ces fers, ces liens, & ces chaines, A moy ſeul le ſupplice & le treſpas eſt deu C’eſt pour moy ſeul auſsi que s’alume ce feu.	De vouloir outrager cette pauvre innocente Qui à le sens troublé, et qui folle se vante, D'avoir fait le larcin qui te rend courroucé Elle n'y a jamais tant seullement pensé, Non, non sire c' est moi, c'est moi -moi le confesse Qui ay pris le pourtrait de la sainte Deesse, Car ainsi que l'horreur dé l'obscur de la nuit Tenait le monde quoi, ie viens seul et sans bruit, Tout joignant votre Temple où de là par derrière Et par des ais voûtez il reçoit la lumière, Ie montay de par des murs a Ize au té, ou sault hazardeux, Ie me lançay re, et ç de ma ô Ie la soudain par ceste même voie, Je mont la gloire et tout honneur est mien Et ne faut que personne y participe en de, 8 Mu doncques re-cy vsurpe sort mes peines 11109 A moi seul sont ces fers, ces liens, et ces age, A moi ou le supplice et le trépas est d est ' un seul aussi que alume ce feu.
Sophronie.	Sophronie.
Quel conſeil ou fureur ô!	Quel conseil ou fureur ô!
pauure miſerable Aueugle te conduit à te rendre coulpable, Du mal que tu n’as fait, ceſſe de raconter 10 Ces propos menſongers, penſe-tu donc m’oſter, nn.	pauvre misérable Aueugle te conduit à te rendre coulpable, Du mal que tu n'as fait, cesse de raconter 10 Ces propos mensongers, pense-tu donc m'ôter, nn.
I Le fruit de mon labeur auec ceſte caurelle Ou ſi tu fais eſtat qu’vne ſimple pucelle, N’aiſt du courage aſſez pour ſçauoir endurer Tout ce dont vn tyrant la voudroit martyrer, Tu te trompe chetif, il n’eſt en ta puiſſance Par mille & mille mors esbraiier ma cohſtance.	I Le fruit de mon labeur était cette caurelle Ou si tu fais estat qu'une simple pucelle, N'att du courage assez pour savoir endurer Tout ce dont un tirant la voudrait martyrer, Tu te trompe chétif, il n'est en ta puissance Par mille et mille mors ébraiier ma cohstance.
Olinde.	Olinde.
Prends pour toy c’eſt aduis & me laiſſe emporter L’vſufruit de ce bien que i’ay ſceu meriter, I’ay voullu retirer l’Image venerable De l’outrageux pouuoir d’vn ſorcier deteſtable, C’eſt en vain, c’eſt en vain que tu cuides abuſer Le Roy par ton diſçours en penſant m’en priuer, Il n’eſt pas ſi peu cault que de t’en vouloir croirre.	Prends pour toi c'est avis et me laisse emporter L'usuffruit de ce bien que j'ai su mériter, J'ai voullu retirer l'Image vénérable De l'outrageux pouvoir d'un sorcier détestable, C'est en vain, c'est en vain que tu cuides abuser Le Roi par ton disçours en pensant m'en priver, Il n'est pas si peu cault que de t'en vouloir croirre.
C 2	Ç 2
Aladin.	Aladin.
O !	Ô !
rages, ô fureurs hoſteſſes de mon ame Que croupiſſez vous tant ſoubs vn deſir infameD’eſtre trop patient, ſortez, ſortez dehors Et faites maintenant preuue de vos effors, Ne voyez vous comment ceſte couple mutine Opiniaſtrement ſe debat & s’obſtine, A qui aura l’honneur de m’auoir irrité Qu’on croye que tous deux ont dit la verité, Sus prenez les ſoldats qu’vne flamme bruſſante Les conſomme tous deux d’vne ardeur viollents Et afin que rien deux il ne puiſſe reſter Qu’on face incontinent la cendre en l’air ietter,	rages, ô fureurs hôtesses de mon âme Que croupissez -vous tant sous un désir infâmeD'être trop patient, sortez, sortez dehors Et faites maintenant preuve de vos essors, Ne voyez vous comment cette couple mutine Opiniâtrement se débat et s'obstine, A qui aura l'honneur de m'avoir irrité Qu'on croie que tous deux ont dit la vérité, Sus prenez les soldats qu'une flamme brussante Les consomme tous deux d'une ardeur violonts Et afin que rien deux il ne puisse rester Qu'on face incontinent la cendre en l'air ter,
ACTE QVATRIESME.	ACTE QUATRIÈME.
Olinde, Sophronie, Clorinde, le Soldat.	Olinde, Sophronie, Clorinde, le Soldat.
La Sophranie.	La Sophranie.
aſſeurance, Sur ce que tu promets;	assurance, Sur ce que tu promets;
car tes flateurs proiects Sont touſiours ſecondes de contraires objects, O!	car tes flatteurs proiects Sont toujours secondes de contraires objects, Ô!
deſſains mal fondez, ie penſois que ma vie Se verroit jointé vn iour auec toy Sophronie, Las!	dessains mal fondez, ie pensais que ma vie Se verrait jointé un jour avec toi Sophronie, Las!
ou eſt la promeſſe, & ſont-ce icy les las Dont l’Hymen nous debuoit lier enſemble helas, Eſt-ce icy le ſainct feu que nous debuions ma Dame Bruſler eſgallement de ſa celeſte flame, Eſt-ce le iour heureux qui m’eſtoit preparé Apres auoir veſeu ſi long-temps ſeparé, De vous mon cher ſoucy!	ou est la promesse, et sont-ce ici les las Dont l'Hymen nous débuait lier ensemble hélas, Est-ce ici le saint feu que nous débuyons ma Dame Brûler également de sa céleste flamme, Est-ce le jour heureux qui m'était préparé Apres avoir vu si longtemps séparé, De vous mon cher souci!
falloit-il à ceſte heure M’y ioindre ſeullement puis qu’il faut que ie meuQue diſ-je helas mourir le treſpas m’eſt trop doux Puis qu’il me faut mourir au moins auecques vous, Mais ie plains le treſpas de ceſte ame innocente Que de ſon beau ſejour auant le temps s’abſente, Ie plains ce chaſte corps ceſte rare beauté Sur qui ce fier titant verra ſa cruauté, Mais las puis que le ſort me condamne ma Dame De ſouffrir auec vous ma langoureuſe trame, Et que ie ſuis icy condamné à ſouffrir Deux mors tout en vn coup en vous voyant mourir, que ne m’eſt-il permis de ioindre mon viſage Au voſtre tant avmé à ce fatal puſſage, De baiſer voſtre bouche & cueillir en mourant Le dernier des ſouſpirs que vous allez jettant, 11 Et tout en meſme inſtant ſur vos leures de baſme, Expirer doucement le reſte de mon ame, De combien mon tourment en ſeroit adoucy O.	falloit-il à cette heure M'y joindre seullement puis qu'il faut que a meuQue dis-je hélas mourir le trépas m'est trop doux Puis qu'il me faut mourir au moins avec vous, Mais ie ainsi le trépas de cette âme innocente Que de son beau séjour avant le temps s'absente, Je plains ce chaste corps cette rare beauté Sur qui ce fier titant verra sa cruauté, Mais la puis que le sort me condamne ma Dame De souffrir avec vous ma langoureuse trame, Et que ie suis p condamné à souffrir Deux mors coup en un coup en vous voyant mourir, que ne m'est-il permis de ioindre mon visage Au vôtre tant avmé ce fatal pussage, De baiser ô bouche et cueillir en mourant Le vi des souspirs que vous age jettant, 11 Et tout en même instant a vos lèvres de a, Expirer doucement le reste de mon âme, De combien mon tourment en seroit adouci Ô.
bien-heureux treſpas s’il aduenoit ainſi,	bienheureux trépas s'il advenait ainsi,
Sophronie.	Sophronie.
Quels diſcours ſont-ce là, quelle erreur te procede Songe, ſonge à ton ame, & cherche du remede Pour la mettre en repos, taſche à la nettoyer, Ceſt là qu’il faut les pleurs & larmes employer Pour lauer les pechez de ta vie paſſee, Pour qui tu as de Dieu la grandeur offencee, Si ſon depart t’afflige, eſtend vn peu plus haut Le vol de ta penſee, & contemple les peines, Que Ieſus a ſouffertes pour les ames humaines Par combien de tourmens il nous a rachetés, Combien luy a de ſang noſtre ſalut couſtés, Il ne faut que l’horreur de la mort nous eſtonne:	Quels discours sont-ce là, quelle erreur te procède Songe, songe à ton âme, et cherche du remède Pour la mettre en repos, tâche à la nettoyer, Cest là qu'il faut les pleurs et larmes employer Pour laver les péchés de ta vie passe, Pour qui tu as de Dieu la grandeur offensée, Si son départ t'afflige, étend un peu plus haut Le vol de ta pense, et contemple les peines, Que Jésus a souffertes pour les âmes humaines Par combien de tourments il nous a rachetés, Combien lui a de sang Combre salut coustés, Il ne faut que l'h de la mort nous étonne:
La mort aux gens de bien eſt honorable & bonne;	La mort aux gens de bien est honorable et bonne;
Elle n’eſt point terrible ainſi qu’on la depeint, Elle n’a point de fiel, le Sauueur a eſteint Larigueur en la Croix, prenons doncques couraFranchiſſons ſeurement le deſtour du paſſage, Qu’il a ouuert à tous, ne craignons deſormais C 4	Elle n'est point terrible ainsi qu'on la dépeint, Elle n'a point de fiel, le Sauveur a éteint Larigueur en la Croix, prenons donc couraFranchissons sûrement le détour du passage, Qu'il a ouvert à tous, ne craignons désormais Ç 4
Cloimue guernere.	Cloimue guerre.
Apres auoir cherché tant d’eſtranges contrees Trauerſe tant de mers, tant de monts, tant de prees, Et cogneu tous les lieux dont ie penſois trouuer Quelque digne ſubjet pour ma gloire eſprouuer, Aprer auoir cogneu les nations diuerſes Qui peuple la Scyrie & l’Empire des Perſes, Et veu les riches bords que les douces ardeurs Du beau Soleil leuant, feconde en ces douceurs Dementant par mes faits la guerriere nature Du ſexe feminin endoſſant vne armure, Aulieu d’vn mol habit n’aymant autres esbats Que les ieux de Bellonne & l’horreur des combats:	Après avoir cherché tant d'étranges contrées Traverse tant de mers, tant de monts, tant de prees, Et connu tous les lieux dont personne pensais trouver Quelque digne sujet pour ma gloire éprouver, Aprer avoir connu les nations diverses Qui peuple la Scyrie et l'Empire des Perses, Et vu les riches bords que les douces ardeurs Du beau Soleil luant, feconde en ces douceurs Dementant par mes faits la guerrière nature Du sexe féminin endossant une armure, Aulieu d'un mol habit n'aimant autres ébats Que les yeux de Bellonne et l'horreur des combats:
Vn renom d’acquerir vne gloire nouuelle Aux deſpens de ma vie en ce cartier m’appelle, Où Mars tient ſon eſcolle & de braues lauriers Couronne tous les iours ces nourriſſons guer.	Un renom d'acquérir une gloire nouvelle Aux dépens de ma vie en ce quartier m'appelle, Où Mars tient son écolle et de braves lauriers Couronne tous les jours ces nourrissons guer.
riers, Tout ainſi que i’ay ſceu que la Françoiſe armee Apres auoir vaincu lestorces dvraumce, Afdigeoit ceſte ville, & que ja Godefroy Se vantoit d’emporter & Solime & ſon Roy;	riers, Tout ainsi que j'ai su que la Française armée Apres avoir vaincu lestorces dvraumce, Adigeait cette ville, et que ja Godefroi Se vantait d'emporter et Solime et son Roi;
Ie ſuis venuë icy pour courir la fortune Et rendre le deuoir a la cauſe commune,	Je suis venue ici pour courir la fortune Et rendre le devoir à la cause commune,
Lasopmante	Lasopmante
De noſtre loy Payenne, & pour taſcher d’auoir Quelque part à l’honneur qu’on pourroit receuoir, Afin que le guerdon d’vne belle conqueſte Par moy faite m’hornaſt d’vn laurier ſur ma teſte, Allons trouuer le Roy ainſi que nous deuons Afin de luy aider ainſi que nous pouuons, Mais que voy-ie labas, qu’elle occurrence aſſemble Tant de peuples meſlez confuſément enſemble, Aprochons de plus pres & taſchons de ſçauoir Quel ſubjet les eſmeut, mais il me ſemble veoir, Deux coulpables liez attendant le ſupplice oui leur eſt preparé pour quelque malefice, C’eſt vne ieune fille & vn ieune garçon Garrottez en ces troucs d’vne eſtrange façon, La pitié que i’en ay m’incitte & me conuie D’employer mes deux bras pour leur ſauuer la vie, S’ils ne ſont de tout point indignes de pardon Amy dit moy quer crime & querexeez relon, Ont commis ces chetifs qui les rend puniſſables En quoy ont ils forfait de quoy ſont ils coulpables.	De notre loi Païrenne, et pour tâcher d'avoir Quelque part à l'honneur qu'on pourrait recevoir, Afin que le guerdon d'une belle conquête Par moi faite m'hornât d'un laurier sur ma tête, Allons trouver le Roi ainsi que nous devons Afin de jours aider ainsi que nous pouvons, Mais que vois-je labas, qu'elle occurrence assemble Tant de peuples mêlez confusément ensemble, Aprochons de plus pres et tâchons de savoir Quel subjet les émeut, mais il me semble vueoir, Deux coulpables le attendant le supplice ou leur est preparé pour quelque mai, est n ieune fille et ieune garçon Garrottez en ces troucs étrange façon, La pitié que en ay incitte et me convie employer mes deux bras pour leur ma la vie, il ne sont de tout point indignes de pardon Amy dit moi quer crime et querexeez relon, Ont commis ces chétifs qui les rend punissables En quoi ont ils forfait de quoi sont ils coulpables.
2.	2.
Soldat.	Soldat.
Guerriere qu’vn deſir loüable d’acquerir Honneur par la vertu, t’incite à ſecourir, Ces pauures affligez, ſçache donc que le zelle De leur religion a la noſtre infidelle, A pouſſé ceſte fille & ce pauure garçon Deiſoufir a Tenuy.	Guerriere qu'un désir loüable 'acquérir Honneur par la vertu, t'incite à secourir, Ces pauvres affligez, sache donc que le zèle De leur religion a la vôtre infidèle, A oussé cette fille et ce pauvre garçon Deisouffir a Tenu.
Clerinde.	Clerinde.
Conte moy la façon Dont tout eſt procedé & ii ne timportune Raconte moy pertat de leuii criſte mrortune.	Conte moi la façon Dont tout est procédé et ji ne timportune Raconte moi pertat de lui criste mrortune.
I.	I.
Soldat.	Soldat.
Le iour que Godefroy & les latins ſoldats S’en vindrent emmurer tout d’vn coup nos ramparts, Cependant que le Roy veillant a la deffence De la ville & de nous prepare en diligence, Les lieux moins aſſeurez, voicy venir icy Iſmen, le ſage Iſmen, qu’vn curieux ſoucy, De tenir les ſecrets des choſes incogneuës Les hoſtes des deſerts & des grottes cheſneuës, Il prepare vn moyen d’eſchapper le danger D’vn ſiege commencé par le camp eſtranger, Et ſans humain ſecours promet au Roy dé rendre La ville en tel eſtat qu’on ne la ſçauroit prendre, Or le deſſein eſtoit que le Roy de ſa main Debuoit aller tirer d’vn Temple ſoubs terrain, Ou la gent baptiſee a ſon Dieu fait hommage Vne Idolle de femme vn pourtraict ou Image, Que ceux de ceſte ſexte auoient en grand honneur Comme celle qui fut mere de leur Seigneur, Le Roy ne mancque point à ſi haute entrepriſe	Le jour que Godefroi et les latins soldats S'en vindrent emmurer tout d'un coup nos ramparts, Cependant que le Roi veillant à la défense De la ville et de nous prépare en diligence, Les lieux moins assurés, voici venir ici Ismen, le sage Ismencé, qu'un curieux souci, De tenir les secrets des choses incogneuës Les hôtes des déserts et des grottes chesneuës, Il prépare un moyen d'échapper le danger D'un siège commencé par le camp étranger, Et sans humain secours promet a Roy rendre La ville en tel estat s'un ne la sçauroit ande, Pr le dessein ô que le Roy de sa m Et a tirer Temple soubs terrain, Ou la gent y a son Dieu fait hommage y de femme Roi ou Image, Que ceux de re sexte auoient en grand honneur Comme celle qui fut mere de La Vi, Le Roy ne mancque point si haute en
La Sophromie.	La Sophromie.
Il s’addreſſe aux Chreſtiens & force leur Egliſe, Puis aux Preſtres dolens ayant l’Image oſtee Il l’emporte dedans noſtre Temple vouté, Où la tenant Iſmen, d’vne voix il appelle Les puiſſance d’Herebe, & prononce ſur elle, Mille barbares mots, qui comblerent d’effroy Les cœurs plus reſolus, puis aſſeure le Roy, Que pourueu que l’Image en ce lieu ſoit gardee La ville ne pourra iamais eſtre abordee, De l’armee ennemie or ſur ce point voila Que l’on fit aduancer bonne garde par là, Mais ny du Temple ſainct les portes bien fermees Ny les murs entournez de gardes bien armees, Ne peurent empeſcher que la prochaine nuict L’Image ne fut pris & deſrobé ſans bruit, Le Roy en fait recherche & n’eſt en ſa puiſſance De recouurer ſa perte, & d’auoir congnoiſſance, De l’autheur de ce crime, & bien que promptement Il vſe de priere or de commandement, Il n’en euſt onc nouuelle, a la fin il s’aduiſe Qu’autres que les Chreſtiens n’ont fait ceſte entrepriſe, Et deſirant ſur eux telle iniure venger Il commande que tous on les aille eſgorger, neur rume entoit preſte & leur fin approchee Quand celle que tu vois rudement attachee, A ceſt infame tronc s’en alla preſenter Au Roy bien courroucé, qui pour le contenter, Luy promet deceler le larron de l’Image Pourueu qu’incontinent il deſtourne l’orage, De deſſus les Chreſtiens, & luy ayant iuré qui le feroit auſſi, d’vn courage aſſeuré, Elle ſe rend coulpable elle meſme confeſſe D’auoir pris le pourtraict de la Vierge deeſſe, Et de l’auoir bruſlee, afin qu’a l’aduenir Et ne peuſtplus és mains d’Aladin paruenir, Qui deteſtant l’ardeur de ſa ieune folie La condamne à la mort, cependant qu’on la lie, Voicy que ce ieune homme au Roy vient deſclarer qu’il a commis le fait, & qu’il veut endurer, Le crime perpetré, ſuplie qu’on relaſche Ceſte pauure captiue a qui la vie faſche, Elle inciſte au contraire & touſiours va diſant quelle a commis le fait, mais luy contrediſant, Taſche a perſuader au Roy que c’eſt luy meſme Aladin courroucé d’vne ſureur extreſme, D’entendre ces debats s’irrite de prusiort nes condannie tous deux ciiieis à la mort, Voila le vray diſcours du ſubjet veritable Qui à conduit icy ce couple miſerable.	Il addresse aux Chrestiens et force leur Eglise, Puis aux Prestres dolens ayant Image ôtée Il emporte dedans nôtre Temple vouté, la tenant Ismen, voix il appelle Les puissance Herebe, et prononce sur elle, Mille barbares mots, qui comblèrent effroi Les cœurs plus résolus, puis asseure le Roy, Que pourueu que Image en ce lieu soit gardée La ville ne pourra iamais être abordée, De armée ennemie or sur ce point voila Que on fit aduancer bonne garde par , Mais ni du Temple sainct les portes bien fermées les murs entournez de gardes bien armées, Ne peurent empêcher que la prochaine nuict Image ne fut pris et desrobé sans bruit, Le Roy en fait recherche et est en sa puissance De recouurer sa perte, et auoir congnoissance, De autheur de ce crime, et bien que promptement Il de prière or de commandement, Il en eût onc nouuelle, a la fin il aduise autres que les Chrestiens ont fait ceste entreprise, Et désirant sur eux telle iniure venger Il commande que tous on les aille égorger, neur rume entoit preste et Il s' ado Quand celle au tu Chi rudement attachée, A et infâme tronc en alla leur Au Roybien courroucé, Puis aux Pré contenter, Ut avait bien l' larronage ôTe Il l'emporte il dedans norage, Te m les Chrestiens, Où la tenant iuré qui le feroit aussi, d'un courage asseuré, Il se rend coulpable elle Les confesse Pauoir pris le pourtraict de d' Vierge déesse, Et de sur elle, Mi lla badvenir Et ne peustplus mots Aladin parvenir, Qui détestant ardeur de sa ieune folie La condamne la mort, cependant on la d', Voicy Les ce ieune homme lus Roy vient sol uil a commis le fait, et puil veut re, Le Roi perpetré, suplie Quon relâche Ceste pour vu a que la 'Image, Elle inciste au ce et lieu va oit g a commis le La, vi lui le, Ne a pour au Roy a êest lui re a courroucé e sureur extrême, Dentendre ces débats l'irrite de prusiort nés ne tous deux mie la mort, Voila le et discours ' une Dame Qui c' on f ce a miserable;
Clorinde.	Clorinde.
Ton parler me fait croire & cognontie en effet Que l’vn ne l’autre d’eux n’ont commis le forfait, Duquel leur ſeulle bouche à porté teſmoignage Mais l’vn voulant ſauuer l’autre de ce dommage, Qu’ils alloient endurer de grand amour outré	Ton parler me fait croire et connontie en effet Que l'un ne l'autre d'eux n'ont commis le forfait, Duquel leur seulle bouche à porté témoignage Mais l'Un voulant sauver l'autre de ce dommage, Qu'ils allaient endurer de grand amour outré
En ce danger mortel franchement eſt entré, Et meſme leur maintien monſtre leur innocence Il les faut conſeruer & garder qu’on n’offence, Vne beauté ſi rare, arreſtez, arreſtez Et ſur ces criminels l’arreſt n’executez, Qui leur eſt preparé, iuſques a tant que i’aille Parler à voſtre Roy, gardez vous bien canaille, De les faire mourir ou ce gleue trenchant Ira vos triſtes corps par pieces depeſchant.	En ce danger mortel franchement est entré, Et même leur maintien montre leur innocence Il les faut conserver et garder qu'on n'offense, Une beauté si rare, arrêtez, arrêtez Et sur ces criminels l'arrêt n'exécutez, Qui leur est préparé, jusqu' à tant que j'aille Parler à votre Roi, gardez vous bien canaille, De les faire mourir ou ce gleue trenchant Ira vos tristes corps par pièces dépêchant.
ACTE CIN VIESMI Aladm, Clorinde, Sophronye, Olnde.	ACTE CIN VIESMI Aladm, Clorinde, Sophronye, Olde.
Oicy l’heure qu’il faut que le digne ſupplicẽ V Soit fait pour reparer l’extreſme malefice, Sur deux de mes ſubjets qui d’vne volonté Se ſont rendus coulpable enuers ma royauté, I’yveux donc aſſiſter afin que ma preſence Leur face veoir aux yeux qu’ils ont commis l’offence, Mais qui eſt celle cy qui d’vn graue marcher gen vient par deuers nous & nous ſemble approcher.	Oici l'heure qu'il faut que le digne supplicẽ V Soit fait pour réparer l'extrême maléfice, Sur deux de mes sujets qui d'une volonté Se sont rendus coulpable envers ma royauté, J'yveux donc assister afin que ma présence Leur face voir aux yeux qu'ils ont commis l'offense, Mais qui est celle cy qui d'un grave marcher gen vient par devers nous et nous semble approcher.
Clorinde.	Clorinde.
Sire, ie ſuis Clorinde a qui le Ciel peut eſtre N’a point donné c’eſt heur de ce faire cognoiſtre, En ceſte region, ie ne ſçay ſi mon nom Eſt encore venu iuſques a vous ou non, 2 Mais pour me ſignaller & me rendre congneuë Par quelque effait guerrier ie ſuis icy venuë, Pour deffendre auec vous l’honneur ne noſtre foy Et r’abaiſſer l’orgueil du Chreſtien Godefroy, Aduiſez ſeulement ce qu’il faut que ie face Ie ne m'eſpriſe point vne entrepriſe baſſe, Ny les hautes auſſi ne peuuent m’eſtonner Ie vous veux obeyr ne faites qu’ordonner.	Sire, Seigneur suis Clorinde à qui le Ciel peut être N'a point donné c'est honneur de ce faire connaître, En cette région, tu ne sais si mon nom Est encore venu jusqu' à vous ou non, 2 Mais pour me signaller et me rendre congnue Par quelque effal guerrier le suis ici venue, Pour défendre avec vous l'honneur ne notre foi Et rabaisser l'orgueil du Chrétien Godefroy, Aduisez seulement ce qu'il faut que votre face Je ne m'éprise point entreprise basse, N les hautes aussi ne peuvent m'étonner Je vous veux obéir ne faites qu'ordonner.
Aladin Quel pays eſt-ce cy quelle terre eſtrangere Quel climat reculé, ô vaillante guerriere, N’a ſenty tes valeurs, ſoit depuis le reueil Du lumineux Phœbus iuſques à ſon ſommeil, Mais afin que ie puiſſe eſgaller ton merite Ie te donne en ce lieu l’abſoluë conduite, La Seppronie, De l’armee que i’ay & veux d’oreſenauant Que la Loy de ta bouche ell’aille receuant,	Aladin Quel pays est-ce cy quelle terre étrangère Quel climat réculé, ô vaillante guerrière, N'a senti tes valeurs, soit depuis le réveil Du lumineux Phœbus jusqu' à son sommeil, Mais afin que sans puisse égaller ton mérite Je te donne en ce lieu l'absolue conduite, La Seppronie, De l'armée que j'ai et veux d'oresénavant Que la Loi de ta bouche ell’ aille recevant,
