A MADAMOISELLE DE ROHAN.	À MADAMOISELLE DE ROHAN.
FLORINTOR.	FLORINTOR.
Il eſt vray, ſa Maiſtreſſe, & vous ſeriez parfaites, Si vous vous faiſiez voir plus douces que vour n'eſtes;	Il est vrai, sa Maîtresse, et vous seriez parfaites, Si vous vous faisiez voir plus douces que vour n'êtes;
Et que voſtre rigueur ne mit au deſes poir Ceux dont les volontez ſont en vóſtre pouuoir.	Et que votre rigueur ne mit au deses poir Ceux dont les volontés sont en vóstre pendant.
CINTILLE.	CINTILE.
Tu dis vray, Florintor, que l’ingrate que i’aime Se fert en mon endroit d’vne rigueur extréme:	Tu dis vrai, Florintor, que l'ingrate que j'aime Se sert en mon endroit d'une rigueur extrême:
Mais vous eſtes encor en ce poinct plus heureux, Qu'õ permet de vous dire en tous lieux amoureux, Et que recognoiſſant vos feux, & vos merites, On ſouffre vos diſcours, on reçoit vos viſites, Faſſe l’amour encor que la puiſſante ardeur Qui vous bruſle le ſein, ruïne ſa froideur, Ie lis dedãs ſes yeux qu’auiourd’huy plus humaine, Etle eſrdanicurjſemae ſiir vojtre peine.	Mais vous êtes encor en ce point plus heureux, Qu'on permet de vous dire en tous lieux amoureux, Et que reconnaissant vos feux, et vos mérites, On souffre vos discours, on reçoit vos visites, Fasse l'amour encor que la puissante ardeur Qui vous brûle le sein, ruine sa froideur, Je lis dedans ses yeux qu'aujourd'hui plus humaine, Éle esrdanicurjsemae siir vojoutre peine.
MELISSEE.	MELISEE.
Penſez à mettre fin à vos maux ſeulement, Sans vous trauailler plus de ſon contentement:	Pensez à mettre fin à vos maux seulement, Sans vous travailler plus de son contentement:
Adieu, ma flâme, helas!	Adieu, ma flamme, hélas!
eſt-ce à ce poinct venuë, Qu'elle ne ſçauroit plus auoir de retenué, I'espere tout, & crains encore tout außi Que ce nouuel amour me donne de ſoucy.	est-ce à ce point venue, Qu'elle ne saurait plus avoir de retenué, J'espère tout, et crains encore tout aussi Que ce nouvel amour me donne de souci.
ACTE TROISIESME.	ACTE -TROISIÈME.
SCENE I.	SCÈNE I.
CALIRIE.	CALIRIE.
ORONTE.	ORONTE.
CALIRIE ſeule.	CALIRIE seule.
Ay mandé cét ingrat, ce traiſtre abomirable:	Ai mandé cet ingrat, ce traître abomirable:
Mais il ne viendra pas puis qu’il ſe croit coupable, Ie voicy toutesfois qui fait bien l’affligé, On diroit à le voir qu’il en ſoit tout changé.	Mais il ne viendra pas puis qu'il se croit coupable, Je voici toutefois qui fait bien l'affligé, On dirait à le voir qu'il en soit tout changé.
RONTE.	RONTE.
Que veut ma belle fille à ſon fidelle Oronte.	Que veut ma belle fille à son fidèle Oronte.
CALIRIE.	CALIRIE.
Voir ſi ſa trahiſon luy donne quel que honte;	Voit si sa trahison lui donne quel que honte;
Mais ie voy bien que non, il eſt trop aſſeuré, Encores que le crime en ſoit tout aueré, Tu n’eſtois pas content de m'auoir abuſee, Lors qu'vn gage innocent me rendoit moins ruſee, Tu m'as voulu monſtrer, que me fiant à toy, Tu prendrois bien le temps de te mocquer de moy, Tu l’as fait, ame ingrate, ame noire, & pariure:	Mais ietaît bien que non, il est trop assuré, Encores que le crime en soit tout averé, Tu n'étais pas content de m'avoir abuse, Lors qu'un gage innocent me rendait moins ruée, Tu m'as voulu monstrer, que me fiant à toi, Tu prendrois bien le temps de te moquer de moi, Tu l'as fait, âme ingrate, âme noire, et parjure:
Mais tu ne m'as pas fait vne petite iniure, Au moins ſi tu pouuois me dire vne raiſon Qui peut faire excuſer ta lâche trahiſon, Si i’eſtois criminelle en ton endroit, infame, Si i'auois mesprisé ton merite, ou ta flâme, Si ie t’auois hay, ſi i’auois fait effort, En faignant de t’aimer, & te donner la mort, Ie dirois en moy-meſme, Oronte ſe retire Auecques des raiſons que ie n'oſerois dire;	Mais tu ne m'as pas fait une petite injure, Au moins si tu pouuois me dire une raison Qui peut faire excuser ta lâche trahison, Si j'étais criminelle en ton endroit, infâme, Si j'avais méprisé ton mérite, ou ta flamme, Si trouver t'avais ha, si j'avais fait effort, En faites de t'aimer, et te donner la mort, Je dirais en moi-même, Oronte se retire Avecques des raisons que je n'oserais dire;
Mais ſi ma paßion a ſuiuy tes deſirs, Si i’ay participé dans tous tes desplaiſirs, Si ie n'ay rien aimé que toy dans la nature,	Mais si ma passion a suivi tes désirs, Si j'ai participé dans tous tes déplaisirs, Si Dieux n'ai rien aimé que toi dans la nature,
Si i’ay creu ton amour, ma plus grande aduanture.	Si j'ai cru ton amour, ma plus grande aventure.
N'es-tu pas bien meſchant de me vouloir offrir En victime à celuy que ie ne puis ſouffrir, Tu ſçais depuis long temps que ſon entretien meſme Me donnoit tous les iours vn desplaiſir extreſme, Et qu’estant auec luy, quelque grace qu’il euſt, Ie n'y trouuay iamais action qui me pleust;	N'es-tu pas bien méchant de me vouloir offrir En victime à celui que ieans puis souffrir, Tu sais depuis long temps que son entretien même Me donnait tous les jours était déplaisir extrême, Et qu'étant auecjours, quelque grâce qu'il eût, Je n'y trouvai jamais action qui me pleut;
Toutesfois ennemy du repos de mon ame, Tu fais ce que tu peux pour me rendre ſa femme.	Toutefois ennemi du repos de mon âme, Tu fais ce que tu peux pour me rendre sa femme.
Non, non, que tous les Dieux ſecõdent ton deſſein, Alidor n'entrera iamais dedans mon ſein, Et toy dont les diſcours ont trahy ma franchiſe, Dont la fauſſe amitié m’a laſchement ſur priſe, Sçache que tu m’as plus obligee auiourd’huy Que tu n’as creu me nuire en me donnant à luy, Monesprit détrompé ne ſera plus capable De croire rien en moy qui me peut rendre aimable, Ainſi me défiant des hommes deſormais, Ie viuray touſiours libre, & n'aimeray iamais.	Non, non, que tous les Dieux secondent ton dessein, Alidor n'entrera jamais dedans mon sein, Et toi dont les discours ont trahi ma franchise, Dont la fausse amitié m'a lâchement sur prise, Sçache que tu m'as plus oblige aujourd'huire Que tu n'as cru me nuire en me donnant à tant, Monesprit détrompé ne sera plus capable De croire rien en moi qui me peut rendre aimable, Ainsi me défiant des hommes désormais, Je vivrai toujours libre, et n'aimerai jamais.
ORONTE demeure ſeul.	ORONTE demeure seul.
Tu t'en vas, Calirie, apres vn tel reproche, Et laiſſes ton Oronte außi froid qu’vne roche, Va, fuy, fuy cet ingrat, tu le fuis iuſtement, I’ay trahy ton amour, & mon contentement, Fuy, fuy ce malheureux qui ne te peut respondre, Mon ſeul reſſentiment ſuffit à me confondre, Ie ſuis plus criminel que tu ne me fay pas, Et pour me bien punir, c’eſt peu que le treſpas, Il me faut inuenter des tortures nouuelles, Qui me faiſant ſouffrir ne me ſoient pas mortelles, Afin que languiſſant, & touſiours malheureux, Ie ſois vn triſte exemple aux laſches amoureux.	Tu t'en vas, Calirie, après un tel reproche, Et laisses ton Oronte aussi froids qui vne roche, Va, fui, fuis cet ingrat, tu le fuis jus,QU'ai trahi ton amour, et mon contentement, Fuy, fuite ce malheureux qui ne te peut répondre, Mon seul ressentiment suffit à me confondre, Je suis plus criminel que tu ne me fais pas, Et pour me bien punir, c'est peu que le trépas, Il me faut inventer des tortures nouvelles, Qui me faisant souffrir ne me soient pas mortelles, Afin que et, et toujours malheureux, Je sois Je triste Je suis lâches amoureux,
ACTE TROISIESME.	ACTE -TROISIÈME.
SCENE II.	SCÈNE II.
CINTILLE ſous le nom d’Alcandre.	CINTILE sous le nom d'Alcandre.
ORCAN ſon confident, Page de MELISSEE.	ORCAN son confident, Page de MELISE.
CINTILLE.	CINTILE.
Oy qui ſçais les ſecrets de toute ma diſrrace, Qui cognois mon amour, qui ſçais ce qui ſe paſſe, Que dois-ie deuenir, i’ay veu l’objet aimé:	Oi qui sais les secrets de toute ma disrâce, Qui connais mon amour, qui sais ce qui se passe, Que dois-je devenir, j'ai vu l'objet aimé:
Mais plus froid mille fois qu'vn corps deſ-animé, Il a quitté le lict, & ſa melancholie - C ------a'Le porte bien ſouuent à de traits de folie, Il m'a fait vn accueil aſſez extrauagant, 55 Bien qu’il ne m'ayt rien dit qui ſentit l’arrogant, Non pas que me croyant touſiours eſtre mon frere, Il n'ayt de complimens voulu me ſatisfaire, Quoy qu’il fuſt bien ſouuent ſurpris d’eſtonnemẽt, Et reſtaſt quelquefois ſans voix, ny mouuement, Quprei ſe temettant liſir vori japenſee Eſtre diuerſement deſſus moy balancee.	Mais plus froid mille fois qu' corps des-animé, Il a quitté le lict, et sa melancholie - Ç -Le porte bien souuent de traits de folie, Il m'a fait accueil assez extrauagant, 55 Bien il ne m'ait rien dit qui sentit arrogant, Non pas que me croyant tousiours être mon frère, Il n'ait de Mais plu me satisfaire, Froid mil fût ois qu' surpris destonnemẽt, Il a quitté le li, ni tt, Et sa temettantoli vori japensee Estre ais dessus moi balancée.
ORCAN.	ORCAN.
Il vous a reconnue, & ſe trouuant ſurpris, Voſtre veuë a ſans doute eſtonné ſes esprits.	Il vous a reconnue, et se trouvant surpris, Votre vue à sans doute étonné ses esprits.
CINTILLE.	CINTILE.
Nullement cét habit contraire à mon viſage, La taille de mon frere, & les traits du viſage L’ont aisément trompé parmy l’obſcurité.	Nullement cet habit contraire à mon visage, La taille de mon frère, et les traits du visage L'ont aisément trompé parmi l'obscurité.
ORCAN.	ORCAN.
Vous auez, toutesfois, vn eſclat de beauté, Qui deuoit außi tost vous faire recognoiſtre.	Vous avez, toutefois, un éclat de beauté, Qui devait aussi tôt vous faire reconnaître.
CINTILLE.	CINTILE.
Duy, s’il n’auoit pas eu l’ame, & les yeux d’vn traiſtre, S’il n’auoit point perdu la memoire, & l’amour Dés l’heure qu’il laiſſa nos ports, & noſtre Cour:	Dui, s'il n'avait pas eu l'âme, et les yeux d'un traître, S'il n'avait point perdu la mémoire, et l'amour Dès l'heure qu'il laissa nos ports, et notre Cour:
Car ſçache que parmy les paroles courtoiſes, Qui ne manquent iamais dans les bouches Françoiſes, Et parmy l’amitié qu’il teſmoignoit d’auoir Pour mõ cher frere abſent, & qu’il croyoit deuoir Itn'eut tatan te non de Ctmttte à la bouche, Bien qu'à ſes complimens ie paruſſe vne ſouche	Car sçache que parmi les paroles courtoises, Qui ne manquent jamais dans les bouches Françaises, Et parmi l'amitié qu'il témoignait d'avoir Pour mon cher frère absent, et qu'il croyait devoir Ithn'eut tatan te non de Ctmttte à la bouche, Bien qu'à ses compliments ie parusse une souche
ORCAN.	ORCAN.
Il eſt donc attaché de quelque autre lien.	Il est donc attaché de quelque autre lien.
CINTILLE.	CINTILE.
Helas!	Hélas!
mon cher Orcan, c’eſt ce que ie voy bien.	mon cher Orcan, c'est ce que je vois bien.
ORCAN.	ORCAN.
Il faut doncoublier l’ingrat qui vous oublie, Et le laiſſer perir dans ſa melancholie, L’amour est vn Dieu iuſte, encores qu’il ſoit lent, Et vengera bien toſt ſon meſpris inſolent.	Il faut doncoublier l'ingrat qui vous oublie, Et le laisser périr dans sa mélancolie, L'amour est un Dieu iuste, encore qu'il soit lent, Et vengera bien tôt son mépris insolent.
CINTILLE.	CINTILE.
Ma reſolution eſt preſque ta penſee, Ie le veux oublier, puis qu’il m'a delaiſſee, –- Ie veux ſçauoir deuant ce qu’il a ſur le cœur, 57 Et cognoiſtre l’objet qu’il tient pour ſon vainqueur, Tu me peux ſoulager dans ceſte inquietude, Cependant que i'iray reuoir ma ſolitude.	Ma résolution est presque ta pensée, Je le veux oublier, puis qu'il m'a délaissée, - Ie veux sçauoir deuant ce il a sur le cœur, 57 Et cognoistre objet il tient pour son vainqueur, Tu me peux soulager dans te inquiétude, Cependant que iray reuoir ma solitude.
ORCAN.	ORCAN.
Ie ſuis trop honoré de ce commandement,  Tumuars aueaugaien, Mais que veut ceſtuy-cy.	Je suis trop honoré de ce commandement, Tumuars aueaugaien, Mais que veut cestui-cy.
PAGE.	PAGE.
Monſieur, c'eſt Meliſſee Qui voudroit vous parler pour affaire preſſee.	Monsieur, c'est Mélisse Qui voudrait vous parler pour affaire presse.
CINTILLE.	CINTILE.
Ie m’en vay la trouuer tout à l’heure apres vous, Que l’amour en ce poinct ſe mocque bien de nous, Ceſte Dame en amour eſt ſi fort malheureuſe, Que me croyant Alcandre, elle en eſt amoureuſe, Et qu'elle trouue en moy de graces, & d’appas, Que tu vois qu'Alidor l’ingrat n’y trouue pas.	Je m'en vais la trouver tout à l'heure après vous, Que l'amour en ce point se moque bien de nous, Cette Dame en amour est si fort malheureuse, Que me croyant Alcandre, elle en est amoureuse, Et qu'elle trouve en moi de grâces, et d'appas, Que tu vois qu'Alidor l'ingrat n'y trouve pas.
Iuge ſi ſon malheur n'eſgale pas le noſtre.	Juge si son malheur n'égale pas le nôtre.
ORCAN.	ORCAN.
Son infortune encore eſt pire que la voſtre.	Son infortune encore est pire que la vôtre.
.	.
	
ACTE TROISIESME.	ACTE -TROISIÈME.
CENE III	CÈNE III
MELISSEE.	MELISEE.
PAGE.	PAGE.
IELISSEE	IELISSEE
Ial21 Nutile pudeur, foible apprehenſim, Qui me rendezmuette en mon affection, Qui voulez retenir vn feu dans la contrainte, Sçachez que mõ amour eſt deſormais ſans crainte, Que ces reſpects qui l'ont ſi long temps enferme Au lieu de l’amoruir l’ont plus fort allumé, Alcandre preuenu de ſa premiere flâme, Ne voit point dans mis yeux le feu que i'ay dans l’ame, 24 Il l'en faut aſſeurer par des termes preſſans, Qui luy prennent le cœur, par le moyen des ſens, O Dieux!	Jal21 Nutile pudeur, faible apprehensim, Qui me rendezmuette en mon affection, Qui voulez retenir un feu dans la contrainte, Sachez que mon amour est désormais sans crainte, Que ces respects qui l'ont si long temps enferme Au lieu de l'amoruir l'ont plus fort allumé, Alcandre prévenu de sa première flamme, Ne voit point dans mis yeux le feu que j'ai dans l'âme, 24 Il l'en faut assurer par des termes pressants, Qui lui prennent le cœur, par le moyen des sens, Ô Dieux!
que de plaiſir, quoy que ie le preuienne, S’il vouloit égaler ſon ardeur à la mienne, I’a-t'il dit qu'il ſeroit en peu de temps icy.	que de plaisir, quoi que je le prévienne, S'il voulait égaler son ardeur à la mienne, J'a-t'-il dit qu'il serait en peu de temps ici.
IE.	JE.
Prés qu'außi toſt que moy, Madame, le voicy.	Près qu'aussi tôt que moi, Madame, le voici.
ACTE TROISIESME.	ACTE -TROISIÈME.
SCENE IV.	SCÈNE IV.
CINTILLE.	CINTILE.
MELISSEE.	MELISEE.
CINTILLE.	CINTILE.
Nquoy puis-ie ſeruir l’aimable Meliſſee.	Noiquoi puis-je servir l'aimable Mélisse.
MELISSEE tout bas.	MELISEE tout bas.
Hal que ne ſuis-ie telle au fonds de ta penſee.	Hal que ne suis-je telle au fond de ta pense.
CINTILLE.	CINTILE.
Ie n'enexcepte rien pourueu que mon pouuoir Seconde heureuſement mes ſoins, & mon deuoir.	Je n'enexcepte rien pourvu que mon pouvoir Seconde heureusement mes soins, et mon devoir.
MELISSEE.	MELISEE.
Alcandre cognoiſſant mon defaut de merite, D'abord à me ſeruir a mis vne limite, Il ne me veut ſeruir qu’autant qu’il le pourra, C’eſt à dire en vn mot autant qu’il luy plairra:	Alcandre connaissant mon défaut de mérite, D'abord à me servir a mis quelque limite, Il ne me veut servir qu'autant qu'il le pourra, C'est à dire en un mot autant qu'il avait plaira:
Mais ſi i’eſtois Cloris tout luy ſeroit poßible, Il pourroit animer vne roche inſenſible, Il pourroit r'appeler tous les morts des enfers, Et rompre des Titans les priſons, & les fers:	Mais si j'étais Cloris tout lui serait pouvible, Il pourrait animer une roche insensible, Il pourrait rappeler tous les morts des enfers, Et rompre des Titans les prisons, et les fers:
Hal ce n'eſt pas ainſi qu’il faut ſeruir Alcandre, Celle qui de ſon ſang voudroit bien vous defendre, Vous aimez vne ingrate, vne ame ſans pitié, Qui rit de voſtre ardeur, & de voſtre amitie, Qui maintenãt, sãs doute, à quelqu’autre engagée, Se mocque auecques luy de voſtre ame affligée, Qui lors que vous pleurez contente ſes deſirs, Et relaſche ſon ame au milieu des plaiſirs.	Hal ce n'est pas ainsi qu'il faut servir Alcandre, Celle qui de son sang voudrait bien vous défendre, Vous aimez une ingrate, une âme sans pitié, Qui rit de votre ardeur, et de votre amitié, Qui maintenãt, sans doute, à quelque autre engagée, Se moque auecques avec avec vôtre âme affligée, Qui lors que vous pleurez contente ses désirs, Et lâche son âme au milieu des plaisirs.
CINTILLE.	CINTILE.
Voyez iuſqu’à quel poinct Alcãdre eſt mi ſerable, Puis que dans ſes meſpris ie la trouue adorable, Et que ie me croirois trop heureux ſeulement, Si mon mal luy donnoit quelque contentement, Elle ne ſonge à moy qu'auec indifference, S'il eſt encores vray que ceſte ingrate y penſe	Voyez jusqu'à quel point Alcãdre est mi serable, Puis que dans ses mépris que la trouve adorable, Et que je me croirais trop heureux seulement, Si mon mal lui donnait quelque contentement, Elle ne songe à moi qu'avec indifférence, S'il est encor vrai que cette ingrate y pense
H in.	H in.
Mais ie ſçay bien que non, & ſon meſpris eſt tel Que mo nom ſeniemen'iny ſemule vn nom mort	Mais ici sais bien que non, et son mépris est tel Que mo nom séniemeniny semule un nom mort
MELISSEE.	MELISEE.
Pourquoy donc l’auez-vous touſiours dans la mi CINTILLE.	Pourquoi donc l'avez-vous toujours dans la mi CINTILLE.
moin	moin
Parce qu’à l’adorer ie mets toute ma gloire.	Parce qu'à l'adorer Seigneur mets toute ma gloire.
MELISSEE.	MELISEE.
Quelque beauté qu'elle ayt, quelques charme puiſſans, Qui ſoient abſolument maiſtres de tous vos ſens Elle s’en rend indigne, & vous eſtes blaſmable, Si vous traittant ſi mal vous l’a trouuez aimable Faites comme elle fait, vous trouuerez icy D'außi grandes beautez auecmoins de ſoucy.	Quelque beauté qu'elle ait, quelques charme puissants, Qui soient absolument maîtres de tous vos sens Elle s'en rend indigne, et vous êtes blâmable, Si vous traitant si mal vous l'a trouvez aimable Faites comme elle fait, vous trouverez ici D'avez grandes beautés avecmoins de souci.
CINTILLE.	CINTILE.
C’eſt me donner lamort de parler de la ſorte, L’amour que i'ay pour elle en mon ame eſt troj forte, Si vous n’auez deſſein de me deſobliger Par de pareils diſcours ceſſez de m’affliger, Et me dites enquoy vous me trouuez capable –7--- - AEveu pennen ſeihti,	C'est me donner lamort de parler de la sorte, L'amour que j'ai pour elle en mon âme est troj forte, Si vous n'avez dessein de me désobliger Par de pareils discours cessez de m'affliger, Et me dites enquoi vous me trouvez capable 7-à -vi AEveu pennen seihti,
MELISSEE.	MELISEE.
que vous eſtes coupable, Et que vous meritez vos ennuis iuſtement.	que vous êtes coupable, Et que vous méritez vos ennuis justement.
CINTILLE.	CINTILE.
uiſque Cloris le veut, c’eſt mon contentement:	uisque Cloris le veut, c'est mon contentement:
umiuiſfanade taſcemtojtates mey quetaſſaire M’appelle auprés de vous, & ce que ie puis faire.	umivisfanade tascemtojtates me quetassaire M'appelle auprès de vous, et ce que je puis faire.
MELISSEE.	MELISEE.
Quoy?	Quoi?
vous ne l’auez point cõpris en vos diſcours, aut-il plus clairement deſcouurir mes amours, Ilcandre ie vous aime, & ceſte aimable grace, our qui Cloris n’a rien que meſpri,e jueglace, Illume dans mon ſein, malgré voſtre froideur, n feu qui me conſomme auecque ſon ardeur.	vous ne l'avez point confpris en vos discours, aut-il plus clairement découvrir mes amours, Ilcandre où vous aime, et cette aimable grâce, our qui Cloris n'a rien que mespri glace, Illume dans mon sein, malgré votre froideur, n feu qui me consomme seulement son ardeur.
CINTILLE.	CINTILE.
i vous ſçauiez au vray l’eſtat de ma fortune, Ha preſence deſia vous ſeroit importune, t pendant cét amour que vous me teſmoignez, ous plaindriez mon malheur lors que vous vous plaigne C 6 2 L Songez a Tiorimor, recognoiſſea ja ſame.	y vous savez au vrai l'état de ma fortune, Ha présence déjà vous serait importune, t pendant cet amour que vous me témoignez, ous plaindriez mon malheur lors que vous vous plaigne Ç 6 2 L Songez à Tiorimor, reconnaissea ja same.
MELISSEE.	MELISEE.
Mais toy, ſonge impoſteur, à ton mespris infame Penſe-tu donc, ingrat, de m’abuſer ainſi, Ta feinte en mon endroit n’a pas bien reüßi, Sçache que Florintor eſt bien loin de ſon conte, Ie veux vanger ſur luy tes mespris, & ma honte Et tu ne ſeras pas exempt de mon courroux, Il faut que mon despit vous enuelope tous.	Mais toi, songe imposteur, à ton mépris infâme Pense-tu donc, ingrat, de m'abuser ainsi, Ta feinte en mon endroit n'a pas bien réussi, Sache que Florintor est bien loin de son conte, Je veux venger sur lui Se mépris, et ma honte Et tu ne seras pas exempt de mon courroux, Il faut que mon dépit vous envelope tous.
CINTILLE ſeule.	CINTILE seule.
Qu'elle me fait pitié!	Qu'elle me fait pitié!
mais que peut-elle attandre Ie ne ſuis que de nom, & d’habit ſon Alcandre, Ie te plains, Florintor, & ſuis bien affligé De voir qu’en te ſeruant ie t’ay deſobligé, Voila comme l’amour rit de noſtre prudence, Ce n'eſt point la raiſon qui regit ſon enfance, Ie cauſe les meſpris qu'elle monſtre pour toy, Et tu croyois d’auoir quelque ſupport de moy.	mais que peut-elle attandre Je ne suis que de nom, et d'habit son Aligandre, Je te plains, Florintor, et suis bien affligé De voir qu'en te servant ainsi t'ai desobligé, Voilà comme l'amour rit de notre prudence, Ce n'est point la raison qui régit son enfance, Je cause les mépris qu'elle montre pour toi, Et tu croyais d'avoir quelque support de moi.
leuu penſons à nous-meſmes, & laiſſons là le autres, Leurs plus grandes douleurs n’allegent point l noſtres.	Levu pensons à nous-mêmes, et laissons là le autres, Leurs plus grandes douleurs n'allègent point nos nôtres.
Retire	Retire
Retirons-nous d’icy, ie ſçay qu'enpeu de iours Les maux que ie leur cauſe auront vn autre cours, Außi toſt que l’ingrat, dont ie me crois haye, Fera voir que ma flâme eſt tout à fait trahie, Ie leueray le maſque, & vangeant cét affront, Ie luy peindray la honte, ou la mort ſur le front, Ou bien ſi ſa valeur qui donne de l’enuie A tous les plus vaillans qui cognoiſſent ſa vie, Me porte dans le ſein la pointé de ſon fer, Et le fait doublement de mon cœur triompher, La mort me ſera douce, & beniray les armes Qui m'auront fait verſer le ſang au lieu de larme, CAuuee	Retirons-nous d'ici, je sais qu'enpu de jours Les maux que ie leur cause auront un autre cours, Aussi tôt que l'ingrat, dont ie me crois haie, Fera voir que ma flamme est tout à fait trahie, Je luverai le masque, et vengeant cet affront, Je lui pourrai la honte, ou la mort sur le front, Ou bien si sa valeur qui donne de l'envie À tous les plus vaillants qui connaissent sa vie, Me porte dans le sein la pointé de son ferai, Et le fait doublement de mon cœur triompher, La mort me sera douce, et rai la armes Et m'ont fait verserai la peine au lieu de larme, CAuuee
ACTE TROISIESME.	ACTE -TROISIÈME.
SCENE V.	SCÈNE V.
LARIN THE.	LARYN THÉ.
ALIDORCALIRIE.	ÀLIDORCALIRIE.
LARINTHE.	LARINTHÉ.
Lle, & moy receuons auec contentement Le bon-heur qu'Alidor nous procure en l’aimant, Ne vous eſtonnez pas de la voir ſi penſiue, Vne fole en ce poinct fait touſiours la rétiue, Ces petites façons paroiſtroient de meſpris, Auec des ignorans, où des ieunes esprits, Quãd ſon pere Arimãd me recherchoit de meſme, Qu'il me diſoit cent fois, Larinthe, que ie t'aime, -- - .	Lelle, et moi recevons ainsi contentement Le bonheur qu'Alidor nous procure en l'aimant, Ne vous étonnez pas de la voir si pensive, Une sole en ce point fait toujours la rétive, Ces petites façons paraîtraient de mépris, Avec des ignorants, où des jeunes esprits, Qua son pere Arimand me recherchait de même, Qu'il me disait cent fois, Larinthe, que sans t'aime, t'aime ,
.	.
AL--.	AL-.
Ie faiſois la faſchée, & pourtant mes deſirs Attachoient ma penſee à ces derniers plaiſirs, Elle en fait tout de meſme, & ie perdray la vie, Que tout ce qu'elle fait eſt contre ſonenuie, Et ſi ie vous laiſſois entretenir tous deux, Elle prendroit plaiſir aux diſcours de vos feux, Mon aage eſt außi bien importun aux tendreſſes, Que trouuent les Amans auprés de leurs Maistreſſes, C eſt pourquoy ie vous laiſſe en vnlibre entretien, Remettant à demain voſtre ſouuerain bien.	Je faisais la fâchée, et pourtant mes désirs Atachaient ma pensée à ces derniers plaisirs, Elle en fait tout de même, et ainsi perdrai la vie, Que tout ce qu'elle fait est contre sonenuie, Et si tu vous laissais entretenir tous deux, Elle prendrait plaisir aux discours de vos feux, Mon aage est aussi bien importun aux tendresses, Que trouvent les Amants auprès de leurs Maîtresses, Ç est pourquoi ie vous laisse en unlibre entretien, Remettant à demain vostre souverain bien.
ALIDOR.	ÀLIDOR.
Eſtonné du bon-heur que le deſtin m'enuoye, Par où commenceray-ie à teſmoigner ma ioye, C’est en m’humiliant à l’aimable beauté, Dont les charmes puiſſans m’oſtent la liberté, Pardonnez, Calirie, à l’ardeur qui m'enflame, Si i’oſe vous nommer le repos de mon ame, Sans vous ceſte clarté, que nous donnent les Cieux, Seroit abſolument inutile à mes yeux, Vous m'auez retiré du bord du precipice,	Étonné du bonheur que le destin m'envoie, Par où commencerai-je à témoigner ma joie, C'est en m'humiliant à l'aimable beauté, Dont les charmes puissants m'ils la liberté, Pardonnez, Calirie, Çalardeur qui m'enflamme, Si j'ose vous nommer le repos de mon âme, Sans vous cette clarté, que nous donnent les Cieux, Serait absolument inutile à mes yeux, Vous m'avez retiré du bord du précipice,
4 Et par voſtre bonté ie trouue tout propice, Ie ſçay bien que i’ay tort, que ie ſuis eriminel, Qué ma faute merite vn ſupplice eternel, Et ſi ie n'esperois de n’obtenir la grace, Vous verriez ce corps mort tombes plus froid que glace.	4 Et par votre bonté vôtre trouve tout propice, Je sais bien que j'ai tort, que sans suis eriminel, Qué ma faute mérite un supplice éternel, Et si je n'espérais de n'obtenir la grâce, Vous verriez ce corps mort tombes plus froid que glace.
CALIRIE.	CALIRIE.
Meurs, ou ſois tout de glace, il m’eſt indifferent, Tout ce que i'en ay fait eſtoit pour ton parent Que i’aimois, il eſt vray, mais dans ſa perfidie I’ay trouué le defaut qui m'en a refroidie, Ne croy pas toütesfois, que pour ne l’aimer pas Ie conſerue pour toy le peu que i’ay d’appas, I’aimerois mieux mourir que d’auoir la penſee De te conſiderer, parce qu'il m'a laiſſee, Au contraire ie veux teſmoigner auiourd’huy Que ie te fais autant qu'il me donne d’ennuy, Et ſi tu ne veux pas encores me deſplaire, Va-t'en loin de mes yeux, ne preſſe plus ma mere, Ou tu m’obligeras à cercher dans ma mort, Contre vn ſigrandorage vn fanorable port.	Meurs, ou sois tout de glace, il m'est indifférent, Tout ce que j'en ai fait était pour ton parent Que j'aimais, il est vrai, mais dans sa perfidie J'ai trouvé le défaut qui m'en a refroidie, Ne crois pas toütesfois, que pour ne l'aimer pas Je conserve pour toi le peu que j'ai d'appas, J'aimerais mieux mourir que d'avoir la pensée De te considérer, parce qu'il m'a laisse, Au contraire femme veux témoigner aujourd'hui Que ie te fais autant qu'il me donne d'ennui, Et si tu ne veux pas encor me déplaire, Va-t'en loin de mes yeux, ne presse j' en mere, Ou tu obligeras cercher dans ma mort, Contre ô sigrandorage n fanorable port,
ALIDOR ſeul.	ÀLIDOR seul.
O Dieux!	Ô Dieux!
qu’ay-ie entendu, ces paroles cruelles Me font dedans le ſein de bleſſeures nouuelles, Bien, puis que tu le veux, il me faut eſloigner, Ie te veux en cela mon amour teſmoigner, I'oſteray cét objet ſi funeste à ta veuë:	qu'ai-je entendu, ces paroles cruelles Me font dedans le sein de blessures nouvelles, Bien, puis que tu le veux, il me faut éloigner, Je te veux en cela mon amour témoigner, J'ôterai cet objet si funeste à ta vue:
Mais d’vne autre façon que tu n'as pas preueuë:	Mais d'une autre façon que tu n'as pas prévue:
