MONSEIGNEVR,	MONSEIGNEUR,
Fhaiu emla nouiame cucnen, voue faites connoiſtre voſtre tyrannie, puis que vous me puniſſez ſenſiblement d’vne faute imaginaire.	Fhaiu emla nouviame cucen, voue faites connaître votre tyrannie, puis que vous me punissez sensiblement d'une faute imaginaire.
LE ROY.	LE ROY.
Vous me voudriez perſuader que i’ay ſongé voItre crime.	Vous me voudriez persuader que j'ai songé voItre crime.
LA REYNE.	LA REINE.
Il faut bien que ce ſoit vn ſonge;	Il faut bien que ce soit un songe;
ſi ce n’a iamais eſté ma penſee.	si ce n'a jamais été ma pensée.
LE ROY.	LE ROY.
La confeſſion que vous en ferez, vous peut-eſtre fort vtile.	La confession que vous en ferez, vous peut-être fort utile.
LA REYNE.	LA REINE.
Elle vous ſeroit bien plus agreable encore:	Elle vous serait bien plus agréable encore:
mais ma bouche ne ſçauroit accuſer mon cœur dans l'innocence où ie me trouue.	mais ma bouche ne saurait accuser mon cœur dans l'innocence où tu me trouve.
LE ROY.	LE ROY.
Le temps ſera voſtre luge.	Le temps sera votre luge.
LA REYNE.	LA REINE.
Et le Ciel voſtre Partie.	Et le Ciel votre Partie.
LE ROY.	LE ROY.
Il faut que ie me vange, puis que mon deuoir my contraint.	Il faut que ici me venge, puis que mon devoir mi contraint.
LA REYNE.	LA REINE.
Ditte prſoſt qu’il faut que ie meure, puis qu’Arthenice le veut.	Ditte prsost qu'il faut que de meure, puis qu'Arthénice le veut.
LE ROI.	LE ROI.
Ie vous laiſſe la vie.	Je vous laisse la vie.
LA REYNE.	LA REINE.
Que voulez vous que i’en face, apres m’auoir oſte l'honneur.	Que voulez -vous que j'en face, après m'avoir ôte l'honneur.
LE ROY.	LE ROY.
Pleurez à loiſir voſtre faute.	Pleurez à loisir votre faute.
LA REYNE.	LA REINE.
Ie pleureray pluſtoſt voſtre malheur.	Je pleurerai plutôt votre malheur.
LE ROY.	LE ROY.
Si ma condition vous fait pitié;	Si ma condition vous fait pitié;
elle donne de l'enuie à tout le monde.	elle donne de l'envie à tout le monde.
LA REYNE.	LA REINE.
Qui pourroit enuier voſtre aueuglement.	Qui pourrait envier votre aveuglement.
Vous voulez changer de religion ſans ſujet, me repudier ſans crime, & immoller encore vn nombre infini d’innocens à voſtre nouuelle paſſion pour en établir le Regne;	Vous voulez changer de religion sans sujet, me répudier sans crime, et immoller encore un nombre infini d'innocents à votre nouvelle passion pour en établir le Reine;
ſont-ce les moyens dont vous vous ſeruez à faire des jaloux de voſtre fortune.	sont-ce les moyens dont vous vous servez à faire des jaloux de votre fortune.
LE ROY.	LE ROY.
Mon pouuoir abſolu me rend iuge Souuerain de vos actions, ie ne releue que de moy meſme.	Mon pouvoir absolu me rend juge Souverain de vos actions, personne ne relève que de moi -même.
Retirez vous Madame:	Retirez -vous Madame:
Vous ſçaurez bien toſt maderniere volonté.	Vous saurez bien tôt madernière volonté.
LA REYNE.	LA REINE.
Monſieur le Chancelier, faites iuſtice à mon innocence, puis que vous portez encore la balance à la main.	Monsieur le Chancelier, faites justice à mon innocence, puis que vous portez encore la balance à la main.
Vous voyez vne pauure Princeſſe, eſloignée de ſon païs, abandonnée de ſes parens, & chargée d’orphelins, puis que ſes enfans ſont honteux de l’appeller leur Mere, eſtant repudiée de leur Pere.	Vous voyez une pauvre Princesse, éloignée de son pays, abandonnée de ses parents, et chargée d'orphelins, puis que ses enfants sont honteux de l'appeler leur Mère, étant repudiée de leur Père.
Sauuez, ſauuez donc mon honneur en conſeruant le voſtre, & ne permettez pas qu’on reproche vn iour à voſtre memoire d’auoir manqué de courage dans les rencontres de ſouſtenir ma vertu;	Sauvez, sauvez donc mon honneur en conservant le vôtre, et ne permettez pas qu'on reproche un jour à votre mémoire d'avoir manqué de courage dans les rencontres de soutenir ma vertu;
que ſi la force l’emporte par deſſus la raiſon, mourez dans voſtre deuoir, ie ſuiuray voſtre exemple.	que si la force l'emporte par dessus la raison, mourez dans votre devoir, Seigneur suivrai votre exemple.
LE ROY.	LE ROY.
On ne doit pas prendre gardre aux diſcours d’vne femme irritée, ſa faute, ſa jalouſie & ſon malheur l’ont contrainte à ſe plaindre ſi haut.	On ne doit pas prendre gardre aux discours d'une femme irritée, sa faute, sa jalousie et son malheur l'ont contrainte à se plaindre si haut.
Elle eſt coupable, & ſujette;	Elle est coupable, et sujette;
& ie ſuis intereſſé & voſtre.	et ici suis intéressé et votre.
Roy.	Roi.
Ie vous ay donc fait aſſembler, pour vous dne la leroiution que l’ay prile de changer de Religion, en repudiant la Reine.	Je vous ai donc fait assembler, pour vous dîne la leroiution que l'ai prile de changer de Religion, en répudiant la Reine.
Ie ne puis vous en apprendre le ſujet;	Je ne puis vous en apprendre le sujet;
& ce ſont des ſecrets dont l’importance vous deffend la curioſité.	et ce sont des secrets dont l'importance vous défend la curiosité.
Vous connoiſſez mes volontez;	Vous connaissez mes volontés;
faites moy voir voſtre obeïſſance.	faites -moi voir votre obéissance.
THOMAS MORVS.	THOMAS MORUS.
Sire, puiſque mon honneur & ma conſcience ne releuent point de voſtre Maieſté, encor que ie ſois né ſon ſubiet, ie prens la liberté de luy repreſenter qu’on ne peut approuuer la reſolution qu’elle a priſe de changer de Religion, en repudiant la Reine ſon Eſpouſe, ſans violer les Loix ſacrées, que le Ciel & la Nature nous ont impoſées dés le berçeau.	Sire, puisque mon honneur et ma conscience ne relèvent point de votre Majesté, encor que ie sois né son sujet, on prends la liberté de lui représenter qu'on ne peut approuver la résolution qu'elle a prise de prise de Religion, en répudiant la Reine son Épouse, sans violer les Lois sacrées, que le Ciel et la Nature nous ont imposées dès le berçeau.
Si les Rois ſont les Images de Dieu, ces ombres ne peuuent ſubſiſter que par leurs corps.	Si les Rois sont les Images de Dieu, ces ombres ne peuvent subsister que par leurs corps.
Voſtre Majeſté veut effacer l’Original dont elle eſt le Portrait.	Votre Majesté veut effacer l'Original dont elle est le Portrait.
Que fera-t’elle de ſon Empire, ſi elle n’a plus de ſubiets?	Que fera-t-elle de son Empire, si elle n'a plus de sujets?
Et où trouuera-t’elle des ſubiets, ſi elle n’a plus de Religion?	Et où trouvera-t-elle des sujets, si elle n'a plus de Religion?
Son Trône n’a point d’autre fondement que celuy de ſes Temples;	Son Trône n'a point d'autre fondement que celui de ses Temples;
& de la meſme main qu’elle en ruinera les Autels, elle s’arrachera la Couronne de la teite.	et de la même main qu'elle en ruinera les Autels, elle s'arrachera la Couronne de la teite.
Tie quoy:	Tie quoi:
sire, dix Slecles aufont affermy de mille années les Trônes de vos Ayeulx;	sire, dix Slècles aufont affermi de mille années les Trônes de vos Aieuleu;
& vos paſſions les détruiront en vn moment, pour vous en laiſſer vne repentance eternelle?	et vos passions les détruiront en un moment, pour vous en laisser une repentance éternelle?
Que ſçauroiton adiouſter à ce mal-heur?	Que sçauroiton ajouter à ce malheur?
LEROY.	LEROY.
Si ie change auiourd’huy de Religion, la connoiſſance que i’ay de la Verité m’en donne la penſée, & m’en fait executer le deſſein.	Si grande change aujourd'hui de Religion, la connaissance que j'ai de la Vérité m'en donne la pensée, et m'en fait exécuter le dessein.
Dans vne action de cette importance, où il y va du ſalut de mon Ame, auſſi bien que de la conſeruation de mes Eſtats, la Prudence me ſert de Conſeil pluſtoſt que l’amour.	Dans une action de cette importance, où il y va du salut de mon Âme, aussi bientôt que de la conservation de mes États, la Prudence me sert de Conseil plutôt que l'amour.
Ie fay ce que ie doy:	Je fais ce que personne dois:
mon nutnenté cede à ma Iuſtice, & ma Puiſſance à la Raiſon.	mon nutnenté cède à ma Justice, et ma Puissance à la Raison.
THOMAS MORVS.	THOMAS MORUS.
Quelle Iuſtice & quelle Raiſon peut trouuer Voſtre Maieſté dans la ruine de ſon Honneur, & dans la perte de ſon Empire?	Quelle Justice et quelle Raison peut trouver Votre Majesté dans la ruine de son Honneur, et dans la perte de son Empire?
Son Eſprit la deçoit, ion Iugement la daint, & la ramon l’aueugle:	Son Esprit la déçoit, ion Jugement la daint, et la ramon l'aveugle:
ſa cheute ne peut eſtre que mortelle, ſa faute irrepa.	sa chute ne peut être que mortelle, sa faute irrépa.
rable, & ſon repentir inutile.	rable, et son repentir inutile.
LE ROY.	LE ROY.
Puiſque ie ſuis vn des Dieux de la Terre, i'y vœux regner abſolument ſelon mon humeur, pluſtoſt que ſelon vos conſeils.	Puisque ie suis un des Dieux de la Terre, j'y vœux régner absolument selon mon humeur, plutôt que selon vos conseils.
THMAS MORVS.	THMAS MORUS.
Si les Rois ſont les Dieux d’icy bas, ils ne doiuent fen lane qui leur pume citie reproché par les Hommes.	Si les Rois sont les Dieux d'ici bas, ils ne doivent sen lane qui leur pume citie reproché par les Hommes.
Quand la Tyrannie regne auec eux, ils perdent le tiltre de Souuerains, & ſe rendent ſubiets à tout le monde, par le pouuoir qu’eux meſmes luy donnent de les blâmer iuſtement.	Quand la Tyrannie règne avec eux, ils perdent le titre de Souverains, et se rendent sujets à tout le monde, par le pouvoir qu'eux mêmes avait donnent de les blâmer justement.
LE ROY.	LE ROY.
Celuy qui fait les Loix les peut changer quand quand il luy plaiſt.	Celui qui fait les Lois les peut changer quand quand il lui plaît.
Doutez vous de ma Puiſſance?	Doutez -vous de ma Puissance?
THOMAS MORVS.	THOMAS MORUS.
Non, mais i’en connois les limites.	Non, mais j'en connais les limites.
LE ROY.	LE ROY.
Qui peut borner mon authorité ſur la Terre?	Qui peut borner mon autorité sur la Terre?
Le Ciel.	Le Ciel.
THOMAS MORVS.	THOMAS MORUS.
LE ROY.	LE ROY.
Le Ciel m’a donné vn Sceptre auſſi redoutable que ſes foudres.	Le Ciel m'a donné un Sceptre aussi redoutable que ses foudres.
THOMAS MORVS.	THOMAS MORUS.
Mviais jeurs farnles varigesenes feduiſent en cendre la main qui le porte indignement.	Méjais jeurs farnles varigesènes séduisent en cendre la main qui le porte indignement.
LE ROY.	LE ROY.
Quel crime ay-ie commis, pour apprehender cette punition?	Quel crime ai-je commis, pour appréhender cette punition?
THOMAS MORVS.	THOMAS MORUS.
Voſtre conſcience vous l’a deſia dit en ſecret;	Votre conscience vous l'a déjà dit en secret;
il n’eſt pas beſoin que ie le publie.	il n'est pas besoin que Je le publie.
De -	De -
LE ROY.	LE ROY.
Parlez, parlez hardiment.	Parlez, parlez hardiment.
THOMAS MORVS.	THOMAS MORUS.
La force me manque pluſtoſt que le courage, pour exprimer l’horreur d’vn crime où Dieu ſeul eſt le plus offencé, & dont tous vos Subiets doiuent partager la peine.	La force me manque plutôt que le courage, pour exprimer l'horreur d'un crime où Dieu seul est le plus offensé, et dont tous vos Subiets doivent partager la peine.
LE ROY.	LE ROY.
Vous ſerez le premier puny, comme le premier coupable.	Vous serez le premier puni, comme le premier coupable.
Ie veux que vous voyez mon Authorité dans ſon Trône à voſtre confuſion.	Je veux que vous voyez mon Autorité dans son Trône à votre confusion.
THOMAS MORVS.	THOMAS MORUS.
Ie verray pluſtoſt vos mal-heurs dans leur comDie à voltre donmnages	Je verrai plutôt vos malheurs dans leur comDie à voltre donmnages
LE ROY.	LE ROY.
Ie ſeray aſſez heureux, ſi ie me voy vangé de voſtre Rebellion, en vous immolant à ma iuſte colere.	Je serai assez heureux, si ici me vois vengé de votre Rebellion, en vous immolant à ma juste colère.
THOMAS.	THOMAS.
MORVS.	MORUS.
Ce Sacrificeneme ſera point deſagreable, puis que Dieu m’en prepare l’Autel.	Ce Sacrificeneme sera point désagréable, puis que Dieu m'en prépare l'Autel.
Ie ſouhaitterois ſeulement que voſtre vangeance ſe peuſt deſalterer dans mon ſang;	Je souhaiterais seulement que votre vengeance se pût désaltérer dans mon sang;
& que le feu de vos nouuelTRAGLDIE.	et que le feu de vos nouvelTRAGLDIE.
les paſſions s’amortiſt dans mes cendres, pour euiter la mort d’vn nombre infiny d’Innocens, qui ſont à la veille de leurs funerailles.	les passions s'amortît dans mes cendres, pour éviter la mort d'un nombre infini d'Inocents, qui sont à la veille de leurs funérailles.
Ha!	Ha!
Sire, puiſque la Iuſtice & la Clemence ont commencé de regner auec voſtre Maieſté, faites qu’elles meſmes couronnent ſon Regne.	Sire, puisque la Justice et la Clémence ont commencé de régner avec votre Majesté, faites qu'elles mêmes couronnent son Règne.
Les Rois ne viuent icy bas que pour autruy:	Les Rois ne vivent ici bas que pour autrui:
ce ſont de nouueaux Aſtres que Dieu attache au Ciel de leur Trône, pour eſclairer les Eſprits de la lumiere de leur exemple;	ce sont de nouveaux Astres que Dieu attache au Ciel de leur Trône, pour éclairer les Esprits de la lumière de leur exemple;
de meſme que celuy du monde illumine les corps par l’eſclat de ſes rayons.	de même que celui du monde illumine les corps par l'éclat de ses rayons.
Si voſtre Maieſté s’éclipſe de nos yeux, les tenebres ſeront eternelles dans ſon Empire, auſſi bien que dans ſon Ame, faiſant renaiſtre le Chaos de ſa confuſion.	Si votre Majesté s'éclipse de nos yeux, les ténèbres seront éternelles dans son Empire, aussi bien que dans son Âme, faisant renaître le Chaos de sa confusion.
Voudroit-elle couurir de ſa propre honte l’eſclat de ces belles veritez qu’elle a eſcrites de ſa main en faueur de l’Egliſe?	Voudrait-elle couvrir de sa propre honte l'éclat de ces belles vérités qu'elle a écrites de sa main en faveur de l'Église?
Ses dernieres actions démentiroient-elles ſes premieres penſées?	Ses dernières actions démentiraient-elles ses premières pensées?
Sa bouche aura publié ſa gloiIe, & ſon cœur s’en repentira?	Sa bouche aura publié sa gloie, et son cœur s'en repentira?
Elle aura, dis ie, donné & ſes ſoins & ſes veilles à ſa deffence, & elle employera auiourd’huy & ſon Authorité, & ſon pouuoir à la ruiner?	Elle aura, dis eau, donné et ses soins et ses veilles à sa défense, et elle emploiera aujourd'hui et son Autorité, et son pouvoir à la ruiner?
Ha!	Ha!
Sire, que voſtre Maieſté ſoit jalouſe de ſa propre renommée, conſeruant dans ſon éclat celle de ſes Ayeux.	Sire, que votre Majesté soit jalouse de sa propre renommée, conservant dans son éclat celle de ses Aïeux.
La Pieté a baſty leurs tombeaux, pour en exempter & leurs Noms & leur Memoire:	La Piété a bâti leurs tombeaux, pour en exempter et leurs Noms et leur Mémoire:
Voulez vous que l’Hereſie erige le voſtre, & qu'elle y enſeueliſſe eternellement toutes les belles actions de voſtre vie.	Voulez -vous que l'Hérésie erige le vôtre, et qu'elle y ensevelisse éternellement toutes les belles actions de votre vie.
O Dieu de nos Autels!	Ô Dieu de nos Autels!
dont l’Image eſt encore grauée ſur la porte de nos Temples, emouſſe la pointe de l’eſpée que tu as donnée à ce grand Monarque, s’il s’en veut ſeruir contre luy meſme, en la mettant à la main contre toy.	dont l'Image est encore gravée sur la porte de nos Temples, emousse la pointe de l'épée que tu as donnée à ce grand Monarque, s'il s'en veut servir contre lui -même, en la mettant à la main contre toi.
Que s’il eſt Aueugle, romps ſon bandeau auec la lumiere de tes Eſclairs;	Que s'il est Augle, romps son bandeau avec la lumière de tes Éclairs;
& s’il eſt ſourd, fais luy recouurer l’oüye au bruit de tes Foudres:	et s'il est sourd, fais même recouvrer l'Unie au bruit de tes Foudres:
Mais, Seigneur, eſteins-en les flames dans l’eau de mes pleurs.	Mais, Seigneur, éteins-en les flammes dans l'eau de mes pleurs,
Que s’il faut vne Victime à ta Iuſtice, en expiation de nos pechez, que ie ſois ſeul ſacrifié, pour ſauuer tout le reſte du peuple:	Que s'il faut une Victime à ta Justice, en expiation de nos péchés, que sans sois seul sacrifié, pour sauver tout le reste du peuple:
ce ſont les derniers vœux que i’adreſſe à ta bonté.	ce sont les derniers vœux que j'adresse à ta bonté.
LE ROY.	LE ROY.
Ie fruy pas beroni de comien iy de prieres en l'eſtat où ie ſuis.	Je frui pas béroni de comien ji de prières en l'état où je suis.
Ne faites des vœux que pour voſtre ſalut, puiſque voſtre perte eſt infaillible.	Ne faites des vœux que pour votre salut, puisque votre perte est infaillible.
Qu’on le meine en priſon:	Qu'on le mène en prison:
ie vous condamne déja à vn eternel ſilence, pour auoir trop parlé.	ici vous condamne déjà à un éternel silence, pour avoir trop parlé.
THOMAS MORVS.	THOMAS MORUS.
Ie ſuis bien aiſe de deuenir muet, apres auoir dit la verité:	Je suis bien aise de devenir muet, après avoir dit la vérité:
ce chaſtiment me ſeruira de recompenſe.	ce châtiment me servira de récompense.
LE ROY.	LE ROY.
Ie mettray ce perfide à la raiſon, ou il luy en couſtera la vie.	Je mettrai ce perfide à la raison, ou il lui en coûtera la vie.
POLEXANDRE.	POLEXANDRE.
Sire, Dieu ſe fait voir ſi clairement dans la Maieſté des Rois, que l’on ne ſçauroit douter de ſa Diuinité.	Sire, Dieu se fait voir si clairement dans la Majesté des Rois, que l'on ne saurait douter de sa Divinité.
Ils ont auec eux & des Eſclairs & des foudres, puis que leurs regards & leurs paroles leur en peuuent produire à toute heure.	Ils ont auec eux et des Éclairs et des foudres, puis que leurs regards et leurs paroles leur en peuvent produire à toute heure.
Quo ſi l’on conſidere encore leur Authorité ſouueraine, & leur pouuoir abſolu, l’on admirera de nouueau cette puiſſante Diuinité dont ils ſont eux meſmes les images;	Quo si l'on considère encore leur Autorité souveraine, et leur pouvoir absolu, l'on admirera de nouveau cette puissante Divinité dont ils sont eux mêmes les images;
& voila, Sire, les veritez qui nous déuoilent auiourd’huy l’Eſprit, qui eſchauffent nos volontez, & qui nous donnent les ſentimens d’vne obeïſſance aueugle, pourſubir auec toute ſorte de reſpect les Loix que voſtre Maieſté nous impoſe.	et voilà, Sire, les vérités qui nous dévoilent aujourd'hui l'Esprit, qui échauffent nos volontés, et qui nous donnent les sentiments d'une obéissance aveugle, poursubir a toute sorte de respect les Lois que votre Majesté nous impose.
LIDAMAS.	LIDAMAS.
Sire, il eſt vray que la Religion de nos Peres, & dans laquelle nous auons eſté heureuſement inſtruits & eſleuez, fait la plus noble partie de nous meſmes, comme eſtant le fondement de noſtre ſalut;	Sire, il est vrai que la Religion de nos Pères, et dans laquelle nous avons été heureusement instruits et élevez, fait la plus noble partie de nous mêmes, comme étant le fondement de notre salut;
& que de nous vouloir arracher du cœur ces ſentimens de Pieté que nous auons pouir la veneration de nos Autels & de nos Temples, c’eſt nous faire changer tout à coup & d’element & de vie.	et que de nous vouloir arracher du cœur ces sentiments de Piété que nous avons pouir la vénération de nos Autels et de nos Temples, c'est nous faire changer tout à coup et d'élément et de vie.
Mais quand nous conſiderons auſſi, que voſtre Maieſté également intereſſée, & à noſtre ſalut, & à noſtre perte, ſubit la premiere les Loix qu’elle nous impoſe, nous deuons obeïr, & nous taire auec d’autant plus de raiſon, que loii erprre creluno dirne luimere eAtraordinaire, ne luy peut fournir que des penſées dignes de loüange pluſtoſt que de reproche.	Mais quand nous considérons aussi, que votre Majesté également intéressée, et à notre salut, et à notre perte, subit la première les Lois qu'elle nous impose, nous devons obéir, et nous taire avec d'autant plus de raison, que loisy erprère creluno dirne luilère eAtraordinaire, ne lui peut fournir que des pensées dignes de lange plutôt que de reproche.
POLEMON.	POLEMON.
Sire, lors que Dieu a eſtably ſur la Terre le Trêne des Rois, il leur a donné l’authorité & la domination en partage:	Sire, lors que Dieu a établi sur la Terre le Trêne des Rois, il leur a donné l'autorité et la domination en partage:
ce qui les rend auiourd’huy ſi abſolus, que leurs volontez paſſent pour Loix, leur raiſon pour Iuſtice, & leur exemple pour vn precepte de Vertu;	ce qui les rend aujourd'hui si absolus, que leurs volontés passent pour Lois, leur raison pour Justice, et leur exemple pour un précepte de Vertu;
de ſorte qu’eſtans nez ſubiets de voſtre Maieſté, ſes ſeuls commandemens doiuent eſtre nos raiſons, & autant de preceptes pour nous obliger également à luy obeïr auec toute ſorte de reſpect.	de sorte qu'étant nez sujets de votre Majesté, ses seuls commandements doivent être nos raisons, et autant de préceptes pour nous obliger également à M obeïr a toute sorte de respect.
CLEANTE.	CLÉANTE.
Il eſt vray, Sire, que Dieu a écrit dans nos cœurs & de ſa Main & de ſon Sang les Loix de noſtre Religion:	Il est vrai, Sire, que Dieu a écrit dans nos cœurs et de sa Main et de son Sang les Lois de notre Religion:
Mais vous ayant donné auſſi auec ce tiltre de Maieſté le Caractere de grand Preſtre, CC1 .	Mais vous ayant donné aussi avec ce titre de Majesté le Caractère de grand Prêtre, CC1 .
.	.
.	.
.	.
pour nous introduire dans ſes Temples, & nous interpreter ſes Oracles;	pour nous introduire dans ses Temples, et nous interpréter ses Oracles;
la lumiere qui l’enuironne, & l’aueuglement qui nous ſuit, nous obligent a luon les nouuenles Loix qu’elle nous impoſe, ſans murmurer, & ſans nous plaindre.	la lumière qui l'environne, et l'aveuglement qui nous suit, nous obligent à luon les nouvenles Lois qu'elle nous impose, sans murmurer, et sans nous plaindre.
LE ROY.	LE ROY.
C’eſt de cette ſorte que les fidels Subiets doiuent parler à leur Prince.	C'est de cette sorte que les fidels Subiets doivent parler à leur Prince.
Ie m’eſtime heureux dans l’extremité où ie me voy reduit, d’auoir trouué des iugemens ſi ſolides que les voſtres pour approuuer mes actions;	Je m'estime heureux dans l'extrémité où tu me vois réduit, d'avoir trouvé des jugements si solides que les vôtres pour approuver mes actions;
quoy que mon Authorité abſoluë les exempte de reproche.	quoi que mon Autorité absolue les exempte de reproche.
Ie repudie mon Eſpouſe, apres auoir changé de Religion, puiſque Rome s’oppoſe à mes ſecondes Nopces.	Je repudie mon Épouse, après avoir changé de Religion, puisque Rome s'oppose à mes secondes Noces.
Ce n’eſt pas que ma paſſion m’ait inſtruit dans ma nouuelle creance.	Ce n'est pas que ma passion m'ait instruit dans ma nouvelle créance.
La verité m’en a donné les leçons;	La vérité m'en a donné les leçons;
& il vous ſuffit que mon exemple vous les apprenne:	et il vous suffit que mon exemple vous les apprenne:
vous ne ſçauriez faillir en m’imitant.	vous ne sauriez faillir en m'imitant.
Que ſi quelque nouueau Politique fait le rebelle, i’ay des priſons, des fers, & des geſnes, pour le punir, & pour me vanger.	Que si quelque nouveau Politique fait le rebelle, j'ai des prisons, des fers, et des gênes, pour le punir, et pour me venger.
JCSAD II.	JCSAD II.
LA REINE, ET CLEONICE.	LA REINE, ET CLEONICE.
LA REINE.	LA REINE.
L eſt temps, chere Couſine, de partir de ce monde en partant de ces lieux, puiſque i’y laiſſe mon honneur, qui m’eſt beaucoup plus cher que la vie.	L est temps, chère Cousine, de partir de ce monde en partant de ces lieux, puisque j'y laisse mon honneur, qui m'est beaucoup plus cher que la vie.
Ie me rends à cette derniere at tainte de mal-heur.	Je me rends à cette dernière at tainte de malheur.
CLEONICE.	CLÉONICE.
Madame, la rigueur qu’exerce le Roy contre V.	Madame, la rigueur qu'exerce le Roi contre V.
M.	M.
publie hautement qu’elle eſt innocente.	publie hautement qu'elle est innocente.
Quittons ces lieux ſans regret, puis qu’ils ne nous ont iamais produit que des eſpines.	Quittons ces lieux sans regret, puis qu'ils ne nous ont jamais produit que des épines.
LA REINE.	LA REINE.
l’ay beau les quitter;	l'ai beau les quitter;
i'emporte ces eſpines dans mon cœur:	j'emporte ces épines dans mon cœur:
mais pour llia confoleion leur piqueure eſt mortelle.	mais pour lélia confoleion leur piquure est mortelle.
Tournons viſage ducoſté du Tombeau, ce funeſte Meſſager m’en repreſente l’Image.	Tournons visage ducosté du Tombeau, ce funeste Messager m'en représente l'Image.
1 SAE 121 III.	1 SAE 121 III.
ADAME, le Roy m’a commandé de don ner cette Lettre à voſtre Maieſté.	ADAME, le Roi m'a commandé de don ner cette Lettre à votre Majesté.
LA REINE, prenant la Lettre.	LA REINE, prenant la Lettre.
Ie ne ſçay ce qu’elle contient:	Je ne sais ce qu'elle contient:
la main me tremble, & mon cœur en fremit.	la main me tremble, et mon cœur en frémit.
Mais que dois-ie craindre, n’ayant plus rien à eſperer.	Mais que dois-je craindre, n'ayant plus rien à espérer.
LETTRE DV ROY.	LETTRE DU ROY.
MADAME, Il eſt neceſſaire pour mon repos, que vous vous eſloignieZ de moy.	MADAME, Il est nécessaire pour mon repos, que vous vous éloigniez de moi.
Voſtre abſence eſt l'vnique remede du mal dont ie ſuis atteint.	Votre absence est l'insique remède du mal dont tu suis atteint.
Tout eſt prest pour vostre départ:	Tout est prêt pour votre départ:
La Nauire vous attend.	La Navire vous attend.
Le vent eſt fauorable, & celle-cy vous fait mes adieux.	Le vent est favorable, et celle-cy vous fait mes adieux.
Souuenez vous que vous eſtes ma Subiette, & que ie ſuis voſtre Roy.	Souuenez vous que vous êtes ma Subiette, et que ici suis votre Roi.
LA REINE, reliſant la Lettre.	LA REINE, relisant la Lettre.
Il eſt neceſſaire pour mon repos, que vous vous	Il est nécessaire pour mon repos, que vous vous
LE CAPITAINE des Gardes.	LE CAPITAINE des Gardes.
eſloignieZ de moy;	esloignieZ de moi;
Et où iray-ie, ſi ie ne ſçay point THOMAS MORVS, d’autre chemin que celuy qui me conduit à la Mort?	Et où irai-je, si ici ne sais point THOMAS MORUS, d'autre chemin que celui qui me conduit à la Mort?
Tout eſt preſt pour voſtre départ.	Tout est prêt pour votre départ.
Ie le ſens bien:	Je le sens bien:
mes afflictions font les preparatifs de mes funerailles:	mes afflictions font les préparatifs de mes funérailles:
la Nauire m'attend;	la Navire m'attend;
ie n’ay beſoin que d’vne Biere:	Elle n'ai besoin que d'une Bière:
le vent est fauorable:	le vent est favorable:
celuy de mes ſoupirs me conduira au Port que ie deſires celle-cy vous fait mes adieux.	celui de mes soupirs me conduira au Port que personne désires celle-cy vous fait mes adieux.
Adieu donc le plus cruel des hommes, & le plus aimé qui fuſt iamais:	Adieu donc le plus cruel des hommes, et le plus aimé qui fût jamais:
Souuenez vous que vous eſtes ma Subiette.	Souvenez vous que vous êtes ma Subiette.
Ie l’ay eſté, il eſt vray, & ie la ſuis encore:	Je l'ai été, il est vrai, et ie la suis encore:
mais c’eſt par amour, auſſi bien que par deuoir;	mais c'est par amour, aussi bien que par devoir;
Et que ie ſuis vostre Roy:	Et que ici suis votre Roi:
Vous me le faites bien connoiſtre, vous ſeruant de voſtre pouuoir abſolu, pour me rendre la plus miſerable Princeſſe du monde.	Vous me le faites bien connaître, vous servant de votre pouvoir absolu, pour me rendre la plus misérable Princesse du monde.
O Dieu!	Ô Dieu!
en quel eſtat me vois ie reduite?	en quel état me vois ie réduite?
Vn excés de cruauté m’oblige à vous demander Iuſtice;	Un excès de cruauté m'oblige à vous demander Justice;
& à meſme temps vn excés d’Amour me contraint d’implorer voſtre Bonté.	et à même temps un excès d'Amour me contraint d'implorer votre Bonté.
Mes ſoupirs voudroient allumer vos foudres, pour me vanger, & mes larmes les voudroient eſteindre pour me ſatisfaire.	Mes soupirs voudraient allumer vos foudres, pour me venger, et mes larmes les voudraient éteindre pour me satisfaire.
Faut-il que ie puniſſe la moitié de moy-meſme, pour mettre l’autre en repos?	Faut-il que venir punisse la moitié de moi-même, pour mettre l'autre en repos?
Il eſt vray, ie ſouffre beaucoup:	Il est vrai, Seigneur souffre beaucoup:
mais i’aime extrémement:	mais j'aime extrêmement:
& pour vn ſurcroiſt de mal-heur, celuy qui m’arrache le cœur, le poſſede tout entier;	et pour un surcroît de malheur, celui qui m'arrache le cœur, le possède tout entier;
& en l’arrachant meſme peu à peu, ſes derniers ſoupirs ſont tout de feu pluſtoſt que de glace.	et en l'arrachant même peu à peu, ses derniers soupirs sont tout de feu plutôt que de glace.
Tellement qu’encore que la douleur emporte la victoire, il faut de neceſſité que ie me rende à l’Amour.	Tellement qu'encore que la douleur emporte la victoire, il faut de nécessité que votre me rende à l'Amour.
LE CAPITAINE des Gardes.	LE CAPITAINE des Gardes.
Madame, le Roy m'a commande de vous dire qu’il falloit partir promptement.	Madame, le Roi m'a commande de vous dire qu'il fallait partir promptement.
LA REINE.	LA REINE.
Ma douleur me preſſe plus que vous.	Ma douleur me presse plus que vous.
Puis qu’on m’oſte la liberté de viure, ne me donnerat’on pas le loiſir de mourir?	Puis qu'on m'ôte la liberté de vivre, ne me donnerat-on pas le loisir de mourir?
