A MADAME DE BONNELLE.	À MADAME DE BONELLE.
Et lors ſois-je pendu, s’il ne pert ſon procés.	Et lors sois-je pendu, s'il ne pert son procès.
bas.	bas.
Tout va mal, ie ſuis pris, où ſera mon reſuge?	Tout va mal, Seigneur suis pris, où sera mon resuge?
PERIANDRE.	PERIANDRE.
Que parles-tu, pendart, de procez & de Iuge?	Que parles-tu, pendard, de procès et de Juge?
STREPHON.	STREPHON.
Rien du tout;	Rien du tout;
mais enfin l’auez-vous bien preſſé?	mais enfin l'avez-vous bien pressé?
Ie croy que ce diſcours l’a bien embaraſſé.	Je crois que ce discours l'a bien embarrassé.
PERIANDRE.	PERIANDRE.
Point du tout, il ſe mocque, il dit que ie ſuis yure, Qu'on luy fait vn affrõt, qu’il n’y veut pas ſuruiure;	Point du tout, il se moque, il dit que je suis ivre, Qu'on lui fait un affront, qu'il n'y veut pas survivre;
Que tout autre que moy qui l’en ſoupçonneroit, Periroit de ſa main.	Que tout autre que moi qui l'en soupçonnerait, Périrait de sa main.
STREPHON.	STREPHON.
Il eſt vrayment adroit, Il ſe ſçait bien defendre Et de l’argent de l’Hoſte En auez vous parlé?	Il est vraiment adroit, Il se sait bien défendre Et de l'argent de l'Hôte En avez vous parlé?
quoy?	quoi?
PERIANDRE.	PERIANDRE.
Son ame eſt trop haute Pour luy faire penſer ce noir aſſaſſinat;	Son âme est trop haute Pour lui faire penser ce noir assassinat;
Et qu’il eſt preſt enfin d’en répondre au Senat,	Et qu'il est prêt enfin d'en répondre au Sénat,
STREPHON.	STREPHON.
Enfin, à ſon diſcours, il n’en eſt pas coupable.	Enfin, à son discours, il n'en est pas coupable.
PERIANDRE.	PERIANDRE.
Il dit que i’ay reſvé cette importune fable.	Il dit que j'ai rêvé cette importune fable.
I'y ſuis bien empeſché, Strephon, que ferõs-nous?	J'y suis bien empêché, Stréphon, que ferons-nous?
STREPHON.	STREPHON.
Ie vous l’ay deſia dit.	Je vous l'ai déjà dit.
psie.	psie.
PERIANDRE.	PERIANDRE.
Il eſt bien en couroux.	Il est bien en courroux.
E iij	 Ejà
STREPHON.	STREPHON.
Prenons, vous dis-je, vn Iuge fauorable Qui me croye ſur tout ſincere & veritable, Qui ne reuoque point la loy de mes diſcours:	Prenons, vous dis-je, un Juge favorable Qui me croie sur tout sincère et véritable, Qui ne revoque point la loi de mes discours:
Si ie ne le conuainc, accourciſſez mes iours.	Si ici ne le convainc, accourcissez mes jours.
Mais qu’eſt-ce que ie voy?	Mais qu'est-ce que ie cy?
la maiſõ toute en flâmer Hat ie meurs de frayeur.	la maisõ toute en flammer Hat ie meurs de frayeur.
L’on brule de la raiſine dans le logis.	L'on brule de la raisiné dans le logis.
PERIANDRE.	PERIANDRE.
La peur me perce l’ame.	La peur me perce l'âme.
Fuyons, fuyons, Strephon, ſuyons.	Fuyons, fuyons, Stréphon, suivons.
O iuſtes Dieun Trouueiay-je vn avile aujourd’huy ſous les Cieux?	Ô justes Dieun Trouveiai-je un avile aujourd'hui sous les Cieux?
STREPHON.	STREPHON.
Non, non, ne tremblez pas, c’eſt peut-eſtre l’image De ce pauure meurtry.	Non, non, ne tremblez pas, c'est peut-être l'image De ce pauvre meurtri.
Monſieur, prenez courage;	Monsieur, prenez courage;
Pour moy i’ay l’aſſeurance & l’art de luy parler, Quand il ſort dãs vn corps qu’il emprunte de l’air.	Pour moi j'ai l'assurance et l'art de lui parler, Quand il sort dans un corps qu'il emprunte de l'air.
PERIANDRE.	PERIANDRE.
Non, ie n'en feray rien.	Non, Seigneur n'en ferai rien.
na, perfide Liſandre, Ton crime eſt aueré, ie te vais faire pendre, Ie ſeray ta partie, & s’il eſtoit beſoin Ie ſerois ton Bourreau, ton luge, & ron témoin.	na, perfide Lisandre, Ton crime est averé, tu te vais faire pendre, Je serai ta partie, et s'il était besoin Je serais ton Bourreau, ton luge, et ron témoin.
nia Dieux!	nia Dieux!
ie ſuis perdu;	Il suis perdu;
qu’eſt-ce que ie découure?	qu'est-ce que ici découvre?
La porte, mais pluſtoſt voy la terre qui s’ouure.	La porte, mais plutôt vois la terre qui s'ouvre.
O Dieux!	Ô Dieux!
ie meurs de peur:	Elle meurs de peur:
vn mort paſle & ſanglant.	Elle mort pâle et sanglant.
Vn ombreſoit couuect d’vu linge, auec vn maſque paſle	Un ombres couvert d'une linge, avec masque pâle
STREPHON.	STREPHON.
C’eſt ce pauure defunt, qu’vn deſtin violent, Par la meſchanceté de ſon Hoſte infidelle, A donné pour victime à la Parque cruelle.	C'est ce pauvre défunt, qu'un destin violent, Par la méchanceté de son Hôte infidèle, A donné pour victime à la Parque cruelle.
PERIANDRE.	PERIANDRE.
9 Dieux qu’il eſt affieux, & qu’il me fait pitiét Mais il me fait encor plus de peur la moitié.	9 Dieux qu'il est affieux, et qu'il me fait pitiét Mais il me fait encor plus de peur la moitié.
STREPHON.	STREPHON.
Il ne vous fera rien, il va parler ſans doute.	Il ne vous fera rien, il va parler sans doute.
Monſieur, ne branlez pas, il veut que l’on l’écoute, Il vous attrapera, ſi vous vous penſez fuir.	Monsieur, ne branlez pas, il veut que l'on l'écoute, Il vous attrapera, si vous vous pensez fuir.
Demeurez, audlement.	Demeurez, audlement.
PERIANDRE.	PERIANDRE.
né bien, il ſaut l’oüir:	né bien, il saut l'ouïrir:
Mais s’il parle lõg-temps, ie répandray des ſauces, Ie n’en puis deſia plus.	Mais s'il parle lõgtemps, votre répandrai des sauces, Je n'en puis déjà plus.
STREPHON.	STREPHON.
Nous lauerons vos chauſſes.	Nous lauerons vos chausses.
bas Ie voudrois à ce prlx eſtre quitte aujourd’huy.	bas Je voudrais à ce prèsx être quitte aujourd'hui.
PERIANDRE.	PERIANDRE.
Il me pourſuit, Strephon, & ie n’ay pas fuy;	Il me poursuit, Stréphon, et notre n'ai pas fui;
Ie meurs, ie n’en puis plus:	Je meurs, Seigneur n'en puis plus:
ôfuneſte auanture!	ôfuneste aventure!
STREPHON.	STREPHON.
Ne ſoyez pas ſi laſche, hé ie vous en conjure.	Ne soyez pas si lâche, hépris vous en conjure.
L’OMBRE.	L'OMBRE.
Tyran qui m’as meurtry, qui m’as rauy le iour, Barbare, indigne cœur d’vn ſi fidele amour.	Tyran qui m'as meurtri, qui m'as ravi le jour, Barbare, indigne cœur d'un si fidèle amour.
2  PERIANDRE.	2 PERIANDRE.
Iſt-ce à moy qu’il en veut, Strephon?	Ist-ce à moi qu'il en veut, Stréphon?
STREPHON.	STREPHON.
Nenny.	Nenni.
PERIANDRE Où me mettray-je enfm?	PERIANDRE Où me mettrai-je enfm?
Ie tremble.	Je tremble.
STREPHON.	STREPHON.
Le bon homme va l'emble:	Le bon homme va l'emble:
Monſieur, arreſtez-vous, il ne vous ſera rien, Il parle de Liſandre.	Monsieur, arrêtez-vous, il ne vous sera rien, Il parle de Lisandre.
PERIANDRE.	PERIANDRE.
Oüy dea, ie le voy bien;	Oui dea, Seigneur le vois bien;
Mais i’ay peur qu’à la fin ma preſence le faſche, Et qu’il s’adreſſe à moy.	Mais j'ai peur qu'à la fin ma présence le fâche, Et qu'il s'adresse à moi.
STREPHON.	STREPHON.
Non, il n’eſt pas ſi laſche.	Non, il n'est pas si lâche.
L'OMBRE.	L'OMBRE.
Faut-il que par ta main ie perde le repos, Et que la terre encor ſoit peſante à mes os?	Faut-il que par ta main on perde le repos, Et que la terre encor soit pesante à mes os?
Deux ans ſe ſont paſſez depuis que ie ſoûpire, Pour paſſer dans la Barque en l’infernal Empire:	Deux ans se sont passez depuis que je soupire, Pour passer dans la Barque en l'infernal Empire:
Mais Charon ne vient point me paſſer chez les morts, Et me renuoye encor pour inſormer mon corps;	Mais Charon ne vient point me passer chez les morts, Et me renvoie encor pour insormer mon corps;
Mais il eſt plein de vers, & telle eſt ma diſgrace, Qu’il me faut habiter cette maudite place, Ce logis deteſtible, infame monument, Iuſqu’a ce que Minos en diſpoſe autrement.	Mais il est plein de vers, et telle est ma disgrâce, Qu'il me faut habiter cette maudite place, Ce logis détestible, infâme monument, Jusqu'a ce que Minos en dispose autrement.
1 Ie m’en vais y rentrer, le deſtin me l’ordonné.	1 Je m'en vais y rentrer, le destin me l'ordonné.
Il rentre au logis.	Il rentre au logis.
P RIANDRE.	 PIANDRE.
O Dieux!	Ô Dieux!
ie n’en puis plus, que cette voix m’étõnes Il prononçoit le mien en prononçant ſon ſort;	Le n'en puis plus, que cette voix m'étõnes Il prononçoit le mien en prononçant son sort;
Ie le croyois viuant, & ie me croyois mort.	Je le croyais vivant, et Seigneur me croyais mort.
STREPHON.	STREPHON.
Hé bien, il eſt rentré, que vous dira Liſandre Quand vous luy parlerez?	Hé bien, il est rentré, que vous dira Lisandre Quand vous lui parlerez?
PERIANDRE.	PERIANDRE.
Ie le vais faire pendre, Ie le puis à preſent, & ſans rien hararder.	Je le vais faire pendre, Je le puis à présent, et sans rien hararder.
STREPHON.	STREPHON.
Ne precipitez rien, il faut s’accommoder,	Ne précipitez rien, il faut s'accommoder,
Il renea roſtreargent.	Il renea rotreargent.
PERIANDRE.	PERIANDRE.
Ie l’entens, ou ie iure De luy faire aujourd’huy la plus ſanglante injure Dont vn homme d’honneur puiſſe iamais rougir.	Je l'entends, ou belle jure De lui faire aujourd'hui la plus sanglante injure Dont un homme d'honneur puisse jamais rougir.
STREPHON.	STREPHON.
Mon Maiſtre, appaiſez-vous, & me laiſſez agir.	Mon Maître, apaisez-vous, et me laissez agir.
PTRIANDRE.	PTRIANDRE.
Ie veux aller chez luy.	Je veux aller chez belle.
STREPHON.	STREPHON.
Ie vous y ſers d’eſcorte.	Je vous y sers d'escorte.
PERIANDRE.	PERIANDRE.
Fuyons, ſuyons, Strephon, i entens brãler la porte.	Fuyons, suivons, Stréphon, j' entens branler la porte.
SCENE III.	SCÈNE III.
CLEANDRE Banquier.	CLEANDRE Banquier.
STREPHON, PERIANDRE.	STREPHON, PERIANDRE.
CLEANDRE ſeul.	CLEANDRE seul.
Amais il ne ſe vit vn ſi malheureux temps, IIamais l'on ne trouua de ſi mauuais inſtans A mettre ſon argent à credit ſur la place;	Amais il ne se vit un si malheureux temps, IIamais l'on ne trouva de si mauvais instants A mettre son argent à crédit sur la place;
Quand i’y baille le mien, mõ cœur eſt tout de glace, Ie ſens qu’on me l’arrache en ſortãt de mes mains, Et ces efforts pourtant reſtent ſoibles & vains:	Quand j'y baille le mien, mon cœur est tout de glace, Je sens qu'on me l'arrache en sortant de mes mains, Et ces efforts pourtant restent soibles et vains:
Ie trouue tant d’appas dans le gain qu’il apporte, Qu’il me ſeroit faſcheux d’en vſer d’autre ſorte, C’eſt vn gros intereſt qui nous vient volontiers, Et n’eſtoit le hazard de nos Banqueroutiers, Tous les plus raffinez en prendroient la ſcience:	Je trouve tant d'appas dans le gain qu'il apporte, Qu'il me serait fâcheux d'en user d'autre sorte, C'est un gros intérêt qui nous vient volontiers, Et n'était le hasard de nos Banqueroutiers, Tous les plus raffinez en prendraient la science:
Mais la peur de la peſte, & quelque bienſcance, Font que ce beau trafic ne ſe prattique pas Par ceux qui ſans mentir beniroient ſes appas.	Mais la peur de la peste, et quelque bienscance, Font que ce beau trafic ne se prattique pas Par ceux qui sans mentir béniraient ses appas.
Pour moy ie ne voy nen qui ſi fort iucommode, Le plaiſir en eſt doux, & l’vſage à la mode.	Pour moi ici ne vois nen qui si fort jucommode, Le plaisir en est doux, et l'usage à la mode.
PERIANDRE retournant auec Strephon.	PERIANDRE retournant avec Stréphon.
Il a ma foy bien fait de quitter la maiſon, Il faudra toſt ou tard qu’il m’en ſaſſe raiſon.	Il a ma foi bien fait de quitter la maison, Il faudra tôt ou tard qu'il m'en sasse raison.
STREPHON bas.	STREPHON bas.
Ie l’entens bien ainſi.	Je l'entends bien ainsi.
Mais i’apperçoy Cleandre;	Mais j'aperçois Clandre;
na voicy l’ennemy qui me pouuoit ſurprendre.	na voici l'ennemi qui me pouvait surprendre.
CLEANDRE Voicy venir Sttephon, ie m’en allois chez luy:	CLÉANDRE Voici venir Stéphon, tu m'en allais chez lui:
Il faudra que Liſtan me contente aujourd’huy, Il eſt à bout du temps, il me doit deux années, Auec mon principal.	Il faudra que Listan me contente aujourd'hui, Il est à bout du temps, il me doit deux années, Avec mon principal.
STREPHON.	STREPHON.
Cruelles deſtinées Falloit-il rencontrer, & ſi mal à propos, Celuy qui vient icy trauerſer mon repos?	Cruelles destinées Fallait-il rencontrer, et si mal à propos, Celui qui vient ici traverser mon repos?
CLEANDRE.	CLÉANDRE.
Strephon?	Stréphon?
hola, Strephou?	holà, Stréphou?
STREPHON.	STREPHON.
Bon jour, Seigneur Cleandre, Ie ne vous voyois pas,	Bon jour, Seigneur Clandre, Je ne vous voyais pas,
CLEANDRE.	CLÉANDRE.
Ie ne puis plus attendre, Mon argent eſt-il preſt?	Je ne puis plus attendre, Mon argent est-il prêt?
le temps eſt expiré Que ie deuois atcendre.	le temps est expiré Que tu devais atcendre.
STREPHON.	STREPHON.
O qu’il eſt alteré!	Ô qu'il est altéré!
bas.	bas.
Il n’eſt pas bien compté.	Il n'est pas bien compté.
CLEANDRE.	CLÉANDRE.
Que dis tu?	Que dis tu?
STREPHON.	STREPHON.
D4 Rien, Cleandre.	D4 Rien, Clandre.
CLEANDRE.	CLÉANDRE.
le ir rhy deſia dit, ie ne puis plus attendre.	le ir rhi déjà dit, on ne puis plus attendre.
STREPHON.	STREPHON.
bas.	bas.
Que ie ſuis malheureux en l’eſtat où ie ſuis!	Que ie suis malheureux en l'état où tu suis!
Ie ne vois point de fin à mes triſtes ennuis.	Je ne vois point de fin à mes tristes ennuis.
O Deſtin.	Ô Destin.
CLEANDRE.	CLÉANDRE.
Que dis-tu?	Que dis-tu?
STREPHON.	STREPHON.
Ie ne dis rſen, Cleandre.	Je ne dis rsen, Clandre.
CLEANDRE.	CLÉANDRE.
Ie te l’ay deſia dit, ie ne puis plus attendre.	Je te l'ai déjà dit, Seigneur ne puis plus attendre.
Mon argent, ie le veux.	Mon argent, Seigneur le veux.
STREPHON.	STREPHON.
Dieux!	Dieux!
que vous criez haut.	que vous criez haut.
bas Ce traiſtre me confond, & me met en defaut.	bas Ce traître me confond, et me met en défaut.
CLEANDRE Quand ie feray grand bruit, l’argẽt en vaut la peine.	CLEANDRE Quand ie ferai grand bruit, l'argent en vaut la peine.
STREPHON.	STREPHON.
A quoy ſert de crier?	À quoi sert de crier?
voſtre ſomme eſt certaine.	votre somme est certaine.
CLEANDRE.	CLÉANDRE.
Ie ſçay bien qu’elle l’eſt, mais ie veux de l’argent.	Je sais bien qu'elle l'est, mais tu veux de l'argent.
STREPHON.	STREPHON.
Vous faites plus de bruit qu’vn Recors de Sergent.	Vous faites plus de bruit qu'un Recors de Sergent.
CLEANDRE.	CLÉANDRE.
O que ie voy de vuide en ta pauure cert elle?	Ô que ici vois de vide en ta pauvre cert elle?
STREPHON.	STREPHON.
Si tu veux mieux parler, dis en mon eſcarcelle.	Si tu veux mieux parler, dis en mon escarcelle.
PERIANDRE.	PERIANDRE.
It mon argent enfin?	It mon argent enfin?
STREPHON.	STREPHON.
Veux-tu le principal?	Veux-tu le principal?
CLEANDRE.	CLÉANDRE.
Et l’intereſt auſſi ie le veux.	Et l'intérêt aussi ici le veux.
STR PHON.	STR PHON.
bas.	bas.
Le brutal!	Le brutal!
Ie croy qu’il eſt aiſé d’auoir l’vn comme l’autre.	Je crois qu'il est aisé d'avoir l' Homme l'autre.
Que dis-tu?	Que dis-tu?
CLEANDR.	CLÉANDR.
STREPHON.	STREPHON.
Qu’il faut bien que vous ayez le voſtre Le principal eſt preſt.	Qu'il faut bien que vous ayez le vôtre Le principal est prêt.
CLEANDRE.	CLÉANDRE.
Et l’intereſt auſſi?	Et l'intérêt aussi?
Ie le veux emporter auant qu’eſtre hors d’icy.	Je le veux emporter avant qu'être hors d'ici.
STREPHON.	STREPHON.
Ie vous le porteray;	Je vous le porterai;
retirez-vous, Cleandre.	retirez-vous, Clandre.
CLEANDRE.	CLÉANDRE.
Ie te l’ay dit vingt fois, ie ne puis plus attendre, Ie veux mon in treſt.	Je te l'ai dit vingt fois, on ne puis plus attendre, Je veux mon in trêt.
STREPHON.	STREPHON.
bas.	bas.
Il n’a point d’autre ton.	Il n'a point d'autre ton.
Va, tu meriterois mille coups de baſton.	Va, tu mériterais mille coups de bâton.
PERIANDRE.	PERIANDRE.
Que veut cet inſolent, Strephon?	Que veut cet insolent, Stréphon?
quelle diſpute?	quelle dispute?
Que dit-il, d’intereſt?	Que dit-il, d'intérêt?
parle.	parle.
STREPHON.	STREPHON.
Il me perſecute.	Il me persécute.
A cleandre.	À cléandre.
Le Pere de Liſtan que tu vois de retour, Payera l’intereſt iuſques au dernier iour.	Le Père de Listan que tu vois de retour, Payera l'intérêt jusques au dernier jour.
CLEANDRE.	CLÉANDRE.
Fais luy moy dõc payer?	Fais lui -moi domme payer?
ie ſuis preſt de le prendre.	Il suis prêt de le prendre.
STREPHON.	STREPHON.
Il ne fait qu’arriuer:	Il ne fait qu'arriver:
Es-tu point las d’attendre?	Es-tu point las d'attendre?
PERIANDRE.	PERIANDRE.
Que veut-il à mon Fils?	Que veut-il à mon Fils?
que parle-t’il d’argent?	que parle-t-il d'argent?
ondenes.	ondène.
STREPHON.	STREPHON.
C’eſt vn maraut qui n’a point d’entregent.	C'est un maraud qui n'a point d'entregent.
Voulez-vous m’obliger?	Voulez-vous m'obliger?
faites que l’on l’aſſomme Atoups de laes d’argent, cet impertinent homme.	faites que l'on l'assomme Atoups de laes d'argent, cet impertinent homme.
CLEANDRE.	CLÉANDRE.
Si c’eſt de ces coups là que tu me veux meurtrir, Tu vas ſans murmurer gayement me voir ſouffrir:	Si c'est de ces coups là que tu me veux meurtrir, Tu vas sans murmurer gaiement me voir souffrir:
Mais ie veux l’intereſt.	Mais a veux l'intérêt.
PERIANDRE.	PERIANDRE.
Que vous doit-on Cleandre?	Que vous doit-on Clandre?
Ie ſuis las de vous oüyr.	Je suis las de vous ouïr.
CLEANDRE Et moy plus las d’attendre.	CLÉANDRE Et moi plus las d'attendre.
STREPHON.	STREPHON.
Liſtan a pris de luy mil eſcus.	Listan a pris de belle mille écus.
PERIANDRE.	PERIANDRE.
La raiſon?	La raison?
STREPHON.	STREPHON.
C’eſtoit pour acheter vne belle maiſon.	C'était pour acheter une belle maison.
De qui?	De qui?
PERIANDRE.	PERIANDRE.
STREPHON.	STREPHON.
C’eſt.	C'est.
attendez, ma memoire eſt labile, Ie ne le puis trouuer?	attendez, ma mémoire est labile, Je ne le puis trouver?
d’vn Marchand de la Ville.	d'un Marchand de la Ville.
Promettez-luy, Monſieur, d'en faire le payement.	Promettez-lui, Monsieur, d'en faire le paiement.
PERIANDRE.	PERIANDRE.
Ie ne m’engage pas, Strephon, ſi promptement, Parlons de la maiſon:	Je ne m'engage pas, Stréphon, si promptement, Parlons de la maison:
quoy, l’a-t’il achetée?	quoi, l'a-t-il achetée?
STREPHON.	STREPHON.
Depuis quatre ou cinq iours.	Depuis quatre ou cinq jours.
PERIANDRE.	PERIANDRE.
Belle?	Belle?
bien ajuſtée?	bien ajustée?
Eſt-elle en bon quartier?	Est-elle en bon quartier?
pourrions-nous l’habitert Parle, ie meurs deſia de l’aller viſiter.	pourrions-nous l'habitert Parle, votre meurs déjà de l'aller visiter.
STREPHON.	STREPHON.
Ie vous y conduiray:	Je vous y conduirai:
mais contentez cet homme.	mais contentez cet homme.
PERIANDRE.	PERIANDRE.
Cleandre, c’eſt aſlez, ie reſpons de la ſomme.	Clandre, c'est aslez, Seigneur répons de la somme.
CLEANDRE Et de mes intereſts!	CLÉANDRE Et de mes intérêts!
car ie les veux auoir.	car ici les veux avoir.
PERIANDRE.	PERIANDRE.
Et l’intereſt auſſi:	Et l'intérêt aussi:
Venez icy ce ſoir, Ie vous les bailleray.	Venez ici ce soir, Je vous les baîllerai.
CLEANDRE ſortant.	CLÉANDRE sortant.
Me voicy hors de peine;	Me voici hors de peine;
Puis qu’il a répondu, ma debte eſt bien certaine.	Puis qu'il a répondu, ma détte est bien certaine.
PERIANDRE.	PERIANDRE.
Allons voir ce logis.	Allons voir ce logis.
STREPHON bas.	STREPHON bas.
O Dieux!	Ô Dieux!
ie ſuis perdu.	Il suis perdu.
PERIANDRE.	PERIANDRE.
Iſt-il en belle aſſierte?	Ist-il en belle assierte?
eſt il point trop vendu Reſpons-moy.	est il point trop vendu Responds-moi.
Que dis-tu?	Que dis-tu?
STREPHON.	STREPHON.
bas.	bas.
Quelle penible geſne!	Quelle pénible gêne!
Mõſieur, c’eſt deuãtvous, c’eſt la maiſon prochaine.	Massieur, c'est deuãtvous, c'est la maison prochaine.
PERIANDRE.	PERIANDRE.
En bonne foy, Strephon.	En bonne foi, Stréphon.
STREPHON.	STREPHON.
Oüy, c’eſt de bonne foy.	Oui, c'est de bonne foi.
bas.	bas.
Si vous la payez bien, c’eſt le Palais d’vn Roy	Si vous la payez bien, c'est le Palais d'un Roi
PÉRIANDRE.	PERIANDRE.
Que i’approuue, Liſtan, cette humeur ménagerei Ie te veux voir vn iour reſſembler à ton Pere.	Que j'approuve, Listan, cette humeur ménagereiAge te veux voir un jour ressembler à ton Père.
Frappes-y donc, Strephon?	Frappes-y donc, Stréphon?
allons, ie la veux voir.	allons, Seigneur la veux voir.
STREPHON bas Ce coup de foudre enfin abat tout mon eſpoir.	STREPHON bas Ce coup de foudre enfin abat tout mon espoir.
ILRTANDRE.	ILRTANDRE.
Appelle nous quelqu’vn.	Appelle nous quelqu’vn.
STREPHON.	STREPHON.
Le voiſin a des femmes Dont il diuertiſſoit ſes amoureuſes flâmes;	Le voisin a des femmes Dont il divertissait ses amoureuses flammes;
Afin de bien vſer de la ciuilité, Prenons & leur loiſir & leur commodité.	Afin de bien user de la civilité, Prenons et leur loisir et leur commodité.
PERIANDRE.	PERIANDRE.
C’eſt mon intention, va prendre la loy d’elles.	C'est mon intention, va prendre la loi d'elles.
STREPHON.	STREPHON.
telles, Grands Dieux!	telles, Grands Dieux!
déliurez-moy de ces frayeurs morIe ſuis au bout du champ, ie ne puis plus courir, Ie m’en vais échoüer, ie ſuis preſt de perir.	délivrez-moi de ces frayeurs morIe suis au bout du champ, Seigneur ne puis plus courir, Je m'en vais échoüer, ils suis prêt de périr.
Mais on ouure:	Mais on ouvre:
O bons Dieux!	Ô bons Dieux!
c’eſt Criſaure luymeſme, Cherchõs pour le trõper quelque prõt ſtratageme, Reſvons, il en eſt temps, & taſchons d’empeſcher Le bris de mon Vaiſſeau ſur ce fatal rocher.	c'est Crisaure luymesme, Cherchons pour le trõper quelque prînt stratagème, Rêvons, il en est temps, et tâchons d'empêcher Le bris de mon Vaisseau sur ce fat rocher.
SCENE V.	SCÈNE V.
CRISAVRE, ST REPHON.	CRISAURE, ST RÉPHON.
PERIANDRE.	PERIANDRE.
CRISAVRE ſeul.	CRISAURE seul.
Amais ie ne veſcus auec tant d’elegance, I Iamais l’on ne me fir vn régal d’importance Comparable à celuy que ie viens d’auler.	Amais ie ne vécus avec tant d'élégance, I Jamais l'on ne me sir un régal d'importance Comparable à celui que je viens d'auler.
Ce qu’enfante la terre, & ce que produit l’air, Mis en biſque ou ragouſt auec le jus d’orange, Aupres de ces grands mets, ne ſont que de la fange.	Ce qu'enfante la terre, et ce que produit l'air, Mis en bisque ou ragoût avec le jus d'orange, Auprès de ces grands mets, ne sont que de la fange.
Ma femme m’a traitté délicieuſement.	Ma femme m'a traité délicieusement.
Mais elle veut trop vendre vn ſi bon traittement, Elle ſe veut coucher, & veut la ſenſuelle, Qu’encore qu’il ſoit iour ie me couche auec elle, Mais ie me ſuis moqué de ſes vœux trop ardens, Ha!	Mais elle veut trop vendre un si bon traitement, Elle se veut coucher, et veut la sensuelle, Qu'encore qu'il soit jour ie me couche avec elle, Mais je me suis moqué de ses vœux trop ardents, Ha!
qu’elle fait le diable à preſent la-dedans.	qu'elle fait le diable à présent la-dedans.
STREDHON bas.	STREDHON bas.
Il eſt en belle humeur.	Il est en belle humeur.
CRISAVRE.	CRISAURE.
Au diantre la carogne, Sous ombrequ’elle eſt riche, elle chãte, elle grogne, Elle veut que ie ſois facile & complaiſant A tout ce qu’il luy plaiſt:	Au diantre la carogne, Sous ombrequ'elle est riche, elle vite, elle grogne, Elle veut que je sois facile et complaisant À tout ce qu'il avait plaît:
ha l’eſprit ſuffiſant:	ha l'esprit suffisant:
I’enrage tous les iours qu’il faille vſer ma vie Auec cette enragée, & ſuiure ſon enuie, C’eſt biẽ malgré mes dẽts.	J'enrage tous les jours qu'il faille user ma vie Avec cette enragée, et suivre son envie, C'est bien malgré mes donts.
Vous autres gardez vous Et d'vne femme riche, & d’vn eſprit ialoux.	Vous autres gardez vous Et d'une femme riche, et d'un esprit jaloux.
STREPHON.	STREPHON.
O le braue garçon!	Ô le brave garçon!
ie reprens bon courage, Ie m’en vais luy parler, ſans reſver dauantage.	ie reprens bon courage, Je m'en vaisblé parler, sans rêver davantage.
Bon jour, Seigneur Criſaure, officieux amy, Dont l’eſprit bien-faiſant ne ſert point a demy, Les Dieux ſoient auec vous.	Bon jour, Seigneur Crisaure, officieux ami, Dont l'esprit bienfaisant ne sert point à demi, Les Dieux soient avec vous.
CRISAVRE.	CRISAURE.
Et qu’ils te ſoient propices, He uiun que men cœur?	Et qu'ils te soient propices, He uiun que men cœur?
STREPHON.	STREPHON.
Mes fideles ſeruices S’en vont dans le rebut, negligez deſormais, Et mes fers plus ſerrez qu’ils ne furent iamais.	Mes fidèles services S'en vont dans le rebut, négligez désormais, Et mes fers plus serrés qu'ils ne furent jamais.
Eſtrange changement:	Étrange changement:
triſte metamorphoſe:	triste métamorphose:
ERISAVRE.	ERISAURE.
Il faut qu’il ſoit bien grãd, mais cõte m’en la cauſe.	Il faut qu'il soit bien grande, mais coûte m'en la cause.
Liſtan eſt ton bon Maiſtre, & vous viuez chez vous Parmuy des paſſetemps qui me ſemblent bien doux:	Listan est ton bon Maître, et vous vivez chez vous Parmui des passetemps qui me semblent bien doux:
Vous gouſtez les plaiſirs où l’age vous conuie, Et donnez à vos ſens tous les biens de la vie.	Vous goûtez les plaisirs où l'age vous convie, Et donnez à vos sens tous les biens de la vie.
STREPHON.	STREPHON.
Helas!	Hélas!
c’eſtoit iadis;	c'était jadis;
mais tout eſt bien changé, Dãs vn gouffre d’ennuis les Dieux nous ont plógé.	mais tout est bien changé, Dans un gouffre d'ennuis les Dieux nous ont plógé.
CRISAVRE.	CRISAURE.
Comment?	Comment?
que veux-tu dire?	que veux-tu dire?
STREPHON.	STREPHON.
Vn orage effrorable Briſe noſtre Navire, & le met ſur le ſable.	Un orage effrorable Brise notre Navire, et le met sur le sable.
CRISAVRE Ce beau raiſonnement ne m’a guere échairey.	CRISAURE Ce beau raisonnement ne m'a guère échairei.
F iij	 Fij
STREPHON.	STREPHON.
Que voulez-vous de plus?	Que voulez-vous de plus?
Periandre eſt icy,	Périandre est ici,
Periandre?	Périandre?
CRISAVRE.	CRISAURE.
STREPHON.	STREPHON.
C’eſt luy.	C'est lui.
CRISAVRE.	CRISAURE.
Strephon, garde la corde, Tes affaires vont mal.	Stréphon, garde la corde, Tes affaires vont mal.
STREPHON.	STREPHON.
Grace, miſericorde, C’eſt de vous que i’attẽs mõ plus preſſant ſecours, Seigneur, voꝰ pouuez toutdeſormais ſur mes iours, Ne nous décelez pas, vous ſçauez nos dépenſes, Vous ſçauez nos excés & nos intemperances, Cachez les, s’il vous plaiſt, ne les découurez point.	Grâce, miséricorde, C'est de vous que j'attends mon plus pressant secours, Seigneur, vo pouuez toutdesormais sur mes jours, Ne nous décès pas, vous savez nos dépenses, Vous avez nos excès et nos intempérances, Cachez les, s'il vous plaît, ne les découvrez point.
