A MONSIEVR ANGLVRE ONSIEVR	À MONSIEUR ANGLURE ONSIEUR
ce ne ſont pas là de ces femmes du temps- Qui ne liſent iamais que billets de Gallands, Preſtez-moy l’Oraiſon, femme en vertus inſigne	ce ne sont pas là de ces femmes du temps- Qui ne lisent jamais que billets de Galants, Prêtez-moi l'Oraison, femme en vertus insigne
ISABELLE.	ISABELLE.
Il faut ieuſner rrois iours afin d’en eſtre digne;	Il faut jeûner rois jours afin d'en être digne;
Mais ieuſ ner cõme il faut, au pain tout ſec à l’eau, Se bien diſcipliner, quitter le bon morceau, Quitter l’exelent vin, le chapon & la biſque.	Mais jeûr cer comme il faut, au pain tout sec à l'eau, Se bien discipliner, quitter le bon morceau, Quitter l'exelent vin, le chapon et la bisque.
TRAPOLIN.	TRAPOLIN.
De ne la yoir iamais ie cours donc vn grand riſque, Quitter mes bons amis, les bons vins, les chapons, Vne longe de veau vaut mieux que cent leçons, Ieuſner, ie ſuis trop paſle, Iſabelle eſt ſi maigre, Ie veux m’entretenir dans mon humeur alaigre, Gardez voſtre billet, il me met en couroux, Belle, ieuſné pour moy, ie mangeray pour vous,	De ne la yoir jamais rien cours donc un grand risque, Quitter mes bons amis, les bons vins, les chapons, Une longe de veau vaut mieux que cent leçons, Jeuner, je suis trop pâle, Isabelle est si maigre, Je veux m'entretenir dans mon humeur alaigre, Gardez votre billet, il me met en courroux, Belle, ieusné pour moi, ie mangeray pour vous,
ISABELLE.	ISABELLE.
Laiſſe-moy, ie te prie, auecque ce bon pere, I'ayme de ce Docteur le conſeil ſalutaire.	Laisse-moi, Madame te prie, avec ce bon père, J'aime de ce Docteur le conseil salutaire.
SCENE XVII.	SCÈNE XVII.
LE DOCTEVR, ISABELLE,	LE DOCTEUR, ISABELLE,
LE DOCTEVR.	LE DOCTEUR.
E voulez-vous iamais me laiſſez en repos, Vous plaindrez-vous toûjours par de nouueaux propos.	ELLE voulez-vous jamais me laissez en repos, Vous plaindrez-vous toujours par de nouveaux propos.
ISABELLE.	ISABELLE.
uoy voulez-vous, Monſieur, que i’endure ſans ceſſe, Les perſecutions d’vne ſotte ieuneſſe?	Uuoi voulez-vous, Monsieur, que j'endure sans cesse, Les persécutions d'une sotte jeunesse?
le ne vous feray plus mes plaintes ſans mentir, Mon mary ſçaura tout, ie vay l’en aduertir, le meſnage cecy comme vne femme ſage, Mais il faut que i’éclate aprés vn tel outrage.	le ne vous ferai plus mes plaintes sans mentir, Mon mari saura tout, tu vais l'en avertir, le ménage ceci comme une femme sage, Mais il faut que j'éclate après un tel outrage.
LE DOCTEVR.	LE DOCTEUR.
Ielas!	Jélas!
n’éclatez pas, car naturellement a femme éclate aſſez de ſon temperamment, que vous a t’il donc fait de nouueau, ie vous prie.	n'éclatez pas, car naturellement a femme éclate assez de son tempéramment, que vous a t'il donc fait de nouveau, je vous prie.
ISABELLE.	ISABELLE.
e plus ſanglant affront, Ah!	Je plus sanglant affront, Ah!
i’enſuis en furie.	j'ensuis en furie.
Il ſçait que mon eſpoux eſt hors de la maiſon, Qu’il eſt à la campagne, & ce traiſtre garçon:	Il sait que mon époux est hors de la maison, Qu'il est à la campagne, et ce traître garçon:
Mais il faut bien qu’il ait l’eſprit diabolique, Voyant la grande ruſe où ſon eſprit s’applique;	Mais il faut bien qu'il ait l'esprit diabolique, Voyant la grande ruse où son esprit s'applique;
Enfin il eſt venu par le mur du iardin, A monté par deſſus, & s’eſt gliſſé ſoudain, Tout le long d’vn figuier.	Enfin il est venu par le mur du jardin, À monté par -dessus, et s'est glissé soudain, Tout le long d'une figuier.
& ſans ſe faire entendre, Eſt venu iuſtement au deſſous de ma chambre, A grimpé comme vn chat, & ſi ſubtilement, Qu’il eſt enfin entré dans mon appartement, Ma pudeur s’eſt émeuë, & d’vne telle ſorte, Que long-temps il m’a creuë vne perſonne mone, Ma vertu	et sans se faire entendre, Est venue justement au dessous de ma chambre, A grimpé comme un chat, et si subtilement, Qu'il est enfin entré dans mon appartement, Ma pudeur s'est émue, et d'une telle sorte, Que longtemps il m'a crue une personne mone, Ma vertu
LE DOCTEVR.	LE DOCTEUR.
N’a-t’il rien fait à cette vertu?	N'a-t-il rien fait à cette vertu?
ISABELLE.	ISABELLE.
Ah!	Ah!
Ie l’ay fait ſortir & l'ay ſi bien battu, Qu’il ſçait bien à preſẽt de qu’il bois ie me chauffr, Et ſi ie ſuis fidelle, où de legere eſtoffe.	Je l'ai fait sortir et l'ai si bien battu, Qu'il sais bien à présent de qu'il boisa ie me chauffr, Et si tu suis fidèle, où de légère étouffe.
LE DOCTEVR.	LE DOCTEUR.
Cette eſtoffe n’eſt pas de l’eſtoffe du temps, Nature n’en peut plus trouuer chez les marchands Auſſi n’en fait-on plus de cette belle eſtoffe, Vous valez Sage femme, vn ſage Philoſophe.	Cette étoffe n'est pas de l'étoffe du temps, Nature n'en peut plus trouver chez les marchands Aussi n'en fait-on plus de cette belle étouffe, Vous valez Sage femme, un sage Philosophe.
ISABELLE.	ISABELLE.
Allez luy dire donc qu’il cache ſon ardeur, Pour la derniere fois ie vous parle Docteur, Ie ne plaindray plus, mais ſi plus il m’outrage, Et s’il me prend iamais pour autre qu’vne ſage, Si pour m’oſter l’honneur il fait aucun effort, Ie luy feray donner cent coups apres ſa mort.	Allez lui dire donc qu'il cache son ardeur, Pour la dernière fois tu vous parle Docteur, Je ne plaindrai plus, mais si plus il m'outrage, Et s'il me prend jamais pour autre qu'une sage, Si pour m'ôter l'honneur il fait aucun effort, Je suis ferai donner cent coups après sa mort.
LE DOCTEVR.	LE DOCTEUR.
On le rencontreray-ie, il va perdre la vie, Car cette Sage-femme eſt en grande furie.	On le rencontrerai-je, il va perdre la vie, Car cette Sage-femme est en grande furie.
SCENE XVIII.	SCÈNE XVIII.
LEANDRE, LE DOCTEVR	LÉANDRE, LE DOCTEUR
LE DOCTEVR.	LE DOCTEUR.
E bien qu’en dites-vous, vous a-t’on bis frotté?	E bien qu'en dites-vous, vous a-t-on bis froté?
LEANDRE.	LÉANDRE.
Comment?	Comment?
inſtruiſez-moy de cette nouueauté,	instruisez-moi de cette nouveauté,
LE DOCTEVR.	LE DOCTEUR.
Tu faits donc l’ignorant ahi grimpeur de muraill Comme aux méchans cheuaux il te faut des me railles.	Tu faits donc l'ignorant ahi grimpeur de muraill Comme aux méchants chevaux il te faut des me railles.
LEANDRE.	LÉANDRE.
Mon pere inſtruiſez-moy, que veut dire cecy	Mon père instruisez-moi, que veut dire ceci
LE DOCTEVR.	LE DOCTEUR.
eCette Dam, fripon, vient encores d’icy, Elle s’eſt plainte à moy d’vne nouuelle offence, Et m’a dit qu’ayant ſçeu de ſon mary l’offence, Tu t’es comme vn pendart gliſſe dans ſa maiſoi Et que pour arriuer à cette trahiſon,	éCette Dam, fripon, vient encor d'ici, Elle s'est plainte à moi d'une nouvelle offense, Et m'a dit qu'ayant su de son mari l'offense, Tu t'es comme un pendard glisse dans sa maisoi Et que pour arriver à cette trahison,
Tu t'es ietté dedans par deſſus la muraillę De meſme qu’vn voleur, & qu’vn frane rien qui vaille, Que le long d’vn figuier tu t’es laiſſé gliſſer, Et qu’apres le iardin ayant ſçeu trauerſer, Tu t’es ainſi qu’vn chat lancé dans ſa feneſtre, Ou dés le meſme inſtant qu’elle t’a veu paraiſtre, Elle a fain mention de ſa grande vertu, S’eſt paſmée à tes yeux, & puis t’a bien batu :	Tu t'es jeté dedans par dessus la muraillę Et même qu'un voleur, et qu'elle frane rien qui vaille, Que le long d'Han figuier tu t'es laissé glisser, Et qu'après le jardin ayant su traverser, Tu t'es ainsi qu'un chat ancé dans sa fenêtre, Ou dès le même instant qu'elle t'a vu paraître, Elle a sain mention de sa grande vertu, S'est pâmée à tes yeux, et puis t'a bien batu :
Mais tu mourras s’il faut que ſon mary le ſçache,	Mais tu mourras s'il faut que son mari le sçache,
LEANDRE.	LÉANDRE.
Docteur, vous m'inſtruiſez plus que vous ne pẽſez, Mes feux par vos aduis ſe verront appaiſez.	Docteur, vous m'instruisez plus que vous ne pensez, Mes feux par vos avis se verront apaisez.
LE DOCTEVR.	LE DOCTEUR.
Enfin il faut guerir le mal qui vous poſſede.	Enfin il faut guérir le mal qui vous possède.
LEANDRE.	LÉANDRE.
Allez vous m'en venez d’apprendre le remede.	Allez -vous m'en venez d'apprendre le remède.
LE DOCTEVR.	LE DOCTEUR.
Vous voila me croyant plus heureux à mon gré,	Vous voilà me croyant plus heureux à mon gré,
LEANDRE.	LÉANDRE.
Pas encor, mais dans peu Docteur ie le ſeray.	Pas encor, mais dans peu Docteur Seigneur le serai.
LE DOCTEVR.	LE DOCTEUR.
A dieu, trauaillez-donc à vous rendre plus ſage,	À dieu, travaillez-donc à vous rendre plus sage,
LEANDRE.	LÉANDRE.
Oüy ie vay trauailler, & pour nion auantage	Oui ici vais travailler, et pour nion avantage
Nfin de tous coſtez la gloire m’enuironne, Pour le bien des maris dans les champs de Bellonne, I’ay deffait les Coquets, on n’en parlera plus, Nous viurons en repos, les galands ſont vaincus, I’ay razé leur chaſteaux, i’ay ſacagé leurs villes I’ay démoly leurs forts, i’ay deſolé leurs Iſles, Et noſtre Republique eſt ſi bien en repos, Qu'on me doit ce qu’on doit aux plus vaillant Heros.	Nfin de tous côtés la gloire m'environne, Pour le bien des maris dans les champs de Bellonne, J'ai défait les Coquets, on n'en parlera plus, Nous vivrons en repos, les galants sont vaincus, J'ai razé leur châteaux, j'ai sacagé leurs villes J'ai démoli leurs forts, j'ai désolé leurs Isles, Et notre République est si bien en repos, Qu'on me doit ce on doit aux plus vaillant Héros.
Ma belle.	Ma belle.
TRAPOLIN en ſentinelle.	TRAPOLIN en sentinelle.
Qui va là?	Qui va là?
LE CAPITAN.	LE CAPITAN.
Mary couuert de gloire, Mary, mary qui vient d’emporter la victoire, Mais écoute, ie vais te faire le portrait, Du plus aſpre combat qui iamais ſe ſoit fait, Et iamais Atropos auec ſa paſle trogne, Ne receut tant de gloire, & n’eût tant de beſongne Auſſi-toſt que ie fus dans le camp des maris, Dont ie fus General, l’ennemy fut ſurpris, Il ſe met en bataille, & nous veut reconnoiſtre, Ie mets l’ordre pat tout & le vo yant paroiſtre.	Mari couvert de gloire, Mari, mari qui vient d'emporter la victoire, Mais écoute, Seigneur vais te faire le portrait, Du plus âpre combat qui jamais se soit fait, Et jamais Atropos avec sa pôle trogne, Ne reçut tant de gloire, et n'eût tant de besongne Aussitôt que je fus dans le camp des maris, Dont ie pu Général, l'ennemi fut surpris, Il se met en bataille, et nous veut reconnaître, Je mets l'ordre pat tout je mets l' ordre paroistre.
Ie le vay receuoir auec quatre eſcadrons, De laloux ie tez con duits par les ſoubçons, Chefs aſſez redoutez dans l’armée ennemie|, Et dont l’ame iamais ne parût endormie:	Je le vais recevoir avec quatre escadrons, De laloux fait té con duits par les soubçons, Chefs assez redoutez dans l'armée ennemie, Et dont l'âme jamais ne part endormie:
Là, nous nous attaquons auec tant de fierté, Que la victoire va d’vn & d’autre coſté;	Là, nous nous attaquons avec tant de fierté, Que la victoire va d'un et d'autre côté;
Ie vole à l’aile droite, & ie cours à la gauche, Ie frape inceſſamment, comme vn pré ie la fauche, Et pour toſt acheuer, courant de rang en rang;	Je vole à l'aile droite, et notre cours à la gauche, Je frappe incessamment, comme un pré te la fauche, Et pour tôt achever, courant de rang en rang;
Pour les noyer ie faits vne mer de leur ſang.	Pour les noyer Elle faits une mer de leur sang.
I’admiray la valeur de quelques Alcouiſtes, Ie leur criay quartier, ainſi qu’aux Ruelliſtes, Ils n’en voulurent point, & i’aimay leur valeur, Et ne dédaignay pas d’en eſtre le vainqueur, Le regiinent contant nt merueille, ſit rage, L’inconſtant prit la fuite, & manqua de courage, Les Blõdins tout d’vn coup nous lacherent le pied, Et les voyant ſans cœur, ils me firent pitié, 2 La fortune par tout nous f- craindre dans l’ame:	J'admirai la valeur de quelques Alcouistes, Je leur criai quartier, ainsi qu'aux Ruellistes, Ils n'en voulurent point, et j'aimai leur valeur, Et ne dédaignai pas d'en être le vainqueur, Lé giinent contant n éveille, sit rage, L'inconstant prit la fuite, et manqua de courage, Les Blõdins tout d'un coup nous lâchèrent le pied, Et les voyant sans cœur, ils me firent pitié, 2 La fortune par tout nous f- craindre dans l'âme:
Mais comme la victoire eſt vne Sage femme, Elle ſe vient ranger du coſté des Maris, Me fit maiſtre du camp, & nous donna le prix, Maris ne craignez plus, viuez ſans ialouſie, I’ay conquis le païs de la Coquetterie.	Mais comme la victoire est une Sage femme, Elle se vient ranger du côté des Maris, Me fit maître du camp, et nous donna le prix, Maris ne craignez plus, vivez sans jalousie, J'ai conquis le pays de la Coquetterie.
TRAPOLIN.	TRAPOLIN.
Moy, i’ay ſauuay la vie à certain garde bien:	Moi, j'ai sauvai la vie à certain garde bien:
LE CAPITAN.	LE CAPITAN.
Et comment as-tu fait?	Et comment as-tu fait?
TRAPOLIN.	TRAPOLIN.
Ma foy ie n’en ſçais rien, Sans tant verſer de ſang, ſans ſe mettre en furie, Sans ſe pener beaucoup, mon bras ſauue la vie.	Ma foi quelque n'en sais rien, Sans tant verser de sang, sans se mettre en furie, Sans se pener beaucoup, mon bras sauve la vie.
LE CAPITAN.	LE CAPITAN.
Allõs toſt voir ma femme, ouurez la porte, ouurez.	Allons tôt voir ma femme, ouvrez la porte, ouvrez.
SCENE XV.	SCÈNE XV.
ISABELLE àlaſeneſtre, LEANDRE, TRAPOLIN, LE CAPITAN.	ISABELLE àlasenestre, LÉANDRE, TRAPOLIN, LE CAPITAN.
LEANDRE.	LÉANDRE.
HElas;	HÉlas;
que ferons-nous.	que ferons-nous.
LE CAPITAN.	LE CAPITAN.
Ouurez toſt dápeſchez,	Ouvrez tôt dápeschez,
ISABELLE.	ISABELLE.
Dieux que ie crains pour moy.	Dieux que grands crains pour moi.
LEANDRE.	LÉANDRE.
0 Moy ie crains pour vous-meſme,	0 Moy ie crains pour vous-mesme,
Nous voila l’vn & l’autre en vn peril extréme.	Nous voilà l'Hommes et l'autre en un péril extrême.
TRAPOLIN.	TRAPOLIN.
Ouurez, la vertu meſme.	Ouvrez, la vertu même.
LE CAPITAN.	LE CAPITAN.
Ouurez-donc, & comment Trapolin d’où procede vn tel retardement?	Ouvrez-donc, et comment Trapolin d'où procède un tel retardement?
TRAPOLIN.	TRAPOLIN.
Mla foy, ie n’en ſçay rien, ie ne ſuis pas vn diable	Mla foi, Seigneur n'en sais rien, je ne suis pas un diable
LE CAPITAN.	LE CAPITAN.
Et qui le doit ſçauoir malheureux, miſerable, Ie deuois tout occir quelque dariolet qui n’aura pas oſé me preſter le collet, Qui ſe ſera ſauué comme vn poltron infame, En trahiſon ſera venu trouuer ma femme, Voila le fort ſurpris malgré le qui vala, Aux armes Trapolin.	Et qui le doit savoir malheureux, misérable, Je devais tout occir quelque dariolet qui n'aura pas osé me prêter le collet, Qui se sera sauvé comme un poltron infâme, En trahison sera venu trouver ma femme, Voila le fort surpris malgré le qui vala, Aux armes Trapolin.
TRAPOLIN.	TRAPOLIN.
Tout doux mon maiſtre hola.	Tout doux mon maître holà.
N’auiez-vous pas conquis, dites ſans raillerie, Le Royaume important de la Coquetterie, Dites donc grand vainqueur.	N'aviez-vous pas conquis, dites sans raillerie, Le Royaume important de la Coquetterie, Dites donc grand vainqueur.
LE CAPITAN.	LE CAPITAN.
Oüy, ouy i’en ſuis patron, I'en ſuis maiſtre abſolu.	Oui, oui j'en suis patron, J'en suis maître absolu.
TRAPOLIN.	TRAPOLIN.
Qu’apprehendez-vous donc,	Qu'appréhendez-vous donc,
EDCRPITAN.	EDCRPITAN.
Ie crains qu’on m’ait ioüé d’vn tour de vieille guerre, Ouurez, ou ie mettray cette maiſon par terre.	Je crains qu'on m'ait joué d'un tour de vieille guerre, Ouvrez, ou toujours mettrai cette maison par terre.
ISABELLE à la feneſtre.	ISABELLE à la fenêtre.
Comment ſortirez-vous.	Comment sortirez-vous.
LEANDRE.	LÉANDRE.
Ne vous penez de rien, Allez, allez ouurir, ie ſortiray fort bienFaites fort l’effrayée, & criez la premiere, Selon que i’agiray, ſecondez ma maniere.	Ne vous penez de rien, Allez, allez ouvrir, Elle sortirai fort bienFaites fort l'effrayée, et criez la première, Selon que j'agirai, secondez ma manière.
Il faut.	Il faut.
Il luy parle à l’oreille.	Il avait parle à l'oreille.
ISABELLE.	ISABELLE.
Oüy i’entends bien, ah!	Oui j'entends bien, ah!
Monſieur,	Monsieur,
LE CAPITAN Voyant ſortir vn Phantoſmne.	LE CAPITAN Voyant sortir un Phantosmne.
1 Qu’auez-vous?	1 Qu'avez-vous?
Qu’auez-vous?	Qu'avez-vous?
Mais que vois-ie?	Mais que vois-je?
TRAPOLIN.	TRAPOLIN.
Ah!	Ah!
le Diable eſt chez nous, E iij C’eſt bien pis qu’vn Amant, mon ame eſt effrayés Et la frayeur a fait de la galimafrée, Dans mes chauſſes, l’ſEprit ayez pitié de moy, A vos genoux ie ſuis tres-ſoümis par ma foy.	le Diable est chez nous, EStij à bien pis qu'un Amant, mon âme est effrayés Et la frayeur a fait de la galimafrée, Dans mes chausses, l'EPrit ayez pitié de moi, À vos genoux ie suis très-soümis par ma foi.
LE CAPITAN.	LE CAPITAN.
Ie ſuis tranſi de peur, l’Eſprit, ie vous honnore, C’eſt l’ombre d’vn Amant qui me pourſuit encore, Vne ſeconde fois pour vaincre les Amans, Les iray-ie chercher dedans leurs monumens.	Je suis transi de peur, l'Esprit, je vous honore, C'est l'ombre d'un Amant qui me poursuit encore, Une seconde fois pour vaincre les Amants, Les irai-je chercher dedans leurs monuments.
LEANDRE en eſprit.	LÉANDRE en esprit.
Capitan, Trapolin, rendez-moy vos eſpées,	Capitan, Trapolin, rendez-moi vos épées,
LE CAPITAN.	LE CAPITAN.
Les voila, qui de ſang ſont encore trempées.	Les voilà, qui de sang sont encore trempées.
LEANDRE.	LÉANDRE.
Il n’en eſt plus beſoin, ta femme à la vertu, Mais braué Trapolin, dis-moy, me connois-tu!	Il n'en est plus besoin, ta femme à la vertu, Mais bravé Trapolin, dis-moi, me connais-tu!
TRAPOLIN.	TRAPOLIN.
Fort mal, & ie ne veux iamais vous mieux connoiſtre,	Fort mal, et Seigneur ne veux jamais vous mieux connaître,
LEANDRE au Capitan.	LÉANDRE au Capitan.
Et vous.	Et vous.
LE CAPITAN.	LE CAPITAN.
Tout auſſi mal, veillez-vous diſparoiſtie.	Tout aussi mal, veillez-vous disparoistie.
LEANDRE.	LÉANDRE.
Ie ſuis l’ombre de l’vn de tes meilleurs parens, Qui tandis que tu vas deſoler les Galants, Veille comme il le faut à l’honneur de ta femme, Ie te puis aſſeurer qu’elle eſt honneſte dame;	Je suis l'ombre de l'vn de tes meilleurs parents, Qui tandis que tu vas désoler les Galants, Veille comme il le faut à l'honneur de ta femme, Je te puis assurer qu'elle est honnête dame;
La plus haute vertu par tout luy doit ceder:	La plus haute vertu par tout belle doit céder:
Mais s’il l’a faut garder, ie la viendray garder.	Mais s'il l'a faut garder, on la viendrai garder.
Adieu Pluton m’attend, ie vais en l’autre monde.	Adieu Pluton m'attend, Elle vais en l'autre monde.
LE CAPITAN à ſa ſemme.	LE CAPITAN à sa semme.
Ah!	Ah!
vertu ſans pareille, ah!	vertu sans pareille, ah!
vertu ſans ſeconde.	vertu sans seconde.
SABELLE à Lendre.	SABELLE à Lendre.
Belle ombre, ou fuyez-vous, helas' embraſſez moy.	Belle ombre, ou fuyez-vous, hélas' embrassez -moi.
Bel eiprit.	Bel eiprit.
LEANDRE.	LÉANDRE.
Receuez ces marques de ma foy, Ie vous promets icy que iuſques dans la tombe, Mon cœur vous ſeruira d’eternelle hecatombe.	Recevez ces marques de ma foi, Je vous promets ici que jusques dans la tombe, Mon cœur vous servira d'éternelle hécatombe.
TRAPOLIN.	TRAPOLIN.
nruubianent.	nrubianent.
LE CAPITAN.	LE CAPITAN.
N’importe, ah!	N'importe, ah!
ma femme eſt ſans peur.	ma femme est sans peur.
TRAPOLIN.	TRAPOLIN.
Empeſchez-le.	Empêchez-le.
LE CAPITAN.	LE CAPITAN.
Non pas il veille à ſon honneur.	Non pas il veille à son honneur.
Que cét eſprit eſt bon, & qu’il eſt raiſonnable,	Que cet esprit est bon, et qu'il est raisonnable,
TRAPOLIN.	TRAPOLIN.
l'eſprit à de l'eſprit.	l'esprit à de l'esprit.
LEANDRE voulant embraſſer Trapolin.	LÉANDRE voulant embrasser Trapolin.
Mon cher.	Mon cher.
TRAPOLIN.	TRAPOLIN.
Allez au Diable;	Allez au Diable;
LE CAPITIAN.	LE CAPITIAN.
dieu, Moyſieur l’Eſprit.	dieu, Moisieur l'Esprit.
LEANDRE.	LÉANDRE.
A dieu, ſongez bien tous A ne mettre iamais de gardien chez vous.	À dieu, songez bien tous À ne mettre jamais de gardien chez vous.
LE CAPITAN.	LE CAPITAN.
Non, ie n’en mettray plus, ma femme eſt par tror ſag c A ſa rare vertu ie ferois trop d’outrage, Me voila trop heureux, car me voila vainqueul Et de plus le mary d’vne femme d’honneur.	Non, Seigneur n'en mettrai plus, ma femme est par tror sag ç A sa rare vertu était ferais trop d'outrage, Me voilà trop heureux, car me voilà vainqueul Et de plus le mari d'une femme d'honneur.
TRAPOLIN.	TRAPOLIN.
Au diable les maris auec leur ialouſie, Ie n’ay iamais receu plus de peur de ma vie, Ne ſoyez plus ialoux de peur d’eſtre repris, Et de trouuer chez vous de ſemblable eſprits.	Au diable les maris avec leur jalousie, Je n'ai jamais reçu plus de peur de ma vie, Ne soyez plus jaloux de peur d'être repris, Et de trouver chez vous de semblable esprits.
LEANDRE.	LÉANDRE.
A dieu, ſongez bien tous A ne mettre iamais de gardien chez vous.	À dieu, songez bien tous À ne mettre jamais de gardien chez vous.
LE CAPITAN.	LE CAPITAN.
Non, ie n’en mettray plus, ma femme eſt par tror ſag c A ſa rare vertu ie ferois trop d’outrage, Me voila trop heureux, car me voila vainqueul Et de plus le mary d’vne femme d’honneur.	Non, Seigneur n'en mettrai plus, ma femme est par tror sag ç A sa rare vertu était ferais trop d'outrage, Me voilà trop heureux, car me voilà vainqueul Et de plus le mari d'une femme d'honneur.
TRAPOLIN.	TRAPOLIN.
Au diable les maris auec leur ialouſie, Ie n’ay iamais receu plus de peur de ma vie, Ne ſoyez plus ialoux de peur d’eſtre repris, Et de trouuer chez vous de ſemblable eſprits.	Au diable les maris avec leur jalousie, Je n'ai jamais reçu plus de peur de ma vie, Ne soyez plus jaloux de peur d'être repris, Et de trouver chez vous de semblable esprits.
