A ROVEN, Chez THEODORE REINSART, pres le Palais, à l’Homme Aimé.	A ROUEN, Chez THEODORE REINSART, pres le Palais, à l'Homme Aimé.
Car ſi comme Foriune habile au changement, Des hommes les deſſeins culbute en vn moment Ie mourois de ſa main, ſans dout e voſtre vie, Seroit auec la mienne au meſme inſtant rauie.	Car si comme Foriune habile au changement, Des hommes les desseins culbute en un moment Je mourais de sa main, sans dout eût être vie, Serait avec la mienne au même instant ravie.
Voila pourquoy Madame, il faut craindre ſur ton De ne conduire pas telle entrepriſe à bout.	Voilà pourquoi Madame, il faut craindre sur ton De ne conduire pas telle entreprise à bout.
Ie n’ay pour moy de peur ſinon que s’il metuë, I'entrepaſe auſti iost luy ſera fort counuë.	Je n'ai pour moi de peur sinon que s'il métue, J'entrepase austi y lui sera fort counue.
Roſem.	Rosem.
rentez donc Peredee, & bien ſubtilement Propoſez luy combien de riche aduancement il aura ar mapan, roas aidant à pa ſaire Vn acte peur le bien dus pablic ſalutaire.	rentez donc Pèrede, et bien subtilement Proposez nom combien de riche avancement il aura ar mapan, roas aidant à pays zaïre Un acte peur le bien dus pablic salutaire.
Alm.	Alm.
Ie le voy ſeul Madame il veus faut retirer Sans doute auecquesuous ie m’en vay l’atirer.	Je le vois seul Madame il veux faut retirer Sans doute auecquesuous avait m'en vais l'atirer.
Pered.	Pèred.
Que vous ſemble Almachilde auioudd'huy l’inſabrie Sous la loy des Lombærds ſe void aſſuictie:	Que vous semble Almachille aujoud'hui l'insabrie Sous la loi des Lombrds se voit assuitie:
Sentez, vous point en vous quelque éqoinçonnement Ioſtre Eſprit chatouiller d’vn neuf contentement?	Sentez, vous point en vous quelque éqoinçonnement Re Esprit chatouiller d'un neuf contentement?
A m.	À m.
Cuit in eijamtinmenamuh & dmitalle De voir ſous les Lomba ds ce beas ſeiour ploiable, Mais nous qui de long tems Albouin aßſtons, Et pour ſou ſoul ſuiet fieremeat combaons Qui mille fois aious hez ide noſtre vie, De diuers accidens mortellem ent ſuiuie, Viuons ſans recompenſe, & ſant authorité Comme ſi d’estre Rois nous n’auons merité.	Cuit in eijamtinmenamuh et dmitale à voir sous les Lomba ds ce beas seiour ployable, Mais nous qui de long tems Albouin asions, Et pour sou soul sujet fieremeat combaons Qui mille fois aious hé ide notre vie, De divers accidents mortelle ent suivie, Vivons sans récompense, et sant autorité Comme si d'être Rois nous n'avons mérité.
Il faut treuuer moyen d’auoir vue Couroune Qui de meſme qu’a luv noſtre chef enutronne, Cela nous ect acquu;	Il faut trouver moyen d'avoir vue Couroune Qui de même qu'a luv nôtre chef enutronne, Cela nous ect acquu;
ſi voulous hat adeux Le Roiaume Lombard nous partirous nous deux, Eu croiant le Conſeil de Roſemonde ſige Qui vous, ou moy, veut prendre en loral mariage, Si nous entreprenons d'euuoicr ſon mari Sacrifice à Couond au ſer allhre poarri.	si voulous hat adeux Le Roiaume Lombard nous partirous nous deux, Eu croyant le Conseil de Rosemonde sige Qui vous, ou moi, veut prendre en loral mariage, Si nous entreprenons d'euvoicr son mari Sacrifice à Couond au ser allé poarri.
O grand darde touneπe!	Ô grand darde toune?
ou et ores ton foudre Qu’il ne boie le cheſ de ces mechans en poulre?	ou et ores ton foudre Qu'il ne boie le chez de ces méchants en poulre?
D'vn Roy, ſi genereux voir corſpirer la Merr», Et ne l’en aduertir, c’eſt auoir pareil tort, „ Que les Conſp rateurs!	D'un Roi, si généreux voir corspirer la Merr ", Et ne l'en avertir, c'est avoir pareil tort, „ Que les Cons rateurs!
as-tu bien prins l'audacs proferer t'el diſcours eſtant deuant ma face?	as-tu bien prins l'audacs proférer t'el discours étant deuant ma face?
Non non aſſeure toy que ſi de cette erreur Tu ne vuides ton ame épriſe de fureur, I aduertirai le Roy d’vne telle menee.	Non non assure toi que si de cette erreur Tu ne vides ton âme éprise de fureur, I Juertirai le Roi d'une telle mène.
La Reine a elle peu ſous vn ſaint Hymenee, Malheureuſe couuer ſi laſche trahiſon?	La Reine a elle peu sous un saint Hymène, Malheureuse couver si lâche trahison?
O ſexe abominable orfelin de raiſon!	Ô sexe abominable orfelin de raison!
Y a t’il en ce monde animal plus infame Ou plus pernicieux qu’vne indiſereite femme?	Y a -t-il en ce monde animal plus infâme Ou plus pernicieux qu'une indisereite femme?
C’est aux poures humains vne Lerne de maux Qui produit en tout temps des Hydres de trauaux.	C'est aux pôvres humains une Lerne de maux Qui produit en tout temps des Hydres de travaux.
» La femme de Nature Alectonique engeance », A touſiours deus le cœur, ou l’Ire, ou la Vengess „ Elle ne fait point cas de perdre ſes amis, „ Außi peu d’aquerir de mortels ennemis.	" La femme de Nature Alectonique engeance ", A jours dus le cœur, ou l'Ire, ou la Vengess „ Elle ne fait point cas de perdre ses amis, „ Aussi peu d'aquérir de mortels ennemis.
» Et d’autant qu’elle à l’ame imbecile, & méchante » La haine y eſt außi le plus ſouuent relante.	" Et d'autant qu'elle à l'âme imbécile, et méchante " La haine y est aussi le plus souvent relante.
Mais toy que ie croiois pour homme genereux, Oſes tu bien ſonger vn fat ſi mal-heureux?	Mais toi que personne croyais pour homme généreux, Ès tu bien songer un fat si malheureux?
Te laiſſes-tu coiffer à cette Roſemonde?	Te laisses-tu coiffer à cette Rosemonde?
Sçais-tu pas que la femme en cautelles abonde?	Sais-tu pas que la femme en cautelles abonde?
», Et que ſon cœur touſiours elle bande à tromper ,, Et dedans ſes liens les plus fins atraper?	", Et que son cœur toujours elle bande à tromper ,, Et dedans ses liens les plus fins atraper?
» Almachilde croy moy, l’homme plus magnanime „ Par la femme deuient laſche, & paſillanime, Di moy?	" Almachille crois -moi, l'homme plus magnanime „ Par la femme devient lâche, et pasillanime, Dis moi?
que penſes-tu?	que penses-tu?
de vouloir atenter Contre le vray pourtrait du puiſſant Iupiter?	de vouloir atenter Contre le vrai pourtrait du puissant Jupiter?
C’eſt ton Roy naturel, qui t’aime, & te careſſe, Et tu as enuers luy l’Ame toute traitreſſe, Si n’étoit qu’enire nous extreme eſt l’amitié Le malheureux deſſein tu verrou chaſtié.	C'est ton Roi naturel, qui t'aime, et te caresse, Et tu as envers jours l'Âme toute traîtresse, Si n'était qu'enire nous extrême est l'amitié Le malheureux dessein tu verrou châtié.
Et ſi de ce venin tu paſts encor ton Ame, s te feray punir, & ſa mechante femme.	Et si de ce venin tu pasts encor ton Âme, s te ferai punir, et sa méchante femme.
La crainte de la peine amende bien ſouaent Ceux qui la trahiſon dans le cœur vont couuans,	La crainte de la peine amende bien soupent Ceux qui la trahison dans le cœur vont couvants,
Alm.	Alm.
Aumoins ie te ſupli cher ami Peredee ue ta filelité touſiours me ſoit gardee, t qu'Albouin auß ne ſçache pas de toi e mal heureux deſſein de ſa femme, & de moi.	Aumoins ie te suppli cher ami Pèredée ue ta filelité toujours me soit gardée, t 'Albouin aussi ne sache pas de toi eoi eût malheureux dessein de sa femme, et de moi.
ar je iure iamais en mon cœur n’auoir place te perfide michef que ſon Epouſe braſſe, Et me déplaist beaucoup de luy auoir permis Que tel maudit proiet en auant elle ait mis.	ar je jure jamais en mon cœur n'avoir place te perfide miches que son Épouse brasse, Et me déplaît beaucoup de Seigneur avoir permis Que tel maudit prois en avant elle ait mis.
e iaſcheraipuigur jon ma mncuſe e ceite fantaiſie à tous pericieuſe:	Je iascheraipuigur jon ma méncuse e ce fantaisie à tous péricieuse:
uide du bon Dæmon de la fidelité, m’en va la blaſmer, & ſa mechanceté.	Ude du bon Dæmon de la fidélité, m'en va la blâmer, et sa méchanceté.
Pered.	Pèred.
Or allez mais vſez de paroles ſlateuſes, Par ce que c’eſt l'apaſt des Ames cantelenſes, ts'elle continuë en ſon inique erreur, Donnez luy par menace apres de la terreur.	Or allez mais usés de paroles slateuses, Par ce que c'est l'apât des Ames cantelentses, t'elle continue en son inique erreur, Donnez Seigneur par menace après de la terreur.
Roſem.	Rosem.
Almach.	Almach.
Roſem.	Rosem.
cemme eſt nostre deſſein?	cème est notre dessein?
Alm.	Alm.
Mal commé eMadame, Ie voudroy n’auoir ſçeu le ſecret de vostre Ame.	Mal commé eMadame, Je voudrais n'avoir su le secret de votre Âme.
Roſem.	Rosem.
Hé!	Hé!
que me dites vous?	que me dites -vous?
Alm.	Alm.
La pure verité, Car Peredee encor s'eſt bien fort irrité, Lors que ie l’ai jondé r'il vouloit ſe ſoubmettre IAper ſes mains au ſang d'Alboüin neſtre maiſtres Et n’eſtoitl amitié fidelle de nous deux Nostre proiet ſeroit triſtement haz ardeux, Car il deceleroit toute nostre mence.	La pure vérité, Car Pèrede encor s'est bien fort irrité, Lors que ie l'ai jondé rà voulait se soumettre IAper ses mains au sang d'Albouin nêtre maîtres Et n'était amitié fidèle de nous deux Notre proiset serait tristement has ardeux, Car il décelerait toute notre menée.
9	9
Roſem.	Rosem.
O poure Roſemonde à tout deſuſtre nee!	Ô pôvre Rosemonde à tout désustre née!
», Nous ne deuon, iamais découurir vn ſecret „ Quaà celuy qu’on counoist loiallement diſcres, „ Et dont on ait deſiatlre preuue certaine 2, Que ſon amitie n’eſt iuconstante, ni vaine.	", Nous ne dévon, jamais découvrir un secret „ Quaà celui qu'on counoist loyallement discres, „ Et dont on ait desiatlre prévue certaine 2, Que son amitié n'est juconstante, ni vaine.
2, Cæ nestre bberté tous donnons à celuy Qui ſcait neſtre ſecret, & ſommes tous à luy„, Depuis qu’à nos deſſeins vn troiſieme ſe trenne » D'vn ſecret publié c’eſt la certamne preune.	2, Cæ nêtre bberté tous donnons à celui Qui sait nêtre secret, et sommes tous à luy„, Depuis qu'à nos desseins un troisième se trenne " D'un secret publié c'est la certamne préune.
Alm.	Alm.
Madame, Peredee eſt eſſez aluiſe.	Madame, Pèredée est ésez aluise.
Roſem.	Rosem.
Il en eſt plus à craindre en ce fait malaiſe.	Il en est plus à craindre en ce fait malaise.
Alm.	Alm.
Touſiours l'amy prudent ſon amy fauoriſe.	Toujours l'ami prudent son ami favorise.
Roſem.	Rosem.
Les amis du iourd’huy ſont bien pleins de feintiſe	Les amis du jour'hui sont bien pleins de feintise
Alm.	Alm.
Peredee eſt ami non ami de ce tems.	Pèredée est ami non ami de ce temps.
Außi rien de mauuau de ſa purt ie n’atens.	Aussi rien de mauvau de sa purt ici n'attends.
Roſem.	Rosem.
» Touices amis de Cour, ſeus anide paroles, „ Car aux effets teuſiours on les treuue friuoles.	" Touices amis de Cour, zeus anide paroles, „ Car aux effets teusiours on les trouve frivoles.
A m.	À m.
Il en eſt qui ne ſont amis que du bon heur, Mais Peredee eſt autre, & cheriſt trop l'honneur,	Il en est qui ne sont amis que du bon heur, Mais Pèredée est autre, et chérît trop l'honneur,
Roſem.	Rosem.
1 » Quand la proſperité quelque ami nous alie L'inſelicité rend cette amit ié failtie.	1 " Quand la prospérité quelque ami nous alie L'insélicité rend cette amit jit failtie.
La neceſnté chaſſe außi tost l’ami ſeint Quι ducant le bon-heur nous plaire ſe coutraint;	La necesnté chasse aussi tôt l'ami seint Quel ducant le bonheur nous plaire se coutraint;
Quωid les proſprritez nousdelaiſſent ſoudaines On counoiſt des anis les volontez, certames.	Quid les prosprritez nousdélaissent soudaines On counait des anis les volontés, certames.
Puis s’il u’y a touſiours vn ſimbole d’humeurs Lien des amitiez, pour cimenter les cœurs, L’amitié bien ſouuent ſetreuue variable.	Puis s'il y a toujours un symbole d'humeurs Lien des amitiés, pour cimenter les cœurs, L'amitié bien souvent setreuve variable.
„, C'eſt pourquoy Peredee eſt beaucoup redoutable Vos humeurs n'eſtant pas de meſmes qualitez.	„, C'est pourquoi Pèredée est beaucoup redoutable Vos humeurs n'étant pas de mêmes qualités.
Alm.	Alm.
Madame de cela nullement ne doutez.	Madame de cela nullement ne doutez.
Peredee eſt diſeret, & m'eſt par trop fidelle De ce qu’il ſpat de moy, l’on n’en aura nouuelle.	Pèredée est disèret, et m'est par trop fidèle De ce qu'il spat de moi, l'on n'en aura nouvelle.
Mlun vout paut inajperten nerrible deſſein, Et l’étoufer naiſſant au fonds de voſtre ſein.	Mlun vout paut inajperten nerrible dessein, Et l'étouffer naissant au fond de votre sein.
Car ſi d’oreſnau-int nous auons la penſee A trahir Alboüin perfdement dreßee, Et qu’il en ait le vens, il l’en aduertira, Ren qu’vu funeſte mal ceci n'atirera.	Car si d'oresnau-int nous avons la pensée A trahir Albouin perfement dressée, Et qu'il en ait le vents, il l'en avertira, Ren qu’ vu funeste mal ce n'atirera.
Roſem.	Rosem.
Chetiue qu’ay-ie fait!	Chétive qu'ai-je fait!
ô poure Roſemonde La bute des malheurs, & la fable du Monde.	ô pôvre Rosemonde La bute des malheurs, et la fable du Monde.
Helas pauurette helas!	Hélas pauvrette hélas!
mais que puis ie eſperer Qu'vne cruelle mort?	mais que puisque puis espérer Qu'une cruelle mort?
Alm.	Alm.
Ceſſez de ſoupire:	Cessez de soupire:
Repoſez vous ſur moy, viuez en aſſeuranc Qu' Alboüin de erci n’aura la counoiſſanee, Ie ſoufciray pluſtoſt la plus cruelle mort Que de vous voir (MUams) vn déplorable ſort.	Reposez -vous sur moi, vivez en assuranc Qu' Albouin de erci n'aura la counaissane, Je souffirai plutôt la plus cruelle mort Que de vous voir (MUams) un déplorable sort.
Roſem.	Rosem.
Ie ne vous doute pas!	Je ne vous doute pas!
mais je erain Peredee Que taut de loiauté de Iout tems à gardée, A ſon maiſtre A bouin.	mais je erain Pèrede Que taut de loisauté de Iout temps à gardée, À son maître A bouin.
Alm.	Alm.
Mulame, crolez moy Q de cette part là ne viendra vostre émovIe le vay retreuuer pour plus grande aſſeurance Bien qu'en luy i’aie autant comme en moi de fiance R’aſſeurez cependant vostre eſprit afligé Donnant à vos deſſeins pareillement congé.	Mulme, crolez -moi Q de cette part là ne viendra votre émovIe le vay retreuuer pour plus grande assurance Bien qu'en cy j'aie autant comme en moi de fiance R'assurez cependant votre esprit affligé Donnant à vos desseins pareillement congé.
Roſem.	Rosem.
Or que me faut-il faire en choſe ſi douteuſe?	Or que me faut-il faire en chose si douteuse?
Mon ane en ſes penſers chancelle fluctueuſe, Puis dec à, puis delà, comme quand le Soleil Dans vn bißin plein d’eau décoche vn ray vermeil.	Mon ane en ses pensers chancelle fluctueuse, Puis déc à, puis delà, comme quand le Soleil Dans un by plein d'eau décoche un rai vermeil.
Vne lueur tremblante on voit à l’opoſite Se mouuoir ores grande, & ores plus petite.	Une lueur tremblante on voit à l'opposite Se mouvoir ores grande, et ores plus petite.
Ie veux encor nourrir cet inique penſer Quand ores ie deurois mon honneur ofenſer.	Je veux encor nourrir cet inique penser Quand oresrit devrois mon honneur offenser.
Ie veux que Peredee auecques moi ſe couche Il penſera baiſer de Barcee la bouche;	Je veux que Pèredée auecques moi se couche Il pensera baiser de Barcée la bouche;
En conduiſant ce fait auec dexterité Ie verrai mon deſſein en bref executé.	En conduisant ce fait avec dextérité Je verrai mon dessein en bref exécuté.
Il aime ma Barcee, & ſouuent tire d’elle Le doux fruit que raporte vne A nour mutu In De cette ocaſion il me faut donc ſeruir Pour Peredee apres de Stupre pourſuiuir.	Il aime ma Barcée, et souvent tire d'elle Le doux fruit que rapporte une A nour mutu In De cette ocasion il me faut donc servir Pour Peredee après de Stupre poursuivir.
Ie m’en vai la tenter, & l’intimider meſme, Puis, lui donnant ſubtile vne tecreus extreſme, Contrainte elle ſerade découurir ſon cœur, Et faire Peredee arriuer en lieur ſeur:	Je m'en vais la tenter, et l'intimider amour, Puis, lui donnant subtile toujours tecreus extrême, Contrainte elle serade découvrir son cœur, Et faire Pèrede arriver en lieur sûr:
Il faut donc l’apeller.	Il faut donc l'appeler.
Ou estes.	Ou êtes.
vous Barcee?	vous Barcée?
Venez parler à moy dépeſchez-vous Ruſee, Aprochez, aprochez, i’ai découuert vos ieux;	Venez parler à moi dépêchez-vous Ruse, Aprochez, approchez, j'ai découvert vos jeux;
Hapetite affetee, eſſuiez vous les yeux:	Hapétite affétée, essuyez -vous les yeux:
Ne croiez, que ianuis vos ſotiſes i’endure Vous en ſuporterez vne peine bien dure, Et Peredes außi:	Ne croyez, que januis vos sotises j'endure Vous en sporterez une peine bien dure, Et Pèredes aussi:
paſſer ainſi les iours Aaec tant d'impudence en vosſalles emours!	passer ainsi les jours Aa tant d'impudence en vossalles emours!
Et prophaner encor vne maiſon Royalle, D'vne impudiquę Amour, ſi lubriquement ſalle?	Et prophaner encor une maison Royalle, D'une impudiquement Amour, si lubriquement salle?
Si ie ne vous portois beaucoup d’aſection, Vous en eußiez ſenti quelque punition.	Si ici ne vous portais beaucoup d'asection, Vous en eussiez senti quelque punition.
Barcee.	Barcée.
Madame ſi iamais i’ay commus telle ofence Que le ciel deſſus moy ſes tempeſtes élance, Que Iupiterm enuoie au plus profond des feux De l’ardant Phlegeion de flunme perſe afreux, Madame, ne croiez que l’amoureuſe flame Ait encor échauſe les glaces de mon Ame.	Madame si jamais j'ai commus telle offense Que le ciel dessus moi ses tempêtes élance, Que Jupiterm envoie au plus profond des feux De l'ardant Phlégeion de flunme perse freux, Madame, ne croyez que l'amoureuse flamme Ait encor échause les glaces de mon Âme.
Ie n’ayiamais eu ſoin de l’accher cupidon Encor moins reſſenti les feux de ſon brandon.	Je n'ayiamais eu soin de l'accher cupidon Encor moins ressenti les feux de son brandon.
Iaroit que Peredee (à ce que ie croy) m'aime, Me pror oneit ſouuent dans vosfre chambre méme, Qu’il eſt mon ſeruiteur.	Jarait que Pèrede (à ce que ie croy) m'aime, Me pror oneit souvent dans vos chambre même, Qu'il est mon serviteur.
Rolem.	Rolem.
Ne me deguiſez rien, Cauteleuſe putain, tous vos traits ie ſçay bien.	Ne me déguisez rien, Cauteleuse putain, tous vos traits était sais bien.
Pourueu que vous faciez quelque iour de fireſſe Antidote certain à choſe qui me bleſſe, Vostre faute eſt remiſe, & vous promets encor De vous recompenſer de quelque ample treſor.	Pourvu que vous fassiez quelque jour de firesse Antidote certain à chose qui me blesse, Votre faute est remise, et vous promets encore De vous récompenser de quelque ample trésor.
E meſme vous donner bien toſt en Marigge Quelque adcoit Caualier valeureuſement ſage, Ou pluſtost Peredee agre lle amoureux, En fin ie vous rendrai ſous vn Hymen heureux.	E même vous donner bien tôt en Marige Quelque adcait Cavalier valeureusement sage, Ou plutôt Peredee Père lle amoureux, En fin ie vous rendrai sous un Hymen heureux.
Alez parler à lui, d’vn cauteleux langage Faut lui enſorceler tellement le courage, Qu’il ſe ſente force par voſacrez apaſts De prendre auecques vous de l’anour les ébais.	Alez parler à lui, d'une cauteleux langage Faut lui ensorceler tellement le courage, Qu'il se sente force par vosacrez apâts De prendre avec vous de l'anour les ébais.
Cette aſaire doit eſtre acoriement menee, Puis l’aßination außi viſte donnee, En quel que lieu ſecret, ie m'yret ireray, » uin Pour luy commaniquer ce que i'aduiſeray;	Cette asaire doit être acoriement mène, Puis l'assination aussi viste donnée, En quel que lieu secret, toute m'yret ireray, » y Pour lui commaniquer ce , "aduiseray;
Mon ent repriſe ainſi ſos tarder d’auantage Rendra par ſon effet tout content mon courage.	Mon ent prise ainsi sos tarder d'avantage Rendra par son effet tout content mon courage.
Fay donc cela pour moy, Barcee, & tu verras Qa vn grand profit apres tu en retireras » Seruant bonne maiſtreſſe, on aiend bon ſalaire.	Fais donc cela pour moi, Barcée, et tu verras Qa un grand profit après tu en retireras " Servant bonne maîtresse, on aiend bon salaire.
Barcee.	Barcée.
Madame en tous ſuieis ie deſire vous plaire Quand bien il me faudroit endurer le trépas, Et de l’honneur außi mettre le voil.	Madame en tous suis nom désire vous plaire Quand bien il me faudrait endurer le trépas, Et de l'honneur aussi mettre le voil.
bas, Quand ie deurois ſoufrir mille geines cruelles, Et me voir confiuer en peines eternelles.	bas, Quand der devrais souffrir mille geines cruelles, Et me voir confiver en peines éternelles.
Ce que i’ay de plus char, & de plus precieux Ie veux pour vous ofrir d’vn cœar deuotieux.	Ce que j'ai de plus char, et de plus précieux Je veux pour vous offrir d'un cœar dévotieux.
Ie veux ce qu’il vous plaiſt:	Je veux ce qu'il vous plaît:
donc ſans vous faire aul Peredee s’ira tout incontiuent rendre Dans voſtre Cabinet, ou ſeulle vous ſerez Et ce que verrez bon auec luy vous ferez:	donc sans vous faire aul Pèredée s'ira tout incontivent rendre Dans votre Cabinet, ou seulle vous serez Et ce que verrez bon a lui vous ferez:
It le γoι là tout ſeυl, adηπeεz vοuς Μαdαηι, Ie m’en vay luy bailler vn trait de fine femme.	It le ôte -là tout seυl, adηπeεz vendre Μαdαηι, Je m'en vais toujours bailler un trait de fine femme.
Peredee.	Pèredée.
Barces.	Barces.
Peredee.	Pèredée.
Ieu vous gard ma Mignonne.	Jeu vous gard ma Mignonne.
Bar.	Bar.
Et vous ant PV I mon cœur.	Et vous ant PU I mon cœur.
Pered.	Pèred.
Que i'endure pour loy mon petit œil veinqueur Que ie te treuue belle!	Que j'endure pour loi mon petit œil veinqueur Que ie te trouve belle!
ô ma plus chere vie, Tu m’as de ton aſpec ſeule l’ame rauie.	ô ma plus chère vie, Tu m'as de ton aspec seule l'âme ravie.
Barcee.	Barcée.
O digne d'eſtreaimé, mon vique Seleil Es vertus, en valeur tun'as point de pareil.	Ô digne d'estreaimé, mon vique Sleil Es vertus, en valeur tun'as point de pareil.
Vne douce aigre peine alors que ie ſommeille Pour t&y raude eu mon ſein qui ſoudain me reueille.	Une douce aigre peine alors que sans sommeille Pour tête ravde eu mon sein qui soudain me réveille.
Peie ee.	Peie ce.
9 delicate ſleur.	9 délicate sleur.
belle bouche d'œillets " nature a tiré deux coralins fillets, reaux cheueux mes liens, o m’amour que i’adore, Permets que mille fois ie to ribiiſe encore.	belle bouche d'œillets " nature a tiré deux coralins sillets, reaux cheveux mes liens, ô m'amour que j'adore, Permets que mille fois ie ribiise encore:
Baicee.	Baicée.
9 Dieu quelle douceur, quel Nectar ſauoureux Coule de tes baiſers ardamment amoureux, Mon Adon mon Narciſſe, he, quaud ie te regarde Amour de mille coups pour toy le tœur me darde.	9 Dieu quelle douceur, quel Nectar savoureux Coule de tes baisers ardamment amoureux, Mon Adon mon Narcisse, hé, quaud al te regarde Amour de mille coups pour toi le tœur me darde.
Petedee.	Pète.
Belle aux yeux clais brillans ma gentille Cypre, Tu m’as de ton amour éperluement épris Car toute la beauié chez toys'eſt aſſemblee.	Belle aux yeux clais brillants ma gentille Chypre, Tu m'as de ton amour éperluement épris Car toute la beauié chez tois'est assemblée.
Barcee.	Barcée.
D'vn extréme plaiſir i'ay mon auie cemblee Pour me voir poſſeder vn ſi digne qnoureux De mon cont ent euent ſans ceſſe deſireux.	D'un extrême plaisir j'ai mon avie cmblée Pour me voir posséder un si digne qoureux De mon cont ent oient sans cesse désireux.
Peredee.	Pèredée.
Si i’eſtois Iupiter, ma geutille aumourettr, Ala lunon tu ſerois pour ta grace parſaite.	Si j'étais Iupiter, ma geutille aumourettr, Ala lunon tu serais pour ta grâce parsaite.
Barcee.	Barcée.
De meſne ſe i’estois Encine aux beaux yeux Tu ſerois mon Auchiſe, & mon Mars en tous lieux?	De mène se j'étais Encine aux beaux yeux Tu serais mon Auchise, et mon Mars en tous lieux?
Peredee.	Pèredée.
De ton loyal amour i’ay prou de témoignage.	De ton loyal amour j'ai prou de témoignage.
Baicee.	Baicée.
De ta ſilelité i’ay meſmne aoſei bon gage.	De ta silelité j'ai mesmne aosei bon gage.
Peredee.	Pèredée.
Mon amour durera luſques dans le tombeau.	Mon amour durera lusque dans le tombeau.
Barcee.	Barcée.
Lamort n’éteindra point mon feu pour toy iibeas.	Lamort n'êteindra point mon feu pour toi jibeas.
Pered.	Pèred.
O quel contentement d'auoir telle maiſtreſſe	Ô quel contentement d'avoir telle maîtresse
Baicee.	Baicée.
Tu meritois auoir vne grande Deeſſe.	Tu méritais avoir une grande Déesse.
Peredée.	Peredée.
Ie t’aime plus cent fois que quelque deité.	Je t'aime plus cent fois que quelque déité.
Barcee.	Barcée.
Mais je n’ay tel honneur de ta pact merité.	Mais je n'ai tel honneur de ta pact mérité.
Peredee.	Pèredée.
Tes doux embraſſemens ont captiué mon ame.	Tes doux embrassements ont captivé mon âme.
Barcee.	Barcée.
A nour de iour en iour r’alume en moy ſa flame.	À nour de jour en jour ramume en moi sa flamme.
Peredee.	Pèredée.
Eſt.	Est.
il vn tel plaiſir qu’aimer ſi conſtamment?	il un tel plaisir qu'aimer si constamment?
Barcee.	Barcée.
Amour ſans la conſtance, eſt vn faſcheux tourmens.	Amour sans la constance, est un fâcheux tourments.
Peredee.	Pèredée.
Il ne ſe void que toy de filles non volges	Il ne se voit que toi de filles non volges
Barcee.	Barcée.
Si fait, celles qui ont des ſeruiteurs bien ſages.	Si fait, celles qui ont des serviteurs bien sages.
Peredes.	Pèredes.
Les plus ſages touſiours en amour ſont deçeus,	Les plus sages toujours en amour sont deçeus,
Barcec.	Barcec.
C’eſt donc qu’ils v’õt d’amour les doux plaiſicsperpens.	C'est donc qu'ils vont d'amour les doux plaisicsperpens.
Peredee.	Pèredée.
Je ne puis qu’a iamais ie ne te ſois fidelle.	Je ne puis qu'a jamais ie ne te sois fidèle.
Barcee.	Barcée.
Comme tu me ſeras, tu me treuueras telle car on ne paye amour, que d’vne vraye amour.	Comme tu me seras, tu me trouveras telle car on ne paie amour, que d'une vraie amour.
Peredee.	Pèredée.
Auß ie benirg iuſqu’an tombeau, le ioux Que ie counu premier ton amitié ſi ſaimte.	Aussi ici bénirg jusqu'an tombeau, le joux Que tu counu premier ton amitié si saiste.
Barcee.	Barcée.
Tu ne la verras point que par la tienne éteinte.	Tu ne la verras point que par la tienne éteinte.
Teredee.	Teredee.
Mmn amour est extréme, & pour toy violent.	Mmn amour est extrême, et pour toi violent.
Barcee.	Barcée.
C'est qu’il ſera bien tost defectueux, ou lent:	C'est qu'il sera bien tôt défectueux, ou lent:
,, Mais la feme au contraire, a'me d’anour extréne, „, Ou hat außi du tout, celuy la qu’elle n’aime.	, Mais la femme au contraire, a'âme d'anour extrême, „, Ou hat aussi du tout, celui la qu'elle n'aime.
Peredee.	Pèredée.
