A MONSEIGNEVR 10 20 LE PRINCE.	À MONSEIGNEUR 10 20 LE PRINCE.
Nourrice.	Nourrice.
L'excez blâmable nuit en toutes actions, Il ne faut qu’à ſa borne inique nous paßions, I’auouë que l’honneur n’a de garde trop ſeure, Que le coup eſt mortel de ſa moindre bleſſeure, Mais à qui ſe deffie, à qui tient comme vous Ce precieux dépôt en la main d’vn épous, Nul peril ne ſçauroit, nulle embûche dreßée Reüßir que honteuſe à qui l’aura braßée, I’oſeroy dire plus, qu’afin de m’eximer A ſemblable pourſuite, ains de la ſupprimer, En trois mots l’impudent connoîtroit mon courage, Capables d’amortir ſa frenetique rage, Pourquoy non, l’indiſcret ſa pointe pourſuiuant, S’ent retient d’vn eſpoir fondé deſſus le vent, Et croit que ce ſilence auſtere ne ſuppoſe Qu'ont puucat qui titut t'aſſecrion rencioſe, Ou apres le refus il n’auroit qu’eſperer, Salutaire moyen propre à vous liberer.	L'excès blâmable nuit en toutes actions, Il ne faut qu'à sa borne inique nous passions, J'avoue que l'honneur n'a de garde trop sûre, Que le coup est mortel de sa moindre blessure, Mais à qui se défie, à qui tient comme vous Ce précieux dépôt en la main d'être épous, Notre péril ne saurait, nulle embûche dressée Reüssir que honteuse à qui l'aura brassée, J'oserai dire plus, qu'afin de m'exprimer A semblable poursuite, ains de la supprimer, En trois mots limpudent connoîtroit mon courage, Capables 'amortir sa frénétique rage, Pourquoy non, indiscret sa pointe poursuiuant, retient espoir fondé dessus le vent, Et croit que ce silence austère ne suppose Qu'ont a qui titut t'assecrion renciose, Ou apres le refus il auroit espérer, Salutaire mon propre vous re,
Fregonde.	Frégonde.
Ce conſeil perilleux panche vers l’impudence, Ou montre l’âge vieil quelquesfois ſans prudence, Le moindre accez permis à ce ſerpent rusé, Me ſcandaliſeroit chez vn peuple abusé, Vn peuple qui ſe plaît de nature à médire, Trouuant és actions plus ſaintes à redire;	Ce conseil périlleux penche vers l'impudence, Ou montre l'âge vieil quelquefois sans prudence, Le moindre accès permis à ce serpent rusé, Me scandaliserait chez un peuple abusé, Un peuple qui se plaît de nature à médire, Trouvant ès actions plus saintes à redire;
Ioint que mon mary peut à ce parlementer Conceuoir vn martel, ou conçeu l’augmenter:	Joint que mon mari peut à ce parlementer Concvoir un martel, ou conçu l'augmenter:
Bien viure ne ſuffit ſelon la conſcience, Qui aonne a ſoupçonner de certaine ſcience,	Bien vivre ne suffit selon la conscience, Qui étonne a soupçonner de certaine science,
Nourrice.	Nourrice.
Voilà que c’eſt encor, ma franchiſe fera Qu’vn aiguillon de fiel ſa candeur piquera, N'importe, eſtimez-moy parler à l’étourdie, La verité pourtant me diſpenſe, hardie A dire le Marquis vertueux iuſques là, Qu’onc vn deſir brutal dans luy ne ſe coula, A croire que iamais ſa bouche temeraire N’entameroit diſcours à vôtre honneur contraire, Vn Seigneur ſi benin, ſi ſage, ſi bien ne, De vos perfections paroît paßionné, Mais ſans pire deſſein que la ſimple hantiſe A tous les gens d’honneur ſes ſemblables, permiſe:	Voilà que c'est encor, ma franchise fera Qu'amour aiguillon de fiel sa candeur piquera, N'importe, estimez-moi parler à l'étourdie, La vérité pourtant me dispense, hardie À dire le Marquis vertueux iusques -là, Qu'onc un désir brutal dansfois ne se coula, A fin que jamais sa bouche téméraire N'entameroit discours à votre honneur contraire, Un Seigneur si bénin, si sage, si bien ne, De vos perfections paraît passionné, Mais sans pire dessein que la simple hantise A tous les fin fin ses ables, elle:
Madame on ne ſçauroit s’acquerir trop d’amis;	Madame on ne saurait s'acquérir trop d'amis;
Bon Dieu ie l’apperçoy, chez qui nature a mis Tout ce qui nous peut rendre aimable vne perJelines Entendon-le parler:	Bon Dieu ie l'aperçois, chez qui nature a mis Tout ce qui nous peut rendre aimable une perJelines Entendon-le parler:
hé quelle ire felonne Enflame ce beau front?	hé quelle ire félonne Enflamme ce beau front?
ne le fuyez ainſi, Qui ſemble de ſon iuge implorer la mercy.	ne le fuyez ainsi, Qui semble de son juge implorer la merci.
Fregonde.	Frégonde.
Ne t’émancipe plus de le Megere, A qui le ſuborneur ſes paßions ſuggere, De paroître à mes yeux pollus de ton aſpect, Sinon que ta vieilleſſe obtient quelque reſpect, 4 Fuy, mais ſoudainement, la iuſte impatience, Las!	Ne t'émancipe plus de le Mégère, À qui le suborneur ses passions sugère, De paraître à mes yeux pollus de ton aspect, Sinon que ta vieillesse obtient quelque respect, 4 Fui, mais soudainement, la juste impatience, Las!
où pourra-t’on plus aſſeurer ſa fiance, Celle qui m'allaîta, corrompuë, oſe bien Maintenir que l’honneur auanturé n’eſt rien, Oſe maquereller ſa propre nourriture:	où pourra-t-on plus assurer sa fiance, Celle qui m'allaîta, corrompue, ose bien Maintenir que l'honneur aventuré n'est rien, Ose maquereller sa propre nourriture:
Mais ores du plus pur de mon ame ie iure me uefenge!	Mais ores du plus pur de mon âme ie iure me Mais!
O ſetorit que in peruras, mechant, La traçe auec l’eſpoir qui t’alloit alléchant.	Ô Setorit que in peruras, méchant, La traçe avec l'espoir qui t'allait alléchant.
Nourrice ſeule.	Nourrice seule.
Pauure femme perduë, où ſera ta retraite?	Pauvre femme perdue, où sera ta retraite?
Vn gain ſordide, helas!	Un gain sordide, hélas!
précipite, indiſcrette, Ta vieilleſſe chenuë en ce honteux malheur, Pareil crime n’a point de valable couleur:	précipite, indiscrète, Ta vieillesse chenue en ce honteux malheur, Pareil crime n'a point de valable couleur:
Mais recours à tes yeux contre cet infortune, Duni ia vondeldebée arrere ſa rancune, Qui peuuent, enſeignez, à force de pluuoir, Prouuer que tu n'as rien fait contre le deuoir.	Mais recours à tes yeux contre cet infortune, Duni ja vondeldebée arre sa rancune, Qui peuvent, enseignez, à force de pluéroir, Prouver que tu n'as rien fait contre le devoir.
Le Marquis ſeul.	Le Marquis seul.
Pareil au voyageur qui voit reduire en poudre L’arbre ſon ſeul abry, par vn grand coup de foudre, Il demeure immobile, & les ſens égarez.	Pareil au voyageur qui voit réduire en poudre L'arbre son seul abri, par un grand coup de foudre, Il demeure immobile, et les sens égarés.
Préſument ſes eſprits hors du cors ſeparez;	Présument ses esprits hors du cors séparés;
Las!	Las!
miſerable, ainſi la colere impourueuë De ce monſtre d’orgueil épouuante ma veuë, Vne apparence aſſeZ donne à conjecturer, Que la vieille, mon mieux deſirant procurer, Deſirant m’applanir le chemin de ſa grace, Encourt à mon ſu jet cette horrible diſgrace;	misérable, ainsi la colère impourueuë De ce monstre d'orgueil épouvante ma vue, apparence asseZ donne conjecturer, Que la vieille, mon mieux désirant procurer, Desirant applanir le chemin de sa grace, Encourt mon su jet cette horrible disgrace;
O cieux iamais aſpic, non iamais lion rous, Ne parurent enflez de ſemblable courous, Amour qui dans ſes yeux exerce vn double empire, A preſque éteint ſa flame en celle de ſon ire, Preſque voulu quitter leur ſejour precieux Plus que celuy de Paphe & que celuy des cieux;	Ô cieux jamais aspic, non jamais lion rous, Ne parurent enflez de semblable courous, Amour qui dans ses yeux exerce un double empire, A presque éteint sa flamme en celle de son ire, Presque voulu quitter leur séjour précieux Plus que celui de Paphe et que celui des cieux;
Tygreſſe impitoyable, encore ſi ta bouche La cauſe m’eût appris, qui de moy t’éfarouche, Si ta haine mortelle auoit quelque raiſon;	Tigresse impitoyable, encore si ta bouche La cause m'eût appris, qui de moi t'éfarouche, Si ta haine mortelle avait quelque raison;
Sa cruauté brutale & ſans comparaiſon, Ne ſçauroit en trouuer qu’vne expreſſe malice.	Sa cruauté brutale et sans comparaison, Ne saurait en trouver qu'une expresse malice.
Que mon courage ainſi plus long-tems s’auiliſſe, Se profane à ſeruir vn perfide animal, Ennemy de la gloire & inſtrument du mal:	Que mon courage ainsi plus longtemps s'auilisse, Se profane à servir un perfide animal, Ennemi de la gloire et instrument du mal:
Non, tu ne me tiens plus, l’épreuue me fait ſage, Ie renonce au labeur de tel apprentiſſage, Et croiray ton auis, ô mon Pylade cher, Sans iamaisplus ce banc naufrageux approcher.	Non, tu ne me tiens plus, l'épreuve me fait sage, Je renonce au labeur de tel apprentissage, Et croirai ton avis, ô mon Pylade cher, Sans jamaisplus ce banc naufrageux approcher.
CENE II.	CÈNE II.
DOM YVAN, FREGONDE.	DOM YVAN, FRÉGONDE.
Dom Yuan.	Dom Yvan.
JOus voyez qu'auiourd’huy, toute charité morte, L’auarice à tous maux ouure vne large porte, Le plus proche lien du parentage ſaint, Par ſon hydropiſie inhumaine s’enfraint:	JOus voyez qu'aujourd'hui, toute charité morte, L'avarice à tous maux ouvre où large porte, Le plus proche lien du parentage saint, Par son hydropisie inhumaine s'enfraint:
Ceux en qui ie poſoy ma credule fiance, D’enuahir nôtre bien ne font pas conſcience, Ils abboyent apres ce peu qui iuſtement, Paiſibles, entretint nôtre contentement:	Ceux en qui grande posais ma crédule fiance, D'envahir notre bien ne font pas conscience, Ils aboient après ce peu qui justement, Paisibles, entretint notre contentement:
O ſiecle peruerty, ô miſerable monde, O douleur, ô douleur qui me mine, profonde, O iuſtice vrayment aueugle, pour ne voir Le droit des innocens qu’opprime le pouuoir, Darueuait tonſus pera ma rarjon jurprije, Sans conſeil, ſans ſecours, ſans aucune franchiſe;	Ô siècle perverti, ô misérable monde, Ô douleur, ô douleur qui me mine, profonde, Ô Œustice vraiment aveugle, pour ne voir Le droit des innocents qu'opprime le pouvoir, Darueuait tonsus péra ma rarjon jurije, Sans conseil, sans secours, sans aucune franchise;
Contre tels oppreſſeurs, m’amour, penſon de prez, ſupplié, nous romt ces cordages aprez.	Contre tels oppresseurs, m'amour, penson de près, supplié, nous rompt ces cordages apprès.
Fregonde.	Frégonde.
Mon cerueau qu’affoiblit, debile de ſoy-même, Vne crainte muette, vne miſere extrême, 122 Ne peut contribuer que les pleurs de ſecours, Outre que la nature iroit à contre-cours, Si ma temerité s’ingeroit, puniſſable, D’entreprendre ſur vous quelque choſe ſemblable, Sur vous dont ie ne ſuis, que l’ombre, encore pas.	Mon cerveau qu'affaiblit, débile de soi-même, Votre crainte muette, une misère extrême, 122 Ne peut contribuer que les pleurs de secours, Outre que la nature irait à contre-cours, Si ma témérité s'ingérait, punissable, D'entreprendre sur vous quelque chose semblable, Sur vous dont notre ne suis, que l'ombre, encore pas.
CheZ qui mes actions empruntent leur compas.	CheZ qui mes actions empruntent leur compas.
Dom Yuan.	Dom Yvan.
Rien moins, tu m’as ſouuent és troubles domeſtiques Donné de bons auis, & voire prophetiques, D’abord la femme excelle en ſes opinions, Que, preferables, lors il faut que nous prenions, Pareilles à la fleur que ſa plante hâtiue Ne iette qu’vne fois, paſſagere & fuitiue, Pareilles aux eſprits que les fourneaux ardens Pouſſent des mineraux qu’on enferme dedans.	Rien moins, tu m'as souvent ès troubles domestiques Donné de bons avis, et voire prophétiques, D'abord la femme excelle en ses opinions, Que, préférables, lors il faut que nous prenions, Pareilles à la fleur que sa plante hâtiue Ne jette qu'une fois, passagère et fuitive, Pareilles aux esprits que les fourneaux ardents Poussent des minéraux qu'on enferme dedans.
Or en quoy le deſtin m’afflige dauantage, Mes ennemis ſur moy n’obtiennent l’auantage, D'vn combat aßigne, où l’on puiſſe au beſoin Secourir ſon honneur les armes dans le poin, Ceut clcioint confeſte en taenes protcaures, En mille fauſſetez que font les écritures De ceux à qui le gain la conſcience vend, Du dommage d’autruy riches le plus ſouuent.	Or en quoi le destin m'afflige davantage, Mes ennemis sur moi n'obtiennent l'avantage, D'un combat assigne, où l'on puisse au besoin Secourir son honneur les armes dans le point, Ceut clcioint confeste en taènent lotcaures, En mille faussetés que font les écritures De ceux à qui le gain la conscience vend, Du dommage 'autrui rive le plus souuent.
Fregonde.	Frégonde.
Ce qui me trouble plus, eſt que la multitude De ces amis de bouche ( extrême ingratitude) Offerte d’ordinaire & ſans neceßité, I* en inonire en ſeconravie à ieue aunerſte.	Ce qui me trouble plus, est que la multitude De ces amis de bouche ( extrême ingratitude) Offerte d'ordinaire et sans nécessité, J* en inonire en seconravie à jeue aunerste.
Dom Yuan.	Dom Yvan.
Ainſi beaucoup d’oiſeaux, lors que l’hyuer arriue, Que les fleuues glaceZ heriſſent à la riue, Trouuent bien loin de nous vn climat chaleureux, Ainſi chacun s’écarte & fuit le malheureux:	Ainsi beaucoup d'oiseaux, lors que l'hiver arrive, Que les fleuves glacés hérissent à la rive, Trouvent bien loin de nous un climat chaleureux, Ainsi chacun s'écarte et fuit le malheureux:
Ces flatteurs qu’attiroit la fortune proſpere, De nous auoir connus tournent à vitupere, Et mon dernier eſpoir ſur vn reſte fondé, Que iamais la priere encore n’a ſondé, Que ſa ſeule vertu m’approche reconnuë Telle qu’vn beau ſoleil qu’enueloppe la nuë, De moindres obligez, m’enhardiſſent d’aller nucomioije cremente enuers nous ſignalier,	Ces flatteurs qu'attirait la fortune prospère, De nous avoir connus tournent à vitupère, Et mon dernier espoir sur un reste fondé, Que jamais la prière encore n'a sondé, Que sa seule vertu m'approche reconnue Telle qu'un beau soleil qu'enveloppe la nue, De moindres obligez, m'enhardissent d'aller nucomioije crémente envers nous signalier,
Le nom?	Le nom?
Fregonde.	Frégonde.
Dom Yuan.	Dom Yvan.
C’eſt ce Marquis que le Roy fauoriſe, Qu’enuers ſa ma jeſté le merite autoriſe, Que les plus enuieux ſont contrains d’admirer, Et qui ſemble de ſoy mon ſecours reſpirer.	C'est ce Marquis que le Roy iavorise, Qu'envers sa ma jesté le mérite autorise, Que les plus envieux sont contrains d'admirer, Et qui semble de soi mon secours respirer.
Fregonde.	Frégonde.
Ah monſieur, que ſouuent l’hypocrite apparence, Deçoit quiconque y met ſa credule aſſeurance, Aucun des courtiſans n’offence plus mes yeux, La ſeule vanité le fait officieux, Et pareille entremiſe au beſoin reclamée, Vous conſeruant les biens perdroit la renommée.	Ah monsieur, que souvent l'hypocrite apparence, Deçoit quiconque y met sa crédule assurance, Aucun des courtisans n'offense plus mes yeux, La seule vanité le fait officieux, Et pareille entremise au besoin réclamée, Vous conservant les biens perdrait la renommée.
Dom Yuan.	Dom Yvan.
Pourquoy cela mon heur?	Pourquoi cela mon heur?
hé quel ſujet as tu De le calomnier, accompli de vertu, Suſpens, ne me découure à demy ta penſée, Deſigne l’action ſcandaleuſe paßée, Qui d’aimable, te rend ce ſeigneur odieux, Qui t’oppoſe à la veuë vn nuage enuieux, quie mainen aſuni jon moiij teguime, Se refere à l’enuie abominable crime.	hé quel sujet as -tu De le calomnier, accompli de vertu, Suspens, ne me découvre à demi ta pensée, Designe l'action scandaleuse passée, Qui d'aimable, te rend ce seigneur odieux, Qui t'oppose à la vue un nuage envieux, quie mainen asuni on moiij teguime, Se refere à l'envie abominable crime.
Fregonde.	Frégonde.
L’honneur ne me permet de rienſpecifier, Sinon qu'à ſon ſupport on ne ſe deût fier.	L'honneur ne me permet de rienspecifier, Sinon qu'à son support on ne se deût fier.
eme l nurla Eſt-ce que ſuborneur, quelque ſourde pratique Conne teue rantant enion ame puuiques	eme l' ura Est-ce que suborneur, quelque sourde pratique Conne tue rantant enion âme puviques
Fregonde.	Frégonde.
Iamais, ie ne ſçauroy le dire ſans mentir.	Jamais, Seigneur ne saurais le dire sans mentir.
Dom Yuan.	Dom Yvan.
Penſe qu’alors voicy dequoy m’en reſſentir,	Pense qu'alors voici dequoy m'en ressentir,
Fregonde.	Frégonde.
Sa familiarité perilleuſe attirée, D’vn preſage mauuais m’épouuente, inſpirée.	Sa familiarité périlleuse attirée, D'un présage mauvais m'épouvante, inspirée.
Dom Yuan.	Dom Yvan.
Chaſte, il faut neanmoins viure plus librement, On te reputera trop farouche autrement, Puis la femme de bien touſiours prête en défence, Ne craint qu’aucun aguet aduerſaire l’offence, Elle marche par tout ſeure, la tête haute, - :	Chaste, il faut néanmoins vivre plus librement, On te réputera trop farouche autrement, Puis la femme de bien toujours prête en défense, Ne craint qu'aucun aguet adversaire l'offense, Elle marche par tout sûre, la tête haute, - :
mnueo fauſfes iumuisu on commun ne luy chaut.	mnueo fausfes jumisu on commun ne te chaut.
Fregonde.	Frégonde.
Ne dites pas ainſi, le plus ſenſible outrage Qui me peût allumer la fureur au courage, Seroit de voir mon los entier iuſqu’à preſent, Brocardé, laçeré d’vn peuple médiſant, Que tout autre malheur tollerable m’arriue Auant que de ce bien precieux on me priue.	Ne dites pas ainsi, le plus sensible outrage Qui me put allumer la fureur au courage, Serait de voir mon los entier jusqu'à présent, Brocardé, laçeré d'un peuple médisant, Que tout autre malheur tollérable m'arrive Avant que de ce bien précieux on me prive.
Dom Yuan.	Dom Yvan.
Mais repreſente toy, renduë à ta raiſon, Qu’en lieux plus releuez & ſans comparaiſon, Ce Marquis reconnu la même modeſtie, Que toutes les vertus aiment par ſimpatie, Conuerſe priuément, bien venu, bien reçeu, Qui, ſage, n’a l’eſpoir de ſes hôtes deçeu, Dont les déportemens n’ont reproche ne plainte, Tel exemple ſuffiſe à reprimer ta crainte.	Mais représente toi, rendue à ta raison, Qu'en lieux plus relevez et sans comparaison, Ce Marquis reconnu la même modestie, Que toutes les vertus aiment par simpatie, Converse privément, bien venu, bien reçu, Qui, sage, n'a l'espoir de ses hôtes deçeu, Dont les déportements n'ont reproche ne plainte, Tel exemple suffise à réprimer ta crainte.
Fregonde.	Frégonde.
M’oppoſe ces raiſons friuoles qui voudra, Prez du loup affamé la brebis ne craindra, Et l'oiſeau d Apollon ſans peur verra deſcendre L’Aigle qui le deuore aux riues de Meandre, Alors que ie croiray n’auoir que redouter, Si ce renard vn iour venoit à nous hanter.	M'oppose ces raisons frivoles qui voudra, Prez du loup affamé la brebis ne craindra, Et l'oiseau d Apollon sans peur verra descendre L'Aigle qui le dévore aux rives de Méandre, Alors que sans croirai n'avoir que redouter, Si ce renard un jour venait à nous hanter.
Dom Yuan.	Dom Yvan.
Tu changeras d'auus aprest experieme.	Tu changeras d'auus après expérieme.
Fregonde.	Frégonde.
Vous vous repentirez de trop de confiance,	Vous vous repentirez de trop de confiance,
Dom Yuan.	Dom Yvan.
Non pas ſi ton deuoir veut perſiſter égal Comme par le paßé en l’amour coniugal,	Non pas si ton devoir veut persister égal Comme par le passé en l'amour conjugal,
Fregonde.	Frégonde.
Quant à ce point la fin couronnera l’ouurage, Imprenable aux aſſauts d’vne lubrique rage, Que ſuruiura l'honncur, Phare qui me conduit A trauers les perils d’vne orageuſe nuit.	Quant à ce point la fin couronnera l'ouvrage, Imprenable aux assauts d'une lubrique rage, Que survivra l'honneu, Se qui me conduit À travers les périls d'une orageuse nuit.
Dom Yuan.	Dom Yvan.
Or ſus reſioüy toy, n’embraſſant autre cure, Tandis que tel ſecours vtile ie prorurt, Que ie vay d’vn amy faire épreuue au beſoin, 4 Sans emprunter d’ailleurs quelque azile plus loin	Or sus resioüy toi, n'embrassant autre cure, Tandis que tel secours vile a ttorurt, Que on vais d'vn ami faire épreuve au besoin, 4 Sans emprunter d'ailleurs quelque asile plus loin
Fregonde ſeule.	Frégonde seule.
Que la miſere, ô cieux!	Que la misère, ô cieux!
conſeillere infidelle Seduit le iugement de la tourbe mortelle, Et precipite à coup nos aueugles eſprits Aux actions qui n’ont que la honte de pris, Chez qui le repentir ſe coule inéuitable:	conseille infidèle Seduit le jugement de la tourbe mortelle, Et précipite à coup nos aveugles esprits Aux actions qui n'ont que la honte de pris, Chez qui le repentir se coule inévitable:
Thieſte n’éprouua ſi funeſte la table De ſon traître homicide & barbare germain, Que celuy que tu veux qui nous tende la main, Que la neceßité dommageable t’approche Ainſi que l’hameçon preſente ſon bec croche A l'auide poiſſon qu’il engloutit apre Las helas, on diroit que le malheur exprez, Choiſit à m’affliger cet homme dans le monde, Ains qu’vn monſtre ſorty hors de la nuit profonde Aſſeruit mon deſtin deſſous ſa cruauté, Toutesfois, cher épous, ferme de loyauté, Croy que iamais riual ne ſoüillera ta couche, Et que ton honneur plus que toy-même, me touche, Honneur qui préuaudra ſur toute affliction, Comme en quoy git le plus de ſa perfection.	Thieste n'éprouva si funeste la table De son traître homicide et barbare germain, Que celui que tu veux qui nous tende la main, Que la necessité dommageable t'approche Ainsi que l'hameçon presente son bec croche A l'auide poisson qu'il engloutit propre Las hélas, on dirait que le malheur exprez, Choisit à m'affliger cet homme dans le monde, Ains qu'un monstre sorti hors de la nuit profonde Asservit mon destin dessous sa cruauté, Toutefois, cher épous, ferme de loyauté, Croy que iamais on ne soüillera ta couche, Et que ton ' il que toi-même, me touche, Honneur qui préuaudra sur toute affliction, Comme en quoi gît le plus de sa perfection.
ACTE TROISIESME.	ACTE -TROISIÈME.
LE MARQVIS, LE COMTE.	LE MARQUIS, LE COMTE.
DOM YVAN, FREGONDE, PAGE, NOVRRICE, SINAN BASCHA, TROVPE DE TVRCS.	DOM YVAN, FREGONDE, PAGE, NOURRICE, SINAN BÂCHA, TROUPE DE TVRCS.
SCENE I.	SCÈNE I.
LE MARQVIS DE COTRON, LE COMTE DE CELANE.	LE MARQUIS DE COTRON, LE COMTE DE CÉLANE.
Le Marquis.	Le Marquis.
Nc vaincœur honoré de la palme conquiſe ces fameux tournois celebrez dedans Piſe, Onc ce braue Thebain, des vertus le ſupport, En ſon empire même ayant domté la mort, Ne peurent conceuoir en l’âme plus de ioye, te ie fay n'étant plus à ce vautour en proye, Vautour de volupté qui l’âme becquetoit, Et qui deuant mes yeux ſans ceſſe volletoit, Vautour que la raiſon chaſſe victorieuſe, Mais non pas ſans beaucoup de peine glorieuſe:	Nc vaincœur honoré de la palme conquise ces fameux tournois célébrez dedans Pise, Onc ce brave Thebain, des vertus le support, En son empire même ayant domté la mort, Ne peurent concevoir en l'âme plus de joie, te a pais n'étant plus à ce vautour en proie, Vautour de volupté qui l'âme becquetait, Et qui devant mes yeux sans cesse volletait, Vautour que la raison chasse victorieuse, Mais non pas sans beaucoup de peine glorieuse:
Orêtes vous l’Alcide vnique à qui ie doy La liberté renduë & remiſe cheZ moy, Vôtre diuin conſeil puiſſant alexitere, A ce venin domté qui le bon ſens altere, Vôtre diuin conſeil guerit vn furieux Qui ſe precipitoit dans le vice à clos yeux, Et l’a ſeul retenu de ſa cheute mortelle, Où d’vn amy parfait s’admire le modelle, D'vn amy que mon los exaltera touſiours, Deußé-ie de Neſtor ſurpaſſer les longs iours.	Orêtes -vous l'Alcide unique à qui veut dois La liberté rendue et remise cheZ moi, Votre divin conseil puissant alexitere, À ce venin domté qui le bon sens altère, Votre divin conseil guérit un furieux Qui se précipitait dans le vice à clos yeux, Et l'a seul retenu de sa chute mortelle, Où d'un ami parfait s'admire le modèle, D'un ami que mon los exaltera toujours, Deussé-ie de Nestor surpasser les longs jours.
Le Comte.	Le Comte.
Pourueu que le courage exprime la pensée, Ma peine ſe repute aſſeZ recompensée, Elle cueille feconde vn agreable fruit, Que l’amitié propoſe & que ſon champ produit.	Pourvu que le courage exprime la pensée, Ma peine se répute assez récompensée, Elle cueille féconde un agréable fruit, Que l'amitié propose et que son champ produit.
Mais ne ſçay quel indice à la raiſon palpable, Vous montre d’vne feinte en cet endroit coupable, Par trop officieux à l’épous affligé, C’eſt auoir ſa partie au combat obligé, C’eſt ſelon le prouerbe, en l’amoureuſe guerre Faire, adextre, deux coups ne iettant qu’vne pier re, Stratagême fatal à qui mal auisé, Loinde tromper autruy ſe trompe, déguisé.	Mais ne sais quel indice à la raison palpable, Vous montre d'une feinte en cet endroit coupable, Par trop officieux à l'épous affligé, C'est oir sa partie au combat obligé, C'est selon le prouerbe, en l'amoureuse guerre Faire, adextré, deux coups ne jettant qu'une pier re, Stratagème fatales à qui mal avisé, Loinde tromper autrui se trompe, déguisé.
Le Marquis.	Le Marquis.
Non, foy de gentilhomme, il n’y a nulle feinte, Telle ocieuſe flame entierement éteinte:	Non, foi de gentilhomme, il n'y a nulle feinte, Telle ocieuse flamme entièrement éteinte:
Bien plus, l’acte vers vous qui ſemblevn peu ſuſpect, Sert de frein vertueux deſſous certain reſpect, Car l’Vlyſſe prudent de cette Penelope, Que d’vn fâcheux procez mon ſecours déuelope, Mieux goûté que iamais, gaigna ſi bien mon cœur, Que l’amour, de captif me reconnoît vaincœur, Qu'entreprendre malin ſur ſa nopciere couche, Me ſemble vn ſacrilege, en ſa place me touche, auint u on tupt remurs, qu'unt ſitatne deſir Ait eu de s’allumer dedans l’âme loiſir.	Bien plus, l'acte vers vous qui semblevn peu suspect, Sert de frein vertueux dessous certain respect, Car l'Unysse prudent de cette Penelope, Que d'un fâcheux procès mon secours déuelope, Mieux goûté que jamais, gagna si bien mon cœur, Que l'amour, de captif me reconnaît vaincœur, Qu'entreprendre malin sur sa nopciere couche, Me semble un sacrilège, en sa place me touche, auint on tupt remurs, qu'unt sitatne désir Ait eu de s'allumer dedans l'âme loisir.
Le Comte.	Le Comte.
Qui le crime preuient auec la penitencé, Ne ſe peut condamner par aucune ſentence, L’opportun repentir du iour au lendemain, Se repute innocence entre le genre humain, Si ſujet à broncher, que la vertu plus rare Cede au vice ſouuent qui de ſon lieu s’empare.	Qui le crime prévient avec la pénitencé, Ne se peut condamner par aucune sentence, L'opportun repentir du jour au lendemain, Se répute innocence entre le genre humain, Si sujet à broncher, que la vertu plus rare Cède au vice souvent qui de son lieu s'empare.
Or puis que libere, dites moy la raiſon Pour laquelle tantôt proche de la maiſon, Temple où cette beauté plus qu’humaine reſide Vôtre œil fixe ſembloit la deuorer auide, Inuiſible témoin, l’on ne me ſçauroit pas Démentir là deſſus qui retraçoy vos pas:	Or puis que libère, dites -moi la raison Pour laquelle tantôt proche de la maison, Temple où cette beauté plus qu'humaine réside Votre œil fixe semblait la dévorer aujà Inuisible témoin, l'on ne me saurait pas Démentir là -dessus qui retraçoy vos pas:
L'âme attentiue apres vne ſemblable idée, Dijure jaeajecener tonjonate.	L'âme attentive après une semblable idée, Dijàe jaeajecener tonjonte.
Le Marquis.	Le Marquis.
O comme le ſoupçon iuge ſiniſtrement, La choſe, ſur mon dieu, paſſe tout autrement, Sçachez que le mary a receu, non pas elle, Ce ſalut mutuel qui vous met en ceruelle, Iaçoit qu’à la fenêtre accouruë, où ſoudain Au lieu d’humilité, vn modeſte dédain Luy donne déſormais le conge jans mot atre, Telle cupidité reduite à mon empire.	Ô comme le soupçon juge sinistrement, La chose, sur mon dieu, passe tout autrement, Scachez que le mari a reçu, non pas elle, Ce salut mutuel qui vous met en cervelle, Iaçoit qu'à la fenêtre accourue, où soudain Au lieu d'humilité, un modeste dédain Ui donne désormais le congé jans mot âtre, Telle cupidité réduite à mon empire.
Le Comte.	Le Comte.
Tant mieux, le ciel m’exauce en ce triomfe acquis, d quipuuqu'en jemtpoins ut manque n'eſt requis	Tant mieux, le ciel m'exauce en ce triompe acquis, d quipuqu'en jemtpoins ut manque n'est requis
Le Marquis.	Le Marquis.
Hé quel mon bon amy?	Hé quel mon bon ami?
Le Comte.	Le Comte.
L’abſence quelque eſpace D'vn object qui le feu remettroit en la glace, D'vn œil contagieux plein de charmans appas, Le malade affermy n’agueres ſur ſes pas, Ai pim pein extez aipenje, recidiue, Ne luy affrontez donc l’âme ſi maladiue, Si debile qu’il faut contenir ſa raiſon Loin du mal euité, recluſe en la maiſon.	L'absence quelque espace D'un object qui le feu remettrait en la glace, D'un œil contagieux plein de charmants appas, Le malade affermi n'aguères sur ses pas, Ai pim in extez aipje, recidiue, Ne lui affrontez donc l'âme si maladive, Si débile qu'il faut contenir sa raison Loin du mal évité, recluse en la maison.
Le Marquis.	Le Marquis.
